ko:K14227	bbrd:BBBR_tRNA02
ko:K00767	bbrd:BBBR_1218
ko:K00278	bbrd:BBBR_1219
ko:K03517	bbrd:BBBR_1220
ko:K06024	bbrd:BBBR_1222
ko:K05896	bbrd:BBBR_1223
ko:K03496	bbrd:BBBR_1224
ko:K04763	bbrd:BBBR_1225
ko:K00865	bbrd:BBBR_1226
ko:K02887	bbrd:BBBR_1227
ko:K02916	bbrd:BBBR_1228
ko:K02520	bbrd:BBBR_1229
ko:K00949	bbrd:BBBR_1231
ko:K00134	bbrd:BBBR_1232
ko:K03976	bbrd:BBBR_1233
ko:K03527	bbrd:BBBR_1234
ko:K01785	bbrd:BBBR_1235
ko:K01785	bbrd:BBBR_1236
ko:K03088	bbrd:BBBR_1238
ko:K01928	bbrd:BBBR_1239
ko:K03529	bbrd:BBBR_1242
ko:K11754	bbrd:BBBR_1243
ko:K01262	bbrd:BBBR_1244
ko:K01443	bbrd:BBBR_1246
ko:K02564	bbrd:BBBR_1247
ko:K00847	bbrd:BBBR_1251
ko:K07560	bbrd:BBBR_1254
ko:K03438	bbrd:BBBR_1326
ko:K03925	bbrd:BBBR_1327
ko:K00058	bbrd:BBBR_1329
ko:K07738	bbrd:BBBR_1330
ko:K01356	bbrd:BBBR_1332
ko:K16264	bbrd:BBBR_1333
ko:K00016	bbrd:BBBR_1334
ko:K03665	bbrd:BBBR_1335
ko:K03578	bbrd:BBBR_1337
ko:K01915	bbrd:BBBR_1339
ko:K01814	bbrd:BBBR_1341
ko:K01817	bbrd:BBBR_1341
ko:K02501	bbrd:BBBR_1342
ko:K01693	bbrd:BBBR_1344
ko:K00817	bbrd:BBBR_1345
ko:K00013	bbrd:BBBR_1346
ko:K01512	bbrd:BBBR_1347
ko:K18333	bbrd:BBBR_1352
ko:K18334	bbrd:BBBR_1353
ko:K10254	bbrd:BBBR_1354
ko:K02337	bbrd:BBBR_1357
ko:K06180	bbrd:BBBR_1359
ko:K03101	bbrd:BBBR_1360
ko:K02221	bbrd:BBBR_1362
ko:K09772	bbrd:BBBR_1363
ko:K03531	bbrd:BBBR_1364
ko:K01880	bbrd:BBBR_1366
ko:K00878	bbrd:BBBR_1367
ko:K03147	bbrd:BBBR_1368
ko:K13525	bbrd:BBBR_1369
ko:K00941	bbrd:BBBR_1370
ko:K08369	bbrd:BBBR_1372
ko:K01756	bbrd:BBBR_1433
ko:K03530	bbrd:BBBR_1435
ko:K13571	bbrd:BBBR_1436
ko:K13570	bbrd:BBBR_1437
ko:K01092	bbrd:BBBR_1438
ko:K20814	bbrd:BBBR_1439
ko:K17195	bbrd:BBBR_1440
ko:K02770	bbrd:BBBR_1441
ko:K02769	bbrd:BBBR_1442
ko:K02768	bbrd:BBBR_1443
ko:K02538	bbrd:BBBR_1445
ko:K13527	bbrd:BBBR_1447
ko:K01079	bbrd:BBBR_1449
ko:K04066	bbrd:BBBR_1450
ko:K07025	bbrd:BBBR_1451
ko:K00604	bbrd:BBBR_1452
ko:K01687	bbrd:BBBR_1453
ko:K03060	bbrd:BBBR_1454
ko:K00789	bbrd:BBBR_1455
ko:K01154	bbrd:BBBR_1457
ko:K03427	bbrd:BBBR_1458
ko:K01153	bbrd:BBBR_1459
ko:K02052	bbrd:BBBR_1461
ko:K02053	bbrd:BBBR_1462
ko:K02054	bbrd:BBBR_1463
ko:K02055	bbrd:BBBR_1464
ko:K01870	bbrd:BBBR_1465
ko:K00852	bbrd:BBBR_1466
ko:K03326	bbrd:BBBR_1467
ko:K12700	bbrd:BBBR_1468
ko:K02529	bbrd:BBBR_1470
ko:K06147	bbrd:BBBR_1471
ko:K06147	bbrd:BBBR_1472
ko:K05349	bbrd:BBBR_1474
ko:K05349	bbrd:BBBR_1479
ko:K01919	bbrd:BBBR_1481
ko:K03601	bbrd:BBBR_1485
ko:K07259	bbrd:BBBR_1537
ko:K01992	bbrd:BBBR_1538
ko:K01990	bbrd:BBBR_1539
ko:K00048	bbrd:BBBR_1543
ko:K00574	bbrd:BBBR_1544
ko:K03439	bbrd:BBBR_1545
ko:K16209	bbrd:BBBR_1548
ko:K01190	bbrd:BBBR_1549
ko:K02529	bbrd:BBBR_1550
ko:K02027	bbrd:BBBR_1552
ko:K02004	bbrd:BBBR_1557
ko:K02004	bbrd:BBBR_1558
ko:K02003	bbrd:BBBR_1559
ko:K01104	bbrd:BBBR_1561
ko:K00831	bbrd:BBBR_1569
ko:K02039	bbrd:BBBR_1572
ko:K01834	bbrd:BBBR_1573
ko:K02548	bbrd:BBBR_1574
ko:K04567	bbrd:BBBR_1575
ko:K08156	bbrd:BBBR_1576
ko:K01784	bbrd:BBBR_1584
ko:K15533	bbrd:BBBR_1586
ko:K02026	bbrd:BBBR_1587
ko:K02025	bbrd:BBBR_1588
ko:K02027	bbrd:BBBR_1589
ko:K01875	bbrd:BBBR_1590
ko:K03488	bbrd:BBBR_1592
ko:K02755	bbrd:BBBR_1593
ko:K02756	bbrd:BBBR_1593
ko:K02757	bbrd:BBBR_1593
ko:K01835	bbrd:BBBR_1594
ko:K03469	bbrd:BBBR_1598
ko:K01807	bbrd:BBBR_1599
ko:K04485	bbrd:BBBR_1601
ko:K11753	bbrd:BBBR_1602
ko:K03177	bbrd:BBBR_1603
ko:K02834	bbrd:BBBR_1604
ko:K02519	bbrd:BBBR_1605
ko:K02600	bbrd:BBBR_1606
ko:K06173	bbrd:BBBR_1612
ko:K02879	bbrd:BBBR_1613
ko:K03040	bbrd:BBBR_1614
ko:K02948	bbrd:BBBR_1615
ko:K02952	bbrd:BBBR_1616
ko:K02919	bbrd:BBBR_1617
ko:K02518	bbrd:BBBR_1618
ko:K00939	bbrd:BBBR_1619
ko:K03076	bbrd:BBBR_1620
ko:K02876	bbrd:BBBR_1621
ko:K02907	bbrd:BBBR_1622
ko:K02988	bbrd:BBBR_1623
ko:K02881	bbrd:BBBR_1624
ko:K02933	bbrd:BBBR_1625
ko:K02994	bbrd:BBBR_1626
ko:K02954	bbrd:BBBR_1627
ko:K02931	bbrd:BBBR_1628
ko:K02895	bbrd:BBBR_1629
ko:K02874	bbrd:BBBR_1630
ko:K02961	bbrd:BBBR_1631
ko:K02904	bbrd:BBBR_1632
ko:K02878	bbrd:BBBR_1633
ko:K02982	bbrd:BBBR_1634
ko:K02890	bbrd:BBBR_1635
ko:K02965	bbrd:BBBR_1636
ko:K02886	bbrd:BBBR_1637
ko:K02892	bbrd:BBBR_1638
ko:K02926	bbrd:BBBR_1639
ko:K02906	bbrd:BBBR_1640
ko:K02946	bbrd:BBBR_1641
ko:K01575	bbrd:BBBR_1642
ko:K04072	bbrd:BBBR_1644
ko:K05351	bbrd:BBBR_1646
ko:K01214	bbrd:BBBR_1652
ko:K02996	bbrd:BBBR_1653
ko:K02871	bbrd:BBBR_1654
ko:K00705	bbrd:BBBR_1655
ko:K07282	bbrd:BBBR_1659
ko:K05350	bbrd:BBBR_1660
ko:K02026	bbrd:BBBR_1661
ko:K02025	bbrd:BBBR_1662
ko:K02027	bbrd:BBBR_1663
ko:K02529	bbrd:BBBR_1664
ko:K11939	bbrd:BBBR_1666
ko:K07496	bbrd:BBBR_1667
ko:K02346	bbrd:BBBR_1670
ko:K03294	bbrd:BBBR_1673
ko:K00075	bbrd:BBBR_1674
ko:K02913	bbrd:BBBR_1675
ko:K04078	bbrd:BBBR_1676
ko:K03790	bbrd:BBBR_1678
ko:K01934	bbrd:BBBR_1679
ko:K02935	bbrd:BBBR_1685
ko:K02864	bbrd:BBBR_1686
ko:K06901	bbrd:BBBR_1688
ko:K02036	bbrd:BBBR_1689
ko:K02038	bbrd:BBBR_1690
ko:K02037	bbrd:BBBR_1691
ko:K02429	bbrd:BBBR_1743
ko:K18333	bbrd:BBBR_1744
ko:K18334	bbrd:BBBR_1745
ko:K02003	bbrd:BBBR_1748
ko:K06287	bbrd:BBBR_1751
ko:K00872	bbrd:BBBR_1752
ko:K00003	bbrd:BBBR_1753
ko:K02803	bbrd:BBBR_1754
ko:K02804	bbrd:BBBR_1754
ko:K02777	bbrd:BBBR_1755
ko:K20107	bbrd:BBBR_1755
ko:K20108	bbrd:BBBR_1755
ko:K01586	bbrd:BBBR_1756
ko:K01887	bbrd:BBBR_1757
ko:K00790	bbrd:BBBR_1760
ko:K16957	bbrd:BBBR_1762
ko:K16958	bbrd:BBBR_1763
ko:K16959	bbrd:BBBR_1764
ko:K01704	bbrd:BBBR_1770
ko:K01703	bbrd:BBBR_1771
ko:K00937	bbrd:BBBR_1775
ko:K03574	bbrd:BBBR_1776
ko:K02026	bbrd:BBBR_1779
ko:K02025	bbrd:BBBR_1780
ko:K02027	bbrd:BBBR_1781
ko:K00761	bbrd:BBBR_1783
ko:K00783	bbrd:BBBR_1784
ko:K01885	bbrd:BBBR_1786
ko:K03695	bbrd:BBBR_1787
ko:K01854	bbrd:BBBR_1792
ko:K08094	bbrd:BBBR_1797
ko:K10119	bbrd:BBBR_1851
ko:K10118	bbrd:BBBR_1852
ko:K10117	bbrd:BBBR_1854
ko:K01421	bbrd:BBBR_1858
ko:K01421	bbrd:BBBR_1859
ko:K12410	bbrd:BBBR_1861
ko:K01754	bbrd:BBBR_1862
ko:K01182	bbrd:BBBR_1863
ko:K10119	bbrd:BBBR_1864
ko:K10118	bbrd:BBBR_1865
ko:K10117	bbrd:BBBR_1866
ko:K07407	bbrd:BBBR_1868
ko:K11991	bbrd:BBBR_1869
ko:K03316	bbrd:BBBR_1870
ko:K07090	bbrd:BBBR_1871
ko:K06999	bbrd:BBBR_1872
ko:K01494	bbrd:BBBR_1874
ko:K02803	bbrd:BBBR_1879
ko:K02804	bbrd:BBBR_1879
ko:K03218	bbrd:BBBR_1881
ko:K01792	bbrd:BBBR_1882
ko:K00965	bbrd:BBBR_1883
ko:K02529	bbrd:BBBR_1887
ko:K10439	bbrd:BBBR_1888
ko:K10441	bbrd:BBBR_1889
ko:K10440	bbrd:BBBR_1890
ko:K10112	bbrd:BBBR_1893
ko:K03475	bbrd:BBBR_1895
ko:K02822	bbrd:BBBR_1896
ko:K02821	bbrd:BBBR_1897
ko:K02040	bbrd:BBBR_1692
ko:K07776	bbrd:BBBR_1693
ko:K07768	bbrd:BBBR_1694
ko:K01243	bbrd:BBBR_1696
ko:K01626	bbrd:BBBR_1697
ko:K01626	bbrd:BBBR_1698
ko:K01372	bbrd:BBBR_1699
ko:K01304	bbrd:BBBR_1701
ko:K08303	bbrd:BBBR_1704
ko:K00554	bbrd:BBBR_1705
ko:K08316	bbrd:BBBR_1706
ko:K03655	bbrd:BBBR_1707
ko:K02902	bbrd:BBBR_1708
ko:K06902	bbrd:BBBR_1710
ko:K11533	bbrd:BBBR_1720
ko:K11263	bbrd:BBBR_1722
ko:K03523	bbrd:BBBR_1723
ko:K03524	bbrd:BBBR_1724
ko:K02863	bbrd:BBBR_1727
ko:K02867	bbrd:BBBR_1728
ko:K02601	bbrd:BBBR_1730
ko:K03073	bbrd:BBBR_1731
ko:K00931	bbrd:BBBR_1734
ko:K03979	bbrd:BBBR_1735
ko:K02899	bbrd:BBBR_1736
ko:K02888	bbrd:BBBR_1737
ko:K01439	bbrd:BBBR_1739
ko:K07088	bbrd:BBBR_1740
ko:K07046	bbrd:BBBR_1742
ko:K02057	bbrd:BBBR_1798
ko:K02057	bbrd:BBBR_1799
ko:K02056	bbrd:BBBR_1800
ko:K02058	bbrd:BBBR_1801
ko:K00854	bbrd:BBBR_1802
ko:K20444	bbrd:BBBR_1808
ko:K01990	bbrd:BBBR_1809
ko:K01992	bbrd:BBBR_1810
ko:K00973	bbrd:BBBR_1811
ko:K00067	bbrd:BBBR_1812
ko:K01790	bbrd:BBBR_1812
ko:K01710	bbrd:BBBR_1813
ko:K06950	bbrd:BBBR_1822
ko:K03549	bbrd:BBBR_1824
ko:K03424	bbrd:BBBR_1825
ko:K06147	bbrd:BBBR_1826
ko:K06147	bbrd:BBBR_1827
ko:K07133	bbrd:BBBR_1829
ko:K01372	bbrd:BBBR_1834
ko:K01874	bbrd:BBBR_1836
ko:K07056	bbrd:BBBR_1839
ko:K03734	bbrd:BBBR_1841
ko:K06147	bbrd:BBBR_1842
ko:K06147	bbrd:BBBR_1843
ko:K02004	bbrd:BBBR_1847
ko:K02003	bbrd:BBBR_1848
ko:K03647	bbrd:BBBR_1903
ko:K05349	bbrd:BBBR_1906
ko:K10716	bbrd:BBBR_1909
ko:K05349	bbrd:BBBR_1910
ko:K02528	bbrd:BBBR_1915
ko:K00919	bbrd:BBBR_1916
ko:K00970	bbrd:BBBR_1918
ko:K03980	bbrd:BBBR_1921
ko:K00384	bbrd:BBBR_1922
ko:K03497	bbrd:BBBR_1923
ko:K03496	bbrd:BBBR_1924
ko:K03501	bbrd:BBBR_1925
ko:K06346	bbrd:BBBR_1926
ko:K03217	bbrd:BBBR_1927
ko:K03536	bbrd:BBBR_1928
ko:K02914	bbrd:BBBR_1929
ko:K03710	bbrd:BBBR_0474
ko:K03710	bbrd:BBBR_1894
ko:K02035	bbrd:BBBR_1833
ko:K09164	bbrd:BBBR_1845
ko:K01977	bbrd:BBBR_16SrRNA01
ko:K00821	bbrd:BBBR_0633
ko:K21636	bbrd:BBBR_1484
ko:K02031	bbrd:BBBR_0460
ko:K02032	bbrd:BBBR_0461
ko:K02032	bbrd:BBBR_0143
ko:K02314	bbrd:BBBR_0198
ko:K02316	bbrd:BBBR_0470
ko:K18955	bbrd:BBBR_0685
ko:K18955	bbrd:BBBR_0689
ko:K06217	bbrd:BBBR_0878
ko:K06223	bbrd:BBBR_1136
ko:K01520	bbrd:BBBR_1159
ko:K03553	bbrd:BBBR_1180
ko:K06904	bbrd:BBBR_1282
ko:K01160	bbrd:BBBR_1297
ko:K07455	bbrd:BBBR_1300
ko:K00558	bbrd:BBBR_1306
ko:K04068	bbrd:BBBR_1483
ko:K00287	bbrd:BBBR_1562
ko:K00560	bbrd:BBBR_1563
ko:K06191	bbrd:BBBR_1904
ko:K00525	bbrd:BBBR_1902
ko:K02335	bbrd:BBBR_0712
ko:K07005	bbrd:BBBR_0068
ko:K07741	bbrd:BBBR_1305
ko:K21471	bbrd:BBBR_0442
ko:K03293	bbrd:BBBR_1849
ko:K05364	bbrd:BBBR_0055
ko:K03293	bbrd:BBBR_1846
ko:K21495	bbrd:BBBR_0329
ko:K21498	bbrd:BBBR_0798
ko:K21600	bbrd:BBBR_0227
ko:K10914	bbrd:BBBR_0409
ko:K21739	bbrd:BBBR_1597
ko:K14230	bbrd:BBBR_tRNA45
ko:K14234	bbrd:BBBR_tRNA14
ko:K14223	bbrd:BBBR_tRNA21
ko:K14226	bbrd:BBBR_tRNA16
ko:K14237	bbrd:BBBR_tRNA48
ko:K14220	bbrd:BBBR_tRNA34
ko:K14232	bbrd:BBBR_tRNA32
ko:K14228	bbrd:BBBR_tRNA18
ko:K14228	bbrd:BBBR_tRNA19
ko:K14237	bbrd:BBBR_tRNA17
ko:K14228	bbrd:BBBR_tRNA26
ko:K14234	bbrd:BBBR_tRNA46
ko:K14219	bbrd:BBBR_tRNA15
ko:K14219	bbrd:BBBR_tRNA35
ko:K00936	bbrd:BBBR_0684
ko:K22010	bbrd:BBBR_0711
ko:K14225	bbrd:BBBR_tRNA04
ko:K14225	bbrd:BBBR_tRNA12
ko:K14235	bbrd:BBBR_tRNA51
ko:K14218	bbrd:BBBR_tRNA22
ko:K14221	bbrd:BBBR_tRNA37
ko:K22306	bbrd:BBBR_0747
ko:K22397	bbrd:BBBR_1350
ko:K22397	bbrd:BBBR_1741
ko:K08300	bbrd:BBBR_1738
ko:K08301	bbrd:BBBR_1738
