ko:K18929	hpu:HPCU_00650
ko:K01507	hpu:HPCU_03385
ko:K00674	hpu:HPCU_03415
ko:K07126	hpu:HPCU_03420
ko:K01885	hpu:HPCU_03495
ko:K03469	hpu:HPCU_03585
ko:K04763	hpu:HPCU_03635
ko:K00567	hpu:HPCU_03640
ko:K02342	hpu:HPCU_07815
ko:K03386	hpu:HPCU_08005
ko:K04652	hpu:HPCU_04755
ko:K02014	hpu:HPCU_04820
ko:K03743	hpu:HPCU_05010
ko:K06179	hpu:HPCU_05030
ko:K07126	hpu:HPCU_01360
ko:K01439	hpu:HPCU_01365
ko:K06910	hpu:HPCU_01400
ko:K07126	hpu:HPCU_01500
ko:K03784	hpu:HPCU_05995
ko:K03317	hpu:HPCU_06005
ko:K01674	hpu:HPCU_06050
ko:K02843	hpu:HPCU_06070
ko:K00076	hpu:HPCU_02500
ko:K03455	hpu:HPCU_02585
ko:K02017	hpu:HPCU_02605
ko:K01885	hpu:HPCU_02610
ko:K08077	hpu:HPCU_02760
ko:K02238	hpu:HPCU_06950
ko:K04517	hpu:HPCU_07055
ko:K03279	hpu:HPCU_07125
ko:K03279	hpu:HPCU_00760
ko:K07126	hpu:HPCU_00765
ko:K15898	hpu:HPCU_00850
ko:K03442	hpu:HPCU_05150
ko:K01585	hpu:HPCU_05250
ko:K13016	hpu:HPCU_03650
ko:K00626	hpu:HPCU_03715
ko:K01424	hpu:HPCU_03865
ko:K00769	hpu:HPCU_03920
ko:K01409	hpu:HPCU_08105
ko:K06196	hpu:HPCU_01655
ko:K04093	hpu:HPCU_01790
ko:K03342	hpu:HPCU_01800
ko:K01719	hpu:HPCU_06225
ko:K01455	hpu:HPCU_06295
ko:K00245	hpu:HPCU_00925
ko:K00244	hpu:HPCU_00930
ko:K07126	hpu:HPCU_02830
ko:K07491	hpu:HPCU_02990
ko:K00059	hpu:HPCU_03070
ko:K03768	hpu:HPCU_07260
ko:K06346	hpu:HPCU_07310
ko:K02067	hpu:HPCU_07380
ko:K02242	hpu:HPCU_07425
ko:K04655	hpu:HPCU_00205
ko:K06603	hpu:HPCU_04005
ko:K02004	hpu:HPCU_04175
ko:K03406	hpu:HPCU_00465
ko:K03406	hpu:HPCU_00485
ko:K01119	hpu:HPCU_00490
ko:K00058	hpu:HPCU_05355
ko:K06013	hpu:HPCU_05435
ko:K01784	hpu:HPCU_05540
ko:K07126	hpu:HPCU_05560
ko:K00652	hpu:HPCU_03265
ko:K07457	hpu:HPCU_03295
ko:K00616	hpu:HPCU_07535
ko:K01156	hpu:HPCU_07640
ko:K07316	hpu:HPCU_07650
ko:K03593	hpu:HPCU_01160
ko:K00845	hpu:HPCU_05585
ko:K07126	hpu:HPCU_05660
ko:K01916	hpu:HPCU_01975
ko:K07126	hpu:HPCU_02010
ko:K11085	hpu:HPCU_02155
ko:K00949	hpu:HPCU_06595
ko:K14232	hpu:HPCU_t08173
ko:K14219	hpu:HPCU_t08167
ko:K16052	hpu:HPCU_05285
ko:K14224	hpu:HPCU_t08127
ko:K14221	hpu:HPCU_t08129
ko:K14237	hpu:HPCU_t08131
ko:K14224	hpu:HPCU_t08133
ko:K14229	hpu:HPCU_t08135
ko:K14237	hpu:HPCU_t08137
ko:K14220	hpu:HPCU_t08141
ko:K14219	hpu:HPCU_t08145
ko:K14233	hpu:HPCU_t08147
ko:K14232	hpu:HPCU_t08149
ko:K14219	hpu:HPCU_t08153
ko:K14230	hpu:HPCU_t08151
ko:K14230	hpu:HPCU_t08155
ko:K14223	hpu:HPCU_t08157
ko:K14225	hpu:HPCU_t08159
ko:K14228	hpu:HPCU_t08161
ko:K14222	hpu:HPCU_t08163
ko:K14233	hpu:HPCU_t08165
ko:K01985	hpu:HPCU_r08199
ko:K01985	hpu:HPCU_r08201
ko:K01980	hpu:HPCU_r08209
ko:K01980	hpu:HPCU_r08207
ko:K14228	hpu:HPCU_t08175
ko:K14227	hpu:HPCU_t08177
ko:K14218	hpu:HPCU_t08179
ko:K01977	hpu:HPCU_r08203
ko:K01977	hpu:HPCU_r08205
ko:K02029	hpu:HPCU_05950
ko:K14235	hpu:HPCU_t08183
ko:K11028	hpu:HPCU_04700
ko:K15847	hpu:HPCU_04735
ko:K12086	hpu:HPCU_02835
ko:K12088	hpu:HPCU_02845
ko:K12089	hpu:HPCU_02850
ko:K12090	hpu:HPCU_02855
ko:K12092	hpu:HPCU_02875
ko:K12093	hpu:HPCU_02890
ko:K12094	hpu:HPCU_02895
ko:K12095	hpu:HPCU_02900
ko:K12096	hpu:HPCU_02905
ko:K12097	hpu:HPCU_02910
ko:K12098	hpu:HPCU_02915
ko:K12099	hpu:HPCU_02930
ko:K12101	hpu:HPCU_02940
ko:K15842	hpu:HPCU_03005
ko:K12102	hpu:HPCU_02945
ko:K12103	hpu:HPCU_02950
ko:K12104	hpu:HPCU_02955
ko:K12105	hpu:HPCU_02960
ko:K12106	hpu:HPCU_02965
ko:K12107	hpu:HPCU_02970
ko:K12108	hpu:HPCU_02975
ko:K12109	hpu:HPCU_02980
ko:K12110	hpu:HPCU_02985
ko:K15848	hpu:HPCU_03875
ko:K15843	hpu:HPCU_04805
ko:K15844	hpu:HPCU_04810
ko:K03196	hpu:HPCU_01250
ko:K03196	hpu:HPCU_07155
ko:K12091	hpu:HPCU_02865
ko:K10009	hpu:HPCU_04945
ko:K00970	hpu:HPCU_03480
ko:K03321	hpu:HPCU_01460
ko:K12369	hpu:HPCU_01830
ko:K01426	hpu:HPCU_01805
ko:K12371	hpu:HPCU_01840
ko:K01155	hpu:HPCU_00425
ko:K07316	hpu:HPCU_00240
ko:K02424	hpu:HPCU_04950
ko:K12050	hpu:HPCU_00175
ko:K03559	hpu:HPCU_06840
ko:K03559	hpu:HPCU_07285
ko:K09477	hpu:HPCU_00675
ko:K07318	hpu:HPCU_06160
ko:K03559	hpu:HPCU_05725
ko:K12049	hpu:HPCU_00180
ko:K12977	hpu:HPCU_00095
ko:K12048	hpu:HPCU_00185
ko:K12052	hpu:HPCU_00170
ko:K03191	hpu:HPCU_00325
ko:K13797	hpu:HPCU_06100
ko:K02003	hpu:HPCU_00855
ko:K15895	hpu:HPCU_05515
ko:K15896	hpu:HPCU_01965
ko:K11782	hpu:HPCU_04135
ko:K01738	hpu:HPCU_00505
ko:K01760	hpu:HPCU_00500
ko:K01992	hpu:HPCU_03335
ko:K07316	hpu:HPCU_07645
ko:K01990	hpu:HPCU_06205
ko:K17103	hpu:HPCU_02210
ko:K02484	hpu:HPCU_06965
ko:K02484	hpu:HPCU_00780
ko:K02847	hpu:HPCU_02375
ko:K01992	hpu:HPCU_07495
ko:K12053	hpu:HPCU_00075
ko:K17686	hpu:HPCU_07575
ko:K17686	hpu:HPCU_02205
ko:K00971	hpu:HPCU_00190
ko:K05540	hpu:HPCU_03885
ko:K11928	hpu:HPCU_00260
ko:K01658	hpu:HPCU_06560
ko:K01156	hpu:HPCU_07070
ko:K00290	hpu:HPCU_07595
ko:K01497	hpu:HPCU_04250
ko:K00254	hpu:HPCU_02515
ko:K06148	hpu:HPCU_06150
ko:K05922	hpu:HPCU_03440
ko:K05927	hpu:HPCU_03435
ko:K07812	hpu:HPCU_05305
ko:K03605	hpu:HPCU_03450
ko:K05366	hpu:HPCU_03260
ko:K07501	hpu:HPCU_03710
ko:K01154	hpu:HPCU_04490
ko:K03427	hpu:HPCU_04515
ko:K03601	hpu:HPCU_05160
ko:K12048	hpu:HPCU_01225
ko:K05801	hpu:HPCU_06010
ko:K15847	hpu:HPCU_06340
ko:K11784	hpu:HPCU_03560
ko:K11785	hpu:HPCU_00725
ko:K18284	hpu:HPCU_00410
ko:K18285	hpu:HPCU_03550
ko:K16235	hpu:HPCU_02485
ko:K18480	hpu:HPCU_07375
ko:K00681	hpu:HPCU_05670
ko:K07316	hpu:HPCU_07065
ko:K18930	hpu:HPCU_06215
ko:K03196	hpu:HPCU_02860
ko:K03203	hpu:HPCU_01215
ko:K03204	hpu:HPCU_01220
ko:K03205	hpu:HPCU_01270
ko:K03497	hpu:HPCU_05770
ko:K03496	hpu:HPCU_05775
ko:K03111	hpu:HPCU_06360
ko:K03761	hpu:HPCU_02110
ko:K00335	hpu:HPCU_06465
ko:K02483	hpu:HPCU_00785
ko:K03526	hpu:HPCU_03410
ko:K03296	hpu:HPCU_03320
ko:K00336	hpu:HPCU_06470
ko:K07448	hpu:HPCU_02165
ko:K19157	hpu:HPCU_04725
ko:K19157	hpu:HPCU_01275
ko:K00571	hpu:HPCU_00220
ko:K00571	hpu:HPCU_00430
ko:K00571	hpu:HPCU_01645
ko:K00571	hpu:HPCU_06980
ko:K00525	hpu:HPCU_03655
ko:K04771	hpu:HPCU_02480
ko:K01992	hpu:HPCU_07490
ko:K07496	hpu:HPCU_02995
ko:K07496	hpu:HPCU_07800
ko:K07496	hpu:HPCU_05140
ko:K07496	hpu:HPCU_05145
ko:K19416	hpu:HPCU_04835
ko:K02483	hpu:HPCU_02355
ko:K12053	hpu:HPCU_01200
ko:K20151	hpu:HPCU_03535
ko:K20810	hpu:HPCU_01665
ko:K20151	hpu:HPCU_05450
ko:K07100	hpu:HPCU_06185
ko:K02335	hpu:HPCU_07410
ko:K02335	hpu:HPCU_02460
ko:K00558	hpu:HPCU_02270
ko:K06223	hpu:HPCU_02635
ko:K02314	hpu:HPCU_06955
ko:K03465	hpu:HPCU_07700
ko:K00558	hpu:HPCU_07850
ko:K02316	hpu:HPCU_00050
ko:K00558	hpu:HPCU_00225
ko:K01520	hpu:HPCU_04595
ko:K03553	hpu:HPCU_00730
ko:K02316	hpu:HPCU_01070
ko:K14059	hpu:HPCU_01100
ko:K00558	hpu:HPCU_05685
ko:K00558	hpu:HPCU_02095
ko:K02483	hpu:HPCU_06970
ko:K00526	hpu:HPCU_05520
ko:K02481	hpu:HPCU_03780
ko:K01139	hpu:HPCU_04120
ko:K07097	hpu:HPCU_02360
ko:K10026	hpu:HPCU_04900
ko:K21929	hpu:HPCU_03530
ko:K03595	hpu:HPCU_02820
ko:K09022	hpu:HPCU_04970
ko:K22278	hpu:HPCU_01885
ko:K14441	hpu:HPCU_03915
ko:K22391	hpu:HPCU_05045
ko:K17758	hpu:HPCU_06960
ko:K17759	hpu:HPCU_06960
ko:K00590	hpu:HPCU_06990
ko:K00590	hpu:HPCU_03700
ko:K00571	hpu:HPCU_06910
ko:K01007	hpu:HPCU_00565
