ko:K00459	hpb:HELPY_0591
ko:K14228	hpb:HELPY_tRNA5
ko:K03342	hpb:HELPY_0299
ko:K01916	hpb:HELPY_0333
ko:K03317	hpb:HELPY_1153
ko:K13893	hpb:HELPY_1228
ko:K09944	hpb:HELPY_0288
ko:K13894	hpb:HELPY_1227
ko:K13896	hpb:HELPY_0255
ko:K09943	hpb:HELPY_1475
ko:K11028	hpb:HELPY_0872
ko:K14220	hpb:HELPY_tRNA30
ko:K14226	hpb:HELPY_tRNA21
ko:K04517	hpb:HELPY_1367
ko:K14234	hpb:HELPY_tRNA13
ko:K14232	hpb:HELPY_tRNA20
ko:K14225	hpb:HELPY_tRNA4
ko:K00290	hpb:HELPY_1480
ko:K01990	hpb:HELPY_1195
ko:K14221	hpb:HELPY_tRNA35
ko:K14228	hpb:HELPY_tRNA19
ko:K14232	hpb:HELPY_tRNA27
ko:K14228	hpb:HELPY_tRNA12
ko:K14233	hpb:HELPY_tRNA28
ko:K13498	hpb:HELPY_1256
ko:K13821	hpb:HELPY_0049
ko:K04771	hpb:HELPY_0435
ko:K05922	hpb:HELPY_0739
ko:K05927	hpb:HELPY_0740
ko:K01154	hpb:HELPY_1402
ko:K01599	hpb:HELPY_0768
ko:K07457	hpb:HELPY_0770
ko:K02406	hpb:HELPY_0771
ko:K07316	hpb:HELPY_0781
ko:K00177	hpb:HELPY_0783
ko:K00175	hpb:HELPY_0784
ko:K00174	hpb:HELPY_0785
ko:K00176	hpb:HELPY_0786
ko:K07082	hpb:HELPY_0787
ko:K10773	hpb:HELPY_0790
ko:K02417	hpb:HELPY_0791
ko:K01465	hpb:HELPY_0794
ko:K03100	hpb:HELPY_0800
ko:K01808	hpb:HELPY_0802
ko:K00759	hpb:HELPY_0804
ko:K01255	hpb:HELPY_0806
ko:K06942	hpb:HELPY_0807
ko:K01778	hpb:HELPY_0811
ko:K07107	hpb:HELPY_0857
ko:K13626	hpb:HELPY_1364
ko:K04093	hpb:HELPY_0297
ko:K03605	hpb:HELPY_0737
ko:K02029	hpb:HELPY_1143
ko:K00941	hpb:HELPY_0511
ko:K06882	hpb:HELPY_0619
ko:K07791	hpb:HELPY_0643
ko:K02484	hpb:HELPY_1354
ko:K02484	hpb:HELPY_0168
ko:K14230	hpb:HELPY_tRNA3
ko:K14234	hpb:HELPY_tRNA16
ko:K14231	hpb:HELPY_tRNA10
ko:K14229	hpb:HELPY_tRNA32
ko:K08077	hpb:HELPY_0846
ko:K05540	hpb:HELPY_0640
ko:K00104	hpb:HELPY_0844
ko:K10856	hpb:HELPY_0673
ko:K14224	hpb:HELPY_tRNA33
ko:K14222	hpb:HELPY_tRNA6
ko:K14225	hpb:HELPY_tRNA15
ko:K14235	hpb:HELPY_tRNA17
ko:K14224	hpb:HELPY_tRNA36
ko:K14237	hpb:HELPY_tRNA34
ko:K14236	hpb:HELPY_tRNA14
ko:K14228	hpb:HELPY_tRNA11
ko:K14230	hpb:HELPY_tRNA25
ko:K14233	hpb:HELPY_tRNA7
ko:K14445	hpb:HELPY_0217
ko:K01980	hpb:HELPY_23S_1
ko:K01980	hpb:HELPY_23S_2
ko:K01985	hpb:HELPY_5S_1
ko:K01985	hpb:HELPY_5S_2
ko:K01977	hpb:HELPY_16S_1
ko:K01977	hpb:HELPY_16S_2
ko:K02483	hpb:HELPY_0169
ko:K14219	hpb:HELPY_tRNA2
ko:K14219	hpb:HELPY_tRNA22
ko:K14218	hpb:HELPY_tRNA9
ko:K14218	hpb:HELPY_tRNA29
ko:K01497	hpb:HELPY_0558
ko:K01524	hpb:HELPY_0284
ko:K01173	hpb:HELPY_1369
ko:K07097	hpb:HELPY_0411
ko:K14237	hpb:HELPY_tRNA31
ko:K14230	hpb:HELPY_tRNA18
ko:K14219	hpb:HELPY_tRNA23
ko:K14227	hpb:HELPY_tRNA8
ko:K14219	hpb:HELPY_tRNA26
ko:K19302	hpb:HELPY_0504
ko:K14223	hpb:HELPY_tRNA24
ko:K01983	hpb:HELPY_misc_RNA_2
ko:K12052	hpb:HELPY_0035
ko:K12050	hpb:HELPY_0036
ko:K12049	hpb:HELPY_0037
ko:K12048	hpb:HELPY_0038
ko:K03191	hpb:HELPY_0067
ko:K12053	hpb:HELPY_0015
ko:K01985	hpb:HELPY_5S_3
ko:K18928	hpb:HELPY_0140
ko:K07316	hpb:HELPY_1370
ko:K06179	hpb:HELPY_0942
ko:K02483	hpb:HELPY_0407
ko:K03611	hpb:HELPY_0779
ko:K07318	hpb:HELPY_1182
ko:K15256	hpb:HELPY_1037
ko:K15257	hpb:HELPY_1009
ko:K00971	hpb:HELPY_0039
ko:K06148	hpb:HELPY_1180
ko:K02481	hpb:HELPY_0666
ko:K00571	hpb:HELPY_0462
ko:K07100	hpb:HELPY_1190
ko:K15633	hpb:HELPY_0961
ko:K15896	hpb:HELPY_0331
ko:K15898	hpb:HELPY_0182
ko:K15778	hpb:HELPY_1252
ko:K15843	hpb:HELPY_0897
ko:K15844	hpb:HELPY_0898
ko:K15845	hpb:HELPY_0007
ko:K15846	hpb:HELPY_0563
ko:K15846	hpb:HELPY_0861
ko:K15846	hpb:HELPY_1014
ko:K15847	hpb:HELPY_0880
ko:K15848	hpb:HELPY_0642
ko:K15894	hpb:HELPY_0515
ko:K15895	hpb:HELPY_1059
ko:K07316	hpb:HELPY_0265
ko:K18682	hpb:HELPY_0605
ko:K01409	hpb:HELPY_1588
ko:K03781	hpb:HELPY_0468
ko:K02847	hpb:HELPY_0414
ko:K16091	hpb:HELPY_0686
ko:K16091	hpb:HELPY_1510
ko:K15726	hpb:HELPY_0956
ko:K10716	hpb:HELPY_0864
ko:K02014	hpb:HELPY_0476
ko:K02014	hpb:HELPY_1485
ko:K02028	hpb:HELPY_1145
ko:K02030	hpb:HELPY_1146
ko:K16052	hpb:HELPY_1013
ko:K02029	hpb:HELPY_1144
ko:K03196	hpb:HELPY_1390
ko:K10009	hpb:HELPY_0925
ko:K00970	hpb:HELPY_0731
ko:K03321	hpb:HELPY_0232
ko:K12369	hpb:HELPY_0305
ko:K12371	hpb:HELPY_0308
ko:K02424	hpb:HELPY_0926
ko:K03559	hpb:HELPY_1101
ko:K03559	hpb:HELPY_1315
ko:K00681	hpb:HELPY_1090
ko:K02003	hpb:HELPY_0183
ko:K11782	hpb:HELPY_0586
ko:K01738	hpb:HELPY_0106
ko:K01760	hpb:HELPY_0105
ko:K17103	hpb:HELPY_0380
ko:K03559	hpb:HELPY_1417
ko:K01992	hpb:HELPY_1460
ko:K17686	hpb:HELPY_1476
ko:K17686	hpb:HELPY_0379
ko:K01658	hpb:HELPY_1258
ko:K01156	hpb:HELPY_1371
ko:K00254	hpb:HELPY_0442
ko:K07812	hpb:HELPY_1018
ko:K05366	hpb:HELPY_0775
ko:K11749	hpb:HELPY_0973
ko:K03601	hpb:HELPY_0974
ko:K11784	hpb:HELPY_0715
ko:K03761	hpb:HELPY_0362
ko:K11785	hpb:HELPY_0156
ko:K18284	hpb:HELPY_0086
ko:K18285	hpb:HELPY_0717
ko:K18480	hpb:HELPY_1435
ko:K03496	hpb:HELPY_1111
ko:K03497	hpb:HELPY_1110
ko:K03111	hpb:HELPY_1221
ko:K18930	hpb:HELPY_1197
ko:K00335	hpb:HELPY_1241
ko:K03526	hpb:HELPY_0746
ko:K02483	hpb:HELPY_1355
ko:K07448	hpb:HELPY_0373
ko:K19157	hpb:HELPY_0878
ko:K00571	hpb:HELPY_0045
ko:K00571	hpb:HELPY_0090
ko:K00571	hpb:HELPY_0269
ko:K07317	hpb:HELPY_0894
ko:K00336	hpb:HELPY_1242
ko:K01992	hpb:HELPY_1459
ko:K00525	hpb:HELPY_0691
ko:K19416	hpb:HELPY_0904
ko:K20151	hpb:HELPY_1046
ko:K20810	hpb:HELPY_0273
ko:K20151	hpb:HELPY_0720
ko:K02335	hpb:HELPY_0431
ko:K02316	hpb:HELPY_0010
ko:K02335	hpb:HELPY_1442
ko:K03553	hpb:HELPY_0157
ko:K00558	hpb:HELPY_1093
ko:K03465	hpb:HELPY_1504
ko:K02314	hpb:HELPY_1352
ko:K00558	hpb:HELPY_0465
ko:K01520	hpb:HELPY_0487
ko:K00526	hpb:HELPY_1060
ko:K01139	hpb:HELPY_0589
ko:K10026	hpb:HELPY_0917
ko:K21929	hpb:HELPY_0721
ko:K03595	hpb:HELPY_0830
ko:K22278	hpb:HELPY_0317
ko:K14441	hpb:HELPY_0633
ko:K22391	hpb:HELPY_0945
ko:K17758	hpb:HELPY_1353
ko:K17759	hpb:HELPY_1353
ko:K00571	hpb:HELPY_1341
ko:K01007	hpb:HELPY_0120
