ko:K02495	sfs:SFyv_5686
ko:K06149	sfs:SFyv_5083
ko:K03305	sfs:SFyv_5084
ko:K03305	sfs:SFyv_5085
ko:K15984	sfs:SFyv_5086
ko:K01414	sfs:SFyv_5089
ko:K07115	sfs:SFyv_5090
ko:K00383	sfs:SFyv_5093
ko:K03893	sfs:SFyv_5100
ko:K00537	sfs:SFyv_5101
ko:K07089	sfs:SFyv_5107
ko:K07285	sfs:SFyv_5109
ko:K07507	sfs:SFyv_5112
ko:K07507	sfs:SFyv_5113
ko:K01194	sfs:SFyv_5123
ko:K07058	sfs:SFyv_5127
ko:K07290	sfs:SFyv_5129
ko:K00874	sfs:SFyv_5133
ko:K11103	sfs:SFyv_5137
ko:K00694	sfs:SFyv_5145
ko:K00694	sfs:SFyv_5147
ko:K00694	sfs:SFyv_5148
ko:K02510	sfs:SFyv_6354
ko:K02509	sfs:SFyv_6356
ko:K01826	sfs:SFyv_6357
ko:K00455	sfs:SFyv_6360
ko:K00151	sfs:SFyv_6361
ko:K05921	sfs:SFyv_6362
ko:K01002	sfs:SFyv_6372
ko:K02317	sfs:SFyv_6377
ko:K13255	sfs:SFyv_6385
ko:K00564	sfs:SFyv_6387
ko:K02344	sfs:SFyv_6388
ko:K03789	sfs:SFyv_6389
ko:K08723	sfs:SFyv_6390
ko:K02837	sfs:SFyv_6392
ko:K04065	sfs:SFyv_6393
ko:K03424	sfs:SFyv_6397
ko:K01619	sfs:SFyv_6403
ko:K00758	sfs:SFyv_6405
ko:K01839	sfs:SFyv_6408
ko:K03784	sfs:SFyv_6409
ko:K03800	sfs:SFyv_6412
ko:K03800	sfs:SFyv_6414
ko:K07186	sfs:SFyv_6416
ko:K01079	sfs:SFyv_6417
ko:K04485	sfs:SFyv_6418
ko:K06211	sfs:SFyv_6419
ko:K08309	sfs:SFyv_6421
ko:K03720	sfs:SFyv_6422
ko:K05804	sfs:SFyv_6428
ko:K05805	sfs:SFyv_6429
ko:K07663	sfs:SFyv_6431
ko:K07641	sfs:SFyv_6432
ko:K06143	sfs:SFyv_6433
ko:K01129	sfs:SFyv_0205
ko:K02647	sfs:SFyv_0209
ko:K02647	sfs:SFyv_0210
ko:K00674	sfs:SFyv_0214
ko:K00990	sfs:SFyv_0216
ko:K01265	sfs:SFyv_0217
ko:K02967	sfs:SFyv_0218
ko:K02357	sfs:SFyv_0220
ko:K09903	sfs:SFyv_0223
ko:K02838	sfs:SFyv_0224
ko:K00099	sfs:SFyv_0225
ko:K00806	sfs:SFyv_0226
ko:K00981	sfs:SFyv_0228
ko:K11749	sfs:SFyv_0229
ko:K07277	sfs:SFyv_0230
ko:K06142	sfs:SFyv_0231
ko:K02536	sfs:SFyv_0233
ko:K02372	sfs:SFyv_0234
ko:K00677	sfs:SFyv_0235
ko:K00748	sfs:SFyv_0236
ko:K03470	sfs:SFyv_0237
ko:K02337	sfs:SFyv_0240
ko:K01962	sfs:SFyv_0242
ko:K03562	sfs:SFyv_0781
ko:K07107	sfs:SFyv_0782
ko:K00426	sfs:SFyv_0785
ko:K00425	sfs:SFyv_0788
ko:K15524	sfs:SFyv_0792
ko:K11198	sfs:SFyv_0793
ko:K11199	sfs:SFyv_0793
ko:K11200	sfs:SFyv_0793
ko:K11922	sfs:SFyv_0794
ko:K01902	sfs:SFyv_0797
ko:K01903	sfs:SFyv_0799
ko:K00658	sfs:SFyv_0801
ko:K00164	sfs:SFyv_0804
ko:K00240	sfs:SFyv_0807
ko:K00239	sfs:SFyv_0809
ko:K00242	sfs:SFyv_0810
ko:K00241	sfs:SFyv_0812
ko:K01647	sfs:SFyv_0814
ko:K07120	sfs:SFyv_0820
ko:K05522	sfs:SFyv_0821
ko:K00254	sfs:SFyv_1342
ko:K03658	sfs:SFyv_1360
ko:K03547	sfs:SFyv_0452
ko:K07657	sfs:SFyv_0454
ko:K07636	sfs:SFyv_0455
ko:K03311	sfs:SFyv_0457
ko:K11736	sfs:SFyv_0458
ko:K01187	sfs:SFyv_0460
ko:K08682	sfs:SFyv_0461
ko:K08682	sfs:SFyv_0462
ko:K07568	sfs:SFyv_0463
ko:K00773	sfs:SFyv_0465
ko:K03210	sfs:SFyv_0466
ko:K03072	sfs:SFyv_0468
ko:K03074	sfs:SFyv_0469
ko:K05517	sfs:SFyv_0471
ko:K07738	sfs:SFyv_0473
ko:K11752	sfs:SFyv_0474
ko:K00794	sfs:SFyv_0475
ko:K03625	sfs:SFyv_0476
ko:K00946	sfs:SFyv_0477
ko:K01095	sfs:SFyv_0478
ko:K01662	sfs:SFyv_0480
ko:K00795	sfs:SFyv_0481
ko:K01935	sfs:SFyv_1029
ko:K03702	sfs:SFyv_1030
ko:K03639	sfs:SFyv_1033
ko:K03638	sfs:SFyv_1034
ko:K03637	sfs:SFyv_1036
ko:K03636	sfs:SFyv_1037
ko:K03635	sfs:SFyv_1039
ko:K06890	sfs:SFyv_1041
ko:K06890	sfs:SFyv_1042
ko:K07027	sfs:SFyv_1043
ko:K01993	sfs:SFyv_1053
ko:K11927	sfs:SFyv_1056
ko:K13574	sfs:SFyv_1062
ko:K02390	sfs:SFyv_1609
ko:K02391	sfs:SFyv_1610
ko:K02391	sfs:SFyv_1611
ko:K02392	sfs:SFyv_1612
ko:K02393	sfs:SFyv_1614
ko:K02394	sfs:SFyv_1615
ko:K02395	sfs:SFyv_1616
ko:K02396	sfs:SFyv_1618
ko:K02396	sfs:SFyv_1619
ko:K02397	sfs:SFyv_1620
ko:K02397	sfs:SFyv_1621
ko:K08300	sfs:SFyv_1623
ko:K06179	sfs:SFyv_1624
ko:K07040	sfs:SFyv_1629
ko:K03621	sfs:SFyv_1630
ko:K00648	sfs:SFyv_1632
ko:K01734	sfs:SFyv_1361
ko:K09909	sfs:SFyv_1362
ko:K06929	sfs:SFyv_1364
ko:K11940	sfs:SFyv_1365
ko:K06969	sfs:SFyv_1366
ko:K01512	sfs:SFyv_1367
ko:K11179	sfs:SFyv_1368
ko:K06282	sfs:SFyv_1372
ko:K06281	sfs:SFyv_1375
ko:K03620	sfs:SFyv_1377
ko:K03605	sfs:SFyv_1378
ko:K03619	sfs:SFyv_1379
ko:K03618	sfs:SFyv_1380
ko:K00425	sfs:SFyv_1381
ko:K00426	sfs:SFyv_1382
ko:K01093	sfs:SFyv_1383
ko:K16692	sfs:SFyv_1385
ko:K01104	sfs:SFyv_1387
ko:K01991	sfs:SFyv_1388
ko:K00823	sfs:SFyv_1934
ko:K03974	sfs:SFyv_1936
ko:K03969	sfs:SFyv_1937
ko:K03970	sfs:SFyv_1938
ko:K03971	sfs:SFyv_1940
ko:K03972	sfs:SFyv_1941
ko:K02027	sfs:SFyv_1948
ko:K02027	sfs:SFyv_1949
ko:K02025	sfs:SFyv_1950
ko:K02026	sfs:SFyv_1951
ko:K04844	sfs:SFyv_1959
ko:K01838	sfs:SFyv_1960
ko:K10112	sfs:SFyv_1961
ko:K14053	sfs:SFyv_1963
ko:K14053	sfs:SFyv_1964
ko:K06918	sfs:SFyv_1966
ko:K08990	sfs:SFyv_1967
ko:K03721	sfs:SFyv_1968
ko:K11065	sfs:SFyv_1969
ko:K05887	sfs:SFyv_2522
ko:K03785	sfs:SFyv_2523
ko:K06871	sfs:SFyv_2529
ko:K02471	sfs:SFyv_2531
ko:K02471	sfs:SFyv_2532
ko:K07263	sfs:SFyv_2537
ko:K01580	sfs:SFyv_2542
ko:K13069	sfs:SFyv_2546
ko:K13243	sfs:SFyv_2547
ko:K08641	sfs:SFyv_2548
ko:K02034	sfs:SFyv_2549
ko:K04063	sfs:SFyv_2552
ko:K16692	sfs:SFyv_3086
ko:K01104	sfs:SFyv_3088
ko:K01991	sfs:SFyv_3089
ko:K07289	sfs:SFyv_3091
ko:K01494	sfs:SFyv_3092
ko:K00876	sfs:SFyv_3093
ko:K07799	sfs:SFyv_3095
ko:K07788	sfs:SFyv_3096
ko:K07788	sfs:SFyv_3097
ko:K07789	sfs:SFyv_3099
ko:K07789	sfs:SFyv_3100
ko:K18326	sfs:SFyv_3101
ko:K07642	sfs:SFyv_3102
ko:K07664	sfs:SFyv_3103
ko:K09946	sfs:SFyv_3105
ko:K08303	sfs:SFyv_3107
ko:K02436	sfs:SFyv_3110
ko:K00094	sfs:SFyv_3112
ko:K02775	sfs:SFyv_3116
ko:K02774	sfs:SFyv_3117
ko:K02773	sfs:SFyv_3118
ko:K12138	sfs:SFyv_3670
ko:K12139	sfs:SFyv_3671
ko:K12140	sfs:SFyv_3672
ko:K12141	sfs:SFyv_3673
ko:K12142	sfs:SFyv_3674
ko:K12142	sfs:SFyv_3676
ko:K12143	sfs:SFyv_3678
ko:K12144	sfs:SFyv_3679
ko:K12145	sfs:SFyv_3680
ko:K12146	sfs:SFyv_3682
ko:K03459	sfs:SFyv_3684
ko:K03459	sfs:SFyv_3686
ko:K03548	sfs:SFyv_3687
ko:K00537	sfs:SFyv_3689
ko:K10763	sfs:SFyv_3690
ko:K02824	sfs:SFyv_3691
ko:K00761	sfs:SFyv_3692
ko:K01933	sfs:SFyv_3694
ko:K11175	sfs:SFyv_3695
ko:K00937	sfs:SFyv_3697
ko:K01524	sfs:SFyv_3698
ko:K01951	sfs:SFyv_3708
ko:K00088	sfs:SFyv_3710
ko:K03601	sfs:SFyv_3711
ko:K03977	sfs:SFyv_3713
ko:K17713	sfs:SFyv_3715
ko:K01892	sfs:SFyv_3717
ko:K15539	sfs:SFyv_3719
ko:K06941	sfs:SFyv_3720
ko:K00940	sfs:SFyv_3721
ko:K05367	sfs:SFyv_3724
ko:K01011	sfs:SFyv_3726
ko:K07751	sfs:SFyv_3730
ko:K04755	sfs:SFyv_3732
ko:K04044	sfs:SFyv_3733
ko:K04082	sfs:SFyv_3735
ko:K13628	sfs:SFyv_3737
ko:K04488	sfs:SFyv_3738
ko:K04487	sfs:SFyv_3740
ko:K13643	sfs:SFyv_3741
ko:K15396	sfs:SFyv_3742
ko:K01783	sfs:SFyv_4912
ko:K03112	sfs:SFyv_4915
ko:K01735	sfs:SFyv_4916
ko:K00891	sfs:SFyv_4918
ko:K02507	sfs:SFyv_4921
ko:K12291	sfs:SFyv_4923
ko:K12290	sfs:SFyv_4924
ko:K12289	sfs:SFyv_4925
ko:K12288	sfs:SFyv_4926
ko:K05366	sfs:SFyv_4928
ko:K08312	sfs:SFyv_4929
ko:K04762	sfs:SFyv_4933
ko:K04083	sfs:SFyv_4934
ko:K01610	sfs:SFyv_4939
ko:K07638	sfs:SFyv_4940
ko:K07659	sfs:SFyv_4941
ko:K04760	sfs:SFyv_4942
ko:K06959	sfs:SFyv_4944
ko:K04758	sfs:SFyv_4946
ko:K04759	sfs:SFyv_4949
ko:K07490	sfs:SFyv_4951
ko:K02170	sfs:SFyv_4957
ko:K07400	sfs:SFyv_4960
ko:K06155	sfs:SFyv_4962
ko:K00705	sfs:SFyv_4964
ko:K00688	sfs:SFyv_4966
ko:K03556	sfs:SFyv_4967
ko:K03556	sfs:SFyv_4968
ko:K01974	sfs:SFyv_4970
ko:K14415	sfs:SFyv_4972
ko:K14414	sfs:SFyv_4973
ko:K02444	sfs:SFyv_4974
ko:K02441	sfs:SFyv_4977
ko:K02439	sfs:SFyv_4978
ko:K00111	sfs:SFyv_4979
ko:K00688	sfs:SFyv_4983
ko:K00703	sfs:SFyv_4984
ko:K00975	sfs:SFyv_4985
ko:K00700	sfs:SFyv_4988
ko:K00133	sfs:SFyv_4989
ko:K06156	sfs:SFyv_4992
ko:K00851	sfs:SFyv_4993
ko:K06145	sfs:SFyv_4994
ko:K06911	sfs:SFyv_4996
ko:K01082	sfs:SFyv_6205
ko:K01119	sfs:SFyv_6206
ko:K07322	sfs:SFyv_6210
ko:K11737	sfs:SFyv_6211
ko:K03773	sfs:SFyv_6212
ko:K07269	sfs:SFyv_6213
ko:K03757	sfs:SFyv_6222
ko:K04084	sfs:SFyv_6229
ko:K03926	sfs:SFyv_6230
ko:K07791	sfs:SFyv_6231
ko:K01744	sfs:SFyv_6233
ko:K07113	sfs:SFyv_6234
ko:K16263	sfs:SFyv_6235
ko:K04078	sfs:SFyv_6236
ko:K04077	sfs:SFyv_6239
ko:K02356	sfs:SFyv_6248
ko:K16347	sfs:SFyv_6249
ko:K16348	sfs:SFyv_6250
ko:K03098	sfs:SFyv_6253
ko:K01467	sfs:SFyv_6254
ko:K00247	sfs:SFyv_6255
ko:K00246	sfs:SFyv_6256
ko:K00245	sfs:SFyv_6257
ko:K00645	sfs:SFyv_1633
ko:K00059	sfs:SFyv_1634
ko:K02078	sfs:SFyv_1635
ko:K09458	sfs:SFyv_1637
ko:K02619	sfs:SFyv_1638
ko:K07082	sfs:SFyv_1639
ko:K00943	sfs:SFyv_1640
ko:K02341	sfs:SFyv_1641
ko:K03424	sfs:SFyv_1642
ko:K02778	sfs:SFyv_1644
ko:K02779	sfs:SFyv_1644
ko:K16088	sfs:SFyv_1645
ko:K16088	sfs:SFyv_1647
ko:K03490	sfs:SFyv_2190
ko:K01222	sfs:SFyv_2195
ko:K03478	sfs:SFyv_2196
ko:K03781	sfs:SFyv_2198
ko:K15722	sfs:SFyv_2199
ko:K06956	sfs:SFyv_2204
ko:K06956	sfs:SFyv_2205
ko:K07038	sfs:SFyv_2207
ko:K16370	sfs:SFyv_2212
ko:K07283	sfs:SFyv_2213
ko:K01868	sfs:SFyv_2219
ko:K02520	sfs:SFyv_2221
ko:K02916	sfs:SFyv_2222
ko:K02887	sfs:SFyv_2223
ko:K03551	sfs:SFyv_2739
ko:K07136	sfs:SFyv_2797
ko:K15256	sfs:SFyv_2798
ko:K15257	sfs:SFyv_2799
ko:K07812	sfs:SFyv_2800
ko:K07821	sfs:SFyv_2801
ko:K06201	sfs:SFyv_2802
ko:K09907	sfs:SFyv_2803
ko:K01887	sfs:SFyv_2805
ko:K09475	sfs:SFyv_3341
ko:K07676	sfs:SFyv_3343
ko:K07687	sfs:SFyv_3344
ko:K07677	sfs:SFyv_3346
ko:K06894	sfs:SFyv_3350
ko:K06894	sfs:SFyv_3352
ko:K06894	sfs:SFyv_3355
ko:K09934	sfs:SFyv_3356
ko:K02469	sfs:SFyv_3360
ko:K00568	sfs:SFyv_3361
ko:K07279	sfs:SFyv_3363
ko:K07279	sfs:SFyv_3364
ko:K07279	sfs:SFyv_3366
ko:K11107	sfs:SFyv_3373
ko:K01126	sfs:SFyv_3376
ko:K09888	sfs:SFyv_4202
ko:K01934	sfs:SFyv_4203
ko:K00058	sfs:SFyv_4204
ko:K01807	sfs:SFyv_4206
ko:K05596	sfs:SFyv_4208
ko:K01847	sfs:SFyv_4209
ko:K07588	sfs:SFyv_4210
ko:K11264	sfs:SFyv_4211
ko:K09807	sfs:SFyv_4215
ko:K06895	sfs:SFyv_4216
ko:K03442	sfs:SFyv_4217
ko:K01624	sfs:SFyv_4218
ko:K00927	sfs:SFyv_4221
ko:K03472	sfs:SFyv_4222
ko:K06934	sfs:SFyv_4224
ko:K16923	sfs:SFyv_4225
ko:K16785	sfs:SFyv_4226
ko:K16785	sfs:SFyv_4227
ko:K16786	sfs:SFyv_4228
ko:K16787	sfs:SFyv_4229
ko:K02173	sfs:SFyv_4230
ko:K00615	sfs:SFyv_4241
ko:K07387	sfs:SFyv_4242
ko:K01480	sfs:SFyv_4244
ko:K01585	sfs:SFyv_4249
ko:K00789	sfs:SFyv_4253
ko:K08137	sfs:SFyv_4254
ko:K02742	sfs:SFyv_4255
ko:K01150	sfs:SFyv_4256
ko:K09761	sfs:SFyv_4257
ko:K01920	sfs:SFyv_4258
ko:K07735	sfs:SFyv_4260
ko:K07447	sfs:SFyv_4261
ko:K02669	sfs:SFyv_4262
ko:K06997	sfs:SFyv_4263
ko:K02221	sfs:SFyv_4264
ko:K09131	sfs:SFyv_4265
ko:K02428	sfs:SFyv_4266
ko:K01424	sfs:SFyv_4281
ko:K07783	sfs:SFyv_5483
ko:K07784	sfs:SFyv_5485
ko:K01486	sfs:SFyv_5487
ko:K06901	sfs:SFyv_5488
ko:K07345	sfs:SFyv_5501
ko:K00820	sfs:SFyv_5503
ko:K04042	sfs:SFyv_5504
ko:K02114	sfs:SFyv_5505
ko:K02112	sfs:SFyv_5506
ko:K02115	sfs:SFyv_5507
ko:K02111	sfs:SFyv_5509
ko:K02113	sfs:SFyv_5511
ko:K02109	sfs:SFyv_5513
ko:K02110	sfs:SFyv_5514
ko:K02108	sfs:SFyv_5517
ko:K03501	sfs:SFyv_5520
ko:K03495	sfs:SFyv_5523
ko:K06205	sfs:SFyv_5524
ko:K03718	sfs:SFyv_5526
ko:K01914	sfs:SFyv_5527
ko:K03924	sfs:SFyv_5529
ko:K03549	sfs:SFyv_5531
ko:K06726	sfs:SFyv_5532
ko:K10441	sfs:SFyv_5534
ko:K10441	sfs:SFyv_5539
ko:K10441	sfs:SFyv_5540
ko:K10440	sfs:SFyv_5541
ko:K10439	sfs:SFyv_5543
ko:K10439	sfs:SFyv_5545
ko:K00852	sfs:SFyv_5546
ko:K02529	sfs:SFyv_5547
ko:K09897	sfs:SFyv_5555
ko:K07391	sfs:SFyv_5556
ko:K07391	sfs:SFyv_5557
ko:K01652	sfs:SFyv_5558
ko:K11258	sfs:SFyv_5559
ko:K00826	sfs:SFyv_5560
ko:K01687	sfs:SFyv_5561
ko:K03574	sfs:SFyv_0126
ko:K09862	sfs:SFyv_0127
ko:K00859	sfs:SFyv_0129
ko:K00364	sfs:SFyv_0130
ko:K02505	sfs:SFyv_0132
ko:K02504	sfs:SFyv_0135
ko:K02682	sfs:SFyv_0137
ko:K00767	sfs:SFyv_0138
ko:K03806	sfs:SFyv_0139
ko:K03807	sfs:SFyv_0140
ko:K11734	sfs:SFyv_0141
ko:K00163	sfs:SFyv_0143
ko:K00627	sfs:SFyv_0145
ko:K00382	sfs:SFyv_0147
ko:K01682	sfs:SFyv_0154
ko:K09910	sfs:SFyv_0156
ko:K01611	sfs:SFyv_0157
ko:K00797	sfs:SFyv_0158
ko:K14588	sfs:SFyv_0160
ko:K00117	sfs:SFyv_0162
ko:K00760	sfs:SFyv_0163
ko:K01673	sfs:SFyv_0165
ko:K01990	sfs:SFyv_0166
ko:K00216	sfs:SFyv_0704
ko:K06200	sfs:SFyv_0706
ko:K08317	sfs:SFyv_0708
ko:K14287	sfs:SFyv_0709
ko:K03805	sfs:SFyv_0720
ko:K03386	sfs:SFyv_0721
ko:K03387	sfs:SFyv_0724
ko:K11932	sfs:SFyv_0726
ko:K06140	sfs:SFyv_0731
ko:K01169	sfs:SFyv_0732
ko:K09477	sfs:SFyv_0733
ko:K09477	sfs:SFyv_0735
ko:K05966	sfs:SFyv_0736
ko:K05964	sfs:SFyv_0739
ko:K01643	sfs:SFyv_0742
ko:K05788	sfs:SFyv_1281
ko:K02238	sfs:SFyv_1282
ko:K02238	sfs:SFyv_1284
ko:K02238	sfs:SFyv_1285
ko:K11085	sfs:SFyv_1286
ko:K00912	sfs:SFyv_1287
ko:K09927	sfs:SFyv_1288
ko:K09791	sfs:SFyv_1289
ko:K00979	sfs:SFyv_1290
ko:K06219	sfs:SFyv_1294
ko:K03633	sfs:SFyv_1296
ko:K03804	sfs:SFyv_1297
ko:K03632	sfs:SFyv_1301
ko:K00813	sfs:SFyv_1307
ko:K09476	sfs:SFyv_1309
ko:K01893	sfs:SFyv_1310
ko:K00763	sfs:SFyv_1312
ko:K01256	sfs:SFyv_1315
ko:K15555	sfs:SFyv_1317
ko:K15554	sfs:SFyv_1318
ko:K09780	sfs:SFyv_1861
ko:K03832	sfs:SFyv_1863
ko:K10806	sfs:SFyv_1864
ko:K06190	sfs:SFyv_1865
ko:K07275	sfs:SFyv_1868
ko:K01695	sfs:SFyv_1873
ko:K01696	sfs:SFyv_1874
ko:K13498	sfs:SFyv_1875
ko:K13497	sfs:SFyv_1878
ko:K01657	sfs:SFyv_1879
ko:K07053	sfs:SFyv_1880
ko:K06178	sfs:SFyv_1882
ko:K04774	sfs:SFyv_1887
ko:K03168	sfs:SFyv_1890
ko:K13634	sfs:SFyv_1891
ko:K01681	sfs:SFyv_1894
ko:K01497	sfs:SFyv_1895
ko:K16137	sfs:SFyv_2452
ko:K10680	sfs:SFyv_2453
ko:K01759	sfs:SFyv_2454
ko:K03683	sfs:SFyv_2456
ko:K03724	sfs:SFyv_2457
ko:K03724	sfs:SFyv_2459
ko:K03724	sfs:SFyv_2460
ko:K07491	sfs:SFyv_2464
ko:K07390	sfs:SFyv_2465
ko:K04564	sfs:SFyv_2468
ko:K03604	sfs:SFyv_2472
ko:K00574	sfs:SFyv_2477
ko:K00793	sfs:SFyv_2478
ko:K03327	sfs:SFyv_2479
ko:K08354	sfs:SFyv_2486
ko:K02231	sfs:SFyv_3013
ko:K09802	sfs:SFyv_3020
ko:K01141	sfs:SFyv_3024
ko:K07112	sfs:SFyv_3026
ko:K00765	sfs:SFyv_3035
ko:K00013	sfs:SFyv_3036
ko:K00817	sfs:SFyv_3037
ko:K01089	sfs:SFyv_3038
ko:K02501	sfs:SFyv_3039
ko:K01814	sfs:SFyv_3040
ko:K02500	sfs:SFyv_3041
ko:K11755	sfs:SFyv_3042
ko:K05789	sfs:SFyv_3043
ko:K00012	sfs:SFyv_3045
ko:K02784	sfs:SFyv_3584
ko:K08483	sfs:SFyv_3586
ko:K00868	sfs:SFyv_3588
ko:K12339	sfs:SFyv_3593
ko:K02045	sfs:SFyv_3595
ko:K02047	sfs:SFyv_3596
ko:K02046	sfs:SFyv_3597
ko:K02048	sfs:SFyv_3598
ko:K00244	sfs:SFyv_6258
ko:K04568	sfs:SFyv_6259
ko:K01613	sfs:SFyv_6269
ko:K06949	sfs:SFyv_6271
ko:K13288	sfs:SFyv_6272
ko:K17758	sfs:SFyv_6274
ko:K17759	sfs:SFyv_6274
ko:K03271	sfs:SFyv_0373
ko:K07491	sfs:SFyv_0378
ko:K02400	sfs:SFyv_0379
ko:K02557	sfs:SFyv_0380
ko:K02346	sfs:SFyv_0381
ko:K03830	sfs:SFyv_0385
ko:K02839	sfs:SFyv_0389
ko:K01270	sfs:SFyv_0390
ko:K00769	sfs:SFyv_0391
ko:K11750	sfs:SFyv_0393
ko:K11926	sfs:SFyv_0394
ko:K11929	sfs:SFyv_0397
ko:K00931	sfs:SFyv_0401
ko:K00147	sfs:SFyv_0402
ko:K04337	sfs:SFyv_1541
ko:K04335	sfs:SFyv_1545
ko:K04334	sfs:SFyv_1546
ko:K04334	sfs:SFyv_1549
ko:K04336	sfs:SFyv_1550
ko:K11941	sfs:SFyv_1556
ko:K03670	sfs:SFyv_1559
ko:K03669	sfs:SFyv_1560
ko:K15835	sfs:SFyv_3602
ko:K07106	sfs:SFyv_3603
ko:K11191	sfs:SFyv_3604
ko:K11192	sfs:SFyv_3604
ko:K07223	sfs:SFyv_3607
ko:K01448	sfs:SFyv_3612
ko:K00228	sfs:SFyv_3614
ko:K04033	sfs:SFyv_3615
ko:K04025	sfs:SFyv_3617
ko:K04026	sfs:SFyv_3619
ko:K03570	sfs:SFyv_4766
ko:K03569	sfs:SFyv_4768
ko:K02160	sfs:SFyv_4773
ko:K01961	sfs:SFyv_4775
ko:K14392	sfs:SFyv_4777
ko:K02687	sfs:SFyv_4778
ko:K05540	sfs:SFyv_4779
ko:K03557	sfs:SFyv_4780
ko:K09969	sfs:SFyv_4787
ko:K09970	sfs:SFyv_4788
ko:K09970	sfs:SFyv_4792
ko:K09971	sfs:SFyv_4794
ko:K09972	sfs:SFyv_4795
ko:K00014	sfs:SFyv_4802
ko:K07566	sfs:SFyv_4803
ko:K03747	sfs:SFyv_4805
ko:K04096	sfs:SFyv_4806
ko:K01462	sfs:SFyv_4807
ko:K00604	sfs:SFyv_4808
ko:K03500	sfs:SFyv_4809
ko:K03499	sfs:SFyv_4811
ko:K02879	sfs:SFyv_4815
ko:K03040	sfs:SFyv_4816
ko:K02986	sfs:SFyv_4817
ko:K02948	sfs:SFyv_4818
ko:K02952	sfs:SFyv_4819
ko:K03076	sfs:SFyv_4821
ko:K02876	sfs:SFyv_4822
ko:K02907	sfs:SFyv_4823
ko:K02988	sfs:SFyv_4824
ko:K02881	sfs:SFyv_4825
ko:K02933	sfs:SFyv_4827
ko:K02994	sfs:SFyv_4828
ko:K02954	sfs:SFyv_4829
ko:K02931	sfs:SFyv_4830
ko:K02895	sfs:SFyv_4831
ko:K02874	sfs:SFyv_4832
ko:K02961	sfs:SFyv_4833
ko:K09823	sfs:SFyv_6040
ko:K03327	sfs:SFyv_6043
ko:K01356	sfs:SFyv_6045
ko:K00901	sfs:SFyv_6046
ko:K00631	sfs:SFyv_6047
ko:K03179	sfs:SFyv_6049
ko:K03181	sfs:SFyv_6050
ko:K05775	sfs:SFyv_6053
ko:K02024	sfs:SFyv_6054
ko:K10111	sfs:SFyv_6055
ko:K10108	sfs:SFyv_6056
ko:K10109	sfs:SFyv_6058
ko:K10110	sfs:SFyv_6059
ko:K08138	sfs:SFyv_6060
ko:K13256	sfs:SFyv_6061
ko:K01810	sfs:SFyv_6070
ko:K00928	sfs:SFyv_6071
ko:K07559	sfs:SFyv_6078
ko:K01305	sfs:SFyv_6084
ko:K13637	sfs:SFyv_6093
ko:K00040	sfs:SFyv_6094
ko:K01686	sfs:SFyv_6096
ko:K16321	sfs:SFyv_6098
ko:K07350	sfs:SFyv_6099
ko:K07349	sfs:SFyv_6101
ko:K07348	sfs:SFyv_6103
ko:K07347	sfs:SFyv_6104
ko:K07347	sfs:SFyv_6109
ko:K07346	sfs:SFyv_6110
ko:K07351	sfs:SFyv_6112
ko:K07345	sfs:SFyv_6113
ko:K07358	sfs:SFyv_6115
ko:K07357	sfs:SFyv_6116
ko:K17948	sfs:SFyv_6119
ko:K01792	sfs:SFyv_2117
ko:K00134	sfs:SFyv_2119
ko:K07305	sfs:SFyv_2121
ko:K09916	sfs:SFyv_2123
ko:K08369	sfs:SFyv_2127
ko:K18471	sfs:SFyv_2132
ko:K08369	sfs:SFyv_2134
ko:K08281	sfs:SFyv_2135
ko:K04773	sfs:SFyv_2138
ko:K01008	sfs:SFyv_2140
ko:K00262	sfs:SFyv_2144
ko:K08320	sfs:SFyv_2149
ko:K05779	sfs:SFyv_2153
ko:K07245	sfs:SFyv_2710
ko:K07245	sfs:SFyv_2712
ko:K07156	sfs:SFyv_2714
ko:K10857	sfs:SFyv_2717
ko:K01354	sfs:SFyv_2718
ko:K09918	sfs:SFyv_2724
ko:K09918	sfs:SFyv_2725
ko:K08289	sfs:SFyv_2726
ko:K01625	sfs:SFyv_2727
ko:K01690	sfs:SFyv_2728
ko:K00036	sfs:SFyv_2729
ko:K00873	sfs:SFyv_2732
ko:K02560	sfs:SFyv_2733
ko:K09815	sfs:SFyv_2736
ko:K09817	sfs:SFyv_2737
ko:K09816	sfs:SFyv_2738
ko:K16324	sfs:SFyv_3268
ko:K16329	sfs:SFyv_3270
ko:K16328	sfs:SFyv_3271
ko:K02769	sfs:SFyv_3272
ko:K02770	sfs:SFyv_3272
ko:K00882	sfs:SFyv_3273
ko:K02768	sfs:SFyv_3274
ko:K11183	sfs:SFyv_3274
ko:K03291	sfs:SFyv_3276
ko:K06940	sfs:SFyv_3280
ko:K02356	sfs:SFyv_3282
ko:K13694	sfs:SFyv_3288
ko:K13893	sfs:SFyv_3292
ko:K13894	sfs:SFyv_3293
ko:K13895	sfs:SFyv_3294
ko:K13896	sfs:SFyv_3295
ko:K07552	sfs:SFyv_3297
ko:K06183	sfs:SFyv_3298
ko:K02897	sfs:SFyv_3300
ko:K06899	sfs:SFyv_3303
ko:K10026	sfs:SFyv_4046
ko:K01689	sfs:SFyv_4055
ko:K01937	sfs:SFyv_4056
ko:K04765	sfs:SFyv_4057
ko:K00951	sfs:SFyv_4058
ko:K03215	sfs:SFyv_4060
