ko:K11741	lce:LC2W_2988
ko:K02003	lce:LC2W_0027
ko:K03091	lce:LC2W_0914
ko:K13678	lce:LC2W_0917
ko:K00789	lce:LC2W_0929
ko:K01869	lce:LC2W_0935
ko:K04066	lce:LC2W_1799
ko:K13038	lce:LC2W_1800
ko:K03060	lce:LC2W_1801
ko:K00942	lce:LC2W_1802
ko:K07001	lce:LC2W_1803
ko:K07001	lce:LC2W_1804
ko:K03631	lce:LC2W_1807
ko:K03402	lce:LC2W_1808
ko:K06442	lce:LC2W_1809
ko:K13789	lce:LC2W_1810
ko:K03602	lce:LC2W_1811
ko:K03601	lce:LC2W_1812
ko:K01491	lce:LC2W_1813
ko:K03625	lce:LC2W_1814
ko:K02356	lce:LC2W_1816
ko:K02899	lce:LC2W_1819
ko:K02888	lce:LC2W_1821
ko:K01915	lce:LC2W_1826
ko:K01581	lce:LC2W_1828
ko:K00791	lce:LC2W_1830
ko:K03624	lce:LC2W_1843
ko:K00876	lce:LC2W_1844
ko:K07082	lce:LC2W_1845
ko:K01890	lce:LC2W_1846
ko:K01889	lce:LC2W_1847
ko:K06950	lce:LC2W_1849
ko:K03437	lce:LC2W_1850
ko:K01512	lce:LC2W_1851
ko:K03217	lce:LC2W_1852
ko:K04567	lce:LC2W_2680
ko:K04083	lce:LC2W_2682
ko:K01839	lce:LC2W_0262
ko:K01809	lce:LC2W_0276
ko:K03710	lce:LC2W_0277
ko:K02082	lce:LC2W_0278
ko:K01443	lce:LC2W_0279
ko:K12308	lce:LC2W_0280
ko:K14155	lce:LC2W_0288
ko:K02761	lce:LC2W_0290
ko:K02760	lce:LC2W_0291
ko:K02759	lce:LC2W_0292
ko:K15580	lce:LC2W_0297
ko:K03798	lce:LC2W_2688
ko:K00760	lce:LC2W_2689
ko:K04075	lce:LC2W_2690
ko:K07571	lce:LC2W_2691
ko:K03723	lce:LC2W_2696
ko:K01056	lce:LC2W_2697
ko:K00266	lce:LC2W_2707
ko:K01775	lce:LC2W_2712
ko:K00997	lce:LC2W_2713
ko:K05592	lce:LC2W_2714
ko:K01929	lce:LC2W_2716
ko:K02909	lce:LC2W_2722
ko:K00790	lce:LC2W_2723
ko:K00691	lce:LC2W_1132
ko:K10040	lce:LC2W_2137
ko:K02531	lce:LC2W_p05
ko:K01220	lce:LC2W_p07
ko:K01790	lce:LC2W_2178
ko:K10041	lce:LC2W_2140
ko:K10716	lce:LC2W_1070
ko:K18939	lce:LC2W_2338
ko:K10009	lce:LC2W_0668
ko:K18926	lce:LC2W_2336
ko:K02424	lce:LC2W_0667
ko:K01619	lce:LC2W_0009
ko:K07052	lce:LC2W_0022
ko:K02004	lce:LC2W_0026
ko:K03768	lce:LC2W_0907
ko:K07570	lce:LC2W_0908
ko:K07027	lce:LC2W_0918
ko:K00841	lce:LC2W_0920
ko:K09825	lce:LC2W_0924
ko:K06183	lce:LC2W_0937
ko:K01262	lce:LC2W_1818
ko:K07584	lce:LC2W_1820
ko:K01281	lce:LC2W_1825
ko:K03713	lce:LC2W_1827
ko:K00845	lce:LC2W_1833
ko:K11618	lce:LC2W_1840
ko:K11617	lce:LC2W_1841
ko:K00016	lce:LC2W_2698
ko:K01092	lce:LC2W_1484
ko:K01958	lce:LC2W_1487
ko:K07177	lce:LC2W_1491
ko:K16013	lce:LC2W_2358
ko:K02238	lce:LC2W_1493
ko:K01488	lce:LC2W_2363
ko:K01104	lce:LC2W_2371
ko:K11085	lce:LC2W_1503
ko:K00882	lce:LC2W_1513
ko:K03436	lce:LC2W_1514
ko:K00784	lce:LC2W_1517
ko:K02755	lce:LC2W_2340
ko:K02756	lce:LC2W_2340
ko:K02757	lce:LC2W_2340
ko:K03488	lce:LC2W_2342
ko:K09952	lce:LC2W_2352
ko:K16012	lce:LC2W_2357
ko:K01220	lce:LC2W_0733
ko:K02786	lce:LC2W_0734
ko:K01784	lce:LC2W_0736
ko:K01785	lce:LC2W_0739
ko:K00917	lce:LC2W_0747
ko:K01635	lce:LC2W_0748
ko:K01819	lce:LC2W_0749
ko:K01819	lce:LC2W_0750
ko:K02530	lce:LC2W_0751
ko:K01989	lce:LC2W_0774
ko:K05832	lce:LC2W_0777
ko:K05833	lce:LC2W_0778
ko:K14983	lce:LC2W_0785
ko:K14982	lce:LC2W_0786
ko:K03469	lce:LC2W_1633
ko:K07386	lce:LC2W_1644
ko:K03700	lce:LC2W_1652
ko:K02086	lce:LC2W_1656
ko:K00869	lce:LC2W_1664
ko:K01597	lce:LC2W_1665
ko:K01823	lce:LC2W_1666
ko:K01489	lce:LC2W_1683
ko:K10947	lce:LC2W_2534
ko:K07706	lce:LC2W_2548
ko:K07052	lce:LC2W_2560
ko:K01934	lce:LC2W_0811
ko:K01259	lce:LC2W_0827
ko:K06889	lce:LC2W_0833
ko:K03647	lce:LC2W_0834
ko:K07305	lce:LC2W_1693
ko:K01507	lce:LC2W_1696
ko:K03976	lce:LC2W_1722
ko:K03177	lce:LC2W_1737
ko:K01679	lce:LC2W_2571
ko:K02077	lce:LC2W_2590
ko:K02077	lce:LC2W_2597
ko:K15051	lce:LC2W_0618
ko:K02795	lce:LC2W_0636
ko:K01619	lce:LC2W_0639
ko:K01760	lce:LC2W_0666
ko:K01119	lce:LC2W_1524
ko:K04763	lce:LC2W_1532
ko:K05337	lce:LC2W_1538
ko:K00974	lce:LC2W_1548
ko:K07304	lce:LC2W_1558
ko:K07052	lce:LC2W_2398
ko:K01409	lce:LC2W_2406
ko:K01424	lce:LC2W_2414
ko:K00564	lce:LC2W_2429
ko:K01361	lce:LC2W_2433
ko:K07533	lce:LC2W_2434
ko:K08161	lce:LC2W_2437
ko:K00135	lce:LC2W_2441
ko:K01426	lce:LC2W_2445
ko:K05937	lce:LC2W_2446
ko:K03709	lce:LC2W_0852
ko:K08974	lce:LC2W_0880
ko:K07105	lce:LC2W_0884
ko:K03693	lce:LC2W_0889
ko:K01560	lce:LC2W_0891
ko:K03294	lce:LC2W_1760
ko:K09976	lce:LC2W_1764
ko:K09787	lce:LC2W_1774
ko:K02035	lce:LC2W_1780
ko:K02033	lce:LC2W_1782
ko:K07030	lce:LC2W_1788
ko:K00949	lce:LC2W_1792
ko:K02004	lce:LC2W_2627
ko:K00939	lce:LC2W_2642
ko:K03386	lce:LC2W_2666
ko:K02236	lce:LC2W_2672
ko:K03708	lce:LC2W_2676
ko:K03486	lce:LC2W_0693
ko:K01226	lce:LC2W_0694
ko:K02755	lce:LC2W_0695
ko:K02756	lce:LC2W_0695
ko:K02757	lce:LC2W_0695
ko:K03294	lce:LC2W_0697
ko:K00016	lce:LC2W_0698
ko:K01674	lce:LC2W_0713
ko:K15051	lce:LC2W_0719
ko:K15986	lce:LC2W_1582
ko:K02004	lce:LC2W_1587
ko:K08217	lce:LC2W_1591
ko:K01523	lce:LC2W_1597
ko:K01496	lce:LC2W_1598
ko:K01515	lce:LC2W_1607
ko:K07035	lce:LC2W_1611
ko:K00929	lce:LC2W_1617
ko:K02824	lce:LC2W_1627
ko:K00805	lce:LC2W_2462
ko:K00805	lce:LC2W_2463
ko:K06988	lce:LC2W_2465
ko:K09698	lce:LC2W_2476
ko:K01990	lce:LC2W_2490
ko:K01372	lce:LC2W_2497
ko:K01372	lce:LC2W_2498
ko:K01006	lce:LC2W_2503
ko:K01619	lce:LC2W_0261
ko:K03784	lce:LC2W_0263
ko:K12373	lce:LC2W_0275
ko:K02795	lce:LC2W_0282
ko:K02793	lce:LC2W_0284
ko:K03491	lce:LC2W_0294
ko:K01258	lce:LC2W_0296
ko:K10440	lce:LC2W_0318
ko:K10439	lce:LC2W_0319
ko:K02243	lce:LC2W_1182
ko:K02244	lce:LC2W_1183
ko:K02245	lce:LC2W_1184
ko:K02246	lce:LC2W_1185
ko:K02248	lce:LC2W_1187
ko:K02433	lce:LC2W_1218
ko:K07386	lce:LC2W_1227
ko:K07273	lce:LC2W_1234
ko:K00867	lce:LC2W_2111
ko:K02775	lce:LC2W_2950
ko:K05815	lce:LC2W_2969
ko:K05814	lce:LC2W_2970
ko:K05816	lce:LC2W_2971
ko:K02795	lce:LC2W_2982
ko:K01104	lce:LC2W_2996
ko:K03830	lce:LC2W_2999
ko:K14230	lce:LC2W_t11
ko:K00158	lce:LC2W_0502
ko:K03491	lce:LC2W_0518
ko:K06286	lce:LC2W_1422
ko:K08724	lce:LC2W_1446
ko:K01515	lce:LC2W_1458
ko:K01243	lce:LC2W_1460
ko:K00158	lce:LC2W_2292
ko:K07192	lce:LC2W_2303
ko:K06994	lce:LC2W_0055
ko:K03475	lce:LC2W_0068
ko:K02822	lce:LC2W_0069
ko:K07069	lce:LC2W_0938
ko:K00712	lce:LC2W_0990
ko:K00712	lce:LC2W_0991
ko:K06198	lce:LC2W_0998
ko:K00033	lce:LC2W_1855
ko:K06948	lce:LC2W_1864
ko:K11144	lce:LC2W_1879
ko:K03346	lce:LC2W_1880
ko:K10563	lce:LC2W_1883
ko:K07533	lce:LC2W_1897
ko:K03698	lce:LC2W_1898
ko:K12555	lce:LC2W_1901
ko:K03048	lce:LC2W_2726
ko:K03574	lce:LC2W_2731
ko:K09685	lce:LC2W_2740
ko:K01635	lce:LC2W_2750
ko:K06147	lce:LC2W_2755
ko:K06147	lce:LC2W_2756
ko:K01259	lce:LC2W_2758
ko:K03574	lce:LC2W_2760
ko:K00016	lce:LC2W_2761
ko:K06910	lce:LC2W_2767
ko:K00852	lce:LC2W_0320
ko:K00244	lce:LC2W_0338
ko:K02822	lce:LC2W_0342
ko:K03475	lce:LC2W_0343
ko:K03326	lce:LC2W_0379
ko:K00938	lce:LC2W_1255
ko:K02755	lce:LC2W_1268
ko:K02756	lce:LC2W_1268
ko:K02757	lce:LC2W_1268
ko:K03488	lce:LC2W_1269
ko:K02004	lce:LC2W_2120
ko:K01784	lce:LC2W_2136
ko:K02076	lce:LC2W_2145
ko:K00700	lce:LC2W_2160
ko:K04086	lce:LC2W_2168
ko:K01104	lce:LC2W_2169
ko:K07652	lce:LC2W_3017
ko:K07668	lce:LC2W_3018
ko:K09963	lce:LC2W_3023
ko:K02795	lce:LC2W_3039
ko:K02793	lce:LC2W_3040
ko:K02794	lce:LC2W_3040
ko:K09167	lce:LC2W_3053
ko:K08981	lce:LC2W_3054
ko:K07035	lce:LC2W_2305
ko:K00841	lce:LC2W_2307
ko:K00805	lce:LC2W_2320
ko:K00383	lce:LC2W_2335
ko:K05822	lce:LC2W_0088
ko:K01535	lce:LC2W_0106
ko:K07816	lce:LC2W_1001
ko:K06201	lce:LC2W_1005
ko:K07404	lce:LC2W_1007
ko:K00059	lce:LC2W_1018
ko:K06147	lce:LC2W_1314
ko:K06147	lce:LC2W_1315
ko:K07104	lce:LC2W_1318
ko:K01439	lce:LC2W_1343
ko:K12996	lce:LC2W_2187
ko:K00059	lce:LC2W_2194
ko:K15582	lce:LC2W_2201
ko:K09963	lce:LC2W_2214
ko:K00027	lce:LC2W_3073
ko:K06889	lce:LC2W_3102
ko:K02798	lce:LC2W_3105
ko:K02799	lce:LC2W_3107
ko:K02800	lce:LC2W_3107
ko:K02564	lce:LC2W_3108
ko:K02806	lce:LC2W_0390
ko:K00854	lce:LC2W_0397
ko:K08093	lce:LC2W_0417
ko:K00068	lce:LC2W_0422
ko:K15051	lce:LC2W_1296
ko:K03810	lce:LC2W_1301
ko:K10040	lce:LC2W_2138
ko:K00158	lce:LC2W_1958
ko:K00383	lce:LC2W_2785
ko:K05845	lce:LC2W_2787
ko:K05846	lce:LC2W_2787
ko:K11041	lce:LC2W_2791
ko:K07052	lce:LC2W_2793
ko:K03469	lce:LC2W_2807
ko:K02240	lce:LC2W_1025
ko:K00882	lce:LC2W_2818
ko:K01206	lce:LC2W_2823
ko:K02793	lce:LC2W_2824
ko:K02794	lce:LC2W_2824
ko:K02795	lce:LC2W_2825
ko:K02242	lce:LC2W_1026
ko:K09704	lce:LC2W_2831
ko:K15524	lce:LC2W_2832
ko:K03492	lce:LC2W_2834
ko:K07658	lce:LC2W_1034
ko:K06023	lce:LC2W_1045
ko:K01835	lce:LC2W_1049
ko:K02004	lce:LC2W_1054
ko:K02004	lce:LC2W_1915
ko:K08483	lce:LC2W_1935
ko:K11189	lce:LC2W_1936
ko:K03697	lce:LC2W_1938
ko:K07586	lce:LC2W_1945
ko:K10039	lce:LC2W_2139
ko:K07457	lce:LC2W_0152
ko:K06988	lce:LC2W_0187
ko:K07009	lce:LC2W_0188
ko:K00088	lce:LC2W_0197
ko:K07258	lce:LC2W_0201
ko:K09762	lce:LC2W_1063
ko:K01641	lce:LC2W_1960
ko:K00054	lce:LC2W_1961
ko:K00626	lce:LC2W_1962
ko:K03095	lce:LC2W_1971
ko:K05832	lce:LC2W_1973
ko:K01989	lce:LC2W_1975
ko:K01916	lce:LC2W_1980
ko:K01206	lce:LC2W_1995
ko:K02775	lce:LC2W_2837
ko:K01182	lce:LC2W_2843
ko:K02744	lce:LC2W_2854
ko:K02745	lce:LC2W_2857
ko:K00065	lce:LC2W_2862
ko:K01727	lce:LC2W_2877
ko:K05833	lce:LC2W_1972
ko:K02744	lce:LC2W_0439
ko:K02795	lce:LC2W_0441
ko:K03436	lce:LC2W_0446
ko:K08093	lce:LC2W_0448
ko:K02798	lce:LC2W_0450
ko:K02799	lce:LC2W_0450
ko:K02800	lce:LC2W_0450
ko:K02004	lce:LC2W_0464
ko:K02795	lce:LC2W_0474
ko:K01182	lce:LC2W_0478
ko:K10254	lce:LC2W_0488
ko:K04488	lce:LC2W_1351
ko:K07304	lce:LC2W_1368
ko:K01607	lce:LC2W_1380
ko:K00799	lce:LC2W_1383
ko:K00059	lce:LC2W_2260
ko:K02371	lce:LC2W_2262
ko:K02005	lce:LC2W_3115
ko:K02004	lce:LC2W_3117
ko:K06346	lce:LC2W_3130
ko:K15051	lce:LC2W_p21
ko:K00010	lce:LC2W_0212
ko:K00010	lce:LC2W_0213
ko:K00033	lce:LC2W_0218
ko:K00851	lce:LC2W_0219
ko:K03299	lce:LC2W_0220
ko:K02074	lce:LC2W_0231
ko:K07729	lce:LC2W_1140
ko:K00625	lce:LC2W_1150
ko:K02342	lce:LC2W_1155
ko:K03316	lce:LC2W_1158
ko:K11072	lce:LC2W_1161
ko:K11071	lce:LC2W_1162
ko:K11069	lce:LC2W_1164
ko:K05966	lce:LC2W_2028
ko:K01571	lce:LC2W_2030
ko:K01572	lce:LC2W_2037
ko:K06988	lce:LC2W_2044
ko:K15582	lce:LC2W_2062
ko:K02782	lce:LC2W_2905
ko:K02783	lce:LC2W_2905
ko:K02783	lce:LC2W_2906
ko:K00068	lce:LC2W_2909
ko:K02822	lce:LC2W_2915
ko:K03475	lce:LC2W_2916
ko:K02821	lce:LC2W_2917
ko:K03476	lce:LC2W_2918
ko:K02795	lce:LC2W_2924
ko:K02793	lce:LC2W_2926
ko:K01206	lce:LC2W_2937
ko:K00854	lce:LC2W_2939
ko:K02795	lce:LC2W_2942
ko:K02793	lce:LC2W_2944
ko:K03491	lce:LC2W_2945
ko:K15580	lce:LC2W_2101
ko:K11051	lce:LC2W_0709
ko:K16786	lce:LC2W_0304
ko:K16787	lce:LC2W_0304
ko:K03322	lce:LC2W_2574
ko:K01834	lce:LC2W_2283
ko:K01834	lce:LC2W_1876
ko:K16509	lce:LC2W_1912
ko:K03699	lce:LC2W_1941
ko:K01834	lce:LC2W_2506
ko:K16511	lce:LC2W_1910
ko:K01838	lce:LC2W_1133
ko:K11733	lce:LC2W_2012
ko:K16264	lce:LC2W_2743
ko:K01223	lce:LC2W_0514
ko:K02769	lce:LC2W_0393
ko:K16785	lce:LC2W_0435
ko:K15583	lce:LC2W_2060
ko:K15583	lce:LC2W_2200
ko:K16169	lce:LC2W_1281
ko:K01223	lce:LC2W_2829
ko:K14235	lce:LC2W_t23
ko:K10823	lce:LC2W_2199
ko:K05340	lce:LC2W_1290
ko:K15772	lce:LC2W_1138
ko:K15770	lce:LC2W_1136
ko:K01989	lce:LC2W_0776
ko:K00034	lce:LC2W_2328
ko:K15580	lce:LC2W_3007
ko:K16786	lce:LC2W_2634
ko:K02026	lce:LC2W_1143
ko:K16787	lce:LC2W_2633
ko:K16785	lce:LC2W_2632
ko:K15580	lce:LC2W_2064
ko:K10823	lce:LC2W_2059
ko:K16789	lce:LC2W_1933
ko:K02768	lce:LC2W_0392
ko:K11050	lce:LC2W_0710
ko:K02027	lce:LC2W_1142
ko:K02027	lce:LC2W_0273
ko:K02075	lce:LC2W_0232
ko:K02025	lce:LC2W_1144
ko:K14219	lce:LC2W_t31
ko:K00634	lce:LC2W_1618
ko:K14233	lce:LC2W_t17
ko:K14223	lce:LC2W_t25
ko:K14223	lce:LC2W_t34
ko:K14222	lce:LC2W_t26
ko:K14234	lce:LC2W_t40
ko:K14232	lce:LC2W_t46
ko:K16960	lce:LC2W_0453
ko:K16959	lce:LC2W_0455
ko:K16203	lce:LC2W_2099
ko:K02030	lce:LC2W_1440
ko:K16957	lce:LC2W_0454
ko:K16786	lce:LC2W_0434
ko:K16787	lce:LC2W_0434
ko:K14226	lce:LC2W_t24
ko:K14228	lce:LC2W_t30
ko:K14228	lce:LC2W_t49
ko:K11991	lce:LC2W_2427
ko:K14225	lce:LC2W_t07
ko:K14225	lce:LC2W_t50
ko:K14225	lce:LC2W_t47
ko:K15555	lce:LC2W_2615
ko:K16785	lce:LC2W_0305
ko:K14228	lce:LC2W_t27
ko:K14228	lce:LC2W_t38
ko:K10974	lce:LC2W_2230
ko:K16925	lce:LC2W_0303
ko:K16924	lce:LC2W_0433
ko:K02809	lce:LC2W_2245
ko:K02810	lce:LC2W_2245
ko:K16898	lce:LC2W_1662
ko:K16899	lce:LC2W_1663
ko:K09951	lce:LC2W_2350
ko:K14219	lce:LC2W_t01
ko:K14219	lce:LC2W_t08
ko:K14219	lce:LC2W_t48
ko:K14219	lce:LC2W_t32
ko:K14219	lce:LC2W_t36
ko:K14218	lce:LC2W_t02
ko:K14218	lce:LC2W_t03
ko:K14218	lce:LC2W_t54
ko:K14218	lce:LC2W_t43
ko:K14237	lce:LC2W_t04
ko:K14237	lce:LC2W_t29
ko:K14237	lce:LC2W_t53
ko:K14229	lce:LC2W_t05
ko:K14229	lce:LC2W_t52
ko:K14234	lce:LC2W_t06
ko:K14225	lce:LC2W_t15
ko:K14232	lce:LC2W_t09
ko:K14230	lce:LC2W_t10
ko:K14230	lce:LC2W_t12
ko:K14230	lce:LC2W_t19
ko:K14221	lce:LC2W_t13
ko:K14221	lce:LC2W_t20
ko:K14231	lce:LC2W_t14
ko:K14231	lce:LC2W_t21
ko:K14227	lce:LC2W_t16
ko:K14227	lce:LC2W_t55
ko:K14227	lce:LC2W_t44
ko:K14233	lce:LC2W_t58
ko:K14224	lce:LC2W_t18
ko:K14224	lce:LC2W_t41
ko:K14224	lce:LC2W_t33
ko:K14236	lce:LC2W_t22
ko:K14236	lce:LC2W_t39
ko:K14228	lce:LC2W_t51
ko:K14220	lce:LC2W_t28
ko:K14220	lce:LC2W_t42
ko:K14233	lce:LC2W_t35
ko:K14225	lce:LC2W_t37
ko:K14220	lce:LC2W_t45
ko:K14229	lce:LC2W_t57
ko:K01980	lce:LC2W_r08
ko:K03574	lce:LC2W_2730
ko:K11070	lce:LC2W_1163
ko:K02028	lce:LC2W_1439
ko:K17467	lce:LC2W_0413
ko:K17466	lce:LC2W_0412
ko:K17464	lce:LC2W_0410
ko:K01992	lce:LC2W_2323
ko:K01990	lce:LC2W_0684
ko:K02029	lce:LC2W_1508
ko:K02030	lce:LC2W_1508
ko:K02029	lce:LC2W_3020
ko:K02030	lce:LC2W_3020
ko:K02029	lce:LC2W_3058
ko:K02030	lce:LC2W_3058
ko:K02029	lce:LC2W_3059
ko:K02030	lce:LC2W_3059
ko:K10947	lce:LC2W_2045
ko:K17465	lce:LC2W_0411
ko:K01992	lce:LC2W_0112
ko:K01990	lce:LC2W_1153
ko:K01992	lce:LC2W_1893
ko:K01992	lce:LC2W_1154
ko:K01990	lce:LC2W_2325
ko:K01992	lce:LC2W_2617
ko:K01990	lce:LC2W_0524
ko:K01990	lce:LC2W_0111
ko:K01990	lce:LC2W_2056
ko:K01990	lce:LC2W_1172
ko:K01990	lce:LC2W_1894
ko:K01990	lce:LC2W_2322
ko:K01990	lce:LC2W_2619
ko:K01738	lce:LC2W_p15
ko:K01760	lce:LC2W_p14
ko:K02032	lce:LC2W_1783
ko:K00951	lce:LC2W_1706
ko:K00265	lce:LC2W_2708
ko:K02028	lce:LC2W_1509
ko:K02028	lce:LC2W_3057
ko:K01537	lce:LC2W_1978
ko:K01537	lce:LC2W_0626
ko:K01537	lce:LC2W_0632
ko:K07045	lce:LC2W_0507
ko:K17076	lce:LC2W_3047
ko:K01992	lce:LC2W_2618
ko:K17073	lce:LC2W_3046
ko:K17074	lce:LC2W_3046
ko:K02795	lce:LC2W_0384
ko:K02794	lce:LC2W_0385
ko:K02796	lce:LC2W_0383
ko:K02793	lce:LC2W_0386
ko:K10112	lce:LC2W_1134
ko:K01990	lce:LC2W_0079
ko:K01990	lce:LC2W_0334
ko:K01990	lce:LC2W_1376
ko:K01990	lce:LC2W_1392
ko:K01990	lce:LC2W_2048
ko:K01990	lce:LC2W_2401
ko:K01990	lce:LC2W_2485
ko:K01992	lce:LC2W_1377
ko:K01992	lce:LC2W_1391
ko:K01992	lce:LC2W_2049
ko:K01992	lce:LC2W_2486
ko:K01992	lce:LC2W_2487
ko:K01533	lce:LC2W_1920
ko:K10112	lce:LC2W_1145
ko:K17836	lce:LC2W_0365
ko:K07284	lce:LC2W_2288
ko:K07979	lce:LC2W_2324
ko:K07979	lce:LC2W_2402
ko:K17828	lce:LC2W_1622
ko:K17810	lce:LC2W_2298
ko:K07284	lce:LC2W_0523
ko:K12574	lce:LC2W_1141
ko:K17836	lce:LC2W_2975
ko:K00661	lce:LC2W_2563
ko:K00661	lce:LC2W_3068
ko:K12574	lce:LC2W_1499
ko:K07284	lce:LC2W_0620
ko:K07284	lce:LC2W_2526
ko:K01187	lce:LC2W_1130
ko:K01977	lce:LC2W_r13
ko:K01977	lce:LC2W_r09
ko:K01977	lce:LC2W_r10
ko:K18104	lce:LC2W_2280
ko:K01621	lce:LC2W_2929
ko:K01980	lce:LC2W_r14
ko:K01101	lce:LC2W_0902
ko:K02770	lce:LC2W_0394
ko:K01071	lce:LC2W_2415
ko:K01980	lce:LC2W_r05
ko:K01980	lce:LC2W_r11
ko:K02794	lce:LC2W_2925
ko:K09017	lce:LC2W_2050
ko:K17869	lce:LC2W_0269
ko:K00104	lce:LC2W_2472
ko:K02794	lce:LC2W_0637
ko:K02794	lce:LC2W_2943
ko:K02794	lce:LC2W_0281
ko:K02794	lce:LC2W_2980
ko:K02794	lce:LC2W_0440
ko:K02794	lce:LC2W_0473
ko:K01977	lce:LC2W_r06
ko:K01980	lce:LC2W_r02
ko:K19591	lce:LC2W_1394
ko:K02793	lce:LC2W_0638
ko:K02794	lce:LC2W_0638
ko:K00134	lce:LC2W_1563
ko:K01689	lce:LC2W_2606
ko:K02003	lce:LC2W_1052
ko:K02759	lce:LC2W_1956
ko:K05685	lce:LC2W_2782
ko:K02760	lce:LC2W_2828
ko:K01439	lce:LC2W_1967
ko:K03322	lce:LC2W_2095
ko:K05352	lce:LC2W_2927
ko:K01259	lce:LC2W_2098
ko:K01990	lce:LC2W_0332
ko:K02795	lce:LC2W_0369
ko:K02027	lce:LC2W_3049
ko:K00068	lce:LC2W_0409
ko:K02786	lce:LC2W_p08
ko:K14205	lce:LC2W_2315
ko:K01271	lce:LC2W_0885
ko:K03328	lce:LC2W_2695
ko:K03742	lce:LC2W_1021
ko:K00105	lce:LC2W_0727
ko:K00105	lce:LC2W_0728
ko:K05910	lce:LC2W_0468
ko:K01621	lce:LC2W_0159
ko:K06384	lce:LC2W_3061
ko:K18581	lce:LC2W_2858
ko:K18672	lce:LC2W_1174
ko:K18682	lce:LC2W_1023
ko:K18692	lce:LC2W_0857
ko:K07171	lce:LC2W_0080
ko:K18892	lce:LC2W_0691
ko:K18891	lce:LC2W_0690
ko:K07171	lce:LC2W_2710
ko:K01262	lce:LC2W_0289
ko:K18929	lce:LC2W_2210
ko:K18928	lce:LC2W_2211
ko:K03205	lce:LC2W_0595
ko:K03111	lce:LC2W_0010
ko:K03111	lce:LC2W_0012
ko:K03497	lce:LC2W_0191
ko:K03496	lce:LC2W_0192
ko:K03497	lce:LC2W_0193
ko:K03502	lce:LC2W_1209
ko:K07473	lce:LC2W_1398
ko:K03502	lce:LC2W_p34
ko:K07029	lce:LC2W_1221
ko:K03761	lce:LC2W_0457
ko:K07483	lce:LC2W_0650
ko:K07483	lce:LC2W_0654
ko:K07483	lce:LC2W_2091
ko:K07483	lce:LC2W_p38
ko:K07483	lce:LC2W_p40
ko:K07484	lce:LC2W_0407
ko:K07484	lce:LC2W_0659
ko:K07484	lce:LC2W_0912
ko:K19002	lce:LC2W_0916
ko:K19005	lce:LC2W_0923
ko:K13052	lce:LC2W_2693
ko:K18979	lce:LC2W_2372
ko:K03741	lce:LC2W_2967
ko:K19005	lce:LC2W_1287
ko:K07498	lce:LC2W_0627
ko:K07498	lce:LC2W_0633
ko:K06609	lce:LC2W_1934
ko:K07498	lce:LC2W_2102
ko:K07498	lce:LC2W_3002
ko:K07498	lce:LC2W_p22
ko:K02777	lce:LC2W_2890
ko:K19225	lce:LC2W_1835
ko:K19159	lce:LC2W_0321
ko:K07448	lce:LC2W_1965
ko:K02476	lce:LC2W_3075
ko:K02475	lce:LC2W_3076
ko:K19157	lce:LC2W_0470
ko:K19157	lce:LC2W_1399
ko:K01710	lce:LC2W_2131
ko:K02808	lce:LC2W_2244
ko:K01710	lce:LC2W_2177
ko:K05881	lce:LC2W_0491
ko:K03339	lce:LC2W_0215
ko:K00571	lce:LC2W_1189
ko:K19168	lce:LC2W_1918
ko:K01215	lce:LC2W_1135
ko:K00020	lce:LC2W_0234
ko:K12952	lce:LC2W_0826
ko:K19265	lce:LC2W_2798
ko:K03722	lce:LC2W_1661
ko:K01992	lce:LC2W_1171
ko:K01992	lce:LC2W_2489
ko:K04771	lce:LC2W_3012
ko:K08217	lce:LC2W_1121
ko:K19302	lce:LC2W_0934
ko:K19350	lce:LC2W_0704
ko:K02031	lce:LC2W_1784
ko:K19505	lce:LC2W_0387
ko:K03483	lce:LC2W_3106
ko:K06881	lce:LC2W_0856
ko:K06881	lce:LC2W_2985
ko:K02796	lce:LC2W_2826
ko:K02796	lce:LC2W_2941
ko:K02796	lce:LC2W_2981
ko:K02796	lce:LC2W_0370
ko:K02796	lce:LC2W_3038
ko:K02796	lce:LC2W_0475
ko:K02796	lce:LC2W_2923
ko:K02796	lce:LC2W_0283
ko:K19689	lce:LC2W_1245
ko:K02538	lce:LC2W_0389
ko:K19802	lce:LC2W_2976
ko:K21636	lce:LC2W_0113
ko:K00527	lce:LC2W_2450
ko:K19956	lce:LC2W_0420
ko:K05770	lce:LC2W_1304
ko:K19975	lce:LC2W_2583
ko:K19976	lce:LC2W_2584
ko:K19973	lce:LC2W_2585
ko:K20074	lce:LC2W_1796
ko:K12132	lce:LC2W_1795
ko:K07484	lce:LC2W_1414
ko:K20112	lce:LC2W_0742
ko:K20114	lce:LC2W_0744
ko:K20113	lce:LC2W_0743
ko:K00525	lce:LC2W_1640
ko:K20345	lce:LC2W_2544
ko:K20344	lce:LC2W_2545
ko:K20534	lce:LC2W_0782
ko:K20488	lce:LC2W_0526
ko:K18889	lce:LC2W_1763
ko:K18890	lce:LC2W_1762
ko:K18889	lce:LC2W_2069
ko:K22103	lce:LC2W_0239
ko:K02003	lce:LC2W_1990
ko:K02004	lce:LC2W_1990
ko:K02790	lce:LC2W_2875
ko:K02791	lce:LC2W_2875
