ko:K15581	sew:SeSA_A1879
ko:K03408	sew:SeSA_A2076
ko:K03407	sew:SeSA_A2077
ko:K02557	sew:SeSA_A2078
ko:K02556	sew:SeSA_A2079
ko:K02402	sew:SeSA_A2080
ko:K02403	sew:SeSA_A2081
ko:K00697	sew:SeSA_A2083
ko:K00375	sew:SeSA_A2950
ko:K06191	sew:SeSA_A2953
ko:K03647	sew:SeSA_A2954
ko:K02986	sew:SeSA_A3612
ko:K02948	sew:SeSA_A3613
ko:K02952	sew:SeSA_A3614
ko:K03076	sew:SeSA_A3616
ko:K02876	sew:SeSA_A3617
ko:K02907	sew:SeSA_A3618
ko:K02988	sew:SeSA_A3619
ko:K02881	sew:SeSA_A3620
ko:K02933	sew:SeSA_A3621
ko:K02994	sew:SeSA_A3622
ko:K02954	sew:SeSA_A3623
ko:K02931	sew:SeSA_A3624
ko:K02895	sew:SeSA_A3625
ko:K02874	sew:SeSA_A3626
ko:K02961	sew:SeSA_A3627
ko:K02904	sew:SeSA_A3628
ko:K02878	sew:SeSA_A3629
ko:K02982	sew:SeSA_A3630
ko:K02890	sew:SeSA_A3631
ko:K02965	sew:SeSA_A3632
ko:K02886	sew:SeSA_A3633
ko:K02892	sew:SeSA_A3634
ko:K02926	sew:SeSA_A3635
ko:K02906	sew:SeSA_A3636
ko:K02946	sew:SeSA_A3637
ko:K03594	sew:SeSA_A3639
ko:K02192	sew:SeSA_A3640
ko:K02358	sew:SeSA_A3641
ko:K02355	sew:SeSA_A3642
ko:K02992	sew:SeSA_A3643
ko:K02950	sew:SeSA_A3644
ko:K07237	sew:SeSA_A3645
ko:K07236	sew:SeSA_A3646
ko:K03745	sew:SeSA_A3650
ko:K03775	sew:SeSA_A3651
ko:K07070	sew:SeSA_A3652
ko:K06158	sew:SeSA_A3655
ko:K07019	sew:SeSA_A3658
ko:K00855	sew:SeSA_A3660
ko:K10914	sew:SeSA_A3663
ko:K04095	sew:SeSA_A3667
ko:K06141	sew:SeSA_A3670
ko:K03385	sew:SeSA_A4529
ko:K04013	sew:SeSA_A4530
ko:K11102	sew:SeSA_A4537
ko:K06193	sew:SeSA_A4544
ko:K07643	sew:SeSA_A4546
ko:K01584	sew:SeSA_A4551
ko:K07406	sew:SeSA_A4553
ko:K01676	sew:SeSA_A4555
ko:K09690	sew:SeSA_A0879
ko:K09691	sew:SeSA_A0880
ko:K05522	sew:SeSA_A0885
ko:K07120	sew:SeSA_A0886
ko:K01647	sew:SeSA_A0887
ko:K00241	sew:SeSA_A0888
ko:K00242	sew:SeSA_A0889
ko:K00239	sew:SeSA_A0890
ko:K00240	sew:SeSA_A0891
ko:K00164	sew:SeSA_A0892
ko:K01903	sew:SeSA_A0894
ko:K01902	sew:SeSA_A0895
ko:K00425	sew:SeSA_A0898
ko:K00426	sew:SeSA_A0899
ko:K07107	sew:SeSA_A0902
ko:K03562	sew:SeSA_A0903
ko:K03560	sew:SeSA_A0904
ko:K03641	sew:SeSA_A0907
ko:K03640	sew:SeSA_A0908
ko:K03517	sew:SeSA_A0915
ko:K03811	sew:SeSA_A0916
ko:K01626	sew:SeSA_A0919
ko:K02015	sew:SeSA_A0920
ko:K02013	sew:SeSA_A0921
ko:K00849	sew:SeSA_A0924
ko:K05776	sew:SeSA_A0928
ko:K02019	sew:SeSA_A0929
ko:K02020	sew:SeSA_A0931
ko:K02018	sew:SeSA_A0932
ko:K03168	sew:SeSA_A1846
ko:K06178	sew:SeSA_A1851
ko:K07053	sew:SeSA_A1853
ko:K01657	sew:SeSA_A1855
ko:K01696	sew:SeSA_A1858
ko:K01695	sew:SeSA_A1859
ko:K07217	sew:SeSA_A1863
ko:K07275	sew:SeSA_A1864
ko:K06940	sew:SeSA_A1866
ko:K06190	sew:SeSA_A1868
ko:K10806	sew:SeSA_A1869
ko:K03832	sew:SeSA_A1870
ko:K09780	sew:SeSA_A1871
ko:K06131	sew:SeSA_A1873
ko:K00857	sew:SeSA_A1883
ko:K03746	sew:SeSA_A1884
ko:K00963	sew:SeSA_A1885
ko:K07001	sew:SeSA_A1887
ko:K09858	sew:SeSA_A1888
ko:K01433	sew:SeSA_A1889
ko:K00374	sew:SeSA_A1897
ko:K00373	sew:SeSA_A1898
ko:K00371	sew:SeSA_A1899
ko:K00370	sew:SeSA_A1900
ko:K02575	sew:SeSA_A1901
ko:K07673	sew:SeSA_A1902
ko:K06039	sew:SeSA_A1906
ko:K06197	sew:SeSA_A1907
ko:K01892	sew:SeSA_A2760
ko:K06941	sew:SeSA_A2764
ko:K00940	sew:SeSA_A2765
ko:K07308	sew:SeSA_A2767
ko:K07306	sew:SeSA_A2769
ko:K06894	sew:SeSA_A2771
ko:K02317	sew:SeSA_A4798
ko:K02344	sew:SeSA_A4810
ko:K02837	sew:SeSA_A4813
ko:K03424	sew:SeSA_A4818
ko:K01619	sew:SeSA_A4821
ko:K01839	sew:SeSA_A4823
ko:K03784	sew:SeSA_A4824
ko:K03800	sew:SeSA_A4826
ko:K04485	sew:SeSA_A4830
ko:K08309	sew:SeSA_A4833
ko:K03720	sew:SeSA_A4834
ko:K02802	sew:SeSA_A0840
ko:K02803	sew:SeSA_A0840
ko:K02804	sew:SeSA_A0840
ko:K02775	sew:SeSA_A3992
ko:K02063	sew:SeSA_A0118
ko:K02064	sew:SeSA_A0119
ko:K01704	sew:SeSA_A0126
ko:K01703	sew:SeSA_A0127
ko:K00052	sew:SeSA_A0128
ko:K01649	sew:SeSA_A0129
ko:K05798	sew:SeSA_A0131
ko:K01653	sew:SeSA_A0133
ko:K03435	sew:SeSA_A0134
ko:K03925	sew:SeSA_A0135
ko:K03438	sew:SeSA_A0136
ko:K03586	sew:SeSA_A0137
ko:K01928	sew:SeSA_A0139
ko:K01929	sew:SeSA_A0140
ko:K01000	sew:SeSA_A0141
ko:K01925	sew:SeSA_A0142
ko:K03588	sew:SeSA_A0143
ko:K02563	sew:SeSA_A0144
ko:K01924	sew:SeSA_A0145
ko:K01921	sew:SeSA_A0146
ko:K03589	sew:SeSA_A0147
ko:K03590	sew:SeSA_A0148
ko:K03531	sew:SeSA_A0149
ko:K02535	sew:SeSA_A0150
ko:K03070	sew:SeSA_A0152
ko:K09862	sew:SeSA_A0155
ko:K00859	sew:SeSA_A0157
ko:K00364	sew:SeSA_A0158
ko:K00767	sew:SeSA_A0162
ko:K03806	sew:SeSA_A0163
ko:K02622	sew:SeSA_A3367
ko:K11216	sew:SeSA_A4288
ko:K09001	sew:SeSA_A1543
ko:K03645	sew:SeSA_A0854
ko:K03273	sew:SeSA_A0275
ko:K01738	sew:SeSA_A0517
ko:K05800	sew:SeSA_A0518
ko:K04752	sew:SeSA_A0522
ko:K03320	sew:SeSA_A0523
ko:K10805	sew:SeSA_A0524
ko:K09914	sew:SeSA_A0525
ko:K07443	sew:SeSA_A0526
ko:K02909	sew:SeSA_A0529
ko:K02919	sew:SeSA_A0530
ko:K05839	sew:SeSA_A0533
ko:K03577	sew:SeSA_A0537
ko:K04067	sew:SeSA_A0541
ko:K09790	sew:SeSA_A0542
ko:K00759	sew:SeSA_A0543
ko:K02343	sew:SeSA_A0544
ko:K09747	sew:SeSA_A0546
ko:K06187	sew:SeSA_A0547
ko:K04079	sew:SeSA_A0548
ko:K00939	sew:SeSA_A0550
ko:K01772	sew:SeSA_A0551
ko:K00892	sew:SeSA_A0553
ko:K03219	sew:SeSA_A1491
ko:K03220	sew:SeSA_A1492
ko:K03221	sew:SeSA_A1502
ko:K03327	sew:SeSA_A1521
ko:K00793	sew:SeSA_A1522
ko:K00574	sew:SeSA_A1523
ko:K03604	sew:SeSA_A1526
ko:K07390	sew:SeSA_A1529
ko:K03683	sew:SeSA_A1531
ko:K10680	sew:SeSA_A1533
ko:K06938	sew:SeSA_A1535
ko:K03117	sew:SeSA_A4182
ko:K03118	sew:SeSA_A4183
ko:K03424	sew:SeSA_A4184
ko:K05785	sew:SeSA_A4185
ko:K03182	sew:SeSA_A4186
ko:K03498	sew:SeSA_A4193
ko:K03753	sew:SeSA_A4203
ko:K03752	sew:SeSA_A4204
ko:K09896	sew:SeSA_A4205
ko:K03673	sew:SeSA_A4207
ko:K00566	sew:SeSA_A1313
ko:K06181	sew:SeSA_A1316
ko:K03704	sew:SeSA_A1329
ko:K04080	sew:SeSA_A1339
ko:K02035	sew:SeSA_A1345
ko:K02033	sew:SeSA_A1346
ko:K02034	sew:SeSA_A1347
ko:K02031	sew:SeSA_A1348
ko:K02032	sew:SeSA_A1349
ko:K00984	sew:SeSA_A1354
ko:K01141	sew:SeSA_A2293
ko:K00765	sew:SeSA_A2299
ko:K00013	sew:SeSA_A2300
ko:K00817	sew:SeSA_A2301
ko:K02501	sew:SeSA_A2303
ko:K01814	sew:SeSA_A2304
ko:K02500	sew:SeSA_A2305
ko:K00012	sew:SeSA_A2308
ko:K00033	sew:SeSA_A2309
ko:K01709	sew:SeSA_A2324
ko:K00978	sew:SeSA_A2325
ko:K01790	sew:SeSA_A2327
ko:K00973	sew:SeSA_A2328
ko:K00067	sew:SeSA_A2329
ko:K00963	sew:SeSA_A2331
ko:K03606	sew:SeSA_A2336
ko:K01815	sew:SeSA_A3186
ko:K01823	sew:SeSA_A3207
ko:K04567	sew:SeSA_A3208
ko:K07462	sew:SeSA_A3210
ko:K03981	sew:SeSA_A3211
ko:K03840	sew:SeSA_A3213
ko:K09159	sew:SeSA_A3216
ko:K06980	sew:SeSA_A3217
ko:K11068	sew:SeSA_A3218
ko:K09900	sew:SeSA_A3219
ko:K02437	sew:SeSA_A3224
ko:K00605	sew:SeSA_A3225
ko:K03185	sew:SeSA_A3228
ko:K01262	sew:SeSA_A3229
ko:K09895	sew:SeSA_A3230
ko:K09888	sew:SeSA_A3231
ko:K09807	sew:SeSA_A3238
ko:K03442	sew:SeSA_A3240
ko:K01624	sew:SeSA_A3241
ko:K00927	sew:SeSA_A3242
ko:K03501	sew:SeSA_A4085
ko:K03495	sew:SeSA_A4086
ko:K06205	sew:SeSA_A4087
ko:K01914	sew:SeSA_A4089
ko:K03924	sew:SeSA_A4091
ko:K03549	sew:SeSA_A4092
ko:K06726	sew:SeSA_A4093
ko:K10441	sew:SeSA_A4094
ko:K10440	sew:SeSA_A4095
ko:K10439	sew:SeSA_A4096
ko:K00852	sew:SeSA_A4097
ko:K09897	sew:SeSA_A4109
ko:K07391	sew:SeSA_A4110
ko:K00826	sew:SeSA_A4113
ko:K01687	sew:SeSA_A4114
ko:K01754	sew:SeSA_A4115
ko:K02521	sew:SeSA_A4118
ko:K00053	sew:SeSA_A4119
ko:K00757	sew:SeSA_A4122
ko:K03656	sew:SeSA_A4124
ko:K03732	sew:SeSA_A4126
ko:K03671	sew:SeSA_A4127
ko:K03628	sew:SeSA_A4128
ko:K05790	sew:SeSA_A4130
ko:K02472	sew:SeSA_A4132
ko:K00973	sew:SeSA_A4134
ko:K02853	sew:SeSA_A4139
ko:K00931	sew:SeSA_A0371
ko:K00147	sew:SeSA_A0372
ko:K07347	sew:SeSA_A0391
ko:K08178	sew:SeSA_A0409
ko:K07316	sew:SeSA_A0410
ko:K00425	sew:SeSA_A0412
ko:K00426	sew:SeSA_A0413
ko:K02014	sew:SeSA_A0416
ko:K02688	sew:SeSA_A0419
ko:K01908	sew:SeSA_A0423
ko:K01698	sew:SeSA_A0424
ko:K09712	sew:SeSA_A1367
ko:K03449	sew:SeSA_A1370
ko:K09786	sew:SeSA_A1377
ko:K07180	sew:SeSA_A1379
ko:K06871	sew:SeSA_A1381
ko:K00134	sew:SeSA_A1384
ko:K07305	sew:SeSA_A1385
ko:K09916	sew:SeSA_A1386
ko:K04773	sew:SeSA_A1389
ko:K01008	sew:SeSA_A1391
ko:K03169	sew:SeSA_A1392
ko:K08320	sew:SeSA_A1395
ko:K01142	sew:SeSA_A1396
ko:K00840	sew:SeSA_A1398
ko:K00673	sew:SeSA_A1399
ko:K06447	sew:SeSA_A1400
ko:K01484	sew:SeSA_A1401
ko:K05526	sew:SeSA_A1402
ko:K04064	sew:SeSA_A1408
ko:K03781	sew:SeSA_A1415
ko:K03207	sew:SeSA_A2340
ko:K02377	sew:SeSA_A2341
ko:K01711	sew:SeSA_A2342
ko:K03818	sew:SeSA_A2343
ko:K01991	sew:SeSA_A2351
ko:K01494	sew:SeSA_A2355
ko:K00876	sew:SeSA_A2356
ko:K01247	sew:SeSA_A2359
ko:K04046	sew:SeSA_A2360
ko:K07799	sew:SeSA_A2363
ko:K07788	sew:SeSA_A2364
ko:K07789	sew:SeSA_A2365
ko:K07664	sew:SeSA_A2368
ko:K08303	sew:SeSA_A2372
ko:K00878	sew:SeSA_A2383
ko:K03593	sew:SeSA_A2392
ko:K00615	sew:SeSA_A3256
ko:K01480	sew:SeSA_A3258
ko:K00789	sew:SeSA_A3263
ko:K02742	sew:SeSA_A3266
ko:K09761	sew:SeSA_A3268
ko:K01920	sew:SeSA_A3269
ko:K07735	sew:SeSA_A3270
ko:K07447	sew:SeSA_A3271
ko:K02669	sew:SeSA_A3273
ko:K06997	sew:SeSA_A3274
ko:K02221	sew:SeSA_A3275
ko:K09131	sew:SeSA_A3276
ko:K09923	sew:SeSA_A3282
ko:K03439	sew:SeSA_A3283
ko:K03575	sew:SeSA_A3284
ko:K08306	sew:SeSA_A3286
ko:K03289	sew:SeSA_A3288
ko:K07150	sew:SeSA_A3291
ko:K06871	sew:SeSA_A3298
ko:K06995	sew:SeSA_A3303
ko:K09471	sew:SeSA_A3304
ko:K02496	sew:SeSA_A4149
ko:K01719	sew:SeSA_A4150
ko:K01749	sew:SeSA_A4151
ko:K06202	sew:SeSA_A4153
ko:K01778	sew:SeSA_A4157
ko:K09921	sew:SeSA_A4158
ko:K03657	sew:SeSA_A4161
ko:K03284	sew:SeSA_A4162
ko:K05786	sew:SeSA_A4163
ko:K03654	sew:SeSA_A4166
ko:K03576	sew:SeSA_A4171
ko:K00549	sew:SeSA_A4172
ko:K06871	sew:SeSA_A4174
ko:K09760	sew:SeSA_A4177
ko:K03183	sew:SeSA_A4178
ko:K03690	sew:SeSA_A4179
ko:K03688	sew:SeSA_A4180
ko:K03116	sew:SeSA_A4181
ko:K03807	sew:SeSA_A0164
ko:K00163	sew:SeSA_A0171
ko:K00627	sew:SeSA_A0172
ko:K00382	sew:SeSA_A0173
ko:K01893	sew:SeSA_A1117
ko:K00763	sew:SeSA_A1118
ko:K01256	sew:SeSA_A1119
ko:K07140	sew:SeSA_A1122
ko:K03808	sew:SeSA_A1126
ko:K06192	sew:SeSA_A1127
ko:K09857	sew:SeSA_A1128
ko:K01716	sew:SeSA_A1130
ko:K04770	sew:SeSA_A1131
ko:K09911	sew:SeSA_A1132
ko:K03658	sew:SeSA_A1138
ko:K01734	sew:SeSA_A1139
ko:K09909	sew:SeSA_A1140
ko:K06969	sew:SeSA_A1143
ko:K06910	sew:SeSA_A1144
ko:K01512	sew:SeSA_A1146
ko:K11179	sew:SeSA_A1147
ko:K07127	sew:SeSA_A1161
ko:K00483	sew:SeSA_A1163
ko:K00151	sew:SeSA_A1166
ko:K03834	sew:SeSA_A2092
ko:K07039	sew:SeSA_A2093
ko:K00995	sew:SeSA_A2101
ko:K03703	sew:SeSA_A2102
ko:K10010	sew:SeSA_A2107
ko:K10009	sew:SeSA_A2108
ko:K02424	sew:SeSA_A2110
ko:K02405	sew:SeSA_A2112
ko:K02406	sew:SeSA_A2114
ko:K02407	sew:SeSA_A2117
ko:K02422	sew:SeSA_A2118
ko:K07112	sew:SeSA_A2122
ko:K02408	sew:SeSA_A2125
ko:K02410	sew:SeSA_A2128
ko:K02413	sew:SeSA_A2131
ko:K02415	sew:SeSA_A2133
ko:K02416	sew:SeSA_A2134
ko:K02418	sew:SeSA_A2136
ko:K02419	sew:SeSA_A2137
ko:K02421	sew:SeSA_A2139
ko:K07026	sew:SeSA_A2145
ko:K09781	sew:SeSA_A2148
ko:K07458	sew:SeSA_A2150
ko:K06950	sew:SeSA_A2152
ko:K04653	sew:SeSA_A3009
ko:K04654	sew:SeSA_A3010
ko:K04655	sew:SeSA_A3011
ko:K03221	sew:SeSA_A3026
ko:K02078	sew:SeSA_A3034
ko:K03555	sew:SeSA_A3059
ko:K03274	sew:SeSA_A3909
ko:K02843	sew:SeSA_A3910
ko:K02841	sew:SeSA_A3911
ko:K02848	sew:SeSA_A3920
ko:K02844	sew:SeSA_A3921
ko:K02849	sew:SeSA_A3922
ko:K02527	sew:SeSA_A3923
ko:K00954	sew:SeSA_A3924
ko:K10563	sew:SeSA_A3925
ko:K02913	sew:SeSA_A3926
ko:K02902	sew:SeSA_A3927
ko:K03630	sew:SeSA_A3928
ko:K01520	sew:SeSA_A3930
ko:K05501	sew:SeSA_A3931
ko:K00762	sew:SeSA_A3932
ko:K00989	sew:SeSA_A3933
ko:K01972	sew:SeSA_A3947
ko:K00942	sew:SeSA_A3948
ko:K03060	sew:SeSA_A3949
ko:K11750	sew:SeSA_A0367
ko:K00556	sew:SeSA_A3951
ko:K03655	sew:SeSA_A3952
ko:K03312	sew:SeSA_A3953
ko:K01811	sew:SeSA_A3956
ko:K05805	sew:SeSA_A4838
ko:K07663	sew:SeSA_A4839
ko:K07641	sew:SeSA_A4840
ko:K06143	sew:SeSA_A4841
ko:K07773	sew:SeSA_A4849
ko:K02533	sew:SeSA_A4850
ko:K03503	sew:SeSA_B0001
ko:K03502	sew:SeSA_B0002
ko:K03497	sew:SeSA_B0006
ko:K03098	sew:SeSA_B0009
ko:K07127	sew:SeSA_B0011
ko:K08151	sew:SeSA_B0032
ko:K02773	sew:SeSA_A3447
ko:K02782	sew:SeSA_A2984
ko:K02783	sew:SeSA_A2984
ko:K02759	sew:SeSA_A1411
ko:K08161	sew:SeSA_A0436
ko:K08167	sew:SeSA_A1691
ko:K02566	sew:SeSA_A0836
ko:K07701	sew:SeSA_A4559
ko:K03228	sew:SeSA_A1517
ko:K07642	sew:SeSA_A2367
ko:K03477	sew:SeSA_A4649
ko:K00027	sew:SeSA_A1682
ko:K03569	sew:SeSA_A3566
ko:K00567	sew:SeSA_A1784
ko:K06958	sew:SeSA_A3515
ko:K02619	sew:SeSA_A1274
ko:K03316	sew:SeSA_A4521
ko:K00832	sew:SeSA_A4497
ko:K11604	sew:SeSA_A3014
ko:K01840	sew:SeSA_A2337
ko:K01840	sew:SeSA_A2311
ko:K01874	sew:SeSA_A2393
ko:K07090	sew:SeSA_A2611
ko:K01895	sew:SeSA_A4528
ko:K06203	sew:SeSA_A2664
ko:K00247	sew:SeSA_A4610
ko:K06149	sew:SeSA_A3784
ko:K07703	sew:SeSA_A4558
ko:K00609	sew:SeSA_A4713
ko:K01834	sew:SeSA_A0922
ko:K06212	sew:SeSA_A1087
ko:K07792	sew:SeSA_A4556
ko:K03574	sew:SeSA_A0153
ko:K11754	sew:SeSA_A2595
ko:K01625	sew:SeSA_A2038
ko:K03566	sew:SeSA_A3144
ko:K07637	sew:SeSA_A1309
ko:K07660	sew:SeSA_A1310
ko:K05802	sew:SeSA_A0538
ko:K03772	sew:SeSA_A3649
ko:K00245	sew:SeSA_A4612
ko:K03718	sew:SeSA_A4088
ko:K01644	sew:SeSA_A0066
ko:K03561	sew:SeSA_A3342
ko:K00868	sew:SeSA_A1547
ko:K02017	sew:SeSA_A0933
ko:K02529	sew:SeSA_A3859
ko:K02529	sew:SeSA_A4098
ko:K02529	sew:SeSA_A3178
ko:K02529	sew:SeSA_A2430
ko:K02529	sew:SeSA_A1667
ko:K03466	sew:SeSA_A1074
ko:K07772	sew:SeSA_A4035
ko:K07684	sew:SeSA_A1904
ko:K07657	sew:SeSA_A0454
ko:K00868	sew:SeSA_A2671
ko:K07647	sew:SeSA_A4037
ko:K01911	sew:SeSA_A2533
ko:K01682	sew:SeSA_A0178
ko:K09910	sew:SeSA_A0179
ko:K02526	sew:SeSA_A0180
ko:K01611	sew:SeSA_A0184
ko:K00797	sew:SeSA_A0185
ko:K00760	sew:SeSA_A0189
ko:K01579	sew:SeSA_A0200
ko:K01918	sew:SeSA_A0201
ko:K00606	sew:SeSA_A0202
ko:K00950	sew:SeSA_A0211
ko:K06204	sew:SeSA_A0214
ko:K06206	sew:SeSA_A0215
ko:K01975	sew:SeSA_A0216
ko:K03579	sew:SeSA_A0217
ko:K02014	sew:SeSA_A0220
ko:K02013	sew:SeSA_A0221
ko:K02016	sew:SeSA_A0222
ko:K02015	sew:SeSA_A0223
ko:K01845	sew:SeSA_A0224
ko:K03281	sew:SeSA_A0226
ko:K01129	sew:SeSA_A0231
ko:K02647	sew:SeSA_A0233
ko:K03809	sew:SeSA_A1183
ko:K03307	sew:SeSA_A1193
ko:K01788	sew:SeSA_A1194
ko:K06214	sew:SeSA_A1205
ko:K04338	sew:SeSA_A1206
ko:K03670	sew:SeSA_A1217
ko:K03669	sew:SeSA_A1218
ko:K02517	sew:SeSA_A1222
ko:K07146	sew:SeSA_A1223
ko:K02846	sew:SeSA_A1228
ko:K01465	sew:SeSA_A1231
ko:K03675	sew:SeSA_A1233
ko:K08162	sew:SeSA_A1234
ko:K03790	sew:SeSA_A1235
ko:K09915	sew:SeSA_A1236
ko:K03502	sew:SeSA_A2158
ko:K03503	sew:SeSA_A2159
ko:K09933	sew:SeSA_A2162
ko:K01241	sew:SeSA_A2167
ko:K00768	sew:SeSA_A2185
ko:K02233	sew:SeSA_A2186
ko:K02231	sew:SeSA_A2187
ko:K02232	sew:SeSA_A2188
ko:K02006	sew:SeSA_A2189
ko:K02008	sew:SeSA_A2190
ko:K02007	sew:SeSA_A2192
ko:K02190	sew:SeSA_A2194
ko:K05895	sew:SeSA_A2195
ko:K02189	sew:SeSA_A2197
ko:K05936	sew:SeSA_A2198
ko:K03399	sew:SeSA_A2200
ko:K02188	sew:SeSA_A2201
ko:K06042	sew:SeSA_A2202
ko:K02227	sew:SeSA_A2203
ko:K03186	sew:SeSA_A3071
ko:K06194	sew:SeSA_A3075
ko:K00573	sew:SeSA_A3077
ko:K06176	sew:SeSA_A3079
ko:K01770	sew:SeSA_A3080
ko:K00991	sew:SeSA_A3081
ko:K07687	sew:SeSA_A2496
ko:K07677	sew:SeSA_A2497
ko:K07235	sew:SeSA_A3647
ko:K02116	sew:SeSA_A4082
ko:K01525	sew:SeSA_A0099
ko:K05589	sew:SeSA_A3082
ko:K00860	sew:SeSA_A3084
ko:K00957	sew:SeSA_A3086
ko:K00390	sew:SeSA_A3100
ko:K00381	sew:SeSA_A3101
ko:K00380	sew:SeSA_A3102
ko:K01737	sew:SeSA_A3103
ko:K06897	sew:SeSA_A3104
ko:K01689	sew:SeSA_A3110
ko:K01937	sew:SeSA_A3111
ko:K03215	sew:SeSA_A3116
ko:K07678	sew:SeSA_A3117
ko:K00865	sew:SeSA_A3118
ko:K01706	sew:SeSA_A3119
ko:K01531	sew:SeSA_A3969
ko:K07507	sew:SeSA_A3971
ko:K07659	sew:SeSA_A3700
ko:K00113	sew:SeSA_A2514
ko:K12265	sew:SeSA_A2992
ko:K07702	sew:SeSA_A0785
ko:K07702	sew:SeSA_A0058
ko:K12147	sew:SeSA_A1220
ko:K12148	sew:SeSA_A1229
ko:K12149	sew:SeSA_A1230
ko:K07304	sew:SeSA_A4676
ko:K00523	sew:SeSA_A2326
ko:K07804	sew:SeSA_A1333
ko:K07805	sew:SeSA_A1330
ko:K01079	sew:SeSA_A4829
ko:K02024	sew:SeSA_A4423
ko:K00632	sew:SeSA_A2618
ko:K12289	sew:SeSA_A3688
ko:K03279	sew:SeSA_A3916
ko:K09810	sew:SeSA_A1295
ko:K12266	sew:SeSA_A2990
ko:K00703	sew:SeSA_A3725
ko:K12264	sew:SeSA_A2991
ko:K12340	sew:SeSA_A3372
ko:K11991	sew:SeSA_A2811
ko:K07666	sew:SeSA_A3362
ko:K06282	sew:SeSA_A3332
ko:K03533	sew:SeSA_A4032
ko:K11085	sew:SeSA_A1098
ko:K08325	sew:SeSA_A3348
ko:K00951	sew:SeSA_A3115
ko:K01628	sew:SeSA_A3134
ko:K01096	sew:SeSA_A1839
ko:K01270	sew:SeSA_A0365
ko:K01784	sew:SeSA_A0926
ko:K00575	sew:SeSA_A2073
ko:K11941	sew:SeSA_A1216
ko:K01485	sew:SeSA_A3527
ko:K12152	sew:SeSA_A1314
ko:K03810	sew:SeSA_A1237
ko:K07251	sew:SeSA_A1284
ko:K01835	sew:SeSA_A0855
ko:K11742	sew:SeSA_A1584
ko:K11900	sew:SeSA_A0306
ko:K11902	sew:SeSA_A0296
ko:K01259	sew:SeSA_A1477
ko:K12262	sew:SeSA_A1759
ko:K04763	sew:SeSA_A3212
ko:K03733	sew:SeSA_A4159
ko:K03686	sew:SeSA_A0014
ko:K03632	sew:SeSA_A1108
ko:K03804	sew:SeSA_A1107
ko:K03329	sew:SeSA_A0417
ko:K04047	sew:SeSA_A0980
ko:K11258	sew:SeSA_A4112
ko:K02784	sew:SeSA_A2667
ko:K01652	sew:SeSA_A0132
ko:K02446	sew:SeSA_A4301
ko:K00864	sew:SeSA_A4302
ko:K02440	sew:SeSA_A4303
ko:K09892	sew:SeSA_A4304
ko:K02553	sew:SeSA_A4305
ko:K02548	sew:SeSA_A4306
ko:K03667	sew:SeSA_A4307
ko:K01419	sew:SeSA_A4308
ko:K03591	sew:SeSA_A4309
ko:K04066	sew:SeSA_A4311
ko:K02909	sew:SeSA_A4312
ko:K03764	sew:SeSA_A4316
ko:K00005	sew:SeSA_A4325
ko:K01595	sew:SeSA_A4329
ko:K06971	sew:SeSA_A1732
ko:K02773	sew:SeSA_A1733
ko:K03578	sew:SeSA_A1761
ko:K01118	sew:SeSA_A1762
ko:K09978	sew:SeSA_A1764
ko:K03778	sew:SeSA_A1767
ko:K03737	sew:SeSA_A1770
ko:K05591	sew:SeSA_A1778
ko:K00845	sew:SeSA_A2636
ko:K03322	sew:SeSA_A2642
ko:K01885	sew:SeSA_A2649
ko:K03815	sew:SeSA_A2657
ko:K09954	sew:SeSA_A2661
ko:K01972	sew:SeSA_A2662
ko:K03528	sew:SeSA_A2663
ko:K01738	sew:SeSA_A2665
ko:K08483	sew:SeSA_A2668
ko:K02777	sew:SeSA_A2669
ko:K01951	sew:SeSA_A2673
ko:K02045	sew:SeSA_A2677
ko:K02047	sew:SeSA_A2678
ko:K02046	sew:SeSA_A2679
ko:K02048	sew:SeSA_A2680
ko:K07223	sew:SeSA_A2682
ko:K01448	sew:SeSA_A2686
ko:K04033	sew:SeSA_A2688
ko:K04026	sew:SeSA_A2690
ko:K03736	sew:SeSA_A2691
ko:K03735	sew:SeSA_A2692
ko:K04019	sew:SeSA_A2693
ko:K03402	sew:SeSA_A3552
ko:K03623	sew:SeSA_A3555
ko:K03568	sew:SeSA_A3560
ko:K08301	sew:SeSA_A3562
ko:K06287	sew:SeSA_A3563
ko:K03571	sew:SeSA_A3564
ko:K03570	sew:SeSA_A3565
ko:K07147	sew:SeSA_A3569
ko:K02687	sew:SeSA_A3575
ko:K00014	sew:SeSA_A3598
ko:K07566	sew:SeSA_A3599
ko:K07479	sew:SeSA_A3600
ko:K03747	sew:SeSA_A3601
ko:K04096	sew:SeSA_A3602
ko:K01462	sew:SeSA_A3603
ko:K00604	sew:SeSA_A3604
ko:K03500	sew:SeSA_A3605
ko:K03499	sew:SeSA_A3606
ko:K03282	sew:SeSA_A3607
ko:K02879	sew:SeSA_A3610
ko:K09771	sew:SeSA_A1606
ko:K08323	sew:SeSA_A1607
ko:K01284	sew:SeSA_A1615
ko:K08159	sew:SeSA_A1627
ko:K01425	sew:SeSA_A1630
ko:K03618	sew:SeSA_A1637
ko:K03619	sew:SeSA_A1638
ko:K04653	sew:SeSA_A1639
ko:K03620	sew:SeSA_A1641
ko:K06281	sew:SeSA_A1642
ko:K06282	sew:SeSA_A1643
