ko:K00344	vcm:VCM66_0510
ko:K03533	vcm:VCM66_1660
ko:K00975	vcm:VCM66_1667
ko:K03168	vcm:VCM66_1670
ko:K00800	vcm:VCM66_1672
ko:K00684	vcm:VCM66_1675
ko:K02518	vcm:VCM66_1677
ko:K00135	vcm:VCM66_1684
ko:K03442	vcm:VCM66_1690
ko:K03808	vcm:VCM66_1692
ko:K04761	vcm:VCM66_2556
ko:K00382	vcm:VCM66_2558
ko:K01940	vcm:VCM66_2562
ko:K00930	vcm:VCM66_2563
ko:K00145	vcm:VCM66_2564
ko:K01438	vcm:VCM66_2565
ko:K01595	vcm:VCM66_2566
ko:K00640	vcm:VCM66_2569
ko:K00057	vcm:VCM66_2571
ko:K03071	vcm:VCM66_2573
ko:K04568	vcm:VCM66_2575
ko:K00245	vcm:VCM66_2577
ko:K00246	vcm:VCM66_2578
ko:K02356	vcm:VCM66_2580
ko:K04077	vcm:VCM66_2584
ko:K04078	vcm:VCM66_2585
ko:K01803	vcm:VCM66_2590
ko:K02553	vcm:VCM66_2592
ko:K02548	vcm:VCM66_2593
ko:K03667	vcm:VCM66_2594
ko:K01419	vcm:VCM66_2595
ko:K04066	vcm:VCM66_2598
ko:K02909	vcm:VCM66_2599
ko:K00029	vcm:VCM66_2601
ko:K03764	vcm:VCM66_2602
ko:K09892	vcm:VCM66_2606
ko:K02446	vcm:VCM66_2608
ko:K00850	vcm:VCM66_2609
ko:K07662	vcm:VCM66_2612
ko:K07640	vcm:VCM66_2613
ko:K06911	vcm:VCM66_A0929
ko:K09913	vcm:VCM66_A0930
ko:K03303	vcm:VCM66_A0942
ko:K00101	vcm:VCM66_A0943
ko:K09773	vcm:VCM66_A0945
ko:K01007	vcm:VCM66_A0946
ko:K03658	vcm:VCM66_A0675
ko:K08306	vcm:VCM66_0435
ko:K03575	vcm:VCM66_0437
ko:K03439	vcm:VCM66_0438
ko:K01425	vcm:VCM66_0439
ko:K09131	vcm:VCM66_0443
ko:K02221	vcm:VCM66_0444
ko:K00286	vcm:VCM66_0445
ko:K06997	vcm:VCM66_0446
ko:K02669	vcm:VCM66_0447
ko:K02670	vcm:VCM66_0448
ko:K01866	vcm:VCM66_0450
ko:K07447	vcm:VCM66_0451
ko:K07735	vcm:VCM66_0452
ko:K01920	vcm:VCM66_0453
ko:K09761	vcm:VCM66_0454
ko:K02742	vcm:VCM66_0456
ko:K00789	vcm:VCM66_0457
ko:K00615	vcm:VCM66_0458
ko:K03472	vcm:VCM66_0461
ko:K00927	vcm:VCM66_0462
ko:K01624	vcm:VCM66_0463
ko:K03442	vcm:VCM66_0465
ko:K02517	vcm:VCM66_0201
ko:K05501	vcm:VCM66_0202
ko:K03630	vcm:VCM66_0205
ko:K02902	vcm:VCM66_0206
ko:K02913	vcm:VCM66_0207
ko:K10563	vcm:VCM66_0209
ko:K00954	vcm:VCM66_0210
ko:K11211	vcm:VCM66_0215
ko:K02527	vcm:VCM66_0221
ko:K02843	vcm:VCM66_0224
ko:K03274	vcm:VCM66_0228
ko:K01711	vcm:VCM66_0231
ko:K09690	vcm:VCM66_0234
ko:K09691	vcm:VCM66_0235
ko:K02078	vcm:VCM66_0236
ko:K07576	vcm:VCM66_0249
ko:K09891	vcm:VCM66_0253
ko:K01809	vcm:VCM66_0254
ko:K00847	vcm:VCM66_0255
ko:K05787	vcm:VCM66_0258
ko:K01945	vcm:VCM66_0260
ko:K00602	vcm:VCM66_0261
ko:K07574	vcm:VCM66_0593
ko:K02427	vcm:VCM66_0594
ko:K03798	vcm:VCM66_0595
ko:K00796	vcm:VCM66_0596
ko:K03431	vcm:VCM66_0597
ko:K03075	vcm:VCM66_0598
ko:K09748	vcm:VCM66_0599
ko:K02600	vcm:VCM66_0600
ko:K02519	vcm:VCM66_0601
ko:K02003	vcm:VCM66_1508
ko:K00426	vcm:VCM66_1510
ko:K00425	vcm:VCM66_1511
ko:K01679	vcm:VCM66_1513
ko:K09922	vcm:VCM66_1514
ko:K09900	vcm:VCM66_1516
ko:K03717	vcm:VCM66_1520
ko:K05577	vcm:VCM66_1521
ko:K09822	vcm:VCM66_1522
ko:K04565	vcm:VCM66_1523
ko:K03781	vcm:VCM66_1525
ko:K01575	vcm:VCM66_1529
ko:K01652	vcm:VCM66_1530
ko:K01785	vcm:VCM66_1534
ko:K00849	vcm:VCM66_1535
ko:K03415	vcm:VCM66_1542
ko:K01993	vcm:VCM66_1547
ko:K00651	vcm:VCM66_1551
ko:K02656	vcm:VCM66_1552
ko:K06970	vcm:VCM66_1554
ko:K07043	vcm:VCM66_1555
ko:K09941	vcm:VCM66_1559
ko:K00836	vcm:VCM66_1565
ko:K07122	vcm:VCM66_2438
ko:K07323	vcm:VCM66_2439
ko:K02067	vcm:VCM66_2440
ko:K02066	vcm:VCM66_2441
ko:K02065	vcm:VCM66_2442
ko:K07301	vcm:VCM66_2444
ko:K06041	vcm:VCM66_2445
ko:K03270	vcm:VCM66_2446
ko:K11719	vcm:VCM66_2447
ko:K09774	vcm:VCM66_2448
ko:K06861	vcm:VCM66_2449
ko:K03092	vcm:VCM66_2450
ko:K05808	vcm:VCM66_2451
ko:K02806	vcm:VCM66_2452
ko:K06958	vcm:VCM66_2453
ko:K06213	vcm:VCM66_2455
ko:K03592	vcm:VCM66_2456
ko:K09889	vcm:VCM66_2457
ko:K02063	vcm:VCM66_2459
ko:K02064	vcm:VCM66_2460
ko:K03186	vcm:VCM66_2462
ko:K02558	vcm:VCM66_2463
ko:K03841	vcm:VCM66_2465
ko:K03675	vcm:VCM66_A0951
ko:K10680	vcm:VCM66_A0952
ko:K00567	vcm:VCM66_A0976
ko:K09897	vcm:VCM66_A0980
ko:K02564	vcm:VCM66_A0983
ko:K05775	vcm:VCM66_A0985
ko:K02024	vcm:VCM66_A0986
ko:K03601	vcm:VCM66_0724
ko:K00088	vcm:VCM66_0725
ko:K01951	vcm:VCM66_0726
ko:K07034	vcm:VCM66_0728
ko:K02361	vcm:VCM66_0731
ko:K00216	vcm:VCM66_0732
ko:K02016	vcm:VCM66_0734
ko:K02015	vcm:VCM66_0735
ko:K02015	vcm:VCM66_0736
ko:K02013	vcm:VCM66_0737
ko:K03310	vcm:VCM66_0742
ko:K00285	vcm:VCM66_0744
ko:K10253	vcm:VCM66_0746
ko:K07702	vcm:VCM66_0748
ko:K07700	vcm:VCM66_0749
ko:K01572	vcm:VCM66_0750
ko:K01573	vcm:VCM66_0752
ko:K01910	vcm:VCM66_0754
ko:K01646	vcm:VCM66_0755
ko:K01644	vcm:VCM66_0756
ko:K01643	vcm:VCM66_0757
ko:K05964	vcm:VCM66_0758
ko:K09964	vcm:VCM66_0760
ko:K03437	vcm:VCM66_0761
ko:K07137	vcm:VCM66_0764
ko:K07154	vcm:VCM66_0773
ko:K11065	vcm:VCM66_0781
ko:K06192	vcm:VCM66_1693
ko:K09857	vcm:VCM66_1694
ko:K01153	vcm:VCM66_1703
ko:K01154	vcm:VCM66_1706
ko:K03427	vcm:VCM66_1707
ko:K01639	vcm:VCM66_1714
ko:K01788	vcm:VCM66_1719
ko:K01443	vcm:VCM66_1721
ko:K03630	vcm:VCM66_1724
ko:K01669	vcm:VCM66_1737
ko:K02806	vcm:VCM66_1747
ko:K02768	vcm:VCM66_1749
ko:K02769	vcm:VCM66_1749
ko:K02770	vcm:VCM66_1749
ko:K01809	vcm:VCM66_1750
ko:K04564	vcm:VCM66_2614
ko:K03216	vcm:VCM66_2615
ko:K01507	vcm:VCM66_2466
ko:K09800	vcm:VCM66_2468
ko:K07278	vcm:VCM66_2469
ko:K07304	vcm:VCM66_2470
ko:K07109	vcm:VCM66_2471
ko:K02003	vcm:VCM66_2474
ko:K09950	vcm:VCM66_2476
ko:K00860	vcm:VCM66_2478
ko:K00957	vcm:VCM66_2480
ko:K05591	vcm:VCM66_2484
ko:K02348	vcm:VCM66_2485
ko:K07269	vcm:VCM66_2487
ko:K03773	vcm:VCM66_2488
ko:K02879	vcm:VCM66_2490
ko:K03040	vcm:VCM66_2491
ko:K02986	vcm:VCM66_2492
ko:K02948	vcm:VCM66_2493
ko:K02952	vcm:VCM66_2494
ko:K02919	vcm:VCM66_2495
ko:K03076	vcm:VCM66_2496
ko:K02003	vcm:VCM66_A0814
ko:K06076	vcm:VCM66_A0821
ko:K07275	vcm:VCM66_A0826
ko:K07262	vcm:VCM66_A0829
ko:K00425	vcm:VCM66_A0831
ko:K00426	vcm:VCM66_A0832
ko:K01753	vcm:VCM66_A0834
ko:K01442	vcm:VCM66_A0836
ko:K00060	vcm:VCM66_A0845
ko:K00639	vcm:VCM66_A0846
ko:K04477	vcm:VCM66_A0854
ko:K00036	vcm:VCM66_A0856
ko:K01057	vcm:VCM66_A0857
ko:K00033	vcm:VCM66_A0858
ko:K07396	vcm:VCM66_A0861
ko:K00865	vcm:VCM66_A0863
ko:K02647	vcm:VCM66_A0865
ko:K02834	vcm:VCM66_0602
ko:K03177	vcm:VCM66_0603
ko:K02956	vcm:VCM66_0604
ko:K00962	vcm:VCM66_0605
ko:K05803	vcm:VCM66_0606
ko:K08303	vcm:VCM66_0610
ko:K03824	vcm:VCM66_0613
ko:K02344	vcm:VCM66_0614
ko:K03789	vcm:VCM66_0615
ko:K02837	vcm:VCM66_0617
ko:K05590	vcm:VCM66_0618
ko:K03311	vcm:VCM66_0620
ko:K02836	vcm:VCM66_0621
ko:K04567	vcm:VCM66_0622
ko:K03573	vcm:VCM66_0626
ko:K08311	vcm:VCM66_0629
ko:K08484	vcm:VCM66_0630
ko:K00560	vcm:VCM66_0633
ko:K03717	vcm:VCM66_0635
ko:K02968	vcm:VCM66_0637
ko:K03980	vcm:VCM66_0638
ko:K11753	vcm:VCM66_0639
ko:K01870	vcm:VCM66_0640
ko:K03101	vcm:VCM66_0641
ko:K03774	vcm:VCM66_0642
ko:K03527	vcm:VCM66_0643
ko:K07106	vcm:VCM66_0648
ko:K09001	vcm:VCM66_0649
ko:K01207	vcm:VCM66_0650
ko:K01626	vcm:VCM66_0653
ko:K03720	vcm:VCM66_0659
ko:K03313	vcm:VCM66_1566
ko:K02003	vcm:VCM66_1569
ko:K07552	vcm:VCM66_1573
ko:K02897	vcm:VCM66_1579
ko:K01387	vcm:VCM66_1589
ko:K06213	vcm:VCM66_1594
ko:K03837	vcm:VCM66_1597
ko:K01993	vcm:VCM66_1598
ko:K06938	vcm:VCM66_1602
ko:K05777	vcm:VCM66_1604
ko:K05778	vcm:VCM66_1605
ko:K05779	vcm:VCM66_1606
ko:K06177	vcm:VCM66_1608
ko:K03308	vcm:VCM66_1609
ko:K06131	vcm:VCM66_1610
ko:K01246	vcm:VCM66_1612
ko:K03969	vcm:VCM66_1618
ko:K03974	vcm:VCM66_1619
ko:K03625	vcm:VCM66_2190
ko:K00794	vcm:VCM66_2191
ko:K00793	vcm:VCM66_2193
ko:K11752	vcm:VCM66_2194
ko:K07738	vcm:VCM66_2195
ko:K00147	vcm:VCM66_2196
ko:K00931	vcm:VCM66_2197
ko:K11926	vcm:VCM66_2198
ko:K11750	vcm:VCM66_2199
ko:K00769	vcm:VCM66_2200
ko:K06901	vcm:VCM66_2201
ko:K05844	vcm:VCM66_2204
ko:K06987	vcm:VCM66_2205
ko:K03308	vcm:VCM66_2206
ko:K02346	vcm:VCM66_2210
ko:K04068	vcm:VCM66_A0471
ko:K02769	vcm:VCM66_A0475
ko:K02770	vcm:VCM66_A0475
ko:K00882	vcm:VCM66_A0476
ko:K02768	vcm:VCM66_A0477
ko:K11183	vcm:VCM66_A0477
ko:K03435	vcm:VCM66_A0478
ko:K03547	vcm:VCM66_A0479
ko:K03546	vcm:VCM66_A0480
ko:K03281	vcm:VCM66_A0485
ko:K03549	vcm:VCM66_A0488
ko:K03737	vcm:VCM66_A0489
ko:K07646	vcm:VCM66_A0490
ko:K07667	vcm:VCM66_A0491
ko:K03116	vcm:VCM66_A0492
ko:K10925	vcm:VCM66_0393
ko:K12281	vcm:VCM66_0386
ko:K03688	vcm:VCM66_0085
ko:K03116	vcm:VCM66_0086
ko:K03117	vcm:VCM66_0087
ko:K03118	vcm:VCM66_0088
ko:K00428	vcm:VCM66_0089
ko:K03327	vcm:VCM66_0090
ko:K01356	vcm:VCM66_0092
ko:K00631	vcm:VCM66_0093
ko:K03179	vcm:VCM66_0094
ko:K03181	vcm:VCM66_0095
ko:K02415	vcm:VCM66_0097
ko:K02441	vcm:VCM66_0099
ko:K02439	vcm:VCM66_0100
ko:K03424	vcm:VCM66_0103
ko:K01698	vcm:VCM66_0105
ko:K02335	vcm:VCM66_0108
ko:K03978	vcm:VCM66_0111
ko:K09894	vcm:VCM66_0114
ko:K02498	vcm:VCM66_0117
ko:K02496	vcm:VCM66_0118
ko:K01719	vcm:VCM66_0119
ko:K01749	vcm:VCM66_0120
ko:K05851	vcm:VCM66_0122
ko:K06202	vcm:VCM66_0123
ko:K01586	vcm:VCM66_0125
ko:K01778	vcm:VCM66_0126
ko:K09921	vcm:VCM66_0127
ko:K03733	vcm:VCM66_0128
ko:K04047	vcm:VCM66_0139
ko:K08993	vcm:VCM66_0145
ko:K03110	vcm:VCM66_0147
ko:K09812	vcm:VCM66_0148
ko:K05596	vcm:VCM66_0467
ko:K09807	vcm:VCM66_0468
ko:K00873	vcm:VCM66_0470
ko:K00820	vcm:VCM66_0472
ko:K03086	vcm:VCM66_0475
ko:K02316	vcm:VCM66_0476
ko:K09117	vcm:VCM66_0477
ko:K02970	vcm:VCM66_0478
ko:K01409	vcm:VCM66_0479
ko:K08591	vcm:VCM66_0481
ko:K01633	vcm:VCM66_0482
ko:K00950	vcm:VCM66_0483
ko:K06153	vcm:VCM66_0484
ko:K05589	vcm:VCM66_0485
ko:K00991	vcm:VCM66_0486
ko:K03796	vcm:VCM66_1386
ko:K09792	vcm:VCM66_1391
ko:K09926	vcm:VCM66_1394
ko:K00406	vcm:VCM66_1395
ko:K02400	vcm:VCM66_1993
ko:K09907	vcm:VCM66_1997
ko:K01887	vcm:VCM66_1998
ko:K04759	vcm:VCM66_2001
ko:K04758	vcm:VCM66_2002
ko:K09815	vcm:VCM66_2005
ko:K09817	vcm:VCM66_2006
ko:K09816	vcm:VCM66_2007
ko:K01902	vcm:VCM66_2008
ko:K01903	vcm:VCM66_2009
ko:K00658	vcm:VCM66_2010
ko:K00164	vcm:VCM66_2011
ko:K00240	vcm:VCM66_2012
ko:K00239	vcm:VCM66_2013
ko:K00242	vcm:VCM66_2014
ko:K00241	vcm:VCM66_2015
ko:K01647	vcm:VCM66_2016
ko:K09977	vcm:VCM66_2018
ko:K03645	vcm:VCM66_2020
ko:K03839	vcm:VCM66_2023
ko:K00133	vcm:VCM66_2030
ko:K03473	vcm:VCM66_2031
ko:K00647	vcm:VCM66_2032
ko:K09906	vcm:VCM66_2036
ko:K01736	vcm:VCM66_2039
ko:K07320	vcm:VCM66_2041
ko:K02401	vcm:VCM66_2043
ko:K02421	vcm:VCM66_2044
ko:K02420	vcm:VCM66_2045
ko:K02419	vcm:VCM66_2046
ko:K02821	vcm:VCM66_A0241
ko:K03477	vcm:VCM66_A0243
ko:K03476	vcm:VCM66_A0244
ko:K02437	vcm:VCM66_A0276
ko:K00600	vcm:VCM66_A0277
ko:K00605	vcm:VCM66_A0279
ko:K01868	vcm:VCM66_A0286
ko:K02520	vcm:VCM66_A0287
ko:K02916	vcm:VCM66_A0288
ko:K02887	vcm:VCM66_A0289
ko:K06996	vcm:VCM66_A0295
ko:K00765	vcm:VCM66_1088
ko:K00013	vcm:VCM66_1089
ko:K00817	vcm:VCM66_1090
ko:K01089	vcm:VCM66_1091
ko:K02501	vcm:VCM66_1092
ko:K01814	vcm:VCM66_1093
ko:K02500	vcm:VCM66_1094
ko:K11755	vcm:VCM66_1095
ko:K06181	vcm:VCM66_1096
ko:K00031	vcm:VCM66_1097
ko:K03704	vcm:VCM66_1098
ko:K06891	vcm:VCM66_1099
ko:K03694	vcm:VCM66_1100
ko:K07085	vcm:VCM66_1101
ko:K03674	vcm:VCM66_1102
ko:K00831	vcm:VCM66_1114
ko:K01876	vcm:VCM66_1121
ko:K00857	vcm:VCM66_1122
ko:K01695	vcm:VCM66_1124
ko:K01696	vcm:VCM66_1125
ko:K00766	vcm:VCM66_1127
ko:K01658	vcm:VCM66_1128
ko:K01657	vcm:VCM66_1129
ko:K07053	vcm:VCM66_1132
ko:K06178	vcm:VCM66_1134
ko:K00384	vcm:VCM66_1137
ko:K03748	vcm:VCM66_1141
ko:K00027	vcm:VCM66_1143
ko:K02418	vcm:VCM66_2047
ko:K02417	vcm:VCM66_2048
ko:K02416	vcm:VCM66_2049
ko:K02415	vcm:VCM66_2050
ko:K02413	vcm:VCM66_2052
ko:K02412	vcm:VCM66_2053
ko:K02411	vcm:VCM66_2054
ko:K02410	vcm:VCM66_2055
ko:K02409	vcm:VCM66_2056
ko:K02408	vcm:VCM66_2057
ko:K10943	vcm:VCM66_2058
ko:K10942	vcm:VCM66_2059
ko:K10941	vcm:VCM66_2060
ko:K02422	vcm:VCM66_2061
ko:K02407	vcm:VCM66_2063
ko:K06603	vcm:VCM66_2064
ko:K02406	vcm:VCM66_2065
ko:K02406	vcm:VCM66_2066
ko:K02406	vcm:VCM66_2067
ko:K07223	vcm:VCM66_2068
ko:K01439	vcm:VCM66_2075
ko:K07287	vcm:VCM66_2079
ko:K01714	vcm:VCM66_2080
ko:K03567	vcm:VCM66_2082
ko:K03564	vcm:VCM66_2083
ko:K03548	vcm:VCM66_2085
ko:K03809	vcm:VCM66_2089
ko:K09938	vcm:VCM66_2091
ko:K12283	vcm:VCM66_0388
ko:K12284	vcm:VCM66_0389
ko:K03690	vcm:VCM66_0084
ko:K00405	vcm:VCM66_1397
ko:K00404	vcm:VCM66_1398
ko:K07389	vcm:VCM66_1406
ko:K09911	vcm:VCM66_1424
ko:K04770	vcm:VCM66_1425
ko:K01716	vcm:VCM66_1426
ko:K03812	vcm:VCM66_1427
ko:K01256	vcm:VCM66_1437
ko:K03797	vcm:VCM66_1439
ko:K03607	vcm:VCM66_1440
ko:K03808	vcm:VCM66_1443
ko:K01925	vcm:VCM66_2326
ko:K01000	vcm:VCM66_2327
ko:K01929	vcm:VCM66_2328
ko:K01928	vcm:VCM66_2329
ko:K03587	vcm:VCM66_2330
ko:K03586	vcm:VCM66_2331
ko:K03438	vcm:VCM66_2332
ko:K00382	vcm:VCM66_2335
ko:K00627	vcm:VCM66_2336
ko:K00163	vcm:VCM66_2337
ko:K07462	vcm:VCM66_2340
ko:K03981	vcm:VCM66_2341
ko:K04763	vcm:VCM66_2342
ko:K03840	vcm:VCM66_2343
ko:K03806	vcm:VCM66_2344
ko:K00767	vcm:VCM66_2345
ko:K02652	vcm:VCM66_2347
ko:K02653	vcm:VCM66_2348
ko:K02654	vcm:VCM66_2349
ko:K00859	vcm:VCM66_2350
ko:K09862	vcm:VCM66_2352
ko:K02621	vcm:VCM66_2353
ko:K02622	vcm:VCM66_2354
ko:K07000	vcm:VCM66_2355
ko:K03651	vcm:VCM66_2356
ko:K09920	vcm:VCM66_2357
ko:K00982	vcm:VCM66_2361
ko:K07220	vcm:VCM66_2364
ko:K03306	vcm:VCM66_2365
ko:K07184	vcm:VCM66_2366
ko:K02450	vcm:VCM66_2368
ko:K01689	vcm:VCM66_2370
ko:K01937	vcm:VCM66_2371
ko:K03215	vcm:VCM66_2375
ko:K07678	vcm:VCM66_2376
ko:K00997	vcm:VCM66_2380
ko:K03474	vcm:VCM66_2381
ko:K03584	vcm:VCM66_2382
ko:K03595	vcm:VCM66_2383
ko:K02017	vcm:VCM66_A0682
ko:K02018	vcm:VCM66_A0683
ko:K02020	vcm:VCM66_A0684
ko:K02232	vcm:VCM66_A0685
ko:K07461	vcm:VCM66_A0697
ko:K09915	vcm:VCM66_A0698
ko:K09802	vcm:VCM66_A0700
ko:K00864	vcm:VCM66_A0703
ko:K02440	vcm:VCM66_A0704
ko:K00111	vcm:VCM66_A0706
ko:K00112	vcm:VCM66_A0707
ko:K00648	vcm:VCM66_A0710
ko:K03672	vcm:VCM66_A0711
ko:K09998	vcm:VCM66_A0716
ko:K09999	vcm:VCM66_A0717
ko:K09997	vcm:VCM66_A0718
ko:K10000	vcm:VCM66_A0719
ko:K03924	vcm:VCM66_A0722
ko:K01620	vcm:VCM66_A0724
ko:K11927	vcm:VCM66_A0727
ko:K08682	vcm:VCM66_A0728
ko:K03834	vcm:VCM66_A0731
ko:K07160	vcm:VCM66_A0735
ko:K00012	vcm:VCM66_A0739
ko:K01770	vcm:VCM66_0487
ko:K06176	vcm:VCM66_0488
ko:K03787	vcm:VCM66_0489
ko:K00573	vcm:VCM66_0490
ko:K06194	vcm:VCM66_0491
ko:K03555	vcm:VCM66_0493
ko:K02048	vcm:VCM66_0496
ko:K02046	vcm:VCM66_0497
ko:K02047	vcm:VCM66_0498
ko:K02045	vcm:VCM66_0499
ko:K03743	vcm:VCM66_0500
ko:K03553	vcm:VCM66_0501
ko:K03565	vcm:VCM66_0502
ko:K01872	vcm:VCM66_0503
ko:K00928	vcm:VCM66_0505
ko:K03563	vcm:VCM66_0506
ko:K01573	vcm:VCM66_0507
ko:K01572	vcm:VCM66_0509
ko:K01919	vcm:VCM66_0514
ko:K07173	vcm:VCM66_0515
ko:K03106	vcm:VCM66_0518
ko:K02959	vcm:VCM66_0519
ko:K02860	vcm:VCM66_0520
ko:K00554	vcm:VCM66_0521
ko:K02884	vcm:VCM66_0522
ko:K09908	vcm:VCM66_0525
ko:K06916	vcm:VCM66_0526
ko:K02871	vcm:VCM66_0528
ko:K02996	vcm:VCM66_0529
ko:K00411	vcm:VCM66_0531
ko:K00412	vcm:VCM66_0532
ko:K00413	vcm:VCM66_0533
ko:K03599	vcm:VCM66_0534
ko:K03600	vcm:VCM66_0535
ko:K07460	vcm:VCM66_0538
ko:K07121	vcm:VCM66_0539
ko:K07056	vcm:VCM66_0540
ko:K11392	vcm:VCM66_1445
ko:K00243	vcm:VCM66_1446
ko:K01626	vcm:VCM66_1449
ko:K09767	vcm:VCM66_1450
ko:K00127	vcm:VCM66_1453
ko:K00123	vcm:VCM66_1455
ko:K02379	vcm:VCM66_1461
ko:K05772	vcm:VCM66_1465
ko:K05773	vcm:VCM66_1466
ko:K03752	vcm:VCM66_1468
ko:K03750	vcm:VCM66_1469
ko:K03327	vcm:VCM66_1481
ko:K03832	vcm:VCM66_1485
ko:K03559	vcm:VCM66_1486
ko:K03561	vcm:VCM66_1487
ko:K03561	vcm:VCM66_1488
ko:K05813	vcm:VCM66_1490
ko:K05814	vcm:VCM66_1491
ko:K05815	vcm:VCM66_1492
ko:K05816	vcm:VCM66_1493
ko:K02444	vcm:VCM66_1494
ko:K01126	vcm:VCM66_1495
ko:K01223	vcm:VCM66_1499
ko:K10930	vcm:VCM66_0785
ko:K10931	vcm:VCM66_0786
ko:K10962	vcm:VCM66_0787
ko:K10932	vcm:VCM66_0788
ko:K10963	vcm:VCM66_0789
ko:K10964	vcm:VCM66_0791
ko:K10934	vcm:VCM66_0793
ko:K10935	vcm:VCM66_0794
ko:K10923	vcm:VCM66_0795
ko:K10966	vcm:VCM66_0796
ko:K10937	vcm:VCM66_0797
ko:K10938	vcm:VCM66_0798
ko:K10961	vcm:VCM66_0782
ko:K03790	vcm:VCM66_1264
ko:K01775	vcm:VCM66_1267
ko:K03413	vcm:VCM66_1271
ko:K09824	vcm:VCM66_1272
ko:K07661	vcm:VCM66_1275
ko:K05952	vcm:VCM66_1277
ko:K10540	vcm:VCM66_1280
ko:K10542	vcm:VCM66_1282
ko:K10541	vcm:VCM66_1283
ko:K07795	vcm:VCM66_1289
ko:K01908	vcm:VCM66_1295
ko:K00457	vcm:VCM66_1299
ko:K00451	vcm:VCM66_1300
ko:K07814	vcm:VCM66_1303
ko:K06969	vcm:VCM66_1309
ko:K01512	vcm:VCM66_1310
ko:K11179	vcm:VCM66_1311
ko:K09972	vcm:VCM66_1314
ko:K09971	vcm:VCM66_1315
ko:K09970	vcm:VCM66_1316
ko:K09969	vcm:VCM66_1317
ko:K10026	vcm:VCM66_1320
ko:K06920	vcm:VCM66_1321
ko:K05952	vcm:VCM66_2211
ko:K03734	vcm:VCM66_2212
ko:K00351	vcm:VCM66_2213
ko:K00350	vcm:VCM66_2214
ko:K00349	vcm:VCM66_2215
ko:K00348	vcm:VCM66_2216
ko:K00347	vcm:VCM66_2217
ko:K00346	vcm:VCM66_2218
ko:K05527	vcm:VCM66_2219
ko:K07286	vcm:VCM66_2221
ko:K08218	vcm:VCM66_2223
ko:K07167	vcm:VCM66_2224
ko:K03088	vcm:VCM66_2225
ko:K07157	vcm:VCM66_2226
ko:K05517	vcm:VCM66_2228
ko:K00077	vcm:VCM66_2230
ko:K03152	vcm:VCM66_2231
ko:K02426	vcm:VCM66_2233
ko:K08304	vcm:VCM66_2235
ko:K03581	vcm:VCM66_2242
ko:K03582	vcm:VCM66_2243
ko:K03583	vcm:VCM66_2245
ko:K09918	vcm:VCM66_2249
ko:K07234	vcm:VCM66_2253
ko:K06878	vcm:VCM66_2259
ko:K02529	vcm:VCM66_2260
ko:K07240	vcm:VCM66_2262
ko:K02355	vcm:VCM66_2265
ko:K04485	vcm:VCM66_2266
ko:K05306	vcm:VCM66_A0564
ko:K06140	vcm:VCM66_A0565
ko:K03282	vcm:VCM66_A0570
ko:K01938	vcm:VCM66_A0572
ko:K12267	vcm:VCM66_A0573
ko:K01495	vcm:VCM66_A0574
ko:K03750	vcm:VCM66_A0575
ko:K00616	vcm:VCM66_A0581
ko:K00615	vcm:VCM66_A0582
ko:K07120	vcm:VCM66_A0587
ko:K06967	vcm:VCM66_A0592
ko:K10679	vcm:VCM66_A0595
ko:K07112	vcm:VCM66_A0598
ko:K07112	vcm:VCM66_A0599
ko:K06996	vcm:VCM66_A0603
ko:K02809	vcm:VCM66_A0611
ko:K02810	vcm:VCM66_A0611
ko:K00847	vcm:VCM66_A0614
ko:K00111	vcm:VCM66_A0615
ko:K03326	vcm:VCM66_A0623
ko:K00548	vcm:VCM66_0375
ko:K00928	vcm:VCM66_0376
ko:K03701	vcm:VCM66_0379
ko:K00963	vcm:VCM66_0380
ko:K03111	vcm:VCM66_0382
ko:K10924	vcm:VCM66_0394
ko:K10926	vcm:VCM66_0395
ko:K10927	vcm:VCM66_0396
ko:K03569	vcm:VCM66_0400
ko:K03570	vcm:VCM66_0401
ko:K03571	vcm:VCM66_0402
ko:K06287	vcm:VCM66_0403
ko:K08301	vcm:VCM66_0404
ko:K03568	vcm:VCM66_0407
ko:K01478	vcm:VCM66_0408
ko:K09893	vcm:VCM66_0409
ko:K07080	vcm:VCM66_0415
ko:K03402	vcm:VCM66_0416
ko:K03758	vcm:VCM66_0418
ko:K02523	vcm:VCM66_0419
ko:K02888	vcm:VCM66_0420
ko:K02899	vcm:VCM66_0421
ko:K03979	vcm:VCM66_0422
ko:K00287	vcm:VCM66_0425
ko:K01525	vcm:VCM66_0426
ko:K06195	vcm:VCM66_0427
ko:K02528	vcm:VCM66_0428
ko:K00097	vcm:VCM66_0429
ko:K03771	vcm:VCM66_0430
ko:K04744	vcm:VCM66_0431
ko:K05801	vcm:VCM66_0432
ko:K03578	vcm:VCM66_1337
ko:K04046	vcm:VCM66_1341
ko:K03800	vcm:VCM66_1343
ko:K01669	vcm:VCM66_1347
ko:K03413	vcm:VCM66_1350
ko:K03407	vcm:VCM66_1352
ko:K03413	vcm:VCM66_1353
ko:K00575	vcm:VCM66_1354
ko:K03412	vcm:VCM66_1356
ko:K03408	vcm:VCM66_1357
ko:K03543	vcm:VCM66_1365
ko:K01299	vcm:VCM66_1369
ko:K11903	vcm:VCM66_1370
ko:K03310	vcm:VCM66_1377
ko:K11069	vcm:VCM66_1380
