ko:K18929	hpo:HMPREF4655_20381
ko:K00766	hpo:HMPREF4655_21473
ko:K01657	hpo:HMPREF4655_21475
ko:K03707	hpo:HMPREF4655_21479
ko:K03811	hpo:HMPREF4655_21480
ko:K02879	hpo:HMPREF4655_21482
ko:K03040	hpo:HMPREF4655_21483
ko:K02986	hpo:HMPREF4655_21484
ko:K02948	hpo:HMPREF4655_21485
ko:K02952	hpo:HMPREF4655_21486
ko:K02919	hpo:HMPREF4655_21487
ko:K02518	hpo:HMPREF4655_21488
ko:K01265	hpo:HMPREF4655_21489
ko:K03076	hpo:HMPREF4655_21490
ko:K02876	hpo:HMPREF4655_21491
ko:K02988	hpo:HMPREF4655_21492
ko:K02881	hpo:HMPREF4655_21493
ko:K02933	hpo:HMPREF4655_21494
ko:K02994	hpo:HMPREF4655_21495
ko:K02954	hpo:HMPREF4655_21496
ko:K02931	hpo:HMPREF4655_21497
ko:K02895	hpo:HMPREF4655_21498
ko:K02874	hpo:HMPREF4655_21499
ko:K02961	hpo:HMPREF4655_21500
ko:K02904	hpo:HMPREF4655_21501
ko:K01983	hpo:HMPREF4655nc20001
ko:K06910	hpo:HMPREF4655_20460
ko:K01262	hpo:HMPREF4655_20655
ko:K03711	hpo:HMPREF4655_20665
ko:K13640	hpo:HMPREF4655_20667
ko:K00076	hpo:HMPREF4655_20677
ko:K05845	hpo:HMPREF4655_20778
ko:K05846	hpo:HMPREF4655_20778
ko:K03635	hpo:HMPREF4655_20799
ko:K02004	hpo:HMPREF4655_20812
ko:K03279	hpo:HMPREF4655_20008
ko:K03768	hpo:HMPREF4655_20036
ko:K06346	hpo:HMPREF4655_20045
ko:K04517	hpo:HMPREF4655_20231
ko:K02238	hpo:HMPREF4655_20253
ko:K07126	hpo:HMPREF4655_20479
ko:K06196	hpo:HMPREF4655_20507
ko:K02242	hpo:HMPREF4655_20071
ko:K00616	hpo:HMPREF4655_20093
ko:K14048	hpo:HMPREF4655_20300
ko:K03406	hpo:HMPREF4655_20311
ko:K04093	hpo:HMPREF4655_20534
ko:K03342	hpo:HMPREF4655_20536
ko:K01916	hpo:HMPREF4655_20572
ko:K03455	hpo:HMPREF4655_20692
ko:K02017	hpo:HMPREF4655_20699
ko:K01885	hpo:HMPREF4655_20700
ko:K02067	hpo:HMPREF4655_20060
ko:K01156	hpo:HMPREF4655_20113
ko:K07316	hpo:HMPREF4655_20115
ko:K02342	hpo:HMPREF4655_20146
ko:K01119	hpo:HMPREF4655_20350
ko:K03406	hpo:HMPREF4655_20351
ko:K03406	hpo:HMPREF4655_20355
ko:K11085	hpo:HMPREF4655_20610
ko:K02433	hpo:HMPREF4655_20765
ko:K00088	hpo:HMPREF4655_20766
ko:K03386	hpo:HMPREF4655_20184
ko:K03279	hpo:HMPREF4655_20402
ko:K07126	hpo:HMPREF4655_20403
ko:K15898	hpo:HMPREF4655_20420
ko:K00245	hpo:HMPREF4655_20431
ko:K00244	hpo:HMPREF4655_20432
ko:K01409	hpo:HMPREF4655_20204
ko:K03593	hpo:HMPREF4655_20447
ko:K07126	hpo:HMPREF4655_20452
ko:K01439	hpo:HMPREF4655_20453
ko:K07098	hpo:HMPREF4655_20647
ko:K18682	hpo:HMPREF4655_20840
ko:K02878	hpo:HMPREF4655_21502
ko:K02982	hpo:HMPREF4655_21503
ko:K02890	hpo:HMPREF4655_21504
ko:K02965	hpo:HMPREF4655_21505
ko:K02886	hpo:HMPREF4655_21506
ko:K02892	hpo:HMPREF4655_21507
ko:K02926	hpo:HMPREF4655_21508
ko:K02906	hpo:HMPREF4655_21509
ko:K02946	hpo:HMPREF4655_21510
ko:K07133	hpo:HMPREF4655_21511
ko:K03470	hpo:HMPREF4655_21513
ko:K07787	hpo:HMPREF4655_21519
ko:K03686	hpo:HMPREF4655_21522
ko:K00566	hpo:HMPREF4655_21525
ko:K00969	hpo:HMPREF4655_21527
ko:K07722	hpo:HMPREF4655_21528
ko:K03561	hpo:HMPREF4655_21529
ko:K03832	hpo:HMPREF4655_21531
ko:K04656	hpo:HMPREF4655_21534
ko:K02377	hpo:HMPREF4655_21537
ko:K01711	hpo:HMPREF4655_21538
ko:K09747	hpo:HMPREF4655_21545
ko:K01579	hpo:HMPREF4655_21546
ko:K03694	hpo:HMPREF4655_21547
ko:K06891	hpo:HMPREF4655_21548
ko:K01935	hpo:HMPREF4655_21552
ko:K00031	hpo:HMPREF4655_21554
ko:K01647	hpo:HMPREF4655_21555
ko:K01173	hpo:HMPREF4655_21557
ko:K01012	hpo:HMPREF4655_21560
ko:K07058	hpo:HMPREF4655_21561
ko:K16091	hpo:HMPREF4655_20915
ko:K00104	hpo:HMPREF4655_21096
ko:K01154	hpo:HMPREF4655_20809
ko:K14233	hpo:HMPREF4655_t20008
ko:K14218	hpo:HMPREF4655_t20010
ko:K14219	hpo:HMPREF4655_t20023
ko:K14226	hpo:HMPREF4655_t20024
ko:K15726	hpo:HMPREF4655_21203
ko:K01977	hpo:HMPREF4655_r20004
ko:K01977	hpo:HMPREF4655_r20001
ko:K14230	hpo:HMPREF4655_t20029
ko:K14234	hpo:HMPREF4655_t20031
ko:K14225	hpo:HMPREF4655_t20032
ko:K14236	hpo:HMPREF4655_t20033
ko:K14234	hpo:HMPREF4655_t20034
ko:K14228	hpo:HMPREF4655_t20035
ko:K14228	hpo:HMPREF4655_t20036
ko:K14231	hpo:HMPREF4655_t20001
ko:K10716	hpo:HMPREF4655_21114
ko:K15035	hpo:HMPREF4655nc20002
ko:K01978	hpo:HMPREF4655nc20003
ko:K01985	hpo:HMPREF4655_r20002
ko:K01985	hpo:HMPREF4655_r20005
ko:K02014	hpo:HMPREF4655_20719
ko:K02014	hpo:HMPREF4655_20109
ko:K02028	hpo:HMPREF4655_21362
ko:K02030	hpo:HMPREF4655_21363
ko:K00949	hpo:HMPREF4655_21481
ko:K00059	hpo:HMPREF4655_21040
ko:K01784	hpo:HMPREF4655_21284
ko:K07126	hpo:HMPREF4655_21287
ko:K00845	hpo:HMPREF4655_21292
ko:K07126	hpo:HMPREF4655_21306
ko:K01424	hpo:HMPREF4655_20883
ko:K00626	hpo:HMPREF4655_20912
ko:K13016	hpo:HMPREF4655_20921
ko:K00567	hpo:HMPREF4655_20923
ko:K04763	hpo:HMPREF4655_20924
ko:K00058	hpo:HMPREF4655_21247
ko:K06013	hpo:HMPREF4655_21263
ko:K07126	hpo:HMPREF4655_21086
ko:K08077	hpo:HMPREF4655_21098
ko:K01679	hpo:HMPREF4655_21515
ko:K04655	hpo:HMPREF4655_21535
ko:K03469	hpo:HMPREF4655_20939
ko:K01885	hpo:HMPREF4655_20957
ko:K07126	hpo:HMPREF4655_20972
ko:K00674	hpo:HMPREF4655_20973
ko:K01507	hpo:HMPREF4655_20979
ko:K00939	hpo:HMPREF4655_20983
ko:K03784	hpo:HMPREF4655_21369
ko:K03317	hpo:HMPREF4655_21371
ko:K01674	hpo:HMPREF4655_21377
ko:K02843	hpo:HMPREF4655_21381
ko:K04652	hpo:HMPREF4655_21134
ko:K02014	hpo:HMPREF4655_21149
ko:K01992	hpo:HMPREF4655_20990
ko:K01992	hpo:HMPREF4655_20991
ko:K07457	hpo:HMPREF4655_20999
ko:K00652	hpo:HMPREF4655_21003
ko:K01719	hpo:HMPREF4655_21415
ko:K01455	hpo:HMPREF4655_21429
ko:K06603	hpo:HMPREF4655_20849
ko:K00769	hpo:HMPREF4655_20865
ko:K03743	hpo:HMPREF4655_21185
ko:K06179	hpo:HMPREF4655_21189
ko:K03442	hpo:HMPREF4655_21215
ko:K01585	hpo:HMPREF4655_21222
ko:K14232	hpo:HMPREF4655_t20025
ko:K14219	hpo:HMPREF4655_t20022
ko:K16052	hpo:HMPREF4655_21229
ko:K14224	hpo:HMPREF4655_t20002
ko:K14221	hpo:HMPREF4655_t20003
ko:K14237	hpo:HMPREF4655_t20004
ko:K14224	hpo:HMPREF4655_t20005
ko:K14229	hpo:HMPREF4655_t20006
ko:K14237	hpo:HMPREF4655_t20007
ko:K14220	hpo:HMPREF4655_t20009
ko:K14219	hpo:HMPREF4655_t20011
ko:K14233	hpo:HMPREF4655_t20012
ko:K14232	hpo:HMPREF4655_t20013
ko:K14219	hpo:HMPREF4655_t20014
ko:K14230	hpo:HMPREF4655_t20015
ko:K14230	hpo:HMPREF4655_t20016
ko:K14223	hpo:HMPREF4655_t20017
ko:K14225	hpo:HMPREF4655_t20018
ko:K14228	hpo:HMPREF4655_t20019
ko:K14222	hpo:HMPREF4655_t20020
ko:K14233	hpo:HMPREF4655_t20021
ko:K01980	hpo:HMPREF4655_r20006
ko:K01980	hpo:HMPREF4655_r20003
ko:K14228	hpo:HMPREF4655_t20026
ko:K14227	hpo:HMPREF4655_t20027
ko:K14218	hpo:HMPREF4655_t20028
ko:K02029	hpo:HMPREF4655_21361
ko:K14235	hpo:HMPREF4655_t20030
ko:K03196	hpo:HMPREF4655_20014
ko:K11028	hpo:HMPREF4655_21122
ko:K15847	hpo:HMPREF4655_21129
ko:K12086	hpo:HMPREF4655_21085
ko:K12088	hpo:HMPREF4655_21083
ko:K12089	hpo:HMPREF4655_21082
ko:K12090	hpo:HMPREF4655_21081
ko:K12092	hpo:HMPREF4655_21077
ko:K12093	hpo:HMPREF4655_21076
ko:K12094	hpo:HMPREF4655_21075
ko:K12095	hpo:HMPREF4655_21074
ko:K12096	hpo:HMPREF4655_21073
ko:K12097	hpo:HMPREF4655_21072
ko:K12098	hpo:HMPREF4655_21071
ko:K12099	hpo:HMPREF4655_21068
ko:K12100	hpo:HMPREF4655_21066
ko:K12101	hpo:HMPREF4655_21065
ko:K15842	hpo:HMPREF4655_21054
ko:K12102	hpo:HMPREF4655_21064
ko:K12103	hpo:HMPREF4655_21063
ko:K12104	hpo:HMPREF4655_21062
ko:K12105	hpo:HMPREF4655_21061
ko:K12106	hpo:HMPREF4655_21060
ko:K12107	hpo:HMPREF4655_21059
ko:K12108	hpo:HMPREF4655_21058
ko:K12109	hpo:HMPREF4655_21057
ko:K12110	hpo:HMPREF4655_21056
ko:K15848	hpo:HMPREF4655_20881
ko:K15843	hpo:HMPREF4655_21146
ko:K15844	hpo:HMPREF4655_21147
ko:K12091	hpo:HMPREF4655_21079
ko:K15845	hpo:HMPREF4655_20213
ko:K10009	hpo:HMPREF4655_21171
ko:K00970	hpo:HMPREF4655_20959
ko:K03321	hpo:HMPREF4655_20470
ko:K01426	hpo:HMPREF4655_20537
ko:K12371	hpo:HMPREF4655_20544
ko:K12369	hpo:HMPREF4655_20542
ko:K02424	hpo:HMPREF4655_21172
ko:K11782	hpo:HMPREF4655_20821
ko:K03559	hpo:HMPREF4655_21318
ko:K07318	hpo:HMPREF4655_21398
ko:K03559	hpo:HMPREF4655_20041
ko:K09477	hpo:HMPREF4655_20386
ko:K12049	hpo:HMPREF4655_21541
ko:K12977	hpo:HMPREF4655_20225
ko:K12048	hpo:HMPREF4655_21540
ko:K12052	hpo:HMPREF4655_21543
ko:K12050	hpo:HMPREF4655_21542
ko:K03191	hpo:HMPREF4655_20297
ko:K13797	hpo:HMPREF4655_21387
ko:K02003	hpo:HMPREF4655_20421
ko:K15895	hpo:HMPREF4655_21279
ko:K15896	hpo:HMPREF4655_20570
ko:K01738	hpo:HMPREF4655_20347
ko:K01760	hpo:HMPREF4655_20348
ko:K07316	hpo:HMPREF4655_20114
ko:K01990	hpo:HMPREF4655_21411
ko:K17103	hpo:HMPREF4655_20621
ko:K03559	hpo:HMPREF4655_21530
ko:K02484	hpo:HMPREF4655_20250
ko:K02484	hpo:HMPREF4655_20406
ko:K02847	hpo:HMPREF4655_20653
ko:K01992	hpo:HMPREF4655_20085
ko:K12053	hpo:HMPREF4655_20221
ko:K17686	hpo:HMPREF4655_20100
ko:K17686	hpo:HMPREF4655_20620
ko:K00971	hpo:HMPREF4655_21539
ko:K05540	hpo:HMPREF4655_20879
ko:K11928	hpo:HMPREF4655_20276
ko:K01658	hpo:HMPREF4655_21474
ko:K01156	hpo:HMPREF4655_21559
ko:K00290	hpo:HMPREF4655_20104
ko:K01497	hpo:HMPREF4655_20798
ko:K12574	hpo:HMPREF4655_20021
ko:K00254	hpo:HMPREF4655_20680
ko:K05922	hpo:HMPREF4655_20967
ko:K05927	hpo:HMPREF4655_20968
ko:K01155	hpo:HMPREF4655_20010
ko:K06148	hpo:HMPREF4655_21396
ko:K03605	hpo:HMPREF4655_20965
ko:K05366	hpo:HMPREF4655_21004
ko:K11784	hpo:HMPREF4655_20944
ko:K11785	hpo:HMPREF4655_20395
ko:K18284	hpo:HMPREF4655_20365
ko:K18285	hpo:HMPREF4655_20946
ko:K16235	hpo:HMPREF4655_20674
ko:K16235	hpo:HMPREF4655_20135
ko:K18480	hpo:HMPREF4655_20059
ko:K00681	hpo:HMPREF4655_21307
ko:K07316	hpo:HMPREF4655_21558
ko:K18930	hpo:HMPREF4655_21413
ko:K03196	hpo:HMPREF4655_21080
ko:K03497	hpo:HMPREF4655_21327
ko:K03496	hpo:HMPREF4655_21328
ko:K03111	hpo:HMPREF4655_21437
ko:K03761	hpo:HMPREF4655_20601
ko:K07126	hpo:HMPREF4655_20145
ko:K00335	hpo:HMPREF4655_21457
ko:K02483	hpo:HMPREF4655_20407
ko:K03526	hpo:HMPREF4655_20974
ko:K03296	hpo:HMPREF4655_20994
ko:K00336	hpo:HMPREF4655_21458
ko:K07448	hpo:HMPREF4655_20612
ko:K19157	hpo:HMPREF4655_21127
ko:K00571	hpo:HMPREF4655_20247
ko:K00571	hpo:HMPREF4655_20274
ko:K00571	hpo:HMPREF4655_20362
ko:K00571	hpo:HMPREF4655_20505
ko:K00571	hpo:HMPREF4655_21532
ko:K07317	hpo:HMPREF4655_21143
ko:K04771	hpo:HMPREF4655_20673
ko:K01992	hpo:HMPREF4655_20084
ko:K07496	hpo:HMPREF4655_21053
ko:K00525	hpo:HMPREF4655_20920
ko:K19416	hpo:HMPREF4655_21153
ko:K20151	hpo:HMPREF4655_20949
ko:K20810	hpo:HMPREF4655_20509
ko:K20151	hpo:HMPREF4655_21266
ko:K07100	hpo:HMPREF4655_21406
ko:K00558	hpo:HMPREF4655_20152
ko:K03465	hpo:HMPREF4655_20125
ko:K02335	hpo:HMPREF4655_20066
ko:K02335	hpo:HMPREF4655_20670
ko:K00558	hpo:HMPREF4655_21310
ko:K03553	hpo:HMPREF4655_20396
ko:K00558	hpo:HMPREF4655_20708
ko:K01520	hpo:HMPREF4655_20731
ko:K00558	hpo:HMPREF4655_20746
ko:K02316	hpo:HMPREF4655_20216
ko:K02314	hpo:HMPREF4655_20252
ko:K00558	hpo:HMPREF4655_20275
ko:K07097	hpo:HMPREF4655_20650
ko:K02483	hpo:HMPREF4655_20249
ko:K00526	hpo:HMPREF4655_21280
ko:K02481	hpo:HMPREF4655_20900
ko:K01139	hpo:HMPREF4655_20824
ko:K02483	hpo:HMPREF4655_20648
ko:K10026	hpo:HMPREF4655_21166
ko:K21929	hpo:HMPREF4655_20950
ko:K03595	hpo:HMPREF4655_21088
ko:K22278	hpo:HMPREF4655_20553
ko:K14441	hpo:HMPREF4655_20866
ko:K22391	hpo:HMPREF4655_21192
ko:K17758	hpo:HMPREF4655_20251
ko:K17759	hpo:HMPREF4655_20251
ko:K00590	hpo:HMPREF4655_20246
ko:K00571	hpo:HMPREF4655_20263
ko:K01007	hpo:HMPREF4655_20335
