ko:K01183	bal:BACI_c04380
ko:K03294	bal:BACI_c02730
ko:K03095	bal:BACI_c02860
ko:K03486	bal:BACI_c06370
ko:K01226	bal:BACI_c06390
ko:K03153	bal:BACI_c07610
ko:K02033	bal:BACI_c08380
ko:K03294	bal:BACI_c08560
ko:K09963	bal:BACI_c08620
ko:K00619	bal:BACI_c08680
ko:K02035	bal:BACI_c06660
ko:K02033	bal:BACI_c06680
ko:K00852	bal:BACI_c06750
ko:K10440	bal:BACI_c06780
ko:K10439	bal:BACI_c06790
ko:K00616	bal:BACI_c06800
ko:K09607	bal:BACI_c06810
ko:K14225	bal:BACI_c00960
ko:K14225	bal:BACI_c05450
ko:K14225	bal:BACI_c48940
ko:K14225	bal:BACI_c07360
ko:K14225	bal:BACI_c01900
ko:K02010	bal:BACI_c13580
ko:K02010	bal:BACI_c17370
ko:K00088	bal:BACI_c00130
ko:K07258	bal:BACI_c00140
ko:K09685	bal:BACI_c00530
ko:K02499	bal:BACI_c00630
ko:K02619	bal:BACI_c00820
ko:K00941	bal:BACI_c07650
ko:K07219	bal:BACI_c02410
ko:K06421	bal:BACI_c13450
ko:K06428	bal:BACI_c05110
ko:K13532	bal:BACI_c13710
ko:K11638	bal:BACI_c09590
ko:K08602	bal:BACI_c25560
ko:K01928	bal:BACI_c25660
ko:K04566	bal:BACI_c25700
ko:K04566	bal:BACI_c25710
ko:K01449	bal:BACI_c25720
ko:K02160	bal:BACI_c25190
ko:K01640	bal:BACI_c25200
ko:K01895	bal:BACI_c25230
ko:K14338	bal:BACI_c31660
ko:K01426	bal:BACI_c19040
ko:K14226	bal:BACI_c05430
ko:K14226	bal:BACI_c48960
ko:K02254	bal:BACI_c12090
ko:K01271	bal:BACI_c46060
ko:K02003	bal:BACI_c24390
ko:K03088	bal:BACI_c24720
ko:K06402	bal:BACI_c44340
ko:K14540	bal:BACI_c37890
ko:K03574	bal:BACI_c18080
ko:K00974	bal:BACI_c15790
ko:K06131	bal:BACI_c53410
ko:K14233	bal:BACI_c02880
ko:K14233	bal:BACI_c48780
ko:K02313	bal:BACI_c00010
ko:K02338	bal:BACI_c00020
ko:K03629	bal:BACI_c00040
ko:K02470	bal:BACI_c00050
ko:K02469	bal:BACI_c00060
ko:K06215	bal:BACI_c00150
ko:K08681	bal:BACI_c00160
ko:K01875	bal:BACI_c00180
ko:K03574	bal:BACI_c26580
ko:K01409	bal:BACI_c03060
ko:K01784	bal:BACI_c03260
ko:K01784	bal:BACI_c03270
ko:K00939	bal:BACI_c01580
ko:K03593	bal:BACI_c01750
ko:K03708	bal:BACI_c01040
ko:K07067	bal:BACI_c01090
ko:K09698	bal:BACI_c01130
ko:K00851	bal:BACI_c02030
ko:K03299	bal:BACI_c02040
ko:K00033	bal:BACI_c02050
ko:K00059	bal:BACI_c02100
ko:K02035	bal:BACI_c02340
ko:K00128	bal:BACI_c13180
ko:K14230	bal:BACI_c48880
ko:K14230	bal:BACI_c42460
ko:K06325	bal:BACI_c04030
ko:K03406	bal:BACI_c04180
ko:K03406	bal:BACI_c04300
ko:K02049	bal:BACI_c04350
ko:K02035	bal:BACI_c02610
ko:K02033	bal:BACI_c02620
ko:K07729	bal:BACI_c04450
ko:K06902	bal:BACI_c04470
ko:K01104	bal:BACI_c04620
ko:K07094	bal:BACI_c03480
ko:K00294	bal:BACI_c03530
ko:K02433	bal:BACI_c03670
ko:K00135	bal:BACI_c03730
ko:K03317	bal:BACI_c03780
ko:K03386	bal:BACI_c03920
ko:K14234	bal:BACI_c01840
ko:K13275	bal:BACI_c19740
ko:K14236	bal:BACI_c01870
ko:K14236	bal:BACI_c05410
ko:K14236	bal:BACI_c07320
ko:K14218	bal:BACI_c00320
ko:K14218	bal:BACI_c00090
ko:K14218	bal:BACI_c01000
ko:K14218	bal:BACI_c07400
ko:K14218	bal:BACI_c48900
ko:K14218	bal:BACI_c01910
ko:K01990	bal:BACI_c21850
ko:K10947	bal:BACI_c39960
ko:K09683	bal:BACI_c36020
ko:K02001	bal:BACI_c27490
ko:K09682	bal:BACI_c10820
ko:K00666	bal:BACI_c35780
ko:K14230	bal:BACI_c03010
ko:K14230	bal:BACI_c05370
ko:K14230	bal:BACI_c07420
ko:K14230	bal:BACI_c48860
ko:K05989	bal:BACI_c21920
ko:K01978	bal:BACI_c16030
ko:K01607	bal:BACI_c19170
ko:K07052	bal:BACI_c06490
ko:K07052	bal:BACI_c49520
ko:K04757	bal:BACI_c10240
ko:K14228	bal:BACI_c02940
ko:K10907	bal:BACI_c49080
ko:K07052	bal:BACI_c33870
ko:K01897	bal:BACI_c11280
ko:K01843	bal:BACI_c22610
ko:K11637	bal:BACI_c09580
ko:K14393	bal:BACI_c16560
ko:K00868	bal:BACI_c54080
ko:K00943	bal:BACI_c00370
ko:K02341	bal:BACI_c00380
ko:K06436	bal:BACI_c00490
ko:K03436	bal:BACI_c36680
ko:K01537	bal:BACI_c04600
ko:K01934	bal:BACI_c42340
ko:K14233	bal:BACI_c05340
ko:K02343	bal:BACI_c00260
ko:K09747	bal:BACI_c00270
ko:K06187	bal:BACI_c00280
ko:K06317	bal:BACI_c00300
ko:K14222	bal:BACI_c05460
ko:K08221	bal:BACI_c19620
ko:K02803	bal:BACI_c04940
ko:K02804	bal:BACI_c04940
ko:K01759	bal:BACI_c31580
ko:K03698	bal:BACI_c10490
ko:K03090	bal:BACI_c10250
ko:K00575	bal:BACI_c10290
ko:K02005	bal:BACI_c52490
ko:K09145	bal:BACI_c14740
ko:K00131	bal:BACI_c08970
ko:K01990	bal:BACI_c32840
ko:K02443	bal:BACI_c10630
ko:K03647	bal:BACI_c13870
ko:K01297	bal:BACI_c14040
ko:K02086	bal:BACI_c15890
ko:K03700	bal:BACI_c15930
ko:K00819	bal:BACI_c11850
ko:K07533	bal:BACI_c12000
ko:K03498	bal:BACI_c14290
ko:K01496	bal:BACI_c14500
ko:K01523	bal:BACI_c14510
ko:K01011	bal:BACI_c16180
ko:K03469	bal:BACI_c16430
ko:K08981	bal:BACI_c11080
ko:K07004	bal:BACI_c11150
ko:K06889	bal:BACI_c11410
ko:K07098	bal:BACI_c11420
ko:K02035	bal:BACI_c12260
ko:K07816	bal:BACI_c12390
ko:K11617	bal:BACI_c14800
ko:K11618	bal:BACI_c14810
ko:K03784	bal:BACI_c15060
ko:K03469	bal:BACI_c16470
ko:K07052	bal:BACI_c11510
ko:K03406	bal:BACI_c11560
ko:K07729	bal:BACI_c12960
ko:K05337	bal:BACI_c15270
ko:K07052	bal:BACI_c15300
ko:K01424	bal:BACI_c15400
ko:K01823	bal:BACI_c15430
ko:K00805	bal:BACI_c15550
ko:K08177	bal:BACI_c26530
ko:K08177	bal:BACI_c23120
ko:K14205	bal:BACI_c15090
ko:K01980	bal:BACI_c01810
ko:K01980	bal:BACI_c03290
ko:K01980	bal:BACI_c02990
ko:K01980	bal:BACI_c03240
ko:K01980	bal:BACI_c00100
ko:K01980	bal:BACI_c49000
ko:K01980	bal:BACI_c00330
ko:K01980	bal:BACI_c01020
ko:K01980	bal:BACI_c00900
ko:K01980	bal:BACI_c07290
ko:K01980	bal:BACI_c05310
ko:K01447	bal:BACI_c27690
ko:K02005	bal:BACI_c08360
ko:K03307	bal:BACI_c07160
ko:K03324	bal:BACI_c08150
ko:K05601	bal:BACI_c33960
ko:K06131	bal:BACI_c17910
ko:K01992	bal:BACI_c10860
ko:K01992	bal:BACI_c32830
ko:K01985	bal:BACI_c00110
ko:K01985	bal:BACI_c01030
ko:K01985	bal:BACI_c03300
ko:K01985	bal:BACI_c00340
ko:K01985	bal:BACI_c03250
ko:K01985	bal:BACI_c03000
ko:K01985	bal:BACI_c48990
ko:K01985	bal:BACI_c07300
ko:K01985	bal:BACI_c00910
ko:K01985	bal:BACI_c01820
ko:K01985	bal:BACI_c05320
ko:K09167	bal:BACI_c10980
ko:K08981	bal:BACI_c10990
ko:K09167	bal:BACI_c11070
ko:K07533	bal:BACI_c10790
ko:K03892	bal:BACI_c31480
ko:K14232	bal:BACI_c02960
ko:K14232	bal:BACI_c07390
ko:K14232	bal:BACI_c00990
ko:K14232	bal:BACI_c48910
ko:K01073	bal:BACI_c20150
ko:K14234	bal:BACI_c00930
ko:K14234	bal:BACI_c48970
ko:K14234	bal:BACI_c48830
ko:K14234	bal:BACI_c05400
ko:K14234	bal:BACI_c07450
ko:K14219	bal:BACI_c51250
ko:K01286	bal:BACI_c29880
ko:K00459	bal:BACI_c14050
ko:K13280	bal:BACI_c13120
ko:K09607	bal:BACI_c13170
ko:K11071	bal:BACI_c13200
ko:K11069	bal:BACI_c13220
ko:K02236	bal:BACI_c13390
ko:K00805	bal:BACI_c15570
ko:K03886	bal:BACI_c15650
ko:K07050	bal:BACI_c17230
ko:K14188	bal:BACI_c14070
ko:K05346	bal:BACI_c18780
ko:K14219	bal:BACI_c02950
ko:K14219	bal:BACI_c07380
ko:K14219	bal:BACI_c00980
ko:K14219	bal:BACI_c48920
ko:K10039	bal:BACI_c06530
ko:K01449	bal:BACI_c37060
ko:K14227	bal:BACI_c00080
ko:K14227	bal:BACI_c48800
ko:K14227	bal:BACI_c07470
ko:K14225	bal:BACI_c44720
ko:K14225	bal:BACI_c05530
ko:K14225	bal:BACI_c02970
ko:K14225	bal:BACI_c48810
ko:K01992	bal:BACI_c21860
ko:K06433	bal:BACI_c35650
ko:K06147	bal:BACI_c51670
ko:K06418	bal:BACI_c30720
ko:K02247	bal:BACI_c42040
ko:K02249	bal:BACI_c42020
ko:K01524	bal:BACI_c39520
ko:K02205	bal:BACI_c29520
ko:K19302	bal:BACI_pCIXO200550
ko:K00752	bal:BACI_pCIXO101130
ko:K11029	bal:BACI_pCIXO101300
ko:K11030	bal:BACI_pCIXO101530
ko:K01081	bal:BACI_c40690
ko:K08602	bal:BACI_c34450
ko:K01760	bal:BACI_c42250
ko:K03741	bal:BACI_c31450
ko:K06342	bal:BACI_c28420
ko:K06342	bal:BACI_c28400
ko:K06344	bal:BACI_c12590
ko:K14231	bal:BACI_c05390
ko:K14231	bal:BACI_c07440
ko:K14231	bal:BACI_c48840
ko:K14231	bal:BACI_c54690
ko:K01176	bal:BACI_c34430
ko:K06595	bal:BACI_c54180
ko:K00104	bal:BACI_c13300
ko:K14237	bal:BACI_c13070
ko:K07273	bal:BACI_c33990
ko:K06422	bal:BACI_c05160
ko:K01679	bal:BACI_c17660
ko:K07304	bal:BACI_c18310
ko:K06889	bal:BACI_c18530
ko:K00575	bal:BACI_c16830
ko:K01619	bal:BACI_c18790
ko:K01489	bal:BACI_c18830
ko:K01262	bal:BACI_c18860
ko:K00016	bal:BACI_c19060
ko:K00274	bal:BACI_c19070
ko:K06196	bal:BACI_c17760
ko:K00027	bal:BACI_c17950
ko:K10041	bal:BACI_c06520
ko:K06432	bal:BACI_c35620
ko:K01182	bal:BACI_c39770
ko:K18118	bal:BACI_c18490
ko:K14166	bal:BACI_c18960
ko:K01990	bal:BACI_c05230
ko:K07404	bal:BACI_c33290
ko:K01759	bal:BACI_c20750
ko:K13052	bal:BACI_c00680
ko:K06329	bal:BACI_c30670
ko:K06335	bal:BACI_c35660
ko:K06370	bal:BACI_c44140
ko:K06183	bal:BACI_c47030
ko:K11072	bal:BACI_c13190
ko:K00537	bal:BACI_c50000
ko:K03293	bal:BACI_c07010
ko:K14235	bal:BACI_c05420
ko:K14235	bal:BACI_c07460
ko:K01897	bal:BACI_c45180
ko:K07052	bal:BACI_c13980
ko:K02304	bal:BACI_c14690
ko:K14223	bal:BACI_c01880
ko:K14223	bal:BACI_c05440
ko:K14223	bal:BACI_c02920
ko:K14223	bal:BACI_c07330
ko:K06378	bal:BACI_c40420
ko:K01537	bal:BACI_c38270
ko:K01239	bal:BACI_c34950
ko:K02476	bal:BACI_c05670
ko:K11033	bal:BACI_c18740
ko:K11034	bal:BACI_c18760
ko:K13075	bal:BACI_c34120
ko:K01117	bal:BACI_c06860
ko:K01239	bal:BACI_c51160
ko:K01200	bal:BACI_c46990
ko:K01090	bal:BACI_c30180
ko:K00960	bal:BACI_c52440
ko:K01286	bal:BACI_c13110
ko:K01183	bal:BACI_c36740
ko:K08168	bal:BACI_c10750
ko:K02475	bal:BACI_c05680
ko:K11032	bal:BACI_c24970
ko:K01239	bal:BACI_c23470
ko:K12960	bal:BACI_c18520
ko:K00666	bal:BACI_c19570
ko:K00274	bal:BACI_c19910
ko:K00657	bal:BACI_c19950
ko:K09815	bal:BACI_c19970
ko:K00567	bal:BACI_c20010
ko:K00059	bal:BACI_c19340
ko:K03406	bal:BACI_c19820
ko:K01035	bal:BACI_c22570
ko:K05281	bal:BACI_c30020
ko:K07149	bal:BACI_c36940
ko:K13730	bal:BACI_c13660
ko:K03574	bal:BACI_c30110
ko:K00557	bal:BACI_c04820
ko:K01281	bal:BACI_c28250
ko:K03206	bal:BACI_c22390
ko:K01447	bal:BACI_c15380
ko:K01447	bal:BACI_c36250
ko:K01046	bal:BACI_c25860
ko:K01046	bal:BACI_c48670
ko:K06948	bal:BACI_c43040
ko:K06994	bal:BACI_c23570
ko:K03825	bal:BACI_c23610
ko:K01759	bal:BACI_c29650
ko:K02004	bal:BACI_c23370
ko:K02033	bal:BACI_c23410
ko:K11616	bal:BACI_c05880
ko:K14652	bal:BACI_c40830
ko:K11614	bal:BACI_c05860
ko:K14647	bal:BACI_c43430
ko:K04749	bal:BACI_c10230
ko:K01759	bal:BACI_c32960
ko:K02936	bal:BACI_c29220
ko:K16013	bal:BACI_c19220
ko:K01990	bal:BACI_c48360
ko:K16012	bal:BACI_c19230
ko:K03297	bal:BACI_c03740
ko:K03297	bal:BACI_c32440
ko:K01101	bal:BACI_c49640
ko:K01992	bal:BACI_c05240
ko:K03417	bal:BACI_c22980
ko:K15652	bal:BACI_c19600
ko:K15600	bal:BACI_c07570
ko:K15599	bal:BACI_c07580
ko:K15598	bal:BACI_c07590
ko:K00064	bal:BACI_c33680
ko:K02480	bal:BACI_c22280
ko:K11749	bal:BACI_c37710
ko:K08713	bal:BACI_c05260
ko:K00564	bal:BACI_c01280
ko:K05592	bal:BACI_c54460
ko:K03817	bal:BACI_c46820
ko:K00571	bal:BACI_c46340
ko:K08651	bal:BACI_c23250
ko:K01992	bal:BACI_c45010
ko:K03611	bal:BACI_c07910
ko:K03719	bal:BACI_c14000
ko:K11034	bal:BACI_c18750
ko:K13767	bal:BACI_c45160
ko:K02031	bal:BACI_c02640
ko:K02428	bal:BACI_c44740
ko:K15640	bal:BACI_c38910
ko:K15580	bal:BACI_c20030
ko:K01834	bal:BACI_c49760
ko:K01834	bal:BACI_c24600
ko:K01834	bal:BACI_c17470
ko:K01834	bal:BACI_c20370
ko:K01834	bal:BACI_c36960
ko:K15580	bal:BACI_c35270
ko:K02032	bal:BACI_c44920
ko:K15519	bal:BACI_c00210
ko:K01252	bal:BACI_c23160
ko:K04748	bal:BACI_c06320
ko:K15554	bal:BACI_c28760
ko:K15633	bal:BACI_c51180
ko:K15771	bal:BACI_c39710
ko:K15772	bal:BACI_c39700
ko:K15738	bal:BACI_c21180
ko:K09022	bal:BACI_c00540
ko:K15553	bal:BACI_c28770
ko:K02032	bal:BACI_c09510
ko:K07214	bal:BACI_c26650
ko:K15582	bal:BACI_c12200
ko:K15583	bal:BACI_c12210
ko:K15581	bal:BACI_c12190
ko:K10823	bal:BACI_c12220
ko:K15580	bal:BACI_c28160
ko:K15580	bal:BACI_c18550
ko:K15580	bal:BACI_c02280
ko:K02031	bal:BACI_c44910
ko:K07130	bal:BACI_c27200
ko:K02363	bal:BACI_c23150
ko:K02034	bal:BACI_c02250
ko:K01835	bal:BACI_c49270
ko:K03839	bal:BACI_c34850
ko:K03839	bal:BACI_c14150
ko:K10255	bal:BACI_c29540
ko:K07727	bal:BACI_c29570
ko:K07707	bal:BACI_c29620
ko:K00876	bal:BACI_c29630
ko:K03924	bal:BACI_c29700
ko:K03781	bal:BACI_c29810
ko:K01486	bal:BACI_c29830
ko:K09190	bal:BACI_c29860
ko:K03924	bal:BACI_c29920
ko:K02003	bal:BACI_c30030
ko:K02902	bal:BACI_c38110
ko:K01783	bal:BACI_c38130
ko:K06949	bal:BACI_c38140
ko:K06941	bal:BACI_c38170
ko:K03500	bal:BACI_c38180
ko:K00604	bal:BACI_c38190
ko:K01462	bal:BACI_c38200
ko:K04066	bal:BACI_c38210
ko:K13038	bal:BACI_c38220
ko:K03060	bal:BACI_c38230
ko:K00942	bal:BACI_c38240
ko:K09777	bal:BACI_c38250
ko:K00762	bal:BACI_c38350
ko:K02000	bal:BACI_c27500
ko:K02002	bal:BACI_c27510
ko:K01358	bal:BACI_c27520
ko:K03088	bal:BACI_c27530
ko:K01807	bal:BACI_c27550
ko:K03823	bal:BACI_c27730
ko:K03657	bal:BACI_c27770
ko:K03654	bal:BACI_c27810
ko:K03665	bal:BACI_c36570
ko:K06413	bal:BACI_c36590
ko:K03666	bal:BACI_c36620
ko:K00791	bal:BACI_c36630
ko:K02768	bal:BACI_c36660
ko:K02769	bal:BACI_c36660
ko:K02770	bal:BACI_c36660
ko:K08976	bal:BACI_c36700
ko:K03530	bal:BACI_c36780
ko:K02013	bal:BACI_c36850
ko:K02015	bal:BACI_c36860
ko:K02015	bal:BACI_c36870
ko:K02016	bal:BACI_c36880
ko:K01142	bal:BACI_c36890
ko:K13530	bal:BACI_c36900
ko:K13531	bal:BACI_c36910
ko:K01247	bal:BACI_c36920
ko:K02557	bal:BACI_c45040
ko:K02556	bal:BACI_c45050
ko:K07107	bal:BACI_c45070
ko:K01591	bal:BACI_c38360
ko:K01955	bal:BACI_c38390
ko:K01956	bal:BACI_c38400
ko:K01465	bal:BACI_c38410
ko:K00609	bal:BACI_c38420
ko:K02825	bal:BACI_c38450
ko:K06180	bal:BACI_c38470
ko:K03101	bal:BACI_c38480
ko:K01870	bal:BACI_c38500
ko:K04074	bal:BACI_c38520
ko:K02221	bal:BACI_c38540
ko:K09772	bal:BACI_c38550
ko:K06997	bal:BACI_c38560
ko:K05810	bal:BACI_c38570
ko:K03091	bal:BACI_c38590
ko:K03091	bal:BACI_c38600
ko:K06383	bal:BACI_c38610
ko:K03531	bal:BACI_c38620
ko:K03282	bal:BACI_c46710
ko:K02529	bal:BACI_c46750
ko:K01924	bal:BACI_c46850
ko:K00763	bal:BACI_c46860
ko:K03466	bal:BACI_c46870
ko:K06878	bal:BACI_c46890
ko:K03439	bal:BACI_c46960
ko:K01975	bal:BACI_c47000
ko:K07007	bal:BACI_c47050
ko:K03636	bal:BACI_c47160
ko:K02279	bal:BACI_pCIXO100760
ko:K02283	bal:BACI_pCIXO100780
ko:K00240	bal:BACI_c45080
ko:K00239	bal:BACI_c45090
ko:K03703	bal:BACI_c45120
ko:K03671	bal:BACI_c45130
ko:K03522	bal:BACI_c45140
ko:K03521	bal:BACI_c45150
ko:K13770	bal:BACI_c45170
ko:K06969	bal:BACI_c45310
ko:K08600	bal:BACI_c45340
ko:K02013	bal:BACI_c45350
ko:K02015	bal:BACI_c45360
ko:K02016	bal:BACI_c45370
ko:K03311	bal:BACI_c45400
ko:K06182	bal:BACI_c45420
ko:K07456	bal:BACI_c45430
ko:K02347	bal:BACI_c45440
ko:K09888	bal:BACI_c45460
ko:K01893	bal:BACI_c45510
ko:K01890	bal:BACI_c45530
ko:K01889	bal:BACI_c45540
ko:K03437	bal:BACI_c45560
ko:K02013	bal:BACI_c53750
ko:K02015	bal:BACI_c53760
ko:K02015	bal:BACI_c53770
ko:K06314	bal:BACI_c53790
ko:K06305	bal:BACI_c53860
ko:K03648	bal:BACI_c53930
ko:K00003	bal:BACI_c53990
ko:K00651	bal:BACI_c54000
ko:K01740	bal:BACI_c54010
ko:K01118	bal:BACI_c54050
ko:K06200	bal:BACI_c54110
ko:K08369	bal:BACI_c54130
ko:K05946	bal:BACI_c54140
ko:K13652	bal:BACI_c30080
ko:K09768	bal:BACI_c30140
ko:K00876	bal:BACI_c30170
ko:K07090	bal:BACI_c30220
ko:K03100	bal:BACI_c30340
ko:K01304	bal:BACI_c30380
ko:K07160	bal:BACI_c30420
ko:K06350	bal:BACI_c30430
ko:K03100	bal:BACI_c30470
ko:K06385	bal:BACI_c30490
ko:K03590	bal:BACI_c38630
ko:K03589	bal:BACI_c38640
ko:K00075	bal:BACI_c38650
ko:K02563	bal:BACI_c38660
ko:K03588	bal:BACI_c38670
ko:K01925	bal:BACI_c38680
ko:K01000	bal:BACI_c38690
ko:K01928	bal:BACI_c38700
ko:K08384	bal:BACI_c38710
ko:K03438	bal:BACI_c38740
ko:K00077	bal:BACI_c38760
ko:K02911	bal:BACI_c38790
ko:K07040	bal:BACI_c38800
ko:K07001	bal:BACI_c38830
ko:K00954	bal:BACI_c38850
ko:K02276	bal:BACI_c38990
ko:K02275	bal:BACI_c39010
ko:K02259	bal:BACI_c39030
ko:K03588	bal:BACI_c39050
ko:K07175	bal:BACI_c39080
ko:K06207	bal:BACI_c39130
ko:K03753	bal:BACI_c47190
ko:K03750	bal:BACI_c47200
ko:K03637	bal:BACI_c47210
ko:K03639	bal:BACI_c47230
ko:K00641	bal:BACI_c47290
ko:K01869	bal:BACI_c47370
ko:K07228	bal:BACI_c47410
ko:K02003	bal:BACI_c47440
ko:K07139	bal:BACI_c47480
ko:K01779	bal:BACI_c47520
ko:K03752	bal:BACI_c47600
ko:K03638	bal:BACI_c47610
ko:K00789	bal:BACI_c47650
ko:K01610	bal:BACI_c47670
ko:K00963	bal:BACI_pCIXO101140
ko:K00012	bal:BACI_pCIXO101150
ko:K03310	bal:BACI_c27940
ko:K01714	bal:BACI_c27970
ko:K03740	bal:BACI_c28140
ko:K09190	bal:BACI_c30680
ko:K07217	bal:BACI_c30770
ko:K01744	bal:BACI_c30780
ko:K03311	bal:BACI_c30830
ko:K00286	bal:BACI_c30840
ko:K06312	bal:BACI_c30870
ko:K06311	bal:BACI_c30880
ko:K06310	bal:BACI_c30890
ko:K07717	bal:BACI_c30920
ko:K01425	bal:BACI_c30940
ko:K03781	bal:BACI_c31050
ko:K09932	bal:BACI_c31090
ko:K00686	bal:BACI_c39200
ko:K00382	bal:BACI_c39260
ko:K00627	bal:BACI_c39270
ko:K00162	bal:BACI_c39280
ko:K00161	bal:BACI_c39290
ko:K01462	bal:BACI_c39310
ko:K00426	bal:BACI_c39360
ko:K05823	bal:BACI_c39370
ko:K09776	bal:BACI_c39420
ko:K00937	bal:BACI_c39510
ko:K00549	bal:BACI_c39610
ko:K07697	bal:BACI_c39660
ko:K07173	bal:BACI_c47910
ko:K08998	bal:BACI_c47920
ko:K01673	bal:BACI_c47930
ko:K00425	bal:BACI_c47940
ko:K00426	bal:BACI_c47950
ko:K03969	bal:BACI_c48030
ko:K04759	bal:BACI_c48070
ko:K04758	bal:BACI_c48080
ko:K00760	bal:BACI_c48170
ko:K01669	bal:BACI_c31220
ko:K09822	bal:BACI_c31240
ko:K05577	bal:BACI_c31250
ko:K02548	bal:BACI_c31310
ko:K02003	bal:BACI_c31330
ko:K04045	bal:BACI_c31510
ko:K00019	bal:BACI_c39970
ko:K08963	bal:BACI_c39990
ko:K00899	bal:BACI_c40000
ko:K08965	bal:BACI_c40050
ko:K08966	bal:BACI_c40060
ko:K08967	bal:BACI_c40080
ko:K03480	bal:BACI_c40190
ko:K03710	bal:BACI_c40210
ko:K01443	bal:BACI_c40230
ko:K06024	bal:BACI_c40250
ko:K05896	bal:BACI_c40260
ko:K02003	bal:BACI_c48320
ko:K13653	bal:BACI_c48330
ko:K13653	bal:BACI_c48340
ko:K00874	bal:BACI_c48500
ko:K01042	bal:BACI_c48520
ko:K01465	bal:BACI_c48530
ko:K01911	bal:BACI_c48580
ko:K01661	bal:BACI_c48590
ko:K02551	bal:BACI_c48610
ko:K02548	bal:BACI_c48630
ko:K03704	bal:BACI_c48650
ko:K00688	bal:BACI_c48690
ko:K00703	bal:BACI_c48700
ko:K00975	bal:BACI_c48710
ko:K00975	bal:BACI_c48720
ko:K03666	bal:BACI_pCIXO101920
ko:K03168	bal:BACI_pCIXO101990
ko:K02283	bal:BACI_pCIXO200230
ko:K00648	bal:BACI_c31860
ko:K02003	bal:BACI_c31970
ko:K07734	bal:BACI_c32060
ko:K00782	bal:BACI_c32090
ko:K00831	bal:BACI_c32180
ko:K03088	bal:BACI_c32210
ko:K02859	bal:BACI_c40280
ko:K06408	bal:BACI_c40320
ko:K06407	bal:BACI_c40330
ko:K06407	bal:BACI_c40340
ko:K06406	bal:BACI_c40350
ko:K06405	bal:BACI_c40360
ko:K06404	bal:BACI_c40370
ko:K06403	bal:BACI_c40380
ko:K03308	bal:BACI_c40390
ko:K03091	bal:BACI_c40400
ko:K06379	bal:BACI_c40410
ko:K09807	bal:BACI_c40490
ko:K06901	bal:BACI_c40500
ko:K03284	bal:BACI_c40540
ko:K00756	bal:BACI_c40550
ko:K01839	bal:BACI_c40570
ko:K07084	bal:BACI_c40720
ko:K07507	bal:BACI_c49020
ko:K01810	bal:BACI_c49050
ko:K09779	bal:BACI_c49060
ko:K06347	bal:BACI_c49160
ko:K06348	bal:BACI_c49170
ko:K01880	bal:BACI_c49220
ko:K03523	bal:BACI_c49250
ko:K00963	bal:BACI_c49260
ko:K01255	bal:BACI_c49290
ko:K03885	bal:BACI_c49330
ko:K01448	bal:BACI_pCIXO200430
ko:K07282	bal:BACI_pCIXO200620
ko:K03100	bal:BACI_pCIXO200700
ko:K01434	bal:BACI_c32260
ko:K02106	bal:BACI_c32530
ko:K02553	bal:BACI_c32660
ko:K01892	bal:BACI_c32740
ko:K11752	bal:BACI_c40810
ko:K00793	bal:BACI_c40820
ko:K00794	bal:BACI_c40840
ko:K01012	bal:BACI_c40860
ko:K02169	bal:BACI_c40870
ko:K02170	bal:BACI_c40880
ko:K01935	bal:BACI_c40900
ko:K00833	bal:BACI_c40910
ko:K03315	bal:BACI_c40940
ko:K00611	bal:BACI_c40990
ko:K00930	bal:BACI_c41010
ko:K00620	bal:BACI_c41020
ko:K00145	bal:BACI_c41030
ko:K07124	bal:BACI_c41050
ko:K00286	bal:BACI_c41070
ko:K01752	bal:BACI_c41080
ko:K01752	bal:BACI_c41090
ko:K02346	bal:BACI_c41130
ko:K03790	bal:BACI_c41150
ko:K09699	bal:BACI_c41260
ko:K00167	bal:BACI_c41270
ko:K00166	bal:BACI_c41280
ko:K00382	bal:BACI_c41290
ko:K01778	bal:BACI_c49440
ko:K03885	bal:BACI_c49460
ko:K02068	bal:BACI_c49480
ko:K02069	bal:BACI_c49490
ko:K06193	bal:BACI_c49500
ko:K02003	bal:BACI_c49610
ko:K03644	bal:BACI_c49780
ko:K09014	bal:BACI_c49850
ko:K11717	bal:BACI_c49870
ko:K09015	bal:BACI_c49880
ko:K09013	bal:BACI_c49890
ko:K02073	bal:BACI_c49900
ko:K02073	bal:BACI_c49910
ko:K02072	bal:BACI_c49920
ko:K02071	bal:BACI_c49930
ko:K07476	bal:BACI_c49970
ko:K07038	bal:BACI_pCIXO201070
ko:K00873	bal:BACI_c32800
ko:K02003	bal:BACI_c33010
ko:K01867	bal:BACI_c33030
ko:K00099	bal:BACI_c33050
ko:K00978	bal:BACI_c33210
ko:K01709	bal:BACI_c33220
ko:K00615	bal:BACI_c33340
ko:K00263	bal:BACI_c41310
ko:K01126	bal:BACI_c41350
ko:K07699	bal:BACI_c41380
ko:K06399	bal:BACI_c41400
ko:K03631	bal:BACI_c41410
ko:K03402	bal:BACI_c41420
ko:K06442	bal:BACI_c41430
ko:K01662	bal:BACI_c41440
ko:K13789	bal:BACI_c41450
ko:K03602	bal:BACI_c41460
ko:K03601	bal:BACI_c41470
ko:K01491	bal:BACI_c41480
ko:K03625	bal:BACI_c41490
ko:K01961	bal:BACI_c41510
ko:K02160	bal:BACI_c41520
