ko:K06896	sagp:V193_08600
ko:K06959	sagp:V193_03435
ko:K03095	sagp:V193_03440
ko:K06023	sagp:V193_03455
ko:K13292	sagp:V193_03460
ko:K01281	sagp:V193_07770
ko:K00805	sagp:V193_07780
ko:K16012	sagp:V193_07785
ko:K16013	sagp:V193_07790
ko:K00426	sagp:V193_07795
ko:K00425	sagp:V193_07800
ko:K03885	sagp:V193_07805
ko:K09747	sagp:V193_07830
ko:K02342	sagp:V193_07845
ko:K07007	sagp:V193_07855
ko:K02954	sagp:V193_07865
ko:K01620	sagp:V193_07870
ko:K01409	sagp:V193_07875
ko:K03789	sagp:V193_07880
ko:K12574	sagp:V193_07895
ko:K01915	sagp:V193_07905
ko:K03713	sagp:V193_07910
ko:K00927	sagp:V193_07920
ko:K00134	sagp:V193_07930
ko:K02355	sagp:V193_07935
ko:K02992	sagp:V193_07940
ko:K02950	sagp:V193_07945
ko:K09685	sagp:V193_07950
ko:K03698	sagp:V193_07955
ko:K09760	sagp:V193_07960
ko:K00949	sagp:V193_07965
ko:K01783	sagp:V193_07970
ko:K06949	sagp:V193_07975
ko:K00563	sagp:V193_07980
ko:K02528	sagp:V193_07985
ko:K05985	sagp:V193_08000
ko:K03424	sagp:V193_08005
ko:K03740	sagp:V193_08030
ko:K14188	sagp:V193_08035
ko:K03739	sagp:V193_08040
ko:K02031	sagp:V193_02020
ko:K08303	sagp:V193_03485
ko:K03322	sagp:V193_03500
ko:K11752	sagp:V193_03505
ko:K00793	sagp:V193_03510
ko:K14652	sagp:V193_03515
ko:K00794	sagp:V193_03520
ko:K04567	sagp:V193_03525
ko:K07025	sagp:V193_03530
ko:K03976	sagp:V193_03540
ko:K07273	sagp:V193_03550
ko:K01595	sagp:V193_03580
ko:K03588	sagp:V193_03585
ko:K02358	sagp:V193_03590
ko:K01803	sagp:V193_03595
ko:K01834	sagp:V193_03600
ko:K00687	sagp:V193_03605
ko:K06187	sagp:V193_03610
ko:K01921	sagp:V193_03615
ko:K01929	sagp:V193_03620
ko:K08177	sagp:V193_03625
ko:K02837	sagp:V193_03640
ko:K02071	sagp:V193_03650
ko:K02072	sagp:V193_03655
ko:K02073	sagp:V193_03660
ko:K05592	sagp:V193_03665
ko:K07461	sagp:V193_03670
ko:K00655	sagp:V193_03680
ko:K02237	sagp:V193_03685
ko:K02238	sagp:V193_03690
ko:K02340	sagp:V193_03720
ko:K04564	sagp:V193_03725
ko:K03488	sagp:V193_03730
ko:K01223	sagp:V193_03740
ko:K02647	sagp:V193_03745
ko:K00865	sagp:V193_03750
ko:K03299	sagp:V193_03755
ko:K07568	sagp:V193_03770
ko:K03367	sagp:V193_08045
ko:K02914	sagp:V193_08065
ko:K02000	sagp:V193_08080
ko:K03476	sagp:V193_08090
ko:K03493	sagp:V193_08095
ko:K00880	sagp:V193_08105
ko:K07045	sagp:V193_08110
ko:K00616	sagp:V193_08135
ko:K02821	sagp:V193_08155
ko:K02822	sagp:V193_08160
ko:K03475	sagp:V193_08165
ko:K01939	sagp:V193_08180
ko:K01919	sagp:V193_08195
ko:K04083	sagp:V193_08210
ko:K03823	sagp:V193_08225
ko:K03696	sagp:V193_08230
ko:K03708	sagp:V193_08235
ko:K02357	sagp:V193_08245
ko:K02967	sagp:V193_08250
ko:K03386	sagp:V193_08255
ko:K03387	sagp:V193_08260
ko:K07386	sagp:V193_08285
ko:K01462	sagp:V193_08305
ko:K02564	sagp:V193_03780
ko:K07393	sagp:V193_03785
ko:K06183	sagp:V193_03790
ko:K06198	sagp:V193_03800
ko:K08602	sagp:V193_03805
ko:K07533	sagp:V193_03820
ko:K01872	sagp:V193_03830
ko:K07150	sagp:V193_03835
ko:K07729	sagp:V193_03855
ko:K16789	sagp:V193_03865
ko:K11189	sagp:V193_03885
ko:K08483	sagp:V193_03890
ko:K00131	sagp:V193_03895
ko:K00876	sagp:V193_03910
ko:K02343	sagp:V193_03920
ko:K03524	sagp:V193_03930
ko:K00789	sagp:V193_03935
ko:K16925	sagp:V193_03965
ko:K16786	sagp:V193_03970
ko:K16787	sagp:V193_03970
ko:K16785	sagp:V193_03975
ko:K03707	sagp:V193_03980
ko:K00941	sagp:V193_03985
ko:K00878	sagp:V193_03990
ko:K00788	sagp:V193_03995
ko:K00790	sagp:V193_04000
ko:K01265	sagp:V193_04015
ko:K07058	sagp:V193_04020
ko:K01972	sagp:V193_04035
ko:K00700	sagp:V193_04050
ko:K00975	sagp:V193_04055
ko:K00703	sagp:V193_04065
ko:K02110	sagp:V193_04070
ko:K02108	sagp:V193_04075
ko:K02747	sagp:V193_08320
ko:K01625	sagp:V193_08330
ko:K03763	sagp:V193_08355
ko:K01881	sagp:V193_08365
ko:K11749	sagp:V193_08370
ko:K00981	sagp:V193_08375
ko:K00806	sagp:V193_08380
ko:K03210	sagp:V193_08385
ko:K01784	sagp:V193_08415
ko:K10112	sagp:V193_08425
ko:K01635	sagp:V193_08440
ko:K00917	sagp:V193_08445
ko:K01819	sagp:V193_08450
ko:K01819	sagp:V193_08455
ko:K02530	sagp:V193_08475
ko:K09815	sagp:V193_08485
ko:K07560	sagp:V193_08490
ko:K00951	sagp:V193_08495
ko:K03647	sagp:V193_08505
ko:K02012	sagp:V193_08525
ko:K07720	sagp:V193_08530
ko:K02795	sagp:V193_08545
ko:K02794	sagp:V193_08550
ko:K02793	sagp:V193_08555
ko:K07706	sagp:V193_08590
ko:K01977	sagp:V193_00080
ko:K01977	sagp:V193_00960
ko:K01977	sagp:V193_01425
ko:K01977	sagp:V193_00580
ko:K01977	sagp:V193_02220
ko:K01977	sagp:V193_01825
ko:K07705	sagp:V193_01990
ko:K00983	sagp:V193_05410
ko:K18682	sagp:V193_00435
ko:K18672	sagp:V193_04210
ko:K07012	sagp:V193_02505
ko:K18888	sagp:V193_05905
ko:K14234	sagp:V193_01000
ko:K14234	sagp:V193_02370
ko:K14237	sagp:V193_00100
ko:K14237	sagp:V193_00980
ko:K14237	sagp:V193_02240
ko:K14237	sagp:V193_01455
ko:K14237	sagp:V193_00135
ko:K14229	sagp:V193_00990
ko:K14223	sagp:V193_00170
ko:K14223	sagp:V193_01485
ko:K14223	sagp:V193_06010
ko:K14223	sagp:V193_05355
ko:K14225	sagp:V193_00105
ko:K14225	sagp:V193_01050
ko:K14225	sagp:V193_02245
ko:K14225	sagp:V193_01005
ko:K01980	sagp:V193_00090
ko:K01980	sagp:V193_01835
ko:K01980	sagp:V193_02230
ko:K01980	sagp:V193_01435
ko:K01980	sagp:V193_00590
ko:K14221	sagp:V193_00985
ko:K14232	sagp:V193_00130
ko:K14232	sagp:V193_01450
ko:K14232	sagp:V193_01020
ko:K14231	sagp:V193_00150
ko:K14231	sagp:V193_01045
ko:K14231	sagp:V193_01465
ko:K03790	sagp:V193_00185
ko:K01071	sagp:V193_04240
ko:K14229	sagp:V193_08710
ko:K14219	sagp:V193_05345
ko:K14219	sagp:V193_09355
ko:K14235	sagp:V193_00160
ko:K14235	sagp:V193_01475
ko:K01985	sagp:V193_00095
ko:K01985	sagp:V193_02235
ko:K01985	sagp:V193_01840
ko:K01985	sagp:V193_00595
ko:K01985	sagp:V193_00975
ko:K14227	sagp:V193_00110
ko:K14227	sagp:V193_01055
ko:K14227	sagp:V193_02250
ko:K14236	sagp:V193_00155
ko:K14236	sagp:V193_01470
ko:K14226	sagp:V193_00165
ko:K14226	sagp:V193_01480
ko:K14220	sagp:V193_00600
ko:K14220	sagp:V193_09345
ko:K14222	sagp:V193_08265
ko:K14218	sagp:V193_00085
ko:K14218	sagp:V193_01430
ko:K14218	sagp:V193_00965
ko:K14218	sagp:V193_00585
ko:K14218	sagp:V193_02225
ko:K14218	sagp:V193_01830
ko:K14233	sagp:V193_00120
ko:K14233	sagp:V193_01035
ko:K14233	sagp:V193_00140
ko:K14233	sagp:V193_00785
ko:K14233	sagp:V193_01060
ko:K14230	sagp:V193_01025
ko:K14224	sagp:V193_00115
ko:K14224	sagp:V193_09350
ko:K14224	sagp:V193_02255
ko:K14224	sagp:V193_06005
ko:K14228	sagp:V193_00175
ko:K14228	sagp:V193_01490
ko:K14228	sagp:V193_01010
ko:K14228	sagp:V193_01440
ko:K14228	sagp:V193_00995
ko:K14228	sagp:V193_01605
ko:K14219	sagp:V193_01015
ko:K14219	sagp:V193_01445
ko:K14219	sagp:V193_03000
ko:K14236	sagp:V193_05360
ko:K18887	sagp:V193_05910
ko:K05593	sagp:V193_08730
ko:K03497	sagp:V193_09370
ko:K03111	sagp:V193_01975
ko:K03111	sagp:V193_07655
ko:K07029	sagp:V193_04040
ko:K19002	sagp:V193_03325
ko:K19055	sagp:V193_06895
ko:K18979	sagp:V193_02875
ko:K13052	sagp:V193_00050
ko:K19005	sagp:V193_06140
ko:K19119	sagp:V193_02510
ko:K08652	sagp:V193_02285
ko:K02476	sagp:V193_08405
ko:K02475	sagp:V193_08410
ko:K09951	sagp:V193_02525
ko:K01897	sagp:V193_02630
ko:K01239	sagp:V193_02930
ko:K05881	sagp:V193_07370
ko:K01710	sagp:V193_05590
ko:K09951	sagp:V193_04265
ko:K19117	sagp:V193_02515
ko:K03722	sagp:V193_02910
ko:K01992	sagp:V193_00210
ko:K19302	sagp:V193_06245
ko:K04771	sagp:V193_09365
ko:K06881	sagp:V193_02970
ko:K01654	sagp:V193_05425
ko:K00887	sagp:V193_06700
ko:K02796	sagp:V193_00700
ko:K02796	sagp:V193_08540
ko:K01271	sagp:V193_03305
ko:K00526	sagp:V193_03870
ko:K19689	sagp:V193_06580
ko:K00297	sagp:V193_08800
ko:K00547	sagp:V193_08800
ko:K21636	sagp:V193_08980
ko:K11706	sagp:V193_06830
ko:K20074	sagp:V193_00490
ko:K12132	sagp:V193_00495
ko:K20073	sagp:V193_00425
ko:K20112	sagp:V193_08470
ko:K02777	sagp:V193_08605
ko:K20107	sagp:V193_08605
ko:K20108	sagp:V193_08605
ko:K20113	sagp:V193_08465
ko:K20342	sagp:V193_01235
ko:K20373	sagp:V193_06665
ko:K00525	sagp:V193_03875
ko:K00526	sagp:V193_02295
ko:K18889	sagp:V193_02595
ko:K18890	sagp:V193_02600
ko:K12990	sagp:V193_06275
ko:K02525	sagp:V193_08130
ko:K01200	sagp:V193_04045
ko:K21064	sagp:V193_00715
ko:K08968	sagp:V193_03915
ko:K00525	sagp:V193_02305
ko:K04068	sagp:V193_08960
ko:K03553	sagp:V193_09015
ko:K02314	sagp:V193_09175
ko:K00857	sagp:V193_04935
ko:K00287	sagp:V193_05800
ko:K00560	sagp:V193_05805
ko:K01520	sagp:V193_01610
ko:K01286	sagp:V193_01790
ko:K02316	sagp:V193_06355
ko:K06217	sagp:V193_06725
ko:K00558	sagp:V193_03070
ko:K01493	sagp:V193_07615
ko:K06191	sagp:V193_03880
ko:K02335	sagp:V193_00850
ko:K00571	sagp:V193_01915
ko:K01101	sagp:V193_04245
ko:K01759	sagp:V193_06870
ko:K21471	sagp:V193_01065
ko:K21567	sagp:V193_05990
ko:K21828	sagp:V193_09285
ko:K21977	sagp:V193_04875
ko:K22044	sagp:V193_01580
ko:K00015	sagp:V193_08120
ko:K03595	sagp:V193_06695
ko:K03078	sagp:V193_08150
ko:K22278	sagp:V193_03900
ko:K17758	sagp:V193_02765
ko:K03077	sagp:V193_08140
ko:K03079	sagp:V193_08145
ko:K22457	sagp:V193_02915
