ko:K06896	snb:SP670_1565
ko:K01784	snb:SP670_1942
ko:K09976	snb:SP670_1956
ko:K01226	snb:SP670_1957
ko:K10530	snb:SP670_0763
ko:K00567	snb:SP670_0833
ko:K02564	snb:SP670_0882
ko:K06023	snb:SP670_0884
ko:K01092	snb:SP670_0894
ko:K11072	snb:SP670_0908
ko:K11071	snb:SP670_0909
ko:K11069	snb:SP670_0911
ko:K07052	snb:SP670_0944
ko:K01788	snb:SP670_0946
ko:K01639	snb:SP670_0947
ko:K01186	snb:SP670_0950
ko:K02123	snb:SP670_0954
ko:K02124	snb:SP670_0955
ko:K02121	snb:SP670_0956
ko:K02119	snb:SP670_0957
ko:K02122	snb:SP670_0958
ko:K02117	snb:SP670_0959
ko:K02118	snb:SP670_0960
ko:K02120	snb:SP670_0961
ko:K04516	snb:SP670_0980
ko:K06201	snb:SP670_1015
ko:K07105	snb:SP670_1045
ko:K07030	snb:SP670_0518
ko:K07706	snb:SP670_0599
ko:K02004	snb:SP670_0659
ko:K02004	snb:SP670_0661
ko:K05363	snb:SP670_0673
ko:K12554	snb:SP670_0674
ko:K03316	snb:SP670_0713
ko:K06196	snb:SP670_0716
ko:K03342	snb:SP670_0723
ko:K00845	snb:SP670_0727
ko:K00784	snb:SP670_0733
ko:K06183	snb:SP670_0739
ko:K02004	snb:SP670_0743
ko:K02030	snb:SP670_0755
ko:K00158	snb:SP670_0779
ko:K07404	snb:SP670_0792
ko:K07729	snb:SP670_0875
ko:K02806	snb:SP670_1705
ko:K04518	snb:SP670_0927
ko:K01639	snb:SP670_1763
ko:K02025	snb:SP670_1768
ko:K01788	snb:SP670_1771
ko:K02025	snb:SP670_1778
ko:K09787	snb:SP670_0987
ko:K11144	snb:SP670_1804
ko:K03346	snb:SP670_1805
ko:K02808	snb:SP670_1815
ko:K02809	snb:SP670_1815
ko:K02810	snb:SP670_1815
ko:K00054	snb:SP670_1819
ko:K01641	snb:SP670_1820
ko:K02236	snb:SP670_1884
ko:K01784	snb:SP670_1903
ko:K02433	snb:SP670_0512
ko:K04763	snb:SP670_1127
ko:K07052	snb:SP670_1194
ko:K07668	snb:SP670_1053
ko:K07652	snb:SP670_1054
ko:K00016	snb:SP670_1059
ko:K03177	snb:SP670_1066
ko:K01819	snb:SP670_1084
ko:K07025	snb:SP670_1102
ko:K06147	snb:SP670_0863
ko:K00571	snb:SP670_2124
ko:K01992	snb:SP670_1810
ko:K02786	snb:SP670_0555
ko:K01220	snb:SP670_0556
ko:K03498	snb:SP670_0558
ko:K03499	snb:SP670_0559
ko:K03048	snb:SP670_0570
ko:K03713	snb:SP670_0576
ko:K09155	snb:SP670_0625
ko:K03488	snb:SP670_0640
ko:K02755	snb:SP670_0641
ko:K02756	snb:SP670_0641
ko:K02757	snb:SP670_0641
ko:K01489	snb:SP670_1482
ko:K01619	snb:SP670_1483
ko:K00564	snb:SP670_1485
ko:K00867	snb:SP670_1487
ko:K03784	snb:SP670_1490
ko:K03783	snb:SP670_1495
ko:K01990	snb:SP670_0693
ko:K01992	snb:SP670_0694
ko:K02004	snb:SP670_1538
ko:K00383	snb:SP670_1541
ko:K04767	snb:SP670_1570
ko:K02028	snb:SP670_0757
ko:K05362	snb:SP670_1613
ko:K07570	snb:SP670_1620
ko:K03768	snb:SP670_1621
ko:K09762	snb:SP670_1649
ko:K02086	snb:SP670_1660
ko:K07009	snb:SP670_1673
ko:K05337	snb:SP670_1689
ko:K07386	snb:SP670_1734
ko:K02004	snb:SP670_1739
ko:K09815	snb:SP670_1319
ko:K03294	snb:SP670_1320
ko:K06196	snb:SP670_1322
ko:K02342	snb:SP670_1327
ko:K01243	snb:SP670_1329
ko:K01515	snb:SP670_1331
ko:K08974	snb:SP670_1334
ko:K03976	snb:SP670_1335
ko:K07533	snb:SP670_1339
ko:K10563	snb:SP670_1349
ko:K02823	snb:SP670_1356
ko:K02238	snb:SP670_1364
ko:K02004	snb:SP670_1408
ko:K03095	snb:SP670_1412
ko:K01281	snb:SP670_1427
ko:K07258	snb:SP670_1452
ko:K04488	snb:SP670_1454
ko:K02035	snb:SP670_1468
ko:K03486	snb:SP670_1959
ko:K01186	snb:SP670_1783
ko:K10947	snb:SP670_0170
ko:K06286	snb:SP670_1516
ko:K00059	snb:SP670_1531
ko:K03574	snb:SP670_1583
ko:K11209	snb:SP670_1636
ko:K03697	snb:SP670_1505
ko:K00700	snb:SP670_1218
ko:K07584	snb:SP670_1233
ko:K05833	snb:SP670_1268
ko:K05832	snb:SP670_1269
ko:K01989	snb:SP670_1270
ko:K02817	snb:SP670_1958
ko:K02818	snb:SP670_1958
ko:K02819	snb:SP670_1958
ko:K00625	snb:SP670_1239
ko:K07816	snb:SP670_1242
ko:K01258	snb:SP670_1311
ko:K13925	snb:SP670_1908
ko:K00949	snb:SP670_2059
ko:K03492	snb:SP670_2100
ko:K05350	snb:SP670_2101
ko:K01104	snb:SP670_2108
ko:K03476	snb:SP670_2111
ko:K02821	snb:SP670_2116
ko:K02822	snb:SP670_2117
ko:K02244	snb:SP670_2191
ko:K02243	snb:SP670_2192
ko:K07025	snb:SP670_2013
ko:K07177	snb:SP670_2046
ko:K02004	snb:SP670_2065
ko:K01424	snb:SP670_2076
ko:K12296	snb:SP670_2086
ko:K12555	snb:SP670_2089
ko:K03475	snb:SP670_2118
ko:K06346	snb:SP670_2120
ko:K02248	snb:SP670_2128
ko:K02246	snb:SP670_2130
ko:K02245	snb:SP670_2131
ko:K07586	snb:SP670_1980
ko:K06147	snb:SP670_1998
ko:K06147	snb:SP670_1999
ko:K11031	snb:SP670_2002
ko:K02240	snb:SP670_2355
ko:K01206	snb:SP670_2308
ko:K10118	snb:SP670_2310
ko:K09815	snb:SP670_2314
ko:K03708	snb:SP670_2343
ko:K00088	snb:SP670_2372
ko:K03215	snb:SP670_1293
ko:K15581	snb:SP670_1965
ko:K07729	snb:SP670_2261
ko:K03475	snb:SP670_2273
ko:K02822	snb:SP670_2274
ko:K09698	snb:SP670_2210
ko:K09705	snb:SP670_2221
ko:K07658	snb:SP670_2222
ko:K01934	snb:SP670_2234
ko:K00674	snb:SP670_2236
ko:K03693	snb:SP670_2239
ko:K09704	snb:SP670_2290
ko:K01206	snb:SP670_2292
ko:K01478	snb:SP670_2294
ko:K01834	snb:SP670_1743
ko:K15583	snb:SP670_1963
ko:K09685	snb:SP670_2056
ko:K03698	snb:SP670_2057
ko:K07243	snb:SP670_0976
ko:K16301	snb:SP670_0975
ko:K12294	snb:SP670_2380
ko:K12295	snb:SP670_2379
ko:K02428	snb:SP670_1954
ko:K15738	snb:SP670_1640
ko:K03767	snb:SP670_1555
ko:K03574	snb:SP670_1044
ko:K06147	snb:SP670_0940
ko:K06400	snb:SP670_2190
ko:K05352	snb:SP670_1005
ko:K15582	snb:SP670_1964
ko:K10823	snb:SP670_1962
ko:K02028	snb:SP670_0796
ko:K12293	snb:SP670_0121
ko:K07284	snb:SP670_1061
ko:K00001	snb:SP670_1930
ko:K02778	snb:SP670_1770
ko:K02779	snb:SP670_1770
ko:K01739	snb:SP670_1605
ko:K01071	snb:SP670_0889
ko:K01186	snb:SP670_1773
ko:K01191	snb:SP670_2289
ko:K01274	snb:SP670_0680
ko:K15986	snb:SP670_1617
ko:K10039	snb:SP670_0668
ko:K10716	snb:SP670_1058
ko:K10040	snb:SP670_0667
ko:K01390	snb:SP670_1202
ko:K16511	snb:SP670_0934
ko:K16786	snb:SP670_0769
ko:K16787	snb:SP670_0769
ko:K07482	snb:SP670_1406
ko:K16509	snb:SP670_0892
ko:K16214	snb:SP670_1142
ko:K16264	snb:SP670_1932
ko:K16785	snb:SP670_0564
ko:K03699	snb:SP670_2041
ko:K01223	snb:SP670_0338
ko:K15770	snb:SP670_2248
ko:K15772	snb:SP670_2250
ko:K15771	snb:SP670_2249
ko:K16786	snb:SP670_2365
ko:K16787	snb:SP670_2364
ko:K16785	snb:SP670_2363
ko:K16788	snb:SP670_1046
ko:K18830	snb:SP670_1143
ko:K16786	snb:SP670_0860
ko:K16787	snb:SP670_0860
ko:K02028	snb:SP670_1501
ko:K16786	snb:SP670_0563
ko:K16787	snb:SP670_0563
ko:K16785	snb:SP670_0861
ko:K08986	snb:SP670_1417
ko:K16785	snb:SP670_0770
ko:K00882	snb:SP670_1449
ko:K11991	snb:SP670_0099
ko:K16868	snb:SP670_1343
ko:K16925	snb:SP670_0768
ko:K16924	snb:SP670_0561
ko:K16926	snb:SP670_0862
ko:K16926	snb:SP670_0233
ko:K16898	snb:SP670_1204
ko:K16899	snb:SP670_1205
ko:K11070	snb:SP670_0910
ko:K17195	snb:SP670_1701
ko:K02029	snb:SP670_1038
ko:K02030	snb:SP670_1038
ko:K01990	snb:SP670_1811
ko:K17318	snb:SP670_0164
ko:K17318	snb:SP670_1873
ko:K17319	snb:SP670_0162
ko:K17319	snb:SP670_1875
ko:K01992	snb:SP670_0595
ko:K01992	snb:SP670_0874
ko:K02011	snb:SP670_2011
ko:K01598	snb:SP670_1048
ko:K00951	snb:SP670_1731
ko:K02028	snb:SP670_0836
ko:K03574	snb:SP670_1864
ko:K02028	snb:SP670_1037
ko:K17320	snb:SP670_0163
ko:K17320	snb:SP670_1874
ko:K02030	snb:SP670_0182
ko:K02030	snb:SP670_0903
ko:K17076	snb:SP670_0527
ko:K17073	snb:SP670_0528
ko:K17074	snb:SP670_0528
ko:K02010	snb:SP670_2010
ko:K10119	snb:SP670_2309
ko:K07271	snb:SP670_1002
ko:K01227	snb:SP670_1354
ko:K01990	snb:SP670_0754
ko:K01990	snb:SP670_0873
ko:K01990	snb:SP670_1795
ko:K01990	snb:SP670_2082
ko:K10112	snb:SP670_1665
ko:K01992	snb:SP670_2081
ko:K17624	snb:SP670_0436
ko:K17686	snb:SP670_0778
ko:K02027	snb:SP670_1779
ko:K01467	snb:SP670_0033
ko:K01101	snb:SP670_0890
ko:K12574	snb:SP670_0205
ko:K00226	snb:SP670_1562
ko:K02026	snb:SP670_1767
ko:K02026	snb:SP670_1777
ko:K01658	snb:SP670_1892
ko:K17828	snb:SP670_1355
ko:K00537	snb:SP670_0834
ko:K02027	snb:SP670_1769
ko:K12574	snb:SP670_0671
ko:K18220	snb:SP670_1157
ko:K07492	snb:SP670_1081
ko:K00004	snb:SP670_0510
ko:K02770	snb:SP670_1702
ko:K07271	snb:SP670_0423
ko:K07052	snb:SP670_1192
ko:K08303	snb:SP670_0872
ko:K01186	snb:SP670_1776
ko:K02029	snb:SP670_1502
ko:K02029	snb:SP670_0758
ko:K18104	snb:SP670_1607
ko:K18104	snb:SP670_1608
ko:K01893	snb:SP670_1626
ko:K12296	snb:SP670_0037
ko:K07052	snb:SP670_0503
ko:K07260	snb:SP670_0687
ko:K18369	snb:SP670_2194
ko:K03742	snb:SP670_2027
ko:K18474	snb:SP670_0489
ko:K18581	snb:SP670_0391
ko:K18682	snb:SP670_1832
ko:K18672	snb:SP670_1647
ko:K18692	snb:SP670_1564
ko:K06218	snb:SP670_1057
ko:K18892	snb:SP670_2214
ko:K18891	snb:SP670_2216
ko:K03790	snb:SP670_1256
ko:K18816	snb:SP670_1276
ko:K07473	snb:SP670_0347
ko:K16214	snb:SP670_1128
ko:K03205	snb:SP670_1187
ko:K03111	snb:SP670_1623
ko:K03111	snb:SP670_2172
ko:K03111	snb:SP670_1988
ko:K03497	snb:SP670_2384
ko:K05881	snb:SP670_1101
ko:K07484	snb:SP670_1513
ko:K07484	snb:SP670_0854
ko:K19002	snb:SP670_1263
ko:K07483	snb:SP670_2098
ko:K19159	snb:SP670_1834
ko:K00571	snb:SP670_1924
ko:K19158	snb:SP670_1833
ko:K01710	snb:SP670_0430
ko:K19157	snb:SP670_0348
ko:K00571	snb:SP670_0057
ko:K00571	snb:SP670_0867
ko:K12415	snb:SP670_2381
ko:K03722	snb:SP670_1521
ko:K19302	snb:SP670_0567
ko:K12952	snb:SP670_1707
ko:K07485	snb:SP670_1639
ko:K04771	snb:SP670_2383
ko:K00525	snb:SP670_1094
ko:K19271	snb:SP670_1139
ko:K07486	snb:SP670_0530
ko:K01992	snb:SP670_1362
ko:K06881	snb:SP670_0978
ko:K01990	snb:SP670_1363
ko:K00887	snb:SP670_1351
ko:K07497	snb:SP670_1698
ko:K00526	snb:SP670_1093
ko:K02796	snb:SP670_0354
ko:K02796	snb:SP670_0140
ko:K21636	snb:SP670_0277
ko:K19971	snb:SP670_1737
ko:K10830	snb:SP670_1735
ko:K19972	snb:SP670_1736
ko:K20074	snb:SP670_1826
ko:K12132	snb:SP670_1825
ko:K20073	snb:SP670_0442
ko:K07484	snb:SP670_0963
ko:K20112	snb:SP670_0700
ko:K20112	snb:SP670_1078
ko:K15580	snb:SP670_1966
ko:K02777	snb:SP670_1566
ko:K20107	snb:SP670_1566
ko:K20108	snb:SP670_1566
ko:K20114	snb:SP670_0702
ko:K20113	snb:SP670_0701
ko:K20113	snb:SP670_1079
ko:K20342	snb:SP670_2067
ko:K20344	snb:SP670_0602
ko:K20345	snb:SP670_0601
ko:K20344	snb:SP670_0189
ko:K20343	snb:SP670_0600
ko:K18889	snb:SP670_1914
ko:K18890	snb:SP670_1913
ko:K01208	snb:SP670_1278
ko:K01208	snb:SP670_1277
ko:K07741	snb:SP670_2181
ko:K21030	snb:SP670_1004
ko:K21064	snb:SP670_0359
ko:K08968	snb:SP670_1460
ko:K01520	snb:SP670_0100
ko:K02315	snb:SP670_0055
ko:K04068	snb:SP670_0280
ko:K00560	snb:SP670_0728
ko:K02316	snb:SP670_1267
ko:K07313	snb:SP670_1075
ko:K06191	snb:SP670_1095
ko:K00857	snb:SP670_1302
ko:K01493	snb:SP670_1579
ko:K00287	snb:SP670_1656
ko:K06217	snb:SP670_1373
ko:K06223	snb:SP670_1925
ko:K00558	snb:SP670_1198
ko:K03553	snb:SP670_2026
ko:K02314	snb:SP670_2350
ko:K02335	snb:SP670_0108
ko:K07497	snb:SP670_0412
ko:K07497	snb:SP670_0413
ko:K07497	snb:SP670_0463
ko:K07497	snb:SP670_0634
ko:K07497	snb:SP670_0635
ko:K07497	snb:SP670_0636
ko:K07497	snb:SP670_1509
ko:K07497	snb:SP670_1510
ko:K07497	snb:SP670_1676
ko:K07497	snb:SP670_1475
ko:K21471	snb:SP670_2360
ko:K21567	snb:SP670_1648
ko:K21977	snb:SP670_1049
ko:K22044	snb:SP670_1845
ko:K03595	snb:SP670_1350
ko:K03078	snb:SP670_2115
ko:K17758	snb:SP670_1499
ko:K03077	snb:SP670_2113
ko:K03079	snb:SP670_2114
ko:K22441	snb:SP670_0644
ko:K22457	snb:SP670_1628
