ko:K13040	sbn:Sbal195_3859
ko:K03721	sbn:Sbal195_1517
ko:K09962	sbn:Sbal195_1520
ko:K07275	sbn:Sbal195_1521
ko:K09914	sbn:Sbal195_1523
ko:K00651	sbn:Sbal195_1524
ko:K00140	sbn:Sbal195_1526
ko:K00867	sbn:Sbal195_0185
ko:K02892	sbn:Sbal195_0202
ko:K02197	sbn:Sbal195_0227
ko:K02196	sbn:Sbal195_0228
ko:K02195	sbn:Sbal195_0229
ko:K02194	sbn:Sbal195_0230
ko:K02200	sbn:Sbal195_0233
ko:K02198	sbn:Sbal195_0234
ko:K02650	sbn:Sbal195_4059
ko:K02655	sbn:Sbal195_0865
ko:K02600	sbn:Sbal195_3418
ko:K09774	sbn:Sbal195_0718
ko:K03270	sbn:Sbal195_0720
ko:K06041	sbn:Sbal195_0721
ko:K02065	sbn:Sbal195_0722
ko:K02066	sbn:Sbal195_0723
ko:K02067	sbn:Sbal195_0724
ko:K06176	sbn:Sbal195_3275
ko:K02553	sbn:Sbal195_0433
ko:K07167	sbn:Sbal195_2712
ko:K06918	sbn:Sbal195_1643
ko:K08990	sbn:Sbal195_1644
ko:K01761	sbn:Sbal195_1645
ko:K09909	sbn:Sbal195_1649
ko:K01246	sbn:Sbal195_0014
ko:K00380	sbn:Sbal195_0953
ko:K00381	sbn:Sbal195_0954
ko:K00390	sbn:Sbal195_0955
ko:K01664	sbn:Sbal195_3884
ko:K02652	sbn:Sbal195_4060
ko:K03411	sbn:Sbal195_2360
ko:K09181	sbn:Sbal195_2369
ko:K08276	sbn:Sbal195_2375
ko:K03654	sbn:Sbal195_2377
ko:K07093	sbn:Sbal195_2381
ko:K00998	sbn:Sbal195_2385
ko:K07259	sbn:Sbal195_2388
ko:K09912	sbn:Sbal195_2390
ko:K01591	sbn:Sbal195_2392
ko:K00945	sbn:Sbal195_2397
ko:K00800	sbn:Sbal195_2398
ko:K00831	sbn:Sbal195_2403
ko:K06603	sbn:Sbal195_3076
ko:K01903	sbn:Sbal195_2626
ko:K05873	sbn:Sbal195_0910
ko:K02965	sbn:Sbal195_0204
ko:K02906	sbn:Sbal195_0200
ko:K02946	sbn:Sbal195_0199
ko:K02358	sbn:Sbal195_0198
ko:K02462	sbn:Sbal195_0162
ko:K02455	sbn:Sbal195_0155
ko:K02858	sbn:Sbal195_0139
ko:K03071	sbn:Sbal195_0049
ko:K02109	sbn:Sbal195_4511
ko:K02108	sbn:Sbal195_4513
ko:K02116	sbn:Sbal195_4514
ko:K00265	sbn:Sbal195_1255
ko:K00163	sbn:Sbal195_4054
ko:K02404	sbn:Sbal195_3053
ko:K00956	sbn:Sbal195_0963
ko:K10914	sbn:Sbal195_3873
ko:K07640	sbn:Sbal195_0260
ko:K07638	sbn:Sbal195_4339
ko:K02410	sbn:Sbal195_3067
ko:K02398	sbn:Sbal195_3104
ko:K01902	sbn:Sbal195_2625
ko:K01588	sbn:Sbal195_1137
ko:K06891	sbn:Sbal195_2586
ko:K08084	sbn:Sbal195_1167
ko:K00259	sbn:Sbal195_2325
ko:K03811	sbn:Sbal195_1843
ko:K03811	sbn:Sbal195_0544
ko:K10925	sbn:Sbal195_0511
ko:K10926	sbn:Sbal195_0513
ko:K10927	sbn:Sbal195_0514
ko:K03781	sbn:Sbal195_3591
ko:K10941	sbn:Sbal195_3072
ko:K03639	sbn:Sbal195_0285
ko:K03177	sbn:Sbal195_3415
ko:K03786	sbn:Sbal195_3980
ko:K02392	sbn:Sbal195_3095
ko:K02340	sbn:Sbal195_3449
ko:K02390	sbn:Sbal195_3097
ko:K02417	sbn:Sbal195_3060
ko:K02418	sbn:Sbal195_3059
ko:K02420	sbn:Sbal195_3057
ko:K02396	sbn:Sbal195_3091
ko:K02397	sbn:Sbal195_3090
ko:K02391	sbn:Sbal195_3096
ko:K00793	sbn:Sbal195_2333
ko:K00793	sbn:Sbal195_3302
ko:K00167	sbn:Sbal195_2200
ko:K02387	sbn:Sbal195_3100
ko:K00864	sbn:Sbal195_0402
ko:K02411	sbn:Sbal195_3066
ko:K02415	sbn:Sbal195_3062
ko:K01883	sbn:Sbal195_1624
ko:K01807	sbn:Sbal195_3514
ko:K02567	sbn:Sbal195_1943
ko:K02342	sbn:Sbal195_2063
ko:K02343	sbn:Sbal195_2690
ko:K10943	sbn:Sbal195_3070
ko:K03583	sbn:Sbal195_2095
ko:K02407	sbn:Sbal195_3075
ko:K02422	sbn:Sbal195_3073
ko:K02336	sbn:Sbal195_1653
ko:K02687	sbn:Sbal195_4079
ko:K02346	sbn:Sbal195_3552
ko:K02337	sbn:Sbal195_1496
ko:K00244	sbn:Sbal195_4076
ko:K02338	sbn:Sbal195_0002
ko:K02339	sbn:Sbal195_3263
ko:K00647	sbn:Sbal195_2840
ko:K00124	sbn:Sbal195_4229
ko:K03722	sbn:Sbal195_1652
ko:K03723	sbn:Sbal195_2511
ko:K04477	sbn:Sbal195_1503
ko:K03497	sbn:Sbal195_4579
ko:K09696	sbn:Sbal195_0074
ko:K09697	sbn:Sbal195_0075
ko:K03553	sbn:Sbal195_3269
ko:K04066	sbn:Sbal195_0496
ko:K02686	sbn:Sbal195_0742
ko:K04067	sbn:Sbal195_1650
ko:K03646	sbn:Sbal195_1784
ko:K03640	sbn:Sbal195_1786
ko:K03616	sbn:Sbal195_2111
ko:K00346	sbn:Sbal195_3563
ko:K00347	sbn:Sbal195_3562
ko:K00348	sbn:Sbal195_3561
ko:K00349	sbn:Sbal195_3560
ko:K07274	sbn:Sbal195_3687
ko:K03273	sbn:Sbal195_2746
ko:K03325	sbn:Sbal195_3959
ko:K02348	sbn:Sbal195_3967
ko:K03543	sbn:Sbal195_3969
ko:K03282	sbn:Sbal195_3971
ko:K03182	sbn:Sbal195_3985
ko:K07386	sbn:Sbal195_3991
ko:K07218	sbn:Sbal195_3995
ko:K02198	sbn:Sbal195_4003
ko:K02200	sbn:Sbal195_4004
ko:K03415	sbn:Sbal195_2936
ko:K01885	sbn:Sbal195_2947
ko:K09936	sbn:Sbal195_2954
ko:K02335	sbn:Sbal195_4485
ko:K09136	sbn:Sbal195_3787
ko:K01868	sbn:Sbal195_3795
ko:K00605	sbn:Sbal195_3801
ko:K03185	sbn:Sbal195_3803
ko:K09888	sbn:Sbal195_3805
ko:K03402	sbn:Sbal195_3810
ko:K07118	sbn:Sbal195_3811
ko:K07223	sbn:Sbal195_3813
ko:K00681	sbn:Sbal195_3814
ko:K02011	sbn:Sbal195_3816
ko:K02012	sbn:Sbal195_3817
ko:K00528	sbn:Sbal195_3820
ko:K01626	sbn:Sbal195_3828
ko:K04752	sbn:Sbal195_3832
ko:K03385	sbn:Sbal195_3834
ko:K07674	sbn:Sbal195_3835
ko:K07685	sbn:Sbal195_3836
ko:K09910	sbn:Sbal195_3837
ko:K06987	sbn:Sbal195_3839
ko:K03205	sbn:Sbal195_4715
ko:K03074	sbn:Sbal195_2879
ko:K03210	sbn:Sbal195_2881
ko:K00773	sbn:Sbal195_2882
ko:K06177	sbn:Sbal195_2886
ko:K06906	sbn:Sbal195_2890
ko:K06908	sbn:Sbal195_2894
ko:K06907	sbn:Sbal195_2895
ko:K06903	sbn:Sbal195_2901
ko:K00928	sbn:Sbal195_3840
ko:K07773	sbn:Sbal195_3842
ko:K01278	sbn:Sbal195_3843
ko:K03841	sbn:Sbal195_3844
ko:K00658	sbn:Sbal195_2627
ko:K01738	sbn:Sbal195_2163
ko:K00058	sbn:Sbal195_0873
ko:K04774	sbn:Sbal195_2790
ko:K08992	sbn:Sbal195_2394
ko:K02824	sbn:Sbal195_1821
ko:K03148	sbn:Sbal195_2437
ko:K07402	sbn:Sbal195_2825
ko:K00764	sbn:Sbal195_2832
ko:K03561	sbn:Sbal195_1052
ko:K00564	sbn:Sbal195_0838
ko:K01649	sbn:Sbal195_0397
ko:K00052	sbn:Sbal195_0398
ko:K03925	sbn:Sbal195_0404
ko:K03438	sbn:Sbal195_0405
ko:K01928	sbn:Sbal195_0408
ko:K01929	sbn:Sbal195_0409
ko:K06995	sbn:Sbal195_1184
ko:K00140	sbn:Sbal195_1185
ko:K00822	sbn:Sbal195_1186
ko:K09472	sbn:Sbal195_1187
ko:K03642	sbn:Sbal195_1191
ko:K07010	sbn:Sbal195_1197
ko:K01915	sbn:Sbal195_1198
ko:K11073	sbn:Sbal195_1199
ko:K02014	sbn:Sbal195_2767
ko:K00656	sbn:Sbal195_2769
ko:K04069	sbn:Sbal195_2770
ko:K09899	sbn:Sbal195_2771
ko:K06969	sbn:Sbal195_2777
ko:K11076	sbn:Sbal195_1200
ko:K11075	sbn:Sbal195_1201
ko:K11074	sbn:Sbal195_1202
ko:K09471	sbn:Sbal195_1203
ko:K00135	sbn:Sbal195_1204
ko:K03305	sbn:Sbal195_1207
ko:K05350	sbn:Sbal195_1216
ko:K02429	sbn:Sbal195_1217
ko:K00847	sbn:Sbal195_1219
ko:K06959	sbn:Sbal195_4334
ko:K04760	sbn:Sbal195_4335
ko:K02298	sbn:Sbal195_4351
ko:K02299	sbn:Sbal195_4352
ko:K02300	sbn:Sbal195_4353
ko:K00765	sbn:Sbal195_2536
ko:K00013	sbn:Sbal195_2537
ko:K03834	sbn:Sbal195_2544
ko:K09978	sbn:Sbal195_2547
ko:K01256	sbn:Sbal195_2559
ko:K03797	sbn:Sbal195_2560
ko:K06190	sbn:Sbal195_2814
ko:K09780	sbn:Sbal195_2815
ko:K07303	sbn:Sbal195_2822
ko:K07302	sbn:Sbal195_2823
ko:K09001	sbn:Sbal195_1245
ko:K04088	sbn:Sbal195_3891
ko:K03466	sbn:Sbal195_2323
ko:K01573	sbn:Sbal195_1125
ko:K01572	sbn:Sbal195_1127
ko:K01919	sbn:Sbal195_1132
ko:K01589	sbn:Sbal195_1136
ko:K03088	sbn:Sbal195_1140
ko:K01810	sbn:Sbal195_1144
ko:K00616	sbn:Sbal195_1145
ko:K03310	sbn:Sbal195_1148
ko:K09861	sbn:Sbal195_1149
ko:K02968	sbn:Sbal195_1152
ko:K01870	sbn:Sbal195_1156
ko:K03101	sbn:Sbal195_1157
ko:K03774	sbn:Sbal195_1158
ko:K03527	sbn:Sbal195_1159
ko:K02672	sbn:Sbal195_1161
ko:K02655	sbn:Sbal195_1164
ko:K03885	sbn:Sbal195_1169
ko:K04015	sbn:Sbal195_4283
ko:K04014	sbn:Sbal195_4284
ko:K04013	sbn:Sbal195_4285
ko:K08680	sbn:Sbal195_4289
ko:K02549	sbn:Sbal195_4290
ko:K03089	sbn:Sbal195_4292
ko:K09812	sbn:Sbal195_4294
ko:K00979	sbn:Sbal195_2478
ko:K07146	sbn:Sbal195_2481
ko:K07552	sbn:Sbal195_2488
ko:K01653	sbn:Sbal195_2491
ko:K04080	sbn:Sbal195_2492
ko:K00940	sbn:Sbal195_2493
ko:K05844	sbn:Sbal195_2496
ko:K02836	sbn:Sbal195_3615
ko:K07240	sbn:Sbal195_3618
ko:K03212	sbn:Sbal195_3619
ko:K00111	sbn:Sbal195_3620
ko:K03778	sbn:Sbal195_3629
ko:K01255	sbn:Sbal195_3637
ko:K03387	sbn:Sbal195_3639
ko:K06177	sbn:Sbal195_0296
ko:K07639	sbn:Sbal195_0308
ko:K07661	sbn:Sbal195_0309
ko:K06207	sbn:Sbal195_0312
ko:K01761	sbn:Sbal195_0316
ko:K07058	sbn:Sbal195_0319
ko:K07560	sbn:Sbal195_0322
ko:K01118	sbn:Sbal195_0324
ko:K05782	sbn:Sbal195_0328
ko:K03829	sbn:Sbal195_0329
ko:K09458	sbn:Sbal195_0332
ko:K07107	sbn:Sbal195_0340
ko:K01745	sbn:Sbal195_0341
ko:K02078	sbn:Sbal195_0346
ko:K03784	sbn:Sbal195_3363
ko:K01839	sbn:Sbal195_3364
ko:K01619	sbn:Sbal195_3366
ko:K05517	sbn:Sbal195_3367
ko:K03424	sbn:Sbal195_3369
ko:K03453	sbn:Sbal195_4238
ko:K03216	sbn:Sbal195_4247
ko:K07552	sbn:Sbal195_4271
ko:K03981	sbn:Sbal195_3642
ko:K03311	sbn:Sbal195_3644
ko:K05590	sbn:Sbal195_3646
ko:K00927	sbn:Sbal195_3657
ko:K00134	sbn:Sbal195_3658
ko:K00615	sbn:Sbal195_3659
ko:K00789	sbn:Sbal195_3660
ko:K03497	sbn:Sbal195_4547
ko:K11689	sbn:Sbal195_2950
ko:K02484	sbn:Sbal195_1103
ko:K02566	sbn:Sbal195_1771
ko:K09607	sbn:Sbal195_0129
ko:K03228	sbn:Sbal195_2280
ko:K03558	sbn:Sbal195_2833
ko:K03749	sbn:Sbal195_2834
ko:K00133	sbn:Sbal195_2838
ko:K03473	sbn:Sbal195_2839
ko:K05820	sbn:Sbal195_2845
ko:K01736	sbn:Sbal195_2846
ko:K07320	sbn:Sbal195_2847
ko:K03924	sbn:Sbal195_2857
ko:K03088	sbn:Sbal195_2863
ko:K06076	sbn:Sbal195_2866
ko:K09797	sbn:Sbal195_2868
ko:K08218	sbn:Sbal195_3723
ko:K09767	sbn:Sbal195_3724
ko:K00077	sbn:Sbal195_3726
ko:K04752	sbn:Sbal195_3727
ko:K03320	sbn:Sbal195_3728
ko:K01627	sbn:Sbal195_3731
ko:K03086	sbn:Sbal195_1221
ko:K09117	sbn:Sbal195_1223
ko:K02970	sbn:Sbal195_1224
ko:K01409	sbn:Sbal195_1225
ko:K08591	sbn:Sbal195_1226
ko:K01633	sbn:Sbal195_1227
ko:K00950	sbn:Sbal195_1228
ko:K06153	sbn:Sbal195_1229
ko:K00563	sbn:Sbal195_1230
ko:K06078	sbn:Sbal195_1231
ko:K03503	sbn:Sbal195_2039
ko:K01305	sbn:Sbal195_2047
ko:K03607	sbn:Sbal195_2561
ko:K09918	sbn:Sbal195_2563
ko:K03808	sbn:Sbal195_2564
ko:K02676	sbn:Sbal195_2570
ko:K00943	sbn:Sbal195_2572
ko:K07082	sbn:Sbal195_2573
ko:K01494	sbn:Sbal195_2575
ko:K03593	sbn:Sbal195_2577
ko:K07088	sbn:Sbal195_2579
ko:K06077	sbn:Sbal195_2581
ko:K00684	sbn:Sbal195_2582
ko:K02518	sbn:Sbal195_2584
ko:K03704	sbn:Sbal195_2587
ko:K06181	sbn:Sbal195_2589
ko:K00566	sbn:Sbal195_2591
ko:K09939	sbn:Sbal195_3433
ko:K00820	sbn:Sbal195_1179
ko:K01443	sbn:Sbal195_1180
ko:K07000	sbn:Sbal195_2522
ko:K01752	sbn:Sbal195_2524
ko:K07154	sbn:Sbal195_3381
ko:K07589	sbn:Sbal195_2779
ko:K03312	sbn:Sbal195_2781
ko:K03100	sbn:Sbal195_2782
ko:K02003	sbn:Sbal195_2784
ko:K07053	sbn:Sbal195_2800
ko:K00766	sbn:Sbal195_2803
ko:K03837	sbn:Sbal195_3674
ko:K03828	sbn:Sbal195_3677
ko:K00351	sbn:Sbal195_3680
ko:K00349	sbn:Sbal195_3682
ko:K00348	sbn:Sbal195_3683
ko:K00347	sbn:Sbal195_3684
ko:K07301	sbn:Sbal195_0355
ko:K00942	sbn:Sbal195_0360
ko:K00989	sbn:Sbal195_0381
ko:K06942	sbn:Sbal195_3435
ko:K03184	sbn:Sbal195_3437
ko:K06217	sbn:Sbal195_3440
ko:K01869	sbn:Sbal195_3447
ko:K08363	sbn:Sbal195_3216
ko:K08974	sbn:Sbal195_3225
ko:K03815	sbn:Sbal195_3227
ko:K07148	sbn:Sbal195_3230
ko:K02106	sbn:Sbal195_3234
ko:K01262	sbn:Sbal195_3238
ko:K03758	sbn:Sbal195_3242
ko:K01299	sbn:Sbal195_3255
ko:K07091	sbn:Sbal195_3261
ko:K01255	sbn:Sbal195_3262
ko:K01873	sbn:Sbal195_3264
ko:K01754	sbn:Sbal195_4125
ko:K01687	sbn:Sbal195_4126
ko:K05541	sbn:Sbal195_2697
ko:K06999	sbn:Sbal195_2701
ko:K03775	sbn:Sbal195_2704
ko:K03415	sbn:Sbal195_2708
ko:K07157	sbn:Sbal195_2710
ko:K03088	sbn:Sbal195_2711
ko:K00451	sbn:Sbal195_2728
ko:K00457	sbn:Sbal195_2729
ko:K09919	sbn:Sbal195_2732
ko:K00681	sbn:Sbal195_2733
ko:K01284	sbn:Sbal195_2739
ko:K01284	sbn:Sbal195_2743
ko:K07004	sbn:Sbal195_1858
ko:K02274	sbn:Sbal195_4312
ko:K02259	sbn:Sbal195_4318
ko:K07152	sbn:Sbal195_4320
ko:K03327	sbn:Sbal195_4322
ko:K07400	sbn:Sbal195_4324
ko:K02014	sbn:Sbal195_3695
ko:K02426	sbn:Sbal195_3699
ko:K00760	sbn:Sbal195_3713
ko:K02558	sbn:Sbal195_3715
ko:K07286	sbn:Sbal195_3720
ko:K03497	sbn:Sbal195_4600
ko:K04338	sbn:Sbal195_1037
ko:K06214	sbn:Sbal195_1038
ko:K00154	sbn:Sbal195_1040
ko:K02013	sbn:Sbal195_1048
ko:K02015	sbn:Sbal195_1049
ko:K02016	sbn:Sbal195_1050
ko:K03832	sbn:Sbal195_1053
ko:K07227	sbn:Sbal195_1055
ko:K07226	sbn:Sbal195_1056
ko:K02014	sbn:Sbal195_1061
ko:K02523	sbn:Sbal195_1068
ko:K03548	sbn:Sbal195_1829
ko:K03784	sbn:Sbal195_1838
ko:K06141	sbn:Sbal195_1839
ko:K00567	sbn:Sbal195_2939
ko:K00652	sbn:Sbal195_1796
ko:K01802	sbn:Sbal195_3235
ko:K01802	sbn:Sbal195_4028
ko:K02619	sbn:Sbal195_2574
ko:K04751	sbn:Sbal195_1168
ko:K03316	sbn:Sbal195_1296
ko:K00832	sbn:Sbal195_2206
ko:K07090	sbn:Sbal195_1675
ko:K07090	sbn:Sbal195_0062
ko:K01621	sbn:Sbal195_1147
ko:K03767	sbn:Sbal195_3721
ko:K01895	sbn:Sbal195_1791
ko:K04046	sbn:Sbal195_1871
ko:K05805	sbn:Sbal195_1872
ko:K09897	sbn:Sbal195_1883
ko:K07504	sbn:Sbal195_1887
ko:K00937	sbn:Sbal195_1870
ko:K02199	sbn:Sbal195_0235
ko:K02200	sbn:Sbal195_0236
ko:K09983	sbn:Sbal195_0238
ko:K00053	sbn:Sbal195_4129
ko:K02521	sbn:Sbal195_4130
ko:K07391	sbn:Sbal195_4135
ko:K00826	sbn:Sbal195_4146
ko:K06203	sbn:Sbal195_2761
ko:K08085	sbn:Sbal195_1166
ko:K02476	sbn:Sbal195_0938
ko:K02475	sbn:Sbal195_0939
ko:K07659	sbn:Sbal195_4338
ko:K00350	sbn:Sbal195_3681
ko:K07792	sbn:Sbal195_0303
ko:K03566	sbn:Sbal195_1389
ko:K02192	sbn:Sbal195_3909
ko:K07175	sbn:Sbal195_3915
ko:K03580	sbn:Sbal195_3916
ko:K09893	sbn:Sbal195_3921
ko:K00655	sbn:Sbal195_3922
ko:K03442	sbn:Sbal195_3929
ko:K01938	sbn:Sbal195_3930
ko:K06219	sbn:Sbal195_3933
ko:K03530	sbn:Sbal195_3943
ko:K05844	sbn:Sbal195_3945
ko:K03310	sbn:Sbal195_3952
ko:K07576	sbn:Sbal195_3953
ko:K05785	sbn:Sbal195_3036
ko:K03305	sbn:Sbal195_3037
ko:K04061	sbn:Sbal195_3041
ko:K03408	sbn:Sbal195_3043
ko:K07637	sbn:Sbal195_2615
ko:K07637	sbn:Sbal195_4345
ko:K07660	sbn:Sbal195_2614
ko:K07660	sbn:Sbal195_4344
ko:K01625	sbn:Sbal195_2178
ko:K01908	sbn:Sbal195_2971
ko:K01091	sbn:Sbal195_1752
ko:K02017	sbn:Sbal195_0828
ko:K07778	sbn:Sbal195_0353
ko:K07693	sbn:Sbal195_0352
ko:K03559	sbn:Sbal195_4372
ko:K03559	sbn:Sbal195_4373
ko:K03832	sbn:Sbal195_4374
ko:K07115	sbn:Sbal195_4377
ko:K03744	sbn:Sbal195_4380
ko:K01414	sbn:Sbal195_4392
ko:K00383	sbn:Sbal195_4395
ko:K03503	sbn:Sbal195_4408
ko:K07153	sbn:Sbal195_2592
ko:K01756	sbn:Sbal195_2593
ko:K00263	sbn:Sbal195_2596
ko:K09986	sbn:Sbal195_2599
ko:K01007	sbn:Sbal195_2601
ko:K07772	sbn:Sbal195_3356
ko:K07657	sbn:Sbal195_1403
ko:K07647	sbn:Sbal195_3354
ko:K07235	sbn:Sbal195_2314
ko:K01525	sbn:Sbal195_1077
ko:K02529	sbn:Sbal195_1214
ko:K02529	sbn:Sbal195_1170
ko:K00703	sbn:Sbal195_1361
ko:K12062	sbn:Sbal195_4534
ko:K12062	sbn:Sbal195_4626
ko:K12064	sbn:Sbal195_4536
ko:K11751	sbn:Sbal195_2700
ko:K12063	sbn:Sbal195_4627
ko:K12065	sbn:Sbal195_4537
ko:K11688	sbn:Sbal195_2949
ko:K00762	sbn:Sbal195_0382
ko:K01495	sbn:Sbal195_0383
ko:K05501	sbn:Sbal195_0385
ko:K01520	sbn:Sbal195_0386
ko:K02902	sbn:Sbal195_0389
ko:K02913	sbn:Sbal195_0390
ko:K05803	sbn:Sbal195_3411
ko:K00962	sbn:Sbal195_3412
ko:K02956	sbn:Sbal195_3414
ko:K02834	sbn:Sbal195_3416
ko:K02519	sbn:Sbal195_3417
ko:K09748	sbn:Sbal195_3419
ko:K03075	sbn:Sbal195_3420
ko:K01803	sbn:Sbal195_3421
ko:K03431	sbn:Sbal195_3422
ko:K00796	sbn:Sbal195_3423
ko:K03798	sbn:Sbal195_3424
ko:K02427	sbn:Sbal195_3425
ko:K07574	sbn:Sbal195_3426
ko:K03074	sbn:Sbal195_3427
ko:K03072	sbn:Sbal195_3428
ko:K08316	sbn:Sbal195_4296
ko:K08993	sbn:Sbal195_4297
ko:K07798	sbn:Sbal195_4303
ko:K06996	sbn:Sbal195_4306
ko:K01356	sbn:Sbal195_4309
ko:K00632	sbn:Sbal195_2856
ko:K12058	sbn:Sbal195_4530
ko:K12059	sbn:Sbal195_4623
ko:K12279	sbn:Sbal195_0501
ko:K12061	sbn:Sbal195_4625
ko:K01426	sbn:Sbal195_3283
ko:K12340	sbn:Sbal195_0813
ko:K11991	sbn:Sbal195_3140
ko:K03820	sbn:Sbal195_3443
ko:K02372	sbn:Sbal195_1492
ko:K09705	sbn:Sbal195_3785
ko:K09125	sbn:Sbal195_4453
ko:K03533	sbn:Sbal195_3353
ko:K07304	sbn:Sbal195_2197
ko:K12281	sbn:Sbal195_0504
ko:K12283	sbn:Sbal195_0506
ko:K12284	sbn:Sbal195_0507
ko:K07506	sbn:Sbal195_3318
ko:K01270	sbn:Sbal195_3547
ko:K12278	sbn:Sbal195_0509
ko:K12287	sbn:Sbal195_0517
ko:K12280	sbn:Sbal195_0503
ko:K14393	sbn:Sbal195_2752
ko:K11930	sbn:Sbal195_3355
ko:K03768	sbn:Sbal195_1623
ko:K00108	sbn:Sbal195_1351
ko:K03496	sbn:Sbal195_4640
ko:K12152	sbn:Sbal195_2590
ko:K01835	sbn:Sbal195_2196
ko:K03496	sbn:Sbal195_1699
ko:K00060	sbn:Sbal195_4481
ko:K03496	sbn:Sbal195_3045
ko:K08305	sbn:Sbal195_1904
ko:K01259	sbn:Sbal195_0320
ko:K11258	sbn:Sbal195_4127
ko:K00253	sbn:Sbal195_2973
ko:K01652	sbn:Sbal195_2490
ko:K04047	sbn:Sbal195_3463
ko:K01894	sbn:Sbal195_0883
ko:K09794	sbn:Sbal195_3133
ko:K00426	sbn:Sbal195_3136
ko:K01952	sbn:Sbal195_3138
ko:K03977	sbn:Sbal195_3144
ko:K09862	sbn:Sbal195_4065
ko:K03732	sbn:Sbal195_4069
ko:K03671	sbn:Sbal195_4070
ko:K03628	sbn:Sbal195_4071
ko:K00246	sbn:Sbal195_4078
ko:K09781	sbn:Sbal195_3513
ko:K06969	sbn:Sbal195_3515
ko:K09930	sbn:Sbal195_3517
ko:K06213	sbn:Sbal195_3521
ko:K06177	sbn:Sbal195_3524
ko:K01955	sbn:Sbal195_3525
ko:K00147	sbn:Sbal195_3541
ko:K00931	sbn:Sbal195_3542
ko:K06901	sbn:Sbal195_3543
ko:K07322	sbn:Sbal195_4083
ko:K03192	sbn:Sbal195_4085
ko:K09921	sbn:Sbal195_4088
ko:K01778	sbn:Sbal195_4089
ko:K01586	sbn:Sbal195_4090
ko:K06202	sbn:Sbal195_4092
ko:K01749	sbn:Sbal195_4094
ko:K01719	sbn:Sbal195_4095
ko:K02496	sbn:Sbal195_4096
ko:K09927	sbn:Sbal195_4110
ko:K06143	sbn:Sbal195_4112
ko:K03308	sbn:Sbal195_4116
ko:K00574	sbn:Sbal195_3206
ko:K09701	sbn:Sbal195_3207
ko:K01669	sbn:Sbal195_3211
ko:K00931	sbn:Sbal195_4424
ko:K00147	sbn:Sbal195_4425
ko:K01638	sbn:Sbal195_4435
ko:K05772	sbn:Sbal195_4457
ko:K05773	sbn:Sbal195_4458
ko:K03752	sbn:Sbal195_4460
ko:K03750	sbn:Sbal195_4461
ko:K03639	sbn:Sbal195_4462
ko:K00012	sbn:Sbal195_4468
ko:K02493	sbn:Sbal195_3736
ko:K02492	sbn:Sbal195_3738
ko:K02494	sbn:Sbal195_3739
ko:K00919	sbn:Sbal195_3740
ko:K00948	sbn:Sbal195_3741
ko:K03088	sbn:Sbal195_3743
ko:K07386	sbn:Sbal195_3748
ko:K08981	sbn:Sbal195_3754
ko:K03576	sbn:Sbal195_3764
ko:K02014	sbn:Sbal195_3767
ko:K00852	sbn:Sbal195_3771
ko:K01126	sbn:Sbal195_3775
ko:K01890	sbn:Sbal195_1908
ko:K00970	sbn:Sbal195_0882
ko:K00029	sbn:Sbal195_0499
ko:K09773	sbn:Sbal195_2602
ko:K01626	sbn:Sbal195_2603
ko:K01945	sbn:Sbal195_4037
ko:K01599	sbn:Sbal195_4042
ko:K07740	sbn:Sbal195_4044
ko:K07001	sbn:Sbal195_4050
ko:K03807	sbn:Sbal195_4056
ko:K03806	sbn:Sbal195_4057
ko:K00767	sbn:Sbal195_4058
ko:K02394	sbn:Sbal195_3093
ko:K03415	sbn:Sbal195_3102
ko:K02386	sbn:Sbal195_3103
ko:K02399	sbn:Sbal195_3105
ko:K09860	sbn:Sbal195_3106
ko:K01484	sbn:Sbal195_2610
ko:K03284	sbn:Sbal195_2618
ko:K06140	sbn:Sbal195_2624
ko:K00164	sbn:Sbal195_2628
ko:K01647	sbn:Sbal195_2633
ko:K09900	sbn:Sbal195_2637
ko:K09907	sbn:Sbal195_2644
ko:K00428	sbn:Sbal195_2648
ko:K06899	sbn:Sbal195_2649
ko:K04044	sbn:Sbal195_2498
ko:K04082	sbn:Sbal195_2499
ko:K04488	sbn:Sbal195_2501
ko:K00640	sbn:Sbal195_2504
ko:K09808	sbn:Sbal195_2507
ko:K09808	sbn:Sbal195_2509
ko:K01512	sbn:Sbal195_2513
ko:K03546	sbn:Sbal195_4566
ko:K03673	sbn:Sbal195_2754
ko:K01972	sbn:Sbal195_2758
ko:K03528	sbn:Sbal195_2759
ko:K01738	sbn:Sbal195_2764
ko:K00821	sbn:Sbal195_3880
ko:K02553	sbn:Sbal195_2055
ko:K08307	sbn:Sbal195_2058
ko:K06445	sbn:Sbal195_2067
ko:K07443	sbn:Sbal195_2070
ko:K01462	sbn:Sbal195_2071
ko:K02656	sbn:Sbal195_3150
ko:K06911	sbn:Sbal195_3156
ko:K03830	sbn:Sbal195_3157
ko:K09954	sbn:Sbal195_3160
ko:K09933	sbn:Sbal195_3166
ko:K01620	sbn:Sbal195_3169
ko:K03442	sbn:Sbal195_3171
ko:K11065	sbn:Sbal195_3172
ko:K03113	sbn:Sbal195_3176
ko:K07735	sbn:Sbal195_3177
ko:K03643	sbn:Sbal195_3448
ko:K00969	sbn:Sbal195_3450
ko:K00783	sbn:Sbal195_3452
ko:K05837	sbn:Sbal195_3454
ko:K03642	sbn:Sbal195_3456
