ko:K19416	amad:I636_10590
ko:K05526	amad:I636_07925
ko:K14445	amad:I636_12100
ko:K01494	amad:I636_12105
ko:K01874	amad:I636_12115
ko:K08307	amad:I636_12135
ko:K01883	amad:I636_12160
ko:K03269	amad:I636_12170
ko:K00690	amad:I636_12190
ko:K03781	amad:I636_12205
ko:K06169	amad:I636_12240
ko:K00764	amad:I636_12250
ko:K03558	amad:I636_12255
ko:K03749	amad:I636_12260
ko:K11754	amad:I636_12265
ko:K01963	amad:I636_12270
ko:K06173	amad:I636_12275
ko:K00133	amad:I636_12285
ko:K03473	amad:I636_12290
ko:K03457	amad:I636_16475
ko:K00140	amad:I636_16485
ko:K09024	amad:I636_16490
ko:K09019	amad:I636_16495
ko:K09023	amad:I636_16500
ko:K09021	amad:I636_16505
ko:K09018	amad:I636_16515
ko:K02346	amad:I636_16550
ko:K05952	amad:I636_16555
ko:K03734	amad:I636_16560
ko:K00351	amad:I636_16565
ko:K00350	amad:I636_16570
ko:K00349	amad:I636_16575
ko:K00348	amad:I636_16580
ko:K00347	amad:I636_16585
ko:K00346	amad:I636_16590
ko:K00209	amad:I636_16595
ko:K03773	amad:I636_16600
ko:K01595	amad:I636_16605
ko:K00024	amad:I636_16625
ko:K03402	amad:I636_16630
ko:K00876	amad:I636_16655
ko:K14393	amad:I636_16695
ko:K03585	amad:I636_04080
ko:K01524	amad:I636_04100
ko:K00937	amad:I636_04105
ko:K02037	amad:I636_04115
ko:K02038	amad:I636_04120
ko:K02036	amad:I636_04125
ko:K02039	amad:I636_04130
ko:K03306	amad:I636_04135
ko:K04761	amad:I636_04145
ko:K11068	amad:I636_04155
ko:K03547	amad:I636_04200
ko:K07862	amad:I636_04220
ko:K01468	amad:I636_04230
ko:K05836	amad:I636_04235
ko:K01712	amad:I636_04240
ko:K01745	amad:I636_04245
ko:K05805	amad:I636_04250
ko:K00975	amad:I636_08515
ko:K01640	amad:I636_08540
ko:K01968	amad:I636_08545
ko:K13766	amad:I636_08550
ko:K01969	amad:I636_08555
ko:K00253	amad:I636_08560
ko:K01556	amad:I636_08580
ko:K01141	amad:I636_08595
ko:K13051	amad:I636_08605
ko:K01083	amad:I636_08615
ko:K03578	amad:I636_08650
ko:K06969	amad:I636_08665
ko:K09810	amad:I636_08695
ko:K09808	amad:I636_08700
ko:K01484	amad:I636_08715
ko:K03168	amad:I636_08725
ko:K09912	amad:I636_08730
ko:K03752	amad:I636_08740
ko:K02379	amad:I636_08745
ko:K06180	amad:I636_12865
ko:K05807	amad:I636_12870
ko:K03088	amad:I636_12880
ko:K07157	amad:I636_12885
ko:K09701	amad:I636_12905
ko:K00574	amad:I636_12910
ko:K02557	amad:I636_12915
ko:K02556	amad:I636_12920
ko:K03602	amad:I636_12925
ko:K00795	amad:I636_12930
ko:K01662	amad:I636_12935
ko:K01095	amad:I636_12940
ko:K00946	amad:I636_12945
ko:K03625	amad:I636_12950
ko:K00794	amad:I636_12955
ko:K14652	amad:I636_12960
ko:K00793	amad:I636_12965
ko:K11752	amad:I636_12970
ko:K07738	amad:I636_12975
ko:K00600	amad:I636_12980
ko:K02536	amad:I636_12985
ko:K04485	amad:I636_13000
ko:K01079	amad:I636_13010
ko:K03424	amad:I636_13020
ko:K00275	amad:I636_13025
ko:K03685	amad:I636_13035
ko:K03100	amad:I636_13040
ko:K03596	amad:I636_13045
ko:K03598	amad:I636_13055
ko:K03597	amad:I636_13060
ko:K03088	amad:I636_13065
ko:K00278	amad:I636_13075
ko:K09159	amad:I636_13090
ko:K06980	amad:I636_13095
ko:K03775	amad:I636_13100
ko:K04751	amad:I636_13105
ko:K08084	amad:I636_13115
ko:K03182	amad:I636_17250
ko:K05368	amad:I636_17255
ko:K00425	amad:I636_17290
ko:K00426	amad:I636_17295
ko:K05800	amad:I636_17305
ko:K03704	amad:I636_17315
ko:K03688	amad:I636_17320
ko:K03690	amad:I636_17325
ko:K03183	amad:I636_17330
ko:K01414	amad:I636_17340
ko:K02044	amad:I636_17350
ko:K00021	amad:I636_17420
ko:K13408	amad:I636_17425
ko:K13409	amad:I636_17430
ko:K03667	amad:I636_17460
ko:K01419	amad:I636_17465
ko:K04066	amad:I636_17475
ko:K02909	amad:I636_17480
ko:K00029	amad:I636_17490
ko:K03764	amad:I636_17495
ko:K00297	amad:I636_17500
ko:K07058	amad:I636_17505
ko:K06999	amad:I636_00695
ko:K00942	amad:I636_00700
ko:K03060	amad:I636_00705
ko:K00556	amad:I636_00720
ko:K03655	amad:I636_00725
ko:K15984	amad:I636_00730
ko:K02012	amad:I636_00750
ko:K02011	amad:I636_00755
ko:K07007	amad:I636_00770
ko:K05596	amad:I636_00830
ko:K06895	amad:I636_00835
ko:K03585	amad:I636_00855
ko:K03654	amad:I636_00925
ko:K06213	amad:I636_00930
ko:K05786	amad:I636_00935
ko:K03657	amad:I636_00945
ko:K00640	amad:I636_00950
ko:K03733	amad:I636_00960
ko:K09921	amad:I636_00965
ko:K01778	amad:I636_00970
ko:K02406	amad:I636_05260
ko:K10941	amad:I636_05265
ko:K02408	amad:I636_05280
ko:K02409	amad:I636_05285
ko:K02410	amad:I636_05290
ko:K02411	amad:I636_05295
ko:K02412	amad:I636_05300
ko:K02413	amad:I636_05305
ko:K02415	amad:I636_05315
ko:K02416	amad:I636_05320
ko:K02417	amad:I636_05325
ko:K02418	amad:I636_05330
ko:K02419	amad:I636_05335
ko:K02420	amad:I636_05340
ko:K02421	amad:I636_05345
ko:K02401	amad:I636_05350
ko:K02400	amad:I636_05355
ko:K02404	amad:I636_05360
ko:K04562	amad:I636_05365
ko:K02405	amad:I636_05370
ko:K03413	amad:I636_05375
ko:K03414	amad:I636_05380
ko:K03407	amad:I636_05385
ko:K03412	amad:I636_05390
ko:K03408	amad:I636_05400
ko:K03408	amad:I636_05405
ko:K00651	amad:I636_05415
ko:K09913	amad:I636_05435
ko:K03576	amad:I636_05440
ko:K04761	amad:I636_05445
ko:K01673	amad:I636_05450
ko:K03321	amad:I636_05460
ko:K02167	amad:I636_05470
ko:K09919	amad:I636_05480
ko:K03565	amad:I636_05485
ko:K01872	amad:I636_05490
ko:K03563	amad:I636_05495
ko:K01573	amad:I636_05500
ko:K03168	amad:I636_09610
ko:K00931	amad:I636_09620
ko:K00147	amad:I636_09625
ko:K00962	amad:I636_09640
ko:K03088	amad:I636_09755
ko:K05803	amad:I636_09770
ko:K06203	amad:I636_09780
ko:K03529	amad:I636_09785
ko:K03528	amad:I636_09790
ko:K01972	amad:I636_09795
ko:K09928	amad:I636_09800
ko:K00912	amad:I636_09815
ko:K09791	amad:I636_09820
ko:K00979	amad:I636_09825
ko:K14441	amad:I636_09835
ko:K06911	amad:I636_09860
ko:K02616	amad:I636_13975
ko:K09456	amad:I636_13980
ko:K05851	amad:I636_14020
ko:K13483	amad:I636_14055
ko:K11178	amad:I636_14060
ko:K11177	amad:I636_14065
ko:K05520	amad:I636_14095
ko:K07058	amad:I636_14100
ko:K03291	amad:I636_14140
ko:K03654	amad:I636_14155
ko:K00324	amad:I636_18345
ko:K00324	amad:I636_18350
ko:K16087	amad:I636_18390
ko:K03088	amad:I636_18405
ko:K02300	amad:I636_18430
ko:K02299	amad:I636_18435
ko:K02298	amad:I636_18440
ko:K02297	amad:I636_18445
ko:K03168	amad:I636_01805
ko:K00931	amad:I636_01815
ko:K00147	amad:I636_01820
ko:K03981	amad:I636_06095
ko:K03630	amad:I636_06210
ko:K07240	amad:I636_06235
ko:K02402	amad:I636_06260
ko:K02403	amad:I636_06265
ko:K02837	amad:I636_06295
ko:K01887	amad:I636_06300
ko:K01738	amad:I636_06320
ko:K02836	amad:I636_06365
ko:K04567	amad:I636_06370
ko:K00077	amad:I636_06375
ko:K03594	amad:I636_10425
ko:K03594	amad:I636_10430
ko:K00404	amad:I636_10440
ko:K00405	amad:I636_10445
ko:K00407	amad:I636_10450
ko:K00406	amad:I636_10455
ko:K09926	amad:I636_10460
ko:K09792	amad:I636_10475
ko:K14055	amad:I636_10485
ko:K14058	amad:I636_10490
ko:K07001	amad:I636_10495
ko:K12410	amad:I636_10520
ko:K11065	amad:I636_10530
ko:K00995	amad:I636_10540
ko:K03703	amad:I636_10545
ko:K07689	amad:I636_10550
ko:K15977	amad:I636_10570
ko:K07235	amad:I636_10595
ko:K07236	amad:I636_10600
ko:K01875	amad:I636_10630
ko:K06199	amad:I636_10635
ko:K07478	amad:I636_10640
ko:K03634	amad:I636_10645
ko:K03466	amad:I636_10650
ko:K00259	amad:I636_10660
ko:K01591	amad:I636_10665
ko:K09861	amad:I636_14795
ko:K03648	amad:I636_14805
ko:K01733	amad:I636_14810
ko:K00872	amad:I636_14815
ko:K12524	amad:I636_14820
ko:K03701	amad:I636_14825
ko:K00906	amad:I636_14870
ko:K13747	amad:I636_14940
ko:K07056	amad:I636_14950
ko:K07121	amad:I636_14955
ko:K07460	amad:I636_14960
ko:K07778	amad:I636_14995
ko:K07693	amad:I636_15000
ko:K09986	amad:I636_19210
ko:K00762	amad:I636_19245
ko:K00989	amad:I636_19250
ko:K03427	amad:I636_19310
ko:K01153	amad:I636_19315
ko:K07733	amad:I636_19330
ko:K03924	amad:I636_19370
ko:K00154	amad:I636_19410
ko:K07154	amad:I636_19465
ko:K09897	amad:I636_02540
ko:K01652	amad:I636_02545
ko:K01653	amad:I636_02550
ko:K03116	amad:I636_02560
ko:K03117	amad:I636_02565
ko:K03118	amad:I636_02570
ko:K03424	amad:I636_02580
ko:K01698	amad:I636_02590
ko:K01524	amad:I636_02595
ko:K03732	amad:I636_02600
ko:K03671	amad:I636_02605
ko:K03628	amad:I636_02610
ko:K03313	amad:I636_02625
ko:K01588	amad:I636_02630
ko:K01589	amad:I636_02635
ko:K04047	amad:I636_02645
ko:K07711	amad:I636_06940
ko:K07715	amad:I636_06950
ko:K01876	amad:I636_06975
ko:K08310	amad:I636_06980
ko:K01159	amad:I636_06985
ko:K03550	amad:I636_06990
ko:K03551	amad:I636_06995
ko:K07107	amad:I636_07000
ko:K03562	amad:I636_07005
ko:K03641	amad:I636_07020
ko:K03640	amad:I636_07025
ko:K03517	amad:I636_07040
ko:K00077	amad:I636_07075
ko:K06996	amad:I636_07090
ko:K00133	amad:I636_07095
ko:K12262	amad:I636_07105
ko:K07043	amad:I636_07130
ko:K16090	amad:I636_07155
ko:K14260	amad:I636_11225
ko:K01129	amad:I636_11295
ko:K17247	amad:I636_11305
ko:K09858	amad:I636_11320
ko:K02018	amad:I636_11375
ko:K02020	amad:I636_11380
ko:K03636	amad:I636_11390
ko:K03637	amad:I636_11395
ko:K03638	amad:I636_11400
ko:K06987	amad:I636_11410
ko:K00817	amad:I636_11445
ko:K00549	amad:I636_11460
ko:K11939	amad:I636_11475
ko:K07226	amad:I636_15615
ko:K02013	amad:I636_15620
ko:K02015	amad:I636_15625
ko:K02016	amad:I636_15630
ko:K16089	amad:I636_15640
ko:K02440	amad:I636_15650
ko:K01251	amad:I636_15705
ko:K07088	amad:I636_15720
ko:K06136	amad:I636_15765
ko:K06137	amad:I636_15770
ko:K06139	amad:I636_15780
ko:K00140	amad:I636_15845
ko:K02168	amad:I636_15855
ko:K03088	amad:I636_15860
ko:K03777	amad:I636_15890
ko:K04077	amad:I636_18480
ko:K04078	amad:I636_18485
ko:K07113	amad:I636_18490
ko:K03926	amad:I636_18495
ko:K04084	amad:I636_18500
ko:K03786	amad:I636_18510
ko:K02160	amad:I636_18515
ko:K01961	amad:I636_18520
ko:K07340	amad:I636_14245
ko:K02687	amad:I636_18575
ko:K03557	amad:I636_18585
ko:K00602	amad:I636_18590
ko:K01945	amad:I636_18600
ko:K10716	amad:I636_18615
ko:K00855	amad:I636_18620
ko:K14219	amad:I636_t19699
ko:K14219	amad:I636_t19743
ko:K00962	amad:I636_01835
ko:K09948	amad:I636_01840
ko:K01194	amad:I636_01910
ko:K00826	amad:I636_01995
ko:K01681	amad:I636_02010
ko:K02946	amad:I636_02025
ko:K02906	amad:I636_02030
ko:K02926	amad:I636_02035
ko:K02892	amad:I636_02040
ko:K02886	amad:I636_02045
ko:K02965	amad:I636_02050
ko:K02890	amad:I636_02055
ko:K02982	amad:I636_02060
ko:K02878	amad:I636_02065
ko:K02904	amad:I636_02070
ko:K02961	amad:I636_02075
ko:K02527	amad:I636_02090
ko:K01919	amad:I636_06395
ko:K07320	amad:I636_06425
ko:K01736	amad:I636_06430
ko:K05820	amad:I636_06435
ko:K09786	amad:I636_06445
ko:K07180	amad:I636_06450
ko:K04564	amad:I636_06455
ko:K07390	amad:I636_06460
ko:K03088	amad:I636_06470
ko:K02192	amad:I636_06485
ko:K03683	amad:I636_06495
ko:K01126	amad:I636_06505
ko:K03704	amad:I636_06515
ko:K10773	amad:I636_06530
ko:K03702	amad:I636_06570
ko:K06920	amad:I636_06580
ko:K10026	amad:I636_06585
ko:K01953	amad:I636_06595
ko:K00860	amad:I636_06635
ko:K00957	amad:I636_06640
ko:K05788	amad:I636_10685
ko:K02945	amad:I636_10690
ko:K00945	amad:I636_10695
ko:K05782	amad:I636_03525
ko:K03554	amad:I636_03535
ko:K07636	amad:I636_03550
ko:K02040	amad:I636_03555
ko:K03561	amad:I636_03575
ko:K03561	amad:I636_03580
ko:K03832	amad:I636_03590
ko:K01682	amad:I636_03625
ko:K01682	amad:I636_03645
ko:K09005	amad:I636_03650
ko:K00928	amad:I636_03655
ko:K06195	amad:I636_03670
ko:K02528	amad:I636_03675
ko:K00097	amad:I636_03680
ko:K03771	amad:I636_03685
ko:K04744	amad:I636_03690
ko:K05801	amad:I636_03695
ko:K03981	amad:I636_03705
ko:K07462	amad:I636_03710
ko:K03584	amad:I636_03720
ko:K03474	amad:I636_03725
ko:K00997	amad:I636_03730
ko:K03215	amad:I636_03735
ko:K09790	amad:I636_03750
ko:K00021	amad:I636_03755
ko:K09707	amad:I636_07970
ko:K06996	amad:I636_07975
ko:K00457	amad:I636_07980
ko:K00451	amad:I636_07985
ko:K03531	amad:I636_08005
ko:K07302	amad:I636_08035
ko:K07127	amad:I636_08060
ko:K16840	amad:I636_08065
ko:K07402	amad:I636_08070
ko:K13482	amad:I636_08075
ko:K13481	amad:I636_08080
ko:K06901	amad:I636_08105
ko:K16345	amad:I636_08150
ko:K02083	amad:I636_08160
ko:K15461	amad:I636_12335
ko:K05776	amad:I636_12405
ko:K02106	amad:I636_12410
ko:K09906	amad:I636_12440
ko:K07107	amad:I636_12455
ko:K01354	amad:I636_12530
ko:K03603	amad:I636_12535
ko:K03314	amad:I636_12540
ko:K03611	amad:I636_12545
ko:K03790	amad:I636_12550
ko:K09160	amad:I636_12560
ko:K09902	amad:I636_12575
ko:K03684	amad:I636_12580
ko:K07285	amad:I636_12595
ko:K02313	amad:I636_00005
ko:K02338	amad:I636_00010
ko:K03629	amad:I636_00015
ko:K02470	amad:I636_00020
ko:K01879	amad:I636_00030
ko:K01878	amad:I636_00035
ko:K01246	amad:I636_00040
ko:K09894	amad:I636_00050
ko:K03978	amad:I636_00065
ko:K03500	amad:I636_00090
ko:K00604	amad:I636_00095
ko:K01462	amad:I636_00100
ko:K04096	amad:I636_00110
ko:K07479	amad:I636_00120
ko:K07566	amad:I636_00125
ko:K00228	amad:I636_00130
ko:K07275	amad:I636_00135
ko:K06886	amad:I636_00140
ko:K00014	amad:I636_00145
ko:K05590	amad:I636_04525
ko:K02451	amad:I636_04540
ko:K01704	amad:I636_04550
ko:K01703	amad:I636_04555
ko:K00052	amad:I636_04560
ko:K01649	amad:I636_04565
ko:K01689	amad:I636_04575
ko:K01937	amad:I636_04580
ko:K03555	amad:I636_04585
ko:K04061	amad:I636_04610
ko:K02194	amad:I636_04625
ko:K02195	amad:I636_04630
ko:K02196	amad:I636_04635
ko:K02197	amad:I636_04640
ko:K02198	amad:I636_04645
ko:K02199	amad:I636_04650
ko:K08300	amad:I636_08770
ko:K01091	amad:I636_08780
ko:K07040	amad:I636_08790
ko:K02911	amad:I636_08795
ko:K03621	amad:I636_08800
ko:K00648	amad:I636_08805
ko:K00645	amad:I636_08810
ko:K02078	amad:I636_08820
ko:K09458	amad:I636_08825
ko:K07082	amad:I636_08835
ko:K00943	amad:I636_08840
ko:K02341	amad:I636_08845
ko:K03424	amad:I636_08850
ko:K01283	amad:I636_08870
ko:K09940	amad:I636_08875
ko:K07516	amad:I636_08895
ko:K09748	amad:I636_08985
ko:K02600	amad:I636_08990
ko:K02519	amad:I636_08995
ko:K02834	amad:I636_09000
ko:K02956	amad:I636_09015
ko:K06182	amad:I636_09020
ko:K02680	amad:I636_13130
ko:K02655	amad:I636_13145
ko:K02673	amad:I636_13155
ko:K02672	amad:I636_13160
ko:K02671	amad:I636_13165
ko:K03527	amad:I636_13170
ko:K03774	amad:I636_13175
ko:K03101	amad:I636_13180
ko:K01870	amad:I636_13185
ko:K11753	amad:I636_13190
ko:K03980	amad:I636_13195
ko:K02968	amad:I636_13200
ko:K03453	amad:I636_13220
ko:K03770	amad:I636_13250
ko:K03530	amad:I636_13255
ko:K01338	amad:I636_13265
ko:K03544	amad:I636_13270
ko:K01358	amad:I636_13275
ko:K03545	amad:I636_13280
ko:K01058	amad:I636_13295
ko:K01951	amad:I636_13310
ko:K03601	amad:I636_13320
ko:K03977	amad:I636_13335
ko:K01892	amad:I636_13350
ko:K15539	amad:I636_13360
ko:K02656	amad:I636_13365
ko:K06941	amad:I636_13370
ko:K07560	amad:I636_17525
ko:K03089	amad:I636_17535
ko:K09811	amad:I636_17550
ko:K09812	amad:I636_17555
ko:K03110	amad:I636_17560
ko:K07751	amad:I636_17565
ko:K06206	amad:I636_17570
ko:K06204	amad:I636_17575
ko:K01894	amad:I636_17580
ko:K00950	amad:I636_17590
ko:K00606	amad:I636_17595
ko:K01918	amad:I636_17600
ko:K16090	amad:I636_17645
ko:K07089	amad:I636_17670
ko:K06200	amad:I636_17675
ko:K02355	amad:I636_17695
ko:K02992	amad:I636_17700
ko:K02950	amad:I636_17705
ko:K03046	amad:I636_17710
ko:K03043	amad:I636_17715
ko:K02935	amad:I636_17720
ko:K02864	amad:I636_17725
ko:K02863	amad:I636_17730
ko:K02867	amad:I636_17735
ko:K02601	amad:I636_17755
ko:K03073	amad:I636_17760
ko:K09964	amad:I636_17780
ko:K01990	amad:I636_15750
ko:K01990	amad:I636_17630
ko:K14221	amad:I636_t19707
ko:K14221	amad:I636_t19713
ko:K14221	amad:I636_t19711
ko:K14221	amad:I636_t19709
ko:K01977	amad:I636_r19775
ko:K01977	amad:I636_r19777
ko:K01977	amad:I636_r19781
ko:K01977	amad:I636_r19783
ko:K01977	amad:I636_r19779
ko:K14218	amad:I636_t19647
ko:K14218	amad:I636_t19735
ko:K14218	amad:I636_t19751
ko:K01980	amad:I636_r19785
ko:K14219	amad:I636_t19651
ko:K14225	amad:I636_t19655
ko:K14225	amad:I636_t19725
ko:K14234	amad:I636_t19657
ko:K14234	amad:I636_t19759
ko:K01985	amad:I636_r19763
ko:K01985	amad:I636_r19771
ko:K01985	amad:I636_r19769
ko:K01985	amad:I636_r19767
ko:K01985	amad:I636_r19773
ko:K01985	amad:I636_r19765
ko:K01980	amad:I636_r19787
ko:K14230	amad:I636_t19701
ko:K01980	amad:I636_r19789
ko:K01980	amad:I636_r19791
ko:K01980	amad:I636_r19793
ko:K14225	amad:I636_t19755
ko:K01992	amad:I636_00580
ko:K01992	amad:I636_15755
ko:K01992	amad:I636_17625
ko:K07245	amad:I636_01410
ko:K14231	amad:I636_t19653
ko:K14230	amad:I636_t19659
ko:K14219	amad:I636_t19661
ko:K14233	amad:I636_t19663
ko:K14219	amad:I636_t19665
ko:K14219	amad:I636_t19667
ko:K14235	amad:I636_t19669
ko:K14235	amad:I636_t19761
ko:K14220	amad:I636_t19671
ko:K14220	amad:I636_t19673
ko:K14229	amad:I636_t19675
ko:K14229	amad:I636_t19677
ko:K14233	amad:I636_t19679
ko:K14237	amad:I636_t19681
ko:K14218	amad:I636_t19683
ko:K14228	amad:I636_t19695
ko:K14228	amad:I636_t19739
ko:K14237	amad:I636_t19705
ko:K14230	amad:I636_t19715
ko:K14230	amad:I636_t19717
ko:K14228	amad:I636_t19719
ko:K14228	amad:I636_t19721
ko:K14222	amad:I636_t19723
ko:K14233	amad:I636_t19727
ko:K14233	amad:I636_t19729
ko:K14232	amad:I636_t19731
ko:K14226	amad:I636_t19697
ko:K14226	amad:I636_t19741
ko:K14232	amad:I636_t19737
ko:K14232	amad:I636_t19745
ko:K14228	amad:I636_t19747
ko:K14234	amad:I636_t19753
ko:K14236	amad:I636_t19757
ko:K07576	amad:I636_15690
ko:K17686	amad:I636_01550
ko:K01507	amad:I636_01020
ko:K06889	amad:I636_01070
ko:K01785	amad:I636_01085
ko:K03307	amad:I636_01100
ko:K01784	amad:I636_01120
ko:K12279	amad:I636_01170
ko:K12280	amad:I636_01180
ko:K12281	amad:I636_01185
ko:K12282	amad:I636_01190
ko:K12283	amad:I636_01195
ko:K12284	amad:I636_01200
ko:K12276	amad:I636_01205
ko:K12278	amad:I636_01210
ko:K10925	amad:I636_01220
ko:K10924	amad:I636_01225
ko:K10926	amad:I636_01230
ko:K10927	amad:I636_01235
ko:K12285	amad:I636_01240
ko:K12286	amad:I636_01245
ko:K01572	amad:I636_05510
ko:K00241	amad:I636_09880
ko:K02014	amad:I636_09920
ko:K07116	amad:I636_09995
ko:K04774	amad:I636_10000
ko:K02653	amad:I636_14440
ko:K03574	amad:I636_14470
ko:K02454	amad:I636_18680
ko:K02463	amad:I636_18725
ko:K00135	amad:I636_18735
ko:K01082	amad:I636_18755
ko:K09898	amad:I636_18780
ko:K07019	amad:I636_18785
ko:K00854	amad:I636_18915
ko:K02014	amad:I636_03235
ko:K02014	amad:I636_03250
ko:K02303	amad:I636_03330
ko:K03406	amad:I636_03340
ko:K15576	amad:I636_03345
ko:K15577	amad:I636_03350
ko:K15578	amad:I636_03355
ko:K01409	amad:I636_03480
ko:K02014	amad:I636_07730
ko:K01835	amad:I636_07910
ko:K03593	amad:I636_12110
ko:K03442	amad:I636_12120
ko:K03768	amad:I636_12165
ko:K08086	amad:I636_12280
ko:K00647	amad:I636_12320
ko:K02014	amad:I636_16480
ko:K09020	amad:I636_16510
ko:K03317	amad:I636_16660
ko:K02342	amad:I636_16685
ko:K07182	amad:I636_16690
ko:K14227	amad:I636_t19649
ko:K14227	amad:I636_t19733
ko:K14227	amad:I636_t19749
ko:K14224	amad:I636_t19685
ko:K14224	amad:I636_t19687
ko:K14224	amad:I636_t19691
ko:K14224	amad:I636_t19689
ko:K07657	amad:I636_03545
ko:K01243	amad:I636_03630
ko:K03406	amad:I636_03660
ko:K01525	amad:I636_03665
ko:K04763	amad:I636_03700
ko:K04765	amad:I636_03745
ko:K01439	amad:I636_07955
ko:K02014	amad:I636_08145
ko:K00657	amad:I636_12360
ko:K00219	amad:I636_12470
ko:K01692	amad:I636_12475
ko:K08305	amad:I636_12570
ko:K05844	amad:I636_16715
ko:K14683	amad:I636_16750
ko:K03406	amad:I636_16800
ko:K12287	amad:I636_01250
ko:K00564	amad:I636_01325
ko:K07665	amad:I636_01365
ko:K06282	amad:I636_01500
ko:K06281	amad:I636_01505
ko:K04652	amad:I636_01525
ko:K03442	amad:I636_05810
ko:K02342	amad:I636_05825
ko:K07126	amad:I636_05940
ko:K07213	amad:I636_06080
ko:K00830	amad:I636_10275
ko:K03442	amad:I636_14670
ko:K00219	amad:I636_14730
ko:K00799	amad:I636_14745
ko:K04063	amad:I636_14755
ko:K07304	amad:I636_14760
ko:K00616	amad:I636_18920
ko:K01181	amad:I636_18950
ko:K01209	amad:I636_18955
ko:K02258	amad:I636_19065
ko:K02274	amad:I636_19070
ko:K02806	amad:I636_03885
ko:K02067	amad:I636_03940
ko:K11105	amad:I636_04010
ko:K03298	amad:I636_04020
ko:K03793	amad:I636_08215
ko:K03606	amad:I636_08250
ko:K01104	amad:I636_08270
ko:K07017	amad:I636_12715
ko:K07263	amad:I636_12725
ko:K00939	amad:I636_12755
ko:K01113	amad:I636_17210
ko:K04655	amad:I636_01540
ko:K15725	amad:I636_01615
ko:K15727	amad:I636_01620
ko:K03307	amad:I636_01810
ko:K03796	amad:I636_10505
ko:K01011	amad:I636_10525
ko:K05812	amad:I636_10535
ko:K11179	amad:I636_10610
ko:K00121	amad:I636_14835
ko:K03325	amad:I636_14860
ko:K01488	amad:I636_14905
ko:K12961	amad:I636_14970
ko:K04085	amad:I636_19240
ko:K07114	amad:I636_19385
ko:K07114	amad:I636_19390
ko:K03406	amad:I636_04190
ko:K01479	amad:I636_04225
ko:K00626	amad:I636_08570
ko:K09749	amad:I636_08590
ko:K03469	amad:I636_08675
ko:K02342	amad:I636_08680
ko:K07167	amad:I636_12875
ko:K03803	amad:I636_13050
ko:K01916	amad:I636_13110
ko:K00383	amad:I636_17365
ko:K01560	amad:I636_01890
ko:K05499	amad:I636_01950
ko:K01834	amad:I636_02000
ko:K09705	amad:I636_02005
ko:K06177	amad:I636_06380
ko:K07263	amad:I636_06390
ko:K02014	amad:I636_06465
ko:K03386	amad:I636_06490
ko:K01759	amad:I636_06510
ko:K03613	amad:I636_06535
ko:K03612	amad:I636_06540
ko:K03614	amad:I636_06545
ko:K03615	amad:I636_06550
ko:K03616	amad:I636_06555
ko:K03617	amad:I636_06560
ko:K01082	amad:I636_06630
ko:K08992	amad:I636_10675
ko:K00568	amad:I636_10715
ko:K03548	amad:I636_10780
ko:K06445	amad:I636_10835
ko:K08981	amad:I636_15080
ko:K09167	amad:I636_15085
ko:K01243	amad:I636_15120
ko:K06858	amad:I636_15130
ko:K01679	amad:I636_15180
ko:K02055	amad:I636_15300
ko:K00799	amad:I636_19515
ko:K02116	amad:I636_19565
ko:K03406	amad:I636_02110
ko:K08305	amad:I636_02140
ko:K01664	amad:I636_02275
ko:K02665	amad:I636_02330
ko:K00027	amad:I636_02355
ko:K11209	amad:I636_02370
ko:K01082	amad:I636_06675
ko:K03307	amad:I636_06690
ko:K07114	amad:I636_06720
ko:K07114	amad:I636_06725
ko:K01782	amad:I636_06750
ko:K06147	amad:I636_06845
ko:K02014	amad:I636_11095
ko:K01322	amad:I636_11105
ko:K03711	amad:I636_11165
ko:K03498	amad:I636_00080
ko:K03499	amad:I636_00085
ko:K03747	amad:I636_00115
ko:K02428	amad:I636_04520
ko:K00974	amad:I636_04530
ko:K02450	amad:I636_04535
ko:K03743	amad:I636_04590
ko:K09697	amad:I636_04600
ko:K09696	amad:I636_04605
ko:K02193	amad:I636_04620
ko:K02200	amad:I636_04655
ko:K02348	amad:I636_08755
ko:K06179	amad:I636_08775
ko:K00059	amad:I636_08815
ko:K02619	amad:I636_08830
ko:K00626	amad:I636_08900
ko:K00045	amad:I636_08935
ko:K01724	amad:I636_08970
ko:K03177	amad:I636_09005
ko:K02674	amad:I636_13150
ko:K03406	amad:I636_13305
ko:K00088	amad:I636_13315
ko:K01259	amad:I636_17520
ko:K00970	amad:I636_17585
ko:K01580	amad:I636_17605
ko:K07386	amad:I636_17775
ko:K02010	amad:I636_00760
ko:K03442	amad:I636_00765
ko:K03406	amad:I636_00890
ko:K00799	amad:I636_00920
ko:K01854	amad:I636_05245
ko:K10942	amad:I636_05270
ko:K10943	amad:I636_05275
ko:K02414	amad:I636_05310
ko:K00548	amad:I636_05425
ko:K07386	amad:I636_05475
ko:K01571	amad:I636_05505
ko:K03307	amad:I636_09615
ko:K01489	amad:I636_09765
ko:K02238	amad:I636_09805
ko:K11085	amad:I636_09810
ko:K07393	amad:I636_09855
ko:K06970	amad:I636_13955
ko:K01759	amad:I636_14045
ko:K02014	amad:I636_14075
ko:K03769	amad:I636_18420
ko:K02342	amad:I636_18540
ko:K01426	amad:I636_18565
ko:K14162	amad:I636_00180
ko:K10563	amad:I636_00270
