ko:K01006	lms:LMLG_2238
ko:K00215	lms:LMLG_2281
ko:K00656	lms:LMLG_2997
ko:K07007	lms:LMLG_2294
ko:K06973	lms:LMLG_2295
ko:K00800	lms:LMLG_2299
ko:K00817	lms:LMLG_2908
ko:K08170	lms:LMLG_0214
ko:K00831	lms:LMLG_0207
ko:K07078	lms:LMLG_0202
ko:K00865	lms:LMLG_0199
ko:K03534	lms:LMLG_0185
ko:K00848	lms:LMLG_0182
ko:K03217	lms:LMLG_0177
ko:K03536	lms:LMLG_0176
ko:K02914	lms:LMLG_0175
ko:K03088	lms:LMLG_2001
ko:K01421	lms:LMLG_1981
ko:K01442	lms:LMLG_1979
ko:K03924	lms:LMLG_2739
ko:K09703	lms:LMLG_2742
ko:K06941	lms:LMLG_2748
ko:K13653	lms:LMLG_2749
ko:K02911	lms:LMLG_2753
ko:K00014	lms:LMLG_2942
ko:K03785	lms:LMLG_2457
ko:K06978	lms:LMLG_2455
ko:K01808	lms:LMLG_2450
ko:K01783	lms:LMLG_2449
ko:K00995	lms:LMLG_1729
ko:K03823	lms:LMLG_1725
ko:K09769	lms:LMLG_1724
ko:K03555	lms:LMLG_1722
ko:K03572	lms:LMLG_1721
ko:K00656	lms:LMLG_1719
ko:K04069	lms:LMLG_1718
ko:K07727	lms:LMLG_1714
ko:K00075	lms:LMLG_2977
ko:K05847	lms:LMLG_1703
ko:K03322	lms:LMLG_1700
ko:K05846	lms:LMLG_2978
ko:K05845	lms:LMLG_2979
ko:K05846	lms:LMLG_1697
ko:K05847	lms:LMLG_1696
ko:K01714	lms:LMLG_1689
ko:K00928	lms:LMLG_1688
ko:K00133	lms:LMLG_1687
ko:K04564	lms:LMLG_2980
ko:K09816	lms:LMLG_1676
ko:K09817	lms:LMLG_1675
ko:K02250	lms:LMLG_0932
ko:K02768	lms:LMLG_0934
ko:K02769	lms:LMLG_0934
ko:K02770	lms:LMLG_0934
ko:K00299	lms:LMLG_0950
ko:K01421	lms:LMLG_0960
ko:K02313	lms:LMLG_0173
ko:K02338	lms:LMLG_0172
ko:K03629	lms:LMLG_0169
ko:K01921	lms:LMLG_2462
ko:K01929	lms:LMLG_1341
ko:K02529	lms:LMLG_1343
ko:K05592	lms:LMLG_1351
ko:K02759	lms:LMLG_1361
ko:K02760	lms:LMLG_1362
ko:K02761	lms:LMLG_1363
ko:K00231	lms:LMLG_1371
ko:K00997	lms:LMLG_1372
ko:K01775	lms:LMLG_1373
ko:K07723	lms:LMLG_1374
ko:K03321	lms:LMLG_1384
ko:K06959	lms:LMLG_1385
ko:K02761	lms:LMLG_1390
ko:K01945	lms:LMLG_1473
ko:K00602	lms:LMLG_1472
ko:K11175	lms:LMLG_1471
ko:K01933	lms:LMLG_1470
ko:K00764	lms:LMLG_1469
ko:K01952	lms:LMLG_1468
ko:K01952	lms:LMLG_1467
ko:K01952	lms:LMLG_1466
ko:K01923	lms:LMLG_1465
ko:K01756	lms:LMLG_1464
ko:K01589	lms:LMLG_1463
ko:K01588	lms:LMLG_1462
ko:K06950	lms:LMLG_2832
ko:K02013	lms:LMLG_2833
ko:K01142	lms:LMLG_2837
ko:K02887	lms:LMLG_2838
ko:K02916	lms:LMLG_2839
ko:K02520	lms:LMLG_2840
ko:K02884	lms:LMLG_2989
ko:K00554	lms:LMLG_2850
ko:K02860	lms:LMLG_2851
ko:K07010	lms:LMLG_2853
ko:K06960	lms:LMLG_2854
ko:K02959	lms:LMLG_2855
ko:K03106	lms:LMLG_2043
ko:K03110	lms:LMLG_2045
ko:K03529	lms:LMLG_2046
ko:K03685	lms:LMLG_2047
ko:K02078	lms:LMLG_2049
ko:K00645	lms:LMLG_2051
ko:K03621	lms:LMLG_2052
ko:K03655	lms:LMLG_2054
ko:K01752	lms:LMLG_2055
ko:K01752	lms:LMLG_2056
ko:K05878	lms:LMLG_1319
ko:K05879	lms:LMLG_1320
ko:K06187	lms:LMLG_1326
ko:K09747	lms:LMLG_1327
ko:K02343	lms:LMLG_1328
ko:K02761	lms:LMLG_1333
ko:K00426	lms:LMLG_0308
ko:K00425	lms:LMLG_0307
ko:K01895	lms:LMLG_0305
ko:K02768	lms:LMLG_0292
ko:K02769	lms:LMLG_0292
ko:K02770	lms:LMLG_0292
ko:K00865	lms:LMLG_0289
ko:K12410	lms:LMLG_0286
ko:K01875	lms:LMLG_0278
ko:K02761	lms:LMLG_0750
ko:K02760	lms:LMLG_0749
ko:K02759	lms:LMLG_0747
ko:K03707	lms:LMLG_0735
ko:K00878	lms:LMLG_0734
ko:K00941	lms:LMLG_0733
ko:K00788	lms:LMLG_0732
ko:K01223	lms:LMLG_0731
ko:K00615	lms:LMLG_0707
ko:K01808	lms:LMLG_0704
ko:K01803	lms:LMLG_0703
ko:K05879	lms:LMLG_0702
ko:K05878	lms:LMLG_0701
ko:K02769	lms:LMLG_2631
ko:K02770	lms:LMLG_2631
ko:K01624	lms:LMLG_2630
ko:K04094	lms:LMLG_0975
ko:K03733	lms:LMLG_0974
ko:K01419	lms:LMLG_0973
ko:K03667	lms:LMLG_0972
ko:K03706	lms:LMLG_0971
ko:K07107	lms:LMLG_0969
ko:K08591	lms:LMLG_0966
ko:K02622	lms:LMLG_2883
ko:K02621	lms:LMLG_2884
ko:K07173	lms:LMLG_2885
ko:K01126	lms:LMLG_2668
ko:K00111	lms:LMLG_2669
ko:K00791	lms:LMLG_2670
ko:K03666	lms:LMLG_2671
ko:K03665	lms:LMLG_2672
ko:K01915	lms:LMLG_2675
ko:K03893	lms:LMLG_2676
ko:K01356	lms:LMLG_2678
ko:K00615	lms:LMLG_2681
ko:K09903	lms:LMLG_2972
ko:K02838	lms:LMLG_1896
ko:K00806	lms:LMLG_1897
ko:K00981	lms:LMLG_1898
ko:K00099	lms:LMLG_1899
ko:K11749	lms:LMLG_1900
ko:K01881	lms:LMLG_1901
ko:K03763	lms:LMLG_1902
ko:K09748	lms:LMLG_1903
ko:K02600	lms:LMLG_1904
ko:K07742	lms:LMLG_1905
ko:K02519	lms:LMLG_1907
ko:K02834	lms:LMLG_1909
ko:K11753	lms:LMLG_1911
ko:K02956	lms:LMLG_1912
ko:K00962	lms:LMLG_2973
ko:K06949	lms:LMLG_1915
ko:K03671	lms:LMLG_2200
ko:K08177	lms:LMLG_2181
ko:K08600	lms:LMLG_0835
ko:K02013	lms:LMLG_0836
ko:K02015	lms:LMLG_3005
ko:K02016	lms:LMLG_0839
ko:K08602	lms:LMLG_0843
ko:K15581	lms:LMLG_0850
ko:K15580	lms:LMLG_0851
ko:K01867	lms:LMLG_0853
ko:K07726	lms:LMLG_1568
ko:K02529	lms:LMLG_1569
ko:K01783	lms:LMLG_1570
ko:K01808	lms:LMLG_1571
ko:K01223	lms:LMLG_1574
ko:K15975	lms:LMLG_1594
ko:K06999	lms:LMLG_1595
ko:K03665	lms:LMLG_1597
ko:K03800	lms:LMLG_1599
ko:K01118	lms:LMLG_1623
ko:K02551	lms:LMLG_1199
ko:K02548	lms:LMLG_1202
ko:K00549	lms:LMLG_1206
ko:K01845	lms:LMLG_1556
ko:K10780	lms:LMLG_1553
ko:K03575	lms:LMLG_1552
ko:K03565	lms:LMLG_1548
ko:K07071	lms:LMLG_1547
ko:K14205	lms:LMLG_1546
ko:K03790	lms:LMLG_1543
ko:K07058	lms:LMLG_1535
ko:K02996	lms:LMLG_1214
ko:K02871	lms:LMLG_1215
ko:K06173	lms:LMLG_1216
ko:K07507	lms:LMLG_1220
ko:K02879	lms:LMLG_1223
ko:K03040	lms:LMLG_1224
ko:K02948	lms:LMLG_1225
ko:K02952	lms:LMLG_1226
ko:K02518	lms:LMLG_3019
ko:K03076	lms:LMLG_1231
ko:K02876	lms:LMLG_1232
ko:K02907	lms:LMLG_1233
ko:K02988	lms:LMLG_1234
ko:K02881	lms:LMLG_1235
ko:K02933	lms:LMLG_1236
ko:K02994	lms:LMLG_1237
ko:K02954	lms:LMLG_1238
ko:K02931	lms:LMLG_1239
ko:K02895	lms:LMLG_1240
ko:K02874	lms:LMLG_1241
ko:K02961	lms:LMLG_1242
ko:K02904	lms:LMLG_1243
ko:K02878	lms:LMLG_1244
ko:K02982	lms:LMLG_1245
ko:K02890	lms:LMLG_1246
ko:K02965	lms:LMLG_1247
ko:K02886	lms:LMLG_1248
ko:K02892	lms:LMLG_1249
ko:K02926	lms:LMLG_1250
ko:K02906	lms:LMLG_1251
ko:K02946	lms:LMLG_1252
ko:K03734	lms:LMLG_1256
ko:K03885	lms:LMLG_1258
ko:K14229	lms:LMLG_3501
ko:K14219	lms:LMLG_3539
ko:K10716	lms:LMLG_0369
ko:K14218	lms:LMLG_3510
ko:K14218	lms:LMLG_3565
ko:K14218	lms:LMLG_3560
ko:K14218	lms:LMLG_3530
ko:K14224	lms:LMLG_3514
ko:K14224	lms:LMLG_3518
ko:K14224	lms:LMLG_3557
ko:K14224	lms:LMLG_3541
ko:K14232	lms:LMLG_3509
ko:K14232	lms:LMLG_3531
ko:K14235	lms:LMLG_3551
ko:K02755	lms:LMLG_2354
ko:K02756	lms:LMLG_2354
ko:K02757	lms:LMLG_2354
ko:K02017	lms:LMLG_2350
ko:K03635	lms:LMLG_2345
ko:K02004	lms:LMLG_2325
ko:K01092	lms:LMLG_2320
ko:K01958	lms:LMLG_2313
ko:K09693	lms:LMLG_2310
ko:K00805	lms:LMLG_0503
ko:K00805	lms:LMLG_0501
ko:K01104	lms:LMLG_0498
ko:K01424	lms:LMLG_0493
ko:K05337	lms:LMLG_2999
ko:K03783	lms:LMLG_0478
ko:K04763	lms:LMLG_0476
ko:K03711	lms:LMLG_0475
ko:K01515	lms:LMLG_0466
ko:K07048	lms:LMLG_0461
ko:K03475	lms:LMLG_0460
ko:K02822	lms:LMLG_0459
ko:K02821	lms:LMLG_0458
ko:K00784	lms:LMLG_0454
ko:K14230	lms:LMLG_3528
ko:K03478	lms:LMLG_2394
ko:K09685	lms:LMLG_2393
ko:K02005	lms:LMLG_2392
ko:K02004	lms:LMLG_2390
ko:K01771	lms:LMLG_2384
ko:K11031	lms:LMLG_2383
ko:K00016	lms:LMLG_2374
ko:K03708	lms:LMLG_0830
ko:K09698	lms:LMLG_0822
ko:K13921	lms:LMLG_1098
ko:K04720	lms:LMLG_1095
ko:K03399	lms:LMLG_1066
ko:K02190	lms:LMLG_1058
ko:K02009	lms:LMLG_1055
ko:K08724	lms:LMLG_0391
ko:K08152	lms:LMLG_0387
ko:K07177	lms:LMLG_0378
ko:K07052	lms:LMLG_0358
ko:K06889	lms:LMLG_0354
ko:K01409	lms:LMLG_0352
ko:K05020	lms:LMLG_0335
ko:K03491	lms:LMLG_0751
ko:K01507	lms:LMLG_0710
ko:K00616	lms:LMLG_0706
ko:K00244	lms:LMLG_2634
ko:K03713	lms:LMLG_2674
ko:K09976	lms:LMLG_2682
ko:K09764	lms:LMLG_1908
ko:K03177	lms:LMLG_1910
ko:K07035	lms:LMLG_2206
ko:K01759	lms:LMLG_2184
ko:K01026	lms:LMLG_2180
ko:K10823	lms:LMLG_0847
ko:K15582	lms:LMLG_0849
ko:K05937	lms:LMLG_2039
ko:K15524	lms:LMLG_2025
ko:K01759	lms:LMLG_2020
ko:K07729	lms:LMLG_2008
ko:K01934	lms:LMLG_1919
ko:K00845	lms:LMLG_1922
ko:K02249	lms:LMLG_1924
ko:K02248	lms:LMLG_1925
ko:K01081	lms:LMLG_0030
ko:K00088	lms:LMLG_0028
ko:K02035	lms:LMLG_0025
ko:K02033	lms:LMLG_0024
ko:K02035	lms:LMLG_2930
ko:K09815	lms:LMLG_0007
ko:K01182	lms:LMLG_2401
ko:K01916	lms:LMLG_2576
ko:K06889	lms:LMLG_2593
ko:K01619	lms:LMLG_0436
ko:K02793	lms:LMLG_0434
ko:K07720	lms:LMLG_3001
ko:K09704	lms:LMLG_0419
ko:K01191	lms:LMLG_0418
ko:K01191	lms:LMLG_0416
ko:K07105	lms:LMLG_0410
ko:K02246	lms:LMLG_1927
ko:K02245	lms:LMLG_1928
ko:K02244	lms:LMLG_1929
ko:K02243	lms:LMLG_1930
ko:K01262	lms:LMLG_1938
ko:K00929	lms:LMLG_1955
ko:K00033	lms:LMLG_1964
ko:K01823	lms:LMLG_1971
ko:K02056	lms:LMLG_1736
ko:K06976	lms:LMLG_0864
ko:K07533	lms:LMLG_0876
ko:K03698	lms:LMLG_0877
ko:K01679	lms:LMLG_0883
ko:K12555	lms:LMLG_0887
ko:K00564	lms:LMLG_0805
ko:K01182	lms:LMLG_0799
ko:K01439	lms:LMLG_0788
ko:K08969	lms:LMLG_0764
ko:K07668	lms:LMLG_0763
ko:K07652	lms:LMLG_0762
ko:K02004	lms:LMLG_2967
ko:K06994	lms:LMLG_1032
ko:K03471	lms:LMLG_1030
ko:K02428	lms:LMLG_1018
ko:K04750	lms:LMLG_1014
ko:K03486	lms:LMLG_1000
ko:K01226	lms:LMLG_2969
ko:K00882	lms:LMLG_0332
ko:K02775	lms:LMLG_0331
ko:K00625	lms:LMLG_0324
ko:K07098	lms:LMLG_0320
ko:K02004	lms:LMLG_0311
ko:K07052	lms:LMLG_2224
ko:K02793	lms:LMLG_0066
ko:K02794	lms:LMLG_0066
ko:K02795	lms:LMLG_0065
ko:K06147	lms:LMLG_0054
ko:K06147	lms:LMLG_2928
ko:K07816	lms:LMLG_1458
ko:K00567	lms:LMLG_2866
ko:K03697	lms:LMLG_2868
ko:K07052	lms:LMLG_2873
ko:K11189	lms:LMLG_2881
ko:K08483	lms:LMLG_2882
ko:K00841	lms:LMLG_2804
ko:K05822	lms:LMLG_2799
ko:K06201	lms:LMLG_2792
ko:K11617	lms:LMLG_2789
ko:K11618	lms:LMLG_2788
ko:K03499	lms:LMLG_2887
ko:K03469	lms:LMLG_2251
ko:K03700	lms:LMLG_2263
ko:K02086	lms:LMLG_2267
ko:K00974	lms:LMLG_2279
ko:K00027	lms:LMLG_2289
ko:K04517	lms:LMLG_2998
ko:K00059	lms:LMLG_3025
ko:K00058	lms:LMLG_0208
ko:K04844	lms:LMLG_0198
ko:K02025	lms:LMLG_0193
ko:K01629	lms:LMLG_0184
ko:K01813	lms:LMLG_0183
ko:K06610	lms:LMLG_0181
ko:K06346	lms:LMLG_0178
ko:K11737	lms:LMLG_1624
ko:K00657	lms:LMLG_0165
ko:K00869	lms:LMLG_2921
ko:K01597	lms:LMLG_2922
ko:K00938	lms:LMLG_2923
ko:K02793	lms:LMLG_0153
ko:K02795	lms:LMLG_0151
ko:K06201	lms:LMLG_0148
ko:K02755	lms:LMLG_0147
ko:K02756	lms:LMLG_0147
ko:K02757	lms:LMLG_0147
ko:K01478	lms:LMLG_0124
ko:K07706	lms:LMLG_0117
ko:K00383	lms:LMLG_1395
ko:K00135	lms:LMLG_1402
ko:K03491	lms:LMLG_1407
ko:K00867	lms:LMLG_1411
ko:K01104	lms:LMLG_1427
ko:K02564	lms:LMLG_1447
ko:K07030	lms:LMLG_2057
ko:K00949	lms:LMLG_2060
ko:K02823	lms:LMLG_2077
ko:K02824	lms:LMLG_2081
ko:K07213	lms:LMLG_2094
ko:K03784	lms:LMLG_2098
ko:K03810	lms:LMLG_2100
ko:K07305	lms:LMLG_2101
ko:K07304	lms:LMLG_2102
ko:K03342	lms:LMLG_0275
ko:K07258	lms:LMLG_0271
ko:K00088	lms:LMLG_0267
ko:K02755	lms:LMLG_0252
ko:K02756	lms:LMLG_0252
ko:K02757	lms:LMLG_0252
ko:K03488	lms:LMLG_3024
ko:K03491	lms:LMLG_0241
ko:K02755	lms:LMLG_0238
ko:K02756	lms:LMLG_0238
ko:K02757	lms:LMLG_0238
ko:K03488	lms:LMLG_0237
ko:K02799	lms:LMLG_0226
ko:K02800	lms:LMLG_0226
ko:K01788	lms:LMLG_0224
ko:K02755	lms:LMLG_1573
ko:K02756	lms:LMLG_1573
ko:K02757	lms:LMLG_1573
ko:K07729	lms:LMLG_1584
ko:K07098	lms:LMLG_1598
ko:K09704	lms:LMLG_1600
ko:K02795	lms:LMLG_1618
ko:K02793	lms:LMLG_1621
ko:K03976	lms:LMLG_1628
ko:K08680	lms:LMLG_1198
ko:K02552	lms:LMLG_2986
ko:K01760	lms:LMLG_1204
ko:K09825	lms:LMLG_1558
ko:K07586	lms:LMLG_1554
ko:K03593	lms:LMLG_1208
ko:K01426	lms:LMLG_1221
ko:K00939	lms:LMLG_1230
ko:K01739	lms:LMLG_1205
ko:K01580	lms:LMLG_1978
ko:K10254	lms:LMLG_2747
ko:K00059	lms:LMLG_1731
ko:K02443	lms:LMLG_1720
ko:K00626	lms:LMLG_1711
ko:K01641	lms:LMLG_1710
ko:K06902	lms:LMLG_1708
ko:K05845	lms:LMLG_1702
ko:K05846	lms:LMLG_1702
ko:K00383	lms:LMLG_1691
ko:K07533	lms:LMLG_1679
ko:K02076	lms:LMLG_1677
ko:K15986	lms:LMLG_1674
ko:K06889	lms:LMLG_0924
ko:K00882	lms:LMLG_0935
ko:K03436	lms:LMLG_0936
ko:K01372	lms:LMLG_0937
ko:K06183	lms:LMLG_0941
ko:K02564	lms:LMLG_0958
ko:K01580	lms:LMLG_0963
ko:K02775	lms:LMLG_2440
ko:K01222	lms:LMLG_2416
ko:K01222	lms:LMLG_2783
ko:K01635	lms:LMLG_2786
ko:K02782	lms:LMLG_0506
ko:K02783	lms:LMLG_0506
ko:K02783	lms:LMLG_0507
ko:K01489	lms:LMLG_2566
ko:K02238	lms:LMLG_2545
ko:K06948	lms:LMLG_2536
ko:K01243	lms:LMLG_2714
ko:K07570	lms:LMLG_2662
ko:K02004	lms:LMLG_2660
ko:K03768	lms:LMLG_2655
ko:K05565	lms:LMLG_2653
ko:K05568	lms:LMLG_2650
ko:K05570	lms:LMLG_2648
ko:K00657	lms:LMLG_2170
ko:K04488	lms:LMLG_2161
ko:K07025	lms:LMLG_0600
ko:K03294	lms:LMLG_0614
ko:K07104	lms:LMLG_0615
ko:K07457	lms:LMLG_0627
ko:K03346	lms:LMLG_1768
ko:K10563	lms:LMLG_1765
ko:K06286	lms:LMLG_1114
ko:K06023	lms:LMLG_1831
ko:K07658	lms:LMLG_3018
ko:K02242	lms:LMLG_1863
ko:K02240	lms:LMLG_1864
ko:K07692	lms:LMLG_1867
ko:K02549	lms:LMLG_1872
ko:K02025	lms:LMLG_1345
ko:K01226	lms:LMLG_1347
ko:K09167	lms:LMLG_1369
ko:K08981	lms:LMLG_1370
ko:K07315	lms:LMLG_1379
ko:K03090	lms:LMLG_1382
ko:K03095	lms:LMLG_1386
ko:K03492	lms:LMLG_1391
ko:K01258	lms:LMLG_2835
ko:K01104	lms:LMLG_2042
ko:K09787	lms:LMLG_2044
ko:K00059	lms:LMLG_2050
ko:K00851	lms:LMLG_1337
ko:K16012	lms:LMLG_3023
ko:K16013	lms:LMLG_0309
ko:K04750	lms:LMLG_0301
ko:K01191	lms:LMLG_0291
ko:K08161	lms:LMLG_0284
ko:K00616	lms:LMLG_0282
ko:K07343	lms:LMLG_0279
ko:K03316	lms:LMLG_1641
ko:K11072	lms:LMLG_1645
ko:K11071	lms:LMLG_1646
ko:K11069	lms:LMLG_1648
ko:K01674	lms:LMLG_1655
ko:K02371	lms:LMLG_1658
ko:K00054	lms:LMLG_2491
ko:K07094	lms:LMLG_1477
ko:K06147	lms:LMLG_2481
ko:K07784	lms:LMLG_2480
ko:K00805	lms:LMLG_1260
ko:K00805	lms:LMLG_1261
ko:K01470	lms:LMLG_1267
ko:K07048	lms:LMLG_1268
ko:K01426	lms:LMLG_2468
ko:K03475	lms:LMLG_1269
ko:K07504	lms:LMLG_1523
ko:K09963	lms:LMLG_1522
ko:K02822	lms:LMLG_1270
ko:K02775	lms:LMLG_1287
ko:K02025	lms:LMLG_1507
ko:K02004	lms:LMLG_2988
ko:K02433	lms:LMLG_1482
ko:K01990	lms:LMLG_2212
ko:K07404	lms:LMLG_0522
ko:K01523	lms:LMLG_0525
ko:K01496	lms:LMLG_0526
ko:K03492	lms:LMLG_0539
ko:K07030	lms:LMLG_0554
ko:K06147	lms:LMLG_0572
ko:K06147	lms:LMLG_0573
ko:K02004	lms:LMLG_2727
ko:K00016	lms:LMLG_1796
ko:K04518	lms:LMLG_1794
ko:K07584	lms:LMLG_1789
ko:K02236	lms:LMLG_1780
ko:K01719	lms:LMLG_1775
ko:K11144	lms:LMLG_1769
ko:K01580	lms:LMLG_2138
ko:K03488	lms:LMLG_2136
ko:K07032	lms:LMLG_2134
ko:K06994	lms:LMLG_3015
ko:K09762	lms:LMLG_1820
ko:K01835	lms:LMLG_1823
ko:K01785	lms:LMLG_1824
ko:K01784	lms:LMLG_1825
ko:K00575	lms:LMLG_0656
ko:K00158	lms:LMLG_2904
ko:K03406	lms:LMLG_2905
ko:K01439	lms:LMLG_1141
ko:K00016	lms:LMLG_1191
ko:K09815	lms:LMLG_1195
ko:K02116	lms:LMLG_1889
ko:K07027	lms:LMLG_2760
ko:K03048	lms:LMLG_2532
ko:K02035	lms:LMLG_2522
ko:K02004	lms:LMLG_2509
ko:K07038	lms:LMLG_1551
ko:K16509	lms:LMLG_0846
ko:K03699	lms:LMLG_0287
ko:K01840	lms:LMLG_1350
ko:K01838	lms:LMLG_0200
ko:K11733	lms:LMLG_2950
ko:K01977	lms:LMLG_r35
ko:K01977	lms:LMLG_r15
ko:K01977	lms:LMLG_r50
ko:K01977	lms:LMLG_r45
ko:K01977	lms:LMLG_r55
ko:K01223	lms:LMLG_0782
ko:K01223	lms:LMLG_0793
ko:K06198	lms:LMLG_0844
ko:K02769	lms:LMLG_2215
ko:K01977	lms:LMLG_r10
ko:K15583	lms:LMLG_0848
ko:K14234	lms:LMLG_3563
ko:K16511	lms:LMLG_0845
ko:K01223	lms:LMLG_0263
ko:K02798	lms:LMLG_0228
ko:K01223	lms:LMLG_0538
ko:K02769	lms:LMLG_1997
ko:K16329	lms:LMLG_0939
ko:K16169	lms:LMLG_2255
ko:K05518	lms:LMLG_1383
ko:K16301	lms:LMLG_2623
ko:K05340	lms:LMLG_2876
ko:K05340	lms:LMLG_2000
ko:K16264	lms:LMLG_2516
ko:K02851	lms:LMLG_2956
ko:K07045	lms:LMLG_1356
ko:K16644	lms:LMLG_2381
ko:K15770	lms:LMLG_2226
ko:K15770	lms:LMLG_0802
ko:K15772	lms:LMLG_0800
ko:K07483	lms:LMLG_0630
ko:K01985	lms:LMLG_r60
ko:K01985	lms:LMLG_r65
ko:K01985	lms:LMLG_r80
ko:K01985	lms:LMLG_r75
ko:K01985	lms:LMLG_r70
ko:K01985	lms:LMLG_r85
ko:K13730	lms:LMLG_1991
ko:K13731	lms:LMLG_1990
ko:K15772	lms:LMLG_2228
ko:K15771	lms:LMLG_2227
ko:K16786	lms:LMLG_1219
ko:K02768	lms:LMLG_1998
ko:K02025	lms:LMLG_1601
ko:K02026	lms:LMLG_2405
ko:K16787	lms:LMLG_1218
ko:K16785	lms:LMLG_1217
ko:K09681	lms:LMLG_1503
ko:K00980	lms:LMLG_2572
ko:K16789	lms:LMLG_1695
ko:K02768	lms:LMLG_2028
ko:K02768	lms:LMLG_2214
ko:K02768	lms:LMLG_0596
ko:K02226	lms:LMLG_2820
ko:K02025	lms:LMLG_2406
ko:K13052	lms:LMLG_2367
ko:K00008	lms:LMLG_2442
ko:K10947	lms:LMLG_0564
ko:K01990	lms:LMLG_1577
ko:K07483	lms:LMLG_2486
ko:K04757	lms:LMLG_1381
ko:K07284	lms:LMLG_1417
ko:K10947	lms:LMLG_0694
ko:K03574	lms:LMLG_1009
ko:K01271	lms:LMLG_1749
ko:K03574	lms:LMLG_1142
ko:K16785	lms:LMLG_1254
ko:K01990	lms:LMLG_1516
ko:K03574	lms:LMLG_2663
ko:K02768	lms:LMLG_2632
ko:K11050	lms:LMLG_2695
ko:K16651	lms:LMLG_1094
ko:K02851	lms:LMLG_1871
ko:K18344	lms:LMLG_2327
ko:K07012	lms:LMLG_2423
ko:K16898	lms:LMLG_0929
ko:K01834	lms:LMLG_0860
ko:K02030	lms:LMLG_1500
ko:K14236	lms:LMLG_3543
ko:K14236	lms:LMLG_3552
ko:K14237	lms:LMLG_3567
ko:K02006	lms:LMLG_1053
ko:K14228	lms:LMLG_3505
ko:K14228	lms:LMLG_3535
ko:K14231	lms:LMLG_3524
ko:K14231	lms:LMLG_3553
ko:K18345	lms:LMLG_2326
ko:K11991	lms:LMLG_0306
ko:K07979	lms:LMLG_0901
ko:K10974	lms:LMLG_2741
ko:K02008	lms:LMLG_1054
ko:K14229	lms:LMLG_3504
ko:K14229	lms:LMLG_3545
ko:K14229	lms:LMLG_3536
ko:K01980	lms:LMLG_r00
ko:K01980	lms:LMLG_r05
ko:K01980	lms:LMLG_r25
ko:K01980	lms:LMLG_r40
ko:K01980	lms:LMLG_r20
ko:K01980	lms:LMLG_r30
ko:K14237	lms:LMLG_3502
ko:K14237	lms:LMLG_3538
ko:K14237	lms:LMLG_3556
ko:K14228	lms:LMLG_3507
ko:K14228	lms:LMLG_3533
ko:K14225	lms:LMLG_3506
ko:K14225	lms:LMLG_3534
ko:K14225	lms:LMLG_3548
ko:K14225	lms:LMLG_3516
ko:K14225	lms:LMLG_3522
ko:K14219	lms:LMLG_3508
ko:K14219	lms:LMLG_3532
ko:K14219	lms:LMLG_3517
ko:K14220	lms:LMLG_3512
ko:K14220	lms:LMLG_3564
ko:K14220	lms:LMLG_3520
ko:K14220	lms:LMLG_3559
ko:K14221	lms:LMLG_3515
ko:K14221	lms:LMLG_3554
ko:K14221	lms:LMLG_3525
ko:K14227	lms:LMLG_3521
ko:K14227	lms:LMLG_3566
ko:K14227	lms:LMLG_3561
ko:K14226	lms:LMLG_3523
ko:K14226	lms:LMLG_3550
ko:K14230	lms:LMLG_3526
ko:K14230	lms:LMLG_3555
ko:K14230	lms:LMLG_3529
ko:K14233	lms:LMLG_3527
ko:K14234	lms:LMLG_3542
ko:K14228	lms:LMLG_3540
ko:K14228	lms:LMLG_3546
ko:K14223	lms:LMLG_3544
ko:K14222	lms:LMLG_3547
ko:K14233	lms:LMLG_3558
ko:K14219	lms:LMLG_3562
ko:K04027	lms:LMLG_1081
ko:K16899	lms:LMLG_0930
ko:K16960	lms:LMLG_0945
ko:K16959	lms:LMLG_0946
ko:K16958	lms:LMLG_0947
ko:K16957	lms:LMLG_0948
ko:K11070	lms:LMLG_1647
ko:K10027	lms:LMLG_2877
ko:K01992	lms:LMLG_0884
ko:K01990	lms:LMLG_0885
ko:K02029	lms:LMLG_0911
ko:K02030	lms:LMLG_0911
ko:K02029	lms:LMLG_2470
ko:K02030	lms:LMLG_2470
ko:K17319	lms:LMLG_0422
ko:K17318	lms:LMLG_0424
ko:K02028	lms:LMLG_1499
ko:K01990	lms:LMLG_0872
ko:K13923	lms:LMLG_1104
ko:K01992	lms:LMLG_0468
ko:K01992	lms:LMLG_2211
ko:K02028	lms:LMLG_0912
ko:K02028	lms:LMLG_2469
ko:K17320	lms:LMLG_0423
ko:K00951	lms:LMLG_1807
ko:K00265	lms:LMLG_1504
ko:K08986	lms:LMLG_1410
ko:K01992	lms:LMLG_0871
ko:K01992	lms:LMLG_1592
ko:K17472	lms:LMLG_1815
ko:K01992	lms:LMLG_0638
ko:K01992	lms:LMLG_2701
ko:K01992	lms:LMLG_3010
ko:K10112	lms:LMLG_0773
ko:K14233	lms:LMLG_3511
ko:K14233	lms:LMLG_3513
ko:K14233	lms:LMLG_3519
ko:K14223	lms:LMLG_3549
ko:K17686	lms:LMLG_2095
ko:K01990	lms:LMLG_0255
ko:K01990	lms:LMLG_0467
ko:K01990	lms:LMLG_0637
ko:K01990	lms:LMLG_0900
ko:K01990	lms:LMLG_2702
ko:K01990	lms:LMLG_2925
ko:K01990	lms:LMLG_1157
ko:K01990	lms:LMLG_1412
