ko:K19744	pnc:NCGM2_5052
ko:K00242	pnc:NCGM2_2473
ko:K00239	pnc:NCGM2_2474
ko:K00240	pnc:NCGM2_2475
ko:K00164	pnc:NCGM2_2476
ko:K00658	pnc:NCGM2_2477
ko:K00382	pnc:NCGM2_2478
ko:K01903	pnc:NCGM2_2479
ko:K01902	pnc:NCGM2_2480
ko:K03311	pnc:NCGM2_2481
ko:K04079	pnc:NCGM2_2487
ko:K00606	pnc:NCGM2_2489
ko:K01716	pnc:NCGM2_2501
ko:K00057	pnc:NCGM2_2505
ko:K08296	pnc:NCGM2_2507
ko:K03449	pnc:NCGM2_2517
ko:K00074	pnc:NCGM2_2519
ko:K11900	pnc:NCGM2_3376
ko:K11903	pnc:NCGM2_3377
ko:K11896	pnc:NCGM2_3379
ko:K11895	pnc:NCGM2_3380
ko:K11907	pnc:NCGM2_3381
ko:K07303	pnc:NCGM2_3389
ko:K07302	pnc:NCGM2_3390
ko:K13888	pnc:NCGM2_3397
ko:K05685	pnc:NCGM2_3398
ko:K09817	pnc:NCGM2_3413
ko:K09816	pnc:NCGM2_3414
ko:K00836	pnc:NCGM2_3418
ko:K01194	pnc:NCGM2_3421
ko:K06911	pnc:NCGM2_3423
ko:K03088	pnc:NCGM2_3432
ko:K04754	pnc:NCGM2_3894
ko:K07107	pnc:NCGM2_3895
ko:K06879	pnc:NCGM2_3900
ko:K07644	pnc:NCGM2_3904
ko:K03088	pnc:NCGM2_3913
ko:K06923	pnc:NCGM2_3928
ko:K00432	pnc:NCGM2_3931
ko:K14260	pnc:NCGM2_3933
ko:K03799	pnc:NCGM2_3935
ko:K03543	pnc:NCGM2_3941
ko:K05592	pnc:NCGM2_3946
ko:K11749	pnc:NCGM2_4780
ko:K00099	pnc:NCGM2_4781
ko:K00981	pnc:NCGM2_4782
ko:K00806	pnc:NCGM2_4783
ko:K02838	pnc:NCGM2_4784
ko:K09903	pnc:NCGM2_4785
ko:K02357	pnc:NCGM2_4786
ko:K02967	pnc:NCGM2_4787
ko:K01265	pnc:NCGM2_4788
ko:K00990	pnc:NCGM2_4789
ko:K14267	pnc:NCGM2_4790
ko:K06940	pnc:NCGM2_4794
ko:K01766	pnc:NCGM2_4798
ko:K02426	pnc:NCGM2_4799
ko:K00631	pnc:NCGM2_4804
ko:K09914	pnc:NCGM2_4805
ko:K15984	pnc:NCGM2_4811
ko:K01595	pnc:NCGM2_4818
ko:K01534	pnc:NCGM2_4821
ko:K04567	pnc:NCGM2_4831
ko:K02836	pnc:NCGM2_4832
ko:K11444	pnc:NCGM2_4833
ko:K13491	pnc:NCGM2_4834
ko:K01935	pnc:NCGM2_5693
ko:K02169	pnc:NCGM2_5694
ko:K02170	pnc:NCGM2_5695
ko:K01012	pnc:NCGM2_5697
ko:K01961	pnc:NCGM2_5702
ko:K07160	pnc:NCGM2_5704
ko:K05811	pnc:NCGM2_5708
ko:K02019	pnc:NCGM2_5709
ko:K05786	pnc:NCGM2_5711
ko:K01638	pnc:NCGM2_5714
ko:K01055	pnc:NCGM2_5716
ko:K03088	pnc:NCGM2_5724
ko:K06143	pnc:NCGM2_5732
ko:K07641	pnc:NCGM2_5733
ko:K07663	pnc:NCGM2_5734
ko:K11103	pnc:NCGM2_0123
ko:K06193	pnc:NCGM2_0132
ko:K00140	pnc:NCGM2_0134
ko:K00822	pnc:NCGM2_0136
ko:K02057	pnc:NCGM2_0141
ko:K02057	pnc:NCGM2_0142
ko:K03387	pnc:NCGM2_0145
ko:K05517	pnc:NCGM2_0149
ko:K03088	pnc:NCGM2_0156
ko:K02623	pnc:NCGM2_0159
ko:K00449	pnc:NCGM2_0160
ko:K00448	pnc:NCGM2_0161
ko:K02624	pnc:NCGM2_0163
ko:K01870	pnc:NCGM2_1036
ko:K03101	pnc:NCGM2_1037
ko:K03774	pnc:NCGM2_1038
ko:K03527	pnc:NCGM2_1039
ko:K02655	pnc:NCGM2_1040
ko:K02673	pnc:NCGM2_1043
ko:K02672	pnc:NCGM2_1044
ko:K02671	pnc:NCGM2_1045
ko:K02667	pnc:NCGM2_1048
ko:K02668	pnc:NCGM2_1049
ko:K06950	pnc:NCGM2_1050
ko:K05807	pnc:NCGM2_1051
ko:K06180	pnc:NCGM2_1052
ko:K05810	pnc:NCGM2_1053
ko:K03695	pnc:NCGM2_1054
ko:K06916	pnc:NCGM2_1060
ko:K03885	pnc:NCGM2_1061
ko:K09862	pnc:NCGM2_1069
ko:K00859	pnc:NCGM2_1070
ko:K02654	pnc:NCGM2_1071
ko:K02652	pnc:NCGM2_1073
ko:K00767	pnc:NCGM2_1075
ko:K03806	pnc:NCGM2_1077
ko:K03807	pnc:NCGM2_1078
ko:K01581	pnc:NCGM2_1081
ko:K07160	pnc:NCGM2_1089
ko:K02406	pnc:NCGM2_1959
ko:K02407	pnc:NCGM2_1960
ko:K02422	pnc:NCGM2_1961
ko:K02422	pnc:NCGM2_1962
ko:K10941	pnc:NCGM2_1964
ko:K02408	pnc:NCGM2_1967
ko:K02409	pnc:NCGM2_1968
ko:K02410	pnc:NCGM2_1969
ko:K02411	pnc:NCGM2_1970
ko:K02412	pnc:NCGM2_1971
ko:K02413	pnc:NCGM2_1972
ko:K06182	pnc:NCGM2_1977
ko:K00243	pnc:NCGM2_1986
ko:K01462	pnc:NCGM2_1992
ko:K01129	pnc:NCGM2_1996
ko:K12410	pnc:NCGM2_1997
ko:K12990	pnc:NCGM2_2002
ko:K05523	pnc:NCGM2_2007
ko:K14977	pnc:NCGM2_2012
ko:K10441	pnc:NCGM2_2865
ko:K02529	pnc:NCGM2_2867
ko:K03811	pnc:NCGM2_2876
ko:K06153	pnc:NCGM2_2877
ko:K01118	pnc:NCGM2_2880
ko:K08963	pnc:NCGM2_4280
ko:K03312	pnc:NCGM2_4287
ko:K06178	pnc:NCGM2_4291
ko:K01625	pnc:NCGM2_4293
ko:K01057	pnc:NCGM2_4294
ko:K00036	pnc:NCGM2_4295
ko:K07267	pnc:NCGM2_4298
ko:K01690	pnc:NCGM2_4308
ko:K00134	pnc:NCGM2_4309
ko:K06024	pnc:NCGM2_4312
ko:K05896	pnc:NCGM2_4313
ko:K07053	pnc:NCGM2_4315
ko:K06190	pnc:NCGM2_4316
ko:K09780	pnc:NCGM2_4317
ko:K06940	pnc:NCGM2_4324
ko:K02066	pnc:NCGM2_4326
ko:K02065	pnc:NCGM2_4327
ko:K00788	pnc:NCGM2_5175
ko:K01845	pnc:NCGM2_5176
ko:K06168	pnc:NCGM2_5179
ko:K07042	pnc:NCGM2_5181
ko:K06189	pnc:NCGM2_5182
ko:K03820	pnc:NCGM2_5183
ko:K01869	pnc:NCGM2_5187
ko:K03643	pnc:NCGM2_5188
ko:K02340	pnc:NCGM2_5189
ko:K09890	pnc:NCGM2_5190
ko:K03644	pnc:NCGM2_5195
ko:K03801	pnc:NCGM2_5196
ko:K09158	pnc:NCGM2_5197
ko:K03642	pnc:NCGM2_5199
ko:K05837	pnc:NCGM2_5201
ko:K05515	pnc:NCGM2_5202
ko:K00783	pnc:NCGM2_5203
ko:K09710	pnc:NCGM2_5204
ko:K00969	pnc:NCGM2_5205
ko:K00147	pnc:NCGM2_5206
ko:K03652	pnc:NCGM2_5209
ko:K07157	pnc:NCGM2_5211
ko:K03186	pnc:NCGM2_5218
ko:K02558	pnc:NCGM2_5219
ko:K03735	pnc:NCGM2_5223
ko:K03736	pnc:NCGM2_5224
ko:K03975	pnc:NCGM2_5229
ko:K09933	pnc:NCGM2_5230
ko:K00822	pnc:NCGM2_6078
ko:K06995	pnc:NCGM2_6079
ko:K02913	pnc:NCGM2_6080
ko:K02902	pnc:NCGM2_6081
ko:K03630	pnc:NCGM2_6084
ko:K13038	pnc:NCGM2_6085
ko:K15778	pnc:NCGM2_6087
ko:K00930	pnc:NCGM2_6088
ko:K07107	pnc:NCGM2_6094
ko:K00762	pnc:NCGM2_6096
ko:K01142	pnc:NCGM2_6097
ko:K09940	pnc:NCGM2_6098
ko:K00989	pnc:NCGM2_6099
ko:K00942	pnc:NCGM2_6101
ko:K03060	pnc:NCGM2_6102
ko:K04761	pnc:NCGM2_6109
ko:K03655	pnc:NCGM2_6110
ko:K05787	pnc:NCGM2_6114
ko:K05297	pnc:NCGM2_6116
ko:K11477	pnc:NCGM2_6119
ko:K11473	pnc:NCGM2_6120
ko:K11472	pnc:NCGM2_6121
ko:K11474	pnc:NCGM2_6123
ko:K03181	pnc:NCGM2_6124
ko:K03179	pnc:NCGM2_6125
ko:K07636	pnc:NCGM2_6128
ko:K03272	pnc:NCGM2_0519
ko:K02527	pnc:NCGM2_0527
ko:K02205	pnc:NCGM2_0536
ko:K15866	pnc:NCGM2_0538
ko:K12340	pnc:NCGM2_0544
ko:K03147	pnc:NCGM2_0546
ko:K09920	pnc:NCGM2_0549
ko:K03651	pnc:NCGM2_0550
ko:K07000	pnc:NCGM2_0551
ko:K02622	pnc:NCGM2_0552
ko:K06985	pnc:NCGM2_0554
ko:K02621	pnc:NCGM2_0555
ko:K09857	pnc:NCGM2_0556
ko:K07038	pnc:NCGM2_0557
ko:K01079	pnc:NCGM2_0559
ko:K01613	pnc:NCGM2_0563
ko:K02556	pnc:NCGM2_0566
ko:K02557	pnc:NCGM2_0567
ko:K06949	pnc:NCGM2_0568
ko:K13288	pnc:NCGM2_0569
ko:K06925	pnc:NCGM2_0572
ko:K01448	pnc:NCGM2_0573
ko:K03572	pnc:NCGM2_0574
ko:K00791	pnc:NCGM2_0575
ko:K12055	pnc:NCGM2_1449
ko:K07733	pnc:NCGM2_1450
ko:K07118	pnc:NCGM2_1467
ko:K00140	pnc:NCGM2_1473
ko:K03648	pnc:NCGM2_1476
ko:K07795	pnc:NCGM2_1480
ko:K07774	pnc:NCGM2_1482
ko:K07649	pnc:NCGM2_1483
ko:K06980	pnc:NCGM2_1485
ko:K09159	pnc:NCGM2_1486
ko:K00278	pnc:NCGM2_1488
ko:K03088	pnc:NCGM2_1489
ko:K03597	pnc:NCGM2_1490
ko:K03598	pnc:NCGM2_1491
ko:K04061	pnc:NCGM2_2357
ko:K02194	pnc:NCGM2_2360
ko:K02195	pnc:NCGM2_2361
ko:K02196	pnc:NCGM2_2362
ko:K02197	pnc:NCGM2_2363
ko:K02198	pnc:NCGM2_2364
ko:K02199	pnc:NCGM2_2365
ko:K01266	pnc:NCGM2_2371
ko:K00864	pnc:NCGM2_2372
ko:K00111	pnc:NCGM2_2374
ko:K02444	pnc:NCGM2_2375
ko:K04023	pnc:NCGM2_2376
ko:K02048	pnc:NCGM2_2378
ko:K08717	pnc:NCGM2_2382
ko:K00873	pnc:NCGM2_2383
ko:K01608	pnc:NCGM2_2387
ko:K03639	pnc:NCGM2_2390
ko:K01483	pnc:NCGM2_2399
ko:K01477	pnc:NCGM2_2400
ko:K07127	pnc:NCGM2_2403
ko:K06901	pnc:NCGM2_2404
ko:K07402	pnc:NCGM2_2408
ko:K13482	pnc:NCGM2_2409
ko:K13481	pnc:NCGM2_2410
ko:K06152	pnc:NCGM2_3274
ko:K06151	pnc:NCGM2_3275
ko:K03587	pnc:NCGM2_3282
ko:K13639	pnc:NCGM2_3283
ko:K13979	pnc:NCGM2_3285
ko:K03893	pnc:NCGM2_3288
ko:K00117	pnc:NCGM2_3301
ko:K03710	pnc:NCGM2_3309
ko:K04764	pnc:NCGM2_3775
ko:K01890	pnc:NCGM2_3776
ko:K01889	pnc:NCGM2_3777
ko:K02887	pnc:NCGM2_3778
ko:K02916	pnc:NCGM2_3779
ko:K02520	pnc:NCGM2_3780
ko:K01868	pnc:NCGM2_3781
ko:K01265	pnc:NCGM2_3787
ko:K01150	pnc:NCGM2_3789
ko:K07058	pnc:NCGM2_3792
ko:K08276	pnc:NCGM2_3799
ko:K06995	pnc:NCGM2_3806
ko:K07223	pnc:NCGM2_3811
ko:K07806	pnc:NCGM2_4678
ko:K10012	pnc:NCGM2_4679
ko:K10011	pnc:NCGM2_4680
ko:K13014	pnc:NCGM2_4681
ko:K07264	pnc:NCGM2_4682
ko:K12962	pnc:NCGM2_4683
ko:K12963	pnc:NCGM2_4684
ko:K00012	pnc:NCGM2_4685
ko:K02769	pnc:NCGM2_4686
ko:K02770	pnc:NCGM2_4686
ko:K03435	pnc:NCGM2_4689
ko:K03424	pnc:NCGM2_4690
ko:K01908	pnc:NCGM2_4694
ko:K00140	pnc:NCGM2_4696
ko:K07552	pnc:NCGM2_4700
ko:K00864	pnc:NCGM2_4707
ko:K02440	pnc:NCGM2_4709
ko:K00864	pnc:NCGM2_4710
ko:K02444	pnc:NCGM2_4712
ko:K00111	pnc:NCGM2_4714
ko:K02442	pnc:NCGM2_4715
ko:K03576	pnc:NCGM2_4717
ko:K00074	pnc:NCGM2_4720
ko:K01657	pnc:NCGM2_5577
ko:K01091	pnc:NCGM2_5578
ko:K01783	pnc:NCGM2_5579
ko:K02053	pnc:NCGM2_5580
ko:K05801	pnc:NCGM2_5588
ko:K07102	pnc:NCGM2_5590
ko:K04744	pnc:NCGM2_5591
ko:K03771	pnc:NCGM2_5592
ko:K00097	pnc:NCGM2_5593
ko:K02528	pnc:NCGM2_5594
ko:K06195	pnc:NCGM2_5595
ko:K02439	pnc:NCGM2_5597
ko:K07180	pnc:NCGM2_5599
ko:K09786	pnc:NCGM2_5600
ko:K00950	pnc:NCGM2_5604
ko:K01633	pnc:NCGM2_5605
ko:K08591	pnc:NCGM2_5606
ko:K02970	pnc:NCGM2_5608
ko:K09117	pnc:NCGM2_5609
ko:K03086	pnc:NCGM2_5611
ko:K09975	pnc:NCGM2_0406
ko:K02002	pnc:NCGM2_0407
ko:K01712	pnc:NCGM2_0410
ko:K01745	pnc:NCGM2_0412
ko:K02002	pnc:NCGM2_0414
ko:K02001	pnc:NCGM2_0415
ko:K02000	pnc:NCGM2_0416
ko:K01745	pnc:NCGM2_0417
ko:K01468	pnc:NCGM2_0418
ko:K00285	pnc:NCGM2_0426
ko:K07560	pnc:NCGM2_0431
ko:K03670	pnc:NCGM2_0432
ko:K03669	pnc:NCGM2_0433
ko:K03118	pnc:NCGM2_0441
ko:K03117	pnc:NCGM2_0442
ko:K03116	pnc:NCGM2_0443
ko:K03688	pnc:NCGM2_0446
ko:K03690	pnc:NCGM2_0447
ko:K03183	pnc:NCGM2_0448
ko:K03821	pnc:NCGM2_0453
ko:K03821	pnc:NCGM2_0455
ko:K03667	pnc:NCGM2_0458
ko:K01419	pnc:NCGM2_0459
ko:K01887	pnc:NCGM2_0461
ko:K03583	pnc:NCGM2_1322
ko:K03582	pnc:NCGM2_1323
ko:K03581	pnc:NCGM2_1324
ko:K03547	pnc:NCGM2_1326
ko:K14161	pnc:NCGM2_1333
ko:K03088	pnc:NCGM2_1338
ko:K02459	pnc:NCGM2_1340
ko:K02457	pnc:NCGM2_1341
ko:K02452	pnc:NCGM2_1342
ko:K02458	pnc:NCGM2_1343
ko:K02456	pnc:NCGM2_1344
ko:K02460	pnc:NCGM2_1345
ko:K02461	pnc:NCGM2_1346
ko:K02462	pnc:NCGM2_1347
ko:K02453	pnc:NCGM2_1348
ko:K02455	pnc:NCGM2_1351
ko:K03561	pnc:NCGM2_1357
ko:K03824	pnc:NCGM2_1377
ko:K09982	pnc:NCGM2_1378
ko:K11939	pnc:NCGM2_2248
ko:K03327	pnc:NCGM2_2249
ko:K03088	pnc:NCGM2_2251
ko:K09458	pnc:NCGM2_2266
ko:K03473	pnc:NCGM2_2268
ko:K00906	pnc:NCGM2_2269
ko:K06969	pnc:NCGM2_2288
ko:K11073	pnc:NCGM2_2292
ko:K00703	pnc:NCGM2_3149
ko:K06048	pnc:NCGM2_3168
ko:K02029	pnc:NCGM2_3184
ko:K02029	pnc:NCGM2_3185
ko:K00097	pnc:NCGM2_3194
ko:K03808	pnc:NCGM2_3200
ko:K02688	pnc:NCGM2_3203
ko:K00339	pnc:NCGM2_3661
ko:K00340	pnc:NCGM2_3662
ko:K00341	pnc:NCGM2_3663
ko:K00342	pnc:NCGM2_3664
ko:K00343	pnc:NCGM2_3665
ko:K07084	pnc:NCGM2_3669
ko:K07234	pnc:NCGM2_3679
ko:K05916	pnc:NCGM2_3681
ko:K12266	pnc:NCGM2_3682
ko:K01737	pnc:NCGM2_3683
ko:K02459	pnc:NCGM2_3689
ko:K02458	pnc:NCGM2_3690
ko:K02456	pnc:NCGM2_3691
ko:K02456	pnc:NCGM2_3692
ko:K02455	pnc:NCGM2_3693
ko:K01061	pnc:NCGM2_3699
ko:K02029	pnc:NCGM2_3703
ko:K02029	pnc:NCGM2_3704
ko:K01714	pnc:NCGM2_3705
ko:K00285	pnc:NCGM2_3707
ko:K06995	pnc:NCGM2_4563
ko:K06205	pnc:NCGM2_4572
ko:K09932	pnc:NCGM2_4573
ko:K13938	pnc:NCGM2_4574
ko:K01495	pnc:NCGM2_4575
ko:K07589	pnc:NCGM2_4576
ko:K09948	pnc:NCGM2_4577
ko:K15554	pnc:NCGM2_4581
ko:K15553	pnc:NCGM2_4583
ko:K00299	pnc:NCGM2_4584
ko:K15554	pnc:NCGM2_4586
ko:K15553	pnc:NCGM2_4587
ko:K00116	pnc:NCGM2_4590
ko:K09915	pnc:NCGM2_4591
ko:K15461	pnc:NCGM2_4595
ko:K07090	pnc:NCGM2_4596
ko:K01953	pnc:NCGM2_4598
ko:K08369	pnc:NCGM2_4606
ko:K05786	pnc:NCGM2_4613
ko:K03701	pnc:NCGM2_5479
ko:K03594	pnc:NCGM2_5480
ko:K03781	pnc:NCGM2_5481
ko:K02879	pnc:NCGM2_5482
ko:K03040	pnc:NCGM2_5483
ko:K02986	pnc:NCGM2_5484
ko:K02948	pnc:NCGM2_5485
ko:K02952	pnc:NCGM2_5486
ko:K02919	pnc:NCGM2_5487
ko:K03076	pnc:NCGM2_5488
ko:K02876	pnc:NCGM2_5489
ko:K02907	pnc:NCGM2_5490
ko:K02988	pnc:NCGM2_5491
ko:K02881	pnc:NCGM2_5492
ko:K02933	pnc:NCGM2_5493
ko:K02994	pnc:NCGM2_5494
ko:K02954	pnc:NCGM2_5495
ko:K02931	pnc:NCGM2_5496
ko:K02895	pnc:NCGM2_5497
ko:K02874	pnc:NCGM2_5498
ko:K02961	pnc:NCGM2_5499
ko:K02904	pnc:NCGM2_5500
ko:K02878	pnc:NCGM2_5501
ko:K02982	pnc:NCGM2_5502
ko:K02890	pnc:NCGM2_5503
ko:K02965	pnc:NCGM2_5504
ko:K02886	pnc:NCGM2_5505
ko:K02892	pnc:NCGM2_5506
ko:K02926	pnc:NCGM2_5507
ko:K02906	pnc:NCGM2_5508
ko:K02946	pnc:NCGM2_5509
ko:K02358	pnc:NCGM2_5510
ko:K02355	pnc:NCGM2_5511
ko:K03650	pnc:NCGM2_6356
ko:K03217	pnc:NCGM2_6357
ko:K03536	pnc:NCGM2_6358
ko:K01895	pnc:NCGM2_0806
ko:K01810	pnc:NCGM2_0807
ko:K01579	pnc:NCGM2_0808
ko:K01918	pnc:NCGM2_0809
ko:K00606	pnc:NCGM2_0810
ko:K00950	pnc:NCGM2_0811
ko:K01894	pnc:NCGM2_0816
ko:K06204	pnc:NCGM2_0817
ko:K06206	pnc:NCGM2_0819
ko:K06901	pnc:NCGM2_0821
ko:K14261	pnc:NCGM2_0825
ko:K07225	pnc:NCGM2_0831
ko:K02016	pnc:NCGM2_0832
ko:K02015	pnc:NCGM2_0833
ko:K02013	pnc:NCGM2_0834
ko:K11175	pnc:NCGM2_1728
ko:K01933	pnc:NCGM2_1729
ko:K09938	pnc:NCGM2_1731
ko:K10763	pnc:NCGM2_1732
ko:K03809	pnc:NCGM2_1734
ko:K07058	pnc:NCGM2_1736
ko:K01512	pnc:NCGM2_1740
ko:K01881	pnc:NCGM2_1742
ko:K03745	pnc:NCGM2_1767
ko:K03704	pnc:NCGM2_1768
ko:K04047	pnc:NCGM2_1769
ko:K01876	pnc:NCGM2_1770
ko:K01159	pnc:NCGM2_1772
ko:K03550	pnc:NCGM2_1773
ko:K03551	pnc:NCGM2_1774
ko:K01075	pnc:NCGM2_1775
ko:K03562	pnc:NCGM2_1776
ko:K03641	pnc:NCGM2_1779
ko:K03640	pnc:NCGM2_1780
ko:K10026	pnc:NCGM2_1782
ko:K06920	pnc:NCGM2_1783
ko:K06975	pnc:NCGM2_2649
ko:K01626	pnc:NCGM2_2650
ko:K00077	pnc:NCGM2_2652
ko:K13634	pnc:NCGM2_2654
ko:K00390	pnc:NCGM2_2656
ko:K02203	pnc:NCGM2_2657
ko:K01665	pnc:NCGM2_2658
ko:K03556	pnc:NCGM2_2659
ko:K03556	pnc:NCGM2_2660
ko:K09773	pnc:NCGM2_2670
ko:K02553	pnc:NCGM2_2673
ko:K03088	pnc:NCGM2_2677
ko:K00372	pnc:NCGM2_2680
ko:K00363	pnc:NCGM2_2682
ko:K00362	pnc:NCGM2_2683
ko:K02575	pnc:NCGM2_2685
ko:K01682	pnc:NCGM2_2690
ko:K06938	pnc:NCGM2_2692
ko:K00995	pnc:NCGM2_3549
ko:K09800	pnc:NCGM2_3550
ko:K07278	pnc:NCGM2_3551
ko:K01142	pnc:NCGM2_3553
ko:K02040	pnc:NCGM2_3556
ko:K01895	pnc:NCGM2_3563
ko:K07507	pnc:NCGM2_3566
ko:K00496	pnc:NCGM2_3586
ko:K07078	pnc:NCGM2_3587
ko:K00453	pnc:NCGM2_3591
ko:K03923	pnc:NCGM2_3592
ko:K03607	pnc:NCGM2_3595
ko:K03703	pnc:NCGM2_3600
ko:K03522	pnc:NCGM2_4063
ko:K03521	pnc:NCGM2_4064
ko:K07497	pnc:NCGM2_3230
ko:K07497	pnc:NCGM2_5951
ko:K07497	pnc:NCGM2_6335
ko:K00311	pnc:NCGM2_4065
ko:K09986	pnc:NCGM2_4066
ko:K03424	pnc:NCGM2_4071
ko:K02676	pnc:NCGM2_4072
ko:K02341	pnc:NCGM2_4073
ko:K00943	pnc:NCGM2_4074
ko:K07082	pnc:NCGM2_4075
ko:K09458	pnc:NCGM2_4077
ko:K02078	pnc:NCGM2_4079
ko:K00645	pnc:NCGM2_4081
ko:K03621	pnc:NCGM2_4082
ko:K02911	pnc:NCGM2_4083
ko:K07040	pnc:NCGM2_4084
ko:K04773	pnc:NCGM2_4086
ko:K01091	pnc:NCGM2_4087
ko:K08300	pnc:NCGM2_4090
ko:K00075	pnc:NCGM2_4091
ko:K00979	pnc:NCGM2_4093
ko:K09791	pnc:NCGM2_4094
ko:K00912	pnc:NCGM2_4095
ko:K03561	pnc:NCGM2_4097
ko:K09928	pnc:NCGM2_4099
ko:K09808	pnc:NCGM2_4100
ko:K09808	pnc:NCGM2_4102
ko:K01126	pnc:NCGM2_4105
ko:K00322	pnc:NCGM2_4106
ko:K05952	pnc:NCGM2_4107
ko:K03734	pnc:NCGM2_4108
ko:K00351	pnc:NCGM2_4109
ko:K00350	pnc:NCGM2_4110
ko:K00349	pnc:NCGM2_4111
ko:K00348	pnc:NCGM2_4112
ko:K00347	pnc:NCGM2_4113
ko:K01951	pnc:NCGM2_4953
ko:K07090	pnc:NCGM2_4959
ko:K03601	pnc:NCGM2_4961
ko:K08641	pnc:NCGM2_4966
ko:K01649	pnc:NCGM2_4979
ko:K14287	pnc:NCGM2_4985
ko:K03977	pnc:NCGM2_4986
ko:K01892	pnc:NCGM2_4989
ko:K15539	pnc:NCGM2_4991
ko:K02656	pnc:NCGM2_4992
ko:K06941	pnc:NCGM2_4993
ko:K00940	pnc:NCGM2_4994
ko:K04755	pnc:NCGM2_4996
ko:K04044	pnc:NCGM2_4997
ko:K04082	pnc:NCGM2_4998
ko:K04487	pnc:NCGM2_5001
ko:K13643	pnc:NCGM2_5002
ko:K00640	pnc:NCGM2_5003
ko:K15396	pnc:NCGM2_5004
ko:K01687	pnc:NCGM2_5848
ko:K07095	pnc:NCGM2_5850
ko:K01126	pnc:NCGM2_5855
ko:K13292	pnc:NCGM2_5862
ko:K08484	pnc:NCGM2_5866
ko:K08311	pnc:NCGM2_5867
ko:K01754	pnc:NCGM2_5873
ko:K01807	pnc:NCGM2_5874
ko:K09946	pnc:NCGM2_5875
ko:K01434	pnc:NCGM2_0305
ko:K11074	pnc:NCGM2_0306
ko:K11075	pnc:NCGM2_0307
ko:K11076	pnc:NCGM2_0308
ko:K11073	pnc:NCGM2_0309
ko:K11073	pnc:NCGM2_0310
ko:K12256	pnc:NCGM2_0311
ko:K01915	pnc:NCGM2_0312
ko:K07010	pnc:NCGM2_0313
ko:K01915	pnc:NCGM2_0314
ko:K12251	pnc:NCGM2_0317
ko:K10536	pnc:NCGM2_0318
ko:K02048	pnc:NCGM2_0329
ko:K02046	pnc:NCGM2_0330
ko:K02047	pnc:NCGM2_0331
ko:K02045	pnc:NCGM2_0332
ko:K07090	pnc:NCGM2_0334
ko:K07387	pnc:NCGM2_0335
ko:K03449	pnc:NCGM2_0339
ko:K00375	pnc:NCGM2_0344
ko:K00077	pnc:NCGM2_1206
ko:K09767	pnc:NCGM2_1208
ko:K08218	pnc:NCGM2_1210
ko:K07443	pnc:NCGM2_1211
ko:K07226	pnc:NCGM2_1215
ko:K07113	pnc:NCGM2_1216
ko:K04078	pnc:NCGM2_1217
ko:K04077	pnc:NCGM2_1218
ko:K06199	pnc:NCGM2_1220
ko:K00763	pnc:NCGM2_1227
ko:K09947	pnc:NCGM2_1230
ko:K07231	pnc:NCGM2_1233
ko:K03744	pnc:NCGM2_1234
ko:K04564	pnc:NCGM2_1237
ko:K06895	pnc:NCGM2_1238
ko:K09964	pnc:NCGM2_1239
ko:K05596	pnc:NCGM2_1240
ko:K04758	pnc:NCGM2_1245
ko:K04759	pnc:NCGM2_1246
ko:K07490	pnc:NCGM2_1247
ko:K12658	pnc:NCGM2_2151
ko:K02224	pnc:NCGM2_2157
ko:K04719	pnc:NCGM2_2158
ko:K02227	pnc:NCGM2_2159
ko:K02225	pnc:NCGM2_2160
ko:K02232	pnc:NCGM2_2161
ko:K02231	pnc:NCGM2_2162
ko:K00768	pnc:NCGM2_2163
ko:K02233	pnc:NCGM2_2165
ko:K00432	pnc:NCGM2_2171
ko:K06076	pnc:NCGM2_2172
ko:K03684	pnc:NCGM2_2180
ko:K09902	pnc:NCGM2_2181
ko:K13893	pnc:NCGM2_3035
ko:K13894	pnc:NCGM2_3036
ko:K13895	pnc:NCGM2_3037
ko:K13896	pnc:NCGM2_3038
ko:K04487	pnc:NCGM2_3039
ko:K07233	pnc:NCGM2_3041
ko:K05820	pnc:NCGM2_3045
ko:K00612	pnc:NCGM2_3046
ko:K02355	pnc:NCGM2_3049
ko:K01556	pnc:NCGM2_3060
ko:K07130	pnc:NCGM2_3061
ko:K01953	pnc:NCGM2_3064
ko:K03088	pnc:NCGM2_3073
ko:K00156	pnc:NCGM2_3081
ko:K07160	pnc:NCGM2_3085
ko:K01114	pnc:NCGM2_4449
ko:K09936	pnc:NCGM2_4450
ko:K07044	pnc:NCGM2_4455
ko:K01358	pnc:NCGM2_4456
ko:K00648	pnc:NCGM2_4463
ko:K02078	pnc:NCGM2_4464
ko:K03274	pnc:NCGM2_4467
ko:K07401	pnc:NCGM2_4468
ko:K07001	pnc:NCGM2_4469
ko:K03654	pnc:NCGM2_4475
ko:K03415	pnc:NCGM2_4480
ko:K02386	pnc:NCGM2_4481
ko:K02398	pnc:NCGM2_4482
ko:K02399	pnc:NCGM2_4483
ko:K01915	pnc:NCGM2_4487
ko:K01753	pnc:NCGM2_4488
ko:K01999	pnc:NCGM2_4495
ko:K13408	pnc:NCGM2_5345
ko:K13409	pnc:NCGM2_5346
ko:K12340	pnc:NCGM2_5347
ko:K00627	pnc:NCGM2_5355
ko:K07184	pnc:NCGM2_5357
ko:K02013	pnc:NCGM2_5361
ko:K02016	pnc:NCGM2_5362
ko:K02015	pnc:NCGM2_5363
