ko:K18929	cjei:N135_00076
ko:K09859	cjei:N135_00089
ko:K07337	cjei:N135_00091
ko:K02888	cjei:N135_00094
ko:K02899	cjei:N135_00095
ko:K03979	cjei:N135_00096
ko:K00931	cjei:N135_00097
ko:K00604	cjei:N135_00098
ko:K03524	cjei:N135_00099
ko:K02109	cjei:N135_00102
ko:K02109	cjei:N135_00103
ko:K02113	cjei:N135_00104
ko:K02111	cjei:N135_00105
ko:K02115	cjei:N135_00106
ko:K02112	cjei:N135_00107
ko:K02114	cjei:N135_00108
ko:K03559	cjei:N135_00110
ko:K03832	cjei:N135_00111
ko:K03641	cjei:N135_00112
ko:K03640	cjei:N135_00113
ko:K03775	cjei:N135_00115
ko:K00645	cjei:N135_00116
ko:K11928	cjei:N135_01593
ko:K14230	cjei:N135_01804
ko:K14223	cjei:N135_00622
ko:K14228	cjei:N135_00924
ko:K14228	cjei:N135_00974
ko:K14228	cjei:N135_01705
ko:K14229	cjei:N135_00980
ko:K14220	cjei:N135_01258
ko:K14231	cjei:N135_01370
ko:K07042	cjei:N135_00121
ko:K05540	cjei:N135_00123
ko:K06204	cjei:N135_00125
ko:K00783	cjei:N135_00126
ko:K01963	cjei:N135_00127
ko:K01092	cjei:N135_00128
ko:K07277	cjei:N135_00129
ko:K04517	cjei:N135_00130
ko:K02535	cjei:N135_00132
ko:K00872	cjei:N135_00134
ko:K09748	cjei:N135_00138
ko:K09816	cjei:N135_00141
ko:K09817	cjei:N135_00142
ko:K09815	cjei:N135_00143
ko:K03406	cjei:N135_00144
ko:K01465	cjei:N135_00147
ko:K00901	cjei:N135_00149
ko:K03760	cjei:N135_00150
ko:K01142	cjei:N135_00151
ko:K02834	cjei:N135_00137
ko:K03637	cjei:N135_00154
ko:K02519	cjei:N135_00136
ko:K07318	cjei:N135_00190
ko:K00290	cjei:N135_00226
ko:K07478	cjei:N135_00200
ko:K00215	cjei:N135_00201
ko:K00764	cjei:N135_00202
ko:K02412	cjei:N135_00203
ko:K01495	cjei:N135_00204
ko:K03545	cjei:N135_00205
ko:K01358	cjei:N135_00206
ko:K01462	cjei:N135_00207
ko:K07391	cjei:N135_00208
ko:K11175	cjei:N135_00211
ko:K06193	cjei:N135_00213
ko:K03832	cjei:N135_00217
ko:K03559	cjei:N135_00218
ko:K03561	cjei:N135_00219
ko:K16087	cjei:N135_00220
ko:K02012	cjei:N135_00223
ko:K02011	cjei:N135_00224
ko:K02010	cjei:N135_00225
ko:K04564	cjei:N135_00228
ko:K00791	cjei:N135_00232
ko:K03179	cjei:N135_00233
ko:K03639	cjei:N135_00236
ko:K01737	cjei:N135_00238
ko:K09761	cjei:N135_00241
ko:K02909	cjei:N135_00242
ko:K07056	cjei:N135_00243
ko:K03218	cjei:N135_00244
ko:K14261	cjei:N135_00247
ko:K00003	cjei:N135_00248
ko:K07460	cjei:N135_00249
ko:K02887	cjei:N135_00161
ko:K02916	cjei:N135_00162
ko:K04487	cjei:N135_00165
ko:K13819	cjei:N135_00166
ko:K16052	cjei:N135_00167
ko:K01673	cjei:N135_00168
ko:K03075	cjei:N135_00170
ko:K02838	cjei:N135_00171
ko:K00762	cjei:N135_00172
ko:K00763	cjei:N135_00175
ko:K00573	cjei:N135_00177
ko:K00930	cjei:N135_00179
ko:K00145	cjei:N135_00181
ko:K14224	cjei:N135_00230
ko:K14234	cjei:N135_00518
ko:K14234	cjei:N135_00521
ko:K14236	cjei:N135_00519
ko:K14218	cjei:N135_01806
ko:K01985	cjei:N135_00034
ko:K01985	cjei:N135_00479
ko:K01985	cjei:N135_00797
ko:K01977	cjei:N135_00475
ko:K01977	cjei:N135_00793
ko:K02520	cjei:N135_00191
ko:K01868	cjei:N135_00192
ko:K06153	cjei:N135_00193
ko:K03300	cjei:N135_00195
ko:K01497	cjei:N135_01031
ko:K14225	cjei:N135_00925
ko:K14225	cjei:N135_01704
ko:K14233	cjei:N135_01707
ko:K14233	cjei:N135_01805
ko:K00254	cjei:N135_00849
ko:K03671	cjei:N135_00250
ko:K00384	cjei:N135_00251
ko:K17938	cjei:N135_00216
ko:K05922	cjei:N135_01299
ko:K05927	cjei:N135_01300
ko:K05927	cjei:N135_01488
ko:K15669	cjei:N135_01513
ko:K00104	cjei:N135_01245
ko:K07003	cjei:N135_01461
ko:K03605	cjei:N135_01297
ko:K05366	cjei:N135_00558
ko:K01533	cjei:N135_01195
ko:K15912	cjei:N135_01157
ko:K15913	cjei:N135_01160
ko:K18284	cjei:N135_00117
ko:K02017	cjei:N135_00346
ko:K02018	cjei:N135_00347
ko:K02020	cjei:N135_00349
ko:K02169	cjei:N135_00350
ko:K09789	cjei:N135_00351
ko:K00652	cjei:N135_00352
ko:K00833	cjei:N135_00353
ko:K01935	cjei:N135_00354
ko:K07093	cjei:N135_00252
ko:K03532	cjei:N135_00256
ko:K00826	cjei:N135_00260
ko:K01821	cjei:N135_00261
ko:K03564	cjei:N135_00262
ko:K09765	cjei:N135_00263
ko:K02372	cjei:N135_00264
ko:K00677	cjei:N135_00265
ko:K03544	cjei:N135_00266
ko:K03569	cjei:N135_00267
ko:K03570	cjei:N135_00268
ko:K01955	cjei:N135_00269
ko:K00616	cjei:N135_00271
ko:K01079	cjei:N135_00272
ko:K03408	cjei:N135_00273
ko:K03407	cjei:N135_00274
ko:K03415	cjei:N135_00275
ko:K03269	cjei:N135_00276
ko:K03624	cjei:N135_00277
ko:K00748	cjei:N135_00278
ko:K03787	cjei:N135_00283
ko:K03830	cjei:N135_00285
ko:K01579	cjei:N135_00286
ko:K01918	cjei:N135_00287
ko:K00606	cjei:N135_00288
ko:K03406	cjei:N135_00253
ko:K07238	cjei:N135_00254
ko:K07812	cjei:N135_00255
ko:K01150	cjei:N135_00303
ko:K02897	cjei:N135_00357
ko:K01056	cjei:N135_00358
ko:K11720	cjei:N135_00359
ko:K01586	cjei:N135_00360
ko:K02566	cjei:N135_00361
ko:K14170	cjei:N135_00362
ko:K00817	cjei:N135_00363
ko:K02409	cjei:N135_00364
ko:K02410	cjei:N135_00365
ko:K02411	cjei:N135_00366
ko:K01662	cjei:N135_00367
ko:K09825	cjei:N135_00368
ko:K03183	cjei:N135_00370
ko:K03601	cjei:N135_00371
ko:K00831	cjei:N135_00372
ko:K00648	cjei:N135_00374
ko:K03621	cjei:N135_00375
ko:K02911	cjei:N135_00376
ko:K00940	cjei:N135_00378
ko:K03386	cjei:N135_00380
ko:K02401	cjei:N135_00381
ko:K02557	cjei:N135_00382
ko:K02556	cjei:N135_00383
ko:K08173	cjei:N135_00385
ko:K03701	cjei:N135_00388
ko:K07090	cjei:N135_00389
ko:K01657	cjei:N135_00390
ko:K13497	cjei:N135_00391
ko:K01817	cjei:N135_00392
ko:K01696	cjei:N135_00393
ko:K01695	cjei:N135_00394
ko:K02417	cjei:N135_00396
ko:K01524	cjei:N135_00398
ko:K01633	cjei:N135_00401
ko:K08591	cjei:N135_00402
ko:K00428	cjei:N135_00403
ko:K03431	cjei:N135_00404
ko:K03101	cjei:N135_00405
ko:K08973	cjei:N135_00406
ko:K03585	cjei:N135_00411
ko:K02970	cjei:N135_00414
ko:K09767	cjei:N135_00418
ko:K17247	cjei:N135_00422
ko:K01591	cjei:N135_00425
ko:K03625	cjei:N135_00426
ko:K17248	cjei:N135_01164
ko:K11013	cjei:N135_00081
ko:K18429	cjei:N135_01416
ko:K18430	cjei:N135_01415
ko:K18431	cjei:N135_01419
ko:K11784	cjei:N135_00510
ko:K11785	cjei:N135_01763
ko:K18333	cjei:N135_00537
ko:K07171	cjei:N135_01365
ko:K18285	cjei:N135_01456
ko:K08068	cjei:N135_01179
ko:K15910	cjei:N135_01158
ko:K02482	cjei:N135_00838
ko:K01174	cjei:N135_01016
ko:K00983	cjei:N135_01180
ko:K04753	cjei:N135_01607
ko:K06148	cjei:N135_01167
ko:K03673	cjei:N135_00906
ko:K02073	cjei:N135_01234
ko:K07216	cjei:N135_01256
ko:K02073	cjei:N135_00815
ko:K02073	cjei:N135_00816
ko:K03743	cjei:N135_01098
ko:K18480	cjei:N135_01735
ko:K00241	cjei:N135_00487
ko:K03319	cjei:N135_01835
ko:K06218	cjei:N135_01361
ko:K18924	cjei:N135_00356
ko:K18925	cjei:N135_00355
ko:K10747	cjei:N135_01758
ko:K18930	cjei:N135_01668
ko:K09797	cjei:N135_00038
ko:K03496	cjei:N135_00100
ko:K03497	cjei:N135_00101
ko:K03111	cjei:N135_01108
ko:K00662	cjei:N135_01386
ko:K18992	cjei:N135_00412
ko:K00335	cjei:N135_01657
ko:K03526	cjei:N135_00733
ko:K11014	cjei:N135_00080
ko:K07452	cjei:N135_00139
ko:K07097	cjei:N135_00918
ko:K15461	cjei:N135_01301
ko:K00557	cjei:N135_00874
ko:K00336	cjei:N135_01656
ko:K11015	cjei:N135_00079
ko:K17251	cjei:N135_01163
ko:K19147	cjei:N135_00140
ko:K17249	cjei:N135_01166
ko:K15897	cjei:N135_01401
ko:K15914	cjei:N135_01162
ko:K15915	cjei:N135_01161
ko:K06992	cjei:N135_00061
ko:K00571	cjei:N135_01319
ko:K17250	cjei:N135_01165
ko:K01654	cjei:N135_01178
ko:K09951	cjei:N135_01611
ko:K15342	cjei:N135_01612
ko:K04771	cjei:N135_01261
ko:K19210	cjei:N135_00345
ko:K15899	cjei:N135_01400
ko:K00265	cjei:N135_00007
ko:K03892	cjei:N135_01645
ko:K06867	cjei:N135_01474
ko:K07496	cjei:N135_00799
ko:K19416	cjei:N135_00169
ko:K06867	cjei:N135_00877
ko:K07216	cjei:N135_00073
ko:K07216	cjei:N135_00074
ko:K10938	cjei:N135_00279
ko:K19713	cjei:N135_00914
ko:K03073	cjei:N135_01935
ko:K03324	cjei:N135_01960
ko:K03324	cjei:N135_01970
ko:K07082	cjei:N135_01975
ko:K01546	cjei:N135_02010
ko:K03326	cjei:N135_02230
ko:K01546	cjei:N135_02015
ko:K03326	cjei:N135_02295
ko:K02919	cjei:N135_02310
ko:K00662	cjei:N135_02210
ko:K01934	cjei:N135_02200
ko:K03313	cjei:N135_02320
ko:K03406	cjei:N135_02120
ko:K03406	cjei:N135_02125
ko:K03326	cjei:N135_02235
ko:K07147	cjei:N135_00423
ko:K09796	cjei:N135_00946
ko:K20810	cjei:N135_00070
ko:K00821	cjei:N135_00178
ko:K02314	cjei:N135_00611
ko:K02335	cjei:N135_00384
ko:K02316	cjei:N135_01724
ko:K03553	cjei:N135_01762
ko:K03465	cjei:N135_00026
ko:K06903	cjei:N135_00325
ko:K06907	cjei:N135_00332
ko:K06908	cjei:N135_00333
ko:K06223	cjei:N135_00338
ko:K06905	cjei:N135_00307
ko:K06906	cjei:N135_00309
ko:K02483	cjei:N135_01294
ko:K02483	cjei:N135_00400
ko:K02483	cjei:N135_01260
ko:K00525	cjei:N135_00024
ko:K02032	cjei:N135_01663
ko:K02481	cjei:N135_01060
ko:K01139	cjei:N135_01305
ko:K00526	cjei:N135_00174
ko:K10938	cjei:N135_00823
ko:K03668	cjei:N135_00991
ko:K13695	cjei:N135_01739
ko:K21420	cjei:N135_01071
ko:K01451	cjei:N135_01022
ko:K10026	cjei:N135_00237
ko:K21600	cjei:N135_00560
ko:K21929	cjei:N135_01004
ko:K03595	cjei:N135_00711
ko:K14441	cjei:N135_01545
ko:K17758	cjei:N135_00210
ko:K17759	cjei:N135_00210
ko:K22391	cjei:N135_00753
ko:K22424	cjei:N135_01507
ko:K22477	cjei:N135_00180
