ko:K01212	bami:KSO_000245
ko:K03800	bami:KSO_007950
ko:K07001	bami:KSO_007960
ko:K02356	bami:KSO_007985
ko:K06390	bami:KSO_007995
ko:K06391	bami:KSO_008000
ko:K06392	bami:KSO_008005
ko:K06393	bami:KSO_008010
ko:K00432	bami:KSO_009415
ko:K06950	bami:KSO_009420
ko:K01687	bami:KSO_009430
ko:K00655	bami:KSO_009460
ko:K11068	bami:KSO_009465
ko:K01754	bami:KSO_009475
ko:K07152	bami:KSO_009485
ko:K01083	bami:KSO_009520
ko:K01034	bami:KSO_009565
ko:K01438	bami:KSO_009575
ko:K03797	bami:KSO_009655
ko:K03489	bami:KSO_009660
ko:K01223	bami:KSO_009665
ko:K01201	bami:KSO_009675
ko:K15975	bami:KSO_009690
ko:K06999	bami:KSO_009695
ko:K02387	bami:KSO_011345
ko:K03706	bami:KSO_011350
ko:K03667	bami:KSO_011355
ko:K01419	bami:KSO_011360
ko:K03733	bami:KSO_011365
ko:K04094	bami:KSO_011370
ko:K03168	bami:KSO_011375
ko:K04096	bami:KSO_011385
ko:K01902	bami:KSO_011390
ko:K01903	bami:KSO_011395
ko:K04061	bami:KSO_011400
ko:K03470	bami:KSO_011410
ko:K14540	bami:KSO_011415
ko:K02884	bami:KSO_011420
ko:K00554	bami:KSO_011425
ko:K02860	bami:KSO_011430
ko:K06960	bami:KSO_011440
ko:K02959	bami:KSO_011445
ko:K03106	bami:KSO_011450
ko:K03110	bami:KSO_011465
ko:K03529	bami:KSO_011470
ko:K03685	bami:KSO_011475
ko:K02078	bami:KSO_011480
ko:K00645	bami:KSO_011490
ko:K03621	bami:KSO_011495
ko:K03655	bami:KSO_011505
ko:K01752	bami:KSO_011510
ko:K01752	bami:KSO_011515
ko:K02902	bami:KSO_011530
ko:K01783	bami:KSO_011545
ko:K06949	bami:KSO_011550
ko:K06941	bami:KSO_011565
ko:K03500	bami:KSO_011570
ko:K00604	bami:KSO_011575
ko:K01462	bami:KSO_011580
ko:K04066	bami:KSO_011585
ko:K13038	bami:KSO_011590
ko:K03060	bami:KSO_011595
ko:K07507	bami:KSO_013460
ko:K02787	bami:KSO_013495
ko:K02788	bami:KSO_013495
ko:K00849	bami:KSO_013500
ko:K00965	bami:KSO_013510
ko:K01224	bami:KSO_013515
ko:K03088	bami:KSO_013725
ko:K02818	bami:KSO_015820
ko:K02819	bami:KSO_015820
ko:K13993	bami:KSO_015835
ko:K02803	bami:KSO_015855
ko:K02804	bami:KSO_015855
ko:K01265	bami:KSO_015860
ko:K01512	bami:KSO_015885
ko:K00491	bami:KSO_015890
ko:K03319	bami:KSO_015955
ko:K01728	bami:KSO_015960
ko:K15738	bami:KSO_016010
ko:K08223	bami:KSO_016040
ko:K01709	bami:KSO_016060
ko:K00978	bami:KSO_016065
ko:K00820	bami:KSO_018485
ko:K03431	bami:KSO_018490
ko:K03088	bami:KSO_018510
ko:K07106	bami:KSO_018530
ko:K01207	bami:KSO_018545
ko:K02016	bami:KSO_018560
ko:K02015	bami:KSO_018565
ko:K02015	bami:KSO_018570
ko:K03321	bami:KSO_018585
ko:K08174	bami:KSO_018605
ko:K05311	bami:KSO_003470
ko:K00134	bami:KSO_003475
ko:K00927	bami:KSO_003485
ko:K03075	bami:KSO_003675
ko:K03928	bami:KSO_003680
ko:K12573	bami:KSO_003685
ko:K03664	bami:KSO_003695
ko:K03623	bami:KSO_003710
ko:K15633	bami:KSO_003495
ko:K01689	bami:KSO_003500
ko:K13015	bami:KSO_003510
ko:K01803	bami:KSO_003490
ko:K00003	bami:KSO_004450
ko:K05786	bami:KSO_009730
ko:K03327	bami:KSO_009755
ko:K00164	bami:KSO_009800
ko:K00658	bami:KSO_009805
ko:K03453	bami:KSO_009815
ko:K03308	bami:KSO_009820
ko:K04564	bami:KSO_009825
ko:K13993	bami:KSO_009865
ko:K01118	bami:KSO_009885
ko:K03654	bami:KSO_009895
ko:K08976	bami:KSO_009925
ko:K06878	bami:KSO_009965
ko:K00942	bami:KSO_011600
ko:K09777	bami:KSO_011605
ko:K02304	bami:KSO_011625
ko:K00860	bami:KSO_011640
ko:K00958	bami:KSO_011645
ko:K16331	bami:KSO_011650
ko:K00390	bami:KSO_011655
ko:K00762	bami:KSO_011665
ko:K01591	bami:KSO_011670
ko:K01955	bami:KSO_011685
ko:K01956	bami:KSO_011690
ko:K01465	bami:KSO_011695
ko:K00609	bami:KSO_011700
ko:K02825	bami:KSO_011710
ko:K06180	bami:KSO_011715
ko:K03101	bami:KSO_011720
ko:K01870	bami:KSO_011730
ko:K04074	bami:KSO_011740
ko:K02221	bami:KSO_011750
ko:K09772	bami:KSO_011755
ko:K06997	bami:KSO_011760
ko:K05810	bami:KSO_011765
ko:K02013	bami:KSO_011780
ko:K03091	bami:KSO_011785
ko:K03091	bami:KSO_011790
ko:K06383	bami:KSO_011795
ko:K03531	bami:KSO_011805
ko:K03590	bami:KSO_011810
ko:K03589	bami:KSO_011815
ko:K00075	bami:KSO_011820
ko:K02563	bami:KSO_011825
ko:K03588	bami:KSO_011830
ko:K01925	bami:KSO_011835
ko:K01000	bami:KSO_011840
ko:K03657	bami:KSO_013920
ko:K06341	bami:KSO_013950
ko:K06342	bami:KSO_013955
ko:K00208	bami:KSO_013975
ko:K00941	bami:KSO_013980
ko:K03149	bami:KSO_013990
ko:K03154	bami:KSO_013995
ko:K06890	bami:KSO_016100
ko:K06334	bami:KSO_016145
ko:K06333	bami:KSO_016150
ko:K06332	bami:KSO_016155
ko:K11051	bami:KSO_016190
ko:K11050	bami:KSO_016195
ko:K03215	bami:KSO_016205
ko:K02434	bami:KSO_016225
ko:K02435	bami:KSO_016235
ko:K07507	bami:KSO_016245
ko:K01972	bami:KSO_016260
ko:K03657	bami:KSO_016265
ko:K01486	bami:KSO_016295
ko:K01945	bami:KSO_016305
ko:K00602	bami:KSO_016310
ko:K11175	bami:KSO_016315
ko:K01933	bami:KSO_016320
ko:K00764	bami:KSO_016325
ko:K06349	bami:KSO_018615
ko:K06294	bami:KSO_018620
ko:K01448	bami:KSO_018630
ko:K02996	bami:KSO_018650
ko:K02871	bami:KSO_018655
ko:K06173	bami:KSO_018660
ko:K16785	bami:KSO_018665
ko:K02879	bami:KSO_018680
ko:K03040	bami:KSO_018685
ko:K02948	bami:KSO_018690
ko:K02952	bami:KSO_018695
ko:K02919	bami:KSO_018700
ko:K02518	bami:KSO_018705
ko:K01265	bami:KSO_018710
ko:K03076	bami:KSO_018720
ko:K02876	bami:KSO_018725
ko:K02907	bami:KSO_018730
ko:K02988	bami:KSO_018735
ko:K02881	bami:KSO_018740
ko:K02933	bami:KSO_018745
ko:K02994	bami:KSO_018750
ko:K02954	bami:KSO_018755
ko:K02931	bami:KSO_018760
ko:K02895	bami:KSO_018765
ko:K02874	bami:KSO_018770
ko:K02961	bami:KSO_018775
ko:K02904	bami:KSO_018780
ko:K02878	bami:KSO_018785
ko:K02982	bami:KSO_018790
ko:K02890	bami:KSO_018795
ko:K02965	bami:KSO_018800
ko:K02886	bami:KSO_018805
ko:K02892	bami:KSO_018810
ko:K02926	bami:KSO_018815
ko:K02906	bami:KSO_018820
ko:K02946	bami:KSO_018825
ko:K02358	bami:KSO_018835
ko:K02355	bami:KSO_018840
ko:K02992	bami:KSO_018845
ko:K01869	bami:KSO_005425
ko:K07406	bami:KSO_005440
ko:K10119	bami:KSO_005445
ko:K10117	bami:KSO_005455
ko:K02529	bami:KSO_005460
ko:K07007	bami:KSO_005475
ko:K03439	bami:KSO_005545
ko:K06878	bami:KSO_005585
ko:K03466	bami:KSO_005590
ko:K01924	bami:KSO_005595
ko:K13853	bami:KSO_005615
ko:K02529	bami:KSO_005620
ko:K02556	bami:KSO_005625
ko:K02557	bami:KSO_005630
ko:K04768	bami:KSO_005635
ko:K04766	bami:KSO_005645
ko:K01895	bami:KSO_005650
ko:K01866	bami:KSO_005655
ko:K05520	bami:KSO_005700
ko:K05916	bami:KSO_005710
ko:K02986	bami:KSO_005725
ko:K04486	bami:KSO_005750
ko:K03311	bami:KSO_005760
ko:K04487	bami:KSO_005765
ko:K03151	bami:KSO_005770
ko:K01895	bami:KSO_005780
ko:K00858	bami:KSO_005790
ko:K04773	bami:KSO_005795
ko:K11614	bami:KSO_004855
ko:K06348	bami:KSO_004880
ko:K06347	bami:KSO_004885
ko:K07697	bami:KSO_004890
ko:K14155	bami:KSO_004895
ko:K06901	bami:KSO_005505
ko:K01738	bami:KSO_005515
ko:K01975	bami:KSO_005520
ko:K02337	bami:KSO_005890
ko:K01963	bami:KSO_005900
ko:K01962	bami:KSO_005905
ko:K00850	bami:KSO_005910
ko:K00873	bami:KSO_005915
ko:K07113	bami:KSO_005920
ko:K01647	bami:KSO_005940
ko:K00031	bami:KSO_005945
ko:K00024	bami:KSO_005950
ko:K07636	bami:KSO_005965
ko:K00859	bami:KSO_005985
ko:K00134	bami:KSO_006005
ko:K01611	bami:KSO_006010
ko:K07738	bami:KSO_006020
ko:K01868	bami:KSO_006045
ko:K11065	bami:KSO_005815
ko:K00925	bami:KSO_005825
ko:K03638	bami:KSO_005830
ko:K01940	bami:KSO_005835
ko:K01755	bami:KSO_005840
ko:K00872	bami:KSO_004460
ko:K03885	bami:KSO_004480
ko:K01778	bami:KSO_004495
ko:K14189	bami:KSO_004505
ko:K00364	bami:KSO_004550
ko:K03885	bami:KSO_004565
ko:K01733	bami:KSO_004455
ko:K10907	bami:KSO_004915
ko:K09779	bami:KSO_004925
ko:K01810	bami:KSO_004950
ko:K10716	bami:KSO_004965
ko:K06973	bami:KSO_004980
ko:K00459	bami:KSO_005000
ko:K00686	bami:KSO_005010
ko:K05520	bami:KSO_005035
ko:K06153	bami:KSO_005050
ko:K05916	bami:KSO_005095
ko:K02909	bami:KSO_005210
ko:K01673	bami:KSO_005215
ko:K08998	bami:KSO_005220
ko:K07173	bami:KSO_005225
ko:K04047	bami:KSO_005240
ko:K01610	bami:KSO_005280
ko:K00789	bami:KSO_005290
ko:K01953	bami:KSO_005295
ko:K16188	bami:KSO_005315
ko:K01126	bami:KSO_005320
ko:K07139	bami:KSO_005335
ko:K11630	bami:KSO_005385
ko:K11629	bami:KSO_005390
ko:K11631	bami:KSO_005395
ko:K11632	bami:KSO_005400
ko:K00425	bami:KSO_005205
ko:K09775	bami:KSO_004590
ko:K01255	bami:KSO_004595
ko:K07084	bami:KSO_004600
ko:K03523	bami:KSO_004605
ko:K00216	bami:KSO_004620
ko:K02361	bami:KSO_004625
ko:K02363	bami:KSO_004630
ko:K01252	bami:KSO_004635
ko:K04780	bami:KSO_004640
ko:K00259	bami:KSO_004655
ko:K03466	bami:KSO_004680
ko:K16216	bami:KSO_004695
ko:K06950	bami:KSO_004700
ko:K00763	bami:KSO_004735
ko:K02251	bami:KSO_004760
ko:K07680	bami:KSO_004770
ko:K07691	bami:KSO_004775
ko:K05571	bami:KSO_004785
ko:K05569	bami:KSO_004795
ko:K05567	bami:KSO_004805
ko:K05566	bami:KSO_004810
ko:K02057	bami:KSO_004825
ko:K02057	bami:KSO_004830
ko:K07335	bami:KSO_004840
ko:K02551	bami:KSO_005170
ko:K01661	bami:KSO_005180
ko:K01911	bami:KSO_005185
ko:K00426	bami:KSO_005200
ko:K01928	bami:KSO_011845
ko:K08384	bami:KSO_011850
ko:K03438	bami:KSO_011865
ko:K03925	bami:KSO_011870
ko:K00077	bami:KSO_011880
ko:K02911	bami:KSO_011895
ko:K07040	bami:KSO_011900
ko:K07001	bami:KSO_011920
ko:K00954	bami:KSO_011930
ko:K02276	bami:KSO_011990
ko:K02275	bami:KSO_012000
ko:K02259	bami:KSO_012010
ko:K03588	bami:KSO_012020
ko:K01425	bami:KSO_012030
ko:K07175	bami:KSO_012040
ko:K06207	bami:KSO_012060
ko:K10810	bami:KSO_014005
ko:K03707	bami:KSO_014010
ko:K06180	bami:KSO_014025
ko:K00858	bami:KSO_014030
ko:K06886	bami:KSO_014055
ko:K08602	bami:KSO_014070
ko:K16511	bami:KSO_014080
ko:K15581	bami:KSO_014120
ko:K15580	bami:KSO_014125
ko:K01867	bami:KSO_014130
ko:K02034	bami:KSO_014140
ko:K09458	bami:KSO_014170
ko:K00648	bami:KSO_014175
ko:K02254	bami:KSO_014185
ko:K05519	bami:KSO_014190
ko:K00611	bami:KSO_014220
ko:K01955	bami:KSO_014225
ko:K01956	bami:KSO_014230
ko:K00930	bami:KSO_014240
ko:K00620	bami:KSO_014245
ko:K00145	bami:KSO_014250
ko:K01952	bami:KSO_016330
ko:K01952	bami:KSO_016335
ko:K01952	bami:KSO_016340
ko:K01923	bami:KSO_016345
ko:K01756	bami:KSO_016350
ko:K01589	bami:KSO_016355
ko:K01588	bami:KSO_016360
ko:K06901	bami:KSO_016380
ko:K03088	bami:KSO_016390
ko:K01951	bami:KSO_016395
ko:K03924	bami:KSO_016410
ko:K11735	bami:KSO_016415
ko:K03088	bami:KSO_016450
ko:K06872	bami:KSO_016470
ko:K03969	bami:KSO_016480
ko:K00847	bami:KSO_016490
ko:K04077	bami:KSO_016530
ko:K04078	bami:KSO_016535
ko:K03118	bami:KSO_016550
ko:K03116	bami:KSO_016555
ko:K01926	bami:KSO_016560
ko:K03637	bami:KSO_016565
ko:K06158	bami:KSO_016570
ko:K03789	bami:KSO_016580
ko:K06925	bami:KSO_016590
ko:K02950	bami:KSO_018850
ko:K07590	bami:KSO_018855
ko:K03046	bami:KSO_018860
ko:K03043	bami:KSO_018865
ko:K02935	bami:KSO_018875
ko:K02864	bami:KSO_018880
ko:K02863	bami:KSO_018885
ko:K02867	bami:KSO_018890
ko:K02601	bami:KSO_018895
ko:K03073	bami:KSO_018900
ko:K02913	bami:KSO_018905
ko:K03091	bami:KSO_018910
ko:K06962	bami:KSO_018915
ko:K03218	bami:KSO_018920
ko:K11145	bami:KSO_018925
ko:K01883	bami:KSO_018930
ko:K00640	bami:KSO_018935
ko:K01770	bami:KSO_018945
ko:K00991	bami:KSO_018950
ko:K04485	bami:KSO_018965
ko:K03696	bami:KSO_018970
ko:K04567	bami:KSO_018990
ko:K00950	bami:KSO_019005
ko:K01633	bami:KSO_019010
ko:K00796	bami:KSO_019015
ko:K01665	bami:KSO_019030
ko:K01738	bami:KSO_019035
ko:K11210	bami:KSO_014265
ko:K07335	bami:KSO_014325
ko:K00243	bami:KSO_014330
ko:K09767	bami:KSO_014335
ko:K02291	bami:KSO_014380
ko:K01953	bami:KSO_014385
ko:K06299	bami:KSO_014415
ko:K06300	bami:KSO_014420
ko:K06301	bami:KSO_014425
ko:K06302	bami:KSO_014430
ko:K06303	bami:KSO_014435
ko:K06304	bami:KSO_014440
ko:K03547	bami:KSO_014455
ko:K03100	bami:KSO_014505
ko:K00946	bami:KSO_016595
ko:K07217	bami:KSO_016615
ko:K03449	bami:KSO_016640
ko:K07246	bami:KSO_016700
ko:K07090	bami:KSO_016730
ko:K09458	bami:KSO_016740
ko:K07552	bami:KSO_016745
ko:K00005	bami:KSO_016750
ko:K07010	bami:KSO_016770
ko:K06439	bami:KSO_016815
ko:K07734	bami:KSO_016835
ko:K04083	bami:KSO_019045
ko:K03525	bami:KSO_019050
ko:K03798	bami:KSO_019055
ko:K00760	bami:KSO_019060
ko:K04075	bami:KSO_019065
ko:K06382	bami:KSO_019080
ko:K07571	bami:KSO_019085
ko:K04769	bami:KSO_019120
ko:K03723	bami:KSO_019125
ko:K01056	bami:KSO_019135
ko:K02897	bami:KSO_019140
ko:K00948	bami:KSO_019145
ko:K04042	bami:KSO_019150
ko:K06412	bami:KSO_019155
ko:K00919	bami:KSO_019170
ko:K06423	bami:KSO_019175
ko:K06436	bami:KSO_019185
ko:K02528	bami:KSO_019190
ko:K05985	bami:KSO_019195
ko:K03424	bami:KSO_019205
ko:K01874	bami:KSO_019210
ko:K06284	bami:KSO_019215
ko:K07056	bami:KSO_019220
ko:K07461	bami:KSO_019225
ko:K02341	bami:KSO_019245
ko:K09770	bami:KSO_019250
ko:K00943	bami:KSO_019260
ko:K00375	bami:KSO_016840
ko:K13979	bami:KSO_016855
ko:K01714	bami:KSO_016880
ko:K16264	bami:KSO_016905
ko:K03837	bami:KSO_016965
ko:K01751	bami:KSO_016980
ko:K01779	bami:KSO_017005
ko:K07090	bami:KSO_017010
ko:K03704	bami:KSO_017045
ko:K07118	bami:KSO_017050
ko:K03762	bami:KSO_017090
ko:K06317	bami:KSO_019290
ko:K06187	bami:KSO_019300
ko:K09747	bami:KSO_019305
ko:K02343	bami:KSO_019310
ko:K06306	bami:KSO_019325
ko:K15518	bami:KSO_019330
ko:K15519	bami:KSO_019335
ko:K00865	bami:KSO_019340
ko:K01875	bami:KSO_019345
ko:K08681	bami:KSO_019350
ko:K06215	bami:KSO_019355
ko:K02469	bami:KSO_019375
ko:K02470	bami:KSO_019380
ko:K03629	bami:KSO_019390
ko:K02338	bami:KSO_019400
ko:K02313	bami:KSO_019405
ko:K03100	bami:KSO_p19307
ko:K02963	bami:KSO_000100
ko:K13530	bami:KSO_000105
ko:K13531	bami:KSO_000110
ko:K01142	bami:KSO_000115
ko:K08369	bami:KSO_000130
ko:K06888	bami:KSO_000140
ko:K01118	bami:KSO_000160
ko:K00019	bami:KSO_000175
ko:K08987	bami:KSO_000225
ko:K00692	bami:KSO_000250
ko:K02939	bami:KSO_000290
ko:K01939	bami:KSO_000355
ko:K06714	bami:KSO_000435
ko:K02205	bami:KSO_000455
ko:K01476	bami:KSO_000460
ko:K00783	bami:KSO_000510
ko:K07141	bami:KSO_000575
ko:K04041	bami:KSO_000595
ko:K11737	bami:KSO_000600
ko:K03387	bami:KSO_000605
ko:K05346	bami:KSO_000810
ko:K11535	bami:KSO_000820
ko:K00756	bami:KSO_000825
ko:K01468	bami:KSO_000840
ko:K01712	bami:KSO_000845
ko:K01745	bami:KSO_000850
ko:K09683	bami:KSO_000855
ko:K03300	bami:KSO_000990
ko:K03781	bami:KSO_000995
ko:K16323	bami:KSO_001010
ko:K00563	bami:KSO_001020
ko:K11636	bami:KSO_000765
ko:K02016	bami:KSO_000775
ko:K14188	bami:KSO_001235
ko:K03739	bami:KSO_001240
ko:K03367	bami:KSO_001245
ko:K02548	bami:KSO_001255
ko:K02761	bami:KSO_001275
ko:K06969	bami:KSO_001285
ko:K00878	bami:KSO_001320
ko:K00788	bami:KSO_001325
ko:K07566	bami:KSO_001970
ko:K01808	bami:KSO_001985
ko:K00600	bami:KSO_001995
ko:K00761	bami:KSO_002000
ko:K02108	bami:KSO_002010
ko:K00965	bami:KSO_001370
ko:K02826	bami:KSO_001380
ko:K02827	bami:KSO_001385
ko:K02828	bami:KSO_001390
ko:K02829	bami:KSO_001395
ko:K03829	bami:KSO_001405
ko:K05837	bami:KSO_001410
ko:K14647	bami:KSO_001425
ko:K01193	bami:KSO_001445
ko:K00868	bami:KSO_001455
ko:K03648	bami:KSO_001480
ko:K06305	bami:KSO_001500
ko:K14234	bami:KSO_0t19494
ko:K14234	bami:KSO_0t19584
ko:K14234	bami:KSO_0t19556
ko:K14234	bami:KSO_0t19536
ko:K14234	bami:KSO_0t19426
ko:K00973	bami:KSO_001540
ko:K00067	bami:KSO_001550
ko:K01790	bami:KSO_001555
ko:K00260	bami:KSO_001565
ko:K02205	bami:KSO_001580
ko:K07552	bami:KSO_001585
ko:K10255	bami:KSO_000655
ko:K07778	bami:KSO_000660
ko:K07693	bami:KSO_000665
ko:K04079	bami:KSO_000680
ko:K06608	bami:KSO_000695
ko:K00140	bami:KSO_000700
ko:K03337	bami:KSO_000705
ko:K03338	bami:KSO_000710
ko:K03336	bami:KSO_000715
ko:K03335	bami:KSO_000720
ko:K06605	bami:KSO_000735
ko:K06606	bami:KSO_000740
ko:K11635	bami:KSO_000760
ko:K00425	bami:KSO_001090
ko:K00426	bami:KSO_001095
ko:K01442	bami:KSO_001120
ko:K03781	bami:KSO_001125
ko:K01809	bami:KSO_001135
ko:K00847	bami:KSO_001140
ko:K01223	bami:KSO_001145
ko:K02761	bami:KSO_001150
ko:K02759	bami:KSO_001155
ko:K02760	bami:KSO_001160
ko:K03893	bami:KSO_001165
ko:K02016	bami:KSO_001175
ko:K02015	bami:KSO_001180
ko:K02015	bami:KSO_001185
ko:K03652	bami:KSO_001190
ko:K02760	bami:KSO_001205
ko:K02761	bami:KSO_001210
ko:K02759	bami:KSO_001215
ko:K00826	bami:KSO_001225
ko:K03740	bami:KSO_001230
ko:K16301	bami:KSO_001335
ko:K16869	bami:KSO_001650
ko:K06314	bami:KSO_001670
ko:K06885	bami:KSO_001680
ko:K01821	bami:KSO_001705
ko:K00797	bami:KSO_001730
ko:K01887	bami:KSO_001785
ko:K02575	bami:KSO_001790
ko:K00370	bami:KSO_001810
ko:K00371	bami:KSO_001815
ko:K00373	bami:KSO_001820
ko:K06131	bami:KSO_001835
ko:K06131	bami:KSO_001855
ko:K01937	bami:KSO_001870
ko:K02490	bami:KSO_001880
ko:K01624	bami:KSO_001885
ko:K00790	bami:KSO_001895
ko:K03628	bami:KSO_001910
ko:K02909	bami:KSO_001915
ko:K07088	bami:KSO_001930
ko:K11686	bami:KSO_001935
ko:K02835	bami:KSO_001945
ko:K02493	bami:KSO_001950
ko:K06387	bami:KSO_001960
ko:K16960	bami:KSO_003750
ko:K16959	bami:KSO_003745
ko:K01776	bami:KSO_006320
ko:K00989	bami:KSO_006330
ko:K07095	bami:KSO_006340
ko:K01652	bami:KSO_006365
ko:K01653	bami:KSO_006370
ko:K00053	bami:KSO_006375
ko:K01649	bami:KSO_006380
ko:K00052	bami:KSO_006385
ko:K01703	bami:KSO_006390
ko:K01704	bami:KSO_006395
ko:K03545	bami:KSO_006410
ko:K03544	bami:KSO_006415
ko:K01338	bami:KSO_006425
ko:K03978	bami:KSO_006430
ko:K02492	bami:KSO_006440
ko:K02497	bami:KSO_006445
ko:K01749	bami:KSO_006450
ko:K01698	bami:KSO_006460
ko:K01845	bami:KSO_006465
ko:K06417	bami:KSO_006470
ko:K01873	bami:KSO_006485
ko:K11754	bami:KSO_006490
ko:K06287	bami:KSO_006505
ko:K03630	bami:KSO_006510
ko:K03569	bami:KSO_006515
ko:K03570	bami:KSO_006520
ko:K03571	bami:KSO_006525
ko:K03610	bami:KSO_006530
ko:K03609	bami:KSO_006535
ko:K06401	bami:KSO_006540
ko:K02888	bami:KSO_006550
ko:K02899	bami:KSO_006560
ko:K06375	bami:KSO_006570
ko:K03979	bami:KSO_006575
ko:K06209	bami:KSO_006580
ko:K06394	bami:KSO_008015
ko:K06395	bami:KSO_008020
ko:K06396	bami:KSO_008025
ko:K06397	bami:KSO_008030
ko:K02160	bami:KSO_008035
ko:K01961	bami:KSO_008040
ko:K03625	bami:KSO_008055
ko:K01491	bami:KSO_008060
ko:K03601	bami:KSO_008065
ko:K03602	bami:KSO_008070
ko:K13789	bami:KSO_008075
ko:K01662	bami:KSO_008080
ko:K06442	bami:KSO_008085
ko:K03402	bami:KSO_008090
ko:K03631	bami:KSO_008095
ko:K06399	bami:KSO_008100
ko:K07699	bami:KSO_008105
ko:K01775	bami:KSO_008110
ko:K01448	bami:KSO_008160
ko:K01126	bami:KSO_008165
ko:K00074	bami:KSO_008175
ko:K01647	bami:KSO_008185
ko:K01720	bami:KSO_008190
ko:K00263	bami:KSO_008215
ko:K00382	bami:KSO_008225
ko:K00166	bami:KSO_008230
ko:K00167	bami:KSO_008235
ko:K09699	bami:KSO_008240
ko:K05606	bami:KSO_008280
ko:K11216	bami:KSO_010010
ko:K00286	bami:KSO_010040
ko:K00931	bami:KSO_010045
ko:K00266	bami:KSO_010060
ko:K13955	bami:KSO_010070
ko:K07259	bami:KSO_010130
ko:K01961	bami:KSO_010180
ko:K02160	bami:KSO_010185
ko:K01640	bami:KSO_010190
ko:K00963	bami:KSO_010210
ko:K01935	bami:KSO_010235
ko:K01012	bami:KSO_010240
ko:K01028	bami:KSO_010255
ko:K00382	bami:KSO_012135
ko:K00627	bami:KSO_012140
ko:K00162	bami:KSO_012145
ko:K00161	bami:KSO_012150
ko:K01462	bami:KSO_012210
ko:K03569	bami:KSO_012255
ko:K00077	bami:KSO_012270
ko:K03100	bami:KSO_012285
ko:K02768	bami:KSO_012290
ko:K02769	bami:KSO_012290
ko:K02770	bami:KSO_012290
ko:K02003	bami:KSO_012310
ko:K03636	bami:KSO_012325
ko:K03753	bami:KSO_012335
ko:K03750	bami:KSO_012340
ko:K03752	bami:KSO_012350
ko:K02250	bami:KSO_014555
ko:K03523	bami:KSO_014580
ko:K02016	bami:KSO_014600
ko:K03800	bami:KSO_014635
ko:K11102	bami:KSO_014650
ko:K00648	bami:KSO_014665
ko:K01421	bami:KSO_014670
ko:K00231	bami:KSO_014680
ko:K01772	bami:KSO_014685
ko:K01599	bami:KSO_014690
ko:K02503	bami:KSO_014730
ko:K00831	bami:KSO_014735
ko:K09682	bami:KSO_014755
ko:K06959	bami:KSO_017155
ko:K07723	bami:KSO_017205
ko:K01775	bami:KSO_017210
ko:K00997	bami:KSO_017220
ko:K05592	bami:KSO_017240
ko:K01929	bami:KSO_017250
ko:K01921	bami:KSO_017255
ko:K11103	bami:KSO_017305
ko:K11692	bami:KSO_017310
ko:K07217	bami:KSO_017325
ko:K16958	bami:KSO_003740
ko:K04487	bami:KSO_006595
ko:K00278	bami:KSO_006600
ko:K00767	bami:KSO_006605
ko:K03517	bami:KSO_006610
ko:K06370	bami:KSO_006615
ko:K06318	bami:KSO_006630
ko:K03550	bami:KSO_006635
ko:K03551	bami:KSO_006640
ko:K07568	bami:KSO_006650
ko:K00773	bami:KSO_006655
ko:K03210	bami:KSO_006660
ko:K06409	bami:KSO_006675
ko:K12257	bami:KSO_006685
ko:K07228	bami:KSO_006690
ko:K07462	bami:KSO_006700
ko:K00759	bami:KSO_006705
ko:K07560	bami:KSO_006715
ko:K01448	bami:KSO_006720
ko:K01892	bami:KSO_006735
ko:K01876	bami:KSO_006740
ko:K07478	bami:KSO_006750
ko:K04487	bami:KSO_006760
ko:K00566	bami:KSO_006765
ko:K03581	bami:KSO_006775
ko:K10040	bami:KSO_006800
ko:K10039	bami:KSO_006805
ko:K01872	bami:KSO_006820
ko:K07447	bami:KSO_006830
ko:K07082	bami:KSO_006840
ko:K08303	bami:KSO_006850
ko:K08303	bami:KSO_006855
ko:K00876	bami:KSO_006860
ko:K03217	bami:KSO_008295
ko:K02346	bami:KSO_008305
ko:K00036	bami:KSO_008315
ko:K02913	bami:KSO_008325
ko:K02601	bami:KSO_008350
ko:K15311	bami:KSO_008420
ko:K15313	bami:KSO_008425
ko:K00286	bami:KSO_008430
ko:K07124	bami:KSO_008440
ko:K01753	bami:KSO_008445
ko:K02346	bami:KSO_008480
ko:K01744	bami:KSO_008550
ko:K03315	bami:KSO_008555
ko:K01029	bami:KSO_010260
ko:K00019	bami:KSO_010265
ko:K00645	bami:KSO_010270
ko:K15921	bami:KSO_010290
ko:K15924	bami:KSO_010295
ko:K02525	bami:KSO_010350
ko:K01625	bami:KSO_010370
ko:K08322	bami:KSO_010375
ko:K00874	bami:KSO_010380
ko:K03310	bami:KSO_010385
ko:K02621	bami:KSO_010400
ko:K02622	bami:KSO_010405
ko:K08591	bami:KSO_010415
ko:K07107	bami:KSO_010430
ko:K06434	bami:KSO_010435
ko:K06431	bami:KSO_010440
ko:K01681	bami:KSO_010455
ko:K06432	bami:KSO_010460
ko:K06433	bami:KSO_010465
ko:K06335	bami:KSO_010470
ko:K03413	bami:KSO_010485
ko:K00615	bami:KSO_010510
ko:K01356	bami:KSO_010530
ko:K05823	bami:KSO_012380
ko:K03839	bami:KSO_012390
ko:K03839	bami:KSO_012400
ko:K09776	bami:KSO_012420
ko:K03415	bami:KSO_012470
ko:K02491	bami:KSO_012485
ko:K03716	bami:KSO_012520
