ko:K01006	lmt:LMRG_01014
ko:K03666	lmt:LMRG_00745
ko:K03665	lmt:LMRG_02975
ko:K01915	lmt:LMRG_00749
ko:K03893	lmt:LMRG_00750
ko:K01356	lmt:LMRG_00752
ko:K00615	lmt:LMRG_00755
ko:K09903	lmt:LMRG_00763
ko:K02838	lmt:LMRG_00764
ko:K00806	lmt:LMRG_00765
ko:K00981	lmt:LMRG_00766
ko:K00099	lmt:LMRG_00767
ko:K11749	lmt:LMRG_00768
ko:K01881	lmt:LMRG_00769
ko:K03763	lmt:LMRG_00770
ko:K09748	lmt:LMRG_00771
ko:K02600	lmt:LMRG_00772
ko:K07742	lmt:LMRG_00773
ko:K02519	lmt:LMRG_00775
ko:K02834	lmt:LMRG_00777
ko:K11753	lmt:LMRG_00779
ko:K02956	lmt:LMRG_00780
ko:K00962	lmt:LMRG_00781
ko:K06949	lmt:LMRG_00782
ko:K02913	lmt:LMRG_00785
ko:K02247	lmt:LMRG_00793
ko:K03710	lmt:LMRG_01688
ko:K03671	lmt:LMRG_01680
ko:K08177	lmt:LMRG_01661
ko:K08600	lmt:LMRG_01651
ko:K02013	lmt:LMRG_01650
ko:K02015	lmt:LMRG_01649
ko:K02016	lmt:LMRG_01648
ko:K08602	lmt:LMRG_01644
ko:K15975	lmt:LMRG_00447
ko:K06999	lmt:LMRG_00448
ko:K03665	lmt:LMRG_00450
ko:K03800	lmt:LMRG_00452
ko:K01118	lmt:LMRG_00474
ko:K07150	lmt:LMRG_00481
ko:K07118	lmt:LMRG_00482
ko:K05786	lmt:LMRG_00483
ko:K00549	lmt:LMRG_01286
ko:K01845	lmt:LMRG_02759
ko:K10780	lmt:LMRG_02762
ko:K03575	lmt:LMRG_02763
ko:K03565	lmt:LMRG_02767
ko:K07071	lmt:LMRG_02768
ko:K14205	lmt:LMRG_02769
ko:K03790	lmt:LMRG_02772
ko:K07058	lmt:LMRG_02958
ko:K01265	lmt:LMRG_02561
ko:K03839	lmt:LMRG_02559
ko:K03569	lmt:LMRG_02556
ko:K03569	lmt:LMRG_01723
ko:K00790	lmt:LMRG_01722
ko:K02114	lmt:LMRG_01720
ko:K02112	lmt:LMRG_01719
ko:K02115	lmt:LMRG_01718
ko:K02111	lmt:LMRG_01717
ko:K02113	lmt:LMRG_01716
ko:K02109	lmt:LMRG_01715
ko:K02110	lmt:LMRG_01714
ko:K02108	lmt:LMRG_01713
ko:K00761	lmt:LMRG_01709
ko:K00600	lmt:LMRG_01708
ko:K07566	lmt:LMRG_01706
ko:K02493	lmt:LMRG_01705
ko:K02835	lmt:LMRG_01704
ko:K00872	lmt:LMRG_01702
ko:K01733	lmt:LMRG_01701
ko:K00003	lmt:LMRG_01700
ko:K02909	lmt:LMRG_01699
ko:K03628	lmt:LMRG_01696
ko:K00790	lmt:LMRG_01695
ko:K13678	lmt:LMRG_01693
ko:K01937	lmt:LMRG_02710
ko:K01887	lmt:LMRG_02708
ko:K01821	lmt:LMRG_02705
ko:K06885	lmt:LMRG_02704
ko:K08281	lmt:LMRG_02697
ko:K04083	lmt:LMRG_02644
ko:K01738	lmt:LMRG_02645
ko:K01633	lmt:LMRG_02839
ko:K00950	lmt:LMRG_02838
ko:K04567	lmt:LMRG_02836
ko:K03696	lmt:LMRG_02674
ko:K04485	lmt:LMRG_02673
ko:K00991	lmt:LMRG_02671
ko:K01770	lmt:LMRG_02670
ko:K00640	lmt:LMRG_02938
ko:K01883	lmt:LMRG_02667
ko:K11145	lmt:LMRG_02666
ko:K03218	lmt:LMRG_02665
ko:K06962	lmt:LMRG_02664
ko:K03091	lmt:LMRG_02663
ko:K02913	lmt:LMRG_02662
ko:K03073	lmt:LMRG_02661
ko:K02601	lmt:LMRG_02660
ko:K02867	lmt:LMRG_02658
ko:K02863	lmt:LMRG_02657
ko:K02864	lmt:LMRG_02656
ko:K02935	lmt:LMRG_02655
ko:K03043	lmt:LMRG_02651
ko:K03046	lmt:LMRG_02650
ko:K15975	lmt:LMRG_02609
ko:K02034	lmt:LMRG_02607
ko:K04019	lmt:LMRG_00620
ko:K03735	lmt:LMRG_00621
ko:K03736	lmt:LMRG_00622
ko:K04026	lmt:LMRG_00623
ko:K04032	lmt:LMRG_00627
ko:K04023	lmt:LMRG_00632
ko:K04030	lmt:LMRG_00633
ko:K02224	lmt:LMRG_00637
ko:K02227	lmt:LMRG_00638
ko:K06042	lmt:LMRG_00639
ko:K02188	lmt:LMRG_00640
ko:K02191	lmt:LMRG_00642
ko:K05936	lmt:LMRG_00643
ko:K02189	lmt:LMRG_00644
ko:K05895	lmt:LMRG_00646
ko:K13542	lmt:LMRG_00647
ko:K03394	lmt:LMRG_00649
ko:K02007	lmt:LMRG_00650
ko:K02232	lmt:LMRG_00654
ko:K09936	lmt:LMRG_00656
ko:K09936	lmt:LMRG_00657
ko:K03437	lmt:LMRG_00664
ko:K01889	lmt:LMRG_00667
ko:K01890	lmt:LMRG_00668
ko:K02003	lmt:LMRG_00669
ko:K03648	lmt:LMRG_00673
ko:K01925	lmt:LMRG_01185
ko:K01000	lmt:LMRG_01186
ko:K01928	lmt:LMRG_01187
ko:K03438	lmt:LMRG_01190
ko:K03925	lmt:LMRG_01191
ko:K00077	lmt:LMRG_01195
ko:K02911	lmt:LMRG_01197
ko:K07040	lmt:LMRG_01198
ko:K00954	lmt:LMRG_01202
ko:K02259	lmt:LMRG_01208
ko:K14166	lmt:LMRG_01212
ko:K03282	lmt:LMRG_01214
ko:K01442	lmt:LMRG_01217
ko:K04077	lmt:LMRG_01218
ko:K04078	lmt:LMRG_01219
ko:K01926	lmt:LMRG_01223
ko:K06158	lmt:LMRG_01224
ko:K03789	lmt:LMRG_01227
ko:K06925	lmt:LMRG_01229
ko:K06199	lmt:LMRG_01232
ko:K06199	lmt:LMRG_01233
ko:K01940	lmt:LMRG_01241
ko:K11203	lmt:LMRG_00315
ko:K11202	lmt:LMRG_00316
ko:K01534	lmt:LMRG_00327
ko:K03284	lmt:LMRG_00335
ko:K01421	lmt:LMRG_00337
ko:K08976	lmt:LMRG_00343
ko:K00868	lmt:LMRG_00349
ko:K02419	lmt:LMRG_00364
ko:K02420	lmt:LMRG_00365
ko:K02421	lmt:LMRG_00366
ko:K02401	lmt:LMRG_00367
ko:K02400	lmt:LMRG_00368
ko:K02404	lmt:LMRG_00369
ko:K02392	lmt:LMRG_00370
ko:K07113	lmt:LMRG_01398
ko:K00873	lmt:LMRG_01397
ko:K00850	lmt:LMRG_01396
ko:K01962	lmt:LMRG_01395
ko:K01963	lmt:LMRG_01394
ko:K02337	lmt:LMRG_02943
ko:K00259	lmt:LMRG_01388
ko:K00925	lmt:LMRG_01386
ko:K11065	lmt:LMRG_01384
ko:K04773	lmt:LMRG_01382
ko:K00858	lmt:LMRG_01381
ko:K00611	lmt:LMRG_01380
ko:K00930	lmt:LMRG_01378
ko:K00620	lmt:LMRG_01377
ko:K00145	lmt:LMRG_01376
ko:K03151	lmt:LMRG_01375
ko:K04487	lmt:LMRG_01374
ko:K02986	lmt:LMRG_01371
ko:K01866	lmt:LMRG_01369
ko:K02529	lmt:LMRG_01368
ko:K13853	lmt:LMRG_01367
ko:K01924	lmt:LMRG_01361
ko:K03466	lmt:LMRG_01360
ko:K06878	lmt:LMRG_01359
ko:K03439	lmt:LMRG_01351
ko:K00824	lmt:LMRG_01347
ko:K02073	lmt:LMRG_01831
ko:K02072	lmt:LMRG_01830
ko:K02071	lmt:LMRG_01829
ko:K02437	lmt:LMRG_01823
ko:K05837	lmt:LMRG_01821
ko:K05837	lmt:LMRG_01820
ko:K02013	lmt:LMRG_01819
ko:K02015	lmt:LMRG_01818
ko:K02016	lmt:LMRG_01817
ko:K03664	lmt:LMRG_01800
ko:K12573	lmt:LMRG_01799
ko:K03928	lmt:LMRG_01798
ko:K03075	lmt:LMRG_01797
ko:K01689	lmt:LMRG_01793
ko:K15633	lmt:LMRG_01792
ko:K01803	lmt:LMRG_01791
ko:K00927	lmt:LMRG_01790
ko:K00134	lmt:LMRG_01789
ko:K05311	lmt:LMRG_01788
ko:K03092	lmt:LMRG_01787
ko:K01273	lmt:LMRG_01786
ko:K01358	lmt:LMRG_01780
ko:K01448	lmt:LMRG_02378
ko:K06975	lmt:LMRG_02383
ko:K02034	lmt:LMRG_02386
ko:K09817	lmt:LMRG_02399
ko:K09816	lmt:LMRG_02400
ko:K03752	lmt:LMRG_00499
ko:K02018	lmt:LMRG_00501
ko:K02020	lmt:LMRG_00502
ko:K03750	lmt:LMRG_00503
ko:K03753	lmt:LMRG_00504
ko:K03636	lmt:LMRG_00506
ko:K03637	lmt:LMRG_00507
ko:K03639	lmt:LMRG_00508
ko:K03638	lmt:LMRG_00509
ko:K01462	lmt:LMRG_00512
ko:K00161	lmt:LMRG_00514
ko:K00162	lmt:LMRG_00515
ko:K00627	lmt:LMRG_00516
ko:K00382	lmt:LMRG_00517
ko:K02003	lmt:LMRG_00525
ko:K03284	lmt:LMRG_00526
ko:K06207	lmt:LMRG_00529
ko:K03588	lmt:LMRG_00533
ko:K02016	lmt:LMRG_00535
ko:K00963	lmt:LMRG_00540
ko:K00973	lmt:LMRG_00543
ko:K01790	lmt:LMRG_00544
ko:K00067	lmt:LMRG_00546
ko:K00763	lmt:LMRG_00554
ko:K01735	lmt:LMRG_01074
ko:K01736	lmt:LMRG_01075
ko:K00940	lmt:LMRG_01076
ko:K03183	lmt:LMRG_01078
ko:K01495	lmt:LMRG_01080
ko:K03530	lmt:LMRG_01081
ko:K00057	lmt:LMRG_01083
ko:K03977	lmt:LMRG_01084
ko:K02945	lmt:LMRG_01085
ko:K00945	lmt:LMRG_01086
ko:K03654	lmt:LMRG_01089
ko:K07651	lmt:LMRG_01094
ko:K07775	lmt:LMRG_01095
ko:K06178	lmt:LMRG_01096
ko:K06024	lmt:LMRG_01097
ko:K05896	lmt:LMRG_01098
ko:K01586	lmt:LMRG_01099
ko:K01839	lmt:LMRG_01101
ko:K02015	lmt:LMRG_01104
ko:K02015	lmt:LMRG_01105
ko:K02016	lmt:LMRG_01106
ko:K02013	lmt:LMRG_01107
ko:K01625	lmt:LMRG_01116
ko:K03710	lmt:LMRG_01121
ko:K02346	lmt:LMRG_01122
ko:K07124	lmt:LMRG_01123
ko:K00036	lmt:LMRG_02980
ko:K03501	lmt:LMRG_01895
ko:K03495	lmt:LMRG_01888
ko:K03650	lmt:LMRG_01887
ko:K08170	lmt:LMRG_01880
ko:K00831	lmt:LMRG_01873
ko:K07078	lmt:LMRG_01869
ko:K00865	lmt:LMRG_01866
ko:K03534	lmt:LMRG_02417
ko:K14219	lmt:LMRG_05039
ko:K10716	lmt:LMRG_01209
ko:K14218	lmt:LMRG_05010
ko:K14218	lmt:LMRG_05065
ko:K14218	lmt:LMRG_05060
ko:K14218	lmt:LMRG_05030
ko:K14224	lmt:LMRG_05014
ko:K14224	lmt:LMRG_05057
ko:K14224	lmt:LMRG_05041
ko:K14224	lmt:LMRG_05018
ko:K14232	lmt:LMRG_05009
ko:K14232	lmt:LMRG_05031
ko:K14235	lmt:LMRG_05051
ko:K01222	lmt:LMRG_00202
ko:K01222	lmt:LMRG_00218
ko:K01635	lmt:LMRG_00221
ko:K02782	lmt:LMRG_00225
ko:K02783	lmt:LMRG_00225
ko:K02783	lmt:LMRG_00226
ko:K07404	lmt:LMRG_00240
ko:K01523	lmt:LMRG_00243
ko:K01496	lmt:LMRG_00244
ko:K01489	lmt:LMRG_00915
ko:K02238	lmt:LMRG_00935
ko:K06948	lmt:LMRG_00944
ko:K01243	lmt:LMRG_01476
ko:K02004	lmt:LMRG_01464
ko:K07729	lmt:LMRG_01515
ko:K00882	lmt:LMRG_01507
ko:K03436	lmt:LMRG_01506
ko:K01372	lmt:LMRG_01505
ko:K06183	lmt:LMRG_01501
ko:K02564	lmt:LMRG_01484
ko:K01580	lmt:LMRG_01479
ko:K07729	lmt:LMRG_00437
ko:K07098	lmt:LMRG_00451
ko:K09704	lmt:LMRG_00453
ko:K02795	lmt:LMRG_00470
ko:K02793	lmt:LMRG_00472
ko:K03976	lmt:LMRG_00478
ko:K03316	lmt:LMRG_02794
ko:K01760	lmt:LMRG_01288
ko:K09825	lmt:LMRG_02757
ko:K07586	lmt:LMRG_02761
ko:K02116	lmt:LMRG_01712
ko:K07027	lmt:LMRG_01694
ko:K03048	lmt:LMRG_02709
ko:K02035	lmt:LMRG_02699
ko:K14230	lmt:LMRG_05028
ko:K07025	lmt:LMRG_00318
ko:K03294	lmt:LMRG_00332
ko:K07104	lmt:LMRG_00333
ko:K07457	lmt:LMRG_00345
ko:K00575	lmt:LMRG_00371
ko:K06286	lmt:LMRG_01373
ko:K01439	lmt:LMRG_01346
ko:K01580	lmt:LMRG_01814
ko:K03488	lmt:LMRG_01812
ko:K07032	lmt:LMRG_01811
ko:K06994	lmt:LMRG_01785
ko:K01641	lmt:LMRG_00867
ko:K06902	lmt:LMRG_00869
ko:K05845	lmt:LMRG_00874
ko:K05846	lmt:LMRG_00874
ko:K00383	lmt:LMRG_00885
ko:K07533	lmt:LMRG_00896
ko:K02076	lmt:LMRG_00897
ko:K15986	lmt:LMRG_00900
ko:K06889	lmt:LMRG_01569
ko:K01580	lmt:LMRG_00139
ko:K10254	lmt:LMRG_00162
ko:K02775	lmt:LMRG_00189
ko:K02443	lmt:LMRG_00857
ko:K00626	lmt:LMRG_00866
ko:K00158	lmt:LMRG_00411
ko:K03406	lmt:LMRG_00412
ko:K02755	lmt:LMRG_00426
ko:K02756	lmt:LMRG_00426
ko:K02757	lmt:LMRG_00426
ko:K00016	lmt:LMRG_01300
ko:K09815	lmt:LMRG_01296
ko:K08680	lmt:LMRG_01293
ko:K02552	lmt:LMRG_01291
ko:K09762	lmt:LMRG_01776
ko:K01835	lmt:LMRG_01773
ko:K01785	lmt:LMRG_01772
ko:K01784	lmt:LMRG_01771
ko:K06023	lmt:LMRG_01765
ko:K07658	lmt:LMRG_01747
ko:K02242	lmt:LMRG_01736
ko:K02240	lmt:LMRG_01735
ko:K07692	lmt:LMRG_01733
ko:K02549	lmt:LMRG_01728
ko:K03492	lmt:LMRG_00257
ko:K07030	lmt:LMRG_00272
ko:K06147	lmt:LMRG_00290
ko:K06147	lmt:LMRG_00291
ko:K00016	lmt:LMRG_01436
ko:K04518	lmt:LMRG_01434
ko:K07584	lmt:LMRG_01429
ko:K02236	lmt:LMRG_01419
ko:K01719	lmt:LMRG_01413
ko:K11144	lmt:LMRG_01407
ko:K03346	lmt:LMRG_01406
ko:K10563	lmt:LMRG_01403
ko:K07570	lmt:LMRG_02714
ko:K02004	lmt:LMRG_02716
ko:K03768	lmt:LMRG_02721
ko:K05565	lmt:LMRG_02723
ko:K05568	lmt:LMRG_02726
ko:K05570	lmt:LMRG_02728
ko:K00657	lmt:LMRG_01848
ko:K07729	lmt:LMRG_01840
ko:K04488	lmt:LMRG_01836
ko:K08969	lmt:LMRG_02585
ko:K07668	lmt:LMRG_02584
ko:K07652	lmt:LMRG_02583
ko:K02428	lmt:LMRG_00685
ko:K03491	lmt:LMRG_02571
ko:K03471	lmt:LMRG_00674
ko:K01507	lmt:LMRG_00030
ko:K00616	lmt:LMRG_00034
ko:K00244	lmt:LMRG_00046
ko:K03713	lmt:LMRG_00748
ko:K09976	lmt:LMRG_00756
ko:K09764	lmt:LMRG_00776
ko:K03177	lmt:LMRG_00778
ko:K01934	lmt:LMRG_00786
ko:K00845	lmt:LMRG_00789
ko:K02249	lmt:LMRG_00791
ko:K02248	lmt:LMRG_00792
ko:K07035	lmt:LMRG_01687
ko:K01759	lmt:LMRG_01664
ko:K01026	lmt:LMRG_01660
ko:K10823	lmt:LMRG_01640
ko:K11737	lmt:LMRG_00475
ko:K03486	lmt:LMRG_00702
ko:K04750	lmt:LMRG_00689
ko:K01226	lmt:LMRG_00703
ko:K05020	lmt:LMRG_01243
ko:K00882	lmt:LMRG_01246
ko:K02775	lmt:LMRG_01247
ko:K00625	lmt:LMRG_01256
ko:K07098	lmt:LMRG_01260
ko:K02004	lmt:LMRG_01269
ko:K07052	lmt:LMRG_01281
ko:K02793	lmt:LMRG_02345
ko:K02794	lmt:LMRG_02345
ko:K02795	lmt:LMRG_02346
ko:K06147	lmt:LMRG_02356
ko:K06147	lmt:LMRG_02357
ko:K00088	lmt:LMRG_02381
ko:K02035	lmt:LMRG_02384
ko:K02033	lmt:LMRG_02385
ko:K02035	lmt:LMRG_02397
ko:K09815	lmt:LMRG_02398
ko:K02017	lmt:LMRG_00500
ko:K03635	lmt:LMRG_00505
ko:K02004	lmt:LMRG_00524
ko:K01092	lmt:LMRG_00528
ko:K01958	lmt:LMRG_00534
ko:K09693	lmt:LMRG_00537
ko:K01916	lmt:LMRG_00555
ko:K00805	lmt:LMRG_01077
ko:K00805	lmt:LMRG_01079
ko:K01104	lmt:LMRG_01082
ko:K01424	lmt:LMRG_01087
ko:K00657	lmt:LMRG_02437
ko:K00869	lmt:LMRG_02439
ko:K01597	lmt:LMRG_02440
ko:K00938	lmt:LMRG_02441
ko:K02793	lmt:LMRG_02450
ko:K02795	lmt:LMRG_02452
ko:K06201	lmt:LMRG_02455
ko:K02755	lmt:LMRG_02456
ko:K02756	lmt:LMRG_02456
ko:K02757	lmt:LMRG_02456
ko:K00867	lmt:LMRG_02022
ko:K01104	lmt:LMRG_02037
ko:K02564	lmt:LMRG_02056
ko:K07816	lmt:LMRG_02066
ko:K02823	lmt:LMRG_00981
ko:K02824	lmt:LMRG_00986
ko:K07213	lmt:LMRG_00999
ko:K03784	lmt:LMRG_01003
ko:K03810	lmt:LMRG_01005
ko:K07305	lmt:LMRG_02979
ko:K07304	lmt:LMRG_01007
ko:K00851	lmt:LMRG_01984
ko:K16012	lmt:LMRG_01981
ko:K16013	lmt:LMRG_01980
ko:K04750	lmt:LMRG_01972
ko:K07048	lmt:LMRG_01117
ko:K03475	lmt:LMRG_01118
ko:K02822	lmt:LMRG_01119
ko:K02821	lmt:LMRG_01120
ko:K05337	lmt:LMRG_01091
ko:K00784	lmt:LMRG_01124
ko:K02799	lmt:LMRG_01898
ko:K03783	lmt:LMRG_01100
ko:K02800	lmt:LMRG_01898
ko:K01788	lmt:LMRG_01896
ko:K00059	lmt:LMRG_01883
ko:K00058	lmt:LMRG_02985
ko:K04844	lmt:LMRG_01865
ko:K02025	lmt:LMRG_01860
ko:K04763	lmt:LMRG_01102
ko:K03711	lmt:LMRG_01103
ko:K01515	lmt:LMRG_01112
ko:K03708	lmt:LMRG_02677
ko:K11072	lmt:LMRG_02790
ko:K11071	lmt:LMRG_02789
ko:K11069	lmt:LMRG_02787
ko:K01674	lmt:LMRG_02786
ko:K02371	lmt:LMRG_02783
ko:K00054	lmt:LMRG_02250
ko:K06147	lmt:LMRG_02260
ko:K07784	lmt:LMRG_02261
ko:K02025	lmt:LMRG_02283
ko:K01226	lmt:LMRG_02285
ko:K09963	lmt:LMRG_02553
ko:K02025	lmt:LMRG_02540
ko:K02004	lmt:LMRG_02525
ko:K02433	lmt:LMRG_02516
ko:K07094	lmt:LMRG_02511
ko:K02004	lmt:LMRG_02686
ko:K03593	lmt:LMRG_02130
ko:K09952	lmt:LMRG_02138
ko:K01426	lmt:LMRG_02147
ko:K00939	lmt:LMRG_02155
ko:K01739	lmt:LMRG_01287
ko:K09698	lmt:LMRG_02669
ko:K00564	lmt:LMRG_02653
ko:K01439	lmt:LMRG_02611
ko:K03399	lmt:LMRG_00641
ko:K02190	lmt:LMRG_00648
ko:K02009	lmt:LMRG_00651
ko:K02004	lmt:LMRG_00670
ko:K06994	lmt:LMRG_00672
ko:K08724	lmt:LMRG_01188
ko:K08152	lmt:LMRG_01192
ko:K07177	lmt:LMRG_01201
ko:K07052	lmt:LMRG_01221
ko:K06889	lmt:LMRG_01225
ko:K01409	lmt:LMRG_01226
ko:K05937	lmt:LMRG_00080
ko:K15524	lmt:LMRG_00094
ko:K01759	lmt:LMRG_00099
ko:K07729	lmt:LMRG_00108
ko:K02246	lmt:LMRG_00794
ko:K02245	lmt:LMRG_00795
ko:K02244	lmt:LMRG_00796
ko:K02243	lmt:LMRG_00797
ko:K01262	lmt:LMRG_00804
ko:K00929	lmt:LMRG_00820
ko:K00033	lmt:LMRG_00828
ko:K01823	lmt:LMRG_00835
ko:K02056	lmt:LMRG_00841
ko:K00059	lmt:LMRG_00846
ko:K15582	lmt:LMRG_01638
ko:K06976	lmt:LMRG_01623
ko:K07533	lmt:LMRG_01613
ko:K03698	lmt:LMRG_01612
ko:K01679	lmt:LMRG_01607
ko:K12555	lmt:LMRG_01603
ko:K01478	lmt:LMRG_02472
ko:K07706	lmt:LMRG_02479
ko:K00567	lmt:LMRG_02096
ko:K03697	lmt:LMRG_02097
ko:K07052	lmt:LMRG_02954
ko:K11189	lmt:LMRG_02102
ko:K08483	lmt:LMRG_02103
ko:K00841	lmt:LMRG_02106
ko:K05822	lmt:LMRG_02111
ko:K06201	lmt:LMRG_02118
ko:K01182	lmt:LMRG_02970
ko:K03478	lmt:LMRG_02963
ko:K09685	lmt:LMRG_02614
ko:K02005	lmt:LMRG_02615
ko:K02004	lmt:LMRG_02617
ko:K01771	lmt:LMRG_02623
ko:K11031	lmt:LMRG_02624
ko:K00016	lmt:LMRG_02632
ko:K06889	lmt:LMRG_00570
ko:K13921	lmt:LMRG_00609
ko:K04720	lmt:LMRG_00612
ko:K01619	lmt:LMRG_01143
ko:K02793	lmt:LMRG_01145
ko:K07720	lmt:LMRG_01158
ko:K09704	lmt:LMRG_01161
ko:K01191	lmt:LMRG_01162
ko:K07105	lmt:LMRG_01170
ko:K01629	lmt:LMRG_02418
ko:K01813	lmt:LMRG_02419
ko:K06610	lmt:LMRG_02421
ko:K06346	lmt:LMRG_02424
ko:K09167	lmt:LMRG_02306
ko:K08981	lmt:LMRG_02307
ko:K07315	lmt:LMRG_02316
ko:K03090	lmt:LMRG_02319
ko:K03095	lmt:LMRG_02323
ko:K03492	lmt:LMRG_02845
ko:K00383	lmt:LMRG_02006
ko:K00135	lmt:LMRG_02013
ko:K03491	lmt:LMRG_02018
ko:K01258	lmt:LMRG_02832
ko:K01104	lmt:LMRG_00947
ko:K09787	lmt:LMRG_00949
ko:K00059	lmt:LMRG_00954
ko:K07030	lmt:LMRG_00961
ko:K00949	lmt:LMRG_00964
ko:K00805	lmt:LMRG_02185
ko:K00805	lmt:LMRG_02186
ko:K01470	lmt:LMRG_02192
ko:K07048	lmt:LMRG_02193
ko:K03475	lmt:LMRG_02194
ko:K02822	lmt:LMRG_02195
ko:K02775	lmt:LMRG_02210
ko:K01990	lmt:LMRG_02801
ko:K01992	lmt:LMRG_02800
ko:K11617	lmt:LMRG_02121
ko:K11618	lmt:LMRG_02122
ko:K03499	lmt:LMRG_02123
ko:K02755	lmt:LMRG_00496
ko:K02756	lmt:LMRG_00496
ko:K02757	lmt:LMRG_00496
ko:K03469	lmt:LMRG_01027
ko:K03700	lmt:LMRG_01038
ko:K02086	lmt:LMRG_01042
ko:K00974	lmt:LMRG_01052
ko:K00027	lmt:LMRG_01062
ko:K04517	lmt:LMRG_01071
ko:K01191	lmt:LMRG_01962
ko:K08161	lmt:LMRG_01955
ko:K00616	lmt:LMRG_01953
ko:K07343	lmt:LMRG_01950
ko:K03342	lmt:LMRG_01946
ko:K07258	lmt:LMRG_01942
ko:K00088	lmt:LMRG_01938
ko:K03488	lmt:LMRG_02900
ko:K03491	lmt:LMRG_01913
ko:K02755	lmt:LMRG_01910
ko:K02756	lmt:LMRG_01910
ko:K02757	lmt:LMRG_01910
ko:K03488	lmt:LMRG_01909
ko:K02755	lmt:LMRG_01923
ko:K02756	lmt:LMRG_01923
ko:K02757	lmt:LMRG_01923
ko:K07038	lmt:LMRG_02764
ko:K16509	lmt:LMRG_01641
ko:K03699	lmt:LMRG_01958
ko:K01840	lmt:LMRG_02288
ko:K01838	lmt:LMRG_01867
ko:K11733	lmt:LMRG_02868
ko:K01977	lmt:LMRG_05509
ko:K01977	lmt:LMRG_05515
ko:K01977	lmt:LMRG_05504
ko:K01977	lmt:LMRG_05518
ko:K01977	lmt:LMRG_05512
ko:K01223	lmt:LMRG_02605
ko:K01223	lmt:LMRG_02648
ko:K06198	lmt:LMRG_01643
ko:K02769	lmt:LMRG_00092
ko:K02769	lmt:LMRG_02804
ko:K01977	lmt:LMRG_05501
ko:K15583	lmt:LMRG_01639
ko:K14234	lmt:LMRG_05063
ko:K16511	lmt:LMRG_01642
ko:K01223	lmt:LMRG_01934
ko:K02798	lmt:LMRG_01900
ko:K01223	lmt:LMRG_00256
ko:K02769	lmt:LMRG_00119
ko:K16329	lmt:LMRG_01503
ko:K16169	lmt:LMRG_01031
ko:K05518	lmt:LMRG_02320
ko:K16301	lmt:LMRG_00059
ko:K05340	lmt:LMRG_02414
ko:K05340	lmt:LMRG_00116
ko:K16264	lmt:LMRG_02693
ko:K02851	lmt:LMRG_02058
ko:K16644	lmt:LMRG_02626
ko:K15770	lmt:LMRG_01279
ko:K00020	lmt:LMRG_02105
ko:K01081	lmt:LMRG_02379
ko:K07483	lmt:LMRG_00347
ko:K01985	lmt:LMRG_05503
ko:K01985	lmt:LMRG_05510
ko:K01985	lmt:LMRG_05506
ko:K01985	lmt:LMRG_05513
ko:K01985	lmt:LMRG_05516
ko:K01985	lmt:LMRG_05507
ko:K13730	lmt:LMRG_00126
ko:K13731	lmt:LMRG_00127
ko:K15772	lmt:LMRG_01277
ko:K15771	lmt:LMRG_01278
ko:K16786	lmt:LMRG_02145
ko:K02768	lmt:LMRG_00118
ko:K02025	lmt:LMRG_00454
ko:K02026	lmt:LMRG_02745
ko:K16787	lmt:LMRG_02144
ko:K16785	lmt:LMRG_02143
ko:K09681	lmt:LMRG_02536
ko:K00980	lmt:LMRG_00551
ko:K16789	lmt:LMRG_00881
ko:K01183	lmt:LMRG_02354
ko:K02768	lmt:LMRG_00091
ko:K02768	lmt:LMRG_02803
ko:K02768	lmt:LMRG_00314
ko:K02226	lmt:LMRG_00592
ko:K02025	lmt:LMRG_02744
ko:K13052	lmt:LMRG_02639
ko:K03328	lmt:LMRG_02637
ko:K00008	lmt:LMRG_00187
ko:K10947	lmt:LMRG_00282
ko:K01990	lmt:LMRG_00430
ko:K07483	lmt:LMRG_02255
ko:K01426	lmt:LMRG_02272
ko:K07045	lmt:LMRG_02293
ko:K04757	lmt:LMRG_02318
ko:K07284	lmt:LMRG_02028
ko:K10947	lmt:LMRG_00408
ko:K03574	lmt:LMRG_00694
ko:K00634	lmt:LMRG_00819
ko:K01271	lmt:LMRG_01389
ko:K00571	lmt:LMRG_01385
ko:K03574	lmt:LMRG_01345
ko:K16785	lmt:LMRG_02179
ko:K01990	lmt:LMRG_02547
ko:K01992	lmt:LMRG_01110
ko:K01191	lmt:LMRG_01164
ko:K02538	lmt:LMRG_02802
ko:K06400	lmt:LMRG_01511
ko:K03574	lmt:LMRG_02713
ko:K09951	lmt:LMRG_02136
ko:K02768	lmt:LMRG_00048
ko:K11050	lmt:LMRG_02086
ko:K16651	lmt:LMRG_00613
ko:K02851	lmt:LMRG_01729
ko:K18344	lmt:LMRG_00522
ko:K16898	lmt:LMRG_02922
ko:K01834	lmt:LMRG_01627
ko:K02030	lmt:LMRG_02533
ko:K14236	lmt:LMRG_05043
ko:K14236	lmt:LMRG_05052
ko:K14237	lmt:LMRG_05067
ko:K02006	lmt:LMRG_00653
ko:K14228	lmt:LMRG_05005
ko:K14228	lmt:LMRG_05035
ko:K14231	lmt:LMRG_05024
ko:K14231	lmt:LMRG_05053
ko:K18345	lmt:LMRG_00523
ko:K11991	lmt:LMRG_01977
ko:K07979	lmt:LMRG_01591
ko:K10974	lmt:LMRG_00148
ko:K02008	lmt:LMRG_00652
