ko:K00020	cpsu:CPTB_00721
ko:K10805	cpsu:CPTB_02010
ko:K01159	cpsu:CPTB_02014
ko:K03550	cpsu:CPTB_02015
ko:K03551	cpsu:CPTB_02016
ko:K03210	cpsu:CPTB_02017
ko:K03072	cpsu:CPTB_02018
ko:K03074	cpsu:CPTB_02019
ko:K02035	cpsu:CPTB_02020
ko:K00759	cpsu:CPTB_02021
ko:K00951	cpsu:CPTB_02022
ko:K03768	cpsu:CPTB_02024
ko:K11065	cpsu:CPTB_02025
ko:K01892	cpsu:CPTB_02027
ko:K18292	cpsu:CPTB_02031
ko:K01752	cpsu:CPTB_02032
ko:K00299	cpsu:CPTB_02033
ko:K00240	cpsu:CPTB_00757
ko:K00239	cpsu:CPTB_00758
ko:K00241	cpsu:CPTB_00759
ko:K07110	cpsu:CPTB_00760
ko:K00382	cpsu:CPTB_00761
ko:K01322	cpsu:CPTB_00764
ko:K00973	cpsu:CPTB_00768
ko:K02341	cpsu:CPTB_00773
ko:K03168	cpsu:CPTB_00776
ko:K03704	cpsu:CPTB_00777
ko:K06877	cpsu:CPTB_00778
ko:K12510	cpsu:CPTB_00783
ko:K02283	cpsu:CPTB_00784
ko:K10773	cpsu:CPTB_00794
ko:K09117	cpsu:CPTB_00802
ko:K01990	cpsu:CPTB_00807
ko:K02888	cpsu:CPTB_01576
ko:K02899	cpsu:CPTB_01577
ko:K03979	cpsu:CPTB_01578
ko:K00931	cpsu:CPTB_01579
ko:K07085	cpsu:CPTB_01580
ko:K09790	cpsu:CPTB_01581
ko:K00147	cpsu:CPTB_01583
ko:K00969	cpsu:CPTB_01584
ko:K09710	cpsu:CPTB_01585
ko:K02237	cpsu:CPTB_01588
ko:K02238	cpsu:CPTB_01589
ko:K02340	cpsu:CPTB_01590
ko:K05835	cpsu:CPTB_01592
ko:K02968	cpsu:CPTB_01593
ko:K03596	cpsu:CPTB_01595
ko:K02035	cpsu:CPTB_01600
ko:K02035	cpsu:CPTB_01601
ko:K07112	cpsu:CPTB_01604
ko:K06997	cpsu:CPTB_01605
ko:K02031	cpsu:CPTB_01609
ko:K02032	cpsu:CPTB_01609
ko:K02034	cpsu:CPTB_01610
ko:K02033	cpsu:CPTB_01611
ko:K02035	cpsu:CPTB_01612
ko:K07088	cpsu:CPTB_01613
ko:K03311	cpsu:CPTB_01618
ko:K06147	cpsu:CPTB_01619
ko:K06147	cpsu:CPTB_01620
ko:K01823	cpsu:CPTB_01626
ko:K01823	cpsu:CPTB_01627
ko:K01284	cpsu:CPTB_01629
ko:K05838	cpsu:CPTB_00120
ko:K05606	cpsu:CPTB_00122
ko:K07503	cpsu:CPTB_00124
ko:K02114	cpsu:CPTB_00125
ko:K02112	cpsu:CPTB_00126
ko:K02115	cpsu:CPTB_00127
ko:K02111	cpsu:CPTB_00128
ko:K02113	cpsu:CPTB_00129
ko:K02109	cpsu:CPTB_00130
ko:K02110	cpsu:CPTB_00131
ko:K02108	cpsu:CPTB_00132
ko:K02851	cpsu:CPTB_00135
ko:K02493	cpsu:CPTB_00137
ko:K02835	cpsu:CPTB_00138
ko:K03628	cpsu:CPTB_00139
ko:K07386	cpsu:CPTB_00909
ko:K02440	cpsu:CPTB_00911
ko:K00864	cpsu:CPTB_00912
ko:K06996	cpsu:CPTB_00916
ko:K01246	cpsu:CPTB_00920
ko:K03919	cpsu:CPTB_00921
ko:K03579	cpsu:CPTB_00922
ko:K03475	cpsu:CPTB_00923
ko:K02821	cpsu:CPTB_00925
ko:K07090	cpsu:CPTB_00926
ko:K07120	cpsu:CPTB_00928
ko:K06966	cpsu:CPTB_00933
ko:K01858	cpsu:CPTB_00941
ko:K01241	cpsu:CPTB_00944
ko:K01012	cpsu:CPTB_00947
ko:K05847	cpsu:CPTB_00950
ko:K05846	cpsu:CPTB_00951
ko:K05846	cpsu:CPTB_00952
ko:K03088	cpsu:CPTB_00957
ko:K05343	cpsu:CPTB_00961
ko:K06213	cpsu:CPTB_00963
ko:K03801	cpsu:CPTB_01734
ko:K02437	cpsu:CPTB_01736
ko:K00605	cpsu:CPTB_01737
ko:K00281	cpsu:CPTB_01738
ko:K00658	cpsu:CPTB_01739
ko:K01255	cpsu:CPTB_01741
ko:K00826	cpsu:CPTB_01742
ko:K02233	cpsu:CPTB_01743
ko:K00768	cpsu:CPTB_01744
ko:K02231	cpsu:CPTB_01745
ko:K01953	cpsu:CPTB_01748
ko:K02275	cpsu:CPTB_01749
ko:K02276	cpsu:CPTB_01751
ko:K03889	cpsu:CPTB_01752
ko:K03890	cpsu:CPTB_01753
ko:K03891	cpsu:CPTB_01754
ko:K13668	cpsu:CPTB_01758
ko:K00845	cpsu:CPTB_01759
ko:K00655	cpsu:CPTB_01760
ko:K01626	cpsu:CPTB_01763
ko:K14337	cpsu:CPTB_01766
ko:K13787	cpsu:CPTB_01767
ko:K00297	cpsu:CPTB_01768
ko:K03925	cpsu:CPTB_01773
ko:K03438	cpsu:CPTB_01774
ko:K03587	cpsu:CPTB_01776
ko:K01928	cpsu:CPTB_01777
ko:K01929	cpsu:CPTB_01778
ko:K01000	cpsu:CPTB_01779
ko:K01925	cpsu:CPTB_01780
ko:K03588	cpsu:CPTB_01781
ko:K01985	cpsu:CPTB_rRNA00001
ko:K01985	cpsu:CPTB_rRNA00009
ko:K01985	cpsu:CPTB_rRNA00012
ko:K01985	cpsu:CPTB_rRNA00004
ko:K14236	cpsu:CPTB_tRNA00013
ko:K02032	cpsu:CPTB_01236
ko:K03823	cpsu:CPTB_00244
ko:K00600	cpsu:CPTB_00250
ko:K00867	cpsu:CPTB_00251
ko:K12503	cpsu:CPTB_00253
ko:K18455	cpsu:CPTB_00255
ko:K03624	cpsu:CPTB_00257
ko:K01524	cpsu:CPTB_00262
ko:K09009	cpsu:CPTB_00263
ko:K01689	cpsu:CPTB_00266
ko:K02428	cpsu:CPTB_00268
ko:K03758	cpsu:CPTB_00269
ko:K03723	cpsu:CPTB_00270
ko:K04042	cpsu:CPTB_00274
ko:K00948	cpsu:CPTB_00275
ko:K02897	cpsu:CPTB_00277
ko:K01056	cpsu:CPTB_00278
ko:K00459	cpsu:CPTB_00280
ko:K01056	cpsu:CPTB_00281
ko:K02837	cpsu:CPTB_00283
ko:K01259	cpsu:CPTB_00284
ko:K00134	cpsu:CPTB_00286
ko:K00134	cpsu:CPTB_00287
ko:K03811	cpsu:CPTB_00293
ko:K02004	cpsu:CPTB_01069
ko:K02003	cpsu:CPTB_01070
ko:K01869	cpsu:CPTB_01072
ko:K01421	cpsu:CPTB_01074
ko:K04047	cpsu:CPTB_01078
ko:K03975	cpsu:CPTB_01079
ko:K07146	cpsu:CPTB_01080
ko:K02990	cpsu:CPTB_01089
ko:K02939	cpsu:CPTB_01091
ko:K08369	cpsu:CPTB_01095
ko:K08369	cpsu:CPTB_01096
ko:K17686	cpsu:CPTB_01098
ko:K03671	cpsu:CPTB_01100
ko:K01990	cpsu:CPTB_01105
ko:K06177	cpsu:CPTB_01108
ko:K09125	cpsu:CPTB_01112
ko:K03217	cpsu:CPTB_01114
ko:K02232	cpsu:CPTB_01886
ko:K17883	cpsu:CPTB_01888
ko:K00116	cpsu:CPTB_01890
ko:K03404	cpsu:CPTB_01891
ko:K13580	cpsu:CPTB_01892
ko:K02224	cpsu:CPTB_01894
ko:K00567	cpsu:CPTB_01895
ko:K02303	cpsu:CPTB_01898
ko:K09861	cpsu:CPTB_01899
ko:K01881	cpsu:CPTB_01900
ko:K09748	cpsu:CPTB_01902
ko:K02600	cpsu:CPTB_01903
ko:K07742	cpsu:CPTB_01904
ko:K02519	cpsu:CPTB_01905
ko:K02834	cpsu:CPTB_01906
ko:K03177	cpsu:CPTB_01911
ko:K11753	cpsu:CPTB_01912
ko:K02956	cpsu:CPTB_01914
ko:K00962	cpsu:CPTB_01915
ko:K00215	cpsu:CPTB_01916
ko:K01714	cpsu:CPTB_01919
ko:K12574	cpsu:CPTB_01920
ko:K03466	cpsu:CPTB_01922
ko:K05794	cpsu:CPTB_01923
ko:K09780	cpsu:CPTB_01924
ko:K00995	cpsu:CPTB_01925
ko:K03743	cpsu:CPTB_01926
ko:K16784	cpsu:CPTB_01930
ko:K03523	cpsu:CPTB_01931
ko:K03565	cpsu:CPTB_01934
ko:K06168	cpsu:CPTB_01935
ko:K06287	cpsu:CPTB_00503
ko:K01011	cpsu:CPTB_00509
ko:K11263	cpsu:CPTB_00510
ko:K01958	cpsu:CPTB_00513
ko:K00382	cpsu:CPTB_00514
ko:K01840	cpsu:CPTB_00516
ko:K00761	cpsu:CPTB_00518
ko:K01488	cpsu:CPTB_00522
ko:K07258	cpsu:CPTB_00524
ko:K07058	cpsu:CPTB_00525
ko:K01867	cpsu:CPTB_00526
ko:K01142	cpsu:CPTB_00528
ko:K00031	cpsu:CPTB_00531
ko:K01740	cpsu:CPTB_00532
ko:K01740	cpsu:CPTB_00533
ko:K02013	cpsu:CPTB_00535
ko:K02015	cpsu:CPTB_00536
ko:K02016	cpsu:CPTB_00537
ko:K00641	cpsu:CPTB_00540
ko:K00641	cpsu:CPTB_00541
ko:K01491	cpsu:CPTB_00543
ko:K03216	cpsu:CPTB_00544
ko:K03709	cpsu:CPTB_00545
ko:K02077	cpsu:CPTB_00549
ko:K02073	cpsu:CPTB_00553
ko:K05570	cpsu:CPTB_01331
ko:K05569	cpsu:CPTB_01332
ko:K05568	cpsu:CPTB_01333
ko:K05567	cpsu:CPTB_01334
ko:K05565	cpsu:CPTB_01335
ko:K04077	cpsu:CPTB_01341
ko:K11103	cpsu:CPTB_01349
ko:K01507	cpsu:CPTB_01351
ko:K07259	cpsu:CPTB_01352
ko:K04075	cpsu:CPTB_01353
ko:K00760	cpsu:CPTB_01354
ko:K03798	cpsu:CPTB_01355
ko:K01495	cpsu:CPTB_01356
ko:K00796	cpsu:CPTB_01357
ko:K01633	cpsu:CPTB_01358
ko:K00950	cpsu:CPTB_01359
ko:K01918	cpsu:CPTB_01363
ko:K02168	cpsu:CPTB_01365
ko:K04567	cpsu:CPTB_01370
ko:K07052	cpsu:CPTB_01371
ko:K03696	cpsu:CPTB_01376
ko:K03575	cpsu:CPTB_01379
ko:K01673	cpsu:CPTB_01380
ko:K04485	cpsu:CPTB_01382
ko:K04485	cpsu:CPTB_01383
ko:K00254	cpsu:CPTB_02137
ko:K06153	cpsu:CPTB_02140
ko:K15526	cpsu:CPTB_02141
ko:K00548	cpsu:CPTB_02143
ko:K01523	cpsu:CPTB_02145
ko:K00765	cpsu:CPTB_02146
ko:K07791	cpsu:CPTB_02147
ko:K01744	cpsu:CPTB_02149
ko:K01938	cpsu:CPTB_02150
ko:K01267	cpsu:CPTB_02154
ko:K07442	cpsu:CPTB_02155
ko:K13527	cpsu:CPTB_02156
ko:K13570	cpsu:CPTB_02158
ko:K13571	cpsu:CPTB_02159
ko:K13573	cpsu:CPTB_02161
ko:K03116	cpsu:CPTB_02162
ko:K03118	cpsu:CPTB_02163
ko:K03727	cpsu:CPTB_02164
ko:K00595	cpsu:CPTB_02168
ko:K05936	cpsu:CPTB_02169
ko:K05895	cpsu:CPTB_02170
ko:K13540	cpsu:CPTB_02171
ko:K06042	cpsu:CPTB_02172
ko:K02229	cpsu:CPTB_02173
ko:K02230	cpsu:CPTB_02174
ko:K07113	cpsu:CPTB_02175
ko:K03820	cpsu:CPTB_02176
ko:K00721	cpsu:CPTB_02177
ko:K00574	cpsu:CPTB_02183
ko:K03885	cpsu:CPTB_02184
ko:K02032	cpsu:CPTB_01053
ko:K02358	cpsu:CPTB_00663
ko:K02355	cpsu:CPTB_00665
ko:K02992	cpsu:CPTB_00666
ko:K02950	cpsu:CPTB_00667
ko:K04069	cpsu:CPTB_00670
ko:K07089	cpsu:CPTB_00671
ko:K01992	cpsu:CPTB_00673
ko:K01990	cpsu:CPTB_00674
ko:K03046	cpsu:CPTB_00678
ko:K03043	cpsu:CPTB_00679
ko:K02935	cpsu:CPTB_00687
ko:K02864	cpsu:CPTB_00688
ko:K01372	cpsu:CPTB_00690
ko:K01372	cpsu:CPTB_00691
ko:K01372	cpsu:CPTB_00692
ko:K02863	cpsu:CPTB_00693
ko:K02867	cpsu:CPTB_00694
ko:K02601	cpsu:CPTB_00695
ko:K03073	cpsu:CPTB_00696
ko:K00805	cpsu:CPTB_00697
ko:K00016	cpsu:CPTB_00699
ko:K03183	cpsu:CPTB_00700
ko:K12583	cpsu:CPTB_00701
ko:K02551	cpsu:CPTB_00703
ko:K02549	cpsu:CPTB_00704
ko:K03326	cpsu:CPTB_00705
ko:K01661	cpsu:CPTB_00706
ko:K02919	cpsu:CPTB_01479
ko:K03647	cpsu:CPTB_01481
ko:K02217	cpsu:CPTB_01483
ko:K02274	cpsu:CPTB_01486
ko:K01079	cpsu:CPTB_01491
ko:K00763	cpsu:CPTB_01494
ko:K06891	cpsu:CPTB_01495
ko:K01776	cpsu:CPTB_01498
ko:K00989	cpsu:CPTB_01500
ko:K02428	cpsu:CPTB_01501
ko:K07052	cpsu:CPTB_01504
ko:K11533	cpsu:CPTB_01511
ko:K00997	cpsu:CPTB_01512
ko:K03564	cpsu:CPTB_01514
ko:K08281	cpsu:CPTB_01517
ko:K01714	cpsu:CPTB_01520
ko:K13288	cpsu:CPTB_01521
ko:K07124	cpsu:CPTB_01522
ko:K14645	cpsu:CPTB_01524
ko:K03631	cpsu:CPTB_00001
ko:K00858	cpsu:CPTB_00002
ko:K06442	cpsu:CPTB_00003
ko:K01866	cpsu:CPTB_00008
ko:K09791	cpsu:CPTB_00009
ko:K01755	cpsu:CPTB_00010
ko:K01940	cpsu:CPTB_00011
ko:K03402	cpsu:CPTB_00012
ko:K00611	cpsu:CPTB_00013
ko:K00930	cpsu:CPTB_00015
ko:K00620	cpsu:CPTB_00016
ko:K00145	cpsu:CPTB_00017
ko:K01890	cpsu:CPTB_00018
ko:K01889	cpsu:CPTB_00019
ko:K03437	cpsu:CPTB_00020
ko:K02887	cpsu:CPTB_00022
ko:K02916	cpsu:CPTB_00023
ko:K02520	cpsu:CPTB_00024
ko:K03701	cpsu:CPTB_00025
ko:K03702	cpsu:CPTB_00030
ko:K00859	cpsu:CPTB_00032
ko:K02755	cpsu:CPTB_00033
ko:K02756	cpsu:CPTB_00033
ko:K02757	cpsu:CPTB_00033
ko:K02945	cpsu:CPTB_00034
ko:K08974	cpsu:CPTB_00038
ko:K02030	cpsu:CPTB_00039
ko:K01992	cpsu:CPTB_00808
ko:K05565	cpsu:CPTB_00811
ko:K05567	cpsu:CPTB_00812
ko:K05568	cpsu:CPTB_00813
ko:K05569	cpsu:CPTB_00814
ko:K05570	cpsu:CPTB_00815
ko:K05571	cpsu:CPTB_00816
ko:K07657	cpsu:CPTB_00818
ko:K02445	cpsu:CPTB_00819
ko:K02012	cpsu:CPTB_00820
ko:K02011	cpsu:CPTB_00821
ko:K02010	cpsu:CPTB_00822
ko:K03781	cpsu:CPTB_00828
ko:K03088	cpsu:CPTB_00829
ko:K00133	cpsu:CPTB_00830
ko:K00928	cpsu:CPTB_00833
ko:K01840	cpsu:CPTB_00839
ko:K01619	cpsu:CPTB_00840
ko:K03784	cpsu:CPTB_00842
ko:K05346	cpsu:CPTB_00843
ko:K01649	cpsu:CPTB_00844
ko:K02342	cpsu:CPTB_00847
ko:K07009	cpsu:CPTB_00849
ko:K03299	cpsu:CPTB_00857
ko:K06187	cpsu:CPTB_00858
ko:K09747	cpsu:CPTB_00859
ko:K02343	cpsu:CPTB_00860
ko:K00705	cpsu:CPTB_01632
ko:K01897	cpsu:CPTB_01633
ko:K03705	cpsu:CPTB_01638
ko:K03686	cpsu:CPTB_01639
ko:K09761	cpsu:CPTB_01640
ko:K07042	cpsu:CPTB_01642
ko:K00868	cpsu:CPTB_01644
ko:K03584	cpsu:CPTB_01646
ko:K00806	cpsu:CPTB_01647
ko:K03711	cpsu:CPTB_01649
ko:K01880	cpsu:CPTB_01651
ko:K01129	cpsu:CPTB_01657
ko:K00820	cpsu:CPTB_01660
ko:K02566	cpsu:CPTB_01667
ko:K02078	cpsu:CPTB_01668
ko:K00163	cpsu:CPTB_01670
ko:K02227	cpsu:CPTB_01672
ko:K01104	cpsu:CPTB_01674
ko:K00817	cpsu:CPTB_01676
ko:K07164	cpsu:CPTB_01678
ko:K00666	cpsu:CPTB_00140
ko:K00872	cpsu:CPTB_00142
ko:K00003	cpsu:CPTB_00143
ko:K01586	cpsu:CPTB_00144
ko:K01887	cpsu:CPTB_00145
ko:K03303	cpsu:CPTB_00146
ko:K00782	cpsu:CPTB_00149
ko:K11928	cpsu:CPTB_00160
ko:K04750	cpsu:CPTB_00164
ko:K05592	cpsu:CPTB_00166
ko:K00849	cpsu:CPTB_00167
ko:K00965	cpsu:CPTB_00168
ko:K03307	cpsu:CPTB_00170
ko:K03929	cpsu:CPTB_00175
ko:K00014	cpsu:CPTB_00176
ko:K01616	cpsu:CPTB_00179
ko:K03593	cpsu:CPTB_00183
ko:K03117	cpsu:CPTB_00184
ko:K03088	cpsu:CPTB_00186
ko:K00975	cpsu:CPTB_00188
ko:K16148	cpsu:CPTB_00189
ko:K01575	cpsu:CPTB_00190
ko:K01193	cpsu:CPTB_00191
ko:K00563	cpsu:CPTB_00192
ko:K02015	cpsu:CPTB_00964
ko:K02013	cpsu:CPTB_00965
ko:K02016	cpsu:CPTB_00966
ko:K07052	cpsu:CPTB_00969
ko:K02016	cpsu:CPTB_00978
ko:K02015	cpsu:CPTB_00979
ko:K02015	cpsu:CPTB_00980
ko:K02013	cpsu:CPTB_00981
ko:K03767	cpsu:CPTB_00990
ko:K02056	cpsu:CPTB_00992
ko:K02057	cpsu:CPTB_00993
ko:K02058	cpsu:CPTB_00994
ko:K02469	cpsu:CPTB_00999
ko:K02470	cpsu:CPTB_01003
ko:K03629	cpsu:CPTB_01005
ko:K02338	cpsu:CPTB_01006
ko:K02313	cpsu:CPTB_01007
ko:K02914	cpsu:CPTB_01009
ko:K03536	cpsu:CPTB_01010
ko:K03217	cpsu:CPTB_01011
ko:K03501	cpsu:CPTB_01012
ko:K02563	cpsu:CPTB_01782
ko:K01924	cpsu:CPTB_01784
ko:K03589	cpsu:CPTB_01785
ko:K03531	cpsu:CPTB_01786
ko:K05810	cpsu:CPTB_01787
ko:K09772	cpsu:CPTB_01788
ko:K02221	cpsu:CPTB_01790
ko:K01870	cpsu:CPTB_01793
ko:K02346	cpsu:CPTB_01794
ko:K03101	cpsu:CPTB_01797
ko:K06180	cpsu:CPTB_01798
ko:K05786	cpsu:CPTB_01800
ko:K02337	cpsu:CPTB_01801
ko:K01754	cpsu:CPTB_01802
ko:K04762	cpsu:CPTB_01805
ko:K02342	cpsu:CPTB_01809
ko:K00013	cpsu:CPTB_01815
ko:K00817	cpsu:CPTB_01816
ko:K01693	cpsu:CPTB_01817
ko:K02501	cpsu:CPTB_01821
ko:K01814	cpsu:CPTB_01822
ko:K01817	cpsu:CPTB_01822
ko:K01092	cpsu:CPTB_01823
ko:K02500	cpsu:CPTB_01824
ko:K01496	cpsu:CPTB_01826
ko:K01609	cpsu:CPTB_01828
ko:K00873	cpsu:CPTB_01830
ko:K00688	cpsu:CPTB_01833
ko:K18917	cpsu:CPTB_00351
ko:K18955	cpsu:CPTB_00800
ko:K14218	cpsu:CPTB_tRNA00023
ko:K14218	cpsu:CPTB_tRNA00024
ko:K18955	cpsu:CPTB_00450
ko:K14229	cpsu:CPTB_tRNA00035
ko:K14218	cpsu:CPTB_tRNA00033
ko:K14237	cpsu:CPTB_tRNA00044
ko:K14225	cpsu:CPTB_tRNA00038
ko:K14219	cpsu:CPTB_tRNA00037
ko:K14226	cpsu:CPTB_tRNA00036
ko:K01980	cpsu:CPTB_rRNA00002
ko:K01980	cpsu:CPTB_rRNA00011
ko:K01980	cpsu:CPTB_rRNA00008
ko:K01980	cpsu:CPTB_rRNA00005
ko:K01977	cpsu:CPTB_rRNA00003
ko:K01977	cpsu:CPTB_rRNA00010
ko:K01977	cpsu:CPTB_rRNA00007
ko:K01977	cpsu:CPTB_rRNA00006
ko:K14224	cpsu:CPTB_tRNA00029
ko:K14229	cpsu:CPTB_tRNA00028
ko:K14234	cpsu:CPTB_tRNA00027
ko:K14233	cpsu:CPTB_tRNA00021
ko:K14219	cpsu:CPTB_tRNA00018
ko:K14219	cpsu:CPTB_tRNA00019
ko:K14233	cpsu:CPTB_tRNA00017
ko:K14235	cpsu:CPTB_tRNA00010
ko:K14230	cpsu:CPTB_tRNA00009
ko:K14219	cpsu:CPTB_tRNA00008
ko:K14223	cpsu:CPTB_tRNA00007
ko:K14228	cpsu:CPTB_tRNA00006
ko:K14219	cpsu:CPTB_tRNA00005
ko:K14223	cpsu:CPTB_tRNA00004
ko:K14224	cpsu:CPTB_tRNA00003
ko:K14224	cpsu:CPTB_tRNA00002
ko:K14228	cpsu:CPTB_tRNA00001
ko:K14232	cpsu:CPTB_tRNA00049
ko:K14228	cpsu:CPTB_tRNA00048
ko:K14237	cpsu:CPTB_tRNA00047
ko:K14222	cpsu:CPTB_tRNA00045
ko:K14237	cpsu:CPTB_tRNA00042
ko:K14220	cpsu:CPTB_tRNA00040
ko:K14232	cpsu:CPTB_tRNA00039
ko:K06147	cpsu:CPTB_00178
ko:K18929	cpsu:CPTB_00148
ko:K18928	cpsu:CPTB_00147
ko:K03976	cpsu:CPTB_00453
ko:K03111	cpsu:CPTB_01090
ko:K04565	cpsu:CPTB_00374
ko:K03496	cpsu:CPTB_02228
ko:K03111	cpsu:CPTB_01540
ko:K08168	cpsu:CPTB_00841
ko:K03496	cpsu:CPTB_01013
ko:K03497	cpsu:CPTB_01014
ko:K03526	cpsu:CPTB_01883
ko:K00067	cpsu:CPTB_00767
ko:K01790	cpsu:CPTB_00767
ko:K10563	cpsu:CPTB_01077
ko:K19221	cpsu:CPTB_01893
ko:K16783	cpsu:CPTB_01929
ko:K00798	cpsu:CPTB_01454
ko:K01239	cpsu:CPTB_01373
ko:K02777	cpsu:CPTB_00880
ko:K01710	cpsu:CPTB_00766
ko:K19125	cpsu:CPTB_00984
ko:K01239	cpsu:CPTB_01913
ko:K19265	cpsu:CPTB_00091
ko:K01785	cpsu:CPTB_00171
ko:K19302	cpsu:CPTB_01169
ko:K00020	cpsu:CPTB_00856
ko:K19302	cpsu:CPTB_00889
ko:K03722	cpsu:CPTB_01493
ko:K16164	cpsu:CPTB_00852
ko:K00526	cpsu:CPTB_01484
ko:K01992	cpsu:CPTB_01321
ko:K06867	cpsu:CPTB_01591
ko:K06867	cpsu:CPTB_01636
ko:K06881	cpsu:CPTB_01907
ko:K19577	cpsu:CPTB_00530
ko:K06221	cpsu:CPTB_00373
ko:K19710	cpsu:CPTB_02001
ko:K19784	cpsu:CPTB_01131
ko:K07119	cpsu:CPTB_01518
ko:K02033	cpsu:CPTB_01602
ko:K02034	cpsu:CPTB_01602
ko:K09796	cpsu:CPTB_01998
ko:K12132	cpsu:CPTB_00976
ko:K12132	cpsu:CPTB_01764
ko:K12132	cpsu:CPTB_00975
ko:K20074	cpsu:CPTB_00972
ko:K20468	cpsu:CPTB_01187
ko:K20470	cpsu:CPTB_01188
ko:K01214	cpsu:CPTB_01810
ko:K01200	cpsu:CPTB_00276
ko:K20814	cpsu:CPTB_02157
ko:K21071	cpsu:CPTB_00094
ko:K01768	cpsu:CPTB_00774
ko:K00821	cpsu:CPTB_00014
ko:K21636	cpsu:CPTB_00669
ko:K02335	cpsu:CPTB_00036
ko:K02314	cpsu:CPTB_01094
ko:K03465	cpsu:CPTB_01918
ko:K03553	cpsu:CPTB_01933
ko:K01520	cpsu:CPTB_01985
ko:K00560	cpsu:CPTB_00349
ko:K00287	cpsu:CPTB_00350
ko:K07465	cpsu:CPTB_02152
ko:K06191	cpsu:CPTB_01480
ko:K06217	cpsu:CPTB_01641
ko:K02316	cpsu:CPTB_01661
ko:K00525	cpsu:CPTB_01482
ko:K00108	cpsu:CPTB_01364
ko:K09820	cpsu:CPTB_00683
ko:K01436	cpsu:CPTB_00515
ko:K22468	cpsu:CPTB_00294
ko:K09819	cpsu:CPTB_00682
ko:K02075	cpsu:CPTB_00546
ko:K02075	cpsu:CPTB_00547
ko:K02074	cpsu:CPTB_00548
ko:K00526	cpsu:CPTB_01422
ko:K21481	cpsu:CPTB_01516
ko:K21473	cpsu:CPTB_02115
ko:K21471	cpsu:CPTB_01757
ko:K05364	cpsu:CPTB_00974
ko:K21401	cpsu:CPTB_00698
ko:K10914	cpsu:CPTB_00796
ko:K21498	cpsu:CPTB_02151
ko:K21685	cpsu:CPTB_01453
ko:K21962	cpsu:CPTB_02112
ko:K22044	cpsu:CPTB_00083
ko:K22044	cpsu:CPTB_01547
ko:K22044	cpsu:CPTB_01548
ko:K03595	cpsu:CPTB_01645
ko:K00666	cpsu:CPTB_00770
ko:K01046	cpsu:CPTB_00938
ko:K17758	cpsu:CPTB_01076
ko:K17759	cpsu:CPTB_01076
ko:K22316	cpsu:CPTB_01679
ko:K22306	cpsu:CPTB_01586
ko:K02257	cpsu:CPTB_02093
ko:K22311	cpsu:CPTB_02004
ko:K22476	cpsu:CPTB_01324
ko:K00728	cpsu:CPTB_00307
ko:K22468	cpsu:CPTB_01344
ko:K08300	cpsu:CPTB_01575
ko:K08301	cpsu:CPTB_01575
ko:K07566	cpsu:CPTB_00136
