ko:K18138	sens:Q786_02340
ko:K03721	sens:Q786_06780
ko:K11065	sens:Q786_06785
ko:K14054	sens:Q786_06795
ko:K15580	sens:Q786_06800
ko:K16052	sens:Q786_06880
ko:K14055	sens:Q786_06890
ko:K00567	sens:Q786_06900
ko:K16074	sens:Q786_06915
ko:K05591	sens:Q786_06920
ko:K14058	sens:Q786_06925
ko:K14061	sens:Q786_06940
ko:K03737	sens:Q786_06950
ko:K03778	sens:Q786_06965
ko:K09978	sens:Q786_06980
ko:K01118	sens:Q786_06990
ko:K03578	sens:Q786_06995
ko:K12262	sens:Q786_07005
ko:K02029	sens:Q786_07025
ko:K02028	sens:Q786_07030
ko:K02030	sens:Q786_07040
ko:K00121	sens:Q786_07070
ko:K05876	sens:Q786_07075
ko:K03929	sens:Q786_07090
ko:K00098	sens:Q786_07110
ko:K00046	sens:Q786_07120
ko:K08323	sens:Q786_07125
ko:K14587	sens:Q786_07140
ko:K02773	sens:Q786_07145
ko:K06971	sens:Q786_07150
ko:K02775	sens:Q786_07155
ko:K02774	sens:Q786_07160
ko:K03817	sens:Q786_07170
ko:K03304	sens:Q786_07180
ko:K16868	sens:Q786_07185
ko:K05782	sens:Q786_07195
ko:K08303	sens:Q786_07205
ko:K08641	sens:Q786_07225
ko:K00137	sens:Q786_07235
ko:K09936	sens:Q786_07270
ko:K03823	sens:Q786_07275
ko:K02014	sens:Q786_07290
ko:K11738	sens:Q786_07305
ko:K00675	sens:Q786_07315
ko:K00374	sens:Q786_07325
ko:K01682	sens:Q786_00805
ko:K09910	sens:Q786_00850
ko:K02526	sens:Q786_00855
ko:K01611	sens:Q786_00875
ko:K00797	sens:Q786_00880
ko:K14588	sens:Q786_00890
ko:K00117	sens:Q786_00895
ko:K00760	sens:Q786_00900
ko:K01673	sens:Q786_00905
ko:K01990	sens:Q786_00910
ko:K01992	sens:Q786_00915
ko:K07347	sens:Q786_00925
ko:K01579	sens:Q786_00950
ko:K01918	sens:Q786_00955
ko:K00606	sens:Q786_00960
ko:K00950	sens:Q786_00965
ko:K00970	sens:Q786_00970
ko:K01894	sens:Q786_00975
ko:K06204	sens:Q786_00980
ko:K06206	sens:Q786_00985
ko:K01975	sens:Q786_00990
ko:K03579	sens:Q786_00995
ko:K05365	sens:Q786_01005
ko:K02014	sens:Q786_01010
ko:K02013	sens:Q786_01015
ko:K02016	sens:Q786_01020
ko:K02015	sens:Q786_01025
ko:K01845	sens:Q786_01065
ko:K03281	sens:Q786_01070
ko:K15724	sens:Q786_01075
ko:K06858	sens:Q786_01090
ko:K01243	sens:Q786_01095
ko:K03524	sens:Q786_20285
ko:K07085	sens:Q786_18675
ko:K04081	sens:Q786_18680
ko:K04080	sens:Q786_18685
ko:K02200	sens:Q786_18700
ko:K02199	sens:Q786_18705
ko:K02198	sens:Q786_18710
ko:K02196	sens:Q786_18720
ko:K02195	sens:Q786_18725
ko:K02194	sens:Q786_18730
ko:K02193	sens:Q786_18735
ko:K00428	sens:Q786_18740
ko:K03533	sens:Q786_18745
ko:K07811	sens:Q786_18750
ko:K03532	sens:Q786_18755
ko:K07772	sens:Q786_18760
ko:K11930	sens:Q786_18765
ko:K07647	sens:Q786_18770
ko:K02470	sens:Q786_18800
ko:K03629	sens:Q786_18805
ko:K02338	sens:Q786_18810
ko:K02313	sens:Q786_18815
ko:K03217	sens:Q786_18825
ko:K03650	sens:Q786_18830
ko:K08163	sens:Q786_18835
ko:K06901	sens:Q786_18860
ko:K02039	sens:Q786_18875
ko:K02036	sens:Q786_18880
ko:K02038	sens:Q786_18885
ko:K02037	sens:Q786_18890
ko:K02040	sens:Q786_18895
ko:K02769	sens:Q786_18900
ko:K02770	sens:Q786_18900
ko:K00014	sens:Q786_18905
ko:K09923	sens:Q786_15065
ko:K03439	sens:Q786_15070
ko:K03575	sens:Q786_15075
ko:K08306	sens:Q786_15085
ko:K03289	sens:Q786_15090
ko:K01581	sens:Q786_15095
ko:K07150	sens:Q786_15105
ko:K06995	sens:Q786_15185
ko:K09471	sens:Q786_15190
ko:K11903	sens:Q786_15205
ko:K03581	sens:Q786_14470
ko:K03582	sens:Q786_14475
ko:K01407	sens:Q786_14480
ko:K03583	sens:Q786_14485
ko:K02681	sens:Q786_14490
ko:K02680	sens:Q786_14500
ko:K02679	sens:Q786_14505
ko:K13292	sens:Q786_14520
ko:K08484	sens:Q786_14525
ko:K08191	sens:Q786_15220
ko:K01686	sens:Q786_15225
ko:K00040	sens:Q786_15230
ko:K01812	sens:Q786_15235
ko:K01460	sens:Q786_15245
ko:K11209	sens:Q786_15250
ko:K02020	sens:Q786_15255
ko:K02016	sens:Q786_15260
ko:K04653	sens:Q786_15265
ko:K04651	sens:Q786_15270
ko:K06281	sens:Q786_15285
ko:K06282	sens:Q786_15300
ko:K03406	sens:Q786_15310
ko:K03559	sens:Q786_15340
ko:K03561	sens:Q786_15345
ko:K01760	sens:Q786_15355
ko:K08325	sens:Q786_15370
ko:K06221	sens:Q786_15375
ko:K03319	sens:Q786_15380
ko:K03624	sens:Q786_16075
ko:K07259	sens:Q786_16085
ko:K03979	sens:Q786_16090
ko:K02899	sens:Q786_16100
ko:K02888	sens:Q786_16105
ko:K02523	sens:Q786_16110
ko:K00790	sens:Q786_16120
ko:K07122	sens:Q786_16130
ko:K07323	sens:Q786_16135
ko:K02067	sens:Q786_16140
ko:K02066	sens:Q786_16145
ko:K02065	sens:Q786_16150
ko:K07301	sens:Q786_16155
ko:K06041	sens:Q786_16160
ko:K03270	sens:Q786_16165
ko:K11719	sens:Q786_16170
ko:K09774	sens:Q786_16175
ko:K06861	sens:Q786_16180
ko:K03092	sens:Q786_16185
ko:K05808	sens:Q786_16190
ko:K02806	sens:Q786_16195
ko:K06958	sens:Q786_16200
ko:K08485	sens:Q786_16205
ko:K03814	sens:Q786_16215
ko:K07648	sens:Q786_16225
ko:K07139	sens:Q786_16230
ko:K00265	sens:Q786_16240
ko:K00266	sens:Q786_16245
ko:K10974	sens:Q786_16255
ko:K00885	sens:Q786_16270
ko:K01788	sens:Q786_16275
ko:K03290	sens:Q786_16280
ko:K01639	sens:Q786_16285
ko:K03600	sens:Q786_16295
ko:K14414	sens:Q786_17185
ko:K02444	sens:Q786_17190
ko:K02441	sens:Q786_17195
ko:K02439	sens:Q786_17200
ko:K00111	sens:Q786_17205
ko:K02040	sens:Q786_17215
ko:K00005	sens:Q786_17220
ko:K01687	sens:Q786_17230
ko:K00688	sens:Q786_17245
ko:K00703	sens:Q786_17250
ko:K00975	sens:Q786_17255
ko:K00700	sens:Q786_17265
ko:K00133	sens:Q786_17270
ko:K06156	sens:Q786_17275
ko:K08311	sens:Q786_14530
ko:K03573	sens:Q786_14535
ko:K00373	sens:Q786_07330
ko:K00371	sens:Q786_07335
ko:K00370	sens:Q786_07340
ko:K02575	sens:Q786_07345
ko:K08167	sens:Q786_07355
ko:K16076	sens:Q786_07365
ko:K08349	sens:Q786_07380
ko:K08350	sens:Q786_07385
ko:K13953	sens:Q786_07390
ko:K00027	sens:Q786_07395
ko:K02972	sens:Q786_07400
ko:K04063	sens:Q786_07410
ko:K06044	sens:Q786_07430
ko:K14155	sens:Q786_07440
ko:K03315	sens:Q786_07445
ko:K02529	sens:Q786_07450
ko:K02371	sens:Q786_07460
ko:K06282	sens:Q786_07550
ko:K06281	sens:Q786_07555
ko:K03620	sens:Q786_07560
ko:K04653	sens:Q786_07570
ko:K03619	sens:Q786_07575
ko:K03618	sens:Q786_07580
ko:K04651	sens:Q786_07590
ko:K01425	sens:Q786_07615
ko:K08324	sens:Q786_07620
ko:K08159	sens:Q786_07630
ko:K05595	sens:Q786_07635
ko:K03712	sens:Q786_07640
ko:K13632	sens:Q786_07645
ko:K13630	sens:Q786_07650
ko:K15268	sens:Q786_07655
ko:K01284	sens:Q786_07685
ko:K16066	sens:Q786_07690
ko:K00040	sens:Q786_07705
ko:K08173	sens:Q786_07710
ko:K08322	sens:Q786_07715
ko:K08323	sens:Q786_07720
ko:K09771	sens:Q786_07725
ko:K00657	sens:Q786_07735
ko:K07309	sens:Q786_07750
ko:K07310	sens:Q786_07755
ko:K07307	sens:Q786_07760
ko:K07312	sens:Q786_07765
ko:K05846	sens:Q786_07775
ko:K05845	sens:Q786_07780
ko:K05846	sens:Q786_07785
ko:K05847	sens:Q786_07790
ko:K03281	sens:Q786_07795
ko:K01935	sens:Q786_07800
ko:K15545	sens:Q786_07805
ko:K08224	sens:Q786_07815
ko:K04775	sens:Q786_07825
ko:K11742	sens:Q786_07830
ko:K11743	sens:Q786_07835
ko:K11744	sens:Q786_07845
ko:K00325	sens:Q786_07850
ko:K00324	sens:Q786_07855
ko:K03758	sens:Q786_07865
ko:K07661	sens:Q786_07875
ko:K14062	sens:Q786_07885
ko:K07639	sens:Q786_07895
ko:K01679	sens:Q786_07905
ko:K01676	sens:Q786_07910
ko:K01809	sens:Q786_07915
ko:K16136	sens:Q786_07925
ko:K14155	sens:Q786_07930
ko:K01488	sens:Q786_07935
ko:K03617	sens:Q786_07960
ko:K03616	sens:Q786_07965
ko:K03615	sens:Q786_07970
ko:K03614	sens:Q786_07975
ko:K03612	sens:Q786_07980
ko:K03613	sens:Q786_07985
ko:K10773	sens:Q786_07990
ko:K03305	sens:Q786_07995
ko:K00799	sens:Q786_08000
ko:K00868	sens:Q786_08005
ko:K01866	sens:Q786_08010
ko:K00275	sens:Q786_08015
ko:K09001	sens:Q786_08025
ko:K06077	sens:Q786_08030
ko:K06075	sens:Q786_08035
ko:K16137	sens:Q786_08065
ko:K10680	sens:Q786_08070
ko:K01759	sens:Q786_08075
ko:K03683	sens:Q786_08080
ko:K07390	sens:Q786_08085
ko:K04564	sens:Q786_08095
ko:K03604	sens:Q786_08105
ko:K00574	sens:Q786_08120
ko:K00793	sens:Q786_08125
ko:K03327	sens:Q786_08130
ko:K03229	sens:Q786_08145
ko:K03228	sens:Q786_08150
ko:K03227	sens:Q786_08155
ko:K03226	sens:Q786_08160
ko:K03225	sens:Q786_08165
ko:K03224	sens:Q786_08180
ko:K03230	sens:Q786_08185
ko:K03222	sens:Q786_08210
ko:K03221	sens:Q786_08225
ko:K15350	sens:Q786_08235
ko:K15346	sens:Q786_08250
ko:K15345	sens:Q786_08255
ko:K15368	sens:Q786_08260
ko:K15344	sens:Q786_08265
ko:K03220	sens:Q786_08280
ko:K03219	sens:Q786_08285
ko:K14978	sens:Q786_08295
ko:K14979	sens:Q786_08300
ko:K13041	sens:Q786_08320
ko:K13040	sens:Q786_08325
ko:K08358	sens:Q786_08330
ko:K08359	sens:Q786_08335
ko:K08357	sens:Q786_08340
ko:K01259	sens:Q786_08355
ko:K00873	sens:Q786_08365
ko:K08227	sens:Q786_14555
ko:K05939	sens:Q786_14560
ko:K02529	sens:Q786_14565
ko:K01586	sens:Q786_14575
ko:K02100	sens:Q786_14590
ko:K00065	sens:Q786_14595
ko:K01815	sens:Q786_14600
ko:K00626	sens:Q786_14605
ko:K00655	sens:Q786_15450
ko:K02621	sens:Q786_15455
ko:K13652	sens:Q786_15460
ko:K07666	sens:Q786_15470
ko:K03923	sens:Q786_15480
ko:K02622	sens:Q786_15490
ko:K07000	sens:Q786_15495
ko:K03651	sens:Q786_15500
ko:K09920	sens:Q786_15505
ko:K01515	sens:Q786_15510
ko:K12340	sens:Q786_15515
ko:K07238	sens:Q786_15535
ko:K03673	sens:Q786_15550
ko:K03611	sens:Q786_15555
ko:K02858	sens:Q786_15570
ko:K09806	sens:Q786_15575
ko:K03599	sens:Q786_16300
ko:K02996	sens:Q786_16305
ko:K02871	sens:Q786_16310
ko:K06916	sens:Q786_16315
ko:K09908	sens:Q786_16320
ko:K04691	sens:Q786_16330
ko:K01572	sens:Q786_16340
ko:K01571	sens:Q786_16345
ko:K01573	sens:Q786_16350
ko:K03780	sens:Q786_16355
ko:K03779	sens:Q786_16360
ko:K00024	sens:Q786_16380
ko:K03402	sens:Q786_16385
ko:K03623	sens:Q786_16400
ko:K03468	sens:Q786_16405
ko:K15548	sens:Q786_16410
ko:K03568	sens:Q786_16425
ko:K08301	sens:Q786_16435
ko:K06287	sens:Q786_16440
ko:K03571	sens:Q786_16445
ko:K03570	sens:Q786_16450
ko:K03569	sens:Q786_16455
ko:K17247	sens:Q786_16475
ko:K02160	sens:Q786_16480
ko:K01961	sens:Q786_16485
ko:K14392	sens:Q786_16495
ko:K02687	sens:Q786_16500
ko:K00851	sens:Q786_17280
ko:K06145	sens:Q786_17285
ko:K06911	sens:Q786_17290
ko:K03825	sens:Q786_17305
ko:K09936	sens:Q786_17325
ko:K07048	sens:Q786_17330
ko:K01126	sens:Q786_17345
ko:K12943	sens:Q786_14700
ko:K01823	sens:Q786_14705
ko:K04567	sens:Q786_14710
ko:K02836	sens:Q786_14715
ko:K07462	sens:Q786_14720
ko:K03981	sens:Q786_14725
ko:K04763	sens:Q786_14730
ko:K03840	sens:Q786_14735
ko:K09159	sens:Q786_14745
ko:K06980	sens:Q786_14755
ko:K11068	sens:Q786_14760
ko:K09900	sens:Q786_14765
ko:K01223	sens:Q786_14770
ko:K00281	sens:Q786_14780
ko:K02437	sens:Q786_14785
ko:K00605	sens:Q786_14790
ko:K03185	sens:Q786_14800
ko:K01262	sens:Q786_14805
ko:K03272	sens:Q786_15600
ko:K00982	sens:Q786_15605
ko:K07184	sens:Q786_15615
ko:K00974	sens:Q786_15620
ko:K06153	sens:Q786_15625
ko:K01633	sens:Q786_15630
ko:K08591	sens:Q786_15635
ko:K01409	sens:Q786_15645
ko:K02970	sens:Q786_15650
ko:K03086	sens:Q786_15660
ko:K03649	sens:Q786_15665
ko:K07229	sens:Q786_15675
ko:K03776	sens:Q786_15690
ko:K09251	sens:Q786_15695
ko:K00219	sens:Q786_15700
ko:K11391	sens:Q786_15705
ko:K07043	sens:Q786_15710
ko:K07862	sens:Q786_15730
ko:K15977	sens:Q786_15765
ko:K07393	sens:Q786_15770
ko:K06911	sens:Q786_15785
ko:K01752	sens:Q786_15805
ko:K00656	sens:Q786_15810
ko:K00932	sens:Q786_15815
ko:K03838	sens:Q786_15820
ko:K01754	sens:Q786_15825
ko:K07592	sens:Q786_15830
ko:K00865	sens:Q786_15840
ko:K01630	sens:Q786_15850
ko:K03557	sens:Q786_16510
ko:K05540	sens:Q786_16505
ko:K00014	sens:Q786_16585
ko:K07566	sens:Q786_16590
ko:K07479	sens:Q786_16595
ko:K03747	sens:Q786_16600
ko:K04096	sens:Q786_16605
ko:K01462	sens:Q786_16610
ko:K00604	sens:Q786_16615
ko:K03500	sens:Q786_16620
ko:K03499	sens:Q786_16625
ko:K03282	sens:Q786_16630
ko:K02879	sens:Q786_16645
ko:K03040	sens:Q786_16650
ko:K02986	sens:Q786_16655
ko:K02948	sens:Q786_16660
ko:K02952	sens:Q786_16665
ko:K03076	sens:Q786_16670
ko:K02876	sens:Q786_16675
ko:K02907	sens:Q786_16680
ko:K02988	sens:Q786_16685
ko:K02881	sens:Q786_16690
ko:K02933	sens:Q786_16695
ko:K02994	sens:Q786_16700
ko:K02954	sens:Q786_16705
ko:K02931	sens:Q786_16710
ko:K02895	sens:Q786_16715
ko:K02874	sens:Q786_16720
ko:K02961	sens:Q786_16725
ko:K02904	sens:Q786_16730
ko:K02878	sens:Q786_16735
ko:K02982	sens:Q786_16740
ko:K02890	sens:Q786_16745
ko:K02965	sens:Q786_16750
ko:K02886	sens:Q786_16755
ko:K02892	sens:Q786_16760
ko:K05815	sens:Q786_17355
ko:K05816	sens:Q786_17350
ko:K05814	sens:Q786_17360
ko:K05813	sens:Q786_17365
ko:K01996	sens:Q786_17375
ko:K01995	sens:Q786_17380
ko:K01998	sens:Q786_17385
ko:K01997	sens:Q786_17390
ko:K01999	sens:Q786_17395
ko:K01999	sens:Q786_17405
ko:K03089	sens:Q786_17410
ko:K09811	sens:Q786_17415
ko:K09812	sens:Q786_17420
ko:K03110	sens:Q786_17425
ko:K08316	sens:Q786_17430
ko:K08993	sens:Q786_17435
ko:K03406	sens:Q786_17460
ko:K04085	sens:Q786_17465
ko:K09125	sens:Q786_17470
ko:K06133	sens:Q786_17490
ko:K07722	sens:Q786_17495
ko:K13926	sens:Q786_17505
ko:K01993	sens:Q786_17510
ko:K07007	sens:Q786_17515
ko:K16322	sens:Q786_17520
ko:K06144	sens:Q786_17525
ko:K06149	sens:Q786_17530
ko:K03305	sens:Q786_17535
ko:K15984	sens:Q786_17540
ko:K01414	sens:Q786_17545
ko:K07115	sens:Q786_17560
ko:K00383	sens:Q786_17565
ko:K01424	sens:Q786_17570
ko:K07792	sens:Q786_17575
ko:K03710	sens:Q786_17590
ko:K01194	sens:Q786_17595
ko:K02849	sens:Q786_18205
ko:K02527	sens:Q786_18210
ko:K00954	sens:Q786_18215
ko:K10563	sens:Q786_18220
ko:K02913	sens:Q786_18225
ko:K02902	sens:Q786_18230
ko:K03630	sens:Q786_18235
ko:K13038	sens:Q786_18240
ko:K05501	sens:Q786_18250
ko:K00762	sens:Q786_18255
ko:K00989	sens:Q786_18260
ko:K17837	sens:Q786_18275
ko:K01972	sens:Q786_18285
ko:K00942	sens:Q786_18290
ko:K03060	sens:Q786_18295
ko:K00556	sens:Q786_18305
ko:K03655	sens:Q786_18310
ko:K03312	sens:Q786_18320
ko:K16345	sens:Q786_18325
ko:K01811	sens:Q786_18335
ko:K03292	sens:Q786_18340
ko:K07347	sens:Q786_18370
ko:K08302	sens:Q786_15860
ko:K16371	sens:Q786_15865
ko:K02773	sens:Q786_15870
ko:K02774	sens:Q786_15875
ko:K02775	sens:Q786_15880
ko:K00094	sens:Q786_15885
ko:K02436	sens:Q786_15890
ko:K07056	sens:Q786_15895
ko:K07121	sens:Q786_15900
ko:K07460	sens:Q786_15905
ko:K12961	sens:Q786_15910
ko:K05520	sens:Q786_15925
ko:K09979	sens:Q786_15930
ko:K07461	sens:Q786_15935
ko:K03824	sens:Q786_15940
ko:K08303	sens:Q786_15950
ko:K01708	sens:Q786_15855
ko:K03835	sens:Q786_15975
ko:K05592	sens:Q786_15980
ko:K05803	sens:Q786_15985
ko:K00962	sens:Q786_15990
ko:K02906	sens:Q786_16770
ko:K02926	sens:Q786_16765
ko:K02946	sens:Q786_16775
ko:K02506	sens:Q786_16780
ko:K03594	sens:Q786_16785
ko:K02192	sens:Q786_16790
ko:K06078	sens:Q786_08370
ko:K06078	sens:Q786_08375
ko:K02426	sens:Q786_08385
ko:K11717	sens:Q786_08390
ko:K09015	sens:Q786_08395
ko:K09013	sens:Q786_08400
ko:K09014	sens:Q786_08405
ko:K05997	sens:Q786_08410
ko:K06956	sens:Q786_08415
ko:K05887	sens:Q786_08455
ko:K03785	sens:Q786_08460
ko:K00313	sens:Q786_08490
ko:K12507	sens:Q786_08500
ko:K09773	sens:Q786_08515
ko:K01626	sens:Q786_08520
ko:K08997	sens:Q786_08530
ko:K06074	sens:Q786_08545
ko:K00432	sens:Q786_08550
ko:K06073	sens:Q786_08555
ko:K04764	sens:Q786_08560
ko:K01890	sens:Q786_08565
ko:K01889	sens:Q786_08570
ko:K02887	sens:Q786_08575
ko:K02916	sens:Q786_08580
ko:K02520	sens:Q786_08585
ko:K01868	sens:Q786_08590
ko:K01173	sens:Q786_08605
ko:K09953	sens:Q786_08615
ko:K07283	sens:Q786_08620
ko:K16370	sens:Q786_08625
ko:K07038	sens:Q786_08650
ko:K06956	sens:Q786_08655
ko:K15722	sens:Q786_08660
ko:K03781	sens:Q786_08665
ko:K03478	sens:Q786_08670
ko:K01222	sens:Q786_08675
ko:K03490	sens:Q786_08680
ko:K02759	sens:Q786_08685
ko:K02761	sens:Q786_08690
ko:K02760	sens:Q786_08695
ko:K04064	sens:Q786_08700
ko:K01916	sens:Q786_08705
ko:K05984	sens:Q786_08710
ko:K05526	sens:Q786_08720
ko:K01484	sens:Q786_08725
ko:K06447	sens:Q786_08730
ko:K00673	sens:Q786_08735
ko:K00840	sens:Q786_08740
ko:K01142	sens:Q786_08745
ko:K08320	sens:Q786_08750
ko:K00262	sens:Q786_08760
ko:K01008	sens:Q786_08770
ko:K04773	sens:Q786_08780
ko:K01424	sens:Q786_08785
ko:K08281	sens:Q786_08790
ko:K09916	sens:Q786_08795
ko:K07305	sens:Q786_08800
ko:K00134	sens:Q786_08805
ko:K01792	sens:Q786_08810
ko:K06871	sens:Q786_08820
ko:K07180	sens:Q786_08830
ko:K09786	sens:Q786_08835
ko:K03449	sens:Q786_08870
ko:K09712	sens:Q786_08885
ko:K04093	sens:Q786_08915
ko:K02034	sens:Q786_08970
ko:K02033	sens:Q786_08975
ko:K02035	sens:Q786_08980
ko:K04080	sens:Q786_09000
ko:K07804	sens:Q786_09025
ko:K03704	sens:Q786_09040
ko:K00031	sens:Q786_09070
ko:K06181	sens:Q786_09075
ko:K12152	sens:Q786_09085
ko:K00566	sens:Q786_09090
ko:K07153	sens:Q786_09095
ko:K01756	sens:Q786_09100
ko:K07660	sens:Q786_09105
ko:K07637	sens:Q786_09110
ko:K01258	sens:Q786_09125
ko:K11072	sens:Q786_09130
ko:K11071	sens:Q786_09135
ko:K11070	sens:Q786_09145
ko:K11069	sens:Q786_09150
ko:K12410	sens:Q786_09155
ko:K00884	sens:Q786_09160
ko:K09808	sens:Q786_09165
ko:K09810	sens:Q786_09170
ko:K09808	sens:Q786_09175
ko:K03723	sens:Q786_09180
ko:K12151	sens:Q786_09190
ko:K03885	sens:Q786_09205
ko:K07000	sens:Q786_09210
ko:K01207	sens:Q786_09215
ko:K07251	sens:Q786_09220
ko:K07337	sens:Q786_09225
ko:K02503	sens:Q786_09235
ko:K16088	sens:Q786_09240
ko:K02778	sens:Q786_09245
ko:K02779	sens:Q786_09245
ko:K03424	sens:Q786_09250
ko:K02341	sens:Q786_09255
ko:K00943	sens:Q786_09260
ko:K07082	sens:Q786_09265
ko:K02358	sens:Q786_16795
ko:K02355	sens:Q786_16800
ko:K02992	sens:Q786_16805
ko:K02950	sens:Q786_16810
ko:K07237	sens:Q786_16815
ko:K07236	sens:Q786_16820
ko:K07235	sens:Q786_16825
ko:K03745	sens:Q786_16840
ko:K03775	sens:Q786_16845
ko:K07070	sens:Q786_16850
ko:K06158	sens:Q786_16865
ko:K07019	sens:Q786_16880
ko:K09898	sens:Q786_16885
ko:K00855	sens:Q786_16890
ko:K07397	sens:Q786_16895
ko:K10914	sens:Q786_16900
ko:K01664	sens:Q786_16920
ko:K04095	sens:Q786_16925
ko:K03767	sens:Q786_16935
ko:K06141	sens:Q786_16940
ko:K00362	sens:Q786_16945
ko:K00363	sens:Q786_16950
ko:K02598	sens:Q786_16955
ko:K02302	sens:Q786_16960
ko:K01867	sens:Q786_16985
ko:K01091	sens:Q786_16990
ko:K01783	sens:Q786_16995
ko:K03112	sens:Q786_17005
ko:K01735	sens:Q786_17010
ko:K07058	sens:Q786_17620
ko:K07290	sens:Q786_17630
ko:K00874	sens:Q786_17640
ko:K11103	sens:Q786_17650
ko:K00694	sens:Q786_17675
ko:K12370	sens:Q786_17720
ko:K12369	sens:Q786_17725
ko:K12368	sens:Q786_17730
ko:K12975	sens:Q786_17755
ko:K07347	sens:Q786_17770
ko:K01246	sens:Q786_17790
ko:K03826	sens:Q786_17795
ko:K00090	sens:Q786_17810
ko:K07726	sens:Q786_17820
ko:K15540	sens:Q786_18375
ko:K12678	sens:Q786_18410
ko:K01531	sens:Q786_18440
ko:K07507	sens:Q786_18445
ko:K17463	sens:Q786_18460
ko:K17468	sens:Q786_18465
ko:K17467	sens:Q786_18470
ko:K17466	sens:Q786_18475
ko:K17465	sens:Q786_18480
ko:K17464	sens:Q786_18485
ko:K17473	sens:Q786_18490
ko:K01223	sens:Q786_18500
ko:K09895	sens:Q786_14810
ko:K09888	sens:Q786_14815
ko:K01934	sens:Q786_14820
ko:K00058	sens:Q786_14830
ko:K01807	sens:Q786_14835
ko:K05596	sens:Q786_14840
ko:K09807	sens:Q786_14845
ko:K06895	sens:Q786_14850
ko:K03442	sens:Q786_14855
ko:K01624	sens:Q786_14860
ko:K00927	sens:Q786_14865
ko:K03472	sens:Q786_14870
ko:K06934	sens:Q786_14875
ko:K16923	sens:Q786_14880
ko:K16785	sens:Q786_14885
ko:K16786	sens:Q786_14890
ko:K16787	sens:Q786_14895
ko:K00615	sens:Q786_14900
ko:K07387	sens:Q786_14905
ko:K01480	sens:Q786_14910
ko:K01585	sens:Q786_14960
ko:K00789	sens:Q786_14975
ko:K08137	sens:Q786_14980
ko:K02742	sens:Q786_14985
ko:K01150	sens:Q786_14990
ko:K09761	sens:Q786_14995
ko:K01920	sens:Q786_15000
ko:K07735	sens:Q786_15005
ko:K07447	sens:Q786_15010
ko:K02669	sens:Q786_15020
ko:K06997	sens:Q786_15025
ko:K02221	sens:Q786_15030
ko:K09131	sens:Q786_15035
ko:K02428	sens:Q786_15040
ko:K01424	sens:Q786_15055
ko:K03177	sens:Q786_16000
ko:K02834	sens:Q786_16005
ko:K02519	sens:Q786_16010
ko:K02600	sens:Q786_16015
ko:K09748	sens:Q786_16020
ko:K01940	sens:Q786_16030
ko:K03075	sens:Q786_16045
ko:K03431	sens:Q786_16050
ko:K00796	sens:Q786_16055
ko:K03798	sens:Q786_16060
ko:K02427	sens:Q786_16065
ko:K07574	sens:Q786_16070
ko:K02956	sens:Q786_15995
ko:K00891	sens:Q786_17015
ko:K02507	sens:Q786_17020
ko:K12291	sens:Q786_17025
ko:K12290	sens:Q786_17030
ko:K12289	sens:Q786_17035
ko:K12288	sens:Q786_17040
ko:K05366	sens:Q786_17045
ko:K08312	sens:Q786_17050
ko:K04762	sens:Q786_17065
ko:K04083	sens:Q786_17070
ko:K01610	sens:Q786_17085
ko:K07638	sens:Q786_17090
ko:K07659	sens:Q786_17095
ko:K04760	sens:Q786_17100
ko:K06959	sens:Q786_17105
ko:K04758	sens:Q786_17110
ko:K04759	sens:Q786_17115
ko:K07490	sens:Q786_17120
ko:K02170	sens:Q786_17130
ko:K07400	sens:Q786_17140
ko:K06155	sens:Q786_17145
ko:K00705	sens:Q786_17150
ko:K00688	sens:Q786_17155
ko:K03556	sens:Q786_17160
ko:K01974	sens:Q786_17170
ko:K14415	sens:Q786_17175
ko:K03704	sens:Q786_17825
ko:K03830	sens:Q786_17845
ko:K01879	sens:Q786_17855
ko:K01878	sens:Q786_17860
ko:K00854	sens:Q786_17880
ko:K01805	sens:Q786_17885
ko:K02529	sens:Q786_17890
ko:K03796	sens:Q786_17895
ko:K01176	sens:Q786_17900
ko:K00835	sens:Q786_17905
ko:K08092	sens:Q786_17920
ko:K00880	sens:Q786_17950
ko:K09955	sens:Q786_17975
ko:K00138	sens:Q786_17980
ko:K03833	sens:Q786_17990
ko:K01042	sens:Q786_17995
ko:K02798	sens:Q786_18015
ko:K02799	sens:Q786_18015
ko:K02800	sens:Q786_18015
ko:K00009	sens:Q786_18020
ko:K02562	sens:Q786_18025
ko:K14762	sens:Q786_18035
ko:K07726	sens:Q786_18515
ko:K11189	sens:Q786_18520
ko:K02775	sens:Q786_18535
ko:K02774	sens:Q786_18540
ko:K02773	sens:Q786_18545
ko:K07784	sens:Q786_18565
ko:K07783	sens:Q786_18570
ko:K07675	sens:Q786_18575
ko:K02429	sens:Q786_18590
ko:K00852	sens:Q786_18595
ko:K00427	sens:Q786_18050
ko:K14348	sens:Q786_18055
ko:K00101	sens:Q786_18060
ko:K03216	sens:Q786_18065
ko:K06145	sens:Q786_18070
ko:K03535	sens:Q786_18080
ko:K00640	sens:Q786_18085
ko:K00057	sens:Q786_18090
ko:K03071	sens:Q786_18095
ko:K15633	sens:Q786_18110
ko:K09798	sens:Q786_18120
ko:K00060	sens:Q786_18130
ko:K00639	sens:Q786_18135
ko:K03274	sens:Q786_18140
ko:K02843	sens:Q786_18145
