ko:K00020	cpse:CPTA_00811
ko:K03578	cpse:CPTA_01803
ko:K07738	cpse:CPTA_01804
ko:K01356	cpse:CPTA_01806
ko:K03436	cpse:CPTA_01807
ko:K08483	cpse:CPTA_01808
ko:K03436	cpse:CPTA_01809
ko:K00882	cpse:CPTA_01810
ko:K02768	cpse:CPTA_01811
ko:K02769	cpse:CPTA_01811
ko:K02770	cpse:CPTA_01811
ko:K11189	cpse:CPTA_01812
ko:K00299	cpse:CPTA_01814
ko:K03665	cpse:CPTA_01816
ko:K01778	cpse:CPTA_01819
ko:K02058	cpse:CPTA_00538
ko:K02057	cpse:CPTA_00539
ko:K02056	cpse:CPTA_00540
ko:K03767	cpse:CPTA_00542
ko:K02013	cpse:CPTA_00551
ko:K02015	cpse:CPTA_00552
ko:K02015	cpse:CPTA_00553
ko:K02016	cpse:CPTA_00554
ko:K07052	cpse:CPTA_00563
ko:K02016	cpse:CPTA_00566
ko:K02013	cpse:CPTA_00567
ko:K02015	cpse:CPTA_00568
ko:K06213	cpse:CPTA_00569
ko:K05343	cpse:CPTA_00571
ko:K03088	cpse:CPTA_00575
ko:K05846	cpse:CPTA_00580
ko:K05846	cpse:CPTA_00581
ko:K05847	cpse:CPTA_00582
ko:K01012	cpse:CPTA_00585
ko:K01241	cpse:CPTA_00588
ko:K00782	cpse:CPTA_01383
ko:K03303	cpse:CPTA_01386
ko:K01887	cpse:CPTA_01387
ko:K01586	cpse:CPTA_01388
ko:K00003	cpse:CPTA_01389
ko:K00872	cpse:CPTA_01390
ko:K00666	cpse:CPTA_01392
ko:K03628	cpse:CPTA_01393
ko:K02835	cpse:CPTA_01394
ko:K02493	cpse:CPTA_01395
ko:K02851	cpse:CPTA_01397
ko:K02108	cpse:CPTA_01400
ko:K02110	cpse:CPTA_01401
ko:K02109	cpse:CPTA_01402
ko:K02113	cpse:CPTA_01403
ko:K02111	cpse:CPTA_01404
ko:K02115	cpse:CPTA_01405
ko:K02112	cpse:CPTA_01406
ko:K02114	cpse:CPTA_01407
ko:K07503	cpse:CPTA_01408
ko:K05606	cpse:CPTA_01410
ko:K05838	cpse:CPTA_01412
ko:K00700	cpse:CPTA_01413
ko:K16147	cpse:CPTA_01414
ko:K02013	cpse:CPTA_01415
ko:K03521	cpse:CPTA_01418
ko:K03522	cpse:CPTA_01419
ko:K04487	cpse:CPTA_01420
ko:K00566	cpse:CPTA_01423
ko:K02342	cpse:CPTA_01425
ko:K01972	cpse:CPTA_01426
ko:K02237	cpse:CPTA_02168
ko:K09710	cpse:CPTA_02171
ko:K00969	cpse:CPTA_02172
ko:K00147	cpse:CPTA_02173
ko:K09790	cpse:CPTA_02175
ko:K07085	cpse:CPTA_02176
ko:K00931	cpse:CPTA_02177
ko:K03979	cpse:CPTA_02178
ko:K02899	cpse:CPTA_02179
ko:K02888	cpse:CPTA_02180
ko:K00940	cpse:CPTA_02184
ko:K11754	cpse:CPTA_02188
ko:K01873	cpse:CPTA_02189
ko:K00024	cpse:CPTA_02190
ko:K03544	cpse:CPTA_02192
ko:K13950	cpse:CPTA_02193
ko:K01358	cpse:CPTA_02194
ko:K01358	cpse:CPTA_02195
ko:K03545	cpse:CPTA_02196
ko:K06911	cpse:CPTA_02199
ko:K01808	cpse:CPTA_02200
ko:K01256	cpse:CPTA_02203
ko:K01256	cpse:CPTA_02204
ko:K06886	cpse:CPTA_02208
ko:K09936	cpse:CPTA_02209
ko:K07107	cpse:CPTA_02211
ko:K01985	cpse:CPTA_rRNA00001
ko:K01985	cpse:CPTA_rRNA00009
ko:K01985	cpse:CPTA_rRNA00004
ko:K01985	cpse:CPTA_rRNA00012
ko:K14236	cpse:CPTA_tRNA00025
ko:K02428	cpse:CPTA_00026
ko:K00989	cpse:CPTA_00027
ko:K01776	cpse:CPTA_00029
ko:K06891	cpse:CPTA_00032
ko:K00763	cpse:CPTA_00033
ko:K01079	cpse:CPTA_00036
ko:K02274	cpse:CPTA_00041
ko:K02217	cpse:CPTA_00044
ko:K03647	cpse:CPTA_00046
ko:K02919	cpse:CPTA_00048
ko:K01916	cpse:CPTA_00049
ko:K01534	cpse:CPTA_00053
ko:K01835	cpse:CPTA_00066
ko:K06199	cpse:CPTA_00067
ko:K06199	cpse:CPTA_00068
ko:K02004	cpse:CPTA_00069
ko:K02003	cpse:CPTA_00070
ko:K00790	cpse:CPTA_00072
ko:K03043	cpse:CPTA_00854
ko:K03046	cpse:CPTA_00855
ko:K01990	cpse:CPTA_00859
ko:K01992	cpse:CPTA_00860
ko:K07089	cpse:CPTA_00862
ko:K04069	cpse:CPTA_00863
ko:K02950	cpse:CPTA_00866
ko:K02992	cpse:CPTA_00867
ko:K02355	cpse:CPTA_00868
ko:K02358	cpse:CPTA_00870
ko:K02946	cpse:CPTA_00879
ko:K02906	cpse:CPTA_00880
ko:K02926	cpse:CPTA_00881
ko:K02892	cpse:CPTA_00882
ko:K02886	cpse:CPTA_00883
ko:K02965	cpse:CPTA_00884
ko:K02890	cpse:CPTA_00885
ko:K02982	cpse:CPTA_00886
ko:K02878	cpse:CPTA_00887
ko:K02904	cpse:CPTA_00888
ko:K02961	cpse:CPTA_00889
ko:K02035	cpse:CPTA_00890
ko:K02031	cpse:CPTA_00891
ko:K02032	cpse:CPTA_00891
ko:K02034	cpse:CPTA_00892
ko:K02033	cpse:CPTA_00893
ko:K02874	cpse:CPTA_00896
ko:K02895	cpse:CPTA_00897
ko:K02931	cpse:CPTA_00898
ko:K03837	cpse:CPTA_00900
ko:K01752	cpse:CPTA_00901
ko:K03075	cpse:CPTA_01676
ko:K01595	cpse:CPTA_01677
ko:K01803	cpse:CPTA_01678
ko:K00927	cpse:CPTA_01679
ko:K00134	cpse:CPTA_01680
ko:K09762	cpse:CPTA_01681
ko:K06958	cpse:CPTA_01683
ko:K03703	cpse:CPTA_01684
ko:K00794	cpse:CPTA_01686
ko:K14652	cpse:CPTA_01687
ko:K00793	cpse:CPTA_01688
ko:K11752	cpse:CPTA_01689
ko:K01783	cpse:CPTA_01690
ko:K02032	cpse:CPTA_00294
ko:K03500	cpse:CPTA_01691
ko:K00604	cpse:CPTA_01692
ko:K01462	cpse:CPTA_01693
ko:K04066	cpse:CPTA_01694
ko:K00789	cpse:CPTA_01695
ko:K13038	cpse:CPTA_01696
ko:K03060	cpse:CPTA_01697
ko:K00942	cpse:CPTA_01698
ko:K01591	cpse:CPTA_01701
ko:K01955	cpse:CPTA_01702
ko:K01956	cpse:CPTA_01703
ko:K01465	cpse:CPTA_01704
ko:K00609	cpse:CPTA_01705
ko:K02825	cpse:CPTA_01706
ko:K07071	cpse:CPTA_01707
ko:K03625	cpse:CPTA_01710
ko:K02356	cpse:CPTA_01711
ko:K03786	cpse:CPTA_01713
ko:K01735	cpse:CPTA_01714
ko:K00891	cpse:CPTA_01715
ko:K01736	cpse:CPTA_01716
ko:K02654	cpse:CPTA_01717
ko:K00014	cpse:CPTA_01718
ko:K07082	cpse:CPTA_01719
ko:K07447	cpse:CPTA_01720
ko:K01872	cpse:CPTA_01721
ko:K07478	cpse:CPTA_01722
ko:K00138	cpse:CPTA_00280
ko:K00138	cpse:CPTA_00281
ko:K13640	cpse:CPTA_00284
ko:K03686	cpse:CPTA_00285
ko:K03687	cpse:CPTA_00286
ko:K04043	cpse:CPTA_00287
ko:K07284	cpse:CPTA_00292
ko:K02031	cpse:CPTA_00295
ko:K02034	cpse:CPTA_00295
ko:K02033	cpse:CPTA_00296
ko:K02035	cpse:CPTA_00297
ko:K03306	cpse:CPTA_00299
ko:K02013	cpse:CPTA_00305
ko:K02015	cpse:CPTA_00306
ko:K02016	cpse:CPTA_00307
ko:K03190	cpse:CPTA_00308
ko:K03189	cpse:CPTA_00309
ko:K03188	cpse:CPTA_00310
ko:K03187	cpse:CPTA_00311
ko:K01428	cpse:CPTA_00312
ko:K01429	cpse:CPTA_00313
ko:K01430	cpse:CPTA_00314
ko:K14260	cpse:CPTA_00317
ko:K04567	cpse:CPTA_00319
ko:K04567	cpse:CPTA_00320
ko:K00012	cpse:CPTA_00324
ko:K01494	cpse:CPTA_00325
ko:K00135	cpse:CPTA_00326
ko:K00135	cpse:CPTA_00327
ko:K03416	cpse:CPTA_01118
ko:K17489	cpse:CPTA_01119
ko:K17489	cpse:CPTA_01120
ko:K17490	cpse:CPTA_01121
ko:K05602	cpse:CPTA_01123
ko:K02836	cpse:CPTA_01125
ko:K12942	cpse:CPTA_01127
ko:K09812	cpse:CPTA_01128
ko:K09811	cpse:CPTA_01129
ko:K03664	cpse:CPTA_01130
ko:K01673	cpse:CPTA_01131
ko:K02016	cpse:CPTA_01132
ko:K02015	cpse:CPTA_01133
ko:K02015	cpse:CPTA_01134
ko:K02013	cpse:CPTA_01135
ko:K14267	cpse:CPTA_01137
ko:K14267	cpse:CPTA_01138
ko:K10843	cpse:CPTA_01140
ko:K03704	cpse:CPTA_01145
ko:K06901	cpse:CPTA_01149
ko:K00831	cpse:CPTA_01153
ko:K01647	cpse:CPTA_01154
ko:K01962	cpse:CPTA_01156
ko:K01963	cpse:CPTA_01156
ko:K01692	cpse:CPTA_01160
ko:K14393	cpse:CPTA_01162
ko:K10563	cpse:CPTA_01917
ko:K03685	cpse:CPTA_01918
ko:K07040	cpse:CPTA_01919
ko:K00259	cpse:CPTA_01922
ko:K00262	cpse:CPTA_01923
ko:K00865	cpse:CPTA_01924
ko:K00688	cpse:CPTA_01928
ko:K00873	cpse:CPTA_01931
ko:K01609	cpse:CPTA_01933
ko:K01496	cpse:CPTA_01935
ko:K02500	cpse:CPTA_01937
ko:K01092	cpse:CPTA_01938
ko:K01814	cpse:CPTA_01939
ko:K01817	cpse:CPTA_01939
ko:K02501	cpse:CPTA_01940
ko:K01693	cpse:CPTA_01944
ko:K00817	cpse:CPTA_01945
ko:K00013	cpse:CPTA_01946
ko:K02342	cpse:CPTA_01952
ko:K04762	cpse:CPTA_01956
ko:K01754	cpse:CPTA_01959
ko:K02337	cpse:CPTA_01960
ko:K05786	cpse:CPTA_01961
ko:K06180	cpse:CPTA_01963
ko:K03101	cpse:CPTA_01964
ko:K02346	cpse:CPTA_01967
ko:K02032	cpse:CPTA_00477
ko:K08369	cpse:CPTA_00434
ko:K02939	cpse:CPTA_00438
ko:K02990	cpse:CPTA_00440
ko:K07146	cpse:CPTA_00449
ko:K03975	cpse:CPTA_00450
ko:K04047	cpse:CPTA_00451
ko:K01421	cpse:CPTA_00455
ko:K01869	cpse:CPTA_00458
ko:K02003	cpse:CPTA_00460
ko:K02004	cpse:CPTA_00461
ko:K02564	cpse:CPTA_00469
ko:K01443	cpse:CPTA_00470
ko:K01788	cpse:CPTA_00471
ko:K00845	cpse:CPTA_00472
ko:K02035	cpse:CPTA_00474
ko:K02033	cpse:CPTA_00475
ko:K02031	cpse:CPTA_00476
ko:K02034	cpse:CPTA_00476
ko:K01714	cpse:CPTA_00478
ko:K07052	cpse:CPTA_00481
ko:K01792	cpse:CPTA_00483
ko:K09946	cpse:CPTA_00486
ko:K03624	cpse:CPTA_01275
ko:K18455	cpse:CPTA_01277
ko:K12503	cpse:CPTA_01279
ko:K00867	cpse:CPTA_01281
ko:K00600	cpse:CPTA_01282
ko:K03823	cpse:CPTA_01288
ko:K01679	cpse:CPTA_01291
ko:K02446	cpse:CPTA_01292
ko:K03602	cpse:CPTA_01294
ko:K03601	cpse:CPTA_01295
ko:K03527	cpse:CPTA_01296
ko:K06942	cpse:CPTA_01299
ko:K06193	cpse:CPTA_01301
ko:K09781	cpse:CPTA_01306
ko:K00077	cpse:CPTA_01307
ko:K16925	cpse:CPTA_01308
ko:K16786	cpse:CPTA_01309
ko:K16787	cpse:CPTA_01309
ko:K16785	cpse:CPTA_01310
ko:K15580	cpse:CPTA_01313
ko:K15581	cpse:CPTA_01314
ko:K15582	cpse:CPTA_01315
ko:K02031	cpse:CPTA_01316
ko:K02032	cpse:CPTA_01316
ko:K00537	cpse:CPTA_01319
ko:K09146	cpse:CPTA_01320
ko:K07084	cpse:CPTA_02067
ko:K01733	cpse:CPTA_02070
ko:K00982	cpse:CPTA_02074
ko:K01915	cpse:CPTA_02076
ko:K00849	cpse:CPTA_02080
ko:K07164	cpse:CPTA_02083
ko:K00817	cpse:CPTA_02085
ko:K01104	cpse:CPTA_02087
ko:K02227	cpse:CPTA_02089
ko:K00163	cpse:CPTA_02091
ko:K02078	cpse:CPTA_02093
ko:K02566	cpse:CPTA_02094
ko:K00820	cpse:CPTA_02101
ko:K01129	cpse:CPTA_02104
ko:K01880	cpse:CPTA_02109
ko:K03711	cpse:CPTA_02111
ko:K00806	cpse:CPTA_02113
ko:K03584	cpse:CPTA_02114
ko:K00868	cpse:CPTA_02116
ko:K01858	cpse:CPTA_00591
ko:K06966	cpse:CPTA_00600
ko:K07120	cpse:CPTA_00605
ko:K07090	cpse:CPTA_00607
ko:K02821	cpse:CPTA_00608
ko:K03475	cpse:CPTA_00610
ko:K03579	cpse:CPTA_00611
ko:K03919	cpse:CPTA_00612
ko:K01246	cpse:CPTA_00613
ko:K06996	cpse:CPTA_00617
ko:K00864	cpse:CPTA_00621
ko:K02440	cpse:CPTA_00622
ko:K07386	cpse:CPTA_00624
ko:K05845	cpse:CPTA_00627
ko:K11387	cpse:CPTA_00628
ko:K13686	cpse:CPTA_00629
ko:K16652	cpse:CPTA_00630
ko:K16653	cpse:CPTA_00631
ko:K16649	cpse:CPTA_00637
ko:K11707	cpse:CPTA_00639
ko:K11710	cpse:CPTA_00640
ko:K11708	cpse:CPTA_00641
ko:K11709	cpse:CPTA_00642
ko:K11707	cpse:CPTA_00643
ko:K02435	cpse:CPTA_01429
ko:K02433	cpse:CPTA_01430
ko:K02015	cpse:CPTA_01435
ko:K02013	cpse:CPTA_01436
ko:K02016	cpse:CPTA_01437
ko:K02434	cpse:CPTA_01441
ko:K06895	cpse:CPTA_01443
ko:K05596	cpse:CPTA_01444
ko:K01687	cpse:CPTA_01447
ko:K01687	cpse:CPTA_01448
ko:K01652	cpse:CPTA_01452
ko:K01653	cpse:CPTA_01454
ko:K00053	cpse:CPTA_01455
ko:K16264	cpse:CPTA_01456
ko:K00058	cpse:CPTA_01459
ko:K00052	cpse:CPTA_01460
ko:K07182	cpse:CPTA_01461
ko:K02342	cpse:CPTA_01462
ko:K02361	cpse:CPTA_01465
ko:K01885	cpse:CPTA_01466
ko:K03932	cpse:CPTA_01467
ko:K01012	cpse:CPTA_01471
ko:K01703	cpse:CPTA_01474
ko:K01704	cpse:CPTA_01475
ko:K09136	cpse:CPTA_02217
ko:K09136	cpse:CPTA_02224
ko:K01992	cpse:CPTA_02225
ko:K01990	cpse:CPTA_02226
ko:K02351	cpse:CPTA_02227
ko:K07245	cpse:CPTA_02227
ko:K02283	cpse:CPTA_00749
ko:K12510	cpse:CPTA_00750
ko:K06877	cpse:CPTA_00755
ko:K03704	cpse:CPTA_00756
ko:K03168	cpse:CPTA_00757
ko:K02341	cpse:CPTA_00760
ko:K00973	cpse:CPTA_00764
ko:K01322	cpse:CPTA_00768
ko:K00382	cpse:CPTA_00771
ko:K07110	cpse:CPTA_00772
ko:K00241	cpse:CPTA_00773
ko:K00239	cpse:CPTA_00774
ko:K00240	cpse:CPTA_00775
ko:K01619	cpse:CPTA_00779
ko:K04069	cpse:CPTA_00781
ko:K00656	cpse:CPTA_00783
ko:K00075	cpse:CPTA_00786
ko:K01897	cpse:CPTA_00787
ko:K15521	cpse:CPTA_00788
ko:K01834	cpse:CPTA_00789
ko:K07768	cpse:CPTA_00790
ko:K07776	cpse:CPTA_00791
ko:K01524	cpse:CPTA_00793
ko:K00286	cpse:CPTA_00795
ko:K03284	cpse:CPTA_01578
ko:K03885	cpse:CPTA_01580
ko:K00574	cpse:CPTA_01581
ko:K00721	cpse:CPTA_01587
ko:K03820	cpse:CPTA_01588
ko:K07113	cpse:CPTA_01589
ko:K02230	cpse:CPTA_01590
ko:K02229	cpse:CPTA_01591
ko:K06042	cpse:CPTA_01592
ko:K13540	cpse:CPTA_01593
ko:K05895	cpse:CPTA_01594
ko:K05936	cpse:CPTA_01595
ko:K00595	cpse:CPTA_01596
ko:K03727	cpse:CPTA_01599
ko:K03118	cpse:CPTA_01600
ko:K03116	cpse:CPTA_01601
ko:K13573	cpse:CPTA_01602
ko:K13571	cpse:CPTA_01604
ko:K13570	cpse:CPTA_01605
ko:K13527	cpse:CPTA_01607
ko:K07442	cpse:CPTA_01608
ko:K01267	cpse:CPTA_01609
ko:K01938	cpse:CPTA_01613
ko:K01744	cpse:CPTA_01614
ko:K07791	cpse:CPTA_01616
ko:K00765	cpse:CPTA_01617
ko:K01523	cpse:CPTA_01618
ko:K00548	cpse:CPTA_01620
ko:K15526	cpse:CPTA_01622
ko:K06153	cpse:CPTA_01623
ko:K00254	cpse:CPTA_01626
ko:K18955	cpse:CPTA_00733
ko:K14218	cpse:CPTA_tRNA00014
ko:K14218	cpse:CPTA_tRNA00015
ko:K18955	cpse:CPTA_01083
ko:K14229	cpse:CPTA_tRNA00003
ko:K14218	cpse:CPTA_tRNA00005
ko:K14237	cpse:CPTA_tRNA00043
ko:K14225	cpse:CPTA_tRNA00049
ko:K14219	cpse:CPTA_tRNA00001
ko:K14226	cpse:CPTA_tRNA00002
ko:K01980	cpse:CPTA_rRNA00002
ko:K01980	cpse:CPTA_rRNA00011
ko:K01980	cpse:CPTA_rRNA00005
ko:K01980	cpse:CPTA_rRNA00008
ko:K01977	cpse:CPTA_rRNA00003
ko:K01977	cpse:CPTA_rRNA00007
ko:K01977	cpse:CPTA_rRNA00010
ko:K01977	cpse:CPTA_rRNA00006
ko:K14224	cpse:CPTA_tRNA00009
ko:K14229	cpse:CPTA_tRNA00010
ko:K14234	cpse:CPTA_tRNA00011
ko:K14233	cpse:CPTA_tRNA00017
ko:K14219	cpse:CPTA_tRNA00019
ko:K14219	cpse:CPTA_tRNA00020
ko:K14233	cpse:CPTA_tRNA00021
ko:K14235	cpse:CPTA_tRNA00028
ko:K14230	cpse:CPTA_tRNA00029
ko:K14219	cpse:CPTA_tRNA00030
ko:K14223	cpse:CPTA_tRNA00031
ko:K14228	cpse:CPTA_tRNA00032
ko:K14219	cpse:CPTA_tRNA00033
ko:K14223	cpse:CPTA_tRNA00034
ko:K14224	cpse:CPTA_tRNA00035
ko:K14224	cpse:CPTA_tRNA00036
ko:K14228	cpse:CPTA_tRNA00037
ko:K14232	cpse:CPTA_tRNA00038
ko:K14228	cpse:CPTA_tRNA00039
ko:K14237	cpse:CPTA_tRNA00040
ko:K14222	cpse:CPTA_tRNA00042
ko:K14237	cpse:CPTA_tRNA00045
ko:K14220	cpse:CPTA_tRNA00047
ko:K14232	cpse:CPTA_tRNA00048
ko:K06147	cpse:CPTA_01354
ko:K18929	cpse:CPTA_01384
ko:K18928	cpse:CPTA_01385
ko:K03976	cpse:CPTA_01080
ko:K04565	cpse:CPTA_01158
ko:K03111	cpse:CPTA_00439
ko:K03497	cpse:CPTA_00518
ko:K03496	cpse:CPTA_00519
ko:K03111	cpse:CPTA_02214
ko:K08168	cpse:CPTA_00692
ko:K03496	cpse:CPTA_01536
ko:K03526	cpse:CPTA_01879
ko:K00067	cpse:CPTA_00765
ko:K01790	cpse:CPTA_00765
ko:K10563	cpse:CPTA_00452
ko:K19221	cpse:CPTA_01869
ko:K16783	cpse:CPTA_01833
ko:K00798	cpse:CPTA_00073
ko:K01239	cpse:CPTA_00156
ko:K02777	cpse:CPTA_00653
ko:K01710	cpse:CPTA_00766
ko:K19125	cpse:CPTA_00548
ko:K01239	cpse:CPTA_01849
ko:K19265	cpse:CPTA_01442
ko:K01785	cpse:CPTA_01361
ko:K19302	cpse:CPTA_00360
ko:K19302	cpse:CPTA_00644
ko:K00020	cpse:CPTA_00677
ko:K03722	cpse:CPTA_00034
ko:K16164	cpse:CPTA_00681
ko:K00526	cpse:CPTA_00043
ko:K01992	cpse:CPTA_00208
ko:K06867	cpse:CPTA_02124
ko:K06867	cpse:CPTA_02165
ko:K06881	cpse:CPTA_01855
ko:K19577	cpse:CPTA_01003
ko:K06221	cpse:CPTA_01159
ko:K19710	cpse:CPTA_01762
ko:K19784	cpse:CPTA_00398
ko:K07119	cpse:CPTA_00009
ko:K02033	cpse:CPTA_02155
ko:K02034	cpse:CPTA_02155
ko:K09796	cpse:CPTA_01765
ko:K12132	cpse:CPTA_00556
ko:K12132	cpse:CPTA_01997
ko:K12132	cpse:CPTA_00557
ko:K20074	cpse:CPTA_00560
ko:K20468	cpse:CPTA_00342
ko:K20470	cpse:CPTA_00341
ko:K01214	cpse:CPTA_01951
ko:K01200	cpse:CPTA_01256
ko:K20814	cpse:CPTA_01606
ko:K21071	cpse:CPTA_01439
ko:K01768	cpse:CPTA_00759
ko:K00821	cpse:CPTA_01518
ko:K21636	cpse:CPTA_00864
ko:K02335	cpse:CPTA_01496
ko:K06191	cpse:CPTA_00047
ko:K01520	cpse:CPTA_01778
ko:K03553	cpse:CPTA_01829
ko:K03465	cpse:CPTA_01844
ko:K00287	cpse:CPTA_01182
ko:K00560	cpse:CPTA_01183
ko:K02314	cpse:CPTA_00435
ko:K02316	cpse:CPTA_02100
ko:K06217	cpse:CPTA_02119
ko:K07465	cpse:CPTA_01611
ko:K00525	cpse:CPTA_00045
ko:K00108	cpse:CPTA_00165
ko:K09820	cpse:CPTA_00850
ko:K01436	cpse:CPTA_01018
ko:K22468	cpse:CPTA_01237
ko:K09819	cpse:CPTA_00851
ko:K02075	cpse:CPTA_00987
ko:K02075	cpse:CPTA_00986
ko:K02074	cpse:CPTA_00985
ko:K00526	cpse:CPTA_00106
ko:K21481	cpse:CPTA_00011
ko:K21473	cpse:CPTA_01648
ko:K21471	cpse:CPTA_02004
ko:K05364	cpse:CPTA_00558
ko:K21401	cpse:CPTA_00834
ko:K10914	cpse:CPTA_00737
ko:K21498	cpse:CPTA_01612
ko:K21685	cpse:CPTA_00074
ko:K21962	cpse:CPTA_01651
ko:K22044	cpse:CPTA_01450
ko:K22044	cpse:CPTA_02207
ko:K22044	cpse:CPTA_02206
ko:K03595	cpse:CPTA_02115
ko:K00666	cpse:CPTA_00762
ko:K01046	cpse:CPTA_00594
ko:K17758	cpse:CPTA_00453
ko:K17759	cpse:CPTA_00453
ko:K22316	cpse:CPTA_02082
ko:K22306	cpse:CPTA_02170
ko:K02257	cpse:CPTA_01670
ko:K22311	cpse:CPTA_01759
ko:K11206	cpse:CPTA_00277
ko:K22476	cpse:CPTA_00205
ko:K00728	cpse:CPTA_01224
ko:K22468	cpse:CPTA_00185
ko:K08300	cpse:CPTA_02181
ko:K08301	cpse:CPTA_02181
ko:K07566	cpse:CPTA_01396
