ko:K15581	ecq:ECED1_1396
ko:K02355	ecq:ECED1_4000
ko:K02992	ecq:ECED1_4001
ko:K02950	ecq:ECED1_4002
ko:K07237	ecq:ECED1_4003
ko:K07236	ecq:ECED1_4004
ko:K07235	ecq:ECED1_4005
ko:K03745	ecq:ECED1_4009
ko:K03775	ecq:ECED1_4010
ko:K07070	ecq:ECED1_4011
ko:K06158	ecq:ECED1_4015
ko:K07019	ecq:ECED1_4016
ko:K09898	ecq:ECED1_4017
ko:K00855	ecq:ECED1_4018
ko:K10914	ecq:ECED1_4021
ko:K04095	ecq:ECED1_4025
ko:K06141	ecq:ECED1_4028
ko:K00362	ecq:ECED1_4029
ko:K00363	ecq:ECED1_4030
ko:K01584	ecq:ECED1_4851
ko:K07406	ecq:ECED1_4853
ko:K08984	ecq:ECED1_4854
ko:K01676	ecq:ECED1_4855
ko:K07792	ecq:ECED1_4856
ko:K07703	ecq:ECED1_4858
ko:K07701	ecq:ECED1_4859
ko:K06975	ecq:ECED1_4862
ko:K04567	ecq:ECED1_4865
ko:K03305	ecq:ECED1_4866
ko:K03828	ecq:ECED1_5109
ko:K01873	ecq:ECED1_5111
ko:K02339	ecq:ECED1_5112
ko:K01255	ecq:ECED1_5113
ko:K07091	ecq:ECED1_5114
ko:K06915	ecq:ECED1_5116
ko:K00046	ecq:ECED1_5120
ko:K00098	ecq:ECED1_5121
ko:K00851	ecq:ECED1_5122
ko:K07351	ecq:ECED1_5200
ko:K04336	ecq:ECED1_1187
ko:K06180	ecq:ECED1_3035
ko:K05807	ecq:ECED1_3036
ko:K03814	ecq:ECED1_3866
ko:K07648	ecq:ECED1_3868
ko:K07139	ecq:ECED1_3869
ko:K00265	ecq:ECED1_3870
ko:K00266	ecq:ECED1_3871
ko:K01788	ecq:ECED1_3874
ko:K03290	ecq:ECED1_3875
ko:K01639	ecq:ECED1_3876
ko:K03600	ecq:ECED1_3878
ko:K03599	ecq:ECED1_3879
ko:K02996	ecq:ECED1_3880
ko:K02871	ecq:ECED1_3881
ko:K06916	ecq:ECED1_3882
ko:K09908	ecq:ECED1_3883
ko:K03402	ecq:ECED1_3887
ko:K03623	ecq:ECED1_3889
ko:K03568	ecq:ECED1_3894
ko:K08301	ecq:ECED1_3896
ko:K06287	ecq:ECED1_3897
ko:K03571	ecq:ECED1_3898
ko:K03570	ecq:ECED1_3900
ko:K03569	ecq:ECED1_3901
ko:K02160	ecq:ECED1_3906
ko:K10440	ecq:ECED1_3910
ko:K10441	ecq:ECED1_3911
ko:K10439	ecq:ECED1_3912
ko:K08302	ecq:ECED1_3913
ko:K10110	ecq:ECED1_4748
ko:K10108	ecq:ECED1_4750
ko:K10111	ecq:ECED1_4751
ko:K05775	ecq:ECED1_4753
ko:K03181	ecq:ECED1_4754
ko:K04783	ecq:ECED1_2253
ko:K07340	ecq:ECED1_0515
ko:K05838	ecq:ECED1_0519
ko:K02003	ecq:ECED1_0522
ko:K06917	ecq:ECED1_0524
ko:K01483	ecq:ECED1_0526
ko:K01608	ecq:ECED1_0528
ko:K00865	ecq:ECED1_0533
ko:K02381	ecq:ECED1_0537
ko:K00926	ecq:ECED1_0540
ko:K01589	ecq:ECED1_0541
ko:K01588	ecq:ECED1_0542
ko:K03269	ecq:ECED1_0544
ko:K01883	ecq:ECED1_0546
ko:K07644	ecq:ECED1_0562
ko:K07665	ecq:ECED1_0563
ko:K07798	ecq:ECED1_0566
ko:K09996	ecq:ECED1_0825
ko:K09998	ecq:ECED1_0826
ko:K09999	ecq:ECED1_0827
ko:K09997	ecq:ECED1_0828
ko:K10000	ecq:ECED1_0829
ko:K11066	ecq:ECED1_0834
ko:K01620	ecq:ECED1_0837
ko:K00156	ecq:ECED1_0838
ko:K06188	ecq:ECED1_0842
ko:K09824	ecq:ECED1_0844
ko:K03704	ecq:ECED1_0847
ko:K06891	ecq:ECED1_0848
ko:K03694	ecq:ECED1_0849
ko:K02518	ecq:ECED1_0858
ko:K00684	ecq:ECED1_0859
ko:K00384	ecq:ECED1_0862
ko:K03466	ecq:ECED1_0864
ko:K03634	ecq:ECED1_0865
ko:K07478	ecq:ECED1_0866
ko:K01875	ecq:ECED1_0867
ko:K06907	ecq:ECED1_0870
ko:K06908	ecq:ECED1_0871
ko:K06906	ecq:ECED1_0874
ko:K08350	ecq:ECED1_1627
ko:K00027	ecq:ECED1_1632
ko:K06871	ecq:ECED1_1641
ko:K07154	ecq:ECED1_1649
ko:K00041	ecq:ECED1_1653
ko:K08159	ecq:ECED1_1656
ko:K01223	ecq:ECED1_1661
ko:K01284	ecq:ECED1_1666
ko:K00605	ecq:ECED1_3363
ko:K03185	ecq:ECED1_3366
ko:K01262	ecq:ECED1_3367
ko:K09895	ecq:ECED1_3368
ko:K09888	ecq:ECED1_3369
ko:K01807	ecq:ECED1_3372
ko:K05596	ecq:ECED1_3374
ko:K09807	ecq:ECED1_3377
ko:K03442	ecq:ECED1_3379
ko:K01624	ecq:ECED1_3380
ko:K00927	ecq:ECED1_3381
ko:K00615	ecq:ECED1_3397
ko:K07387	ecq:ECED1_3398
ko:K01480	ecq:ECED1_3399
ko:K01585	ecq:ECED1_3401
ko:K00789	ecq:ECED1_3405
ko:K02742	ecq:ECED1_3407
ko:K09761	ecq:ECED1_3409
ko:K01920	ecq:ECED1_3410
ko:K07735	ecq:ECED1_3411
ko:K07447	ecq:ECED1_3412
ko:K02669	ecq:ECED1_3413
ko:K06997	ecq:ECED1_3414
ko:K02221	ecq:ECED1_3415
ko:K09131	ecq:ECED1_3416
ko:K03734	ecq:ECED1_2680
ko:K09475	ecq:ECED1_2681
ko:K07676	ecq:ECED1_2682
ko:K07710	ecq:ECED1_2685
ko:K02106	ecq:ECED1_2690
ko:K00626	ecq:ECED1_2691
ko:K06894	ecq:ECED1_2694
ko:K02469	ecq:ECED1_2697
ko:K00525	ecq:ECED1_2700
ko:K00526	ecq:ECED1_2701
ko:K11107	ecq:ECED1_2702
ko:K01126	ecq:ECED1_2704
ko:K02445	ecq:ECED1_2705
ko:K00111	ecq:ECED1_2706
ko:K00112	ecq:ECED1_2707
ko:K07806	ecq:ECED1_2719
ko:K10012	ecq:ECED1_2720
ko:K10011	ecq:ECED1_2721
ko:K01945	ecq:ECED1_4712
ko:K03827	ecq:ECED1_4719
ko:K00651	ecq:ECED1_4720
ko:K01638	ecq:ECED1_4721
ko:K01637	ecq:ECED1_4722
ko:K00548	ecq:ECED1_4725
ko:K05995	ecq:ECED1_4729
ko:K00068	ecq:ECED1_4735
ko:K06182	ecq:ECED1_4737
ko:K00928	ecq:ECED1_4739
ko:K01810	ecq:ECED1_4740
ko:K00163	ecq:ECED1_0118
ko:K00627	ecq:ECED1_0119
ko:K00382	ecq:ECED1_0120
ko:K01682	ecq:ECED1_0122
ko:K09910	ecq:ECED1_0123
ko:K01611	ecq:ECED1_0124
ko:K00797	ecq:ECED1_0125
ko:K00760	ecq:ECED1_0129
ko:K01673	ecq:ECED1_0130
ko:K02959	ecq:ECED1_3048
ko:K03106	ecq:ECED1_3049
ko:K03687	ecq:ECED1_3052
ko:K00858	ecq:ECED1_3053
ko:K03631	ecq:ECED1_3054
ko:K06186	ecq:ECED1_3055
ko:K09801	ecq:ECED1_3056
ko:K03664	ecq:ECED1_3058
ko:K06906	ecq:ECED1_3063
ko:K06908	ecq:ECED1_3066
ko:K06907	ecq:ECED1_3067
ko:K06903	ecq:ECED1_3075
ko:K02687	ecq:ECED1_3918
ko:K03557	ecq:ECED1_3920
ko:K09969	ecq:ECED1_3930
ko:K09970	ecq:ECED1_3931
ko:K09971	ecq:ECED1_3932
ko:K09972	ecq:ECED1_3933
ko:K00014	ecq:ECED1_3945
ko:K07566	ecq:ECED1_3946
ko:K07479	ecq:ECED1_3947
ko:K03747	ecq:ECED1_3948
ko:K04096	ecq:ECED1_3949
ko:K01462	ecq:ECED1_3950
ko:K00604	ecq:ECED1_3951
ko:K03500	ecq:ECED1_3952
ko:K03499	ecq:ECED1_3953
ko:K03282	ecq:ECED1_3954
ko:K09890	ecq:ECED1_3955
ko:K02879	ecq:ECED1_3958
ko:K03040	ecq:ECED1_3959
ko:K02986	ecq:ECED1_3960
ko:K02948	ecq:ECED1_3961
ko:K02952	ecq:ECED1_3962
ko:K03076	ecq:ECED1_3963
ko:K02876	ecq:ECED1_3964
ko:K02907	ecq:ECED1_3965
ko:K02988	ecq:ECED1_3966
ko:K02881	ecq:ECED1_3967
ko:K02933	ecq:ECED1_3968
ko:K02994	ecq:ECED1_3969
ko:K02954	ecq:ECED1_3970
ko:K02931	ecq:ECED1_3971
ko:K02895	ecq:ECED1_3972
ko:K02874	ecq:ECED1_3973
ko:K02961	ecq:ECED1_3974
ko:K04013	ecq:ECED1_4799
ko:K11102	ecq:ECED1_4805
ko:K02032	ecq:ECED1_4807
ko:K02031	ecq:ECED1_4808
ko:K02034	ecq:ECED1_4809
ko:K02033	ecq:ECED1_4810
ko:K02035	ecq:ECED1_4811
ko:K01808	ecq:ECED1_4824
ko:K06167	ecq:ECED1_4827
ko:K05774	ecq:ECED1_4829
ko:K06162	ecq:ECED1_4830
ko:K05780	ecq:ECED1_4831
ko:K05781	ecq:ECED1_4832
ko:K06163	ecq:ECED1_4833
ko:K06164	ecq:ECED1_4834
ko:K06165	ecq:ECED1_4835
ko:K06166	ecq:ECED1_4836
ko:K02043	ecq:ECED1_4837
ko:K02042	ecq:ECED1_4838
ko:K02044	ecq:ECED1_4839
ko:K02041	ecq:ECED1_4840
ko:K06193	ecq:ECED1_4842
ko:K07643	ecq:ECED1_4846
ko:K03337	ecq:ECED1_0299
ko:K00140	ecq:ECED1_0300
ko:K03335	ecq:ECED1_0303
ko:K06606	ecq:ECED1_0306
ko:K03338	ecq:ECED1_0311
ko:K03336	ecq:ECED1_0314
ko:K02429	ecq:ECED1_0325
ko:K00852	ecq:ECED1_0326
ko:K11534	ecq:ECED1_0327
ko:K02909	ecq:ECED1_0331
ko:K00782	ecq:ECED1_0346
ko:K06190	ecq:ECED1_1408
ko:K07275	ecq:ECED1_1410
ko:K01695	ecq:ECED1_1467
ko:K03746	ecq:ECED1_2317
ko:K00768	ecq:ECED1_2327
ko:K02233	ecq:ECED1_2328
ko:K06445	ecq:ECED1_0255
ko:K03271	ecq:ECED1_0256
ko:K02400	ecq:ECED1_0263
ko:K02557	ecq:ECED1_0264
ko:K02346	ecq:ECED1_0265
ko:K03830	ecq:ECED1_0268
ko:K02839	ecq:ECED1_0270
ko:K04485	ecq:ECED1_5260
ko:K08309	ecq:ECED1_5265
ko:K03720	ecq:ECED1_5266
ko:K05804	ecq:ECED1_5269
ko:K05805	ecq:ECED1_5270
ko:K07663	ecq:ECED1_5271
ko:K07641	ecq:ECED1_5272
ko:K06143	ecq:ECED1_5273
ko:K07773	ecq:ECED1_5274
ko:K02533	ecq:ECED1_5275
ko:K07667	ecq:ECED1_0673
ko:K07646	ecq:ECED1_0674
ko:K01548	ecq:ECED1_0675
ko:K01547	ecq:ECED1_0676
ko:K01546	ecq:ECED1_0677
ko:K01669	ecq:ECED1_0680
ko:K03305	ecq:ECED1_0681
ko:K03544	ecq:ECED1_0462
ko:K01338	ecq:ECED1_0463
ko:K03530	ecq:ECED1_0464
ko:K03770	ecq:ECED1_0465
ko:K06920	ecq:ECED1_0468
ko:K05800	ecq:ECED1_0471
ko:K04752	ecq:ECED1_0474
ko:K03320	ecq:ECED1_0475
ko:K03644	ecq:ECED1_0624
ko:K03801	ecq:ECED1_0626
ko:K09158	ecq:ECED1_0627
ko:K07258	ecq:ECED1_0628
ko:K03642	ecq:ECED1_0630
ko:K05837	ecq:ECED1_0631
ko:K05515	ecq:ECED1_0632
ko:K00783	ecq:ECED1_0633
ko:K07160	ecq:ECED1_0685
ko:K05522	ecq:ECED1_0686
ko:K07120	ecq:ECED1_0687
ko:K01647	ecq:ECED1_0689
ko:K00241	ecq:ECED1_0691
ko:K00242	ecq:ECED1_0692
ko:K00239	ecq:ECED1_0693
ko:K00240	ecq:ECED1_0694
ko:K00164	ecq:ECED1_0695
ko:K00658	ecq:ECED1_0696
ko:K01903	ecq:ECED1_0697
ko:K01902	ecq:ECED1_0698
ko:K00425	ecq:ECED1_0700
ko:K00426	ecq:ECED1_0701
ko:K07107	ecq:ECED1_0703
ko:K03562	ecq:ECED1_0704
ko:K03560	ecq:ECED1_0705
ko:K03646	ecq:ECED1_0706
ko:K03641	ecq:ECED1_0707
ko:K03640	ecq:ECED1_0708
ko:K03517	ecq:ECED1_0711
ko:K03811	ecq:ECED1_0712
ko:K01626	ecq:ECED1_0715
ko:K01834	ecq:ECED1_0716
ko:K01785	ecq:ECED1_0717
ko:K00849	ecq:ECED1_0718
ko:K05776	ecq:ECED1_0721
ko:K06969	ecq:ECED1_0990
ko:K01512	ecq:ECED1_0991
ko:K11179	ecq:ECED1_0992
ko:K00325	ecq:ECED1_1801
ko:K00324	ecq:ECED1_1802
ko:K03758	ecq:ECED1_1804
ko:K07661	ecq:ECED1_1807
ko:K07639	ecq:ECED1_1808
ko:K10748	ecq:ECED1_1809
ko:K01679	ecq:ECED1_1810
ko:K01676	ecq:ECED1_1811
ko:K01809	ecq:ECED1_1812
ko:K01195	ecq:ECED1_1816
ko:K03617	ecq:ECED1_1828
ko:K03616	ecq:ECED1_1829
ko:K03615	ecq:ECED1_1830
ko:K03614	ecq:ECED1_1831
ko:K03612	ecq:ECED1_1832
ko:K03613	ecq:ECED1_1833
ko:K10773	ecq:ECED1_1834
ko:K03305	ecq:ECED1_1835
ko:K00868	ecq:ECED1_1837
ko:K01866	ecq:ECED1_1838
ko:K00275	ecq:ECED1_1839
ko:K09001	ecq:ECED1_1841
ko:K06077	ecq:ECED1_1842
ko:K04565	ecq:ECED1_1847
ko:K10680	ecq:ECED1_1850
ko:K03683	ecq:ECED1_1852
ko:K08276	ecq:ECED1_2675
ko:K00116	ecq:ECED1_2676
ko:K03919	ecq:ECED1_2678
ko:K09710	ecq:ECED1_0634
ko:K00969	ecq:ECED1_0636
ko:K02340	ecq:ECED1_0637
ko:K03643	ecq:ECED1_0638
ko:K01869	ecq:ECED1_0639
ko:K10004	ecq:ECED1_0642
ko:K10002	ecq:ECED1_0643
ko:K10003	ecq:ECED1_0644
ko:K10001	ecq:ECED1_0645
ko:K03820	ecq:ECED1_0648
ko:K06189	ecq:ECED1_0649
ko:K07042	ecq:ECED1_0650
ko:K06217	ecq:ECED1_0651
ko:K03184	ecq:ECED1_0653
ko:K01953	ecq:ECED1_0655
ko:K02565	ecq:ECED1_0657
ko:K01443	ecq:ECED1_0658
ko:K02564	ecq:ECED1_0659
ko:K02802	ecq:ECED1_0660
ko:K02803	ecq:ECED1_0660
ko:K02804	ecq:ECED1_0660
ko:K01886	ecq:ECED1_0661
ko:K03839	ecq:ECED1_0666
ko:K03645	ecq:ECED1_0669
ko:K03756	ecq:ECED1_0671
ko:K01581	ecq:ECED1_0672
ko:K00945	ecq:ECED1_0937
ko:K02945	ecq:ECED1_0938
ko:K05788	ecq:ECED1_0939
ko:K02238	ecq:ECED1_0940
ko:K00912	ecq:ECED1_0942
ko:K09927	ecq:ECED1_0943
ko:K09791	ecq:ECED1_0947
ko:K00979	ecq:ECED1_0948
ko:K06219	ecq:ECED1_0951
ko:K03633	ecq:ECED1_0952
ko:K03804	ecq:ECED1_0953
ko:K03632	ecq:ECED1_0954
ko:K01893	ecq:ECED1_0960
ko:K00763	ecq:ECED1_0961
ko:K01256	ecq:ECED1_0962
ko:K07140	ecq:ECED1_0970
ko:K03808	ecq:ECED1_0973
ko:K06192	ecq:ECED1_0974
ko:K09857	ecq:ECED1_0975
ko:K03812	ecq:ECED1_0976
ko:K01716	ecq:ECED1_0977
ko:K04770	ecq:ECED1_0978
ko:K09911	ecq:ECED1_0979
ko:K03658	ecq:ECED1_0985
ko:K01734	ecq:ECED1_0986
ko:K09909	ecq:ECED1_0987
ko:K06929	ecq:ECED1_0988
ko:K08323	ecq:ECED1_1749
ko:K09771	ecq:ECED1_1750
ko:K07312	ecq:ECED1_1759
ko:K03281	ecq:ECED1_1761
ko:K01935	ecq:ECED1_1762
ko:K08224	ecq:ECED1_1765
ko:K06904	ecq:ECED1_1779
ko:K02356	ecq:ECED1_2621
ko:K07552	ecq:ECED1_2633
ko:K02897	ecq:ECED1_2636
ko:K06899	ecq:ECED1_2637
ko:K09904	ecq:ECED1_2638
ko:K07014	ecq:ECED1_2639
ko:K07685	ecq:ECED1_2658
ko:K02200	ecq:ECED1_2659
ko:K02199	ecq:ECED1_2660
ko:K02198	ecq:ECED1_2661
ko:K02197	ecq:ECED1_2662
ko:K02196	ecq:ECED1_2663
ko:K02195	ecq:ECED1_2664
ko:K02194	ecq:ECED1_2665
ko:K02193	ecq:ECED1_2666
ko:K02569	ecq:ECED1_2667
ko:K02568	ecq:ECED1_2668
ko:K02573	ecq:ECED1_2670
ko:K02567	ecq:ECED1_2671
ko:K02570	ecq:ECED1_2672
ko:K02572	ecq:ECED1_2673
ko:K02909	ecq:ECED1_3543
ko:K07783	ecq:ECED1_4362
ko:K07686	ecq:ECED1_4364
ko:K01653	ecq:ECED1_4366
ko:K01652	ecq:ECED1_4367
ko:K06871	ecq:ECED1_4370
ko:K00389	ecq:ECED1_4372
ko:K07085	ecq:ECED1_4376
ko:K04081	ecq:ECED1_4377
ko:K04080	ecq:ECED1_4378
ko:K00883	ecq:ECED1_4385
ko:K02231	ecq:ECED1_2329
ko:K09936	ecq:ECED1_2341
ko:K07048	ecq:ECED1_2342
ko:K01872	ecq:ECED1_3146
ko:K03565	ecq:ECED1_3147
ko:K03553	ecq:ECED1_3148
ko:K03743	ecq:ECED1_3149
ko:K02783	ecq:ECED1_3151
ko:K02782	ecq:ECED1_3152
ko:K02783	ecq:ECED1_3152
ko:K02781	ecq:ECED1_3153
ko:K00068	ecq:ECED1_3154
ko:K02466	ecq:ECED1_3155
ko:K02467	ecq:ECED1_3157
ko:K04656	ecq:ECED1_3161
ko:K05796	ecq:ECED1_3162
ko:K08315	ecq:ECED1_3168
ko:K04651	ecq:ECED1_3178
ko:K04652	ecq:ECED1_3179
ko:K04653	ecq:ECED1_3180
ko:K04654	ecq:ECED1_3181
ko:K04655	ecq:ECED1_3182
ko:K03555	ecq:ECED1_3186
ko:K03299	ecq:ECED1_3193
ko:K06194	ecq:ECED1_3197
ko:K00573	ecq:ECED1_3199
ko:K07048	ecq:ECED1_4037
ko:K01867	ecq:ECED1_4042
ko:K01091	ecq:ECED1_4043
ko:K01783	ecq:ECED1_4044
ko:K06223	ecq:ECED1_4045
ko:K03112	ecq:ECED1_4046
ko:K01735	ecq:ECED1_4047
ko:K00891	ecq:ECED1_4048
ko:K02507	ecq:ECED1_4049
ko:K05366	ecq:ECED1_4055
ko:K08312	ecq:ECED1_4056
ko:K04762	ecq:ECED1_4059
ko:K04083	ecq:ECED1_4060
ko:K01610	ecq:ECED1_4063
ko:K07638	ecq:ECED1_4064
ko:K04760	ecq:ECED1_4066
ko:K06959	ecq:ECED1_4067
ko:K04758	ecq:ECED1_4068
ko:K04759	ecq:ECED1_4069
ko:K07490	ecq:ECED1_4070
ko:K02170	ecq:ECED1_4072
ko:K07400	ecq:ECED1_4075
ko:K06155	ecq:ECED1_4076
ko:K00705	ecq:ECED1_4077
ko:K00688	ecq:ECED1_4078
ko:K03556	ecq:ECED1_4079
ko:K01974	ecq:ECED1_4080
ko:K02444	ecq:ECED1_4083
ko:K02441	ecq:ECED1_4084
ko:K02439	ecq:ECED1_4085
ko:K00111	ecq:ECED1_4086
ko:K01639	ecq:ECED1_4911
ko:K04084	ecq:ECED1_4924
ko:K03926	ecq:ECED1_4925
ko:K01744	ecq:ECED1_4927
ko:K07113	ecq:ECED1_4928
ko:K04078	ecq:ECED1_4930
ko:K04077	ecq:ECED1_4931
ko:K02356	ecq:ECED1_4935
ko:K03098	ecq:ECED1_4938
ko:K00246	ecq:ECED1_4941
ko:K00245	ecq:ECED1_4942
ko:K04568	ecq:ECED1_4944
ko:K01613	ecq:ECED1_4947
ko:K06949	ecq:ECED1_4948
ko:K06925	ecq:ECED1_4953
ko:K01448	ecq:ECED1_4954
ko:K03572	ecq:ECED1_4955
ko:K00791	ecq:ECED1_4956
ko:K03666	ecq:ECED1_4957
ko:K03665	ecq:ECED1_4958
ko:K04088	ecq:ECED1_4959
ko:K04087	ecq:ECED1_4960
ko:K09937	ecq:ECED1_4961
ko:K01939	ecq:ECED1_4962
ko:K01805	ecq:ECED1_4250
ko:K10543	ecq:ECED1_4251
ko:K10544	ecq:ECED1_4254
ko:K02529	ecq:ECED1_4256
ko:K03796	ecq:ECED1_4257
ko:K00880	ecq:ECED1_4269
ko:K03833	ecq:ECED1_4276
ko:K01042	ecq:ECED1_4277
ko:K02798	ecq:ECED1_4281
ko:K02799	ecq:ECED1_4281
ko:K02800	ecq:ECED1_4281
ko:K00009	ecq:ECED1_4282
ko:K02562	ecq:ECED1_4283
ko:K00427	ecq:ECED1_4289
ko:K00101	ecq:ECED1_4291
ko:K03216	ecq:ECED1_4292
ko:K00640	ecq:ECED1_4293
ko:K00057	ecq:ECED1_4294
ko:K03071	ecq:ECED1_4295
ko:K03676	ecq:ECED1_4296
ko:K09798	ecq:ECED1_4300
ko:K00639	ecq:ECED1_4303
ko:K01201	ecq:ECED1_0305
ko:K05595	ecq:ECED1_1657
ko:K03274	ecq:ECED1_4305
ko:K02168	ecq:ECED1_5138
ko:K09824	ecq:ECED1_5142
ko:K02013	ecq:ECED1_5151
ko:K02015	ecq:ECED1_5153
ko:K02015	ecq:ECED1_5154
ko:K02016	ecq:ECED1_5155
ko:K03088	ecq:ECED1_5158
ko:K00769	ecq:ECED1_0272
ko:K00931	ecq:ECED1_0276
ko:K00147	ecq:ECED1_0277
ko:K00948	ecq:ECED1_1355
ko:K00919	ecq:ECED1_1356
ko:K02494	ecq:ECED1_1357
ko:K02492	ecq:ECED1_1358
ko:K02835	ecq:ECED1_1359
ko:K02493	ecq:ECED1_1360
ko:K01627	ecq:ECED1_1363
ko:K07300	ecq:ECED1_1365
ko:K06197	ecq:ECED1_1366
ko:K06039	ecq:ECED1_1368
ko:K07673	ecq:ECED1_1371
ko:K02575	ecq:ECED1_1373
ko:K00370	ecq:ECED1_1374
ko:K00371	ecq:ECED1_1375
ko:K00373	ecq:ECED1_1376
ko:K00374	ecq:ECED1_1377
ko:K01433	ecq:ECED1_1383
ko:K09858	ecq:ECED1_1384
ko:K07001	ecq:ECED1_1385
ko:K00963	ecq:ECED1_1387
ko:K03746	ecq:ECED1_1388
ko:K00857	ecq:ECED1_1389
ko:K10805	ecq:ECED1_0476
ko:K09914	ecq:ECED1_0477
ko:K07443	ecq:ECED1_0478
ko:K05839	ecq:ECED1_0483
ko:K03577	ecq:ECED1_0487
ko:K05802	ecq:ECED1_0488
ko:K04067	ecq:ECED1_0490
ko:K09790	ecq:ECED1_0491
ko:K00759	ecq:ECED1_0492
ko:K02343	ecq:ECED1_0493
ko:K09747	ecq:ECED1_0494
ko:K06187	ecq:ECED1_0495
ko:K04079	ecq:ECED1_0496
ko:K00939	ecq:ECED1_0497
ko:K01772	ecq:ECED1_0498
ko:K00892	ecq:ECED1_0500
ko:K03455	ecq:ECED1_0501
ko:K08223	ecq:ECED1_0502
ko:K09973	ecq:ECED1_0506
ko:K01425	ecq:ECED1_0511
ko:K04047	ecq:ECED1_0777
ko:K00656	ecq:ECED1_0787
ko:K04069	ecq:ECED1_0788
ko:K03750	ecq:ECED1_0791
ko:K07258	ecq:ECED1_0803
ko:K11534	ecq:ECED1_0804
ko:K08160	ecq:ECED1_0806
ko:K07085	ecq:ECED1_0811
ko:K03674	ecq:ECED1_0813
ko:K10678	ecq:ECED1_0815
ko:K05844	ecq:ECED1_0816
ko:K11073	ecq:ECED1_0818
ko:K11076	ecq:ECED1_0819
ko:K11074	ecq:ECED1_0822
ko:K03212	ecq:ECED1_0824
ko:K03578	ecq:ECED1_1571
ko:K00134	ecq:ECED1_1574
ko:K09794	ecq:ECED1_1582
ko:K03304	ecq:ECED1_1585
ko:K05782	ecq:ECED1_1588
ko:K08303	ecq:ECED1_1590
ko:K09936	ecq:ECED1_1601
ko:K03823	ecq:ECED1_1602
ko:K02014	ecq:ECED1_1604
ko:K02575	ecq:ECED1_1622
ko:K00878	ecq:ECED1_2460
ko:K03593	ecq:ECED1_2469
ko:K01874	ecq:ECED1_2470
ko:K01751	ecq:ECED1_3331
ko:K01464	ecq:ECED1_3333
ko:K00926	ecq:ECED1_3334
ko:K07402	ecq:ECED1_3335
ko:K07141	ecq:ECED1_3337
ko:K06901	ecq:ECED1_3344
ko:K01823	ecq:ECED1_3348
ko:K04567	ecq:ECED1_3349
ko:K02836	ecq:ECED1_3350
ko:K07462	ecq:ECED1_3351
ko:K03981	ecq:ECED1_3352
ko:K04763	ecq:ECED1_3353
ko:K03840	ecq:ECED1_3354
ko:K09159	ecq:ECED1_3356
ko:K06980	ecq:ECED1_3357
ko:K11068	ecq:ECED1_3358
ko:K09900	ecq:ECED1_3359
ko:K01223	ecq:ECED1_3360
ko:K02437	ecq:ECED1_3362
ko:K00428	ecq:ECED1_4196
ko:K01194	ecq:ECED1_4197
ko:K07058	ecq:ECED1_4200
ko:K07290	ecq:ECED1_4202
ko:K00874	ecq:ECED1_4204
ko:K11103	ecq:ECED1_4206
ko:K07347	ecq:ECED1_4229
ko:K01246	ecq:ECED1_4234
ko:K03826	ecq:ECED1_4235
ko:K03704	ecq:ECED1_4241
ko:K01879	ecq:ECED1_4242
ko:K01878	ecq:ECED1_4243
ko:K03841	ecq:ECED1_5087
ko:K02558	ecq:ECED1_5088
ko:K09889	ecq:ECED1_5089
ko:K03592	ecq:ECED1_5090
ko:K04068	ecq:ECED1_5092
ko:K01226	ecq:ECED1_5094
ko:K02818	ecq:ECED1_5095
ko:K02819	ecq:ECED1_5095
ko:K03485	ecq:ECED1_5096
ko:K01531	ecq:ECED1_5097
ko:K09022	ecq:ECED1_5098
ko:K00610	ecq:ECED1_5099
ko:K00609	ecq:ECED1_5100
ko:K00611	ecq:ECED1_5103
ko:K00926	ecq:ECED1_5104
ko:K01478	ecq:ECED1_5105
ko:K00611	ecq:ECED1_5107
ko:K09893	ecq:ECED1_5108
ko:K02470	ecq:ECED1_4390
ko:K03629	ecq:ECED1_4391
ko:K02338	ecq:ECED1_4392
ko:K02313	ecq:ECED1_4393
ko:K02914	ecq:ECED1_4394
ko:K03536	ecq:ECED1_4395
ko:K08998	ecq:ECED1_4396
ko:K03217	ecq:ECED1_4397
ko:K03650	ecq:ECED1_4398
ko:K01667	ecq:ECED1_4399
ko:K06901	ecq:ECED1_4405
ko:K01223	ecq:ECED1_4411
ko:K02755	ecq:ECED1_4412
ko:K02756	ecq:ECED1_4412
ko:K02757	ecq:ECED1_4412
ko:K03488	ecq:ECED1_4413
ko:K02039	ecq:ECED1_4414
ko:K02837	ecq:ECED1_5245
ko:K03424	ecq:ECED1_5249
ko:K01619	ecq:ECED1_5252
ko:K01839	ecq:ECED1_5254
ko:K03784	ecq:ECED1_5255
ko:K03800	ecq:ECED1_5257
ko:K02968	ecq:ECED1_0020
ko:K02063	ecq:ECED1_0068
ko:K02064	ecq:ECED1_0069
ko:K01704	ecq:ECED1_0071
ko:K01703	ecq:ECED1_0072
ko:K00052	ecq:ECED1_0073
ko:K01649	ecq:ECED1_0074
ko:K01652	ecq:ECED1_0079
ko:K01653	ecq:ECED1_0080
ko:K03435	ecq:ECED1_0081
ko:K03925	ecq:ECED1_0082
ko:K03438	ecq:ECED1_0083
ko:K03586	ecq:ECED1_0084
ko:K03587	ecq:ECED1_0085
ko:K01928	ecq:ECED1_0086
ko:K01929	ecq:ECED1_0087
