ko:K07050	bsz:DK67_1949
ko:K16092	bsz:DK67_951
ko:K02016	bsz:DK67_952
ko:K02015	bsz:DK67_953
ko:K02013	bsz:DK67_955
ko:K02058	bsz:DK67_957
ko:K02057	bsz:DK67_958
ko:K02056	bsz:DK67_959
ko:K02431	bsz:DK67_961
ko:K02048	bsz:DK67_967
ko:K02046	bsz:DK67_968
ko:K02047	bsz:DK67_969
ko:K07002	bsz:DK67_970
ko:K07027	bsz:DK67_971
ko:K03455	bsz:DK67_972
ko:K12257	bsz:DK67_973
ko:K02232	bsz:DK67_987
ko:K02231	bsz:DK67_990
ko:K02234	bsz:DK67_991
ko:K02230	bsz:DK67_992
ko:K08978	bsz:DK67_995
ko:K07090	bsz:DK67_994
ko:K02189	bsz:DK67_997
ko:K05936	bsz:DK67_999
ko:K05895	bsz:DK67_998
ko:K02188	bsz:DK67_1000
ko:K08300	bsz:DK67_1813
ko:K01448	bsz:DK67_1814
ko:K05366	bsz:DK67_1815
ko:K02836	bsz:DK67_1816
ko:K03564	bsz:DK67_1821
ko:K01866	bsz:DK67_1823
ko:K09001	bsz:DK67_1825
ko:K07018	bsz:DK67_1826
ko:K04487	bsz:DK67_1827
ko:K09014	bsz:DK67_1828
ko:K09013	bsz:DK67_1829
ko:K09015	bsz:DK67_1830
ko:K11717	bsz:DK67_1831
ko:K00858	bsz:DK67_1835
ko:K13628	bsz:DK67_1837
ko:K07213	bsz:DK67_1839
ko:K00573	bsz:DK67_1841
ko:K12340	bsz:DK67_1842
ko:K09991	bsz:DK67_1843
ko:K01873	bsz:DK67_1844
ko:K06076	bsz:DK67_1845
ko:K02029	bsz:DK67_1848
ko:K02029	bsz:DK67_1849
ko:K02030	bsz:DK67_1850
ko:K03753	bsz:DK67_1852
ko:K03752	bsz:DK67_1853
ko:K03639	bsz:DK67_1854
ko:K01676	bsz:DK67_1857
ko:K03335	bsz:DK67_2681
ko:K03337	bsz:DK67_2682
ko:K01092	bsz:DK67_2683
ko:K02010	bsz:DK67_2684
ko:K02011	bsz:DK67_2685
ko:K02012	bsz:DK67_2686
ko:K13821	bsz:DK67_2687
ko:K03719	bsz:DK67_2688
ko:K00281	bsz:DK67_2689
ko:K02437	bsz:DK67_2690
ko:K00605	bsz:DK67_2691
ko:K01915	bsz:DK67_2696
ko:K02002	bsz:DK67_2700
ko:K02001	bsz:DK67_2701
ko:K02000	bsz:DK67_2702
ko:K10112	bsz:DK67_2706
ko:K02027	bsz:DK67_2708
ko:K02025	bsz:DK67_2709
ko:K02026	bsz:DK67_2710
ko:K02013	bsz:DK67_2713
ko:K02015	bsz:DK67_2714
ko:K02016	bsz:DK67_2715
ko:K06075	bsz:DK67_2719
ko:K09761	bsz:DK67_2720
ko:K01919	bsz:DK67_2721
ko:K03601	bsz:DK67_2722
ko:K01915	bsz:DK67_2725
ko:K09471	bsz:DK67_2727
ko:K01761	bsz:DK67_397
ko:K01424	bsz:DK67_399
ko:K01424	bsz:DK67_401
ko:K00567	bsz:DK67_15
ko:K00390	bsz:DK67_18
ko:K00381	bsz:DK67_19
ko:K02302	bsz:DK67_21
ko:K07460	bsz:DK67_22
ko:K07056	bsz:DK67_23
ko:K02428	bsz:DK67_25
ko:K00989	bsz:DK67_27
ko:K03705	bsz:DK67_28
ko:K03687	bsz:DK67_29
ko:K06203	bsz:DK67_32
ko:K10773	bsz:DK67_33
ko:K02806	bsz:DK67_37
ko:K03092	bsz:DK67_39
ko:K06861	bsz:DK67_40
ko:K09774	bsz:DK67_41
ko:K11719	bsz:DK67_42
ko:K04773	bsz:DK67_43
ko:K05788	bsz:DK67_44
ko:K06969	bsz:DK67_46
ko:K03437	bsz:DK67_47
ko:K03101	bsz:DK67_48
ko:K03555	bsz:DK67_50
ko:K00029	bsz:DK67_51
ko:K00029	bsz:DK67_52
ko:K00990	bsz:DK67_53
ko:K03980	bsz:DK67_54
ko:K01867	bsz:DK67_55
ko:K15012	bsz:DK67_60
ko:K15011	bsz:DK67_63
ko:K03579	bsz:DK67_64
ko:K03579	bsz:DK67_65
ko:K00121	bsz:DK67_67
ko:K02348	bsz:DK67_68
ko:K05805	bsz:DK67_892
ko:K03657	bsz:DK67_893
ko:K09985	bsz:DK67_902
ko:K07552	bsz:DK67_904
ko:K04088	bsz:DK67_908
ko:K04087	bsz:DK67_909
ko:K09937	bsz:DK67_910
ko:K07007	bsz:DK67_912
ko:K01079	bsz:DK67_913
ko:K00791	bsz:DK67_914
ko:K01652	bsz:DK67_915
ko:K01653	bsz:DK67_916
ko:K03474	bsz:DK67_919
ko:K03549	bsz:DK67_920
ko:K00053	bsz:DK67_922
ko:K06998	bsz:DK67_929
ko:K06199	bsz:DK67_932
ko:K02006	bsz:DK67_934
ko:K02008	bsz:DK67_935
ko:K16915	bsz:DK67_936
ko:K02007	bsz:DK67_937
ko:K02009	bsz:DK67_938
ko:K08717	bsz:DK67_939
ko:K03190	bsz:DK67_940
ko:K03189	bsz:DK67_941
ko:K03188	bsz:DK67_942
ko:K03187	bsz:DK67_943
ko:K01428	bsz:DK67_944
ko:K01429	bsz:DK67_945
ko:K01430	bsz:DK67_946
ko:K09458	bsz:DK67_1758
ko:K01785	bsz:DK67_1762
ko:K00874	bsz:DK67_1761
ko:K06162	bsz:DK67_1765
ko:K02030	bsz:DK67_1766
ko:K05539	bsz:DK67_1767
ko:K06985	bsz:DK67_1768
ko:K02233	bsz:DK67_1769
ko:K00768	bsz:DK67_1770
ko:K05800	bsz:DK67_1771
ko:K07126	bsz:DK67_1774
ko:K01142	bsz:DK67_1775
ko:K01129	bsz:DK67_1778
ko:K01887	bsz:DK67_1779
ko:K01207	bsz:DK67_1781
ko:K05896	bsz:DK67_1782
ko:K06024	bsz:DK67_1783
ko:K03116	bsz:DK67_1784
ko:K03117	bsz:DK67_1785
ko:K03118	bsz:DK67_1786
ko:K01875	bsz:DK67_1787
ko:K03787	bsz:DK67_1788
ko:K00573	bsz:DK67_1789
ko:K06923	bsz:DK67_1791
ko:K03210	bsz:DK67_1792
ko:K12257	bsz:DK67_1793
ko:K02291	bsz:DK67_1795
ko:K04094	bsz:DK67_1796
ko:K03545	bsz:DK67_1801
ko:K02434	bsz:DK67_1802
ko:K00684	bsz:DK67_1806
ko:K01961	bsz:DK67_1807
ko:K02160	bsz:DK67_1808
ko:K03786	bsz:DK67_1809
ko:K05813	bsz:DK67_2627
ko:K05814	bsz:DK67_2628
ko:K05815	bsz:DK67_2629
ko:K05816	bsz:DK67_2630
ko:K06901	bsz:DK67_2633
ko:K00826	bsz:DK67_2638
ko:K07090	bsz:DK67_2639
ko:K07077	bsz:DK67_2640
ko:K00128	bsz:DK67_2642
ko:K02016	bsz:DK67_2643
ko:K02015	bsz:DK67_2644
ko:K02015	bsz:DK67_2645
ko:K02013	bsz:DK67_2646
ko:K01469	bsz:DK67_2648
ko:K02424	bsz:DK67_2649
ko:K10009	bsz:DK67_2650
ko:K10010	bsz:DK67_2651
ko:K01524	bsz:DK67_2652
ko:K02427	bsz:DK67_2653
ko:K10112	bsz:DK67_2656
ko:K17317	bsz:DK67_2657
ko:K17316	bsz:DK67_2658
ko:K17315	bsz:DK67_2659
ko:K00794	bsz:DK67_2661
ko:K02379	bsz:DK67_2660
ko:K02011	bsz:DK67_2664
ko:K02012	bsz:DK67_2665
ko:K02010	bsz:DK67_2666
ko:K14588	bsz:DK67_2669
ko:K04756	bsz:DK67_2672
ko:K03386	bsz:DK67_2673
ko:K04761	bsz:DK67_2674
ko:K00010	bsz:DK67_2676
ko:K03338	bsz:DK67_2678
ko:K03338	bsz:DK67_2679
ko:K03336	bsz:DK67_2680
ko:K09972	bsz:DK67_402
ko:K01744	bsz:DK67_403
ko:K01480	bsz:DK67_404
ko:K02028	bsz:DK67_405
ko:K02029	bsz:DK67_406
ko:K02029	bsz:DK67_407
ko:K02030	bsz:DK67_408
ko:K03760	bsz:DK67_412
ko:K03070	bsz:DK67_414
ko:K03769	bsz:DK67_415
ko:K00620	bsz:DK67_416
ko:K03574	bsz:DK67_418
ko:K01069	bsz:DK67_421
ko:K06190	bsz:DK67_422
ko:K03110	bsz:DK67_423
ko:K01778	bsz:DK67_425
ko:K06916	bsz:DK67_427
ko:K00024	bsz:DK67_428
ko:K01903	bsz:DK67_429
ko:K01902	bsz:DK67_430
ko:K00164	bsz:DK67_431
ko:K00658	bsz:DK67_432
ko:K00382	bsz:DK67_436
ko:K09973	bsz:DK67_437
ko:K03733	bsz:DK67_438
ko:K02860	bsz:DK67_439
ko:K00554	bsz:DK67_440
ko:K07090	bsz:DK67_445
ko:K03457	bsz:DK67_446
ko:K02884	bsz:DK67_447
ko:K01703	bsz:DK67_448
ko:K00528	bsz:DK67_1273
ko:K13747	bsz:DK67_1274
ko:K03327	bsz:DK67_1277
ko:K02480	bsz:DK67_1279
ko:K02480	bsz:DK67_1280
ko:K14977	bsz:DK67_1285
ko:K13481	bsz:DK67_1288
ko:K13482	bsz:DK67_1289
ko:K07402	bsz:DK67_1290
ko:K01487	bsz:DK67_1293
ko:K01533	bsz:DK67_1296
ko:K00406	bsz:DK67_1299
ko:K00407	bsz:DK67_1300
ko:K00405	bsz:DK67_1301
ko:K00404	bsz:DK67_1302
ko:K10778	bsz:DK67_1306
ko:K17938	bsz:DK67_1311
ko:K03977	bsz:DK67_1314
ko:K04046	bsz:DK67_1315
ko:K02116	bsz:DK67_1317
ko:K02108	bsz:DK67_1318
ko:K02110	bsz:DK67_1319
ko:K02109	bsz:DK67_1320
ko:K02109	bsz:DK67_1321
ko:K03470	bsz:DK67_1322
ko:K00033	bsz:DK67_2138
ko:K02052	bsz:DK67_2139
ko:K02053	bsz:DK67_2140
ko:K02054	bsz:DK67_2141
ko:K02055	bsz:DK67_2142
ko:K03543	bsz:DK67_2145
ko:K02401	bsz:DK67_2149
ko:K02410	bsz:DK67_2150
ko:K02410	bsz:DK67_2151
ko:K02417	bsz:DK67_2152
ko:K02416	bsz:DK67_2154
ko:K02556	bsz:DK67_2155
ko:K02391	bsz:DK67_2157
ko:K02412	bsz:DK67_2158
ko:K02387	bsz:DK67_2174
ko:K02388	bsz:DK67_2175
ko:K02408	bsz:DK67_2176
ko:K02392	bsz:DK67_2177
ko:K02386	bsz:DK67_2178
ko:K02394	bsz:DK67_2179
ko:K02393	bsz:DK67_2181
ko:K02415	bsz:DK67_2182
ko:K02419	bsz:DK67_2183
ko:K09709	bsz:DK67_2188
ko:K01834	bsz:DK67_2998
ko:K04719	bsz:DK67_3001
ko:K00154	bsz:DK67_3004
ko:K06131	bsz:DK67_3006
ko:K02837	bsz:DK67_3008
ko:K13038	bsz:DK67_3009
ko:K03688	bsz:DK67_3010
ko:K03183	bsz:DK67_3011
ko:K00761	bsz:DK67_3013
ko:K03745	bsz:DK67_3014
ko:K07304	bsz:DK67_3015
ko:K00135	bsz:DK67_3020
ko:K02034	bsz:DK67_3024
ko:K02033	bsz:DK67_3025
ko:K00627	bsz:DK67_3027
ko:K02035	bsz:DK67_3028
ko:K11381	bsz:DK67_3029
ko:K00074	bsz:DK67_3030
ko:K06446	bsz:DK67_3032
ko:K01434	bsz:DK67_3033
ko:K02035	bsz:DK67_3034
ko:K02033	bsz:DK67_3035
ko:K02034	bsz:DK67_3036
ko:K02035	bsz:DK67_3040
ko:K02033	bsz:DK67_3041
ko:K02034	bsz:DK67_3042
ko:K01426	bsz:DK67_3047
ko:K11078	bsz:DK67_3049
ko:K06942	bsz:DK67_784
ko:K01056	bsz:DK67_785
ko:K02897	bsz:DK67_786
ko:K06915	bsz:DK67_787
ko:K00948	bsz:DK67_788
ko:K05810	bsz:DK67_791
ko:K13292	bsz:DK67_793
ko:K06878	bsz:DK67_796
ko:K07638	bsz:DK67_797
ko:K07659	bsz:DK67_798
ko:K03702	bsz:DK67_805
ko:K10806	bsz:DK67_807
ko:K09922	bsz:DK67_809
ko:K03624	bsz:DK67_812
ko:K12989	bsz:DK67_813
ko:K03498	bsz:DK67_815
ko:K00384	bsz:DK67_816
ko:K00812	bsz:DK67_818
ko:K00799	bsz:DK67_819
ko:K03704	bsz:DK67_820
ko:K02471	bsz:DK67_822
ko:K01955	bsz:DK67_823
ko:K07054	bsz:DK67_826
ko:K01956	bsz:DK67_827
ko:K09117	bsz:DK67_828
ko:K03324	bsz:DK67_829
ko:K03086	bsz:DK67_831
ko:K09160	bsz:DK67_833
ko:K09807	bsz:DK67_835
ko:K01760	bsz:DK67_1652
ko:K09969	bsz:DK67_1654
ko:K09970	bsz:DK67_1655
ko:K09971	bsz:DK67_1656
ko:K09972	bsz:DK67_1657
ko:K00480	bsz:DK67_1658
ko:K00937	bsz:DK67_1660
ko:K01524	bsz:DK67_1661
ko:K03684	bsz:DK67_1662
ko:K01876	bsz:DK67_1663
ko:K02621	bsz:DK67_1665
ko:K01698	bsz:DK67_1668
ko:K00600	bsz:DK67_1673
ko:K07738	bsz:DK67_1674
ko:K11752	bsz:DK67_1675
ko:K00793	bsz:DK67_1676
ko:K00794	bsz:DK67_1677
ko:K03625	bsz:DK67_1678
ko:K15987	bsz:DK67_1679
ko:K17662	bsz:DK67_1681
ko:K03621	bsz:DK67_1683
ko:K00648	bsz:DK67_1684
ko:K04764	bsz:DK67_1685
ko:K01991	bsz:DK67_1692
ko:K02259	bsz:DK67_1695
ko:K00145	bsz:DK67_1696
ko:K01480	bsz:DK67_1697
ko:K02996	bsz:DK67_1698
ko:K03711	bsz:DK67_673
ko:K06180	bsz:DK67_676
ko:K03089	bsz:DK67_677
ko:K03823	bsz:DK67_678
ko:K01638	bsz:DK67_679
ko:K01894	bsz:DK67_680
ko:K01247	bsz:DK67_681
ko:K00135	bsz:DK67_685
ko:K17207	bsz:DK67_696
ko:K17206	bsz:DK67_697
ko:K17205	bsz:DK67_698
ko:K05878	bsz:DK67_700
ko:K05879	bsz:DK67_701
ko:K05878	bsz:DK67_702
ko:K05879	bsz:DK67_703
ko:K16079	bsz:DK67_706
ko:K00076	bsz:DK67_710
ko:K01637	bsz:DK67_714
ko:K07110	bsz:DK67_715
ko:K11073	bsz:DK67_716
ko:K11076	bsz:DK67_717
ko:K11075	bsz:DK67_718
ko:K11074	bsz:DK67_719
ko:K07289	bsz:DK67_720
ko:K07270	bsz:DK67_723
ko:K00311	bsz:DK67_1545
ko:K01241	bsz:DK67_1547
ko:K07126	bsz:DK67_1553
ko:K00817	bsz:DK67_1557
ko:K08309	bsz:DK67_1564
ko:K01714	bsz:DK67_1565
ko:K03664	bsz:DK67_1566
ko:K03060	bsz:DK67_1569
ko:K00762	bsz:DK67_1571
ko:K08223	bsz:DK67_1574
ko:K09928	bsz:DK67_1576
ko:K00997	bsz:DK67_1577
ko:K03100	bsz:DK67_1578
ko:K03685	bsz:DK67_1579
ko:K03584	bsz:DK67_1582
ko:K06980	bsz:DK67_1584
ko:K01465	bsz:DK67_1585
ko:K06895	bsz:DK67_1592
ko:K01883	bsz:DK67_1593
ko:K01649	bsz:DK67_1595
ko:K05786	bsz:DK67_1596
ko:K01714	bsz:DK67_2413
ko:K02871	bsz:DK67_1699
ko:K10111	bsz:DK67_2520
ko:K00166	bsz:DK67_2521
ko:K00167	bsz:DK67_2522
ko:K09699	bsz:DK67_2523
ko:K00382	bsz:DK67_2525
ko:K14998	bsz:DK67_2524
ko:K03466	bsz:DK67_2527
ko:K01266	bsz:DK67_2528
ko:K08369	bsz:DK67_2529
ko:K03919	bsz:DK67_2530
ko:K10823	bsz:DK67_2531
ko:K15583	bsz:DK67_2531
ko:K15582	bsz:DK67_2532
ko:K15581	bsz:DK67_2533
ko:K15580	bsz:DK67_2534
ko:K15580	bsz:DK67_2535
ko:K00012	bsz:DK67_2541
ko:K07039	bsz:DK67_2549
ko:K13772	bsz:DK67_2556
ko:K03594	bsz:DK67_2559
ko:K14441	bsz:DK67_2560
ko:K02058	bsz:DK67_2561
ko:K02057	bsz:DK67_2562
ko:K02057	bsz:DK67_2563
ko:K02056	bsz:DK67_2564
ko:K01004	bsz:DK67_2566
ko:K03185	bsz:DK67_2567
ko:K11940	bsz:DK67_2568
ko:K02035	bsz:DK67_2570
ko:K05527	bsz:DK67_341
ko:K09883	bsz:DK67_344
ko:K01534	bsz:DK67_347
ko:K02902	bsz:DK67_350
ko:K09125	bsz:DK67_351
ko:K01142	bsz:DK67_362
ko:K06188	bsz:DK67_364
ko:K09812	bsz:DK67_366
ko:K09811	bsz:DK67_367
ko:K00655	bsz:DK67_369
ko:K01507	bsz:DK67_370
ko:K02221	bsz:DK67_371
ko:K07232	bsz:DK67_373
ko:K00220	bsz:DK67_374
ko:K00817	bsz:DK67_376
ko:K00760	bsz:DK67_378
ko:K01586	bsz:DK67_380
ko:K01755	bsz:DK67_382
ko:K09768	bsz:DK67_384
ko:K07058	bsz:DK67_385
ko:K10026	bsz:DK67_389
ko:K01737	bsz:DK67_390
ko:K06920	bsz:DK67_391
ko:K03521	bsz:DK67_392
ko:K03522	bsz:DK67_393
ko:K00074	bsz:DK67_394
ko:K01738	bsz:DK67_395
ko:K01464	bsz:DK67_1224
ko:K06016	bsz:DK67_1225
ko:K17723	bsz:DK67_1228
ko:K01810	bsz:DK67_1231
ko:K06987	bsz:DK67_1232
ko:K01091	bsz:DK67_1234
ko:K02034	bsz:DK67_2414
ko:K02033	bsz:DK67_2415
ko:K02035	bsz:DK67_2416
ko:K17948	bsz:DK67_2419
ko:K01991	bsz:DK67_2424
ko:K02377	bsz:DK67_2425
ko:K01711	bsz:DK67_2426
ko:K16079	bsz:DK67_2430
ko:K03818	bsz:DK67_2431
ko:K02851	bsz:DK67_2436
ko:K01845	bsz:DK67_2442
ko:K01790	bsz:DK67_2445
ko:K00978	bsz:DK67_2448
ko:K00864	bsz:DK67_2451
ko:K08224	bsz:DK67_2452
ko:K07305	bsz:DK67_2455
ko:K00626	bsz:DK67_2456
ko:K01895	bsz:DK67_2458
ko:K00058	bsz:DK67_2460
ko:K01462	bsz:DK67_2461
ko:K09781	bsz:DK67_2462
ko:K07112	bsz:DK67_2464
ko:K02040	bsz:DK67_233
ko:K09790	bsz:DK67_234
ko:K03642	bsz:DK67_235
ko:K07391	bsz:DK67_238
ko:K01920	bsz:DK67_239
ko:K01591	bsz:DK67_242
ko:K00570	bsz:DK67_243
ko:K03686	bsz:DK67_244
ko:K04043	bsz:DK67_245
ko:K01890	bsz:DK67_247
ko:K01889	bsz:DK67_248
ko:K02887	bsz:DK67_250
ko:K02916	bsz:DK67_251
ko:K02520	bsz:DK67_253
ko:K05782	bsz:DK67_255
ko:K07043	bsz:DK67_257
ko:K01817	bsz:DK67_259
ko:K01696	bsz:DK67_260
ko:K01695	bsz:DK67_262
ko:K01963	bsz:DK67_263
ko:K11754	bsz:DK67_264
ko:K03671	bsz:DK67_265
ko:K01251	bsz:DK67_271
ko:K11189	bsz:DK67_272
ko:K02793	bsz:DK67_273
ko:K14980	bsz:DK67_275
ko:K14981	bsz:DK67_276
ko:K01610	bsz:DK67_277
ko:K15034	bsz:DK67_278
ko:K00867	bsz:DK67_279
ko:K01523	bsz:DK67_280
ko:K02500	bsz:DK67_281
ko:K01814	bsz:DK67_282
ko:K02501	bsz:DK67_283
ko:K01693	bsz:DK67_285
ko:K06891	bsz:DK67_1120
ko:K03694	bsz:DK67_1121
ko:K02503	bsz:DK67_1122
ko:K09919	bsz:DK67_1123
ko:K02967	bsz:DK67_1128
ko:K02357	bsz:DK67_1129
ko:K09903	bsz:DK67_1130
ko:K02838	bsz:DK67_1131
ko:K00806	bsz:DK67_1132
ko:K00981	bsz:DK67_1133
ko:K11749	bsz:DK67_1134
ko:K07277	bsz:DK67_1135
ko:K02536	bsz:DK67_1136
ko:K02372	bsz:DK67_1137
ko:K00677	bsz:DK67_1138
ko:K09949	bsz:DK67_1139
ko:K00748	bsz:DK67_1140
ko:K01647	bsz:DK67_1141
ko:K01897	bsz:DK67_1235
ko:K03577	bsz:DK67_1236
ko:K03585	bsz:DK67_1237
ko:K18138	bsz:DK67_1238
ko:K02030	bsz:DK67_1240
ko:K07636	bsz:DK67_1243
ko:K13583	bsz:DK67_1244
ko:K04083	bsz:DK67_1247
ko:K06195	bsz:DK67_1248
ko:K10764	bsz:DK67_1249
ko:K01494	bsz:DK67_1250
ko:K00254	bsz:DK67_1255
ko:K01259	bsz:DK67_1258
ko:K03282	bsz:DK67_1261
ko:K00643	bsz:DK67_1262
ko:K06518	bsz:DK67_1268
ko:K01918	bsz:DK67_1271
ko:K00606	bsz:DK67_1272
ko:K01048	bsz:DK67_2082
ko:K04080	bsz:DK67_2084
ko:K01620	bsz:DK67_2085
ko:K00265	bsz:DK67_2086
ko:K00266	bsz:DK67_2087
ko:K11737	bsz:DK67_2088
ko:K09795	bsz:DK67_2089
ko:K08305	bsz:DK67_2102
ko:K00963	bsz:DK67_2103
ko:K07340	bsz:DK67_2106
ko:K01772	bsz:DK67_2108
ko:K00808	bsz:DK67_2110
ko:K02619	bsz:DK67_2111
ko:K01665	bsz:DK67_2112
ko:K08602	bsz:DK67_2113
ko:K01625	bsz:DK67_2116
ko:K07146	bsz:DK67_2119
ko:K02020	bsz:DK67_2120
ko:K02018	bsz:DK67_2121
ko:K02017	bsz:DK67_2122
ko:K01426	bsz:DK67_2128
ko:K01581	bsz:DK67_2129
ko:K10441	bsz:DK67_2945
ko:K10439	bsz:DK67_2946
ko:K02014	bsz:DK67_2949
ko:K00799	bsz:DK67_2952
ko:K15736	bsz:DK67_2955
ko:K02342	bsz:DK67_2956
ko:K02034	bsz:DK67_2961
ko:K02033	bsz:DK67_2962
ko:K02035	bsz:DK67_2963
ko:K00059	bsz:DK67_2964
ko:K00128	bsz:DK67_2965
ko:K08169	bsz:DK67_2967
ko:K03536	bsz:DK67_2971
ko:K03217	bsz:DK67_2972
ko:K03978	bsz:DK67_2973
ko:K00930	bsz:DK67_2974
ko:K07025	bsz:DK67_2975
ko:K06966	bsz:DK67_2976
ko:K00674	bsz:DK67_2977
ko:K01439	bsz:DK67_2979
ko:K06173	bsz:DK67_2981
ko:K00604	bsz:DK67_2982
ko:K01462	bsz:DK67_2983
ko:K09760	bsz:DK67_2984
ko:K07401	bsz:DK67_2985
ko:K07461	bsz:DK67_2986
ko:K03596	bsz:DK67_2987
ko:K00329	bsz:DK67_2988
ko:K00356	bsz:DK67_2988
ko:K06153	bsz:DK67_2989
ko:K00799	bsz:DK67_2990
ko:K07261	bsz:DK67_2993
ko:K01734	bsz:DK67_2994
ko:K00845	bsz:DK67_2995
ko:K06147	bsz:DK67_2996
ko:K00215	bsz:DK67_2997
ko:K01999	bsz:DK67_561
ko:K01999	bsz:DK67_563
ko:K01958	bsz:DK67_564
ko:K00019	bsz:DK67_566
ko:K00795	bsz:DK67_568
ko:K03814	bsz:DK67_569
ko:K02911	bsz:DK67_570
ko:K00626	bsz:DK67_572
ko:K17675	bsz:DK67_573
ko:K04762	bsz:DK67_574
ko:K05524	bsz:DK67_575
ko:K07736	bsz:DK67_576
ko:K03089	bsz:DK67_577
ko:K02062	bsz:DK67_580
ko:K02063	bsz:DK67_581
ko:K02064	bsz:DK67_582
ko:K00949	bsz:DK67_583
ko:K15738	bsz:DK67_585
ko:K00873	bsz:DK67_589
ko:K01589	bsz:DK67_591
ko:K01588	bsz:DK67_592
ko:K09987	bsz:DK67_599
ko:K01908	bsz:DK67_604
ko:K00927	bsz:DK67_606
ko:K00134	bsz:DK67_607
ko:K00615	bsz:DK67_608
ko:K09888	bsz:DK67_610
ko:K01934	bsz:DK67_611
ko:K09769	bsz:DK67_612
ko:K09706	bsz:DK67_614
ko:K03523	bsz:DK67_615
ko:K03523	bsz:DK67_1434
ko:K01483	bsz:DK67_1435
ko:K07127	bsz:DK67_1436
ko:K01711	bsz:DK67_1451
ko:K01840	bsz:DK67_1462
ko:K00971	bsz:DK67_1463
ko:K12995	bsz:DK67_1465
ko:K10441	bsz:DK67_1466
ko:K10440	bsz:DK67_1467
ko:K10439	bsz:DK67_1468
ko:K01805	bsz:DK67_1472
ko:K00854	bsz:DK67_1473
ko:K02529	bsz:DK67_1474
ko:K02167	bsz:DK67_1478
ko:K07341	bsz:DK67_1480
ko:K03284	bsz:DK67_1483
ko:K03449	bsz:DK67_1485
ko:K02050	bsz:DK67_2302
ko:K02049	bsz:DK67_2303
ko:K08303	bsz:DK67_2305
ko:K03182	bsz:DK67_2307
ko:K03186	bsz:DK67_2308
ko:K03769	bsz:DK67_2310
ko:K00374	bsz:DK67_2311
ko:K00373	bsz:DK67_2312
ko:K00371	bsz:DK67_2313
ko:K00370	bsz:DK67_2314
ko:K02575	bsz:DK67_2315
ko:K02529	bsz:DK67_2317
ko:K10236	bsz:DK67_2318
ko:K10237	bsz:DK67_2319
ko:K10238	bsz:DK67_2320
ko:K10111	bsz:DK67_2321
ko:K03647	bsz:DK67_2327
ko:K03610	bsz:DK67_2330
ko:K03609	bsz:DK67_2331
ko:K03608	bsz:DK67_2332
ko:K02055	bsz:DK67_2336
ko:K02052	bsz:DK67_2337
ko:K02054	bsz:DK67_2338
ko:K11068	bsz:DK67_126
ko:K16165	bsz:DK67_131
ko:K06889	bsz:DK67_133
ko:K01835	bsz:DK67_135
ko:K03593	bsz:DK67_136
ko:K01759	bsz:DK67_137
ko:K09800	bsz:DK67_143
ko:K07278	bsz:DK67_144
ko:K02300	bsz:DK67_146
ko:K02299	bsz:DK67_147
ko:K02298	bsz:DK67_148
ko:K02297	bsz:DK67_149
ko:K08738	bsz:DK67_151
ko:K00979	bsz:DK67_152
ko:K04518	bsz:DK67_154
ko:K03426	bsz:DK67_153
ko:K02343	bsz:DK67_156
ko:K09747	bsz:DK67_157
ko:K06187	bsz:DK67_158
ko:K02945	bsz:DK67_163
ko:K00945	bsz:DK67_164
ko:K00800	bsz:DK67_165
ko:K01907	bsz:DK67_170
ko:K00253	bsz:DK67_171
ko:K01969	bsz:DK67_172
ko:K01968	bsz:DK67_173
ko:K01640	bsz:DK67_174
ko:K13766	bsz:DK67_175
ko:K01999	bsz:DK67_176
ko:K13893	bsz:DK67_178
ko:K13893	bsz:DK67_179
ko:K13894	bsz:DK67_180
ko:K02303	bsz:DK67_1001
ko:K02224	bsz:DK67_1002
ko:K02225	bsz:DK67_1003
ko:K02227	bsz:DK67_1005
ko:K01999	bsz:DK67_1004
ko:K13786	bsz:DK67_1006
ko:K13541	bsz:DK67_1009
ko:K03394	bsz:DK67_1010
ko:K06042	bsz:DK67_1011
ko:K02229	bsz:DK67_1012
ko:K00595	bsz:DK67_1013
ko:K16079	bsz:DK67_1014
ko:K03630	bsz:DK67_1015
ko:K01265	bsz:DK67_1016
ko:K06206	bsz:DK67_1017
ko:K09956	bsz:DK67_1018
ko:K14261	bsz:DK67_1023
ko:K00003	bsz:DK67_1024
ko:K11532	bsz:DK67_1025
ko:K01921	bsz:DK67_1026
ko:K07462	bsz:DK67_1027
ko:K01759	bsz:DK67_1029
ko:K03704	bsz:DK67_1030
ko:K09005	bsz:DK67_1031
ko:K00640	bsz:DK67_1033
ko:K03218	bsz:DK67_1042
ko:K02358	bsz:DK67_1045
ko:K03073	bsz:DK67_1047
ko:K02601	bsz:DK67_1048
ko:K02867	bsz:DK67_1049
ko:K02863	bsz:DK67_1050
ko:K02864	bsz:DK67_1051
ko:K02935	bsz:DK67_1052
ko:K03043	bsz:DK67_1053
ko:K03046	bsz:DK67_1054
ko:K16079	bsz:DK67_1871
ko:K09803	bsz:DK67_1874
ko:K00773	bsz:DK67_1875
ko:K00537	bsz:DK67_1886
ko:K03642	bsz:DK67_1887
ko:K07258	bsz:DK67_1888
ko:K00943	bsz:DK67_1889
ko:K02341	bsz:DK67_1890
ko:K01874	bsz:DK67_1891
ko:K03424	bsz:DK67_1892
ko:K06167	bsz:DK67_1893
