ko:K01006	lmoj:LM220_20145
ko:K09014	lmoj:LM220_09885
ko:K04488	lmoj:LM220_09890
ko:K01924	lmoj:LM220_19790
ko:K03466	lmoj:LM220_19795
ko:K06878	lmoj:LM220_05787
ko:K03439	lmoj:LM220_07442
ko:K00824	lmoj:LM220_07472
ko:K01439	lmoj:LM220_07477
ko:K03574	lmoj:LM220_07482
ko:K01695	lmoj:LM220_07517
ko:K01696	lmoj:LM220_19820
ko:K01817	lmoj:LM220_07532
ko:K01609	lmoj:LM220_07537
ko:K00766	lmoj:LM220_19825
ko:K01657	lmoj:LM220_19830
ko:K04072	lmoj:LM220_19835
ko:K01246	lmoj:LM220_08875
ko:K01681	lmoj:LM220_19840
ko:K03547	lmoj:LM220_08925
ko:K00655	lmoj:LM220_08930
ko:K08602	lmoj:LM220_20620
ko:K06198	lmoj:LM220_20625
ko:K16511	lmoj:LM220_10500
ko:K16509	lmoj:LM220_10505
ko:K10823	lmoj:LM220_10510
ko:K15583	lmoj:LM220_20630
ko:K15582	lmoj:LM220_10525
ko:K15581	lmoj:LM220_10530
ko:K15580	lmoj:LM220_10535
ko:K01867	lmoj:LM220_10545
ko:K09458	lmoj:LM220_12362
ko:K00648	lmoj:LM220_12367
ko:K01834	lmoj:LM220_12392
ko:K03695	lmoj:LM220_12397
ko:K06890	lmoj:LM220_12402
ko:K06976	lmoj:LM220_12412
ko:K01772	lmoj:LM220_12422
ko:K01599	lmoj:LM220_20655
ko:K01992	lmoj:LM220_20660
ko:K01990	lmoj:LM220_20665
ko:K02503	lmoj:LM220_12462
ko:K07533	lmoj:LM220_12477
ko:K03698	lmoj:LM220_12482
ko:K06147	lmoj:LM220_22225
ko:K06147	lmoj:LM220_22230
ko:K01448	lmoj:LM220_22245
ko:K01081	lmoj:LM220_22250
ko:K00088	lmoj:LM220_22255
ko:K06975	lmoj:LM220_08710
ko:K02033	lmoj:LM220_08720
ko:K02034	lmoj:LM220_08725
ko:K02035	lmoj:LM220_22265
ko:K09815	lmoj:LM220_08795
ko:K09817	lmoj:LM220_08800
ko:K09816	lmoj:LM220_08805
ko:K02341	lmoj:LM220_22280
ko:K04750	lmoj:LM220_00515
ko:K03574	lmoj:LM220_00550
ko:K03486	lmoj:LM220_19310
ko:K01226	lmoj:LM220_00610
ko:K02818	lmoj:LM220_00615
ko:K02819	lmoj:LM220_00615
ko:K00147	lmoj:LM220_00640
ko:K00931	lmoj:LM220_00645
ko:K03545	lmoj:LM220_00690
ko:K03544	lmoj:LM220_00695
ko:K03100	lmoj:LM220_00700
ko:K03100	lmoj:LM220_19330
ko:K03100	lmoj:LM220_00715
ko:K14540	lmoj:LM220_00720
ko:K03470	lmoj:LM220_00725
ko:K04096	lmoj:LM220_00730
ko:K03168	lmoj:LM220_00735
ko:K04094	lmoj:LM220_00740
ko:K03733	lmoj:LM220_00745
ko:K01419	lmoj:LM220_00750
ko:K03667	lmoj:LM220_00755
ko:K03706	lmoj:LM220_00760
ko:K07107	lmoj:LM220_00765
ko:K03797	lmoj:LM220_09285
ko:K07213	lmoj:LM220_09290
ko:K03784	lmoj:LM220_20140
ko:K03810	lmoj:LM220_09325
ko:K07305	lmoj:LM220_09330
ko:K07304	lmoj:LM220_09335
ko:K11068	lmoj:LM220_09355
ko:K09773	lmoj:LM220_09365
ko:K00563	lmoj:LM220_09410
ko:K15738	lmoj:LM220_09425
ko:K01938	lmoj:LM220_09430
ko:K03704	lmoj:LM220_09445
ko:K02954	lmoj:LM220_09465
ko:K02774	lmoj:LM220_02837
ko:K02773	lmoj:LM220_02842
ko:K01808	lmoj:LM220_02877
ko:K07667	lmoj:LM220_02902
ko:K07646	lmoj:LM220_02912
ko:K01548	lmoj:LM220_21345
ko:K01547	lmoj:LM220_02927
ko:K01546	lmoj:LM220_21350
ko:K02760	lmoj:LM220_02942
ko:K02761	lmoj:LM220_02947
ko:K02759	lmoj:LM220_02952
ko:K01531	lmoj:LM220_08475
ko:K00943	lmoj:LM220_08510
ko:K05878	lmoj:LM220_08520
ko:K05879	lmoj:LM220_08525
ko:K08310	lmoj:LM220_08545
ko:K06187	lmoj:LM220_08565
ko:K09747	lmoj:LM220_08570
ko:K02343	lmoj:LM220_08575
ko:K02761	lmoj:LM220_08595
ko:K00851	lmoj:LM220_08610
ko:K16012	lmoj:LM220_08630
ko:K16013	lmoj:LM220_08635
ko:K02884	lmoj:LM220_11542
ko:K00554	lmoj:LM220_11572
ko:K02860	lmoj:LM220_20070
ko:K07010	lmoj:LM220_11587
ko:K06960	lmoj:LM220_11592
ko:K02959	lmoj:LM220_11597
ko:K01104	lmoj:LM220_08965
ko:K03106	lmoj:LM220_20075
ko:K09787	lmoj:LM220_08980
ko:K03110	lmoj:LM220_20080
ko:K03529	lmoj:LM220_20085
ko:K03685	lmoj:LM220_09010
ko:K02078	lmoj:LM220_09015
ko:K00059	lmoj:LM220_09020
ko:K00645	lmoj:LM220_09025
ko:K03621	lmoj:LM220_20090
ko:K03655	lmoj:LM220_09045
ko:K01752	lmoj:LM220_20095
ko:K01752	lmoj:LM220_09060
ko:K07030	lmoj:LM220_09065
ko:K02902	lmoj:LM220_09075
ko:K00949	lmoj:LM220_09080
ko:K01783	lmoj:LM220_09085
ko:K06949	lmoj:LM220_09090
ko:K03500	lmoj:LM220_20105
ko:K00604	lmoj:LM220_20110
ko:K13038	lmoj:LM220_20115
ko:K03060	lmoj:LM220_09140
ko:K00942	lmoj:LM220_09145
ko:K00762	lmoj:LM220_09180
ko:K01591	lmoj:LM220_09185
ko:K02823	lmoj:LM220_09195
ko:K01955	lmoj:LM220_09200
ko:K01956	lmoj:LM220_09205
ko:K01465	lmoj:LM220_09210
ko:K00609	lmoj:LM220_09215
ko:K11717	lmoj:LM220_09895
ko:K09015	lmoj:LM220_21060
ko:K09013	lmoj:LM220_09910
ko:K02073	lmoj:LM220_09925
ko:K02072	lmoj:LM220_21070
ko:K02071	lmoj:LM220_09940
ko:K02437	lmoj:LM220_09965
ko:K05837	lmoj:LM220_21080
ko:K05837	lmoj:LM220_09985
ko:K02013	lmoj:LM220_21085
ko:K02015	lmoj:LM220_10000
ko:K02016	lmoj:LM220_10005
ko:K01580	lmoj:LM220_21090
ko:K07032	lmoj:LM220_10040
ko:K03664	lmoj:LM220_10115
ko:K12573	lmoj:LM220_10120
ko:K03928	lmoj:LM220_10125
ko:K03075	lmoj:LM220_14057
ko:K01689	lmoj:LM220_14082
ko:K15633	lmoj:LM220_14087
ko:K01803	lmoj:LM220_14092
ko:K00927	lmoj:LM220_14097
ko:K00134	lmoj:LM220_14102
ko:K05311	lmoj:LM220_21120
ko:K03092	lmoj:LM220_14117
ko:K01273	lmoj:LM220_14122
ko:K06994	lmoj:LM220_14127
ko:K02824	lmoj:LM220_09220
ko:K02825	lmoj:LM220_09225
ko:K06180	lmoj:LM220_09240
ko:K03101	lmoj:LM220_09245
ko:K06901	lmoj:LM220_09250
ko:K03327	lmoj:LM220_09255
ko:K01358	lmoj:LM220_14152
ko:K09762	lmoj:LM220_14177
ko:K06958	lmoj:LM220_14187
ko:K01835	lmoj:LM220_14192
ko:K01785	lmoj:LM220_14197
ko:K01784	lmoj:LM220_14202
ko:K00384	lmoj:LM220_21130
ko:K06019	lmoj:LM220_14237
ko:K13292	lmoj:LM220_14242
ko:K06023	lmoj:LM220_14247
ko:K08972	lmoj:LM220_14252
ko:K03701	lmoj:LM220_21150
ko:K03702	lmoj:LM220_14292
ko:K07023	lmoj:LM220_14302
ko:K02039	lmoj:LM220_21155
ko:K02036	lmoj:LM220_09590
ko:K02036	lmoj:LM220_09595
ko:K02038	lmoj:LM220_09600
ko:K02037	lmoj:LM220_09605
ko:K02040	lmoj:LM220_09610
ko:K07636	lmoj:LM220_21160
ko:K07658	lmoj:LM220_09630
ko:K06131	lmoj:LM220_09640
ko:K09811	lmoj:LM220_21165
ko:K09812	lmoj:LM220_09665
ko:K02836	lmoj:LM220_21170
ko:K03070	lmoj:LM220_09685
ko:K02242	lmoj:LM220_21175
ko:K02240	lmoj:LM220_21180
ko:K07692	lmoj:LM220_09715
ko:K08591	lmoj:LM220_00785
ko:K02622	lmoj:LM220_00795
ko:K02621	lmoj:LM220_00800
ko:K07173	lmoj:LM220_00805
ko:K01126	lmoj:LM220_00820
ko:K00111	lmoj:LM220_00825
ko:K00791	lmoj:LM220_00830
ko:K03666	lmoj:LM220_00835
ko:K03665	lmoj:LM220_00840
ko:K03713	lmoj:LM220_00850
ko:K01915	lmoj:LM220_00855
ko:K03893	lmoj:LM220_00860
ko:K01356	lmoj:LM220_00870
ko:K00615	lmoj:LM220_00885
ko:K09976	lmoj:LM220_00890
ko:K09903	lmoj:LM220_13430
ko:K02838	lmoj:LM220_13435
ko:K00806	lmoj:LM220_13440
ko:K00981	lmoj:LM220_13445
ko:K00099	lmoj:LM220_19355
ko:K11749	lmoj:LM220_13460
ko:K01881	lmoj:LM220_13465
ko:K09748	lmoj:LM220_13475
ko:K02600	lmoj:LM220_13480
ko:K07742	lmoj:LM220_13485
ko:K02519	lmoj:LM220_19360
ko:K09764	lmoj:LM220_13505
ko:K02834	lmoj:LM220_13510
ko:K03177	lmoj:LM220_19365
ko:K11753	lmoj:LM220_13525
ko:K02956	lmoj:LM220_13530
ko:K00962	lmoj:LM220_19370
ko:K06949	lmoj:LM220_13545
ko:K02913	lmoj:LM220_13560
ko:K01934	lmoj:LM220_13565
ko:K00845	lmoj:LM220_19380
ko:K16169	lmoj:LM220_09475
ko:K03816	lmoj:LM220_09480
ko:K07444	lmoj:LM220_09500
ko:K03700	lmoj:LM220_09525
ko:K10773	lmoj:LM220_20180
ko:K02086	lmoj:LM220_09550
ko:K01893	lmoj:LM220_09555
ko:K00812	lmoj:LM220_09560
ko:K01579	lmoj:LM220_20190
ko:K01918	lmoj:LM220_10707
ko:K00606	lmoj:LM220_10712
ko:K03524	lmoj:LM220_20195
ko:K00974	lmoj:LM220_10732
ko:K01734	lmoj:LM220_10737
ko:K00215	lmoj:LM220_20200
ko:K00027	lmoj:LM220_20215
ko:K00656	lmoj:LM220_12802
ko:K07007	lmoj:LM220_20225
ko:K06973	lmoj:LM220_20230
ko:K00800	lmoj:LM220_14763
ko:K04517	lmoj:LM220_14768
ko:K00817	lmoj:LM220_14773
ko:K06208	lmoj:LM220_20235
ko:K01735	lmoj:LM220_14788
ko:K01736	lmoj:LM220_14793
ko:K00940	lmoj:LM220_20240
ko:K00805	lmoj:LM220_14808
ko:K03183	lmoj:LM220_14813
ko:K00805	lmoj:LM220_14818
ko:K01495	lmoj:LM220_14823
ko:K03530	lmoj:LM220_14828
ko:K00426	lmoj:LM220_08640
ko:K00425	lmoj:LM220_21395
ko:K11991	lmoj:LM220_08660
ko:K01895	lmoj:LM220_08665
ko:K04750	lmoj:LM220_11017
ko:K01191	lmoj:LM220_21425
ko:K00865	lmoj:LM220_21435
ko:K03699	lmoj:LM220_11112
ko:K12410	lmoj:LM220_11117
ko:K08161	lmoj:LM220_11127
ko:K00616	lmoj:LM220_11137
ko:K07343	lmoj:LM220_11152
ko:K01875	lmoj:LM220_11157
ko:K03342	lmoj:LM220_21440
ko:K07258	lmoj:LM220_11207
ko:K06978	lmoj:LM220_11212
ko:K03654	lmoj:LM220_21450
ko:K00088	lmoj:LM220_11237
ko:K01223	lmoj:LM220_11262
ko:K02760	lmoj:LM220_11267
ko:K02761	lmoj:LM220_11272
ko:K02759	lmoj:LM220_11282
ko:K02851	lmoj:LM220_09735
ko:K05946	lmoj:LM220_09745
ko:K02372	lmoj:LM220_09760
ko:K03569	lmoj:LM220_09765
ko:K00790	lmoj:LM220_09770
ko:K02114	lmoj:LM220_09780
ko:K02112	lmoj:LM220_09785
ko:K02115	lmoj:LM220_09790
ko:K02111	lmoj:LM220_09795
ko:K02113	lmoj:LM220_09800
ko:K02109	lmoj:LM220_21185
ko:K02110	lmoj:LM220_09815
ko:K02108	lmoj:LM220_09820
ko:K02116	lmoj:LM220_09825
ko:K00761	lmoj:LM220_09835
ko:K07566	lmoj:LM220_09855
ko:K02493	lmoj:LM220_09860
ko:K02835	lmoj:LM220_21195
ko:K00872	lmoj:LM220_21200
ko:K01733	lmoj:LM220_14411
ko:K00003	lmoj:LM220_14416
ko:K02909	lmoj:LM220_14421
ko:K03628	lmoj:LM220_14431
ko:K00790	lmoj:LM220_21205
ko:K13678	lmoj:LM220_21210
ko:K01937	lmoj:LM220_21225
ko:K03048	lmoj:LM220_03607
ko:K01887	lmoj:LM220_03617
ko:K01821	lmoj:LM220_03632
ko:K06885	lmoj:LM220_03637
ko:K05936	lmoj:LM220_17287
ko:K02189	lmoj:LM220_18900
ko:K05895	lmoj:LM220_18910
ko:K13542	lmoj:LM220_17317
ko:K02190	lmoj:LM220_18915
ko:K03394	lmoj:LM220_17332
ko:K02007	lmoj:LM220_17337
ko:K02009	lmoj:LM220_17342
ko:K02008	lmoj:LM220_18920
ko:K02006	lmoj:LM220_17352
ko:K02232	lmoj:LM220_17357
ko:K09936	lmoj:LM220_18925
ko:K09936	lmoj:LM220_17377
ko:K03437	lmoj:LM220_18935
ko:K01889	lmoj:LM220_17437
ko:K01890	lmoj:LM220_17442
ko:K02003	lmoj:LM220_17447
ko:K02004	lmoj:LM220_18940
ko:K06994	lmoj:LM220_17467
ko:K03648	lmoj:LM220_17472
ko:K03471	lmoj:LM220_18945
ko:K09888	lmoj:LM220_17497
ko:K02347	lmoj:LM220_17512
ko:K07456	lmoj:LM220_17517
ko:K03671	lmoj:LM220_17527
ko:K02035	lmoj:LM220_21235
ko:K08281	lmoj:LM220_07952
ko:K16264	lmoj:LM220_07972
ko:K02003	lmoj:LM220_07997
ko:K02004	lmoj:LM220_21240
ko:K02379	lmoj:LM220_08032
ko:K00123	lmoj:LM220_08042
ko:K03593	lmoj:LM220_10982
ko:K02996	lmoj:LM220_08230
ko:K02871	lmoj:LM220_08235
ko:K06173	lmoj:LM220_08240
ko:K16785	lmoj:LM220_21285
ko:K16787	lmoj:LM220_08255
ko:K16786	lmoj:LM220_08260
ko:K07507	lmoj:LM220_08265
ko:K01426	lmoj:LM220_08270
ko:K02879	lmoj:LM220_08280
ko:K03040	lmoj:LM220_08285
ko:K02948	lmoj:LM220_08290
ko:K02952	lmoj:LM220_08295
ko:K02919	lmoj:LM220_08300
ko:K02518	lmoj:LM220_08305
ko:K00939	lmoj:LM220_08310
ko:K03076	lmoj:LM220_08315
ko:K02876	lmoj:LM220_08320
ko:K02249	lmoj:LM220_13595
ko:K02248	lmoj:LM220_13600
ko:K02247	lmoj:LM220_19385
ko:K02246	lmoj:LM220_13610
ko:K02245	lmoj:LM220_13615
ko:K02244	lmoj:LM220_13620
ko:K00605	lmoj:LM220_19395
ko:K00282	lmoj:LM220_19400
ko:K00283	lmoj:LM220_13655
ko:K01262	lmoj:LM220_19410
ko:K02356	lmoj:LM220_13690
ko:K02160	lmoj:LM220_13695
ko:K01961	lmoj:LM220_13700
ko:K03625	lmoj:LM220_13710
ko:K01491	lmoj:LM220_13715
ko:K03601	lmoj:LM220_13720
ko:K03602	lmoj:LM220_13725
ko:K13789	lmoj:LM220_13730
ko:K03704	lmoj:LM220_13735
ko:K01662	lmoj:LM220_19415
ko:K06442	lmoj:LM220_13750
ko:K03402	lmoj:LM220_13755
ko:K03631	lmoj:LM220_19420
ko:K00929	lmoj:LM220_13780
ko:K00382	lmoj:LM220_19430
ko:K00166	lmoj:LM220_19435
ko:K00167	lmoj:LM220_00455
ko:K09699	lmoj:LM220_19440
ko:K00033	lmoj:LM220_00490
ko:K03217	lmoj:LM220_19450
ko:K01512	lmoj:LM220_07652
ko:K01823	lmoj:LM220_19465
ko:K07146	lmoj:LM220_19470
ko:K03466	lmoj:LM220_07692
ko:K00286	lmoj:LM220_07697
ko:K07335	lmoj:LM220_19475
ko:K02056	lmoj:LM220_07712
ko:K02057	lmoj:LM220_07717
ko:K02057	lmoj:LM220_07722
ko:K01104	lmoj:LM220_14833
ko:K00057	lmoj:LM220_14838
ko:K03977	lmoj:LM220_14843
ko:K02945	lmoj:LM220_14848
ko:K00945	lmoj:LM220_20245
ko:K01424	lmoj:LM220_14863
ko:K03654	lmoj:LM220_20255
ko:K07651	lmoj:LM220_14943
ko:K07775	lmoj:LM220_14948
ko:K06178	lmoj:LM220_14953
ko:K06024	lmoj:LM220_14958
ko:K05896	lmoj:LM220_14963
ko:K01586	lmoj:LM220_14968
ko:K03783	lmoj:LM220_14973
ko:K01839	lmoj:LM220_14978
ko:K04763	lmoj:LM220_14983
ko:K03711	lmoj:LM220_14988
ko:K02015	lmoj:LM220_20265
ko:K02015	lmoj:LM220_15003
ko:K02016	lmoj:LM220_15008
ko:K02013	lmoj:LM220_20270
ko:K01992	lmoj:LM220_20280
ko:K01515	lmoj:LM220_15053
ko:K02346	lmoj:LM220_20290
ko:K07124	lmoj:LM220_20295
ko:K00784	lmoj:LM220_20300
ko:K00036	lmoj:LM220_15103
ko:K01687	lmoj:LM220_15128
ko:K01652	lmoj:LM220_15133
ko:K01653	lmoj:LM220_20305
ko:K00053	lmoj:LM220_20310
ko:K01649	lmoj:LM220_15153
ko:K00052	lmoj:LM220_15158
ko:K01703	lmoj:LM220_15163
ko:K01704	lmoj:LM220_15168
ko:K01754	lmoj:LM220_15173
ko:K01575	lmoj:LM220_20315
ko:K00756	lmoj:LM220_15188
ko:K01919	lmoj:LM220_21465
ko:K01223	lmoj:LM220_11327
ko:K02755	lmoj:LM220_11332
ko:K02756	lmoj:LM220_11332
ko:K02757	lmoj:LM220_11332
ko:K03488	lmoj:LM220_11337
ko:K02003	lmoj:LM220_11347
ko:K02004	lmoj:LM220_11352
ko:K06942	lmoj:LM220_11382
ko:K02759	lmoj:LM220_21480
ko:K05349	lmoj:LM220_11397
ko:K02760	lmoj:LM220_11402
ko:K02761	lmoj:LM220_11407
ko:K03491	lmoj:LM220_11412
ko:K03781	lmoj:LM220_11417
ko:K02798	lmoj:LM220_11472
ko:K02799	lmoj:LM220_11482
ko:K02800	lmoj:LM220_11482
ko:K01788	lmoj:LM220_21505
ko:K03501	lmoj:LM220_11507
ko:K03495	lmoj:LM220_21525
ko:K03650	lmoj:LM220_15992
ko:K08170	lmoj:LM220_16027
ko:K00058	lmoj:LM220_16062
ko:K00059	lmoj:LM220_07742
ko:K00995	lmoj:LM220_07757
ko:K03823	lmoj:LM220_07797
ko:K03703	lmoj:LM220_17532
ko:K00928	lmoj:LM220_18955
ko:K01776	lmoj:LM220_17557
ko:K00989	lmoj:LM220_17562
ko:K02428	lmoj:LM220_17567
ko:K07095	lmoj:LM220_17572
ko:K02907	lmoj:LM220_08325
ko:K02988	lmoj:LM220_08330
ko:K02881	lmoj:LM220_08335
ko:K02933	lmoj:LM220_08340
ko:K02994	lmoj:LM220_08345
ko:K02954	lmoj:LM220_08350
ko:K02931	lmoj:LM220_08355
ko:K02895	lmoj:LM220_21295
ko:K02874	lmoj:LM220_08370
ko:K02961	lmoj:LM220_08375
ko:K02904	lmoj:LM220_08380
ko:K02878	lmoj:LM220_08385
ko:K02982	lmoj:LM220_08390
ko:K02890	lmoj:LM220_08395
ko:K02965	lmoj:LM220_21300
ko:K02886	lmoj:LM220_08405
ko:K02892	lmoj:LM220_08410
ko:K02926	lmoj:LM220_08415
ko:K02906	lmoj:LM220_08420
ko:K02946	lmoj:LM220_08425
ko:K16785	lmoj:LM220_08430
ko:K03734	lmoj:LM220_08440
ko:K03885	lmoj:LM220_08450
ko:K00805	lmoj:LM220_21310
ko:K00805	lmoj:LM220_08465
ko:K01470	lmoj:LM220_16617
ko:K07048	lmoj:LM220_16622
ko:K03475	lmoj:LM220_16627
ko:K02822	lmoj:LM220_16632
ko:K02358	lmoj:LM220_02742
ko:K02355	lmoj:LM220_21320
ko:K02992	lmoj:LM220_02757
ko:K02950	lmoj:LM220_02762
ko:K01783	lmoj:LM220_02782
ko:K00615	lmoj:LM220_21325
ko:K01783	lmoj:LM220_02797
ko:K01808	lmoj:LM220_02802
ko:K02775	lmoj:LM220_02832
ko:K09769	lmoj:LM220_19505
ko:K03555	lmoj:LM220_07822
ko:K03572	lmoj:LM220_19510
ko:K02443	lmoj:LM220_07842
ko:K00656	lmoj:LM220_07847
ko:K04069	lmoj:LM220_07852
ko:K07727	lmoj:LM220_07872
ko:K00626	lmoj:LM220_07892
ko:K01641	lmoj:LM220_07897
ko:K06902	lmoj:LM220_19525
ko:K00075	lmoj:LM220_19530
ko:K05847	lmoj:LM220_07937
ko:K05845	lmoj:LM220_07942
ko:K05846	lmoj:LM220_07942
ko:K05846	lmoj:LM220_03077
ko:K05845	lmoj:LM220_03082
ko:K05846	lmoj:LM220_19540
ko:K05847	lmoj:LM220_03087
ko:K16789	lmoj:LM220_03092
ko:K00383	lmoj:LM220_19550
ko:K01714	lmoj:LM220_03132
ko:K00928	lmoj:LM220_03137
ko:K00133	lmoj:LM220_19555
ko:K04564	lmoj:LM220_03167
ko:K07533	lmoj:LM220_19565
ko:K02076	lmoj:LM220_03202
ko:K02529	lmoj:LM220_15193
ko:K01619	lmoj:LM220_15198
ko:K05346	lmoj:LM220_15203
ko:K02793	lmoj:LM220_15500
ko:K01652	lmoj:LM220_20330
ko:K17318	lmoj:LM220_15570
ko:K17320	lmoj:LM220_15575
ko:K17319	lmoj:LM220_20335
ko:K07720	lmoj:LM220_20340
ko:K07718	lmoj:LM220_15600
ko:K09704	lmoj:LM220_15610
ko:K01191	lmoj:LM220_20345
ko:K01191	lmoj:LM220_20350
ko:K03704	lmoj:LM220_15640
ko:K01778	lmoj:LM220_15650
ko:K01870	lmoj:LM220_20355
ko:K04074	lmoj:LM220_15670
ko:K07105	lmoj:LM220_15675
ko:K00278	lmoj:LM220_15685
ko:K00767	lmoj:LM220_20360
ko:K03517	lmoj:LM220_20365
ko:K02221	lmoj:LM220_03452
ko:K09772	lmoj:LM220_03457
ko:K06997	lmoj:LM220_03462
ko:K03531	lmoj:LM220_03467
ko:K03590	lmoj:LM220_03472
ko:K02563	lmoj:LM220_20410
ko:K00831	lmoj:LM220_21535
ko:K07078	lmoj:LM220_16092
ko:K00865	lmoj:LM220_21540
ko:K02025	lmoj:LM220_13925
ko:K03534	lmoj:LM220_21555
ko:K01629	lmoj:LM220_13980
ko:K01813	lmoj:LM220_21560
ko:K00848	lmoj:LM220_21565
ko:K06610	lmoj:LM220_14005
ko:K06346	lmoj:LM220_21580
ko:K03217	lmoj:LM220_14040
ko:K03536	lmoj:LM220_21585
ko:K02914	lmoj:LM220_14045
ko:K02313	lmoj:LM220_21590
ko:K02338	lmoj:LM220_16122
ko:K03629	lmoj:LM220_16147
ko:K02470	lmoj:LM220_21600
ko:K02469	lmoj:LM220_16162
ko:K06131	lmoj:LM220_16167
ko:K00657	lmoj:LM220_16172
ko:K00869	lmoj:LM220_21610
ko:K01597	lmoj:LM220_16192
ko:K00938	lmoj:LM220_16197
ko:K02826	lmoj:LM220_16222
ko:K02827	lmoj:LM220_16227
ko:K02828	lmoj:LM220_16232
ko:K02829	lmoj:LM220_16237
ko:K14237	lmoj:LM220_17620
ko:K14234	lmoj:LM220_17625
ko:K14229	lmoj:LM220_17630
ko:K14228	lmoj:LM220_17635
ko:K14225	lmoj:LM220_20945
ko:K01980	lmoj:LM220_17610
ko:K01980	lmoj:LM220_17645
ko:K01980	lmoj:LM220_20050
ko:K01980	lmoj:LM220_20955
ko:K01985	lmoj:LM220_19925
ko:K07260	lmoj:LM220_09305
ko:K01739	lmoj:LM220_15925
ko:K01840	lmoj:LM220_18525
ko:K02027	lmoj:LM220_20005
ko:K02226	lmoj:LM220_16992
ko:K01658	lmoj:LM220_00080
ko:K17752	lmoj:LM220_13317
ko:K02768	lmoj:LM220_05362
ko:K02768	lmoj:LM220_12252
ko:K02026	lmoj:LM220_08085
ko:K02027	lmoj:LM220_22290
ko:K17763	lmoj:LM220_13307
ko:K17763	lmoj:LM220_06322
ko:K17828	lmoj:LM220_09190
ko:K02026	lmoj:LM220_06407
ko:K02026	lmoj:LM220_02176
ko:K02026	lmoj:LM220_13920
ko:K02768	lmoj:LM220_10170
ko:K02027	lmoj:LM220_13930
ko:K12574	lmoj:LM220_18695
ko:K07979	lmoj:LM220_20885
ko:K07284	lmoj:LM220_18595
ko:K02027	lmoj:LM220_18510
ko:K00661	lmoj:LM220_04597
ko:K00537	lmoj:LM220_09970
ko:K01183	lmoj:LM220_04387
ko:K04757	lmoj:LM220_13332
ko:K17762	lmoj:LM220_13312
ko:K01187	lmoj:LM220_22300
ko:K01838	lmoj:LM220_16102
ko:K02769	lmoj:LM220_05367
ko:K02769	lmoj:LM220_12257
ko:K02769	lmoj:LM220_10165
ko:K07145	lmoj:LM220_06802
ko:K09022	lmoj:LM220_13177
ko:K18104	lmoj:LM220_11147
ko:K08221	lmoj:LM220_07862
ko:K02770	lmoj:LM220_10160
ko:K01271	lmoj:LM220_12212
ko:K01101	lmoj:LM220_13855
ko:K06400	lmoj:LM220_23110
ko:K07741	lmoj:LM220_23160
ko:K02809	lmoj:LM220_19860
ko:K02810	lmoj:LM220_19860
ko:K02770	lmoj:LM220_05372
ko:K02770	lmoj:LM220_12262
ko:K13731	lmoj:LM220_18060
ko:K22597	lmoj:LM220_13935
ko:K02794	lmoj:LM220_10932
ko:K02794	lmoj:LM220_16282
ko:K22597	lmoj:LM220_21430
ko:K00008	lmoj:LM220_21340
ko:K00008	lmoj:LM220_21335
ko:K00008	lmoj:LM220_18155
ko:K18231	lmoj:LM220_18580
ko:K05352	lmoj:LM220_05537
ko:K16960	lmoj:LM220_03802
ko:K13731	lmoj:LM220_21220
ko:K09017	lmoj:LM220_15033
ko:K22579	lmoj:LM220_18015
ko:K01297	lmoj:LM220_08870
ko:K03742	lmoj:LM220_19490
ko:K03328	lmoj:LM220_22345
ko:K04749	lmoj:LM220_13327
ko:K09809	lmoj:LM220_18770
ko:K00285	lmoj:LM220_10762
ko:K18672	lmoj:LM220_14621
ko:K18673	lmoj:LM220_11277
ko:K18682	lmoj:LM220_19500
ko:K18692	lmoj:LM220_03232
ko:K03790	lmoj:LM220_13965
ko:K07171	lmoj:LM220_13302
ko:K14218	lmoj:LM220_23495
ko:K18892	lmoj:LM220_11192
ko:K18891	lmoj:LM220_11187
ko:K09692	lmoj:LM220_06082
ko:K18821	lmoj:LM220_21230
ko:K18967	lmoj:LM220_10370
ko:K03111	lmoj:LM220_16482
ko:K03111	lmoj:LM220_22005
ko:K08151	lmoj:LM220_18475
ko:K00662	lmoj:LM220_02021
ko:K03111	lmoj:LM220_09755
ko:K03169	lmoj:LM220_21445
ko:K03497	lmoj:LM220_11427
ko:K03496	lmoj:LM220_11432
ko:K03497	lmoj:LM220_21485
ko:K07483	lmoj:LM220_20370
ko:K19005	lmoj:LM220_04101
ko:K04028	lmoj:LM220_17202
ko:K00634	lmoj:LM220_19425
ko:K07029	lmoj:LM220_20025
ko:K03526	lmoj:LM220_03177
ko:K13052	lmoj:LM220_22350
ko:K18979	lmoj:LM220_04146
ko:K07483	lmoj:LM220_04557
ko:K07483	lmoj:LM220_18455
ko:K07816	lmoj:LM220_12887
ko:K19002	lmoj:LM220_21215
ko:K02777	lmoj:LM220_18685
ko:K00354	lmoj:LM220_14172
ko:K03339	lmoj:LM220_14476
ko:K00798	lmoj:LM220_17362
ko:K05881	lmoj:LM220_05042
ko:K05881	lmoj:LM220_08530
ko:K00020	lmoj:LM220_00290
ko:K00571	lmoj:LM220_19755
ko:K19225	lmoj:LM220_13570
ko:K19285	lmoj:LM220_04156
ko:K03722	lmoj:LM220_20185
ko:K01990	lmoj:LM220_18390
ko:K01992	lmoj:LM220_04086
ko:K01992	lmoj:LM220_08865
ko:K19351	lmoj:LM220_22325
