ko:K02881	lpr:LBP_cg0827
ko:K01491	lpr:LBP_cg1216
ko:K03602	lpr:LBP_cg1218
ko:K13789	lpr:LBP_cg1219
ko:K06442	lpr:LBP_cg1220
ko:K03402	lpr:LBP_cg1221
ko:K03631	lpr:LBP_cg1222
ko:K05846	lpr:LBP_cg1224
ko:K05845	lpr:LBP_cg1225
ko:K05846	lpr:LBP_cg1226
ko:K03060	lpr:LBP_cg1229
ko:K03500	lpr:LBP_cg1233
ko:K06949	lpr:LBP_cg1236
ko:K01783	lpr:LBP_cg1237
ko:K00949	lpr:LBP_cg1238
ko:K02902	lpr:LBP_cg1240
ko:K07030	lpr:LBP_cg1242
ko:K03621	lpr:LBP_cg1244
ko:K02078	lpr:LBP_cg1245
ko:K03110	lpr:LBP_cg1248
ko:K09787	lpr:LBP_cg1249
ko:K02548	lpr:LBP_cg1320
ko:K10716	lpr:LBP_cg1321
ko:K02042	lpr:LBP_cg0525
ko:K02042	lpr:LBP_cg0526
ko:K02041	lpr:LBP_cg0527
ko:K02044	lpr:LBP_cg0528
ko:K03789	lpr:LBP_cg0530
ko:K03789	lpr:LBP_cg0531
ko:K01926	lpr:LBP_cg0535
ko:K07052	lpr:LBP_cg0536
ko:K04078	lpr:LBP_cg0537
ko:K04077	lpr:LBP_cg0538
ko:K02851	lpr:LBP_cg0540
ko:K02040	lpr:LBP_cg0542
ko:K02240	lpr:LBP_cg0544
ko:K02242	lpr:LBP_cg0545
ko:K07658	lpr:LBP_cg0550
ko:K07636	lpr:LBP_cg0551
ko:K02040	lpr:LBP_cg0552
ko:K02037	lpr:LBP_cg0553
ko:K02038	lpr:LBP_cg0554
ko:K02036	lpr:LBP_cg0556
ko:K02039	lpr:LBP_cg0557
ko:K08972	lpr:LBP_cg0559
ko:K06023	lpr:LBP_cg0560
ko:K00057	lpr:LBP_cg0562
ko:K00384	lpr:LBP_cg0567
ko:K01835	lpr:LBP_cg0570
ko:K08641	lpr:LBP_cg0573
ko:K08153	lpr:LBP_cg0574
ko:K07088	lpr:LBP_cg0478
ko:K07023	lpr:LBP_cg0575
ko:K07271	lpr:LBP_cg0640
ko:K06901	lpr:LBP_cg0643
ko:K00158	lpr:LBP_cg0644
ko:K11753	lpr:LBP_cg0645
ko:K00158	lpr:LBP_cg0646
ko:K03524	lpr:LBP_cg0648
ko:K01281	lpr:LBP_cg0650
ko:K00868	lpr:LBP_cg0655
ko:K02076	lpr:LBP_cg0659
ko:K00841	lpr:LBP_cg0664
ko:K03778	lpr:LBP_cg0665
ko:K10041	lpr:LBP_cg0669
ko:K10039	lpr:LBP_cg0670
ko:K10040	lpr:LBP_cg0671
ko:K10040	lpr:LBP_cg0672
ko:K02777	lpr:LBP_cg0673
ko:K03294	lpr:LBP_cg0677
ko:K07090	lpr:LBP_cg0682
ko:K03665	lpr:LBP_cg0684
ko:K11741	lpr:LBP_cg0686
ko:K03455	lpr:LBP_cg0690
ko:K03657	lpr:LBP_cg0693
ko:K02992	lpr:LBP_cg0808
ko:K02946	lpr:LBP_cg0810
ko:K02906	lpr:LBP_cg0811
ko:K02892	lpr:LBP_cg0813
ko:K02886	lpr:LBP_cg0814
ko:K02965	lpr:LBP_cg0815
ko:K02890	lpr:LBP_cg0816
ko:K02878	lpr:LBP_cg0818
ko:K02904	lpr:LBP_cg0819
ko:K02961	lpr:LBP_cg0820
ko:K02874	lpr:LBP_cg0821
ko:K02895	lpr:LBP_cg0822
ko:K02931	lpr:LBP_cg0823
ko:K02954	lpr:LBP_cg0824
ko:K02994	lpr:LBP_cg0825
ko:K02933	lpr:LBP_cg0826
ko:K02988	lpr:LBP_cg0828
ko:K02907	lpr:LBP_cg0829
ko:K02876	lpr:LBP_cg0830
ko:K03076	lpr:LBP_cg0831
ko:K00939	lpr:LBP_cg0832
ko:K02518	lpr:LBP_cg0833
ko:K02952	lpr:LBP_cg0834
ko:K02948	lpr:LBP_cg0835
ko:K00805	lpr:LBP_cg0838
ko:K00805	lpr:LBP_cg0839
ko:K03885	lpr:LBP_cg0841
ko:K03734	lpr:LBP_cg0844
ko:K16786	lpr:LBP_cg0845
ko:K16787	lpr:LBP_cg0846
ko:K16785	lpr:LBP_cg0847
ko:K06173	lpr:LBP_cg0848
ko:K02871	lpr:LBP_cg0849
ko:K02996	lpr:LBP_cg0850
ko:K00014	lpr:LBP_cg0856
ko:K01735	lpr:LBP_cg0858
ko:K03319	lpr:LBP_cg0859
ko:K03319	lpr:LBP_cg0860
ko:K00033	lpr:LBP_cg0954
ko:K15581	lpr:LBP_cg0964
ko:K15583	lpr:LBP_cg0966
ko:K10823	lpr:LBP_cg0967
ko:K03697	lpr:LBP_cg0971
ko:K11189	lpr:LBP_cg0973
ko:K08483	lpr:LBP_cg0974
ko:K19002	lpr:LBP_cg0975
ko:K13678	lpr:LBP_cg0976
ko:K07027	lpr:LBP_cg0977
ko:K00841	lpr:LBP_cg0979
ko:K19005	lpr:LBP_cg0981
ko:K00759	lpr:LBP_cg0983
ko:K06901	lpr:LBP_cg0984
ko:K01772	lpr:LBP_cg0990
ko:K16235	lpr:LBP_cg0991
ko:K00547	lpr:LBP_cg0992
ko:K00712	lpr:LBP_cg0993
ko:K03402	lpr:LBP_cg1077
ko:K12555	lpr:LBP_cg1079
ko:K03698	lpr:LBP_cg1083
ko:K00244	lpr:LBP_cg1088
ko:K11752	lpr:LBP_cg1098
ko:K14652	lpr:LBP_cg1100
ko:K09962	lpr:LBP_cg1102
ko:K07533	lpr:LBP_cg1116
ko:K02503	lpr:LBP_cg1118
ko:K01990	lpr:LBP_cg1119
ko:K01992	lpr:LBP_cg1120
ko:K03439	lpr:LBP_cg1122
ko:K06878	lpr:LBP_cg1124
ko:K03466	lpr:LBP_cg1125
ko:K04759	lpr:LBP_cg1128
ko:K04758	lpr:LBP_cg1129
ko:K09013	lpr:LBP_cg1130
ko:K09015	lpr:LBP_cg1131
ko:K00759	lpr:LBP_cg1695
ko:K07462	lpr:LBP_cg1696
ko:K00784	lpr:LBP_cg1699
ko:K03436	lpr:LBP_cg1703
ko:K00882	lpr:LBP_cg1704
ko:K02768	lpr:LBP_cg1705
ko:K02769	lpr:LBP_cg1705
ko:K02770	lpr:LBP_cg1705
ko:K01784	lpr:LBP_cg1714
ko:K01104	lpr:LBP_cg1715
ko:K02028	lpr:LBP_cg1719
ko:K02029	lpr:LBP_cg1720
ko:K02030	lpr:LBP_cg1720
ko:K03978	lpr:LBP_cg1724
ko:K03544	lpr:LBP_cg1725
ko:K03545	lpr:LBP_cg1726
ko:K08161	lpr:LBP_cg1731
ko:K02340	lpr:LBP_cg1734
ko:K02238	lpr:LBP_cg1735
ko:K07177	lpr:LBP_cg1738
ko:K00954	lpr:LBP_cg1739
ko:K03588	lpr:LBP_cg1743
ko:K06207	lpr:LBP_cg1751
ko:K01092	lpr:LBP_cg1752
ko:K00627	lpr:LBP_cg1756
ko:K00162	lpr:LBP_cg1757
ko:K00161	lpr:LBP_cg1758
ko:K01462	lpr:LBP_cg1759
ko:K12574	lpr:LBP_cg1762
ko:K02945	lpr:LBP_cg1463
ko:K00945	lpr:LBP_cg1464
ko:K03654	lpr:LBP_cg1466
ko:K06024	lpr:LBP_cg1470
ko:K05896	lpr:LBP_cg1471
ko:K02859	lpr:LBP_cg1472
ko:K00243	lpr:LBP_cg1474
ko:K06967	lpr:LBP_cg1484
ko:K01992	lpr:LBP_cg1486
ko:K01439	lpr:LBP_cg1500
ko:K02357	lpr:LBP_cg1613
ko:K02967	lpr:LBP_cg1614
ko:K07025	lpr:LBP_cg1615
ko:K07461	lpr:LBP_cg1617
ko:K00655	lpr:LBP_cg1619
ko:K09976	lpr:LBP_cg1620
ko:K01641	lpr:LBP_cg1624
ko:K00661	lpr:LBP_cg1519
ko:K07693	lpr:LBP_cg1528
ko:K07778	lpr:LBP_cg1529
ko:K01992	lpr:LBP_cg1530
ko:K01990	lpr:LBP_cg1531
ko:K03827	lpr:LBP_cg1533
ko:K03740	lpr:LBP_cg1579
ko:K14188	lpr:LBP_cg1580
ko:K03739	lpr:LBP_cg1581
ko:K03367	lpr:LBP_cg1582
ko:K03686	lpr:LBP_cg1585
ko:K03687	lpr:LBP_cg1587
ko:K03705	lpr:LBP_cg1588
ko:K01575	lpr:LBP_cg1589
ko:K11753	lpr:LBP_cg1590
ko:K03177	lpr:LBP_cg1591
ko:K00891	lpr:LBP_cg1592
ko:K01736	lpr:LBP_cg1596
ko:K02834	lpr:LBP_cg1598
ko:K07742	lpr:LBP_cg1601
ko:K09748	lpr:LBP_cg1603
ko:K03763	lpr:LBP_cg1604
ko:K01091	lpr:LBP_cg1518
ko:K09761	lpr:LBP_cg1570
ko:K02687	lpr:LBP_cg1571
ko:K03652	lpr:LBP_cg1572
ko:K01990	lpr:LBP_cg1538
ko:K01992	lpr:LBP_cg1539
ko:K01990	lpr:LBP_cg1542
ko:K07979	lpr:LBP_cg1543
ko:K03584	lpr:LBP_cg1548
ko:K00887	lpr:LBP_cg1550
ko:K07042	lpr:LBP_cg1551
ko:K09117	lpr:LBP_cg1554
ko:K02970	lpr:LBP_cg1555
ko:K09773	lpr:LBP_cg1556
ko:K01151	lpr:LBP_cg1558
ko:K07304	lpr:LBP_cg1561
ko:K01448	lpr:LBP_cg1564
ko:K00951	lpr:LBP_cg1568
ko:K07150	lpr:LBP_cg2306
ko:K11102	lpr:LBP_cg2308
ko:K08996	lpr:LBP_cg2309
ko:K02004	lpr:LBP_cg2310
ko:K16923	lpr:LBP_cg2312
ko:K01239	lpr:LBP_cg2313
ko:K07088	lpr:LBP_cg2317
ko:K01560	lpr:LBP_cg2321
ko:K03817	lpr:LBP_cg2324
ko:K00712	lpr:LBP_cg2327
ko:K00712	lpr:LBP_cg2328
ko:K00567	lpr:LBP_cg2331
ko:K01990	lpr:LBP_cg2333
ko:K01992	lpr:LBP_cg2334
ko:K01607	lpr:LBP_cg2336
ko:K02769	lpr:LBP_cg2635
ko:K02768	lpr:LBP_cg2636
ko:K01439	lpr:LBP_cg2339
ko:K02004	lpr:LBP_cg2340
ko:K10773	lpr:LBP_cg2343
ko:K00661	lpr:LBP_cg2344
ko:K03100	lpr:LBP_cg2345
ko:K00661	lpr:LBP_cg2359
ko:K07025	lpr:LBP_cg2360
ko:K02755	lpr:LBP_cg2642
ko:K02756	lpr:LBP_cg2642
ko:K02757	lpr:LBP_cg2642
ko:K07457	lpr:LBP_cg2643
ko:K09825	lpr:LBP_cg2648
ko:K05338	lpr:LBP_cg2655
ko:K05339	lpr:LBP_cg2656
ko:K06973	lpr:LBP_cg2659
ko:K10027	lpr:LBP_cg2661
ko:K02291	lpr:LBP_cg2662
ko:K06889	lpr:LBP_cg2664
ko:K00865	lpr:LBP_cg2665
ko:K01756	lpr:LBP_cg2668
ko:K00364	lpr:LBP_cg2670
ko:K01104	lpr:LBP_cg2671
ko:K06131	lpr:LBP_cg2672
ko:K07483	lpr:LBP_cg1825
ko:K07570	lpr:LBP_cg1826
ko:K03768	lpr:LBP_cg1827
ko:K02245	lpr:LBP_cg1841
ko:K02244	lpr:LBP_cg1842
ko:K02243	lpr:LBP_cg1843
ko:K00852	lpr:LBP_cg1844
ko:K09004	lpr:LBP_cg1846
ko:K02529	lpr:LBP_cg1848
ko:K18104	lpr:LBP_cg2049
ko:K00712	lpr:LBP_cg2051
ko:K01810	lpr:LBP_cg2054
ko:K05340	lpr:LBP_cg2056
ko:K06969	lpr:LBP_cg2057
ko:K07166	lpr:LBP_cg2061
ko:K07483	lpr:LBP_cg2063
ko:K03719	lpr:LBP_cg2074
ko:K06988	lpr:LBP_cg2366
ko:K01421	lpr:LBP_cg2375
ko:K15051	lpr:LBP_cg2378
ko:K07052	lpr:LBP_cg2382
ko:K06902	lpr:LBP_cg2389
ko:K01462	lpr:LBP_cg2403
ko:K03734	lpr:LBP_cg2404
ko:K03182	lpr:LBP_cg2411
ko:K03297	lpr:LBP_cg2682
ko:K01246	lpr:LBP_cg2688
ko:K00796	lpr:LBP_cg2689
ko:K02802	lpr:LBP_cg2084
ko:K02803	lpr:LBP_cg2084
ko:K02804	lpr:LBP_cg2084
ko:K00077	lpr:LBP_cg2085
ko:K00003	lpr:LBP_cg2087
ko:K00651	lpr:LBP_cg2089
ko:K06889	lpr:LBP_cg2416
ko:K07035	lpr:LBP_cg2418
ko:K18104	lpr:LBP_cg2429
ko:K18104	lpr:LBP_cg2430
ko:K02802	lpr:LBP_cg2435
ko:K02803	lpr:LBP_cg2435
ko:K02804	lpr:LBP_cg2435
ko:K05833	lpr:LBP_cg2436
ko:K05832	lpr:LBP_cg2437
ko:K04767	lpr:LBP_cg2443
ko:K04767	lpr:LBP_cg2444
ko:K01997	lpr:LBP_cg2448
ko:K01999	lpr:LBP_cg2449
ko:K04069	lpr:LBP_cg2704
ko:K03451	lpr:LBP_cg2713
ko:K13993	lpr:LBP_cg2734
ko:K02348	lpr:LBP_cg2738
ko:K01442	lpr:LBP_cg2742
ko:K01533	lpr:LBP_cg2743
ko:K05823	lpr:LBP_cg1854
ko:K05822	lpr:LBP_cg1855
ko:K07095	lpr:LBP_cg1857
ko:K01776	lpr:LBP_cg1859
ko:K03671	lpr:LBP_cg1861
ko:K09888	lpr:LBP_cg1863
ko:K18692	lpr:LBP_cg1868
ko:K06881	lpr:LBP_cg1869
ko:K03210	lpr:LBP_cg1871
ko:K07568	lpr:LBP_cg1873
ko:K03550	lpr:LBP_cg1875
ko:K03572	lpr:LBP_cg1882
ko:K09769	lpr:LBP_cg1884
ko:K02030	lpr:LBP_cg1894
ko:K02028	lpr:LBP_cg1895
ko:K02029	lpr:LBP_cg1896
ko:K03609	lpr:LBP_cg1897
ko:K03610	lpr:LBP_cg1898
ko:K03571	lpr:LBP_cg1899
ko:K03570	lpr:LBP_cg1900
ko:K01989	lpr:LBP_cg2091
ko:K05833	lpr:LBP_cg2093
ko:K00020	lpr:LBP_cg2096
ko:K00661	lpr:LBP_cg2098
ko:K01523	lpr:LBP_cg2100
ko:K01496	lpr:LBP_cg2101
ko:K02501	lpr:LBP_cg2104
ko:K00013	lpr:LBP_cg2106
ko:K00765	lpr:LBP_cg2107
ko:K04486	lpr:LBP_cg2109
ko:K01442	lpr:LBP_cg2117
ko:K19005	lpr:LBP_cg2125
ko:K01239	lpr:LBP_cg2132
ko:K03469	lpr:LBP_cg2133
ko:K03322	lpr:LBP_cg2456
ko:K02777	lpr:LBP_cg2469
ko:K02760	lpr:LBP_cg2470
ko:K02761	lpr:LBP_cg2471
ko:K01223	lpr:LBP_cg2472
ko:K02077	lpr:LBP_cg2479
ko:K01246	lpr:LBP_cg2481
ko:K03502	lpr:LBP_cg2484
ko:K18892	lpr:LBP_cg2486
ko:K18891	lpr:LBP_cg2487
ko:K00055	lpr:LBP_cg2497
ko:K07343	lpr:LBP_cg2504
ko:K03581	lpr:LBP_cg1767
ko:K03499	lpr:LBP_cg1773
ko:K00566	lpr:LBP_cg1775
ko:K04487	lpr:LBP_cg1777
ko:K01243	lpr:LBP_cg1778
ko:K01515	lpr:LBP_cg1780
ko:K01778	lpr:LBP_cg1781
ko:K02115	lpr:LBP_cg1940
ko:K02109	lpr:LBP_cg1943
ko:K02824	lpr:LBP_cg1946
ko:K03151	lpr:LBP_cg1907
ko:K06286	lpr:LBP_cg1910
ko:K02986	lpr:LBP_cg1912
ko:K01919	lpr:LBP_cg1917
ko:K07478	lpr:LBP_cg1918
ko:K01126	lpr:LBP_cg1923
ko:K01921	lpr:LBP_cg1924
ko:K00016	lpr:LBP_cg1927
ko:K02073	lpr:LBP_cg1928
ko:K02072	lpr:LBP_cg1929
ko:K02071	lpr:LBP_cg1930
ko:K02437	lpr:LBP_cg1931
ko:K08998	lpr:LBP_cg1934
ko:K03569	lpr:LBP_cg1935
ko:K03817	lpr:LBP_cg1936
ko:K00790	lpr:LBP_cg1937
ko:K02114	lpr:LBP_cg1938
ko:K01990	lpr:LBP_cg2146
ko:K06889	lpr:LBP_cg2150
ko:K00158	lpr:LBP_cg2156
ko:K06889	lpr:LBP_cg2159
ko:K01739	lpr:LBP_cg2161
ko:K03800	lpr:LBP_cg2168
ko:K06180	lpr:LBP_cg2171
ko:K03976	lpr:LBP_cg2178
ko:K06950	lpr:LBP_cg2180
ko:K13993	lpr:LBP_cg2184
ko:K03647	lpr:LBP_cg2187
ko:K03316	lpr:LBP_cg2188
ko:K00375	lpr:LBP_cg2196
ko:K00841	lpr:LBP_cg2197
ko:K07706	lpr:LBP_cg2505
ko:K07707	lpr:LBP_cg2525
ko:K07706	lpr:LBP_cg2526
ko:K00135	lpr:LBP_cg2529
ko:K07483	lpr:LBP_cg2535
ko:K03316	lpr:LBP_cg2545
ko:K04047	lpr:LBP_cg2552
ko:K03489	lpr:LBP_cg2553
ko:K01223	lpr:LBP_cg2554
ko:K02761	lpr:LBP_cg2555
ko:K04074	lpr:LBP_cg1783
ko:K02221	lpr:LBP_cg1785
ko:K09772	lpr:LBP_cg1786
ko:K03531	lpr:LBP_cg1787
ko:K03589	lpr:LBP_cg1789
ko:K01925	lpr:LBP_cg1791
ko:K08724	lpr:LBP_cg1793
ko:K03925	lpr:LBP_cg1796
ko:K03284	lpr:LBP_cg1798
ko:K07483	lpr:LBP_cg1801
ko:K03466	lpr:LBP_cg1802
ko:K03216	lpr:LBP_cg1803
ko:K02781	lpr:LBP_cg1810
ko:K07404	lpr:LBP_cg1811
ko:K06201	lpr:LBP_cg1812
ko:K06180	lpr:LBP_cg1813
ko:K00858	lpr:LBP_cg1814
ko:K07816	lpr:LBP_cg1815
ko:K06198	lpr:LBP_cg1818
ko:K16511	lpr:LBP_cg1819
ko:K16509	lpr:LBP_cg1820
ko:K07566	lpr:LBP_cg1952
ko:K01928	lpr:LBP_cg1956
ko:K07009	lpr:LBP_cg1957
ko:K06147	lpr:LBP_cg1965
ko:K02004	lpr:LBP_cg2243
ko:K01990	lpr:LBP_cg2246
ko:K01714	lpr:LBP_cg2198
ko:K07090	lpr:LBP_cg2200
ko:K16898	lpr:LBP_cg2204
ko:K16899	lpr:LBP_cg2205
ko:K09936	lpr:LBP_cg2206
ko:K00762	lpr:LBP_cg2207
ko:K02825	lpr:LBP_cg2214
ko:K09684	lpr:LBP_cg2215
ko:K16169	lpr:LBP_cg2216
ko:K11175	lpr:LBP_cg2226
ko:K01952	lpr:LBP_cg2230
ko:K01952	lpr:LBP_cg2231
ko:K01589	lpr:LBP_cg2233
ko:K01588	lpr:LBP_cg2234
ko:K03800	lpr:LBP_cg2237
ko:K01104	lpr:LBP_cg2238
ko:K01674	lpr:LBP_cg2239
ko:K02003	lpr:LBP_cg2564
ko:K01992	lpr:LBP_cg2569
ko:K01992	lpr:LBP_cg2570
ko:K01834	lpr:LBP_cg2574
ko:K14155	lpr:LBP_cg2253
ko:K01733	lpr:LBP_cg2258
ko:K00661	lpr:LBP_cg2261
ko:K01515	lpr:LBP_cg2262
ko:K00059	lpr:LBP_cg2264
ko:K09963	lpr:LBP_cg2266
ko:K07105	lpr:LBP_cg2268
ko:K01992	lpr:LBP_cg2271
ko:K01990	lpr:LBP_cg2272
ko:K01753	lpr:LBP_cg2273
ko:K01223	lpr:LBP_cg2274
ko:K01223	lpr:LBP_cg2275
ko:K02759	lpr:LBP_cg2276
ko:K02760	lpr:LBP_cg2277
ko:K03489	lpr:LBP_cg2278
ko:K00077	lpr:LBP_cg2283
ko:K06988	lpr:LBP_cg2286
ko:K03785	lpr:LBP_cg2293
ko:K03823	lpr:LBP_cg2591
ko:K06942	lpr:LBP_cg2600
ko:K03501	lpr:LBP_cg2605
ko:K16323	lpr:LBP_cg2606
ko:K10009	lpr:LBP_cg2614
ko:K10010	lpr:LBP_cg2615
ko:K02424	lpr:LBP_cg2616
ko:K10947	lpr:LBP_cg2618
ko:K02808	lpr:LBP_cg2621
ko:K02809	lpr:LBP_cg2621
ko:K02810	lpr:LBP_cg2621
ko:K01187	lpr:LBP_cg2622
ko:K02068	lpr:LBP_cg2627
ko:K19267	lpr:LBP_cg2630
ko:K00847	lpr:LBP_cg2632
ko:K02761	lpr:LBP_cg2848
ko:K09963	lpr:LBP_cg2851
ko:K01223	lpr:LBP_cg2852
ko:K02755	lpr:LBP_cg2853
ko:K02756	lpr:LBP_cg2853
ko:K02757	lpr:LBP_cg2853
ko:K03488	lpr:LBP_cg2854
ko:K01223	lpr:LBP_cg2855
ko:K01223	lpr:LBP_cg2856
ko:K02755	lpr:LBP_cg2857
ko:K02756	lpr:LBP_cg2857
ko:K02757	lpr:LBP_cg2857
ko:K18926	lpr:LBP_cg2747
ko:K08161	lpr:LBP_cg2752
ko:K06889	lpr:LBP_cg2753
ko:K07088	lpr:LBP_cg2759
ko:K06153	lpr:LBP_cg2764
ko:K01610	lpr:LBP_cg2778
ko:K01580	lpr:LBP_cg2780
ko:K07223	lpr:LBP_cg2787
ko:K03183	lpr:LBP_cg2788
ko:K02440	lpr:LBP_cg2792
ko:K03671	lpr:LBP_cg2793
ko:K07386	lpr:LBP_cg2799
ko:K06188	lpr:LBP_cg2813
ko:K03688	lpr:LBP_cg2814
ko:K03311	lpr:LBP_cg2816
ko:K06610	lpr:LBP_cg2818
ko:K04095	lpr:LBP_cg2822
ko:K02529	lpr:LBP_cg2826
ko:K00965	lpr:LBP_cg2827
ko:K01784	lpr:LBP_cg2828
ko:K00849	lpr:LBP_cg2829
ko:K01190	lpr:LBP_cg2830
ko:K01190	lpr:LBP_cg2831
ko:K07407	lpr:LBP_cg2832
ko:K16209	lpr:LBP_cg2833
ko:K01785	lpr:LBP_cg2834
ko:K02529	lpr:LBP_cg2835
ko:K19265	lpr:LBP_cg2836
ko:K00244	lpr:LBP_cg2838
ko:K03785	lpr:LBP_cg2840
ko:K05342	lpr:LBP_cg2859
ko:K03488	lpr:LBP_cg2858
ko:K02529	lpr:LBP_cg2860
ko:K16211	lpr:LBP_cg2861
ko:K01187	lpr:LBP_cg2862
ko:K01442	lpr:LBP_cg2864
ko:K00615	lpr:LBP_cg2868
ko:K02821	lpr:LBP_cg2872
ko:K07483	lpr:LBP_cg2896
ko:K00008	lpr:LBP_cg2875
ko:K02774	lpr:LBP_cg2877
ko:K00616	lpr:LBP_cg2869
ko:K02822	lpr:LBP_cg2871
ko:K03307	lpr:LBP_cg2886
ko:K02775	lpr:LBP_cg2876
ko:K02773	lpr:LBP_cg2878
ko:K01639	lpr:LBP_cg2890
ko:K01788	lpr:LBP_cg2891
ko:K16509	lpr:LBP_cg2901
ko:K07813	lpr:LBP_cg2904
ko:K07707	lpr:LBP_cg2902
ko:K07706	lpr:LBP_cg2903
ko:K04086	lpr:LBP_cg2905
ko:K00158	lpr:LBP_cg2909
ko:K00158	lpr:LBP_cg2911
ko:K02781	lpr:LBP_cg2912
ko:K02783	lpr:LBP_cg2914
ko:K00068	lpr:LBP_cg2917
ko:K06216	lpr:LBP_cg2918
ko:K06726	lpr:LBP_cg2919
ko:K13727	lpr:LBP_cg2930
ko:K13727	lpr:LBP_cg2932
ko:K06346	lpr:LBP_cg2946
ko:K06950	lpr:LBP_p1g002
ko:K05340	lpr:LBP_p1g006
ko:K03322	lpr:LBP_p1g018
ko:K03709	lpr:LBP_p1g019
ko:K07483	lpr:LBP_p1g030
ko:K03169	lpr:LBP_p1g043
ko:K16209	lpr:LBP_p1g047
ko:K07078	lpr:LBP_p1g048
ko:K12308	lpr:LBP_p2g009
ko:K16209	lpr:LBP_p2g010
ko:K03311	lpr:LBP_p2g011
ko:K03709	lpr:LBP_p2g034
ko:K07498	lpr:LBP_p2g036
ko:K03319	lpr:LBP_p3g004
ko:K01182	lpr:LBP_p3g005
ko:K10254	lpr:LBP_p4g009
ko:K05878	lpr:LBP_p4g014
ko:K19159	lpr:LBP_p5g014
ko:K19157	lpr:LBP_p5g015
ko:K07171	lpr:LBP_p7g008
ko:K02029	lpr:LBP_p7g002
ko:K02548	lpr:LBP_p7g017
ko:K07497	lpr:LBP_p1g014
ko:K03111	lpr:LBP_cg0009
ko:K02963	lpr:LBP_cg0010
ko:K02990	lpr:LBP_cg0008
ko:K00700	lpr:LBP_cg0018
ko:K02939	lpr:LBP_cg0012
ko:K00931	lpr:LBP_cg0015
ko:K00147	lpr:LBP_cg0016
ko:K00975	lpr:LBP_cg0020
ko:K00703	lpr:LBP_cg0021
ko:K01838	lpr:LBP_cg0025
ko:K01737	lpr:LBP_cg0043
ko:K03319	lpr:LBP_cg0046
ko:K01574	lpr:LBP_cg0051
ko:K01838	lpr:LBP_cg0054
ko:K01442	lpr:LBP_cg0055
ko:K01104	lpr:LBP_cg0057
ko:K00483	lpr:LBP_cg0058
ko:K06898	lpr:LBP_cg0088
ko:K09121	lpr:LBP_cg0089
ko:K02440	lpr:LBP_cg0090
ko:K06864	lpr:LBP_cg0091
ko:K00878	lpr:LBP_cg0093
ko:K00941	lpr:LBP_cg0094
ko:K00788	lpr:LBP_cg0095
ko:K07010	lpr:LBP_cg0097
ko:K07668	lpr:LBP_cg0030
ko:K07652	lpr:LBP_cg0031
ko:K04771	lpr:LBP_cg0035
ko:K00783	lpr:LBP_cg0036
ko:K01259	lpr:LBP_cg0075
ko:K09861	lpr:LBP_cg0076
ko:K15580	lpr:LBP_cg0078
ko:K00984	lpr:LBP_cg0081
ko:K02006	lpr:LBP_cg0083
ko:K02008	lpr:LBP_cg0084
ko:K02007	lpr:LBP_cg0085
ko:K13993	lpr:LBP_cg0109
ko:K08161	lpr:LBP_cg0113
ko:K10254	lpr:LBP_cg0119
ko:K03492	lpr:LBP_cg0127
ko:K16924	lpr:LBP_cg0125
ko:K03303	lpr:LBP_cg1410
ko:K07305	lpr:LBP_cg1426
ko:K15986	lpr:LBP_cg1427
ko:K02621	lpr:LBP_cg1429
ko:K02622	lpr:LBP_cg1430
ko:K08591	lpr:LBP_cg1431
ko:K03667	lpr:LBP_cg1433
ko:K01419	lpr:LBP_cg1434
ko:K03733	lpr:LBP_cg1435
ko:K04094	lpr:LBP_cg1436
ko:K03470	lpr:LBP_cg1439
ko:K14540	lpr:LBP_cg1440
ko:K07448	lpr:LBP_cg1443
ko:K06988	lpr:LBP_cg1444
ko:K03797	lpr:LBP_cg1447
ko:K07173	lpr:LBP_cg0578
ko:K01940	lpr:LBP_cg0579
ko:K01755	lpr:LBP_cg0580
ko:K06958	lpr:LBP_cg0582
ko:K09762	lpr:LBP_cg0584
ko:K15580	lpr:LBP_cg0585
ko:K03092	lpr:LBP_cg0588
ko:K05311	lpr:LBP_cg0589
ko:K00134	lpr:LBP_cg0590
ko:K00927	lpr:LBP_cg0591
ko:K01803	lpr:LBP_cg0592
ko:K03075	lpr:LBP_cg0596
ko:K03928	lpr:LBP_cg0597
ko:K03664	lpr:LBP_cg0599
ko:K02029	lpr:LBP_cg0601
ko:K02030	lpr:LBP_cg0601
ko:K02028	lpr:LBP_cg0602
ko:K03648	lpr:LBP_cg0605
ko:K06925	lpr:LBP_cg0607
ko:K02342	lpr:LBP_cg0609
ko:K01142	lpr:LBP_cg0610
ko:K03810	lpr:LBP_cg0611
ko:K18672	lpr:LBP_cg0616
ko:K07052	lpr:LBP_cg0708
ko:K04488	lpr:LBP_cg1133
ko:K02348	lpr:LBP_cg0270
ko:K02035	lpr:LBP_cg0174
ko:K02236	lpr:LBP_cg0806
ko:K01442	lpr:LBP_cg2866
ko:K21285	lpr:LBP_cg1559
ko:K05770	lpr:LBP_cg1307
ko:K19976	lpr:LBP_cg0868
ko:K18907	lpr:LBP_cg1074
ko:K20074	lpr:LBP_cg1234
ko:K12132	lpr:LBP_cg1235
ko:K01977	lpr:LBP_cr0013
ko:K01977	lpr:LBP_cr0014
ko:K01977	lpr:LBP_cr0015
ko:K01977	lpr:LBP_cr0016
ko:K01977	lpr:LBP_cr0012
