ko:K07489	ypf:BZ19_2643
ko:K11928	ypf:BZ19_1152
ko:K07243	ypf:BZ19_1153
ko:K07224	ypf:BZ19_1154
ko:K16301	ypf:BZ19_1155
ko:K03809	ypf:BZ19_1156
ko:K17948	ypf:BZ19_1157
ko:K11737	ypf:BZ19_1158
ko:K07689	ypf:BZ19_1164
ko:K03703	ypf:BZ19_1165
ko:K00995	ypf:BZ19_1166
ko:K02345	ypf:BZ19_1179
ko:K06887	ypf:BZ19_1184
ko:K01782	ypf:BZ19_1996
ko:K06076	ypf:BZ19_1999
ko:K04754	ypf:BZ19_2000
ko:K02200	ypf:BZ19_2002
ko:K02199	ypf:BZ19_2003
ko:K02198	ypf:BZ19_2004
ko:K02197	ypf:BZ19_2005
ko:K02196	ypf:BZ19_2006
ko:K02195	ypf:BZ19_2007
ko:K02194	ypf:BZ19_2008
ko:K02193	ypf:BZ19_2009
ko:K03744	ypf:BZ19_2015
ko:K06193	ypf:BZ19_2017
ko:K11897	ypf:BZ19_2019
ko:K11898	ypf:BZ19_2020
ko:K11904	ypf:BZ19_2023
ko:K11891	ypf:BZ19_2024
ko:K11892	ypf:BZ19_2025
ko:K11893	ypf:BZ19_2026
ko:K11906	ypf:BZ19_2027
ko:K11903	ypf:BZ19_2028
ko:K11900	ypf:BZ19_2029
ko:K11901	ypf:BZ19_2030
ko:K07347	ypf:BZ19_2032
ko:K07345	ypf:BZ19_2034
ko:K11907	ypf:BZ19_2035
ko:K11896	ypf:BZ19_2036
ko:K11895	ypf:BZ19_2037
ko:K11902	ypf:BZ19_2038
ko:K08305	ypf:BZ19_2045
ko:K02012	ypf:BZ19_2046
ko:K02011	ypf:BZ19_2047
ko:K02010	ypf:BZ19_2048
ko:K06887	ypf:BZ19_2050
ko:K04095	ypf:BZ19_2879
ko:K07396	ypf:BZ19_2881
ko:K15549	ypf:BZ19_2891
ko:K15547	ypf:BZ19_2892
ko:K05349	ypf:BZ19_2894
ko:K02026	ypf:BZ19_2896
ko:K02025	ypf:BZ19_2897
ko:K02027	ypf:BZ19_2898
ko:K02529	ypf:BZ19_2899
ko:K10112	ypf:BZ19_2901
ko:K05816	ypf:BZ19_3703
ko:K01126	ypf:BZ19_3704
ko:K07088	ypf:BZ19_3705
ko:K03576	ypf:BZ19_3706
ko:K00549	ypf:BZ19_3708
ko:K01061	ypf:BZ19_3709
ko:K00757	ypf:BZ19_3710
ko:K06200	ypf:BZ19_3712
ko:K09760	ypf:BZ19_3714
ko:K03183	ypf:BZ19_3715
ko:K03690	ypf:BZ19_3716
ko:K03688	ypf:BZ19_3717
ko:K03116	ypf:BZ19_3718
ko:K03117	ypf:BZ19_3719
ko:K03118	ypf:BZ19_3720
ko:K03424	ypf:BZ19_3721
ko:K01698	ypf:BZ19_3722
ko:K05785	ypf:BZ19_3723
ko:K03182	ypf:BZ19_3724
ko:K05368	ypf:BZ19_3725
ko:K01825	ypf:BZ19_3727
ko:K03498	ypf:BZ19_3730
ko:K00230	ypf:BZ19_3731
ko:K00075	ypf:BZ19_3737
ko:K03524	ypf:BZ19_3738
ko:K00867	ypf:BZ19_3739
ko:K02358	ypf:BZ19_3745
ko:K03073	ypf:BZ19_3746
ko:K02601	ypf:BZ19_3747
ko:K02867	ypf:BZ19_3748
ko:K02863	ypf:BZ19_3749
ko:K02864	ypf:BZ19_3750
ko:K02935	ypf:BZ19_3751
ko:K03043	ypf:BZ19_3752
ko:K03046	ypf:BZ19_3753
ko:K07491	ypf:BZ19_3754
ko:K03150	ypf:BZ19_3755
ko:K03149	ypf:BZ19_3756
ko:K03154	ypf:BZ19_3757
ko:K13896	ypf:BZ19_711
ko:K13895	ypf:BZ19_712
ko:K13894	ypf:BZ19_713
ko:K13893	ypf:BZ19_714
ko:K13694	ypf:BZ19_716
ko:K13637	ypf:BZ19_720
ko:K00040	ypf:BZ19_721
ko:K01686	ypf:BZ19_722
ko:K02356	ypf:BZ19_723
ko:K03835	ypf:BZ19_724
ko:K06940	ypf:BZ19_725
ko:K00058	ypf:BZ19_727
ko:K00135	ypf:BZ19_729
ko:K00854	ypf:BZ19_730
ko:K01807	ypf:BZ19_731
ko:K02058	ypf:BZ19_732
ko:K02056	ypf:BZ19_733
ko:K02057	ypf:BZ19_734
ko:K02768	ypf:BZ19_736
ko:K11183	ypf:BZ19_736
ko:K00882	ypf:BZ19_737
ko:K02769	ypf:BZ19_738
ko:K02770	ypf:BZ19_738
ko:K07347	ypf:BZ19_743
ko:K01151	ypf:BZ19_744
ko:K11733	ypf:BZ19_748
ko:K02016	ypf:BZ19_749
ko:K02015	ypf:BZ19_750
ko:K02013	ypf:BZ19_751
ko:K16089	ypf:BZ19_752
ko:K01653	ypf:BZ19_1576
ko:K01077	ypf:BZ19_1579
ko:K00567	ypf:BZ19_1580
ko:K14055	ypf:BZ19_1582
ko:K00325	ypf:BZ19_1583
ko:K00324	ypf:BZ19_1584
ko:K03758	ypf:BZ19_1586
ko:K07661	ypf:BZ19_1588
ko:K07639	ypf:BZ19_1589
ko:K01299	ypf:BZ19_1590
ko:K11021	ypf:BZ19_1591
ko:K04775	ypf:BZ19_1595
ko:K03578	ypf:BZ19_1598
ko:K01118	ypf:BZ19_1599
ko:K00007	ypf:BZ19_1601
ko:K09978	ypf:BZ19_1602
ko:K03778	ypf:BZ19_1605
ko:K03668	ypf:BZ19_1606
ko:K07507	ypf:BZ19_1608
ko:K03297	ypf:BZ19_1609
ko:K03737	ypf:BZ19_1610
ko:K14058	ypf:BZ19_1611
ko:K16074	ypf:BZ19_1615
ko:K15580	ypf:BZ19_1616
ko:K14054	ypf:BZ19_1617
ko:K11065	ypf:BZ19_1619
ko:K03721	ypf:BZ19_1620
ko:K08990	ypf:BZ19_1623
ko:K06918	ypf:BZ19_1624
ko:K03971	ypf:BZ19_1625
ko:K03970	ypf:BZ19_1627
ko:K03969	ypf:BZ19_1628
ko:K03974	ypf:BZ19_1629
ko:K08227	ypf:BZ19_2422
ko:K05939	ypf:BZ19_2423
ko:K08351	ypf:BZ19_2424
ko:K02529	ypf:BZ19_2426
ko:K01586	ypf:BZ19_2425
ko:K07396	ypf:BZ19_2432
ko:K02465	ypf:BZ19_2436
ko:K02461	ypf:BZ19_2438
ko:K02460	ypf:BZ19_2439
ko:K02459	ypf:BZ19_2440
ko:K02458	ypf:BZ19_2441
ko:K02457	ypf:BZ19_2442
ko:K02456	ypf:BZ19_2443
ko:K02455	ypf:BZ19_2444
ko:K02454	ypf:BZ19_2445
ko:K02453	ypf:BZ19_2446
ko:K02452	ypf:BZ19_2447
ko:K01673	ypf:BZ19_2449
ko:K08961	ypf:BZ19_2453
ko:K16371	ypf:BZ19_2456
ko:K02082	ypf:BZ19_2457
ko:K02745	ypf:BZ19_2458
ko:K02746	ypf:BZ19_2459
ko:K02747	ypf:BZ19_2460
ko:K02744	ypf:BZ19_2461
ko:K02079	ypf:BZ19_2462
ko:K00065	ypf:BZ19_2463
ko:K06871	ypf:BZ19_2465
ko:K08302	ypf:BZ19_2468
ko:K08191	ypf:BZ19_2472
ko:K00851	ypf:BZ19_3285
ko:K06155	ypf:BZ19_3286
ko:K06145	ypf:BZ19_3287
ko:K06911	ypf:BZ19_3288
ko:K01624	ypf:BZ19_3291
ko:K09988	ypf:BZ19_3292
ko:K10439	ypf:BZ19_3293
ko:K10440	ypf:BZ19_3294
ko:K10441	ypf:BZ19_3295
ko:K07007	ypf:BZ19_3297
ko:K16322	ypf:BZ19_3298
ko:K06144	ypf:BZ19_3299
ko:K06149	ypf:BZ19_3300
ko:K00262	ypf:BZ19_3301
ko:K15984	ypf:BZ19_3303
ko:K01414	ypf:BZ19_3304
ko:K07115	ypf:BZ19_3305
ko:K00383	ypf:BZ19_3306
ko:K02647	ypf:BZ19_3307
ko:K03299	ypf:BZ19_3308
ko:K00865	ypf:BZ19_3309
ko:K07058	ypf:BZ19_3313
ko:K01521	ypf:BZ19_3314
ko:K07290	ypf:BZ19_3315
ko:K01821	ypf:BZ19_3317
ko:K00874	ypf:BZ19_3318
ko:K11103	ypf:BZ19_3320
ko:K01728	ypf:BZ19_3322
ko:K12372	ypf:BZ19_3326
ko:K12371	ypf:BZ19_3327
ko:K12370	ypf:BZ19_3328
ko:K12369	ypf:BZ19_3329
ko:K12368	ypf:BZ19_3330
ko:K07783	ypf:BZ19_3336
ko:K06177	ypf:BZ19_4140
ko:K11902	ypf:BZ19_4142
ko:K11901	ypf:BZ19_4143
ko:K11900	ypf:BZ19_4144
ko:K11903	ypf:BZ19_4145
ko:K11897	ypf:BZ19_4146
ko:K11896	ypf:BZ19_4147
ko:K11895	ypf:BZ19_4148
ko:K03223	ypf:BZ19_4150
ko:K04054	ypf:BZ19_4151
ko:K03222	ypf:BZ19_4152
ko:K04053	ypf:BZ19_4153
ko:K04052	ypf:BZ19_4154
ko:K04051	ypf:BZ19_4155
ko:K03221	ypf:BZ19_4156
ko:K04050	ypf:BZ19_4157
ko:K03220	ypf:BZ19_4158
ko:K03219	ypf:BZ19_4159
ko:K04049	ypf:BZ19_4160
ko:K03229	ypf:BZ19_4163
ko:K03228	ypf:BZ19_4164
ko:K03227	ypf:BZ19_4165
ko:K03226	ypf:BZ19_4166
ko:K03225	ypf:BZ19_4167
ko:K04056	ypf:BZ19_4169
ko:K03224	ypf:BZ19_4170
ko:K04058	ypf:BZ19_4171
ko:K04059	ypf:BZ19_4174
ko:K04060	ypf:BZ19_4175
ko:K03230	ypf:BZ19_4176
ko:K08599	ypf:BZ19_4189
ko:K19333	ypf:BZ19_1730
ko:K00241	ypf:BZ19_529
ko:K00242	ypf:BZ19_530
ko:K00239	ypf:BZ19_531
ko:K00240	ypf:BZ19_532
ko:K00164	ypf:BZ19_533
ko:K00658	ypf:BZ19_534
ko:K01903	ypf:BZ19_535
ko:K01902	ypf:BZ19_536
ko:K07491	ypf:BZ19_537
ko:K00425	ypf:BZ19_538
ko:K00426	ypf:BZ19_539
ko:K07107	ypf:BZ19_542
ko:K03562	ypf:BZ19_543
ko:K03560	ypf:BZ19_544
ko:K03646	ypf:BZ19_545
ko:K03641	ypf:BZ19_546
ko:K03640	ypf:BZ19_547
ko:K03517	ypf:BZ19_557
ko:K03811	ypf:BZ19_558
ko:K16264	ypf:BZ19_559
ko:K01626	ypf:BZ19_561
ko:K01834	ypf:BZ19_562
ko:K01785	ypf:BZ19_564
ko:K00849	ypf:BZ19_565
ko:K00965	ypf:BZ19_566
ko:K01784	ypf:BZ19_567
ko:K07052	ypf:BZ19_568
ko:K05776	ypf:BZ19_570
ko:K02019	ypf:BZ19_571
ko:K02020	ypf:BZ19_573
ko:K02018	ypf:BZ19_574
ko:K02017	ypf:BZ19_575
ko:K07404	ypf:BZ19_577
ko:K00833	ypf:BZ19_578
ko:K01012	ypf:BZ19_579
ko:K00652	ypf:BZ19_580
ko:K02169	ypf:BZ19_581
ko:K01935	ypf:BZ19_582
ko:K03608	ypf:BZ19_1415
ko:K03609	ypf:BZ19_1416
ko:K03610	ypf:BZ19_1417
ko:K09902	ypf:BZ19_1418
ko:K08305	ypf:BZ19_1419
ko:K09160	ypf:BZ19_1421
ko:K04487	ypf:BZ19_1423
ko:K03611	ypf:BZ19_1426
ko:K03314	ypf:BZ19_1427
ko:K03603	ypf:BZ19_1428
ko:K00285	ypf:BZ19_1430
ko:K07552	ypf:BZ19_1431
ko:K06911	ypf:BZ19_1432
ko:K09786	ypf:BZ19_1435
ko:K07180	ypf:BZ19_1436
ko:K01792	ypf:BZ19_1438
ko:K00134	ypf:BZ19_1439
ko:K07305	ypf:BZ19_1440
ko:K09916	ypf:BZ19_1441
ko:K08281	ypf:BZ19_1442
ko:K01424	ypf:BZ19_1443
ko:K04773	ypf:BZ19_1444
ko:K01008	ypf:BZ19_1446
ko:K03169	ypf:BZ19_1447
ko:K08320	ypf:BZ19_1449
ko:K01142	ypf:BZ19_1450
ko:K01433	ypf:BZ19_1455
ko:K09858	ypf:BZ19_1456
ko:K00012	ypf:BZ19_1458
ko:K03746	ypf:BZ19_1459
ko:K04072	ypf:BZ19_1461
ko:K15580	ypf:BZ19_1463
ko:K15581	ypf:BZ19_1464
ko:K15582	ypf:BZ19_1465
ko:K15583	ypf:BZ19_1466
ko:K10823	ypf:BZ19_1467
ko:K09901	ypf:BZ19_1469
ko:K03088	ypf:BZ19_2265
ko:K00278	ypf:BZ19_2266
ko:K15460	ypf:BZ19_2267
ko:K05590	ypf:BZ19_2268
ko:K03648	ypf:BZ19_2274
ko:K01304	ypf:BZ19_2275
ko:K07160	ypf:BZ19_2278
ko:K01669	ypf:BZ19_2284
ko:K01546	ypf:BZ19_2287
ko:K01547	ypf:BZ19_2288
ko:K01548	ypf:BZ19_2289
ko:K07646	ypf:BZ19_2290
ko:K07667	ypf:BZ19_2291
ko:K08978	ypf:BZ19_2292
ko:K01835	ypf:BZ19_2294
ko:K03645	ypf:BZ19_2295
ko:K03478	ypf:BZ19_2298
ko:K03490	ypf:BZ19_2299
ko:K02759	ypf:BZ19_2300
ko:K02761	ypf:BZ19_2301
ko:K02760	ypf:BZ19_2302
ko:K06199	ypf:BZ19_2303
ko:K06199	ypf:BZ19_2304
ko:K10716	ypf:BZ19_2305
ko:K07241	ypf:BZ19_2307
ko:K08717	ypf:BZ19_2308
ko:K03190	ypf:BZ19_2309
ko:K03189	ypf:BZ19_2310
ko:K03188	ypf:BZ19_2311
ko:K03187	ypf:BZ19_2312
ko:K01428	ypf:BZ19_2313
ko:K01429	ypf:BZ19_2314
ko:K01430	ypf:BZ19_2315
ko:K00906	ypf:BZ19_3125
ko:K01637	ypf:BZ19_3126
ko:K01638	ypf:BZ19_3127
ko:K00651	ypf:BZ19_3128
ko:K00014	ypf:BZ19_3141
ko:K07566	ypf:BZ19_3142
ko:K07479	ypf:BZ19_3143
ko:K03747	ypf:BZ19_3144
ko:K04096	ypf:BZ19_3145
ko:K01462	ypf:BZ19_3146
ko:K00604	ypf:BZ19_3147
ko:K03500	ypf:BZ19_3148
ko:K03499	ypf:BZ19_3149
ko:K03282	ypf:BZ19_3150
ko:K09890	ypf:BZ19_3151
ko:K02879	ypf:BZ19_3153
ko:K03040	ypf:BZ19_3154
ko:K02986	ypf:BZ19_3155
ko:K02948	ypf:BZ19_3156
ko:K02952	ypf:BZ19_3157
ko:K02919	ypf:BZ19_3158
ko:K03076	ypf:BZ19_3159
ko:K02876	ypf:BZ19_3160
ko:K02907	ypf:BZ19_3161
ko:K02988	ypf:BZ19_3162
ko:K02881	ypf:BZ19_3163
ko:K02933	ypf:BZ19_3164
ko:K02994	ypf:BZ19_3165
ko:K02954	ypf:BZ19_3166
ko:K02931	ypf:BZ19_3167
ko:K02895	ypf:BZ19_3168
ko:K02874	ypf:BZ19_3169
ko:K02961	ypf:BZ19_3170
ko:K02904	ypf:BZ19_3171
ko:K02878	ypf:BZ19_3172
ko:K02982	ypf:BZ19_3173
ko:K02890	ypf:BZ19_3174
ko:K02965	ypf:BZ19_3175
ko:K02886	ypf:BZ19_3176
ko:K02892	ypf:BZ19_3177
ko:K02926	ypf:BZ19_3178
ko:K02906	ypf:BZ19_3179
ko:K02026	ypf:BZ19_3980
ko:K10112	ypf:BZ19_3981
ko:K09979	ypf:BZ19_3983
ko:K06167	ypf:BZ19_3985
ko:K05774	ypf:BZ19_3986
ko:K06162	ypf:BZ19_3987
ko:K05780	ypf:BZ19_3988
ko:K05781	ypf:BZ19_3989
ko:K06163	ypf:BZ19_3990
ko:K06164	ypf:BZ19_3991
ko:K06165	ypf:BZ19_3992
ko:K06166	ypf:BZ19_3993
ko:K02043	ypf:BZ19_3994
ko:K02034	ypf:BZ19_4000
ko:K02033	ypf:BZ19_4001
ko:K02035	ypf:BZ19_4002
ko:K00611	ypf:BZ19_4004
ko:K09893	ypf:BZ19_4005
ko:K03828	ypf:BZ19_4006
ko:K01873	ypf:BZ19_4007
ko:K02339	ypf:BZ19_4008
ko:K01255	ypf:BZ19_4009
ko:K07091	ypf:BZ19_4010
ko:K11720	ypf:BZ19_4011
ko:K00525	ypf:BZ19_2329
ko:K02300	ypf:BZ19_306
ko:K02299	ypf:BZ19_307
ko:K02298	ypf:BZ19_308
ko:K02297	ypf:BZ19_309
ko:K08218	ypf:BZ19_311
ko:K07286	ypf:BZ19_312
ko:K05527	ypf:BZ19_313
ko:K03545	ypf:BZ19_315
ko:K01358	ypf:BZ19_316
ko:K03544	ypf:BZ19_317
ko:K01338	ypf:BZ19_318
ko:K03530	ypf:BZ19_319
ko:K03770	ypf:BZ19_320
ko:K02237	ypf:BZ19_321
ko:K12500	ypf:BZ19_322
ko:K06920	ypf:BZ19_323
ko:K11938	ypf:BZ19_325
ko:K01738	ypf:BZ19_326
ko:K05800	ypf:BZ19_327
ko:K18889	ypf:BZ19_328
ko:K18890	ypf:BZ19_329
ko:K04752	ypf:BZ19_330
ko:K03320	ypf:BZ19_331
ko:K10805	ypf:BZ19_332
ko:K09914	ypf:BZ19_333
ko:K02073	ypf:BZ19_756
ko:K02071	ypf:BZ19_757
ko:K02072	ypf:BZ19_758
ko:K07258	ypf:BZ19_759
ko:K03837	ypf:BZ19_760
ko:K11534	ypf:BZ19_761
ko:K01619	ypf:BZ19_762
ko:K19302	ypf:BZ19_763
ko:K07085	ypf:BZ19_765
ko:K03674	ypf:BZ19_766
ko:K11073	ypf:BZ19_769
ko:K11076	ypf:BZ19_770
ko:K11075	ypf:BZ19_771
ko:K11074	ypf:BZ19_772
ko:K03212	ypf:BZ19_774
ko:K09996	ypf:BZ19_775
ko:K02013	ypf:BZ19_779
ko:K09998	ypf:BZ19_783
ko:K09999	ypf:BZ19_784
ko:K09997	ypf:BZ19_785
ko:K10000	ypf:BZ19_786
ko:K04093	ypf:BZ19_787
ko:K01620	ypf:BZ19_791
ko:K00156	ypf:BZ19_792
ko:K11933	ypf:BZ19_793
ko:K05601	ypf:BZ19_794
ko:K07459	ypf:BZ19_796
ko:K09824	ypf:BZ19_797
ko:K13888	ypf:BZ19_798
ko:K05685	ypf:BZ19_799
ko:K03704	ypf:BZ19_800
ko:K06891	ypf:BZ19_801
ko:K03694	ypf:BZ19_802
ko:K02518	ypf:BZ19_803
ko:K00684	ypf:BZ19_804
ko:K19226	ypf:BZ19_1630
ko:K19227	ypf:BZ19_1631
ko:K19228	ypf:BZ19_1632
ko:K19229	ypf:BZ19_1633
ko:K19230	ypf:BZ19_1634
ko:K03305	ypf:BZ19_1637
ko:K00799	ypf:BZ19_1640
ko:K00868	ypf:BZ19_1641
ko:K01866	ypf:BZ19_1642
ko:K00275	ypf:BZ19_1643
ko:K09001	ypf:BZ19_1645
ko:K06077	ypf:BZ19_1646
ko:K07491	ypf:BZ19_1647
ko:K06075	ypf:BZ19_1648
ko:K06938	ypf:BZ19_1650
ko:K03760	ypf:BZ19_1651
ko:K16137	ypf:BZ19_1652
ko:K10680	ypf:BZ19_1653
ko:K01759	ypf:BZ19_1655
ko:K03683	ypf:BZ19_1656
ko:K07390	ypf:BZ19_1658
ko:K19303	ypf:BZ19_1660
ko:K04564	ypf:BZ19_1661
ko:K03604	ypf:BZ19_1663
ko:K00574	ypf:BZ19_1666
ko:K00793	ypf:BZ19_1667
ko:K03327	ypf:BZ19_1668
ko:K00873	ypf:BZ19_1672
ko:K06078	ypf:BZ19_1673
ko:K19236	ypf:BZ19_1674
ko:K02426	ypf:BZ19_1675
ko:K11717	ypf:BZ19_1676
ko:K09015	ypf:BZ19_1677
ko:K09013	ypf:BZ19_1678
ko:K09014	ypf:BZ19_1679
ko:K05997	ypf:BZ19_1680
ko:K19222	ypf:BZ19_1681
ko:K01187	ypf:BZ19_2473
ko:K02024	ypf:BZ19_2475
ko:K02778	ypf:BZ19_2476
ko:K12308	ypf:BZ19_2477
ko:K01224	ypf:BZ19_2478
ko:K15772	ypf:BZ19_2479
ko:K15771	ypf:BZ19_2480
ko:K15770	ypf:BZ19_2481
ko:K10111	ypf:BZ19_2482
ko:K17207	ypf:BZ19_2483
ko:K17206	ypf:BZ19_2484
ko:K17205	ypf:BZ19_2485
ko:K07733	ypf:BZ19_2501
ko:K13655	ypf:BZ19_2504
ko:K13651	ypf:BZ19_2505
ko:K04567	ypf:BZ19_2510
ko:K02836	ypf:BZ19_2511
ko:K07462	ypf:BZ19_2512
ko:K03981	ypf:BZ19_2513
ko:K04763	ypf:BZ19_2514
ko:K03840	ypf:BZ19_2515
ko:K06143	ypf:BZ19_2516
ko:K07641	ypf:BZ19_2517
ko:K07663	ypf:BZ19_2518
ko:K09159	ypf:BZ19_2519
ko:K06980	ypf:BZ19_2520
ko:K11068	ypf:BZ19_2522
ko:K00281	ypf:BZ19_2526
ko:K07675	ypf:BZ19_3337
ko:K12975	ypf:BZ19_3339
ko:K16234	ypf:BZ19_3341
ko:K01745	ypf:BZ19_3342
ko:K01712	ypf:BZ19_3343
ko:K01738	ypf:BZ19_3344
ko:K00759	ypf:BZ19_3345
ko:K02016	ypf:BZ19_3348
ko:K02015	ypf:BZ19_3349
ko:K02015	ypf:BZ19_3350
ko:K02013	ypf:BZ19_3352
ko:K02529	ypf:BZ19_3356
ko:K10544	ypf:BZ19_3357
ko:K10545	ypf:BZ19_3358
ko:K10543	ypf:BZ19_3359
ko:K01805	ypf:BZ19_3360
ko:K00854	ypf:BZ19_3361
ko:K08160	ypf:BZ19_3367
ko:K03833	ypf:BZ19_3373
ko:K01042	ypf:BZ19_3374
ko:K02380	ypf:BZ19_3375
ko:K00127	ypf:BZ19_3376
ko:K00124	ypf:BZ19_3377
ko:K00123	ypf:BZ19_3378
ko:K00123	ypf:BZ19_3379
ko:K02379	ypf:BZ19_3380
ko:K04564	ypf:BZ19_3381
ko:K14762	ypf:BZ19_3385
ko:K02562	ypf:BZ19_3387
ko:K00009	ypf:BZ19_3388
ko:K02798	ypf:BZ19_3389
ko:K02799	ypf:BZ19_3389
ko:K02800	ypf:BZ19_3389
ko:K07483	ypf:BZ19_4192
ko:K03496	ypf:BZ19_4195
ko:K03497	ypf:BZ19_4196
ko:K07746	ypf:BZ19_4198
ko:K07483	ypf:BZ19_4215
ko:K07483	ypf:BZ19_4218
ko:K07483	ypf:BZ19_4228
ko:K08598	ypf:BZ19_4231
ko:K07443	ypf:BZ19_334
ko:K05839	ypf:BZ19_335
ko:K19162	ypf:BZ19_336
ko:K02919	ypf:BZ19_338
ko:K02909	ypf:BZ19_339
ko:K03585	ypf:BZ19_342
ko:K03577	ypf:BZ19_343
ko:K06039	ypf:BZ19_344
ko:K05802	ypf:BZ19_345
ko:K04067	ypf:BZ19_346
ko:K09790	ypf:BZ19_347
ko:K00759	ypf:BZ19_348
ko:K02343	ypf:BZ19_349
ko:K09747	ypf:BZ19_350
ko:K06187	ypf:BZ19_351
ko:K04079	ypf:BZ19_352
ko:K00939	ypf:BZ19_353
ko:K01772	ypf:BZ19_354
ko:K00523	ypf:BZ19_355
ko:K00978	ypf:BZ19_356
ko:K01709	ypf:BZ19_357
ko:K12452	ypf:BZ19_358
ko:K06218	ypf:BZ19_1200
ko:K18918	ypf:BZ19_1201
ko:K09803	ypf:BZ19_1245
ko:K07306	ypf:BZ19_2053
ko:K07307	ypf:BZ19_2054
ko:K07308	ypf:BZ19_2055
ko:K18843	ypf:BZ19_2061
ko:K14261	ypf:BZ19_2063
ko:K00845	ypf:BZ19_2065
ko:K19265	ypf:BZ19_2068
ko:K03322	ypf:BZ19_2070
ko:K11535	ypf:BZ19_2071
ko:K01885	ypf:BZ19_2076
ko:K09962	ypf:BZ19_2080
ko:K09954	ypf:BZ19_2082
ko:K01972	ypf:BZ19_2083
ko:K03528	ypf:BZ19_2084
ko:K06203	ypf:BZ19_2085
ko:K01738	ypf:BZ19_2086
ko:K02784	ypf:BZ19_2087
ko:K08483	ypf:BZ19_2088
ko:K02777	ypf:BZ19_2089
ko:K02484	ypf:BZ19_2090
ko:K13888	ypf:BZ19_2092
ko:K05685	ypf:BZ19_2093
ko:K03307	ypf:BZ19_2095
ko:K14155	ypf:BZ19_2098
ko:K07114	ypf:BZ19_2099
ko:K12339	ypf:BZ19_2102
ko:K02045	ypf:BZ19_2103
ko:K02047	ypf:BZ19_2104
ko:K02046	ypf:BZ19_2105
ko:K02048	ypf:BZ19_2106
ko:K15125	ypf:BZ19_2919
ko:K00219	ypf:BZ19_2928
ko:K07043	ypf:BZ19_2931
ko:K07862	ypf:BZ19_2933
ko:K01685	ypf:BZ19_2935
ko:K00041	ypf:BZ19_2936
ko:K01812	ypf:BZ19_2937
ko:K08191	ypf:BZ19_2938
ko:K15977	ypf:BZ19_2947
ko:K07393	ypf:BZ19_2948
ko:K06911	ypf:BZ19_2950
ko:K07056	ypf:BZ19_2951
ko:K07121	ypf:BZ19_2952
ko:K07460	ypf:BZ19_2953
ko:K12961	ypf:BZ19_2954
ko:K03814	ypf:BZ19_2956
ko:K07648	ypf:BZ19_2958
ko:K07139	ypf:BZ19_2960
ko:K00265	ypf:BZ19_2961
ko:K00266	ypf:BZ19_2962
ko:K03600	ypf:BZ19_2964
ko:K03599	ypf:BZ19_2965
ko:K02996	ypf:BZ19_2966
ko:K03148	ypf:BZ19_3758
ko:K00788	ypf:BZ19_3759
ko:K03147	ypf:BZ19_3760
ko:K07740	ypf:BZ19_3761
ko:K03426	ypf:BZ19_3762
ko:K01599	ypf:BZ19_3764
ko:K05982	ypf:BZ19_3765
ko:K09891	ypf:BZ19_3766
ko:K05787	ypf:BZ19_3767
ko:K01945	ypf:BZ19_3769
ko:K00602	ypf:BZ19_3770
ko:K14393	ypf:BZ19_3778
ko:K01895	ypf:BZ19_3780
ko:K11102	ypf:BZ19_3781
ko:K14979	ypf:BZ19_3782
ko:K14978	ypf:BZ19_3783
ko:K03219	ypf:BZ19_3784
ko:K03220	ypf:BZ19_3785
ko:K18984	ypf:BZ19_3786
ko:K03221	ypf:BZ19_3788
ko:K03222	ypf:BZ19_3791
ko:K03230	ypf:BZ19_3794
ko:K03224	ypf:BZ19_3795
ko:K03225	ypf:BZ19_3798
ko:K03226	ypf:BZ19_3799
ko:K03227	ypf:BZ19_3800
ko:K03228	ypf:BZ19_3801
ko:K03229	ypf:BZ19_3802
ko:K07112	ypf:BZ19_3803
ko:K01760	ypf:BZ19_3807
ko:K02013	ypf:BZ19_3808
ko:K02015	ypf:BZ19_3809
ko:K02016	ypf:BZ19_3810
ko:K07225	ypf:BZ19_3811
ko:K16087	ypf:BZ19_3812
ko:K03702	ypf:BZ19_584
ko:K07489	ypf:BZ19_2648
ko:K03639	ypf:BZ19_588
ko:K03637	ypf:BZ19_589
ko:K03636	ypf:BZ19_590
ko:K03635	ypf:BZ19_591
ko:K06890	ypf:BZ19_592
ko:K02167	ypf:BZ19_595
ko:K02168	ypf:BZ19_596
ko:K03815	ypf:BZ19_599
ko:K11537	ypf:BZ19_600
ko:K07803	ypf:BZ19_601
ko:K07709	ypf:BZ19_602
ko:K01993	ypf:BZ19_610
ko:K11927	ypf:BZ19_612
ko:K05541	ypf:BZ19_614
ko:K07262	ypf:BZ19_616
ko:K03777	ypf:BZ19_617
ko:K05873	ypf:BZ19_618
ko:K02041	ypf:BZ19_622
ko:K02044	ypf:BZ19_623
ko:K02042	ypf:BZ19_624
ko:K02042	ypf:BZ19_625
ko:K11959	ypf:BZ19_627
ko:K11960	ypf:BZ19_628
ko:K11961	ypf:BZ19_629
ko:K11962	ypf:BZ19_630
ko:K11963	ypf:BZ19_631
ko:K01011	ypf:BZ19_634
ko:K05845	ypf:BZ19_635
ko:K05846	ypf:BZ19_636
ko:K05847	ypf:BZ19_637
ko:K05846	ypf:BZ19_638
ko:K06131	ypf:BZ19_1470
ko:K09981	ypf:BZ19_1473
ko:K09780	ypf:BZ19_1474
ko:K03832	ypf:BZ19_1476
