ko:K02030	kpe:KPK_2529
ko:K07285	kpe:KPK_1970
ko:K03684	kpe:KPK_1972
ko:K03608	kpe:KPK_1973
ko:K03609	kpe:KPK_1974
ko:K03610	kpe:KPK_1975
ko:K09902	kpe:KPK_1976
ko:K09160	kpe:KPK_1978
ko:K03611	kpe:KPK_1980
ko:K03314	kpe:KPK_1981
ko:K03603	kpe:KPK_1983
ko:K00285	kpe:KPK_1985
ko:K01775	kpe:KPK_1986
ko:K11105	kpe:KPK_1987
ko:K08308	kpe:KPK_1989
ko:K02014	kpe:KPK_1992
ko:K01194	kpe:KPK_1993
ko:K07395	kpe:KPK_1999
ko:K02026	kpe:KPK_2002
ko:K02025	kpe:KPK_2003
ko:K05846	kpe:KPK_2010
ko:K01754	kpe:KPK_2014
ko:K00656	kpe:KPK_2017
ko:K01999	kpe:KPK_2018
ko:K01997	kpe:KPK_2019
ko:K01998	kpe:KPK_2020
ko:K01995	kpe:KPK_2021
ko:K01996	kpe:KPK_2022
ko:K08987	kpe:KPK_2953
ko:K07112	kpe:KPK_2954
ko:K00134	kpe:KPK_2958
ko:K03670	kpe:KPK_3494
ko:K06911	kpe:KPK_3506
ko:K06217	kpe:KPK_3509
ko:K07224	kpe:KPK_3511
ko:K07243	kpe:KPK_3512
ko:K03317	kpe:KPK_3513
ko:K09018	kpe:KPK_3520
ko:K09021	kpe:KPK_3522
ko:K09023	kpe:KPK_3523
ko:K03809	kpe:KPK_3530
ko:K09472	kpe:KPK_3542
ko:K09471	kpe:KPK_3544
ko:K03451	kpe:KPK_3546
ko:K08483	kpe:KPK_3550
ko:K11189	kpe:KPK_3550
ko:K11201	kpe:KPK_3550
ko:K11203	kpe:KPK_3551
ko:K11202	kpe:KPK_3552
ko:K00656	kpe:KPK_3553
ko:K04069	kpe:KPK_3554
ko:K11202	kpe:KPK_3555
ko:K02806	kpe:KPK_0507
ko:K05808	kpe:KPK_0508
ko:K03092	kpe:KPK_0509
ko:K06861	kpe:KPK_0510
ko:K09774	kpe:KPK_0511
ko:K03270	kpe:KPK_0513
ko:K06041	kpe:KPK_0514
ko:K07301	kpe:KPK_0515
ko:K02065	kpe:KPK_0516
ko:K02066	kpe:KPK_0517
ko:K02067	kpe:KPK_0518
ko:K07323	kpe:KPK_0519
ko:K00790	kpe:KPK_0522
ko:K02523	kpe:KPK_0524
ko:K02888	kpe:KPK_0525
ko:K02899	kpe:KPK_0526
ko:K03979	kpe:KPK_0528
ko:K07259	kpe:KPK_0529
ko:K03624	kpe:KPK_0530
ko:K07574	kpe:KPK_0531
ko:K02427	kpe:KPK_0532
ko:K03798	kpe:KPK_0533
ko:K00796	kpe:KPK_0534
ko:K03431	kpe:KPK_0535
ko:K03075	kpe:KPK_0536
ko:K01940	kpe:KPK_0542
ko:K09748	kpe:KPK_0544
ko:K02600	kpe:KPK_0545
ko:K02519	kpe:KPK_0546
ko:K02834	kpe:KPK_0547
ko:K03177	kpe:KPK_0548
ko:K02956	kpe:KPK_0549
ko:K00962	kpe:KPK_0551
ko:K05803	kpe:KPK_0552
ko:K05592	kpe:KPK_0553
ko:K03835	kpe:KPK_0554
ko:K08303	kpe:KPK_0557
ko:K03824	kpe:KPK_0560
ko:K07461	kpe:KPK_0559
ko:K07089	kpe:KPK_0564
ko:K07460	kpe:KPK_0567
ko:K00342	kpe:KPK_1482
ko:K00343	kpe:KPK_1483
ko:K00784	kpe:KPK_1484
ko:K02348	kpe:KPK_1485
ko:K02552	kpe:KPK_1486
ko:K02551	kpe:KPK_1487
ko:K08680	kpe:KPK_1488
ko:K01661	kpe:KPK_1489
ko:K02549	kpe:KPK_1490
ko:K00112	kpe:KPK_1502
ko:K00111	kpe:KPK_1503
ko:K02445	kpe:KPK_1504
ko:K01126	kpe:KPK_1505
ko:K11107	kpe:KPK_1507
ko:K00526	kpe:KPK_1508
ko:K00525	kpe:KPK_1509
ko:K02469	kpe:KPK_1511
ko:K07676	kpe:KPK_1514
ko:K09475	kpe:KPK_1516
ko:K03734	kpe:KPK_1517
ko:K03919	kpe:KPK_1519
ko:K06213	kpe:KPK_1522
ko:K00116	kpe:KPK_1523
ko:K08276	kpe:KPK_1524
ko:K00286	kpe:KPK_1534
ko:K07014	kpe:KPK_1536
ko:K09904	kpe:KPK_1537
ko:K06899	kpe:KPK_1538
ko:K06145	kpe:KPK_2461
ko:K01821	kpe:KPK_2463
ko:K02012	kpe:KPK_2470
ko:K02011	kpe:KPK_2471
ko:K02575	kpe:KPK_2477
ko:K03464	kpe:KPK_2482
ko:K05549	kpe:KPK_2484
ko:K05550	kpe:KPK_2485
ko:K05784	kpe:KPK_2486
ko:K05783	kpe:KPK_2488
ko:K08350	kpe:KPK_2491
ko:K02031	kpe:KPK_2499
ko:K02032	kpe:KPK_2499
ko:K02034	kpe:KPK_2500
ko:K02033	kpe:KPK_2501
ko:K02035	kpe:KPK_2502
ko:K01507	kpe:KPK_2504
ko:K09895	kpe:KPK_0755
ko:K01262	kpe:KPK_0756
ko:K03185	kpe:KPK_0757
ko:K00605	kpe:KPK_0759
ko:K02437	kpe:KPK_0760
ko:K09900	kpe:KPK_0770
ko:K11068	kpe:KPK_0771
ko:K06980	kpe:KPK_0772
ko:K09159	kpe:KPK_0773
ko:K03840	kpe:KPK_0775
ko:K03981	kpe:KPK_0777
ko:K07462	kpe:KPK_0778
ko:K02836	kpe:KPK_0779
ko:K04567	kpe:KPK_0780
ko:K01823	kpe:KPK_0781
ko:K03305	kpe:KPK_0802
ko:K06975	kpe:KPK_0809
ko:K07347	kpe:KPK_0814
ko:K07345	kpe:KPK_0817
ko:K01141	kpe:KPK_1718
ko:K07258	kpe:KPK_1719
ko:K09802	kpe:KPK_1722
ko:K02233	kpe:KPK_1723
ko:K01251	kpe:KPK_1725
ko:K01241	kpe:KPK_1745
ko:K03196	kpe:KPK_1775
ko:K03195	kpe:KPK_1776
ko:K03204	kpe:KPK_1777
ko:K03203	kpe:KPK_1778
ko:K07727	kpe:KPK_2699
ko:K07154	kpe:KPK_2706
ko:K07127	kpe:KPK_2708
ko:K02073	kpe:KPK_2721
ko:K02072	kpe:KPK_2723
ko:K00041	kpe:KPK_2739
ko:K01425	kpe:KPK_2743
ko:K03829	kpe:KPK_2745
ko:K01714	kpe:KPK_2752
ko:K03535	kpe:KPK_2754
ko:K08159	kpe:KPK_2756
ko:K03707	kpe:KPK_2557
ko:K02529	kpe:KPK_2565
ko:K07345	kpe:KPK_0832
ko:K07347	kpe:KPK_0834
ko:K01586	kpe:KPK_0863
ko:K02761	kpe:KPK_0864
ko:K05350	kpe:KPK_0865
ko:K08227	kpe:KPK_0870
ko:K03573	kpe:KPK_0874
ko:K08311	kpe:KPK_0876
ko:K08484	kpe:KPK_0877
ko:K03200	kpe:KPK_1782
ko:K03199	kpe:KPK_1783
ko:K03197	kpe:KPK_1784
ko:K03194	kpe:KPK_1785
ko:K00817	kpe:KPK_1796
ko:K01745	kpe:KPK_1797
ko:K09472	kpe:KPK_1801
ko:K01438	kpe:KPK_1807
ko:K01756	kpe:KPK_1826
ko:K00005	kpe:KPK_1827
ko:K09933	kpe:KPK_1844
ko:K00549	kpe:KPK_2769
ko:K03299	kpe:KPK_2786
ko:K04080	kpe:KPK_2791
ko:K00560	kpe:KPK_0879
ko:K00133	kpe:KPK_0315
ko:K00700	kpe:KPK_0316
ko:K02438	kpe:KPK_0317
ko:K00975	kpe:KPK_0318
ko:K00688	kpe:KPK_0320
ko:K00111	kpe:KPK_0322
ko:K02439	kpe:KPK_0323
ko:K02441	kpe:KPK_0324
ko:K02444	kpe:KPK_0325
ko:K03556	kpe:KPK_0326
ko:K00688	kpe:KPK_0328
ko:K00705	kpe:KPK_0329
ko:K06155	kpe:KPK_0330
ko:K07400	kpe:KPK_0331
ko:K02170	kpe:KPK_0333
ko:K07490	kpe:KPK_0335
ko:K04759	kpe:KPK_0336
ko:K04758	kpe:KPK_0337
ko:K06959	kpe:KPK_0339
ko:K04760	kpe:KPK_0340
ko:K07638	kpe:KPK_0342
ko:K04083	kpe:KPK_0344
ko:K04762	kpe:KPK_0345
ko:K08312	kpe:KPK_0348
ko:K00891	kpe:KPK_0355
ko:K01735	kpe:KPK_0356
ko:K03112	kpe:KPK_0357
ko:K06223	kpe:KPK_0358
ko:K01783	kpe:KPK_0359
ko:K01867	kpe:KPK_0361
ko:K00363	kpe:KPK_0363
ko:K00362	kpe:KPK_0364
ko:K06141	kpe:KPK_0365
ko:K04095	kpe:KPK_0370
ko:K10914	kpe:KPK_0374
ko:K00855	kpe:KPK_0376
ko:K00937	kpe:KPK_1304
ko:K11175	kpe:KPK_1309
ko:K01933	kpe:KPK_1310
ko:K01223	kpe:KPK_1313
ko:K00761	kpe:KPK_1314
ko:K10763	kpe:KPK_1317
ko:K03548	kpe:KPK_1321
ko:K03564	kpe:KPK_1322
ko:K03567	kpe:KPK_1323
ko:K01714	kpe:KPK_1324
ko:K07287	kpe:KPK_1325
ko:K01923	kpe:KPK_1326
ko:K07054	kpe:KPK_1327
ko:K06999	kpe:KPK_1329
ko:K00615	kpe:KPK_1337
ko:K00616	kpe:KPK_1339
ko:K04031	kpe:KPK_1341
ko:K04029	kpe:KPK_1342
ko:K04032	kpe:KPK_1344
ko:K04024	kpe:KPK_1349
ko:K04023	kpe:KPK_1351
ko:K04019	kpe:KPK_1352
ko:K03735	kpe:KPK_1353
ko:K03736	kpe:KPK_1354
ko:K04026	kpe:KPK_1355
ko:K04033	kpe:KPK_1357
ko:K01448	kpe:KPK_1359
ko:K01029	kpe:KPK_2277
ko:K01028	kpe:KPK_2278
ko:K01821	kpe:KPK_2285
ko:K07240	kpe:KPK_2288
ko:K02050	kpe:KPK_2292
ko:K02049	kpe:KPK_2293
ko:K02051	kpe:KPK_2294
ko:K02051	kpe:KPK_2301
ko:K02032	kpe:KPK_2314
ko:K02031	kpe:KPK_2315
ko:K02034	kpe:KPK_2316
ko:K02033	kpe:KPK_2317
ko:K02035	kpe:KPK_2318
ko:K02071	kpe:KPK_2319
ko:K02073	kpe:KPK_2320
ko:K02072	kpe:KPK_2321
ko:K01673	kpe:KPK_2327
ko:K07180	kpe:KPK_3251
ko:K09786	kpe:KPK_3252
ko:K00432	kpe:KPK_3254
ko:K10680	kpe:KPK_3270
ko:K01531	kpe:KPK_3276
ko:K01438	kpe:KPK_3289
ko:K03503	kpe:KPK_3299
ko:K03502	kpe:KPK_3300
ko:K03449	kpe:KPK_3308
ko:K07019	kpe:KPK_0378
ko:K06158	kpe:KPK_0379
ko:K07070	kpe:KPK_0382
ko:K03775	kpe:KPK_0383
ko:K03745	kpe:KPK_0384
ko:K07236	kpe:KPK_0388
ko:K07237	kpe:KPK_0389
ko:K02950	kpe:KPK_0390
ko:K02992	kpe:KPK_0391
ko:K02355	kpe:KPK_0392
ko:K02192	kpe:KPK_0394
ko:K03594	kpe:KPK_0396
ko:K02946	kpe:KPK_0398
ko:K09892	kpe:KPK_0087
ko:K02048	kpe:KPK_0088
ko:K01521	kpe:KPK_0089
ko:K01803	kpe:KPK_0091
ko:K00528	kpe:KPK_0094
ko:K03655	kpe:KPK_0096
ko:K00556	kpe:KPK_0097
ko:K03060	kpe:KPK_0099
ko:K00942	kpe:KPK_0100
ko:K01972	kpe:KPK_0101
ko:K01993	kpe:KPK_0107
ko:K00989	kpe:KPK_0110
ko:K00762	kpe:KPK_0111
ko:K05501	kpe:KPK_0113
ko:K01520	kpe:KPK_0114
ko:K03630	kpe:KPK_0116
ko:K02902	kpe:KPK_0117
ko:K02913	kpe:KPK_0118
ko:K10563	kpe:KPK_0119
ko:K00954	kpe:KPK_0120
ko:K02527	kpe:KPK_0122
ko:K02844	kpe:KPK_0125
ko:K02849	kpe:KPK_0126
ko:K02841	kpe:KPK_0131
ko:K02843	kpe:KPK_0132
ko:K03274	kpe:KPK_0133
ko:K00639	kpe:KPK_0134
ko:K04654	kpe:KPK_1056
ko:K04653	kpe:KPK_1057
ko:K08315	kpe:KPK_1069
ko:K05796	kpe:KPK_1073
ko:K04656	kpe:KPK_1074
ko:K07241	kpe:KPK_1075
ko:K02467	kpe:KPK_1082
ko:K02466	kpe:KPK_1085
ko:K00068	kpe:KPK_1086
ko:K02781	kpe:KPK_1087
ko:K02782	kpe:KPK_1088
ko:K02783	kpe:KPK_1088
ko:K02783	kpe:KPK_1089
ko:K08305	kpe:KPK_1090
ko:K03743	kpe:KPK_1095
ko:K03553	kpe:KPK_1096
ko:K03565	kpe:KPK_1097
ko:K01872	kpe:KPK_1098
ko:K03563	kpe:KPK_1099
ko:K01919	kpe:KPK_1108
ko:K07173	kpe:KPK_1109
ko:K01649	kpe:KPK_1110
ko:K03543	kpe:KPK_1113
ko:K06177	kpe:KPK_2031
ko:K09912	kpe:KPK_2032
ko:K00883	kpe:KPK_2034
ko:K06942	kpe:KPK_2060
ko:K01056	kpe:KPK_2061
ko:K00948	kpe:KPK_2065
ko:K00919	kpe:KPK_2066
ko:K02494	kpe:KPK_2067
ko:K02492	kpe:KPK_2068
ko:K02835	kpe:KPK_2069
ko:K02493	kpe:KPK_2070
ko:K01627	kpe:KPK_2073
ko:K07300	kpe:KPK_2074
ko:K06197	kpe:KPK_2075
ko:K06039	kpe:KPK_2080
ko:K00362	kpe:KPK_2086
ko:K00372	kpe:KPK_2087
ko:K01438	kpe:KPK_3005
ko:K00077	kpe:KPK_3015
ko:K09978	kpe:KPK_3019
ko:K03778	kpe:KPK_3023
ko:K03737	kpe:KPK_3026
ko:K05591	kpe:KPK_3032
ko:K02072	kpe:KPK_3042
ko:K02071	kpe:KPK_3043
ko:K02073	kpe:KPK_3044
ko:K08969	kpe:KPK_3045
ko:K09798	kpe:KPK_0137
ko:K03676	kpe:KPK_0141
ko:K03071	kpe:KPK_0142
ko:K00057	kpe:KPK_0143
ko:K00640	kpe:KPK_0144
ko:K03216	kpe:KPK_0145
ko:K00101	kpe:KPK_0146
ko:K00427	kpe:KPK_0148
ko:K02562	kpe:KPK_0150
ko:K00009	kpe:KPK_0152
ko:K02798	kpe:KPK_0153
ko:K02799	kpe:KPK_0153
ko:K02800	kpe:KPK_0153
ko:K01042	kpe:KPK_0157
ko:K03833	kpe:KPK_0158
ko:K00880	kpe:KPK_0162
ko:K03796	kpe:KPK_0171
ko:K10544	kpe:KPK_0173
ko:K10545	kpe:KPK_0174
ko:K10543	kpe:KPK_0175
ko:K01805	kpe:KPK_0176
ko:K01878	kpe:KPK_0182
ko:K01879	kpe:KPK_0183
ko:K03704	kpe:KPK_0186
ko:K00874	kpe:KPK_0192
ko:K00526	kpe:KPK_1120
ko:K00525	kpe:KPK_1121
ko:K03647	kpe:KPK_1122
ko:K06191	kpe:KPK_1123
ko:K00375	kpe:KPK_1125
ko:K01118	kpe:KPK_1135
ko:K07347	kpe:KPK_1145
ko:K07673	kpe:KPK_2091
ko:K02575	kpe:KPK_2092
ko:K00370	kpe:KPK_2094
ko:K00371	kpe:KPK_2095
ko:K00373	kpe:KPK_2096
ko:K00374	kpe:KPK_2098
ko:K01433	kpe:KPK_2102
ko:K09858	kpe:KPK_2103
ko:K07001	kpe:KPK_2104
ko:K00963	kpe:KPK_2106
ko:K03746	kpe:KPK_2107
ko:K00857	kpe:KPK_2108
ko:K09901	kpe:KPK_2119
ko:K03666	kpe:KPK_5098
ko:K03424	kpe:KPK_4778
ko:K02837	kpe:KPK_4782
ko:K03789	kpe:KPK_4784
ko:K02344	kpe:KPK_4785
ko:K02761	kpe:KPK_4794
ko:K00481	kpe:KPK_4799
ko:K02317	kpe:KPK_4802
ko:K05795	kpe:KPK_A0197
ko:K05795	kpe:KPK_A0198
ko:K05792	kpe:KPK_A0201
ko:K05966	kpe:KPK_4711
ko:K05800	kpe:KPK_4272
ko:K01738	kpe:KPK_4273
ko:K06920	kpe:KPK_4276
ko:K03770	kpe:KPK_4279
ko:K03530	kpe:KPK_4280
ko:K01338	kpe:KPK_4281
ko:K03544	kpe:KPK_4282
ko:K03545	kpe:KPK_4284
ko:K07286	kpe:KPK_4287
ko:K08218	kpe:KPK_4288
ko:K02297	kpe:KPK_4289
ko:K02298	kpe:KPK_4290
ko:K02299	kpe:KPK_4291
ko:K02300	kpe:KPK_4292
ko:K00014	kpe:KPK_4297
ko:K09767	kpe:KPK_4305
ko:K00077	kpe:KPK_4306
ko:K03152	kpe:KPK_4307
ko:K03151	kpe:KPK_4309
ko:K03602	kpe:KPK_4310
ko:K00795	kpe:KPK_4311
ko:K01662	kpe:KPK_4312
ko:K01095	kpe:KPK_4314
ko:K00946	kpe:KPK_4315
ko:K03625	kpe:KPK_4316
ko:K00794	kpe:KPK_4317
ko:K07738	kpe:KPK_4319
ko:K05517	kpe:KPK_4321
ko:K06996	kpe:KPK_4323
ko:K03074	kpe:KPK_4324
ko:K03072	kpe:KPK_4325
ko:K03210	kpe:KPK_4326
ko:K00773	kpe:KPK_4327
ko:K07568	kpe:KPK_4328
ko:K05539	kpe:KPK_5239
ko:K09823	kpe:KPK_5241
ko:K03327	kpe:KPK_5244
ko:K01356	kpe:KPK_5245
ko:K00901	kpe:KPK_5246
ko:K00631	kpe:KPK_5247
ko:K03179	kpe:KPK_5248
ko:K03181	kpe:KPK_5249
ko:K05775	kpe:KPK_5250
ko:K10111	kpe:KPK_5252
ko:K10108	kpe:KPK_5253
ko:K10110	kpe:KPK_5255
ko:K01810	kpe:KPK_5259
ko:K00928	kpe:KPK_5260
ko:K03453	kpe:KPK_5261
ko:K06182	kpe:KPK_5264
ko:K00068	kpe:KPK_5267
ko:K00014	kpe:KPK_5273
ko:K00548	kpe:KPK_5275
ko:K01637	kpe:KPK_5278
ko:K01638	kpe:KPK_5279
ko:K00651	kpe:KPK_5280
ko:K01945	kpe:KPK_5288
ko:K07713	kpe:KPK_5287
ko:K07709	kpe:KPK_5289
ko:K07803	kpe:KPK_5290
ko:K09891	kpe:KPK_5293
ko:K05982	kpe:KPK_5294
ko:K01599	kpe:KPK_5295
ko:K02821	kpe:KPK_4333
ko:K02822	kpe:KPK_4334
ko:K03475	kpe:KPK_4335
ko:K01624	kpe:KPK_4337
ko:K09932	kpe:KPK_4339
ko:K03311	kpe:KPK_4344
ko:K03547	kpe:KPK_4347
ko:K03546	kpe:KPK_4348
ko:K00847	kpe:KPK_4349
ko:K03554	kpe:KPK_4350
ko:K09913	kpe:KPK_4351
ko:K00891	kpe:KPK_4354
ko:K09768	kpe:KPK_4355
ko:K00286	kpe:KPK_4357
ko:K01921	kpe:KPK_4364
ko:K01698	kpe:KPK_4371
ko:K03735	kpe:KPK_4382
ko:K03736	kpe:KPK_4383
ko:K01999	kpe:KPK_4384
ko:K01997	kpe:KPK_4385
ko:K01998	kpe:KPK_4386
ko:K01995	kpe:KPK_4387
ko:K01996	kpe:KPK_4388
ko:K07740	kpe:KPK_5297
ko:K03147	kpe:KPK_5298
ko:K00788	kpe:KPK_5299
ko:K03154	kpe:KPK_5301
ko:K03149	kpe:KPK_5302
ko:K03150	kpe:KPK_5303
ko:K06151	kpe:KPK_2250
ko:K04047	kpe:KPK_3728
ko:K06970	kpe:KPK_3733
ko:K03722	kpe:KPK_3739
ko:K00615	kpe:KPK_3741
ko:K00615	kpe:KPK_3743
ko:K01993	kpe:KPK_3748
ko:K06890	kpe:KPK_3757
ko:K03635	kpe:KPK_3758
ko:K03637	kpe:KPK_3760
ko:K03638	kpe:KPK_3761
ko:K03639	kpe:KPK_3762
ko:K07771	kpe:KPK_3765
ko:K07643	kpe:KPK_3766
ko:K03702	kpe:KPK_3768
ko:K01935	kpe:KPK_3770
ko:K02169	kpe:KPK_3771
ko:K01012	kpe:KPK_3773
ko:K06910	kpe:KPK_3775
ko:K01745	kpe:KPK_3777
ko:K01712	kpe:KPK_3778
ko:K05836	kpe:KPK_3779
ko:K01468	kpe:KPK_3781
ko:K06177	kpe:KPK_4685
ko:K05964	kpe:KPK_4686
ko:K05801	kpe:KPK_4690
ko:K04744	kpe:KPK_4691
ko:K03771	kpe:KPK_4692
ko:K00097	kpe:KPK_4693
ko:K02528	kpe:KPK_4694
ko:K06195	kpe:KPK_4695
ko:K00287	kpe:KPK_4697
ko:K00050	kpe:KPK_4701
ko:K00851	kpe:KPK_4704
ko:K01955	kpe:KPK_4707
ko:K01956	kpe:KPK_4708
ko:K00215	kpe:KPK_4710
ko:K01646	kpe:KPK_4714
ko:K01910	kpe:KPK_4715
ko:K01681	kpe:KPK_4725
ko:K03319	kpe:KPK_4728
ko:K03527	kpe:KPK_4732
ko:K03774	kpe:KPK_4733
ko:K01870	kpe:KPK_4735
ko:K02968	kpe:KPK_4737
ko:K03717	kpe:KPK_4738
ko:K03313	kpe:KPK_4740
ko:K03686	kpe:KPK_4741
ko:K02067	kpe:KPK_A0105
ko:K02065	kpe:KPK_A0106
ko:K02066	kpe:KPK_A0107
ko:K02529	kpe:KPK_A0124
ko:K02018	kpe:KPK_3801
ko:K02020	kpe:KPK_3802
ko:K02019	kpe:KPK_3804
ko:K05776	kpe:KPK_3805
ko:K00849	kpe:KPK_3808
ko:K01626	kpe:KPK_3811
ko:K03811	kpe:KPK_3813
ko:K03517	kpe:KPK_3815
ko:K03640	kpe:KPK_3825
ko:K03641	kpe:KPK_3826
ko:K03646	kpe:KPK_3827
ko:K03560	kpe:KPK_3828
ko:K03562	kpe:KPK_3829
ko:K00426	kpe:KPK_3833
ko:K00425	kpe:KPK_3834
ko:K01902	kpe:KPK_3835
ko:K01903	kpe:KPK_3836
ko:K00164	kpe:KPK_3838
ko:K00240	kpe:KPK_3839
ko:K00239	kpe:KPK_3840
ko:K00242	kpe:KPK_3841
ko:K04043	kpe:KPK_4742
ko:K07034	kpe:KPK_4745
ko:K03831	kpe:KPK_4747
ko:K00616	kpe:KPK_4748
ko:K03310	kpe:KPK_4749
ko:K09861	kpe:KPK_4750
ko:K01733	kpe:KPK_4753
ko:K00872	kpe:KPK_4754
ko:K02533	kpe:KPK_4757
ko:K07773	kpe:KPK_4758
ko:K06143	kpe:KPK_4759
ko:K07641	kpe:KPK_4760
ko:K07663	kpe:KPK_4761
ko:K05805	kpe:KPK_4762
ko:K05804	kpe:KPK_4764
ko:K03720	kpe:KPK_4765
ko:K08309	kpe:KPK_4767
ko:K04485	kpe:KPK_4770
ko:K03800	kpe:KPK_4773
ko:K03784	kpe:KPK_4774
ko:K01839	kpe:KPK_4775
ko:K01619	kpe:KPK_4777
ko:K02760	kpe:KPK_5305
ko:K02759	kpe:KPK_5306
ko:K03046	kpe:KPK_5308
ko:K03043	kpe:KPK_5309
ko:K02935	kpe:KPK_5310
ko:K02864	kpe:KPK_5311
ko:K02863	kpe:KPK_5312
ko:K02867	kpe:KPK_5313
ko:K02601	kpe:KPK_5314
ko:K03073	kpe:KPK_5315
ko:K02358	kpe:KPK_5316
ko:K00867	kpe:KPK_5321
ko:K00075	kpe:KPK_5323
ko:K00230	kpe:KPK_5329
ko:K03498	kpe:KPK_5330
ko:K03182	kpe:KPK_5336
ko:K05785	kpe:KPK_5338
ko:K03118	kpe:KPK_5339
ko:K03117	kpe:KPK_5340
ko:K03116	kpe:KPK_5341
ko:K03688	kpe:KPK_5342
ko:K03690	kpe:KPK_5343
ko:K03183	kpe:KPK_5344
ko:K09760	kpe:KPK_5345
ko:K06871	kpe:KPK_5348
ko:K02809	kpe:KPK_5352
ko:K02810	kpe:KPK_5352
ko:K00549	kpe:KPK_5354
ko:K18922	kpe:KPK_1028
ko:K02504	kpe:KPK_4631
ko:K06940	kpe:KPK_3194
ko:K06190	kpe:KPK_3196
ko:K10806	kpe:KPK_3198
ko:K03781	kpe:KPK_3205
ko:K04064	kpe:KPK_3213
ko:K05526	kpe:KPK_3217
ko:K01484	kpe:KPK_3219
ko:K06447	kpe:KPK_3220
ko:K00673	kpe:KPK_3221
ko:K00840	kpe:KPK_3222
ko:K01142	kpe:KPK_3223
ko:K05777	kpe:KPK_3227
ko:K05779	kpe:KPK_3229
ko:K08320	kpe:KPK_3232
ko:K03169	kpe:KPK_3236
ko:K01008	kpe:KPK_3237
ko:K04773	kpe:KPK_3240
ko:K01424	kpe:KPK_3241
ko:K09916	kpe:KPK_3245
ko:K07305	kpe:KPK_3246
ko:K00134	kpe:KPK_3247
ko:K09808	kpe:KPK_3438
ko:K09808	kpe:KPK_3440
ko:K03723	kpe:KPK_3442
ko:K03885	kpe:KPK_3449
ko:K07000	kpe:KPK_3451
ko:K07337	kpe:KPK_3454
ko:K03424	kpe:KPK_3458
ko:K02341	kpe:KPK_3459
ko:K00943	kpe:KPK_3460
ko:K07082	kpe:KPK_3461
ko:K09458	kpe:KPK_3463
ko:K02078	kpe:KPK_3464
ko:K00645	kpe:KPK_3466
ko:K00648	kpe:KPK_3467
ko:K03621	kpe:KPK_3468
ko:K02911	kpe:KPK_3469
ko:K07040	kpe:KPK_3470
ko:K06179	kpe:KPK_3472
ko:K08300	kpe:KPK_3473
ko:K03980	kpe:KPK_3476
ko:K09915	kpe:KPK_3478
ko:K03790	kpe:KPK_3479
ko:K08162	kpe:KPK_3480
ko:K01465	kpe:KPK_3483
ko:K02846	kpe:KPK_3486
ko:K07146	kpe:KPK_3487
ko:K02517	kpe:KPK_3489
ko:K03669	kpe:KPK_3493
ko:K06131	kpe:KPK_2120
ko:K09780	kpe:KPK_2123
ko:K03832	kpe:KPK_2131
ko:K07283	kpe:KPK_2136
ko:K01868	kpe:KPK_2138
ko:K02520	kpe:KPK_2139
ko:K02916	kpe:KPK_2140
ko:K02887	kpe:KPK_2141
ko:K01889	kpe:KPK_2142
ko:K04764	kpe:KPK_2144
ko:K00285	kpe:KPK_2146
ko:K06073	kpe:KPK_2149
ko:K00432	kpe:KPK_2151
ko:K01192	kpe:KPK_3086
ko:K11065	kpe:KPK_3107
ko:K02586	kpe:KPK_1713
ko:K02591	kpe:KPK_1712
ko:K04103	kpe:KPK_1400
ko:K01582	kpe:KPK_4534
ko:K01581	kpe:KPK_0712
ko:K01961	kpe:KPK_0452
ko:K08723	kpe:KPK_4783
ko:K06925	kpe:KPK_5102
ko:K06949	kpe:KPK_5110
ko:K01613	kpe:KPK_5111
ko:K07308	kpe:KPK_3632
ko:K07306	kpe:KPK_3634
ko:K01875	kpe:KPK_3635
ko:K07478	kpe:KPK_3636
ko:K03634	kpe:KPK_3637
ko:K03466	kpe:KPK_3638
ko:K00384	kpe:KPK_3641
ko:K00684	kpe:KPK_3645
ko:K02518	kpe:KPK_3646
ko:K03694	kpe:KPK_3647
ko:K06891	kpe:KPK_3648
ko:K03704	kpe:KPK_3649
ko:K06188	kpe:KPK_3653
ko:K00156	kpe:KPK_3658
ko:K01620	kpe:KPK_3659
ko:K02452	kpe:KPK_4575
ko:K02453	kpe:KPK_4576
ko:K02454	kpe:KPK_4577
ko:K02456	kpe:KPK_4579
ko:K02457	kpe:KPK_4580
ko:K02458	kpe:KPK_4581
ko:K02459	kpe:KPK_4582
ko:K02460	kpe:KPK_4583
ko:K02461	kpe:KPK_4584
ko:K02462	kpe:KPK_4585
ko:K02463	kpe:KPK_4586
ko:K03579	kpe:KPK_4588
ko:K01975	kpe:KPK_4589
ko:K06206	kpe:KPK_4590
ko:K06204	kpe:KPK_4591
ko:K00950	kpe:KPK_4594
ko:K00606	kpe:KPK_4595
ko:K01918	kpe:KPK_4596
ko:K01579	kpe:KPK_4597
ko:K01673	kpe:KPK_4602
ko:K00760	kpe:KPK_4603
ko:K00797	kpe:KPK_4611
ko:K01611	kpe:KPK_4612
ko:K09910	kpe:KPK_4613
ko:K01682	kpe:KPK_4614
ko:K00382	kpe:KPK_4619
ko:K00627	kpe:KPK_4620
ko:K00163	kpe:KPK_4621
ko:K03807	kpe:KPK_4627
ko:K03806	kpe:KPK_4628
ko:K02108	kpe:KPK_5538
