ko:K19296	ppi:YSA_03112
ko:K02836	ppi:YSA_02657
ko:K11444	ppi:YSA_02659
ko:K13491	ppi:YSA_02662
ko:K13489	ppi:YSA_02665
ko:K13486	ppi:YSA_02668
ko:K13488	ppi:YSA_02670
ko:K13487	ppi:YSA_02672
ko:K02053	ppi:YSA_02684
ko:K00137	ppi:YSA_02685
ko:K01595	ppi:YSA_02639
ko:K07462	ppi:YSA_02694
ko:K01733	ppi:YSA_02707
ko:K00003	ppi:YSA_02709
ko:K03981	ppi:YSA_02710
ko:K02884	ppi:YSA_02717
ko:K00554	ppi:YSA_02719
ko:K02860	ppi:YSA_02721
ko:K03106	ppi:YSA_02724
ko:K08289	ppi:YSA_02730
ko:K06938	ppi:YSA_02733
ko:K11017	ppi:YSA_02740
ko:K11016	ppi:YSA_02743
ko:K07267	ppi:YSA_02753
ko:K00117	ppi:YSA_02756
ko:K01338	ppi:YSA_02760
ko:K15256	ppi:YSA_02764
ko:K15257	ppi:YSA_02767
ko:K07644	ppi:YSA_02772
ko:K03474	ppi:YSA_02774
ko:K03584	ppi:YSA_02776
ko:K03685	ppi:YSA_02779
ko:K03100	ppi:YSA_02784
ko:K03596	ppi:YSA_02785
ko:K03598	ppi:YSA_02791
ko:K03597	ppi:YSA_02793
ko:K03088	ppi:YSA_02795
ko:K00278	ppi:YSA_02798
ko:K09159	ppi:YSA_02801
ko:K06980	ppi:YSA_02802
ko:K07649	ppi:YSA_02805
ko:K07774	ppi:YSA_02807
ko:K07795	ppi:YSA_02811
ko:K03648	ppi:YSA_02821
ko:K08988	ppi:YSA_02839
ko:K05349	ppi:YSA_02842
ko:K10125	ppi:YSA_02845
ko:K10126	ppi:YSA_02847
ko:K01652	ppi:YSA_02867
ko:K07118	ppi:YSA_02874
ko:K03577	ppi:YSA_02882
ko:K03585	ppi:YSA_02885
ko:K01055	ppi:YSA_02899
ko:K01857	ppi:YSA_02900
ko:K07823	ppi:YSA_02904
ko:K08195	ppi:YSA_02905
ko:K02624	ppi:YSA_02907
ko:K06915	ppi:YSA_02919
ko:K01433	ppi:YSA_02930
ko:K01141	ppi:YSA_02934
ko:K00873	ppi:YSA_02938
ko:K04077	ppi:YSA_02940
ko:K04078	ppi:YSA_02943
ko:K07113	ppi:YSA_02944
ko:K07226	ppi:YSA_02946
ko:K07443	ppi:YSA_02948
ko:K08218	ppi:YSA_02951
ko:K08160	ppi:YSA_02953
ko:K09767	ppi:YSA_02958
ko:K00077	ppi:YSA_02960
ko:K00611	ppi:YSA_07234
ko:K07390	ppi:YSA_07240
ko:K03594	ppi:YSA_07242
ko:K02192	ppi:YSA_07246
ko:K03683	ppi:YSA_07253
ko:K01465	ppi:YSA_07254
ko:K01940	ppi:YSA_07257
ko:K07690	ppi:YSA_07262
ko:K10773	ppi:YSA_07266
ko:K01874	ppi:YSA_07273
ko:K03704	ppi:YSA_07278
ko:K01494	ppi:YSA_07280
ko:K03724	ppi:YSA_07285
ko:K06987	ppi:YSA_07287
ko:K00640	ppi:YSA_07294
ko:K09858	ppi:YSA_07301
ko:K08993	ppi:YSA_07307
ko:K00275	ppi:YSA_07320
ko:K06077	ppi:YSA_07324
ko:K03313	ppi:YSA_07326
ko:K07137	ppi:YSA_07328
ko:K08985	ppi:YSA_07329
ko:K01996	ppi:YSA_07330
ko:K01995	ppi:YSA_07331
ko:K01998	ppi:YSA_07333
ko:K01997	ppi:YSA_07335
ko:K01999	ppi:YSA_07338
ko:K03580	ppi:YSA_07354
ko:K01881	ppi:YSA_07489
ko:K03745	ppi:YSA_07499
ko:K03704	ppi:YSA_07502
ko:K01876	ppi:YSA_07507
ko:K01159	ppi:YSA_07510
ko:K03550	ppi:YSA_07512
ko:K03551	ppi:YSA_07513
ko:K01075	ppi:YSA_07517
ko:K03562	ppi:YSA_07519
ko:K03641	ppi:YSA_07526
ko:K03640	ppi:YSA_07528
ko:K10026	ppi:YSA_07532
ko:K06920	ppi:YSA_07533
ko:K14052	ppi:YSA_07542
ko:K03517	ppi:YSA_07550
ko:K03564	ppi:YSA_07556
ko:K03567	ppi:YSA_07558
ko:K01714	ppi:YSA_07560
ko:K07287	ppi:YSA_07561
ko:K01923	ppi:YSA_07564
ko:K12658	ppi:YSA_07696
ko:K03638	ppi:YSA_07704
ko:K03639	ppi:YSA_07706
ko:K05800	ppi:YSA_07713
ko:K09794	ppi:YSA_07717
ko:K03760	ppi:YSA_07719
ko:K03684	ppi:YSA_07722
ko:K09902	ppi:YSA_07724
ko:K09160	ppi:YSA_07729
ko:K01354	ppi:YSA_07737
ko:K07160	ppi:YSA_07749
ko:K09989	ppi:YSA_07753
ko:K01738	ppi:YSA_07758
ko:K00906	ppi:YSA_07769
ko:K00243	ppi:YSA_07772
ko:K07058	ppi:YSA_07778
ko:K01462	ppi:YSA_07780
ko:K03088	ppi:YSA_07789
ko:K09780	ppi:YSA_07897
ko:K06190	ppi:YSA_07898
ko:K07053	ppi:YSA_07900
ko:K05896	ppi:YSA_07902
ko:K06024	ppi:YSA_07904
ko:K06178	ppi:YSA_07906
ko:K00568	ppi:YSA_02248
ko:K01980	ppi:YSA_11577
ko:K00500	ppi:YSA_07921
ko:K03721	ppi:YSA_07924
ko:K01895	ppi:YSA_07927
ko:K10022	ppi:YSA_07931
ko:K10023	ppi:YSA_07934
ko:K00673	ppi:YSA_07943
ko:K00673	ppi:YSA_07944
ko:K06447	ppi:YSA_07946
ko:K01484	ppi:YSA_07947
ko:K05526	ppi:YSA_07951
ko:K01872	ppi:YSA_07953
ko:K00928	ppi:YSA_07955
ko:K03563	ppi:YSA_07957
ko:K06213	ppi:YSA_07966
ko:K05774	ppi:YSA_07974
ko:K00382	ppi:YSA_07988
ko:K02415	ppi:YSA_08103
ko:K02416	ppi:YSA_08105
ko:K02417	ppi:YSA_08106
ko:K02418	ppi:YSA_08107
ko:K02419	ppi:YSA_08109
ko:K02420	ppi:YSA_08111
ko:K02421	ppi:YSA_08113
ko:K02401	ppi:YSA_08114
ko:K01921	ppi:YSA_08119
ko:K01921	ppi:YSA_08133
ko:K02400	ppi:YSA_08139
ko:K02404	ppi:YSA_08140
ko:K04562	ppi:YSA_08143
ko:K02405	ppi:YSA_08144
ko:K03413	ppi:YSA_08145
ko:K03414	ppi:YSA_08147
ko:K03407	ppi:YSA_08150
ko:K03412	ppi:YSA_08153
ko:K02556	ppi:YSA_08156
ko:K02557	ppi:YSA_08157
ko:K03408	ppi:YSA_08162
ko:K03408	ppi:YSA_08164
ko:K04061	ppi:YSA_08169
ko:K02194	ppi:YSA_08174
ko:K02195	ppi:YSA_08176
ko:K02196	ppi:YSA_08177
ko:K02197	ppi:YSA_08179
ko:K02198	ppi:YSA_08181
ko:K02199	ppi:YSA_08183
ko:K00285	ppi:YSA_08206
ko:K07039	ppi:YSA_07401
ko:K07006	ppi:YSA_07405
ko:K07661	ppi:YSA_07441
ko:K07639	ppi:YSA_07443
ko:K02362	ppi:YSA_07446
ko:K07637	ppi:YSA_07452
ko:K11103	ppi:YSA_07454
ko:K06182	ppi:YSA_07459
ko:K03827	ppi:YSA_07460
ko:K14441	ppi:YSA_07475
ko:K03549	ppi:YSA_07476
ko:K14205	ppi:YSA_07480
ko:K02346	ppi:YSA_07485
ko:K00116	ppi:YSA_07687
ko:K01915	ppi:YSA_07803
ko:K03578	ppi:YSA_07807
ko:K09919	ppi:YSA_07815
ko:K01118	ppi:YSA_07824
ko:K16053	ppi:YSA_07839
ko:K09803	ppi:YSA_07847
ko:K12543	ppi:YSA_07869
ko:K09790	ppi:YSA_07872
ko:K07039	ppi:YSA_07873
ko:K03654	ppi:YSA_07875
ko:K07001	ppi:YSA_07878
ko:K07401	ppi:YSA_07880
ko:K09699	ppi:YSA_07990
ko:K00167	ppi:YSA_07992
ko:K00166	ppi:YSA_07994
ko:K01915	ppi:YSA_07998
ko:K02399	ppi:YSA_08008
ko:K02398	ppi:YSA_08009
ko:K02386	ppi:YSA_08012
ko:K03415	ppi:YSA_08016
ko:K02387	ppi:YSA_08020
ko:K02388	ppi:YSA_08021
ko:K02389	ppi:YSA_08023
ko:K02390	ppi:YSA_08026
ko:K02391	ppi:YSA_08032
ko:K02392	ppi:YSA_08034
ko:K02393	ppi:YSA_08035
ko:K02394	ppi:YSA_08037
ko:K02395	ppi:YSA_08040
ko:K02396	ppi:YSA_08042
ko:K02397	ppi:YSA_08046
ko:K00978	ppi:YSA_08053
ko:K01709	ppi:YSA_08054
ko:K12452	ppi:YSA_08055
ko:K01652	ppi:YSA_08062
ko:K00648	ppi:YSA_08068
ko:K02406	ppi:YSA_08069
ko:K02407	ppi:YSA_08073
ko:K02422	ppi:YSA_08075
ko:K10941	ppi:YSA_08079
ko:K02408	ppi:YSA_08086
ko:K02409	ppi:YSA_08088
ko:K02410	ppi:YSA_08090
ko:K02411	ppi:YSA_08091
ko:K02412	ppi:YSA_08093
ko:K02413	ppi:YSA_08095
ko:K06969	ppi:YSA_08218
ko:K02048	ppi:YSA_08227
ko:K10716	ppi:YSA_08229
ko:K08717	ppi:YSA_08232
ko:K00873	ppi:YSA_08234
ko:K01608	ppi:YSA_08241
ko:K09781	ppi:YSA_08247
ko:K01483	ppi:YSA_08259
ko:K07127	ppi:YSA_08265
ko:K06901	ppi:YSA_08268
ko:K06188	ppi:YSA_08276
ko:K07402	ppi:YSA_08279
ko:K13482	ppi:YSA_08281
ko:K13481	ppi:YSA_08283
ko:K03529	ppi:YSA_08289
ko:K03528	ppi:YSA_08291
ko:K01972	ppi:YSA_08292
ko:K02343	ppi:YSA_08305
ko:K09747	ppi:YSA_08306
ko:K06187	ppi:YSA_08308
ko:K00759	ppi:YSA_08311
ko:K03521	ppi:YSA_08414
ko:K03522	ppi:YSA_08415
ko:K06940	ppi:YSA_08424
ko:K01647	ppi:YSA_08431
ko:K00242	ppi:YSA_08435
ko:K00239	ppi:YSA_08437
ko:K00240	ppi:YSA_08439
ko:K00164	ppi:YSA_08441
ko:K00658	ppi:YSA_08442
ko:K00382	ppi:YSA_08443
ko:K01903	ppi:YSA_08445
ko:K01902	ppi:YSA_08447
ko:K03311	ppi:YSA_08449
ko:K16088	ppi:YSA_08475
ko:K06160	ppi:YSA_08482
ko:K05685	ppi:YSA_08490
ko:K13888	ppi:YSA_08492
ko:K04079	ppi:YSA_08500
ko:K06911	ppi:YSA_08503
ko:K01716	ppi:YSA_08507
ko:K00057	ppi:YSA_08514
ko:K08296	ppi:YSA_08518
ko:K03306	ppi:YSA_08641
ko:K03703	ppi:YSA_08650
ko:K00995	ppi:YSA_08651
ko:K01968	ppi:YSA_08663
ko:K13766	ppi:YSA_08666
ko:K01969	ppi:YSA_08667
ko:K16147	ppi:YSA_08674
ko:K05343	ppi:YSA_08677
ko:K06044	ppi:YSA_08690
ko:K00705	ppi:YSA_08693
ko:K01236	ppi:YSA_08695
ko:K00703	ppi:YSA_08696
ko:K00036	ppi:YSA_08703
ko:K06996	ppi:YSA_08706
ko:K01464	ppi:YSA_08712
ko:K03098	ppi:YSA_08718
ko:K04033	ppi:YSA_08848
ko:K03313	ppi:YSA_08909
ko:K01032	ppi:YSA_08918
ko:K01031	ppi:YSA_08920
ko:K02034	ppi:YSA_08943
ko:K00074	ppi:YSA_09374
ko:K03449	ppi:YSA_09383
ko:K00375	ppi:YSA_09386
ko:K11477	ppi:YSA_09388
ko:K11473	ppi:YSA_09389
ko:K11472	ppi:YSA_09391
ko:K11474	ppi:YSA_09393
ko:K05515	ppi:YSA_09398
ko:K11475	ppi:YSA_09405
ko:K02003	ppi:YSA_09412
ko:K02205	ppi:YSA_09425
ko:K15866	ppi:YSA_09428
ko:K01775	ppi:YSA_09436
ko:K12252	ppi:YSA_09437
ko:K04023	ppi:YSA_09450
ko:K03464	ppi:YSA_09463
ko:K03381	ppi:YSA_09465
ko:K06222	ppi:YSA_09469
ko:K09792	ppi:YSA_08316
ko:K09926	ppi:YSA_08320
ko:K00406	ppi:YSA_08324
ko:K00407	ppi:YSA_08326
ko:K00405	ppi:YSA_08327
ko:K00404	ppi:YSA_08329
ko:K00406	ppi:YSA_08333
ko:K00407	ppi:YSA_08334
ko:K00405	ppi:YSA_08335
ko:K00404	ppi:YSA_08338
ko:K07020	ppi:YSA_08339
ko:K09913	ppi:YSA_08340
ko:K03088	ppi:YSA_08347
ko:K03805	ppi:YSA_08361
ko:K04084	ppi:YSA_08363
ko:K07402	ppi:YSA_08370
ko:K07141	ppi:YSA_08372
ko:K00836	ppi:YSA_08391
ko:K03088	ppi:YSA_08400
ko:K13651	ppi:YSA_08406
ko:K13655	ppi:YSA_08408
ko:K00311	ppi:YSA_08409
ko:K01546	ppi:YSA_08530
ko:K01547	ppi:YSA_08532
ko:K01548	ppi:YSA_08534
ko:K07646	ppi:YSA_08538
ko:K07667	ppi:YSA_08541
ko:K13896	ppi:YSA_08550
ko:K13895	ppi:YSA_08551
ko:K13894	ppi:YSA_08554
ko:K13893	ppi:YSA_08556
ko:K13893	ppi:YSA_08558
ko:K08307	ppi:YSA_08559
ko:K01584	ppi:YSA_08568
ko:K00343	ppi:YSA_08586
ko:K00342	ppi:YSA_08587
ko:K00341	ppi:YSA_08589
ko:K00340	ppi:YSA_08590
ko:K00339	ppi:YSA_08592
ko:K00338	ppi:YSA_08595
ko:K00337	ppi:YSA_08597
ko:K00334	ppi:YSA_08603
ko:K13378	ppi:YSA_08604
ko:K00331	ppi:YSA_08606
ko:K00330	ppi:YSA_08608
ko:K01637	ppi:YSA_08612
ko:K02355	ppi:YSA_08623
ko:K03314	ppi:YSA_08720
ko:K03426	ppi:YSA_08723
ko:K07090	ppi:YSA_08724
ko:K01756	ppi:YSA_08737
ko:K07153	ppi:YSA_08739
ko:K00566	ppi:YSA_08741
ko:K00031	ppi:YSA_08745
ko:K00031	ppi:YSA_08749
ko:K03704	ppi:YSA_08750
ko:K06891	ppi:YSA_08754
ko:K03694	ppi:YSA_08755
ko:K02518	ppi:YSA_08756
ko:K00684	ppi:YSA_08762
ko:K03466	ppi:YSA_08766
ko:K03634	ppi:YSA_08768
ko:K07478	ppi:YSA_08770
ko:K06199	ppi:YSA_08772
ko:K01875	ppi:YSA_08774
ko:K02302	ppi:YSA_08776
ko:K07237	ppi:YSA_08785
ko:K07236	ppi:YSA_08786
ko:K07235	ppi:YSA_08789
ko:K00873	ppi:YSA_08814
ko:K01689	ppi:YSA_08818
ko:K14974	ppi:YSA_08966
ko:K15357	ppi:YSA_08969
ko:K01799	ppi:YSA_08971
ko:K07090	ppi:YSA_08988
ko:K15977	ppi:YSA_09234
ko:K08482	ppi:YSA_09241
ko:K03168	ppi:YSA_09244
ko:K02018	ppi:YSA_09248
ko:K02020	ppi:YSA_09249
ko:K00459	ppi:YSA_09251
ko:K00963	ppi:YSA_09267
ko:K03782	ppi:YSA_09477
ko:K08688	ppi:YSA_09478
ko:K03762	ppi:YSA_09480
ko:K00998	ppi:YSA_09482
ko:K06966	ppi:YSA_09487
ko:K05548	ppi:YSA_09498
ko:K03885	ppi:YSA_09534
ko:K00145	ppi:YSA_09550
ko:K07184	ppi:YSA_09551
ko:K01753	ppi:YSA_09670
ko:K13629	ppi:YSA_09672
ko:K07395	ppi:YSA_09677
ko:K00549	ppi:YSA_09702
ko:K01142	ppi:YSA_09719
ko:K03893	ppi:YSA_09735
ko:K05520	ppi:YSA_09747
ko:K01685	ppi:YSA_09888
ko:K07234	ppi:YSA_09901
ko:K03190	ppi:YSA_09904
ko:K01430	ppi:YSA_09905
ko:K01429	ppi:YSA_09907
ko:K01428	ppi:YSA_09908
ko:K03187	ppi:YSA_09910
ko:K03192	ppi:YSA_09911
ko:K03188	ppi:YSA_09913
ko:K03189	ppi:YSA_09914
ko:K03811	ppi:YSA_09944
ko:K06153	ppi:YSA_09949
ko:K01118	ppi:YSA_09954
ko:K03885	ppi:YSA_09956
ko:K00116	ppi:YSA_10068
ko:K00012	ppi:YSA_10069
ko:K13747	ppi:YSA_10079
ko:K01778	ppi:YSA_10112
ko:K09962	ppi:YSA_10118
ko:K00428	ppi:YSA_10129
ko:K03734	ppi:YSA_10137
ko:K01721	ppi:YSA_10157
ko:K06886	ppi:YSA_10160
ko:K09958	ppi:YSA_10170
ko:K05549	ppi:YSA_10646
ko:K05550	ppi:YSA_10647
ko:K05784	ppi:YSA_10649
ko:K05783	ppi:YSA_10652
ko:K05548	ppi:YSA_10653
ko:K03381	ppi:YSA_10654
ko:K05782	ppi:YSA_10657
ko:K10680	ppi:YSA_10665
ko:K02647	ppi:YSA_10671
ko:K00865	ppi:YSA_10672
ko:K03707	ppi:YSA_10688
ko:K03707	ppi:YSA_10690
ko:K10974	ppi:YSA_10692
ko:K01754	ppi:YSA_10699
ko:K08995	ppi:YSA_10711
ko:K07507	ppi:YSA_10717
ko:K15746	ppi:YSA_10718
ko:K03453	ppi:YSA_10721
ko:K07223	ppi:YSA_10722
ko:K03301	ppi:YSA_10727
ko:K02040	ppi:YSA_09272
ko:K02053	ppi:YSA_09276
ko:K14652	ppi:YSA_09281
ko:K09816	ppi:YSA_09300
ko:K09817	ppi:YSA_09302
ko:K07262	ppi:YSA_09313
ko:K00014	ppi:YSA_09349
ko:K03412	ppi:YSA_09366
ko:K07303	ppi:YSA_09571
ko:K07302	ppi:YSA_09572
ko:K09136	ppi:YSA_09577
ko:K16090	ppi:YSA_09593
ko:K09936	ppi:YSA_09598
ko:K01707	ppi:YSA_09616
ko:K07010	ppi:YSA_09618
ko:K06138	ppi:YSA_09647
ko:K06876	ppi:YSA_09757
ko:K00574	ppi:YSA_09760
ko:K09701	ppi:YSA_09761
ko:K00948	ppi:YSA_09783
ko:K01995	ppi:YSA_09791
ko:K01997	ppi:YSA_09793
ko:K01998	ppi:YSA_09795
ko:K01999	ppi:YSA_09800
ko:K01996	ppi:YSA_09802
ko:K01995	ppi:YSA_09832
ko:K01997	ppi:YSA_09834
ko:K01998	ppi:YSA_09835
ko:K01999	ppi:YSA_09836
ko:K15268	ppi:YSA_09967
ko:K14347	ppi:YSA_09981
ko:K03781	ppi:YSA_09997
ko:K03088	ppi:YSA_09998
ko:K01142	ppi:YSA_10000
ko:K07278	ppi:YSA_10006
ko:K09800	ppi:YSA_10008
ko:K03269	ppi:YSA_10025
ko:K01886	ppi:YSA_10029
ko:K01883	ppi:YSA_10030
ko:K15735	ppi:YSA_10036
ko:K15737	ppi:YSA_10038
ko:K15736	ppi:YSA_10040
ko:K07178	ppi:YSA_10046
ko:K01698	ppi:YSA_10047
ko:K03762	ppi:YSA_10051
ko:K00793	ppi:YSA_10054
ko:K07160	ppi:YSA_10061
ko:K03284	ppi:YSA_10184
ko:K03321	ppi:YSA_08620
ko:K07124	ppi:YSA_10208
ko:K00077	ppi:YSA_10228
ko:K00014	ppi:YSA_10234
ko:K03786	ppi:YSA_10236
ko:K03088	ppi:YSA_10243
ko:K03119	ppi:YSA_10266
ko:K07002	ppi:YSA_10282
ko:K08276	ppi:YSA_10413
ko:K00019	ppi:YSA_10414
ko:K13895	ppi:YSA_10420
ko:K13894	ppi:YSA_10421
ko:K13893	ppi:YSA_10423
ko:K01626	ppi:YSA_10425
ko:K07088	ppi:YSA_10438
ko:K03701	ppi:YSA_10445
ko:K11902	ppi:YSA_10446
ko:K11903	ppi:YSA_10449
ko:K11891	ppi:YSA_10450
ko:K11890	ppi:YSA_10452
ko:K11891	ppi:YSA_10455
ko:K11892	ppi:YSA_10457
ko:K11893	ppi:YSA_10459
ko:K11906	ppi:YSA_10461
ko:K11907	ppi:YSA_10463
ko:K11895	ppi:YSA_10464
ko:K11896	ppi:YSA_10466
ko:K11897	ppi:YSA_10467
ko:K11900	ppi:YSA_10469
ko:K11901	ppi:YSA_10471
ko:K06048	ppi:YSA_10734
ko:K10979	ppi:YSA_10736
ko:K02618	ppi:YSA_10772
ko:K14393	ppi:YSA_10778
ko:K02613	ppi:YSA_10779
ko:K02612	ppi:YSA_10781
ko:K02611	ppi:YSA_10782
ko:K02610	ppi:YSA_10783
ko:K02609	ppi:YSA_10784
ko:K01912	ppi:YSA_10788
ko:K00074	ppi:YSA_10793
ko:K15866	ppi:YSA_10795
ko:K02616	ppi:YSA_10800
ko:K13993	ppi:YSA_10822
ko:K03798	ppi:YSA_10830
ko:K03464	ppi:YSA_10964
ko:K10805	ppi:YSA_10969
ko:K01031	ppi:YSA_10972
ko:K15034	ppi:YSA_11034
ko:K00156	ppi:YSA_11044
ko:K13483	ppi:YSA_11046
ko:K11178	ppi:YSA_11048
ko:K11892	ppi:YSA_11158
ko:K01640	ppi:YSA_11180
ko:K04335	ppi:YSA_11188
ko:K03919	ppi:YSA_11191
ko:K06911	ppi:YSA_11198
ko:K02189	ppi:YSA_11210
ko:K05936	ppi:YSA_11212
ko:K07679	ppi:YSA_11219
ko:K06145	ppi:YSA_11223
ko:K02456	ppi:YSA_11235
ko:K02455	ppi:YSA_11236
ko:K06967	ppi:YSA_11357
ko:K08303	ppi:YSA_11362
ko:K13580	ppi:YSA_11372
ko:K08195	ppi:YSA_10547
ko:K01356	ppi:YSA_10549
ko:K14161	ppi:YSA_10555
ko:K01028	ppi:YSA_10561
ko:K01029	ppi:YSA_10563
ko:K02106	ppi:YSA_10567
ko:K01991	ppi:YSA_10575
ko:K00640	ppi:YSA_10595
ko:K01752	ppi:YSA_10611
ko:K01915	ppi:YSA_10618
ko:K08324	ppi:YSA_10621
ko:K07112	ppi:YSA_10844
ko:K07112	ppi:YSA_10845
ko:K00141	ppi:YSA_10876
ko:K06999	ppi:YSA_10890
ko:K01821	ppi:YSA_10900
ko:K15977	ppi:YSA_10901
ko:K11177	ppi:YSA_11050
ko:K09458	ppi:YSA_11075
ko:K09007	ppi:YSA_11080
ko:K06991	ppi:YSA_11090
ko:K01652	ppi:YSA_11118
ko:K07018	ppi:YSA_11123
ko:K01150	ppi:YSA_11136
ko:K06151	ppi:YSA_11149
ko:K06152	ppi:YSA_11151
ko:K00457	ppi:YSA_11254
ko:K01754	ppi:YSA_11276
ko:K03585	ppi:YSA_11285
ko:K03752	ppi:YSA_11289
ko:K06871	ppi:YSA_11297
ko:K06214	ppi:YSA_11312
ko:K04338	ppi:YSA_11314
ko:K04337	ppi:YSA_11315
ko:K02456	ppi:YSA_11318
ko:K02456	ppi:YSA_11319
ko:K02453	ppi:YSA_11321
ko:K07152	ppi:YSA_11336
ko:K07675	ppi:YSA_09629
ko:K02617	ppi:YSA_10799
ko:K02230	ppi:YSA_00004
ko:K02444	ppi:YSA_07225
ko:K00864	ppi:YSA_07227
ko:K02440	ppi:YSA_07229
ko:K02234	ppi:YSA_00006
ko:K00826	ppi:YSA_00014
ko:K00798	ppi:YSA_02964
ko:K00620	ppi:YSA_02970
ko:K03070	ppi:YSA_02972
ko:K02535	ppi:YSA_02976
ko:K03531	ppi:YSA_02980
ko:K03590	ppi:YSA_02983
ko:K03589	ppi:YSA_02985
ko:K01921	ppi:YSA_02986
ko:K01924	ppi:YSA_02988
ko:K02563	ppi:YSA_02990
ko:K03588	ppi:YSA_02991
ko:K01925	ppi:YSA_02993
ko:K01000	ppi:YSA_02995
ko:K01929	ppi:YSA_02996
ko:K01928	ppi:YSA_02998
ko:K03587	ppi:YSA_02999
ko:K03586	ppi:YSA_03001
ko:K03438	ppi:YSA_03003
ko:K03925	ppi:YSA_03005
ko:K07056	ppi:YSA_03008
ko:K07121	ppi:YSA_03012
ko:K07460	ppi:YSA_03014
ko:K03271	ppi:YSA_03017
ko:K03600	ppi:YSA_03020
ko:K03599	ppi:YSA_03022
ko:K00413	ppi:YSA_03023
ko:K00412	ppi:YSA_03025
ko:K00411	ppi:YSA_03027
ko:K02996	ppi:YSA_03028
ko:K02871	ppi:YSA_03030
ko:K06916	ppi:YSA_03037
ko:K01867	ppi:YSA_03038
ko:K07018	ppi:YSA_03040
ko:K09908	ppi:YSA_03042
ko:K01761	ppi:YSA_03044
ko:K00955	ppi:YSA_03056
ko:K00957	ppi:YSA_03057
ko:K04691	ppi:YSA_03061
ko:K09972	ppi:YSA_03063
ko:K09971	ppi:YSA_03064
ko:K09970	ppi:YSA_03067
ko:K09969	ppi:YSA_03068
ko:K06999	ppi:YSA_03073
ko:K03732	ppi:YSA_03075
ko:K03636	ppi:YSA_03079
ko:K03637	ppi:YSA_03080
ko:K07175	ppi:YSA_03083
ko:K09861	ppi:YSA_03087
ko:K03543	ppi:YSA_03124
ko:K03088	ppi:YSA_03153
ko:K06200	ppi:YSA_03223
ko:K04485	ppi:YSA_03227
ko:K03282	ppi:YSA_03229
ko:K00528	ppi:YSA_03231
ko:K00426	ppi:YSA_03238
ko:K00425	ppi:YSA_03240
ko:K06901	ppi:YSA_03242
ko:K00448	ppi:YSA_03245
ko:K00449	ppi:YSA_03247
ko:K01652	ppi:YSA_03312
ko:K05365	ppi:YSA_03321
ko:K02013	ppi:YSA_03331
ko:K02015	ppi:YSA_03332
ko:K02016	ppi:YSA_03333
ko:K06206	ppi:YSA_03338
ko:K06204	ppi:YSA_03341
ko:K01894	ppi:YSA_03343
ko:K00950	ppi:YSA_03356
ko:K00606	ppi:YSA_03359
ko:K01918	ppi:YSA_03361
ko:K01810	ppi:YSA_03363
ko:K01895	ppi:YSA_03364
ko:K00962	ppi:YSA_03377
ko:K02956	ppi:YSA_03380
ko:K02834	ppi:YSA_03384
ko:K02519	ppi:YSA_03385
ko:K02600	ppi:YSA_03388
ko:K09748	ppi:YSA_03391
ko:K03075	ppi:YSA_03392
ko:K01803	ppi:YSA_03395
ko:K03431	ppi:YSA_03398
ko:K00796	ppi:YSA_03401
ko:K03798	ppi:YSA_03402
ko:K07574	ppi:YSA_03405
ko:K03624	ppi:YSA_03407
ko:K01955	ppi:YSA_03410
ko:K09945	ppi:YSA_03646
ko:K03579	ppi:YSA_03655
ko:K06181	ppi:YSA_03668
ko:K01241	ppi:YSA_03670
ko:K09456	ppi:YSA_03673
ko:K00941	ppi:YSA_03676
ko:K00788	ppi:YSA_03678
ko:K01845	ppi:YSA_03680
ko:K07042	ppi:YSA_03689
ko:K06189	ppi:YSA_03690
ko:K03820	ppi:YSA_03691
ko:K01869	ppi:YSA_03698
ko:K03643	ppi:YSA_03700
ko:K02340	ppi:YSA_03701
ko:K09890	ppi:YSA_03703
ko:K03644	ppi:YSA_03710
ko:K03801	ppi:YSA_03712
ko:K09158	ppi:YSA_03714
ko:K03642	ppi:YSA_03719
ko:K05837	ppi:YSA_03722
ko:K05515	ppi:YSA_03725
ko:K00783	ppi:YSA_03726
ko:K09710	ppi:YSA_03727
ko:K00969	ppi:YSA_03728
ko:K00147	ppi:YSA_03730
ko:K03652	ppi:YSA_03733
ko:K07157	ppi:YSA_03737
ko:K09918	ppi:YSA_03170
ko:K00263	ppi:YSA_03174
ko:K01555	ppi:YSA_03177
ko:K00451	ppi:YSA_03179
ko:K06205	ppi:YSA_03190
ko:K09932	ppi:YSA_03197
ko:K13938	ppi:YSA_03200
ko:K09948	ppi:YSA_03201
ko:K00549	ppi:YSA_03213
ko:K03923	ppi:YSA_03257
ko:K07090	ppi:YSA_03260
ko:K06995	ppi:YSA_03267
ko:K00140	ppi:YSA_03271
ko:K03581	ppi:YSA_03281
ko:K03582	ppi:YSA_03282
ko:K03583	ppi:YSA_03285
ko:K00053	ppi:YSA_03307
ko:K01653	ppi:YSA_03309
ko:K01956	ppi:YSA_03414
ko:K02204	ppi:YSA_05206
ko:K03673	ppi:YSA_05215
ko:K11066	ppi:YSA_05220
ko:K11102	ppi:YSA_05235
ko:K02065	ppi:YSA_05242
ko:K02066	ppi:YSA_05244
ko:K03324	ppi:YSA_05250
ko:K03300	ppi:YSA_05255
ko:K00325	ppi:YSA_05276
ko:K00324	ppi:YSA_05278
ko:K00324	ppi:YSA_05280
