ko:K10942	psc:A458_13485
ko:K07460	psc:A458_16390
ko:K03271	psc:A458_16395
ko:K03600	psc:A458_16405
ko:K03599	psc:A458_16410
ko:K16345	psc:A458_05150
ko:K02054	psc:A458_18325
ko:K02055	psc:A458_18330
ko:K00413	psc:A458_16415
ko:K00412	psc:A458_16420
ko:K00411	psc:A458_16425
ko:K02996	psc:A458_16430
ko:K02871	psc:A458_16435
ko:K09862	psc:A458_16450
ko:K00859	psc:A458_16455
ko:K02654	psc:A458_16460
ko:K02652	psc:A458_16470
ko:K00955	psc:A458_16505
ko:K00957	psc:A458_16510
ko:K04691	psc:A458_16520
ko:K00817	psc:A458_16525
ko:K00013	psc:A458_16530
ko:K00765	psc:A458_16535
ko:K00790	psc:A458_16540
ko:K00528	psc:A458_17100
ko:K11177	psc:A458_17120
ko:K11178	psc:A458_17125
ko:K13483	psc:A458_17130
ko:K07141	psc:A458_17135
ko:K07402	psc:A458_17140
ko:K03152	psc:A458_17145
ko:K06901	psc:A458_17150
ko:K03088	psc:A458_17175
ko:K00901	psc:A458_17200
ko:K03750	psc:A458_17290
ko:K03638	psc:A458_17295
ko:K03639	psc:A458_17300
ko:K00373	psc:A458_17315
ko:K00371	psc:A458_17320
ko:K00370	psc:A458_17325
ko:K02575	psc:A458_17330
ko:K02575	psc:A458_17340
ko:K07673	psc:A458_17345
ko:K03701	psc:A458_17945
ko:K03781	psc:A458_17955
ko:K02879	psc:A458_17960
ko:K03040	psc:A458_17965
ko:K02986	psc:A458_17970
ko:K02948	psc:A458_17975
ko:K02952	psc:A458_17980
ko:K02919	psc:A458_17985
ko:K03076	psc:A458_17990
ko:K02876	psc:A458_17995
ko:K02907	psc:A458_18000
ko:K02988	psc:A458_18005
ko:K02881	psc:A458_18010
ko:K02933	psc:A458_18015
ko:K02994	psc:A458_18020
ko:K02954	psc:A458_18025
ko:K02931	psc:A458_18030
ko:K02895	psc:A458_18035
ko:K02874	psc:A458_18040
ko:K02961	psc:A458_18045
ko:K02904	psc:A458_18050
ko:K02878	psc:A458_18055
ko:K02982	psc:A458_18060
ko:K02890	psc:A458_18065
ko:K02965	psc:A458_18070
ko:K02886	psc:A458_18075
ko:K02892	psc:A458_18080
ko:K02926	psc:A458_18085
ko:K02906	psc:A458_18090
ko:K02946	psc:A458_18095
ko:K02358	psc:A458_18100
ko:K02355	psc:A458_18105
ko:K02992	psc:A458_18110
ko:K02950	psc:A458_18115
ko:K03046	psc:A458_18120
ko:K03043	psc:A458_18125
ko:K02935	psc:A458_18130
ko:K02864	psc:A458_18135
ko:K02863	psc:A458_18140
ko:K02867	psc:A458_18145
ko:K02601	psc:A458_18150
ko:K03073	psc:A458_18155
ko:K03525	psc:A458_18170
ko:K07636	psc:A458_19250
ko:K01999	psc:A458_19280
ko:K01995	psc:A458_19285
ko:K01996	psc:A458_19290
ko:K01997	psc:A458_19295
ko:K01998	psc:A458_19300
ko:K13292	psc:A458_19315
ko:K08484	psc:A458_19330
ko:K08311	psc:A458_19335
ko:K01754	psc:A458_19350
ko:K01807	psc:A458_19355
ko:K09946	psc:A458_19360
ko:K04335	psc:A458_19420
ko:K07637	psc:A458_19445
ko:K05567	psc:A458_19475
ko:K05571	psc:A458_19490
ko:K05569	psc:A458_19500
ko:K09962	psc:A458_20185
ko:K00868	psc:A458_20205
ko:K01951	psc:A458_20220
ko:K14261	psc:A458_20230
ko:K03778	psc:A458_20235
ko:K09950	psc:A458_20245
ko:K01589	psc:A458_20255
ko:K01588	psc:A458_20260
ko:K00457	psc:A458_20270
ko:K01744	psc:A458_20285
ko:K00375	psc:A458_20295
ko:K07734	psc:A458_20300
ko:K03310	psc:A458_20315
ko:K01673	psc:A458_20330
ko:K01425	psc:A458_20335
ko:K07086	psc:A458_20345
ko:K01960	psc:A458_20350
ko:K00036	psc:A458_20370
ko:K06718	psc:A458_20375
ko:K00836	psc:A458_20380
ko:K02066	psc:A458_20945
ko:K02065	psc:A458_20950
ko:K01993	psc:A458_20965
ko:K13926	psc:A458_20970
ko:K00973	psc:A458_20985
ko:K01790	psc:A458_20990
ko:K00067	psc:A458_20995
ko:K10125	psc:A458_21000
ko:K10126	psc:A458_21005
ko:K16087	psc:A458_21045
ko:K07234	psc:A458_21065
ko:K11074	psc:A458_21070
ko:K11075	psc:A458_21075
ko:K11076	psc:A458_21080
ko:K11073	psc:A458_21085
ko:K11073	psc:A458_21090
ko:K12256	psc:A458_21095
ko:K01915	psc:A458_21100
ko:K07010	psc:A458_21105
ko:K01915	psc:A458_21110
ko:K12251	psc:A458_21120
ko:K10536	psc:A458_21125
ko:K00822	psc:A458_21215
ko:K03536	psc:A458_21795
ko:K01069	psc:A458_09515
ko:K16088	psc:A458_19600
ko:K09956	psc:A458_19605
ko:K11614	psc:A458_19630
ko:K06207	psc:A458_19650
ko:K03151	psc:A458_19655
ko:K01915	psc:A458_19660
ko:K07708	psc:A458_19675
ko:K07712	psc:A458_19680
ko:K03216	psc:A458_19690
ko:K01419	psc:A458_19700
ko:K03667	psc:A458_19705
ko:K03183	psc:A458_19720
ko:K03690	psc:A458_19725
ko:K03688	psc:A458_19730
ko:K03116	psc:A458_19745
ko:K03117	psc:A458_19750
ko:K03118	psc:A458_19755
ko:K07560	psc:A458_19770
ko:K03098	psc:A458_19785
ko:K03841	psc:A458_19800
ko:K00688	psc:A458_19805
ko:K06940	psc:A458_19810
ko:K08312	psc:A458_19825
ko:K06720	psc:A458_20385
ko:K10674	psc:A458_20390
ko:K00928	psc:A458_20395
ko:K09794	psc:A458_20400
ko:K08303	psc:A458_20405
ko:K03657	psc:A458_20415
ko:K00123	psc:A458_20445
ko:K00123	psc:A458_20450
ko:K02380	psc:A458_20465
ko:K01042	psc:A458_20470
ko:K03833	psc:A458_20475
ko:K00574	psc:A458_20510
ko:K10125	psc:A458_20530
ko:K10126	psc:A458_20535
ko:K03088	psc:A458_20540
ko:K07088	psc:A458_20600
ko:K04761	psc:A458_20620
ko:K03655	psc:A458_20625
ko:K02462	psc:A458_20635
ko:K02461	psc:A458_20640
ko:K02460	psc:A458_20645
ko:K02459	psc:A458_20650
ko:K09823	psc:A458_21225
ko:K09817	psc:A458_21230
ko:K09816	psc:A458_21235
ko:K07043	psc:A458_21240
ko:K03781	psc:A458_21250
ko:K02071	psc:A458_21255
ko:K02072	psc:A458_21260
ko:K02073	psc:A458_21265
ko:K06991	psc:A458_21275
ko:K01414	psc:A458_21285
ko:K07070	psc:A458_21290
ko:K02275	psc:A458_21320
ko:K02276	psc:A458_21335
ko:K02259	psc:A458_21355
ko:K07152	psc:A458_21365
ko:K03088	psc:A458_21385
ko:K07233	psc:A458_21455
ko:K13766	psc:A458_04600
ko:K01969	psc:A458_04605
ko:K01995	psc:A458_04635
ko:K01996	psc:A458_04640
ko:K01999	psc:A458_04645
ko:K01997	psc:A458_04650
ko:K01998	psc:A458_04655
ko:K01153	psc:A458_04685
ko:K01154	psc:A458_04695
ko:K03427	psc:A458_04705
ko:K06942	psc:A458_04715
ko:K01056	psc:A458_04720
ko:K02897	psc:A458_04725
ko:K00948	psc:A458_04730
ko:K00919	psc:A458_04735
ko:K02494	psc:A458_04740
ko:K02492	psc:A458_04750
ko:K02835	psc:A458_04755
ko:K02493	psc:A458_04760
ko:K01776	psc:A458_04770
ko:K00761	psc:A458_04790
ko:K00760	psc:A458_04795
ko:K09918	psc:A458_04820
ko:K03070	psc:A458_04835
ko:K00620	psc:A458_04840
ko:K03648	psc:A458_05720
ko:K08995	psc:A458_05725
ko:K06980	psc:A458_05735
ko:K09159	psc:A458_05740
ko:K00278	psc:A458_05745
ko:K03088	psc:A458_05750
ko:K03597	psc:A458_05755
ko:K03598	psc:A458_05760
ko:K03596	psc:A458_05775
ko:K03100	psc:A458_05780
ko:K03685	psc:A458_05790
ko:K03584	psc:A458_05800
ko:K03474	psc:A458_05805
ko:K15257	psc:A458_05825
ko:K15256	psc:A458_05830
ko:K01338	psc:A458_05840
ko:K13821	psc:A458_05850
ko:K02624	psc:A458_05895
ko:K01040	psc:A458_05905
ko:K07823	psc:A458_05910
ko:K01055	psc:A458_05915
ko:K06975	psc:A458_10685
ko:K10804	psc:A458_10705
ko:K02003	psc:A458_10710
ko:K04760	psc:A458_10720
ko:K03424	psc:A458_10740
ko:K09967	psc:A458_10760
ko:K09967	psc:A458_10765
ko:K00641	psc:A458_10840
ko:K01915	psc:A458_10845
ko:K07235	psc:A458_10875
ko:K07236	psc:A458_10880
ko:K07237	psc:A458_10885
ko:K01495	psc:A458_10940
ko:K07589	psc:A458_10945
ko:K02407	psc:A458_11525
ko:K02406	psc:A458_11535
ko:K01972	psc:A458_11540
ko:K03528	psc:A458_11545
ko:K03529	psc:A458_11550
ko:K03639	psc:A458_11555
ko:K10716	psc:A458_11560
ko:K02275	psc:A458_11575
ko:K15408	psc:A458_11580
ko:K06968	psc:A458_11600
ko:K01681	psc:A458_11605
ko:K07020	psc:A458_11615
ko:K00404	psc:A458_11620
ko:K00405	psc:A458_11625
ko:K00406	psc:A458_11630
ko:K00404	psc:A458_11635
ko:K00405	psc:A458_11640
ko:K00407	psc:A458_11645
ko:K00406	psc:A458_11650
ko:K09926	psc:A458_11660
ko:K09792	psc:A458_11675
ko:K00759	psc:A458_11695
ko:K07152	psc:A458_11700
ko:K06187	psc:A458_11725
ko:K09747	psc:A458_11730
ko:K02343	psc:A458_11735
ko:K03473	psc:A458_11740
ko:K03327	psc:A458_11745
ko:K00426	psc:A458_11790
ko:K07726	psc:A458_06010
ko:K01993	psc:A458_06030
ko:K06966	psc:A458_06065
ko:K07733	psc:A458_06100
ko:K12055	psc:A458_06105
ko:K01338	psc:A458_06280
ko:K06915	psc:A458_06295
ko:K03630	psc:A458_06390
ko:K01821	psc:A458_06500
ko:K03101	psc:A458_06620
ko:K06076	psc:A458_06685
ko:K07733	psc:A458_06755
ko:K01874	psc:A458_07020
ko:K03704	psc:A458_07030
ko:K01494	psc:A458_07035
ko:K02568	psc:A458_07045
ko:K02567	psc:A458_07050
ko:K02570	psc:A458_07055
ko:K08224	psc:A458_07065
ko:K02742	psc:A458_07070
ko:K14058	psc:A458_07090
ko:K01626	psc:A458_07095
ko:K00425	psc:A458_07120
ko:K00426	psc:A458_07125
ko:K12410	psc:A458_07140
ko:K16092	psc:A458_07165
ko:K02224	psc:A458_07180
ko:K04719	psc:A458_07185
ko:K02016	psc:A458_07190
ko:K02227	psc:A458_07195
ko:K02225	psc:A458_07200
ko:K02232	psc:A458_07205
ko:K02231	psc:A458_07210
ko:K00768	psc:A458_07215
ko:K02233	psc:A458_07225
ko:K02018	psc:A458_07245
ko:K02020	psc:A458_07250
ko:K00432	psc:A458_07255
ko:K06076	psc:A458_07260
ko:K03684	psc:A458_07270
ko:K09902	psc:A458_07275
ko:K09160	psc:A458_07285
ko:K01620	psc:A458_07295
ko:K01872	psc:A458_07300
ko:K00928	psc:A458_07305
ko:K03563	psc:A458_07310
ko:K06213	psc:A458_07320
ko:K01573	psc:A458_07325
ko:K02399	psc:A458_07425
ko:K02398	psc:A458_07430
ko:K02386	psc:A458_07435
ko:K03415	psc:A458_07440
ko:K02387	psc:A458_07450
ko:K02388	psc:A458_07455
ko:K02389	psc:A458_07460
ko:K02390	psc:A458_07465
ko:K02391	psc:A458_07470
ko:K02392	psc:A458_07475
ko:K02393	psc:A458_07480
ko:K00253	psc:A458_04610
ko:K02394	psc:A458_07485
ko:K02395	psc:A458_07490
ko:K02396	psc:A458_07495
ko:K02397	psc:A458_07500
ko:K02237	psc:A458_07505
ko:K03797	psc:A458_07535
ko:K03608	psc:A458_07560
ko:K03609	psc:A458_07565
ko:K03610	psc:A458_07570
ko:K02517	psc:A458_07575
ko:K06911	psc:A458_07580
ko:K04754	psc:A458_07585
ko:K14393	psc:A458_07605
ko:K03449	psc:A458_07615
ko:K01953	psc:A458_07645
ko:K03724	psc:A458_07685
ko:K06182	psc:A458_07710
ko:K00117	psc:A458_07725
ko:K00243	psc:A458_07730
ko:K01153	psc:A458_07770
ko:K03427	psc:A458_07780
ko:K02078	psc:A458_07870
ko:K13053	psc:A458_12120
ko:K16264	psc:A458_21635
ko:K02914	psc:A458_00005
ko:K02313	psc:A458_00010
ko:K02338	psc:A458_00015
ko:K03629	psc:A458_00020
ko:K02470	psc:A458_00025
ko:K03387	psc:A458_00080
ko:K13069	psc:A458_00085
ko:K00655	psc:A458_00090
ko:K09165	psc:A458_00410
ko:K07080	psc:A458_00460
ko:K06167	psc:A458_00475
ko:K05774	psc:A458_00480
ko:K06162	psc:A458_00485
ko:K05780	psc:A458_00490
ko:K05781	psc:A458_00495
ko:K06163	psc:A458_00500
ko:K06164	psc:A458_00505
ko:K06165	psc:A458_00510
ko:K06166	psc:A458_00515
ko:K02043	psc:A458_00520
ko:K02042	psc:A458_00525
ko:K02044	psc:A458_00530
ko:K02041	psc:A458_00535
ko:K13929	psc:A458_00545
ko:K13930	psc:A458_00550
ko:K13931	psc:A458_00555
ko:K13932	psc:A458_00560
ko:K13933	psc:A458_00565
ko:K13934	psc:A458_00570
ko:K13935	psc:A458_00575
ko:K00285	psc:A458_00590
ko:K13928	psc:A458_00595
ko:K03088	psc:A458_00605
ko:K09930	psc:A458_00615
ko:K15977	psc:A458_00625
ko:K11907	psc:A458_00660
ko:K02012	psc:A458_00950
ko:K02011	psc:A458_00955
ko:K00605	psc:A458_00960
ko:K02437	psc:A458_00965
ko:K00281	psc:A458_00970
ko:K03978	psc:A458_00975
ko:K03673	psc:A458_00985
ko:K11066	psc:A458_01000
ko:K07080	psc:A458_01045
ko:K07649	psc:A458_01075
ko:K07774	psc:A458_01080
ko:K07795	psc:A458_01095
ko:K03324	psc:A458_01115
ko:K03583	psc:A458_01125
ko:K03582	psc:A458_01130
ko:K03581	psc:A458_01135
ko:K07088	psc:A458_01145
ko:K10806	psc:A458_01155
ko:K02040	psc:A458_01160
ko:K02037	psc:A458_01165
ko:K02038	psc:A458_01170
ko:K02036	psc:A458_01175
ko:K02039	psc:A458_01180
ko:K07095	psc:A458_01225
ko:K01687	psc:A458_01240
ko:K01638	psc:A458_01835
ko:K05786	psc:A458_01845
ko:K01194	psc:A458_01855
ko:K07154	psc:A458_01910
ko:K01706	psc:A458_01950
ko:K01707	psc:A458_01955
ko:K01706	psc:A458_01965
ko:K07403	psc:A458_02020
ko:K03412	psc:A458_02050
ko:K05802	psc:A458_02065
ko:K13789	psc:A458_02080
ko:K06443	psc:A458_02095
ko:K02291	psc:A458_02105
ko:K15746	psc:A458_02110
ko:K01869	psc:A458_02675
ko:K03820	psc:A458_02690
ko:K06189	psc:A458_02695
ko:K07042	psc:A458_02700
ko:K06168	psc:A458_02710
ko:K01845	psc:A458_02725
ko:K00788	psc:A458_02730
ko:K00941	psc:A458_02735
ko:K09456	psc:A458_02745
ko:K01241	psc:A458_02760
ko:K03192	psc:A458_02770
ko:K03189	psc:A458_02775
ko:K03188	psc:A458_02780
ko:K03187	psc:A458_02785
ko:K01428	psc:A458_02830
ko:K01429	psc:A458_02835
ko:K03823	psc:A458_02840
ko:K01430	psc:A458_02845
ko:K03190	psc:A458_02850
ko:K06181	psc:A458_02880
ko:K03579	psc:A458_02915
ko:K03273	psc:A458_00095
ko:K01879	psc:A458_00100
ko:K01878	psc:A458_00105
ko:K01246	psc:A458_00110
ko:K02517	psc:A458_00115
ko:K02029	psc:A458_00135
ko:K02029	psc:A458_00140
ko:K03500	psc:A458_00155
ko:K00604	psc:A458_00160
ko:K01462	psc:A458_00165
ko:K04096	psc:A458_00175
ko:K07566	psc:A458_00180
ko:K00228	psc:A458_00190
ko:K00014	psc:A458_00195
ko:K07262	psc:A458_00210
ko:K07002	psc:A458_00290
ko:K05995	psc:A458_00300
ko:K06975	psc:A458_00305
ko:K07154	psc:A458_00340
ko:K01695	psc:A458_00360
ko:K01696	psc:A458_00365
ko:K11895	psc:A458_00665
ko:K11896	psc:A458_00670
ko:K11905	psc:A458_00690
ko:K11900	psc:A458_00695
ko:K11901	psc:A458_00700
ko:K11910	psc:A458_00705
ko:K01792	psc:A458_00710
ko:K02029	psc:A458_00715
ko:K02029	psc:A458_00720
ko:K02168	psc:A458_00735
ko:K01153	psc:A458_00760
ko:K01154	psc:A458_00770
ko:K03427	psc:A458_00775
ko:K03575	psc:A458_00785
ko:K07289	psc:A458_00790
ko:K01693	psc:A458_00820
ko:K02501	psc:A458_00825
ko:K01814	psc:A458_00835
ko:K02500	psc:A458_00840
ko:K09798	psc:A458_00855
ko:K03797	psc:A458_00860
ko:K15633	psc:A458_00870
ko:K03071	psc:A458_00885
ko:K02415	psc:A458_00895
ko:K09888	psc:A458_00915
ko:K09895	psc:A458_00925
ko:K03185	psc:A458_00935
ko:K06969	psc:A458_01250
ko:K05520	psc:A458_01255
ko:K03324	psc:A458_01275
ko:K00954	psc:A458_01290
ko:K00154	psc:A458_01305
ko:K03110	psc:A458_01360
ko:K09812	psc:A458_01365
ko:K09811	psc:A458_01370
ko:K03089	psc:A458_01375
ko:K03814	psc:A458_01390
ko:K03154	psc:A458_01400
ko:K03149	psc:A458_01405
ko:K03439	psc:A458_01410
ko:K00641	psc:A458_01450
ko:K01990	psc:A458_06035
ko:K15034	psc:A458_12260
ko:K07396	psc:A458_12280
ko:K07146	psc:A458_12285
ko:K05527	psc:A458_12290
ko:K09924	psc:A458_12295
ko:K02575	psc:A458_12780
ko:K00362	psc:A458_12795
ko:K00363	psc:A458_12800
ko:K00372	psc:A458_12805
ko:K01256	psc:A458_12825
ko:K09916	psc:A458_12835
ko:K00858	psc:A458_12850
ko:K09977	psc:A458_12855
ko:K07240	psc:A458_12860
ko:K07090	psc:A458_12865
ko:K07395	psc:A458_12880
ko:K01991	psc:A458_13285
ko:K02362	psc:A458_13300
ko:K05788	psc:A458_13310
ko:K05592	psc:A458_13315
ko:K01626	psc:A458_13330
ko:K02356	psc:A458_13335
ko:K06955	psc:A458_13350
ko:K02556	psc:A458_13355
ko:K02557	psc:A458_13360
ko:K07238	psc:A458_13365
ko:K09808	psc:A458_13375
ko:K07112	psc:A458_13410
ko:K07112	psc:A458_13415
ko:K06923	psc:A458_13440
ko:K00432	psc:A458_13445
ko:K14260	psc:A458_13455
ko:K03799	psc:A458_13465
ko:K02221	psc:A458_01460
ko:K00286	psc:A458_01465
ko:K06997	psc:A458_01470
ko:K02669	psc:A458_01475
ko:K02670	psc:A458_01480
ko:K01465	psc:A458_01505
ko:K00609	psc:A458_01510
ko:K02825	psc:A458_01515
ko:K07447	psc:A458_01520
ko:K07735	psc:A458_01525
ko:K03832	psc:A458_01530
ko:K00459	psc:A458_02115
ko:K07115	psc:A458_02120
ko:K01012	psc:A458_02135
ko:K02170	psc:A458_02145
ko:K02169	psc:A458_02150
ko:K01935	psc:A458_02155
ko:K00627	psc:A458_02195
ko:K00163	psc:A458_02200
ko:K00982	psc:A458_02205
ko:K00826	psc:A458_02210
ko:K02841	psc:A458_02220
ko:K02844	psc:A458_02225
ko:K02848	psc:A458_02230
ko:K00612	psc:A458_02250
ko:K07265	psc:A458_02265
ko:K03272	psc:A458_02300
ko:K02527	psc:A458_02325
ko:K12340	psc:A458_02330
ko:K03147	psc:A458_02335
ko:K12995	psc:A458_02345
ko:K12340	psc:A458_02360
ko:K01662	psc:A458_02945
ko:K13789	psc:A458_02950
ko:K03602	psc:A458_02955
ko:K13745	psc:A458_02990
ko:K03088	psc:A458_02995
ko:K09933	psc:A458_03025
ko:K03736	psc:A458_03035
ko:K03735	psc:A458_03040
ko:K13954	psc:A458_03055
ko:K02558	psc:A458_03060
ko:K03186	psc:A458_03065
ko:K03798	psc:A458_03075
ko:K06925	psc:A458_03090
ko:K01448	psc:A458_03095
ko:K03572	psc:A458_03100
ko:K00791	psc:A458_03105
ko:K03666	psc:A458_03110
ko:K03665	psc:A458_03115
ko:K04088	psc:A458_03120
ko:K04087	psc:A458_03125
ko:K02502	psc:A458_03130
ko:K01939	psc:A458_03135
ko:K12573	psc:A458_03140
ko:K03218	psc:A458_03145
ko:K02990	psc:A458_03155
ko:K02963	psc:A458_03160
ko:K02939	psc:A458_03170
ko:K01775	psc:A458_03180
ko:K02667	psc:A458_03210
ko:K02668	psc:A458_03215
ko:K06950	psc:A458_03220
ko:K02057	psc:A458_03560
ko:K02057	psc:A458_03565
ko:K06193	psc:A458_03590
ko:K10974	psc:A458_03610
ko:K01725	psc:A458_03620
ko:K00832	psc:A458_03630
ko:K00500	psc:A458_03640
ko:K03721	psc:A458_03645
ko:K01752	psc:A458_03660
ko:K00384	psc:A458_03665
ko:K09943	psc:A458_03690
ko:K00376	psc:A458_03705
ko:K07218	psc:A458_03710
ko:K03116	psc:A458_03730
ko:K07234	psc:A458_03735
ko:K00404	psc:A458_03750
ko:K07168	psc:A458_03755
ko:K02164	psc:A458_03785
ko:K01955	psc:A458_04080
ko:K03624	psc:A458_04085
ko:K07574	psc:A458_04095
ko:K03798	psc:A458_04100
ko:K00796	psc:A458_04105
ko:K03431	psc:A458_04110
ko:K01803	psc:A458_04115
ko:K03075	psc:A458_04120
ko:K09748	psc:A458_04125
ko:K02600	psc:A458_04130
ko:K02519	psc:A458_04135
ko:K02834	psc:A458_04140
ko:K02956	psc:A458_04150
ko:K00962	psc:A458_04155
ko:K06969	psc:A458_04180
ko:K01810	psc:A458_04190
ko:K01579	psc:A458_04195
ko:K01918	psc:A458_04200
ko:K00606	psc:A458_04205
ko:K00950	psc:A458_04210
ko:K01894	psc:A458_04235
ko:K06204	psc:A458_04240
ko:K06206	psc:A458_04250
ko:K00067	psc:A458_04255
ko:K07088	psc:A458_04260
ko:K01945	psc:A458_04280
ko:K00602	psc:A458_04285
ko:K03557	psc:A458_04290
ko:K02687	psc:A458_04305
ko:K01961	psc:A458_04310
ko:K02160	psc:A458_04315
ko:K03786	psc:A458_04320
ko:K04084	psc:A458_04325
ko:K03387	psc:A458_04860
ko:K00798	psc:A458_04880
ko:K00077	psc:A458_04890
ko:K09767	psc:A458_04900
ko:K08218	psc:A458_04910
ko:K07443	psc:A458_04915
ko:K07226	psc:A458_04930
ko:K07113	psc:A458_04935
ko:K04078	psc:A458_04940
ko:K04077	psc:A458_04945
ko:K09947	psc:A458_04975
ko:K07231	psc:A458_04990
ko:K03744	psc:A458_04995
ko:K04564	psc:A458_05015
ko:K06895	psc:A458_05020
ko:K05596	psc:A458_05025
ko:K12686	psc:A458_05040
ko:K00763	psc:A458_05050
ko:K05916	psc:A458_05065
ko:K00873	psc:A458_05075
ko:K01608	psc:A458_05095
ko:K07127	psc:A458_05105
ko:K07644	psc:A458_05120
ko:K01142	psc:A458_05125
ko:K07058	psc:A458_07945
ko:K03555	psc:A458_07975
ko:K02042	psc:A458_08045
ko:K02044	psc:A458_08050
ko:K02041	psc:A458_08055
ko:K01534	psc:A458_08080
ko:K03101	psc:A458_08085
ko:K03565	psc:A458_08115
ko:K06966	psc:A458_08120
ko:K00528	psc:A458_08160
ko:K09858	psc:A458_08165
ko:K00275	psc:A458_08200
ko:K06077	psc:A458_08210
ko:K05559	psc:A458_08215
ko:K05560	psc:A458_08220
ko:K05561	psc:A458_08225
ko:K05562	psc:A458_08230
ko:K05563	psc:A458_08235
ko:K05564	psc:A458_08240
ko:K00990	psc:A458_08245
ko:K01265	psc:A458_08250
ko:K02967	psc:A458_08255
ko:K02357	psc:A458_08260
ko:K09903	psc:A458_08265
ko:K02838	psc:A458_08270
ko:K00806	psc:A458_08275
ko:K00981	psc:A458_08280
ko:K00099	psc:A458_08285
ko:K11749	psc:A458_08290
ko:K07277	psc:A458_08295
ko:K06142	psc:A458_08300
ko:K02536	psc:A458_08305
ko:K02372	psc:A458_08310
ko:K00677	psc:A458_08315
ko:K00748	psc:A458_08320
ko:K03470	psc:A458_08325
ko:K02337	psc:A458_08330
ko:K01962	psc:A458_08335
ko:K04075	psc:A458_08340
ko:K01937	psc:A458_08345
ko:K01627	psc:A458_08350
ko:K01689	psc:A458_08355
ko:K05589	psc:A458_08360
ko:K00991	psc:A458_08365
ko:K01070	psc:A458_08390
ko:K01770	psc:A458_08405
ko:K06176	psc:A458_08410
ko:K03787	psc:A458_08415
ko:K00573	psc:A458_08420
ko:K06194	psc:A458_08430
ko:K06886	psc:A458_08470
ko:K15268	psc:A458_08490
ko:K01920	psc:A458_01535
ko:K06597	psc:A458_01570
ko:K06598	psc:A458_01575
ko:K09761	psc:A458_01580
ko:K00833	psc:A458_01585
ko:K11927	psc:A458_01615
ko:K00297	psc:A458_01620
ko:K02453	psc:A458_11845
ko:K10764	psc:A458_11850
ko:K00764	psc:A458_11855
ko:K03558	psc:A458_11860
ko:K03749	psc:A458_11865
ko:K11754	psc:A458_11870
ko:K01963	psc:A458_11875
ko:K01817	psc:A458_11880
ko:K06173	psc:A458_11885
ko:K06178	psc:A458_12330
ko:K01625	psc:A458_12335
ko:K01057	psc:A458_12340
ko:K00036	psc:A458_12345
ko:K07320	psc:A458_12350
ko:K01495	psc:A458_12365
ko:K02945	psc:A458_12385
ko:K00945	psc:A458_12390
ko:K00817	psc:A458_12400
ko:K14170	psc:A458_12405
ko:K00831	psc:A458_12410
ko:K02469	psc:A458_12415
ko:K08963	psc:A458_12420
ko:K14161	psc:A458_12430
ko:K07726	psc:A458_12445
ko:K06871	psc:A458_12470
ko:K07154	psc:A458_12555
ko:K00797	psc:A458_12900
ko:K01247	psc:A458_12905
ko:K09880	psc:A458_12925
ko:K08967	psc:A458_12930
ko:K05820	psc:A458_12940
ko:K01736	psc:A458_12945
ko:K02024	psc:A458_12960
ko:K01690	psc:A458_13000
ko:K06024	psc:A458_13005
ko:K05896	psc:A458_13010
ko:K01867	psc:A458_13015
ko:K07053	psc:A458_13025
ko:K09780	psc:A458_13030
ko:K06940	psc:A458_13060
ko:K09781	psc:A458_13070
ko:K07401	psc:A458_13100
ko:K07001	psc:A458_13105
ko:K03654	psc:A458_13115
ko:K07039	psc:A458_13120
ko:K09790	psc:A458_13125
ko:K00906	psc:A458_13145
ko:K01738	psc:A458_13155
ko:K00133	psc:A458_11900
ko:K00052	psc:A458_11905
ko:K01704	psc:A458_11910
ko:K01703	psc:A458_11915
ko:K04080	psc:A458_11925
ko:K05541	psc:A458_11935
ko:K14441	psc:A458_12045
ko:K02168	psc:A458_12060
ko:K06001	psc:A458_12065
ko:K01207	psc:A458_12100
ko:K01356	psc:A458_12115
ko:K04764	psc:A458_12580
ko:K01890	psc:A458_12585
ko:K01889	psc:A458_12590
ko:K02887	psc:A458_12595
ko:K02916	psc:A458_12600
ko:K02520	psc:A458_12605
ko:K01868	psc:A458_12610
ko:K03752	psc:A458_12635
ko:K01129	psc:A458_12675
ko:K09923	psc:A458_12685
ko:K07259	psc:A458_12690
ko:K12297	psc:A458_12695
ko:K03812	psc:A458_12700
ko:K15371	psc:A458_12720
ko:K03924	psc:A458_12725
ko:K09989	psc:A458_13175
ko:K15738	psc:A458_13205
ko:K08309	psc:A458_13210
ko:K07140	psc:A458_13215
ko:K03415	psc:A458_13220
ko:K01251	psc:A458_01625
ko:K01972	psc:A458_01645
ko:K00789	psc:A458_01670
ko:K00615	psc:A458_01695
ko:K03472	psc:A458_01700
ko:K00927	psc:A458_01705
ko:K01624	psc:A458_01720
ko:K07007	psc:A458_01760
ko:K05591	psc:A458_01780
ko:K14393	psc:A458_01800
ko:K13007	psc:A458_02420
ko:K09920	psc:A458_02440
ko:K03651	psc:A458_02445
ko:K07000	psc:A458_02450
ko:K02622	psc:A458_02455
ko:K06985	psc:A458_02465
ko:K02621	psc:A458_02475
ko:K09857	psc:A458_02480
ko:K01079	psc:A458_02490
ko:K01613	psc:A458_02510
ko:K02556	psc:A458_02525
ko:K02557	psc:A458_02530
ko:K06949	psc:A458_02535
ko:K13288	psc:A458_02545
