ko:K16697	bsq:B657_35590
ko:K03521	bsq:B657_28530
ko:K13767	bsq:B657_28540
ko:K13770	bsq:B657_28550
ko:K08989	bsq:B657_28570
ko:K07456	bsq:B657_28580
ko:K02347	bsq:B657_28590
ko:K09888	bsq:B657_28610
ko:K01890	bsq:B657_28630
ko:K01889	bsq:B657_28640
ko:K03437	bsq:B657_28650
ko:K06426	bsq:B657_28660
ko:K03829	bsq:B657_28330
ko:K11473	bsq:B657_28690
ko:K06200	bsq:B657_28710
ko:K01804	bsq:B657_28800
ko:K02887	bsq:B657_28850
ko:K02916	bsq:B657_28860
ko:K02520	bsq:B657_28870
ko:K05339	bsq:B657_28900
ko:K05338	bsq:B657_28910
ko:K07704	bsq:B657_28930
ko:K01868	bsq:B657_28950
ko:K07738	bsq:B657_29000
ko:K01611	bsq:B657_29010
ko:K02647	bsq:B657_28670
ko:K00859	bsq:B657_29060
ko:K07636	bsq:B657_29100
ko:K00024	bsq:B657_29120
ko:K00031	bsq:B657_29130
ko:K01647	bsq:B657_29140
ko:K07113	bsq:B657_29170
ko:K00873	bsq:B657_29180
ko:K00850	bsq:B657_29190
ko:K01962	bsq:B657_29200
ko:K01963	bsq:B657_29210
ko:K02337	bsq:B657_29230
ko:K07090	bsq:B657_29280
ko:K00134	bsq:B657_29020
ko:K01755	bsq:B657_29440
ko:K01940	bsq:B657_29450
ko:K03638	bsq:B657_29460
ko:K00925	bsq:B657_29470
ko:K00876	bsq:B657_27330
ko:K08303	bsq:B657_27340
ko:K08303	bsq:B657_27350
ko:K07082	bsq:B657_27370
ko:K07447	bsq:B657_27390
ko:K01872	bsq:B657_27410
ko:K10039	bsq:B657_27440
ko:K10040	bsq:B657_27450
ko:K03581	bsq:B657_27480
ko:K00566	bsq:B657_27500
ko:K04487	bsq:B657_27510
ko:K07478	bsq:B657_27530
ko:K01876	bsq:B657_27550
ko:K01892	bsq:B657_27560
ko:K01448	bsq:B657_27580
ko:K07560	bsq:B657_27590
ko:K00759	bsq:B657_27610
ko:K07462	bsq:B657_27620
ko:K07228	bsq:B657_27640
ko:K12257	bsq:B657_27650
ko:K06409	bsq:B657_27670
ko:K03210	bsq:B657_27700
ko:K00773	bsq:B657_27710
ko:K07568	bsq:B657_27720
ko:K03624	bsq:B657_27320
ko:K11065	bsq:B657_29490
ko:K04773	bsq:B657_29530
ko:K00858	bsq:B657_29540
ko:K01895	bsq:B657_29560
ko:K03151	bsq:B657_29580
ko:K04487	bsq:B657_29590
ko:K03311	bsq:B657_29600
ko:K04486	bsq:B657_29620
ko:K02986	bsq:B657_29660
ko:K01866	bsq:B657_29670
ko:K01895	bsq:B657_29680
ko:K04766	bsq:B657_29690
ko:K04768	bsq:B657_29710
ko:K02557	bsq:B657_29720
ko:K02556	bsq:B657_29730
ko:K02529	bsq:B657_29740
ko:K13853	bsq:B657_29750
ko:K01924	bsq:B657_29790
ko:K03466	bsq:B657_29805
ko:K06878	bsq:B657_29820
ko:K03439	bsq:B657_29900
ko:K03551	bsq:B657_27730
ko:K03550	bsq:B657_27740
ko:K06318	bsq:B657_27750
ko:K03310	bsq:B657_27810
ko:K06370	bsq:B657_27840
ko:K03517	bsq:B657_27850
ko:K00767	bsq:B657_27860
ko:K00278	bsq:B657_27870
ko:K04487	bsq:B657_27880
ko:K06209	bsq:B657_27910
ko:K03979	bsq:B657_27920
ko:K06375	bsq:B657_27930
ko:K02899	bsq:B657_27940
ko:K02888	bsq:B657_27960
ko:K06401	bsq:B657_27980
ko:K03609	bsq:B657_27990
ko:K03610	bsq:B657_28000
ko:K03571	bsq:B657_28010
ko:K03570	bsq:B657_28020
ko:K03569	bsq:B657_28030
ko:K03630	bsq:B657_28040
ko:K06287	bsq:B657_28050
ko:K11754	bsq:B657_28080
ko:K01873	bsq:B657_28090
ko:K06417	bsq:B657_28110
ko:K01975	bsq:B657_29960
ko:K01738	bsq:B657_29970
ko:K06901	bsq:B657_29990
ko:K07007	bsq:B657_30060
ko:K15532	bsq:B657_30120
ko:K01012	bsq:B657_30200
ko:K01935	bsq:B657_30210
ko:K02529	bsq:B657_30260
ko:K10117	bsq:B657_30270
ko:K07406	bsq:B657_30300
ko:K01869	bsq:B657_30320
ko:K11632	bsq:B657_30370
ko:K11631	bsq:B657_30380
ko:K11629	bsq:B657_30390
ko:K11630	bsq:B657_30400
ko:K07734	bsq:B657_32140
ko:K01778	bsq:B657_32170
ko:K03885	bsq:B657_32200
ko:K00872	bsq:B657_32240
ko:K01733	bsq:B657_32250
ko:K00003	bsq:B657_32260
ko:K03644	bsq:B657_32330
ko:K07090	bsq:B657_32380
ko:K07127	bsq:B657_32460
ko:K09779	bsq:B657_31380
ko:K10907	bsq:B657_31400
ko:K14155	bsq:B657_31440
ko:K07697	bsq:B657_31450
ko:K06347	bsq:B657_31460
ko:K06348	bsq:B657_31470
ko:K11614	bsq:B657_31520
ko:K07335	bsq:B657_31540
ko:K02057	bsq:B657_31560
ko:K02057	bsq:B657_31570
ko:K11616	bsq:B657_31580
ko:K05566	bsq:B657_31610
ko:K05567	bsq:B657_31620
ko:K05569	bsq:B657_31640
ko:K05571	bsq:B657_31660
ko:K07691	bsq:B657_31680
ko:K07680	bsq:B657_31690
ko:K02251	bsq:B657_31710
ko:K00763	bsq:B657_31750
ko:K06950	bsq:B657_31830
ko:K16216	bsq:B657_31840
ko:K03466	bsq:B657_31875
ko:K01911	bsq:B657_30790
ko:K01661	bsq:B657_30800
ko:K02551	bsq:B657_30820
ko:K00963	bsq:B657_30850
ko:K00012	bsq:B657_30860
ko:K00688	bsq:B657_30940
ko:K00703	bsq:B657_30950
ko:K00975	bsq:B657_30960
ko:K00975	bsq:B657_30970
ko:K06153	bsq:B657_31150
ko:K03534	bsq:B657_31190
ko:K00848	bsq:B657_31200
ko:K00686	bsq:B657_31270
ko:K06973	bsq:B657_31310
ko:K10716	bsq:B657_31322
ko:K01810	bsq:B657_31350
ko:K04780	bsq:B657_31960
ko:K01252	bsq:B657_31970
ko:K02363	bsq:B657_31980
ko:K02361	bsq:B657_31990
ko:K00216	bsq:B657_32000
ko:K03523	bsq:B657_32030
ko:K07084	bsq:B657_32040
ko:K01255	bsq:B657_32050
ko:K09775	bsq:B657_32060
ko:K03885	bsq:B657_32100
ko:K00364	bsq:B657_32130
ko:K02083	bsq:B657_32530
ko:K07141	bsq:B657_32500
ko:K07155	bsq:B657_39980
ko:K15313	bsq:B657_17170
ko:K03629	bsq:B657_00040
ko:K02341	bsq:B657_00310
ko:K02313	bsq:B657_00010
ko:K02338	bsq:B657_00020
ko:K02470	bsq:B657_00060
ko:K02469	bsq:B657_00070
ko:K06215	bsq:B657_00110
ko:K08681	bsq:B657_00120
ko:K01875	bsq:B657_00130
ko:K06306	bsq:B657_00160
ko:K15519	bsq:B657_00140
ko:K15518	bsq:B657_00150
ko:K06187	bsq:B657_00210
ko:K02343	bsq:B657_00190
ko:K09747	bsq:B657_00200
ko:K06317	bsq:B657_00230
ko:K00943	bsq:B657_00280
ko:K09770	bsq:B657_00300
ko:K11622	bsq:B657_33100
ko:K11619	bsq:B657_33130
ko:K02013	bsq:B657_33160
ko:K02015	bsq:B657_33170
ko:K02016	bsq:B657_33180
ko:K02003	bsq:B657_33270
ko:K02013	bsq:B657_33290
ko:K02015	bsq:B657_33300
ko:K02015	bsq:B657_33310
ko:K02016	bsq:B657_33320
ko:K03758	bsq:B657_33330
ko:K07038	bsq:B657_33350
ko:K07219	bsq:B657_33370
ko:K02020	bsq:B657_33380
ko:K02018	bsq:B657_33390
ko:K00381	bsq:B657_33430
ko:K03657	bsq:B657_33450
ko:K03611	bsq:B657_33470
ko:K01534	bsq:B657_33490
ko:K07693	bsq:B657_34060
ko:K07778	bsq:B657_34070
ko:K07118	bsq:B657_36620
ko:K01428	bsq:B657_36640
ko:K01429	bsq:B657_36650
ko:K01430	bsq:B657_36660
ko:K03639	bsq:B657_36700
ko:K02379	bsq:B657_36710
ko:K06381	bsq:B657_36750
ko:K00790	bsq:B657_36760
ko:K02114	bsq:B657_36800
ko:K02112	bsq:B657_36810
ko:K02115	bsq:B657_36820
ko:K02111	bsq:B657_36830
ko:K02113	bsq:B657_36840
ko:K02109	bsq:B657_36850
ko:K02110	bsq:B657_36860
ko:K00761	bsq:B657_36890
ko:K00600	bsq:B657_36900
ko:K01808	bsq:B657_36920
ko:K07566	bsq:B657_36950
ko:K06387	bsq:B657_36970
ko:K02493	bsq:B657_37000
ko:K02835	bsq:B657_37010
ko:K11686	bsq:B657_37030
ko:K07088	bsq:B657_37040
ko:K03628	bsq:B657_37080
ko:K01118	bsq:B657_33540
ko:K03664	bsq:B657_33600
ko:K12573	bsq:B657_33610
ko:K03928	bsq:B657_33620
ko:K03075	bsq:B657_33630
ko:K05846	bsq:B657_33700
ko:K05845	bsq:B657_33710
ko:K05846	bsq:B657_33720
ko:K05847	bsq:B657_33730
ko:K05846	bsq:B657_33800
ko:K05845	bsq:B657_33810
ko:K05846	bsq:B657_33820
ko:K05847	bsq:B657_33830
ko:K01689	bsq:B657_33900
ko:K15633	bsq:B657_33910
ko:K01803	bsq:B657_33920
ko:K00927	bsq:B657_33930
ko:K00134	bsq:B657_33940
ko:K05311	bsq:B657_33950
ko:K02103	bsq:B657_33970
ko:K01224	bsq:B657_34120
ko:K12308	bsq:B657_34130
ko:K15772	bsq:B657_34140
ko:K15771	bsq:B657_34150
ko:K02529	bsq:B657_34170
ko:K03303	bsq:B657_34190
ko:K03092	bsq:B657_34200
ko:K13727	bsq:B657_34400
ko:K01779	bsq:B657_34430
ko:K00692	bsq:B657_34450
ko:K01358	bsq:B657_34540
ko:K00790	bsq:B657_37100
ko:K01624	bsq:B657_37120
ko:K02490	bsq:B657_37130
ko:K01937	bsq:B657_37150
ko:K06131	bsq:B657_37190
ko:K06131	bsq:B657_37240
ko:K00373	bsq:B657_37260
ko:K00371	bsq:B657_37270
ko:K00370	bsq:B657_37280
ko:K02575	bsq:B657_37320
ko:K01887	bsq:B657_37330
ko:K00797	bsq:B657_37500
ko:K01868	bsq:B657_37560
ko:K06885	bsq:B657_37600
ko:K06314	bsq:B657_37620
ko:K06606	bsq:B657_39680
ko:K06605	bsq:B657_39690
ko:K03335	bsq:B657_39720
ko:K03336	bsq:B657_39730
ko:K03338	bsq:B657_39740
ko:K03337	bsq:B657_39750
ko:K00140	bsq:B657_39760
ko:K06608	bsq:B657_39770
ko:K04079	bsq:B657_39820
ko:K01953	bsq:B657_39920
ko:K07148	bsq:B657_39970
ko:K00865	bsq:B657_40040
ko:K11476	bsq:B657_40050
ko:K03387	bsq:B657_40100
ko:K01223	bsq:B657_40110
ko:K03489	bsq:B657_40130
ko:K07461	bsq:B657_00350
ko:K07056	bsq:B657_00360
ko:K06284	bsq:B657_00370
ko:K01874	bsq:B657_00380
ko:K02528	bsq:B657_00420
ko:K05985	bsq:B657_00410
ko:K03424	bsq:B657_00390
ko:K06966	bsq:B657_34640
ko:K03321	bsq:B657_34660
ko:K01673	bsq:B657_34670
ko:K02003	bsq:B657_34700
ko:K00675	bsq:B657_34730
ko:K11184	bsq:B657_34740
ko:K06958	bsq:B657_34770
ko:K00384	bsq:B657_34790
ko:K11755	bsq:B657_34860
ko:K02500	bsq:B657_34870
ko:K01814	bsq:B657_34880
ko:K02501	bsq:B657_34890
ko:K01693	bsq:B657_34900
ko:K00013	bsq:B657_34910
ko:K00765	bsq:B657_34920
ko:K02502	bsq:B657_34930
ko:K06019	bsq:B657_34970
ko:K13292	bsq:B657_34990
ko:K01443	bsq:B657_35010
ko:K03710	bsq:B657_35030
ko:K08972	bsq:B657_35100
ko:K02205	bsq:B657_37760
ko:K01790	bsq:B657_37810
ko:K00067	bsq:B657_37820
ko:K00973	bsq:B657_37840
ko:K06305	bsq:B657_37920
ko:K03648	bsq:B657_37970
ko:K00868	bsq:B657_38020
ko:K01193	bsq:B657_38040
ko:K02598	bsq:B657_38060
ko:K14647	bsq:B657_38090
ko:K05837	bsq:B657_38120
ko:K04041	bsq:B657_40190
ko:K00783	bsq:B657_40230
ko:K01476	bsq:B657_40320
ko:K02205	bsq:B657_40330
ko:K06714	bsq:B657_40350
ko:K01939	bsq:B657_40420
ko:K03449	bsq:B657_40480
ko:K02939	bsq:B657_40500
ko:K08224	bsq:B657_40660
ko:K06888	bsq:B657_40820
ko:K08369	bsq:B657_40840
ko:K01142	bsq:B657_40880
ko:K02963	bsq:B657_40890
ko:K02990	bsq:B657_40910
ko:K06942	bsq:B657_40920
ko:K03501	bsq:B657_41000
ko:K03495	bsq:B657_41010
ko:K03650	bsq:B657_41020
ko:K03217	bsq:B657_41040
ko:K03536	bsq:B657_41050
ko:K02914	bsq:B657_41060
ko:K00782	bsq:B657_34030
ko:K02406	bsq:B657_35150
ko:K03701	bsq:B657_35160
ko:K03702	bsq:B657_35170
ko:K06352	bsq:B657_12440
ko:K06353	bsq:B657_03780
ko:K06355	bsq:B657_37470
ko:K06436	bsq:B657_00430
ko:K06423	bsq:B657_00450
ko:K00919	bsq:B657_00460
ko:K03797	bsq:B657_35240
ko:K09811	bsq:B657_35250
ko:K09812	bsq:B657_35260
ko:K02836	bsq:B657_35290
ko:K03070	bsq:B657_35300
ko:K02423	bsq:B657_35320
ko:K02422	bsq:B657_35330
ko:K02407	bsq:B657_35340
ko:K02406	bsq:B657_35360
ko:K03563	bsq:B657_35370
ko:K13626	bsq:B657_35380
ko:K02397	bsq:B657_35400
ko:K02396	bsq:B657_35410
ko:K02398	bsq:B657_35430
ko:K07777	bsq:B657_35500
ko:K00012	bsq:B657_35580
ko:K01448	bsq:B657_35620
ko:K00963	bsq:B657_35670
ko:K05946	bsq:B657_35750
ko:K01809	bsq:B657_35790
ko:K07282	bsq:B657_35880
ko:K02529	bsq:B657_35910
ko:K06726	bsq:B657_35930
ko:K10441	bsq:B657_35940
ko:K01575	bsq:B657_36000
ko:K01652	bsq:B657_36010
ko:K03893	bsq:B657_36030
ko:K06330	bsq:B657_36060
ko:K02829	bsq:B657_38140
ko:K02828	bsq:B657_38150
ko:K02827	bsq:B657_38160
ko:K02826	bsq:B657_38170
ko:K00965	bsq:B657_38190
ko:K00849	bsq:B657_38200
ko:K14393	bsq:B657_38240
ko:K16301	bsq:B657_38260
ko:K07224	bsq:B657_38270
ko:K07243	bsq:B657_38280
ko:K00788	bsq:B657_38290
ko:K00878	bsq:B657_38300
ko:K05820	bsq:B657_38340
ko:K06969	bsq:B657_38360
ko:K02761	bsq:B657_38390
ko:K01866	bsq:B657_38460
ko:K02548	bsq:B657_38490
ko:K03367	bsq:B657_38500
ko:K03739	bsq:B657_38510
ko:K14188	bsq:B657_38520
ko:K03740	bsq:B657_38530
ko:K14189	bsq:B657_38540
ko:K00826	bsq:B657_38550
ko:K02759	bsq:B657_38570
ko:K02761	bsq:B657_38580
ko:K02760	bsq:B657_38590
ko:K03652	bsq:B657_38620
ko:K03781	bsq:B657_38630
ko:K10711	bsq:B657_32560
ko:K10710	bsq:B657_32570
ko:K10708	bsq:B657_32610
ko:K00285	bsq:B657_32630
ko:K09014	bsq:B657_32670
ko:K11717	bsq:B657_32690
ko:K09015	bsq:B657_32700
ko:K09013	bsq:B657_32710
ko:K02073	bsq:B657_32730
ko:K02072	bsq:B657_32740
ko:K02071	bsq:B657_32750
ko:K07476	bsq:B657_32780
ko:K02437	bsq:B657_32800
ko:K07516	bsq:B657_32840
ko:K00318	bsq:B657_32850
ko:K02013	bsq:B657_32940
ko:K04047	bsq:B657_32990
ko:K07650	bsq:B657_33020
ko:K07240	bsq:B657_36120
ko:K07240	bsq:B657_36130
ko:K05982	bsq:B657_36170
ko:K00012	bsq:B657_36230
ko:K03282	bsq:B657_36360
ko:K02372	bsq:B657_36370
ko:K02392	bsq:B657_36390
ko:K02392	bsq:B657_36400
ko:K03569	bsq:B657_36410
ko:K06283	bsq:B657_36420
ko:K03320	bsq:B657_36510
ko:K04751	bsq:B657_36520
ko:K06386	bsq:B657_36550
ko:K03823	bsq:B657_36560
ko:K06131	bsq:B657_36590
ko:K03088	bsq:B657_38700
ko:K00426	bsq:B657_38750
ko:K00425	bsq:B657_38760
ko:K00019	bsq:B657_38970
ko:K01029	bsq:B657_38980
ko:K01028	bsq:B657_38990
ko:K00563	bsq:B657_39010
ko:K16323	bsq:B657_39020
ko:K03781	bsq:B657_39050
ko:K03300	bsq:B657_39060
ko:K06358	bsq:B657_18920
ko:K06291	bsq:B657_35800
ko:K06356	bsq:B657_40310
ko:K00948	bsq:B657_00510
ko:K06412	bsq:B657_00490
ko:K02897	bsq:B657_00520
ko:K04042	bsq:B657_00500
ko:K01056	bsq:B657_00530
ko:K00760	bsq:B657_00680
ko:K04769	bsq:B657_00560
ko:K03525	bsq:B657_00700
ko:K07571	bsq:B657_00630
ko:K06382	bsq:B657_00640
ko:K01738	bsq:B657_00730
ko:K01665	bsq:B657_00740
ko:K04075	bsq:B657_00670
ko:K03723	bsq:B657_00550
ko:K03798	bsq:B657_00690
ko:K04083	bsq:B657_00710
ko:K03321	bsq:B657_01580
ko:K02015	bsq:B657_01610
ko:K02015	bsq:B657_01620
ko:K02016	bsq:B657_01630
ko:K01207	bsq:B657_01660
ko:K07106	bsq:B657_01700
ko:K03088	bsq:B657_01730
ko:K03431	bsq:B657_01770
ko:K00820	bsq:B657_01780
ko:K01247	bsq:B657_01800
ko:K13530	bsq:B657_01810
ko:K13531	bsq:B657_01820
ko:K05577	bsq:B657_01830
ko:K09822	bsq:B657_01845
ko:K01126	bsq:B657_02130
ko:K02445	bsq:B657_02140
ko:K08289	bsq:B657_02230
ko:K01613	bsq:B657_02290
ko:K07146	bsq:B657_02330
ko:K11102	bsq:B657_02340
ko:K03710	bsq:B657_02370
ko:K00826	bsq:B657_02390
ko:K01425	bsq:B657_02430
ko:K07717	bsq:B657_02440
ko:K07719	bsq:B657_02450
ko:K01707	bsq:B657_02460
ko:K01706	bsq:B657_02490
ko:K01449	bsq:B657_02600
ko:K03116	bsq:B657_02630
ko:K03118	bsq:B657_02640
ko:K01304	bsq:B657_02650
ko:K07039	bsq:B657_02720
ko:K09817	bsq:B657_02860
ko:K09816	bsq:B657_02870
ko:K00820	bsq:B657_01900
ko:K09967	bsq:B657_03120
ko:K01060	bsq:B657_03180
ko:K07074	bsq:B657_03190
ko:K00318	bsq:B657_03200
ko:K07089	bsq:B657_03250
ko:K13542	bsq:B657_03280
ko:K00363	bsq:B657_03290
ko:K00362	bsq:B657_03300
ko:K00372	bsq:B657_03310
ko:K00362	bsq:B657_03320
ko:K02575	bsq:B657_03330
ko:K09007	bsq:B657_03340
ko:K01223	bsq:B657_03410
ko:K08094	bsq:B657_03450
ko:K10010	bsq:B657_03590
ko:K10009	bsq:B657_03600
ko:K02424	bsq:B657_03610
ko:K03186	bsq:B657_03630
ko:K03305	bsq:B657_03670
ko:K00796	bsq:B657_00770
ko:K01633	bsq:B657_00780
ko:K00950	bsq:B657_00790
ko:K01223	bsq:B657_39260
ko:K09683	bsq:B657_39340
ko:K01745	bsq:B657_39350
ko:K01712	bsq:B657_39360
ko:K01468	bsq:B657_39370
ko:K00756	bsq:B657_39400
ko:K11535	bsq:B657_39410
ko:K05346	bsq:B657_39430
ko:K04023	bsq:B657_39450
ko:K01442	bsq:B657_39540
ko:K02016	bsq:B657_39610
ko:K06288	bsq:B657_33050
ko:K06360	bsq:B657_36690
ko:K04567	bsq:B657_00820
ko:K03696	bsq:B657_00860
ko:K04485	bsq:B657_00870
ko:K00991	bsq:B657_00900
ko:K01770	bsq:B657_00910
ko:K00640	bsq:B657_00930
ko:K01883	bsq:B657_00940
ko:K11145	bsq:B657_00950
ko:K03218	bsq:B657_00960
ko:K06962	bsq:B657_00970
ko:K03091	bsq:B657_00980
ko:K02913	bsq:B657_00990
ko:K03073	bsq:B657_01000
ko:K02867	bsq:B657_01020
ko:K02863	bsq:B657_01030
ko:K02864	bsq:B657_01040
ko:K02935	bsq:B657_01050
ko:K03046	bsq:B657_01080
ko:K07590	bsq:B657_01090
ko:K02950	bsq:B657_01100
ko:K02992	bsq:B657_01110
ko:K02355	bsq:B657_01120
ko:K02358	bsq:B657_01130
ko:K02946	bsq:B657_01150
ko:K02906	bsq:B657_01160
ko:K02926	bsq:B657_01170
ko:K02892	bsq:B657_01180
ko:K02886	bsq:B657_01190
ko:K02965	bsq:B657_01200
ko:K02890	bsq:B657_01210
ko:K02982	bsq:B657_01220
ko:K02878	bsq:B657_01230
ko:K02904	bsq:B657_01240
ko:K02961	bsq:B657_01250
ko:K02874	bsq:B657_01260
ko:K02895	bsq:B657_01270
ko:K02931	bsq:B657_01280
ko:K02954	bsq:B657_01290
ko:K02994	bsq:B657_01300
ko:K02933	bsq:B657_01310
ko:K02881	bsq:B657_01320
ko:K02988	bsq:B657_01330
ko:K02907	bsq:B657_01340
ko:K02876	bsq:B657_01350
ko:K03076	bsq:B657_01360
ko:K01265	bsq:B657_01380
ko:K02518	bsq:B657_01390
ko:K02919	bsq:B657_01400
ko:K02952	bsq:B657_01410
ko:K02948	bsq:B657_01420
ko:K03040	bsq:B657_01430
ko:K02879	bsq:B657_01440
ko:K06173	bsq:B657_01480
ko:K02871	bsq:B657_01490
ko:K02996	bsq:B657_01500
ko:K01448	bsq:B657_01530
ko:K06294	bsq:B657_01550
ko:K06349	bsq:B657_01560
ko:K03043	bsq:B657_01070
ko:K05795	bsq:B657_02900
ko:K05795	bsq:B657_02910
ko:K08369	bsq:B657_02950
ko:K02000	bsq:B657_02980
ko:K02001	bsq:B657_02990
ko:K02002	bsq:B657_03000
ko:K14665	bsq:B657_03010
ko:K03303	bsq:B657_03060
ko:K09190	bsq:B657_03100
ko:K06295	bsq:B657_03700
ko:K02003	bsq:B657_03730
ko:K00928	bsq:B657_03790
ko:K02015	bsq:B657_03810
ko:K02013	bsq:B657_03820
ko:K02016	bsq:B657_03830
ko:K00375	bsq:B657_03890
ko:K05340	bsq:B657_03920
ko:K02015	bsq:B657_03800
ko:K14166	bsq:B657_03950
ko:K00009	bsq:B657_03990
ko:K07246	bsq:B657_04000
ko:K03100	bsq:B657_04010
ko:K00946	bsq:B657_05900
ko:K06925	bsq:B657_05910
ko:K03789	bsq:B657_05930
ko:K06158	bsq:B657_05950
ko:K03637	bsq:B657_05960
ko:K01926	bsq:B657_05970
ko:K03116	bsq:B657_05980
ko:K03118	bsq:B657_05990
ko:K04078	bsq:B657_06020
ko:K04077	bsq:B657_06030
ko:K07160	bsq:B657_04050
ko:K06350	bsq:B657_04090
ko:K03817	bsq:B657_04210
ko:K03322	bsq:B657_04360
ko:K07217	bsq:B657_04430
ko:K11692	bsq:B657_04460
ko:K11103	bsq:B657_04470
ko:K01921	bsq:B657_04560
ko:K01929	bsq:B657_04570
ko:K05592	bsq:B657_04580
ko:K00997	bsq:B657_04620
ko:K07723	bsq:B657_04650
ko:K06959	bsq:B657_04780
ko:K02760	bsq:B657_05810
ko:K02759	bsq:B657_05820
ko:K02761	bsq:B657_05830
ko:K01223	bsq:B657_05840
ko:K00847	bsq:B657_05860
ko:K01809	bsq:B657_05870
ko:K03704	bsq:B657_05120
ko:K07736	bsq:B657_05130
ko:K13653	bsq:B657_05170
ko:K00375	bsq:B657_05240
ko:K07002	bsq:B657_05260
ko:K03893	bsq:B657_05340
ko:K07150	bsq:B657_05450
ko:K15975	bsq:B657_05490
ko:K15977	bsq:B657_05500
ko:K11737	bsq:B657_05620
ko:K07552	bsq:B657_05680
ko:K07090	bsq:B657_05690
ko:K06885	bsq:B657_05780
ko:K13993	bsq:B657_05550
ko:K08223	bsq:B657_07320
ko:K15738	bsq:B657_07370
ko:K02013	bsq:B657_07490
ko:K02015	bsq:B657_07500
ko:K02015	bsq:B657_07510
ko:K02016	bsq:B657_07520
ko:K01728	bsq:B657_07560
ko:K03319	bsq:B657_07570
ko:K00491	bsq:B657_07630
ko:K01512	bsq:B657_07640
ko:K01265	bsq:B657_07690
ko:K03310	bsq:B657_07750
ko:K03284	bsq:B657_08000
ko:K01247	bsq:B657_08010
ko:K03215	bsq:B657_08020
ko:K00627	bsq:B657_08080
ko:K00382	bsq:B657_08090
ko:K06425	bsq:B657_08110
ko:K09771	bsq:B657_08120
ko:K01232	bsq:B657_08180
ko:K03481	bsq:B657_08190
ko:K02749	bsq:B657_08200
ko:K02750	bsq:B657_08200
ko:K14205	bsq:B657_08425
ko:K02016	bsq:B657_08440
ko:K02015	bsq:B657_08450
ko:K02015	bsq:B657_08460
ko:K07071	bsq:B657_08510
ko:K03565	bsq:B657_08520
ko:K06428	bsq:B657_08550
ko:K03575	bsq:B657_08630
ko:K10780	bsq:B657_08650
ko:K06422	bsq:B657_08660
ko:K01845	bsq:B657_08710
ko:K03564	bsq:B657_08720
ko:K07038	bsq:B657_08620
ko:K00847	bsq:B657_06170
ko:K03969	bsq:B657_06180
ko:K06872	bsq:B657_06200
ko:K11735	bsq:B657_06310
ko:K03924	bsq:B657_06330
ko:K01951	bsq:B657_06360
ko:K06901	bsq:B657_06370
ko:K01588	bsq:B657_06420
ko:K01589	bsq:B657_06430
ko:K01756	bsq:B657_06440
ko:K01923	bsq:B657_06450
ko:K01952	bsq:B657_06460
ko:K01952	bsq:B657_06470
ko:K01952	bsq:B657_06480
ko:K00764	bsq:B657_06490
ko:K01933	bsq:B657_06500
ko:K11175	bsq:B657_06510
ko:K00602	bsq:B657_06520
ko:K01945	bsq:B657_06530
ko:K02435	bsq:B657_06670
ko:K06366	bsq:B657_06830
ko:K02434	bsq:B657_06690
ko:K03215	bsq:B657_06730
ko:K16137	bsq:B657_06860
ko:K06332	bsq:B657_06890
ko:K06333	bsq:B657_06900
ko:K06334	bsq:B657_06910
ko:K07718	bsq:B657_06950
ko:K15532	bsq:B657_07000
ko:K07406	bsq:B657_07130
ko:K06890	bsq:B657_07200
ko:K00978	bsq:B657_07270
ko:K01709	bsq:B657_07280
ko:K16263	bsq:B657_06550
ko:K01486	bsq:B657_06560
ko:K03657	bsq:B657_06610
ko:K01972	bsq:B657_06620
ko:K07507	bsq:B657_06650
ko:K02818	bsq:B657_07800
ko:K02819	bsq:B657_07800
ko:K05520	bsq:B657_07850
ko:K07058	bsq:B657_07900
ko:K06295	bsq:B657_07790
ko:K07300	bsq:B657_07920
ko:K03147	bsq:B657_08790
ko:K03781	bsq:B657_08820
ko:K15553	bsq:B657_08840
ko:K15554	bsq:B657_08850
ko:K01953	bsq:B657_10790
ko:K02291	bsq:B657_10810
ko:K06895	bsq:B657_10870
ko:K00860	bsq:B657_10910
ko:K00958	bsq:B657_10920
ko:K00390	bsq:B657_10930
ko:K05979	bsq:B657_10940
ko:K00111	bsq:B657_09300
ko:K13771	bsq:B657_09380
ko:K01647	bsq:B657_09440
ko:K03308	bsq:B657_09470
ko:K00375	bsq:B657_09480
ko:K03088	bsq:B657_09520
ko:K00655	bsq:B657_09540
ko:K11358	bsq:B657_09570
ko:K06199	bsq:B657_09600
ko:K06199	bsq:B657_09610
ko:K01126	bsq:B657_09620
ko:K16052	bsq:B657_09640
ko:K12410	bsq:B657_09650
ko:K00824	bsq:B657_09670
ko:K03315	bsq:B657_09680
ko:K07228	bsq:B657_09860
ko:K09682	bsq:B657_09990
ko:K00831	bsq:B657_10020
ko:K02503	bsq:B657_10030
ko:K01599	bsq:B657_10120
ko:K01772	bsq:B657_10130
ko:K00231	bsq:B657_10140
ko:K01421	bsq:B657_10160
ko:K00648	bsq:B657_10170
ko:K11102	bsq:B657_10220
ko:K03800	bsq:B657_10250
ko:K02016	bsq:B657_10330
ko:K03523	bsq:B657_10370
ko:K02250	bsq:B657_10420
ko:K03100	bsq:B657_10490
ko:K08174	bsq:B657_10520
ko:K03547	bsq:B657_10640
ko:K06304	bsq:B657_10670
