ko:K18928	eun:UMNK88_353
ko:K03116	eun:UMNK88_4666
ko:K03117	eun:UMNK88_4667
ko:K03118	eun:UMNK88_4668
ko:K03424	eun:UMNK88_4670
ko:K03182	eun:UMNK88_4671
ko:K05368	eun:UMNK88_4672
ko:K01825	eun:UMNK88_4674
ko:K03753	eun:UMNK88_4685
ko:K03752	eun:UMNK88_4686
ko:K09896	eun:UMNK88_4687
ko:K03673	eun:UMNK88_4689
ko:K03978	eun:UMNK88_4695
ko:K13650	eun:UMNK88_846
ko:K10037	eun:UMNK88_850
ko:K10036	eun:UMNK88_851
ko:K04047	eun:UMNK88_852
ko:K11939	eun:UMNK88_853
ko:K11934	eun:UMNK88_854
ko:K11924	eun:UMNK88_857
ko:K00656	eun:UMNK88_863
ko:K04069	eun:UMNK88_864
ko:K03750	eun:UMNK88_868
ko:K13051	eun:UMNK88_869
ko:K13892	eun:UMNK88_870
ko:K13889	eun:UMNK88_871
ko:K13890	eun:UMNK88_872
ko:K13891	eun:UMNK88_873
ko:K14441	eun:UMNK88_876
ko:K11534	eun:UMNK88_881
ko:K08160	eun:UMNK88_883
ko:K12941	eun:UMNK88_1773
ko:K12940	eun:UMNK88_1774
ko:K14057	eun:UMNK88_1775
ko:K05591	eun:UMNK88_1779
ko:K14058	eun:UMNK88_1780
ko:K03737	eun:UMNK88_1783
ko:K03778	eun:UMNK88_1787
ko:K09978	eun:UMNK88_1790
ko:K02618	eun:UMNK88_1794
ko:K02609	eun:UMNK88_1795
ko:K02610	eun:UMNK88_1796
ko:K02611	eun:UMNK88_1797
ko:K02612	eun:UMNK88_1798
ko:K02613	eun:UMNK88_1799
ko:K15866	eun:UMNK88_1801
ko:K00074	eun:UMNK88_1802
ko:K01912	eun:UMNK88_1805
ko:K02616	eun:UMNK88_1806
ko:K01118	eun:UMNK88_1812
ko:K03578	eun:UMNK88_1813
ko:K01874	eun:UMNK88_2657
ko:K02478	eun:UMNK88_2669
ko:K05846	eun:UMNK88_2671
ko:K05847	eun:UMNK88_2672
ko:K05846	eun:UMNK88_2673
ko:K05845	eun:UMNK88_2674
ko:K05349	eun:UMNK88_2675
ko:K03777	eun:UMNK88_2677
ko:K07262	eun:UMNK88_2678
ko:K05541	eun:UMNK88_2684
ko:K10542	eun:UMNK88_2694
ko:K02529	eun:UMNK88_2696
ko:K07148	eun:UMNK88_2697
ko:K01495	eun:UMNK88_2698
ko:K01070	eun:UMNK88_2699
ko:K11733	eun:UMNK88_2701
ko:K01151	eun:UMNK88_2704
ko:K03221	eun:UMNK88_3547
ko:K03225	eun:UMNK88_3554
ko:K13480	eun:UMNK88_3560
ko:K01751	eun:UMNK88_3563
ko:K01464	eun:UMNK88_3565
ko:K00926	eun:UMNK88_3566
ko:K07402	eun:UMNK88_3567
ko:K07141	eun:UMNK88_3569
ko:K12527	eun:UMNK88_3570
ko:K12529	eun:UMNK88_3572
ko:K12528	eun:UMNK88_3573
ko:K06901	eun:UMNK88_3576
ko:K04567	eun:UMNK88_3582
ko:K02836	eun:UMNK88_3583
ko:K07462	eun:UMNK88_3585
ko:K02848	eun:UMNK88_4414
ko:K02844	eun:UMNK88_4415
ko:K02527	eun:UMNK88_4417
ko:K00954	eun:UMNK88_4418
ko:K02913	eun:UMNK88_4420
ko:K02902	eun:UMNK88_4421
ko:K03630	eun:UMNK88_4422
ko:K13038	eun:UMNK88_4423
ko:K05501	eun:UMNK88_4425
ko:K00762	eun:UMNK88_4426
ko:K00989	eun:UMNK88_4427
ko:K01972	eun:UMNK88_4451
ko:K00942	eun:UMNK88_4453
ko:K03060	eun:UMNK88_4454
ko:K00556	eun:UMNK88_4456
ko:K03655	eun:UMNK88_4457
ko:K03312	eun:UMNK88_4458
ko:K01811	eun:UMNK88_4461
ko:K03291	eun:UMNK88_4466
ko:K02073	eun:UMNK88_4468
ko:K07641	eun:UMNK88_5318
ko:K06143	eun:UMNK88_5319
ko:K07773	eun:UMNK88_5320
ko:K04773	eun:pUMNK88_13
ko:K03530	eun:pUMNK88_21
ko:K00526	eun:UMNK88_2784
ko:K02013	eun:UMNK88_620
ko:K02015	eun:UMNK88_622
ko:K02015	eun:UMNK88_623
ko:K02016	eun:UMNK88_625
ko:K02361	eun:UMNK88_626
ko:K02363	eun:UMNK88_627
ko:K01252	eun:UMNK88_628
ko:K00216	eun:UMNK88_629
ko:K06200	eun:UMNK88_631
ko:K08317	eun:UMNK88_633
ko:K14287	eun:UMNK88_634
ko:K03805	eun:UMNK88_639
ko:K03387	eun:UMNK88_642
ko:K11932	eun:UMNK88_643
ko:K06140	eun:UMNK88_646
ko:K01169	eun:UMNK88_647
ko:K07667	eun:UMNK88_731
ko:K07646	eun:UMNK88_732
ko:K01548	eun:UMNK88_733
ko:K01547	eun:UMNK88_734
ko:K01546	eun:UMNK88_735
ko:K01669	eun:UMNK88_744
ko:K03305	eun:UMNK88_745
ko:K07160	eun:UMNK88_749
ko:K01647	eun:UMNK88_756
ko:K00242	eun:UMNK88_758
ko:K00239	eun:UMNK88_759
ko:K00240	eun:UMNK88_760
ko:K00164	eun:UMNK88_762
ko:K00658	eun:UMNK88_763
ko:K01903	eun:UMNK88_764
ko:K01902	eun:UMNK88_765
ko:K11922	eun:UMNK88_766
ko:K11198	eun:UMNK88_767
ko:K11199	eun:UMNK88_767
ko:K11200	eun:UMNK88_767
ko:K00425	eun:UMNK88_770
ko:K00426	eun:UMNK88_771
ko:K07107	eun:UMNK88_774
ko:K03562	eun:UMNK88_775
ko:K03641	eun:UMNK88_778
ko:K03640	eun:UMNK88_779
ko:K03517	eun:UMNK88_788
ko:K03971	eun:UMNK88_1643
ko:K14053	eun:UMNK88_1656
ko:K06918	eun:UMNK88_1658
ko:K08990	eun:UMNK88_1659
ko:K03721	eun:UMNK88_1660
ko:K11065	eun:UMNK88_1661
ko:K14054	eun:UMNK88_1662
ko:K15580	eun:UMNK88_1667
ko:K14055	eun:UMNK88_1670
ko:K09802	eun:UMNK88_2553
ko:K07470	eun:UMNK88_2556
ko:K01141	eun:UMNK88_2558
ko:K07112	eun:UMNK88_2560
ko:K00765	eun:UMNK88_2567
ko:K00013	eun:UMNK88_2568
ko:K00817	eun:UMNK88_2569
ko:K01089	eun:UMNK88_2570
ko:K02501	eun:UMNK88_2571
ko:K01814	eun:UMNK88_2572
ko:K02500	eun:UMNK88_2573
ko:K11755	eun:UMNK88_2574
ko:K05789	eun:UMNK88_2575
ko:K00012	eun:UMNK88_2576
ko:K01790	eun:UMNK88_2583
ko:K00973	eun:UMNK88_2584
ko:K00067	eun:UMNK88_2585
ko:K00963	eun:UMNK88_2587
ko:K03208	eun:UMNK88_2595
ko:K05589	eun:UMNK88_3423
ko:K00860	eun:UMNK88_3426
ko:K00957	eun:UMNK88_3428
ko:K09612	eun:UMNK88_3429
ko:K15342	eun:UMNK88_3434
ko:K00390	eun:UMNK88_3442
ko:K00381	eun:UMNK88_3443
ko:K01737	eun:UMNK88_3446
ko:K00313	eun:UMNK88_3447
ko:K10026	eun:UMNK88_3459
ko:K06872	eun:UMNK88_3461
ko:K01689	eun:UMNK88_3462
ko:K01937	eun:UMNK88_3463
ko:K03215	eun:UMNK88_3468
ko:K07678	eun:UMNK88_3469
ko:K01706	eun:UMNK88_3470
ko:K13918	eun:UMNK88_3471
ko:K06175	eun:UMNK88_3476
ko:K00874	eun:UMNK88_4305
ko:K11103	eun:UMNK88_4307
ko:K00694	eun:UMNK88_4313
ko:K12372	eun:UMNK88_4321
ko:K12371	eun:UMNK88_4322
ko:K12370	eun:UMNK88_4323
ko:K12369	eun:UMNK88_4324
ko:K12368	eun:UMNK88_4326
ko:K12975	eun:UMNK88_4329
ko:K08177	eun:UMNK88_4330
ko:K01246	eun:UMNK88_4332
ko:K03826	eun:UMNK88_4334
ko:K07726	eun:UMNK88_4338
ko:K03704	eun:UMNK88_4339
ko:K01879	eun:UMNK88_4343
ko:K01878	eun:UMNK88_4344
ko:K01805	eun:UMNK88_4350
ko:K10543	eun:UMNK88_4351
ko:K10545	eun:UMNK88_4352
ko:K02529	eun:UMNK88_4354
ko:K00835	eun:UMNK88_4357
ko:K07091	eun:UMNK88_5207
ko:K11720	eun:UMNK88_5208
ko:K06915	eun:UMNK88_5209
ko:K12957	eun:UMNK88_5210
ko:K02168	eun:UMNK88_5216
ko:K09824	eun:UMNK88_5219
ko:K02013	eun:UMNK88_5225
ko:K02015	eun:UMNK88_5227
ko:K02015	eun:UMNK88_5228
ko:K02016	eun:UMNK88_5229
ko:K03088	eun:UMNK88_5232
ko:K01686	eun:UMNK88_5243
ko:K01305	eun:UMNK88_5251
ko:K07559	eun:UMNK88_5255
ko:K02532	eun:UMNK88_393
ko:K05818	eun:UMNK88_396
ko:K01666	eun:UMNK88_402
ko:K05819	eun:UMNK88_403
ko:K09912	eun:UMNK88_404
ko:K01070	eun:UMNK88_406
ko:K15551	eun:UMNK88_415
ko:K15552	eun:UMNK88_417
ko:K03119	eun:UMNK88_418
ko:K01698	eun:UMNK88_419
ko:K01921	eun:UMNK88_429
ko:K00286	eun:UMNK88_435
ko:K09768	eun:UMNK88_436
ko:K00891	eun:UMNK88_437
ko:K14591	eun:UMNK88_439
ko:K09913	eun:UMNK88_440
ko:K03554	eun:UMNK88_442
ko:K00847	eun:UMNK88_443
ko:K03547	eun:UMNK88_446
ko:K07636	eun:UMNK88_449
ko:K04335	eun:UMNK88_1306
ko:K04334	eun:UMNK88_1307
ko:K04336	eun:UMNK88_1308
ko:K11941	eun:UMNK88_1312
ko:K03670	eun:UMNK88_1315
ko:K03320	eun:UMNK88_504
ko:K10805	eun:UMNK88_505
ko:K09914	eun:UMNK88_507
ko:K07443	eun:UMNK88_508
ko:K03577	eun:UMNK88_517
ko:K05802	eun:UMNK88_518
ko:K09790	eun:UMNK88_521
ko:K00759	eun:UMNK88_522
ko:K02343	eun:UMNK88_523
ko:K09747	eun:UMNK88_524
ko:K06187	eun:UMNK88_525
ko:K04079	eun:UMNK88_526
ko:K01772	eun:UMNK88_529
ko:K00892	eun:UMNK88_530
ko:K08223	eun:UMNK88_532
ko:K09973	eun:UMNK88_535
ko:K01425	eun:UMNK88_538
ko:K07340	eun:UMNK88_540
ko:K02068	eun:UMNK88_543
ko:K02069	eun:UMNK88_544
ko:K05838	eun:UMNK88_545
ko:K10804	eun:UMNK88_547
ko:K02003	eun:UMNK88_548
ko:K06917	eun:UMNK88_554
ko:K10972	eun:UMNK88_555
ko:K01483	eun:UMNK88_556
ko:K10973	eun:UMNK88_557
ko:K01608	eun:UMNK88_558
ko:K10975	eun:UMNK88_561
ko:K07637	eun:UMNK88_1460
ko:K01756	eun:UMNK88_1462
ko:K07153	eun:UMNK88_1464
ko:K00566	eun:UMNK88_1465
ko:K12152	eun:UMNK88_1466
ko:K06181	eun:UMNK88_1467
ko:K00031	eun:UMNK88_1468
ko:K09918	eun:UMNK88_2319
ko:K08289	eun:UMNK88_2320
ko:K01625	eun:UMNK88_2321
ko:K01690	eun:UMNK88_2322
ko:K00036	eun:UMNK88_2323
ko:K00873	eun:UMNK88_2326
ko:K02560	eun:UMNK88_2327
ko:K09817	eun:UMNK88_2330
ko:K09816	eun:UMNK88_2331
ko:K03551	eun:UMNK88_2332
ko:K03550	eun:UMNK88_2333
ko:K01159	eun:UMNK88_2335
ko:K05964	eun:UMNK88_650
ko:K01643	eun:UMNK88_651
ko:K01644	eun:UMNK88_652
ko:K01646	eun:UMNK88_653
ko:K01910	eun:UMNK88_654
ko:K07700	eun:UMNK88_655
ko:K07702	eun:UMNK88_656
ko:K12973	eun:UMNK88_658
ko:K03704	eun:UMNK88_659
ko:K06199	eun:UMNK88_660
ko:K03425	eun:UMNK88_662
ko:K03644	eun:UMNK88_663
ko:K03801	eun:UMNK88_665
ko:K09158	eun:UMNK88_666
ko:K03642	eun:UMNK88_668
ko:K05837	eun:UMNK88_670
ko:K05515	eun:UMNK88_671
ko:K00783	eun:UMNK88_672
ko:K07300	eun:UMNK88_1535
ko:K07673	eun:UMNK88_1541
ko:K02575	eun:UMNK88_1543
ko:K00370	eun:UMNK88_1544
ko:K00371	eun:UMNK88_1545
ko:K00373	eun:UMNK88_1546
ko:K01433	eun:UMNK88_1550
ko:K09858	eun:UMNK88_1551
ko:K07001	eun:UMNK88_1552
ko:K00963	eun:UMNK88_1554
ko:K04072	eun:UMNK88_1560
ko:K15580	eun:UMNK88_1563
ko:K15581	eun:UMNK88_1564
ko:K09901	eun:UMNK88_1568
ko:K06131	eun:UMNK88_1569
ko:K10716	eun:UMNK88_1570
ko:K09780	eun:UMNK88_1571
ko:K03832	eun:UMNK88_1582
ko:K10806	eun:UMNK88_1583
ko:K06190	eun:UMNK88_1584
ko:K07275	eun:UMNK88_1586
ko:K02421	eun:UMNK88_2427
ko:K07781	eun:UMNK88_2428
ko:K07026	eun:UMNK88_2432
ko:K09781	eun:UMNK88_2434
ko:K07458	eun:UMNK88_2435
ko:K06950	eun:UMNK88_2438
ko:K05523	eun:UMNK88_2444
ko:K07127	eun:UMNK88_2447
ko:K15737	eun:UMNK88_3328
ko:K15736	eun:UMNK88_3329
ko:K11735	eun:UMNK88_3332
ko:K15735	eun:UMNK88_3334
ko:K02000	eun:UMNK88_3346
ko:K02001	eun:UMNK88_3347
ko:K02002	eun:UMNK88_3348
ko:K15974	eun:UMNK88_3353
ko:K03543	eun:UMNK88_3355
ko:K03446	eun:UMNK88_3356
ko:K07173	eun:UMNK88_3357
ko:K01919	eun:UMNK88_3358
ko:K03563	eun:UMNK88_3366
ko:K01872	eun:UMNK88_3368
ko:K03565	eun:UMNK88_3370
ko:K00111	eun:UMNK88_4193
ko:K02040	eun:UMNK88_4197
ko:K00688	eun:UMNK88_4198
ko:K00703	eun:UMNK88_4199
ko:K00975	eun:UMNK88_4200
ko:K00133	eun:UMNK88_4203
ko:K06156	eun:UMNK88_4205
ko:K06145	eun:UMNK88_4207
ko:K06911	eun:UMNK88_4208
ko:K01126	eun:UMNK88_4216
ko:K05813	eun:UMNK88_4221
ko:K01996	eun:UMNK88_4223
ko:K01995	eun:UMNK88_4224
ko:K01998	eun:UMNK88_4225
ko:K01997	eun:UMNK88_4226
ko:K01999	eun:UMNK88_4227
ko:K01999	eun:UMNK88_4230
ko:K03089	eun:UMNK88_4231
ko:K09811	eun:UMNK88_4232
ko:K09812	eun:UMNK88_4233
ko:K03110	eun:UMNK88_4234
ko:K08993	eun:UMNK88_4236
ko:K01534	eun:UMNK88_4239
ko:K09125	eun:UMNK88_4241
ko:K06133	eun:UMNK88_4245
ko:K00246	eun:UMNK88_5092
ko:K04568	eun:UMNK88_5095
ko:K01613	eun:UMNK88_5098
ko:K06949	eun:UMNK88_5099
ko:K13288	eun:UMNK88_5100
ko:K06925	eun:UMNK88_5106
ko:K01448	eun:UMNK88_5107
ko:K03572	eun:UMNK88_5109
ko:K00791	eun:UMNK88_5110
ko:K03666	eun:UMNK88_5111
ko:K03665	eun:UMNK88_5112
ko:K04088	eun:UMNK88_5113
ko:K04087	eun:UMNK88_5114
ko:K09937	eun:UMNK88_5115
ko:K01939	eun:UMNK88_5116
ko:K13771	eun:UMNK88_5117
ko:K12573	eun:UMNK88_5118
ko:K03218	eun:UMNK88_5119
ko:K01685	eun:UMNK88_5123
ko:K09980	eun:UMNK88_5125
ko:K08989	eun:UMNK88_5129
ko:K09456	eun:UMNK88_5133
ko:K03477	eun:UMNK88_5136
ko:K03078	eun:UMNK88_5143
ko:K02990	eun:UMNK88_5148
ko:K02963	eun:UMNK88_5149
ko:K00287	eun:UMNK88_48
ko:K03669	eun:UMNK88_1316
ko:K12147	eun:UMNK88_1317
ko:K02517	eun:UMNK88_1320
ko:K07146	eun:UMNK88_1321
ko:K02846	eun:UMNK88_1326
ko:K12148	eun:UMNK88_1327
ko:K12149	eun:UMNK88_1328
ko:K01465	eun:UMNK88_1329
ko:K03675	eun:UMNK88_1331
ko:K08162	eun:UMNK88_1332
ko:K03790	eun:UMNK88_1333
ko:K09915	eun:UMNK88_1334
ko:K03980	eun:UMNK88_1336
ko:K02399	eun:UMNK88_1337
ko:K02398	eun:UMNK88_1338
ko:K02386	eun:UMNK88_1339
ko:K02387	eun:UMNK88_1341
ko:K02388	eun:UMNK88_1342
ko:K02389	eun:UMNK88_1343
ko:K02390	eun:UMNK88_1344
ko:K02391	eun:UMNK88_1345
ko:K02392	eun:UMNK88_1346
ko:K02393	eun:UMNK88_1347
ko:K02394	eun:UMNK88_1348
ko:K02395	eun:UMNK88_1349
ko:K02396	eun:UMNK88_1350
ko:K02397	eun:UMNK88_1351
ko:K08300	eun:UMNK88_1352
ko:K07040	eun:UMNK88_1358
ko:K05984	eun:UMNK88_2206
ko:K09975	eun:UMNK88_2205
ko:K05526	eun:UMNK88_2208
ko:K01484	eun:UMNK88_2209
ko:K06447	eun:UMNK88_2210
ko:K00673	eun:UMNK88_2211
ko:K00840	eun:UMNK88_2212
ko:K01142	eun:UMNK88_2214
ko:K05777	eun:UMNK88_2219
ko:K05778	eun:UMNK88_2220
ko:K05779	eun:UMNK88_2221
ko:K08320	eun:UMNK88_2225
ko:K00262	eun:UMNK88_2226
ko:K01008	eun:UMNK88_2229
ko:K04773	eun:UMNK88_2231
ko:K08281	eun:UMNK88_2233
ko:K08369	eun:UMNK88_2234
ko:K08369	eun:UMNK88_2240
ko:K09916	eun:UMNK88_2242
ko:K00134	eun:UMNK88_2244
ko:K01792	eun:UMNK88_2245
ko:K07180	eun:UMNK88_2248
ko:K09786	eun:UMNK88_2249
ko:K03449	eun:UMNK88_2256
ko:K09712	eun:UMNK88_2258
ko:K10763	eun:UMNK88_3092
ko:K00761	eun:UMNK88_3094
ko:K01933	eun:UMNK88_3096
ko:K11175	eun:UMNK88_3097
ko:K00937	eun:UMNK88_3098
ko:K01524	eun:UMNK88_3099
ko:K00266	eun:UMNK88_3975
ko:K00885	eun:UMNK88_3983
ko:K03290	eun:UMNK88_3985
ko:K03600	eun:UMNK88_3989
ko:K03599	eun:UMNK88_3990
ko:K02996	eun:UMNK88_3991
ko:K02871	eun:UMNK88_3992
ko:K06916	eun:UMNK88_3993
ko:K09908	eun:UMNK88_3994
ko:K04691	eun:UMNK88_3996
ko:K00024	eun:UMNK88_3997
ko:K03402	eun:UMNK88_3998
ko:K03623	eun:UMNK88_4000
ko:K03468	eun:UMNK88_4001
ko:K15548	eun:UMNK88_4002
ko:K03568	eun:UMNK88_4005
ko:K08301	eun:UMNK88_4007
ko:K06287	eun:UMNK88_4008
ko:K03571	eun:UMNK88_4009
ko:K03570	eun:UMNK88_4010
ko:K03569	eun:UMNK88_4011
ko:K02160	eun:UMNK88_4015
ko:K01961	eun:UMNK88_4016
ko:K14392	eun:UMNK88_4018
ko:K02687	eun:UMNK88_4019
ko:K03557	eun:UMNK88_4021
ko:K09969	eun:UMNK88_4028
ko:K03324	eun:UMNK88_4865
ko:K05995	eun:UMNK88_4866
ko:K02815	eun:UMNK88_4868
ko:K02814	eun:UMNK88_4869
ko:K02813	eun:UMNK88_4870
ko:K02812	eun:UMNK88_4871
ko:K06182	eun:UMNK88_4874
ko:K00928	eun:UMNK88_4876
ko:K01810	eun:UMNK88_4877
ko:K13256	eun:UMNK88_4884
ko:K08138	eun:UMNK88_4885
ko:K02024	eun:UMNK88_4890
ko:K05775	eun:UMNK88_4892
ko:K03181	eun:UMNK88_4895
ko:K03179	eun:UMNK88_4896
ko:K00631	eun:UMNK88_4897
ko:K00901	eun:UMNK88_4898
ko:K01356	eun:UMNK88_4899
ko:K03327	eun:UMNK88_4900
ko:K09823	eun:UMNK88_4902
ko:K05539	eun:UMNK88_4905
ko:K01775	eun:UMNK88_4909
ko:K00832	eun:UMNK88_4910
ko:K03788	eun:UMNK88_4913
ko:K03701	eun:UMNK88_4916
ko:K13631	eun:UMNK88_4920
ko:K08310	eun:UMNK88_2337
ko:K01876	eun:UMNK88_2338
ko:K07136	eun:UMNK88_2341
ko:K15256	eun:UMNK88_2342
ko:K15257	eun:UMNK88_2343
ko:K07821	eun:UMNK88_2345
ko:K09907	eun:UMNK88_2347
ko:K01887	eun:UMNK88_2348
ko:K03516	eun:UMNK88_2350
ko:K02400	eun:UMNK88_2351
ko:K02401	eun:UMNK88_2352
ko:K03414	eun:UMNK88_2354
ko:K03413	eun:UMNK88_2355
ko:K03412	eun:UMNK88_2356
ko:K05877	eun:UMNK88_2358
ko:K03408	eun:UMNK88_2360
ko:K03407	eun:UMNK88_2361
ko:K02557	eun:UMNK88_2362
ko:K02556	eun:UMNK88_2363
ko:K02402	eun:UMNK88_2364
ko:K02403	eun:UMNK88_2365
ko:K14064	eun:UMNK88_2366
ko:K00697	eun:UMNK88_2367
ko:K01087	eun:UMNK88_2368
ko:K10538	eun:UMNK88_2369
ko:K00600	eun:UMNK88_3204
ko:K05916	eun:UMNK88_3205
ko:K04751	eun:UMNK88_3206
ko:K07715	eun:UMNK88_3207
ko:K07711	eun:UMNK88_3209
ko:K01952	eun:UMNK88_3210
ko:K11991	eun:UMNK88_3211
ko:K00997	eun:UMNK88_3216
ko:K03474	eun:UMNK88_3217
ko:K03584	eun:UMNK88_3218
ko:K03685	eun:UMNK88_3220
ko:K03100	eun:UMNK88_3221
ko:K03596	eun:UMNK88_3222
ko:K03598	eun:UMNK88_3224
ko:K03597	eun:UMNK88_3225
ko:K03088	eun:UMNK88_3226
ko:K00278	eun:UMNK88_3228
ko:K05590	eun:UMNK88_3229
ko:K11249	eun:UMNK88_3231
ko:K03648	eun:UMNK88_3233
ko:K03214	eun:UMNK88_3234
ko:K03672	eun:UMNK88_3235
ko:K00998	eun:UMNK88_3238
ko:K05811	eun:UMNK88_3240
ko:K03695	eun:UMNK88_3247
ko:K05810	eun:UMNK88_3248
ko:K06180	eun:UMNK88_3249
ko:K05807	eun:UMNK88_3250
ko:K05809	eun:UMNK88_3251
ko:K14170	eun:UMNK88_3252
ko:K14187	eun:UMNK88_3253
ko:K01626	eun:UMNK88_3254
ko:K02452	eun:UMNK88_4085
ko:K02453	eun:UMNK88_4086
ko:K02455	eun:UMNK88_4088
ko:K02456	eun:UMNK88_4089
ko:K02457	eun:UMNK88_4090
ko:K02458	eun:UMNK88_4091
ko:K02459	eun:UMNK88_4092
ko:K02460	eun:UMNK88_4093
ko:K02461	eun:UMNK88_4094
ko:K02462	eun:UMNK88_4095
ko:K03594	eun:UMNK88_4097
ko:K02192	eun:UMNK88_4098
ko:K02355	eun:UMNK88_4104
ko:K02992	eun:UMNK88_4105
ko:K02950	eun:UMNK88_4106
ko:K07237	eun:UMNK88_4107
ko:K07236	eun:UMNK88_4108
ko:K07235	eun:UMNK88_4109
ko:K03745	eun:UMNK88_4112
ko:K03775	eun:UMNK88_4113
ko:K07070	eun:UMNK88_4114
ko:K06158	eun:UMNK88_4117
ko:K00855	eun:UMNK88_4120
ko:K07397	eun:UMNK88_4121
ko:K04095	eun:UMNK88_4126
ko:K06141	eun:UMNK88_4130
ko:K00362	eun:UMNK88_4131
ko:K00363	eun:UMNK88_4132
ko:K02598	eun:UMNK88_4133
ko:K02302	eun:UMNK88_4134
ko:K06193	eun:UMNK88_4972
ko:K03762	eun:UMNK88_4975
ko:K07643	eun:UMNK88_4976
ko:K03760	eun:UMNK88_4978
ko:K03759	eun:UMNK88_4979
ko:K03755	eun:UMNK88_4980
ko:K01584	eun:UMNK88_4981
ko:K07406	eun:UMNK88_4983
ko:K08984	eun:UMNK88_4985
ko:K01676	eun:UMNK88_4986
ko:K07703	eun:UMNK88_4988
ko:K07701	eun:UMNK88_4989
ko:K06975	eun:UMNK88_4992
ko:K04567	eun:UMNK88_4995
ko:K03305	eun:UMNK88_4996
ko:K03765	eun:UMNK88_5000
ko:K12055	eun:UMNK88_5001
ko:K13301	eun:UMNK88_97
ko:K03070	eun:UMNK88_98
ko:K09862	eun:UMNK88_100
ko:K00859	eun:UMNK88_102
ko:K00364	eun:UMNK88_103
ko:K02505	eun:UMNK88_104
ko:K02504	eun:UMNK88_105
ko:K02682	eun:UMNK88_106
ko:K00767	eun:UMNK88_107
ko:K03806	eun:UMNK88_108
ko:K03807	eun:UMNK88_109
ko:K11734	eun:UMNK88_110
ko:K00163	eun:UMNK88_112
ko:K00627	eun:UMNK88_113
ko:K00382	eun:UMNK88_114
ko:K01682	eun:UMNK88_116
ko:K09910	eun:UMNK88_117
ko:K01611	eun:UMNK88_118
ko:K00797	eun:UMNK88_119
ko:K14588	eun:UMNK88_121
ko:K00117	eun:UMNK88_123
ko:K00760	eun:UMNK88_124
ko:K01673	eun:UMNK88_125
ko:K01579	eun:UMNK88_130
ko:K01918	eun:UMNK88_133
ko:K00606	eun:UMNK88_134
ko:K00950	eun:UMNK88_146
ko:K01894	eun:UMNK88_148
ko:K06204	eun:UMNK88_149
ko:K06206	eun:UMNK88_150
ko:K01975	eun:UMNK88_151
ko:K03579	eun:UMNK88_152
ko:K05365	eun:UMNK88_153
ko:K07306	eun:UMNK88_1045
ko:K08219	eun:UMNK88_1050
ko:K04069	eun:UMNK88_1054
ko:K00656	eun:UMNK88_1055
ko:K09136	eun:UMNK88_1057
ko:K00831	eun:UMNK88_1059
ko:K00800	eun:UMNK88_1060
ko:K07387	eun:UMNK88_1061
ko:K00945	eun:UMNK88_1062
ko:K02945	eun:UMNK88_1063
ko:K05788	eun:UMNK88_1064
ko:K00912	eun:UMNK88_1068
ko:K09927	eun:UMNK88_1069
ko:K09791	eun:UMNK88_1070
ko:K00979	eun:UMNK88_1071
ko:K07154	eun:UMNK88_1925
ko:K11216	eun:UMNK88_1929
ko:K11531	eun:UMNK88_1930
ko:K10558	eun:UMNK88_1931
ko:K10556	eun:UMNK88_1932
ko:K10557	eun:UMNK88_1934
ko:K10555	eun:UMNK88_1935
ko:K08321	eun:UMNK88_1936
ko:K00041	eun:UMNK88_1940
ko:K01425	eun:UMNK88_1944
ko:K08324	eun:UMNK88_1945
ko:K08159	eun:UMNK88_1949
ko:K03712	eun:UMNK88_1951
ko:K13632	eun:UMNK88_1952
ko:K13630	eun:UMNK88_1953
ko:K01223	eun:UMNK88_1954
ko:K10124	eun:UMNK88_1955
ko:K02759	eun:UMNK88_1956
ko:K02761	eun:UMNK88_1957
ko:K02760	eun:UMNK88_1958
ko:K03482	eun:UMNK88_1959
ko:K15268	eun:UMNK88_1960
ko:K01284	eun:UMNK88_1965
ko:K02551	eun:UMNK88_2817
ko:K05594	eun:UMNK88_2819
ko:K00343	eun:UMNK88_2826
ko:K00342	eun:UMNK88_2827
ko:K00341	eun:UMNK88_2828
ko:K00340	eun:UMNK88_2829
ko:K00339	eun:UMNK88_2830
ko:K00338	eun:UMNK88_2831
ko:K00337	eun:UMNK88_2832
ko:K00334	eun:UMNK88_2835
ko:K13378	eun:UMNK88_2836
ko:K00331	eun:UMNK88_2837
ko:K00330	eun:UMNK88_2838
ko:K14260	eun:UMNK88_2840
ko:K09161	eun:UMNK88_2844
ko:K09899	eun:UMNK88_2845
ko:K00925	eun:UMNK88_2847
ko:K13788	eun:UMNK88_2848
ko:K07095	eun:UMNK88_2851
ko:K07589	eun:UMNK88_2854
ko:K07071	eun:UMNK88_2855
ko:K10017	eun:UMNK88_2857
ko:K10015	eun:UMNK88_2858
ko:K06222	eun:UMNK88_215
ko:K08307	eun:UMNK88_218
ko:K11911	eun:UMNK88_227
ko:K11891	eun:UMNK88_228
ko:K11910	eun:UMNK88_230
ko:K11909	eun:UMNK88_231
ko:K11907	eun:UMNK88_232
ko:K11892	eun:UMNK88_233
ko:K11893	eun:UMNK88_234
ko:K11906	eun:UMNK88_235
ko:K11895	eun:UMNK88_237
ko:K11896	eun:UMNK88_238
ko:K11905	eun:UMNK88_239
ko:K11900	eun:UMNK88_240
ko:K11901	eun:UMNK88_242
