ko:K12132	bti:BTG_30470
ko:K04083	bti:BTG_20570
ko:K03525	bti:BTG_20575
ko:K03798	bti:BTG_20580
ko:K00760	bti:BTG_20585
ko:K04075	bti:BTG_20590
ko:K06382	bti:BTG_20595
ko:K07571	bti:BTG_20600
ko:K02499	bti:BTG_20625
ko:K04769	bti:BTG_20635
ko:K03723	bti:BTG_20640
ko:K01056	bti:BTG_20650
ko:K00948	bti:BTG_20655
ko:K04042	bti:BTG_20660
ko:K06412	bti:BTG_20665
ko:K09685	bti:BTG_20675
ko:K00919	bti:BTG_20680
ko:K06423	bti:BTG_20685
ko:K06436	bti:BTG_20695
ko:K02528	bti:BTG_20700
ko:K05985	bti:BTG_20705
ko:K03424	bti:BTG_20710
ko:K01874	bti:BTG_20715
ko:K06284	bti:BTG_20720
ko:K07056	bti:BTG_20725
ko:K07461	bti:BTG_20730
ko:K02341	bti:BTG_20750
ko:K00943	bti:BTG_20755
ko:K06317	bti:BTG_20770
ko:K06187	bti:BTG_20780
ko:K09747	bti:BTG_20785
ko:K02343	bti:BTG_20790
ko:K15518	bti:BTG_20805
ko:K15519	bti:BTG_20810
ko:K01875	bti:BTG_20820
ko:K08681	bti:BTG_20825
ko:K06215	bti:BTG_20830
ko:K07258	bti:BTG_20835
ko:K00088	bti:BTG_20840
ko:K01784	bti:BTG_07615
ko:K13015	bti:BTG_07625
ko:K06133	bti:BTG_07705
ko:K07258	bti:BTG_07745
ko:K07090	bti:BTG_07755
ko:K01270	bti:BTG_07790
ko:K01754	bti:BTG_07880
ko:K09001	bti:BTG_07900
ko:K02761	bti:BTG_07910
ko:K02760	bti:BTG_07915
ko:K03088	bti:BTG_07945
ko:K09702	bti:BTG_08025
ko:K00133	bti:BTG_08050
ko:K07052	bti:BTG_08080
ko:K03704	bti:BTG_08085
ko:K00231	bti:BTG_08105
ko:K03825	bti:BTG_08130
ko:K06994	bti:BTG_08155
ko:K09936	bti:BTG_08175
ko:K09936	bti:BTG_08185
ko:K07238	bti:BTG_08215
ko:K02004	bti:BTG_08220
ko:K02003	bti:BTG_08225
ko:K01868	bti:BTG_08230
ko:K06182	bti:BTG_08235
ko:K03310	bti:BTG_08255
ko:K03530	bti:BTG_08275
ko:K06133	bti:BTG_08285
ko:K04780	bti:BTG_08300
ko:K01252	bti:BTG_08305
ko:K02363	bti:BTG_08310
ko:K02361	bti:BTG_08315
ko:K00216	bti:BTG_08320
ko:K08177	bti:BTG_08325
ko:K03547	bti:BTG_08350
ko:K00140	bti:BTG_08375
ko:K01720	bti:BTG_08400
ko:K01647	bti:BTG_08405
ko:K05366	bti:BTG_08425
ko:K00616	bti:BTG_17810
ko:K10439	bti:BTG_17815
ko:K10440	bti:BTG_17820
ko:K10441	bti:BTG_17825
ko:K06925	bti:BTG_19695
ko:K03095	bti:BTG_19705
ko:K06959	bti:BTG_19715
ko:K07723	bti:BTG_19725
ko:K01775	bti:BTG_19730
ko:K00997	bti:BTG_19740
ko:K05592	bti:BTG_19755
ko:K01929	bti:BTG_19760
ko:K01921	bti:BTG_19765
ko:K03294	bti:BTG_19775
ko:K00451	bti:BTG_19780
ko:K00457	bti:BTG_19790
ko:K02034	bti:BTG_19825
ko:K02033	bti:BTG_19830
ko:K02035	bti:BTG_19835
ko:K03424	bti:BTG_19875
ko:K06349	bti:BTG_20155
ko:K06294	bti:BTG_20160
ko:K03593	bti:BTG_20165
ko:K01448	bti:BTG_20170
ko:K02996	bti:BTG_20180
ko:K02871	bti:BTG_20185
ko:K06173	bti:BTG_20190
ko:K02879	bti:BTG_20210
ko:K03040	bti:BTG_20215
ko:K02948	bti:BTG_20220
ko:K02952	bti:BTG_20225
ko:K02919	bti:BTG_20230
ko:K02518	bti:BTG_20235
ko:K01265	bti:BTG_20240
ko:K00939	bti:BTG_20245
ko:K03076	bti:BTG_20250
ko:K02876	bti:BTG_20255
ko:K02907	bti:BTG_20260
ko:K02988	bti:BTG_20265
ko:K02881	bti:BTG_20270
ko:K02933	bti:BTG_20275
ko:K02994	bti:BTG_20280
ko:K02954	bti:BTG_20285
ko:K02931	bti:BTG_20290
ko:K02895	bti:BTG_20295
ko:K02874	bti:BTG_20300
ko:K02961	bti:BTG_20305
ko:K02904	bti:BTG_20310
ko:K11035	bti:BTG_03715
ko:K11035	bti:BTG_03710
ko:K11037	bti:BTG_03705
ko:K02878	bti:BTG_20315
ko:K02982	bti:BTG_20320
ko:K02890	bti:BTG_20325
ko:K02965	bti:BTG_20330
ko:K02886	bti:BTG_20335
ko:K02892	bti:BTG_20340
ko:K02926	bti:BTG_20345
ko:K02906	bti:BTG_20350
ko:K02946	bti:BTG_20355
ko:K02358	bti:BTG_20365
ko:K02355	bti:BTG_20370
ko:K02992	bti:BTG_20375
ko:K02950	bti:BTG_20380
ko:K07590	bti:BTG_20385
ko:K02338	bti:BTG_31463
ko:K02279	bti:BTG_31608
ko:K02283	bti:BTG_31618
ko:K01977	bti:BTG_r30771
ko:K01977	bti:BTG_r30773
ko:K01977	bti:BTG_r30777
ko:K01977	bti:BTG_r30779
ko:K01977	bti:BTG_r30787
ko:K01977	bti:BTG_r30783
ko:K01977	bti:BTG_r30785
ko:K01977	bti:BTG_r30789
ko:K01977	bti:BTG_r30767
ko:K01977	bti:BTG_r30781
ko:K01977	bti:BTG_r30775
ko:K01977	bti:BTG_r30769
ko:K11614	bti:BTG_18280
ko:K03406	bti:BTG_18285
ko:K05815	bti:BTG_18320
ko:K05814	bti:BTG_18325
ko:K05816	bti:BTG_18330
ko:K02443	bti:BTG_18335
ko:K03300	bti:BTG_18365
ko:K03406	bti:BTG_18380
ko:K07192	bti:BTG_18385
ko:K01387	bti:BTG_18395
ko:K09786	bti:BTG_18410
ko:K07180	bti:BTG_18415
ko:K03216	bti:BTG_18430
ko:K03574	bti:BTG_18455
ko:K09825	bti:BTG_18485
ko:K03564	bti:BTG_18490
ko:K08713	bti:BTG_18495
ko:K01845	bti:BTG_18515
ko:K11085	bti:BTG_18530
ko:K07586	bti:BTG_18535
ko:K06422	bti:BTG_18550
ko:K03575	bti:BTG_18560
ko:K07038	bti:BTG_18565
ko:K06428	bti:BTG_18575
ko:K03565	bti:BTG_18590
ko:K07071	bti:BTG_18595
ko:K04069	bti:BTG_18620
ko:K00656	bti:BTG_18625
ko:K01784	bti:BTG_18635
ko:K01425	bti:BTG_18670
ko:K06714	bti:BTG_18710
ko:K06173	bti:BTG_18720
ko:K01247	bti:BTG_18735
ko:K01676	bti:BTG_18745
ko:K07300	bti:BTG_18765
ko:K08978	bti:BTG_18780
ko:K03100	bti:BTG_18800
ko:K01534	bti:BTG_18815
ko:K07058	bti:BTG_18820
ko:K01104	bti:BTG_18830
ko:K05795	bti:BTG_18860
ko:K05795	bti:BTG_18865
ko:K01881	bti:BTG_18885
ko:K06902	bti:BTG_18900
ko:K07729	bti:BTG_18905
ko:K03406	bti:BTG_18985
ko:K07791	bti:BTG_18990
ko:K00788	bti:BTG_18995
ko:K00878	bti:BTG_19000
ko:K01421	bti:BTG_19010
ko:K00926	bti:BTG_19050
ko:K03758	bti:BTG_19055
ko:K00611	bti:BTG_19060
ko:K01478	bti:BTG_19065
ko:K07090	bti:BTG_16305
ko:K01153	bti:BTG_16380
ko:K01154	bti:BTG_16385
ko:K03427	bti:BTG_16390
ko:K01857	bti:BTG_16685
ko:K07396	bti:BTG_16725
ko:K02034	bti:BTG_16755
ko:K02033	bti:BTG_16760
ko:K02035	bti:BTG_16765
ko:K01448	bti:BTG_16790
ko:K03294	bti:BTG_17100
ko:K10979	bti:BTG_17140
ko:K06332	bti:BTG_17155
ko:K06333	bti:BTG_17160
ko:K06334	bti:BTG_17165
ko:K03311	bti:BTG_17170
ko:K02034	bti:BTG_17175
ko:K02033	bti:BTG_17180
ko:K02005	bti:BTG_17190
ko:K02003	bti:BTG_17195
ko:K02004	bti:BTG_17200
ko:K02761	bti:BTG_17225
ko:K02760	bti:BTG_17230
ko:K02759	bti:BTG_17235
ko:K03491	bti:BTG_17240
ko:K09963	bti:BTG_17245
ko:K03324	bti:BTG_17255
ko:K02038	bti:BTG_17550
ko:K02037	bti:BTG_17555
ko:K02040	bti:BTG_17560
ko:K04758	bti:BTG_17565
ko:K04759	bti:BTG_17575
ko:K06312	bti:BTG_17585
ko:K06311	bti:BTG_17595
ko:K06310	bti:BTG_17600
ko:K03307	bti:BTG_17605
ko:K02826	bti:BTG_17630
ko:K02827	bti:BTG_17635
ko:K02828	bti:BTG_17640
ko:K02829	bti:BTG_17645
ko:K03499	bti:BTG_17650
ko:K07729	bti:BTG_17670
ko:K03311	bti:BTG_17695
ko:K03305	bti:BTG_17705
ko:K03406	bti:BTG_17735
ko:K06153	bti:BTG_17740
ko:K01114	bti:BTG_17775
ko:K09607	bti:BTG_17805
ko:K01222	bti:BTG_22360
ko:K03478	bti:BTG_22365
ko:K07240	bti:BTG_22370
ko:K00012	bti:BTG_22395
ko:K02240	bti:BTG_22430
ko:K02242	bti:BTG_22435
ko:K03704	bti:BTG_22440
ko:K05808	bti:BTG_22445
ko:K03070	bti:BTG_22485
ko:K09812	bti:BTG_22510
ko:K09811	bti:BTG_22515
ko:K03797	bti:BTG_22520
ko:K06147	bti:BTG_22530
ko:K06304	bti:BTG_08460
ko:K07533	bti:BTG_08485
ko:K06714	bti:BTG_08625
ko:K01438	bti:BTG_08635
ko:K01034	bti:BTG_08645
ko:K11686	bti:BTG_08680
ko:K03758	bti:BTG_08705
ko:K05845	bti:BTG_08710
ko:K05846	bti:BTG_08710
ko:K05847	bti:BTG_08715
ko:K00033	bti:BTG_08745
ko:K03299	bti:BTG_08750
ko:K00851	bti:BTG_08755
ko:K13953	bti:BTG_08775
ko:K02480	bti:BTG_08795
ko:K00824	bti:BTG_08835
ko:K02016	bti:BTG_08840
ko:K01448	bti:BTG_08845
ko:K01953	bti:BTG_08860
ko:K07152	bti:BTG_08870
ko:K03118	bti:BTG_08895
ko:K03116	bti:BTG_08900
ko:K11068	bti:BTG_08905
ko:K00655	bti:BTG_08910
ko:K01118	bti:BTG_08915
ko:K01091	bti:BTG_08950
ko:K07727	bti:BTG_08985
ko:K01779	bti:BTG_09005
ko:K01091	bti:BTG_09020
ko:K09962	bti:BTG_09030
ko:K01259	bti:BTG_09035
ko:K03308	bti:BTG_09040
ko:K01870	bti:BTG_09060
ko:K01887	bti:BTG_09080
ko:K15738	bti:BTG_09130
ko:K06950	bti:BTG_09135
ko:K06416	bti:BTG_09165
ko:K00675	bti:BTG_09180
ko:K07322	bti:BTG_09200
ko:K00362	bti:BTG_09205
ko:K00363	bti:BTG_09210
ko:K13542	bti:BTG_09215
ko:K02304	bti:BTG_09225
ko:K07088	bti:BTG_09235
ko:K02575	bti:BTG_09245
ko:K03636	bti:BTG_09250
ko:K03635	bti:BTG_09255
ko:K03750	bti:BTG_09260
ko:K03639	bti:BTG_09270
ko:K00374	bti:BTG_09280
ko:K00373	bti:BTG_09285
ko:K00371	bti:BTG_09290
ko:K00370	bti:BTG_09295
ko:K03924	bti:BTG_09300
ko:K00432	bti:BTG_09315
ko:K03688	bti:BTG_09335
ko:K03088	bti:BTG_09345
ko:K01759	bti:BTG_09360
ko:K01938	bti:BTG_09380
ko:K06976	bti:BTG_09415
ko:K03466	bti:BTG_09500
ko:K00375	bti:BTG_09570
ko:K01775	bti:BTG_09600
ko:K06385	bti:BTG_09630
ko:K06385	bti:BTG_09670
ko:K06878	bti:BTG_09685
ko:K03311	bti:BTG_09690
ko:K09793	bti:BTG_09720
ko:K06131	bti:BTG_09740
ko:K07089	bti:BTG_09760
ko:K03284	bti:BTG_09765
ko:K06330	bti:BTG_09785
ko:K11210	bti:BTG_09800
ko:K15580	bti:BTG_09805
ko:K00567	bti:BTG_09815
ko:K09815	bti:BTG_09835
ko:K00657	bti:BTG_09840
ko:K00274	bti:BTG_09870
ko:K04047	bti:BTG_09895
ko:K03406	bti:BTG_09915
ko:K06949	bti:BTG_09920
ko:K13275	bti:BTG_09955
ko:K01916	bti:BTG_09970
ko:K07001	bti:BTG_10000
ko:K06895	bti:BTG_10015
ko:K08221	bti:BTG_10020
ko:K15652	bti:BTG_10030
ko:K00666	bti:BTG_10045
ko:K07507	bti:BTG_10065
ko:K00872	bti:BTG_10095
ko:K01733	bti:BTG_10100
ko:K00003	bti:BTG_10105
ko:K07006	bti:BTG_10110
ko:K00059	bti:BTG_10145
ko:K07078	bti:BTG_10180
ko:K16012	bti:BTG_10235
ko:K16013	bti:BTG_10240
ko:K00426	bti:BTG_10245
ko:K00425	bti:BTG_10250
ko:K01607	bti:BTG_10270
ko:K01998	bti:BTG_10290
ko:K01997	bti:BTG_10295
ko:K01996	bti:BTG_10300
ko:K01995	bti:BTG_10305
ko:K01999	bti:BTG_10310
ko:K00274	bti:BTG_10320
ko:K00016	bti:BTG_10325
ko:K02563	bti:BTG_00640
ko:K01258	bti:BTG_00670
ko:K01247	bti:BTG_00675
ko:K13530	bti:BTG_00690
ko:K01142	bti:BTG_00695
ko:K02016	bti:BTG_00700
ko:K02015	bti:BTG_00705
ko:K02279	bti:BTG_32458
ko:K04763	bti:BTG_32648
ko:K03700	bti:BTG_32843
ko:K03088	bti:BTG_32853
ko:K02279	bti:BTG_32968
ko:K04095	bti:BTG_33068
ko:K01990	bti:BTG_02820
ko:K04763	bti:BTG_31123
ko:K14166	bti:BTG_10820
ko:K05606	bti:BTG_10825
ko:K03311	bti:BTG_10830
ko:K01118	bti:BTG_10835
ko:K09963	bti:BTG_10920
ko:K07106	bti:BTG_10935
ko:K06213	bti:BTG_11060
ko:K03088	bti:BTG_11255
ko:K01262	bti:BTG_11310
ko:K01489	bti:BTG_11325
ko:K00756	bti:BTG_11330
ko:K11535	bti:BTG_11335
ko:K01619	bti:BTG_11340
ko:K05346	bti:BTG_11345
ko:K07052	bti:BTG_11355
ko:K11034	bti:BTG_11385
ko:K11034	bti:BTG_11390
ko:K00077	bti:BTG_11410
ko:K07146	bti:BTG_11420
ko:K03322	bti:BTG_11425
ko:K15580	bti:BTG_11450
ko:K12960	bti:BTG_11455
ko:K07150	bti:BTG_11505
ko:K07282	bti:BTG_11510
ko:K01754	bti:BTG_11520
ko:K01687	bti:BTG_11525
ko:K00053	bti:BTG_11530
ko:K01653	bti:BTG_11535
ko:K01652	bti:BTG_11540
ko:K00826	bti:BTG_11545
ko:K07304	bti:BTG_11555
ko:K03308	bti:BTG_11595
ko:K01738	bti:BTG_11615
ko:K08223	bti:BTG_11620
ko:K03665	bti:BTG_11625
ko:K00648	bti:BTG_11630
ko:K03574	bti:BTG_11665
ko:K00928	bti:BTG_11685
ko:K01914	bti:BTG_11695
ko:K07719	bti:BTG_11715
ko:K07717	bti:BTG_11720
ko:K00027	bti:BTG_11730
ko:K01744	bti:BTG_11735
ko:K11102	bti:BTG_11740
ko:K09903	bti:BTG_11745
ko:K06131	bti:BTG_11750
ko:K01753	bti:BTG_11805
ko:K05995	bti:BTG_12120
ko:K01679	bti:BTG_12150
ko:K03315	bti:BTG_12170
ko:K16264	bti:BTG_12205
ko:K03088	bti:BTG_12220
ko:K01953	bti:BTG_12225
ko:K02011	bti:BTG_12295
ko:K02012	bti:BTG_12300
ko:K02010	bti:BTG_12305
ko:K06425	bti:BTG_12330
ko:K00694	bti:BTG_12335
ko:K02392	bti:BTG_12380
ko:K02404	bti:BTG_12385
ko:K02400	bti:BTG_12390
ko:K02401	bti:BTG_12395
ko:K02421	bti:BTG_12400
ko:K02420	bti:BTG_12405
ko:K02419	bti:BTG_12410
ko:K02417	bti:BTG_12420
ko:K02416	bti:BTG_12425
ko:K02417	bti:BTG_12430
ko:K02406	bti:BTG_12440
ko:K02406	bti:BTG_12445
ko:K03415	bti:BTG_12455
ko:K02390	bti:BTG_12470
ko:K02389	bti:BTG_12475
ko:K02412	bti:BTG_12490
ko:K02411	bti:BTG_12495
ko:K02410	bti:BTG_12500
ko:K02409	bti:BTG_12505
ko:K02408	bti:BTG_12510
ko:K02388	bti:BTG_12515
ko:K02387	bti:BTG_12520
ko:K02422	bti:BTG_12530
ko:K02407	bti:BTG_12535
ko:K01992	bti:BTG_08960
ko:K01176	bti:BTG_02170
ko:K02015	bti:BTG_02235
ko:K02015	bti:BTG_02240
ko:K02016	bti:BTG_02245
ko:K09936	bti:BTG_02330
ko:K02015	bti:BTG_00710
ko:K02013	bti:BTG_00715
ko:K07017	bti:BTG_00720
ko:K15256	bti:BTG_00725
ko:K07213	bti:BTG_00745
ko:K03830	bti:BTG_00755
ko:K03530	bti:BTG_00760
ko:K07098	bti:BTG_00770
ko:K11735	bti:BTG_00785
ko:K08976	bti:BTG_00800
ko:K03436	bti:BTG_00810
ko:K00882	bti:BTG_00815
ko:K02768	bti:BTG_00820
ko:K02769	bti:BTG_00820
ko:K02770	bti:BTG_00820
ko:K00791	bti:BTG_00835
ko:K03666	bti:BTG_00840
ko:K06413	bti:BTG_00855
ko:K03665	bti:BTG_00870
ko:K03713	bti:BTG_00880
ko:K01915	bti:BTG_00885
ko:K01356	bti:BTG_00905
ko:K03639	bti:BTG_01535
ko:K03750	bti:BTG_01550
ko:K03635	bti:BTG_01555
ko:K03636	bti:BTG_01560
ko:K03593	bti:BTG_01565
ko:K05786	bti:BTG_01585
ko:K09775	bti:BTG_01590
ko:K00059	bti:BTG_01605
ko:K14392	bti:BTG_01620
ko:K01755	bti:BTG_01635
ko:K06976	bti:BTG_01640
ko:K16216	bti:BTG_01645
ko:K07034	bti:BTG_01670
ko:K03839	bti:BTG_01675
ko:K03704	bti:BTG_01685
ko:K07104	bti:BTG_01780
ko:K07507	bti:BTG_01790
ko:K01387	bti:BTG_01795
ko:K07697	bti:BTG_01800
ko:K05601	bti:BTG_02380
ko:K01448	bti:BTG_01830
ko:K08602	bti:BTG_02160
ko:K00675	bti:BTG_02165
ko:K03093	bti:BTG_02430
ko:K01759	bti:BTG_02765
ko:K09777	bti:BTG_30420
ko:K00942	bti:BTG_30425
ko:K03060	bti:BTG_30430
ko:K13038	bti:BTG_30435
ko:K04066	bti:BTG_30440
ko:K01462	bti:BTG_30445
ko:K00604	bti:BTG_30450
ko:K03500	bti:BTG_30455
ko:K06941	bti:BTG_30460
ko:K06949	bti:BTG_30475
ko:K01783	bti:BTG_30480
ko:K00949	bti:BTG_30485
ko:K06414	bti:BTG_30490
ko:K02902	bti:BTG_30495
ko:K07030	bti:BTG_30505
ko:K03655	bti:BTG_30510
ko:K03621	bti:BTG_30520
ko:K00645	bti:BTG_30525
ko:K00059	bti:BTG_30530
ko:K02078	bti:BTG_30535
ko:K03273	bti:BTG_30918
ko:K03530	bti:BTG_30963
ko:K03666	bti:BTG_31983
ko:K04763	bti:BTG_33655
ko:K03569	bti:BTG_26810
ko:K03570	bti:BTG_26815
ko:K03571	bti:BTG_26820
ko:K03610	bti:BTG_26825
ko:K03609	bti:BTG_26830
ko:K06401	bti:BTG_26835
ko:K06402	bti:BTG_26840
ko:K08301	bti:BTG_26845
ko:K02888	bti:BTG_26850
ko:K07584	bti:BTG_26855
ko:K02899	bti:BTG_26860
ko:K06375	bti:BTG_26865
ko:K03979	bti:BTG_26870
ko:K02003	bti:BTG_26885
ko:K02004	bti:BTG_26890
ko:K02004	bti:BTG_26895
ko:K07691	bti:BTG_23000
ko:K07680	bti:BTG_23005
ko:K03092	bti:BTG_23025
ko:K05311	bti:BTG_23035
ko:K00134	bti:BTG_23040
ko:K00927	bti:BTG_23045
ko:K01803	bti:BTG_23050
ko:K15633	bti:BTG_23055
ko:K01689	bti:BTG_23060
ko:K03075	bti:BTG_23080
ko:K03928	bti:BTG_23085
ko:K12573	bti:BTG_23090
ko:K03664	bti:BTG_23095
ko:K02016	bti:BTG_23120
ko:K02015	bti:BTG_23125
ko:K02015	bti:BTG_23130
ko:K02013	bti:BTG_23135
ko:K11031	bti:BTG_23145
ko:K07729	bti:BTG_23465
ko:K03217	bti:BTG_23505
ko:K03294	bti:BTG_23520
ko:K01560	bti:BTG_02795
ko:K00059	bti:BTG_02830
ko:K00873	bti:BTG_02855
ko:K01892	bti:BTG_02885
ko:K03976	bti:BTG_02890
ko:K01243	bti:BTG_02895
ko:K02553	bti:BTG_02915
ko:K02106	bti:BTG_02975
ko:K07282	bti:BTG_03020
ko:K16137	bti:BTG_03130
ko:K01434	bti:BTG_03155
ko:K00831	bti:BTG_03185
ko:K00058	bti:BTG_03190
ko:K07734	bti:BTG_03225
ko:K02004	bti:BTG_03255
ko:K02003	bti:BTG_03260
ko:K14338	bti:BTG_03315
ko:K01759	bti:BTG_03420
ko:K03325	bti:BTG_03445
ko:K00876	bti:BTG_03455
ko:K02548	bti:BTG_03485
ko:K05577	bti:BTG_03510
ko:K09822	bti:BTG_03515
ko:K01669	bti:BTG_03525
ko:K06889	bti:BTG_03545
ko:K15973	bti:BTG_03570
ko:K09932	bti:BTG_03585
ko:K11626	bti:BTG_03630
ko:K01425	bti:BTG_03640
ko:K07717	bti:BTG_03645
ko:K06310	bti:BTG_03660
ko:K06311	bti:BTG_03665
ko:K06312	bti:BTG_03670
ko:K00286	bti:BTG_03675
ko:K03294	bti:BTG_03680
ko:K01104	bti:BTG_02790
ko:K04518	bti:BTG_26900
ko:K01243	bti:BTG_27205
ko:K04072	bti:BTG_27220
ko:K02016	bti:BTG_27240
ko:K02015	bti:BTG_27245
ko:K02013	bti:BTG_27250
ko:K07104	bti:BTG_27285
ko:K01724	bti:BTG_27290
ko:K00500	bti:BTG_27295
ko:K14647	bti:BTG_27305
ko:K01077	bti:BTG_27350
ko:K15976	bti:BTG_27360
ko:K02913	bti:BTG_27365
ko:K03091	bti:BTG_27380
ko:K01613	bti:BTG_27385
ko:K06371	bti:BTG_27390
ko:K07015	bti:BTG_27395
ko:K06948	bti:BTG_27400
ko:K00014	bti:BTG_27405
ko:K07574	bti:BTG_27410
ko:K00969	bti:BTG_27415
ko:K09710	bti:BTG_27425
ko:K02239	bti:BTG_27435
ko:K02237	bti:BTG_27440
ko:K01494	bti:BTG_27460
ko:K02057	bti:BTG_00300
ko:K00059	bti:BTG_00315
ko:K00995	bti:BTG_00335
ko:K09769	bti:BTG_00355
ko:K06416	bti:BTG_00360
ko:K01273	bti:BTG_00365
ko:K00174	bti:BTG_00370
ko:K00175	bti:BTG_00375
ko:K06168	bti:BTG_00380
ko:K06328	bti:BTG_00390
ko:K03555	bti:BTG_00395
ko:K03572	bti:BTG_00400
ko:K03406	bti:BTG_00440
ko:K03424	bti:BTG_00540
ko:K07137	bti:BTG_00565
ko:K01449	bti:BTG_00570
ko:K01771	bti:BTG_00580
ko:K03406	bti:BTG_00585
ko:K00626	bti:BTG_01225
ko:K06335	bti:BTG_01255
ko:K06433	bti:BTG_01260
ko:K06432	bti:BTG_01275
ko:K01681	bti:BTG_01280
ko:K02342	bti:BTG_01300
ko:K06431	bti:BTG_01310
ko:K06306	bti:BTG_01315
ko:K07107	bti:BTG_01320
ko:K08591	bti:BTG_01330
ko:K06147	bti:BTG_01285
ko:K02622	bti:BTG_01360
ko:K02621	bti:BTG_01365
ko:K04750	bti:BTG_01375
ko:K03088	bti:BTG_01400
ko:K11103	bti:BTG_01415
ko:K15580	bti:BTG_01420
ko:K15580	bti:BTG_01445
ko:K03294	bti:BTG_01485
ko:K00123	bti:BTG_01515
ko:K02379	bti:BTG_01530
ko:K03406	bti:BTG_01900
ko:K01709	bti:BTG_01915
ko:K01771	bti:BTG_01975
ko:K03453	bti:BTG_02090
ko:K01126	bti:BTG_02130
ko:K00064	bti:BTG_02535
ko:K16509	bti:BTG_02560
ko:K03837	bti:BTG_02590
ko:K08987	bti:BTG_02595
ko:K00036	bti:BTG_02605
ko:K00615	bti:BTG_02610
ko:K00033	bti:BTG_02615
ko:K00616	bti:BTG_02620
ko:K00851	bti:BTG_02625
ko:K07404	bti:BTG_02630
ko:K09984	bti:BTG_02635
ko:K02116	bti:BTG_02670
ko:K00099	bti:BTG_02740
ko:K01867	bti:BTG_02745
ko:K03406	bti:BTG_23540
ko:K00318	bti:BTG_23555
ko:K07516	bti:BTG_23570
ko:K00016	bti:BTG_23600
ko:K07035	bti:BTG_23605
ko:K02437	bti:BTG_23625
ko:K07476	bti:BTG_23635
ko:K02071	bti:BTG_23655
ko:K02072	bti:BTG_23660
ko:K02073	bti:BTG_23665
ko:K02073	bti:BTG_23670
ko:K09013	bti:BTG_23675
ko:K09015	bti:BTG_23680
ko:K11717	bti:BTG_23685
ko:K04488	bti:BTG_23690
ko:K09014	bti:BTG_23695
ko:K01356	bti:BTG_23705
ko:K06193	bti:BTG_24155
ko:K02069	bti:BTG_24160
ko:K02068	bti:BTG_24165
ko:K03885	bti:BTG_24175
ko:K01778	bti:BTG_24185
ko:K03885	bti:BTG_24245
ko:K01255	bti:BTG_24265
ko:K01835	bti:BTG_24275
ko:K00963	bti:BTG_24280
ko:K03523	bti:BTG_24295
ko:K01880	bti:BTG_24310
ko:K06348	bti:BTG_24330
ko:K06347	bti:BTG_24335
ko:K02549	bti:BTG_24540
ko:K01465	bti:BTG_24560
ko:K01042	bti:BTG_24565
ko:K00874	bti:BTG_24575
ko:K03088	bti:BTG_24625
ko:K13653	bti:BTG_24650
ko:K02004	bti:BTG_24665
ko:K02004	bti:BTG_24675
ko:K00760	bti:BTG_24720
ko:K04758	bti:BTG_24760
ko:K04759	bti:BTG_24765
ko:K03969	bti:BTG_24780
ko:K00426	bti:BTG_24825
ko:K00425	bti:BTG_24830
ko:K01673	bti:BTG_24835
ko:K08998	bti:BTG_24840
ko:K03685	bti:BTG_00005
ko:K03529	bti:BTG_00010
ko:K03110	bti:BTG_00015
ko:K09787	bti:BTG_00020
ko:K03106	bti:BTG_00025
ko:K02959	bti:BTG_00030
ko:K06960	bti:BTG_00035
ko:K02860	bti:BTG_00040
ko:K00554	bti:BTG_00045
ko:K02884	bti:BTG_00050
ko:K03100	bti:BTG_00055
ko:K14540	bti:BTG_00060
ko:K03470	bti:BTG_00065
ko:K01903	bti:BTG_00070
ko:K01902	bti:BTG_00075
ko:K04096	bti:BTG_00080
ko:K03168	bti:BTG_00085
ko:K04094	bti:BTG_00090
ko:K03733	bti:BTG_00095
ko:K01419	bti:BTG_00100
ko:K04763	bti:BTG_32233
ko:K03530	bti:BTG_32253
ko:K07284	bti:BTG_17715
ko:K01990	bti:BTG_18510
ko:K11035	bti:BTG_11195
ko:K01990	bti:BTG_15705
ko:K01992	bti:BTG_01395
ko:K01992	bti:BTG_02825
ko:K01992	bti:BTG_16995
ko:K01992	bti:BTG_18505
ko:K01664	bti:BTG_20555
ko:K01990	bti:BTG_01200
ko:K01990	bti:BTG_00500
ko:K01990	bti:BTG_13960
ko:K01990	bti:BTG_21040
ko:K01990	bti:BTG_21970
ko:K01990	bti:BTG_23010
ko:K01990	bti:BTG_24640
ko:K01990	bti:BTG_26330
ko:K01990	bti:BTG_28290
ko:K01992	bti:BTG_18500
ko:K01992	bti:BTG_23015
ko:K01992	bti:BTG_24645
ko:K01992	bti:BTG_26335
ko:K01992	bti:BTG_28295
ko:K01992	bti:BTG_28300
ko:K01992	bti:BTG_28305
ko:K17217	bti:BTG_27215
ko:K17216	bti:BTG_27210
ko:K00265	bti:BTG_18520
ko:K01897	bti:BTG_26250
ko:K17103	bti:BTG_13660
ko:K17218	bti:BTG_02065
ko:K06298	bti:BTG_26405
ko:K02028	bti:BTG_19080
ko:K08986	bti:BTG_09755
ko:K04091	bti:BTG_04790
ko:K01537	bti:BTG_30410
ko:K17462	bti:BTG_27200
ko:K02029	bti:BTG_28635
ko:K01537	bti:BTG_18840
ko:K01992	bti:BTG_15700
ko:K02028	bti:BTG_28640
ko:K01992	bti:BTG_01040
ko:K01992	bti:BTG_07320
ko:K07260	bti:BTG_01825
