ko:K01139	kpa:KPNJ1_00116
ko:K01061	kpa:KPNJ1_05269
ko:K00549	kpa:KPNJ1_05270
ko:K03576	kpa:KPNJ1_05272
ko:K01048	kpa:KPNJ1_05275
ko:K05834	kpa:KPNJ1_05276
ko:K05835	kpa:KPNJ1_05278
ko:K03654	kpa:KPNJ1_05279
ko:K01058	kpa:KPNJ1_05280
ko:K05786	kpa:KPNJ1_05282
ko:K03284	kpa:KPNJ1_05283
ko:K03657	kpa:KPNJ1_05284
ko:K03733	kpa:KPNJ1_05286
ko:K09921	kpa:KPNJ1_05287
ko:K01778	kpa:KPNJ1_05288
ko:K06202	kpa:KPNJ1_05290
ko:K05851	kpa:KPNJ1_05291
ko:K02192	kpa:KPNJ1_00415
ko:K03594	kpa:KPNJ1_00416
ko:K02506	kpa:KPNJ1_00417
ko:K02946	kpa:KPNJ1_00418
ko:K12266	kpa:KPNJ1_01202
ko:K02468	kpa:KPNJ1_01203
ko:K02466	kpa:KPNJ1_01204
ko:K00068	kpa:KPNJ1_01205
ko:K02781	kpa:KPNJ1_01206
ko:K02782	kpa:KPNJ1_01207
ko:K02783	kpa:KPNJ1_01207
ko:K02783	kpa:KPNJ1_01208
ko:K08305	kpa:KPNJ1_01209
ko:K02074	kpa:KPNJ1_01210
ko:K02075	kpa:KPNJ1_01211
ko:K02077	kpa:KPNJ1_01212
ko:K03743	kpa:KPNJ1_01214
ko:K03565	kpa:KPNJ1_01216
ko:K01872	kpa:KPNJ1_01217
ko:K03563	kpa:KPNJ1_01219
ko:K01919	kpa:KPNJ1_01223
ko:K07173	kpa:KPNJ1_01224
ko:K01649	kpa:KPNJ1_01226
ko:K03446	kpa:KPNJ1_01227
ko:K03543	kpa:KPNJ1_01228
ko:K15974	kpa:KPNJ1_01229
ko:K02002	kpa:KPNJ1_01233
ko:K02001	kpa:KPNJ1_01234
ko:K02000	kpa:KPNJ1_01235
ko:K03647	kpa:KPNJ1_01238
ko:K00375	kpa:KPNJ1_01241
ko:K09816	kpa:KPNJ1_02046
ko:K09817	kpa:KPNJ1_02047
ko:K09815	kpa:KPNJ1_02048
ko:K02560	kpa:KPNJ1_02050
ko:K00873	kpa:KPNJ1_02051
ko:K00036	kpa:KPNJ1_02055
ko:K01690	kpa:KPNJ1_02056
ko:K01625	kpa:KPNJ1_02057
ko:K08289	kpa:KPNJ1_02058
ko:K01354	kpa:KPNJ1_02060
ko:K10857	kpa:KPNJ1_02061
ko:K07156	kpa:KPNJ1_02063
ko:K07245	kpa:KPNJ1_02064
ko:K09824	kpa:KPNJ1_02067
ko:K11392	kpa:KPNJ1_02071
ko:K03808	kpa:KPNJ1_02073
ko:K03607	kpa:KPNJ1_02075
ko:K03797	kpa:KPNJ1_02076
ko:K03799	kpa:KPNJ1_02077
ko:K08169	kpa:KPNJ1_02078
ko:K03704	kpa:KPNJ1_02086
ko:K03587	kpa:KPNJ1_02087
ko:K00563	kpa:KPNJ1_02088
ko:K02795	kpa:KPNJ1_02093
ko:K02793	kpa:KPNJ1_02094
ko:K02794	kpa:KPNJ1_02094
ko:K01752	kpa:KPNJ1_02097
ko:K11742	kpa:KPNJ1_02911
ko:K11743	kpa:KPNJ1_02912
ko:K11744	kpa:KPNJ1_02914
ko:K13929	kpa:KPNJ1_02915
ko:K13930	kpa:KPNJ1_02916
ko:K13931	kpa:KPNJ1_02917
ko:K13932	kpa:KPNJ1_02918
ko:K13933	kpa:KPNJ1_02919
ko:K13936	kpa:KPNJ1_02920
ko:K13934	kpa:KPNJ1_02921
ko:K13935	kpa:KPNJ1_02922
ko:K13928	kpa:KPNJ1_02923
ko:K00116	kpa:KPNJ1_02924
ko:K07106	kpa:KPNJ1_02926
ko:K07701	kpa:KPNJ1_02928
ko:K07703	kpa:KPNJ1_02929
ko:K03734	kpa:KPNJ1_02930
ko:K00244	kpa:KPNJ1_02931
ko:K11106	kpa:KPNJ1_02934
ko:K01676	kpa:KPNJ1_02935
ko:K01607	kpa:KPNJ1_02940
ko:K01055	kpa:KPNJ1_02941
ko:K01857	kpa:KPNJ1_02942
ko:K01032	kpa:KPNJ1_02944
ko:K01031	kpa:KPNJ1_02945
ko:K02624	kpa:KPNJ1_02946
ko:K14057	kpa:KPNJ1_02948
ko:K12940	kpa:KPNJ1_02949
ko:K12941	kpa:KPNJ1_02950
ko:K12941	kpa:KPNJ1_02951
ko:K12942	kpa:KPNJ1_02952
ko:K00567	kpa:KPNJ1_02955
ko:K14055	kpa:KPNJ1_02957
ko:K00325	kpa:KPNJ1_02959
ko:K00324	kpa:KPNJ1_02960
ko:K07027	kpa:KPNJ1_03769
ko:K06890	kpa:KPNJ1_03770
ko:K03635	kpa:KPNJ1_03771
ko:K03636	kpa:KPNJ1_03772
ko:K03637	kpa:KPNJ1_03773
ko:K03638	kpa:KPNJ1_03774
ko:K03639	kpa:KPNJ1_03775
ko:K03760	kpa:KPNJ1_03778
ko:K07771	kpa:KPNJ1_03779
ko:K07643	kpa:KPNJ1_03780
ko:K03702	kpa:KPNJ1_03782
ko:K02169	kpa:KPNJ1_03786
ko:K00652	kpa:KPNJ1_03787
ko:K01012	kpa:KPNJ1_03788
ko:K00833	kpa:KPNJ1_03789
ko:K06910	kpa:KPNJ1_03790
ko:K16234	kpa:KPNJ1_03792
ko:K01886	kpa:KPNJ1_03882
ko:K02802	kpa:KPNJ1_03883
ko:K02803	kpa:KPNJ1_03883
ko:K02804	kpa:KPNJ1_03883
ko:K02564	kpa:KPNJ1_03885
ko:K01443	kpa:KPNJ1_03886
ko:K02565	kpa:KPNJ1_03887
ko:K02566	kpa:KPNJ1_03888
ko:K01953	kpa:KPNJ1_03889
ko:K03184	kpa:KPNJ1_03890
ko:K06168	kpa:KPNJ1_03891
ko:K07042	kpa:KPNJ1_03893
ko:K06189	kpa:KPNJ1_03894
ko:K03820	kpa:KPNJ1_03895
ko:K10001	kpa:KPNJ1_03896
ko:K10003	kpa:KPNJ1_03897
ko:K10002	kpa:KPNJ1_03898
ko:K10004	kpa:KPNJ1_03899
ko:K01869	kpa:KPNJ1_03904
ko:K03643	kpa:KPNJ1_03905
ko:K02340	kpa:KPNJ1_03906
ko:K00969	kpa:KPNJ1_03907
ko:K02226	kpa:KPNJ1_03908
ko:K09710	kpa:KPNJ1_03909
ko:K00783	kpa:KPNJ1_03910
ko:K05515	kpa:KPNJ1_03911
ko:K05837	kpa:KPNJ1_03912
ko:K03642	kpa:KPNJ1_03913
ko:K07258	kpa:KPNJ1_03914
ko:K09158	kpa:KPNJ1_03915
ko:K07700	kpa:KPNJ1_04715
ko:K07702	kpa:KPNJ1_04716
ko:K12700	kpa:KPNJ1_04720
ko:K03527	kpa:KPNJ1_04721
ko:K03774	kpa:KPNJ1_04722
ko:K03101	kpa:KPNJ1_04723
ko:K01870	kpa:KPNJ1_04724
ko:K11753	kpa:KPNJ1_04725
ko:K02968	kpa:KPNJ1_04726
ko:K03717	kpa:KPNJ1_04728
ko:K03313	kpa:KPNJ1_04729
ko:K03686	kpa:KPNJ1_04730
ko:K04043	kpa:KPNJ1_04731
ko:K07034	kpa:KPNJ1_04735
ko:K03831	kpa:KPNJ1_04737
ko:K00616	kpa:KPNJ1_04738
ko:K03310	kpa:KPNJ1_04739
ko:K09861	kpa:KPNJ1_04740
ko:K01733	kpa:KPNJ1_04742
ko:K00872	kpa:KPNJ1_04743
ko:K12524	kpa:KPNJ1_04744
ko:K02533	kpa:KPNJ1_04746
ko:K07773	kpa:KPNJ1_04748
ko:K06143	kpa:KPNJ1_04749
ko:K07641	kpa:KPNJ1_04750
ko:K07663	kpa:KPNJ1_04751
ko:K05805	kpa:KPNJ1_04752
ko:K05804	kpa:KPNJ1_04753
ko:K03720	kpa:KPNJ1_04756
ko:K08309	kpa:KPNJ1_04757
ko:K06211	kpa:KPNJ1_04759
ko:K04485	kpa:KPNJ1_04760
ko:K01079	kpa:KPNJ1_04761
ko:K07186	kpa:KPNJ1_04763
ko:K03800	kpa:KPNJ1_04764
ko:K03784	kpa:KPNJ1_04765
ko:K01839	kpa:KPNJ1_04766
ko:K00758	kpa:KPNJ1_04767
ko:K01551	kpa:KPNJ1_05552
ko:K01551	kpa:KPNJ1_05553
ko:K03088	kpa:KPNJ1_05555
ko:K03823	kpa:KPNJ1_05558
ko:K07644	kpa:KPNJ1_05565
ko:K07665	kpa:KPNJ1_05566
ko:K07245	kpa:KPNJ1_05567
ko:K07156	kpa:KPNJ1_05568
ko:K07233	kpa:KPNJ1_05569
ko:K17686	kpa:KPNJ1_05574
ko:K07787	kpa:KPNJ1_05576
ko:K07798	kpa:KPNJ1_05577
ko:K07665	kpa:KPNJ1_05581
ko:K07644	kpa:KPNJ1_05582
ko:K02168	kpa:KPNJ1_05590
ko:K01042	kpa:KPNJ1_00182
ko:K03833	kpa:KPNJ1_00183
ko:K05796	kpa:KPNJ1_00184
ko:K00835	kpa:KPNJ1_00185
ko:K01176	kpa:KPNJ1_00186
ko:K03796	kpa:KPNJ1_00187
ko:K02529	kpa:KPNJ1_00188
ko:K10544	kpa:KPNJ1_00189
ko:K10545	kpa:KPNJ1_00190
ko:K10543	kpa:KPNJ1_00191
ko:K01805	kpa:KPNJ1_00193
ko:K00854	kpa:KPNJ1_00194
ko:K00694	kpa:KPNJ1_00242
ko:K11103	kpa:KPNJ1_00247
ko:K00874	kpa:KPNJ1_00249
ko:K07290	kpa:KPNJ1_00251
ko:K07058	kpa:KPNJ1_00253
ko:K01194	kpa:KPNJ1_00257
ko:K00799	kpa:KPNJ1_00259
ko:K00383	kpa:KPNJ1_00260
ko:K00058	kpa:KPNJ1_00888
ko:K01934	kpa:KPNJ1_00889
ko:K09888	kpa:KPNJ1_00890
ko:K09895	kpa:KPNJ1_00891
ko:K01262	kpa:KPNJ1_00892
ko:K03185	kpa:KPNJ1_00893
ko:K00605	kpa:KPNJ1_00895
ko:K02437	kpa:KPNJ1_00896
ko:K00281	kpa:KPNJ1_00897
ko:K08344	kpa:KPNJ1_00901
ko:K01223	kpa:KPNJ1_00904
ko:K09900	kpa:KPNJ1_00906
ko:K11068	kpa:KPNJ1_00907
ko:K06980	kpa:KPNJ1_00908
ko:K09159	kpa:KPNJ1_00909
ko:K03840	kpa:KPNJ1_00911
ko:K04763	kpa:KPNJ1_00912
ko:K03981	kpa:KPNJ1_00913
ko:K07462	kpa:KPNJ1_00914
ko:K02836	kpa:KPNJ1_00915
ko:K04567	kpa:KPNJ1_00916
ko:K01823	kpa:KPNJ1_00917
ko:K12943	kpa:KPNJ1_00918
ko:K08169	kpa:KPNJ1_00919
ko:K01607	kpa:KPNJ1_00921
ko:K09702	kpa:KPNJ1_00926
ko:K03893	kpa:KPNJ1_00929
ko:K00537	kpa:KPNJ1_00930
ko:K03305	kpa:KPNJ1_00931
ko:K15550	kpa:KPNJ1_00933
ko:K15547	kpa:KPNJ1_00934
ko:K15549	kpa:KPNJ1_00935
ko:K06975	kpa:KPNJ1_00938
ko:K07350	kpa:KPNJ1_00940
ko:K02897	kpa:KPNJ1_01734
ko:K06183	kpa:KPNJ1_01736
ko:K07552	kpa:KPNJ1_01737
ko:K13896	kpa:KPNJ1_01739
ko:K13895	kpa:KPNJ1_01740
ko:K13894	kpa:KPNJ1_01741
ko:K13893	kpa:KPNJ1_01742
ko:K13694	kpa:KPNJ1_01744
ko:K01686	kpa:KPNJ1_01749
ko:K02356	kpa:KPNJ1_01750
ko:K06940	kpa:KPNJ1_01751
ko:K09968	kpa:KPNJ1_01753
ko:K03291	kpa:KPNJ1_01754
ko:K02768	kpa:KPNJ1_01755
ko:K11183	kpa:KPNJ1_01755
ko:K00882	kpa:KPNJ1_01756
ko:K02769	kpa:KPNJ1_01757
ko:K02770	kpa:KPNJ1_01757
ko:K01151	kpa:KPNJ1_01758
ko:K11733	kpa:KPNJ1_01762
ko:K16089	kpa:KPNJ1_01763
ko:K01070	kpa:KPNJ1_01764
ko:K01495	kpa:KPNJ1_01765
ko:K07148	kpa:KPNJ1_01766
ko:K02529	kpa:KPNJ1_01767
ko:K10540	kpa:KPNJ1_01768
ko:K10542	kpa:KPNJ1_01769
ko:K10541	kpa:KPNJ1_01770
ko:K03748	kpa:KPNJ1_01771
ko:K01489	kpa:KPNJ1_01773
ko:K06518	kpa:KPNJ1_01775
ko:K05541	kpa:KPNJ1_01776
ko:K07267	kpa:KPNJ1_01778
ko:K03488	kpa:KPNJ1_01779
ko:K02755	kpa:KPNJ1_01781
ko:K02756	kpa:KPNJ1_01781
ko:K02757	kpa:KPNJ1_01781
ko:K01223	kpa:KPNJ1_01782
ko:K02855	kpa:KPNJ1_02588
ko:K02010	kpa:KPNJ1_02590
ko:K02012	kpa:KPNJ1_02591
ko:K02011	kpa:KPNJ1_02592
ko:K00675	kpa:KPNJ1_02593
ko:K00374	kpa:KPNJ1_02594
ko:K00373	kpa:KPNJ1_02595
ko:K00371	kpa:KPNJ1_02596
ko:K00370	kpa:KPNJ1_02597
ko:K02575	kpa:KPNJ1_02598
ko:K08167	kpa:KPNJ1_02600
ko:K02624	kpa:KPNJ1_02601
ko:K03464	kpa:KPNJ1_02603
ko:K03381	kpa:KPNJ1_02604
ko:K05549	kpa:KPNJ1_02605
ko:K05550	kpa:KPNJ1_02606
ko:K05784	kpa:KPNJ1_02607
ko:K05783	kpa:KPNJ1_02608
ko:K08349	kpa:KPNJ1_02612
ko:K08350	kpa:KPNJ1_02613
ko:K02031	kpa:KPNJ1_02621
ko:K02032	kpa:KPNJ1_02621
ko:K02034	kpa:KPNJ1_02622
ko:K02033	kpa:KPNJ1_02623
ko:K02035	kpa:KPNJ1_02624
ko:K13953	kpa:KPNJ1_02625
ko:K01507	kpa:KPNJ1_02627
ko:K00027	kpa:KPNJ1_02631
ko:K02972	kpa:KPNJ1_02633
ko:K03790	kpa:KPNJ1_03449
ko:K08162	kpa:KPNJ1_03450
ko:K01465	kpa:KPNJ1_03452
ko:K12149	kpa:KPNJ1_03453
ko:K12148	kpa:KPNJ1_03454
ko:K02846	kpa:KPNJ1_03455
ko:K07146	kpa:KPNJ1_03457
ko:K02517	kpa:KPNJ1_03458
ko:K08161	kpa:KPNJ1_03459
ko:K08161	kpa:KPNJ1_03460
ko:K12147	kpa:KPNJ1_03461
ko:K03669	kpa:KPNJ1_03463
ko:K03670	kpa:KPNJ1_03464
ko:K11941	kpa:KPNJ1_03465
ko:K04477	kpa:KPNJ1_03470
ko:K12972	kpa:KPNJ1_03471
ko:K06911	kpa:KPNJ1_03474
ko:K03673	kpa:KPNJ1_03476
ko:K16301	kpa:KPNJ1_03478
ko:K07224	kpa:KPNJ1_03479
ko:K07243	kpa:KPNJ1_03480
ko:K03317	kpa:KPNJ1_03481
ko:K11928	kpa:KPNJ1_03484
ko:K13821	kpa:KPNJ1_03485
ko:K09018	kpa:KPNJ1_03488
ko:K09020	kpa:KPNJ1_03489
ko:K09021	kpa:KPNJ1_03490
ko:K09023	kpa:KPNJ1_03491
ko:K09019	kpa:KPNJ1_03492
ko:K09024	kpa:KPNJ1_03493
ko:K09016	kpa:KPNJ1_03494
ko:K03809	kpa:KPNJ1_03499
ko:K02297	kpa:KPNJ1_04299
ko:K02298	kpa:KPNJ1_04300
ko:K02299	kpa:KPNJ1_04301
ko:K02300	kpa:KPNJ1_04302
ko:K02624	kpa:KPNJ1_04306
ko:K00014	kpa:KPNJ1_04307
ko:K08195	kpa:KPNJ1_04312
ko:K09767	kpa:KPNJ1_04315
ko:K00077	kpa:KPNJ1_04316
ko:K03152	kpa:KPNJ1_04317
ko:K03151	kpa:KPNJ1_04319
ko:K03602	kpa:KPNJ1_04320
ko:K00795	kpa:KPNJ1_04321
ko:K01662	kpa:KPNJ1_04322
ko:K01095	kpa:KPNJ1_04324
ko:K00946	kpa:KPNJ1_04325
ko:K03625	kpa:KPNJ1_04326
ko:K00794	kpa:KPNJ1_04327
ko:K11752	kpa:KPNJ1_04328
ko:K07738	kpa:KPNJ1_04329
ko:K05517	kpa:KPNJ1_04332
ko:K06996	kpa:KPNJ1_04334
ko:K03074	kpa:KPNJ1_04335
ko:K03072	kpa:KPNJ1_04336
ko:K03210	kpa:KPNJ1_04337
ko:K00773	kpa:KPNJ1_04338
ko:K07568	kpa:KPNJ1_04339
ko:K08682	kpa:KPNJ1_04341
ko:K03386	kpa:KPNJ1_04342
ko:K02821	kpa:KPNJ1_04344
ko:K02822	kpa:KPNJ1_04345
ko:K03475	kpa:KPNJ1_04346
ko:K01624	kpa:KPNJ1_04349
ko:K18325	kpa:KPNJ1_05139
ko:K03701	kpa:KPNJ1_05144
ko:K03788	kpa:KPNJ1_05147
ko:K00832	kpa:KPNJ1_05148
ko:K00832	kpa:KPNJ1_05149
ko:K01775	kpa:KPNJ1_05150
ko:K05539	kpa:KPNJ1_05154
ko:K09823	kpa:KPNJ1_05157
ko:K03327	kpa:KPNJ1_05160
ko:K01356	kpa:KPNJ1_05161
ko:K00901	kpa:KPNJ1_05162
ko:K00631	kpa:KPNJ1_05163
ko:K03179	kpa:KPNJ1_05164
ko:K03181	kpa:KPNJ1_05165
ko:K05775	kpa:KPNJ1_05166
ko:K02024	kpa:KPNJ1_05167
ko:K10111	kpa:KPNJ1_05168
ko:K10108	kpa:KPNJ1_05169
ko:K10109	kpa:KPNJ1_05170
ko:K10110	kpa:KPNJ1_05171
ko:K13256	kpa:KPNJ1_05172
ko:K09022	kpa:KPNJ1_05177
ko:K01810	kpa:KPNJ1_05180
ko:K00928	kpa:KPNJ1_05181
ko:K03453	kpa:KPNJ1_05182
ko:K06182	kpa:KPNJ1_05184
ko:K00068	kpa:KPNJ1_05186
ko:K02812	kpa:KPNJ1_05187
ko:K02813	kpa:KPNJ1_05188
ko:K01745	kpa:KPNJ1_03793
ko:K01712	kpa:KPNJ1_03794
ko:K05836	kpa:KPNJ1_03795
ko:K01479	kpa:KPNJ1_03796
ko:K01468	kpa:KPNJ1_03797
ko:K01051	kpa:KPNJ1_03798
ko:K07404	kpa:KPNJ1_03811
ko:K02017	kpa:KPNJ1_03813
ko:K02018	kpa:KPNJ1_03814
ko:K02020	kpa:KPNJ1_03815
ko:K02019	kpa:KPNJ1_03817
ko:K05776	kpa:KPNJ1_03818
ko:K01784	kpa:KPNJ1_03820
ko:K00163	kpa:KPNJ1_04613
ko:K11734	kpa:KPNJ1_04616
ko:K03807	kpa:KPNJ1_04619
ko:K03806	kpa:KPNJ1_04620
ko:K00767	kpa:KPNJ1_04621
ko:K02682	kpa:KPNJ1_04623
ko:K02504	kpa:KPNJ1_04624
ko:K02505	kpa:KPNJ1_04625
ko:K00364	kpa:KPNJ1_04626
ko:K00859	kpa:KPNJ1_04628
ko:K09862	kpa:KPNJ1_04630
ko:K03574	kpa:KPNJ1_04631
ko:K03070	kpa:KPNJ1_04632
ko:K13301	kpa:KPNJ1_04633
ko:K02535	kpa:KPNJ1_04635
ko:K03531	kpa:KPNJ1_04636
ko:K03590	kpa:KPNJ1_04637
ko:K03589	kpa:KPNJ1_04638
ko:K01921	kpa:KPNJ1_04639
ko:K01924	kpa:KPNJ1_04640
ko:K02563	kpa:KPNJ1_04641
ko:K03588	kpa:KPNJ1_04642
ko:K01925	kpa:KPNJ1_04643
ko:K01000	kpa:KPNJ1_04644
ko:K01929	kpa:KPNJ1_04645
ko:K01928	kpa:KPNJ1_04646
ko:K03587	kpa:KPNJ1_04647
ko:K03586	kpa:KPNJ1_04648
ko:K03438	kpa:KPNJ1_04649
ko:K03925	kpa:KPNJ1_04650
ko:K03435	kpa:KPNJ1_04651
ko:K01653	kpa:KPNJ1_04652
ko:K01652	kpa:KPNJ1_04653
ko:K05798	kpa:KPNJ1_04655
ko:K01649	kpa:KPNJ1_04657
ko:K00052	kpa:KPNJ1_04658
ko:K01703	kpa:KPNJ1_04659
ko:K01704	kpa:KPNJ1_04660
ko:K02529	kpa:KPNJ1_05447
ko:K00852	kpa:KPNJ1_05448
ko:K10439	kpa:KPNJ1_05449
ko:K10440	kpa:KPNJ1_05450
ko:K10441	kpa:KPNJ1_05451
ko:K06726	kpa:KPNJ1_05452
ko:K03549	kpa:KPNJ1_05453
ko:K03924	kpa:KPNJ1_05454
ko:K01914	kpa:KPNJ1_05456
ko:K03718	kpa:KPNJ1_05457
ko:K06205	kpa:KPNJ1_05458
ko:K03495	kpa:KPNJ1_05459
ko:K03501	kpa:KPNJ1_05460
ko:K02116	kpa:KPNJ1_05461
ko:K02108	kpa:KPNJ1_05462
ko:K02110	kpa:KPNJ1_05463
ko:K02109	kpa:KPNJ1_05464
ko:K02113	kpa:KPNJ1_05465
ko:K02111	kpa:KPNJ1_05466
ko:K02115	kpa:KPNJ1_05467
ko:K02112	kpa:KPNJ1_05468
ko:K02114	kpa:KPNJ1_05469
ko:K04042	kpa:KPNJ1_05472
ko:K00820	kpa:KPNJ1_05473
ko:K02040	kpa:KPNJ1_05474
ko:K02037	kpa:KPNJ1_05475
ko:K02038	kpa:KPNJ1_05476
ko:K02036	kpa:KPNJ1_05477
ko:K02039	kpa:KPNJ1_05478
ko:K10124	kpa:KPNJ1_05481
ko:K07214	kpa:KPNJ1_05482
ko:K06901	kpa:KPNJ1_05485
ko:K08163	kpa:KPNJ1_05490
ko:K03650	kpa:KPNJ1_05492
ko:K03217	kpa:KPNJ1_05493
ko:K08998	kpa:KPNJ1_05494
ko:K03536	kpa:KPNJ1_05495
ko:K02914	kpa:KPNJ1_05496
ko:K01990	kpa:KPNJ1_00129
ko:K00989	kpa:KPNJ1_00132
ko:K00762	kpa:KPNJ1_00133
ko:K05501	kpa:KPNJ1_00134
ko:K13038	kpa:KPNJ1_00137
ko:K03630	kpa:KPNJ1_00138
ko:K02902	kpa:KPNJ1_00139
ko:K02913	kpa:KPNJ1_00140
ko:K10563	kpa:KPNJ1_00141
ko:K00954	kpa:KPNJ1_00142
ko:K12984	kpa:KPNJ1_00143
ko:K02527	kpa:KPNJ1_00144
ko:K02844	kpa:KPNJ1_00147
ko:K02849	kpa:KPNJ1_00148
ko:K02841	kpa:KPNJ1_00153
ko:K02843	kpa:KPNJ1_00154
ko:K00005	kpa:KPNJ1_00667
ko:K05880	kpa:KPNJ1_00668
ko:K02440	kpa:KPNJ1_00677
ko:K07679	kpa:KPNJ1_00681
ko:K07690	kpa:KPNJ1_00682
ko:K03649	kpa:KPNJ1_00686
ko:K03086	kpa:KPNJ1_00687
ko:K02970	kpa:KPNJ1_00689
ko:K01409	kpa:KPNJ1_00690
ko:K03189	kpa:KPNJ1_00692
ko:K03188	kpa:KPNJ1_00693
ko:K03187	kpa:KPNJ1_00694
ko:K01428	kpa:KPNJ1_00697
ko:K01429	kpa:KPNJ1_00698
ko:K01430	kpa:KPNJ1_00699
ko:K03190	kpa:KPNJ1_00700
ko:K08591	kpa:KPNJ1_00703
ko:K01633	kpa:KPNJ1_00704
ko:K06153	kpa:KPNJ1_00705
ko:K00974	kpa:KPNJ1_00706
ko:K07184	kpa:KPNJ1_00707
ko:K18446	kpa:KPNJ1_00708
ko:K00982	kpa:KPNJ1_00709
ko:K03272	kpa:KPNJ1_00710
ko:K09806	kpa:KPNJ1_00713
ko:K02858	kpa:KPNJ1_00714
ko:K07238	kpa:KPNJ1_00715
ko:K12340	kpa:KPNJ1_00719
ko:K06957	kpa:KPNJ1_01526
ko:K06999	kpa:KPNJ1_01527
ko:K01439	kpa:KPNJ1_01529
ko:K18324	kpa:KPNJ1_01531
ko:K12945	kpa:KPNJ1_01534
ko:K00615	kpa:KPNJ1_01536
ko:K00616	kpa:KPNJ1_01537
ko:K00029	kpa:KPNJ1_01538
ko:K04031	kpa:KPNJ1_01539
ko:K04029	kpa:KPNJ1_01540
ko:K04030	kpa:KPNJ1_01541
ko:K04032	kpa:KPNJ1_01542
ko:K04020	kpa:KPNJ1_01543
ko:K04027	kpa:KPNJ1_01544
ko:K04021	kpa:KPNJ1_01546
ko:K04024	kpa:KPNJ1_01547
ko:K04022	kpa:KPNJ1_01548
ko:K04023	kpa:KPNJ1_01550
ko:K04019	kpa:KPNJ1_01551
ko:K03735	kpa:KPNJ1_01552
ko:K03736	kpa:KPNJ1_01553
ko:K04026	kpa:KPNJ1_01554
ko:K04025	kpa:KPNJ1_01555
ko:K04033	kpa:KPNJ1_01556
ko:K00228	kpa:KPNJ1_01557
ko:K01448	kpa:KPNJ1_01558
ko:K07223	kpa:KPNJ1_01563
ko:K02048	kpa:KPNJ1_01564
ko:K02046	kpa:KPNJ1_01565
ko:K02047	kpa:KPNJ1_01566
ko:K02045	kpa:KPNJ1_01567
ko:K12339	kpa:KPNJ1_01568
ko:K00868	kpa:KPNJ1_01571
ko:K08483	kpa:KPNJ1_01574
ko:K02784	kpa:KPNJ1_01575
ko:K01738	kpa:KPNJ1_01577
ko:K06203	kpa:KPNJ1_01578
ko:K13574	kpa:KPNJ1_02376
ko:K02012	kpa:KPNJ1_02378
ko:K02011	kpa:KPNJ1_02380
ko:K02010	kpa:KPNJ1_02381
ko:K06152	kpa:KPNJ1_02383
ko:K06151	kpa:KPNJ1_02384
ko:K02193	kpa:KPNJ1_02386
ko:K02194	kpa:KPNJ1_02387
ko:K02195	kpa:KPNJ1_02388
ko:K02196	kpa:KPNJ1_02389
ko:K02197	kpa:KPNJ1_02390
ko:K02198	kpa:KPNJ1_02391
ko:K02199	kpa:KPNJ1_02392
ko:K02200	kpa:KPNJ1_02393
ko:K03832	kpa:KPNJ1_02397
ko:K18143	kpa:KPNJ1_02400
ko:K18144	kpa:KPNJ1_02401
ko:K03366	kpa:KPNJ1_02408
ko:K01652	kpa:KPNJ1_02409
ko:K01575	kpa:KPNJ1_02410
ko:K00019	kpa:KPNJ1_02412
ko:K00074	kpa:KPNJ1_02414
ko:K00626	kpa:KPNJ1_02415
ko:K01029	kpa:KPNJ1_02416
ko:K01028	kpa:KPNJ1_02417
ko:K17737	kpa:KPNJ1_02418
ko:K06178	kpa:KPNJ1_03239
ko:K03566	kpa:KPNJ1_03240
ko:K07053	kpa:KPNJ1_03243
ko:K01657	kpa:KPNJ1_03244
ko:K13497	kpa:KPNJ1_03245
ko:K13498	kpa:KPNJ1_03246
ko:K01696	kpa:KPNJ1_03247
ko:K01695	kpa:KPNJ1_03248
ko:K07246	kpa:KPNJ1_03250
ko:K13021	kpa:KPNJ1_03251
ko:K16090	kpa:KPNJ1_03258
ko:K07275	kpa:KPNJ1_03260
ko:K06940	kpa:KPNJ1_03261
ko:K06190	kpa:KPNJ1_03263
ko:K10806	kpa:KPNJ1_03265
ko:K00065	kpa:KPNJ1_03268
ko:K07038	kpa:KPNJ1_03269
ko:K06956	kpa:KPNJ1_03270
ko:K15722	kpa:KPNJ1_03271
ko:K03781	kpa:KPNJ1_03272
ko:K03478	kpa:KPNJ1_03273
ko:K01222	kpa:KPNJ1_03274
ko:K03490	kpa:KPNJ1_03275
ko:K02759	kpa:KPNJ1_03276
ko:K02761	kpa:KPNJ1_03277
ko:K02760	kpa:KPNJ1_03279
ko:K04064	kpa:KPNJ1_03280
ko:K01916	kpa:KPNJ1_03281
ko:K05984	kpa:KPNJ1_03282
ko:K05526	kpa:KPNJ1_03285
ko:K01484	kpa:KPNJ1_03286
ko:K06447	kpa:KPNJ1_03287
ko:K00673	kpa:KPNJ1_03288
ko:K00840	kpa:KPNJ1_03289
ko:K02016	kpa:KPNJ1_04085
ko:K02015	kpa:KPNJ1_04086
ko:K02013	kpa:KPNJ1_04087
ko:K00847	kpa:KPNJ1_04093
ko:K16077	kpa:KPNJ1_04094
ko:K02809	kpa:KPNJ1_04095
ko:K02810	kpa:KPNJ1_04095
ko:K01193	kpa:KPNJ1_04096
ko:K03484	kpa:KPNJ1_04097
ko:K17215	kpa:KPNJ1_04101
ko:K17213	kpa:KPNJ1_04102
