ko:K16235	bbre:B12L_0982
ko:K01873	bbre:B12L_0246
ko:K10773	bbre:B12L_0248
ko:K01507	bbre:B12L_0252
ko:K16147	bbre:B12L_0253
ko:K00651	bbre:B12L_0255
ko:K02108	bbre:B12L_0256
ko:K02110	bbre:B12L_0257
ko:K02109	bbre:B12L_0258
ko:K02113	bbre:B12L_0259
ko:K02111	bbre:B12L_0260
ko:K02115	bbre:B12L_0261
ko:K02112	bbre:B12L_0262
ko:K02114	bbre:B12L_0263
ko:K07503	bbre:B12L_0264
ko:K05838	bbre:B12L_0268
ko:K03743	bbre:B12L_1126
ko:K00995	bbre:B12L_1127
ko:K03466	bbre:B12L_1128
ko:K04095	bbre:B12L_1129
ko:K00791	bbre:B12L_1130
ko:K06168	bbre:B12L_1131
ko:K06890	bbre:B12L_1134
ko:K01681	bbre:B12L_1138
ko:K01142	bbre:B12L_1144
ko:K02031	bbre:B12L_1145
ko:K02032	bbre:B12L_1145
ko:K15582	bbre:B12L_1146
ko:K15581	bbre:B12L_1147
ko:K15580	bbre:B12L_1148
ko:K03733	bbre:B12L_1149
ko:K02003	bbre:B12L_1150
ko:K02004	bbre:B12L_1151
ko:K04517	bbre:B12L_1153
ko:K14170	bbre:B12L_1154
ko:K06207	bbre:B12L_1156
ko:K02003	bbre:B12L_1158
ko:K02004	bbre:B12L_1159
ko:K08369	bbre:B12L_1160
ko:K04487	bbre:B12L_1161
ko:K00767	bbre:B12L_1162
ko:K00278	bbre:B12L_1163
ko:K03517	bbre:B12L_1164
ko:K06024	bbre:B12L_1166
ko:K05896	bbre:B12L_1168
ko:K04763	bbre:B12L_1170
ko:K00865	bbre:B12L_1171
ko:K02887	bbre:B12L_1172
ko:K02916	bbre:B12L_1173
ko:K02520	bbre:B12L_1174
ko:K00656	bbre:B12L_0726
ko:K04069	bbre:B12L_0727
ko:K03684	bbre:B12L_0729
ko:K03545	bbre:B12L_0730
ko:K01358	bbre:B12L_0733
ko:K01358	bbre:B12L_0734
ko:K03544	bbre:B12L_0735
ko:K14155	bbre:B12L_0736
ko:K03313	bbre:B12L_0737
ko:K06966	bbre:B12L_0738
ko:K00240	bbre:B12L_0740
ko:K00239	bbre:B12L_0741
ko:K04096	bbre:B12L_0742
ko:K07391	bbre:B12L_0743
ko:K07460	bbre:B12L_0744
ko:K00868	bbre:B12L_0746
ko:K01740	bbre:B12L_0747
ko:K02003	bbre:B12L_0748
ko:K02004	bbre:B12L_0749
ko:K00286	bbre:B12L_0753
ko:K02030	bbre:B12L_0754
ko:K02028	bbre:B12L_0755
ko:K02029	bbre:B12L_0756
ko:K02029	bbre:B12L_0757
ko:K06942	bbre:B12L_0758
ko:K13653	bbre:B12L_0759
ko:K07343	bbre:B12L_0760
ko:K00688	bbre:B12L_0777
ko:K01443	bbre:B12L_0778
ko:K02564	bbre:B12L_0779
ko:K01792	bbre:B12L_0782
ko:K00075	bbre:B12L_1603
ko:K02913	bbre:B12L_1604
ko:K04078	bbre:B12L_1605
ko:K03790	bbre:B12L_1607
ko:K01934	bbre:B12L_1608
ko:K02935	bbre:B12L_1614
ko:K02864	bbre:B12L_1615
ko:K06901	bbre:B12L_1617
ko:K02036	bbre:B12L_1618
ko:K02038	bbre:B12L_1619
ko:K02037	bbre:B12L_1620
ko:K02040	bbre:B12L_1621
ko:K07776	bbre:B12L_1622
ko:K07768	bbre:B12L_1623
ko:K01243	bbre:B12L_1625
ko:K01626	bbre:B12L_1626
ko:K01626	bbre:B12L_1627
ko:K01372	bbre:B12L_1628
ko:K01304	bbre:B12L_1630
ko:K08303	bbre:B12L_1633
ko:K00554	bbre:B12L_1634
ko:K08316	bbre:B12L_1635
ko:K03655	bbre:B12L_1636
ko:K02902	bbre:B12L_1637
ko:K06902	bbre:B12L_1639
ko:K11533	bbre:B12L_1649
ko:K02028	bbre:B12L_0441
ko:K00820	bbre:B12L_0442
ko:K06177	bbre:B12L_0443
ko:K02025	bbre:B12L_0445
ko:K02026	bbre:B12L_0446
ko:K12308	bbre:B12L_0447
ko:K02027	bbre:B12L_0448
ko:K02027	bbre:B12L_0449
ko:K03525	bbre:B12L_0450
ko:K02035	bbre:B12L_0451
ko:K02033	bbre:B12L_0452
ko:K02034	bbre:B12L_0453
ko:K01697	bbre:B12L_0456
ko:K01739	bbre:B12L_0457
ko:K03654	bbre:B12L_0458
ko:K07173	bbre:B12L_0459
ko:K03294	bbre:B12L_0461
ko:K01775	bbre:B12L_0462
ko:K01129	bbre:B12L_0463
ko:K06215	bbre:B12L_0465
ko:K08681	bbre:B12L_0466
ko:K02027	bbre:B12L_0474
ko:K01182	bbre:B12L_0476
ko:K15580	bbre:B12L_0478
ko:K12267	bbre:B12L_0479
ko:K02003	bbre:B12L_0480
ko:K01662	bbre:B12L_0483
ko:K01588	bbre:B12L_0485
ko:K01589	bbre:B12L_0486
ko:K03711	bbre:B12L_0487
ko:K03711	bbre:B12L_0492
ko:K07089	bbre:B12L_0494
ko:K02077	bbre:B12L_0495
ko:K07025	bbre:B12L_1336
ko:K00604	bbre:B12L_1337
ko:K01687	bbre:B12L_1338
ko:K03060	bbre:B12L_1339
ko:K00789	bbre:B12L_1340
ko:K01154	bbre:B12L_1341
ko:K01154	bbre:B12L_1343
ko:K03427	bbre:B12L_1345
ko:K01153	bbre:B12L_1346
ko:K02052	bbre:B12L_1349
ko:K02053	bbre:B12L_1350
ko:K02054	bbre:B12L_1351
ko:K02055	bbre:B12L_1352
ko:K01870	bbre:B12L_1353
ko:K00852	bbre:B12L_1354
ko:K03326	bbre:B12L_1355
ko:K12700	bbre:B12L_1356
ko:K02529	bbre:B12L_1358
ko:K06147	bbre:B12L_1359
ko:K06147	bbre:B12L_1360
ko:K05349	bbre:B12L_1362
ko:K05349	bbre:B12L_1367
ko:K01919	bbre:B12L_1369
ko:K03601	bbre:B12L_1373
ko:K03602	bbre:B12L_1374
ko:K01897	bbre:B12L_1376
ko:K03282	bbre:B12L_1377
ko:K01524	bbre:B12L_1380
ko:K07458	bbre:B12L_1383
ko:K00674	bbre:B12L_1386
ko:K16235	bbre:B12L_0969
ko:K14218	bbre:B12L_tRNA1
ko:K14218	bbre:B12L_tRNA22
ko:K14218	bbre:B12L_tRNA23
ko:K14228	bbre:B12L_tRNA3
ko:K14228	bbre:B12L_tRNA13
ko:K14229	bbre:B12L_tRNA8
ko:K14229	bbre:B12L_tRNA9
ko:K14230	bbre:B12L_tRNA10
ko:K14219	bbre:B12L_tRNA11
ko:K14219	bbre:B12L_tRNA15
ko:K14219	bbre:B12L_tRNA24
ko:K14219	bbre:B12L_tRNA34
ko:K14234	bbre:B12L_tRNA14
ko:K14237	bbre:B12L_tRNA17
ko:K14237	bbre:B12L_tRNA28
ko:K14237	bbre:B12L_tRNA48
ko:K14232	bbre:B12L_tRNA31
ko:K14232	bbre:B12L_tRNA40
ko:K14235	bbre:B12L_tRNA50
ko:K14222	bbre:B12L_tRNA27
ko:K01980	bbre:B12L_rRNA23S2
ko:K01980	bbre:B12L_rRNA23S1
ko:K01200	bbre:B12L_0114
ko:K14228	bbre:B12L_tRNA18
ko:K14228	bbre:B12L_tRNA19
ko:K14228	bbre:B12L_tRNA25
ko:K14225	bbre:B12L_tRNA4
ko:K14225	bbre:B12L_tRNA12
ko:K14225	bbre:B12L_tRNA26
ko:K14225	bbre:B12L_tRNA30
ko:K14225	bbre:B12L_tRNA49
ko:K14224	bbre:B12L_tRNA5
ko:K14223	bbre:B12L_tRNA6
ko:K14223	bbre:B12L_tRNA21
ko:K01977	bbre:B12L_rRNA16S1
ko:K01977	bbre:B12L_rRNA16S2
ko:K14221	bbre:B12L_tRNA36
ko:K14221	bbre:B12L_tRNA38
ko:K14231	bbre:B12L_tRNA37
ko:K14233	bbre:B12L_tRNA41
ko:K14233	bbre:B12L_tRNA42
ko:K14227	bbre:B12L_tRNA2
ko:K14230	bbre:B12L_tRNA35
ko:K14237	bbre:B12L_tRNA29
ko:K14237	bbre:B12L_tRNA47
ko:K14232	bbre:B12L_tRNA20
ko:K01985	bbre:B12L_rRNA5S1
ko:K01985	bbre:B12L_rRNA5S2
ko:K03574	bbre:B12L_1704
ko:K14233	bbre:B12L_tRNA7
ko:K14220	bbre:B12L_tRNA32
ko:K14220	bbre:B12L_tRNA33
ko:K14233	bbre:B12L_tRNA43
ko:K14234	bbre:B12L_tRNA45
ko:K14234	bbre:B12L_tRNA52
ko:K14236	bbre:B12L_tRNA46
ko:K14218	bbre:B12L_tRNA51
ko:K14230	bbre:B12L_tRNA44
ko:K01214	bbre:B12L_0687
ko:K07171	bbre:B12L_0768
ko:K06147	bbre:B12L_0355
ko:K07473	bbre:B12L_0769
ko:K07473	bbre:B12L_0825
ko:K03497	bbre:B12L_1856
ko:K03496	bbre:B12L_1857
ko:K18220	bbre:B12L_1038
ko:K03169	bbre:B12L_1060
ko:K03111	bbre:B12L_0217
ko:K03205	bbre:B12L_1072
ko:K03496	bbre:B12L_1087
ko:K03496	bbre:B12L_1169
ko:K03502	bbre:B12L_0501
ko:K03111	bbre:B12L_1391
ko:K07473	bbre:B12L_0610
ko:K03496	bbre:B12L_1437
ko:K03205	bbre:B12L_1462
ko:K03497	bbre:B12L_1472
ko:K03976	bbre:B12L_1179
ko:K07483	bbre:B12L_0705
ko:K03526	bbre:B12L_0575
ko:K07816	bbre:B12L_1132
ko:K00067	bbre:B12L_1738
ko:K01790	bbre:B12L_1738
ko:K19158	bbre:B12L_0609
ko:K01710	bbre:B12L_1739
ko:K07062	bbre:B12L_0326
ko:K01621	bbre:B12L_0715
ko:K19265	bbre:B12L_0336
ko:K01239	bbre:B12L_0316
ko:K01785	bbre:B12L_1182
ko:K07496	bbre:B12L_1596
ko:K01990	bbre:B12L_0802
ko:K12952	bbre:B12L_1139
ko:K08217	bbre:B12L_0791
ko:K01785	bbre:B12L_1181
ko:K08156	bbre:B12L_1505
ko:K00526	bbre:B12L_1839
ko:K20459	bbre:B12L_1012
ko:K19710	bbre:B12L_0930
ko:K13059	bbre:B12L_1514
ko:K08744	bbre:B12L_0960
ko:K02538	bbre:B12L_1330
ko:K02777	bbre:B12L_1684
ko:K20107	bbre:B12L_1684
ko:K20108	bbre:B12L_1684
ko:K12132	bbre:B12L_0060
ko:K12132	bbre:B12L_1116
ko:K12132	bbre:B12L_0061
ko:K20074	bbre:B12L_0064
ko:K20444	bbre:B12L_1734
ko:K20461	bbre:B12L_1014
ko:K20460	bbre:B12L_1013
ko:K01214	bbre:B12L_1581
ko:K20814	bbre:B12L_1324
ko:K21011	bbre:B12L_0034
ko:K21012	bbre:B12L_0035
ko:K00821	bbre:B12L_0603
ko:K21636	bbre:B12L_1372
ko:K06217	bbre:B12L_0848
ko:K06191	bbre:B12L_1843
ko:K02314	bbre:B12L_0207
ko:K06223	bbre:B12L_1074
ko:K01520	bbre:B12L_1099
ko:K03553	bbre:B12L_1123
ko:K02316	bbre:B12L_0464
ko:K04068	bbre:B12L_1371
ko:K00287	bbre:B12L_1491
ko:K00560	bbre:B12L_1492
ko:K02031	bbre:B12L_0454
ko:K02032	bbre:B12L_0455
ko:K02032	bbre:B12L_0150
ko:K00525	bbre:B12L_1841
ko:K02335	bbre:B12L_0684
ko:K03293	bbre:B12L_1775
ko:K21471	bbre:B12L_0436
ko:K03293	bbre:B12L_1778
ko:K05364	bbre:B12L_0062
ko:K21495	bbre:B12L_0327
ko:K21498	bbre:B12L_0771
ko:K21600	bbre:B12L_0222
ko:K10914	bbre:B12L_0405
ko:K21739	bbre:B12L_1526
ko:K00936	bbre:B12L_0657
ko:K22010	bbre:B12L_0683
ko:K03595	bbre:B12L_0851
ko:K22306	bbre:B12L_0718
ko:K22397	bbre:B12L_1670
ko:K22397	bbre:B12L_1235
ko:K08300	bbre:B12L_1667
ko:K08301	bbre:B12L_1667
