ko:K18923	lpo:LPO_3236
ko:K02948	lpo:LPO_0402
ko:K02986	lpo:LPO_0403
ko:K03040	lpo:LPO_0404
ko:K02879	lpo:LPO_0405
ko:K10780	lpo:LPO_0408
ko:K09458	lpo:LPO_0411
ko:K02517	lpo:LPO_0413
ko:K01778	lpo:LPO_0416
ko:K06999	lpo:LPO_0419
ko:K09801	lpo:LPO_0421
ko:K06186	lpo:LPO_0422
ko:K02453	lpo:LPO_1298
ko:K05810	lpo:LPO_1315
ko:K06180	lpo:LPO_1316
ko:K06168	lpo:LPO_1317
ko:K02422	lpo:LPO_1321
ko:K02407	lpo:LPO_1322
ko:K02406	lpo:LPO_1324
ko:K01963	lpo:LPO_1326
ko:K11754	lpo:LPO_1327
ko:K03749	lpo:LPO_1328
ko:K03558	lpo:LPO_1329
ko:K00969	lpo:LPO_1330
ko:K02340	lpo:LPO_1331
ko:K03643	lpo:LPO_1332
ko:K01869	lpo:LPO_1333
ko:K03820	lpo:LPO_1334
ko:K07516	lpo:LPO_1337
ko:K02460	lpo:LPO_1347
ko:K02459	lpo:LPO_1348
ko:K02458	lpo:LPO_1349
ko:K02457	lpo:LPO_1350
ko:K02456	lpo:LPO_1351
ko:K02455	lpo:LPO_1352
ko:K01915	lpo:LPO_1353
ko:K09861	lpo:LPO_1355
ko:K00570	lpo:LPO_2222
ko:K01251	lpo:LPO_2237
ko:K04080	lpo:LPO_2260
ko:K01673	lpo:LPO_2262
ko:K03305	lpo:LPO_2267
ko:K14415	lpo:LPO_2270
ko:K03924	lpo:LPO_3162
ko:K01737	lpo:LPO_3169
ko:K04066	lpo:LPO_3170
ko:K07107	lpo:LPO_3171
ko:K13292	lpo:LPO_3174
ko:K08484	lpo:LPO_3176
ko:K08311	lpo:LPO_3177
ko:K04042	lpo:LPO_3180
ko:K03284	lpo:LPO_3183
ko:K10773	lpo:LPO_3185
ko:K01874	lpo:LPO_3187
ko:K03186	lpo:LPO_3188
ko:K06920	lpo:LPO_3191
ko:K03495	lpo:LPO_3198
ko:K03501	lpo:LPO_3199
ko:K02276	lpo:LPO_3204
ko:K02275	lpo:LPO_3207
ko:K03701	lpo:LPO_0441
ko:K03744	lpo:LPO_0442
ko:K03799	lpo:LPO_0443
ko:K07394	lpo:LPO_0447
ko:K07043	lpo:LPO_0448
ko:K02884	lpo:LPO_0456
ko:K00554	lpo:LPO_0457
ko:K02860	lpo:LPO_0458
ko:K02959	lpo:LPO_0460
ko:K03106	lpo:LPO_0461
ko:K02259	lpo:LPO_0471
ko:K07152	lpo:LPO_0473
ko:K00036	lpo:LPO_0476
ko:K01057	lpo:LPO_0477
ko:K01690	lpo:LPO_0478
ko:K01625	lpo:LPO_0480
ko:K07727	lpo:LPO_0483
ko:K01772	lpo:LPO_0485
ko:K03704	lpo:LPO_0486
ko:K04079	lpo:LPO_1358
ko:K03557	lpo:LPO_1359
ko:K00748	lpo:LPO_1360
ko:K03470	lpo:LPO_1363
ko:K05837	lpo:LPO_1364
ko:K05515	lpo:LPO_1365
ko:K00783	lpo:LPO_1366
ko:K09710	lpo:LPO_1367
ko:K03305	lpo:LPO_1368
ko:K01712	lpo:LPO_1369
ko:K01745	lpo:LPO_1370
ko:K00154	lpo:LPO_1371
ko:K15724	lpo:LPO_1378
ko:K00566	lpo:LPO_1379
ko:K07040	lpo:LPO_1386
ko:K02911	lpo:LPO_1387
ko:K03621	lpo:LPO_1388
ko:K00648	lpo:LPO_1389
ko:K00645	lpo:LPO_1390
ko:K02078	lpo:LPO_1392
ko:K09458	lpo:LPO_1393
ko:K07082	lpo:LPO_1394
ko:K00943	lpo:LPO_1395
ko:K02341	lpo:LPO_1396
ko:K02676	lpo:LPO_1397
ko:K03424	lpo:LPO_1398
ko:K09001	lpo:LPO_1399
ko:K08160	lpo:LPO_1401
ko:K07501	lpo:LPO_1405
ko:K03671	lpo:LPO_1409
ko:K00111	lpo:LPO_1410
ko:K00864	lpo:LPO_1411
ko:K01647	lpo:LPO_1412
ko:K00757	lpo:LPO_1413
ko:K07071	lpo:LPO_2284
ko:K00648	lpo:LPO_2297
ko:K00648	lpo:LPO_2302
ko:K02078	lpo:LPO_2305
ko:K08154	lpo:LPO_2306
ko:K04561	lpo:LPO_2308
ko:K00761	lpo:LPO_2315
ko:K11103	lpo:LPO_2318
ko:K03975	lpo:LPO_2321
ko:K01915	lpo:LPO_2326
ko:K09930	lpo:LPO_2328
ko:K06895	lpo:LPO_3211
ko:K03183	lpo:LPO_3217
ko:K03690	lpo:LPO_3218
ko:K03688	lpo:LPO_3219
ko:K03116	lpo:LPO_3220
ko:K03117	lpo:LPO_3221
ko:K12267	lpo:LPO_3224
ko:K02003	lpo:LPO_3246
ko:K02528	lpo:LPO_3251
ko:K01579	lpo:LPO_3252
ko:K03118	lpo:LPO_3253
ko:K11940	lpo:LPO_3254
ko:K03182	lpo:LPO_3257
ko:K03628	lpo:LPO_3258
ko:K03671	lpo:LPO_3260
ko:K09761	lpo:LPO_3261
ko:K02517	lpo:LPO_3265
ko:K02517	lpo:LPO_3266
ko:K00677	lpo:LPO_3268
ko:K02536	lpo:LPO_3269
ko:K00602	lpo:LPO_0526
ko:K02687	lpo:LPO_0528
ko:K01961	lpo:LPO_0529
ko:K02160	lpo:LPO_0530
ko:K03786	lpo:LPO_0531
ko:K01960	lpo:LPO_0532
ko:K01623	lpo:LPO_0537
ko:K17103	lpo:LPO_0541
ko:K05808	lpo:LPO_0543
ko:K03092	lpo:LPO_0544
ko:K02913	lpo:LPO_0545
ko:K02902	lpo:LPO_0546
ko:K03439	lpo:LPO_0549
ko:K04088	lpo:LPO_0552
ko:K04087	lpo:LPO_0553
ko:K02469	lpo:LPO_1414
ko:K00831	lpo:LPO_1415
ko:K00800	lpo:LPO_1416
ko:K00945	lpo:LPO_1417
ko:K02945	lpo:LPO_1418
ko:K13017	lpo:LPO_1421
ko:K01591	lpo:LPO_1422
ko:K07001	lpo:LPO_1423
ko:K07124	lpo:LPO_1424
ko:K03179	lpo:LPO_1427
ko:K03815	lpo:LPO_1431
ko:K06189	lpo:LPO_1436
ko:K07042	lpo:LPO_1437
ko:K07053	lpo:LPO_1439
ko:K01867	lpo:LPO_1441
ko:K05896	lpo:LPO_1442
ko:K06024	lpo:LPO_1443
ko:K06178	lpo:LPO_1444
ko:K03215	lpo:LPO_1456
ko:K14261	lpo:LPO_1459
ko:K07462	lpo:LPO_1461
ko:K05539	lpo:LPO_1462
ko:K03070	lpo:LPO_1463
ko:K00859	lpo:LPO_1467
ko:K07259	lpo:LPO_1470
ko:K07576	lpo:LPO_2330
ko:K03821	lpo:LPO_2335
ko:K00925	lpo:LPO_2337
ko:K05516	lpo:LPO_2338
ko:K09941	lpo:LPO_2341
ko:K05813	lpo:LPO_2352
ko:K01126	lpo:LPO_2353
ko:K00263	lpo:LPO_2355
ko:K00457	lpo:LPO_2357
ko:K16171	lpo:LPO_2358
ko:K01893	lpo:LPO_2361
ko:K09810	lpo:LPO_2363
ko:K09808	lpo:LPO_2364
ko:K00995	lpo:LPO_2365
ko:K01091	lpo:LPO_2366
ko:K08300	lpo:LPO_2368
ko:K03580	lpo:LPO_2370
ko:K00133	lpo:LPO_2373
ko:K01736	lpo:LPO_2374
ko:K07320	lpo:LPO_2375
ko:K03071	lpo:LPO_2383
ko:K00748	lpo:LPO_3270
ko:K01953	lpo:LPO_3275
ko:K01738	lpo:LPO_3279
ko:K05788	lpo:LPO_3283
ko:K01494	lpo:LPO_3284
ko:K07403	lpo:LPO_3291
ko:K01465	lpo:LPO_3298
ko:K03683	lpo:LPO_3299
ko:K07390	lpo:LPO_3301
ko:K04564	lpo:LPO_3302
ko:K01126	lpo:LPO_3305
ko:K07566	lpo:LPO_3307
ko:K01613	lpo:LPO_3309
ko:K02621	lpo:LPO_3314
ko:K02114	lpo:LPO_3320
ko:K02112	lpo:LPO_3321
ko:K02115	lpo:LPO_3322
ko:K02111	lpo:LPO_3323
ko:K02113	lpo:LPO_3324
ko:K02109	lpo:LPO_3325
ko:K02110	lpo:LPO_3326
ko:K02108	lpo:LPO_3327
ko:K01939	lpo:LPO_0554
ko:K03402	lpo:LPO_0557
ko:K02029	lpo:LPO_0559
ko:K01940	lpo:LPO_0561
ko:K01755	lpo:LPO_0562
ko:K00611	lpo:LPO_0563
ko:K01999	lpo:LPO_0565
ko:K03797	lpo:LPO_0566
ko:K15633	lpo:LPO_0568
ko:K00806	lpo:LPO_0572
ko:K00981	lpo:LPO_0573
ko:K11749	lpo:LPO_0574
ko:K07277	lpo:LPO_0576
ko:K06142	lpo:LPO_0577
ko:K02536	lpo:LPO_0578
ko:K02372	lpo:LPO_0580
ko:K00677	lpo:LPO_0581
ko:K06199	lpo:LPO_0582
ko:K01875	lpo:LPO_0583
ko:K00242	lpo:LPO_0604
ko:K00239	lpo:LPO_0605
ko:K00240	lpo:LPO_0606
ko:K00164	lpo:LPO_0607
ko:K00658	lpo:LPO_0608
ko:K01903	lpo:LPO_0609
ko:K01902	lpo:LPO_0610
ko:K00275	lpo:LPO_0611
ko:K00833	lpo:LPO_1471
ko:K01012	lpo:LPO_1472
ko:K02170	lpo:LPO_1474
ko:K01935	lpo:LPO_1475
ko:K01876	lpo:LPO_1478
ko:K05802	lpo:LPO_1479
ko:K03573	lpo:LPO_1480
ko:K01256	lpo:LPO_1506
ko:K03789	lpo:LPO_1514
ko:K00382	lpo:LPO_1515
ko:K00627	lpo:LPO_1516
ko:K00163	lpo:LPO_1517
ko:K03807	lpo:LPO_1519
ko:K03642	lpo:LPO_1521
ko:K00824	lpo:LPO_1523
ko:K09158	lpo:LPO_1524
ko:K03801	lpo:LPO_1525
ko:K12541	lpo:LPO_1529
ko:K00057	lpo:LPO_2384
ko:K01776	lpo:LPO_2385
ko:K01714	lpo:LPO_2390
ko:K00019	lpo:LPO_2393
ko:K07001	lpo:LPO_2394
ko:K02556	lpo:LPO_2395
ko:K02557	lpo:LPO_2396
ko:K03837	lpo:LPO_2398
ko:K02670	lpo:LPO_2400
ko:K04485	lpo:LPO_2403
ko:K03602	lpo:LPO_2406
ko:K00795	lpo:LPO_2407
ko:K02169	lpo:LPO_2408
ko:K11749	lpo:LPO_2410
ko:K02492	lpo:LPO_2413
ko:K02835	lpo:LPO_2414
ko:K02493	lpo:LPO_2415
ko:K06204	lpo:LPO_2416
ko:K02527	lpo:LPO_2418
ko:K05801	lpo:LPO_2419
ko:K05592	lpo:LPO_2424
ko:K04756	lpo:LPO_2428
ko:K00024	lpo:LPO_2431
ko:K08312	lpo:LPO_2432
ko:K08591	lpo:LPO_2436
ko:K02970	lpo:LPO_2438
ko:K09117	lpo:LPO_2439
ko:K03271	lpo:LPO_3332
ko:K07460	lpo:LPO_3333
ko:K07121	lpo:LPO_3334
ko:K07056	lpo:LPO_3335
ko:K00496	lpo:LPO_3336
ko:K03321	lpo:LPO_3337
ko:K03650	lpo:LPO_3343
ko:K03217	lpo:LPO_3344
ko:K03536	lpo:LPO_3345
ko:K02914	lpo:LPO_3346
ko:K03565	lpo:LPO_p0008
ko:K03557	lpo:LPO_0617
ko:K00948	lpo:LPO_0618
ko:K02494	lpo:LPO_0620
ko:K00954	lpo:LPO_0621
ko:K00655	lpo:LPO_0624
ko:K02346	lpo:LPO_0626
ko:K00023	lpo:LPO_0632
ko:K00023	lpo:LPO_0633
ko:K06373	lpo:LPO_0637
ko:K06374	lpo:LPO_0638
ko:K01866	lpo:LPO_0640
ko:K03306	lpo:LPO_0654
ko:K07220	lpo:LPO_0655
ko:K07735	lpo:LPO_0657
ko:K07447	lpo:LPO_0658
ko:K00609	lpo:LPO_0659
ko:K07391	lpo:LPO_0661
ko:K04752	lpo:LPO_0663
ko:K12542	lpo:LPO_1530
ko:K00760	lpo:LPO_1532
ko:K02652	lpo:LPO_1535
ko:K02654	lpo:LPO_1537
ko:K09773	lpo:LPO_1541
ko:K01720	lpo:LPO_1542
ko:K15461	lpo:LPO_1546
ko:K03305	lpo:LPO_1547
ko:K01845	lpo:LPO_1548
ko:K08973	lpo:LPO_1550
ko:K00950	lpo:LPO_1553
ko:K03977	lpo:LPO_1555
ko:K01892	lpo:LPO_1558
ko:K02656	lpo:LPO_1560
ko:K06941	lpo:LPO_1561
ko:K00940	lpo:LPO_1562
ko:K06169	lpo:LPO_1564
ko:K03269	lpo:LPO_1566
ko:K03610	lpo:LPO_1567
ko:K09996	lpo:LPO_1569
ko:K01665	lpo:LPO_1571
ko:K00161	lpo:LPO_1572
ko:K00162	lpo:LPO_1573
ko:K00627	lpo:LPO_1574
ko:K03086	lpo:LPO_2441
ko:K03305	lpo:LPO_2448
ko:K03563	lpo:LPO_2456
ko:K01438	lpo:LPO_2506
ko:K09131	lpo:LPO_p0041
ko:K07639	lpo:LPO_p0044
ko:K03313	lpo:LPO_p0081
ko:K00023	lpo:LPO_p0082
ko:K01534	lpo:LPO_p0084
ko:K03446	lpo:LPO_p0093
ko:K03543	lpo:LPO_p0094
ko:K05939	lpo:LPO_0668
ko:K03821	lpo:LPO_0671
ko:K09014	lpo:LPO_0673
ko:K09013	lpo:LPO_0674
ko:K09015	lpo:LPO_0675
ko:K11717	lpo:LPO_0676
ko:K04568	lpo:LPO_0679
ko:K06968	lpo:LPO_0680
ko:K13979	lpo:LPO_0686
ko:K01462	lpo:LPO_0689
ko:K06048	lpo:LPO_0691
ko:K06879	lpo:LPO_0693
ko:K01246	lpo:LPO_0695
ko:K06996	lpo:LPO_0696
ko:K02655	lpo:LPO_0705
ko:K02673	lpo:LPO_0707
ko:K02672	lpo:LPO_0708
ko:K02671	lpo:LPO_0709
ko:K08084	lpo:LPO_0710
ko:K01839	lpo:LPO_0717
ko:K01419	lpo:LPO_0718
ko:K03667	lpo:LPO_0719
ko:K07058	lpo:LPO_0721
ko:K03809	lpo:LPO_0724
ko:K01142	lpo:LPO_0726
ko:K03154	lpo:LPO_1585
ko:K03149	lpo:LPO_1586
ko:K14153	lpo:LPO_1587
ko:K03641	lpo:LPO_1590
ko:K03562	lpo:LPO_1593
ko:K07107	lpo:LPO_1594
ko:K03551	lpo:LPO_1595
ko:K03088	lpo:LPO_1596
ko:K09159	lpo:LPO_1598
ko:K06980	lpo:LPO_1599
ko:K12262	lpo:LPO_1600
ko:K15371	lpo:LPO_1601
ko:K01004	lpo:LPO_1604
ko:K02939	lpo:LPO_1609
ko:K02963	lpo:LPO_1611
ko:K02990	lpo:LPO_1612
ko:K03563	lpo:LPO_1613
ko:K01595	lpo:LPO_1623
ko:K00147	lpo:LPO_1626
ko:K00931	lpo:LPO_1627
ko:K10255	lpo:LPO_2516
ko:K03313	lpo:LPO_2518
ko:K07154	lpo:LPO_2551
ko:K03549	lpo:LPO_2557
ko:K03313	lpo:LPO_2559
ko:K03782	lpo:LPO_2567
ko:K03594	lpo:LPO_2573
ko:K07301	lpo:LPO_p0097
ko:K01993	lpo:LPO_p0099
ko:K13926	lpo:LPO_p0100
ko:K13993	lpo:LPO_p0107
ko:K01142	lpo:LPO_0727
ko:K02909	lpo:LPO_0728
ko:K00029	lpo:LPO_0729
ko:K03834	lpo:LPO_0734
ko:K03834	lpo:LPO_0735
ko:K01993	lpo:LPO_0738
ko:K08309	lpo:LPO_0743
ko:K01783	lpo:LPO_0744
ko:K15977	lpo:LPO_0746
ko:K07001	lpo:LPO_0750
ko:K03885	lpo:LPO_0751
ko:K01574	lpo:LPO_0752
ko:K09930	lpo:LPO_0756
ko:K00982	lpo:LPO_0759
ko:K14441	lpo:LPO_0764
ko:K04084	lpo:LPO_0765
ko:K04078	lpo:LPO_0766
ko:K04077	lpo:LPO_0767
ko:K04047	lpo:LPO_0768
ko:K02622	lpo:LPO_0770
ko:K01881	lpo:LPO_0774
ko:K01673	lpo:LPO_0777
ko:K14058	lpo:LPO_0779
ko:K12340	lpo:LPO_0780
ko:K00573	lpo:LPO_0781
ko:K00060	lpo:LPO_0783
ko:K06176	lpo:LPO_1650
ko:K00648	lpo:LPO_1661
ko:K01733	lpo:LPO_1677
ko:K12262	lpo:LPO_1681
ko:K03335	lpo:LPO_1685
ko:K03336	lpo:LPO_1686
ko:K03338	lpo:LPO_1687
ko:K13929	lpo:LPO_2616
ko:K13932	lpo:LPO_2617
ko:K13933	lpo:LPO_2618
ko:K13934	lpo:LPO_2619
ko:K13930	lpo:LPO_2620
ko:K07552	lpo:LPO_2629
ko:K07112	lpo:LPO_0786
ko:K07112	lpo:LPO_0787
ko:K06076	lpo:LPO_0788
ko:K01468	lpo:LPO_0792
ko:K07644	lpo:LPO_0795
ko:K01873	lpo:LPO_0800
ko:K00600	lpo:LPO_0806
ko:K07738	lpo:LPO_0807
ko:K03625	lpo:LPO_0808
ko:K00946	lpo:LPO_0809
ko:K01095	lpo:LPO_0810
ko:K01950	lpo:LPO_0815
ko:K01775	lpo:LPO_0819
ko:K03644	lpo:LPO_0825
ko:K07461	lpo:LPO_0826
ko:K03305	lpo:LPO_0827
ko:K02500	lpo:LPO_0830
ko:K02501	lpo:LPO_0831
ko:K01790	lpo:LPO_0837
ko:K05367	lpo:LPO_1699
ko:K06894	lpo:LPO_1700
ko:K11175	lpo:LPO_1712
ko:K00764	lpo:LPO_1714
ko:K01923	lpo:LPO_1715
ko:K01952	lpo:LPO_1716
ko:K01933	lpo:LPO_1717
ko:K01952	lpo:LPO_1718
ko:K04084	lpo:LPO_1722
ko:K01681	lpo:LPO_1728
ko:K13821	lpo:LPO_1730
ko:K03607	lpo:LPO_1732
ko:K03648	lpo:LPO_1734
ko:K01295	lpo:LPO_1739
ko:K00673	lpo:LPO_1740
ko:K06447	lpo:LPO_1741
ko:K01484	lpo:LPO_1742
ko:K02838	lpo:LPO_1745
ko:K09903	lpo:LPO_1746
ko:K02357	lpo:LPO_1747
ko:K02967	lpo:LPO_1748
ko:K08641	lpo:LPO_2639
ko:K07238	lpo:LPO_2640
ko:K00675	lpo:LPO_2641
ko:K04654	lpo:LPO_2661
ko:K04653	lpo:LPO_2662
ko:K04656	lpo:LPO_2663
ko:K04651	lpo:LPO_2665
ko:K07241	lpo:LPO_2666
ko:K15268	lpo:LPO_2670
ko:K14224	lpo:LPO_tRNA29
ko:K14224	lpo:LPO_tRNA30
ko:K14231	lpo:LPO_tRNA12
ko:K14229	lpo:LPO_tRNA27
ko:K14222	lpo:LPO_tRNA25
ko:K14227	lpo:LPO_tRNA20
ko:K15778	lpo:LPO_2675
ko:K13038	lpo:LPO_2677
ko:K03630	lpo:LPO_2678
ko:K13993	lpo:LPO_2684
ko:K03216	lpo:LPO_2689
ko:K00067	lpo:LPO_0838
ko:K01810	lpo:LPO_0840
ko:K00973	lpo:LPO_0841
ko:K03563	lpo:LPO_0860
ko:K03524	lpo:LPO_0862
ko:K06133	lpo:LPO_0863
ko:K01962	lpo:LPO_0864
ko:K04075	lpo:LPO_0865
ko:K01752	lpo:LPO_0870
ko:K03773	lpo:LPO_0871
ko:K08218	lpo:LPO_0872
ko:K03517	lpo:LPO_0876
ko:K00278	lpo:LPO_0877
ko:K01756	lpo:LPO_0878
ko:K03321	lpo:LPO_0879
ko:K01442	lpo:LPO_0881
ko:K00767	lpo:LPO_0885
ko:K02563	lpo:LPO_0886
ko:K02237	lpo:LPO_0888
ko:K03569	lpo:LPO_0889
ko:K03570	lpo:LPO_0890
ko:K03571	lpo:LPO_0891
ko:K06181	lpo:LPO_0892
ko:K00031	lpo:LPO_0895
ko:K01265	lpo:LPO_1758
ko:K00990	lpo:LPO_1759
ko:K11991	lpo:LPO_1760
ko:K01951	lpo:LPO_1761
ko:K03609	lpo:LPO_1763
ko:K03608	lpo:LPO_1764
ko:K03281	lpo:LPO_1772
ko:K13503	lpo:LPO_1773
ko:K02435	lpo:LPO_1774
ko:K02434	lpo:LPO_1776
ko:K03557	lpo:LPO_1787
ko:K04487	lpo:LPO_1791
ko:K15396	lpo:LPO_1792
ko:K04773	lpo:LPO_1794
ko:K03695	lpo:LPO_1795
ko:K02558	lpo:LPO_1798
ko:K02413	lpo:LPO_1801
ko:K02412	lpo:LPO_1802
ko:K02411	lpo:LPO_1803
ko:K02410	lpo:LPO_1804
ko:K02409	lpo:LPO_1805
ko:K02408	lpo:LPO_1806
ko:K07478	lpo:LPO_1809
ko:K03634	lpo:LPO_1810
ko:K06966	lpo:LPO_2695
ko:K01673	lpo:LPO_2696
ko:K01626	lpo:LPO_2737
ko:K16868	lpo:LPO_2741
ko:K13771	lpo:LPO_2742
ko:K06886	lpo:LPO_2743
ko:K03282	lpo:LPO_2748
ko:K02313	lpo:LPO_0001
ko:K02338	lpo:LPO_0002
ko:K03629	lpo:LPO_0003
ko:K02470	lpo:LPO_0004
ko:K10536	lpo:LPO_0005
ko:K12251	lpo:LPO_0007
ko:K06891	lpo:LPO_0896
ko:K17686	lpo:LPO_1656
ko:K17686	lpo:LPO_2811
ko:K01467	lpo:LPO_2597
ko:K06518	lpo:LPO_0247
ko:K03767	lpo:LPO_2052
ko:K01069	lpo:LPO_1280
ko:K00254	lpo:LPO_1875
ko:K07263	lpo:LPO_2950
ko:K07263	lpo:LPO_2951
ko:K01658	lpo:LPO_0913
ko:K00537	lpo:LPO_0288
ko:K17758	lpo:LPO_2982
ko:K17759	lpo:LPO_2982
ko:K00128	lpo:LPO_1336
ko:K01487	lpo:LPO_2079
ko:K11022	lpo:LPO_2718
ko:K01659	lpo:LPO_1543
ko:K02058	lpo:LPO_0222
ko:K03719	lpo:LPO_2720
ko:K03719	lpo:LPO_1486
ko:K00130	lpo:LPO_0277
ko:K07645	lpo:LPO_1275
ko:K16011	lpo:LPO_3192
ko:K00632	lpo:LPO_1338
ko:K01139	lpo:LPO_2107
ko:K00663	lpo:LPO_p0010
ko:K18138	lpo:LPO_0801
ko:K07045	lpo:LPO_2745
ko:K00663	lpo:LPO_2578
ko:K14742	lpo:LPO_1997
ko:K03585	lpo:LPO_0802
ko:K01286	lpo:LPO_1980
ko:K21480	lpo:LPO_0268
ko:K01286	lpo:LPO_1119
ko:K01286	lpo:LPO_3242
ko:K02031	lpo:LPO_0771
ko:K02032	lpo:LPO_0771
ko:K01838	lpo:LPO_1088
ko:K01768	lpo:LPO_1490
ko:K12226	lpo:LPO_0523
ko:K07090	lpo:LPO_3175
ko:K00523	lpo:LPO_3256
ko:K01533	lpo:LPO_2972
ko:K01533	lpo:LPO_0270
ko:K00625	lpo:LPO_2822
ko:K03704	lpo:LPO_2826
ko:K09458	lpo:LPO_0110
ko:K07639	lpo:LPO_2006
ko:K06147	lpo:LPO_2161
ko:K07126	lpo:LPO_3233
ko:K06879	lpo:LPO_p0031
ko:K00275	lpo:LPO_p0057
ko:K00812	lpo:LPO_2614
ko:K03563	lpo:LPO_p0154
ko:K18429	lpo:LPO_0834
ko:K18431	lpo:LPO_0832
ko:K18430	lpo:LPO_0833
ko:K03293	lpo:LPO_1058
ko:K18480	lpo:LPO_2147
ko:K00681	lpo:LPO_0622
ko:K01178	lpo:LPO_0482
ko:K04065	lpo:LPO_0439
ko:K02664	lpo:LPO_1013
ko:K08744	lpo:LPO_3092
ko:K09691	lpo:LPO_0853
ko:K07171	lpo:LPO_p0114
ko:K18778	lpo:LPO_1466
ko:K06147	lpo:LPO_1262
ko:K06147	lpo:LPO_1638
ko:K18800	lpo:LPO_0087
ko:K18893	lpo:LPO_2309
ko:K06218	lpo:LPO_3235
ko:K18844	lpo:LPO_1493
ko:K18850	lpo:LPO_1971
ko:K06147	lpo:LPO_p0072
ko:K03502	lpo:LPO_1737
ko:K03503	lpo:LPO_1738
ko:K15773	lpo:LPO_0073
ko:K03111	lpo:LPO_2833
ko:K03497	lpo:LPO_2864
ko:K12204	lpo:LPO_2954
ko:K12203	lpo:LPO_2955
ko:K05593	lpo:LPO_2214
ko:K03496	lpo:LPO_3200
ko:K03497	lpo:LPO_3201
ko:K12222	lpo:LPO_CDS503362D
ko:K12218	lpo:LPO_0511
ko:K12217	lpo:LPO_0512
ko:K12214	lpo:LPO_0515
ko:K12213	lpo:LPO_0516
ko:K12209	lpo:LPO_0517
ko:K12206	lpo:LPO_0522
ko:K04565	lpo:LPO_2427
ko:K03496	lpo:LPO_p0001
ko:K03497	lpo:LPO_p0002
ko:K03497	lpo:LPO_p0005
ko:K03205	lpo:LPO_2469
ko:K03646	lpo:LPO_1591
ko:K07473	lpo:LPO_p0119
ko:K12056	lpo:LPO_p0135
ko:K12072	lpo:LPO_p0136
ko:K12057	lpo:LPO_p0138
ko:K12058	lpo:LPO_p0139
ko:K12059	lpo:LPO_p0140
ko:K12060	lpo:LPO_p0141
ko:K12061	lpo:LPO_p0142
ko:K12062	lpo:LPO_p0143
ko:K12063	lpo:LPO_p0144
ko:K12065	lpo:LPO_p0146
ko:K12066	lpo:LPO_p0147
ko:K12067	lpo:LPO_p0148
ko:K12068	lpo:LPO_p0149
ko:K07483	lpo:LPO_p0106
ko:K19055	lpo:LPO_1223
ko:K00335	lpo:LPO_3074
ko:K02663	lpo:LPO_1012
ko:K12211	lpo:LPO_0518
ko:K18997	lpo:LPO_2339
ko:K19155	lpo:LPO_1074
ko:K19156	lpo:LPO_1075
ko:K12221	lpo:LPO_0508
ko:K12220	lpo:LPO_0509
ko:K12216	lpo:LPO_0513
ko:K12215	lpo:LPO_0514
ko:K12210	lpo:LPO_0524
ko:K12208	lpo:LPO_0520
ko:K12207	lpo:LPO_0519
ko:K15474	lpo:LPO_2917
ko:K04771	lpo:LPO_1314
ko:K15479	lpo:LPO_2033
ko:K15482	lpo:LPO_2714
ko:K12212	lpo:LPO_0521
ko:K15484	lpo:LPO_2851
ko:K15486	lpo:LPO_1483
ko:K15487	lpo:LPO_0326
ko:K15488	lpo:LPO_3124
ko:K15478	lpo:LPO_3105
ko:K15477	lpo:LPO_3126
ko:K15476	lpo:LPO_0446
ko:K15481	lpo:LPO_1024
ko:K12225	lpo:LPO_2970
ko:K16291	lpo:LPO_1615
ko:K12202	lpo:LPO_2967
ko:K19157	lpo:LPO_p0120
ko:K02650	lpo:LPO_1991
ko:K01710	lpo:LPO_0839
ko:K00812	lpo:LPO_2740
ko:K12224	lpo:LPO_2969
ko:K00499	lpo:LPO_2288
ko:K12219	lpo:LPO_0510
ko:K00336	lpo:LPO_3073
ko:K15490	lpo:LPO_1357
ko:K00020	lpo:LPO_0136
ko:K19416	lpo:LPO_1033
ko:K01992	lpo:LPO_0740
ko:K01992	lpo:LPO_0741
ko:K03722	lpo:LPO_1998
ko:K01399	lpo:LPO_1690
ko:K01399	lpo:LPO_3312
ko:K01399	lpo:LPO_0533
ko:K02655	lpo:LPO_1990
ko:K01768	lpo:LPO_0754
ko:K00638	lpo:LPO_0051
ko:K19294	lpo:LPO_2274
ko:K09690	lpo:LPO_0852
ko:K07011	lpo:LPO_0856
ko:K07344	lpo:LPO_2468
ko:K11209	lpo:LPO_2067
ko:K12205	lpo:LPO_2953
ko:K00992	lpo:LPO_0352
ko:K07666	lpo:LPO_1276
ko:K19784	lpo:LPO_2630
ko:K13069	lpo:LPO_p0076
ko:K07662	lpo:LPO_1435
ko:K13775	lpo:LPO_1372
ko:K19802	lpo:LPO_2041
ko:K19804	lpo:LPO_1420
ko:K19810	lpo:LPO_0345
ko:K06445	lpo:LPO_0350
ko:K01568	lpo:LPO_1168
ko:K20265	lpo:LPO_1729
ko:K20266	lpo:LPO_2466
ko:K20265	lpo:LPO_0464
ko:K20265	lpo:LPO_1993
ko:K20265	lpo:LPO_1693
ko:K00507	lpo:LPO_0289
ko:K00507	lpo:LPO_0630
ko:K00507	lpo:LPO_2508
ko:K20761	lpo:LPO_1238
ko:K20760	lpo:LPO_1237
ko:K20527	lpo:LPO_2457
ko:K20531	lpo:LPO_2462
ko:K20529	lpo:LPO_2460
ko:K20532	lpo:LPO_2463
