ko:K13613	bamf:U722_09010
ko:K11210	bamf:U722_05680
ko:K00145	bamf:U722_05700
ko:K00620	bamf:U722_05705
ko:K00930	bamf:U722_05710
ko:K01956	bamf:U722_05720
ko:K01955	bamf:U722_05725
ko:K00611	bamf:U722_05730
ko:K05519	bamf:U722_05760
ko:K02254	bamf:U722_05765
ko:K00648	bamf:U722_05775
ko:K09458	bamf:U722_05780
ko:K02035	bamf:U722_05800
ko:K02033	bamf:U722_05805
ko:K02034	bamf:U722_05810
ko:K01867	bamf:U722_05820
ko:K15580	bamf:U722_05825
ko:K15581	bamf:U722_05830
ko:K15582	bamf:U722_05835
ko:K15583	bamf:U722_05840
ko:K10823	bamf:U722_05845
ko:K16509	bamf:U722_05860
ko:K16511	bamf:U722_05870
ko:K08602	bamf:U722_05885
ko:K06886	bamf:U722_05900
ko:K07816	bamf:U722_05920
ko:K00858	bamf:U722_05925
ko:K06180	bamf:U722_05930
ko:K03455	bamf:U722_05940
ko:K03707	bamf:U722_05945
ko:K10810	bamf:U722_05950
ko:K03153	bamf:U722_05955
ko:K03154	bamf:U722_05960
ko:K03149	bamf:U722_05965
ko:K00941	bamf:U722_05975
ko:K00208	bamf:U722_05980
ko:K06342	bamf:U722_06000
ko:K06341	bamf:U722_06005
ko:K13955	bamf:U722_10145
ko:K00266	bamf:U722_10160
ko:K00265	bamf:U722_10165
ko:K00931	bamf:U722_10175
ko:K00286	bamf:U722_10180
ko:K00059	bamf:U722_10195
ko:K11216	bamf:U722_10215
ko:K00058	bamf:U722_10220
ko:K06878	bamf:U722_10265
ko:K08976	bamf:U722_10300
ko:K03654	bamf:U722_10335
ko:K01118	bamf:U722_10345
ko:K13993	bamf:U722_10365
ko:K00128	bamf:U722_10395
ko:K04564	bamf:U722_10405
ko:K03308	bamf:U722_10410
ko:K03453	bamf:U722_10415
ko:K00658	bamf:U722_10425
ko:K00164	bamf:U722_10430
ko:K03327	bamf:U722_10475
ko:K17763	bamf:U722_10480
ko:K05786	bamf:U722_10500
ko:K06999	bamf:U722_10535
ko:K15975	bamf:U722_10540
ko:K03307	bamf:U722_10550
ko:K01201	bamf:U722_10555
ko:K01223	bamf:U722_10565
ko:K03489	bamf:U722_10570
ko:K03797	bamf:U722_10575
ko:K03784	bamf:U722_10595
ko:K01843	bamf:U722_10645
ko:K01438	bamf:U722_10655
ko:K01034	bamf:U722_10665
ko:K06322	bamf:U722_10695
ko:K06319	bamf:U722_10705
ko:K01083	bamf:U722_10715
ko:K06359	bamf:U722_10795
ko:K07305	bamf:U722_10865
ko:K07304	bamf:U722_10870
ko:K07152	bamf:U722_10890
ko:K01754	bamf:U722_10900
ko:K11068	bamf:U722_10910
ko:K00655	bamf:U722_10915
ko:K01687	bamf:U722_10945
ko:K06950	bamf:U722_10955
ko:K00432	bamf:U722_10960
ko:K00651	bamf:U722_10965
ko:K03704	bamf:U722_10975
ko:K03469	bamf:U722_10995
ko:K09125	bamf:U722_11000
ko:K06429	bamf:U722_11010
ko:K03469	bamf:U722_11005
ko:K16168	bamf:U722_11035
ko:K16167	bamf:U722_11040
ko:K07443	bamf:U722_11050
ko:K16169	bamf:U722_11075
ko:K03816	bamf:U722_11080
ko:K01299	bamf:U722_11085
ko:K07444	bamf:U722_11105
ko:K06327	bamf:U722_11125
ko:K07502	bamf:U722_11135
ko:K03700	bamf:U722_11185
ko:K05366	bamf:U722_11190
ko:K10773	bamf:U722_11200
ko:K02086	bamf:U722_11205
ko:K01893	bamf:U722_11210
ko:K00812	bamf:U722_11215
ko:K03657	bamf:U722_06040
ko:K17837	bamf:U722_06050
ko:K01990	bamf:U722_06060
ko:K01739	bamf:U722_06090
ko:K01760	bamf:U722_06095
ko:K04763	bamf:U722_06105
ko:K04763	bamf:U722_06115
ko:K17836	bamf:U722_06275
ko:K01224	bamf:U722_06295
ko:K00965	bamf:U722_06300
ko:K01784	bamf:U722_06305
ko:K00849	bamf:U722_06310
ko:K02787	bamf:U722_06315
ko:K02788	bamf:U722_06315
ko:K02786	bamf:U722_06320
ko:K01220	bamf:U722_06325
ko:K01579	bamf:U722_11235
ko:K01918	bamf:U722_11240
ko:K00606	bamf:U722_11245
ko:K03524	bamf:U722_11250
ko:K00974	bamf:U722_11255
ko:K01734	bamf:U722_11270
ko:K00215	bamf:U722_11275
ko:K01569	bamf:U722_11290
ko:K03888	bamf:U722_11305
ko:K03887	bamf:U722_11310
ko:K03886	bamf:U722_11315
ko:K00800	bamf:U722_11335
ko:K04517	bamf:U722_11340
ko:K00817	bamf:U722_11345
ko:K01695	bamf:U722_11350
ko:K01696	bamf:U722_11355
ko:K01817	bamf:U722_11360
ko:K01609	bamf:U722_11365
ko:K00766	bamf:U722_11370
ko:K01657	bamf:U722_11375
ko:K06208	bamf:U722_11380
ko:K01735	bamf:U722_11385
ko:K01736	bamf:U722_11390
ko:K00575	bamf:U722_11395
ko:K00940	bamf:U722_11400
ko:K00805	bamf:U722_11405
ko:K03183	bamf:U722_11410
ko:K00805	bamf:U722_11415
ko:K06285	bamf:U722_11420
ko:K01495	bamf:U722_11425
ko:K03530	bamf:U722_11430
ko:K06398	bamf:U722_11435
ko:K00057	bamf:U722_11450
ko:K03977	bamf:U722_11455
ko:K01823	bamf:U722_11475
ko:K02945	bamf:U722_11480
ko:K00945	bamf:U722_11485
ko:K06313	bamf:U722_11500
ko:K01449	bamf:U722_11505
ko:K00384	bamf:U722_11515
ko:K00260	bamf:U722_11520
ko:K16511	bamf:U722_11525
ko:K07052	bamf:U722_11550
ko:K03654	bamf:U722_11555
ko:K05337	bamf:U722_11565
ko:K00058	bamf:U722_11575
ko:K03088	bamf:U722_11585
ko:K07651	bamf:U722_11590
ko:K07775	bamf:U722_11595
ko:K07399	bamf:U722_11605
ko:K06178	bamf:U722_11615
ko:K06374	bamf:U722_11620
ko:K06373	bamf:U722_11625
ko:K06024	bamf:U722_11640
ko:K05896	bamf:U722_11645
ko:K09763	bamf:U722_11655
ko:K02859	bamf:U722_11660
ko:K00794	bamf:U722_11665
ko:K14652	bamf:U722_11670
ko:K00793	bamf:U722_11675
ko:K11752	bamf:U722_11680
ko:K03100	bamf:U722_11690
ko:K03768	bamf:U722_11700
ko:K01586	bamf:U722_11715
ko:K06408	bamf:U722_11720
ko:K06407	bamf:U722_11725
ko:K06407	bamf:U722_11730
ko:K06406	bamf:U722_11735
ko:K06405	bamf:U722_11740
ko:K06404	bamf:U722_11745
ko:K06403	bamf:U722_11750
ko:K03091	bamf:U722_11755
ko:K06379	bamf:U722_11760
ko:K07258	bamf:U722_11770
ko:K03783	bamf:U722_11775
ko:K01839	bamf:U722_11780
ko:K04763	bamf:U722_11785
ko:K03711	bamf:U722_11795
ko:K00027	bamf:U722_11815
ko:K03315	bamf:U722_11820
ko:K01744	bamf:U722_11825
ko:K01424	bamf:U722_11830
ko:K01515	bamf:U722_11845
ko:K06889	bamf:U722_11865
ko:K02346	bamf:U722_11895
ko:K00867	bamf:U722_11925
ko:K01753	bamf:U722_11930
ko:K07124	bamf:U722_11935
ko:K00286	bamf:U722_11945
ko:K15313	bamf:U722_11950
ko:K15311	bamf:U722_11955
ko:K00059	bamf:U722_12010
ko:K15329	bamf:U722_12030
ko:K02601	bamf:U722_12035
ko:K02913	bamf:U722_12060
ko:K00784	bamf:U722_12065
ko:K00036	bamf:U722_12070
ko:K00033	bamf:U722_12075
ko:K02346	bamf:U722_12080
ko:K03217	bamf:U722_12090
ko:K01966	bamf:U722_12100
ko:K05606	bamf:U722_12105
ko:K07192	bamf:U722_15160
ko:K02028	bamf:U722_12125
ko:K02029	bamf:U722_12130
ko:K02030	bamf:U722_12135
ko:K09699	bamf:U722_12155
ko:K00167	bamf:U722_12160
ko:K00166	bamf:U722_12165
ko:K00382	bamf:U722_12170
ko:K00929	bamf:U722_12175
ko:K00263	bamf:U722_12180
ko:K03417	bamf:U722_12200
ko:K01720	bamf:U722_12205
ko:K01647	bamf:U722_12210
ko:K00074	bamf:U722_12220
ko:K00626	bamf:U722_12225
ko:K01126	bamf:U722_12230
ko:K01448	bamf:U722_12235
ko:K01775	bamf:U722_12285
ko:K07699	bamf:U722_12290
ko:K06399	bamf:U722_12295
ko:K03631	bamf:U722_12300
ko:K03402	bamf:U722_12305
ko:K06442	bamf:U722_12310
ko:K01662	bamf:U722_12315
ko:K13789	bamf:U722_12320
ko:K03602	bamf:U722_12325
ko:K03601	bamf:U722_12330
ko:K01491	bamf:U722_12335
ko:K03625	bamf:U722_12340
ko:K01961	bamf:U722_12355
ko:K02160	bamf:U722_12360
ko:K06397	bamf:U722_12365
ko:K06396	bamf:U722_12370
ko:K06395	bamf:U722_12375
ko:K06394	bamf:U722_12380
ko:K06393	bamf:U722_12385
ko:K06392	bamf:U722_12390
ko:K06391	bamf:U722_12395
ko:K06390	bamf:U722_12400
ko:K02356	bamf:U722_12410
ko:K01262	bamf:U722_12415
ko:K07001	bamf:U722_12435
ko:K03800	bamf:U722_12445
ko:K00283	bamf:U722_12455
ko:K00282	bamf:U722_12460
ko:K00605	bamf:U722_12465
ko:K13280	bamf:U722_12495
ko:K02249	bamf:U722_12515
ko:K02248	bamf:U722_12520
ko:K02247	bamf:U722_12525
ko:K02246	bamf:U722_12530
ko:K02245	bamf:U722_12535
ko:K02244	bamf:U722_12540
ko:K02243	bamf:U722_12545
ko:K17763	bamf:U722_12560
ko:K16509	bamf:U722_12570
ko:K01308	bamf:U722_12600
ko:K00845	bamf:U722_12605
ko:K03315	bamf:U722_12615
ko:K01934	bamf:U722_12625
ko:K02913	bamf:U722_12630
ko:K02036	bamf:U722_12645
ko:K02036	bamf:U722_12650
ko:K02038	bamf:U722_12655
ko:K02037	bamf:U722_12660
ko:K02040	bamf:U722_12665
ko:K08222	bamf:U722_12675
ko:K04564	bamf:U722_12680
ko:K09793	bamf:U722_12685
ko:K05967	bamf:U722_12710
ko:K02076	bamf:U722_12715
ko:K01151	bamf:U722_12730
ko:K03527	bamf:U722_12745
ko:K06967	bamf:U722_12755
ko:K13300	bamf:U722_12760
ko:K03086	bamf:U722_12765
ko:K09768	bamf:U722_12775
ko:K09773	bamf:U722_12780
ko:K01879	bamf:U722_12790
ko:K01878	bamf:U722_12795
ko:K03584	bamf:U722_12800
ko:K01489	bamf:U722_12815
ko:K07042	bamf:U722_12825
ko:K07037	bamf:U722_12830
ko:K06438	bamf:U722_12840
ko:K07403	bamf:U722_12860
ko:K09117	bamf:U722_12865
ko:K02970	bamf:U722_12870
ko:K03324	bamf:U722_12875
ko:K09761	bamf:U722_12885
ko:K02687	bamf:U722_12890
ko:K03686	bamf:U722_12895
ko:K04043	bamf:U722_12900
ko:K03687	bamf:U722_12905
ko:K03705	bamf:U722_12910
ko:K03596	bamf:U722_12920
ko:K06385	bamf:U722_12930
ko:K06012	bamf:U722_12935
ko:K02968	bamf:U722_12940
ko:K02340	bamf:U722_12945
ko:K02238	bamf:U722_12955
ko:K02237	bamf:U722_12965
ko:K02239	bamf:U722_12970
ko:K09710	bamf:U722_12980
ko:K00969	bamf:U722_12990
ko:K07574	bamf:U722_12995
ko:K00014	bamf:U722_13000
ko:K06948	bamf:U722_13005
ko:K07015	bamf:U722_13010
ko:K06371	bamf:U722_13015
ko:K03091	bamf:U722_13045
ko:K13653	bamf:U722_13070
ko:K01809	bamf:U722_13125
ko:K02768	bamf:U722_13130
ko:K02769	bamf:U722_13130
ko:K02770	bamf:U722_13130
ko:K03976	bamf:U722_13150
ko:K08224	bamf:U722_13160
ko:K14338	bamf:U722_13165
ko:K00123	bamf:U722_13200
ko:K17217	bamf:U722_13215
ko:K17216	bamf:U722_13220
ko:K01243	bamf:U722_13225
ko:K17462	bamf:U722_13230
ko:K03624	bamf:U722_13250
ko:K00876	bamf:U722_13255
ko:K08303	bamf:U722_13260
ko:K08303	bamf:U722_13265
ko:K07082	bamf:U722_13275
ko:K07447	bamf:U722_13285
ko:K01872	bamf:U722_13295
ko:K10041	bamf:U722_13305
ko:K10039	bamf:U722_13310
ko:K10040	bamf:U722_13315
ko:K10040	bamf:U722_13320
ko:K03581	bamf:U722_13340
ko:K00566	bamf:U722_13350
ko:K04487	bamf:U722_13355
ko:K17472	bamf:U722_13360
ko:K07478	bamf:U722_13365
ko:K01876	bamf:U722_13375
ko:K01892	bamf:U722_13380
ko:K01448	bamf:U722_13395
ko:K07560	bamf:U722_13400
ko:K00951	bamf:U722_13405
ko:K00759	bamf:U722_13410
ko:K07462	bamf:U722_13415
ko:K07228	bamf:U722_13425
ko:K12257	bamf:U722_13430
ko:K06409	bamf:U722_13440
ko:K03210	bamf:U722_13455
ko:K00773	bamf:U722_13460
ko:K07568	bamf:U722_13465
ko:K03551	bamf:U722_13475
ko:K03550	bamf:U722_13480
ko:K06318	bamf:U722_13485
ko:K06370	bamf:U722_13500
ko:K03517	bamf:U722_13505
ko:K00767	bamf:U722_13510
ko:K00278	bamf:U722_13515
ko:K04487	bamf:U722_13520
ko:K07105	bamf:U722_13525
ko:K04518	bamf:U722_13530
ko:K06209	bamf:U722_13535
ko:K03979	bamf:U722_13540
ko:K06375	bamf:U722_13545
ko:K02899	bamf:U722_13555
ko:K07584	bamf:U722_13560
ko:K02888	bamf:U722_13565
ko:K06402	bamf:U722_13570
ko:K06401	bamf:U722_13575
ko:K03609	bamf:U722_13580
ko:K03610	bamf:U722_13585
ko:K03571	bamf:U722_13590
ko:K03570	bamf:U722_13595
ko:K03569	bamf:U722_13600
ko:K03630	bamf:U722_13605
ko:K06287	bamf:U722_13610
ko:K02236	bamf:U722_13620
ko:K11754	bamf:U722_13625
ko:K01873	bamf:U722_13630
ko:K06417	bamf:U722_13645
ko:K01845	bamf:U722_13650
ko:K01698	bamf:U722_13655
ko:K01719	bamf:U722_13660
ko:K01749	bamf:U722_13665
ko:K02497	bamf:U722_13670
ko:K02492	bamf:U722_13675
ko:K03978	bamf:U722_13685
ko:K01338	bamf:U722_13690
ko:K04076	bamf:U722_13695
ko:K03544	bamf:U722_13700
ko:K03545	bamf:U722_13705
ko:K01704	bamf:U722_13720
ko:K01703	bamf:U722_13725
ko:K00052	bamf:U722_13730
ko:K01649	bamf:U722_13735
ko:K00053	bamf:U722_13740
ko:K01653	bamf:U722_13745
ko:K01652	bamf:U722_13750
ko:K07095	bamf:U722_13785
ko:K02428	bamf:U722_13790
ko:K00989	bamf:U722_13795
ko:K06298	bamf:U722_13800
ko:K01776	bamf:U722_13805
ko:K01994	bamf:U722_13820
ko:K07107	bamf:U722_13825
ko:K00240	bamf:U722_13830
ko:K00239	bamf:U722_13835
ko:K00241	bamf:U722_13840
ko:K00928	bamf:U722_13850
ko:K03703	bamf:U722_13855
ko:K03671	bamf:U722_13860
ko:K01209	bamf:U722_13865
ko:K03522	bamf:U722_13870
ko:K03521	bamf:U722_13875
ko:K13767	bamf:U722_13880
ko:K13770	bamf:U722_13885
ko:K01897	bamf:U722_13890
ko:K08989	bamf:U722_13905
ko:K07456	bamf:U722_13910
ko:K02347	bamf:U722_13915
ko:K09888	bamf:U722_13925
ko:K03471	bamf:U722_13930
ko:K01890	bamf:U722_13935
ko:K01889	bamf:U722_13940
ko:K03437	bamf:U722_13945
ko:K06426	bamf:U722_13950
ko:K02647	bamf:U722_13955
ko:K11473	bamf:U722_13965
ko:K06200	bamf:U722_13970
ko:K01209	bamf:U722_13980
ko:K17236	bamf:U722_13985
ko:K17235	bamf:U722_13990
ko:K17234	bamf:U722_13995
ko:K00096	bamf:U722_14000
ko:K00853	bamf:U722_14015
ko:K01804	bamf:U722_14020
ko:K06113	bamf:U722_14025
ko:K02887	bamf:U722_14045
ko:K02916	bamf:U722_14050
ko:K02520	bamf:U722_14055
ko:K05339	bamf:U722_14060
ko:K05338	bamf:U722_14065
ko:K07704	bamf:U722_14075
ko:K07025	bamf:U722_14080
ko:K01868	bamf:U722_14085
ko:K11144	bamf:U722_14100
ko:K03346	bamf:U722_14105
ko:K07738	bamf:U722_14110
ko:K01611	bamf:U722_14120
ko:K00134	bamf:U722_14125
ko:K00859	bamf:U722_14145
ko:K10563	bamf:U722_14155
ko:K07636	bamf:U722_14170
ko:K07658	bamf:U722_14175
ko:K00024	bamf:U722_14185
ko:K00031	bamf:U722_14190
ko:K01647	bamf:U722_14195
ko:K07113	bamf:U722_14215
ko:K00873	bamf:U722_14220
ko:K00850	bamf:U722_14225
ko:K01962	bamf:U722_14230
ko:K01963	bamf:U722_14235
ko:K00027	bamf:U722_14245
ko:K02337	bamf:U722_14250
ko:K00059	bamf:U722_14290
ko:K01755	bamf:U722_14300
ko:K03638	bamf:U722_14310
ko:K01940	bamf:U722_14305
ko:K00925	bamf:U722_14315
ko:K11065	bamf:U722_14325
ko:K04773	bamf:U722_14345
ko:K00858	bamf:U722_14350
ko:K01895	bamf:U722_14360
ko:K03151	bamf:U722_14370
ko:K04487	bamf:U722_14375
ko:K03311	bamf:U722_14380
ko:K06286	bamf:U722_14385
ko:K04486	bamf:U722_14390
ko:K02986	bamf:U722_14415
ko:K00128	bamf:U722_14425
ko:K05916	bamf:U722_14435
ko:K05520	bamf:U722_14445
ko:K01866	bamf:U722_14490
ko:K01895	bamf:U722_14495
ko:K04766	bamf:U722_14500
ko:K04767	bamf:U722_14505
ko:K04768	bamf:U722_14510
ko:K02557	bamf:U722_14515
ko:K02556	bamf:U722_14520
ko:K02529	bamf:U722_14525
ko:K13853	bamf:U722_14530
ko:K01924	bamf:U722_14550
ko:K03466	bamf:U722_14555
ko:K06878	bamf:U722_14560
ko:K00027	bamf:U722_14595
ko:K03439	bamf:U722_14605
ko:K01975	bamf:U722_14635
ko:K01738	bamf:U722_14640
ko:K01439	bamf:U722_14645
ko:K06901	bamf:U722_14650
ko:K01992	bamf:U722_14655
ko:K01990	bamf:U722_14660
ko:K06183	bamf:U722_14670
ko:K07007	bamf:U722_14680
ko:K05020	bamf:U722_14685
ko:K02529	bamf:U722_14695
ko:K10117	bamf:U722_14700
ko:K10118	bamf:U722_14705
ko:K10119	bamf:U722_14710
ko:K07406	bamf:U722_14715
ko:K01869	bamf:U722_14730
ko:K11632	bamf:U722_14755
ko:K11631	bamf:U722_14760
ko:K11629	bamf:U722_14765
ko:K11630	bamf:U722_14770
ko:K16918	bamf:U722_14775
ko:K16920	bamf:U722_14780
ko:K16919	bamf:U722_14785
ko:K16919	bamf:U722_14790
ko:K16919	bamf:U722_14795
ko:K07979	bamf:U722_14805
ko:K07139	bamf:U722_14830
ko:K01126	bamf:U722_14845
ko:K16188	bamf:U722_14850
ko:K01048	bamf:U722_14855
ko:K01953	bamf:U722_14870
ko:K00789	bamf:U722_14875
ko:K01610	bamf:U722_14885
ko:K02051	bamf:U722_14900
ko:K02049	bamf:U722_14905
ko:K02050	bamf:U722_14910
ko:K04047	bamf:U722_14925
ko:K07173	bamf:U722_14940
ko:K08998	bamf:U722_14945
ko:K01673	bamf:U722_14950
ko:K02909	bamf:U722_14955
ko:K00425	bamf:U722_14960
ko:K00426	bamf:U722_14965
ko:K02549	bamf:U722_14980
ko:K01911	bamf:U722_14985
ko:K01661	bamf:U722_14990
ko:K08680	bamf:U722_14995
ko:K02551	bamf:U722_15000
ko:K02552	bamf:U722_15005
ko:K16789	bamf:U722_15155
ko:K05820	bamf:U722_06950
ko:K00549	bamf:U722_06960
ko:K13275	bamf:U722_06965
ko:K17763	bamf:U722_06975
ko:K16785	bamf:U722_06980
ko:K16786	bamf:U722_06985
ko:K16787	bamf:U722_06985
ko:K16925	bamf:U722_06990
ko:K06213	bamf:U722_07010
ko:K10979	bamf:U722_07045
ko:K03093	bamf:U722_07065
ko:K06421	bamf:U722_07075
ko:K03799	bamf:U722_07085
ko:K13533	bamf:U722_07110
ko:K00567	bamf:U722_07115
ko:K08963	bamf:U722_07125
ko:K00899	bamf:U722_07130
ko:K08969	bamf:U722_07140
ko:K08965	bamf:U722_07145
ko:K08966	bamf:U722_07150
ko:K08964	bamf:U722_07155
ko:K08967	bamf:U722_07160
ko:K13532	bamf:U722_07175
ko:K15973	bamf:U722_07180
ko:K02557	bamf:U722_07185
ko:K02556	bamf:U722_07190
ko:K03697	bamf:U722_07195
ko:K06920	bamf:U722_07210
ko:K01737	bamf:U722_07215
ko:K10026	bamf:U722_07220
ko:K09457	bamf:U722_07225
ko:K01449	bamf:U722_07245
ko:K01534	bamf:U722_07260
ko:K03480	bamf:U722_07280
ko:K11189	bamf:U722_07290
ko:K08483	bamf:U722_07295
ko:K06315	bamf:U722_07300
ko:K03716	bamf:U722_07305
ko:K03406	bamf:U722_07310
ko:K02491	bamf:U722_07330
ko:K00841	bamf:U722_07335
ko:K03415	bamf:U722_07345
ko:K07098	bamf:U722_07365
ko:K09776	bamf:U722_07395
ko:K03839	bamf:U722_07415
ko:K03839	bamf:U722_07425
ko:K05822	bamf:U722_07430
ko:K05823	bamf:U722_07435
ko:K03752	bamf:U722_07465
ko:K03750	bamf:U722_07475
ko:K03753	bamf:U722_07480
ko:K03635	bamf:U722_07485
ko:K03636	bamf:U722_07490
ko:K02005	bamf:U722_07500
ko:K02003	bamf:U722_07505
ko:K02004	bamf:U722_07510
ko:K03436	bamf:U722_07515
ko:K00882	bamf:U722_07520
ko:K02768	bamf:U722_07525
ko:K02769	bamf:U722_07525
ko:K02770	bamf:U722_07525
ko:K03100	bamf:U722_07530
ko:K00077	bamf:U722_07545
ko:K03569	bamf:U722_07560
ko:K07698	bamf:U722_07575
ko:K03499	bamf:U722_07585
ko:K12574	bamf:U722_07595
ko:K01462	bamf:U722_07610
ko:K15329	bamf:U722_07625
ko:K00161	bamf:U722_07670
ko:K00162	bamf:U722_07675
ko:K00627	bamf:U722_07680
ko:K00382	bamf:U722_07685
ko:K01092	bamf:U722_07725
ko:K03088	bamf:U722_07750
ko:K06207	bamf:U722_07770
ko:K07175	bamf:U722_07790
ko:K01425	bamf:U722_07800
ko:K03588	bamf:U722_07810
ko:K01958	bamf:U722_07815
ko:K02259	bamf:U722_07820
ko:K02275	bamf:U722_07830
ko:K02274	bamf:U722_07835
ko:K02276	bamf:U722_07840
ko:K02862	bamf:U722_07850
ko:K00954	bamf:U722_07900
ko:K07001	bamf:U722_07910
ko:K07177	bamf:U722_07915
ko:K07040	bamf:U722_07930
ko:K02911	bamf:U722_07935
ko:K00077	bamf:U722_07955
ko:K03925	bamf:U722_07965
ko:K03438	bamf:U722_07970
ko:K08724	bamf:U722_07980
ko:K08384	bamf:U722_07985
ko:K01928	bamf:U722_07990
ko:K01000	bamf:U722_07995
ko:K01925	bamf:U722_08000
ko:K03588	bamf:U722_08005
ko:K02563	bamf:U722_08010
ko:K00075	bamf:U722_08015
ko:K03589	bamf:U722_08020
ko:K03590	bamf:U722_08025
ko:K03531	bamf:U722_08030
ko:K13276	bamf:U722_08035
ko:K06383	bamf:U722_08040
ko:K03091	bamf:U722_08045
ko:K03091	bamf:U722_08050
ko:K02013	bamf:U722_08055
ko:K05810	bamf:U722_08070
ko:K06997	bamf:U722_08075
ko:K09772	bamf:U722_08080
ko:K02221	bamf:U722_08085
ko:K04074	bamf:U722_08095
ko:K01870	bamf:U722_08105
ko:K03101	bamf:U722_08115
ko:K06180	bamf:U722_08120
ko:K02825	bamf:U722_08125
ko:K02824	bamf:U722_08130
ko:K00609	bamf:U722_08135
ko:K01465	bamf:U722_08140
ko:K01956	bamf:U722_08145
ko:K01955	bamf:U722_08150
ko:K02823	bamf:U722_08155
ko:K17828	bamf:U722_08160
ko:K01591	bamf:U722_08165
ko:K00762	bamf:U722_08170
ko:K00390	bamf:U722_08180
ko:K16331	bamf:U722_08185
ko:K00958	bamf:U722_08190
ko:K00860	bamf:U722_08195
ko:K02303	bamf:U722_08200
ko:K03794	bamf:U722_08205
ko:K02304	bamf:U722_08210
ko:K01537	bamf:U722_08220
ko:K09777	bamf:U722_08230
ko:K00942	bamf:U722_08235
ko:K03060	bamf:U722_08240
ko:K13038	bamf:U722_08245
ko:K04066	bamf:U722_08250
ko:K01462	bamf:U722_08255
ko:K00604	bamf:U722_08260
ko:K03500	bamf:U722_08265
ko:K06941	bamf:U722_08270
ko:K06949	bamf:U722_08285
ko:K01783	bamf:U722_08290
ko:K00949	bamf:U722_08295
ko:K06414	bamf:U722_08300
ko:K02902	bamf:U722_08305
ko:K07030	bamf:U722_08315
ko:K01752	bamf:U722_08320
ko:K01752	bamf:U722_08325
ko:K03655	bamf:U722_08330
ko:K03621	bamf:U722_08340
ko:K00645	bamf:U722_08345
ko:K00059	bamf:U722_08350
ko:K02078	bamf:U722_08355
ko:K03685	bamf:U722_08360
ko:K03529	bamf:U722_08365
ko:K03110	bamf:U722_08370
ko:K09787	bamf:U722_08380
ko:K02959	bamf:U722_08390
ko:K03106	bamf:U722_08385
ko:K06960	bamf:U722_08395
ko:K02860	bamf:U722_08405
ko:K00554	bamf:U722_08410
ko:K02884	bamf:U722_08415
ko:K14540	bamf:U722_08420
ko:K03470	bamf:U722_08425
ko:K04061	bamf:U722_08435
ko:K01903	bamf:U722_08440
ko:K01902	bamf:U722_08445
ko:K04096	bamf:U722_08450
ko:K03168	bamf:U722_08455
ko:K04094	bamf:U722_08460
ko:K03733	bamf:U722_08465
ko:K01419	bamf:U722_08470
ko:K03667	bamf:U722_08475
ko:K03706	bamf:U722_08480
ko:K02387	bamf:U722_08485
ko:K02388	bamf:U722_08490
ko:K02408	bamf:U722_08495
ko:K02409	bamf:U722_08500
ko:K02410	bamf:U722_08505
ko:K02411	bamf:U722_08510
ko:K02412	bamf:U722_08515
ko:K02413	bamf:U722_08520
ko:K02414	bamf:U722_08530
ko:K02389	bamf:U722_08535
ko:K02390	bamf:U722_08540
ko:K02385	bamf:U722_08545
ko:K02415	bamf:U722_08550
ko:K02416	bamf:U722_08555
ko:K02417	bamf:U722_08560
ko:K03413	bamf:U722_08565
ko:K02418	bamf:U722_08570
ko:K02419	bamf:U722_08575
ko:K02420	bamf:U722_08580
ko:K02421	bamf:U722_08585
ko:K02401	bamf:U722_08590
ko:K02400	bamf:U722_08595
ko:K02404	bamf:U722_08600
ko:K04562	bamf:U722_08605
ko:K03412	bamf:U722_08610
ko:K03407	bamf:U722_08615
ko:K03408	bamf:U722_08620
ko:K03410	bamf:U722_08625
ko:K03411	bamf:U722_08630
ko:K02405	bamf:U722_08635
ko:K02967	bamf:U722_08645
ko:K02357	bamf:U722_08650
ko:K09903	bamf:U722_08655
ko:K02838	bamf:U722_08660
ko:K00806	bamf:U722_08665
ko:K00981	bamf:U722_08670
ko:K00099	bamf:U722_08675
ko:K11749	bamf:U722_08680
ko:K01881	bamf:U722_08685
ko:K03763	bamf:U722_08690
ko:K09748	bamf:U722_08695
ko:K02600	bamf:U722_08700
ko:K07742	bamf:U722_08705
ko:K02519	bamf:U722_08715
ko:K09764	bamf:U722_08720
ko:K02834	bamf:U722_08725
ko:K03177	bamf:U722_08730
ko:K11753	bamf:U722_08735
ko:K02956	bamf:U722_08740
ko:K00962	bamf:U722_08745
ko:K06410	bamf:U722_08765
ko:K06411	bamf:U722_08770
ko:K00133	bamf:U722_08775
ko:K00928	bamf:U722_08780
ko:K01714	bamf:U722_08785
ko:K12574	bamf:U722_08790
ko:K03466	bamf:U722_08805
ko:K03710	bamf:U722_08810
ko:K08221	bamf:U722_08815
ko:K06994	bamf:U722_08825
ko:K00059	bamf:U722_08840
ko:K00995	bamf:U722_08860
ko:K09769	bamf:U722_08890
ko:K06416	bamf:U722_08895
ko:K00060	bamf:U722_08905
ko:K00639	bamf:U722_08910
ko:K06168	bamf:U722_08915
ko:K06328	bamf:U722_08925
ko:K03555	bamf:U722_08930
ko:K03572	bamf:U722_08935
ko:K15328	bamf:U722_08970
ko:K15329	bamf:U722_08975
ko:K15337	bamf:U722_08980
ko:K15311	bamf:U722_08985
