ko:K00887	saug:SA268_1527
ko:K01247	saug:SA268_0900
ko:K03429	saug:SA268_0904
ko:K05362	saug:SA268_0905
ko:K02837	saug:SA268_0907
ko:K02250	saug:SA268_0912
ko:K03800	saug:SA268_0914
ko:K07052	saug:SA268_0916
ko:K01610	saug:SA268_1735
ko:K08998	saug:SA268_1738
ko:K02549	saug:SA268_1739
ko:K01911	saug:SA268_1740
ko:K01727	saug:SA268_1750
ko:K01154	saug:SA268_1752
ko:K03451	saug:SA268_2550
ko:K03300	saug:SA268_2554
ko:K02304	saug:SA268_2555
ko:K00380	saug:SA268_2556
ko:K00432	saug:SA268_2557
ko:K19084	saug:SA268_2559
ko:K19083	saug:SA268_2560
ko:K19081	saug:SA268_2561
ko:K19082	saug:SA268_2562
ko:K01077	saug:SA268_2564
ko:K14192	saug:SA268_2567
ko:K00926	saug:SA268_2569
ko:K03758	saug:SA268_2570
ko:K00611	saug:SA268_2571
ko:K01478	saug:SA268_2572
ko:K01401	saug:SA268_2574
ko:K02768	saug:SA268_2578
ko:K02769	saug:SA268_2578
ko:K02770	saug:SA268_2578
ko:K01809	saug:SA268_2579
ko:K01421	saug:SA268_2580
ko:K03070	saug:SA268_2586
ko:K12270	saug:SA268_2587
ko:K12269	saug:SA268_2588
ko:K12268	saug:SA268_2589
ko:K03076	saug:SA268_2590
ko:K07304	saug:SA268_2599
ko:K01669	saug:SA268_0644
ko:K06934	saug:SA268_0646
ko:K03976	saug:SA268_0649
ko:K03436	saug:SA268_0650
ko:K00882	saug:SA268_0651
ko:K02768	saug:SA268_0652
ko:K02769	saug:SA268_0652
ko:K02770	saug:SA268_0652
ko:K01443	saug:SA268_0653
ko:K10681	saug:SA268_0657
ko:K10682	saug:SA268_0658
ko:K16937	saug:SA268_0659
ko:K10026	saug:SA268_0662
ko:K01737	saug:SA268_0663
ko:K06920	saug:SA268_0664
ko:K01664	saug:SA268_0665
ko:K01665	saug:SA268_0666
ko:K02619	saug:SA268_0667
ko:K19005	saug:SA268_0671
ko:K15738	saug:SA268_0672
ko:K03654	saug:SA268_0673
ko:K05847	saug:SA268_0674
ko:K05845	saug:SA268_0675
ko:K05846	saug:SA268_0675
ko:K00817	saug:SA268_0676
ko:K03305	saug:SA268_0679
ko:K09457	saug:SA268_0680
ko:K03647	saug:SA268_0682
ko:K02015	saug:SA268_0685
ko:K02015	saug:SA268_0686
ko:K02013	saug:SA268_0687
ko:K02016	saug:SA268_0688
ko:K00075	saug:SA268_0689
ko:K00865	saug:SA268_0693
ko:K01258	saug:SA268_0694
ko:K01880	saug:SA268_1523
ko:K03584	saug:SA268_1524
ko:K01489	saug:SA268_1526
ko:K07042	saug:SA268_1528
ko:K02970	saug:SA268_1533
ko:K18707	saug:SA268_1534
ko:K09761	saug:SA268_1535
ko:K02687	saug:SA268_1536
ko:K03686	saug:SA268_1537
ko:K04043	saug:SA268_1538
ko:K03687	saug:SA268_1539
ko:K03705	saug:SA268_1540
ko:K03596	saug:SA268_1542
ko:K02968	saug:SA268_1543
ko:K02340	saug:SA268_1544
ko:K02238	saug:SA268_1545
ko:K02237	saug:SA268_1547
ko:K09710	saug:SA268_1549
ko:K00969	saug:SA268_1551
ko:K07574	saug:SA268_1552
ko:K00014	saug:SA268_1553
ko:K06948	saug:SA268_1554
ko:K07015	saug:SA268_1555
ko:K01243	saug:SA268_1556
ko:K07491	saug:SA268_1558
ko:K11040	saug:SA268_1559
ko:K07160	saug:SA268_1562
ko:K01961	saug:SA268_1563
ko:K02160	saug:SA268_1564
ko:K03624	saug:SA268_1567
ko:K00876	saug:SA268_1568
ko:K08303	saug:SA268_1569
ko:K07447	saug:SA268_1573
ko:K01872	saug:SA268_1575
ko:K06147	saug:SA268_2336
ko:K06147	saug:SA268_2337
ko:K00865	saug:SA268_2340
ko:K11737	saug:SA268_2346
ko:K00077	saug:SA268_2351
ko:K08170	saug:SA268_2352
ko:K05846	saug:SA268_2353
ko:K05845	saug:SA268_2354
ko:K05846	saug:SA268_2355
ko:K05847	saug:SA268_2356
ko:K03929	saug:SA268_2359
ko:K02069	saug:SA268_2361
ko:K02068	saug:SA268_2362
ko:K10824	saug:SA268_2368
ko:K15587	saug:SA268_2369
ko:K15586	saug:SA268_2370
ko:K15585	saug:SA268_2371
ko:K15584	saug:SA268_2372
ko:K12942	saug:SA268_2378
ko:K03466	saug:SA268_0257
ko:K03311	saug:SA268_0276
ko:K02004	saug:SA268_0278
ko:K02003	saug:SA268_0279
ko:K16329	saug:SA268_0282
ko:K03307	saug:SA268_0284
ko:K01639	saug:SA268_0285
ko:K01788	saug:SA268_0288
ko:K03800	saug:SA268_0297
ko:K03475	saug:SA268_0298
ko:K02822	saug:SA268_0299
ko:K02821	saug:SA268_0300
ko:K18909	saug:SA268_0302
ko:K18908	saug:SA268_0303
ko:K02445	saug:SA268_0305
ko:K00299	saug:SA268_0309
ko:K03817	saug:SA268_0311
ko:K07224	saug:SA268_0312
ko:K01902	saug:SA268_1138
ko:K04096	saug:SA268_1141
ko:K03168	saug:SA268_1142
ko:K04094	saug:SA268_1143
ko:K03733	saug:SA268_1144
ko:K01419	saug:SA268_1145
ko:K03667	saug:SA268_1146
ko:K03706	saug:SA268_1147
ko:K02967	saug:SA268_1148
ko:K02357	saug:SA268_1149
ko:K09903	saug:SA268_1150
ko:K02838	saug:SA268_1151
ko:K00806	saug:SA268_1152
ko:K00981	saug:SA268_1153
ko:K11749	saug:SA268_1154
ko:K01881	saug:SA268_1155
ko:K03763	saug:SA268_1156
ko:K09748	saug:SA268_1157
ko:K02600	saug:SA268_1158
ko:K07742	saug:SA268_1159
ko:K02519	saug:SA268_1161
ko:K02834	saug:SA268_1162
ko:K03177	saug:SA268_1163
ko:K11753	saug:SA268_1164
ko:K02956	saug:SA268_1165
ko:K00962	saug:SA268_1166
ko:K12574	saug:SA268_1167
ko:K03466	saug:SA268_1168
ko:K00059	saug:SA268_1173
ko:K00995	saug:SA268_1176
ko:K18682	saug:SA268_1179
ko:K09769	saug:SA268_1181
ko:K00174	saug:SA268_1182
ko:K00175	saug:SA268_1183
ko:K06168	saug:SA268_1185
ko:K03555	saug:SA268_1188
ko:K03572	saug:SA268_1189
ko:K02443	saug:SA268_1190
ko:K02440	saug:SA268_1191
ko:K00864	saug:SA268_1192
ko:K00111	saug:SA268_1193
ko:K03095	saug:SA268_1975
ko:K06959	saug:SA268_1976
ko:K03090	saug:SA268_1977
ko:K04757	saug:SA268_1978
ko:K04749	saug:SA268_1979
ko:K07315	saug:SA268_1980
ko:K07171	saug:SA268_1981
ko:K07723	saug:SA268_1982
ko:K01775	saug:SA268_1983
ko:K00997	saug:SA268_1984
ko:K09167	saug:SA268_1985
ko:K08981	saug:SA268_1986
ko:K01548	saug:SA268_1988
ko:K01547	saug:SA268_1989
ko:K01546	saug:SA268_1990
ko:K07646	saug:SA268_1991
ko:K07667	saug:SA268_1992
ko:K05592	saug:SA268_1993
ko:K01929	saug:SA268_1994
ko:K01921	saug:SA268_1995
ko:K05837	saug:SA268_1996
ko:K06131	saug:SA268_2000
ko:K06950	saug:SA268_2001
ko:K03217	saug:SA268_2002
ko:K00788	saug:SA268_2003
ko:K00878	saug:SA268_2004
ko:K00941	saug:SA268_2005
ko:K03707	saug:SA268_2006
ko:K03111	saug:SA268_2008
ko:K02372	saug:SA268_2012
ko:K00790	saug:SA268_2013
ko:K02114	saug:SA268_2015
ko:K02112	saug:SA268_2016
ko:K02115	saug:SA268_2017
ko:K02111	saug:SA268_2018
ko:K02113	saug:SA268_2019
ko:K02109	saug:SA268_2020
ko:K02110	saug:SA268_2021
ko:K02108	saug:SA268_2022
ko:K02116	saug:SA268_2023
ko:K01791	saug:SA268_2024
ko:K00761	saug:SA268_2025
ko:K03762	saug:SA268_0527
ko:K00626	saug:SA268_0529
ko:K00868	saug:SA268_0533
ko:K03648	saug:SA268_0534
ko:K07491	saug:SA268_0540
ko:K00625	saug:SA268_0542
ko:K16869	saug:SA268_0543
ko:K00869	saug:SA268_0544
ko:K01597	saug:SA268_0545
ko:K00938	saug:SA268_0546
ko:K06885	saug:SA268_0559
ko:K13953	saug:SA268_0561
ko:K01887	saug:SA268_0563
ko:K07457	saug:SA268_0564
ko:K02016	saug:SA268_0565
ko:K02015	saug:SA268_0566
ko:K07025	saug:SA268_0567
ko:K09936	saug:SA268_0573
ko:K05565	saug:SA268_0577
ko:K05566	saug:SA268_0578
ko:K05567	saug:SA268_0579
ko:K05568	saug:SA268_0580
ko:K05569	saug:SA268_0581
ko:K05570	saug:SA268_0582
ko:K05571	saug:SA268_0583
ko:K03316	saug:SA268_0584
ko:K03111	saug:SA268_1425
ko:K07651	saug:SA268_1449
ko:K07775	saug:SA268_1450
ko:K06178	saug:SA268_1451
ko:K06024	saug:SA268_1452
ko:K05896	saug:SA268_1453
ko:K09763	saug:SA268_1454
ko:K04763	saug:SA268_1455
ko:K03711	saug:SA268_1456
ko:K01515	saug:SA268_1457
ko:K07124	saug:SA268_1460
ko:K00286	saug:SA268_1461
ko:K00784	saug:SA268_1462
ko:K00036	saug:SA268_1463
ko:K01187	saug:SA268_1466
ko:K00033	saug:SA268_1469
ko:K01468	saug:SA268_2234
ko:K01712	saug:SA268_2235
ko:K01479	saug:SA268_2237
ko:K01807	saug:SA268_2239
ko:K01785	saug:SA268_2241
ko:K09771	saug:SA268_2242
ko:K09771	saug:SA268_2243
ko:K01992	saug:SA268_2244
ko:K01990	saug:SA268_2245
ko:K03652	saug:SA268_2247
ko:K03312	saug:SA268_2248
ko:K01823	saug:SA268_2249
ko:K03284	saug:SA268_2250
ko:K07107	saug:SA268_2251
ko:K07552	saug:SA268_2258
ko:K09814	saug:SA268_2262
ko:K09813	saug:SA268_2263
ko:K01990	saug:SA268_2269
ko:K00116	saug:SA268_2271
ko:K03303	saug:SA268_2272
ko:K00128	saug:SA268_0146
ko:K16264	saug:SA268_0147
ko:K02049	saug:SA268_0150
ko:K02051	saug:SA268_0151
ko:K02050	saug:SA268_0152
ko:K08996	saug:SA268_0158
ko:K00930	saug:SA268_0159
ko:K00620	saug:SA268_0160
ko:K00145	saug:SA268_0161
ko:K00819	saug:SA268_0162
ko:K03311	saug:SA268_0163
ko:K09963	saug:SA268_0168
ko:K07106	saug:SA268_0169
ko:K02809	saug:SA268_0170
ko:K02810	saug:SA268_0170
ko:K01153	saug:SA268_0173
ko:K02031	saug:SA268_0175
ko:K02032	saug:SA268_0175
ko:K02033	saug:SA268_0176
ko:K02034	saug:SA268_0177
ko:K02035	saug:SA268_0178
ko:K00681	saug:SA268_0179
ko:K01118	saug:SA268_0181
ko:K10112	saug:SA268_0183
ko:K15770	saug:SA268_0184
ko:K15771	saug:SA268_0185
ko:K15772	saug:SA268_0186
ko:K07784	saug:SA268_0191
ko:K07720	saug:SA268_0192
ko:K02012	saug:SA268_0194
ko:K00656	saug:SA268_0195
ko:K04069	saug:SA268_0196
ko:K01126	saug:SA268_0197
ko:K01890	saug:SA268_1027
ko:K03471	saug:SA268_1028
ko:K09888	saug:SA268_1030
ko:K02347	saug:SA268_1032
ko:K07456	saug:SA268_1033
ko:K03671	saug:SA268_1034
ko:K03703	saug:SA268_1035
ko:K00241	saug:SA268_1036
ko:K00239	saug:SA268_1037
ko:K00240	saug:SA268_1038
ko:K01776	saug:SA268_1039
ko:K02428	saug:SA268_1040
ko:K07095	saug:SA268_1041
ko:K14203	saug:SA268_1044
ko:K14200	saug:SA268_1046
ko:K11032	saug:SA268_1050
ko:K00611	saug:SA268_1057
ko:K00926	saug:SA268_1058
ko:K11041	saug:SA268_1061
ko:K07025	saug:SA268_1065
ko:K03925	saug:SA268_1068
ko:K03438	saug:SA268_1069
ko:K12552	saug:SA268_1071
ko:K01000	saug:SA268_1072
ko:K01925	saug:SA268_1073
ko:K03589	saug:SA268_1074
ko:K03590	saug:SA268_1075
ko:K03531	saug:SA268_1076
ko:K05810	saug:SA268_1077
ko:K06997	saug:SA268_1078
ko:K09772	saug:SA268_1079
ko:K02221	saug:SA268_1080
ko:K04074	saug:SA268_1082
ko:K03565	saug:SA268_1869
ko:K04478	saug:SA268_1870
ko:K05520	saug:SA268_1871
ko:K01104	saug:SA268_1877
ko:K07058	saug:SA268_1879
ko:K07694	saug:SA268_1880
ko:K07681	saug:SA268_1881
ko:K01265	saug:SA268_1884
ko:K07009	saug:SA268_1887
ko:K02217	saug:SA268_1889
ko:K02342	saug:SA268_1890
ko:K02346	saug:SA268_1891
ko:K03215	saug:SA268_1893
ko:K07029	saug:SA268_1894
ko:K02434	saug:SA268_1896
ko:K02433	saug:SA268_1897
ko:K02435	saug:SA268_1898
ko:K11928	saug:SA268_1899
ko:K01972	saug:SA268_1901
ko:K03657	saug:SA268_1902
ko:K07094	saug:SA268_1903
ko:K01756	saug:SA268_1905
ko:K08258	saug:SA268_1906
ko:K01916	saug:SA268_1909
ko:K00763	saug:SA268_1910
ko:K00491	saug:SA268_1911
ko:K04518	saug:SA268_1912
ko:K14445	saug:SA268_1913
ko:K15986	saug:SA268_1916
ko:K00128	saug:SA268_1918
ko:K02343	saug:SA268_0429
ko:K09747	saug:SA268_0430
ko:K06187	saug:SA268_0431
ko:K00943	saug:SA268_0433
ko:K02341	saug:SA268_0435
ko:K07461	saug:SA268_0439
ko:K07056	saug:SA268_0440
ko:K01874	saug:SA268_0441
ko:K03424	saug:SA268_0442
ko:K05985	saug:SA268_0443
ko:K02528	saug:SA268_0444
ko:K00919	saug:SA268_0446
ko:K09685	saug:SA268_0447
ko:K09022	saug:SA268_0448
ko:K06412	saug:SA268_0449
ko:K07491	saug:SA268_0450
ko:K04042	saug:SA268_0451
ko:K00948	saug:SA268_0452
ko:K02897	saug:SA268_0453
ko:K01056	saug:SA268_0454
ko:K03723	saug:SA268_0455
ko:K02499	saug:SA268_0457
ko:K13052	saug:SA268_0459
ko:K07571	saug:SA268_0460
ko:K04075	saug:SA268_0461
ko:K00760	saug:SA268_0462
ko:K03798	saug:SA268_0463
ko:K04083	saug:SA268_0464
ko:K01738	saug:SA268_0465
ko:K00796	saug:SA268_0466
ko:K01633	saug:SA268_0467
ko:K00950	saug:SA268_0468
ko:K04567	saug:SA268_0469
ko:K00375	saug:SA268_0470
ko:K00658	saug:SA268_1308
ko:K00164	saug:SA268_1309
ko:K18940	saug:SA268_1310
ko:K18941	saug:SA268_1311
ko:K02563	saug:SA268_1313
ko:K03797	saug:SA268_1315
ko:K02777	saug:SA268_1317
ko:K07305	saug:SA268_1318
ko:K07304	saug:SA268_1319
ko:K09125	saug:SA268_1326
ko:K03469	saug:SA268_1327
ko:K08170	saug:SA268_1330
ko:K03294	saug:SA268_1331
ko:K01754	saug:SA268_1332
ko:K00259	saug:SA268_1333
ko:K07444	saug:SA268_1338
ko:K03700	saug:SA268_1343
ko:K05366	saug:SA268_1344
ko:K10773	saug:SA268_1346
ko:K02086	saug:SA268_1347
ko:K01893	saug:SA268_1348
ko:K03524	saug:SA268_1350
ko:K00974	saug:SA268_1351
ko:K06973	saug:SA268_1354
ko:K00800	saug:SA268_1358
ko:K16786	saug:SA268_2124
ko:K02879	saug:SA268_2125
ko:K03040	saug:SA268_2126
ko:K02948	saug:SA268_2127
ko:K02952	saug:SA268_2128
ko:K03367	saug:SA268_0814
ko:K03739	saug:SA268_0815
ko:K14188	saug:SA268_0816
ko:K03740	saug:SA268_0817
ko:K03885	saug:SA268_0820
ko:K13628	saug:SA268_0822
ko:K03885	saug:SA268_0823
ko:K01255	saug:SA268_0824
ko:K07084	saug:SA268_0825
ko:K05571	saug:SA268_0828
ko:K05570	saug:SA268_0829
ko:K05569	saug:SA268_0830
ko:K05568	saug:SA268_0831
ko:K05567	saug:SA268_0832
ko:K05566	saug:SA268_0833
ko:K05565	saug:SA268_0834
ko:K06347	saug:SA268_0835
ko:K03768	saug:SA268_0836
ko:K00819	saug:SA268_0839
ko:K00260	saug:SA268_0840
ko:K01126	saug:SA268_0841
ko:K01755	saug:SA268_0842
ko:K01940	saug:SA268_0843
ko:K01810	saug:SA268_0844
ko:K03100	saug:SA268_0846
ko:K03100	saug:SA268_0847
ko:K16899	saug:SA268_0848
ko:K16898	saug:SA268_0849
ko:K08255	saug:SA268_0852
ko:K03695	saug:SA268_0856
ko:K06910	saug:SA268_0864
ko:K01938	saug:SA268_1681
ko:K01895	saug:SA268_1682
ko:K04766	saug:SA268_1683
ko:K04768	saug:SA268_1684
ko:K02529	saug:SA268_1685
ko:K13853	saug:SA268_1686
ko:K01924	saug:SA268_1689
ko:K03466	saug:SA268_1690
ko:K06878	saug:SA268_1691
ko:K01261	saug:SA268_1694
ko:K03439	saug:SA268_1697
ko:K00824	saug:SA268_1699
ko:K01439	saug:SA268_1700
ko:K06183	saug:SA268_1702
ko:K07007	saug:SA268_1704
ko:K01869	saug:SA268_1707
ko:K07139	saug:SA268_1709
ko:K00318	saug:SA268_1714
ko:K00794	saug:SA268_1715
ko:K14652	saug:SA268_1716
ko:K00793	saug:SA268_1717
ko:K11752	saug:SA268_1718
ko:K03893	saug:SA268_1720
ko:K07052	saug:SA268_1726
ko:K07052	saug:SA268_1727
ko:K00616	saug:SA268_1728
ko:K06199	saug:SA268_1730
ko:K06199	saug:SA268_1731
ko:K00789	saug:SA268_1734
ko:K07045	saug:SA268_2496
ko:K00226	saug:SA268_2505
ko:K09765	saug:SA268_2507
ko:K04750	saug:SA268_2508
ko:K06978	saug:SA268_2510
ko:K07498	saug:SA268_2512
ko:K05593	saug:SA268_2518
ko:K03169	saug:SA268_2525
ko:K07498	saug:SA268_2528
ko:K07498	saug:SA268_2530
ko:K01579	saug:SA268_2533
ko:K01918	saug:SA268_2534
ko:K00606	saug:SA268_2535
ko:K00077	saug:SA268_2536
ko:K01575	saug:SA268_2537
ko:K00016	saug:SA268_2538
ko:K03294	saug:SA268_2539
ko:K00823	saug:SA268_2540
ko:K01623	saug:SA268_2542
ko:K00116	saug:SA268_2543
ko:K01895	saug:SA268_2544
ko:K02919	saug:SA268_2129
ko:K02518	saug:SA268_2130
ko:K00939	saug:SA268_2131
ko:K03076	saug:SA268_2132
ko:K02876	saug:SA268_2133
ko:K02907	saug:SA268_2134
ko:K02988	saug:SA268_2135
ko:K02881	saug:SA268_2136
ko:K02933	saug:SA268_2137
ko:K02994	saug:SA268_2138
ko:K02954	saug:SA268_2139
ko:K02931	saug:SA268_2140
ko:K02895	saug:SA268_2141
ko:K02874	saug:SA268_2142
ko:K02961	saug:SA268_2143
ko:K02904	saug:SA268_2144
ko:K02878	saug:SA268_2145
ko:K02982	saug:SA268_2146
ko:K02890	saug:SA268_2147
ko:K02965	saug:SA268_2148
ko:K02886	saug:SA268_2149
ko:K02892	saug:SA268_2150
ko:K02926	saug:SA268_2151
ko:K02906	saug:SA268_2152
ko:K02946	saug:SA268_2153
ko:K06901	saug:SA268_2155
ko:K03169	saug:SA268_2156
ko:K05340	saug:SA268_2158
ko:K07088	saug:SA268_2159
ko:K11693	saug:SA268_2163
ko:K03639	saug:SA268_2169
ko:K03752	saug:SA268_2170
ko:K03636	saug:SA268_2171
ko:K03635	saug:SA268_2172
ko:K03753	saug:SA268_2173
ko:K03750	saug:SA268_2174
ko:K07498	saug:SA268_0038
ko:K01126	saug:SA268_0040
ko:K02545	saug:SA268_0042
ko:K02547	saug:SA268_0043
ko:K03655	saug:SA268_0054
ko:K06915	saug:SA268_0061
ko:K06915	saug:SA268_0062
ko:K03719	saug:SA268_0066
ko:K01771	saug:SA268_0078
ko:K08170	saug:SA268_0082
ko:K03324	saug:SA268_0083
ko:K10254	saug:SA268_0084
ko:K03303	saug:SA268_0088
ko:K07491	saug:SA268_0089
ko:K14196	saug:SA268_0090
ko:K02003	saug:SA268_0921
ko:K15977	saug:SA268_0924
ko:K02016	saug:SA268_0925
ko:K02548	saug:SA268_0929
ko:K01992	saug:SA268_2270
ko:K01992	saug:SA268_2422
ko:K19285	saug:SA268_0353
ko:K03722	saug:SA268_1349
ko:K19411	saug:SA268_0475
ko:K01046	saug:SA268_0290
ko:K19302	saug:SA268_1312
ko:K19405	saug:SA268_0476
ko:K19299	saug:SA268_2516
ko:K08259	saug:SA268_0246
ko:K03574	saug:SA268_1737
ko:K02031	saug:SA268_0876
ko:K19576	saug:SA268_0647
ko:K06881	saug:SA268_1651
ko:K01906	saug:SA268_2330
ko:K03483	saug:SA268_2068
ko:K21721	saug:SA268_0096
ko:K14222	saug:SA268_t028
ko:K19689	saug:SA268_1875
ko:K01258	saug:SA268_1470
ko:K14219	saug:SA268_t016
ko:K07119	saug:SA268_2097
ko:K00547	saug:SA268_0326
ko:K00297	saug:SA268_0326
ko:K02538	saug:SA268_2577
ko:K21636	saug:SA268_2553
ko:K19976	saug:SA268_0586
ko:K20074	saug:SA268_1111
ko:K12132	saug:SA268_1112
ko:K18907	saug:SA268_0086
ko:K20116	saug:SA268_0167
ko:K20117	saug:SA268_0167
ko:K20118	saug:SA268_0167
ko:K01977	saug:SA268_r005
ko:K01977	saug:SA268_r013
ko:K01977	saug:SA268_r001
ko:K01977	saug:SA268_r016
ko:K01977	saug:SA268_r010
ko:K01985	saug:SA268_r003
ko:K01985	saug:SA268_r004
ko:K01985	saug:SA268_r011
ko:K01985	saug:SA268_r008
ko:K01985	saug:SA268_r007
ko:K01985	saug:SA268_r014
ko:K20116	saug:SA268_2452
ko:K20117	saug:SA268_2452
ko:K20118	saug:SA268_2452
ko:K20338	saug:SA268_1711
ko:K14229	saug:SA268_t048
ko:K14229	saug:SA268_t055
ko:K14229	saug:SA268_t007
ko:K01980	saug:SA268_r002
ko:K21949	saug:SA268_0095
ko:K14233	saug:SA268_t037
ko:K14233	saug:SA268_t039
ko:K14233	saug:SA268_t003
ko:K14225	saug:SA268_t020
ko:K14225	saug:SA268_t053
ko:K14231	saug:SA268_t022
ko:K14231	saug:SA268_t034
ko:K14221	saug:SA268_t002
ko:K14221	saug:SA268_t038
ko:K14221	saug:SA268_t023
ko:K14221	saug:SA268_t035
ko:K14230	saug:SA268_t024
ko:K14230	saug:SA268_t036
ko:K14230	saug:SA268_t040
ko:K20337	saug:SA268_1063
ko:K20337	saug:SA268_1064
ko:K14230	saug:SA268_t041
ko:K20534	saug:SA268_0656
ko:K02790	saug:SA268_0212
ko:K02791	saug:SA268_0212
ko:K01980	saug:SA268_r006
ko:K21029	saug:SA268_2177
ko:K14224	saug:SA268_t001
ko:K14224	saug:SA268_t018
ko:K14224	saug:SA268_t059
ko:K21030	saug:SA268_0221
ko:K00525	saug:SA268_0683
ko:K14225	saug:SA268_t008
ko:K14225	saug:SA268_t046
ko:K14225	saug:SA268_t027
ko:K14225	saug:SA268_t026
ko:K14228	saug:SA268_t047
ko:K14228	saug:SA268_t025
ko:K14226	saug:SA268_t030
ko:K14226	saug:SA268_t021
ko:K14237	saug:SA268_t005
ko:K14237	saug:SA268_t058
ko:K14237	saug:SA268_t050
ko:K14218	saug:SA268_t012
ko:K14218	saug:SA268_t042
ko:K14218	saug:SA268_t051
ko:K01980	saug:SA268_r015
ko:K14228	saug:SA268_t054
ko:K21030	saug:SA268_0225
ko:K14233	saug:SA268_t014
ko:K14228	saug:SA268_t009
ko:K14228	saug:SA268_t045
ko:K21064	saug:SA268_0853
ko:K08968	saug:SA268_1666
ko:K14227	saug:SA268_t004
ko:K14227	saug:SA268_t052
ko:K14219	saug:SA268_t010
ko:K14219	saug:SA268_t044
ko:K14219	saug:SA268_t013
ko:K14232	saug:SA268_t011
ko:K14232	saug:SA268_t043
ko:K14220	saug:SA268_t015
ko:K14220	saug:SA268_t019
ko:K14220	saug:SA268_t060
ko:K14233	saug:SA268_t017
ko:K14223	saug:SA268_t029
ko:K14223	saug:SA268_t056
ko:K14235	saug:SA268_t031
ko:K14236	saug:SA268_t032
ko:K14236	saug:SA268_t057
ko:K01980	saug:SA268_r009
ko:K01980	saug:SA268_r012
ko:K00435	saug:SA268_0541
ko:K00526	saug:SA268_0684
ko:K00632	saug:SA268_0200
ko:K02314	saug:SA268_0017
ko:K14199	saug:SA268_1756
ko:K04068	saug:SA268_2552
ko:K07451	saug:SA268_0058
ko:K02315	saug:SA268_1808
ko:K14199	saug:SA268_0198
ko:K14199	saug:SA268_1047
ko:K11038	saug:SA268_1936
ko:K11038	saug:SA268_1937
ko:K03553	saug:SA268_1178
ko:K01174	saug:SA268_1223
ko:K03546	saug:SA268_1245
ko:K00857	saug:SA268_2032
ko:K00287	saug:SA268_1321
ko:K00560	saug:SA268_1322
ko:K11038	saug:SA268_1381
ko:K11038	saug:SA268_1382
ko:K02315	saug:SA268_1421
ko:K02316	saug:SA268_1520
ko:K11038	saug:SA268_2325
ko:K11038	saug:SA268_2327
ko:K11038	saug:SA268_2328
ko:K06217	saug:SA268_1529
ko:K01493	saug:SA268_1546
ko:K01174	saug:SA268_0744
ko:K07474	saug:SA268_0789
ko:K06958	saug:SA268_0716
ko:K05020	saug:SA268_2095
ko:K02335	saug:SA268_1638
ko:K00108	saug:SA268_2547
ko:K21285	saug:SA268_0593
ko:K02032	saug:SA268_0877
ko:K03296	saug:SA268_2162
ko:K00980	saug:SA268_0595
ko:K02031	saug:SA268_1276
ko:K02032	saug:SA268_1275
ko:K03293	saug:SA268_2218
ko:K22044	saug:SA268_0330
ko:K21478	saug:SA268_2607
ko:K02483	saug:SA268_2264
ko:K21453	saug:SA268_2604
ko:K21567	saug:SA268_2278
ko:K18704	saug:SA268_0223
ko:K21591	saug:SA268_0224
ko:K21600	saug:SA268_1999
ko:K18704	saug:SA268_0227
ko:K21828	saug:SA268_2568
ko:K22043	saug:SA268_2059
ko:K03741	saug:SA268_1721
ko:K22136	saug:SA268_1067
ko:K00754	saug:SA268_1352
ko:K22135	saug:SA268_0521
ko:K03595	saug:SA268_1525
ko:K22132	saug:SA268_1585
ko:K22109	saug:SA268_2549
ko:K22212	saug:SA268_0721
ko:K03547	saug:SA268_1841
ko:K17758	saug:SA268_0008
ko:K02257	saug:SA268_1004
ko:K22409	saug:SA268_0416
ko:K13566	saug:SA268_1945
ko:K22441	saug:SA268_2275
