ko:K19416	amal:I607_10355
ko:K07275	amal:I607_00135
ko:K06886	amal:I607_00140
ko:K00014	amal:I607_00145
ko:K14161	amal:I607_00180
ko:K05501	amal:I607_00215
ko:K13038	amal:I607_00220
ko:K03630	amal:I607_00225
ko:K02902	amal:I607_00250
ko:K02913	amal:I607_00255
ko:K09688	amal:I607_04465
ko:K12990	amal:I607_04490
ko:K00963	amal:I607_04495
ko:K02237	amal:I607_04500
ko:K06966	amal:I607_04520
ko:K06879	amal:I607_04530
ko:K15723	amal:I607_04535
ko:K06175	amal:I607_04570
ko:K00990	amal:I607_04585
ko:K01265	amal:I607_04590
ko:K02967	amal:I607_04595
ko:K02357	amal:I607_04600
ko:K09903	amal:I607_04605
ko:K02838	amal:I607_04610
ko:K00806	amal:I607_04615
ko:K00981	amal:I607_04620
ko:K00099	amal:I607_04625
ko:K11749	amal:I607_04630
ko:K07277	amal:I607_04635
ko:K06142	amal:I607_04640
ko:K02372	amal:I607_04645
ko:K00677	amal:I607_04650
ko:K00748	amal:I607_04655
ko:K03470	amal:I607_04660
ko:K02337	amal:I607_04665
ko:K01962	amal:I607_04670
ko:K04075	amal:I607_04675
ko:K11991	amal:I607_04695
ko:K01952	amal:I607_04710
ko:K00384	amal:I607_08555
ko:K09899	amal:I607_08560
ko:K02742	amal:I607_08565
ko:K04773	amal:I607_08570
ko:K03644	amal:I607_08600
ko:K03801	amal:I607_08605
ko:K09158	amal:I607_08610
ko:K03642	amal:I607_08620
ko:K05837	amal:I607_08625
ko:K05515	amal:I607_08630
ko:K00783	amal:I607_08635
ko:K09710	amal:I607_08640
ko:K00969	amal:I607_08645
ko:K02340	amal:I607_08650
ko:K03643	amal:I607_08655
ko:K01869	amal:I607_08660
ko:K07574	amal:I607_08695
ko:K03798	amal:I607_08705
ko:K00796	amal:I607_08710
ko:K03431	amal:I607_08715
ko:K01803	amal:I607_08720
ko:K03075	amal:I607_08725
ko:K00262	amal:I607_08745
ko:K03168	amal:I607_08775
ko:K00931	amal:I607_08785
ko:K00147	amal:I607_08790
ko:K00962	amal:I607_08805
ko:K09948	amal:I607_08810
ko:K01079	amal:I607_12620
ko:K03424	amal:I607_12630
ko:K00275	amal:I607_12635
ko:K03685	amal:I607_12645
ko:K03100	amal:I607_12650
ko:K03596	amal:I607_12655
ko:K03598	amal:I607_12665
ko:K03597	amal:I607_12670
ko:K03088	amal:I607_12675
ko:K00278	amal:I607_12680
ko:K09159	amal:I607_12695
ko:K06980	amal:I607_12700
ko:K03775	amal:I607_12705
ko:K04751	amal:I607_12710
ko:K08084	amal:I607_12720
ko:K02680	amal:I607_12735
ko:K02655	amal:I607_12750
ko:K02673	amal:I607_12760
ko:K02672	amal:I607_12765
ko:K02671	amal:I607_12770
ko:K03527	amal:I607_12775
ko:K03774	amal:I607_12780
ko:K03101	amal:I607_12785
ko:K01870	amal:I607_12790
ko:K11753	amal:I607_12795
ko:K03980	amal:I607_12800
ko:K02968	amal:I607_12805
ko:K03453	amal:I607_12825
ko:K03770	amal:I607_12855
ko:K03530	amal:I607_12860
ko:K01338	amal:I607_12865
ko:K03544	amal:I607_12870
ko:K01358	amal:I607_12875
ko:K03545	amal:I607_12880
ko:K13529	amal:I607_18165
ko:K00325	amal:I607_18185
ko:K00324	amal:I607_18190
ko:K00324	amal:I607_18195
ko:K03088	amal:I607_18225
ko:K02300	amal:I607_18250
ko:K02299	amal:I607_18255
ko:K02298	amal:I607_18260
ko:K02297	amal:I607_18265
ko:K04077	amal:I607_18300
ko:K04078	amal:I607_18305
ko:K07113	amal:I607_18310
ko:K03926	amal:I607_18315
ko:K04084	amal:I607_18320
ko:K03786	amal:I607_18330
ko:K02160	amal:I607_18335
ko:K01961	amal:I607_18340
ko:K02687	amal:I607_18395
ko:K03557	amal:I607_18405
ko:K00602	amal:I607_18410
ko:K01945	amal:I607_18420
ko:K10716	amal:I607_18435
ko:K03981	amal:I607_03610
ko:K07462	amal:I607_03615
ko:K03584	amal:I607_03625
ko:K03474	amal:I607_03630
ko:K00997	amal:I607_03635
ko:K03215	amal:I607_03640
ko:K09790	amal:I607_03655
ko:K00021	amal:I607_03660
ko:K07243	amal:I607_03715
ko:K02871	amal:I607_03740
ko:K02996	amal:I607_03745
ko:K00411	amal:I607_03750
ko:K00412	amal:I607_03755
ko:K00413	amal:I607_03760
ko:K03599	amal:I607_03765
ko:K03600	amal:I607_03770
ko:K06213	amal:I607_03775
ko:K06958	amal:I607_03785
ko:K05808	amal:I607_03795
ko:K03092	amal:I607_03800
ko:K06861	amal:I607_03805
ko:K09774	amal:I607_03810
ko:K11719	amal:I607_03815
ko:K03270	amal:I607_03820
ko:K06041	amal:I607_03825
ko:K07301	amal:I607_03830
ko:K02065	amal:I607_03835
ko:K02066	amal:I607_03840
ko:K07323	amal:I607_03850
ko:K07122	amal:I607_03855
ko:K00790	amal:I607_03865
ko:K04691	amal:I607_03870
ko:K09908	amal:I607_03880
ko:K00645	amal:I607_08010
ko:K02078	amal:I607_08020
ko:K09458	amal:I607_08025
ko:K07082	amal:I607_08035
ko:K00943	amal:I607_08040
ko:K02341	amal:I607_08045
ko:K03424	amal:I607_08050
ko:K01283	amal:I607_08070
ko:K09940	amal:I607_08075
ko:K07516	amal:I607_08095
ko:K09748	amal:I607_08175
ko:K02600	amal:I607_08180
ko:K02519	amal:I607_08185
ko:K02834	amal:I607_08190
ko:K02956	amal:I607_08205
ko:K06182	amal:I607_08210
ko:K07394	amal:I607_08230
ko:K03387	amal:I607_08265
ko:K01354	amal:I607_12160
ko:K03603	amal:I607_12165
ko:K03314	amal:I607_12170
ko:K03611	amal:I607_12175
ko:K09160	amal:I607_12190
ko:K09902	amal:I607_12205
ko:K03684	amal:I607_12210
ko:K07285	amal:I607_12225
ko:K16089	amal:I607_12290
ko:K00765	amal:I607_12300
ko:K00013	amal:I607_12305
ko:K00817	amal:I607_12310
ko:K01089	amal:I607_12315
ko:K02501	amal:I607_12320
ko:K01814	amal:I607_12325
ko:K02500	amal:I607_12330
ko:K11755	amal:I607_12335
ko:K03100	amal:I607_12360
ko:K03840	amal:I607_16145
ko:K00694	amal:I607_16190
ko:K01754	amal:I607_16225
ko:K01154	amal:I607_19020
ko:K03427	amal:I607_19025
ko:K01153	amal:I607_19030
ko:K07727	amal:I607_19035
ko:K07733	amal:I607_19045
ko:K07133	amal:I607_19050
ko:K07154	amal:I607_19060
ko:K02529	amal:I607_19085
ko:K07443	amal:I607_19105
ko:K02114	amal:I607_19125
ko:K02112	amal:I607_19130
ko:K02115	amal:I607_19135
ko:K02111	amal:I607_19140
ko:K02113	amal:I607_19145
ko:K02109	amal:I607_19150
ko:K02110	amal:I607_19155
ko:K02108	amal:I607_19160
ko:K03501	amal:I607_19180
ko:K03495	amal:I607_19185
ko:K06205	amal:I607_19200
ko:K03650	amal:I607_19205
ko:K09767	amal:I607_19210
ko:K03217	amal:I607_19215
ko:K08998	amal:I607_19220
ko:K03536	amal:I607_19225
ko:K02914	amal:I607_19230
ko:K00954	amal:I607_00270
ko:K11211	amal:I607_00275
ko:K12982	amal:I607_00280
ko:K00060	amal:I607_00305
ko:K02439	amal:I607_00310
ko:K02415	amal:I607_00320
ko:K03181	amal:I607_00325
ko:K03179	amal:I607_00330
ko:K07726	amal:I607_00340
ko:K03656	amal:I607_00350
ko:K07154	amal:I607_00365
ko:K03315	amal:I607_00380
ko:K07112	amal:I607_00385
ko:K07112	amal:I607_00390
ko:K13771	amal:I607_00395
ko:K07090	amal:I607_00400
ko:K17218	amal:I607_00410
ko:K00426	amal:I607_00440
ko:K00425	amal:I607_00445
ko:K15726	amal:I607_00495
ko:K01993	amal:I607_00535
ko:K13926	amal:I607_00540
ko:K12541	amal:I607_04835
ko:K12542	amal:I607_04840
ko:K09860	amal:I607_04865
ko:K02399	amal:I607_04870
ko:K02398	amal:I607_04875
ko:K02386	amal:I607_04880
ko:K03415	amal:I607_04885
ko:K02387	amal:I607_04895
ko:K02388	amal:I607_04900
ko:K02389	amal:I607_04905
ko:K02390	amal:I607_04910
ko:K02391	amal:I607_04915
ko:K02392	amal:I607_04920
ko:K02393	amal:I607_04925
ko:K02394	amal:I607_04930
ko:K02395	amal:I607_04935
ko:K02396	amal:I607_04940
ko:K02397	amal:I607_04945
ko:K02406	amal:I607_04955
ko:K02406	amal:I607_04960
ko:K02406	amal:I607_04965
ko:K02407	amal:I607_04975
ko:K02422	amal:I607_04980
ko:K15894	amal:I607_05025
ko:K03088	amal:I607_08995
ko:K05803	amal:I607_09010
ko:K06203	amal:I607_09020
ko:K03529	amal:I607_09025
ko:K03528	amal:I607_09030
ko:K01972	amal:I607_09035
ko:K09928	amal:I607_09040
ko:K00912	amal:I607_09060
ko:K09791	amal:I607_09065
ko:K00979	amal:I607_09070
ko:K14441	amal:I607_09080
ko:K06911	amal:I607_09105
ko:K01491	amal:I607_12885
ko:K09941	amal:I607_12890
ko:K01881	amal:I607_12900
ko:K01058	amal:I607_12910
ko:K01951	amal:I607_12935
ko:K03601	amal:I607_12945
ko:K03977	amal:I607_12960
ko:K01892	amal:I607_12975
ko:K15539	amal:I607_12985
ko:K02656	amal:I607_12990
ko:K06941	amal:I607_12995
ko:K00940	amal:I607_13000
ko:K02426	amal:I607_13005
ko:K11717	amal:I607_13020
ko:K03457	amal:I607_16285
ko:K00140	amal:I607_16295
ko:K09024	amal:I607_16300
ko:K09019	amal:I607_16305
ko:K09023	amal:I607_16310
ko:K09021	amal:I607_16315
ko:K09018	amal:I607_16325
ko:K02346	amal:I607_16360
ko:K07154	amal:I607_16370
ko:K05952	amal:I607_16375
ko:K03734	amal:I607_16380
ko:K00351	amal:I607_16385
ko:K00350	amal:I607_16390
ko:K00349	amal:I607_16395
ko:K00348	amal:I607_16400
ko:K00347	amal:I607_16405
ko:K00346	amal:I607_16410
ko:K00209	amal:I607_16415
ko:K00855	amal:I607_18440
ko:K07659	amal:I607_18450
ko:K07638	amal:I607_18460
ko:K01610	amal:I607_18475
ko:K04083	amal:I607_18480
ko:K04762	amal:I607_18485
ko:K02452	amal:I607_18490
ko:K02453	amal:I607_18495
ko:K02455	amal:I607_18505
ko:K02456	amal:I607_18510
ko:K02457	amal:I607_18515
ko:K02458	amal:I607_18520
ko:K02459	amal:I607_18525
ko:K02460	amal:I607_18530
ko:K02461	amal:I607_18535
ko:K02462	amal:I607_18540
ko:K08312	amal:I607_18570
ko:K03669	amal:I607_18585
ko:K03670	amal:I607_18590
ko:K06158	amal:I607_18615
ko:K07070	amal:I607_18620
ko:K03745	amal:I607_18635
ko:K04760	amal:I607_18655
ko:K06959	amal:I607_18660
ko:K02170	amal:I607_18680
ko:K07400	amal:I607_18695
ko:K01779	amal:I607_18705
ko:K06916	amal:I607_03885
ko:K06886	amal:I607_03895
ko:K12257	amal:I607_03915
ko:K01999	amal:I607_03945
ko:K09015	amal:I607_13025
ko:K09013	amal:I607_13030
ko:K09014	amal:I607_13035
ko:K04487	amal:I607_13040
ko:K13643	amal:I607_13045
ko:K00640	amal:I607_13055
ko:K15396	amal:I607_13060
ko:K03074	amal:I607_13080
ko:K03072	amal:I607_13085
ko:K03210	amal:I607_13090
ko:K00773	amal:I607_13095
ko:K07568	amal:I607_13100
ko:K09980	amal:I607_13110
ko:K10716	amal:I607_13120
ko:K16088	amal:I607_00550
ko:K06918	amal:I607_00575
ko:K08990	amal:I607_00580
ko:K03150	amal:I607_00595
ko:K03149	amal:I607_00600
ko:K03154	amal:I607_00605
ko:K14153	amal:I607_00615
ko:K03147	amal:I607_00620
ko:K02498	amal:I607_00625
ko:K02496	amal:I607_00630
ko:K01749	amal:I607_00640
ko:K06999	amal:I607_00655
ko:K00942	amal:I607_00660
ko:K03060	amal:I607_00665
ko:K00556	amal:I607_00680
ko:K03655	amal:I607_00685
ko:K15984	amal:I607_00690
ko:K02012	amal:I607_00705
ko:K02011	amal:I607_00710
ko:K07007	amal:I607_00725
ko:K00789	amal:I607_03960
ko:K00615	amal:I607_03965
ko:K03472	amal:I607_03970
ko:K00927	amal:I607_03975
ko:K01623	amal:I607_03980
ko:K03585	amal:I607_03990
ko:K01524	amal:I607_04015
ko:K00937	amal:I607_04020
ko:K02037	amal:I607_04030
ko:K02038	amal:I607_04035
ko:K02036	amal:I607_04040
ko:K02039	amal:I607_04045
ko:K03306	amal:I607_04050
ko:K04761	amal:I607_04060
ko:K11068	amal:I607_04070
ko:K03547	amal:I607_04105
ko:K07862	amal:I607_04120
ko:K01468	amal:I607_04130
ko:K05836	amal:I607_04135
ko:K01712	amal:I607_04140
ko:K01745	amal:I607_04145
ko:K05805	amal:I607_04150
ko:K15726	amal:I607_00750
ko:K05596	amal:I607_00805
ko:K06895	amal:I607_00810
ko:K02406	amal:I607_05030
ko:K10941	amal:I607_05035
ko:K02408	amal:I607_05050
ko:K02409	amal:I607_05055
ko:K02410	amal:I607_05060
ko:K02411	amal:I607_05065
ko:K02412	amal:I607_05070
ko:K02413	amal:I607_05075
ko:K02415	amal:I607_05085
ko:K02416	amal:I607_05090
ko:K02417	amal:I607_05095
ko:K02418	amal:I607_05100
ko:K02419	amal:I607_05105
ko:K02420	amal:I607_05110
ko:K02421	amal:I607_05115
ko:K02401	amal:I607_05120
ko:K02400	amal:I607_05125
ko:K02404	amal:I607_05130
ko:K04562	amal:I607_05135
ko:K02405	amal:I607_05140
ko:K03413	amal:I607_05145
ko:K03414	amal:I607_05150
ko:K03407	amal:I607_05155
ko:K03412	amal:I607_05160
ko:K03408	amal:I607_05170
ko:K03408	amal:I607_05175
ko:K00651	amal:I607_05185
ko:K09913	amal:I607_05205
ko:K03576	amal:I607_05210
ko:K04761	amal:I607_05215
ko:K01673	amal:I607_05220
ko:K03321	amal:I607_05225
ko:K02167	amal:I607_05235
ko:K09919	amal:I607_05245
ko:K03565	amal:I607_05250
ko:K01872	amal:I607_05255
ko:K03563	amal:I607_05260
ko:K01573	amal:I607_05270
ko:K01647	amal:I607_09120
ko:K00242	amal:I607_09130
ko:K00239	amal:I607_09135
ko:K00240	amal:I607_09140
ko:K00164	amal:I607_09145
ko:K00658	amal:I607_09150
ko:K01903	amal:I607_09155
ko:K01902	amal:I607_09160
ko:K16211	amal:I607_09215
ko:K01886	amal:I607_09230
ko:K06219	amal:I607_09270
ko:K03778	amal:I607_09275
ko:K00432	amal:I607_09280
ko:K00563	amal:I607_09310
ko:K07014	amal:I607_09320
ko:K09904	amal:I607_09325
ko:K06899	amal:I607_09330
ko:K00850	amal:I607_09370
ko:K08989	amal:I607_13130
ko:K02003	amal:I607_13155
ko:K01425	amal:I607_13170
ko:K03415	amal:I607_13180
ko:K01637	amal:I607_13185
ko:K01638	amal:I607_13195
ko:K07001	amal:I607_13200
ko:K08679	amal:I607_13205
ko:K01953	amal:I607_13300
ko:K01991	amal:I607_13385
ko:K03272	amal:I607_13410
ko:K14219	amal:I607_t19332
ko:K14219	amal:I607_t19348
ko:K03585	amal:I607_00830
ko:K03654	amal:I607_00900
ko:K06213	amal:I607_00905
ko:K05786	amal:I607_00910
ko:K03657	amal:I607_00920
ko:K00640	amal:I607_00925
ko:K03733	amal:I607_00935
ko:K09921	amal:I607_00940
ko:K01778	amal:I607_00945
ko:K01586	amal:I607_00950
ko:K02553	amal:I607_00970
ko:K03186	amal:I607_01000
ko:K02558	amal:I607_01005
ko:K03841	amal:I607_01010
ko:K09950	amal:I607_01025
ko:K07107	amal:I607_01035
ko:K04046	amal:I607_01040
ko:K03701	amal:I607_01050
ko:K02529	amal:I607_01080
ko:K00965	amal:I607_01090
ko:K00849	amal:I607_01095
ko:K03974	amal:I607_05310
ko:K03969	amal:I607_05315
ko:K03970	amal:I607_05320
ko:K00500	amal:I607_05330
ko:K03721	amal:I607_05335
ko:K16171	amal:I607_05340
ko:K00263	amal:I607_05355
ko:K00453	amal:I607_05370
ko:K00472	amal:I607_05385
ko:K03561	amal:I607_05420
ko:K03561	amal:I607_05425
ko:K03832	amal:I607_05435
ko:K06957	amal:I607_05445
ko:K03811	amal:I607_05465
ko:K03789	amal:I607_05480
ko:K06222	amal:I607_05505
ko:K02837	amal:I607_05540
ko:K01887	amal:I607_05545
ko:K01738	amal:I607_05565
ko:K03088	amal:I607_09405
ko:K09765	amal:I607_09425
ko:K07154	amal:I607_09435
ko:K07154	amal:I607_09440
ko:K07043	amal:I607_09490
ko:K07146	amal:I607_09550
ko:K01029	amal:I607_09565
ko:K01028	amal:I607_09570
ko:K13634	amal:I607_09590
ko:K01752	amal:I607_09595
ko:K01665	amal:I607_09605
ko:K01676	amal:I607_09610
ko:K09760	amal:I607_09620
ko:K00166	amal:I607_09630
ko:K00167	amal:I607_09635
ko:K09699	amal:I607_09640
ko:K07115	amal:I607_09645
ko:K10805	amal:I607_09655
ko:K07461	amal:I607_13415
ko:K00982	amal:I607_13430
ko:K02517	amal:I607_13440
ko:K00761	amal:I607_13490
ko:K14540	amal:I607_13530
ko:K03437	amal:I607_13535
ko:K13639	amal:I607_13580
ko:K02616	amal:I607_13605
ko:K09456	amal:I607_13610
ko:K05851	amal:I607_13650
ko:K13483	amal:I607_13685
ko:K11178	amal:I607_13690
ko:K02609	amal:I607_20062
ko:K10674	amal:I607_20252
ko:K06160	amal:I607_20272
ko:K01434	amal:I607_20277
ko:K00864	amal:I607_01140
ko:K02444	amal:I607_01145
ko:K00111	amal:I607_01150
ko:K03569	amal:I607_01250
ko:K03570	amal:I607_01255
ko:K03571	amal:I607_01260
ko:K06287	amal:I607_01265
ko:K08301	amal:I607_01270
ko:K03568	amal:I607_01285
ko:K09889	amal:I607_01290
ko:K03592	amal:I607_01295
ko:K07773	amal:I607_01310
ko:K00703	amal:I607_01320
ko:K03439	amal:I607_01330
ko:K03575	amal:I607_01340
ko:K07644	amal:I607_01375
ko:K02836	amal:I607_05610
ko:K04567	amal:I607_05615
ko:K00077	amal:I607_05620
ko:K01919	amal:I607_05640
ko:K07320	amal:I607_05670
ko:K01736	amal:I607_05675
ko:K05820	amal:I607_05680
ko:K09786	amal:I607_05690
ko:K07180	amal:I607_05695
ko:K04564	amal:I607_05700
ko:K07390	amal:I607_05705
ko:K03088	amal:I607_05715
ko:K02192	amal:I607_05730
ko:K03683	amal:I607_05740
ko:K01126	amal:I607_05750
ko:K03704	amal:I607_05760
ko:K10773	amal:I607_05775
ko:K03702	amal:I607_05815
ko:K06920	amal:I607_05825
ko:K10026	amal:I607_05830
ko:K09807	amal:I607_09670
ko:K03607	amal:I607_09685
ko:K03797	amal:I607_09690
ko:K03308	amal:I607_09695
ko:K03315	amal:I607_09700
ko:K01256	amal:I607_09705
ko:K15371	amal:I607_09735
ko:K12297	amal:I607_09745
ko:K15738	amal:I607_09755
ko:K03812	amal:I607_09765
ko:K01716	amal:I607_09770
ko:K01669	amal:I607_09780
ko:K09771	amal:I607_09825
ko:K16264	amal:I607_09830
ko:K15726	amal:I607_09835
ko:K01534	amal:I607_09855
ko:K16264	amal:I607_09865
ko:K11177	amal:I607_13695
ko:K05520	amal:I607_13725
ko:K07058	amal:I607_13730
ko:K03291	amal:I607_13770
ko:K03654	amal:I607_13785
ko:K16091	amal:I607_13945
ko:K15726	amal:I607_13950
ko:K16264	amal:I607_13970
ko:K01990	amal:I607_15590
ko:K01990	amal:I607_17380
ko:K14221	amal:I607_t19292
ko:K14221	amal:I607_t19298
ko:K14221	amal:I607_t19294
ko:K14218	amal:I607_t19242
ko:K14218	amal:I607_t19344
ko:K14218	amal:I607_t19356
ko:K14218	amal:I607_t19250
ko:K01980	amal:I607_r19386
ko:K14219	amal:I607_t19246
ko:K14225	amal:I607_t19316
ko:K01985	amal:I607_r19360
ko:K01985	amal:I607_r19362
ko:K01985	amal:I607_r19364
ko:K01985	amal:I607_r19366
ko:K01985	amal:I607_r19372
ko:K01985	amal:I607_r19370
ko:K01985	amal:I607_r19368
ko:K01992	amal:I607_00545
ko:K01992	amal:I607_15595
ko:K01992	amal:I607_17375
ko:K07245	amal:I607_01420
ko:K14231	amal:I607_t19248
ko:K14230	amal:I607_t19258
ko:K14219	amal:I607_t19260
ko:K14233	amal:I607_t19262
ko:K14219	amal:I607_t19264
ko:K14219	amal:I607_t19266
ko:K14235	amal:I607_t19268
ko:K14235	amal:I607_t19358
ko:K14220	amal:I607_t19270
ko:K14220	amal:I607_t19272
ko:K14233	amal:I607_t19276
ko:K14218	amal:I607_t19280
ko:K14228	amal:I607_t19320
ko:K14228	amal:I607_t19326
ko:K14237	amal:I607_t19288
ko:K14230	amal:I607_t19302
ko:K14230	amal:I607_t19304
ko:K14230	amal:I607_t19306
ko:K14228	amal:I607_t19310
ko:K14228	amal:I607_t19312
ko:K14222	amal:I607_t19314
ko:K14233	amal:I607_t19336
ko:K14233	amal:I607_t19338
ko:K14232	amal:I607_t19340
ko:K14226	amal:I607_t19322
ko:K14226	amal:I607_t19328
ko:K14232	amal:I607_t19324
ko:K14232	amal:I607_t19334
ko:K14232	amal:I607_t19350
ko:K14228	amal:I607_t19352
ko:K01977	amal:I607_r19382
ko:K01977	amal:I607_r19378
ko:K01977	amal:I607_r19380
ko:K01977	amal:I607_r19374
ko:K01977	amal:I607_r19376
ko:K01980	amal:I607_r19384
ko:K14221	amal:I607_t19296
ko:K01980	amal:I607_r19388
ko:K01980	amal:I607_r19390
ko:K01980	amal:I607_r19392
ko:K08316	amal:I607_17300
ko:K07576	amal:I607_15515
ko:K14227	amal:I607_t19244
ko:K14227	amal:I607_t19342
ko:K14227	amal:I607_t19252
ko:K14227	amal:I607_t19354
ko:K14224	amal:I607_t19290
ko:K02428	amal:I607_04290
ko:K00974	amal:I607_04300
ko:K02450	amal:I607_04305
ko:K03743	amal:I607_04360
ko:K09697	amal:I607_04370
ko:K09696	amal:I607_04375
ko:K02193	amal:I607_04390
ko:K02200	amal:I607_04425
ko:K01784	amal:I607_04440
ko:K00939	amal:I607_12375
ko:K07167	amal:I607_12485
ko:K03317	amal:I607_16475
ko:K02342	amal:I607_16500
ko:K07182	amal:I607_16505
ko:K05844	amal:I607_16530
ko:K14683	amal:I607_16565
ko:K02258	amal:I607_18765
ko:K02274	amal:I607_18770
ko:K04085	amal:I607_18945
ko:K03498	amal:I607_00080
ko:K03499	amal:I607_00085
ko:K03747	amal:I607_00115
ko:K14162	amal:I607_00175
ko:K02851	amal:I607_04480
ko:K00030	amal:I607_04505
ko:K00674	amal:I607_04580
ko:K03455	amal:I607_04685
ko:K01424	amal:I607_08595
ko:K07258	amal:I607_08615
ko:K02427	amal:I607_08700
ko:K03307	amal:I607_08780
ko:K03803	amal:I607_12660
ko:K01916	amal:I607_12715
ko:K02674	amal:I607_12755
ko:K00799	amal:I607_19115
ko:K02116	amal:I607_19165
ko:K10563	amal:I607_00265
ko:K00639	amal:I607_00300
ko:K02441	amal:I607_00315
ko:K09806	amal:I607_00345
ko:K16012	amal:I607_00430
ko:K16013	amal:I607_00435
ko:K03386	amal:I607_00465
ko:K03451	amal:I607_00505
ko:K00575	amal:I607_04890
ko:K06603	amal:I607_04970
ko:K01489	amal:I607_09005
ko:K02238	amal:I607_09050
ko:K11085	amal:I607_09055
ko:K07393	amal:I607_09100
ko:K03406	amal:I607_12920
ko:K00088	amal:I607_12940
ko:K13628	amal:I607_13015
ko:K01092	amal:I607_13065
ko:K01719	amal:I607_00635
ko:K02010	amal:I607_00715
ko:K03442	amal:I607_00720
ko:K15727	amal:I607_00755
ko:K15725	amal:I607_00760
ko:K10942	amal:I607_05040
ko:K10943	amal:I607_05045
ko:K02414	amal:I607_05080
ko:K00548	amal:I607_05195
ko:K07386	amal:I607_05240
ko:K01571	amal:I607_05275
ko:K01572	amal:I607_05280
ko:K00241	amal:I607_09125
ko:K02014	amal:I607_09165
ko:K07116	amal:I607_09245
ko:K04774	amal:I607_09250
ko:K02004	amal:I607_13160
ko:K01077	amal:I607_13175
ko:K03406	amal:I607_00865
ko:K00799	amal:I607_00895
ko:K01507	amal:I607_01020
ko:K06889	amal:I607_01070
ko:K01785	amal:I607_01085
ko:K03307	amal:I607_01100
ko:K02014	amal:I607_09415
ko:K01113	amal:I607_09420
ko:K07126	amal:I607_09500
ko:K00830	amal:I607_09665
ko:K02014	amal:I607_13480
ko:K01692	amal:I607_13540
ko:K06970	amal:I607_13575
ko:K01759	amal:I607_13675
ko:K00808	amal:I607_20267
ko:K12279	amal:I607_01165
ko:K12280	amal:I607_01175
ko:K12281	amal:I607_01180
ko:K12282	amal:I607_01185
ko:K12283	amal:I607_01190
ko:K12284	amal:I607_01195
ko:K12276	amal:I607_01200
ko:K12278	amal:I607_01205
ko:K10925	amal:I607_01215
ko:K10924	amal:I607_01220
ko:K10926	amal:I607_01225
ko:K10927	amal:I607_01230
ko:K12285	amal:I607_01235
ko:K12286	amal:I607_01240
ko:K12287	amal:I607_01245
ko:K00564	amal:I607_01325
ko:K06177	amal:I607_05625
ko:K07263	amal:I607_05635
ko:K02014	amal:I607_05710
ko:K03386	amal:I607_05735
ko:K01759	amal:I607_05755
ko:K03613	amal:I607_05780
ko:K03614	amal:I607_05790
ko:K03615	amal:I607_05795
ko:K03616	amal:I607_05800
ko:K03617	amal:I607_05805
ko:K07665	amal:I607_01380
ko:K06282	amal:I607_01500
ko:K06281	amal:I607_01505
ko:K04652	amal:I607_01525
ko:K04655	amal:I607_01540
ko:K15725	amal:I607_01615
ko:K01082	amal:I607_05875
ko:K03307	amal:I607_05890
ko:K07114	amal:I607_05920
ko:K07114	amal:I607_05925
ko:K01782	amal:I607_05950
ko:K06147	amal:I607_06050
ko:K06149	amal:I607_10075
ko:K03796	amal:I607_10175
ko:K01011	amal:I607_10195
ko:K05812	amal:I607_10205
ko:K01262	amal:I607_14195
ko:K00852	amal:I607_14205
ko:K01934	amal:I607_14220
ko:K00058	amal:I607_14230
ko:K15727	amal:I607_01695
ko:K15725	amal:I607_01700
ko:K03406	amal:I607_01770
ko:K03406	amal:I607_01790
ko:K00575	amal:I607_01795
ko:K03406	amal:I607_01810
ko:K03406	amal:I607_01830
ko:K00575	amal:I607_01840
ko:K01560	amal:I607_01860
ko:K05499	amal:I607_01900
ko:K03560	amal:I607_06210
ko:K04767	amal:I607_06305
ko:K11179	amal:I607_10375
ko:K08992	amal:I607_10450
ko:K02653	amal:I607_14325
ko:K03574	amal:I607_14355
ko:K01834	amal:I607_01950
ko:K09705	amal:I607_01955
ko:K03406	amal:I607_02060
ko:K08305	amal:I607_02090
ko:K00652	amal:I607_06420
ko:K01104	amal:I607_06440
ko:K06147	amal:I607_06470
ko:K01885	amal:I607_06490
ko:K02004	amal:I607_06535
ko:K07660	amal:I607_06560
ko:K00568	amal:I607_10490
ko:K03548	amal:I607_10560
ko:K06445	amal:I607_10615
ko:K03442	amal:I607_14555
ko:K00219	amal:I607_14615
ko:K00799	amal:I607_14630
ko:K04063	amal:I607_14640
ko:K07304	amal:I607_14645
ko:K00616	amal:I607_14690
ko:K00121	amal:I607_14735
ko:K03612	amal:I607_05785
ko:K03325	amal:I607_14760
ko:K01113	amal:I607_16940
ko:K01664	amal:I607_02230
ko:K02665	amal:I607_02285
ko:K00027	amal:I607_02310
ko:K11209	amal:I607_02320
ko:K07640	amal:I607_02395
ko:K01048	amal:I607_02400
ko:K00569	amal:I607_06655
ko:K02014	amal:I607_06705
ko:K02014	amal:I607_06870
ko:K02014	amal:I607_10840
ko:K01322	amal:I607_10850
ko:K03711	amal:I607_10910
ko:K12961	amal:I607_14865
ko:K08981	amal:I607_14975
ko:K09167	amal:I607_14980
ko:K01243	amal:I607_15015
ko:K06858	amal:I607_15025
ko:K00383	amal:I607_17095
ko:K01259	amal:I607_17250
ko:K05595	amal:I607_17310
ko:K02030	amal:I607_02705
ko:K01835	amal:I607_07045
ko:K01439	amal:I607_07090
ko:K06889	amal:I607_11020
