ko:K01006	lmos:LMOSLCC7179_1840
ko:K00761	lmos:LMOSLCC7179_2450
ko:K00600	lmos:LMOSLCC7179_2451
ko:K07566	lmos:LMOSLCC7179_2453
ko:K02493	lmos:LMOSLCC7179_2454
ko:K00872	lmos:LMOSLCC7179_2457
ko:K01733	lmos:LMOSLCC7179_2458
ko:K00003	lmos:LMOSLCC7179_2459
ko:K02909	lmos:LMOSLCC7179_2460
ko:K03628	lmos:LMOSLCC7179_2463
ko:K00790	lmos:LMOSLCC7179_2464
ko:K13678	lmos:LMOSLCC7179_2466
ko:K01937	lmos:LMOSLCC7179_2471
ko:K00067	lmos:LMOSLCC7179_1065
ko:K00763	lmos:LMOSLCC7179_1073
ko:K02760	lmos:LMOSLCC7179_1076
ko:K01951	lmos:LMOSLCC7179_1077
ko:K03827	lmos:LMOSLCC7179_1092
ko:K01358	lmos:LMOSLCC7179_1105
ko:K02304	lmos:LMOSLCC7179_1108
ko:K04031	lmos:LMOSLCC7179_1111
ko:K04029	lmos:LMOSLCC7179_1112
ko:K03655	lmos:LMOSLCC7179_1784
ko:K01752	lmos:LMOSLCC7179_1785
ko:K01752	lmos:LMOSLCC7179_1786
ko:K02902	lmos:LMOSLCC7179_1789
ko:K01783	lmos:LMOSLCC7179_1791
ko:K06949	lmos:LMOSLCC7179_1792
ko:K03500	lmos:LMOSLCC7179_1795
ko:K00604	lmos:LMOSLCC7179_1796
ko:K04066	lmos:LMOSLCC7179_1797
ko:K13038	lmos:LMOSLCC7179_1798
ko:K03060	lmos:LMOSLCC7179_1799
ko:K00942	lmos:LMOSLCC7179_1800
ko:K00762	lmos:LMOSLCC7179_1804
ko:K01591	lmos:LMOSLCC7179_1805
ko:K01955	lmos:LMOSLCC7179_1808
ko:K01956	lmos:LMOSLCC7179_1809
ko:K01465	lmos:LMOSLCC7179_1810
ko:K00609	lmos:LMOSLCC7179_1811
ko:K02825	lmos:LMOSLCC7179_1813
ko:K06180	lmos:LMOSLCC7179_1816
ko:K03101	lmos:LMOSLCC7179_1817
ko:K06901	lmos:LMOSLCC7179_1818
ko:K03327	lmos:LMOSLCC7179_1819
ko:K03797	lmos:LMOSLCC7179_1824
ko:K03667	lmos:LMOSLCC7179_1249
ko:K03706	lmos:LMOSLCC7179_1250
ko:K07107	lmos:LMOSLCC7179_1251
ko:K08591	lmos:LMOSLCC7179_1254
ko:K02622	lmos:LMOSLCC7179_1256
ko:K02621	lmos:LMOSLCC7179_1257
ko:K07651	lmos:LMOSLCC7179_1919
ko:K07775	lmos:LMOSLCC7179_1920
ko:K06178	lmos:LMOSLCC7179_1921
ko:K06024	lmos:LMOSLCC7179_1922
ko:K05896	lmos:LMOSLCC7179_1923
ko:K01586	lmos:LMOSLCC7179_1924
ko:K01839	lmos:LMOSLCC7179_1926
ko:K02015	lmos:LMOSLCC7179_1929
ko:K02015	lmos:LMOSLCC7179_1930
ko:K02016	lmos:LMOSLCC7179_1931
ko:K02013	lmos:LMOSLCC7179_1932
ko:K01625	lmos:LMOSLCC7179_1941
ko:K03710	lmos:LMOSLCC7179_1946
ko:K02346	lmos:LMOSLCC7179_1947
ko:K07124	lmos:LMOSLCC7179_1948
ko:K00036	lmos:LMOSLCC7179_1950
ko:K01687	lmos:LMOSLCC7179_1955
ko:K01652	lmos:LMOSLCC7179_1956
ko:K01653	lmos:LMOSLCC7179_1957
ko:K00053	lmos:LMOSLCC7179_1958
ko:K01649	lmos:LMOSLCC7179_1959
ko:K00052	lmos:LMOSLCC7179_1960
ko:K01703	lmos:LMOSLCC7179_1961
ko:K07090	lmos:LMOSLCC7179_2319
ko:K09014	lmos:LMOSLCC7179_2322
ko:K11717	lmos:LMOSLCC7179_2324
ko:K09015	lmos:LMOSLCC7179_2325
ko:K09013	lmos:LMOSLCC7179_2326
ko:K02073	lmos:LMOSLCC7179_2328
ko:K02072	lmos:LMOSLCC7179_2329
ko:K00426	lmos:LMOSLCC7179_2689
ko:K00425	lmos:LMOSLCC7179_2690
ko:K01895	lmos:LMOSLCC7179_2692
ko:K02768	lmos:LMOSLCC7179_2705
ko:K02769	lmos:LMOSLCC7179_2705
ko:K02770	lmos:LMOSLCC7179_2705
ko:K00865	lmos:LMOSLCC7179_2708
ko:K00299	lmos:LMOSLCC7179_2265
ko:K02358	lmos:LMOSLCC7179_2623
ko:K02355	lmos:LMOSLCC7179_2624
ko:K02992	lmos:LMOSLCC7179_2625
ko:K02950	lmos:LMOSLCC7179_2626
ko:K01129	lmos:LMOSLCC7179_2627
ko:K01783	lmos:LMOSLCC7179_2629
ko:K00615	lmos:LMOSLCC7179_2630
ko:K01783	lmos:LMOSLCC7179_2631
ko:K01808	lmos:LMOSLCC7179_2632
ko:K02338	lmos:LMOSLCC7179_0002
ko:K00859	lmos:LMOSLCC7179_1537
ko:K00031	lmos:LMOSLCC7179_1540
ko:K01647	lmos:LMOSLCC7179_1541
ko:K07113	lmos:LMOSLCC7179_1543
ko:K00873	lmos:LMOSLCC7179_1544
ko:K00850	lmos:LMOSLCC7179_1545
ko:K01962	lmos:LMOSLCC7179_1546
ko:K01963	lmos:LMOSLCC7179_1547
ko:K02337	lmos:LMOSLCC7179_1548
ko:K00259	lmos:LMOSLCC7179_1553
ko:K00925	lmos:LMOSLCC7179_1555
ko:K11065	lmos:LMOSLCC7179_1558
ko:K04773	lmos:LMOSLCC7179_1560
ko:K00858	lmos:LMOSLCC7179_1561
ko:K00611	lmos:LMOSLCC7179_1562
ko:K00930	lmos:LMOSLCC7179_1564
ko:K00620	lmos:LMOSLCC7179_1565
ko:K00145	lmos:LMOSLCC7179_1566
ko:K03151	lmos:LMOSLCC7179_1567
ko:K04487	lmos:LMOSLCC7179_1568
ko:K02986	lmos:LMOSLCC7179_1571
ko:K01866	lmos:LMOSLCC7179_1572
ko:K02529	lmos:LMOSLCC7179_1573
ko:K13853	lmos:LMOSLCC7179_1574
ko:K01924	lmos:LMOSLCC7179_1579
ko:K03466	lmos:LMOSLCC7179_1580
ko:K06878	lmos:LMOSLCC7179_1581
ko:K03710	lmos:LMOSLCC7179_2120
ko:K03671	lmos:LMOSLCC7179_2129
ko:K02835	lmos:LMOSLCC7179_2455
ko:K01887	lmos:LMOSLCC7179_2473
ko:K01821	lmos:LMOSLCC7179_2476
ko:K06885	lmos:LMOSLCC7179_2477
ko:K08281	lmos:LMOSLCC7179_2483
ko:K16264	lmos:LMOSLCC7179_2487
ko:K02231	lmos:LMOSLCC7179_1114
ko:K02233	lmos:LMOSLCC7179_1115
ko:K07173	lmos:LMOSLCC7179_1258
ko:K01126	lmos:LMOSLCC7179_1262
ko:K00111	lmos:LMOSLCC7179_1263
ko:K00791	lmos:LMOSLCC7179_1264
ko:K03666	lmos:LMOSLCC7179_1265
ko:K03665	lmos:LMOSLCC7179_1266
ko:K01915	lmos:LMOSLCC7179_1269
ko:K03893	lmos:LMOSLCC7179_1270
ko:K01356	lmos:LMOSLCC7179_1272
ko:K00615	lmos:LMOSLCC7179_1275
ko:K09903	lmos:LMOSLCC7179_1283
ko:K02838	lmos:LMOSLCC7179_1284
ko:K00806	lmos:LMOSLCC7179_1285
ko:K00981	lmos:LMOSLCC7179_1286
ko:K00099	lmos:LMOSLCC7179_1287
ko:K11749	lmos:LMOSLCC7179_1288
ko:K01881	lmos:LMOSLCC7179_1289
ko:K03763	lmos:LMOSLCC7179_1290
ko:K09748	lmos:LMOSLCC7179_1291
ko:K02600	lmos:LMOSLCC7179_1292
ko:K07742	lmos:LMOSLCC7179_1293
ko:K02519	lmos:LMOSLCC7179_1295
ko:K02834	lmos:LMOSLCC7179_1297
ko:K11753	lmos:LMOSLCC7179_1299
ko:K02956	lmos:LMOSLCC7179_1300
ko:K00962	lmos:LMOSLCC7179_1301
ko:K06949	lmos:LMOSLCC7179_1302
ko:K02913	lmos:LMOSLCC7179_1305
ko:K01704	lmos:LMOSLCC7179_1962
ko:K01754	lmos:LMOSLCC7179_1963
ko:K01575	lmos:LMOSLCC7179_1964
ko:K00756	lmos:LMOSLCC7179_1965
ko:K02529	lmos:LMOSLCC7179_1966
ko:K05346	lmos:LMOSLCC7179_1968
ko:K01652	lmos:LMOSLCC7179_1978
ko:K07718	lmos:LMOSLCC7179_1983
ko:K03704	lmos:LMOSLCC7179_1988
ko:K01778	lmos:LMOSLCC7179_1990
ko:K01870	lmos:LMOSLCC7179_1991
ko:K04074	lmos:LMOSLCC7179_1992
ko:K04487	lmos:LMOSLCC7179_1994
ko:K00278	lmos:LMOSLCC7179_1995
ko:K00767	lmos:LMOSLCC7179_1996
ko:K03517	lmos:LMOSLCC7179_1997
ko:K02071	lmos:LMOSLCC7179_2330
ko:K02437	lmos:LMOSLCC7179_2336
ko:K05837	lmos:LMOSLCC7179_2338
ko:K05837	lmos:LMOSLCC7179_2339
ko:K02013	lmos:LMOSLCC7179_2340
ko:K02015	lmos:LMOSLCC7179_2341
ko:K02016	lmos:LMOSLCC7179_2342
ko:K12410	lmos:LMOSLCC7179_2711
ko:K01875	lmos:LMOSLCC7179_2719
ko:K06978	lmos:LMOSLCC7179_2727
ko:K03654	lmos:LMOSLCC7179_2729
ko:K02003	lmos:LMOSLCC7179_2493
ko:K13919	lmos:LMOSLCC7179_1121
ko:K13920	lmos:LMOSLCC7179_1122
ko:K04024	lmos:LMOSLCC7179_1128
ko:K13922	lmos:LMOSLCC7179_1132
ko:K02440	lmos:LMOSLCC7179_1134
ko:K00925	lmos:LMOSLCC7179_1135
ko:K04019	lmos:LMOSLCC7179_1142
ko:K03735	lmos:LMOSLCC7179_1143
ko:K03736	lmos:LMOSLCC7179_1144
ko:K04026	lmos:LMOSLCC7179_1145
ko:K04032	lmos:LMOSLCC7179_1149
ko:K04023	lmos:LMOSLCC7179_1154
ko:K04030	lmos:LMOSLCC7179_1155
ko:K02224	lmos:LMOSLCC7179_1159
ko:K11068	lmos:LMOSLCC7179_1837
ko:K09773	lmos:LMOSLCC7179_1839
ko:K00563	lmos:LMOSLCC7179_1845
ko:K15738	lmos:LMOSLCC7179_1848
ko:K01938	lmos:LMOSLCC7179_1849
ko:K03704	lmos:LMOSLCC7179_1851
ko:K02954	lmos:LMOSLCC7179_1854
ko:K16169	lmos:LMOSLCC7179_1856
ko:K03816	lmos:LMOSLCC7179_1857
ko:K01299	lmos:LMOSLCC7179_1858
ko:K07444	lmos:LMOSLCC7179_1859
ko:K05366	lmos:LMOSLCC7179_1864
ko:K10773	lmos:LMOSLCC7179_1866
ko:K01893	lmos:LMOSLCC7179_1868
ko:K00812	lmos:LMOSLCC7179_1869
ko:K01579	lmos:LMOSLCC7179_1872
ko:K01421	lmos:LMOSLCC7179_2275
ko:K02774	lmos:LMOSLCC7179_2636
ko:K02773	lmos:LMOSLCC7179_2637
ko:K01808	lmos:LMOSLCC7179_2644
ko:K07667	lmos:LMOSLCC7179_2648
ko:K07646	lmos:LMOSLCC7179_2649
ko:K01548	lmos:LMOSLCC7179_2650
ko:K01547	lmos:LMOSLCC7179_2651
ko:K01546	lmos:LMOSLCC7179_2652
ko:K02760	lmos:LMOSLCC7179_2653
ko:K02761	lmos:LMOSLCC7179_2654
ko:K02759	lmos:LMOSLCC7179_2655
ko:K01531	lmos:LMOSLCC7179_2659
ko:K02247	lmos:LMOSLCC7179_1313
ko:K00605	lmos:LMOSLCC7179_1318
ko:K00282	lmos:LMOSLCC7179_1319
ko:K00283	lmos:LMOSLCC7179_1320
ko:K03439	lmos:LMOSLCC7179_1589
ko:K00824	lmos:LMOSLCC7179_1593
ko:K01695	lmos:LMOSLCC7179_1601
ko:K01696	lmos:LMOSLCC7179_1602
ko:K01817	lmos:LMOSLCC7179_1603
ko:K01609	lmos:LMOSLCC7179_1604
ko:K00766	lmos:LMOSLCC7179_1605
ko:K01657	lmos:LMOSLCC7179_1607
ko:K04072	lmos:LMOSLCC7179_1608
ko:K01246	lmos:LMOSLCC7179_1613
ko:K01681	lmos:LMOSLCC7179_1615
ko:K03547	lmos:LMOSLCC7179_1620
ko:K00655	lmos:LMOSLCC7179_1621
ko:K08177	lmos:LMOSLCC7179_2149
ko:K08600	lmos:LMOSLCC7179_2159
ko:K02379	lmos:LMOSLCC7179_2497
ko:K00123	lmos:LMOSLCC7179_2499
ko:K02227	lmos:LMOSLCC7179_1160
ko:K06042	lmos:LMOSLCC7179_1161
ko:K02188	lmos:LMOSLCC7179_1162
ko:K02191	lmos:LMOSLCC7179_1164
ko:K05936	lmos:LMOSLCC7179_1165
ko:K05895	lmos:LMOSLCC7179_1167
ko:K13542	lmos:LMOSLCC7179_1168
ko:K03394	lmos:LMOSLCC7179_1170
ko:K02007	lmos:LMOSLCC7179_1171
ko:K02232	lmos:LMOSLCC7179_1175
ko:K09936	lmos:LMOSLCC7179_1177
ko:K09936	lmos:LMOSLCC7179_1178
ko:K03437	lmos:LMOSLCC7179_1185
ko:K01889	lmos:LMOSLCC7179_1188
ko:K01890	lmos:LMOSLCC7179_1189
ko:K02003	lmos:LMOSLCC7179_1190
ko:K03648	lmos:LMOSLCC7179_1194
ko:K09888	lmos:LMOSLCC7179_1196
ko:K02347	lmos:LMOSLCC7179_1198
ko:K07456	lmos:LMOSLCC7179_1199
ko:K03671	lmos:LMOSLCC7179_1200
ko:K03703	lmos:LMOSLCC7179_1201
ko:K00928	lmos:LMOSLCC7179_1202
ko:K01776	lmos:LMOSLCC7179_1204
ko:K00989	lmos:LMOSLCC7179_1205
ko:K07095	lmos:LMOSLCC7179_1207
ko:K01918	lmos:LMOSLCC7179_1873
ko:K00606	lmos:LMOSLCC7179_1874
ko:K03524	lmos:LMOSLCC7179_1876
ko:K01734	lmos:LMOSLCC7179_1878
ko:K00215	lmos:LMOSLCC7179_1879
ko:K00656	lmos:LMOSLCC7179_1889
ko:K07007	lmos:LMOSLCC7179_1890
ko:K06973	lmos:LMOSLCC7179_1891
ko:K00800	lmos:LMOSLCC7179_1895
ko:K00817	lmos:LMOSLCC7179_1897
ko:K06208	lmos:LMOSLCC7179_1898
ko:K01735	lmos:LMOSLCC7179_1899
ko:K01736	lmos:LMOSLCC7179_1900
ko:K00940	lmos:LMOSLCC7179_1901
ko:K03183	lmos:LMOSLCC7179_1903
ko:K01495	lmos:LMOSLCC7179_1905
ko:K03530	lmos:LMOSLCC7179_1906
ko:K00057	lmos:LMOSLCC7179_1909
ko:K03977	lmos:LMOSLCC7179_1910
ko:K02945	lmos:LMOSLCC7179_1911
ko:K00945	lmos:LMOSLCC7179_1912
ko:K03654	lmos:LMOSLCC7179_1915
ko:K01810	lmos:LMOSLCC7179_2282
ko:K14155	lmos:LMOSLCC7179_2285
ko:K02003	lmos:LMOSLCC7179_2287
ko:K02760	lmos:LMOSLCC7179_2288
ko:K00928	lmos:LMOSLCC7179_2289
ko:K05566	lmos:LMOSLCC7179_2295
ko:K05567	lmos:LMOSLCC7179_2296
ko:K05569	lmos:LMOSLCC7179_2298
ko:K05571	lmos:LMOSLCC7179_2300
ko:K09775	lmos:LMOSLCC7179_2302
ko:K03885	lmos:LMOSLCC7179_2305
ko:K00943	lmos:LMOSLCC7179_2665
ko:K05878	lmos:LMOSLCC7179_2667
ko:K05879	lmos:LMOSLCC7179_2668
ko:K06187	lmos:LMOSLCC7179_2674
ko:K09747	lmos:LMOSLCC7179_2675
ko:K02343	lmos:LMOSLCC7179_2676
ko:K02761	lmos:LMOSLCC7179_2680
ko:K02356	lmos:LMOSLCC7179_1325
ko:K02160	lmos:LMOSLCC7179_1326
ko:K01961	lmos:LMOSLCC7179_1327
ko:K03625	lmos:LMOSLCC7179_1329
ko:K01491	lmos:LMOSLCC7179_1330
ko:K03601	lmos:LMOSLCC7179_1331
ko:K03602	lmos:LMOSLCC7179_1332
ko:K13789	lmos:LMOSLCC7179_1333
ko:K03704	lmos:LMOSLCC7179_1334
ko:K01662	lmos:LMOSLCC7179_1335
ko:K06442	lmos:LMOSLCC7179_1336
ko:K03402	lmos:LMOSLCC7179_1337
ko:K03631	lmos:LMOSLCC7179_1338
ko:K00382	lmos:LMOSLCC7179_1341
ko:K00166	lmos:LMOSLCC7179_1342
ko:K00167	lmos:LMOSLCC7179_1343
ko:K09699	lmos:LMOSLCC7179_1344
ko:K03217	lmos:LMOSLCC7179_1351
ko:K01512	lmos:LMOSLCC7179_1352
ko:K02221	lmos:LMOSLCC7179_2001
ko:K09772	lmos:LMOSLCC7179_2002
ko:K06997	lmos:LMOSLCC7179_2003
ko:K03531	lmos:LMOSLCC7179_2004
ko:K03590	lmos:LMOSLCC7179_2005
ko:K03589	lmos:LMOSLCC7179_2006
ko:K02563	lmos:LMOSLCC7179_2007
ko:K01925	lmos:LMOSLCC7179_2008
ko:K01000	lmos:LMOSLCC7179_2009
ko:K01928	lmos:LMOSLCC7179_2010
ko:K03438	lmos:LMOSLCC7179_2013
ko:K03925	lmos:LMOSLCC7179_2014
ko:K00077	lmos:LMOSLCC7179_2017
ko:K02911	lmos:LMOSLCC7179_2018
ko:K07040	lmos:LMOSLCC7179_2019
ko:K03664	lmos:LMOSLCC7179_2360
ko:K12573	lmos:LMOSLCC7179_2361
ko:K03928	lmos:LMOSLCC7179_2362
ko:K03075	lmos:LMOSLCC7179_2363
ko:K01689	lmos:LMOSLCC7179_2366
ko:K15633	lmos:LMOSLCC7179_2367
ko:K01803	lmos:LMOSLCC7179_2368
ko:K00927	lmos:LMOSLCC7179_2369
ko:K00134	lmos:LMOSLCC7179_2370
ko:K05311	lmos:LMOSLCC7179_2371
ko:K03092	lmos:LMOSLCC7179_2372
ko:K01273	lmos:LMOSLCC7179_2373
ko:K01223	lmos:LMOSLCC7179_2733
ko:K02760	lmos:LMOSLCC7179_2734
ko:K02761	lmos:LMOSLCC7179_2735
ko:K02759	lmos:LMOSLCC7179_2737
ko:K01919	lmos:LMOSLCC7179_2743
ko:K01223	lmos:LMOSLCC7179_2744
ko:K06942	lmos:LMOSLCC7179_2750
ko:K02759	lmos:LMOSLCC7179_2751
ko:K05349	lmos:LMOSLCC7179_2752
ko:K02760	lmos:LMOSLCC7179_2753
ko:K02761	lmos:LMOSLCC7179_2754
ko:K03781	lmos:LMOSLCC7179_2756
ko:K02357	lmos:LMOSLCC7179_1631
ko:K02967	lmos:LMOSLCC7179_1632
ko:K01869	lmos:LMOSLCC7179_1633
ko:K07139	lmos:LMOSLCC7179_1634
ko:K01953	lmos:LMOSLCC7179_1636
ko:K00789	lmos:LMOSLCC7179_1637
ko:K08998	lmos:LMOSLCC7179_1643
ko:K01911	lmos:LMOSLCC7179_1645
ko:K01661	lmos:LMOSLCC7179_1646
ko:K02551	lmos:LMOSLCC7179_1648
ko:K02548	lmos:LMOSLCC7179_1650
ko:K00549	lmos:LMOSLCC7179_1654
ko:K02013	lmos:LMOSLCC7179_2160
ko:K02015	lmos:LMOSLCC7179_2161
ko:K02016	lmos:LMOSLCC7179_2162
ko:K08602	lmos:LMOSLCC7179_2166
ko:K15581	lmos:LMOSLCC7179_2173
ko:K15580	lmos:LMOSLCC7179_2174
ko:K01867	lmos:LMOSLCC7179_2176
ko:K09458	lmos:LMOSLCC7179_2179
ko:K00648	lmos:LMOSLCC7179_2180
ko:K07146	lmos:LMOSLCC7179_1355
ko:K03466	lmos:LMOSLCC7179_1357
ko:K00286	lmos:LMOSLCC7179_1358
ko:K07335	lmos:LMOSLCC7179_1360
ko:K02057	lmos:LMOSLCC7179_1362
ko:K02057	lmos:LMOSLCC7179_1363
ko:K00995	lmos:LMOSLCC7179_1368
ko:K03823	lmos:LMOSLCC7179_1372
ko:K09769	lmos:LMOSLCC7179_1373
ko:K03555	lmos:LMOSLCC7179_1375
ko:K03572	lmos:LMOSLCC7179_1376
ko:K00656	lmos:LMOSLCC7179_1378
ko:K04069	lmos:LMOSLCC7179_1379
ko:K07727	lmos:LMOSLCC7179_1383
ko:K00075	lmos:LMOSLCC7179_1392
ko:K05847	lmos:LMOSLCC7179_1393
ko:K03322	lmos:LMOSLCC7179_1396
ko:K05846	lmos:LMOSLCC7179_1397
ko:K05845	lmos:LMOSLCC7179_1398
ko:K05846	lmos:LMOSLCC7179_1399
ko:K00954	lmos:LMOSLCC7179_2023
ko:K02259	lmos:LMOSLCC7179_2029
ko:K10716	lmos:LMOSLCC7179_2030
ko:K14166	lmos:LMOSLCC7179_2033
ko:K03282	lmos:LMOSLCC7179_2035
ko:K01442	lmos:LMOSLCC7179_2038
ko:K04077	lmos:LMOSLCC7179_2039
ko:K04078	lmos:LMOSLCC7179_2040
ko:K01926	lmos:LMOSLCC7179_2044
ko:K06158	lmos:LMOSLCC7179_2045
ko:K01358	lmos:LMOSLCC7179_2379
ko:K06958	lmos:LMOSLCC7179_2385
ko:K00384	lmos:LMOSLCC7179_2389
ko:K06019	lmos:LMOSLCC7179_2392
ko:K13292	lmos:LMOSLCC7179_2393
ko:K08972	lmos:LMOSLCC7179_2395
ko:K03701	lmos:LMOSLCC7179_2399
ko:K03702	lmos:LMOSLCC7179_2400
ko:K03501	lmos:LMOSLCC7179_2773
ko:K03495	lmos:LMOSLCC7179_2780
ko:K02025	lmos:LMOSLCC7179_0837
ko:K01226	lmos:LMOSLCC7179_0839
ko:K09167	lmos:LMOSLCC7179_0860
ko:K08981	lmos:LMOSLCC7179_0861
ko:K07315	lmos:LMOSLCC7179_0870
ko:K03090	lmos:LMOSLCC7179_0873
ko:K05518	lmos:LMOSLCC7179_0874
ko:K03095	lmos:LMOSLCC7179_0877
ko:K02851	lmos:LMOSLCC7179_0939
ko:K01222	lmos:LMOSLCC7179_0496
ko:K01222	lmos:LMOSLCC7179_0511
ko:K01635	lmos:LMOSLCC7179_0514
ko:K02782	lmos:LMOSLCC7179_0519
ko:K02783	lmos:LMOSLCC7179_0519
ko:K02783	lmos:LMOSLCC7179_0520
ko:K07404	lmos:LMOSLCC7179_0534
ko:K01523	lmos:LMOSLCC7179_0537
ko:K07098	lmos:LMOSLCC7179_0740
ko:K09704	lmos:LMOSLCC7179_0742
ko:K02795	lmos:LMOSLCC7179_0759
ko:K02793	lmos:LMOSLCC7179_0761
ko:K03976	lmos:LMOSLCC7179_0767
ko:K03316	lmos:LMOSLCC7179_0780
ko:K01759	lmos:LMOSLCC7179_0394
ko:K07729	lmos:LMOSLCC7179_0404
ko:K07457	lmos:LMOSLCC7179_0635
ko:K00575	lmos:LMOSLCC7179_0663
ko:K01081	lmos:LMOSLCC7179_0297
ko:K01507	lmos:LMOSLCC7179_0325
ko:K00616	lmos:LMOSLCC7179_0329
ko:K00016	lmos:LMOSLCC7179_0204
ko:K03708	lmos:LMOSLCC7179_0224
ko:K09698	lmos:LMOSLCC7179_0232
ko:K01496	lmos:LMOSLCC7179_0538
ko:K03492	lmos:LMOSLCC7179_0551
ko:K07030	lmos:LMOSLCC7179_0566
ko:K06147	lmos:LMOSLCC7179_0583
ko:K06147	lmos:LMOSLCC7179_0584
ko:K07045	lmos:LMOSLCC7179_0847
ko:K11072	lmos:LMOSLCC7179_0784
ko:K11071	lmos:LMOSLCC7179_0785
ko:K11069	lmos:LMOSLCC7179_0787
ko:K01674	lmos:LMOSLCC7179_0788
ko:K02371	lmos:LMOSLCC7179_0791
ko:K00054	lmos:LMOSLCC7179_0803
ko:K06147	lmos:LMOSLCC7179_0813
ko:K07784	lmos:LMOSLCC7179_0814
ko:K01426	lmos:LMOSLCC7179_0825
ko:K00657	lmos:LMOSLCC7179_0009
ko:K00869	lmos:LMOSLCC7179_0011
ko:K00938	lmos:LMOSLCC7179_0012
ko:K02793	lmos:LMOSLCC7179_0021
ko:K02795	lmos:LMOSLCC7179_0023
ko:K06201	lmos:LMOSLCC7179_0026
ko:K02755	lmos:LMOSLCC7179_0027
ko:K02756	lmos:LMOSLCC7179_0027
ko:K02757	lmos:LMOSLCC7179_0027
ko:K01478	lmos:LMOSLCC7179_0049
ko:K07706	lmos:LMOSLCC7179_0056
ko:K02793	lmos:LMOSLCC7179_0094
ko:K02794	lmos:LMOSLCC7179_0094
ko:K02795	lmos:LMOSLCC7179_0095
ko:K10254	lmos:LMOSLCC7179_0453
ko:K02775	lmos:LMOSLCC7179_0481
ko:K00158	lmos:LMOSLCC7179_0702
ko:K03406	lmos:LMOSLCC7179_0703
ko:K02755	lmos:LMOSLCC7179_0717
ko:K02756	lmos:LMOSLCC7179_0717
ko:K02757	lmos:LMOSLCC7179_0717
ko:K07729	lmos:LMOSLCC7179_0727
ko:K00564	lmos:LMOSLCC7179_0247
ko:K01439	lmos:LMOSLCC7179_0257
ko:K08969	lmos:LMOSLCC7179_0279
ko:K07668	lmos:LMOSLCC7179_0280
ko:K07652	lmos:LMOSLCC7179_0281
ko:K03491	lmos:LMOSLCC7179_0290
ko:K05937	lmos:LMOSLCC7179_0375
ko:K15524	lmos:LMOSLCC7179_0389
ko:K00244	lmos:LMOSLCC7179_0341
ko:K16644	lmos:LMOSLCC7179_0198
ko:K06147	lmos:LMOSLCC7179_0105
ko:K06147	lmos:LMOSLCC7179_0106
ko:K01081	lmos:LMOSLCC7179_0128
ko:K00088	lmos:LMOSLCC7179_0130
ko:K02035	lmos:LMOSLCC7179_0133
ko:K02033	lmos:LMOSLCC7179_0134
ko:K02035	lmos:LMOSLCC7179_0146
ko:K09815	lmos:LMOSLCC7179_0147
ko:K15770	lmos:LMOSLCC7179_2101
ko:K07025	lmos:LMOSLCC7179_0611
ko:K03294	lmos:LMOSLCC7179_0622
ko:K07104	lmos:LMOSLCC7179_0623
ko:K02004	lmos:LMOSLCC7179_0189
ko:K01771	lmos:LMOSLCC7179_0195
ko:K11031	lmos:LMOSLCC7179_0196
ko:K01182	lmos:LMOSLCC7179_0178
ko:K03478	lmos:LMOSLCC7179_0185
ko:K09685	lmos:LMOSLCC7179_0186
ko:K02005	lmos:LMOSLCC7179_0187
ko:K02017	lmos:LMOSLCC7179_1020
ko:K03635	lmos:LMOSLCC7179_1025
ko:K02004	lmos:LMOSLCC7179_1043
ko:K01092	lmos:LMOSLCC7179_1047
ko:K01958	lmos:LMOSLCC7179_1053
ko:K09693	lmos:LMOSLCC7179_1056
ko:K01258	lmos:LMOSLCC7179_1752
ko:K01104	lmos:LMOSLCC7179_1773
ko:K09787	lmos:LMOSLCC7179_1775
ko:K00059	lmos:LMOSLCC7179_1780
ko:K07030	lmos:LMOSLCC7179_1787
ko:K07027	lmos:LMOSLCC7179_2465
ko:K03048	lmos:LMOSLCC7179_2472
ko:K02035	lmos:LMOSLCC7179_2481
ko:K02004	lmos:LMOSLCC7179_2494
ko:K07483	lmos:LMOSLCC7179_0637
ko:K13730	lmos:LMOSLCC7179_0422
ko:K13731	lmos:LMOSLCC7179_0423
ko:K00016	lmos:LMOSLCC7179_1507
ko:K04518	lmos:LMOSLCC7179_1509
ko:K07584	lmos:LMOSLCC7179_1514
ko:K02236	lmos:LMOSLCC7179_1523
ko:K01719	lmos:LMOSLCC7179_1529
ko:K11144	lmos:LMOSLCC7179_1534
ko:K03346	lmos:LMOSLCC7179_1535
ko:K10563	lmos:LMOSLCC7179_1538
ko:K07533	lmos:LMOSLCC7179_2197
ko:K03698	lmos:LMOSLCC7179_2198
ko:K01679	lmos:LMOSLCC7179_2203
ko:K12555	lmos:LMOSLCC7179_2207
ko:K06889	lmos:LMOSLCC7179_2239
ko:K01439	lmos:LMOSLCC7179_1594
ko:K07570	lmos:LMOSLCC7179_2284
ko:K02004	lmos:LMOSLCC7179_2286
ko:K03768	lmos:LMOSLCC7179_2291
ko:K05565	lmos:LMOSLCC7179_2294
ko:K05568	lmos:LMOSLCC7179_2297
ko:K05570	lmos:LMOSLCC7179_2299
ko:K00657	lmos:LMOSLCC7179_2315
ko:K02238	lmos:LMOSLCC7179_1455
ko:K06948	lmos:LMOSLCC7179_1464
ko:K01243	lmos:LMOSLCC7179_1467
