ko:K18929	hpn:HPIN_00665
ko:K01679	hpn:HPIN_06970
ko:K02238	hpn:HPIN_07150
ko:K04517	hpn:HPIN_07250
ko:K03279	hpn:HPIN_07330
ko:K02342	hpn:HPIN_07365
ko:K07316	hpn:HPIN_07505
ko:K01156	hpn:HPIN_07515
ko:K02004	hpn:HPIN_02665
ko:K06603	hpn:HPIN_02870
ko:K00769	hpn:HPIN_02960
ko:K07126	hpn:HPIN_01050
ko:K06196	hpn:HPIN_01195
ko:K07098	hpn:HPIN_01880
ko:K01262	hpn:HPIN_01915
ko:K03711	hpn:HPIN_01965
ko:K13640	hpn:HPIN_01975
ko:K00076	hpn:HPIN_02030
ko:K01719	hpn:HPIN_06455
ko:K01455	hpn:HPIN_06535
ko:K04093	hpn:HPIN_01325
ko:K03342	hpn:HPIN_01335
ko:K01916	hpn:HPIN_01505
ko:K03784	hpn:HPIN_05875
ko:K03317	hpn:HPIN_05885
ko:K03593	hpn:HPIN_05930
ko:K03455	hpn:HPIN_02105
ko:K02017	hpn:HPIN_02130
ko:K01885	hpn:HPIN_02135
ko:K00949	hpn:HPIN_06800
ko:K11085	hpn:HPIN_01685
ko:K00244	hpn:HPIN_06180
ko:K00245	hpn:HPIN_06185
ko:K14235	hpn:HPIN_t08488
ko:K14232	hpn:HPIN_t08478
ko:K00059	hpn:HPIN_04070
ko:K14219	hpn:HPIN_t08472
ko:K07126	hpn:HPIN_04305
ko:K08077	hpn:HPIN_04370
ko:K16052	hpn:HPIN_05120
ko:K14224	hpn:HPIN_t08432
ko:K14221	hpn:HPIN_t08434
ko:K14237	hpn:HPIN_t08436
ko:K14224	hpn:HPIN_t08438
ko:K14229	hpn:HPIN_t08440
ko:K14237	hpn:HPIN_t08442
ko:K14220	hpn:HPIN_t08446
ko:K14219	hpn:HPIN_t08450
ko:K14233	hpn:HPIN_t08452
ko:K14232	hpn:HPIN_t08454
ko:K14219	hpn:HPIN_t08456
ko:K14230	hpn:HPIN_t08458
ko:K14230	hpn:HPIN_t08460
ko:K14223	hpn:HPIN_t08462
ko:K14225	hpn:HPIN_t08464
ko:K14228	hpn:HPIN_t08466
ko:K14222	hpn:HPIN_t08468
ko:K01985	hpn:HPIN_r08504
ko:K01985	hpn:HPIN_r08506
ko:K14228	hpn:HPIN_t08480
ko:K14227	hpn:HPIN_t08482
ko:K01424	hpn:HPIN_03025
ko:K00626	hpn:HPIN_03195
ko:K13016	hpn:HPIN_03255
ko:K00567	hpn:HPIN_03265
ko:K04763	hpn:HPIN_03270
ko:K00616	hpn:HPIN_07635
ko:K02242	hpn:HPIN_07745
ko:K02067	hpn:HPIN_07795
ko:K04652	hpn:HPIN_04580
ko:K02014	hpn:HPIN_04665
ko:K03279	hpn:HPIN_00775
ko:K07126	hpn:HPIN_00780
ko:K07126	hpn:HPIN_00920
ko:K01439	hpn:HPIN_00925
ko:K06910	hpn:HPIN_00950
ko:K01784	hpn:HPIN_05395
ko:K07126	hpn:HPIN_05415
ko:K00845	hpn:HPIN_05440
ko:K07126	hpn:HPIN_05535
ko:K02029	hpn:HPIN_05820
ko:K04655	hpn:HPIN_00210
ko:K14048	hpn:HPIN_00330
ko:K03406	hpn:HPIN_00380
ko:K03743	hpn:HPIN_04860
ko:K06179	hpn:HPIN_04885
ko:K03442	hpn:HPIN_05000
ko:K03469	hpn:HPIN_03335
ko:K01885	hpn:HPIN_03425
ko:K07126	hpn:HPIN_03510
ko:K00674	hpn:HPIN_03515
ko:K06346	hpn:HPIN_07865
ko:K03768	hpn:HPIN_07915
ko:K01507	hpn:HPIN_03550
ko:K00939	hpn:HPIN_03575
ko:K01992	hpn:HPIN_03610
ko:K01992	hpn:HPIN_03615
ko:K07457	hpn:HPIN_03655
ko:K00652	hpn:HPIN_03680
ko:K07316	hpn:HPIN_03705
ko:K01156	hpn:HPIN_03710
ko:K03386	hpn:HPIN_08290
ko:K01409	hpn:HPIN_08390
ko:K03406	hpn:HPIN_00475
ko:K03406	hpn:HPIN_00495
ko:K01119	hpn:HPIN_00505
ko:K01585	hpn:HPIN_05085
ko:K00058	hpn:HPIN_05210
ko:K06013	hpn:HPIN_05285
ko:K03196	hpn:HPIN_03835
ko:K11028	hpn:HPIN_04490
ko:K15847	hpn:HPIN_04555
ko:K12086	hpn:HPIN_04300
ko:K12088	hpn:HPIN_04290
ko:K12089	hpn:HPIN_04285
ko:K12090	hpn:HPIN_04280
ko:K12092	hpn:HPIN_04260
ko:K12094	hpn:HPIN_04245
ko:K12095	hpn:HPIN_04240
ko:K12096	hpn:HPIN_04235
ko:K12097	hpn:HPIN_04230
ko:K12098	hpn:HPIN_04225
ko:K12099	hpn:HPIN_04215
ko:K12101	hpn:HPIN_04200
ko:K15842	hpn:HPIN_04145
ko:K12102	hpn:HPIN_04195
ko:K12103	hpn:HPIN_04190
ko:K12104	hpn:HPIN_04185
ko:K12105	hpn:HPIN_04180
ko:K12106	hpn:HPIN_04175
ko:K12107	hpn:HPIN_04170
ko:K12108	hpn:HPIN_04165
ko:K12109	hpn:HPIN_04160
ko:K12110	hpn:HPIN_04155
ko:K15848	hpn:HPIN_03015
ko:K15848	hpn:HPIN_03030
ko:K15843	hpn:HPIN_04645
ko:K15844	hpn:HPIN_04650
ko:K03196	hpn:HPIN_08040
ko:K12091	hpn:HPIN_04270
ko:K12087	hpn:HPIN_04295
ko:K15845	hpn:HPIN_00035
ko:K10009	hpn:HPIN_04795
ko:K00970	hpn:HPIN_03445
ko:K03321	hpn:HPIN_01005
ko:K12369	hpn:HPIN_01365
ko:K01426	hpn:HPIN_01340
ko:K12371	hpn:HPIN_01375
ko:K01155	hpn:HPIN_00435
ko:K02424	hpn:HPIN_04800
ko:K12048	hpn:HPIN_03855
ko:K12049	hpn:HPIN_03860
ko:K12050	hpn:HPIN_03865
ko:K07318	hpn:HPIN_06370
ko:K03559	hpn:HPIN_05600
ko:K03559	hpn:HPIN_07050
ko:K09477	hpn:HPIN_00690
ko:K12049	hpn:HPIN_00180
ko:K12977	hpn:HPIN_00095
ko:K12048	hpn:HPIN_00185
ko:K12052	hpn:HPIN_00170
ko:K12050	hpn:HPIN_00175
ko:K03191	hpn:HPIN_00315
ko:K13797	hpn:HPIN_06305
ko:K15895	hpn:HPIN_05370
ko:K15896	hpn:HPIN_01495
ko:K02003	hpn:HPIN_06245
ko:K11782	hpn:HPIN_02705
ko:K01738	hpn:HPIN_00520
ko:K01760	hpn:HPIN_00515
ko:K07316	hpn:HPIN_07510
ko:K01990	hpn:HPIN_06435
ko:K17103	hpn:HPIN_01740
ko:K03559	hpn:HPIN_07890
ko:K02484	hpn:HPIN_07165
ko:K02484	hpn:HPIN_00795
ko:K02847	hpn:HPIN_01905
ko:K01992	hpn:HPIN_07675
ko:K12053	hpn:HPIN_00075
ko:K12053	hpn:HPIN_03875
ko:K17686	hpn:HPIN_07595
ko:K17686	hpn:HPIN_01735
ko:K01155	hpn:HPIN_01180
ko:K05540	hpn:HPIN_03005
ko:K01658	hpn:HPIN_06755
ko:K11928	hpn:HPIN_00240
ko:K12574	hpn:HPIN_07990
ko:K01156	hpn:HPIN_07265
ko:K00971	hpn:HPIN_00190
ko:K00290	hpn:HPIN_07575
ko:K01497	hpn:HPIN_02590
ko:K00254	hpn:HPIN_02045
ko:K06148	hpn:HPIN_06360
ko:K05922	hpn:HPIN_03485
ko:K05927	hpn:HPIN_03490
ko:K00104	hpn:HPIN_04360
ko:K03605	hpn:HPIN_03475
ko:K05366	hpn:HPIN_03685
ko:K11784	hpn:HPIN_03360
ko:K07501	hpn:HPIN_03200
ko:K01156	hpn:HPIN_03905
ko:K11785	hpn:HPIN_00740
ko:K18284	hpn:HPIN_00420
ko:K18285	hpn:HPIN_03370
ko:K16235	hpn:HPIN_02010
ko:K18480	hpn:HPIN_07800
ko:K00681	hpn:HPIN_05545
ko:K12102	hpn:HPIN_05035
ko:K18930	hpn:HPIN_06445
ko:K03497	hpn:HPIN_05645
ko:K03496	hpn:HPIN_05650
ko:K03111	hpn:HPIN_06580
ko:K03205	hpn:HPIN_03825
ko:K03496	hpn:HPIN_08125
ko:K03196	hpn:HPIN_04275
ko:K03761	hpn:HPIN_01630
ko:K00335	hpn:HPIN_06680
ko:K02483	hpn:HPIN_00800
ko:K03526	hpn:HPIN_03520
ko:K02483	hpn:HPIN_07170
ko:K03296	hpn:HPIN_03630
ko:K00336	hpn:HPIN_06685
ko:K07448	hpn:HPIN_01695
ko:K19157	hpn:HPIN_04535
ko:K19157	hpn:HPIN_08155
ko:K00571	hpn:HPIN_00225
ko:K00571	hpn:HPIN_00440
ko:K00571	hpn:HPIN_01185
ko:K00571	hpn:HPIN_07180
ko:K00525	hpn:HPIN_03250
ko:K00020	hpn:HPIN_03435
ko:K07317	hpn:HPIN_04630
ko:K04771	hpn:HPIN_02005
ko:K01992	hpn:HPIN_07680
ko:K19416	hpn:HPIN_04685
ko:K12052	hpn:HPIN_03760
ko:K20810	hpn:HPIN_01205
ko:K20151	hpn:HPIN_03385
ko:K07100	hpn:HPIN_06395
ko:K02335	hpn:HPIN_07760
ko:K02335	hpn:HPIN_01990
ko:K02316	hpn:HPIN_00050
ko:K06223	hpn:HPIN_02165
ko:K00558	hpn:HPIN_02175
ko:K01520	hpn:HPIN_02290
ko:K03553	hpn:HPIN_00745
ko:K00558	hpn:HPIN_01605
ko:K00558	hpn:HPIN_07615
ko:K00558	hpn:HPIN_05560
ko:K14059	hpn:HPIN_06000
ko:K02316	hpn:HPIN_06030
ko:K02314	hpn:HPIN_07155
ko:K03465	hpn:HPIN_07455
ko:K00526	hpn:HPIN_05375
ko:K02481	hpn:HPIN_03125
ko:K01139	hpn:HPIN_02720
ko:K07097	hpn:HPIN_01890
ko:K02483	hpn:HPIN_01885
ko:K10026	hpn:HPIN_04750
ko:K21929	hpn:HPIN_03390
ko:K22278	hpn:HPIN_01420
ko:K14441	hpn:HPIN_02965
ko:K22391	hpn:HPIN_04900
ko:K17758	hpn:HPIN_07160
ko:K17759	hpn:HPIN_07160
ko:K00590	hpn:HPIN_07185
ko:K00590	hpn:HPIN_03210
ko:K01007	hpn:HPIN_00580
