ko:K18928	btd:BTI_4410
ko:K02424	btd:BTI_1006
ko:K01057	btd:BTI_1009
ko:K00036	btd:BTI_1010
ko:K00384	btd:BTI_1016
ko:K03466	btd:BTI_1017
ko:K03634	btd:BTI_1018
ko:K07478	btd:BTI_1019
ko:K01875	btd:BTI_1021
ko:K03610	btd:BTI_1026
ko:K03609	btd:BTI_1027
ko:K03608	btd:BTI_1028
ko:K02841	btd:BTI_1032
ko:K03832	btd:BTI_1035
ko:K00989	btd:BTI_1042
ko:K00942	btd:BTI_1044
ko:K03060	btd:BTI_1045
ko:K04760	btd:BTI_1049
ko:K03704	btd:BTI_1052
ko:K10544	btd:BTI_1872
ko:K02057	btd:BTI_1875
ko:K02057	btd:BTI_1876
ko:K01991	btd:BTI_1880
ko:K16692	btd:BTI_1882
ko:K01953	btd:BTI_1883
ko:K03208	btd:BTI_1894
ko:K02377	btd:BTI_1898
ko:K03229	btd:BTI_1908
ko:K03228	btd:BTI_1909
ko:K03226	btd:BTI_1911
ko:K03225	btd:BTI_1912
ko:K03224	btd:BTI_1915
ko:K03230	btd:BTI_1916
ko:K03219	btd:BTI_1921
ko:K03220	btd:BTI_1922
ko:K10773	btd:BTI_2733
ko:K09989	btd:BTI_2739
ko:K05782	btd:BTI_2740
ko:K03181	btd:BTI_2748
ko:K04079	btd:BTI_2749
ko:K05825	btd:BTI_2753
ko:K07240	btd:BTI_2757
ko:K06016	btd:BTI_2759
ko:K02621	btd:BTI_2765
ko:K02622	btd:BTI_2766
ko:K15738	btd:BTI_2767
ko:K07262	btd:BTI_2781
ko:K08276	btd:BTI_2782
ko:K01737	btd:BTI_3580
ko:K06920	btd:BTI_3582
ko:K03500	btd:BTI_3587
ko:K03799	btd:BTI_3588
ko:K00604	btd:BTI_3590
ko:K01462	btd:BTI_3591
ko:K04096	btd:BTI_3592
ko:K03607	btd:BTI_3604
ko:K07282	btd:BTI_3609
ko:K00941	btd:BTI_3615
ko:K03758	btd:BTI_3622
ko:K03798	btd:BTI_3624
ko:K02624	btd:BTI_4452
ko:K03762	btd:BTI_4454
ko:K10013	btd:BTI_4457
ko:K06987	btd:BTI_4459
ko:K02073	btd:BTI_4460
ko:K05879	btd:BTI_4464
ko:K05878	btd:BTI_4465
ko:K01808	btd:BTI_4471
ko:K06966	btd:BTI_4474
ko:K02053	btd:BTI_4475
ko:K02053	btd:BTI_4478
ko:K16087	btd:BTI_4481
ko:K07225	btd:BTI_4482
ko:K02016	btd:BTI_4483
ko:K02015	btd:BTI_4484
ko:K02013	btd:BTI_4485
ko:K05366	btd:BTI_4487
ko:K05596	btd:BTI_4488
ko:K01620	btd:BTI_4489
ko:K00425	btd:BTI_4490
ko:K00426	btd:BTI_4491
ko:K02204	btd:BTI_5210
ko:K01241	btd:BTI_5212
ko:K06966	btd:BTI_5214
ko:K03885	btd:BTI_5216
ko:K01061	btd:BTI_5218
ko:K03602	btd:BTI_5221
ko:K00795	btd:BTI_5222
ko:K01662	btd:BTI_5223
ko:K08194	btd:BTI_4388
ko:K09007	btd:BTI_5224
ko:K07007	btd:BTI_5226
ko:K02970	btd:BTI_5227
ko:K09117	btd:BTI_5228
ko:K03086	btd:BTI_5230
ko:K03119	btd:BTI_5641
ko:K04127	btd:BTI_5642
ko:K01126	btd:BTI_404
ko:K07275	btd:BTI_405
ko:K00266	btd:BTI_409
ko:K03310	btd:BTI_410
ko:K01975	btd:BTI_411
ko:K00285	btd:BTI_412
ko:K02471	btd:BTI_415
ko:K03154	btd:BTI_417
ko:K03149	btd:BTI_418
ko:K00788	btd:BTI_419
ko:K02065	btd:BTI_420
ko:K02066	btd:BTI_421
ko:K04754	btd:BTI_423
ko:K07323	btd:BTI_424
ko:K07122	btd:BTI_425
ko:K00790	btd:BTI_429
ko:K00765	btd:BTI_430
ko:K00013	btd:BTI_431
ko:K00817	btd:BTI_432
ko:K01693	btd:BTI_433
ko:K02501	btd:BTI_435
ko:K01814	btd:BTI_436
ko:K02500	btd:BTI_437
ko:K02503	btd:BTI_441
ko:K03116	btd:BTI_442
ko:K03117	btd:BTI_443
ko:K03118	btd:BTI_444
ko:K00411	btd:BTI_447
ko:K00413	btd:BTI_449
ko:K03599	btd:BTI_450
ko:K03600	btd:BTI_451
ko:K00459	btd:BTI_1272
ko:K08303	btd:BTI_1273
ko:K04561	btd:BTI_1283
ko:K00496	btd:BTI_1284
ko:K01669	btd:BTI_1285
ko:K00860	btd:BTI_1286
ko:K06133	btd:BTI_1289
ko:K01745	btd:BTI_1290
ko:K05836	btd:BTI_1291
ko:K01712	btd:BTI_1292
ko:K09975	btd:BTI_1293
ko:K01468	btd:BTI_1294
ko:K07010	btd:BTI_1297
ko:K01915	btd:BTI_1298
ko:K12256	btd:BTI_1299
ko:K14682	btd:BTI_1308
ko:K03578	btd:BTI_1309
ko:K01915	btd:BTI_1315
ko:K07708	btd:BTI_1316
ko:K07712	btd:BTI_1317
ko:K01142	btd:BTI_1318
ko:K07673	btd:BTI_1321
ko:K00373	btd:BTI_1323
ko:K00371	btd:BTI_1324
ko:K00684	btd:BTI_2144
ko:K02424	btd:BTI_2147
ko:K10009	btd:BTI_2148
ko:K01807	btd:BTI_2151
ko:K11066	btd:BTI_2152
ko:K03218	btd:BTI_2153
ko:K12573	btd:BTI_2154
ko:K07733	btd:BTI_2164
ko:K12055	btd:BTI_2165
ko:K09823	btd:BTI_2996
ko:K01070	btd:BTI_3000
ko:K03585	btd:BTI_3007
ko:K03577	btd:BTI_3008
ko:K07259	btd:BTI_3015
ko:K07566	btd:BTI_3018
ko:K01589	btd:BTI_3019
ko:K01588	btd:BTI_3020
ko:K01923	btd:BTI_3021
ko:K01624	btd:BTI_3022
ko:K00873	btd:BTI_3023
ko:K00927	btd:BTI_3024
ko:K00826	btd:BTI_3027
ko:K03637	btd:BTI_3034
ko:K03832	btd:BTI_3035
ko:K01902	btd:BTI_3040
ko:K01903	btd:BTI_3041
ko:K03565	btd:BTI_3043
ko:K12990	btd:BTI_3855
ko:K02167	btd:BTI_3859
ko:K08369	btd:BTI_3863
ko:K07675	btd:BTI_3864
ko:K01633	btd:BTI_3871
ko:K00305	btd:BTI_3872
ko:K00303	btd:BTI_3875
ko:K01752	btd:BTI_3876
ko:K09915	btd:BTI_3878
ko:K01053	btd:BTI_4717
ko:K05596	btd:BTI_4722
ko:K06895	btd:BTI_4723
ko:K09930	btd:BTI_4727
ko:K01574	btd:BTI_4738
ko:K00019	btd:BTI_4739
ko:K07001	btd:BTI_4740
ko:K16135	btd:BTI_4743
ko:K07246	btd:BTI_4744
ko:K09958	btd:BTI_4746
ko:K00060	btd:BTI_4752
ko:K03088	btd:BTI_4763
ko:K03410	btd:BTI_4767
ko:K11900	btd:BTI_5346
ko:K11903	btd:BTI_5347
ko:K11897	btd:BTI_5348
ko:K11896	btd:BTI_5349
ko:K11895	btd:BTI_5350
ko:K11907	btd:BTI_5351
ko:K12990	btd:BTI_5368
ko:K02011	btd:BTI_5776
ko:K02012	btd:BTI_5777
ko:K16301	btd:BTI_5778
ko:K07267	btd:BTI_5780
ko:K03322	btd:BTI_5788
ko:K01531	btd:BTI_5793
ko:K14645	btd:BTI_5795
ko:K15977	btd:BTI_5799
ko:K01625	btd:BTI_678
ko:K01756	btd:BTI_681
ko:K02575	btd:BTI_682
ko:K00261	btd:BTI_684
ko:K10001	btd:BTI_685
ko:K10003	btd:BTI_686
ko:K10002	btd:BTI_687
ko:K10004	btd:BTI_688
ko:K01465	btd:BTI_690
ko:K07397	btd:BTI_692
ko:K02871	btd:BTI_693
ko:K02996	btd:BTI_694
ko:K15724	btd:BTI_695
ko:K09001	btd:BTI_699
ko:K01866	btd:BTI_700
ko:K07560	btd:BTI_701
ko:K03551	btd:BTI_705
ko:K03550	btd:BTI_706
ko:K01159	btd:BTI_707
ko:K00602	btd:BTI_708
ko:K03557	btd:BTI_709
ko:K03185	btd:BTI_711
ko:K00566	btd:BTI_718
ko:K00324	btd:BTI_720
ko:K00324	btd:BTI_721
ko:K00325	btd:BTI_722
ko:K06996	btd:BTI_724
ko:K07444	btd:BTI_726
ko:K09857	btd:BTI_728
ko:K06192	btd:BTI_729
ko:K01770	btd:BTI_1540
ko:K04756	btd:BTI_1541
ko:K07638	btd:BTI_1543
ko:K07659	btd:BTI_1544
ko:K02291	btd:BTI_1549
ko:K00428	btd:BTI_2413
ko:K00209	btd:BTI_2416
ko:K07687	btd:BTI_2417
ko:K07347	btd:BTI_2420
ko:K07018	btd:BTI_2430
ko:K08369	btd:BTI_2435
ko:K01644	btd:BTI_2436
ko:K03322	btd:BTI_2437
ko:K03928	btd:BTI_2438
ko:K03762	btd:BTI_2447
ko:K06153	btd:BTI_2450
ko:K01895	btd:BTI_2454
ko:K03327	btd:BTI_2456
ko:K08296	btd:BTI_2460
ko:K01524	btd:BTI_2466
ko:K02073	btd:BTI_3267
ko:K07152	btd:BTI_3270
ko:K02259	btd:BTI_3272
ko:K02276	btd:BTI_3276
ko:K02275	btd:BTI_3280
ko:K02169	btd:BTI_3282
ko:K03216	btd:BTI_3284
ko:K00057	btd:BTI_3286
ko:K03071	btd:BTI_3287
ko:K03797	btd:BTI_3291
ko:K01920	btd:BTI_3296
ko:K01919	btd:BTI_3297
ko:K03320	btd:BTI_3298
ko:K04752	btd:BTI_3299
ko:K00950	btd:BTI_785
ko:K10763	btd:BTI_788
ko:K01933	btd:BTI_789
ko:K00791	btd:BTI_791
ko:K03572	btd:BTI_792
ko:K03975	btd:BTI_793
ko:K07266	btd:BTI_796
ko:K01991	btd:BTI_798
ko:K01711	btd:BTI_802
ko:K09689	btd:BTI_806
ko:K09688	btd:BTI_807
ko:K10107	btd:BTI_808
ko:K07265	btd:BTI_809
ko:K02535	btd:BTI_813
ko:K01991	btd:BTI_823
ko:K16692	btd:BTI_825
ko:K07265	btd:BTI_827
ko:K03819	btd:BTI_828
ko:K01627	btd:BTI_831
ko:K03270	btd:BTI_832
ko:K06041	btd:BTI_833
ko:K00963	btd:BTI_834
ko:K02403	btd:BTI_835
ko:K01608	btd:BTI_1661
ko:K02275	btd:BTI_1663
ko:K03088	btd:BTI_1665
ko:K02990	btd:BTI_1667
ko:K02686	btd:BTI_1668
ko:K02963	btd:BTI_1669
ko:K02939	btd:BTI_1670
ko:K07220	btd:BTI_1672
ko:K03306	btd:BTI_1673
ko:K07175	btd:BTI_1675
ko:K03564	btd:BTI_1676
ko:K00604	btd:BTI_1679
ko:K10012	btd:BTI_1680
ko:K14260	btd:BTI_1685
ko:K00003	btd:BTI_1686
ko:K01733	btd:BTI_1687
ko:K03750	btd:BTI_1688
ko:K03636	btd:BTI_1689
ko:K06886	btd:BTI_1691
ko:K13771	btd:BTI_1692
ko:K03695	btd:BTI_1693
ko:K00627	btd:BTI_1704
ko:K02909	btd:BTI_1706
ko:K00820	btd:BTI_2521
ko:K00375	btd:BTI_2523
ko:K07734	btd:BTI_2524
ko:K02053	btd:BTI_2536
ko:K02053	btd:BTI_2538
ko:K03147	btd:BTI_2549
ko:K04062	btd:BTI_2550
ko:K15034	btd:BTI_2554
ko:K03581	btd:BTI_2555
ko:K03582	btd:BTI_2556
ko:K03583	btd:BTI_2557
ko:K02012	btd:BTI_2561
ko:K02011	btd:BTI_2562
ko:K05800	btd:BTI_2564
ko:K07118	btd:BTI_2568
ko:K07093	btd:BTI_2571
ko:K01935	btd:BTI_3367
ko:K01012	btd:BTI_3368
ko:K04090	btd:BTI_3378
ko:K08715	btd:BTI_3379
ko:K02048	btd:BTI_3382
ko:K01714	btd:BTI_3384
ko:K01114	btd:BTI_3392
ko:K07002	btd:BTI_3393
ko:K06991	btd:BTI_3394
ko:K12972	btd:BTI_3395
ko:K01640	btd:BTI_3396
ko:K06938	btd:BTI_3398
ko:K00459	btd:BTI_3402
ko:K14347	btd:BTI_3406
ko:K00847	btd:BTI_3410
ko:K01633	btd:BTI_3415
ko:K14058	btd:BTI_3416
ko:K04042	btd:BTI_3417
ko:K00820	btd:BTI_3418
ko:K01720	btd:BTI_4236
ko:K01681	btd:BTI_4237
ko:K05998	btd:BTI_4244
ko:K02053	btd:BTI_4245
ko:K02054	btd:BTI_4246
ko:K00375	btd:BTI_4249
ko:K12262	btd:BTI_4254
ko:K06194	btd:BTI_4256
ko:K01609	btd:BTI_4269
ko:K15328	btd:BTI_4273
ko:K00646	btd:BTI_4275
ko:K15337	btd:BTI_4276
ko:K15311	btd:BTI_4278
ko:K02297	btd:BTI_5093
ko:K02298	btd:BTI_5094
ko:K02299	btd:BTI_5095
ko:K02300	btd:BTI_5096
ko:K03464	btd:BTI_5097
ko:K03381	btd:BTI_5098
ko:K02503	btd:BTI_5106
ko:K01652	btd:BTI_5111
ko:K13487	btd:BTI_5114
ko:K13488	btd:BTI_5115
ko:K13486	btd:BTI_5116
ko:K13489	btd:BTI_5117
ko:K13490	btd:BTI_5118
ko:K13491	btd:BTI_5119
ko:K03928	btd:BTI_5534
ko:K16137	btd:BTI_5536
ko:K00208	btd:BTI_5539
ko:K04064	btd:BTI_5541
ko:K00375	btd:BTI_5543
ko:K07644	btd:BTI_5545
ko:K01599	btd:BTI_169
ko:K04066	btd:BTI_170
ko:K13821	btd:BTI_172
ko:K01999	btd:BTI_173
ko:K12508	btd:BTI_174
ko:K09456	btd:BTI_175
ko:K10013	btd:BTI_178
ko:K01534	btd:BTI_182
ko:K03735	btd:BTI_190
ko:K03736	btd:BTI_191
ko:K10778	btd:BTI_192
ko:K04033	btd:BTI_196
ko:K01652	btd:BTI_198
ko:K01752	btd:BTI_199
ko:K00281	btd:BTI_201
ko:K02437	btd:BTI_202
ko:K00605	btd:BTI_203
ko:K03656	btd:BTI_208
ko:K03841	btd:BTI_1062
ko:K03576	btd:BTI_1063
ko:K00549	btd:BTI_1064
ko:K01256	btd:BTI_1065
ko:K06901	btd:BTI_1069
ko:K07402	btd:BTI_1071
ko:K03611	btd:BTI_1072
ko:K00126	btd:BTI_1078
ko:K00123	btd:BTI_1079
ko:K07733	btd:BTI_1089
ko:K00390	btd:BTI_1094
ko:K02469	btd:BTI_1104
ko:K09924	btd:BTI_1105
ko:K00831	btd:BTI_1106
ko:K14170	btd:BTI_1107
ko:K00800	btd:BTI_1108
ko:K03222	btd:BTI_1929
ko:K03221	btd:BTI_1932
ko:K08169	btd:BTI_2787
ko:K00697	btd:BTI_2790
ko:K07638	btd:BTI_2797
ko:K07659	btd:BTI_2798
ko:K06911	btd:BTI_2800
ko:K10016	btd:BTI_2802
ko:K10015	btd:BTI_2803
ko:K10017	btd:BTI_2804
ko:K04751	btd:BTI_2806
ko:K01950	btd:BTI_2807
ko:K09919	btd:BTI_2808
ko:K05349	btd:BTI_2809
ko:K07461	btd:BTI_2811
ko:K07391	btd:BTI_3301
ko:K10126	btd:BTI_3306
ko:K10125	btd:BTI_3307
ko:K11103	btd:BTI_3308
ko:K14393	btd:BTI_3309
ko:K05349	btd:BTI_4130
ko:K07687	btd:BTI_4146
ko:K03230	btd:BTI_4153
ko:K03225	btd:BTI_4158
ko:K03219	btd:BTI_4168
ko:K03833	btd:BTI_4172
ko:K01042	btd:BTI_4173
ko:K02380	btd:BTI_4174
ko:K00123	btd:BTI_4177
ko:K00123	btd:BTI_4178
ko:K02028	btd:BTI_4182
ko:K02029	btd:BTI_4182
ko:K07243	btd:BTI_4993
ko:K07644	btd:BTI_4998
ko:K14645	btd:BTI_5000
ko:K16692	btd:BTI_5015
ko:K07006	btd:BTI_5029
ko:K00925	btd:BTI_5037
ko:K03821	btd:BTI_5039
ko:K02112	btd:BTI_5040
ko:K02114	btd:BTI_5041
ko:K01194	btd:BTI_5482
ko:K01953	btd:BTI_5485
ko:K07303	btd:BTI_5487
ko:K07302	btd:BTI_5488
ko:K00455	btd:BTI_5504
ko:K00694	btd:BTI_5555
ko:K02498	btd:BTI_2816
ko:K01749	btd:BTI_2818
ko:K01595	btd:BTI_2819
ko:K01755	btd:BTI_2823
ko:K01584	btd:BTI_2826
ko:K01494	btd:BTI_2827
ko:K01874	btd:BTI_2831
ko:K09800	btd:BTI_2833
ko:K05896	btd:BTI_2836
ko:K01918	btd:BTI_2837
ko:K01579	btd:BTI_2838
ko:K11752	btd:BTI_3637
ko:K00878	btd:BTI_3647
ko:K12141	btd:BTI_3653
ko:K12140	btd:BTI_3654
ko:K00797	btd:BTI_3660
ko:K02575	btd:BTI_3663
ko:K00373	btd:BTI_3666
ko:K00371	btd:BTI_3667
ko:K00370	btd:BTI_3668
ko:K00457	btd:BTI_3674
ko:K02624	btd:BTI_3676
ko:K00375	btd:BTI_3677
ko:K00609	btd:BTI_3681
ko:K16090	btd:BTI_3682
ko:K07141	btd:BTI_3689
ko:K07507	btd:BTI_4510
ko:K02688	btd:BTI_4524
ko:K15721	btd:BTI_4531
ko:K05372	btd:BTI_4533
ko:K04784	btd:BTI_4535
ko:K05373	btd:BTI_4536
ko:K04786	btd:BTI_4537
ko:K04785	btd:BTI_4538
ko:K05374	btd:BTI_4539
ko:K04783	btd:BTI_4540
ko:K01740	btd:BTI_4542
ko:K16856	btd:BTI_4543
ko:K00286	btd:BTI_5235
ko:K02016	btd:BTI_5241
ko:K00263	btd:BTI_5242
ko:K01738	btd:BTI_5245
ko:K02015	btd:BTI_5250
ko:K02013	btd:BTI_5251
ko:K07044	btd:BTI_5667
ko:K02407	btd:BTI_5678
ko:K07396	btd:BTI_5680
ko:K03427	btd:BTI_478
ko:K03427	btd:BTI_479
ko:K01154	btd:BTI_480
ko:K01153	btd:BTI_481
ko:K11892	btd:BTI_487
ko:K11893	btd:BTI_488
ko:K11906	btd:BTI_489
ko:K11901	btd:BTI_491
ko:K11900	btd:BTI_492
ko:K11903	btd:BTI_493
ko:K11897	btd:BTI_494
ko:K11896	btd:BTI_495
ko:K11895	btd:BTI_496
ko:K11907	btd:BTI_497
ko:K11902	btd:BTI_498
ko:K11890	btd:BTI_500
ko:K11891	btd:BTI_501
ko:K12340	btd:BTI_504
ko:K13409	btd:BTI_505
ko:K13408	btd:BTI_506
ko:K01256	btd:BTI_509
ko:K09941	btd:BTI_514
ko:K00370	btd:BTI_1325
ko:K02575	btd:BTI_1326
ko:K02575	btd:BTI_1327
ko:K02346	btd:BTI_1329
ko:K01414	btd:BTI_1330
ko:K01491	btd:BTI_1331
ko:K00163	btd:BTI_1334
ko:K00627	btd:BTI_1336
ko:K00382	btd:BTI_1337
ko:K07262	btd:BTI_1339
ko:K13643	btd:BTI_1345
ko:K04487	btd:BTI_1346
ko:K04082	btd:BTI_1349
ko:K04044	btd:BTI_1350
ko:K04755	btd:BTI_1351
ko:K04567	btd:BTI_1354
ko:K02836	btd:BTI_1355
ko:K07462	btd:BTI_1356
ko:K09808	btd:BTI_1358
ko:K09810	btd:BTI_1359
ko:K03424	btd:BTI_1360
ko:K01937	btd:BTI_1365
ko:K01627	btd:BTI_1366
ko:K01689	btd:BTI_1367
ko:K05589	btd:BTI_1368
ko:K04083	btd:BTI_1370
ko:K07053	btd:BTI_1374
ko:K01867	btd:BTI_1377
ko:K03630	btd:BTI_2207
ko:K00428	btd:BTI_2214
ko:K01620	btd:BTI_2219
ko:K00303	btd:BTI_2222
ko:K02053	btd:BTI_2225
ko:K07649	btd:BTI_3046
ko:K00800	btd:BTI_3051
ko:K01434	btd:BTI_3070
ko:K00763	btd:BTI_3074
ko:K06917	btd:BTI_3080
ko:K01684	btd:BTI_3089
ko:K11927	btd:BTI_3093
ko:K02444	btd:BTI_3097
ko:K00111	btd:BTI_3100
ko:K02002	btd:BTI_3916
ko:K02001	btd:BTI_3918
ko:K02000	btd:BTI_3919
ko:K00299	btd:BTI_3921
ko:K01968	btd:BTI_3937
ko:K13766	btd:BTI_3938
ko:K01969	btd:BTI_3939
ko:K00253	btd:BTI_3940
ko:K13747	btd:BTI_3942
ko:K08369	btd:BTI_3947
ko:K02769	btd:BTI_3950
ko:K02770	btd:BTI_3950
ko:K03435	btd:BTI_3953
ko:K10036	btd:BTI_4774
ko:K10037	btd:BTI_4775
ko:K04754	btd:BTI_4780
ko:K02003	btd:BTI_4787
ko:K03832	btd:BTI_4799
ko:K03561	btd:BTI_4800
ko:K13893	btd:BTI_4806
ko:K13894	btd:BTI_4807
ko:K13895	btd:BTI_4808
ko:K13896	btd:BTI_4809
ko:K05366	btd:BTI_4817
ko:K01999	btd:BTI_4819
ko:K01997	btd:BTI_4820
ko:K01998	btd:BTI_4821
ko:K01995	btd:BTI_4822
ko:K01996	btd:BTI_4823
ko:K06016	btd:BTI_4824
ko:K03543	btd:BTI_5370
ko:K00692	btd:BTI_5372
ko:K02529	btd:BTI_5373
ko:K00600	btd:BTI_5376
ko:K01273	btd:BTI_5377
ko:K03522	btd:BTI_5381
ko:K03521	btd:BTI_5382
ko:K00479	btd:BTI_5383
ko:K02002	btd:BTI_5385
ko:K01433	btd:BTI_5387
ko:K06076	btd:BTI_5392
ko:K02002	btd:BTI_5396
ko:K10016	btd:BTI_5801
ko:K10015	btd:BTI_5802
ko:K10017	btd:BTI_5803
ko:K00790	btd:BTI_5804
ko:K07168	btd:BTI_5816
ko:K07300	btd:BTI_5818
ko:K03088	btd:BTI_5823
ko:K09930	btd:BTI_5825
ko:K15977	btd:BTI_5827
ko:K10038	btd:BTI_4776
ko:K09456	btd:BTI_2
ko:K03640	btd:BTI_839
ko:K03641	btd:BTI_840
ko:K03562	btd:BTI_843
ko:K07107	btd:BTI_844
ko:K16066	btd:BTI_845
ko:K00600	btd:BTI_846
ko:K07738	btd:BTI_847
ko:K08084	btd:BTI_848
ko:K02672	btd:BTI_850
ko:K02655	btd:BTI_852
ko:K00252	btd:BTI_857
ko:K08195	btd:BTI_864
ko:K00451	btd:BTI_865
ko:K01555	btd:BTI_866
ko:K04719	btd:BTI_869
ko:K03778	btd:BTI_870
ko:K13481	btd:BTI_876
ko:K13482	btd:BTI_877
ko:K07518	btd:BTI_884
ko:K07090	btd:BTI_886
ko:K01126	btd:BTI_888
ko:K09933	btd:BTI_1707
ko:K03628	btd:BTI_1710
ko:K03671	btd:BTI_1711
ko:K02343	btd:BTI_1712
ko:K09747	btd:BTI_1713
ko:K06187	btd:BTI_1714
ko:K03787	btd:BTI_1716
ko:K00573	btd:BTI_1717
ko:K06194	btd:BTI_1718
ko:K07501	btd:BTI_1720
ko:K03215	btd:BTI_1722
ko:K00940	btd:BTI_1724
ko:K06941	btd:BTI_1725
ko:K15539	btd:BTI_1726
ko:K01892	btd:BTI_1728
ko:K03977	btd:BTI_1731
ko:K03666	btd:BTI_1732
ko:K03665	btd:BTI_1733
ko:K04088	btd:BTI_1734
ko:K04087	btd:BTI_1735
ko:K09937	btd:BTI_1736
ko:K02502	btd:BTI_1737
ko:K01939	btd:BTI_1738
ko:K07101	btd:BTI_1739
ko:K03549	btd:BTI_1740
ko:K06959	btd:BTI_1741
ko:K05807	btd:BTI_1745
ko:K06180	btd:BTI_1746
ko:K05810	btd:BTI_1747
ko:K03821	btd:BTI_1748
ko:K00023	btd:BTI_1750
ko:K14441	btd:BTI_1753
ko:K00874	btd:BTI_1754
ko:K01079	btd:BTI_1758
ko:K02069	btd:BTI_1760
ko:K02068	btd:BTI_1761
ko:K07290	btd:BTI_1762
ko:K07799	btd:BTI_2573
ko:K07788	btd:BTI_2574
ko:K07789	btd:BTI_2575
ko:K02275	btd:BTI_2582
ko:K15553	btd:BTI_2587
ko:K09861	btd:BTI_2607
ko:K14287	btd:BTI_2609
ko:K00343	btd:BTI_2623
ko:K00342	btd:BTI_2624
ko:K00341	btd:BTI_2625
ko:K06872	btd:BTI_3420
ko:K03744	btd:BTI_3421
ko:K01940	btd:BTI_3426
ko:K07267	btd:BTI_3433
ko:K00720	btd:BTI_3434
ko:K06193	btd:BTI_3440
ko:K07240	btd:BTI_3442
ko:K07240	btd:BTI_3443
ko:K02397	btd:BTI_3446
ko:K02396	btd:BTI_3447
ko:K02395	btd:BTI_3449
ko:K02394	btd:BTI_3450
ko:K02393	btd:BTI_3451
ko:K02392	btd:BTI_3452
ko:K02391	btd:BTI_3453
ko:K02390	btd:BTI_3454
ko:K02389	btd:BTI_3455
ko:K02388	btd:BTI_3456
ko:K02387	btd:BTI_3457
ko:K02386	btd:BTI_3458
ko:K02398	btd:BTI_3459
ko:K02399	btd:BTI_3460
ko:K03387	btd:BTI_4288
ko:K00648	btd:BTI_4294
ko:K08295	btd:BTI_4297
ko:K04077	btd:BTI_4306
ko:K04078	btd:BTI_4307
ko:K07010	btd:BTI_4311
ko:K01915	btd:BTI_4312
ko:K11073	btd:BTI_4315
ko:K11076	btd:BTI_4316
ko:K11075	btd:BTI_4317
ko:K11074	btd:BTI_4318
ko:K02347	btd:BTI_4323
ko:K07262	btd:BTI_4324
ko:K01867	btd:BTI_5129
ko:K07223	btd:BTI_5133
ko:K07397	btd:BTI_5134
ko:K01962	btd:BTI_5559
ko:K00822	btd:BTI_5564
ko:K00140	btd:BTI_5565
ko:K01266	btd:BTI_5570
ko:K10974	btd:BTI_5577
ko:K00428	btd:BTI_5582
ko:K01114	btd:BTI_5583
ko:K02407	btd:BTI_236
ko:K02406	btd:BTI_237
ko:K02970	btd:BTI_238
ko:K01246	btd:BTI_239
ko:K06188	btd:BTI_242
ko:K02403	btd:BTI_245
ko:K02402	btd:BTI_246
ko:K02556	btd:BTI_247
ko:K02557	btd:BTI_248
ko:K03413	btd:BTI_249
ko:K03407	btd:BTI_250
ko:K03408	btd:BTI_251
ko:K03411	btd:BTI_254
ko:K03412	btd:BTI_255
ko:K03413	btd:BTI_256
ko:K03414	btd:BTI_257
ko:K02401	btd:BTI_260
ko:K02400	btd:BTI_261
ko:K02404	btd:BTI_262
ko:K04562	btd:BTI_263
ko:K02405	btd:BTI_264
ko:K01251	btd:BTI_265
ko:K08972	btd:BTI_266
ko:K00297	btd:BTI_267
ko:K01061	btd:BTI_269
ko:K00459	btd:BTI_270
ko:K01999	btd:BTI_271
ko:K07226	btd:BTI_273
ko:K03642	btd:BTI_279
ko:K07056	btd:BTI_280
ko:K07460	btd:BTI_281
ko:K00945	btd:BTI_1109
ko:K02945	btd:BTI_1110
ko:K05788	btd:BTI_1111
ko:K00012	btd:BTI_1114
ko:K03274	btd:BTI_1116
ko:K02237	btd:BTI_1117
ko:K12339	btd:BTI_1118
ko:K02071	btd:BTI_1122
ko:K02072	btd:BTI_1123
ko:K02073	btd:BTI_1124
ko:K03521	btd:BTI_1125
ko:K03522	btd:BTI_1126
ko:K00285	btd:BTI_1128
ko:K02959	btd:BTI_1133
ko:K02860	btd:BTI_1134
ko:K00554	btd:BTI_1135
ko:K02884	btd:BTI_1136
ko:K02227	btd:BTI_1139
ko:K06949	btd:BTI_1141
ko:K13288	btd:BTI_1143
ko:K03831	btd:BTI_1144
ko:K09889	btd:BTI_1145
ko:K03592	btd:BTI_1146
ko:K03327	btd:BTI_1157
ko:K07638	btd:BTI_1999
ko:K03408	btd:BTI_2006
ko:K05845	btd:BTI_2012
ko:K05846	btd:BTI_2013
ko:K05847	btd:BTI_2014
ko:K05846	btd:BTI_2015
ko:K03758	btd:BTI_2017
ko:K00611	btd:BTI_2019
ko:K00926	btd:BTI_2020
ko:K03449	btd:BTI_2035
ko:K05936	btd:BTI_2037
ko:K15977	btd:BTI_2840
ko:K02232	btd:BTI_2841
ko:K02231	btd:BTI_2842
ko:K02227	btd:BTI_2843
ko:K02225	btd:BTI_2844
ko:K02016	btd:BTI_2845
ko:K02233	btd:BTI_2847
ko:K00768	btd:BTI_2848
ko:K02013	btd:BTI_2849
ko:K02015	btd:BTI_2850
ko:K16092	btd:BTI_2851
ko:K09888	btd:BTI_2853
ko:K13292	btd:BTI_2856
ko:K01687	btd:BTI_2858
ko:K02339	btd:BTI_2861
