ko:K01154	saw:SAHV_0430
ko:K00027	saw:SAHV_1688
ko:K00265	saw:SAHV_0469
ko:K01665	saw:SAHV_0711
ko:K02501	saw:SAHV_2659
ko:K00174	saw:SAHV_1279
ko:K11102	saw:SAHV_2368
ko:K11032	saw:SAHV_1153
ko:K11040	saw:SAHV_1809
ko:K11040	saw:SAHV_1810
ko:K11040	saw:SAHV_1811
ko:K11040	saw:SAHV_1812
ko:K11040	saw:SAHV_1813
ko:K11040	saw:SAHV_1814
ko:K11040	saw:SAHV_1815
ko:K11040	saw:SAHV_1934
ko:K11040	saw:SAHV_1994
ko:K11040	saw:SAHV_1995
ko:K01679	saw:SAHV_1836
ko:K04066	saw:SAHV_1202
ko:K00817	saw:SAHV_0721
ko:K02768	saw:SAHV_0697
ko:K02769	saw:SAHV_0697
ko:K02770	saw:SAHV_0697
ko:K00175	saw:SAHV_1280
ko:K02818	saw:SAHV_0471
ko:K02819	saw:SAHV_0471
ko:K02798	saw:SAHV_2142
ko:K11189	saw:SAHV_1075
ko:K03475	saw:SAHV_0326
ko:K03700	saw:SAHV_1437
ko:K00616	saw:SAHV_1766
ko:K06199	saw:SAHV_1768
ko:K06199	saw:SAHV_1769
ko:K00789	saw:SAHV_1775
ko:K09765	saw:SAHV_2575
ko:K06978	saw:SAHV_2578
ko:K01918	saw:SAHV_2582
ko:K00606	saw:SAHV_2583
ko:K00077	saw:SAHV_2584
ko:K01575	saw:SAHV_2585
ko:K01623	saw:SAHV_2590
ko:K00116	saw:SAHV_2591
ko:K03451	saw:SAHV_2599
ko:K04068	saw:SAHV_2600
ko:K03300	saw:SAHV_2602
ko:K00380	saw:SAHV_2604
ko:K00432	saw:SAHV_2605
ko:K00926	saw:SAHV_2616
ko:K01409	saw:SAHV_2034
ko:K06925	saw:SAHV_2037
ko:K00053	saw:SAHV_2041
ko:K01649	saw:SAHV_2042
ko:K01754	saw:SAHV_2046
ko:K03095	saw:SAHV_2047
ko:K06959	saw:SAHV_2048
ko:K03090	saw:SAHV_2049
ko:K01775	saw:SAHV_2055
ko:K00997	saw:SAHV_2056
ko:K08981	saw:SAHV_2058
ko:K01547	saw:SAHV_2061
ko:K01546	saw:SAHV_2062
ko:K02033	saw:SAHV_0205
ko:K02034	saw:SAHV_0206
ko:K02035	saw:SAHV_0207
ko:K00681	saw:SAHV_0208
ko:K01118	saw:SAHV_0210
ko:K10112	saw:SAHV_0212
ko:K07784	saw:SAHV_0220
ko:K01468	saw:SAHV_2314
ko:K01712	saw:SAHV_2315
ko:K11210	saw:SAHV_2317
ko:K01807	saw:SAHV_2320
ko:K09771	saw:SAHV_2323
ko:K03312	saw:SAHV_2329
ko:K01823	saw:SAHV_2330
ko:K03284	saw:SAHV_2331
ko:K07107	saw:SAHV_2332
ko:K07552	saw:SAHV_2339
ko:K00116	saw:SAHV_2349
ko:K03303	saw:SAHV_2350
ko:K03758	saw:SAHV_2617
ko:K00611	saw:SAHV_2618
ko:K01478	saw:SAHV_2619
ko:K03076	saw:SAHV_2637
ko:K03704	saw:SAHV_0812
ko:K02437	saw:SAHV_0829
ko:K02071	saw:SAHV_0833
ko:K02072	saw:SAHV_0834
ko:K02073	saw:SAHV_0835
ko:K08974	saw:SAHV_0837
ko:K09013	saw:SAHV_0838
ko:K04488	saw:SAHV_0841
ko:K09014	saw:SAHV_0842
ko:K02012	saw:SAHV_0224
ko:K01114	saw:SAHV_1989
ko:K11041	saw:SAHV_1163
ko:K03070	saw:SAHV_0750
ko:K03070	saw:SAHV_2633
ko:K00841	saw:SAHV_1042
ko:K00756	saw:SAHV_2120
ko:K00549	saw:SAHV_0353
ko:K01892	saw:SAHV_1618
ko:K03551	saw:SAHV_1628
ko:K02356	saw:SAHV_1516
ko:K00876	saw:SAHV_1598
ko:K01951	saw:SAHV_0388
ko:K00088	saw:SAHV_0387
ko:K00857	saw:SAHV_2103
ko:K02500	saw:SAHV_2657
ko:K05020	saw:SAHV_1337
ko:K03655	saw:SAHV_1217
ko:K00762	saw:SAHV_1195
ko:K09167	saw:SAHV_2057
ko:K06183	saw:SAHV_1739
ko:K11068	saw:SAHV_2154
ko:K03501	saw:SAHV_2694
ko:K03555	saw:SAHV_1285
ko:K00765	saw:SAHV_2663
ko:K03466	saw:SAHV_0285
ko:K02435	saw:SAHV_1886
ko:K02774	saw:SAHV_0245
ko:K01424	saw:SAHV_1467
ko:K03497	saw:SAHV_2693
ko:K04564	saw:SAHV_1540
ko:K03529	saw:SAHV_1224
ko:K05896	saw:SAHV_1483
ko:K02809	saw:SAHV_0191
ko:K02810	saw:SAHV_0191
ko:K02110	saw:SAHV_2092
ko:K02108	saw:SAHV_2093
ko:K01755	saw:SAHV_0955
ko:K10208	saw:SAHV_2546
ko:K02827	saw:SAHV_1052
ko:K00760	saw:SAHV_0507
ko:K00425	saw:SAHV_1078
ko:K01681	saw:SAHV_1338
ko:K04763	saw:SAHV_1485
ko:K04041	saw:SAHV_2500
ko:K01056	saw:SAHV_0499
ko:K01664	saw:SAHV_0710
ko:K07304	saw:SAHV_1349
ko:K07305	saw:SAHV_1411
ko:K07304	saw:SAHV_2644
ko:K03076	saw:SAHV_2214
ko:K02546	saw:SAHV_0042
ko:K11038	saw:SAHV_1804
ko:K11038	saw:SAHV_1805
ko:K11038	saw:SAHV_1990
ko:K11038	saw:SAHV_1991
ko:K11038	saw:SAHV_2403
ko:K11038	saw:SAHV_2404
ko:K11038	saw:SAHV_2405
ko:K11042	saw:SAHV_0419
ko:K06942	saw:SAHV_0360
ko:K02990	saw:SAHV_0362
ko:K03387	saw:SAHV_0377
ko:K07478	saw:SAHV_1614
ko:K07560	saw:SAHV_1620
ko:K00759	saw:SAHV_1622
ko:K03210	saw:SAHV_1625
ko:K00773	saw:SAHV_1626
ko:K06209	saw:SAHV_1630
ko:K03979	saw:SAHV_1631
ko:K02899	saw:SAHV_1632
ko:K07584	saw:SAHV_1633
ko:K02888	saw:SAHV_1634
ko:K03571	saw:SAHV_1635
ko:K03570	saw:SAHV_1636
ko:K03630	saw:SAHV_1647
ko:K01873	saw:SAHV_1650
ko:K07120	saw:SAHV_1652
ko:K07009	saw:SAHV_1876
ko:K02342	saw:SAHV_1879
ko:K02434	saw:SAHV_1884
ko:K02433	saw:SAHV_1885
ko:K00763	saw:SAHV_1898
ko:K00928	saw:SAHV_1316
ko:K00003	saw:SAHV_1317
ko:K00872	saw:SAHV_1319
ko:K03781	saw:SAHV_1323
ko:K02954	saw:SAHV_1325
ko:K00364	saw:SAHV_1326
ko:K00615	saw:SAHV_1331
ko:K00075	saw:SAHV_0735
ko:K00865	saw:SAHV_0739
ko:K01258	saw:SAHV_0740
ko:K02240	saw:SAHV_0747
ko:K07023	saw:SAHV_0753
ko:K03701	saw:SAHV_0756
ko:K06023	saw:SAHV_0757
ko:K00384	saw:SAHV_0761
ko:K07071	saw:SAHV_0766
ko:K05311	saw:SAHV_0768
ko:K00134	saw:SAHV_0769
ko:K00927	saw:SAHV_0770
ko:K01803	saw:SAHV_0771
ko:K01689	saw:SAHV_0773
ko:K03075	saw:SAHV_0775
ko:K03928	saw:SAHV_0776
ko:K03664	saw:SAHV_0778
ko:K08996	saw:SAHV_0180
ko:K00930	saw:SAHV_0181
ko:K00145	saw:SAHV_0183
ko:K03311	saw:SAHV_0185
ko:K07106	saw:SAHV_0190
ko:K02003	saw:SAHV_0197
ko:K06969	saw:SAHV_1073
ko:K08483	saw:SAHV_1076
ko:K00426	saw:SAHV_1079
ko:K03499	saw:SAHV_1080
ko:K01462	saw:SAHV_1083
ko:K00627	saw:SAHV_1087
ko:K00382	saw:SAHV_1088
ko:K03322	saw:SAHV_1097
ko:K06207	saw:SAHV_1101
ko:K07056	saw:SAHV_0486
ko:K05985	saw:SAHV_0489
ko:K00919	saw:SAHV_0492
ko:K09685	saw:SAHV_0493
ko:K06412	saw:SAHV_0495
ko:K00948	saw:SAHV_0497
ko:K02897	saw:SAHV_0498
ko:K03723	saw:SAHV_0500
ko:K07571	saw:SAHV_0505
ko:K03798	saw:SAHV_0508
ko:K04083	saw:SAHV_0509
ko:K01738	saw:SAHV_0510
ko:K00796	saw:SAHV_0511
ko:K01633	saw:SAHV_0512
ko:K00950	saw:SAHV_0513
ko:K00375	saw:SAHV_0515
ko:K06215	saw:SAHV_0516
ko:K08681	saw:SAHV_0517
ko:K03708	saw:SAHV_0519
ko:K03696	saw:SAHV_0522
ko:K02492	saw:SAHV_1659
ko:K03978	saw:SAHV_1660
ko:K03544	saw:SAHV_1661
ko:K02887	saw:SAHV_1665
ko:K02916	saw:SAHV_1666
ko:K01868	saw:SAHV_1669
ko:K07738	saw:SAHV_1672
ko:K00134	saw:SAHV_1673
ko:K00859	saw:SAHV_1674
ko:K01647	saw:SAHV_1681
ko:K00873	saw:SAHV_1683
ko:K00850	saw:SAHV_1684
ko:K00259	saw:SAHV_1695
ko:K11065	saw:SAHV_1699
ko:K03151	saw:SAHV_1701
ko:K06286	saw:SAHV_1703
ko:K02986	saw:SAHV_1705
ko:K01126	saw:SAHV_1707
ko:K00655	saw:SAHV_1713
ko:K01589	saw:SAHV_1057
ko:K01952	saw:SAHV_1060
ko:K01952	saw:SAHV_1061
ko:K00764	saw:SAHV_1062
ko:K11175	saw:SAHV_1064
ko:K01945	saw:SAHV_1066
ko:K01520	saw:SAHV_1960
ko:K02032	saw:SAHV_1367
ko:K02031	saw:SAHV_1368
ko:K02034	saw:SAHV_1369
ko:K02033	saw:SAHV_1370
ko:K02039	saw:SAHV_1373
ko:K02036	saw:SAHV_1374
ko:K02038	saw:SAHV_1375
ko:K02037	saw:SAHV_1376
ko:K02040	saw:SAHV_1377
ko:K00243	saw:SAHV_1379
ko:K00928	saw:SAHV_1381
ko:K01714	saw:SAHV_1383
ko:K01775	saw:SAHV_1387
ko:K03704	saw:SAHV_1390
ko:K01512	saw:SAHV_1392
ko:K03311	saw:SAHV_1395
ko:K00164	saw:SAHV_1401
ko:K03639	saw:SAHV_2252
ko:K03752	saw:SAHV_2253
ko:K03635	saw:SAHV_2255
ko:K00640	saw:SAHV_0526
ko:K11145	saw:SAHV_0528
ko:K03218	saw:SAHV_0529
ko:K03797	saw:SAHV_1408
ko:K07658	saw:SAHV_1679
ko:K07667	saw:SAHV_2064
ko:K03713	saw:SAHV_1298
ko:K01620	saw:SAHV_1304
ko:K06131	saw:SAHV_1306
ko:K07778	saw:SAHV_1310
ko:K11693	saw:SAHV_2246
ko:K11694	saw:SAHV_1362
ko:K11695	saw:SAHV_1363
ko:K01809	saw:SAHV_2127
ko:K01809	saw:SAHV_2626
ko:K01771	saw:SAHV_0094
ko:K00031	saw:SAHV_1680
ko:K11072	saw:SAHV_1091
ko:K00016	saw:SAHV_2586
ko:K00016	saw:SAHV_0240
ko:K03524	saw:SAHV_1444
ko:K11476	saw:SAHV_2491
ko:K00602	saw:SAHV_1065
ko:K12574	saw:SAHV_1081
ko:K01992	saw:SAHV_2324
ko:K11755	saw:SAHV_2656
ko:K00260	saw:SAHV_0953
ko:K00712	saw:SAHV_0563
ko:K00712	saw:SAHV_0562
ko:K02472	saw:SAHV_0162
ko:K01906	saw:SAHV_2407
ko:K01104	saw:SAHV_0150
ko:K00491	saw:SAHV_1899
ko:K03484	saw:SAHV_2027
ko:K06131	saw:SAHV_2073
ko:K07124	saw:SAHV_1490
ko:K00059	saw:SAHV_1270
ko:K03574	saw:SAHV_2474
ko:K00059	saw:SAHV_1221
ko:K13012	saw:SAHV_0160
ko:K01187	saw:SAHV_1495
ko:K06934	saw:SAHV_0691
ko:K00853	saw:SAHV_0550
ko:K01515	saw:SAHV_1487
ko:K12268	saw:SAHV_2636
ko:K12269	saw:SAHV_2635
ko:K07315	saw:SAHV_2052
ko:K00951	saw:SAHV_1621
ko:K12410	saw:SAHV_2181
ko:K01193	saw:SAHV_2026
ko:K03711	saw:SAHV_1486
ko:K08094	saw:SAHV_0569
ko:K13292	saw:SAHV_0758
ko:K01491	saw:SAHV_1055
ko:K00823	saw:SAHV_2588
ko:K13052	saw:SAHV_0504
ko:K07729	saw:SAHV_0346
ko:K07090	saw:SAHV_0917
ko:K19005	saw:SAHV_0716
ko:K00626	saw:SAHV_0351
ko:K00626	saw:SAHV_0574
ko:K01243	saw:SAHV_1586
ko:K03768	saw:SAHV_0949
ko:K11752	saw:SAHV_1756
ko:K06168	saw:SAHV_1282
ko:K01092	saw:SAHV_1099
ko:K11069	saw:SAHV_1094
ko:K09015	saw:SAHV_0839
ko:K05362	saw:SAHV_1012
ko:K01785	saw:SAHV_2322
ko:K01990	saw:SAHV_2325
ko:K05946	saw:SAHV_0633
ko:K01358	saw:SAHV_0765
ko:K03386	saw:SAHV_0378
ko:K04487	saw:SAHV_1609
ko:K04487	saw:SAHV_1702
ko:K01895	saw:SAHV_1719
ko:K01895	saw:SAHV_2593
ko:K03636	saw:SAHV_2254
ko:K02303	saw:SAHV_2382
ko:K00299	saw:SAHV_0337
ko:K11717	saw:SAHV_0840
ko:K07052	saw:SAHV_2016
ko:K02237	saw:SAHV_1577
ko:K03762	saw:SAHV_0571
ko:K03319	saw:SAHV_2679
ko:K12257	saw:SAHV_1624
ko:K12270	saw:SAHV_2634
ko:K06895	saw:SAHV_0821
ko:K06400	saw:SAHV_0060
ko:K11754	saw:SAHV_1649
ko:K00054	saw:SAHV_2529
ko:K01961	saw:SAHV_1514
ko:K01961	saw:SAHV_1593
ko:K13715	saw:SAHV_1040
ko:K08258	saw:SAHV_1894
ko:K02790	saw:SAHV_0241
ko:K02791	saw:SAHV_0241
ko:K02347	saw:SAHV_1134
ko:K05520	saw:SAHV_1860
ko:K13038	saw:SAHV_1201
ko:K03316	saw:SAHV_0626
ko:K09963	saw:SAHV_0189
ko:K06347	saw:SAHV_0948
ko:K00917	saw:SAHV_2177
ko:K07025	saw:SAHV_1165
ko:K07025	saw:SAHV_0609
ko:K12551	saw:SAHV_1716
ko:K12574	saw:SAHV_1265
ko:K12552	saw:SAHV_1171
ko:K12573	saw:SAHV_0777
ko:K12553	saw:SAHV_1539
ko:K13733	saw:SAHV_2486
ko:K01916	saw:SAHV_1897
ko:K00805	saw:SAHV_1458
ko:K07284	saw:SAHV_2512
ko:K00652	saw:SAHV_2408
ko:K02217	saw:SAHV_1878
ko:K00215	saw:SAHV_1384
ko:K00625	saw:SAHV_0586
ko:K01174	saw:SAHV_1313
ko:K06956	saw:SAHV_0380
ko:K01479	saw:SAHV_2318
ko:K00980	saw:SAHV_0638
ko:K03328	saw:SAHV_0131
ko:K03328	saw:SAHV_0501
ko:K03294	saw:SAHV_1425
ko:K07038	saw:SAHV_2156
ko:K09457	saw:SAHV_0725
ko:K04072	saw:SAHV_0147
ko:K13953	saw:SAHV_0603
ko:K03429	saw:SAHV_1011
ko:K02069	saw:SAHV_2437
ko:K06518	saw:SAHV_2525
ko:K05845	saw:SAHV_2430
ko:K02068	saw:SAHV_2438
ko:K00620	saw:SAHV_0182
ko:K01791	saw:SAHV_0163
ko:K12942	saw:SAHV_2457
ko:K02826	saw:SAHV_1053
ko:K13853	saw:SAHV_1723
ko:K13732	saw:SAHV_2487
ko:K06948	saw:SAHV_1584
ko:K08093	saw:SAHV_0568
ko:K00130	saw:SAHV_2597
ko:K01958	saw:SAHV_1106
ko:K07516	saw:SAHV_0231
ko:K00974	saw:SAHV_1445
ko:K02004	saw:SAHV_0198
ko:K02004	saw:SAHV_0305
ko:K03480	saw:SAHV_1345
ko:K00318	saw:SAHV_1752
ko:K07800	saw:SAHV_2022
ko:K07474	saw:SAHV_1998
ko:K13714	saw:SAHV_1045
ko:K01077	saw:SAHV_2611
ko:K01819	saw:SAHV_2179
ko:K00941	saw:SAHV_2078
ko:K04750	saw:SAHV_2576
ko:K14233	saw:SAHV_t0003
ko:K14233	saw:SAHV_t0040
ko:K14233	saw:SAHV_t0038
ko:K03483	saw:SAHV_2141
ko:K03296	saw:SAHV_2245
ko:K01154	saw:SAHV_1792
ko:K02246	saw:SAHV_1528
ko:K01784	saw:SAHV_0161
ko:K01760	saw:SAHV_0355
ko:K19279	saw:SAHV_1643
ko:K05565	saw:SAHV_0947
ko:K05565	saw:SAHV_0619
ko:K14229	saw:SAHV_t0049
ko:K14229	saw:SAHV_t0056
ko:K14229	saw:SAHV_t0006
ko:K06147	saw:SAHV_2412
ko:K14224	saw:SAHV_t0001
ko:K14224	saw:SAHV_t0060
ko:K14224	saw:SAHV_t0018
ko:K14237	saw:SAHV_t0004
ko:K14237	saw:SAHV_t0059
ko:K14237	saw:SAHV_t0051
ko:K14228	saw:SAHV_t0025
ko:K14228	saw:SAHV_t0046
ko:K14228	saw:SAHV_t0008
ko:K05847	saw:SAHV_2432
ko:K14220	saw:SAHV_t0015
ko:K14220	saw:SAHV_t0061
ko:K14220	saw:SAHV_t0019
ko:K14234	saw:SAHV_t0005
ko:K14234	saw:SAHV_t0050
ko:K14234	saw:SAHV_t0034
ko:K14199	saw:SAHV_0228
ko:K14199	saw:SAHV_1149
ko:K14200	saw:SAHV_1148
ko:K14203	saw:SAHV_1146
ko:K05847	saw:SAHV_0719
ko:K07052	saw:SAHV_1765
ko:K07476	saw:SAHV_0831
ko:K14198	saw:SAHV_1930
ko:K14199	saw:SAHV_1927
ko:K14204	saw:SAHV_1923
ko:K01990	saw:SAHV_0348
ko:K10210	saw:SAHV_2548
ko:K14228	saw:SAHV_t0048
ko:K14225	saw:SAHV_t0007
ko:K14225	saw:SAHV_t0047
ko:K14192	saw:SAHV_2614
ko:K14193	saw:SAHV_1121
ko:K14194	saw:SAHV_0560
ko:K14195	saw:SAHV_2481
ko:K14195	saw:SAHV_2480
ko:K14196	saw:SAHV_0110
ko:K14230	saw:SAHV_t0042
ko:K14219	saw:SAHV_t0016
ko:K00058	saw:SAHV_1710
ko:K07483	saw:SAHV_0415
ko:K00632	saw:SAHV_0230
ko:K01990	saw:SAHV_1918
ko:K14197	saw:SAHV_2402
ko:K14201	saw:SAHV_0807
ko:K13789	saw:SAHV_1509
ko:K14194	saw:SAHV_0559
ko:K14194	saw:SAHV_0561
ko:K14219	saw:SAHV_t0013
ko:K14221	saw:SAHV_t0023
ko:K14221	saw:SAHV_t0039
ko:K14221	saw:SAHV_t0036
ko:K14221	saw:SAHV_t0002
ko:K03892	saw:SAHV_1758
ko:K07045	saw:SAHV_2564
ko:K14225	saw:SAHV_t0026
ko:K14225	saw:SAHV_t0028
ko:K02013	saw:SAHV_2137
ko:K00819	saw:SAHV_0184
ko:K14225	saw:SAHV_t0027
ko:K14223	saw:SAHV_t0057
ko:K14223	saw:SAHV_t0030
ko:K11071	saw:SAHV_1092
ko:K11070	saw:SAHV_1093
ko:K01271	saw:SAHV_1694
ko:K14233	saw:SAHV_t0014
ko:K19285	saw:SAHV_0379
ko:K04763	saw:SAHV_0055
ko:K01401	saw:SAHV_2621
ko:K14225	saw:SAHV_t0020
ko:K14225	saw:SAHV_t0054
ko:K14236	saw:SAHV_t0058
ko:K14236	saw:SAHV_t0033
ko:K05822	saw:SAHV_1385
ko:K05592	saw:SAHV_2066
ko:K14230	saw:SAHV_t0024
ko:K14230	saw:SAHV_t0037
ko:K04757	saw:SAHV_2050
ko:K14228	saw:SAHV_t0055
ko:K00868	saw:SAHV_0578
ko:K14231	saw:SAHV_t0022
ko:K14231	saw:SAHV_t0035
ko:K14222	saw:SAHV_t0029
ko:K14230	saw:SAHV_t0041
ko:K14445	saw:SAHV_1901
ko:K09145	saw:SAHV_0668
ko:K00128	saw:SAHV_1905
ko:K01980	saw:SAHV_r0009
ko:K01980	saw:SAHV_r0015
ko:K01980	saw:SAHV_r0012
ko:K01980	saw:SAHV_r0002
ko:K01980	saw:SAHV_r0006
ko:K14205	saw:SAHV_1348
ko:K03324	saw:SAHV_0103
ko:K07467	saw:SAHV_0405
ko:K03293	saw:SAHV_1322
ko:K03307	saw:SAHV_0311
ko:K07741	saw:SAHV_1980
ko:K01985	saw:SAHV_r0004
ko:K01985	saw:SAHV_r0003
ko:K01985	saw:SAHV_r0014
ko:K01985	saw:SAHV_r0008
ko:K01985	saw:SAHV_r0007
ko:K01985	saw:SAHV_r0011
ko:K13628	saw:SAHV_0935
ko:K08255	saw:SAHV_0965
ko:K02005	saw:SAHV_0196
ko:K00561	saw:SAHV_0051
ko:K00571	saw:SAHV_1698
ko:K01174	saw:SAHV_0811
ko:K06216	saw:SAHV_0269
ko:K09813	saw:SAHV_2344
ko:K09814	saw:SAHV_2343
ko:K00459	saw:SAHV_0915
ko:K14188	saw:SAHV_0929
ko:K14219	saw:SAHV_t0009
ko:K14219	saw:SAHV_t0045
ko:K14218	saw:SAHV_t0011
ko:K14218	saw:SAHV_t0052
ko:K14218	saw:SAHV_t0043
ko:K01992	saw:SAHV_1821
ko:K14227	saw:SAHV_t0012
ko:K14227	saw:SAHV_t0053
ko:K14652	saw:SAHV_1754
ko:K03481	saw:SAHV_2308
ko:K07474	saw:SAHV_0796
ko:K07474	saw:SAHV_0880
ko:K01990	saw:SAHV_1822
ko:K06147	saw:SAHV_2413
ko:K06909	saw:SAHV_0881
ko:K14232	saw:SAHV_t0010
ko:K14232	saw:SAHV_t0044
ko:K07145	saw:SAHV_0164
ko:K03436	saw:SAHV_0695
ko:K03489	saw:SAHV_0263
ko:K07979	saw:SAHV_1919
ko:K02538	saw:SAHV_2624
ko:K01992	saw:SAHV_0276
ko:K01992	saw:SAHV_0277
ko:K01992	saw:SAHV_1915
ko:K01990	saw:SAHV_0202
ko:K01990	saw:SAHV_0275
ko:K02545	saw:SAHV_0040
ko:K08259	saw:SAHV_0274
ko:K01261	saw:SAHV_1731
ko:K01318	saw:SAHV_1041
ko:K01990	saw:SAHV_2498
ko:K07720	saw:SAHV_0222
ko:K14233	saw:SAHV_t0017
ko:K14235	saw:SAHV_t0032
ko:K00128	saw:SAHV_0166
ko:K00128	saw:SAHV_2106
ko:K00008	saw:SAHV_0247
ko:K01819	saw:SAHV_2178
ko:K01739	saw:SAHV_0356
ko:K01897	saw:SAHV_0233
ko:K01046	saw:SAHV_0317
ko:K01046	saw:SAHV_2655
ko:K10211	saw:SAHV_2547
ko:K10212	saw:SAHV_2549
ko:K02352	saw:SAHV_2672
ko:K02547	saw:SAHV_0041
ko:K14226	saw:SAHV_t0021
ko:K14226	saw:SAHV_t0031
ko:K02304	saw:SAHV_2603
ko:K01977	saw:SAHV_r0005
ko:K01977	saw:SAHV_r0016
ko:K01977	saw:SAHV_r0001
ko:K01977	saw:SAHV_r0013
ko:K01977	saw:SAHV_r0010
ko:K11737	saw:SAHV_1682
ko:K14540	saw:SAHV_1233
ko:K11749	saw:SAHV_1252
ko:K11936	saw:SAHV_2650
ko:K16012	saw:SAHV_0682
ko:K16013	saw:SAHV_0681
ko:K01239	saw:SAHV_2267
ko:K01442	saw:SAHV_0273
ko:K15586	saw:SAHV_2449
ko:K15585	saw:SAHV_2450
ko:K03215	saw:SAHV_1882
ko:K15581	saw:SAHV_0981
ko:K15772	saw:SAHV_0215
ko:K15770	saw:SAHV_0213
ko:K15584	saw:SAHV_2451
ko:K15583	saw:SAHV_0983
ko:K15519	saw:SAHV_0554
ko:K16301	saw:SAHV_0341
ko:K15633	saw:SAHV_0772
ko:K15771	saw:SAHV_0214
ko:K03929	saw:SAHV_2435
ko:K10824	saw:SAHV_2447
ko:K15738	saw:SAHV_0717
ko:K05352	saw:SAHV_0251
ko:K15582	saw:SAHV_0982
ko:K15518	saw:SAHV_0555
ko:K00122	saw:SAHV_0176
ko:K10823	saw:SAHV_0984
ko:K15580	saw:SAHV_0985
ko:K03817	saw:SAHV_0339
ko:K15587	saw:SAHV_2448
ko:K02033	saw:SAHV_0989
ko:K01835	saw:SAHV_2475
ko:K00887	saw:SAHV_1556
ko:K15986	saw:SAHV_1904
ko:K18934	saw:SAHV_2150
ko:K15973	saw:SAHV_2504
ko:K15977	saw:SAHV_1030
ko:K15975	saw:SAHV_2503
ko:K18936	saw:SAHV_2399
ko:K00561	saw:SAHV_1642
ko:K04763	saw:SAHV_1646
ko:K02424	saw:SAHV_2398
ko:K10009	saw:SAHV_2397
ko:K18935	saw:SAHV_2153
ko:K18940	saw:SAHV_1402
ko:K21454	saw:SAHV_2341
ko:K07038	saw:SAHV_1854
ko:K16509	saw:SAHV_0992
ko:K16511	saw:SAHV_0993
ko:K11733	saw:SAHV_1668
ko:K16264	saw:SAHV_0167
ko:K06198	saw:SAHV_0994
ko:K16329	saw:SAHV_0309
ko:K16323	saw:SAHV_0642
ko:K16169	saw:SAHV_0386
ko:K11737	saw:SAHV_2422
ko:K16264	saw:SAHV_2130
ko:K02851	saw:SAHV_0744
ko:K10010	saw:SAHV_2396
ko:K16786	saw:SAHV_2206
ko:K16787	saw:SAHV_2205
ko:K04564	saw:SAHV_0132
ko:K16785	saw:SAHV_2204
ko:K02032	saw:SAHV_0988
ko:K02755	saw:SAHV_0264
ko:K11631	saw:SAHV_2685
ko:K16785	saw:SAHV_1067
ko:K16786	saw:SAHV_1068
ko:K16787	saw:SAHV_1068
ko:K16785	saw:SAHV_2667
ko:K16786	saw:SAHV_2668
ko:K16787	saw:SAHV_2668
ko:K02768	saw:SAHV_2625
ko:K02769	saw:SAHV_2625
ko:K02770	saw:SAHV_2625
ko:K11632	saw:SAHV_2686
ko:K16869	saw:SAHV_0587
ko:K11991	saw:SAHV_0556
ko:K17716	saw:SAHV_0152
ko:K16916	saw:SAHV_2511
ko:K16917	saw:SAHV_2510
ko:K16925	saw:SAHV_1069
ko:K16924	saw:SAHV_2669
ko:K16937	saw:SAHV_0704
ko:K16898	saw:SAHV_0962
ko:K16899	saw:SAHV_0961
ko:K02029	saw:SAHV_1843
ko:K02030	saw:SAHV_1843
ko:K02028	saw:SAHV_1842
ko:K17217	saw:SAHV_0458
ko:K17216	saw:SAHV_0457
ko:K17218	saw:SAHV_0087
ko:K01992	saw:SAHV_1309
ko:K01990	saw:SAHV_1307
ko:K01990	saw:SAHV_1916
ko:K17472	saw:SAHV_1613
ko:K17686	saw:SAHV_2541
ko:K19080	saw:SAHV_0659
ko:K18104	saw:SAHV_0640
ko:K02479	saw:SAHV_1833
ko:K08168	saw:SAHV_0136
ko:K02483	saw:SAHV_2345
ko:K18220	saw:SAHV_0395
ko:K03366	saw:SAHV_0125
ko:K17882	saw:SAHV_0035
ko:K07145	saw:SAHV_1127
ko:K22580	saw:SAHV_1049
ko:K21462	saw:SAHV_2653
ko:K21461	saw:SAHV_2651
ko:K21463	saw:SAHV_2340
ko:K18707	saw:SAHV_1563
ko:K18672	saw:SAHV_2147
ko:K18704	saw:SAHV_0252
ko:K18682	saw:SAHV_1276
ko:K18692	saw:SAHV_1545
ko:K18906	saw:SAHV_0683
ko:K07723	saw:SAHV_2054
ko:K18909	saw:SAHV_0330
ko:K18941	saw:SAHV_1403
ko:K18908	saw:SAHV_0331
ko:K07171	saw:SAHV_2053
ko:K04940	saw:SAHV_2286
ko:K18907	saw:SAHV_0107
ko:K07029	saw:SAHV_1883
ko:K02315	saw:SAHV_0864
ko:K03498	saw:SAHV_1993
ko:K18979	saw:SAHV_1841
ko:K00949	saw:SAHV_1213
ko:K01318	saw:SAHV_1794
ko:K05352	saw:SAHV_0255
ko:K07816	saw:SAHV_2493
ko:K07498	saw:SAHV_0027
ko:K19077	saw:SAHV_0657
ko:K19078	saw:SAHV_0656
ko:K19158	saw:SAHV_2391
ko:K19225	saw:SAHV_1536
ko:K19068	saw:SAHV_0153
ko:K19081	saw:SAHV_2608
ko:K19082	saw:SAHV_2609
ko:K19083	saw:SAHV_2607
ko:K19084	saw:SAHV_2606
ko:K19159	saw:SAHV_2392
ko:K07485	saw:SAHV_0381
ko:K01992	saw:SAHV_2499
ko:K19411	saw:SAHV_0520
