ko:K01139	kph:KPNIH24_25705
ko:K06942	kph:KPNIH24_12305
ko:K01056	kph:KPNIH24_12310
ko:K03321	kph:KPNIH24_12325
ko:K00948	kph:KPNIH24_12330
ko:K00919	kph:KPNIH24_12335
ko:K02494	kph:KPNIH24_12340
ko:K02492	kph:KPNIH24_12345
ko:K02835	kph:KPNIH24_12350
ko:K02493	kph:KPNIH24_12355
ko:K01627	kph:KPNIH24_12370
ko:K07300	kph:KPNIH24_12375
ko:K07232	kph:KPNIH24_12385
ko:K06039	kph:KPNIH24_12395
ko:K15577	kph:KPNIH24_12410
ko:K15578	kph:KPNIH24_12415
ko:K00362	kph:KPNIH24_12420
ko:K00372	kph:KPNIH24_12425
ko:K07684	kph:KPNIH24_12435
ko:K07673	kph:KPNIH24_12440
ko:K02575	kph:KPNIH24_12445
ko:K00370	kph:KPNIH24_12450
ko:K00371	kph:KPNIH24_12455
ko:K00373	kph:KPNIH24_12460
ko:K00374	kph:KPNIH24_12465
ko:K03719	kph:KPNIH24_12475
ko:K11892	kph:KPNIH24_16705
ko:K11893	kph:KPNIH24_16710
ko:K11900	kph:KPNIH24_16715
ko:K11901	kph:KPNIH24_16720
ko:K10004	kph:KPNIH24_21225
ko:K01869	kph:KPNIH24_21245
ko:K03643	kph:KPNIH24_21250
ko:K02340	kph:KPNIH24_21255
ko:K00969	kph:KPNIH24_21260
ko:K02226	kph:KPNIH24_21265
ko:K09710	kph:KPNIH24_21270
ko:K00783	kph:KPNIH24_21275
ko:K05515	kph:KPNIH24_21280
ko:K05837	kph:KPNIH24_21285
ko:K03642	kph:KPNIH24_21290
ko:K07258	kph:KPNIH24_21295
ko:K09158	kph:KPNIH24_21300
ko:K03801	kph:KPNIH24_21305
ko:K03644	kph:KPNIH24_21315
ko:K03425	kph:KPNIH24_21320
ko:K06199	kph:KPNIH24_21330
ko:K03704	kph:KPNIH24_21335
ko:K12973	kph:KPNIH24_21340
ko:K03326	kph:KPNIH24_21345
ko:K01169	kph:KPNIH24_21350
ko:K06140	kph:KPNIH24_21355
ko:K11932	kph:KPNIH24_21360
ko:K03387	kph:KPNIH24_21365
ko:K03386	kph:KPNIH24_21370
ko:K03805	kph:KPNIH24_21375
ko:K14287	kph:KPNIH24_21395
ko:K09880	kph:KPNIH24_21400
ko:K08967	kph:KPNIH24_21405
ko:K08351	kph:KPNIH24_21410
ko:K10439	kph:KPNIH24_21415
ko:K10441	kph:KPNIH24_21420
ko:K10440	kph:KPNIH24_21425
ko:K10440	kph:KPNIH24_21430
ko:K00058	kph:KPNIH24_21440
ko:K08964	kph:KPNIH24_21450
ko:K10974	kph:KPNIH24_21455
ko:K01485	kph:KPNIH24_21465
ko:K01092	kph:KPNIH24_21475
ko:K07783	kph:KPNIH24_21480
ko:K01093	kph:KPNIH24_21485
ko:K08963	kph:KPNIH24_21490
ko:K00899	kph:KPNIH24_21495
ko:K05501	kph:KPNIH24_25630
ko:K00762	kph:KPNIH24_25635
ko:K00989	kph:KPNIH24_25640
ko:K01993	kph:KPNIH24_25655
ko:K10778	kph:KPNIH24_25675
ko:K01972	kph:KPNIH24_25690
ko:K00942	kph:KPNIH24_25695
ko:K03060	kph:KPNIH24_25700
ko:K00556	kph:KPNIH24_25710
ko:K03655	kph:KPNIH24_25715
ko:K02446	kph:KPNIH24_25720
ko:K00528	kph:KPNIH24_25725
ko:K01803	kph:KPNIH24_25740
ko:K01521	kph:KPNIH24_25750
ko:K02048	kph:KPNIH24_25755
ko:K09892	kph:KPNIH24_25760
ko:K02440	kph:KPNIH24_25765
ko:K00864	kph:KPNIH24_25770
ko:K03312	kph:KPNIH24_25775
ko:K16345	kph:KPNIH24_25780
ko:K02749	kph:KPNIH24_25790
ko:K02750	kph:KPNIH24_25790
ko:K01222	kph:KPNIH24_25795
ko:K01811	kph:KPNIH24_25805
ko:K03292	kph:KPNIH24_25810
ko:K13979	kph:KPNIH24_25840
ko:K02073	kph:KPNIH24_25865
ko:K09958	kph:KPNIH24_25880
ko:K07006	kph:KPNIH24_25885
ko:K05964	kph:KPNIH24_03920
ko:K06177	kph:KPNIH24_03925
ko:K03580	kph:KPNIH24_03930
ko:K02336	kph:KPNIH24_03935
ko:K01804	kph:KPNIH24_03945
ko:K00853	kph:KPNIH24_03950
ko:K02099	kph:KPNIH24_03955
ko:K02062	kph:KPNIH24_03965
ko:K02063	kph:KPNIH24_03970
ko:K02064	kph:KPNIH24_03975
ko:K11925	kph:KPNIH24_03980
ko:K03291	kph:KPNIH24_03990
ko:K08194	kph:KPNIH24_03995
ko:K03785	kph:KPNIH24_04005
ko:K00014	kph:KPNIH24_04015
ko:K01704	kph:KPNIH24_04025
ko:K01703	kph:KPNIH24_04030
ko:K00052	kph:KPNIH24_04035
ko:K01649	kph:KPNIH24_04040
ko:K05798	kph:KPNIH24_04045
ko:K01652	kph:KPNIH24_04050
ko:K01653	kph:KPNIH24_04055
ko:K03435	kph:KPNIH24_04060
ko:K03925	kph:KPNIH24_04065
ko:K03438	kph:KPNIH24_04070
ko:K03586	kph:KPNIH24_04075
ko:K03587	kph:KPNIH24_04080
ko:K01928	kph:KPNIH24_04085
ko:K01929	kph:KPNIH24_04090
ko:K18765	kph:KPNIH24_04960
ko:K01744	kph:KPNIH24_01945
ko:K07113	kph:KPNIH24_01950
ko:K16263	kph:KPNIH24_01955
ko:K04078	kph:KPNIH24_01965
ko:K04077	kph:KPNIH24_01970
ko:K13409	kph:KPNIH24_01985
ko:K13408	kph:KPNIH24_01990
ko:K07347	kph:KPNIH24_02010
ko:K02356	kph:KPNIH24_02045
ko:K16347	kph:KPNIH24_02050
ko:K16348	kph:KPNIH24_02055
ko:K03098	kph:KPNIH24_02065
ko:K00247	kph:KPNIH24_02070
ko:K00246	kph:KPNIH24_02075
ko:K00245	kph:KPNIH24_02080
ko:K00244	kph:KPNIH24_02085
ko:K04568	kph:KPNIH24_02090
ko:K01613	kph:KPNIH24_02105
ko:K06949	kph:KPNIH24_02110
ko:K13288	kph:KPNIH24_02115
ko:K09996	kph:KPNIH24_02120
ko:K17758	kph:KPNIH24_02145
ko:K17759	kph:KPNIH24_02145
ko:K06925	kph:KPNIH24_02150
ko:K01448	kph:KPNIH24_02155
ko:K03572	kph:KPNIH24_02160
ko:K00791	kph:KPNIH24_02165
ko:K03666	kph:KPNIH24_02170
ko:K03665	kph:KPNIH24_02175
ko:K04088	kph:KPNIH24_02180
ko:K04087	kph:KPNIH24_02185
ko:K09937	kph:KPNIH24_02195
ko:K01939	kph:KPNIH24_02200
ko:K13771	kph:KPNIH24_02205
ko:K12573	kph:KPNIH24_02210
ko:K03218	kph:KPNIH24_02215
ko:K09456	kph:KPNIH24_02220
ko:K03704	kph:KPNIH24_06465
ko:K07150	kph:KPNIH24_06545
ko:K01581	kph:KPNIH24_06550
ko:K03289	kph:KPNIH24_06555
ko:K08306	kph:KPNIH24_06560
ko:K03575	kph:KPNIH24_06570
ko:K03439	kph:KPNIH24_06575
ko:K09923	kph:KPNIH24_06580
ko:K02428	kph:KPNIH24_06595
ko:K09131	kph:KPNIH24_06600
ko:K02221	kph:KPNIH24_06605
ko:K06997	kph:KPNIH24_06610
ko:K02669	kph:KPNIH24_06615
ko:K07447	kph:KPNIH24_06625
ko:K07735	kph:KPNIH24_06630
ko:K01920	kph:KPNIH24_06635
ko:K09761	kph:KPNIH24_06640
ko:K01150	kph:KPNIH24_06645
ko:K02742	kph:KPNIH24_06650
ko:K08137	kph:KPNIH24_06655
ko:K00789	kph:KPNIH24_06660
ko:K01585	kph:KPNIH24_06670
ko:K01480	kph:KPNIH24_06675
ko:K16695	kph:KPNIH24_10820
ko:K01000	kph:KPNIH24_04095
ko:K01925	kph:KPNIH24_04100
ko:K03588	kph:KPNIH24_04105
ko:K02563	kph:KPNIH24_04110
ko:K01924	kph:KPNIH24_04115
ko:K01921	kph:KPNIH24_04120
ko:K03589	kph:KPNIH24_04125
ko:K03590	kph:KPNIH24_04130
ko:K03531	kph:KPNIH24_04135
ko:K02535	kph:KPNIH24_04140
ko:K13301	kph:KPNIH24_04145
ko:K03070	kph:KPNIH24_04150
ko:K03574	kph:KPNIH24_04155
ko:K09862	kph:KPNIH24_04160
ko:K00859	kph:KPNIH24_04170
ko:K01919	kph:KPNIH24_08320
ko:K07173	kph:KPNIH24_08325
ko:K01649	kph:KPNIH24_08335
ko:K03446	kph:KPNIH24_08340
ko:K03543	kph:KPNIH24_08345
ko:K15974	kph:KPNIH24_08350
ko:K02002	kph:KPNIH24_08365
ko:K02001	kph:KPNIH24_08370
ko:K02000	kph:KPNIH24_08375
ko:K03647	kph:KPNIH24_08390
ko:K00375	kph:KPNIH24_08405
ko:K01118	kph:KPNIH24_08450
ko:K00138	kph:KPNIH24_08465
ko:K07345	kph:KPNIH24_08470
ko:K07347	kph:KPNIH24_08480
ko:K07347	kph:KPNIH24_08495
ko:K07345	kph:KPNIH24_08505
ko:K01713	kph:KPNIH24_08515
ko:K12972	kph:KPNIH24_08530
ko:K02028	kph:KPNIH24_08540
ko:K02029	kph:KPNIH24_08540
ko:K02030	kph:KPNIH24_08545
ko:K12255	kph:KPNIH24_08560
ko:K00549	kph:KPNIH24_12765
ko:K02013	kph:KPNIH24_12775
ko:K02015	kph:KPNIH24_12780
ko:K02016	kph:KPNIH24_12785
ko:K00101	kph:KPNIH24_12815
ko:K05997	kph:KPNIH24_12835
ko:K09014	kph:KPNIH24_12840
ko:K09013	kph:KPNIH24_12845
ko:K09015	kph:KPNIH24_12850
ko:K11717	kph:KPNIH24_12855
ko:K02426	kph:KPNIH24_12860
ko:K06078	kph:KPNIH24_12870
ko:K00873	kph:KPNIH24_12875
ko:K00457	kph:KPNIH24_12890
ko:K08194	kph:KPNIH24_12895
ko:K00014	kph:KPNIH24_12900
ko:K02020	kph:KPNIH24_12905
ko:K02013	kph:KPNIH24_12910
ko:K02015	kph:KPNIH24_12915
ko:K02016	kph:KPNIH24_12920
ko:K05818	kph:KPNIH24_12925
ko:K05712	kph:KPNIH24_12930
ko:K05713	kph:KPNIH24_12935
ko:K02554	kph:KPNIH24_12945
ko:K04073	kph:KPNIH24_12950
ko:K01666	kph:KPNIH24_12955
ko:K05819	kph:KPNIH24_12960
ko:K05810	kph:KPNIH24_12965
ko:K04091	kph:KPNIH24_12985
ko:K15553	kph:KPNIH24_12995
ko:K02051	kph:KPNIH24_13000
ko:K02050	kph:KPNIH24_13005
ko:K02049	kph:KPNIH24_13010
ko:K02014	kph:KPNIH24_13015
ko:K02013	kph:KPNIH24_13020
ko:K02015	kph:KPNIH24_13025
ko:K02015	kph:KPNIH24_13030
ko:K02030	kph:KPNIH24_21775
ko:K00375	kph:KPNIH24_21780
ko:K06048	kph:KPNIH24_21795
ko:K18325	kph:KPNIH24_21845
ko:K10679	kph:KPNIH24_21880
ko:K02793	kph:KPNIH24_21885
ko:K02794	kph:KPNIH24_21890
ko:K02795	kph:KPNIH24_21895
ko:K16053	kph:KPNIH24_21935
ko:K11732	kph:KPNIH24_22005
ko:K02014	kph:KPNIH24_22010
ko:K09471	kph:KPNIH24_22025
ko:K06995	kph:KPNIH24_22030
ko:K04081	kph:KPNIH24_26170
ko:K04080	kph:KPNIH24_26175
ko:K08194	kph:KPNIH24_26190
ko:K01684	kph:KPNIH24_26195
ko:K01631	kph:KPNIH24_26200
ko:K00883	kph:KPNIH24_26205
ko:K02470	kph:KPNIH24_26230
ko:K03629	kph:KPNIH24_26235
ko:K02338	kph:KPNIH24_26240
ko:K02313	kph:KPNIH24_26245
ko:K02914	kph:KPNIH24_26250
ko:K08998	kph:KPNIH24_26260
ko:K03217	kph:KPNIH24_26265
ko:K03650	kph:KPNIH24_26270
ko:K08163	kph:KPNIH24_26280
ko:K06901	kph:KPNIH24_26300
ko:K07214	kph:KPNIH24_26315
ko:K10124	kph:KPNIH24_26320
ko:K02039	kph:KPNIH24_26325
ko:K02036	kph:KPNIH24_26330
ko:K02038	kph:KPNIH24_26335
ko:K02037	kph:KPNIH24_26340
ko:K02040	kph:KPNIH24_26345
ko:K00820	kph:KPNIH24_26350
ko:K04042	kph:KPNIH24_26355
ko:K02114	kph:KPNIH24_26360
ko:K02112	kph:KPNIH24_26365
ko:K02115	kph:KPNIH24_26370
ko:K02111	kph:KPNIH24_26375
ko:K02113	kph:KPNIH24_26380
ko:K02109	kph:KPNIH24_26385
ko:K02110	kph:KPNIH24_26390
ko:K02108	kph:KPNIH24_26395
ko:K02116	kph:KPNIH24_26400
ko:K03501	kph:KPNIH24_26405
ko:K03495	kph:KPNIH24_26410
ko:K03606	kph:KPNIH24_10830
ko:K00033	kph:KPNIH24_10835
ko:K00012	kph:KPNIH24_10840
ko:K08679	kph:KPNIH24_10845
ko:K01854	kph:KPNIH24_10865
ko:K11755	kph:KPNIH24_10900
ko:K02500	kph:KPNIH24_10905
ko:K01814	kph:KPNIH24_10910
ko:K02501	kph:KPNIH24_10915
ko:K01089	kph:KPNIH24_10920
ko:K00817	kph:KPNIH24_10925
ko:K00013	kph:KPNIH24_10930
ko:K00765	kph:KPNIH24_10935
ko:K02355	kph:KPNIH24_10960
ko:K01141	kph:KPNIH24_10975
ko:K07258	kph:KPNIH24_10980
ko:K07470	kph:KPNIH24_10990
ko:K09802	kph:KPNIH24_11000
ko:K02233	kph:KPNIH24_11005
ko:K00768	kph:KPNIH24_11010
ko:K01251	kph:KPNIH24_11015
ko:K07168	kph:KPNIH24_11020
ko:K16345	kph:KPNIH24_15290
ko:K16839	kph:KPNIH24_15295
ko:K02073	kph:KPNIH24_15345
ko:K02071	kph:KPNIH24_15350
ko:K02072	kph:KPNIH24_15355
ko:K00459	kph:KPNIH24_15360
ko:K00598	kph:KPNIH24_15390
ko:K01607	kph:KPNIH24_15395
ko:K11903	kph:KPNIH24_15405
ko:K00041	kph:KPNIH24_15435
ko:K01425	kph:KPNIH24_15455
ko:K08324	kph:KPNIH24_15460
ko:K03829	kph:KPNIH24_15470
ko:K00016	kph:KPNIH24_15475
ko:K01714	kph:KPNIH24_15500
ko:K03307	kph:KPNIH24_15505
ko:K08159	kph:KPNIH24_15530
ko:K05595	kph:KPNIH24_15535
ko:K03712	kph:KPNIH24_15545
ko:K13632	kph:KPNIH24_15550
ko:K13630	kph:KPNIH24_15555
ko:K15268	kph:KPNIH24_15560
ko:K11963	kph:KPNIH24_15575
ko:K07459	kph:KPNIH24_19815
ko:K06188	kph:KPNIH24_19820
ko:K05601	kph:KPNIH24_19830
ko:K11933	kph:KPNIH24_19835
ko:K15977	kph:KPNIH24_19840
ko:K00156	kph:KPNIH24_19845
ko:K01620	kph:KPNIH24_19850
ko:K11066	kph:KPNIH24_19865
ko:K10000	kph:KPNIH24_19885
ko:K09997	kph:KPNIH24_19890
ko:K09999	kph:KPNIH24_19895
ko:K09998	kph:KPNIH24_19900
ko:K09996	kph:KPNIH24_19905
ko:K03212	kph:KPNIH24_19920
ko:K11074	kph:KPNIH24_19930
ko:K11075	kph:KPNIH24_19935
ko:K11076	kph:KPNIH24_19940
ko:K11073	kph:KPNIH24_19945
ko:K05844	kph:KPNIH24_19955
ko:K07085	kph:KPNIH24_19980
ko:K02192	kph:KPNIH24_24300
ko:K02358	kph:KPNIH24_24305
ko:K02355	kph:KPNIH24_24310
ko:K02992	kph:KPNIH24_24315
ko:K02950	kph:KPNIH24_24320
ko:K07237	kph:KPNIH24_24325
ko:K07236	kph:KPNIH24_24330
ko:K07235	kph:KPNIH24_24335
ko:K03772	kph:KPNIH24_24345
ko:K03745	kph:KPNIH24_24350
ko:K03775	kph:KPNIH24_24355
ko:K07070	kph:KPNIH24_24360
ko:K11747	kph:KPNIH24_24365
ko:K06158	kph:KPNIH24_24375
ko:K07019	kph:KPNIH24_24380
ko:K09898	kph:KPNIH24_24385
ko:K00855	kph:KPNIH24_24390
ko:K07397	kph:KPNIH24_24395
ko:K10914	kph:KPNIH24_24400
ko:K01664	kph:KPNIH24_24415
ko:K04095	kph:KPNIH24_24420
ko:K03767	kph:KPNIH24_24430
ko:K06141	kph:KPNIH24_24435
ko:K01485	kph:KPNIH24_24440
ko:K00362	kph:KPNIH24_24445
ko:K00363	kph:KPNIH24_24450
ko:K02302	kph:KPNIH24_24455
ko:K01867	kph:KPNIH24_24460
ko:K01091	kph:KPNIH24_24465
ko:K01783	kph:KPNIH24_24470
ko:K03112	kph:KPNIH24_24480
ko:K01735	kph:KPNIH24_24485
ko:K00891	kph:KPNIH24_24490
ko:K02507	kph:KPNIH24_24495
ko:K12291	kph:KPNIH24_24500
ko:K12290	kph:KPNIH24_24505
ko:K12289	kph:KPNIH24_24510
ko:K12288	kph:KPNIH24_24515
ko:K05366	kph:KPNIH24_24520
ko:K08312	kph:KPNIH24_24525
ko:K04762	kph:KPNIH24_24540
ko:K04083	kph:KPNIH24_24545
ko:K01610	kph:KPNIH24_24550
ko:K07638	kph:KPNIH24_24555
ko:K07659	kph:KPNIH24_24560
ko:K04760	kph:KPNIH24_24565
ko:K02760	kph:KPNIH24_02550
ko:K01222	kph:KPNIH24_02555
ko:K02761	kph:KPNIH24_02560
ko:K01226	kph:KPNIH24_02565
ko:K02818	kph:KPNIH24_02570
ko:K02819	kph:KPNIH24_02570
ko:K03485	kph:KPNIH24_02575
ko:K01531	kph:KPNIH24_02580
ko:K09022	kph:KPNIH24_02585
ko:K00610	kph:KPNIH24_02590
ko:K00609	kph:KPNIH24_02595
ko:K03710	kph:KPNIH24_02625
ko:K00611	kph:KPNIH24_02630
ko:K09893	kph:KPNIH24_02635
ko:K06169	kph:KPNIH24_02640
ko:K03828	kph:KPNIH24_02645
ko:K01873	kph:KPNIH24_02650
ko:K02339	kph:KPNIH24_02655
ko:K01255	kph:KPNIH24_02660
ko:K07091	kph:KPNIH24_02665
ko:K11720	kph:KPNIH24_02670
ko:K06915	kph:KPNIH24_02675
ko:K06606	kph:KPNIH24_02680
ko:K00140	kph:KPNIH24_02685
ko:K03337	kph:KPNIH24_02690
ko:K03338	kph:KPNIH24_02720
ko:K03336	kph:KPNIH24_02725
ko:K00010	kph:KPNIH24_02730
ko:K06605	kph:KPNIH24_02735
ko:K03335	kph:KPNIH24_02740
ko:K05813	kph:KPNIH24_02745
ko:K05816	kph:KPNIH24_02750
ko:K05815	kph:KPNIH24_02760
ko:K02058	kph:KPNIH24_03080
ko:K02056	kph:KPNIH24_03085
ko:K02057	kph:KPNIH24_03090
ko:K02057	kph:KPNIH24_03095
ko:K00355	kph:KPNIH24_03100
ko:K00135	kph:KPNIH24_03185
ko:K00484	kph:KPNIH24_03220
ko:K00483	kph:KPNIH24_03225
ko:K02508	kph:KPNIH24_03230
ko:K02511	kph:KPNIH24_03235
ko:K02510	kph:KPNIH24_03240
ko:K02509	kph:KPNIH24_03245
ko:K01826	kph:KPNIH24_03250
ko:K00455	kph:KPNIH24_03255
ko:K00151	kph:KPNIH24_03260
ko:K05921	kph:KPNIH24_03265
ko:K05921	kph:KPNIH24_03270
ko:K06015	kph:KPNIH24_03300
ko:K03307	kph:KPNIH24_03310
ko:K00883	kph:KPNIH24_03315
ko:K01631	kph:KPNIH24_03320
ko:K05895	kph:KPNIH24_07520
ko:K02190	kph:KPNIH24_07525
ko:K03394	kph:KPNIH24_07530
ko:K02007	kph:KPNIH24_07535
ko:K02009	kph:KPNIH24_07540
ko:K02008	kph:KPNIH24_07545
ko:K02006	kph:KPNIH24_07550
ko:K02232	kph:KPNIH24_07555
ko:K02231	kph:KPNIH24_07560
ko:K00768	kph:KPNIH24_07565
ko:K08304	kph:KPNIH24_07585
ko:K02426	kph:KPNIH24_07595
ko:K01766	kph:KPNIH24_07600
ko:K03566	kph:KPNIH24_07610
ko:K06968	kph:KPNIH24_07620
ko:K02430	kph:KPNIH24_07625
ko:K02431	kph:KPNIH24_07630
ko:K00879	kph:KPNIH24_07635
ko:K01818	kph:KPNIH24_07640
ko:K02429	kph:KPNIH24_07645
ko:K01628	kph:KPNIH24_07650
ko:K00048	kph:KPNIH24_07655
ko:K01146	kph:KPNIH24_07660
ko:K04091	kph:KPNIH24_07670
ko:K15553	kph:KPNIH24_07710
ko:K01752	kph:KPNIH24_07715
ko:K03837	kph:KPNIH24_07720
ko:K06966	kph:KPNIH24_07725
ko:K06879	kph:KPNIH24_07730
ko:K15723	kph:KPNIH24_07735
ko:K06175	kph:KPNIH24_07745
ko:K03535	kph:KPNIH24_07755
ko:K13918	kph:KPNIH24_07760
ko:K01706	kph:KPNIH24_07765
ko:K00865	kph:KPNIH24_07770
ko:K07678	kph:KPNIH24_07775
ko:K03215	kph:KPNIH24_07780
ko:K00951	kph:KPNIH24_07785
ko:K09902	kph:KPNIH24_11900
ko:K09160	kph:KPNIH24_11910
ko:K03611	kph:KPNIH24_11920
ko:K03314	kph:KPNIH24_11925
ko:K03603	kph:KPNIH24_11935
ko:K00285	kph:KPNIH24_11945
ko:K01775	kph:KPNIH24_11950
ko:K11105	kph:KPNIH24_11955
ko:K01297	kph:KPNIH24_11960
ko:K08308	kph:KPNIH24_11965
ko:K02014	kph:KPNIH24_11970
ko:K01194	kph:KPNIH24_11975
ko:K07395	kph:KPNIH24_12000
ko:K07592	kph:KPNIH24_12020
ko:K01754	kph:KPNIH24_12025
ko:K03838	kph:KPNIH24_12030
ko:K00932	kph:KPNIH24_12035
ko:K00656	kph:KPNIH24_12040
ko:K01999	kph:KPNIH24_12045
ko:K01997	kph:KPNIH24_12050
ko:K01998	kph:KPNIH24_12055
ko:K01995	kph:KPNIH24_12060
ko:K01996	kph:KPNIH24_12065
ko:K05814	kph:KPNIH24_02765
ko:K12957	kph:KPNIH24_02770
ko:K01607	kph:KPNIH24_06980
ko:K09702	kph:KPNIH24_07005
ko:K03893	kph:KPNIH24_07020
ko:K00537	kph:KPNIH24_07025
ko:K03305	kph:KPNIH24_07030
ko:K15550	kph:KPNIH24_07040
ko:K15547	kph:KPNIH24_07045
ko:K15549	kph:KPNIH24_07050
ko:K06975	kph:KPNIH24_07065
ko:K07350	kph:KPNIH24_07075
ko:K07349	kph:KPNIH24_07080
ko:K07348	kph:KPNIH24_07085
ko:K07347	kph:KPNIH24_07090
ko:K07346	kph:KPNIH24_07095
ko:K07351	kph:KPNIH24_07100
ko:K07345	kph:KPNIH24_07105
ko:K07358	kph:KPNIH24_07110
ko:K07357	kph:KPNIH24_07115
ko:K02100	kph:KPNIH24_07150
ko:K02532	kph:KPNIH24_07160
ko:K01193	kph:KPNIH24_07165
ko:K10192	kph:KPNIH24_07175
ko:K10195	kph:KPNIH24_07180
ko:K10194	kph:KPNIH24_07185
ko:K10193	kph:KPNIH24_07190
ko:K01586	kph:KPNIH24_07210
ko:K02761	kph:KPNIH24_07220
ko:K05350	kph:KPNIH24_07225
ko:K13637	kph:KPNIH24_07230
ko:K02529	kph:KPNIH24_07240
ko:K05939	kph:KPNIH24_07250
ko:K09781	kph:KPNIH24_11355
ko:K07781	kph:KPNIH24_11375
ko:K01176	kph:KPNIH24_11385
ko:K02424	kph:KPNIH24_11390
ko:K10009	kph:KPNIH24_11400
ko:K10010	kph:KPNIH24_11405
ko:K07782	kph:KPNIH24_11410
ko:K07689	kph:KPNIH24_11420
ko:K03703	kph:KPNIH24_11425
ko:K00995	kph:KPNIH24_11430
ko:K01714	kph:KPNIH24_11450
ko:K07039	kph:KPNIH24_11455
ko:K03834	kph:KPNIH24_11460
ko:K02217	kph:KPNIH24_11470
ko:K16210	kph:KPNIH24_11490
ko:K02255	kph:KPNIH24_11495
ko:K10537	kph:KPNIH24_11500
ko:K10539	kph:KPNIH24_11505
ko:K10538	kph:KPNIH24_11510
ko:K01087	kph:KPNIH24_11515
ko:K00697	kph:KPNIH24_11520
ko:K14064	kph:KPNIH24_11525
ko:K16210	kph:KPNIH24_11530
ko:K15532	kph:KPNIH24_11535
ko:K01887	kph:KPNIH24_11540
ko:K09907	kph:KPNIH24_11545
ko:K06201	kph:KPNIH24_11550
ko:K15257	kph:KPNIH24_11555
ko:K15256	kph:KPNIH24_11560
ko:K07136	kph:KPNIH24_11565
ko:K01876	kph:KPNIH24_11580
ko:K08310	kph:KPNIH24_11585
ko:K01159	kph:KPNIH24_11595
ko:K03550	kph:KPNIH24_11600
ko:K03551	kph:KPNIH24_11605
ko:K09816	kph:KPNIH24_11610
ko:K09817	kph:KPNIH24_11615
ko:K09815	kph:KPNIH24_11620
ko:K11743	kph:KPNIH24_15880
ko:K11744	kph:KPNIH24_15885
ko:K13929	kph:KPNIH24_15890
ko:K13930	kph:KPNIH24_15895
ko:K13931	kph:KPNIH24_15900
ko:K13932	kph:KPNIH24_15905
ko:K13933	kph:KPNIH24_15910
ko:K13936	kph:KPNIH24_15915
ko:K13934	kph:KPNIH24_15920
ko:K13935	kph:KPNIH24_15925
ko:K13928	kph:KPNIH24_15930
ko:K00116	kph:KPNIH24_15935
ko:K07106	kph:KPNIH24_15940
ko:K07701	kph:KPNIH24_15950
ko:K07703	kph:KPNIH24_15955
ko:K03734	kph:KPNIH24_15960
ko:K00244	kph:KPNIH24_15965
ko:K11106	kph:KPNIH24_15970
ko:K01676	kph:KPNIH24_15975
ko:K01607	kph:KPNIH24_15985
ko:K01055	kph:KPNIH24_15990
ko:K01857	kph:KPNIH24_15995
ko:K01032	kph:KPNIH24_16005
ko:K01031	kph:KPNIH24_16010
ko:K02624	kph:KPNIH24_16015
ko:K14057	kph:KPNIH24_16025
ko:K12940	kph:KPNIH24_16030
ko:K12942	kph:KPNIH24_16040
ko:K00567	kph:KPNIH24_16050
ko:K14055	kph:KPNIH24_16060
ko:K00325	kph:KPNIH24_16070
ko:K00324	kph:KPNIH24_16075
ko:K03758	kph:KPNIH24_16085
ko:K13938	kph:KPNIH24_16090
ko:K07661	kph:KPNIH24_16100
ko:K07639	kph:KPNIH24_16110
ko:K01679	kph:KPNIH24_16120
ko:K01676	kph:KPNIH24_16125
ko:K01809	kph:KPNIH24_16130
ko:K16136	kph:KPNIH24_16140
ko:K11939	kph:KPNIH24_20410
ko:K04047	kph:KPNIH24_20415
ko:K10036	kph:KPNIH24_20420
ko:K10037	kph:KPNIH24_20425
ko:K10038	kph:KPNIH24_20430
ko:K06970	kph:KPNIH24_20440
ko:K13650	kph:KPNIH24_20450
ko:K11927	kph:KPNIH24_20480
ko:K00615	kph:KPNIH24_20485
ko:K00615	kph:KPNIH24_20490
ko:K01993	kph:KPNIH24_20515
ko:K07027	kph:KPNIH24_20550
ko:K06890	kph:KPNIH24_20555
ko:K03635	kph:KPNIH24_20560
ko:K03636	kph:KPNIH24_20565
ko:K03637	kph:KPNIH24_20570
ko:K03638	kph:KPNIH24_20575
ko:K03760	kph:KPNIH24_20590
ko:K07771	kph:KPNIH24_20595
ko:K07643	kph:KPNIH24_20600
ko:K03702	kph:KPNIH24_20610
ko:K01935	kph:KPNIH24_20625
ko:K02169	kph:KPNIH24_20630
ko:K00652	kph:KPNIH24_20635
ko:K01012	kph:KPNIH24_20640
ko:K00833	kph:KPNIH24_20645
ko:K06910	kph:KPNIH24_20650
ko:K16234	kph:KPNIH24_20655
ko:K01745	kph:KPNIH24_20660
ko:K01712	kph:KPNIH24_20665
ko:K05836	kph:KPNIH24_20670
ko:K01479	kph:KPNIH24_20675
ko:K01468	kph:KPNIH24_20680
ko:K03089	kph:KPNIH24_24830
ko:K09811	kph:KPNIH24_24835
ko:K09812	kph:KPNIH24_24840
ko:K03110	kph:KPNIH24_24845
ko:K08316	kph:KPNIH24_24850
ko:K08993	kph:KPNIH24_24855
ko:K01534	kph:KPNIH24_24870
ko:K04085	kph:KPNIH24_24875
ko:K09125	kph:KPNIH24_24880
ko:K12963	kph:KPNIH24_24900
ko:K12962	kph:KPNIH24_24905
ko:K07264	kph:KPNIH24_24910
ko:K13014	kph:KPNIH24_24915
