ko:K00105	stz:SPYALAB49_001423
ko:K03647	stz:SPYALAB49_001675
ko:K03342	stz:SPYALAB49_001683
ko:K02035	stz:SPYALAB49_001688
ko:K02033	stz:SPYALAB49_001689
ko:K09815	stz:SPYALAB49_001695
ko:K02004	stz:SPYALAB49_001708
ko:K01835	stz:SPYALAB49_000929
ko:K04488	stz:SPYALAB49_000278
ko:K07258	stz:SPYALAB49_000281
ko:K15582	stz:SPYALAB49_000284
ko:K12296	stz:SPYALAB49_000291
ko:K06948	stz:SPYALAB49_000294
ko:K03499	stz:SPYALAB49_000308
ko:K03346	stz:SPYALAB49_000317
ko:K11144	stz:SPYALAB49_000318
ko:K06183	stz:SPYALAB49_001089
ko:K08483	stz:SPYALAB49_001118
ko:K11189	stz:SPYALAB49_001119
ko:K00088	stz:SPYALAB49_001860
ko:K03693	stz:SPYALAB49_000123
ko:K02243	stz:SPYALAB49_000127
ko:K02244	stz:SPYALAB49_000128
ko:K02245	stz:SPYALAB49_000129
ko:K02246	stz:SPYALAB49_000130
ko:K02248	stz:SPYALAB49_000132
ko:K01261	stz:SPYALAB49_000138
ko:K00626	stz:SPYALAB49_000157
ko:K02123	stz:SPYALAB49_000164
ko:K02124	stz:SPYALAB49_000165
ko:K02121	stz:SPYALAB49_000166
ko:K02119	stz:SPYALAB49_000167
ko:K02122	stz:SPYALAB49_000168
ko:K02117	stz:SPYALAB49_000170
ko:K02118	stz:SPYALAB49_000171
ko:K02120	stz:SPYALAB49_000172
ko:K02056	stz:SPYALAB49_000932
ko:K01489	stz:SPYALAB49_000934
ko:K00564	stz:SPYALAB49_000935
ko:K00867	stz:SPYALAB49_000936
ko:K14982	stz:SPYALAB49_000938
ko:K14983	stz:SPYALAB49_000939
ko:K01092	stz:SPYALAB49_000948
ko:K03177	stz:SPYALAB49_000952
ko:K02004	stz:SPYALAB49_000956
ko:K02005	stz:SPYALAB49_001710
ko:K07533	stz:SPYALAB49_001714
ko:K15051	stz:SPYALAB49_001720
ko:K12555	stz:SPYALAB49_001734
ko:K03708	stz:SPYALAB49_001745
ko:K03386	stz:SPYALAB49_001749
ko:K00603	stz:SPYALAB49_001753
ko:K11031	stz:SPYALAB49_000180
ko:K01760	stz:SPYALAB49_000183
ko:K03475	stz:SPYALAB49_000185
ko:K02822	stz:SPYALAB49_000186
ko:K02821	stz:SPYALAB49_000187
ko:K03493	stz:SPYALAB49_000191
ko:K03476	stz:SPYALAB49_000192
ko:K09825	stz:SPYALAB49_000197
ko:K01197	stz:SPYALAB49_000995
ko:K01479	stz:SPYALAB49_001759
ko:K07386	stz:SPYALAB49_001763
ko:K01226	stz:SPYALAB49_001764
ko:K02817	stz:SPYALAB49_001765
ko:K02818	stz:SPYALAB49_001765
ko:K02819	stz:SPYALAB49_001765
ko:K03486	stz:SPYALAB49_001766
ko:K07104	stz:SPYALAB49_001770
ko:K03810	stz:SPYALAB49_001774
ko:K02793	stz:SPYALAB49_000802
ko:K02795	stz:SPYALAB49_000804
ko:K07720	stz:SPYALAB49_000807
ko:K00135	stz:SPYALAB49_000809
ko:K07258	stz:SPYALAB49_000816
ko:K11072	stz:SPYALAB49_000824
ko:K11071	stz:SPYALAB49_000825
ko:K11069	stz:SPYALAB49_000827
ko:K01281	stz:SPYALAB49_001567
ko:K02342	stz:SPYALAB49_001573
ko:K01619	stz:SPYALAB49_001576
ko:K03317	stz:SPYALAB49_001577
ko:K01409	stz:SPYALAB49_001581
ko:K03713	stz:SPYALAB49_001587
ko:K07030	stz:SPYALAB49_001592
ko:K06889	stz:SPYALAB49_001597
ko:K03048	stz:SPYALAB49_001600
ko:K01727	stz:SPYALAB49_000782
ko:K07009	stz:SPYALAB49_000784
ko:K07305	stz:SPYALAB49_000800
ko:K08152	stz:SPYALAB49_001786
ko:K07652	stz:SPYALAB49_000477
ko:K03488	stz:SPYALAB49_000507
ko:K02755	stz:SPYALAB49_000508
ko:K02756	stz:SPYALAB49_000508
ko:K02757	stz:SPYALAB49_000508
ko:K03095	stz:SPYALAB49_000514
ko:K06023	stz:SPYALAB49_000516
ko:K07025	stz:SPYALAB49_000527
ko:K03856	stz:SPYALAB49_001275
ko:K10530	stz:SPYALAB49_000371
ko:K01361	stz:SPYALAB49_000373
ko:K03647	stz:SPYALAB49_000378
ko:K00059	stz:SPYALAB49_000389
ko:K01515	stz:SPYALAB49_000393
ko:K01243	stz:SPYALAB49_000395
ko:K03709	stz:SPYALAB49_000397
ko:K07304	stz:SPYALAB49_000409
ko:K10254	stz:SPYALAB49_000412
ko:K01197	stz:SPYALAB49_001176
ko:K03697	stz:SPYALAB49_001222
ko:K05350	stz:SPYALAB49_001291
ko:K01197	stz:SPYALAB49_001292
ko:K09704	stz:SPYALAB49_001294
ko:K01191	stz:SPYALAB49_001295
ko:K07706	stz:SPYALAB49_001296
ko:K15051	stz:SPYALAB49_001299
ko:K01197	stz:SPYALAB49_001308
ko:K07720	stz:SPYALAB49_001283
ko:K14230	stz:SPYALAB49_000041
ko:K12996	stz:SPYALAB49_000632
ko:K12997	stz:SPYALAB49_000633
ko:K07272	stz:SPYALAB49_000637
ko:K09153	stz:SPYALAB49_000640
ko:K01258	stz:SPYALAB49_000643
ko:K05337	stz:SPYALAB49_000645
ko:K00383	stz:SPYALAB49_000656
ko:K07584	stz:SPYALAB49_000663
ko:K02824	stz:SPYALAB49_000669
ko:K02005	stz:SPYALAB49_000673
ko:K02004	stz:SPYALAB49_000675
ko:K01635	stz:SPYALAB49_001440
ko:K00917	stz:SPYALAB49_001441
ko:K01819	stz:SPYALAB49_001442
ko:K01819	stz:SPYALAB49_001443
ko:K02530	stz:SPYALAB49_001447
ko:K16509	stz:SPYALAB49_000950
ko:K14233	stz:SPYALAB49_000040
ko:K14233	stz:SPYALAB49_000107
ko:K03699	stz:SPYALAB49_000346
ko:K14231	stz:SPYALAB49_000042
ko:K14231	stz:SPYALAB49_000109
ko:K14233	stz:SPYALAB49_000045
ko:K14224	stz:SPYALAB49_000106
ko:K14224	stz:SPYALAB49_001356
ko:K14224	stz:SPYALAB49_001867
ko:K03976	stz:SPYALAB49_000529
ko:K07273	stz:SPYALAB49_000531
ko:K12554	stz:SPYALAB49_000542
ko:K05363	stz:SPYALAB49_000543
ko:K02745	stz:SPYALAB49_000553
ko:K02744	stz:SPYALAB49_000555
ko:K00046	stz:SPYALAB49_000556
ko:K09762	stz:SPYALAB49_000573
ko:K09815	stz:SPYALAB49_000575
ko:K07586	stz:SPYALAB49_001355
ko:K02242	stz:SPYALAB49_001367
ko:K02240	stz:SPYALAB49_001368
ko:K07570	stz:SPYALAB49_001371
ko:K03768	stz:SPYALAB49_001372
ko:K07706	stz:SPYALAB49_000434
ko:K10563	stz:SPYALAB49_000450
ko:K12999	stz:SPYALAB49_000461
ko:K01759	stz:SPYALAB49_000462
ko:K00626	stz:SPYALAB49_000473
ko:K07668	stz:SPYALAB49_000476
ko:K00845	stz:SPYALAB49_001239
ko:K02236	stz:SPYALAB49_001242
ko:K07177	stz:SPYALAB49_001247
ko:K01478	stz:SPYALAB49_001256
ko:K06196	stz:SPYALAB49_001265
ko:K16511	stz:SPYALAB49_000272
ko:K07035	stz:SPYALAB49_000686
ko:K03436	stz:SPYALAB49_000688
ko:K00882	stz:SPYALAB49_000689
ko:K00974	stz:SPYALAB49_000700
ko:K01081	stz:SPYALAB49_000704
ko:K00869	stz:SPYALAB49_000708
ko:K01597	stz:SPYALAB49_000709
ko:K00938	stz:SPYALAB49_000710
ko:K01823	stz:SPYALAB49_000711
ko:K00054	stz:SPYALAB49_000712
ko:K01641	stz:SPYALAB49_000713
ko:K04086	stz:SPYALAB49_000720
ko:K03783	stz:SPYALAB49_000724
ko:K03784	stz:SPYALAB49_000726
ko:K02793	stz:SPYALAB49_001471
ko:K02794	stz:SPYALAB49_001471
ko:K02795	stz:SPYALAB49_001472
ko:K00059	stz:SPYALAB49_001483
ko:K02371	stz:SPYALAB49_001485
ko:K02433	stz:SPYALAB49_001500
ko:K01006	stz:SPYALAB49_001503
ko:K01424	stz:SPYALAB49_001509
ko:K01977	stz:SPYALAB49_001874
ko:K01977	stz:SPYALAB49_001891
ko:K01977	stz:SPYALAB49_001889
ko:K01977	stz:SPYALAB49_001883
ko:K01977	stz:SPYALAB49_001877
ko:K01977	stz:SPYALAB49_001880
ko:K16264	stz:SPYALAB49_000681
ko:K04516	stz:SPYALAB49_000581
ko:K06286	stz:SPYALAB49_000587
ko:K07004	stz:SPYALAB49_000599
ko:K15051	stz:SPYALAB49_000614
ko:K15051	stz:SPYALAB49_000615
ko:K02004	stz:SPYALAB49_000620
ko:K07054	stz:SPYALAB49_000622
ko:K11618	stz:SPYALAB49_001373
ko:K11617	stz:SPYALAB49_001374
ko:K00626	stz:SPYALAB49_001385
ko:K03700	stz:SPYALAB49_001396
ko:K01372	stz:SPYALAB49_001398
ko:K01916	stz:SPYALAB49_001399
ko:K12556	stz:SPYALAB49_001409
ko:K00616	stz:SPYALAB49_001419
ko:K14237	stz:SPYALAB49_000017
ko:K14237	stz:SPYALAB49_000103
ko:K14237	stz:SPYALAB49_001363
ko:K14237	stz:SPYALAB49_000028
ko:K14228	stz:SPYALAB49_000114
ko:K15583	stz:SPYALAB49_000285
ko:K14228	stz:SPYALAB49_000021
ko:K14228	stz:SPYALAB49_001359
ko:K14228	stz:SPYALAB49_000032
ko:K14234	stz:SPYALAB49_000022
ko:K14234	stz:SPYALAB49_001358
ko:K14234	stz:SPYALAB49_000033
ko:K14230	stz:SPYALAB49_000039
ko:K14225	stz:SPYALAB49_000043
ko:K14225	stz:SPYALAB49_000104
ko:K14220	stz:SPYALAB49_000289
ko:K14220	stz:SPYALAB49_001609
ko:K14220	stz:SPYALAB49_001866
ko:K14222	stz:SPYALAB49_001748
ko:K11045	stz:SPYALAB49_000969
ko:K11046	stz:SPYALAB49_000590a
ko:K16169	stz:SPYALAB49_000856
ko:K01223	stz:SPYALAB49_001076
ko:K07260	stz:SPYALAB49_001495
ko:K14235	stz:SPYALAB49_000111
ko:K10823	stz:SPYALAB49_000286
ko:K05340	stz:SPYALAB49_001859
ko:K13734	stz:SPYALAB49_000147
ko:K15770	stz:SPYALAB49_001055
ko:K15772	stz:SPYALAB49_001057
ko:K11040	stz:SPYALAB49_001687
ko:K11040	stz:SPYALAB49_000218
ko:K11040	stz:SPYALAB49_001169
ko:K16786	stz:SPYALAB49_001848
ko:K16787	stz:SPYALAB49_001847
ko:K16785	stz:SPYALAB49_001846
ko:K11044	stz:SPYALAB49_000380
ko:K16788	stz:SPYALAB49_001159
ko:K16789	stz:SPYALAB49_000530
ko:K13734	stz:SPYALAB49_000153
ko:K11704	stz:SPYALAB49_000398
ko:K00131	stz:SPYALAB49_001117
ko:K10009	stz:SPYALAB49_000734
ko:K02424	stz:SPYALAB49_000733
ko:K02030	stz:SPYALAB49_000970
ko:K02030	stz:SPYALAB49_000302
ko:K14223	stz:SPYALAB49_000113
ko:K14223	stz:SPYALAB49_000743
ko:K14232	stz:SPYALAB49_000026
ko:K14232	stz:SPYALAB49_000037
ko:K14229	stz:SPYALAB49_000019
ko:K14229	stz:SPYALAB49_001361
ko:K14229	stz:SPYALAB49_000030
ko:K14236	stz:SPYALAB49_000110
ko:K14236	stz:SPYALAB49_000742
ko:K14234	stz:SPYALAB49_001274
ko:K14229	stz:SPYALAB49_001686
ko:K14218	stz:SPYALAB49_000016
ko:K14218	stz:SPYALAB49_001610
ko:K14218	stz:SPYALAB49_000027
ko:K14218	stz:SPYALAB49_001364
ko:K14218	stz:SPYALAB49_000102
ko:K14218	stz:SPYALAB49_000288
ko:K14230	stz:SPYALAB49_000108
ko:K01426	stz:SPYALAB49_000732
ko:K16785	stz:SPYALAB49_001514
ko:K08986	stz:SPYALAB49_000510
ko:K16926	stz:SPYALAB49_001515
ko:K01980	stz:SPYALAB49_001873
ko:K01980	stz:SPYALAB49_001884
ko:K01980	stz:SPYALAB49_001878
ko:K01980	stz:SPYALAB49_001888
ko:K01980	stz:SPYALAB49_001875
ko:K01980	stz:SPYALAB49_001881
ko:K01985	stz:SPYALAB49_001876
ko:K01985	stz:SPYALAB49_001887
ko:K01985	stz:SPYALAB49_001882
ko:K01985	stz:SPYALAB49_001879
ko:K01985	stz:SPYALAB49_001885
ko:K01985	stz:SPYALAB49_001890
ko:K14221	stz:SPYALAB49_000018
ko:K14221	stz:SPYALAB49_001362
ko:K14221	stz:SPYALAB49_000029
ko:K14225	stz:SPYALAB49_000023
ko:K14225	stz:SPYALAB49_000034
ko:K14228	stz:SPYALAB49_000024
ko:K14228	stz:SPYALAB49_000035
ko:K14219	stz:SPYALAB49_000025
ko:K14219	stz:SPYALAB49_000036
ko:K14219	stz:SPYALAB49_000290
ko:K14219	stz:SPYALAB49_001608
ko:K14219	stz:SPYALAB49_000584
ko:K14219	stz:SPYALAB49_000745
ko:K14230	stz:SPYALAB49_000038
ko:K14227	stz:SPYALAB49_000044
ko:K14227	stz:SPYALAB49_001357
ko:K14227	stz:SPYALAB49_000105
ko:K14226	stz:SPYALAB49_000112
ko:K14233	stz:SPYALAB49_001459
ko:K14228	stz:SPYALAB49_001596
ko:K14219	stz:SPYALAB49_001869
ko:K16898	stz:SPYALAB49_000624
ko:K16899	stz:SPYALAB49_000623
ko:K08316	stz:SPYALAB49_001249
ko:K03574	stz:SPYALAB49_001223
ko:K11070	stz:SPYALAB49_000826
ko:K02851	stz:SPYALAB49_000273
ko:K02029	stz:SPYALAB49_001067
ko:K02030	stz:SPYALAB49_001067
ko:K01990	stz:SPYALAB49_000635
ko:K17319	stz:SPYALAB49_001288
ko:K17318	stz:SPYALAB49_001286
ko:K01992	stz:SPYALAB49_000634
ko:K01992	stz:SPYALAB49_001415
ko:K01992	stz:SPYALAB49_001462
ko:K01992	stz:SPYALAB49_001510
ko:K01992	stz:SPYALAB49_000471
ko:K01990	stz:SPYALAB49_000980
ko:K01990	stz:SPYALAB49_001463
ko:K01990	stz:SPYALAB49_001416
ko:K14988	stz:SPYALAB49_001616
ko:K02028	stz:SPYALAB49_001404
ko:K02028	stz:SPYALAB49_000971
ko:K03574	stz:SPYALAB49_000766
ko:K02028	stz:SPYALAB49_001068
ko:K01598	stz:SPYALAB49_000927
ko:K00951	stz:SPYALAB49_001673
ko:K17320	stz:SPYALAB49_001287
ko:K01897	stz:SPYALAB49_000474
ko:K01537	stz:SPYALAB49_000548
ko:K17076	stz:SPYALAB49_000268
ko:K17073	stz:SPYALAB49_000269
ko:K17074	stz:SPYALAB49_000269
ko:K02029	stz:SPYALAB49_001220
ko:K10947	stz:SPYALAB49_001829
ko:K02030	stz:SPYALAB49_000625
ko:K01035	stz:SPYALAB49_000159
ko:K01992	stz:SPYALAB49_000470
ko:K01992	stz:SPYALAB49_000596
ko:K01992	stz:SPYALAB49_000597
ko:K01035	stz:SPYALAB49_001387
ko:K01990	stz:SPYALAB49_000469
ko:K01990	stz:SPYALAB49_000595
ko:K01990	stz:SPYALAB49_001511
ko:K10112	stz:SPYALAB49_001668
ko:K17686	stz:SPYALAB49_001449
ko:K01101	stz:SPYALAB49_000792
ko:K07284	stz:SPYALAB49_000872
ko:K00226	stz:SPYALAB49_001164
ko:K03767	stz:SPYALAB49_000401
ko:K02026	stz:SPYALAB49_000248
ko:K01658	stz:SPYALAB49_001684
ko:K00537	stz:SPYALAB49_000723
ko:K02027	stz:SPYALAB49_000246
ko:K12574	stz:SPYALAB49_001585
ko:K01467	stz:SPYALAB49_000011
ko:K12574	stz:SPYALAB49_000774
ko:K01071	stz:SPYALAB49_000791
ko:K03366	stz:SPYALAB49_000566
ko:K06148	stz:SPYALAB49_000867
ko:K18153	stz:SPYALAB49_000178
ko:K02794	stz:SPYALAB49_000803
ko:K03596	stz:SPYALAB49_000794
ko:K12296	stz:SPYALAB49_001607
ko:K22044	stz:SPYALAB49_001602
ko:K18369	stz:SPYALAB49_000832
ko:K03742	stz:SPYALAB49_001783
ko:K18474	stz:SPYALAB49_001489
ko:K02001	stz:SPYALAB49_000194
ko:K02002	stz:SPYALAB49_000194
ko:K18581	stz:SPYALAB49_000554
ko:K18682	stz:SPYALAB49_001383
ko:K06896	stz:SPYALAB49_001677
ko:K18672	stz:SPYALAB49_000786
ko:K18692	stz:SPYALAB49_001406
ko:K01271	stz:SPYALAB49_000464
ko:K18892	stz:SPYALAB49_000230
ko:K18891	stz:SPYALAB49_000229
ko:K03111	stz:SPYALAB49_001544
ko:K03497	stz:SPYALAB49_001872
ko:K03111	stz:SPYALAB49_000142
ko:K03111	stz:SPYALAB49_001336
ko:K07029	stz:SPYALAB49_000602
ko:K07483	stz:SPYALAB49_000204
ko:K07483	stz:SPYALAB49_000209
ko:K07483	stz:SPYALAB49_001081
ko:K07483	stz:SPYALAB49_001086
ko:K07483	stz:SPYALAB49_001125
ko:K19002	stz:SPYALAB49_000467
ko:K18979	stz:SPYALAB49_000561
ko:K13052	stz:SPYALAB49_000009
ko:K18986	stz:SPYALAB49_001706
ko:K18987	stz:SPYALAB49_001707
ko:K19005	stz:SPYALAB49_000651
ko:K08652	stz:SPYALAB49_001698
ko:K02476	stz:SPYALAB49_000829
ko:K02475	stz:SPYALAB49_000828
ko:K14989	stz:SPYALAB49_001615
ko:K01710	stz:SPYALAB49_000765
ko:K01215	stz:SPYALAB49_001667
ko:K01364	stz:SPYALAB49_001716
ko:K14745	stz:SPYALAB49_001671
ko:K03722	stz:SPYALAB49_000568
ko:K07497	stz:SPYALAB49_001126
ko:K19302	stz:SPYALAB49_000343
ko:K04771	stz:SPYALAB49_001871
ko:K12998	stz:SPYALAB49_000636
ko:K02031	stz:SPYALAB49_001691
ko:K06881	stz:SPYALAB49_000579
ko:K00526	stz:SPYALAB49_001123
ko:K02796	stz:SPYALAB49_000805
ko:K02796	stz:SPYALAB49_001473
ko:K00887	stz:SPYALAB49_000416
ko:K07052	stz:SPYALAB49_000593
ko:K07497	stz:SPYALAB49_000428
ko:K07497	stz:SPYALAB49_000203
ko:K07497	stz:SPYALAB49_001087
ko:K00786	stz:SPYALAB49_000639
ko:K21636	stz:SPYALAB49_001776
ko:K11705	stz:SPYALAB49_000400
ko:K11706	stz:SPYALAB49_000399
ko:K20074	stz:SPYALAB49_001377
ko:K12132	stz:SPYALAB49_001376
ko:K20073	stz:SPYALAB49_001392
ko:K21349	stz:SPYALAB49_000488
ko:K20112	stz:SPYALAB49_001446
ko:K02777	stz:SPYALAB49_001678
ko:K20107	stz:SPYALAB49_001678
ko:K20108	stz:SPYALAB49_001678
ko:K20114	stz:SPYALAB49_001444
ko:K20113	stz:SPYALAB49_001445
ko:K20342	stz:SPYALAB49_000064
ko:K20344	stz:SPYALAB49_000437
ko:K20345	stz:SPYALAB49_000436
ko:K20373	stz:SPYALAB49_000449
ko:K20374	stz:SPYALAB49_000481
ko:K00526	stz:SPYALAB49_000377
ko:K20375	stz:SPYALAB49_001719
ko:K20344	stz:SPYALAB49_000419
ko:K20344	stz:SPYALAB49_000420
ko:K20344	stz:SPYALAB49_000421
ko:K21064	stz:SPYALAB49_001470
ko:K08968	stz:SPYALAB49_001111
ko:K00525	stz:SPYALAB49_000379
ko:K00525	stz:SPYALAB49_001121
ko:K06217	stz:SPYALAB49_000413
ko:K07455	stz:SPYALAB49_001193
ko:K02315	stz:SPYALAB49_001342
ko:K02316	stz:SPYALAB49_000628
ko:K00560	stz:SPYALAB49_000714
ko:K00287	stz:SPYALAB49_000715
ko:K01493	stz:SPYALAB49_001538
ko:K00857	stz:SPYALAB49_000859
ko:K01520	stz:SPYALAB49_000232
ko:K06909	stz:SPYALAB49_001017
ko:K07474	stz:SPYALAB49_001018
ko:K04068	stz:SPYALAB49_001772
ko:K03553	stz:SPYALAB49_001782
ko:K06919	stz:SPYALAB49_001802
ko:K01286	stz:SPYALAB49_000280
ko:K02314	stz:SPYALAB49_001837
ko:K06191	stz:SPYALAB49_001120
ko:K02335	stz:SPYALAB49_000195
ko:K02032	stz:SPYALAB49_001692
ko:K00571	stz:SPYALAB49_000134
ko:K01746	stz:SPYALAB49_001754
ko:K07741	stz:SPYALAB49_001348
ko:K06148	stz:SPYALAB49_001516
ko:K06148	stz:SPYALAB49_001517
ko:K07497	stz:SPYALAB49_000207
ko:K07497	stz:SPYALAB49_000208
ko:K07497	stz:SPYALAB49_001082
ko:K07497	stz:SPYALAB49_001083
ko:K21471	stz:SPYALAB49_000046
ko:K00863	stz:SPYALAB49_000472
ko:K21567	stz:SPYALAB49_000685
ko:K21828	stz:SPYALAB49_001257
ko:K21977	stz:SPYALAB49_000926
ko:K21993	stz:SPYALAB49_001158
ko:K03595	stz:SPYALAB49_000417
ko:K03078	stz:SPYALAB49_000188
ko:K22278	stz:SPYALAB49_001116
ko:K03077	stz:SPYALAB49_000190
ko:K03079	stz:SPYALAB49_000189
ko:K22457	stz:SPYALAB49_000569
