ko:K02058	mhae:F382_00370
ko:K06076	mhae:F382_12830
ko:K13643	mhae:F382_12835
ko:K04487	mhae:F382_12840
ko:K04082	mhae:F382_12855
ko:K04044	mhae:F382_12870
ko:K04755	mhae:F382_12880
ko:K03304	mhae:F382_12890
ko:K10773	mhae:F382_12900
ko:K07090	mhae:F382_12905
ko:K07042	mhae:F382_01470
ko:K06957	mhae:F382_01475
ko:K11754	mhae:F382_01485
ko:K01963	mhae:F382_01490
ko:K05685	mhae:F382_01515
ko:K15125	mhae:F382_01580
ko:K07568	mhae:F382_01590
ko:K07862	mhae:F382_01600
ko:K00901	mhae:F382_01605
ko:K01524	mhae:F382_01625
ko:K09802	mhae:F382_01630
ko:K02803	mhae:F382_01635
ko:K02804	mhae:F382_01635
ko:K00928	mhae:F382_01640
ko:K02621	mhae:F382_01645
ko:K02040	mhae:F382_01650
ko:K02037	mhae:F382_01655
ko:K02038	mhae:F382_01660
ko:K02036	mhae:F382_01665
ko:K07636	mhae:F382_01675
ko:K00962	mhae:F382_01680
ko:K05803	mhae:F382_01685
ko:K05592	mhae:F382_01690
ko:K11991	mhae:F382_01695
ko:K02834	mhae:F382_01705
ko:K02519	mhae:F382_01710
ko:K02600	mhae:F382_01715
ko:K09748	mhae:F382_01720
ko:K08309	mhae:F382_01735
ko:K01613	mhae:F382_05960
ko:K01153	mhae:F382_05965
ko:K03427	mhae:F382_05970
ko:K01154	mhae:F382_05985
ko:K01919	mhae:F382_06000
ko:K01766	mhae:F382_03480
ko:K00850	mhae:F382_03485
ko:K03151	mhae:F382_03490
ko:K01491	mhae:F382_03495
ko:K01939	mhae:F382_03690
ko:K04087	mhae:F382_03695
ko:K04088	mhae:F382_03700
ko:K03671	mhae:F382_03705
ko:K07275	mhae:F382_03710
ko:K03695	mhae:F382_03715
ko:K00549	mhae:F382_03720
ko:K14445	mhae:F382_03725
ko:K01633	mhae:F382_03740
ko:K08591	mhae:F382_03745
ko:K02111	mhae:F382_07900
ko:K02113	mhae:F382_07905
ko:K02109	mhae:F382_07910
ko:K02110	mhae:F382_07915
ko:K02108	mhae:F382_07920
ko:K01956	mhae:F382_07930
ko:K01955	mhae:F382_07935
ko:K01804	mhae:F382_07940
ko:K08092	mhae:F382_07945
ko:K10441	mhae:F382_07980
ko:K01053	mhae:F382_07995
ko:K00880	mhae:F382_08000
ko:K00111	mhae:F382_08020
ko:K02445	mhae:F382_08025
ko:K01126	mhae:F382_08030
ko:K02445	mhae:F382_08035
ko:K03501	mhae:F382_08050
ko:K03495	mhae:F382_08060
ko:K09858	mhae:F382_08065
ko:K09689	mhae:F382_08075
ko:K09688	mhae:F382_08080
ko:K10107	mhae:F382_08085
ko:K01991	mhae:F382_08090
ko:K02472	mhae:F382_08115
ko:K07266	mhae:F382_08125
ko:K07265	mhae:F382_08130
ko:K03655	mhae:F382_08145
ko:K04079	mhae:F382_08160
ko:K03314	mhae:F382_12080
ko:K03603	mhae:F382_12085
ko:K00615	mhae:F382_12095
ko:K02909	mhae:F382_12100
ko:K02521	mhae:F382_12115
ko:K01338	mhae:F382_12120
ko:K11752	mhae:F382_12130
ko:K00793	mhae:F382_12135
ko:K14652	mhae:F382_12140
ko:K00794	mhae:F382_12145
ko:K03820	mhae:F382_12150
ko:K06189	mhae:F382_12155
ko:K01151	mhae:F382_12175
ko:K13694	mhae:F382_12180
ko:K03648	mhae:F382_12195
ko:K07340	mhae:F382_12205
ko:K03578	mhae:F382_12215
ko:K03687	mhae:F382_12230
ko:K03327	mhae:F382_12240
ko:K03582	mhae:F382_12245
ko:K04760	mhae:F382_12250
ko:K07751	mhae:F382_12255
ko:K13888	mhae:F382_12265
ko:K01649	mhae:F382_12275
ko:K03088	mhae:F382_12280
ko:K03597	mhae:F382_12285
ko:K03598	mhae:F382_12290
ko:K00761	mhae:F382_12305
ko:K02528	mhae:F382_12310
ko:K03771	mhae:F382_12315
ko:K02825	mhae:F382_12320
ko:K03272	mhae:F382_12325
ko:K03977	mhae:F382_12330
ko:K02492	mhae:F382_12335
ko:K00099	mhae:F382_12345
ko:K03315	mhae:F382_12350
ko:K18828	mhae:F382_10545
ko:K01803	mhae:F382_06025
ko:K06176	mhae:F382_06030
ko:K03787	mhae:F382_06035
ko:K06194	mhae:F382_06055
ko:K01246	mhae:F382_06065
ko:K02078	mhae:F382_06070
ko:K01783	mhae:F382_06075
ko:K02909	mhae:F382_06080
ko:K02919	mhae:F382_06085
ko:K02424	mhae:F382_06090
ko:K10009	mhae:F382_06095
ko:K10010	mhae:F382_06100
ko:K02221	mhae:F382_06105
ko:K09923	mhae:F382_06110
ko:K03439	mhae:F382_06115
ko:K00648	mhae:F382_06120
ko:K01698	mhae:F382_06125
ko:K03118	mhae:F382_06130
ko:K03117	mhae:F382_06135
ko:K03116	mhae:F382_06140
ko:K03688	mhae:F382_06145
ko:K03690	mhae:F382_06155
ko:K03183	mhae:F382_06160
ko:K03284	mhae:F382_06165
ko:K01661	mhae:F382_06180
ko:K05365	mhae:F382_06185
ko:K04047	mhae:F382_06190
ko:K00611	mhae:F382_06200
ko:K15977	mhae:F382_06215
ko:K02899	mhae:F382_06230
ko:K07773	mhae:F382_10130
ko:K06211	mhae:F382_10140
ko:K11753	mhae:F382_10145
ko:K01870	mhae:F382_10150
ko:K00998	mhae:F382_10160
ko:K03218	mhae:F382_10165
ko:K02034	mhae:F382_10175
ko:K02837	mhae:F382_10190
ko:K07262	mhae:F382_10195
ko:K01056	mhae:F382_10200
ko:K06942	mhae:F382_10205
ko:K03303	mhae:F382_10210
ko:K00782	mhae:F382_10225
ko:K00989	mhae:F382_10240
ko:K06980	mhae:F382_10250
ko:K06726	mhae:F382_10260
ko:K10441	mhae:F382_10265
ko:K02529	mhae:F382_10285
ko:K07685	mhae:F382_10290
ko:K12297	mhae:F382_10295
ko:K03216	mhae:F382_10300
ko:K01443	mhae:F382_10315
ko:K01866	mhae:F382_10325
ko:K01573	mhae:F382_10340
ko:K07160	mhae:F382_10350
ko:K05879	mhae:F382_04565
ko:K02622	mhae:F382_03750
ko:K06173	mhae:F382_03780
ko:K01495	mhae:F382_03785
ko:K11211	mhae:F382_03790
ko:K03770	mhae:F382_03810
ko:K02956	mhae:F382_03815
ko:K09781	mhae:F382_03820
ko:K02498	mhae:F382_03825
ko:K02496	mhae:F382_03830
ko:K01749	mhae:F382_03840
ko:K04072	mhae:F382_03845
ko:K03758	mhae:F382_03860
ko:K09157	mhae:F382_03865
ko:K01448	mhae:F382_03870
ko:K06925	mhae:F382_03875
ko:K13288	mhae:F382_03880
ko:K00954	mhae:F382_03885
ko:K02527	mhae:F382_03890
ko:K08303	mhae:F382_03895
ko:K15536	mhae:F382_03900
ko:K02337	mhae:F382_03905
ko:K11720	mhae:F382_03910
ko:K07091	mhae:F382_03915
ko:K01255	mhae:F382_03925
ko:K01738	mhae:F382_03930
ko:K03628	mhae:F382_03935
ko:K01085	mhae:F382_03955
ko:K01085	mhae:F382_03960
ko:K00930	mhae:F382_03995
ko:K00145	mhae:F382_04000
ko:K01881	mhae:F382_08170
ko:K03788	mhae:F382_08180
ko:K00757	mhae:F382_08185
ko:K03181	mhae:F382_08195
ko:K01776	mhae:F382_08205
ko:K04075	mhae:F382_08245
ko:K03650	mhae:F382_08250
ko:K03773	mhae:F382_08265
ko:K02237	mhae:F382_08270
ko:K03555	mhae:F382_08280
ko:K01625	mhae:F382_08290
ko:K00874	mhae:F382_08295
ko:K01686	mhae:F382_08330
ko:K09710	mhae:F382_08340
ko:K00783	mhae:F382_08345
ko:K05515	mhae:F382_08350
ko:K05837	mhae:F382_08355
ko:K03642	mhae:F382_08360
ko:K09158	mhae:F382_08370
ko:K03801	mhae:F382_08375
ko:K03644	mhae:F382_08380
ko:K02015	mhae:F382_08395
ko:K05776	mhae:F382_08405
ko:K00604	mhae:F382_08410
ko:K03282	mhae:F382_08430
ko:K02968	mhae:F382_08435
ko:K03980	mhae:F382_08440
ko:K03564	mhae:F382_12395
ko:K03273	mhae:F382_12400
ko:K06879	mhae:F382_12405
ko:K09001	mhae:F382_12410
ko:K07106	mhae:F382_12420
ko:K07320	mhae:F382_12425
ko:K07154	mhae:F382_12460
ko:K01792	mhae:F382_12465
ko:K01347	mhae:F382_12470
ko:K09896	mhae:F382_12480
ko:K03673	mhae:F382_12485
ko:K01935	mhae:F382_12605
ko:K02169	mhae:F382_12610
ko:K09789	mhae:F382_12615
ko:K00833	mhae:F382_12625
ko:K03217	mhae:F382_08735
ko:K04485	mhae:F382_12920
ko:K03113	mhae:F382_01740
ko:K01591	mhae:F382_01745
ko:K05788	mhae:F382_01760
ko:K02945	mhae:F382_01765
ko:K00945	mhae:F382_01770
ko:K04691	mhae:F382_01775
ko:K04764	mhae:F382_01785
ko:K01890	mhae:F382_01790
ko:K01889	mhae:F382_01795
ko:K06956	mhae:F382_01810
ko:K09861	mhae:F382_01830
ko:K02996	mhae:F382_01855
ko:K02871	mhae:F382_01860
ko:K09908	mhae:F382_01865
ko:K01951	mhae:F382_01870
ko:K09904	mhae:F382_01905
ko:K07014	mhae:F382_01910
ko:K03804	mhae:F382_01915
ko:K03633	mhae:F382_01920
ko:K00963	mhae:F382_01925
ko:K03563	mhae:F382_01930
ko:K01872	mhae:F382_01935
ko:K00208	mhae:F382_01950
ko:K01147	mhae:F382_01965
ko:K02888	mhae:F382_06235
ko:K02523	mhae:F382_06240
ko:K09765	mhae:F382_06245
ko:K00645	mhae:F382_06250
ko:K03311	mhae:F382_06265
ko:K07560	mhae:F382_06275
ko:K07058	mhae:F382_06280
ko:K00147	mhae:F382_06285
ko:K03572	mhae:F382_06290
ko:K00791	mhae:F382_06310
ko:K03666	mhae:F382_06315
ko:K03665	mhae:F382_06320
ko:K04043	mhae:F382_06345
ko:K03686	mhae:F382_06355
ko:K03781	mhae:F382_06360
ko:K07112	mhae:F382_06370
ko:K00796	mhae:F382_06390
ko:K02553	mhae:F382_06405
ko:K07001	mhae:F382_06410
ko:K09936	mhae:F382_06435
ko:K13979	mhae:F382_06455
ko:K01070	mhae:F382_06460
ko:K08311	mhae:F382_06470
ko:K13292	mhae:F382_06480
ko:K01091	mhae:F382_06485
ko:K01867	mhae:F382_06500
ko:K07238	mhae:F382_10400
ko:K03978	mhae:F382_10410
ko:K09893	mhae:F382_10415
ko:K07113	mhae:F382_10430
ko:K06181	mhae:F382_10440
ko:K03426	mhae:F382_10445
ko:K05539	mhae:F382_10470
ko:K01704	mhae:F382_10485
ko:K01703	mhae:F382_10490
ko:K15580	mhae:F382_10495
ko:K01512	mhae:F382_10500
ko:K01256	mhae:F382_10505
ko:K07226	mhae:F382_10510
ko:K03834	mhae:F382_10520
ko:K03723	mhae:F382_10525
ko:K09803	mhae:F382_10530
ko:K11605	mhae:F382_10575
ko:K11606	mhae:F382_10580
ko:K06941	mhae:F382_10595
ko:K02656	mhae:F382_10610
ko:K06959	mhae:F382_10615
ko:K04773	mhae:F382_10625
ko:K14153	mhae:F382_10640
ko:K00878	mhae:F382_10650
ko:K11258	mhae:F382_10665
ko:K01652	mhae:F382_10670
ko:K03385	mhae:F382_10675
ko:K04013	mhae:F382_10680
ko:K07270	mhae:F382_04065
ko:K00785	mhae:F382_04070
ko:K04066	mhae:F382_04105
ko:K05786	mhae:F382_04110
ko:K14260	mhae:F382_04115
ko:K01737	mhae:F382_04145
ko:K06920	mhae:F382_04150
ko:K01810	mhae:F382_04160
ko:K03581	mhae:F382_04190
ko:K01775	mhae:F382_04195
ko:K04564	mhae:F382_04200
ko:K12524	mhae:F382_04210
ko:K00872	mhae:F382_04215
ko:K01883	mhae:F382_04220
ko:K07088	mhae:F382_04235
ko:K02379	mhae:F382_04240
ko:K00123	mhae:F382_04245
ko:K02380	mhae:F382_04265
ko:K01897	mhae:F382_04415
ko:K01897	mhae:F382_12300
ko:K00951	mhae:F382_12340
ko:K07316	mhae:F382_01430
ko:K03559	mhae:F382_04590
ko:K03604	mhae:F382_13275
ko:K01190	mhae:F382_06175
ko:K01990	mhae:F382_11440
ko:K14237	mhae:F382_01975
ko:K14220	mhae:F382_03215
ko:K14220	mhae:F382_07325
ko:K14220	mhae:F382_07315
ko:K14233	mhae:F382_03385
ko:K14233	mhae:F382_05620
ko:K14232	mhae:F382_03500
ko:K14232	mhae:F382_09260
ko:K01985	mhae:F382_04165
ko:K01985	mhae:F382_08510
ko:K01985	mhae:F382_09285
ko:K01985	mhae:F382_06570
ko:K01985	mhae:F382_10395
ko:K01985	mhae:F382_08225
ko:K01980	mhae:F382_04170
ko:K01980	mhae:F382_08505
ko:K01980	mhae:F382_10390
ko:K01980	mhae:F382_08220
ko:K01980	mhae:F382_09280
ko:K01980	mhae:F382_06575
ko:K14224	mhae:F382_04175
ko:K14224	mhae:F382_08215
ko:K01977	mhae:F382_04180
ko:K01977	mhae:F382_10375
ko:K01977	mhae:F382_08490
ko:K01977	mhae:F382_08210
ko:K01977	mhae:F382_06590
ko:K01977	mhae:F382_09265
ko:K14228	mhae:F382_05035
ko:K14219	mhae:F382_09250
ko:K14234	mhae:F382_07115
ko:K14234	mhae:F382_08710
ko:K14226	mhae:F382_09255
ko:K01992	mhae:F382_11445
ko:K14225	mhae:F382_00185
ko:K14225	mhae:F382_10555
ko:K14225	mhae:F382_10565
ko:K14222	mhae:F382_00190
ko:K14230	mhae:F382_00595
ko:K14230	mhae:F382_01730
ko:K14230	mhae:F382_13420
ko:K14230	mhae:F382_05030
ko:K14219	mhae:F382_00750
ko:K14219	mhae:F382_03505
ko:K14219	mhae:F382_05610
ko:K14219	mhae:F382_05615
ko:K14235	mhae:F382_00865
ko:K14237	mhae:F382_05585
ko:K14237	mhae:F382_05590
ko:K14237	mhae:F382_05600
ko:K14237	mhae:F382_05595
ko:K14223	mhae:F382_05040
ko:K14223	mhae:F382_05045
ko:K14218	mhae:F382_05575
ko:K14218	mhae:F382_06580
ko:K14218	mhae:F382_09275
ko:K14218	mhae:F382_10385
ko:K14218	mhae:F382_08500
ko:K14229	mhae:F382_06515
ko:K14229	mhae:F382_06525
ko:K14229	mhae:F382_06520
ko:K14227	mhae:F382_06585
ko:K14227	mhae:F382_08495
ko:K14227	mhae:F382_09270
ko:K14227	mhae:F382_10380
ko:K14235	mhae:F382_08525
ko:K14221	mhae:F382_08235
ko:K14221	mhae:F382_08520
ko:K14221	mhae:F382_11265
ko:K01985	mhae:F382_08230
ko:K01985	mhae:F382_08515
ko:K14238	mhae:F382_07775
ko:K14231	mhae:F382_07320
ko:K14231	mhae:F382_07330
ko:K14233	mhae:F382_07190
ko:K14233	mhae:F382_07195
ko:K14236	mhae:F382_07110
ko:K14225	mhae:F382_07105
ko:K14234	mhae:F382_07100
ko:K14228	mhae:F382_10560
ko:K14228	mhae:F382_13230
ko:K14228	mhae:F382_13430
ko:K03548	mhae:F382_01155
ko:K07054	mhae:F382_01195
ko:K03307	mhae:F382_01220
ko:K01262	mhae:F382_01250
ko:K01119	mhae:F382_01305
ko:K00813	mhae:F382_01480
ko:K05595	mhae:F382_03230
ko:K06177	mhae:F382_03255
ko:K03560	mhae:F382_03300
ko:K03574	mhae:F382_03360
ko:K03768	mhae:F382_04230
ko:K00124	mhae:F382_04255
ko:K00383	mhae:F382_04275
ko:K09998	mhae:F382_04385
ko:K10000	mhae:F382_04400
ko:K04763	mhae:F382_08240
ko:K13637	mhae:F382_08325
ko:K07258	mhae:F382_08365
ko:K03498	mhae:F382_08420
ko:K00230	mhae:F382_08425
ko:K00244	mhae:F382_08470
ko:K00245	mhae:F382_08475
ko:K00247	mhae:F382_08485
ko:K00799	mhae:F382_08540
ko:K01679	mhae:F382_08555
ko:K07343	mhae:F382_08560
ko:K01439	mhae:F382_06380
ko:K06179	mhae:F382_06395
ko:K03442	mhae:F382_06400
ko:K00101	mhae:F382_06465
ko:K01507	mhae:F382_06510
ko:K00616	mhae:F382_06610
ko:K01489	mhae:F382_03730
ko:K03593	mhae:F382_03795
ko:K02035	mhae:F382_03800
ko:K01719	mhae:F382_03835
ko:K01759	mhae:F382_04505
ko:K00970	mhae:F382_04525
ko:K00647	mhae:F382_04620
ko:K01176	mhae:F382_04665
ko:K02806	mhae:F382_04715
ko:K07186	mhae:F382_05090
ko:K06039	mhae:F382_05105
ko:K03711	mhae:F382_05130
ko:K01424	mhae:F382_05260
ko:K02843	mhae:F382_05940
ko:K02793	mhae:F382_06005
ko:K02794	mhae:F382_06005
ko:K02795	mhae:F382_06010
ko:K00380	mhae:F382_08620
ko:K03299	mhae:F382_08650
ko:K02821	mhae:F382_08665
ko:K03476	mhae:F382_08675
ko:K03286	mhae:F382_08755
ko:K02822	mhae:F382_08790
ko:K00059	mhae:F382_09090
ko:K01243	mhae:F382_09145
ko:K02851	mhae:F382_09215
ko:K02852	mhae:F382_09245
ko:K08680	mhae:F382_09335
ko:K10540	mhae:F382_09370
ko:K10541	mhae:F382_09380
ko:K08978	mhae:F382_09680
ko:K02784	mhae:F382_09920
ko:K08483	mhae:F382_09925
ko:K03491	mhae:F382_03950
ko:K01104	mhae:F382_03965
ko:K02795	mhae:F382_03975
ko:K02793	mhae:F382_03985
ko:K00799	mhae:F382_04005
ko:K03784	mhae:F382_04030
ko:K01619	mhae:F382_04035
ko:K03317	mhae:F382_04040
ko:K02552	mhae:F382_04120
ko:K09806	mhae:F382_04155
ko:K00484	mhae:F382_04765
ko:K11072	mhae:F382_04795
ko:K11071	mhae:F382_04800
ko:K15582	mhae:F382_04815
ko:K10823	mhae:F382_04820
ko:K15583	mhae:F382_04820
ko:K01092	mhae:F382_04900
ko:K01664	mhae:F382_04980
ko:K02619	mhae:F382_04995
ko:K01934	mhae:F382_05415
ko:K09815	mhae:F382_05470
ko:K15460	mhae:F382_06195
ko:K07792	mhae:F382_06210
ko:K00059	mhae:F382_06260
ko:K10563	mhae:F382_06270
ko:K03316	mhae:F382_06375
ko:K00819	mhae:F382_09405
ko:K10914	mhae:F382_09485
ko:K09898	mhae:F382_09490
ko:K02574	mhae:F382_09600
ko:K02569	mhae:F382_09610
ko:K02571	mhae:F382_09620
ko:K01515	mhae:F382_09665
ko:K01885	mhae:F382_05580
ko:K02348	mhae:F382_05645
ko:K00033	mhae:F382_05675
ko:K01082	mhae:F382_05700
ko:K00564	mhae:F382_05790
ko:K05832	mhae:F382_00110
ko:K05833	mhae:F382_00115
ko:K11085	mhae:F382_00145
ko:K04067	mhae:F382_00195
ko:K02427	mhae:F382_00220
ko:K00058	mhae:F382_10120
ko:K02033	mhae:F382_10180
ko:K02035	mhae:F382_10185
ko:K02014	mhae:F382_10230
ko:K10440	mhae:F382_10270
ko:K10439	mhae:F382_10275
ko:K00852	mhae:F382_10280
ko:K02564	mhae:F382_10310
ko:K01572	mhae:F382_10330
ko:K01571	mhae:F382_10335
ko:K04085	mhae:F382_10420
ko:K01258	mhae:F382_10550
ko:K11607	mhae:F382_10585
ko:K11604	mhae:F382_10590
ko:K04015	mhae:F382_10690
ko:K04018	mhae:F382_10710
ko:K02067	mhae:F382_10730
ko:K06212	mhae:F382_11090
ko:K01409	mhae:F382_11920
ko:K02549	mhae:F382_12000
ko:K06183	mhae:F382_12005
ko:K06177	mhae:F382_12045
ko:K01760	mhae:F382_12070
ko:K09909	mhae:F382_12160
ko:K11069	mhae:F382_12235
ko:K03803	mhae:F382_12295
ko:K02031	mhae:F382_12365
ko:K02034	mhae:F382_12365
ko:K02033	mhae:F382_12370
ko:K02035	mhae:F382_12375
ko:K06889	mhae:F382_12440
ko:K15583	mhae:F382_12585
ko:K10823	mhae:F382_12590
ko:K01674	mhae:F382_12595
ko:K01674	mhae:F382_12600
ko:K00652	mhae:F382_12620
ko:K00567	mhae:F382_12825
ko:K04488	mhae:F382_12845
ko:K13628	mhae:F382_12850
ko:K00974	mhae:F382_12895
ko:K02506	mhae:F382_12940
ko:K01739	mhae:F382_01370
ko:K07343	mhae:F382_11635
ko:K01785	mhae:F382_11695
ko:K07098	mhae:F382_11720
ko:K02824	mhae:F382_11780
ko:K07034	mhae:F382_11825
ko:K03972	mhae:F382_11840
ko:K02778	mhae:F382_11855
ko:K02779	mhae:F382_11855
ko:K11179	mhae:F382_11870
ko:K00882	mhae:F382_13150
ko:K00700	mhae:F382_13160
ko:K12984	mhae:F382_13380
ko:K03469	mhae:F382_13395
ko:K02371	mhae:F382_00325
ko:K02056	mhae:F382_00365
ko:K02099	mhae:F382_00375
ko:K07214	mhae:F382_00430
ko:K02014	mhae:F382_00435
ko:K01186	mhae:F382_00480
ko:K00939	mhae:F382_11130
ko:K00548	mhae:F382_11160
ko:K01784	mhae:F382_11215
ko:K02342	mhae:F382_11360
ko:K03617	mhae:F382_11390
ko:K03616	mhae:F382_11395
ko:K03615	mhae:F382_11400
ko:K03614	mhae:F382_11410
ko:K03612	mhae:F382_11415
ko:K03613	mhae:F382_11420
ko:K02017	mhae:F382_11460
ko:K01270	mhae:F382_11480
ko:K00769	mhae:F382_11495
ko:K08357	mhae:F382_11515
ko:K08359	mhae:F382_11520
ko:K08358	mhae:F382_11525
ko:K13040	mhae:F382_11550
ko:K13041	mhae:F382_11555
ko:K00568	mhae:F382_11565
ko:K00135	mhae:F382_06945
ko:K03299	mhae:F382_06965
ko:K00851	mhae:F382_06970
ko:K02010	mhae:F382_07090
ko:K00867	mhae:F382_07120
ko:K02200	mhae:F382_07135
ko:K09022	mhae:F382_00605
ko:K07729	mhae:F382_00795
ko:K02193	mhae:F382_06665
ko:K00674	mhae:F382_06790
ko:K01206	mhae:F382_06880
ko:K00010	mhae:F382_06900
ko:K03299	mhae:F382_07280
ko:K08234	mhae:F382_07350
ko:K02051	mhae:F382_07405
ko:K02050	mhae:F382_07410
ko:K07792	mhae:F382_07440
ko:K00854	mhae:F382_07460
ko:K02798	mhae:F382_07520
ko:K02799	mhae:F382_07520
ko:K02800	mhae:F382_07520
ko:K02466	mhae:F382_07540
ko:K00068	mhae:F382_07545
ko:K02782	mhae:F382_07555
ko:K02783	mhae:F382_07555
ko:K02783	mhae:F382_07560
ko:K10440	mhae:F382_07695
ko:K10439	mhae:F382_07700
ko:K03499	mhae:F382_07725
ko:K03635	mhae:F382_01465
ko:K07640	mhae:F382_01510
ko:K02014	mhae:F382_01540
ko:K02238	mhae:F382_01595
ko:K11751	mhae:F382_01610
ko:K07657	mhae:F382_01670
ko:K02428	mhae:F382_02305
ko:K05844	mhae:F382_02390
ko:K03748	mhae:F382_02520
ko:K17686	mhae:F382_03775
ko:K01788	mhae:F382_07780
ko:K01639	mhae:F382_07790
ko:K03718	mhae:F382_07875
ko:K02116	mhae:F382_07925
ko:K10440	mhae:F382_07985
ko:K10439	mhae:F382_07990
ko:K03177	mhae:F382_01700
ko:K08992	mhae:F382_01755
ko:K13283	mhae:F382_01820
ko:K00088	mhae:F382_01885
ko:K06149	mhae:F382_01940
ko:K01525	mhae:F382_01970
ko:K07305	mhae:F382_02250
ko:K07491	mhae:F382_02595
ko:K01156	mhae:F382_02625
ko:K07316	mhae:F382_02630
ko:K16012	mhae:F382_02660
ko:K01834	mhae:F382_02685
ko:K02010	mhae:F382_02725
ko:K01424	mhae:F382_01110
ko:K01989	mhae:F382_01130
ko:K03292	mhae:F382_08045
ko:K07318	mhae:F382_12710
ko:K01791	mhae:F382_04080
ko:K00226	mhae:F382_11785
ko:K11928	mhae:F382_05405
ko:K07459	mhae:F382_11595
ko:K14742	mhae:F382_01205
ko:K06518	mhae:F382_00135
ko:K01654	mhae:F382_04090
ko:K01069	mhae:F382_13085
ko:K01840	mhae:F382_08140
ko:K01658	mhae:F382_11285
ko:K05540	mhae:F382_04480
ko:K00018	mhae:F382_04950
ko:K14219	mhae:F382_03685
ko:K00884	mhae:F382_13355
ko:K03566	mhae:F382_05280
ko:K01271	mhae:F382_10425
ko:K00254	mhae:F382_00165
ko:K13695	mhae:F382_01780
ko:K03772	mhae:F382_09155
ko:K07812	mhae:F382_01435
ko:K02031	mhae:F382_10170
ko:K02032	mhae:F382_10170
ko:K00123	mhae:F382_04250
ko:K07812	mhae:F382_01405
ko:K03719	mhae:F382_01185
ko:K11747	mhae:F382_04630
ko:K01096	mhae:F382_13370
ko:K00127	mhae:F382_04260
ko:K00557	mhae:F382_07185
ko:K02822	mhae:F382_08670
ko:K03475	mhae:F382_08670
ko:K21449	mhae:F382_09730
ko:K03585	mhae:F382_01895
ko:K18138	mhae:F382_01890
ko:K00879	mhae:F382_07675
ko:K02794	mhae:F382_03980
ko:K21449	mhae:F382_11310
ko:K04753	mhae:F382_08720
ko:K01175	mhae:F382_13265
ko:K01347	mhae:F382_10785
ko:K01347	mhae:F382_11060
ko:K05786	mhae:F382_13130
ko:K01424	mhae:F382_07620
ko:K16087	mhae:F382_07630
ko:K01999	mhae:F382_01445
ko:K12368	mhae:F382_07860
ko:K06915	mhae:F382_02580
ko:K03088	mhae:F382_02805
ko:K03088	mhae:F382_02810
ko:K07154	mhae:F382_00080
ko:K07154	mhae:F382_00085
ko:K02529	mhae:F382_00625
ko:K01154	mhae:F382_05995
ko:K00059	mhae:F382_08835
ko:K10540	mhae:F382_09360
ko:K12368	mhae:F382_09385
ko:K12267	mhae:F382_04045
ko:K04752	mhae:F382_06340
ko:K12368	mhae:F382_09415
ko:K02902	mhae:F382_09530
ko:K07227	mhae:F382_10515
ko:K03462	mhae:F382_01310
ko:K18691	mhae:F382_05605
ko:K18928	mhae:F382_10215
ko:K18929	mhae:F382_10220
ko:K03427	mhae:F382_11165
ko:K18829	mhae:F382_10540
ko:K21645	mhae:F382_06960
ko:K18842	mhae:F382_06490
ko:K18841	mhae:F382_06495
ko:K18800	mhae:F382_04725
ko:K05789	mhae:F382_10000
ko:K02847	mhae:F382_10045
ko:K07339	mhae:F382_00975
ko:K18843	mhae:F382_00970
ko:K18850	mhae:F382_06820
ko:K00526	mhae:F382_01525
ko:K10747	mhae:F382_10365
ko:K03646	mhae:F382_03295
ko:K07473	mhae:F382_03615
ko:K07724	mhae:F382_09080
ko:K03674	mhae:F382_09850
ko:K07473	mhae:F382_06300
ko:K03111	mhae:F382_03040
ko:K07724	mhae:F382_10795
ko:K03169	mhae:F382_13480
ko:K03646	mhae:F382_11485
ko:K03497	mhae:F382_06720
ko:K07389	mhae:F382_07385
ko:K07724	mhae:F382_07490
ko:K08364	mhae:F382_07565
ko:K03746	mhae:F382_02510
ko:K07724	mhae:F382_07805
ko:K03111	mhae:F382_02005
ko:K03111	mhae:F382_00095
ko:K19055	mhae:F382_12435
ko:K03526	mhae:F382_05170
ko:K18991	mhae:F382_11830
ko:K11005	mhae:F382_07390
ko:K07746	mhae:F382_01090
ko:K07746	mhae:F382_06545
ko:K19157	mhae:F382_03620
ko:K19226	mhae:F382_02280
ko:K19119	mhae:F382_02570
ko:K19117	mhae:F382_02565
ko:K09951	mhae:F382_02540
ko:K04772	mhae:F382_10715
ko:K19157	mhae:F382_06295
ko:K02777	mhae:F382_09930
ko:K01710	mhae:F382_10040
ko:K00020	mhae:F382_08200
ko:K19118	mhae:F382_02560
ko:K19092	mhae:F382_06550
ko:K19228	mhae:F382_02270
ko:K07062	mhae:F382_08150
ko:K21498	mhae:F382_00775
ko:K07268	mhae:F382_05950
ko:K07497	mhae:F382_07485
ko:K07497	mhae:F382_07810
ko:K07497	mhae:F382_09075
ko:K07497	mhae:F382_09320
ko:K03722	mhae:F382_00130
ko:K07496	mhae:F382_02590
ko:K00839	mhae:F382_02770
ko:K19416	mhae:F382_11875
ko:K00525	mhae:F382_10455
ko:K02796	mhae:F382_06015
ko:K02796	mhae:F382_03970
ko:K19784	mhae:F382_06415
ko:K07147	mhae:F382_07600
ko:K19804	mhae:F382_01750
ko:K07662	mhae:F382_01500
ko:K19810	mhae:F382_00660
ko:K21636	mhae:F382_10655
