ko:K03316	ypz:YPZ3_3119
ko:K10108	ypz:YPZ3_3274
ko:K10109	ypz:YPZ3_3275
ko:K10110	ypz:YPZ3_3276
ko:K13256	ypz:YPZ3_3277
ko:K01810	ypz:YPZ3_3278
ko:K00928	ypz:YPZ3_3279
ko:K11017	ypz:YPZ3_3281
ko:K00548	ypz:YPZ3_3283
ko:K00906	ypz:YPZ3_3286
ko:K01637	ypz:YPZ3_3287
ko:K07663	ypz:YPZ3_0827
ko:K07641	ypz:YPZ3_0828
ko:K06143	ypz:YPZ3_0829
ko:K03840	ypz:YPZ3_0830
ko:K04763	ypz:YPZ3_0831
ko:K03981	ypz:YPZ3_0832
ko:K07462	ypz:YPZ3_0833
ko:K02836	ypz:YPZ3_0834
ko:K04567	ypz:YPZ3_0835
ko:K01224	ypz:YPZ3_0860
ko:K12308	ypz:YPZ3_0861
ko:K02024	ypz:YPZ3_0863
ko:K08191	ypz:YPZ3_0866
ko:K08302	ypz:YPZ3_0869
ko:K06871	ypz:YPZ3_0872
ko:K02079	ypz:YPZ3_0875
ko:K02744	ypz:YPZ3_0876
ko:K02747	ypz:YPZ3_0877
ko:K02746	ypz:YPZ3_0878
ko:K07275	ypz:YPZ3_1649
ko:K06190	ypz:YPZ3_1653
ko:K10806	ypz:YPZ3_1654
ko:K03832	ypz:YPZ3_1656
ko:K06131	ypz:YPZ3_1658
ko:K09901	ypz:YPZ3_1659
ko:K04072	ypz:YPZ3_1666
ko:K00857	ypz:YPZ3_1669
ko:K03746	ypz:YPZ3_1670
ko:K00012	ypz:YPZ3_1671
ko:K09858	ypz:YPZ3_1673
ko:K01433	ypz:YPZ3_1674
ko:K01142	ypz:YPZ3_1677
ko:K08320	ypz:YPZ3_1678
ko:K03169	ypz:YPZ3_1679
ko:K01008	ypz:YPZ3_1680
ko:K04773	ypz:YPZ3_1682
ko:K01424	ypz:YPZ3_1683
ko:K08281	ypz:YPZ3_1684
ko:K09916	ypz:YPZ3_1685
ko:K07305	ypz:YPZ3_1686
ko:K00134	ypz:YPZ3_1687
ko:K07180	ypz:YPZ3_1690
ko:K09786	ypz:YPZ3_1691
ko:K06911	ypz:YPZ3_1694
ko:K07552	ypz:YPZ3_1695
ko:K00285	ypz:YPZ3_1696
ko:K03603	ypz:YPZ3_1698
ko:K03314	ypz:YPZ3_1699
ko:K03611	ypz:YPZ3_1700
ko:K07788	ypz:YPZ3_2475
ko:K07799	ypz:YPZ3_2476
ko:K00375	ypz:YPZ3_2478
ko:K00823	ypz:YPZ3_2479
ko:K04046	ypz:YPZ3_2483
ko:K06213	ypz:YPZ3_2484
ko:K00937	ypz:YPZ3_2486
ko:K02037	ypz:YPZ3_2487
ko:K02038	ypz:YPZ3_2488
ko:K02036	ypz:YPZ3_2489
ko:K00657	ypz:YPZ3_2492
ko:K11175	ypz:YPZ3_2493
ko:K01933	ypz:YPZ3_2494
ko:K00761	ypz:YPZ3_2495
ko:K01491	ypz:YPZ3_2497
ko:K00981	ypz:YPZ3_2500
ko:K05349	ypz:YPZ3_2512
ko:K05367	ypz:YPZ3_2521
ko:K03475	ypz:YPZ3_2523
ko:K07095	ypz:YPZ3_2525
ko:K07071	ypz:YPZ3_2527
ko:K10017	ypz:YPZ3_2528
ko:K10015	ypz:YPZ3_2529
ko:K01698	ypz:YPZ3_3329
ko:K03424	ypz:YPZ3_3333
ko:K03118	ypz:YPZ3_3334
ko:K03117	ypz:YPZ3_3335
ko:K03688	ypz:YPZ3_3336
ko:K03690	ypz:YPZ3_3337
ko:K03183	ypz:YPZ3_3338
ko:K09760	ypz:YPZ3_3339
ko:K06200	ypz:YPZ3_3341
ko:K00757	ypz:YPZ3_3343
ko:K01061	ypz:YPZ3_3344
ko:K00549	ypz:YPZ3_3345
ko:K03576	ypz:YPZ3_3346
ko:K07088	ypz:YPZ3_3347
ko:K01126	ypz:YPZ3_3348
ko:K05816	ypz:YPZ3_3349
ko:K05815	ypz:YPZ3_3350
ko:K05814	ypz:YPZ3_3351
ko:K05813	ypz:YPZ3_3352
ko:K10038	ypz:YPZ3_2156
ko:K07042	ypz:YPZ3_2312
ko:K06217	ypz:YPZ3_2313
ko:K06168	ypz:YPZ3_2314
ko:K03184	ypz:YPZ3_2315
ko:K01953	ypz:YPZ3_2316
ko:K02566	ypz:YPZ3_2317
ko:K02565	ypz:YPZ3_2318
ko:K01443	ypz:YPZ3_2319
ko:K02564	ypz:YPZ3_2320
ko:K02802	ypz:YPZ3_2321
ko:K02803	ypz:YPZ3_2321
ko:K02804	ypz:YPZ3_2321
ko:K01886	ypz:YPZ3_2323
ko:K12373	ypz:YPZ3_2326
ko:K03711	ypz:YPZ3_2327
ko:K03839	ypz:YPZ3_2328
ko:K02002	ypz:YPZ3_2334
ko:K02000	ypz:YPZ3_2336
ko:K00526	ypz:YPZ3_2337
ko:K00525	ypz:YPZ3_2338
ko:K03647	ypz:YPZ3_2339
ko:K02035	ypz:YPZ3_2344
ko:K02033	ypz:YPZ3_2345
ko:K02034	ypz:YPZ3_2346
ko:K02031	ypz:YPZ3_2347
ko:K02032	ypz:YPZ3_2348
ko:K01430	ypz:YPZ3_2349
ko:K01429	ypz:YPZ3_2350
ko:K01428	ypz:YPZ3_2351
ko:K03187	ypz:YPZ3_2352
ko:K03188	ypz:YPZ3_2353
ko:K03189	ypz:YPZ3_2354
ko:K03190	ypz:YPZ3_2355
ko:K08717	ypz:YPZ3_2356
ko:K07241	ypz:YPZ3_2357
ko:K10716	ypz:YPZ3_2359
ko:K01226	ypz:YPZ3_3178
ko:K02818	ypz:YPZ3_3179
ko:K02819	ypz:YPZ3_3179
ko:K03485	ypz:YPZ3_3180
ko:K09022	ypz:YPZ3_3182
ko:K00610	ypz:YPZ3_3183
ko:K00609	ypz:YPZ3_3184
ko:K06958	ypz:YPZ3_3185
ko:K02806	ypz:YPZ3_3186
ko:K03092	ypz:YPZ3_3187
ko:K06861	ypz:YPZ3_3188
ko:K09774	ypz:YPZ3_3189
ko:K11719	ypz:YPZ3_3190
ko:K03270	ypz:YPZ3_3191
ko:K06041	ypz:YPZ3_3192
ko:K07301	ypz:YPZ3_3193
ko:K02065	ypz:YPZ3_3194
ko:K02066	ypz:YPZ3_3195
ko:K02067	ypz:YPZ3_3196
ko:K07323	ypz:YPZ3_3197
ko:K07122	ypz:YPZ3_3198
ko:K00790	ypz:YPZ3_3199
ko:K04691	ypz:YPZ3_3200
ko:K09908	ypz:YPZ3_3203
ko:K06916	ypz:YPZ3_3204
ko:K02871	ypz:YPZ3_3205
ko:K02996	ypz:YPZ3_3206
ko:K03599	ypz:YPZ3_3207
ko:K03600	ypz:YPZ3_3208
ko:K00266	ypz:YPZ3_3210
ko:K00265	ypz:YPZ3_3211
ko:K07139	ypz:YPZ3_3212
ko:K07648	ypz:YPZ3_3213
ko:K03814	ypz:YPZ3_3215
ko:K12961	ypz:YPZ3_3217
ko:K07460	ypz:YPZ3_3218
ko:K07121	ypz:YPZ3_3219
ko:K07056	ypz:YPZ3_3220
ko:K06911	ypz:YPZ3_3221
ko:K07393	ypz:YPZ3_3223
ko:K06889	ypz:YPZ3_3226
ko:K02990	ypz:YPZ3_3227
ko:K02939	ypz:YPZ3_3228
ko:K07269	ypz:YPZ3_3231
ko:K03773	ypz:YPZ3_3232
ko:K07322	ypz:YPZ3_3233
ko:K01581	ypz:YPZ3_0768
ko:K10439	ypz:YPZ3_0769
ko:K10441	ypz:YPZ3_0770
ko:K10440	ypz:YPZ3_0771
ko:K02014	ypz:YPZ3_0772
ko:K02016	ypz:YPZ3_0773
ko:K08306	ypz:YPZ3_0774
ko:K03575	ypz:YPZ3_0775
ko:K03439	ypz:YPZ3_0776
ko:K09923	ypz:YPZ3_0777
ko:K01425	ypz:YPZ3_0778
ko:K09131	ypz:YPZ3_0783
ko:K02221	ypz:YPZ3_0784
ko:K00286	ypz:YPZ3_0785
ko:K06997	ypz:YPZ3_0786
ko:K02669	ypz:YPZ3_0787
ko:K10536	ypz:YPZ3_0788
ko:K12251	ypz:YPZ3_0789
ko:K07447	ypz:YPZ3_0790
ko:K07735	ypz:YPZ3_0791
ko:K01920	ypz:YPZ3_0792
ko:K09761	ypz:YPZ3_0793
ko:K02742	ypz:YPZ3_0795
ko:K00789	ypz:YPZ3_0796
ko:K01585	ypz:YPZ3_0797
ko:K07387	ypz:YPZ3_0799
ko:K00615	ypz:YPZ3_0800
ko:K03472	ypz:YPZ3_0802
ko:K00927	ypz:YPZ3_0803
ko:K01624	ypz:YPZ3_0804
ko:K03442	ypz:YPZ3_0805
ko:K06895	ypz:YPZ3_0806
ko:K09807	ypz:YPZ3_0807
ko:K05596	ypz:YPZ3_0808
ko:K01807	ypz:YPZ3_0809
ko:K00058	ypz:YPZ3_0810
ko:K09888	ypz:YPZ3_0812
ko:K09895	ypz:YPZ3_0813
ko:K01262	ypz:YPZ3_0814
ko:K03185	ypz:YPZ3_0815
ko:K00605	ypz:YPZ3_0817
ko:K02437	ypz:YPZ3_0818
ko:K00281	ypz:YPZ3_0819
ko:K10748	ypz:YPZ3_1593
ko:K01679	ypz:YPZ3_1594
ko:K01809	ypz:YPZ3_1595
ko:K10538	ypz:YPZ3_1601
ko:K10539	ypz:YPZ3_1602
ko:K10537	ypz:YPZ3_1603
ko:K00853	ypz:YPZ3_1604
ko:K01804	ypz:YPZ3_1605
ko:K03617	ypz:YPZ3_1611
ko:K03616	ypz:YPZ3_1612
ko:K03615	ypz:YPZ3_1613
ko:K03614	ypz:YPZ3_1615
ko:K03612	ypz:YPZ3_1616
ko:K03613	ypz:YPZ3_1617
ko:K10773	ypz:YPZ3_1618
ko:K01147	ypz:YPZ3_1621
ko:K06200	ypz:YPZ3_1622
ko:K08313	ypz:YPZ3_1624
ko:K03113	ypz:YPZ3_1626
ko:K01591	ypz:YPZ3_1627
ko:K01681	ypz:YPZ3_1632
ko:K13634	ypz:YPZ3_1634
ko:K03168	ypz:YPZ3_1635
ko:K04774	ypz:YPZ3_1636
ko:K06178	ypz:YPZ3_1639
ko:K07053	ypz:YPZ3_1641
ko:K01657	ypz:YPZ3_1642
ko:K01658	ypz:YPZ3_1643
ko:K00766	ypz:YPZ3_1644
ko:K13498	ypz:YPZ3_1645
ko:K01696	ypz:YPZ3_1646
ko:K01695	ypz:YPZ3_1647
ko:K07715	ypz:YPZ3_2418
ko:K01950	ypz:YPZ3_2419
ko:K04751	ypz:YPZ3_2420
ko:K05916	ypz:YPZ3_2423
ko:K00600	ypz:YPZ3_2424
ko:K05820	ypz:YPZ3_2426
ko:K01092	ypz:YPZ3_2431
ko:K13643	ypz:YPZ3_2433
ko:K04487	ypz:YPZ3_2434
ko:K04488	ypz:YPZ3_2435
ko:K04082	ypz:YPZ3_2436
ko:K04044	ypz:YPZ3_2437
ko:K04755	ypz:YPZ3_2438
ko:K07751	ypz:YPZ3_2439
ko:K00940	ypz:YPZ3_2445
ko:K06941	ypz:YPZ3_2446
ko:K02656	ypz:YPZ3_2447
ko:K01892	ypz:YPZ3_2450
ko:K03977	ypz:YPZ3_2453
ko:K07088	ypz:YPZ3_2454
ko:K03601	ypz:YPZ3_2455
ko:K00088	ypz:YPZ3_2456
ko:K01951	ypz:YPZ3_2457
ko:K08308	ypz:YPZ3_1454
ko:K05595	ypz:YPZ3_1455
ko:K01868	ypz:YPZ3_1456
ko:K02520	ypz:YPZ3_1457
ko:K02887	ypz:YPZ3_1458
ko:K01889	ypz:YPZ3_1459
ko:K01890	ypz:YPZ3_1460
ko:K06073	ypz:YPZ3_1462
ko:K00432	ypz:YPZ3_1463
ko:K06074	ypz:YPZ3_1464
ko:K07806	ypz:YPZ3_1465
ko:K10012	ypz:YPZ3_1466
ko:K10011	ypz:YPZ3_1467
ko:K13014	ypz:YPZ3_1468
ko:K07264	ypz:YPZ3_1469
ko:K12962	ypz:YPZ3_1470
ko:K12963	ypz:YPZ3_1471
ko:K03800	ypz:YPZ3_1473
ko:K01626	ypz:YPZ3_1476
ko:K09773	ypz:YPZ3_1477
ko:K01007	ypz:YPZ3_1478
ko:K05997	ypz:YPZ3_1482
ko:K00336	ypz:YPZ3_2254
ko:K00335	ypz:YPZ3_2255
ko:K00334	ypz:YPZ3_2256
ko:K13378	ypz:YPZ3_2257
ko:K00331	ypz:YPZ3_2258
ko:K00330	ypz:YPZ3_2259
ko:K08722	ypz:YPZ3_2262
ko:K09161	ypz:YPZ3_2265
ko:K09899	ypz:YPZ3_2266
ko:K00925	ypz:YPZ3_2267
ko:K02821	ypz:YPZ3_2270
ko:K06894	ypz:YPZ3_2273
ko:K08996	ypz:YPZ3_2274
ko:K00140	ypz:YPZ3_2276
ko:K03336	ypz:YPZ3_2277
ko:K00010	ypz:YPZ3_2278
ko:K00010	ypz:YPZ3_2279
ko:K03338	ypz:YPZ3_2284
ko:K03335	ypz:YPZ3_2285
ko:K03337	ypz:YPZ3_2286
ko:K06199	ypz:YPZ3_2292
ko:K03644	ypz:YPZ3_2293
ko:K03801	ypz:YPZ3_2294
ko:K07258	ypz:YPZ3_2295
ko:K03642	ypz:YPZ3_2296
ko:K05837	ypz:YPZ3_2297
ko:K05515	ypz:YPZ3_2298
ko:K00783	ypz:YPZ3_2299
ko:K09710	ypz:YPZ3_2300
ko:K00969	ypz:YPZ3_2301
ko:K02340	ypz:YPZ3_2302
ko:K03643	ypz:YPZ3_2303
ko:K01869	ypz:YPZ3_2304
ko:K10004	ypz:YPZ3_2306
ko:K10002	ypz:YPZ3_2307
ko:K10003	ypz:YPZ3_2308
ko:K11209	ypz:YPZ3_3128
ko:K02687	ypz:YPZ3_3140
ko:K02160	ypz:YPZ3_3143
ko:K03786	ypz:YPZ3_3144
ko:K07147	ypz:YPZ3_3146
ko:K03569	ypz:YPZ3_3149
ko:K03570	ypz:YPZ3_3150
ko:K03571	ypz:YPZ3_3151
ko:K06287	ypz:YPZ3_3152
ko:K08301	ypz:YPZ3_3153
ko:K03568	ypz:YPZ3_3156
ko:K11021	ypz:YPZ3_3157
ko:K11021	ypz:YPZ3_3158
ko:K00135	ypz:YPZ3_3170
ko:K09889	ypz:YPZ3_3173
ko:K03592	ypz:YPZ3_3174
ko:K06140	ypz:YPZ3_3177
ko:K12942	ypz:YPZ3_0713
ko:K01258	ypz:YPZ3_0714
ko:K02014	ypz:YPZ3_0715
ko:K02529	ypz:YPZ3_0740
ko:K11901	ypz:YPZ3_0756
ko:K11900	ypz:YPZ3_0757
ko:K11893	ypz:YPZ3_0758
ko:K11892	ypz:YPZ3_0759
ko:K11903	ypz:YPZ3_0761
ko:K11907	ypz:YPZ3_0762
ko:K03737	ypz:YPZ3_1543
ko:K07507	ypz:YPZ3_1545
ko:K03778	ypz:YPZ3_1548
ko:K09978	ypz:YPZ3_1550
ko:K01118	ypz:YPZ3_1553
ko:K03578	ypz:YPZ3_1554
ko:K04775	ypz:YPZ3_1556
ko:K11021	ypz:YPZ3_1560
ko:K01299	ypz:YPZ3_1562
ko:K07639	ypz:YPZ3_1563
ko:K07661	ypz:YPZ3_1564
ko:K03758	ypz:YPZ3_1566
ko:K00324	ypz:YPZ3_1568
ko:K00325	ypz:YPZ3_1569
ko:K00567	ypz:YPZ3_1572
ko:K01653	ypz:YPZ3_1577
ko:K01652	ypz:YPZ3_1578
ko:K01241	ypz:YPZ3_1584
ko:K02529	ypz:YPZ3_1587
ko:K03281	ypz:YPZ3_1588
ko:K01935	ypz:YPZ3_1589
ko:K08224	ypz:YPZ3_1592
ko:K06199	ypz:YPZ3_2360
ko:K06199	ypz:YPZ3_2361
ko:K02760	ypz:YPZ3_2362
ko:K02761	ypz:YPZ3_2363
ko:K02759	ypz:YPZ3_2364
ko:K03490	ypz:YPZ3_2365
ko:K03478	ypz:YPZ3_2366
ko:K03645	ypz:YPZ3_2367
ko:K07667	ypz:YPZ3_2370
ko:K07646	ypz:YPZ3_2371
ko:K01548	ypz:YPZ3_2372
ko:K01547	ypz:YPZ3_2373
ko:K01546	ypz:YPZ3_2374
ko:K01669	ypz:YPZ3_2376
ko:K07160	ypz:YPZ3_2381
ko:K01304	ypz:YPZ3_2384
ko:K03648	ypz:YPZ3_2385
ko:K06866	ypz:YPZ3_2386
ko:K05590	ypz:YPZ3_2389
ko:K00278	ypz:YPZ3_2391
ko:K03088	ypz:YPZ3_2392
ko:K03597	ypz:YPZ3_2393
ko:K03598	ypz:YPZ3_2394
ko:K03803	ypz:YPZ3_2395
ko:K03596	ypz:YPZ3_2397
ko:K03100	ypz:YPZ3_2398
ko:K03685	ypz:YPZ3_2399
ko:K03595	ypz:YPZ3_2400
ko:K03584	ypz:YPZ3_2401
ko:K03474	ypz:YPZ3_2404
ko:K00997	ypz:YPZ3_2405
ko:K07106	ypz:YPZ3_2408
ko:K02015	ypz:YPZ3_1400
ko:K02016	ypz:YPZ3_1401
ko:K00963	ypz:YPZ3_1404
ko:K00963	ypz:YPZ3_1405
ko:K00033	ypz:YPZ3_1406
ko:K11755	ypz:YPZ3_1407
ko:K02500	ypz:YPZ3_1408
ko:K01814	ypz:YPZ3_1409
ko:K02501	ypz:YPZ3_1410
ko:K01089	ypz:YPZ3_1411
ko:K00817	ypz:YPZ3_1412
ko:K00013	ypz:YPZ3_1413
ko:K00765	ypz:YPZ3_1414
ko:K08317	ypz:YPZ3_1420
ko:K01141	ypz:YPZ3_1422
ko:K09802	ypz:YPZ3_1424
ko:K10441	ypz:YPZ3_2200
ko:K10440	ypz:YPZ3_2201
ko:K10439	ypz:YPZ3_2202
ko:K09988	ypz:YPZ3_2203
ko:K01624	ypz:YPZ3_2204
ko:K06911	ypz:YPZ3_2207
ko:K06145	ypz:YPZ3_2208
ko:K06155	ypz:YPZ3_2209
ko:K00851	ypz:YPZ3_2210
ko:K00133	ypz:YPZ3_2213
ko:K02478	ypz:YPZ3_2215
ko:K00700	ypz:YPZ3_2216
ko:K02438	ypz:YPZ3_2217
ko:K00975	ypz:YPZ3_2218
ko:K00703	ypz:YPZ3_2219
ko:K00688	ypz:YPZ3_2220
ko:K00111	ypz:YPZ3_2221
ko:K06970	ypz:YPZ3_2227
ko:K01911	ypz:YPZ3_2229
ko:K02549	ypz:YPZ3_2230
ko:K01661	ypz:YPZ3_2231
ko:K08680	ypz:YPZ3_2232
ko:K02551	ypz:YPZ3_2233
ko:K02552	ypz:YPZ3_2234
ko:K05594	ypz:YPZ3_2236
ko:K01690	ypz:YPZ3_2237
ko:K00050	ypz:YPZ3_2240
ko:K00046	ypz:YPZ3_2243
ko:K00851	ypz:YPZ3_2244
ko:K00343	ypz:YPZ3_2247
ko:K00342	ypz:YPZ3_2248
ko:K00341	ypz:YPZ3_2249
ko:K00340	ypz:YPZ3_2250
ko:K00339	ypz:YPZ3_2251
ko:K00338	ypz:YPZ3_2252
ko:K00337	ypz:YPZ3_2253
ko:K02026	ypz:YPZ3_3065
ko:K02025	ypz:YPZ3_3066
ko:K03824	ypz:YPZ3_3070
ko:K08303	ypz:YPZ3_3072
ko:K05592	ypz:YPZ3_3079
ko:K05803	ypz:YPZ3_3080
ko:K00962	ypz:YPZ3_3081
ko:K11895	ypz:YPZ3_3085
ko:K11894	ypz:YPZ3_3086
ko:K11906	ypz:YPZ3_3087
ko:K11893	ypz:YPZ3_3088
ko:K11892	ypz:YPZ3_3089
ko:K11907	ypz:YPZ3_3090
ko:K11909	ypz:YPZ3_3092
ko:K11910	ypz:YPZ3_3093
ko:K11891	ypz:YPZ3_3094
ko:K11911	ypz:YPZ3_3095
ko:K11911	ypz:YPZ3_3096
ko:K00852	ypz:YPZ3_3111
ko:K01619	ypz:YPZ3_3112
ko:K00299	ypz:YPZ3_3113
ko:K06901	ypz:YPZ3_3118
ko:K12974	ypz:YPZ3_3121
ko:K02279	ypz:YPZ3_0650
ko:K02278	ypz:YPZ3_0651
ko:K02016	ypz:YPZ3_0657
ko:K02400	ypz:YPZ3_0659
ko:K02400	ypz:YPZ3_0660
ko:K02401	ypz:YPZ3_0661
ko:K02421	ypz:YPZ3_0662
ko:K02419	ypz:YPZ3_0663
ko:K02417	ypz:YPZ3_0664
ko:K02416	ypz:YPZ3_0665
ko:K02408	ypz:YPZ3_0667
ko:K02409	ypz:YPZ3_0668
ko:K02410	ypz:YPZ3_0669
ko:K02411	ypz:YPZ3_0670
ko:K02412	ypz:YPZ3_0671
ko:K02399	ypz:YPZ3_0673
ko:K02386	ypz:YPZ3_0674
ko:K02387	ypz:YPZ3_0675
ko:K02388	ypz:YPZ3_0676
ko:K02389	ypz:YPZ3_0677
ko:K02390	ypz:YPZ3_0678
ko:K02391	ypz:YPZ3_0680
ko:K02392	ypz:YPZ3_0681
ko:K02393	ypz:YPZ3_0682
ko:K02394	ypz:YPZ3_0683
ko:K02396	ypz:YPZ3_0684
ko:K02397	ypz:YPZ3_0685
ko:K02406	ypz:YPZ3_0689
ko:K02406	ypz:YPZ3_0690
ko:K02406	ypz:YPZ3_0691
ko:K02407	ypz:YPZ3_0692
ko:K02422	ypz:YPZ3_0693
ko:K02415	ypz:YPZ3_0696
ko:K02405	ypz:YPZ3_0697
ko:K02556	ypz:YPZ3_0698
ko:K02557	ypz:YPZ3_0699
ko:K09014	ypz:YPZ3_1483
ko:K09013	ypz:YPZ3_1484
ko:K09015	ypz:YPZ3_1485
ko:K11717	ypz:YPZ3_1486
ko:K02426	ypz:YPZ3_1487
ko:K00873	ypz:YPZ3_1492
ko:K03327	ypz:YPZ3_1493
ko:K00793	ypz:YPZ3_1494
ko:K00574	ypz:YPZ3_1495
ko:K03604	ypz:YPZ3_1498
ko:K04564	ypz:YPZ3_1499
ko:K07390	ypz:YPZ3_1501
ko:K03683	ypz:YPZ3_1502
ko:K11021	ypz:YPZ3_1504
ko:K10680	ypz:YPZ3_1505
ko:K03760	ypz:YPZ3_1507
ko:K06075	ypz:YPZ3_1509
ko:K06077	ypz:YPZ3_1510
ko:K09001	ypz:YPZ3_1511
ko:K00275	ypz:YPZ3_1513
ko:K01866	ypz:YPZ3_1514
ko:K00868	ypz:YPZ3_1515
ko:K03305	ypz:YPZ3_1518
ko:K03974	ypz:YPZ3_1526
ko:K03969	ypz:YPZ3_1527
ko:K06918	ypz:YPZ3_1529
ko:K08990	ypz:YPZ3_1530
ko:K03721	ypz:YPZ3_1533
ko:K11065	ypz:YPZ3_1535
ko:K10001	ypz:YPZ3_2309
ko:K03820	ypz:YPZ3_2310
ko:K06189	ypz:YPZ3_2311
ko:K12524	ypz:YPZ3_0446
ko:K00872	ypz:YPZ3_0447
ko:K01733	ypz:YPZ3_0448
ko:K09861	ypz:YPZ3_0449
ko:K00616	ypz:YPZ3_0450
ko:K03831	ypz:YPZ3_0451
ko:K07034	ypz:YPZ3_0454
ko:K04043	ypz:YPZ3_0455
ko:K03686	ypz:YPZ3_0456
ko:K03313	ypz:YPZ3_0457
ko:K03717	ypz:YPZ3_0458
ko:K11753	ypz:YPZ3_0460
ko:K01870	ypz:YPZ3_0461
ko:K03101	ypz:YPZ3_0462
ko:K03774	ypz:YPZ3_0463
ko:K03527	ypz:YPZ3_0464
ko:K00215	ypz:YPZ3_0466
ko:K01956	ypz:YPZ3_0467
ko:K01955	ypz:YPZ3_0468
ko:K00287	ypz:YPZ3_0472
ko:K01525	ypz:YPZ3_0475
ko:K06195	ypz:YPZ3_0476
ko:K03634	ypz:YPZ3_1257
ko:K07478	ypz:YPZ3_1258
ko:K01875	ypz:YPZ3_1259
ko:K08219	ypz:YPZ3_1260
ko:K04069	ypz:YPZ3_1261
ko:K07270	ypz:YPZ3_1262
ko:K00656	ypz:YPZ3_1263
ko:K09136	ypz:YPZ3_1265
ko:K01424	ypz:YPZ3_1266
ko:K00831	ypz:YPZ3_1269
ko:K03925	ypz:YPZ3_0524
ko:K03438	ypz:YPZ3_0525
ko:K03586	ypz:YPZ3_0526
ko:K03587	ypz:YPZ3_0527
ko:K01928	ypz:YPZ3_0528
ko:K01929	ypz:YPZ3_0529
ko:K01000	ypz:YPZ3_0530
ko:K01925	ypz:YPZ3_0531
ko:K03588	ypz:YPZ3_0532
ko:K02563	ypz:YPZ3_0533
ko:K03658	ypz:YPZ3_1314
ko:K01734	ypz:YPZ3_1315
ko:K09909	ypz:YPZ3_1316
ko:K06929	ypz:YPZ3_1317
ko:K11940	ypz:YPZ3_1318
ko:K06969	ypz:YPZ3_1319
ko:K11179	ypz:YPZ3_1320
ko:K02372	ypz:YPZ3_1325
ko:K00647	ypz:YPZ3_1326
ko:K00059	ypz:YPZ3_1327
ko:K01641	ypz:YPZ3_1328
ko:K00645	ypz:YPZ3_1333
ko:K11901	ypz:YPZ3_1334
ko:K11900	ypz:YPZ3_1335
ko:K11893	ypz:YPZ3_1336
ko:K11907	ypz:YPZ3_1340
ko:K11891	ypz:YPZ3_1349
ko:K11910	ypz:YPZ3_1350
ko:K11896	ypz:YPZ3_1353
ko:K11895	ypz:YPZ3_1354
ko:K11906	ypz:YPZ3_1355
ko:K11911	ypz:YPZ3_1357
ko:K03750	ypz:YPZ3_1363
ko:K06871	ypz:YPZ3_1364
ko:K02003	ypz:YPZ3_1365
ko:K01070	ypz:YPZ3_1368
ko:K00121	ypz:YPZ3_1369
ko:K01495	ypz:YPZ3_1372
ko:K10439	ypz:YPZ3_2143
ko:K11934	ypz:YPZ3_2148
ko:K00598	ypz:YPZ3_2151
ko:K04047	ypz:YPZ3_2152
ko:K10036	ypz:YPZ3_2154
ko:K10037	ypz:YPZ3_2155
ko:K03406	ypz:YPZ3_2157
ko:K07783	ypz:YPZ3_2161
ko:K12368	ypz:YPZ3_2164
ko:K12369	ypz:YPZ3_2165
ko:K12370	ypz:YPZ3_2166
ko:K12371	ypz:YPZ3_2167
ko:K12372	ypz:YPZ3_2168
ko:K11103	ypz:YPZ3_2174
ko:K00874	ypz:YPZ3_2176
ko:K07290	ypz:YPZ3_2178
ko:K01521	ypz:YPZ3_2179
ko:K07058	ypz:YPZ3_2180
ko:K00865	ypz:YPZ3_2185
ko:K02647	ypz:YPZ3_2187
ko:K00383	ypz:YPZ3_2188
ko:K07115	ypz:YPZ3_2189
ko:K01414	ypz:YPZ3_2190
ko:K00262	ypz:YPZ3_2193
ko:K06149	ypz:YPZ3_2194
ko:K06144	ypz:YPZ3_2195
ko:K07007	ypz:YPZ3_2198
ko:K09910	ypz:YPZ3_3011
ko:K01682	ypz:YPZ3_3012
ko:K00382	ypz:YPZ3_3014
ko:K00627	ypz:YPZ3_3015
ko:K00163	ypz:YPZ3_3016
ko:K03807	ypz:YPZ3_3019
ko:K03806	ypz:YPZ3_3020
ko:K00767	ypz:YPZ3_3021
ko:K02682	ypz:YPZ3_3022
ko:K02504	ypz:YPZ3_3023
ko:K02505	ypz:YPZ3_3024
ko:K00364	ypz:YPZ3_3025
ko:K00859	ypz:YPZ3_3026
ko:K11720	ypz:YPZ3_3034
ko:K07091	ypz:YPZ3_3035
ko:K01255	ypz:YPZ3_3036
ko:K02339	ypz:YPZ3_3037
ko:K01873	ypz:YPZ3_3038
ko:K03828	ypz:YPZ3_3039
ko:K09893	ypz:YPZ3_3040
ko:K00611	ypz:YPZ3_3041
ko:K02035	ypz:YPZ3_3043
ko:K02035	ypz:YPZ3_3044
ko:K02033	ypz:YPZ3_3045
ko:K02034	ypz:YPZ3_3046
ko:K02031	ypz:YPZ3_3047
ko:K02032	ypz:YPZ3_3048
ko:K04068	ypz:YPZ3_3050
ko:K02043	ypz:YPZ3_3051
ko:K06166	ypz:YPZ3_3052
ko:K06165	ypz:YPZ3_3053
ko:K06164	ypz:YPZ3_3054
ko:K06163	ypz:YPZ3_3055
ko:K05781	ypz:YPZ3_3056
ko:K05780	ypz:YPZ3_3057
ko:K06162	ypz:YPZ3_3058
ko:K05774	ypz:YPZ3_3059
ko:K06167	ypz:YPZ3_3060
