ko:K19586	eclx:LI66_16110
ko:K00484	eclx:LI66_03015
ko:K00483	eclx:LI66_03020
ko:K02508	eclx:LI66_03025
ko:K02511	eclx:LI66_03030
ko:K02510	eclx:LI66_03035
ko:K02509	eclx:LI66_03040
ko:K01826	eclx:LI66_03045
ko:K00455	eclx:LI66_03050
ko:K00151	eclx:LI66_03055
ko:K05921	eclx:LI66_03060
ko:K01002	eclx:LI66_03080
ko:K02317	eclx:LI66_03095
ko:K02761	eclx:LI66_03135
ko:K13255	eclx:LI66_03140
ko:K01183	eclx:LI66_07310
ko:K01620	eclx:LI66_07335
ko:K00156	eclx:LI66_07340
ko:K11933	eclx:LI66_07345
ko:K05601	eclx:LI66_07350
ko:K06188	eclx:LI66_07360
ko:K07459	eclx:LI66_07365
ko:K09824	eclx:LI66_07370
ko:K13888	eclx:LI66_07375
ko:K05685	eclx:LI66_07380
ko:K03704	eclx:LI66_07385
ko:K06891	eclx:LI66_07390
ko:K03694	eclx:LI66_07395
ko:K02518	eclx:LI66_07405
ko:K00684	eclx:LI66_07410
ko:K16012	eclx:LI66_07415
ko:K16013	eclx:LI66_07420
ko:K00384	eclx:LI66_07425
ko:K03719	eclx:LI66_07430
ko:K03466	eclx:LI66_07435
ko:K03634	eclx:LI66_07440
ko:K07478	eclx:LI66_07445
ko:K01875	eclx:LI66_07450
ko:K07306	eclx:LI66_07455
ko:K07307	eclx:LI66_07460
ko:K07308	eclx:LI66_07465
ko:K08219	eclx:LI66_07470
ko:K04069	eclx:LI66_07480
ko:K00656	eclx:LI66_07485
ko:K06212	eclx:LI66_07490
ko:K09136	eclx:LI66_07495
ko:K00831	eclx:LI66_07505
ko:K00800	eclx:LI66_07510
ko:K00945	eclx:LI66_07515
ko:K02945	eclx:LI66_07520
ko:K05788	eclx:LI66_07525
ko:K02238	eclx:LI66_07530
ko:K11085	eclx:LI66_07535
ko:K00912	eclx:LI66_07540
ko:K09927	eclx:LI66_07545
ko:K09791	eclx:LI66_07550
ko:K00979	eclx:LI66_07555
ko:K06219	eclx:LI66_07570
ko:K03633	eclx:LI66_07575
ko:K03804	eclx:LI66_07580
ko:K11905	eclx:LI66_11815
ko:K11906	eclx:LI66_11825
ko:K11904	eclx:LI66_11850
ko:K11906	eclx:LI66_11855
ko:K11895	eclx:LI66_11860
ko:K11896	eclx:LI66_11865
ko:K11896	eclx:LI66_11880
ko:K11910	eclx:LI66_11885
ko:K11891	eclx:LI66_11890
ko:K11904	eclx:LI66_11920
ko:K11907	eclx:LI66_11925
ko:K11903	eclx:LI66_11930
ko:K11892	eclx:LI66_11940
ko:K11893	eclx:LI66_11945
ko:K11900	eclx:LI66_11950
ko:K11901	eclx:LI66_11955
ko:K15580	eclx:LI66_11960
ko:K14054	eclx:LI66_11965
ko:K11065	eclx:LI66_11975
ko:K03721	eclx:LI66_11980
ko:K08990	eclx:LI66_11985
ko:K06918	eclx:LI66_11990
ko:K14053	eclx:LI66_12000
ko:K10112	eclx:LI66_12005
ko:K01838	eclx:LI66_12010
ko:K04844	eclx:LI66_12015
ko:K02026	eclx:LI66_12035
ko:K02025	eclx:LI66_12040
ko:K02027	eclx:LI66_12045
ko:K03971	eclx:LI66_12055
ko:K03970	eclx:LI66_12065
ko:K03969	eclx:LI66_12070
ko:K03974	eclx:LI66_12075
ko:K19226	eclx:LI66_12080
ko:K19227	eclx:LI66_12085
ko:K01011	eclx:LI66_16235
ko:K07751	eclx:LI66_16250
ko:K04755	eclx:LI66_16260
ko:K04044	eclx:LI66_16265
ko:K04082	eclx:LI66_16270
ko:K13628	eclx:LI66_16275
ko:K04488	eclx:LI66_16280
ko:K04487	eclx:LI66_16285
ko:K13643	eclx:LI66_16290
ko:K15396	eclx:LI66_16295
ko:K01092	eclx:LI66_16300
ko:K05820	eclx:LI66_16320
ko:K15977	eclx:LI66_16325
ko:K00600	eclx:LI66_16330
ko:K05916	eclx:LI66_16340
ko:K04751	eclx:LI66_16345
ko:K07715	eclx:LI66_16350
ko:K07711	eclx:LI66_16360
ko:K01952	eclx:LI66_16365
ko:K18691	eclx:LI66_16370
ko:K11991	eclx:LI66_16375
ko:K18697	eclx:LI66_16380
ko:K02809	eclx:LI66_16385
ko:K02810	eclx:LI66_16385
ko:K07106	eclx:LI66_16390
ko:K00997	eclx:LI66_16405
ko:K03474	eclx:LI66_16410
ko:K03584	eclx:LI66_16415
ko:K03685	eclx:LI66_16425
ko:K03100	eclx:LI66_16430
ko:K03596	eclx:LI66_16435
ko:K03803	eclx:LI66_16440
ko:K03598	eclx:LI66_16445
ko:K03597	eclx:LI66_16450
ko:K03088	eclx:LI66_16455
ko:K00278	eclx:LI66_16460
ko:K15460	eclx:LI66_16465
ko:K05590	eclx:LI66_16470
ko:K03648	eclx:LI66_16480
ko:K03214	eclx:LI66_16485
ko:K03672	eclx:LI66_16490
ko:K05812	eclx:LI66_16495
ko:K02358	eclx:LI66_20680
ko:K02355	eclx:LI66_20685
ko:K02992	eclx:LI66_20690
ko:K02950	eclx:LI66_20695
ko:K07237	eclx:LI66_20700
ko:K07236	eclx:LI66_20705
ko:K07235	eclx:LI66_20710
ko:K03772	eclx:LI66_20720
ko:K03745	eclx:LI66_20725
ko:K03775	eclx:LI66_20730
ko:K07070	eclx:LI66_20735
ko:K11747	eclx:LI66_20740
ko:K11748	eclx:LI66_20745
ko:K06158	eclx:LI66_20750
ko:K13928	eclx:LI66_20755
ko:K13935	eclx:LI66_20760
ko:K13934	eclx:LI66_20765
ko:K13936	eclx:LI66_20770
ko:K13933	eclx:LI66_20775
ko:K13932	eclx:LI66_20780
ko:K13931	eclx:LI66_20785
ko:K13930	eclx:LI66_20790
ko:K13929	eclx:LI66_20795
ko:K07019	eclx:LI66_20805
ko:K09898	eclx:LI66_20810
ko:K00855	eclx:LI66_20815
ko:K07397	eclx:LI66_20820
ko:K10914	eclx:LI66_20825
ko:K01664	eclx:LI66_20840
ko:K04095	eclx:LI66_20845
ko:K03767	eclx:LI66_20850
ko:K06141	eclx:LI66_20855
ko:K00362	eclx:LI66_20860
ko:K00363	eclx:LI66_20865
ko:K02302	eclx:LI66_20870
ko:K01867	eclx:LI66_20880
ko:K01091	eclx:LI66_20885
ko:K01783	eclx:LI66_20890
ko:K03112	eclx:LI66_20900
ko:K01735	eclx:LI66_20905
ko:K00891	eclx:LI66_20910
ko:K02507	eclx:LI66_20920
ko:K12291	eclx:LI66_20925
ko:K12290	eclx:LI66_20930
ko:K12289	eclx:LI66_20935
ko:K12288	eclx:LI66_20940
ko:K05366	eclx:LI66_20945
ko:K03101	eclx:LI66_03435
ko:K03774	eclx:LI66_03440
ko:K03527	eclx:LI66_03445
ko:K00215	eclx:LI66_03450
ko:K01956	eclx:LI66_03455
ko:K01955	eclx:LI66_03460
ko:K11746	eclx:LI66_03475
ko:K01525	eclx:LI66_03490
ko:K06195	eclx:LI66_03495
ko:K02528	eclx:LI66_03500
ko:K00097	eclx:LI66_03505
ko:K03771	eclx:LI66_03510
ko:K04744	eclx:LI66_03515
ko:K05801	eclx:LI66_03520
ko:K06177	eclx:LI66_03525
ko:K03580	eclx:LI66_03530
ko:K02336	eclx:LI66_03535
ko:K01804	eclx:LI66_03545
ko:K00853	eclx:LI66_03550
ko:K02099	eclx:LI66_03555
ko:K02062	eclx:LI66_03565
ko:K02063	eclx:LI66_03570
ko:K02064	eclx:LI66_03575
ko:K11925	eclx:LI66_03580
ko:K03291	eclx:LI66_03590
ko:K01704	eclx:LI66_03595
ko:K01703	eclx:LI66_03600
ko:K00052	eclx:LI66_03605
ko:K01649	eclx:LI66_03610
ko:K05798	eclx:LI66_03615
ko:K01652	eclx:LI66_03620
ko:K01653	eclx:LI66_03625
ko:K03435	eclx:LI66_03630
ko:K03925	eclx:LI66_03635
ko:K03438	eclx:LI66_03640
ko:K03586	eclx:LI66_03645
ko:K03587	eclx:LI66_03650
ko:K01928	eclx:LI66_03655
ko:K01929	eclx:LI66_03660
ko:K01000	eclx:LI66_03665
ko:K01925	eclx:LI66_03670
ko:K03588	eclx:LI66_03675
ko:K02563	eclx:LI66_03680
ko:K01924	eclx:LI66_03685
ko:K01921	eclx:LI66_03690
ko:K09016	eclx:LI66_07860
ko:K09024	eclx:LI66_07865
ko:K09019	eclx:LI66_07870
ko:K09023	eclx:LI66_07875
ko:K09021	eclx:LI66_07880
ko:K09020	eclx:LI66_07885
ko:K09018	eclx:LI66_07890
ko:K13821	eclx:LI66_07920
ko:K11928	eclx:LI66_07925
ko:K03317	eclx:LI66_07935
ko:K07243	eclx:LI66_07940
ko:K07224	eclx:LI66_07945
ko:K16301	eclx:LI66_07950
ko:K06911	eclx:LI66_07970
ko:K12972	eclx:LI66_07985
ko:K04477	eclx:LI66_07990
ko:K06214	eclx:LI66_08005
ko:K04338	eclx:LI66_08010
ko:K04337	eclx:LI66_08015
ko:K04335	eclx:LI66_08030
ko:K04334	eclx:LI66_08035
ko:K04336	eclx:LI66_08040
ko:K11941	eclx:LI66_08055
ko:K03670	eclx:LI66_08060
ko:K03669	eclx:LI66_08065
ko:K12147	eclx:LI66_08075
ko:K02517	eclx:LI66_08085
ko:K07146	eclx:LI66_08090
ko:K02846	eclx:LI66_08110
ko:K12148	eclx:LI66_08115
ko:K12149	eclx:LI66_08120
ko:K01465	eclx:LI66_08125
ko:K08162	eclx:LI66_08135
ko:K03790	eclx:LI66_08140
ko:K15583	eclx:LI66_12365
ko:K15582	eclx:LI66_12370
ko:K15581	eclx:LI66_12375
ko:K15580	eclx:LI66_12380
ko:K04072	eclx:LI66_12395
ko:K03746	eclx:LI66_12405
ko:K00963	eclx:LI66_12410
ko:K07001	eclx:LI66_12420
ko:K09858	eclx:LI66_12425
ko:K01433	eclx:LI66_12430
ko:K00374	eclx:LI66_12445
ko:K00373	eclx:LI66_12450
ko:K00371	eclx:LI66_12455
ko:K00370	eclx:LI66_12460
ko:K02575	eclx:LI66_12465
ko:K07673	eclx:LI66_12470
ko:K07684	eclx:LI66_12475
ko:K00372	eclx:LI66_12485
ko:K00362	eclx:LI66_12490
ko:K15578	eclx:LI66_12495
ko:K15577	eclx:LI66_12500
ko:K06039	eclx:LI66_12515
ko:K03406	eclx:LI66_12520
ko:K07232	eclx:LI66_12530
ko:K07300	eclx:LI66_12540
ko:K01627	eclx:LI66_12545
ko:K02493	eclx:LI66_12560
ko:K02835	eclx:LI66_12565
ko:K02492	eclx:LI66_12570
ko:K02494	eclx:LI66_12575
ko:K00919	eclx:LI66_12580
ko:K00948	eclx:LI66_12585
ko:K03321	eclx:LI66_12590
ko:K01056	eclx:LI66_12605
ko:K06942	eclx:LI66_12610
ko:K01626	eclx:LI66_16790
ko:K02884	eclx:LI66_16825
ko:K00554	eclx:LI66_16830
ko:K02860	eclx:LI66_16835
ko:K02959	eclx:LI66_16840
ko:K03106	eclx:LI66_16845
ko:K03687	eclx:LI66_16860
ko:K00858	eclx:LI66_16870
ko:K03631	eclx:LI66_16875
ko:K06186	eclx:LI66_16880
ko:K09801	eclx:LI66_16885
ko:K03664	eclx:LI66_16895
ko:K01999	eclx:LI66_21210
ko:K01999	eclx:LI66_21230
ko:K00823	eclx:LI66_21235
ko:K03089	eclx:LI66_21240
ko:K09811	eclx:LI66_21245
ko:K09812	eclx:LI66_21250
ko:K03110	eclx:LI66_21255
ko:K08316	eclx:LI66_21260
ko:K08993	eclx:LI66_21265
ko:K01534	eclx:LI66_21280
ko:K04085	eclx:LI66_21300
ko:K09125	eclx:LI66_21305
ko:K02078	eclx:LI66_21330
ko:K02078	eclx:LI66_21335
ko:K07107	eclx:LI66_21360
ko:K00647	eclx:LI66_21380
ko:K00059	eclx:LI66_21390
ko:K09458	eclx:LI66_21395
ko:K06133	eclx:LI66_21400
ko:K13727	eclx:LI66_21405
ko:K05794	eclx:LI66_21425
ko:K07644	eclx:LI66_21440
ko:K07665	eclx:LI66_21445
ko:K07245	eclx:LI66_21450
ko:K07156	eclx:LI66_21455
ko:K07233	eclx:LI66_21460
ko:K17686	eclx:LI66_21485
ko:K00989	eclx:LI66_00615
ko:K00762	eclx:LI66_00620
ko:K05501	eclx:LI66_00625
ko:K13038	eclx:LI66_00635
ko:K03630	eclx:LI66_00640
ko:K02902	eclx:LI66_00645
ko:K02913	eclx:LI66_00650
ko:K10563	eclx:LI66_00655
ko:K00954	eclx:LI66_00660
ko:K12984	eclx:LI66_00665
ko:K02527	eclx:LI66_00670
ko:K02844	eclx:LI66_00685
ko:K02849	eclx:LI66_00690
ko:K02847	eclx:LI66_00700
ko:K02841	eclx:LI66_00715
ko:K02843	eclx:LI66_00720
ko:K03274	eclx:LI66_00725
ko:K00639	eclx:LI66_00730
ko:K00060	eclx:LI66_00735
ko:K09798	eclx:LI66_00755
ko:K15633	eclx:LI66_00765
ko:K03071	eclx:LI66_00780
ko:K00057	eclx:LI66_00785
ko:K00640	eclx:LI66_00790
ko:K03769	eclx:LI66_00795
ko:K03656	eclx:LI66_00800
ko:K01524	eclx:LI66_00805
ko:K03732	eclx:LI66_00810
ko:K03671	eclx:LI66_00815
ko:K03628	eclx:LI66_00820
ko:K02851	eclx:LI66_00825
ko:K05790	eclx:LI66_00830
ko:K01791	eclx:LI66_00835
ko:K02472	eclx:LI66_00840
ko:K16704	eclx:LI66_00845
ko:K02805	eclx:LI66_00850
ko:K16693	eclx:LI66_00855
ko:K12582	eclx:LI66_00860
ko:K02853	eclx:LI66_00865
ko:K02852	eclx:LI66_00870
ko:K00661	eclx:LI66_05085
ko:K05839	eclx:LI66_05090
ko:K19162	eclx:LI66_05095
ko:K18138	eclx:LI66_05100
ko:K03585	eclx:LI66_05105
ko:K03577	eclx:LI66_05110
ko:K05802	eclx:LI66_05115
ko:K04067	eclx:LI66_05125
ko:K09790	eclx:LI66_05130
ko:K00759	eclx:LI66_05135
ko:K02343	eclx:LI66_05140
ko:K09747	eclx:LI66_05145
ko:K06187	eclx:LI66_05150
ko:K04079	eclx:LI66_05155
ko:K00939	eclx:LI66_05160
ko:K01772	eclx:LI66_05165
ko:K00892	eclx:LI66_05170
ko:K03455	eclx:LI66_05175
ko:K08223	eclx:LI66_05180
ko:K11751	eclx:LI66_05185
ko:K03976	eclx:LI66_05190
ko:K09973	eclx:LI66_05195
ko:K17686	eclx:LI66_05200
ko:K07340	eclx:LI66_05210
ko:K02068	eclx:LI66_05225
ko:K02069	eclx:LI66_05230
ko:K05838	eclx:LI66_05235
ko:K10804	eclx:LI66_05245
ko:K02003	eclx:LI66_05250
ko:K02004	eclx:LI66_05255
ko:K06917	eclx:LI66_05265
ko:K01589	eclx:LI66_05270
ko:K01588	eclx:LI66_05275
ko:K03269	eclx:LI66_05280
ko:K03768	eclx:LI66_05285
ko:K01883	eclx:LI66_05290
ko:K07038	eclx:LI66_05295
ko:K16136	eclx:LI66_05300
ko:K14761	eclx:LI66_05310
ko:K01491	eclx:LI66_05315
ko:K07345	eclx:LI66_05320
ko:K07351	eclx:LI66_05325
ko:K07346	eclx:LI66_05330
ko:K07347	eclx:LI66_05335
ko:K07350	eclx:LI66_05340
ko:K07348	eclx:LI66_05345
ko:K07688	eclx:LI66_05350
ko:K08088	eclx:LI66_05355
ko:K04564	eclx:LI66_09560
ko:K07390	eclx:LI66_09570
ko:K03683	eclx:LI66_09575
ko:K01759	eclx:LI66_09580
ko:K10680	eclx:LI66_09585
ko:K16137	eclx:LI66_09590
ko:K03760	eclx:LI66_09595
ko:K06938	eclx:LI66_09600
ko:K04565	eclx:LI66_09610
ko:K06075	eclx:LI66_09630
ko:K06077	eclx:LI66_09640
ko:K09001	eclx:LI66_09645
ko:K00275	eclx:LI66_09655
ko:K01866	eclx:LI66_09660
ko:K00868	eclx:LI66_09665
ko:K00799	eclx:LI66_09670
ko:K03305	eclx:LI66_09675
ko:K10773	eclx:LI66_09680
ko:K03613	eclx:LI66_09685
ko:K03612	eclx:LI66_09690
ko:K03614	eclx:LI66_09695
ko:K03615	eclx:LI66_09700
ko:K03616	eclx:LI66_09705
ko:K03617	eclx:LI66_09710
ko:K01488	eclx:LI66_09735
ko:K14155	eclx:LI66_09740
ko:K02313	eclx:LI66_00005
ko:K02338	eclx:LI66_00010
ko:K06222	eclx:LI66_04260
ko:K08307	eclx:LI66_04285
ko:K01069	eclx:LI66_04290
ko:K03469	eclx:LI66_04300
ko:K02342	eclx:LI66_04305
ko:K06445	eclx:LI66_04320
ko:K03271	eclx:LI66_04325
ko:K00346	eclx:LI66_04340
ko:K00347	eclx:LI66_04345
ko:K00348	eclx:LI66_04350
ko:K00349	eclx:LI66_04355
ko:K00350	eclx:LI66_04360
ko:K00351	eclx:LI66_04365
ko:K05952	eclx:LI66_04370
ko:K02346	eclx:LI66_04375
ko:K01270	eclx:LI66_04380
ko:K00769	eclx:LI66_04385
ko:K11750	eclx:LI66_04390
ko:K11926	eclx:LI66_04395
ko:K11929	eclx:LI66_04400
ko:K00931	eclx:LI66_04405
ko:K00147	eclx:LI66_04410
ko:K09125	eclx:LI66_04445
ko:K09982	eclx:LI66_04475
ko:K16235	eclx:LI66_04500
ko:K00547	eclx:LI66_04505
ko:K15551	eclx:LI66_04510
ko:K10831	eclx:LI66_04515
ko:K09786	eclx:LI66_08875
ko:K07180	eclx:LI66_08880
ko:K01792	eclx:LI66_08890
ko:K00134	eclx:LI66_08895
ko:K07305	eclx:LI66_08900
ko:K09916	eclx:LI66_08905
ko:K01183	eclx:LI66_08910
ko:K08281	eclx:LI66_08915
ko:K01424	eclx:LI66_08920
ko:K04773	eclx:LI66_08925
ko:K01008	eclx:LI66_08935
ko:K16136	eclx:LI66_09750
ko:K01809	eclx:LI66_09760
ko:K01676	eclx:LI66_09765
ko:K01679	eclx:LI66_09770
ko:K10748	eclx:LI66_09775
ko:K07639	eclx:LI66_09780
ko:K07661	eclx:LI66_09785
ko:K13938	eclx:LI66_09795
ko:K03758	eclx:LI66_09800
ko:K00324	eclx:LI66_09810
ko:K00325	eclx:LI66_09815
ko:K14055	eclx:LI66_09825
ko:K01176	eclx:LI66_14050
ko:K02408	eclx:LI66_14060
ko:K02409	eclx:LI66_14065
ko:K02410	eclx:LI66_14070
ko:K02411	eclx:LI66_14075
ko:K02412	eclx:LI66_14080
ko:K02413	eclx:LI66_14085
ko:K02414	eclx:LI66_14090
ko:K02415	eclx:LI66_14095
ko:K02416	eclx:LI66_14100
ko:K02417	eclx:LI66_14105
ko:K02418	eclx:LI66_14110
ko:K02419	eclx:LI66_14115
ko:K02420	eclx:LI66_14120
ko:K02421	eclx:LI66_14125
ko:K07781	eclx:LI66_14130
ko:K07026	eclx:LI66_14145
ko:K09781	eclx:LI66_14160
ko:K07458	eclx:LI66_14170
ko:K06950	eclx:LI66_14180
ko:K14062	eclx:LI66_14185
ko:K07106	eclx:LI66_14190
ko:K07701	eclx:LI66_14195
ko:K07703	eclx:LI66_14200
ko:K03734	eclx:LI66_14205
ko:K00244	eclx:LI66_14210
ko:K11106	eclx:LI66_14215
ko:K01676	eclx:LI66_14220
ko:K03288	eclx:LI66_14235
ko:K09933	eclx:LI66_14250
ko:K03894	eclx:LI66_14260
ko:K03896	eclx:LI66_14265
ko:K03895	eclx:LI66_14270
ko:K03897	eclx:LI66_14275
ko:K02014	eclx:LI66_14280
ko:K13635	eclx:LI66_14290
ko:K16291	eclx:LI66_14305
ko:K11932	eclx:LI66_14315
ko:K03981	eclx:LI66_18460
ko:K04763	eclx:LI66_18465
ko:K03840	eclx:LI66_18470
ko:K19168	eclx:LI66_18475
ko:K09159	eclx:LI66_18480
ko:K06980	eclx:LI66_18485
ko:K11068	eclx:LI66_18490
ko:K01223	eclx:LI66_18505
ko:K08344	eclx:LI66_18515
ko:K00281	eclx:LI66_18535
ko:K02437	eclx:LI66_18540
ko:K00605	eclx:LI66_18545
ko:K18800	eclx:LI66_18550
ko:K03185	eclx:LI66_18555
ko:K01262	eclx:LI66_18560
ko:K09895	eclx:LI66_18565
ko:K09888	eclx:LI66_18570
ko:K01934	eclx:LI66_18575
ko:K00058	eclx:LI66_18580
ko:K01807	eclx:LI66_18585
ko:K05596	eclx:LI66_18590
ko:K09807	eclx:LI66_18595
ko:K06895	eclx:LI66_18600
ko:K03442	eclx:LI66_18605
ko:K01624	eclx:LI66_18610
ko:K00927	eclx:LI66_18615
ko:K03472	eclx:LI66_18620
ko:K00615	eclx:LI66_18625
ko:K07387	eclx:LI66_18630
ko:K01652	eclx:LI66_18635
ko:K06989	eclx:LI66_18645
ko:K01480	eclx:LI66_18710
ko:K01585	eclx:LI66_18715
ko:K00789	eclx:LI66_18720
ko:K08137	eclx:LI66_18725
ko:K02742	eclx:LI66_18730
ko:K02914	eclx:LI66_22865
ko:K12222	eclx:LI66_22875
ko:K12203	eclx:LI66_22880
ko:K12204	eclx:LI66_22885
ko:K18923	eclx:LI66_22990
ko:K06897	eclx:LI66_23030
ko:K17850	eclx:LI66_23045
ko:K18988	eclx:LI66_23050
ko:K03587	eclx:LI66_23055
ko:K07483	eclx:LI66_23070
ko:K07483	eclx:LI66_23075
ko:K18555	eclx:LI66_23080
ko:K03453	eclx:LI66_01440
ko:K00928	eclx:LI66_01445
ko:K01810	eclx:LI66_01450
ko:K13256	eclx:LI66_01475
ko:K10110	eclx:LI66_01480
ko:K10109	eclx:LI66_01485
ko:K10108	eclx:LI66_01490
ko:K10111	eclx:LI66_01495
ko:K02024	eclx:LI66_01500
ko:K05775	eclx:LI66_01505
ko:K03181	eclx:LI66_01510
ko:K03179	eclx:LI66_01515
ko:K00631	eclx:LI66_01520
ko:K00901	eclx:LI66_01525
ko:K01356	eclx:LI66_01530
ko:K03327	eclx:LI66_01535
ko:K09823	eclx:LI66_01545
ko:K05539	eclx:LI66_01560
ko:K01775	eclx:LI66_01580
ko:K00832	eclx:LI66_01585
ko:K03788	eclx:LI66_01590
ko:K03701	eclx:LI66_01605
ko:K03111	eclx:LI66_01610
ko:K13631	eclx:LI66_01630
ko:K13639	eclx:LI66_01635
ko:K00799	eclx:LI66_01640
ko:K06901	eclx:LI66_01645
ko:K03316	eclx:LI66_01650
ko:K06518	eclx:LI66_01660
ko:K14393	eclx:LI66_01670
ko:K01895	eclx:LI66_01680
ko:K11102	eclx:LI66_01685
ko:K07126	eclx:LI66_01690
ko:K01624	eclx:LI66_01720
ko:K09988	eclx:LI66_01725
ko:K03801	eclx:LI66_05925
ko:K09158	eclx:LI66_05930
ko:K07258	eclx:LI66_05935
ko:K03642	eclx:LI66_05940
ko:K05837	eclx:LI66_05945
ko:K05515	eclx:LI66_05950
ko:K00783	eclx:LI66_05955
ko:K09710	eclx:LI66_05960
ko:K00969	eclx:LI66_05965
ko:K02340	eclx:LI66_05970
ko:K03643	eclx:LI66_05975
ko:K01869	eclx:LI66_05980
ko:K01250	eclx:LI66_05990
ko:K10004	eclx:LI66_05995
ko:K10002	eclx:LI66_06000
ko:K10003	eclx:LI66_06005
ko:K10001	eclx:LI66_06010
ko:K03820	eclx:LI66_06015
ko:K06189	eclx:LI66_06020
ko:K07042	eclx:LI66_06025
ko:K06168	eclx:LI66_06035
ko:K03184	eclx:LI66_06040
ko:K01953	eclx:LI66_06080
ko:K02566	eclx:LI66_06085
ko:K02565	eclx:LI66_06090
ko:K01443	eclx:LI66_06095
ko:K02564	eclx:LI66_06100
ko:K02802	eclx:LI66_06105
ko:K02803	eclx:LI66_06105
ko:K02804	eclx:LI66_06105
ko:K01886	eclx:LI66_06110
ko:K03711	eclx:LI66_06125
ko:K03839	eclx:LI66_06130
ko:K03645	eclx:LI66_06145
ko:K01835	eclx:LI66_06150
ko:K03756	eclx:LI66_06155
ko:K01581	eclx:LI66_06160
ko:K07667	eclx:LI66_06165
ko:K07646	eclx:LI66_06170
ko:K01548	eclx:LI66_06175
ko:K01547	eclx:LI66_06180
ko:K09912	eclx:LI66_10395
ko:K06177	eclx:LI66_10400
ko:K01118	eclx:LI66_10405
ko:K03578	eclx:LI66_10410
ko:K07248	eclx:LI66_10435
ko:K12262	eclx:LI66_10440
ko:K02444	eclx:LI66_10450
ko:K12543	eclx:LI66_10455
ko:K12541	eclx:LI66_10465
ko:K12542	eclx:LI66_10470
ko:K00121	eclx:LI66_10525
ko:K05876	eclx:LI66_10530
ko:K03929	eclx:LI66_10545
ko:K03566	eclx:LI66_10550
ko:K10013	eclx:LI66_10560
ko:K03817	eclx:LI66_10570
ko:K03304	eclx:LI66_10580
ko:K16868	eclx:LI66_10585
ko:K01258	eclx:LI66_10590
ko:K12368	eclx:LI66_10595
ko:K07506	eclx:LI66_10610
ko:K05782	eclx:LI66_10615
ko:K08303	eclx:LI66_10625
ko:K13633	eclx:LI66_10640
ko:K00549	eclx:LI66_10650
ko:K11959	eclx:LI66_10655
ko:K11960	eclx:LI66_10660
ko:K11961	eclx:LI66_10665
ko:K01489	eclx:LI66_14880
ko:K03748	eclx:LI66_14885
ko:K07154	eclx:LI66_14890
ko:K10541	eclx:LI66_14900
ko:K10542	eclx:LI66_14905
ko:K10540	eclx:LI66_14910
ko:K02529	eclx:LI66_14915
ko:K07148	eclx:LI66_14920
ko:K01495	eclx:LI66_14925
ko:K01070	eclx:LI66_14935
ko:K16089	eclx:LI66_14940
ko:K11733	eclx:LI66_14945
ko:K01151	eclx:LI66_14960
ko:K02769	eclx:LI66_14965
ko:K02770	eclx:LI66_14965
ko:K00882	eclx:LI66_14970
ko:K02768	eclx:LI66_14975
ko:K11183	eclx:LI66_14975
ko:K03291	eclx:LI66_14985
ko:K06940	eclx:LI66_14990
ko:K02356	eclx:LI66_14995
ko:K01686	eclx:LI66_15000
ko:K13694	eclx:LI66_15020
ko:K13893	eclx:LI66_15030
ko:K13894	eclx:LI66_15035
ko:K13895	eclx:LI66_15040
ko:K13896	eclx:LI66_15045
ko:K07552	eclx:LI66_15055
ko:K06183	eclx:LI66_15060
ko:K02897	eclx:LI66_15070
ko:K06899	eclx:LI66_15075
ko:K09904	eclx:LI66_15080
ko:K07014	eclx:LI66_15085
ko:K08276	eclx:LI66_15100
ko:K00116	eclx:LI66_15105
ko:K03321	eclx:LI66_15110
ko:K06213	eclx:LI66_15115
ko:K06159	eclx:LI66_15120
ko:K03919	eclx:LI66_15125
ko:K10778	eclx:LI66_15130
ko:K03734	eclx:LI66_15135
ko:K09475	eclx:LI66_15140
ko:K07676	eclx:LI66_15145
ko:K07238	eclx:LI66_19315
ko:K02858	eclx:LI66_19340
ko:K09806	eclx:LI66_19345
ko:K03272	eclx:LI66_19350
ko:K00982	eclx:LI66_19355
ko:K03169	eclx:LI66_08940
ko:K00262	eclx:LI66_08945
ko:K08320	eclx:LI66_08955
ko:K05779	eclx:LI66_08975
ko:K05778	eclx:LI66_08980
ko:K05777	eclx:LI66_08985
ko:K01142	eclx:LI66_08995
ko:K03502	eclx:LI66_13210
ko:K02345	eclx:LI66_13420
ko:K05796	eclx:LI66_17645
ko:K03487	eclx:LI66_17650
ko:K02752	eclx:LI66_17655
ko:K02753	eclx:LI66_17655
ko:K01223	eclx:LI66_17660
ko:K08315	eclx:LI66_17665
ko:K15834	eclx:LI66_17670
ko:K15832	eclx:LI66_17675
ko:K15831	eclx:LI66_17680
ko:K15830	eclx:LI66_17685
ko:K15829	eclx:LI66_17690
ko:K15828	eclx:LI66_17695
ko:K15827	eclx:LI66_17700
ko:K15833	eclx:LI66_17705
ko:K04651	eclx:LI66_17710
ko:K04652	eclx:LI66_17715
ko:K04653	eclx:LI66_17720
ko:K04654	eclx:LI66_17725
ko:K04655	eclx:LI66_17730
ko:K02016	eclx:LI66_17740
ko:K02015	eclx:LI66_17745
ko:K02013	eclx:LI66_17750
ko:K19048	eclx:LI66_17765
ko:K03555	eclx:LI66_17770
ko:K03186	eclx:LI66_17785
ko:K03087	eclx:LI66_17810
