ko:K11741	rag:B739_1543
ko:K08738	rag:B739_0185
ko:K17292	rag:B739_1312
ko:K01897	rag:B739_1237
ko:K01897	rag:B739_1625
ko:K01992	rag:B739_2028
ko:K01980	rag:B739_2217
ko:K01980	rag:B739_2232
ko:K01980	rag:B739_2229
ko:K01990	rag:B739_0231
ko:K14218	rag:B739_2240
ko:K14218	rag:B739_2246
ko:K14218	rag:B739_2274
ko:K14237	rag:B739_2236
ko:K14230	rag:B739_2263
ko:K04084	rag:B739_0917
ko:K17686	rag:B739_0374
ko:K00971	rag:B739_0627
ko:K17836	rag:B739_0036
ko:K06518	rag:B739_1490
ko:K00254	rag:B739_0364
ko:K01658	rag:B739_1849
ko:K00128	rag:B739_0855
ko:K00537	rag:B739_1731
ko:K01840	rag:B739_0779
ko:K01155	rag:B739_0404
ko:K18221	rag:B739_0030
ko:K14742	rag:B739_0961
ko:K00632	rag:B739_2062
ko:K03719	rag:B739_1046
ko:K21449	rag:B739_0090
ko:K18221	rag:B739_0035
ko:K04773	rag:B739_1284
ko:K03116	rag:B739_0421
ko:K19429	rag:B739_1135
ko:K00548	rag:B739_0062
ko:K03695	rag:B739_1026
ko:K03530	rag:B739_0314
ko:K13525	rag:B739_2167
ko:K03742	rag:B739_1429
ko:K00681	rag:B739_1860
ko:K18707	rag:B739_1107
ko:K18682	rag:B739_1868
ko:K03427	rag:B739_1418
ko:K21572	rag:B739_0102
ko:K00571	rag:B739_0011
ko:K18831	rag:B739_1375
ko:K05593	rag:B739_0034
ko:K03496	rag:B739_1949
ko:K03497	rag:B739_1950
ko:K04565	rag:B739_0801
ko:K03111	rag:B739_1757
ko:K00335	rag:B739_1157
ko:K18979	rag:B739_0281
ko:K11991	rag:B739_0802
ko:K19048	rag:B739_1309
ko:K19159	rag:B739_2012
ko:K00798	rag:B739_0163
ko:K19158	rag:B739_2011
ko:K01710	rag:B739_1139
ko:K19166	rag:B739_1376
ko:K22468	rag:B739_1539
ko:K17248	rag:B739_1131
ko:K07452	rag:B739_2200
ko:K09951	rag:B739_1087
ko:K22468	rag:B739_1538
ko:K00336	rag:B739_1158
ko:K11210	rag:B739_1691
ko:K19342	rag:B739_0189
ko:K19302	rag:B739_1598
ko:K19340	rag:B739_0191
ko:K19341	rag:B739_0192
ko:K06881	rag:B739_0879
ko:K00525	rag:B739_1056
ko:K10938	rag:B739_0756
ko:K20534	rag:B739_1932
ko:K18889	rag:B739_0940
ko:K18890	rag:B739_0232
ko:K01179	rag:B739_0043
ko:K21053	rag:B739_0795
ko:K08968	rag:B739_0132
ko:K06223	rag:B739_0013
ko:K14623	rag:B739_0120
ko:K01493	rag:B739_0453
ko:K00857	rag:B739_0720
ko:K03553	rag:B739_1100
ko:K00287	rag:B739_1142
ko:K02314	rag:B739_1221
ko:K00560	rag:B739_1329
ko:K03553	rag:B739_1346
ko:K06909	rag:B739_1353
ko:K02316	rag:B739_2191
ko:K06217	rag:B739_1877
ko:K21147	rag:B739_1582
ko:K02335	rag:B739_1879
ko:K03455	rag:B739_2149
ko:K00526	rag:B739_1055
ko:K03292	rag:B739_0045
ko:K21572	rag:B739_0793
ko:K21573	rag:B739_2093
ko:K21574	rag:B739_2091
ko:K01420	rag:B739_0165
ko:K21572	rag:B739_0310
ko:K21572	rag:B739_0116
ko:K10026	rag:B739_1244
ko:K21572	rag:B739_1044
ko:K21572	rag:B739_2092
ko:K21572	rag:B739_0583
ko:K03741	rag:B739_1812
ko:K00754	rag:B739_0415
ko:K01463	rag:B739_0937
ko:K22132	rag:B739_0554
ko:K03595	rag:B739_1876
ko:K22136	rag:B739_0581
ko:K08994	rag:B739_2081
ko:K01505	rag:B739_0146
ko:K13566	rag:B739_0637
ko:K22351	rag:B739_0031
ko:K22441	rag:B739_0494
