ko:K01991	bsv:BSVBI22_B0413
ko:K15581	bsv:BSVBI22_B0530
ko:K15580	bsv:BSVBI22_B0531
ko:K00012	bsv:BSVBI22_B0539
ko:K07039	bsv:BSVBI22_B0549
ko:K13772	bsv:BSVBI22_B0556
ko:K03594	bsv:BSVBI22_B0559
ko:K14441	bsv:BSVBI22_B0560
ko:K02057	bsv:BSVBI22_B0562
ko:K02057	bsv:BSVBI22_B0563
ko:K01004	bsv:BSVBI22_B0566
ko:K03185	bsv:BSVBI22_B0567
ko:K11940	bsv:BSVBI22_B0568
ko:K03723	bsv:BSVBI22_B0573
ko:K09159	bsv:BSVBI22_B0574
ko:K03655	bsv:BSVBI22_B0575
ko:K11175	bsv:BSVBI22_A0705
ko:K01933	bsv:BSVBI22_A0706
ko:K03303	bsv:BSVBI22_A0716
ko:K09969	bsv:BSVBI22_A0737
ko:K09970	bsv:BSVBI22_A0739
ko:K09971	bsv:BSVBI22_A0740
ko:K09972	bsv:BSVBI22_A0741
ko:K00937	bsv:BSVBI22_A0744
ko:K01524	bsv:BSVBI22_A0745
ko:K03684	bsv:BSVBI22_A0746
ko:K01876	bsv:BSVBI22_A0747
ko:K02621	bsv:BSVBI22_A0750
ko:K00413	bsv:BSVBI22_A1535
ko:K00412	bsv:BSVBI22_A1536
ko:K00411	bsv:BSVBI22_A1537
ko:K03216	bsv:BSVBI22_A1540
ko:K00228	bsv:BSVBI22_A1544
ko:K03824	bsv:BSVBI22_A1545
ko:K09986	bsv:BSVBI22_A1549
ko:K03924	bsv:BSVBI22_A1550
ko:K07275	bsv:BSVBI22_A1556
ko:K01649	bsv:BSVBI22_A1560
ko:K13503	bsv:BSVBI22_A1564
ko:K02002	bsv:BSVBI22_A1573
ko:K02001	bsv:BSVBI22_A1574
ko:K02000	bsv:BSVBI22_A1575
ko:K12372	bsv:BSVBI22_A1576
ko:K12371	bsv:BSVBI22_A1577
ko:K12370	bsv:BSVBI22_A1578
ko:K12369	bsv:BSVBI22_A1579
ko:K00566	bsv:BSVBI22_A1585
ko:K11472	bsv:BSVBI22_B0177
ko:K11473	bsv:BSVBI22_B0178
ko:K01246	bsv:BSVBI22_B0181
ko:K01892	bsv:BSVBI22_B0183
ko:K02502	bsv:BSVBI22_B0184
ko:K00765	bsv:BSVBI22_B0185
ko:K15977	bsv:BSVBI22_B0187
ko:K04077	bsv:BSVBI22_B0191
ko:K04078	bsv:BSVBI22_B0192
ko:K11753	bsv:BSVBI22_B0197
ko:K01870	bsv:BSVBI22_B0198
ko:K06178	bsv:BSVBI22_B0202
ko:K07001	bsv:BSVBI22_B0205
ko:K03592	bsv:BSVBI22_B0207
ko:K09778	bsv:BSVBI22_B0210
ko:K02527	bsv:BSVBI22_B0211
ko:K00912	bsv:BSVBI22_B0212
ko:K03572	bsv:BSVBI22_B0214
ko:K08196	bsv:BSVBI22_B0215
ko:K06446	bsv:BSVBI22_B0216
ko:K00074	bsv:BSVBI22_B0219
ko:K00324	bsv:BSVBI22_B0963
ko:K00324	bsv:BSVBI22_B0964
ko:K07010	bsv:BSVBI22_B0973
ko:K06999	bsv:BSVBI22_B0980
ko:K15736	bsv:BSVBI22_B0996
ko:K02034	bsv:BSVBI22_B1001
ko:K08169	bsv:BSVBI22_B1008
ko:K03190	bsv:BSVBI22_A0268
ko:K01430	bsv:BSVBI22_A0269
ko:K01429	bsv:BSVBI22_A0270
ko:K01428	bsv:BSVBI22_A0271
ko:K03187	bsv:BSVBI22_A0272
ko:K03188	bsv:BSVBI22_A0273
ko:K03189	bsv:BSVBI22_A0274
ko:K01464	bsv:BSVBI22_A0279
ko:K01810	bsv:BSVBI22_A0286
ko:K06987	bsv:BSVBI22_A0287
ko:K01091	bsv:BSVBI22_A0288
ko:K03577	bsv:BSVBI22_A0291
ko:K03585	bsv:BSVBI22_A0292
ko:K07636	bsv:BSVBI22_A0299
ko:K13583	bsv:BSVBI22_A0300
ko:K04083	bsv:BSVBI22_A0304
ko:K06195	bsv:BSVBI22_A0305
ko:K10764	bsv:BSVBI22_A0306
ko:K01494	bsv:BSVBI22_A0307
ko:K00382	bsv:BSVBI22_A1122
ko:K00627	bsv:BSVBI22_A1123
ko:K00162	bsv:BSVBI22_A1124
ko:K00161	bsv:BSVBI22_A1125
ko:K01689	bsv:BSVBI22_A1128
ko:K01627	bsv:BSVBI22_A1129
ko:K01937	bsv:BSVBI22_A1130
ko:K03075	bsv:BSVBI22_A1133
ko:K01803	bsv:BSVBI22_A1134
ko:K03770	bsv:BSVBI22_A1135
ko:K00766	bsv:BSVBI22_A1136
ko:K01609	bsv:BSVBI22_A1137
ko:K03637	bsv:BSVBI22_A1138
ko:K03750	bsv:BSVBI22_A1139
ko:K01356	bsv:BSVBI22_A1140
ko:K01698	bsv:BSVBI22_A0753
ko:K00600	bsv:BSVBI22_A0761
ko:K07738	bsv:BSVBI22_A0762
ko:K11752	bsv:BSVBI22_A0763
ko:K00793	bsv:BSVBI22_A0764
ko:K00794	bsv:BSVBI22_A0765
ko:K03625	bsv:BSVBI22_A0766
ko:K15987	bsv:BSVBI22_A0767
ko:K03621	bsv:BSVBI22_A0772
ko:K00648	bsv:BSVBI22_A0773
ko:K04764	bsv:BSVBI22_A0774
ko:K01991	bsv:BSVBI22_A0779
ko:K02259	bsv:BSVBI22_A0783
ko:K00145	bsv:BSVBI22_A0784
ko:K02996	bsv:BSVBI22_A0786
ko:K02871	bsv:BSVBI22_A0787
ko:K00330	bsv:BSVBI22_A0798
ko:K00331	bsv:BSVBI22_A0799
ko:K00332	bsv:BSVBI22_A0800
ko:K00333	bsv:BSVBI22_A0801
ko:K00334	bsv:BSVBI22_A0802
ko:K06975	bsv:BSVBI22_A1588
ko:K13588	bsv:BSVBI22_A1592
ko:K13584	bsv:BSVBI22_A1593
ko:K07270	bsv:BSVBI22_A1599
ko:K07289	bsv:BSVBI22_A1602
ko:K11074	bsv:BSVBI22_A1603
ko:K11075	bsv:BSVBI22_A1604
ko:K11076	bsv:BSVBI22_A1605
ko:K11073	bsv:BSVBI22_A1606
ko:K07110	bsv:BSVBI22_A1607
ko:K01637	bsv:BSVBI22_A1608
ko:K03734	bsv:BSVBI22_B0230
ko:K02164	bsv:BSVBI22_B0242
ko:K02305	bsv:BSVBI22_B0244
ko:K04561	bsv:BSVBI22_B0245
ko:K02448	bsv:BSVBI22_B0247
ko:K03435	bsv:BSVBI22_B0259
ko:K00376	bsv:BSVBI22_B0271
ko:K07218	bsv:BSVBI22_B0272
ko:K02914	bsv:BSVBI22_B1012
ko:K03536	bsv:BSVBI22_B1013
ko:K03217	bsv:BSVBI22_B1014
ko:K03978	bsv:BSVBI22_B1015
ko:K00930	bsv:BSVBI22_B1016
ko:K06966	bsv:BSVBI22_B1018
ko:K01647	bsv:BSVBI22_A1144
ko:K00748	bsv:BSVBI22_A1145
ko:K00677	bsv:BSVBI22_A1147
ko:K02372	bsv:BSVBI22_A1148
ko:K02536	bsv:BSVBI22_A1149
ko:K07277	bsv:BSVBI22_A1150
ko:K11749	bsv:BSVBI22_A1152
ko:K00981	bsv:BSVBI22_A1153
ko:K00806	bsv:BSVBI22_A1154
ko:K02838	bsv:BSVBI22_A1155
ko:K09903	bsv:BSVBI22_A1156
ko:K02357	bsv:BSVBI22_A1157
ko:K02967	bsv:BSVBI22_A1158
ko:K09919	bsv:BSVBI22_A1163
ko:K02503	bsv:BSVBI22_A1164
ko:K03694	bsv:BSVBI22_A1165
ko:K06891	bsv:BSVBI22_A1166
ko:K01752	bsv:BSVBI22_A1171
ko:K02029	bsv:BSVBI22_A1951
ko:K01744	bsv:BSVBI22_A1954
ko:K09972	bsv:BSVBI22_A1955
ko:K01761	bsv:BSVBI22_A1961
ko:K00074	bsv:BSVBI22_A1965
ko:K03522	bsv:BSVBI22_A1966
ko:K03521	bsv:BSVBI22_A1967
ko:K06920	bsv:BSVBI22_A1968
ko:K01737	bsv:BSVBI22_A1969
ko:K10026	bsv:BSVBI22_A1970
ko:K07058	bsv:BSVBI22_A1974
ko:K09768	bsv:BSVBI22_A1975
ko:K01755	bsv:BSVBI22_A1977
ko:K01586	bsv:BSVBI22_A1979
ko:K00760	bsv:BSVBI22_A1981
ko:K00817	bsv:BSVBI22_A1983
ko:K00220	bsv:BSVBI22_A1984
ko:K02221	bsv:BSVBI22_A1988
ko:K00655	bsv:BSVBI22_A1990
ko:K09811	bsv:BSVBI22_A1992
ko:K09812	bsv:BSVBI22_A1993
ko:K06188	bsv:BSVBI22_A1997
ko:K00820	bsv:BSVBI22_B0576
ko:K04042	bsv:BSVBI22_B0577
ko:K14205	bsv:BSVBI22_B0579
ko:K03801	bsv:BSVBI22_B0583
ko:K02622	bsv:BSVBI22_B0585
ko:K02435	bsv:BSVBI22_B0589
ko:K07447	bsv:BSVBI22_B0591
ko:K09456	bsv:BSVBI22_B0592
ko:K00609	bsv:BSVBI22_B0593
ko:K01465	bsv:BSVBI22_B0594
ko:K08591	bsv:BSVBI22_B0595
ko:K04096	bsv:BSVBI22_B0596
ko:K03168	bsv:BSVBI22_B0598
ko:K12573	bsv:BSVBI22_B0599
ko:K02913	bsv:BSVBI22_B0603
ko:K11443	bsv:BSVBI22_B0606
ko:K06140	bsv:BSVBI22_B0608
ko:K02346	bsv:BSVBI22_B0609
ko:K00285	bsv:BSVBI22_B0623
ko:K06173	bsv:BSVBI22_B1024
ko:K00604	bsv:BSVBI22_B1025
ko:K01462	bsv:BSVBI22_B1026
ko:K09760	bsv:BSVBI22_B1027
ko:K07401	bsv:BSVBI22_B1028
ko:K07461	bsv:BSVBI22_B1029
ko:K03596	bsv:BSVBI22_B1030
ko:K06153	bsv:BSVBI22_B1033
ko:K07261	bsv:BSVBI22_B1038
ko:K01734	bsv:BSVBI22_B1039
ko:K00215	bsv:BSVBI22_B1042
ko:K04719	bsv:BSVBI22_B1045
ko:K00154	bsv:BSVBI22_B1049
ko:K06131	bsv:BSVBI22_B1051
ko:K02837	bsv:BSVBI22_B1054
ko:K13038	bsv:BSVBI22_B1055
ko:K03688	bsv:BSVBI22_B1056
ko:K03183	bsv:BSVBI22_B1057
ko:K00761	bsv:BSVBI22_B1058
ko:K03745	bsv:BSVBI22_B1059
ko:K03282	bsv:BSVBI22_A0319
ko:K00643	bsv:BSVBI22_A0320
ko:K01918	bsv:BSVBI22_A0330
ko:K00606	bsv:BSVBI22_A0331
ko:K00528	bsv:BSVBI22_A0332
ko:K13747	bsv:BSVBI22_A0335
ko:K03327	bsv:BSVBI22_A0340
ko:K14977	bsv:BSVBI22_A0347
ko:K13481	bsv:BSVBI22_A0350
ko:K13482	bsv:BSVBI22_A0351
ko:K07402	bsv:BSVBI22_A0352
ko:K00406	bsv:BSVBI22_A0361
ko:K00407	bsv:BSVBI22_A0362
ko:K00405	bsv:BSVBI22_A0363
ko:K00404	bsv:BSVBI22_A0364
ko:K09457	bsv:BSVBI22_A1179
ko:K07080	bsv:BSVBI22_A1190
ko:K01776	bsv:BSVBI22_A1191
ko:K05520	bsv:BSVBI22_A1193
ko:K00031	bsv:BSVBI22_A1195
ko:K01872	bsv:BSVBI22_A1197
ko:K07478	bsv:BSVBI22_A1202
ko:K02879	bsv:BSVBI22_A1204
ko:K03040	bsv:BSVBI22_A1205
ko:K02948	bsv:BSVBI22_A1206
ko:K02952	bsv:BSVBI22_A1207
ko:K03076	bsv:BSVBI22_A1209
ko:K02876	bsv:BSVBI22_A1210
ko:K02907	bsv:BSVBI22_A1211
ko:K02988	bsv:BSVBI22_A1212
ko:K02881	bsv:BSVBI22_A1213
ko:K02933	bsv:BSVBI22_A1214
ko:K02994	bsv:BSVBI22_A1215
ko:K02954	bsv:BSVBI22_A1216
ko:K02931	bsv:BSVBI22_A1217
ko:K02895	bsv:BSVBI22_A1218
ko:K02874	bsv:BSVBI22_A1219
ko:K02961	bsv:BSVBI22_A1220
ko:K02904	bsv:BSVBI22_A1221
ko:K02878	bsv:BSVBI22_A1222
ko:K02982	bsv:BSVBI22_A1223
ko:K02890	bsv:BSVBI22_A1224
ko:K01142	bsv:BSVBI22_A2000
ko:K09125	bsv:BSVBI22_A2010
ko:K02902	bsv:BSVBI22_A2011
ko:K01534	bsv:BSVBI22_A2014
ko:K09883	bsv:BSVBI22_A2017
ko:K05527	bsv:BSVBI22_A2022
ko:K01735	bsv:BSVBI22_A2024
ko:K00891	bsv:BSVBI22_A2025
ko:K01962	bsv:BSVBI22_A2028
ko:K02529	bsv:BSVBI22_A2045
ko:K01032	bsv:BSVBI22_B0630
ko:K01031	bsv:BSVBI22_B0631
ko:K02624	bsv:BSVBI22_B0632
ko:K00481	bsv:BSVBI22_B0634
ko:K02623	bsv:BSVBI22_B0635
ko:K01055	bsv:BSVBI22_B0636
ko:K00449	bsv:BSVBI22_B0638
ko:K00448	bsv:BSVBI22_B0639
ko:K01857	bsv:BSVBI22_B0640
ko:K01999	bsv:BSVBI22_B0641
ko:K01997	bsv:BSVBI22_B0642
ko:K01998	bsv:BSVBI22_B0643
ko:K01995	bsv:BSVBI22_B0644
ko:K01996	bsv:BSVBI22_B0645
ko:K01486	bsv:BSVBI22_B0646
ko:K01273	bsv:BSVBI22_B0647
ko:K05813	bsv:BSVBI22_B0648
ko:K06901	bsv:BSVBI22_B0654
ko:K07090	bsv:BSVBI22_B0662
ko:K02016	bsv:BSVBI22_B0667
ko:K02015	bsv:BSVBI22_B0668
ko:K02015	bsv:BSVBI22_B0669
ko:K02013	bsv:BSVBI22_B0670
ko:K00337	bsv:BSVBI22_A0805
ko:K00338	bsv:BSVBI22_A0806
ko:K00339	bsv:BSVBI22_A0807
ko:K00340	bsv:BSVBI22_A0808
ko:K00341	bsv:BSVBI22_A0809
ko:K00342	bsv:BSVBI22_A0810
ko:K00343	bsv:BSVBI22_A0811
ko:K03524	bsv:BSVBI22_A0812
ko:K05606	bsv:BSVBI22_A0814
ko:K01881	bsv:BSVBI22_A0818
ko:K09808	bsv:BSVBI22_A0819
ko:K02337	bsv:BSVBI22_A0821
ko:K02986	bsv:BSVBI22_A0826
ko:K14058	bsv:BSVBI22_A0827
ko:K07552	bsv:BSVBI22_A0829
ko:K07390	bsv:BSVBI22_A0831
ko:K01952	bsv:BSVBI22_A0833
ko:K01952	bsv:BSVBI22_A0836
ko:K01952	bsv:BSVBI22_A0837
ko:K01923	bsv:BSVBI22_A0838
ko:K07002	bsv:BSVBI22_A0841
ko:K01756	bsv:BSVBI22_A0845
ko:K01783	bsv:BSVBI22_A0846
ko:K02517	bsv:BSVBI22_A0847
ko:K09458	bsv:BSVBI22_A0849
ko:K09458	bsv:BSVBI22_A0850
ko:K00874	bsv:BSVBI22_A0854
ko:K06162	bsv:BSVBI22_A0856
ko:K01247	bsv:BSVBI22_A1642
ko:K01894	bsv:BSVBI22_A1643
ko:K01638	bsv:BSVBI22_A1644
ko:K03823	bsv:BSVBI22_A1645
ko:K03089	bsv:BSVBI22_A1646
ko:K06180	bsv:BSVBI22_A1647
ko:K03088	bsv:BSVBI22_A1654
ko:K03561	bsv:BSVBI22_A1662
ko:K03832	bsv:BSVBI22_A1664
ko:K13888	bsv:BSVBI22_A1667
ko:K05800	bsv:BSVBI22_A1672
ko:K01939	bsv:BSVBI22_A1679
ko:K00831	bsv:BSVBI22_A1683
ko:K03453	bsv:BSVBI22_A1684
ko:K03431	bsv:BSVBI22_A1686
ko:K03734	bsv:BSVBI22_B0276
ko:K07234	bsv:BSVBI22_B0279
ko:K08303	bsv:BSVBI22_B0286
ko:K03182	bsv:BSVBI22_B0288
ko:K03186	bsv:BSVBI22_B0289
ko:K00373	bsv:BSVBI22_B0293
ko:K00371	bsv:BSVBI22_B0294
ko:K00370	bsv:BSVBI22_B0295
ko:K02575	bsv:BSVBI22_B0296
ko:K02529	bsv:BSVBI22_B0298
ko:K03610	bsv:BSVBI22_B0317
ko:K03609	bsv:BSVBI22_B0318
ko:K03608	bsv:BSVBI22_B0319
ko:K02053	bsv:BSVBI22_B0325
ko:K02034	bsv:BSVBI22_B1071
ko:K00074	bsv:BSVBI22_B1077
ko:K06446	bsv:BSVBI22_B1079
ko:K01434	bsv:BSVBI22_B1080
ko:K02034	bsv:BSVBI22_B1090
ko:K01845	bsv:BSVBI22_B1099
ko:K10778	bsv:BSVBI22_A0369
ko:K03977	bsv:BSVBI22_A0376
ko:K04046	bsv:BSVBI22_A0377
ko:K02108	bsv:BSVBI22_A0383
ko:K02110	bsv:BSVBI22_A0384
ko:K02109	bsv:BSVBI22_A0385
ko:K02109	bsv:BSVBI22_A0386
ko:K03470	bsv:BSVBI22_A0387
ko:K00919	bsv:BSVBI22_A0395
ko:K03313	bsv:BSVBI22_A0398
ko:K02523	bsv:BSVBI22_A0402
ko:K01878	bsv:BSVBI22_A0404
ko:K01879	bsv:BSVBI22_A0405
ko:K07566	bsv:BSVBI22_A0406
ko:K01945	bsv:BSVBI22_A0415
ko:K03179	bsv:BSVBI22_A0416
ko:K00275	bsv:BSVBI22_A0417
ko:K00208	bsv:BSVBI22_A0421
ko:K02965	bsv:BSVBI22_A1225
ko:K02886	bsv:BSVBI22_A1226
ko:K02892	bsv:BSVBI22_A1227
ko:K02926	bsv:BSVBI22_A1228
ko:K02906	bsv:BSVBI22_A1229
ko:K02946	bsv:BSVBI22_A1230
ko:K02358	bsv:BSVBI22_A1231
ko:K02355	bsv:BSVBI22_A1232
ko:K02992	bsv:BSVBI22_A1233
ko:K02950	bsv:BSVBI22_A1234
ko:K03046	bsv:BSVBI22_A1238
ko:K03043	bsv:BSVBI22_A1239
ko:K02935	bsv:BSVBI22_A1241
ko:K02864	bsv:BSVBI22_A1242
ko:K02863	bsv:BSVBI22_A1243
ko:K02867	bsv:BSVBI22_A1244
ko:K02601	bsv:BSVBI22_A1245
ko:K03073	bsv:BSVBI22_A1246
ko:K03218	bsv:BSVBI22_A1250
ko:K00640	bsv:BSVBI22_A1258
ko:K09005	bsv:BSVBI22_A1261
ko:K03704	bsv:BSVBI22_A1262
ko:K07462	bsv:BSVBI22_A1266
ko:K01921	bsv:BSVBI22_A1267
ko:K00003	bsv:BSVBI22_A1270
ko:K14261	bsv:BSVBI22_A1271
ko:K02340	bsv:BSVBI22_A2053
ko:K03501	bsv:BSVBI22_A2056
ko:K03495	bsv:BSVBI22_A2057
ko:K03650	bsv:BSVBI22_A2058
ko:K06888	bsv:BSVBI22_A2059
ko:K03628	bsv:BSVBI22_A2060
ko:K08973	bsv:BSVBI22_A2061
ko:K01599	bsv:BSVBI22_A2062
ko:K09773	bsv:BSVBI22_A2063
ko:K06287	bsv:BSVBI22_A2064
ko:K00014	bsv:BSVBI22_A2065
ko:K00859	bsv:BSVBI22_A2066
ko:K03071	bsv:BSVBI22_A2068
ko:K07113	bsv:BSVBI22_A2069
ko:K08304	bsv:BSVBI22_A2071
ko:K03667	bsv:BSVBI22_A2075
ko:K01419	bsv:BSVBI22_A2076
ko:K01693	bsv:BSVBI22_A2077
ko:K02501	bsv:BSVBI22_A2079
ko:K01814	bsv:BSVBI22_A2080
ko:K02500	bsv:BSVBI22_A2081
ko:K15034	bsv:BSVBI22_A2084
ko:K01610	bsv:BSVBI22_A2085
ko:K14981	bsv:BSVBI22_A2086
ko:K14980	bsv:BSVBI22_A2087
ko:K01251	bsv:BSVBI22_A2093
ko:K03671	bsv:BSVBI22_A2101
ko:K01524	bsv:BSVBI22_B0677
ko:K00794	bsv:BSVBI22_B0687
ko:K02011	bsv:BSVBI22_B0691
ko:K02012	bsv:BSVBI22_B0692
ko:K14588	bsv:BSVBI22_B0696
ko:K04756	bsv:BSVBI22_B0699
ko:K04761	bsv:BSVBI22_B0701
ko:K03336	bsv:BSVBI22_B0706
ko:K03335	bsv:BSVBI22_B0707
ko:K02011	bsv:BSVBI22_B0711
ko:K02012	bsv:BSVBI22_B0712
ko:K13821	bsv:BSVBI22_B0714
ko:K00281	bsv:BSVBI22_B0717
ko:K05539	bsv:BSVBI22_A0859
ko:K06985	bsv:BSVBI22_A0860
ko:K06938	bsv:BSVBI22_A0861
ko:K02233	bsv:BSVBI22_A0862
ko:K00768	bsv:BSVBI22_A0863
ko:K05800	bsv:BSVBI22_A0864
ko:K01142	bsv:BSVBI22_A0869
ko:K01129	bsv:BSVBI22_A0872
ko:K01887	bsv:BSVBI22_A0873
ko:K01207	bsv:BSVBI22_A0875
ko:K05896	bsv:BSVBI22_A0876
ko:K06024	bsv:BSVBI22_A0877
ko:K03116	bsv:BSVBI22_A0878
ko:K03117	bsv:BSVBI22_A0879
ko:K03118	bsv:BSVBI22_A0880
ko:K01875	bsv:BSVBI22_A0881
ko:K03787	bsv:BSVBI22_A0882
ko:K00573	bsv:BSVBI22_A0883
ko:K06923	bsv:BSVBI22_A0885
ko:K03210	bsv:BSVBI22_A0886
ko:K12257	bsv:BSVBI22_A0887
ko:K02291	bsv:BSVBI22_A0889
ko:K04094	bsv:BSVBI22_A0890
ko:K03545	bsv:BSVBI22_A0894
ko:K02434	bsv:BSVBI22_A0895
ko:K00684	bsv:BSVBI22_A0901
ko:K01961	bsv:BSVBI22_A0902
ko:K02160	bsv:BSVBI22_A0903
ko:K03786	bsv:BSVBI22_A0904
ko:K08300	bsv:BSVBI22_A0908
ko:K03798	bsv:BSVBI22_A1687
ko:K04075	bsv:BSVBI22_A1688
ko:K03640	bsv:BSVBI22_A1691
ko:K03641	bsv:BSVBI22_A1693
ko:K03562	bsv:BSVBI22_A1696
ko:K07107	bsv:BSVBI22_A1697
ko:K03551	bsv:BSVBI22_A1698
ko:K03550	bsv:BSVBI22_A1699
ko:K01159	bsv:BSVBI22_A1700
ko:K13592	bsv:BSVBI22_A1701
ko:K00788	bsv:BSVBI22_A1703
ko:K02356	bsv:BSVBI22_A1706
ko:K02557	bsv:BSVBI22_A1710
ko:K02909	bsv:BSVBI22_A1712
ko:K03523	bsv:BSVBI22_A1715
ko:K09706	bsv:BSVBI22_A1716
ko:K09769	bsv:BSVBI22_A1718
ko:K09888	bsv:BSVBI22_A1720
ko:K00615	bsv:BSVBI22_A1723
ko:K00134	bsv:BSVBI22_A1724
ko:K00927	bsv:BSVBI22_A1725
ko:K01908	bsv:BSVBI22_A1727
ko:K09987	bsv:BSVBI22_A1733
ko:K01588	bsv:BSVBI22_A1740
ko:K03585	bsv:BSVBI22_B0331
ko:K01425	bsv:BSVBI22_B0336
ko:K04761	bsv:BSVBI22_B0350
ko:K03781	bsv:BSVBI22_B0351
ko:K03500	bsv:BSVBI22_B0354
ko:K01951	bsv:BSVBI22_B0357
ko:K07733	bsv:BSVBI22_B0359
ko:K07230	bsv:BSVBI22_B0377
ko:K07243	bsv:BSVBI22_B0379
ko:K01628	bsv:BSVBI22_B1101
ko:K09817	bsv:BSVBI22_B1113
ko:K09816	bsv:BSVBI22_B1114
ko:K09823	bsv:BSVBI22_B1115
ko:K02421	bsv:BSVBI22_B1121
ko:K02400	bsv:BSVBI22_B1122
ko:K02420	bsv:BSVBI22_B1123
ko:K02389	bsv:BSVBI22_B1124
ko:K06601	bsv:BSVBI22_B1125
ko:K06602	bsv:BSVBI22_B1126
ko:K02397	bsv:BSVBI22_B1127
ko:K02396	bsv:BSVBI22_B1128
ko:K02390	bsv:BSVBI22_B1129
ko:K02557	bsv:BSVBI22_B1134
ko:K02409	bsv:BSVBI22_B1136
ko:K02406	bsv:BSVBI22_B1137
ko:K10543	bsv:BSVBI22_B1140
ko:K10545	bsv:BSVBI22_B1141
ko:K09778	bsv:BSVBI22_A0427
ko:K01736	bsv:BSVBI22_A0429
ko:K14652	bsv:BSVBI22_A0430
ko:K03602	bsv:BSVBI22_A0432
ko:K06911	bsv:BSVBI22_A0436
ko:K01662	bsv:BSVBI22_A0437
ko:K06442	bsv:BSVBI22_A0438
ko:K03215	bsv:BSVBI22_A0439
ko:K06966	bsv:BSVBI22_A0440
ko:K01613	bsv:BSVBI22_A0444
ko:K02313	bsv:BSVBI22_A0001
ko:K02338	bsv:BSVBI22_A0002
ko:K03629	bsv:BSVBI22_A0003
ko:K12972	bsv:BSVBI22_A0005
ko:K13896	bsv:BSVBI22_A0006
ko:K13895	bsv:BSVBI22_A0007
ko:K13894	bsv:BSVBI22_A0008
ko:K13893	bsv:BSVBI22_A0009
ko:K13893	bsv:BSVBI22_A0010
ko:K01999	bsv:BSVBI22_A0014
ko:K13766	bsv:BSVBI22_A0016
ko:K01968	bsv:BSVBI22_A0018
ko:K01969	bsv:BSVBI22_A0019
ko:K00800	bsv:BSVBI22_A0025
ko:K00945	bsv:BSVBI22_A0026
ko:K02945	bsv:BSVBI22_A0027
ko:K06187	bsv:BSVBI22_A0032
ko:K09747	bsv:BSVBI22_A0033
ko:K02343	bsv:BSVBI22_A0034
ko:K03426	bsv:BSVBI22_A0036
ko:K00979	bsv:BSVBI22_A0038
ko:K02297	bsv:BSVBI22_A0042
ko:K02298	bsv:BSVBI22_A0043
ko:K00764	bsv:BSVBI22_A0447
ko:K03558	bsv:BSVBI22_A0449
ko:K04485	bsv:BSVBI22_A0450
ko:K00574	bsv:BSVBI22_A0452
ko:K02939	bsv:BSVBI22_A0453
ko:K02963	bsv:BSVBI22_A0455
ko:K02990	bsv:BSVBI22_A0456
ko:K00645	bsv:BSVBI22_A0458
ko:K02078	bsv:BSVBI22_A0460
ko:K09458	bsv:BSVBI22_A0462
ko:K07082	bsv:BSVBI22_A0463
ko:K00942	bsv:BSVBI22_A0465
ko:K03568	bsv:BSVBI22_A0466
ko:K02275	bsv:BSVBI22_A0468
ko:K02276	bsv:BSVBI22_A0473
ko:K03527	bsv:BSVBI22_A0476
ko:K02204	bsv:BSVBI22_A0477
ko:K09956	bsv:BSVBI22_A1274
ko:K06206	bsv:BSVBI22_A1277
ko:K01265	bsv:BSVBI22_A1278
ko:K03630	bsv:BSVBI22_A1279
ko:K02229	bsv:BSVBI22_A1282
ko:K06042	bsv:BSVBI22_A1283
ko:K03394	bsv:BSVBI22_A1284
ko:K13541	bsv:BSVBI22_A1285
ko:K01999	bsv:BSVBI22_A1289
ko:K02227	bsv:BSVBI22_A1290
ko:K02225	bsv:BSVBI22_A1291
ko:K02224	bsv:BSVBI22_A1292
ko:K02188	bsv:BSVBI22_A1294
ko:K05895	bsv:BSVBI22_A1295
ko:K05936	bsv:BSVBI22_A1296
ko:K02189	bsv:BSVBI22_A1297
ko:K07090	bsv:BSVBI22_A1299
ko:K02230	bsv:BSVBI22_A1302
ko:K02234	bsv:BSVBI22_A1303
ko:K02231	bsv:BSVBI22_A1304
ko:K02232	bsv:BSVBI22_A1307
ko:K12257	bsv:BSVBI22_A1320
ko:K07002	bsv:BSVBI22_A1323
ko:K02047	bsv:BSVBI22_A1324
ko:K02046	bsv:BSVBI22_A1325
ko:K11754	bsv:BSVBI22_A2102
ko:K01963	bsv:BSVBI22_A2103
ko:K01695	bsv:BSVBI22_A2104
ko:K01696	bsv:BSVBI22_A2106
ko:K01817	bsv:BSVBI22_A2107
ko:K07043	bsv:BSVBI22_A2109
ko:K05782	bsv:BSVBI22_A2111
ko:K02520	bsv:BSVBI22_A2113
ko:K02916	bsv:BSVBI22_A2115
ko:K02887	bsv:BSVBI22_A2116
ko:K01889	bsv:BSVBI22_A2118
ko:K01890	bsv:BSVBI22_A2119
ko:K04043	bsv:BSVBI22_A2121
ko:K03686	bsv:BSVBI22_A2122
ko:K01591	bsv:BSVBI22_A2124
ko:K01920	bsv:BSVBI22_A2127
ko:K07391	bsv:BSVBI22_A2128
ko:K03642	bsv:BSVBI22_A2131
ko:K09790	bsv:BSVBI22_A2133
ko:K02040	bsv:BSVBI22_A2134
ko:K02037	bsv:BSVBI22_A2135
ko:K02038	bsv:BSVBI22_A2136
ko:K02036	bsv:BSVBI22_A2137
ko:K02039	bsv:BSVBI22_A2138
