ko:K01978	mhaq:WC39_13745
ko:K02012	mhaq:WC39_13065
ko:K02011	mhaq:WC39_13070
ko:K02010	mhaq:WC39_13075
ko:K02358	mhaq:WC39_13080
ko:K00867	mhaq:WC39_13105
ko:K02199	mhaq:WC39_13110
ko:K02200	mhaq:WC39_13120
ko:K03831	mhaq:WC39_13130
ko:K04751	mhaq:WC39_13135
ko:K03101	mhaq:WC39_13140
ko:K03527	mhaq:WC39_13145
ko:K09159	mhaq:WC39_13150
ko:K09897	mhaq:WC39_13160
ko:K00557	mhaq:WC39_13165
ko:K09790	mhaq:WC39_13180
ko:K03733	mhaq:WC39_13185
ko:K01879	mhaq:WC39_13210
ko:K01878	mhaq:WC39_13230
ko:K03532	mhaq:WC39_13235
ko:K03299	mhaq:WC39_13260
ko:K03106	mhaq:WC39_13290
ko:K08306	mhaq:WC39_13315
ko:K03575	mhaq:WC39_13325
ko:K08234	mhaq:WC39_13330
ko:K06206	mhaq:WC39_13340
ko:K01419	mhaq:WC39_13345
ko:K03667	mhaq:WC39_13350
ko:K05952	mhaq:WC39_02885
ko:K00566	mhaq:WC39_02900
ko:K01755	mhaq:WC39_02905
ko:K15539	mhaq:WC39_02910
ko:K03526	mhaq:WC39_02915
ko:K01892	mhaq:WC39_02920
ko:K02338	mhaq:WC39_02930
ko:K02313	mhaq:WC39_02935
ko:K18893	mhaq:WC39_02940
ko:K07173	mhaq:WC39_02945
ko:K03711	mhaq:WC39_02955
ko:K03839	mhaq:WC39_02960
ko:K06901	mhaq:WC39_02975
ko:K06039	mhaq:WC39_02980
ko:K07007	mhaq:WC39_02985
ko:K02518	mhaq:WC39_02990
ko:K07186	mhaq:WC39_02995
ko:K01079	mhaq:WC39_03000
ko:K09767	mhaq:WC39_03005
ko:K00024	mhaq:WC39_03015
ko:K03402	mhaq:WC39_03020
ko:K07071	mhaq:WC39_03025
ko:K03657	mhaq:WC39_03030
ko:K00014	mhaq:WC39_03055
ko:K07566	mhaq:WC39_03060
ko:K07479	mhaq:WC39_03065
ko:K09900	mhaq:WC39_03070
ko:K03565	mhaq:WC39_03075
ko:K02619	mhaq:WC39_03085
ko:K01665	mhaq:WC39_03090
ko:K09760	mhaq:WC39_03095
ko:K01664	mhaq:WC39_03100
ko:K02835	mhaq:WC39_03105
ko:K02493	mhaq:WC39_03115
ko:K01627	mhaq:WC39_03125
ko:K00018	mhaq:WC39_03130
ko:K09808	mhaq:WC39_03135
ko:K09810	mhaq:WC39_03140
ko:K09808	mhaq:WC39_03145
ko:K01868	mhaq:WC39_03150
ko:K03523	mhaq:WC39_03160
ko:K01186	mhaq:WC39_07555
ko:K00760	mhaq:WC39_07560
ko:K03592	mhaq:WC39_07565
ko:K09889	mhaq:WC39_07570
ko:K07150	mhaq:WC39_07580
ko:K03186	mhaq:WC39_07585
ko:K09979	mhaq:WC39_07590
ko:K02014	mhaq:WC39_07600
ko:K07214	mhaq:WC39_07605
ko:K00773	mhaq:WC39_07635
ko:K03704	mhaq:WC39_07645
ko:K02099	mhaq:WC39_07655
ko:K02058	mhaq:WC39_07660
ko:K02056	mhaq:WC39_07665
ko:K02057	mhaq:WC39_07670
ko:K02057	mhaq:WC39_07675
ko:K07112	mhaq:WC39_07685
ko:K02909	mhaq:WC39_09655
ko:K00615	mhaq:WC39_09660
ko:K03603	mhaq:WC39_09670
ko:K03314	mhaq:WC39_09675
ko:K03611	mhaq:WC39_09680
ko:K01760	mhaq:WC39_09685
ko:K00762	mhaq:WC39_09700
ko:K07115	mhaq:WC39_09705
ko:K03806	mhaq:WC39_09710
ko:K06177	mhaq:WC39_09715
ko:K09803	mhaq:WC39_09725
ko:K03580	mhaq:WC39_09730
ko:K01129	mhaq:WC39_09740
ko:K03215	mhaq:WC39_09745
ko:K07552	mhaq:WC39_09750
ko:K06183	mhaq:WC39_09755
ko:K02549	mhaq:WC39_09760
ko:K01874	mhaq:WC39_09765
ko:K00940	mhaq:WC39_09770
ko:K03624	mhaq:WC39_09775
ko:K06211	mhaq:WC39_11615
ko:K00785	mhaq:WC39_11740
ko:K05789	mhaq:WC39_11745
ko:K15724	mhaq:WC39_11750
ko:K08998	mhaq:WC39_11755
ko:K03536	mhaq:WC39_11760
ko:K02914	mhaq:WC39_11765
ko:K01772	mhaq:WC39_11770
ko:K03060	mhaq:WC39_11785
ko:K03484	mhaq:WC39_11795
ko:K01193	mhaq:WC39_11800
ko:K00847	mhaq:WC39_11805
ko:K06168	mhaq:WC39_11810
ko:K02777	mhaq:WC39_11815
ko:K08483	mhaq:WC39_11820
ko:K02784	mhaq:WC39_11825
ko:K02063	mhaq:WC39_11830
ko:K02062	mhaq:WC39_11835
ko:K02809	mhaq:WC39_11840
ko:K02810	mhaq:WC39_11840
ko:K02647	mhaq:WC39_00905
ko:K03299	mhaq:WC39_00910
ko:K00865	mhaq:WC39_00915
ko:K03078	mhaq:WC39_00920
ko:K02821	mhaq:WC39_00925
ko:K01119	mhaq:WC39_00935
ko:K01119	mhaq:WC39_00940
ko:K02822	mhaq:WC39_00945
ko:K03475	mhaq:WC39_00945
ko:K03476	mhaq:WC39_00950
ko:K03477	mhaq:WC39_00955
ko:K00868	mhaq:WC39_00980
ko:K01962	mhaq:WC39_00990
ko:K00655	mhaq:WC39_01000
ko:K11065	mhaq:WC39_01005
ko:K03217	mhaq:WC39_01010
ko:K03286	mhaq:WC39_01025
ko:K09911	mhaq:WC39_01030
ko:K04770	mhaq:WC39_01035
ko:K01716	mhaq:WC39_01040
ko:K03274	mhaq:WC39_01045
ko:K01462	mhaq:WC39_01050
ko:K04096	mhaq:WC39_01055
ko:K02822	mhaq:WC39_01065
ko:K03073	mhaq:WC39_01075
ko:K02601	mhaq:WC39_01080
ko:K02867	mhaq:WC39_01085
ko:K02863	mhaq:WC39_01090
ko:K00647	mhaq:WC39_01100
ko:K03655	mhaq:WC39_01110
ko:K00059	mhaq:WC39_01115
ko:K09458	mhaq:WC39_01120
ko:K00648	mhaq:WC39_01130
ko:K02864	mhaq:WC39_01140
ko:K02935	mhaq:WC39_01145
ko:K14441	mhaq:WC39_01175
ko:K02897	mhaq:WC39_05585
ko:K00029	mhaq:WC39_05590
ko:K05844	mhaq:WC39_05595
ko:K03814	mhaq:WC39_05605
ko:K03720	mhaq:WC39_05610
ko:K03634	mhaq:WC39_05615
ko:K18843	mhaq:WC39_05670
ko:K01695	mhaq:WC39_05690
ko:K01696	mhaq:WC39_05695
ko:K16066	mhaq:WC39_05700
ko:K03746	mhaq:WC39_05710
ko:K01433	mhaq:WC39_05715
ko:K03748	mhaq:WC39_05720
ko:K00641	mhaq:WC39_05725
ko:K13498	mhaq:WC39_08730
ko:K06175	mhaq:WC39_08740
ko:K06918	mhaq:WC39_08755
ko:K03664	mhaq:WC39_08770
ko:K01875	mhaq:WC39_08775
ko:K01869	mhaq:WC39_08790
ko:K03643	mhaq:WC39_08795
ko:K02340	mhaq:WC39_08800
ko:K09862	mhaq:WC39_08805
ko:K00859	mhaq:WC39_08810
ko:K02506	mhaq:WC39_08815
ko:K02505	mhaq:WC39_08820
ko:K02504	mhaq:WC39_08825
ko:K02682	mhaq:WC39_08830
ko:K04485	mhaq:WC39_08835
ko:K00931	mhaq:WC39_08855
ko:K09824	mhaq:WC39_13355
ko:K09997	mhaq:WC39_13360
ko:K07389	mhaq:WC39_13365
ko:K11005	mhaq:WC39_13370
ko:K11004	mhaq:WC39_13375
ko:K11003	mhaq:WC39_13380
ko:K02051	mhaq:WC39_13385
ko:K02050	mhaq:WC39_13390
ko:K00864	mhaq:WC39_13405
ko:K02440	mhaq:WC39_13410
ko:K06199	mhaq:WC39_13415
ko:K07792	mhaq:WC39_13420
ko:K01778	mhaq:WC39_13425
ko:K07002	mhaq:WC39_13430
ko:K03297	mhaq:WC39_13435
ko:K00854	mhaq:WC39_13440
ko:K01805	mhaq:WC39_13445
ko:K10543	mhaq:WC39_13450
ko:K10545	mhaq:WC39_13455
ko:K10544	mhaq:WC39_13460
ko:K07724	mhaq:WC39_13470
ko:K02562	mhaq:WC39_13490
ko:K00009	mhaq:WC39_13495
ko:K02798	mhaq:WC39_13500
ko:K02799	mhaq:WC39_13500
ko:K02800	mhaq:WC39_13500
ko:K06041	mhaq:WC39_13515
ko:K02468	mhaq:WC39_13520
ko:K02466	mhaq:WC39_13530
ko:K00068	mhaq:WC39_13535
ko:K02781	mhaq:WC39_13540
ko:K02782	mhaq:WC39_13545
ko:K02783	mhaq:WC39_13545
ko:K02783	mhaq:WC39_13550
ko:K08364	mhaq:WC39_13555
ko:K08363	mhaq:WC39_13560
ko:K03088	mhaq:WC39_13585
ko:K17247	mhaq:WC39_13595
ko:K01424	mhaq:WC39_13605
ko:K16087	mhaq:WC39_13615
ko:K03424	mhaq:WC39_03170
ko:K01662	mhaq:WC39_03180
ko:K01092	mhaq:WC39_03185
ko:K03214	mhaq:WC39_03190
ko:K00858	mhaq:WC39_03195
ko:K00549	mhaq:WC39_03205
ko:K00600	mhaq:WC39_03215
ko:K16087	mhaq:WC39_03225
ko:K16087	mhaq:WC39_03230
ko:K11175	mhaq:WC39_03235
ko:K02013	mhaq:WC39_03240
ko:K02015	mhaq:WC39_03245
ko:K02016	mhaq:WC39_03250
ko:K16087	mhaq:WC39_03255
ko:K10823	mhaq:WC39_03265
ko:K15583	mhaq:WC39_03265
ko:K15582	mhaq:WC39_03270
ko:K15581	mhaq:WC39_03275
ko:K11070	mhaq:WC39_03280
ko:K11071	mhaq:WC39_03285
ko:K11072	mhaq:WC39_03290
ko:K03656	mhaq:WC39_03295
ko:K01744	mhaq:WC39_03300
ko:K01933	mhaq:WC39_03310
ko:K16868	mhaq:WC39_03315
ko:K00484	mhaq:WC39_03320
ko:K09901	mhaq:WC39_03325
ko:K08316	mhaq:WC39_03330
ko:K03110	mhaq:WC39_03335
ko:K09812	mhaq:WC39_03340
ko:K09811	mhaq:WC39_03345
ko:K18800	mhaq:WC39_03360
ko:K06958	mhaq:WC39_03365
ko:K02806	mhaq:WC39_03370
ko:K06861	mhaq:WC39_03375
ko:K09774	mhaq:WC39_03380
ko:K11719	mhaq:WC39_03385
ko:K01142	mhaq:WC39_03390
ko:K07084	mhaq:WC39_03395
ko:K07085	mhaq:WC39_03400
ko:K00705	mhaq:WC39_03405
ko:K00688	mhaq:WC39_03410
ko:K03556	mhaq:WC39_03415
ko:K01176	mhaq:WC39_03420
ko:K10110	mhaq:WC39_03425
ko:K10109	mhaq:WC39_03430
ko:K10108	mhaq:WC39_03435
ko:K02371	mhaq:WC39_07700
ko:K07738	mhaq:WC39_07715
ko:K09902	mhaq:WC39_07720
ko:K02016	mhaq:WC39_07730
ko:K02015	mhaq:WC39_07735
ko:K02013	mhaq:WC39_07745
ko:K00990	mhaq:WC39_07750
ko:K07301	mhaq:WC39_07755
ko:K00831	mhaq:WC39_07760
ko:K07220	mhaq:WC39_07765
ko:K03306	mhaq:WC39_07770
ko:K07184	mhaq:WC39_07775
ko:K00800	mhaq:WC39_07780
ko:K00817	mhaq:WC39_07785
ko:K03798	mhaq:WC39_07795
ko:K02427	mhaq:WC39_07800
ko:K04042	mhaq:WC39_07810
ko:K07259	mhaq:WC39_09780
ko:K06975	mhaq:WC39_09785
ko:K00602	mhaq:WC39_09790
ko:K01752	mhaq:WC39_09795
ko:K03837	mhaq:WC39_09800
ko:K01714	mhaq:WC39_09805
ko:K02517	mhaq:WC39_09810
ko:K05809	mhaq:WC39_09815
ko:K16347	mhaq:WC39_09820
ko:K06180	mhaq:WC39_09825
ko:K05807	mhaq:WC39_09830
ko:K01409	mhaq:WC39_09835
ko:K07270	mhaq:WC39_09840
ko:K06202	mhaq:WC39_09845
ko:K03654	mhaq:WC39_09850
ko:K02520	mhaq:WC39_09855
ko:K02916	mhaq:WC39_09860
ko:K02887	mhaq:WC39_09865
ko:K03703	mhaq:WC39_09875
ko:K00995	mhaq:WC39_09880
ko:K11179	mhaq:WC39_09890
ko:K01687	mhaq:WC39_09895
ko:K02778	mhaq:WC39_09900
ko:K02779	mhaq:WC39_09900
ko:K08289	mhaq:WC39_09905
ko:K01265	mhaq:WC39_11850
ko:K09125	mhaq:WC39_11855
ko:K06911	mhaq:WC39_11860
ko:K01792	mhaq:WC39_11865
ko:K03841	mhaq:WC39_11870
ko:K01347	mhaq:WC39_11875
ko:K09896	mhaq:WC39_11885
ko:K03673	mhaq:WC39_11890
ko:K05590	mhaq:WC39_11910
ko:K03674	mhaq:WC39_11915
ko:K03308	mhaq:WC39_11925
ko:K07040	mhaq:WC39_11940
ko:K02911	mhaq:WC39_11945
ko:K03621	mhaq:WC39_11950
ko:K00013	mhaq:WC39_11955
ko:K00765	mhaq:WC39_11960
ko:K01923	mhaq:WC39_11965
ko:K00053	mhaq:WC39_11970
ko:K01243	mhaq:WC39_01180
ko:K03745	mhaq:WC39_01185
ko:K03772	mhaq:WC39_01190
ko:K07235	mhaq:WC39_01200
ko:K07236	mhaq:WC39_01205
ko:K07237	mhaq:WC39_01210
ko:K03043	mhaq:WC39_01225
ko:K03046	mhaq:WC39_01235
ko:K01845	mhaq:WC39_01245
ko:K02851	mhaq:WC39_01250
ko:K05790	mhaq:WC39_01255
ko:K02472	mhaq:WC39_01260
ko:K16704	mhaq:WC39_01265
ko:K01915	mhaq:WC39_01275
ko:K12582	mhaq:WC39_01280
ko:K02853	mhaq:WC39_01285
ko:K02852	mhaq:WC39_01290
ko:K00748	mhaq:WC39_01345
ko:K04774	mhaq:WC39_01350
ko:K03088	mhaq:WC39_01365
ko:K12372	mhaq:WC39_01370
ko:K12371	mhaq:WC39_01375
ko:K12370	mhaq:WC39_01380
ko:K12369	mhaq:WC39_01385
ko:K12368	mhaq:WC39_01390
ko:K10763	mhaq:WC39_01395
ko:K02193	mhaq:WC39_01400
ko:K02194	mhaq:WC39_01405
ko:K02195	mhaq:WC39_01410
ko:K02196	mhaq:WC39_01415
ko:K02197	mhaq:WC39_01420
ko:K02198	mhaq:WC39_01425
ko:K03979	mhaq:WC39_01435
ko:K01887	mhaq:WC39_01440
ko:K09907	mhaq:WC39_01445
ko:K06077	mhaq:WC39_01450
ko:K00616	mhaq:WC39_01460
ko:K08681	mhaq:WC39_01465
ko:K06215	mhaq:WC39_01470
ko:K03111	mhaq:WC39_05810
ko:K03310	mhaq:WC39_06045
ko:K01902	mhaq:WC39_06050
ko:K01903	mhaq:WC39_06055
ko:K00658	mhaq:WC39_06060
ko:K00164	mhaq:WC39_06065
ko:K09817	mhaq:WC39_06070
ko:K03981	mhaq:WC39_06080
ko:K07090	mhaq:WC39_08860
ko:K10773	mhaq:WC39_08865
ko:K00974	mhaq:WC39_08870
ko:K03304	mhaq:WC39_08875
ko:K04755	mhaq:WC39_08885
ko:K04044	mhaq:WC39_08895
ko:K04082	mhaq:WC39_08910
ko:K13628	mhaq:WC39_08915
ko:K04488	mhaq:WC39_08920
ko:K04487	mhaq:WC39_08925
ko:K13643	mhaq:WC39_08930
ko:K06076	mhaq:WC39_08935
ko:K00567	mhaq:WC39_08940
ko:K07648	mhaq:WC39_08945
ko:K07724	mhaq:WC39_10940
ko:K01347	mhaq:WC39_10950
ko:K08310	mhaq:WC39_10965
ko:K01159	mhaq:WC39_10980
ko:K00790	mhaq:WC39_10985
ko:K07122	mhaq:WC39_10995
ko:K07323	mhaq:WC39_11000
ko:K02067	mhaq:WC39_11005
ko:K02066	mhaq:WC39_11010
ko:K02065	mhaq:WC39_11015
ko:K04018	mhaq:WC39_11025
ko:K04017	mhaq:WC39_11030
ko:K02199	mhaq:WC39_11035
ko:K04016	mhaq:WC39_11040
ko:K04015	mhaq:WC39_11045
ko:K04014	mhaq:WC39_11050
ko:K04013	mhaq:WC39_11055
ko:K03385	mhaq:WC39_11060
ko:K01652	mhaq:WC39_11065
ko:K01952	mhaq:WC39_13630
ko:K16087	mhaq:WC39_13645
ko:K02430	mhaq:WC39_13650
ko:K01818	mhaq:WC39_13655
ko:K00879	mhaq:WC39_13660
ko:K02431	mhaq:WC39_13665
ko:K01628	mhaq:WC39_13670
ko:K10441	mhaq:WC39_13675
ko:K10440	mhaq:WC39_13680
ko:K10439	mhaq:WC39_13685
ko:K00048	mhaq:WC39_13695
ko:K07248	mhaq:WC39_13700
ko:K08996	mhaq:WC39_13705
ko:K03499	mhaq:WC39_13710
ko:K03500	mhaq:WC39_13715
ko:K07080	mhaq:WC39_13730
ko:K03833	mhaq:WC39_13735
ko:K10111	mhaq:WC39_03440
ko:K02024	mhaq:WC39_03445
ko:K05775	mhaq:WC39_03450
ko:K11747	mhaq:WC39_03455
ko:K05851	mhaq:WC39_03460
ko:K00647	mhaq:WC39_03465
ko:K01972	mhaq:WC39_03480
ko:K03528	mhaq:WC39_03485
ko:K06203	mhaq:WC39_03490
ko:K03832	mhaq:WC39_03495
ko:K03559	mhaq:WC39_03500
ko:K03561	mhaq:WC39_03505
ko:K02439	mhaq:WC39_03510
ko:K05838	mhaq:WC39_03515
ko:K05881	mhaq:WC39_03520
ko:K05879	mhaq:WC39_03525
ko:K05878	mhaq:WC39_03530
ko:K00384	mhaq:WC39_03535
ko:K00979	mhaq:WC39_03540
ko:K02064	mhaq:WC39_03555
ko:K06204	mhaq:WC39_03560
ko:K00970	mhaq:WC39_03565
ko:K00950	mhaq:WC39_03570
ko:K01759	mhaq:WC39_03595
ko:K03683	mhaq:WC39_03600
ko:K16087	mhaq:WC39_03610
ko:K03557	mhaq:WC39_03615
ko:K05540	mhaq:WC39_03620
ko:K08296	mhaq:WC39_03625
ko:K00873	mhaq:WC39_03630
ko:K12982	mhaq:WC39_03635
ko:K01626	mhaq:WC39_03640
ko:K14187	mhaq:WC39_03645
ko:K03629	mhaq:WC39_03650
ko:K09747	mhaq:WC39_03655
ko:K06187	mhaq:WC39_03660
ko:K07390	mhaq:WC39_03665
ko:K00826	mhaq:WC39_03670
ko:K01897	mhaq:WC39_03685
ko:K09906	mhaq:WC39_03690
ko:K04084	mhaq:WC39_03695
ko:K10000	mhaq:WC39_03700
ko:K09997	mhaq:WC39_03705
ko:K09999	mhaq:WC39_03710
ko:K09998	mhaq:WC39_03715
ko:K03551	mhaq:WC39_03720
ko:K04067	mhaq:WC39_07820
ko:K00382	mhaq:WC39_07835
ko:K00627	mhaq:WC39_07840
ko:K00163	mhaq:WC39_07845
ko:K00254	mhaq:WC39_07850
ko:K00948	mhaq:WC39_07855
ko:K00919	mhaq:WC39_07860
ko:K02494	mhaq:WC39_07865
ko:K11085	mhaq:WC39_07870
ko:K06518	mhaq:WC39_07880
ko:K05833	mhaq:WC39_07895
ko:K05832	mhaq:WC39_07900
ko:K03321	mhaq:WC39_07905
ko:K03701	mhaq:WC39_07910
ko:K07154	mhaq:WC39_07925
ko:K03777	mhaq:WC39_07935
ko:K03972	mhaq:WC39_09915
ko:K18991	mhaq:WC39_09925
ko:K07034	mhaq:WC39_09930
ko:K00631	mhaq:WC39_09935
ko:K01356	mhaq:WC39_09940
ko:K03573	mhaq:WC39_09945
ko:K01207	mhaq:WC39_09955
ko:K03212	mhaq:WC39_09960
ko:K01689	mhaq:WC39_09965
ko:K00226	mhaq:WC39_09975
ko:K02824	mhaq:WC39_09980
ko:K03185	mhaq:WC39_09985
ko:K12152	mhaq:WC39_09990
ko:K01008	mhaq:WC39_09995
ko:K02836	mhaq:WC39_10025
ko:K07088	mhaq:WC39_10030
ko:K03808	mhaq:WC39_11975
ko:K01734	mhaq:WC39_11995
ko:K01733	mhaq:WC39_12000
ko:K04761	mhaq:WC39_12010
ko:K00375	mhaq:WC39_01475
ko:K03269	mhaq:WC39_01505
ko:K03424	mhaq:WC39_01515
ko:K07746	mhaq:WC39_01525
ko:K02341	mhaq:WC39_01530
ko:K00943	mhaq:WC39_01535
ko:K07082	mhaq:WC39_01540
ko:K01507	mhaq:WC39_01560
ko:K01867	mhaq:WC39_01570
ko:K18841	mhaq:WC39_01575
ko:K18842	mhaq:WC39_01580
ko:K01091	mhaq:WC39_01585
ko:K13292	mhaq:WC39_01590
ko:K08311	mhaq:WC39_01600
ko:K00101	mhaq:WC39_01605
ko:K01070	mhaq:WC39_01620
ko:K13979	mhaq:WC39_01625
ko:K09936	mhaq:WC39_01660
ko:K07001	mhaq:WC39_01685
ko:K02553	mhaq:WC39_01690
ko:K03442	mhaq:WC39_01695
ko:K06179	mhaq:WC39_01700
ko:K00796	mhaq:WC39_01705
ko:K01439	mhaq:WC39_01715
ko:K03316	mhaq:WC39_01720
ko:K07112	mhaq:WC39_01725
ko:K03781	mhaq:WC39_01735
ko:K03686	mhaq:WC39_01740
ko:K04043	mhaq:WC39_01750
ko:K04752	mhaq:WC39_01755
ko:K07462	mhaq:WC39_06085
ko:K07674	mhaq:WC39_06100
ko:K03823	mhaq:WC39_06105
ko:K02428	mhaq:WC39_06110
ko:K09160	mhaq:WC39_06120
ko:K03271	mhaq:WC39_06125
ko:K03721	mhaq:WC39_06130
ko:K19226	mhaq:WC39_06135
ko:K19227	mhaq:WC39_06140
ko:K19228	mhaq:WC39_06145
ko:K19229	mhaq:WC39_06150
ko:K00052	mhaq:WC39_06160
ko:K07305	mhaq:WC39_06165
ko:K00134	mhaq:WC39_06170
ko:K07318	mhaq:WC39_09060
ko:K00931	mhaq:WC39_09130
ko:K11258	mhaq:WC39_11070
ko:K00878	mhaq:WC39_11085
ko:K14153	mhaq:WC39_11095
ko:K04773	mhaq:WC39_11110
ko:K06959	mhaq:WC39_11120
ko:K02656	mhaq:WC39_11125
ko:K06941	mhaq:WC39_11140
ko:K11604	mhaq:WC39_11145
ko:K11607	mhaq:WC39_11150
ko:K11606	mhaq:WC39_11155
ko:K11605	mhaq:WC39_11160
ko:K02558	mhaq:WC39_12055
ko:K04754	mhaq:WC39_12060
ko:K03764	mhaq:WC39_12065
ko:K14392	mhaq:WC39_12075
ko:K03313	mhaq:WC39_12080
ko:K08978	mhaq:WC39_12085
ko:K06133	mhaq:WC39_12090
ko:K13256	mhaq:WC39_12095
ko:K01515	mhaq:WC39_12100
ko:K11211	mhaq:WC39_04305
ko:K01495	mhaq:WC39_04310
ko:K06173	mhaq:WC39_04315
ko:K17686	mhaq:WC39_04320
ko:K02622	mhaq:WC39_04345
ko:K08591	mhaq:WC39_04350
ko:K01633	mhaq:WC39_04355
ko:K01489	mhaq:WC39_04365
ko:K14445	mhaq:WC39_04370
ko:K00549	mhaq:WC39_04375
ko:K03695	mhaq:WC39_04380
ko:K07275	mhaq:WC39_04385
ko:K03671	mhaq:WC39_04390
ko:K04088	mhaq:WC39_04395
ko:K04087	mhaq:WC39_04400
ko:K01939	mhaq:WC39_04405
ko:K19157	mhaq:WC39_04470
ko:K07473	mhaq:WC39_04475
ko:K03111	mhaq:WC39_04570
ko:K01491	mhaq:WC39_04585
ko:K03151	mhaq:WC39_04590
ko:K00850	mhaq:WC39_04600
ko:K03550	mhaq:WC39_03725
ko:K01095	mhaq:WC39_03735
ko:K00946	mhaq:WC39_03740
ko:K03625	mhaq:WC39_03745
ko:K02507	mhaq:WC39_03750
ko:K05366	mhaq:WC39_03775
ko:K00891	mhaq:WC39_03780
ko:K01735	mhaq:WC39_03785
ko:K03308	mhaq:WC39_03795
ko:K00927	mhaq:WC39_03800
ko:K01624	mhaq:WC39_03805
ko:K19230	mhaq:WC39_03810
ko:K00383	mhaq:WC39_03825
ko:K02380	mhaq:WC39_03835
ko:K00127	mhaq:WC39_03840
ko:K00124	mhaq:WC39_03845
ko:K00123	mhaq:WC39_03850
ko:K00123	mhaq:WC39_03855
ko:K02379	mhaq:WC39_03860
ko:K07088	mhaq:WC39_03865
ko:K03768	mhaq:WC39_03870
ko:K01883	mhaq:WC39_03875
ko:K00872	mhaq:WC39_03880
ko:K12524	mhaq:WC39_03885
ko:K04564	mhaq:WC39_03895
ko:K01775	mhaq:WC39_03900
ko:K03581	mhaq:WC39_03905
ko:K01810	mhaq:WC39_03935
ko:K09806	mhaq:WC39_03940
ko:K06920	mhaq:WC39_03945
ko:K01737	mhaq:WC39_03950
ko:K02552	mhaq:WC39_03980
ko:K14260	mhaq:WC39_03985
ko:K05786	mhaq:WC39_03990
ko:K04066	mhaq:WC39_04000
ko:K03111	mhaq:WC39_07915
ko:K07098	mhaq:WC39_10035
ko:K00965	mhaq:WC39_10045
ko:K00849	mhaq:WC39_10050
ko:K01785	mhaq:WC39_10055
ko:K07109	mhaq:WC39_10060
ko:K03210	mhaq:WC39_10065
ko:K03072	mhaq:WC39_10070
ko:K03074	mhaq:WC39_10075
ko:K06901	mhaq:WC39_10080
ko:K02012	mhaq:WC39_10095
ko:K02742	mhaq:WC39_10105
ko:K01166	mhaq:WC39_10110
ko:K07343	mhaq:WC39_10115
ko:K00789	mhaq:WC39_10125
ko:K02073	mhaq:WC39_10130
ko:K02073	mhaq:WC39_10135
ko:K02073	mhaq:WC39_10140
ko:K03169	mhaq:WC39_08170
ko:K15738	mhaq:WC39_10170
ko:K02469	mhaq:WC39_10175
ko:K00568	mhaq:WC39_10185
ko:K14058	mhaq:WC39_10190
ko:K13041	mhaq:WC39_10195
ko:K13040	mhaq:WC39_10200
ko:K08358	mhaq:WC39_10225
ko:K08359	mhaq:WC39_10230
ko:K08357	mhaq:WC39_10235
ko:K00942	mhaq:WC39_10250
ko:K00769	mhaq:WC39_10255
ko:K01270	mhaq:WC39_10270
ko:K09801	mhaq:WC39_10280
ko:K02902	mhaq:WC39_12230
ko:K03630	mhaq:WC39_12235
ko:K13038	mhaq:WC39_12240
ko:K05501	mhaq:WC39_12265
ko:K09898	mhaq:WC39_12270
ko:K10914	mhaq:WC39_12275
ko:K00075	mhaq:WC39_12280
ko:K03524	mhaq:WC39_12285
ko:K16087	mhaq:WC39_12300
ko:K12368	mhaq:WC39_12305
ko:K01407	mhaq:WC39_12310
ko:K03583	mhaq:WC39_12315
ko:K02681	mhaq:WC39_12320
ko:K02680	mhaq:WC39_12330
ko:K02679	mhaq:WC39_12335
ko:K00819	mhaq:WC39_12355
ko:K03315	mhaq:WC39_12360
ko:K13821	mhaq:WC39_12365
ko:K10541	mhaq:WC39_12380
ko:K10542	mhaq:WC39_12385
ko:K10540	mhaq:WC39_12390
ko:K10540	mhaq:WC39_12395
ko:K02551	mhaq:WC39_12415
ko:K08680	mhaq:WC39_12420
ko:K07724	mhaq:WC39_12450
ko:K03665	mhaq:WC39_01775
ko:K03666	mhaq:WC39_01780
ko:K00791	mhaq:WC39_01785
ko:K07473	mhaq:WC39_01790
ko:K19157	mhaq:WC39_01795
ko:K03572	mhaq:WC39_01800
ko:K00147	mhaq:WC39_01805
ko:K07058	mhaq:WC39_01810
ko:K07560	mhaq:WC39_01815
ko:K10563	mhaq:WC39_01820
ko:K03311	mhaq:WC39_01825
ko:K00059	mhaq:WC39_01830
ko:K00645	mhaq:WC39_01840
ko:K09765	mhaq:WC39_01845
ko:K02523	mhaq:WC39_01850
ko:K02888	mhaq:WC39_01855
ko:K02899	mhaq:WC39_01860
ko:K15977	mhaq:WC39_01885
ko:K07792	mhaq:WC39_01890
ko:K00611	mhaq:WC39_01900
ko:K15460	mhaq:WC39_01905
ko:K04047	mhaq:WC39_01910
ko:K05365	mhaq:WC39_01915
ko:K01661	mhaq:WC39_01920
ko:K01190	mhaq:WC39_01925
ko:K03284	mhaq:WC39_01935
ko:K03183	mhaq:WC39_01940
ko:K03690	mhaq:WC39_01945
ko:K03688	mhaq:WC39_01955
ko:K03116	mhaq:WC39_01960
ko:K03117	mhaq:WC39_01965
ko:K03118	mhaq:WC39_01970
ko:K01698	mhaq:WC39_01975
ko:K00648	mhaq:WC39_01980
ko:K03439	mhaq:WC39_01985
ko:K09923	mhaq:WC39_01990
ko:K02221	mhaq:WC39_01995
ko:K10010	mhaq:WC39_02000
