ko:K19744	pff:PFLUOLIPICF726490
ko:K03088	pff:PFLUOLIPICF712055
ko:K07165	pff:PFLUOLIPICF712060
ko:K12545	pff:PFLUOLIPICF712065
ko:K12536	pff:PFLUOLIPICF712070
ko:K12537	pff:PFLUOLIPICF712075
ko:K12538	pff:PFLUOLIPICF712080
ko:K00557	pff:PFLUOLIPICF712085
ko:K06901	pff:PFLUOLIPICF712090
ko:K13483	pff:PFLUOLIPICF712100
ko:K11178	pff:PFLUOLIPICF712105
ko:K11177	pff:PFLUOLIPICF712110
ko:K06188	pff:PFLUOLIPICF716015
ko:K18893	pff:PFLUOLIPICF716020
ko:K03767	pff:PFLUOLIPICF716025
ko:K01118	pff:PFLUOLIPICF716045
ko:K16053	pff:PFLUOLIPICF716055
ko:K07233	pff:PFLUOLIPICF716080
ko:K07156	pff:PFLUOLIPICF716085
ko:K07245	pff:PFLUOLIPICF716090
ko:K00243	pff:PFLUOLIPICF716110
ko:K03457	pff:PFLUOLIPICF716120
ko:K03307	pff:PFLUOLIPICF716140
ko:K12255	pff:PFLUOLIPICF716155
ko:K12339	pff:PFLUOLIPICF716175
ko:K03215	pff:PFLUOLIPICF716180
ko:K00951	pff:PFLUOLIPICF716185
ko:K04765	pff:PFLUOLIPICF716190
ko:K09912	pff:PFLUOLIPICF716195
ko:K11175	pff:PFLUOLIPICF716210
ko:K01933	pff:PFLUOLIPICF716215
ko:K09938	pff:PFLUOLIPICF716220
ko:K10763	pff:PFLUOLIPICF716250
ko:K07237	pff:PFLUOLIPICF720170
ko:K07236	pff:PFLUOLIPICF720175
ko:K07235	pff:PFLUOLIPICF720180
ko:K02742	pff:PFLUOLIPICF720190
ko:K14058	pff:PFLUOLIPICF720200
ko:K03809	pff:PFLUOLIPICF720215
ko:K00537	pff:PFLUOLIPICF720220
ko:K03668	pff:PFLUOLIPICF720230
ko:K03778	pff:PFLUOLIPICF720240
ko:K07678	pff:PFLUOLIPICF720245
ko:K09928	pff:PFLUOLIPICF720260
ko:K02238	pff:PFLUOLIPICF720265
ko:K03561	pff:PFLUOLIPICF720270
ko:K03559	pff:PFLUOLIPICF720275
ko:K00912	pff:PFLUOLIPICF720280
ko:K09791	pff:PFLUOLIPICF720285
ko:K00979	pff:PFLUOLIPICF720290
ko:K01104	pff:PFLUOLIPICF720295
ko:K00075	pff:PFLUOLIPICF720300
ko:K02014	pff:PFLUOLIPICF720355
ko:K03088	pff:PFLUOLIPICF720360
ko:K07165	pff:PFLUOLIPICF720365
ko:K17324	pff:PFLUOLIPICF720375
ko:K17325	pff:PFLUOLIPICF720380
ko:K17322	pff:PFLUOLIPICF720385
ko:K17323	pff:PFLUOLIPICF720390
ko:K17321	pff:PFLUOLIPICF720400
ko:K02051	pff:PFLUOLIPICF720410
ko:K14347	pff:PFLUOLIPICF720420
ko:K06153	pff:PFLUOLIPICF724330
ko:K03406	pff:PFLUOLIPICF724335
ko:K03811	pff:PFLUOLIPICF724340
ko:K00681	pff:PFLUOLIPICF724350
ko:K18030	pff:PFLUOLIPICF724360
ko:K18029	pff:PFLUOLIPICF724365
ko:K18028	pff:PFLUOLIPICF724375
ko:K14974	pff:PFLUOLIPICF724380
ko:K15357	pff:PFLUOLIPICF724385
ko:K01799	pff:PFLUOLIPICF724390
ko:K13995	pff:PFLUOLIPICF724395
ko:K00375	pff:PFLUOLIPICF724410
ko:K01118	pff:PFLUOLIPICF724425
ko:K14155	pff:PFLUOLIPICF724430
ko:K15553	pff:PFLUOLIPICF724440
ko:K15554	pff:PFLUOLIPICF724445
ko:K15555	pff:PFLUOLIPICF724450
ko:K07165	pff:PFLUOLIPICF724455
ko:K03088	pff:PFLUOLIPICF724460
ko:K00163	pff:PFLUOLIPICF724500
ko:K06969	pff:PFLUOLIPICF724505
ko:K01004	pff:PFLUOLIPICF724510
ko:K07090	pff:PFLUOLIPICF724515
ko:K03426	pff:PFLUOLIPICF724520
ko:K01692	pff:PFLUOLIPICF724525
ko:K07039	pff:PFLUOLIPICF724535
ko:K00800	pff:PFLUOLIPICF724540
ko:K00355	pff:PFLUOLIPICF724550
ko:K01626	pff:PFLUOLIPICF728430
ko:K06975	pff:PFLUOLIPICF728435
ko:K16291	pff:PFLUOLIPICF728445
ko:K10804	pff:PFLUOLIPICF728455
ko:K02003	pff:PFLUOLIPICF728460
ko:K02004	pff:PFLUOLIPICF728465
ko:K04760	pff:PFLUOLIPICF728470
ko:K07062	pff:PFLUOLIPICF715815
ko:K10003	pff:PFLUOLIPICF702675
ko:K10002	pff:PFLUOLIPICF702680
ko:K10004	pff:PFLUOLIPICF702685
ko:K17060	pff:PFLUOLIPICF702690
ko:K17061	pff:PFLUOLIPICF702695
ko:K02442	pff:PFLUOLIPICF702700
ko:K03928	pff:PFLUOLIPICF702720
ko:K03576	pff:PFLUOLIPICF702780
ko:K00428	pff:PFLUOLIPICF702805
ko:K02014	pff:PFLUOLIPICF702935
ko:K13652	pff:PFLUOLIPICF706785
ko:K01784	pff:PFLUOLIPICF706825
ko:K01821	pff:PFLUOLIPICF706850
ko:K02014	pff:PFLUOLIPICF706860
ko:K10536	pff:PFLUOLIPICF706870
ko:K01710	pff:PFLUOLIPICF706880
ko:K00973	pff:PFLUOLIPICF706885
ko:K01790	pff:PFLUOLIPICF706890
ko:K00067	pff:PFLUOLIPICF706895
ko:K10125	pff:PFLUOLIPICF706900
ko:K10126	pff:PFLUOLIPICF706905
ko:K01082	pff:PFLUOLIPICF706915
ko:K08312	pff:PFLUOLIPICF706920
ko:K02379	pff:PFLUOLIPICF706940
ko:K07107	pff:PFLUOLIPICF706955
ko:K03654	pff:PFLUOLIPICF706960
ko:K04095	pff:PFLUOLIPICF706975
ko:K01610	pff:PFLUOLIPICF707005
ko:K04083	pff:PFLUOLIPICF707010
ko:K04762	pff:PFLUOLIPICF707020
ko:K05844	pff:PFLUOLIPICF707030
ko:K06139	pff:PFLUOLIPICF710845
ko:K06138	pff:PFLUOLIPICF710850
ko:K06137	pff:PFLUOLIPICF710855
ko:K06136	pff:PFLUOLIPICF710860
ko:K06135	pff:PFLUOLIPICF710865
ko:K00466	pff:PFLUOLIPICF710880
ko:K06991	pff:PFLUOLIPICF710895
ko:K03086	pff:PFLUOLIPICF710910
ko:K02970	pff:PFLUOLIPICF710920
ko:K01409	pff:PFLUOLIPICF710925
ko:K08591	pff:PFLUOLIPICF710930
ko:K01633	pff:PFLUOLIPICF710935
ko:K00950	pff:PFLUOLIPICF710940
ko:K00974	pff:PFLUOLIPICF710945
ko:K09786	pff:PFLUOLIPICF710955
ko:K07180	pff:PFLUOLIPICF710960
ko:K02439	pff:PFLUOLIPICF710965
ko:K01525	pff:PFLUOLIPICF710970
ko:K06195	pff:PFLUOLIPICF710975
ko:K02528	pff:PFLUOLIPICF710980
ko:K00097	pff:PFLUOLIPICF710985
ko:K03771	pff:PFLUOLIPICF710990
ko:K04744	pff:PFLUOLIPICF710995
ko:K07102	pff:PFLUOLIPICF711000
ko:K05801	pff:PFLUOLIPICF711010
ko:K02052	pff:PFLUOLIPICF711030
ko:K02055	pff:PFLUOLIPICF711035
ko:K02054	pff:PFLUOLIPICF711040
ko:K02053	pff:PFLUOLIPICF711045
ko:K01783	pff:PFLUOLIPICF711055
ko:K01091	pff:PFLUOLIPICF711060
ko:K01657	pff:PFLUOLIPICF711065
ko:K01658	pff:PFLUOLIPICF711070
ko:K00766	pff:PFLUOLIPICF711075
ko:K01609	pff:PFLUOLIPICF711080
ko:K02386	pff:PFLUOLIPICF714965
ko:K03415	pff:PFLUOLIPICF714970
ko:K00575	pff:PFLUOLIPICF714975
ko:K02387	pff:PFLUOLIPICF714980
ko:K02388	pff:PFLUOLIPICF714985
ko:K02389	pff:PFLUOLIPICF714990
ko:K02390	pff:PFLUOLIPICF714995
ko:K07661	pff:PFLUOLIPICF715010
ko:K07639	pff:PFLUOLIPICF715015
ko:K02362	pff:PFLUOLIPICF715020
ko:K07660	pff:PFLUOLIPICF715030
ko:K07637	pff:PFLUOLIPICF715035
ko:K11103	pff:PFLUOLIPICF715045
ko:K07402	pff:PFLUOLIPICF715050
ko:K07141	pff:PFLUOLIPICF715055
ko:K08300	pff:PFLUOLIPICF715060
ko:K06179	pff:PFLUOLIPICF715065
ko:K01091	pff:PFLUOLIPICF715070
ko:K04773	pff:PFLUOLIPICF715075
ko:K07040	pff:PFLUOLIPICF715085
ko:K02911	pff:PFLUOLIPICF715090
ko:K03621	pff:PFLUOLIPICF715095
ko:K00645	pff:PFLUOLIPICF715100
ko:K00059	pff:PFLUOLIPICF715105
ko:K02078	pff:PFLUOLIPICF715110
ko:K09458	pff:PFLUOLIPICF715115
ko:K02619	pff:PFLUOLIPICF715120
ko:K07082	pff:PFLUOLIPICF715125
ko:K00943	pff:PFLUOLIPICF715130
ko:K02341	pff:PFLUOLIPICF715135
ko:K03424	pff:PFLUOLIPICF715140
ko:K03639	pff:PFLUOLIPICF715150
ko:K09986	pff:PFLUOLIPICF715160
ko:K10539	pff:PFLUOLIPICF715220
ko:K10538	pff:PFLUOLIPICF715225
ko:K01491	pff:PFLUOLIPICF719345
ko:K03545	pff:PFLUOLIPICF719370
ko:K01358	pff:PFLUOLIPICF719375
ko:K03544	pff:PFLUOLIPICF719380
ko:K01338	pff:PFLUOLIPICF719385
ko:K03530	pff:PFLUOLIPICF719390
ko:K03770	pff:PFLUOLIPICF719395
ko:K11073	pff:PFLUOLIPICF723280
ko:K06995	pff:PFLUOLIPICF723285
ko:K06911	pff:PFLUOLIPICF723310
ko:K01835	pff:PFLUOLIPICF723315
ko:K18297	pff:PFLUOLIPICF723335
ko:K07665	pff:PFLUOLIPICF723405
ko:K07644	pff:PFLUOLIPICF723410
ko:K04092	pff:PFLUOLIPICF723440
ko:K00615	pff:PFLUOLIPICF723480
ko:K00615	pff:PFLUOLIPICF723485
ko:K08482	pff:PFLUOLIPICF723495
ko:K03406	pff:PFLUOLIPICF723515
ko:K10017	pff:PFLUOLIPICF723525
ko:K04487	pff:PFLUOLIPICF727395
ko:K00299	pff:PFLUOLIPICF727405
ko:K04091	pff:PFLUOLIPICF727410
ko:K13639	pff:PFLUOLIPICF727430
ko:K04750	pff:PFLUOLIPICF727435
ko:K01561	pff:PFLUOLIPICF727440
ko:K03100	pff:PFLUOLIPICF719740
ko:K05564	pff:PFLUOLIPICF719760
ko:K05563	pff:PFLUOLIPICF719765
ko:K05562	pff:PFLUOLIPICF719770
ko:K05561	pff:PFLUOLIPICF719775
ko:K05560	pff:PFLUOLIPICF719780
ko:K05559	pff:PFLUOLIPICF719785
ko:K01995	pff:PFLUOLIPICF719820
ko:K01997	pff:PFLUOLIPICF719825
ko:K01998	pff:PFLUOLIPICF719830
ko:K01999	pff:PFLUOLIPICF719835
ko:K01996	pff:PFLUOLIPICF719840
ko:K02004	pff:PFLUOLIPICF719860
ko:K02003	pff:PFLUOLIPICF719865
ko:K00131	pff:PFLUOLIPICF719880
ko:K07223	pff:PFLUOLIPICF719885
ko:K15977	pff:PFLUOLIPICF719900
ko:K09930	pff:PFLUOLIPICF719915
ko:K02297	pff:PFLUOLIPICF723845
ko:K02298	pff:PFLUOLIPICF723850
ko:K02299	pff:PFLUOLIPICF723855
ko:K02300	pff:PFLUOLIPICF723860
ko:K07217	pff:PFLUOLIPICF723885
ko:K06048	pff:PFLUOLIPICF723900
ko:K07238	pff:PFLUOLIPICF723925
ko:K01142	pff:PFLUOLIPICF723960
ko:K08995	pff:PFLUOLIPICF723980
ko:K07746	pff:PFLUOLIPICF724005
ko:K01826	pff:PFLUOLIPICF724035
ko:K08166	pff:PFLUOLIPICF724045
ko:K04079	pff:PFLUOLIPICF727915
ko:K03311	pff:PFLUOLIPICF727940
ko:K01902	pff:PFLUOLIPICF727945
ko:K01903	pff:PFLUOLIPICF727950
ko:K00382	pff:PFLUOLIPICF727955
ko:K00658	pff:PFLUOLIPICF727960
ko:K00164	pff:PFLUOLIPICF727965
ko:K00240	pff:PFLUOLIPICF727970
ko:K00239	pff:PFLUOLIPICF727975
ko:K00242	pff:PFLUOLIPICF727980
ko:K00241	pff:PFLUOLIPICF727985
ko:K01647	pff:PFLUOLIPICF727990
ko:K14393	pff:PFLUOLIPICF727995
ko:K02002	pff:PFLUOLIPICF728005
ko:K04754	pff:PFLUOLIPICF728025
ko:K09781	pff:PFLUOLIPICF728030
ko:K01608	pff:PFLUOLIPICF728050
ko:K00873	pff:PFLUOLIPICF728070
ko:K08717	pff:PFLUOLIPICF728075
ko:K10716	pff:PFLUOLIPICF728080
ko:K02048	pff:PFLUOLIPICF728085
ko:K05774	pff:PFLUOLIPICF728120
ko:K02200	pff:PFLUOLIPICF728130
ko:K02200	pff:PFLUOLIPICF728135
ko:K02199	pff:PFLUOLIPICF728140
ko:K02198	pff:PFLUOLIPICF728145
ko:K02197	pff:PFLUOLIPICF728150
ko:K02196	pff:PFLUOLIPICF728155
ko:K02195	pff:PFLUOLIPICF728160
ko:K01548	pff:PFLUOLIPICF700085
ko:K01547	pff:PFLUOLIPICF700090
ko:K01546	pff:PFLUOLIPICF700095
ko:K01545	pff:PFLUOLIPICF700100
ko:K09967	pff:PFLUOLIPICF700115
ko:K02237	pff:PFLUOLIPICF700130
ko:K00523	pff:PFLUOLIPICF700135
ko:K00978	pff:PFLUOLIPICF700140
ko:K01709	pff:PFLUOLIPICF700145
ko:K12452	pff:PFLUOLIPICF700150
ko:K01652	pff:PFLUOLIPICF700155
ko:K12990	pff:PFLUOLIPICF700180
ko:K13007	pff:PFLUOLIPICF700195
ko:K01791	pff:PFLUOLIPICF700205
ko:K19068	pff:PFLUOLIPICF700210
ko:K17716	pff:PFLUOLIPICF700215
ko:K05788	pff:PFLUOLIPICF700225
ko:K02945	pff:PFLUOLIPICF700235
ko:K00945	pff:PFLUOLIPICF700240
ko:K00817	pff:PFLUOLIPICF700250
ko:K14170	pff:PFLUOLIPICF700255
ko:K00831	pff:PFLUOLIPICF700260
ko:K02469	pff:PFLUOLIPICF700265
ko:K08963	pff:PFLUOLIPICF700270
ko:K00568	pff:PFLUOLIPICF700280
ko:K02035	pff:PFLUOLIPICF700295
ko:K02034	pff:PFLUOLIPICF700310
ko:K02033	pff:PFLUOLIPICF700315
ko:K01259	pff:PFLUOLIPICF700320
ko:K07782	pff:PFLUOLIPICF700325
ko:K18457	pff:PFLUOLIPICF700330
ko:K05845	pff:PFLUOLIPICF704215
ko:K05846	pff:PFLUOLIPICF704220
ko:K05847	pff:PFLUOLIPICF704225
ko:K01581	pff:PFLUOLIPICF704230
ko:K07126	pff:PFLUOLIPICF704235
ko:K16090	pff:PFLUOLIPICF704245
ko:K00380	pff:PFLUOLIPICF704250
ko:K01113	pff:PFLUOLIPICF704255
ko:K14742	pff:PFLUOLIPICF702165
ko:K00939	pff:PFLUOLIPICF702170
ko:K01595	pff:PFLUOLIPICF702175
ko:K06889	pff:PFLUOLIPICF702210
ko:K04567	pff:PFLUOLIPICF702230
ko:K02836	pff:PFLUOLIPICF702235
ko:K11444	pff:PFLUOLIPICF702240
ko:K13491	pff:PFLUOLIPICF702245
ko:K13490	pff:PFLUOLIPICF702250
ko:K13489	pff:PFLUOLIPICF702255
ko:K13486	pff:PFLUOLIPICF702260
ko:K13488	pff:PFLUOLIPICF702265
ko:K13487	pff:PFLUOLIPICF702270
ko:K00137	pff:PFLUOLIPICF702285
ko:K02055	pff:PFLUOLIPICF702290
ko:K02052	pff:PFLUOLIPICF702295
ko:K02054	pff:PFLUOLIPICF702300
ko:K02053	pff:PFLUOLIPICF702305
ko:K00137	pff:PFLUOLIPICF702310
ko:K00316	pff:PFLUOLIPICF702315
ko:K07148	pff:PFLUOLIPICF702335
ko:K03549	pff:PFLUOLIPICF702345
ko:K14441	pff:PFLUOLIPICF702350
ko:K03827	pff:PFLUOLIPICF702355
ko:K06182	pff:PFLUOLIPICF702360
ko:K00901	pff:PFLUOLIPICF702385
ko:K05812	pff:PFLUOLIPICF702395
ko:K06966	pff:PFLUOLIPICF702405
ko:K05366	pff:PFLUOLIPICF706285
ko:K00029	pff:PFLUOLIPICF706290
ko:K02909	pff:PFLUOLIPICF706300
ko:K04066	pff:PFLUOLIPICF706305
ko:K01887	pff:PFLUOLIPICF706310
ko:K01419	pff:PFLUOLIPICF706320
ko:K03667	pff:PFLUOLIPICF706325
ko:K03821	pff:PFLUOLIPICF706335
ko:K03821	pff:PFLUOLIPICF706345
ko:K03183	pff:PFLUOLIPICF706370
ko:K03690	pff:PFLUOLIPICF706375
ko:K03688	pff:PFLUOLIPICF706380
ko:K01496	pff:PFLUOLIPICF706385
ko:K01523	pff:PFLUOLIPICF706390
ko:K03116	pff:PFLUOLIPICF706395
ko:K03117	pff:PFLUOLIPICF706400
ko:K03118	pff:PFLUOLIPICF706405
ko:K03406	pff:PFLUOLIPICF706415
ko:K03406	pff:PFLUOLIPICF706420
ko:K02028	pff:PFLUOLIPICF706425
ko:K02029	pff:PFLUOLIPICF706430
ko:K02030	pff:PFLUOLIPICF706435
ko:K02030	pff:PFLUOLIPICF706440
ko:K03669	pff:PFLUOLIPICF706445
ko:K03670	pff:PFLUOLIPICF706450
ko:K07560	pff:PFLUOLIPICF706455
ko:K01259	pff:PFLUOLIPICF706460
ko:K02002	pff:PFLUOLIPICF706470
ko:K01479	pff:PFLUOLIPICF706475
ko:K01468	pff:PFLUOLIPICF706480
ko:K16234	pff:PFLUOLIPICF706485
ko:K01745	pff:PFLUOLIPICF706490
ko:K01745	pff:PFLUOLIPICF706495
ko:K02000	pff:PFLUOLIPICF706500
ko:K02001	pff:PFLUOLIPICF706505
ko:K02002	pff:PFLUOLIPICF706510
ko:K03457	pff:PFLUOLIPICF706515
ko:K01712	pff:PFLUOLIPICF706520
ko:K00615	pff:PFLUOLIPICF710345
ko:K03472	pff:PFLUOLIPICF710350
ko:K00927	pff:PFLUOLIPICF710355
ko:K01624	pff:PFLUOLIPICF710370
ko:K07043	pff:PFLUOLIPICF710385
ko:K02348	pff:PFLUOLIPICF710395
ko:K02030	pff:PFLUOLIPICF710400
ko:K07007	pff:PFLUOLIPICF710410
ko:K05591	pff:PFLUOLIPICF710415
ko:K18100	pff:PFLUOLIPICF710425
ko:K02167	pff:PFLUOLIPICF710450
ko:K02168	pff:PFLUOLIPICF710455
ko:K02000	pff:PFLUOLIPICF710460
ko:K02001	pff:PFLUOLIPICF710465
ko:K02002	pff:PFLUOLIPICF710470
ko:K01752	pff:PFLUOLIPICF710475
ko:K00471	pff:PFLUOLIPICF710490
ko:K07107	pff:PFLUOLIPICF710495
ko:K17735	pff:PFLUOLIPICF710500
ko:K02002	pff:PFLUOLIPICF710510
ko:K17736	pff:PFLUOLIPICF710515
ko:K01273	pff:PFLUOLIPICF710535
ko:K03522	pff:PFLUOLIPICF710555
ko:K03521	pff:PFLUOLIPICF710560
ko:K00479	pff:PFLUOLIPICF710565
ko:K01620	pff:PFLUOLIPICF710580
ko:K01057	pff:PFLUOLIPICF714445
ko:K01625	pff:PFLUOLIPICF714450
ko:K09954	pff:PFLUOLIPICF714460
ko:K01897	pff:PFLUOLIPICF714480
ko:K01897	pff:PFLUOLIPICF714485
ko:K07058	pff:PFLUOLIPICF714500
ko:K01462	pff:PFLUOLIPICF714505
ko:K00799	pff:PFLUOLIPICF714520
ko:K03406	pff:PFLUOLIPICF714530
ko:K08369	pff:PFLUOLIPICF714540
ko:K00799	pff:PFLUOLIPICF714550
ko:K06145	pff:PFLUOLIPICF714560
ko:K00851	pff:PFLUOLIPICF714565
ko:K03299	pff:PFLUOLIPICF714570
ko:K14261	pff:PFLUOLIPICF714575
ko:K13653	pff:PFLUOLIPICF714580
ko:K03088	pff:PFLUOLIPICF714605
ko:K07160	pff:PFLUOLIPICF714640
ko:K03306	pff:PFLUOLIPICF714655
ko:K16074	pff:PFLUOLIPICF714660
ko:K01126	pff:PFLUOLIPICF714680
ko:K10439	pff:PFLUOLIPICF718620
ko:K10441	pff:PFLUOLIPICF718625
ko:K10440	pff:PFLUOLIPICF718630
ko:K00008	pff:PFLUOLIPICF718635
ko:K00854	pff:PFLUOLIPICF718640
ko:K02529	pff:PFLUOLIPICF718650
ko:K02433	pff:PFLUOLIPICF718665
ko:K06016	pff:PFLUOLIPICF718670
ko:K01996	pff:PFLUOLIPICF718675
ko:K01995	pff:PFLUOLIPICF718680
ko:K01998	pff:PFLUOLIPICF718685
ko:K01997	pff:PFLUOLIPICF718690
ko:K01999	pff:PFLUOLIPICF718695
ko:K05685	pff:PFLUOLIPICF718715
ko:K13888	pff:PFLUOLIPICF718720
ko:K03088	pff:PFLUOLIPICF718725
ko:K10531	pff:PFLUOLIPICF718730
ko:K10017	pff:PFLUOLIPICF718750
ko:K10015	pff:PFLUOLIPICF718755
ko:K10016	pff:PFLUOLIPICF718760
ko:K10014	pff:PFLUOLIPICF718765
ko:K00826	pff:PFLUOLIPICF718790
ko:K00382	pff:PFLUOLIPICF718795
ko:K09699	pff:PFLUOLIPICF718800
ko:K00167	pff:PFLUOLIPICF718805
ko:K00166	pff:PFLUOLIPICF718810
ko:K17218	pff:PFLUOLIPICF718830
ko:K07090	pff:PFLUOLIPICF718835
ko:K00575	pff:PFLUOLIPICF722765
ko:K03412	pff:PFLUOLIPICF722770
ko:K08482	pff:PFLUOLIPICF722790
ko:K00626	pff:PFLUOLIPICF722810
ko:K01692	pff:PFLUOLIPICF722820
ko:K07168	pff:PFLUOLIPICF722835
ko:K11103	pff:PFLUOLIPICF727445
ko:K16135	pff:PFLUOLIPICF727450
ko:K01704	pff:PFLUOLIPICF727455
ko:K01703	pff:PFLUOLIPICF727460
ko:K09815	pff:PFLUOLIPICF727485
ko:K09817	pff:PFLUOLIPICF727490
ko:K09816	pff:PFLUOLIPICF727495
ko:K02055	pff:PFLUOLIPICF727510
ko:K02054	pff:PFLUOLIPICF727520
ko:K02053	pff:PFLUOLIPICF727525
ko:K02052	pff:PFLUOLIPICF727530
ko:K03797	pff:PFLUOLIPICF727545
ko:K03773	pff:PFLUOLIPICF727570
ko:K06978	pff:PFLUOLIPICF727595
ko:K03554	pff:PFLUOLIPICF727615
ko:K03453	pff:PFLUOLIPICF727620
ko:K11741	pff:PFLUOLIPICF727625
ko:K02769	pff:PFLUOLIPICF704260
ko:K02770	pff:PFLUOLIPICF704260
ko:K00882	pff:PFLUOLIPICF704265
ko:K02768	pff:PFLUOLIPICF704270
ko:K08483	pff:PFLUOLIPICF704270
ko:K11183	pff:PFLUOLIPICF704270
ko:K03435	pff:PFLUOLIPICF704275
ko:K03424	pff:PFLUOLIPICF704280
ko:K03406	pff:PFLUOLIPICF704290
ko:K03807	pff:PFLUOLIPICF704295
ko:K03806	pff:PFLUOLIPICF704300
ko:K02653	pff:PFLUOLIPICF704335
ko:K02654	pff:PFLUOLIPICF704340
ko:K00859	pff:PFLUOLIPICF704345
ko:K09862	pff:PFLUOLIPICF704350
ko:K03885	pff:PFLUOLIPICF704380
ko:K03695	pff:PFLUOLIPICF704405
ko:K05810	pff:PFLUOLIPICF704410
ko:K06180	pff:PFLUOLIPICF704415
ko:K05807	pff:PFLUOLIPICF704420
ko:K06950	pff:PFLUOLIPICF704425
ko:K03153	pff:PFLUOLIPICF704430
ko:K02655	pff:PFLUOLIPICF704435
ko:K02673	pff:PFLUOLIPICF704440
ko:K02672	pff:PFLUOLIPICF704445
ko:K02671	pff:PFLUOLIPICF704450
ko:K08084	pff:PFLUOLIPICF704455
ko:K03527	pff:PFLUOLIPICF704460
ko:K03774	pff:PFLUOLIPICF704465
ko:K03101	pff:PFLUOLIPICF704470
ko:K02113	pff:PFLUOLIPICF708320
ko:K02111	pff:PFLUOLIPICF708325
ko:K02115	pff:PFLUOLIPICF708330
ko:K02112	pff:PFLUOLIPICF708335
ko:K02114	pff:PFLUOLIPICF708340
ko:K04042	pff:PFLUOLIPICF708345
ko:K00820	pff:PFLUOLIPICF708355
ko:K05367	pff:PFLUOLIPICF708365
ko:K06894	pff:PFLUOLIPICF708370
ko:K03719	pff:PFLUOLIPICF708380
ko:K00981	pff:PFLUOLIPICF708385
ko:K00995	pff:PFLUOLIPICF708410
ko:K04087	pff:PFLUOLIPICF708420
ko:K09930	pff:PFLUOLIPICF708440
ko:K00574	pff:PFLUOLIPICF708450
ko:K06131	pff:PFLUOLIPICF708455
ko:K01465	pff:PFLUOLIPICF708465
ko:K01496	pff:PFLUOLIPICF708475
ko:K02077	pff:PFLUOLIPICF708480
ko:K02075	pff:PFLUOLIPICF708485
ko:K02074	pff:PFLUOLIPICF708490
ko:K09007	pff:PFLUOLIPICF708495
ko:K01448	pff:PFLUOLIPICF708500
ko:K06204	pff:PFLUOLIPICF708510
ko:K00868	pff:PFLUOLIPICF708530
ko:K03455	pff:PFLUOLIPICF708540
ko:K03657	pff:PFLUOLIPICF708555
ko:K03711	pff:PFLUOLIPICF712375
ko:K03631	pff:PFLUOLIPICF712380
ko:K03687	pff:PFLUOLIPICF712385
ko:K04043	pff:PFLUOLIPICF712390
ko:K03686	pff:PFLUOLIPICF712395
ko:K00215	pff:PFLUOLIPICF712400
ko:K01956	pff:PFLUOLIPICF712405
ko:K01955	pff:PFLUOLIPICF712410
ko:K03624	pff:PFLUOLIPICF712415
ko:K07574	pff:PFLUOLIPICF712425
ko:K02427	pff:PFLUOLIPICF712430
ko:K03798	pff:PFLUOLIPICF712435
ko:K00796	pff:PFLUOLIPICF712440
ko:K03431	pff:PFLUOLIPICF712445
ko:K01803	pff:PFLUOLIPICF712450
ko:K03075	pff:PFLUOLIPICF712455
ko:K09748	pff:PFLUOLIPICF712470
ko:K02600	pff:PFLUOLIPICF712475
ko:K02519	pff:PFLUOLIPICF712480
ko:K02834	pff:PFLUOLIPICF712485
ko:K03177	pff:PFLUOLIPICF712490
ko:K02956	pff:PFLUOLIPICF712495
ko:K00962	pff:PFLUOLIPICF712500
ko:K04065	pff:PFLUOLIPICF712505
ko:K03446	pff:PFLUOLIPICF707570
ko:K00012	pff:PFLUOLIPICF722845
ko:K12963	pff:PFLUOLIPICF722850
ko:K12962	pff:PFLUOLIPICF722855
ko:K07264	pff:PFLUOLIPICF722860
ko:K13014	pff:PFLUOLIPICF722865
ko:K10011	pff:PFLUOLIPICF722870
ko:K10012	pff:PFLUOLIPICF722875
ko:K07552	pff:PFLUOLIPICF722895
ko:K03406	pff:PFLUOLIPICF722900
ko:K03761	pff:PFLUOLIPICF722940
ko:K18289	pff:PFLUOLIPICF722970
ko:K03521	pff:PFLUOLIPICF722975
ko:K07483	pff:PFLUOLIPICF722985
ko:K07089	pff:PFLUOLIPICF726885
ko:K06917	pff:PFLUOLIPICF726890
ko:K01008	pff:PFLUOLIPICF726895
ko:K03717	pff:PFLUOLIPICF726910
ko:K07862	pff:PFLUOLIPICF726920
ko:K09983	pff:PFLUOLIPICF726925
ko:K09915	pff:PFLUOLIPICF726930
ko:K00014	pff:PFLUOLIPICF726935
ko:K08303	pff:PFLUOLIPICF726975
ko:K03406	pff:PFLUOLIPICF726980
ko:K11066	pff:PFLUOLIPICF726985
ko:K07084	pff:PFLUOLIPICF726990
ko:K03406	pff:PFLUOLIPICF726995
ko:K01737	pff:PFLUOLIPICF727030
ko:K07729	pff:PFLUOLIPICF727040
ko:K10974	pff:PFLUOLIPICF727050
ko:K01485	pff:PFLUOLIPICF727060
ko:K11904	pff:PFLUOLIPICF727080
ko:K16091	pff:PFLUOLIPICF727110
ko:K07165	pff:PFLUOLIPICF727115
ko:K03088	pff:PFLUOLIPICF727120
ko:K06969	pff:PFLUOLIPICF712515
ko:K01895	pff:PFLUOLIPICF712525
ko:K01810	pff:PFLUOLIPICF712530
ko:K01918	pff:PFLUOLIPICF712535
ko:K00606	pff:PFLUOLIPICF712540
