ko:K18929	hem:K748_03420
ko:K14219	hem:K748_07100
ko:K14222	hem:K748_07425
ko:K01977	hem:K748_05150
ko:K01977	hem:K748_06555
ko:K17686	hem:K748_04810
ko:K17686	hem:K748_02185
ko:K01155	hem:K748_02765
ko:K07318	hem:K748_04835
ko:K00971	hem:K748_05460
ko:K05540	hem:K748_00905
ko:K01658	hem:K748_05790
ko:K11928	hem:K748_03920
ko:K07318	hem:K748_06175
ko:K00290	hem:K748_04790
ko:K01497	hem:K748_01285
ko:K00254	hem:K748_01865
ko:K06148	hem:K748_06185
ko:K05922	hem:K748_00365
ko:K05927	hem:K748_00360
ko:K00104	hem:K748_07855
ko:K03605	hem:K748_00375
ko:K05366	hem:K748_00195
ko:K11784	hem:K748_00495
ko:K11785	hem:K748_03340
ko:K18284	hem:K748_03500
ko:K18285	hem:K748_00485
ko:K16235	hem:K748_01895
ko:K18480	hem:K748_05020
ko:K00681	hem:K748_06690
ko:K07316	hem:K748_05370
ko:K18930	hem:K748_06100
ko:K03111	hem:K748_05965
ko:K03496	hem:K748_06585
ko:K03497	hem:K748_06590
ko:K03196	hem:K748_07935
ko:K03761	hem:K748_02290
ko:K00335	hem:K748_05870
ko:K02483	hem:K748_03275
ko:K03526	hem:K748_00335
ko:K00571	hem:K748_03520
ko:K03296	hem:K748_00255
ko:K00336	hem:K748_05865
ko:K07448	hem:K748_02230
ko:K19157	hem:K748_07705
ko:K00571	hem:K748_02760
ko:K00571	hem:K748_03930
ko:K00571	hem:K748_05495
ko:K00020	hem:K748_00415
ko:K07317	hem:K748_07615
ko:K04771	hem:K748_01900
ko:K01992	hem:K748_04900
ko:K19302	hem:K748_01565
ko:K19416	hem:K748_07570
ko:K12053	hem:K748_03695
ko:K02484	hem:K748_08255
ko:K03406	hem:K748_08270
ko:K01153	hem:K748_08335
ko:K07316	hem:K748_08340
ko:K01156	hem:K748_08385
ko:K12052	hem:K748_05435
ko:K01778	hem:K748_08525
ko:K03469	hem:K748_08550
ko:K01934	hem:K748_01075
ko:K20151	hem:K748_00470
ko:K20810	hem:K748_02740
ko:K20151	hem:K748_06920
ko:K00525	hem:K748_00590
ko:K01978	hem:K748_08610
ko:K07100	hem:K748_06130
ko:K02335	hem:K748_04985
ko:K02335	hem:K748_01915
ko:K00558	hem:K748_06675
ko:K01520	hem:K748_01625
ko:K00558	hem:K748_01740
ko:K06223	hem:K748_01750
ko:K03553	hem:K748_03335
ko:K00558	hem:K748_03925
ko:K02314	hem:K748_04040
ko:K02316	hem:K748_04205
ko:K03465	hem:K748_04680
ko:K06223	hem:K748_04830
ko:K12089	hem:K748_07925
ko:K12106	hem:K748_08020
ko:K02483	hem:K748_04055
ko:K00526	hem:K748_06845
ko:K02481	hem:K748_00700
ko:K01139	hem:K748_01155
ko:K07097	hem:K748_02015
ko:K02483	hem:K748_02020
ko:K10026	hem:K748_07505
ko:K21929	hem:K748_00465
ko:K03595	hem:K748_07895
ko:K09022	hem:K748_07450
ko:K22278	hem:K748_02525
ko:K14441	hem:K748_00935
ko:K22391	hem:K748_07335
ko:K17758	hem:K748_04045
ko:K17759	hem:K748_04045
ko:K00571	hem:K748_03990
ko:K01007	hem:K748_03650
