ko:K19744	bcen:DM39_657
ko:K00697	bcen:DM39_1004
ko:K06147	bcen:DM39_1005
ko:K08983	bcen:DM39_1008
ko:K01706	bcen:DM39_1009
ko:K01999	bcen:DM39_1011
ko:K01114	bcen:DM39_1012
ko:K00868	bcen:DM39_1013
ko:K00720	bcen:DM39_1016
ko:K10016	bcen:DM39_1021
ko:K10015	bcen:DM39_1022
ko:K10017	bcen:DM39_1023
ko:K00673	bcen:DM39_1028
ko:K00673	bcen:DM39_1029
ko:K06447	bcen:DM39_1030
ko:K01484	bcen:DM39_1031
ko:K05526	bcen:DM39_1032
ko:K10013	bcen:DM39_1033
ko:K03762	bcen:DM39_1557
ko:K06917	bcen:DM39_1560
ko:K07089	bcen:DM39_1561
ko:K09694	bcen:DM39_1563
ko:K09695	bcen:DM39_1564
ko:K01356	bcen:DM39_1568
ko:K02048	bcen:DM39_1569
ko:K02046	bcen:DM39_1570
ko:K02047	bcen:DM39_1571
ko:K02045	bcen:DM39_1572
ko:K00674	bcen:DM39_2092
ko:K01439	bcen:DM39_2094
ko:K07320	bcen:DM39_2095
ko:K06131	bcen:DM39_2096
ko:K00432	bcen:DM39_2097
ko:K06158	bcen:DM39_2098
ko:K04485	bcen:DM39_2100
ko:K01775	bcen:DM39_2101
ko:K00941	bcen:DM39_2103
ko:K09977	bcen:DM39_2104
ko:K03789	bcen:DM39_2106
ko:K01637	bcen:DM39_2110
ko:K01560	bcen:DM39_2113
ko:K01638	bcen:DM39_2114
ko:K02553	bcen:DM39_2116
ko:K01885	bcen:DM39_2126
ko:K07001	bcen:DM39_2127
ko:K13896	bcen:DM39_2129
ko:K13895	bcen:DM39_2130
ko:K13894	bcen:DM39_2131
ko:K13893	bcen:DM39_2132
ko:K02300	bcen:DM39_2135
ko:K02299	bcen:DM39_2136
ko:K02298	bcen:DM39_2137
ko:K02297	bcen:DM39_2138
ko:K00342	bcen:DM39_2139
ko:K07566	bcen:DM39_2706
ko:K01589	bcen:DM39_2707
ko:K01588	bcen:DM39_2708
ko:K01923	bcen:DM39_2709
ko:K01624	bcen:DM39_2710
ko:K00873	bcen:DM39_2711
ko:K00927	bcen:DM39_2712
ko:K00826	bcen:DM39_2715
ko:K02843	bcen:DM39_2717
ko:K07019	bcen:DM39_2719
ko:K05712	bcen:DM39_4971
ko:K00600	bcen:DM39_4973
ko:K01574	bcen:DM39_4984
ko:K00019	bcen:DM39_4985
ko:K07001	bcen:DM39_4986
ko:K16135	bcen:DM39_4988
ko:K07246	bcen:DM39_4989
ko:K09958	bcen:DM39_4990
ko:K03637	bcen:DM39_2722
ko:K03832	bcen:DM39_2731
ko:K01902	bcen:DM39_2735
ko:K01903	bcen:DM39_2736
ko:K03565	bcen:DM39_2738
ko:K07649	bcen:DM39_2741
ko:K18199	bcen:DM39_2748
ko:K07136	bcen:DM39_2751
ko:K09984	bcen:DM39_2755
ko:K01684	bcen:DM39_2757
ko:K07245	bcen:DM39_2758
ko:K07649	bcen:DM39_3306
ko:K02050	bcen:DM39_3307
ko:K02049	bcen:DM39_3308
ko:K02051	bcen:DM39_3309
ko:K07052	bcen:DM39_3310
ko:K02421	bcen:DM39_3311
ko:K02420	bcen:DM39_3312
ko:K02419	bcen:DM39_3313
ko:K02418	bcen:DM39_3314
ko:K02417	bcen:DM39_3315
ko:K02416	bcen:DM39_3316
ko:K02415	bcen:DM39_3317
ko:K06518	bcen:DM39_3319
ko:K03446	bcen:DM39_3321
ko:K02463	bcen:DM39_3325
ko:K02462	bcen:DM39_3326
ko:K02461	bcen:DM39_3327
ko:K02460	bcen:DM39_3328
ko:K02459	bcen:DM39_3329
ko:K02458	bcen:DM39_3330
ko:K02457	bcen:DM39_3331
ko:K01999	bcen:DM39_3689
ko:K00681	bcen:DM39_3691
ko:K03724	bcen:DM39_3693
ko:K16263	bcen:DM39_3694
ko:K02623	bcen:DM39_3697
ko:K00449	bcen:DM39_3700
ko:K00448	bcen:DM39_3701
ko:K16203	bcen:DM39_3704
ko:K01266	bcen:DM39_3705
ko:K13891	bcen:DM39_3706
ko:K13890	bcen:DM39_3707
ko:K13889	bcen:DM39_3708
ko:K13892	bcen:DM39_3709
ko:K13051	bcen:DM39_3710
ko:K08191	bcen:DM39_3712
ko:K01187	bcen:DM39_3713
ko:K06991	bcen:DM39_4096
ko:K16165	bcen:DM39_4097
ko:K11477	bcen:DM39_4098
ko:K01714	bcen:DM39_4099
ko:K11103	bcen:DM39_4104
ko:K07080	bcen:DM39_4107
ko:K07552	bcen:DM39_4110
ko:K15975	bcen:DM39_4113
ko:K05712	bcen:DM39_4116
ko:K06988	bcen:DM39_4117
ko:K00059	bcen:DM39_4118
ko:K00459	bcen:DM39_4120
ko:K01474	bcen:DM39_4122
ko:K00859	bcen:DM39_388
ko:K02654	bcen:DM39_389
ko:K02653	bcen:DM39_390
ko:K02652	bcen:DM39_391
ko:K02523	bcen:DM39_394
ko:K02888	bcen:DM39_395
ko:K02899	bcen:DM39_396
ko:K03979	bcen:DM39_397
ko:K00931	bcen:DM39_398
ko:K08311	bcen:DM39_400
ko:K01881	bcen:DM39_401
ko:K00760	bcen:DM39_403
ko:K03106	bcen:DM39_404
ko:K06950	bcen:DM39_406
ko:K03806	bcen:DM39_407
ko:K06077	bcen:DM39_411
ko:K00856	bcen:DM39_412
ko:K11065	bcen:DM39_413
ko:K02687	bcen:DM39_415
ko:K01961	bcen:DM39_416
ko:K02160	bcen:DM39_417
ko:K03786	bcen:DM39_418
ko:K02558	bcen:DM39_421
ko:K07000	bcen:DM39_422
ko:K01147	bcen:DM39_423
ko:K00014	bcen:DM39_424
ko:K03814	bcen:DM39_425
ko:K00883	bcen:DM39_430
ko:K01631	bcen:DM39_431
ko:K10537	bcen:DM39_433
ko:K10539	bcen:DM39_434
ko:K10538	bcen:DM39_435
ko:K01591	bcen:DM39_438
ko:K03743	bcen:DM39_440
ko:K00568	bcen:DM39_874
ko:K03286	bcen:DM39_875
ko:K02469	bcen:DM39_876
ko:K09924	bcen:DM39_877
ko:K00831	bcen:DM39_878
ko:K14170	bcen:DM39_879
ko:K04517	bcen:DM39_880
ko:K00800	bcen:DM39_881
ko:K00945	bcen:DM39_882
ko:K02945	bcen:DM39_883
ko:K05788	bcen:DM39_884
ko:K00012	bcen:DM39_887
ko:K03274	bcen:DM39_889
ko:K02237	bcen:DM39_890
ko:K12339	bcen:DM39_891
ko:K08305	bcen:DM39_892
ko:K02071	bcen:DM39_895
ko:K02072	bcen:DM39_896
ko:K02073	bcen:DM39_897
ko:K03521	bcen:DM39_898
ko:K03522	bcen:DM39_899
ko:K00285	bcen:DM39_900
ko:K03719	bcen:DM39_901
ko:K02959	bcen:DM39_905
ko:K02860	bcen:DM39_906
ko:K00554	bcen:DM39_907
ko:K02884	bcen:DM39_908
ko:K02227	bcen:DM39_910
ko:K06949	bcen:DM39_912
ko:K06013	bcen:DM39_913
ko:K13288	bcen:DM39_914
ko:K03831	bcen:DM39_915
ko:K09889	bcen:DM39_916
ko:K03592	bcen:DM39_917
ko:K02651	bcen:DM39_1408
ko:K02278	bcen:DM39_1409
ko:K02279	bcen:DM39_1411
ko:K02280	bcen:DM39_1412
ko:K02282	bcen:DM39_1413
ko:K02283	bcen:DM39_1414
ko:K12510	bcen:DM39_1415
ko:K12511	bcen:DM39_1416
ko:K03666	bcen:DM39_1422
ko:K01897	bcen:DM39_1424
ko:K08178	bcen:DM39_1426
ko:K10439	bcen:DM39_1430
ko:K10440	bcen:DM39_1431
ko:K10441	bcen:DM39_1432
ko:K15553	bcen:DM39_1441
ko:K07290	bcen:DM39_1446
ko:K03594	bcen:DM39_1447
ko:K12573	bcen:DM39_1449
ko:K03218	bcen:DM39_1450
ko:K11066	bcen:DM39_1451
ko:K01807	bcen:DM39_1452
ko:K10009	bcen:DM39_1455
ko:K02424	bcen:DM39_1456
ko:K00254	bcen:DM39_1457
ko:K07003	bcen:DM39_1990
ko:K01666	bcen:DM39_1991
ko:K04073	bcen:DM39_1992
ko:K02554	bcen:DM39_1993
ko:K04098	bcen:DM39_2007
ko:K18138	bcen:DM39_2011
ko:K03585	bcen:DM39_2012
ko:K01118	bcen:DM39_2017
ko:K06911	bcen:DM39_2020
ko:K07052	bcen:DM39_2036
ko:K06891	bcen:DM39_2605
ko:K03704	bcen:DM39_2606
ko:K00031	bcen:DM39_2610
ko:K00031	bcen:DM39_2611
ko:K06181	bcen:DM39_2612
ko:K09005	bcen:DM39_2613
ko:K02355	bcen:DM39_2614
ko:K07241	bcen:DM39_2615
ko:K03710	bcen:DM39_2617
ko:K01647	bcen:DM39_2620
ko:K00077	bcen:DM39_2624
ko:K07240	bcen:DM39_2627
ko:K04564	bcen:DM39_2628
ko:K03601	bcen:DM39_2629
ko:K00912	bcen:DM39_2630
ko:K09791	bcen:DM39_2631
ko:K00979	bcen:DM39_2632
ko:K00939	bcen:DM39_2633
ko:K03980	bcen:DM39_2635
ko:K02968	bcen:DM39_2636
ko:K00075	bcen:DM39_2639
ko:K09767	bcen:DM39_2640
ko:K08591	bcen:DM39_2641
ko:K04763	bcen:DM39_2644
ko:K00567	bcen:DM39_2645
ko:K06925	bcen:DM39_2647
ko:K01448	bcen:DM39_2648
ko:K15268	bcen:DM39_2649
ko:K06911	bcen:DM39_2650
ko:K05838	bcen:DM39_2651
ko:K00275	bcen:DM39_2653
ko:K00574	bcen:DM39_2654
ko:K02010	bcen:DM39_3246
ko:K02011	bcen:DM39_3247
ko:K03430	bcen:DM39_3248
ko:K01114	bcen:DM39_3251
ko:K03303	bcen:DM39_3253
ko:K01919	bcen:DM39_3255
ko:K01247	bcen:DM39_3256
ko:K10778	bcen:DM39_3257
ko:K08234	bcen:DM39_3259
ko:K00657	bcen:DM39_3262
ko:K03650	bcen:DM39_3267
ko:K03217	bcen:DM39_3269
ko:K08998	bcen:DM39_3270
ko:K03536	bcen:DM39_3271
ko:K02914	bcen:DM39_3272
ko:K02509	bcen:DM39_3634
ko:K01826	bcen:DM39_3635
ko:K00455	bcen:DM39_3636
ko:K00151	bcen:DM39_3637
ko:K05921	bcen:DM39_3638
ko:K05921	bcen:DM39_3639
ko:K03587	bcen:DM39_3644
ko:K03455	bcen:DM39_3645
ko:K06151	bcen:DM39_3648
ko:K06152	bcen:DM39_3649
ko:K00259	bcen:DM39_3652
ko:K02347	bcen:DM39_3653
ko:K02030	bcen:DM39_3655
ko:K00626	bcen:DM39_3656
ko:K01034	bcen:DM39_3658
ko:K03288	bcen:DM39_4049
ko:K00864	bcen:DM39_4051
ko:K00111	bcen:DM39_4053
ko:K02444	bcen:DM39_4054
ko:K01999	bcen:DM39_4056
ko:K02028	bcen:DM39_4058
ko:K02029	bcen:DM39_4059
ko:K02030	bcen:DM39_4060
ko:K07010	bcen:DM39_4061
ko:K00059	bcen:DM39_4064
ko:K07045	bcen:DM39_4066
ko:K09780	bcen:DM39_1686
ko:K03284	bcen:DM39_1687
ko:K02525	bcen:DM39_1696
ko:K00090	bcen:DM39_1697
ko:K00874	bcen:DM39_1699
ko:K03281	bcen:DM39_1703
ko:K17218	bcen:DM39_1712
ko:K07090	bcen:DM39_1713
ko:K11074	bcen:DM39_1714
ko:K11075	bcen:DM39_1715
ko:K11076	bcen:DM39_1716
ko:K11073	bcen:DM39_1717
ko:K06938	bcen:DM39_1718
ko:K07275	bcen:DM39_1719
ko:K00459	bcen:DM39_1720
ko:K16089	bcen:DM39_1727
ko:K02016	bcen:DM39_1729
ko:K07017	bcen:DM39_1730
ko:K01915	bcen:DM39_2245
ko:K07010	bcen:DM39_2246
ko:K05603	bcen:DM39_2248
ko:K01468	bcen:DM39_2249
ko:K09975	bcen:DM39_2250
ko:K01712	bcen:DM39_2251
ko:K05836	bcen:DM39_2252
ko:K01745	bcen:DM39_2253
ko:K10001	bcen:DM39_2254
ko:K06133	bcen:DM39_2255
ko:K01669	bcen:DM39_2260
ko:K00957	bcen:DM39_2267
ko:K00955	bcen:DM39_2268
ko:K07404	bcen:DM39_2271
ko:K05795	bcen:DM39_2276
ko:K09799	bcen:DM39_2277
ko:K14393	bcen:DM39_2283
ko:K01895	bcen:DM39_2285
ko:K01676	bcen:DM39_2288
ko:K03594	bcen:DM39_2289
ko:K01776	bcen:DM39_2290
ko:K02192	bcen:DM39_2291
ko:K03832	bcen:DM39_2292
ko:K03561	bcen:DM39_2293
ko:K03559	bcen:DM39_2294
ko:K06911	bcen:DM39_2296
ko:K00626	bcen:DM39_2864
ko:K03652	bcen:DM39_2867
ko:K03701	bcen:DM39_2871
ko:K01433	bcen:DM39_2873
ko:K00759	bcen:DM39_2876
ko:K03455	bcen:DM39_2877
ko:K06041	bcen:DM39_2878
ko:K03270	bcen:DM39_2879
ko:K11719	bcen:DM39_2880
ko:K09774	bcen:DM39_2881
ko:K06861	bcen:DM39_2882
ko:K03092	bcen:DM39_2883
ko:K05808	bcen:DM39_2884
ko:K02806	bcen:DM39_2885
ko:K06023	bcen:DM39_2886
ko:K06958	bcen:DM39_2887
ko:K07157	bcen:DM39_2888
ko:K03575	bcen:DM39_2889
ko:K10563	bcen:DM39_2890
ko:K02494	bcen:DM39_2892
ko:K00919	bcen:DM39_2893
ko:K00948	bcen:DM39_2895
ko:K02897	bcen:DM39_2896
ko:K01056	bcen:DM39_2897
ko:K00817	bcen:DM39_2898
ko:K00954	bcen:DM39_2900
ko:K03110	bcen:DM39_2902
ko:K01649	bcen:DM39_2905
ko:K03089	bcen:DM39_2908
ko:K00425	bcen:DM39_2910
ko:K00426	bcen:DM39_2911
ko:K02803	bcen:DM39_2913
ko:K02804	bcen:DM39_2913
ko:K02768	bcen:DM39_2914
ko:K08483	bcen:DM39_2914
ko:K11183	bcen:DM39_2914
ko:K03521	bcen:DM39_3389
ko:K03522	bcen:DM39_3390
ko:K02617	bcen:DM39_3391
ko:K16092	bcen:DM39_3393
ko:K01682	bcen:DM39_3395
ko:K00038	bcen:DM39_3414
ko:K01596	bcen:DM39_3415
ko:K11936	bcen:DM39_3773
ko:K00820	bcen:DM39_3775
ko:K06016	bcen:DM39_3778
ko:K01999	bcen:DM39_3780
ko:K03386	bcen:DM39_3783
ko:K03387	bcen:DM39_3784
ko:K01607	bcen:DM39_3787
ko:K10038	bcen:DM39_3790
ko:K10037	bcen:DM39_3791
ko:K10036	bcen:DM39_3792
ko:K01775	bcen:DM39_3794
ko:K09936	bcen:DM39_3797
ko:K03413	bcen:DM39_3798
ko:K01053	bcen:DM39_4197
ko:K00058	bcen:DM39_4198
ko:K12255	bcen:DM39_4700
ko:K09936	bcen:DM39_4707
ko:K11893	bcen:DM39_279
ko:K11906	bcen:DM39_280
ko:K11901	bcen:DM39_282
ko:K11900	bcen:DM39_283
ko:K11903	bcen:DM39_284
ko:K11897	bcen:DM39_285
ko:K11896	bcen:DM39_286
ko:K11895	bcen:DM39_287
ko:K11907	bcen:DM39_288
ko:K11902	bcen:DM39_289
ko:K03286	bcen:DM39_293
ko:K11890	bcen:DM39_294
ko:K11891	bcen:DM39_295
ko:K16074	bcen:DM39_298
ko:K01256	bcen:DM39_302
ko:K09946	bcen:DM39_304
ko:K09941	bcen:DM39_307
ko:K04046	bcen:DM39_311
ko:K03704	bcen:DM39_312
ko:K03186	bcen:DM39_315
ko:K07390	bcen:DM39_316
ko:K02493	bcen:DM39_317
ko:K02835	bcen:DM39_318
ko:K02492	bcen:DM39_319
ko:K01262	bcen:DM39_322
ko:K01560	bcen:DM39_324
ko:K03566	bcen:DM39_327
ko:K11735	bcen:DM39_330
ko:K06942	bcen:DM39_332
ko:K11264	bcen:DM39_762
ko:K07240	bcen:DM39_763
ko:K07240	bcen:DM39_764
ko:K06199	bcen:DM39_769
ko:K02221	bcen:DM39_771
ko:K06895	bcen:DM39_774
ko:K03182	bcen:DM39_775
ko:K03625	bcen:DM39_778
ko:K00794	bcen:DM39_779
ko:K14652	bcen:DM39_780
ko:K09983	bcen:DM39_781
ko:K01637	bcen:DM39_783
ko:K00793	bcen:DM39_784
ko:K11752	bcen:DM39_785
ko:K01845	bcen:DM39_786
ko:K07552	bcen:DM39_788
ko:K00845	bcen:DM39_790
ko:K01057	bcen:DM39_791
ko:K00036	bcen:DM39_792
ko:K17315	bcen:DM39_793
ko:K17316	bcen:DM39_794
ko:K17317	bcen:DM39_795
ko:K10112	bcen:DM39_796
ko:K00384	bcen:DM39_800
ko:K03466	bcen:DM39_801
ko:K03634	bcen:DM39_802
ko:K07478	bcen:DM39_803
ko:K01875	bcen:DM39_805
ko:K00496	bcen:DM39_808
ko:K03610	bcen:DM39_810
ko:K03609	bcen:DM39_811
ko:K03608	bcen:DM39_812
ko:K01872	bcen:DM39_1303
ko:K07107	bcen:DM39_1307
ko:K01997	bcen:DM39_1308
ko:K01998	bcen:DM39_1309
ko:K01995	bcen:DM39_1310
ko:K01996	bcen:DM39_1311
ko:K00059	bcen:DM39_1312
ko:K03337	bcen:DM39_1313
ko:K03335	bcen:DM39_1314
ko:K03336	bcen:DM39_1315
ko:K03338	bcen:DM39_1316
ko:K17213	bcen:DM39_1317
ko:K17215	bcen:DM39_1318
ko:K06605	bcen:DM39_1320
ko:K00010	bcen:DM39_1321
ko:K03335	bcen:DM39_1322
ko:K00140	bcen:DM39_1325
ko:K00963	bcen:DM39_1333
ko:K01873	bcen:DM39_1334
ko:K03657	bcen:DM39_1335
ko:K01243	bcen:DM39_1336
ko:K08223	bcen:DM39_1337
ko:K03406	bcen:DM39_1338
ko:K03809	bcen:DM39_1349
ko:K07058	bcen:DM39_1350
ko:K10804	bcen:DM39_1885
ko:K03770	bcen:DM39_1886
ko:K05548	bcen:DM39_1887
ko:K01338	bcen:DM39_1892
ko:K03544	bcen:DM39_1893
ko:K01358	bcen:DM39_1894
ko:K03545	bcen:DM39_1895
ko:K00865	bcen:DM39_1896
ko:K00077	bcen:DM39_1898
ko:K02291	bcen:DM39_1905
ko:K07659	bcen:DM39_1909
ko:K07638	bcen:DM39_1910
ko:K03386	bcen:DM39_1911
ko:K04756	bcen:DM39_1912
ko:K01770	bcen:DM39_1913
ko:K00991	bcen:DM39_1914
ko:K03723	bcen:DM39_1915
ko:K01438	bcen:DM39_1916
ko:K01754	bcen:DM39_1917
ko:K05366	bcen:DM39_1920
ko:K03969	bcen:DM39_1921
ko:K03282	bcen:DM39_1923
ko:K09165	bcen:DM39_1926
ko:K07127	bcen:DM39_1929
ko:K01483	bcen:DM39_1931
ko:K01477	bcen:DM39_1933
ko:K13485	bcen:DM39_1934
ko:K16841	bcen:DM39_1936
ko:K03457	bcen:DM39_1937
ko:K00128	bcen:DM39_2505
ko:K00059	bcen:DM39_2506
ko:K02498	bcen:DM39_2508
ko:K01749	bcen:DM39_2510
ko:K01595	bcen:DM39_2511
ko:K01755	bcen:DM39_2514
ko:K01584	bcen:DM39_2517
ko:K01494	bcen:DM39_2518
ko:K03593	bcen:DM39_2520
ko:K01874	bcen:DM39_2522
ko:K09800	bcen:DM39_2525
ko:K05896	bcen:DM39_2528
ko:K01918	bcen:DM39_2529
ko:K01579	bcen:DM39_2530
ko:K15977	bcen:DM39_2532
ko:K02232	bcen:DM39_2534
ko:K02231	bcen:DM39_2535
ko:K02227	bcen:DM39_2536
ko:K02225	bcen:DM39_2537
ko:K02016	bcen:DM39_2538
ko:K02226	bcen:DM39_2539
ko:K02233	bcen:DM39_2540
ko:K00768	bcen:DM39_2541
ko:K02013	bcen:DM39_2542
ko:K02015	bcen:DM39_2543
ko:K09888	bcen:DM39_2545
ko:K13292	bcen:DM39_2548
ko:K01687	bcen:DM39_2550
ko:K08738	bcen:DM39_2551
ko:K02339	bcen:DM39_2553
ko:K01255	bcen:DM39_2554
ko:K07091	bcen:DM39_2555
ko:K11720	bcen:DM39_2556
ko:K00789	bcen:DM39_3175
ko:K02517	bcen:DM39_3176
ko:K01778	bcen:DM39_3177
ko:K09921	bcen:DM39_3178
ko:K03733	bcen:DM39_3179
ko:K06969	bcen:DM39_3180
ko:K06204	bcen:DM39_3182
ko:K01419	bcen:DM39_3183
ko:K03667	bcen:DM39_3184
ko:K15012	bcen:DM39_3186
ko:K15011	bcen:DM39_3187
ko:K00930	bcen:DM39_3189
ko:K05501	bcen:DM39_3191
ko:K07345	bcen:DM39_3192
ko:K07347	bcen:DM39_3194
ko:K07345	bcen:DM39_3196
ko:K00641	bcen:DM39_3198
ko:K08218	bcen:DM39_3200
ko:K13979	bcen:DM39_3203
ko:K01142	bcen:DM39_3204
ko:K02434	bcen:DM39_3206
ko:K02433	bcen:DM39_3207
ko:K02435	bcen:DM39_3208
ko:K03569	bcen:DM39_3209
ko:K03570	bcen:DM39_3210
ko:K03571	bcen:DM39_3211
ko:K05515	bcen:DM39_3212
ko:K05837	bcen:DM39_3213
ko:K01630	bcen:DM39_3215
ko:K01737	bcen:DM39_3216
ko:K07665	bcen:DM39_3586
ko:K07644	bcen:DM39_3587
ko:K04064	bcen:DM39_3591
ko:K00375	bcen:DM39_3599
ko:K01993	bcen:DM39_3603
ko:K00801	bcen:DM39_3608
ko:K00239	bcen:DM39_3987
ko:K00242	bcen:DM39_3988
ko:K00241	bcen:DM39_3989
ko:K03710	bcen:DM39_3990
ko:K00024	bcen:DM39_3991
ko:K01644	bcen:DM39_3992
ko:K02019	bcen:DM39_4710
ko:K05846	bcen:DM39_4714
ko:K05845	bcen:DM39_4715
ko:K05846	bcen:DM39_4716
ko:K05847	bcen:DM39_4717
ko:K11074	bcen:DM39_4719
ko:K11075	bcen:DM39_4720
ko:K11076	bcen:DM39_4721
ko:K07347	bcen:DM39_4761
ko:K07677	bcen:DM39_4765
ko:K07687	bcen:DM39_4766
ko:K07677	bcen:DM39_4768
ko:K03671	bcen:DM39_4777
ko:K01991	bcen:DM39_4806
ko:K01104	bcen:DM39_4807
ko:K16692	bcen:DM39_4808
ko:K01999	bcen:DM39_4819
ko:K00116	bcen:DM39_4823
ko:K05591	bcen:DM39_4825
ko:K01821	bcen:DM39_4830
ko:K02336	bcen:DM39_4861
ko:K02030	bcen:DM39_4863
ko:K02028	bcen:DM39_4864
ko:K02029	bcen:DM39_4865
ko:K02029	bcen:DM39_4866
ko:K01714	bcen:DM39_4867
ko:K00285	bcen:DM39_4869
ko:K03561	bcen:DM39_4912
ko:K06938	bcen:DM39_4917
ko:K03929	bcen:DM39_4920
ko:K00484	bcen:DM39_4923
ko:K00626	bcen:DM39_4932
ko:K08195	bcen:DM39_4937
ko:K01607	bcen:DM39_4938
ko:K00060	bcen:DM39_4992
ko:K00639	bcen:DM39_4993
ko:K00537	bcen:DM39_5001
ko:K03088	bcen:DM39_5003
ko:K03410	bcen:DM39_5007
ko:K06045	bcen:DM39_5013
ko:K11896	bcen:DM39_5015
ko:K11904	bcen:DM39_5016
ko:K10537	bcen:DM39_5048
ko:K10539	bcen:DM39_5049
ko:K10538	bcen:DM39_5050
ko:K13874	bcen:DM39_5051
ko:K18383	bcen:DM39_5052
ko:K12508	bcen:DM39_5054
ko:K05819	bcen:DM39_5056
ko:K01751	bcen:DM39_5060
ko:K08194	bcen:DM39_5063
ko:K01799	bcen:DM39_5064
ko:K01464	bcen:DM39_5065
ko:K01845	bcen:DM39_5068
ko:K07507	bcen:DM39_5099
ko:K00450	bcen:DM39_5107
ko:K08195	bcen:DM39_5110
ko:K00077	bcen:DM39_5112
ko:K00014	bcen:DM39_5116
ko:K03786	bcen:DM39_5118
ko:K04033	bcen:DM39_5124
ko:K03457	bcen:DM39_5125
ko:K15582	bcen:DM39_5155
ko:K15583	bcen:DM39_5156
ko:K10823	bcen:DM39_5157
ko:K01114	bcen:DM39_5161
ko:K03825	bcen:DM39_5162
ko:K16856	bcen:DM39_5174
ko:K02688	bcen:DM39_5177
ko:K03417	bcen:DM39_5178
ko:K01659	bcen:DM39_5179
ko:K02890	bcen:DM39_169
ko:K02982	bcen:DM39_170
ko:K02878	bcen:DM39_171
ko:K02904	bcen:DM39_172
ko:K02961	bcen:DM39_173
ko:K02874	bcen:DM39_174
ko:K02895	bcen:DM39_175
ko:K02931	bcen:DM39_176
ko:K02954	bcen:DM39_177
ko:K02994	bcen:DM39_178
ko:K02933	bcen:DM39_179
ko:K02881	bcen:DM39_180
ko:K02988	bcen:DM39_181
ko:K02907	bcen:DM39_182
ko:K02876	bcen:DM39_183
ko:K03076	bcen:DM39_184
ko:K02518	bcen:DM39_185
ko:K02919	bcen:DM39_186
ko:K02952	bcen:DM39_187
ko:K02948	bcen:DM39_188
ko:K02986	bcen:DM39_189
ko:K03040	bcen:DM39_190
ko:K02879	bcen:DM39_191
ko:K03926	bcen:DM39_192
ko:K04084	bcen:DM39_193
ko:K01698	bcen:DM39_194
ko:K03978	bcen:DM39_195
ko:K07399	bcen:DM39_197
ko:K17247	bcen:DM39_200
ko:K06202	bcen:DM39_202
ko:K05366	bcen:DM39_203
ko:K02666	bcen:DM39_207
ko:K00891	bcen:DM39_208
ko:K01735	bcen:DM39_209
ko:K01129	bcen:DM39_210
ko:K05813	bcen:DM39_211
ko:K05814	bcen:DM39_212
ko:K05815	bcen:DM39_213
ko:K05816	bcen:DM39_214
ko:K01126	bcen:DM39_215
ko:K07275	bcen:DM39_216
ko:K07491	bcen:DM39_217
ko:K00266	bcen:DM39_219
ko:K03310	bcen:DM39_220
ko:K01975	bcen:DM39_222
ko:K00285	bcen:DM39_221
ko:K10013	bcen:DM39_658
ko:K00285	bcen:DM39_659
ko:K02010	bcen:DM39_664
ko:K02011	bcen:DM39_665
ko:K02012	bcen:DM39_666
ko:K16301	bcen:DM39_667
ko:K07267	bcen:DM39_669
ko:K04078	bcen:DM39_670
ko:K04077	bcen:DM39_671
ko:K00941	bcen:DM39_672
ko:K07735	bcen:DM39_675
ko:K07447	bcen:DM39_676
ko:K02825	bcen:DM39_677
ko:K00609	bcen:DM39_678
ko:K01465	bcen:DM39_679
ko:K00655	bcen:DM39_680
ko:K01525	bcen:DM39_681
ko:K00973	bcen:DM39_683
ko:K01711	bcen:DM39_690
ko:K01784	bcen:DM39_698
ko:K01784	bcen:DM39_702
ko:K15778	bcen:DM39_706
ko:K03327	bcen:DM39_1194
ko:K01895	bcen:DM39_1196
ko:K06153	bcen:DM39_1199
ko:K04087	bcen:DM39_1212
ko:K00059	bcen:DM39_1214
ko:K08195	bcen:DM39_1217
ko:K13953	bcen:DM39_1230
ko:K02433	bcen:DM39_1242
ko:K03087	bcen:DM39_1782
ko:K06194	bcen:DM39_1783
ko:K00573	bcen:DM39_1784
ko:K03787	bcen:DM39_1785
ko:K06187	bcen:DM39_1787
ko:K09747	bcen:DM39_1788
ko:K02343	bcen:DM39_1789
ko:K03671	bcen:DM39_1790
ko:K03628	bcen:DM39_1791
ko:K09933	bcen:DM39_1794
ko:K02909	bcen:DM39_1795
ko:K03327	bcen:DM39_1797
ko:K03644	bcen:DM39_1798
ko:K00627	bcen:DM39_1799
ko:K03366	bcen:DM39_1802
ko:K01607	bcen:DM39_1805
ko:K03695	bcen:DM39_1809
ko:K13771	bcen:DM39_1810
ko:K06886	bcen:DM39_1811
ko:K03635	bcen:DM39_1812
ko:K03636	bcen:DM39_1813
ko:K03750	bcen:DM39_1814
ko:K01733	bcen:DM39_1815
ko:K00003	bcen:DM39_1816
ko:K14260	bcen:DM39_1817
ko:K10012	bcen:DM39_1822
ko:K00604	bcen:DM39_1823
ko:K03564	bcen:DM39_1826
ko:K01720	bcen:DM39_3994
ko:K01681	bcen:DM39_3995
ko:K05998	bcen:DM39_3999
ko:K08169	bcen:DM39_4000
ko:K02053	bcen:DM39_4001
ko:K02054	bcen:DM39_4002
ko:K02055	bcen:DM39_4003
ko:K02052	bcen:DM39_4004
ko:K00375	bcen:DM39_4005
ko:K02014	bcen:DM39_4008
ko:K12262	bcen:DM39_4010
