ko:K18893	babt:DK49_1275
ko:K03704	babt:DK49_1019
ko:K01759	babt:DK49_1020
ko:K07462	babt:DK49_1023
ko:K01921	babt:DK49_1024
ko:K11532	babt:DK49_1025
ko:K00003	babt:DK49_1026
ko:K14261	babt:DK49_1027
ko:K09956	babt:DK49_1032
ko:K06206	babt:DK49_1033
ko:K01265	babt:DK49_1034
ko:K03630	babt:DK49_1035
ko:K16079	babt:DK49_1036
ko:K00595	babt:DK49_1037
ko:K02229	babt:DK49_1038
ko:K06042	babt:DK49_1039
ko:K03394	babt:DK49_1040
ko:K13541	babt:DK49_1041
ko:K13786	babt:DK49_1044
ko:K01999	babt:DK49_1046
ko:K02227	babt:DK49_1045
ko:K02225	babt:DK49_1047
ko:K02224	babt:DK49_1048
ko:K02303	babt:DK49_1049
ko:K02188	babt:DK49_1050
ko:K05895	babt:DK49_1052
ko:K05936	babt:DK49_1051
ko:K02189	babt:DK49_1053
ko:K07090	babt:DK49_1056
ko:K08978	babt:DK49_1055
ko:K02230	babt:DK49_1058
ko:K02234	babt:DK49_1059
ko:K02231	babt:DK49_1060
ko:K09924	babt:DK49_772
ko:K00383	babt:DK49_773
ko:K01626	babt:DK49_774
ko:K00901	babt:DK49_775
ko:K01916	babt:DK49_776
ko:K01885	babt:DK49_778
ko:K00029	babt:DK49_779
ko:K02066	babt:DK49_781
ko:K02065	babt:DK49_782
ko:K02067	babt:DK49_783
ko:K18480	babt:DK49_784
ko:K04755	babt:DK49_786
ko:K00384	babt:DK49_787
ko:K00384	babt:DK49_788
ko:K00796	babt:DK49_790
ko:K01633	babt:DK49_791
ko:K00950	babt:DK49_792
ko:K08990	babt:DK49_794
ko:K06918	babt:DK49_795
ko:K08296	babt:DK49_796
ko:K06204	babt:DK49_797
ko:K13587	babt:DK49_800
ko:K03466	babt:DK49_1596
ko:K03320	babt:DK49_1597
ko:K10805	babt:DK49_1598
ko:K03185	babt:DK49_1599
ko:K00240	babt:DK49_1601
ko:K00239	babt:DK49_1602
ko:K00242	babt:DK49_1603
ko:K00241	babt:DK49_1604
ko:K01703	babt:DK49_1606
ko:K02884	babt:DK49_1607
ko:K07090	babt:DK49_1610
ko:K00554	babt:DK49_1615
ko:K02860	babt:DK49_1616
ko:K03733	babt:DK49_1617
ko:K09973	babt:DK49_1618
ko:K00382	babt:DK49_1619
ko:K00658	babt:DK49_1623
ko:K00164	babt:DK49_1624
ko:K01902	babt:DK49_1625
ko:K01903	babt:DK49_1626
ko:K00024	babt:DK49_1627
ko:K06916	babt:DK49_1628
ko:K01778	babt:DK49_1630
ko:K18707	babt:DK49_1631
ko:K03110	babt:DK49_1632
ko:K06190	babt:DK49_1633
ko:K01069	babt:DK49_1634
ko:K03574	babt:DK49_1637
ko:K00620	babt:DK49_1639
ko:K03769	babt:DK49_1640
ko:K03070	babt:DK49_1641
ko:K03760	babt:DK49_1643
ko:K00088	babt:DK49_2433
ko:K04761	babt:DK49_2435
ko:K03781	babt:DK49_2436
ko:K03500	babt:DK49_2439
ko:K01243	babt:DK49_2441
ko:K01951	babt:DK49_2442
ko:K07230	babt:DK49_2443
ko:K07243	babt:DK49_2445
ko:K00925	babt:DK49_2448
ko:K01999	babt:DK49_2454
ko:K01997	babt:DK49_2455
ko:K01995	babt:DK49_2456
ko:K01998	babt:DK49_2456
ko:K01996	babt:DK49_2457
ko:K00059	babt:DK49_2458
ko:K00014	babt:DK49_2459
ko:K00135	babt:DK49_2461
ko:K01999	babt:DK49_2462
ko:K01714	babt:DK49_2468
ko:K02034	babt:DK49_2469
ko:K02033	babt:DK49_2470
ko:K02035	babt:DK49_2471
ko:K17948	babt:DK49_2474
ko:K01991	babt:DK49_2479
ko:K02232	babt:DK49_1063
ko:K02956	babt:DK49_1853
ko:K00962	babt:DK49_1854
ko:K00564	babt:DK49_1855
ko:K00564	babt:DK49_1856
ko:K00208	babt:DK49_1857
ko:K00647	babt:DK49_1858
ko:K01716	babt:DK49_1859
ko:K09826	babt:DK49_1860
ko:K02073	babt:DK49_1861
ko:K01255	babt:DK49_1868
ko:K10563	babt:DK49_1870
ko:K01692	babt:DK49_1871
ko:K02968	babt:DK49_1872
ko:K02313	babt:DK49_1873
ko:K02338	babt:DK49_1874
ko:K03629	babt:DK49_1875
ko:K12972	babt:DK49_1877
ko:K13896	babt:DK49_1878
ko:K13895	babt:DK49_1879
ko:K13894	babt:DK49_1880
ko:K13893	babt:DK49_1881
ko:K13893	babt:DK49_1882
ko:K01999	babt:DK49_1884
ko:K13766	babt:DK49_1885
ko:K01640	babt:DK49_1886
ko:K01968	babt:DK49_1887
ko:K01969	babt:DK49_1888
ko:K00253	babt:DK49_1889
ko:K01907	babt:DK49_1890
ko:K01907	babt:DK49_1891
ko:K00800	babt:DK49_1897
ko:K00945	babt:DK49_1898
ko:K02945	babt:DK49_1899
ko:K06187	babt:DK49_1903
ko:K00826	babt:DK49_2692
ko:K07090	babt:DK49_2693
ko:K07077	babt:DK49_2694
ko:K00128	babt:DK49_2696
ko:K02016	babt:DK49_2697
ko:K02015	babt:DK49_2698
ko:K02015	babt:DK49_2699
ko:K02013	babt:DK49_2700
ko:K01469	babt:DK49_2702
ko:K02424	babt:DK49_2703
ko:K10009	babt:DK49_2704
ko:K10010	babt:DK49_2705
ko:K01524	babt:DK49_2706
ko:K02427	babt:DK49_2707
ko:K10112	babt:DK49_2710
ko:K17317	babt:DK49_2711
ko:K17316	babt:DK49_2712
ko:K00794	babt:DK49_2716
ko:K02379	babt:DK49_2715
ko:K02011	babt:DK49_2719
ko:K02012	babt:DK49_2720
ko:K02010	babt:DK49_2721
ko:K14588	babt:DK49_2725
ko:K04756	babt:DK49_2728
ko:K03386	babt:DK49_2729
ko:K04761	babt:DK49_2730
ko:K00010	babt:DK49_2732
ko:K03338	babt:DK49_2734
ko:K03336	babt:DK49_2735
ko:K03335	babt:DK49_2736
ko:K03337	babt:DK49_2737
ko:K01092	babt:DK49_2738
ko:K02010	babt:DK49_2739
ko:K02011	babt:DK49_2740
ko:K02012	babt:DK49_2741
ko:K13821	babt:DK49_2742
ko:K03719	babt:DK49_2743
ko:K06158	babt:DK49_471
ko:K00940	babt:DK49_473
ko:K09914	babt:DK49_474
ko:K03635	babt:DK49_475
ko:K03636	babt:DK49_476
ko:K03703	babt:DK49_478
ko:K16079	babt:DK49_480
ko:K00799	babt:DK49_481
ko:K01166	babt:DK49_482
ko:K07115	babt:DK49_484
ko:K11175	babt:DK49_488
ko:K01933	babt:DK49_489
ko:K01784	babt:DK49_492
ko:K03303	babt:DK49_496
ko:K00939	babt:DK49_502
ko:K01760	babt:DK49_518
ko:K09969	babt:DK49_520
ko:K09970	babt:DK49_521
ko:K09971	babt:DK49_522
ko:K09971	babt:DK49_523
ko:K09972	babt:DK49_524
ko:K00480	babt:DK49_525
ko:K00228	babt:DK49_1280
ko:K03824	babt:DK49_1281
ko:K00970	babt:DK49_1284
ko:K09986	babt:DK49_1286
ko:K03924	babt:DK49_1287
ko:K07393	babt:DK49_1292
ko:K07275	babt:DK49_1293
ko:K01649	babt:DK49_1296
ko:K13503	babt:DK49_1298
ko:K03719	babt:DK49_1299
ko:K02002	babt:DK49_1304
ko:K02001	babt:DK49_1305
ko:K02000	babt:DK49_1306
ko:K12372	babt:DK49_1307
ko:K12371	babt:DK49_1308
ko:K12370	babt:DK49_1309
ko:K12369	babt:DK49_1310
ko:K12368	babt:DK49_1311
ko:K00566	babt:DK49_1316
ko:K06975	babt:DK49_1319
ko:K13588	babt:DK49_1322
ko:K13584	babt:DK49_1323
ko:K07270	babt:DK49_1328
ko:K07289	babt:DK49_1331
ko:K00852	babt:DK49_2117
ko:K02057	babt:DK49_2119
ko:K02057	babt:DK49_2120
ko:K02056	babt:DK49_2121
ko:K07335	babt:DK49_2122
ko:K02362	babt:DK49_2123
ko:K00216	babt:DK49_2125
ko:K01252	babt:DK49_2126
ko:K02363	babt:DK49_2127
ko:K02361	babt:DK49_2128
ko:K02364	babt:DK49_2129
ko:K03088	babt:DK49_2133
ko:K01999	babt:DK49_2136
ko:K01997	babt:DK49_2137
ko:K01998	babt:DK49_2138
ko:K01995	babt:DK49_2139
ko:K01996	babt:DK49_2140
ko:K00059	babt:DK49_2142
ko:K11381	babt:DK49_2144
ko:K00627	babt:DK49_2146
ko:K00014	babt:DK49_2147
ko:K01531	babt:DK49_2148
ko:K07507	babt:DK49_2151
ko:K13589	babt:DK49_2155
ko:K01048	babt:DK49_2158
ko:K04080	babt:DK49_2160
ko:K01620	babt:DK49_2161
ko:K00265	babt:DK49_2162
ko:K00266	babt:DK49_2163
ko:K11737	babt:DK49_2164
ko:K09795	babt:DK49_2165
ko:K09969	babt:DK49_2952
ko:K01999	babt:DK49_2957
ko:K01995	babt:DK49_2958
ko:K01996	babt:DK49_2959
ko:K01997	babt:DK49_2960
ko:K01998	babt:DK49_2961
ko:K02073	babt:DK49_2963
ko:K02071	babt:DK49_2964
ko:K02072	babt:DK49_2965
ko:K02970	babt:DK49_2968
ko:K00325	babt:DK49_2974
ko:K00324	babt:DK49_2975
ko:K00324	babt:DK49_2976
ko:K07010	babt:DK49_2982
ko:K01470	babt:DK49_2987
ko:K06999	babt:DK49_2990
ko:K17247	babt:DK49_2992
ko:K10440	babt:DK49_2994
ko:K10440	babt:DK49_2995
ko:K10441	babt:DK49_2996
ko:K10439	babt:DK49_2997
ko:K02014	babt:DK49_3000
ko:K01464	babt:DK49_92
ko:K06016	babt:DK49_93
ko:K17723	babt:DK49_95
ko:K01810	babt:DK49_99
ko:K06987	babt:DK49_100
ko:K01091	babt:DK49_102
ko:K01897	babt:DK49_103
ko:K05539	babt:DK49_634
ko:K06985	babt:DK49_633
ko:K02233	babt:DK49_635
ko:K00768	babt:DK49_636
ko:K05800	babt:DK49_637
ko:K07126	babt:DK49_640
ko:K01142	babt:DK49_641
ko:K01129	babt:DK49_644
ko:K01887	babt:DK49_645
ko:K01207	babt:DK49_647
ko:K05896	babt:DK49_648
ko:K06024	babt:DK49_649
ko:K03116	babt:DK49_650
ko:K03117	babt:DK49_651
ko:K03118	babt:DK49_652
ko:K01875	babt:DK49_653
ko:K03787	babt:DK49_654
ko:K00573	babt:DK49_655
ko:K06923	babt:DK49_657
ko:K03210	babt:DK49_658
ko:K12257	babt:DK49_659
ko:K02291	babt:DK49_661
ko:K04094	babt:DK49_662
ko:K03545	babt:DK49_667
ko:K02434	babt:DK49_668
ko:K00684	babt:DK49_672
ko:K01961	babt:DK49_673
ko:K02160	babt:DK49_674
ko:K03786	babt:DK49_675
ko:K08300	babt:DK49_679
ko:K01448	babt:DK49_680
ko:K05366	babt:DK49_681
ko:K02836	babt:DK49_682
ko:K03564	babt:DK49_687
ko:K00019	babt:DK49_1489
ko:K01958	babt:DK49_1491
ko:K01999	babt:DK49_1492
ko:K01999	babt:DK49_1494
ko:K01996	babt:DK49_1496
ko:K01995	babt:DK49_1497
ko:K01998	babt:DK49_1498
ko:K01997	babt:DK49_1499
ko:K12658	babt:DK49_1500
ko:K00285	babt:DK49_1501
ko:K06075	babt:DK49_1503
ko:K02114	babt:DK49_1504
ko:K02112	babt:DK49_1505
ko:K02115	babt:DK49_1506
ko:K02111	babt:DK49_1507
ko:K02113	babt:DK49_1508
ko:K04066	babt:DK49_1510
ko:K00616	babt:DK49_1511
ko:K03643	babt:DK49_1512
ko:K01869	babt:DK49_1513
ko:K06997	babt:DK49_1514
ko:K01895	babt:DK49_1517
ko:K03799	babt:DK49_1519
ko:K03500	babt:DK49_1520
ko:K00602	babt:DK49_1522
ko:K06902	babt:DK49_1523
ko:K15371	babt:DK49_1524
ko:K08988	babt:DK49_1525
ko:K06872	babt:DK49_1526
ko:K03744	babt:DK49_1527
ko:K02959	babt:DK49_1528
ko:K04092	babt:DK49_1529
ko:K03106	babt:DK49_1530
ko:K01673	babt:DK49_1532
ko:K00868	babt:DK49_1533
ko:K00140	babt:DK49_1535
ko:K00380	babt:DK49_2329
ko:K03734	babt:DK49_2330
ko:K02164	babt:DK49_2339
ko:K02305	babt:DK49_2341
ko:K04561	babt:DK49_2342
ko:K04748	babt:DK49_2343
ko:K02448	babt:DK49_2344
ko:K00368	babt:DK49_2352
ko:K03435	babt:DK49_2355
ko:K10543	babt:DK49_2356
ko:K10545	babt:DK49_2357
ko:K10544	babt:DK49_2358
ko:K00039	babt:DK49_2359
ko:K00376	babt:DK49_2365
ko:K07218	babt:DK49_2366
ko:K03734	babt:DK49_2370
ko:K07234	babt:DK49_2373
ko:K02051	babt:DK49_2374
ko:K02050	babt:DK49_2375
ko:K02049	babt:DK49_2376
ko:K08303	babt:DK49_2378
ko:K00151	babt:DK49_3163
ko:K01826	babt:DK49_3164
ko:K07025	babt:DK49_3170
ko:K01999	babt:DK49_3176
ko:K03577	babt:DK49_104
ko:K03585	babt:DK49_105
ko:K18138	babt:DK49_106
ko:K02030	babt:DK49_108
ko:K07636	babt:DK49_111
ko:K13583	babt:DK49_112
ko:K04083	babt:DK49_115
ko:K06195	babt:DK49_116
ko:K10764	babt:DK49_117
ko:K01494	babt:DK49_118
ko:K00254	babt:DK49_123
ko:K01259	babt:DK49_126
ko:K03282	babt:DK49_129
ko:K00643	babt:DK49_130
ko:K06518	babt:DK49_136
ko:K01918	babt:DK49_139
ko:K00606	babt:DK49_140
ko:K00528	babt:DK49_141
ko:K01647	babt:DK49_909
ko:K00748	babt:DK49_910
ko:K09949	babt:DK49_911
ko:K00677	babt:DK49_912
ko:K02372	babt:DK49_913
ko:K02536	babt:DK49_914
ko:K07277	babt:DK49_915
ko:K11749	babt:DK49_916
ko:K00981	babt:DK49_917
ko:K00806	babt:DK49_918
ko:K02838	babt:DK49_919
ko:K09903	babt:DK49_920
ko:K02357	babt:DK49_921
ko:K02967	babt:DK49_922
ko:K09919	babt:DK49_927
ko:K02503	babt:DK49_928
ko:K03694	babt:DK49_929
ko:K06891	babt:DK49_930
ko:K01752	babt:DK49_934
ko:K09457	babt:DK49_941
ko:K01966	babt:DK49_945
ko:K01965	babt:DK49_946
ko:K01965	babt:DK49_947
ko:K01847	babt:DK49_948
ko:K07080	babt:DK49_951
ko:K01776	babt:DK49_952
ko:K02533	babt:DK49_953
ko:K05520	babt:DK49_954
ko:K00031	babt:DK49_956
ko:K01077	babt:DK49_957
ko:K01872	babt:DK49_958
ko:K03501	babt:DK49_1749
ko:K03495	babt:DK49_1750
ko:K03650	babt:DK49_1751
ko:K06888	babt:DK49_1753
ko:K03628	babt:DK49_1754
ko:K08973	babt:DK49_1756
ko:K01599	babt:DK49_1757
ko:K09773	babt:DK49_1758
ko:K06287	babt:DK49_1759
ko:K00014	babt:DK49_1760
ko:K00859	babt:DK49_1761
ko:K02342	babt:DK49_1762
ko:K03071	babt:DK49_1763
ko:K07113	babt:DK49_1764
ko:K08304	babt:DK49_1766
ko:K03667	babt:DK49_1770
ko:K01419	babt:DK49_1771
ko:K01693	babt:DK49_1772
ko:K02501	babt:DK49_1774
ko:K01814	babt:DK49_1775
ko:K02500	babt:DK49_1776
ko:K01523	babt:DK49_1777
ko:K00867	babt:DK49_1778
ko:K15034	babt:DK49_1779
ko:K01610	babt:DK49_1781
ko:K14981	babt:DK49_1782
ko:K14980	babt:DK49_1783
ko:K02793	babt:DK49_1785
ko:K11189	babt:DK49_1786
ko:K01251	babt:DK49_1787
ko:K03671	babt:DK49_1793
ko:K11754	babt:DK49_1794
ko:K01963	babt:DK49_1795
ko:K01695	babt:DK49_1796
ko:K01696	babt:DK49_1798
ko:K01817	babt:DK49_1799
ko:K13772	babt:DK49_2590
ko:K03594	babt:DK49_2593
ko:K14441	babt:DK49_2594
ko:K02058	babt:DK49_2595
ko:K02057	babt:DK49_2596
ko:K02057	babt:DK49_2597
ko:K02056	babt:DK49_2598
ko:K01004	babt:DK49_2601
ko:K03185	babt:DK49_2602
ko:K11940	babt:DK49_2603
ko:K02035	babt:DK49_2605
ko:K03723	babt:DK49_2608
ko:K09159	babt:DK49_2609
ko:K03655	babt:DK49_2610
ko:K00820	babt:DK49_2611
ko:K04042	babt:DK49_2612
ko:K06196	babt:DK49_2613
ko:K14205	babt:DK49_2614
ko:K03801	babt:DK49_2619
ko:K02622	babt:DK49_2621
ko:K02433	babt:DK49_2623
ko:K02435	babt:DK49_2624
ko:K07447	babt:DK49_2627
ko:K09456	babt:DK49_2626
ko:K00609	babt:DK49_2628
ko:K01465	babt:DK49_2629
ko:K08591	babt:DK49_2630
ko:K04096	babt:DK49_2631
ko:K03168	babt:DK49_2633
ko:K12573	babt:DK49_2634
ko:K02913	babt:DK49_2638
ko:K01354	babt:DK49_358
ko:K02433	babt:DK49_363
ko:K02426	babt:DK49_364
ko:K11357	babt:DK49_366
ko:K05366	babt:DK49_372
ko:K02200	babt:DK49_395
ko:K02197	babt:DK49_396
ko:K02198	babt:DK49_397
ko:K02200	babt:DK49_398
ko:K00982	babt:DK49_402
ko:K07716	babt:DK49_404
ko:K01256	babt:DK49_405
ko:K00311	babt:DK49_409
ko:K01241	babt:DK49_411
ko:K03588	babt:DK49_1173
ko:K01925	babt:DK49_1174
ko:K01000	babt:DK49_1175
ko:K01929	babt:DK49_1176
ko:K01928	babt:DK49_1177
ko:K03587	babt:DK49_1178
ko:K03438	babt:DK49_1180
ko:K03322	babt:DK49_1181
ko:K05801	babt:DK49_1185
ko:K07273	babt:DK49_1187
ko:K07088	babt:DK49_1189
ko:K00297	babt:DK49_1190
ko:K00598	babt:DK49_1194
ko:K09988	babt:DK49_1199
ko:K00479	babt:DK49_1200
ko:K06193	babt:DK49_1202
ko:K08281	babt:DK49_1204
ko:K09799	babt:DK49_1203
ko:K01442	babt:DK49_1206
ko:K09807	babt:DK49_1214
ko:K09160	babt:DK49_1216
ko:K03086	babt:DK49_1218
ko:K03324	babt:DK49_1220
ko:K09117	babt:DK49_1221
ko:K01956	babt:DK49_1222
ko:K07054	babt:DK49_1223
ko:K01867	babt:DK49_2008
ko:K03980	babt:DK49_2009
ko:K00990	babt:DK49_2010
ko:K00029	babt:DK49_2011
ko:K00029	babt:DK49_2012
ko:K03555	babt:DK49_2013
ko:K03101	babt:DK49_2015
ko:K03437	babt:DK49_2016
ko:K06969	babt:DK49_2017
ko:K05788	babt:DK49_2019
ko:K04773	babt:DK49_2020
ko:K11719	babt:DK49_2021
ko:K09774	babt:DK49_2022
ko:K06861	babt:DK49_2023
ko:K03092	babt:DK49_2024
ko:K02806	babt:DK49_2026
ko:K10773	babt:DK49_2030
ko:K06203	babt:DK49_2031
ko:K03687	babt:DK49_2034
ko:K03705	babt:DK49_2035
ko:K00989	babt:DK49_2036
ko:K02428	babt:DK49_2039
ko:K07056	babt:DK49_2041
ko:K07460	babt:DK49_2042
ko:K02302	babt:DK49_2043
ko:K00381	babt:DK49_2045
ko:K00390	babt:DK49_2046
ko:K00567	babt:DK49_2049
ko:K00548	babt:DK49_2052
ko:K07782	babt:DK49_2053
ko:K16871	babt:DK49_2054
ko:K00957	babt:DK49_2055
ko:K00955	babt:DK49_2056
ko:K01082	babt:DK49_2057
ko:K03427	babt:DK49_2854
ko:K01154	babt:DK49_2855
ko:K01153	babt:DK49_2856
ko:K07043	babt:DK49_2857
ko:K17202	babt:DK49_2866
ko:K17203	babt:DK49_2867
ko:K17204	babt:DK49_2868
ko:K00862	babt:DK49_2870
ko:K01624	babt:DK49_2877
ko:K03841	babt:DK49_2878
ko:K06207	babt:DK49_2881
ko:K06213	babt:DK49_2882
ko:K01284	babt:DK49_2883
ko:K01644	babt:DK49_2886
ko:K01704	babt:DK49_2887
ko:K00133	babt:DK49_2891
ko:K10778	babt:DK49_2893
ko:K00052	babt:DK49_2894
ko:K09791	babt:DK49_2895
ko:K07157	babt:DK49_2897
ko:K05838	babt:DK49_2898
ko:K14222	babt:DK49_2645
ko:K14220	babt:DK49_2652
ko:K02025	babt:DK49_17
ko:K02026	babt:DK49_18
ko:K10112	babt:DK49_19
ko:K03534	babt:DK49_21
ko:K07007	babt:DK49_801
ko:K16053	babt:DK49_802
ko:K00769	babt:DK49_806
ko:K03809	babt:DK49_809
ko:K01754	babt:DK49_811
ko:K11927	babt:DK49_812
ko:K01738	babt:DK49_813
ko:K01011	babt:DK49_815
ko:K18118	babt:DK49_818
ko:K03543	babt:DK49_821
ko:K13953	babt:DK49_824
ko:K13953	babt:DK49_825
ko:K14347	babt:DK49_827
ko:K01784	babt:DK49_828
ko:K04765	babt:DK49_829
ko:K01868	babt:DK49_833
ko:K08998	babt:DK49_835
ko:K01495	babt:DK49_837
ko:K01496	babt:DK49_838
ko:K07001	babt:DK49_839
ko:K00252	babt:DK49_848
ko:K18138	babt:DK49_852
ko:K03585	babt:DK49_853
ko:K00773	babt:DK49_855
ko:K07568	babt:DK49_856
ko:K03760	babt:DK49_1644
ko:K02030	babt:DK49_1648
ko:K02029	babt:DK49_1649
ko:K02029	babt:DK49_1650
ko:K02028	babt:DK49_1651
ko:K01480	babt:DK49_1652
ko:K01744	babt:DK49_1653
ko:K09972	babt:DK49_1654
ko:K01424	babt:DK49_1655
ko:K01424	babt:DK49_1657
ko:K01761	babt:DK49_1659
ko:K01738	babt:DK49_1661
ko:K00074	babt:DK49_1662
ko:K03522	babt:DK49_1663
ko:K03521	babt:DK49_1664
ko:K06920	babt:DK49_1665
ko:K01737	babt:DK49_1666
ko:K10026	babt:DK49_1667
ko:K07058	babt:DK49_1671
ko:K09768	babt:DK49_1672
ko:K01755	babt:DK49_1674
ko:K01586	babt:DK49_1676
ko:K00760	babt:DK49_1678
ko:K00817	babt:DK49_1680
ko:K00220	babt:DK49_1682
ko:K07232	babt:DK49_1683
ko:K02221	babt:DK49_1685
ko:K01507	babt:DK49_1686
ko:K00655	babt:DK49_1687
ko:K09811	babt:DK49_1689
ko:K09812	babt:DK49_1690
ko:K06188	babt:DK49_1692
ko:K01142	babt:DK49_1694
ko:K00864	babt:DK49_2483
ko:K08224	babt:DK49_2485
ko:K07305	babt:DK49_2488
ko:K00626	babt:DK49_2489
ko:K01895	babt:DK49_2491
ko:K01895	babt:DK49_2492
ko:K00058	babt:DK49_2494
ko:K01462	babt:DK49_2495
ko:K09781	babt:DK49_2496
ko:K07112	babt:DK49_2498
ko:K07112	babt:DK49_2499
ko:K01993	babt:DK49_2503
ko:K01990	babt:DK49_2504
ko:K01990	babt:DK49_2505
ko:K02050	babt:DK49_2508
ko:K02049	babt:DK49_2509
ko:K02051	babt:DK49_2510
ko:K03885	babt:DK49_2519
ko:K06996	babt:DK49_2521
ko:K03310	babt:DK49_2523
ko:K07273	babt:DK49_2524
ko:K00651	babt:DK49_2525
ko:K00648	babt:DK49_2527
ko:K00833	babt:DK49_2528
ko:K01935	babt:DK49_2529
ko:K00652	babt:DK49_2530
ko:K01012	babt:DK49_2531
ko:K03831	babt:DK49_2533
ko:K07078	babt:DK49_2534
ko:K02939	babt:DK49_249
ko:K02963	babt:DK49_251
ko:K02990	babt:DK49_252
ko:K00645	babt:DK49_253
ko:K00059	babt:DK49_254
ko:K02078	babt:DK49_255
ko:K09458	babt:DK49_256
ko:K07082	babt:DK49_257
ko:K00942	babt:DK49_259
ko:K03568	babt:DK49_260
ko:K02275	babt:DK49_262
ko:K02274	babt:DK49_263
ko:K02258	babt:DK49_265
ko:K02258	babt:DK49_266
ko:K02276	babt:DK49_267
ko:K14998	babt:DK49_269
ko:K03527	babt:DK49_270
ko:K02204	babt:DK49_271
ko:K03469	babt:DK49_272
ko:K07735	babt:DK49_275
ko:K03790	babt:DK49_277
ko:K01733	babt:DK49_279
ko:K03281	babt:DK49_284
ko:K01560	babt:DK49_286
ko:K03575	babt:DK49_287
ko:K03529	babt:DK49_291
ko:K16264	babt:DK49_292
ko:K06996	babt:DK49_293
ko:K01006	babt:DK49_294
ko:K03523	babt:DK49_300
ko:K01483	babt:DK49_301
ko:K07127	babt:DK49_302
ko:K12257	babt:DK49_1074
ko:K03455	babt:DK49_1075
ko:K07027	babt:DK49_1076
ko:K07002	babt:DK49_1077
ko:K02047	babt:DK49_1078
ko:K02046	babt:DK49_1079
ko:K02048	babt:DK49_1080
ko:K02431	babt:DK49_1086
ko:K02056	babt:DK49_1088
ko:K02057	babt:DK49_1089
ko:K02057	babt:DK49_1090
ko:K02058	babt:DK49_1091
ko:K02013	babt:DK49_1092
ko:K02015	babt:DK49_1094
ko:K02016	babt:DK49_1095
ko:K16092	babt:DK49_1096
ko:K01993	babt:DK49_1100
ko:K01430	babt:DK49_1103
ko:K01429	babt:DK49_1104
ko:K01428	babt:DK49_1105
ko:K03188	babt:DK49_1106
ko:K03189	babt:DK49_1107
ko:K03190	babt:DK49_1108
ko:K08717	babt:DK49_1109
ko:K02009	babt:DK49_1110
ko:K02007	babt:DK49_1111
ko:K16915	babt:DK49_1112
ko:K02008	babt:DK49_1113
ko:K02006	babt:DK49_1114
ko:K06199	babt:DK49_1116
ko:K06998	babt:DK49_1120
ko:K09747	babt:DK49_1904
ko:K02343	babt:DK49_1905
ko:K03426	babt:DK49_1908
ko:K04518	babt:DK49_1907
ko:K00979	babt:DK49_1909
ko:K08738	babt:DK49_1910
ko:K02297	babt:DK49_1912
ko:K02298	babt:DK49_1913
ko:K02298	babt:DK49_1914
ko:K02299	babt:DK49_1915
ko:K02300	babt:DK49_1916
ko:K07278	babt:DK49_1918
ko:K09800	babt:DK49_1919
ko:K01759	babt:DK49_1925
ko:K03593	babt:DK49_1926
ko:K01835	babt:DK49_1927
ko:K06889	babt:DK49_1929
ko:K16165	babt:DK49_1931
ko:K11068	babt:DK49_1936
ko:K14162	babt:DK49_1937
ko:K14161	babt:DK49_1938
ko:K14160	babt:DK49_1939
ko:K01940	babt:DK49_1942
ko:K06941	babt:DK49_1945
ko:K01724	babt:DK49_1949
ko:K01104	babt:DK49_1952
ko:K01975	babt:DK49_1951
ko:K10804	babt:DK49_1953
ko:K02003	babt:DK49_1954
ko:K02004	babt:DK49_1955
ko:K00281	babt:DK49_2744
ko:K02437	babt:DK49_2745
ko:K00605	babt:DK49_2746
ko:K01915	babt:DK49_2751
ko:K02002	babt:DK49_2755
ko:K02001	babt:DK49_2756
ko:K02000	babt:DK49_2757
ko:K10112	babt:DK49_2762
ko:K02027	babt:DK49_2764
ko:K02025	babt:DK49_2765
ko:K02026	babt:DK49_2766
ko:K02013	babt:DK49_2769
ko:K02015	babt:DK49_2770
ko:K02016	babt:DK49_2771
ko:K06075	babt:DK49_2775
ko:K09761	babt:DK49_2776
ko:K01919	babt:DK49_2777
ko:K03601	babt:DK49_2778
ko:K01915	babt:DK49_2782
ko:K09471	babt:DK49_2784
ko:K00059	babt:DK49_2791
ko:K00036	babt:DK49_2792
ko:K01057	babt:DK49_2793
ko:K01690	babt:DK49_2794
ko:K01491	babt:DK49_2795
ko:K00937	babt:DK49_527
ko:K01524	babt:DK49_528
ko:K03684	babt:DK49_529
ko:K01876	babt:DK49_530
ko:K02621	babt:DK49_532
ko:K01698	babt:DK49_535
ko:K00600	babt:DK49_540
ko:K07738	babt:DK49_541
ko:K11752	babt:DK49_542
ko:K00793	babt:DK49_543
ko:K00794	babt:DK49_544
ko:K03625	babt:DK49_545
ko:K15987	babt:DK49_546
ko:K17662	babt:DK49_548
ko:K03621	babt:DK49_550
ko:K00648	babt:DK49_551
ko:K04764	babt:DK49_552
ko:K01991	babt:DK49_558
ko:K02259	babt:DK49_561
ko:K00145	babt:DK49_562
ko:K01480	babt:DK49_563
ko:K02996	babt:DK49_564
ko:K02871	babt:DK49_565
ko:K00330	babt:DK49_577
ko:K00331	babt:DK49_578
ko:K00332	babt:DK49_579
ko:K00333	babt:DK49_580
ko:K11074	babt:DK49_1332
ko:K11075	babt:DK49_1334
ko:K11076	babt:DK49_1335
ko:K11073	babt:DK49_1336
