ko:K06896	stu:STH8232_0285
ko:K00059	stu:STH8232_0495
ko:K03436	stu:STH8232_0507
ko:K00882	stu:STH8232_0508
ko:K00383	stu:STH8232_0510
ko:K00974	stu:STH8232_0527
ko:K06147	stu:STH8232_0538
ko:K02564	stu:STH8232_0719
ko:K07025	stu:STH8232_1529
ko:K02004	stu:STH8232_1549
ko:K03294	stu:STH8232_1564
ko:K07243	stu:STH8232_1221
ko:K12556	stu:STH8232_1959
ko:K01424	stu:STH8232_1986
ko:K02808	stu:STH8232_2000
ko:K02809	stu:STH8232_2000
ko:K02810	stu:STH8232_2000
ko:K04516	stu:STH8232_1381
ko:K01784	stu:STH8232_1355
ko:K03930	stu:STH8232_1388
ko:K05833	stu:STH8232_1390
ko:K05832	stu:STH8232_1391
ko:K01989	stu:STH8232_1392
ko:K01104	stu:STH8232_2239
ko:K00639	stu:STH8232_0144
ko:K01607	stu:STH8232_0164
ko:K13953	stu:STH8232_1072
ko:K09787	stu:STH8232_1091
ko:K07105	stu:STH8232_1094
ko:K01480	stu:STH8232_1121
ko:K03316	stu:STH8232_1894
ko:K07177	stu:STH8232_1898
ko:K01674	stu:STH8232_1909
ko:K01281	stu:STH8232_1920
ko:K07706	stu:STH8232_1939
ko:K07258	stu:STH8232_0121
ko:K09762	stu:STH8232_1025
ko:K09815	stu:STH8232_1053
ko:K02342	stu:STH8232_1844
ko:K04086	stu:STH8232_1859
ko:K06948	stu:STH8232_1866
ko:K02433	stu:STH8232_1871
ko:K07304	stu:STH8232_1876
ko:K03386	stu:STH8232_0112
ko:K03708	stu:STH8232_0116
ko:K14226	stu:STH8232_t0093
ko:K12554	stu:STH8232_0785
ko:K03697	stu:STH8232_0791
ko:K03488	stu:STH8232_0806
ko:K03488	stu:STH8232_0808
ko:K10563	stu:STH8232_0812
ko:K03768	stu:STH8232_0819
ko:K07570	stu:STH8232_0820
ko:K04517	stu:STH8232_0836
ko:K00016	stu:STH8232_0838
ko:K11618	stu:STH8232_1645
ko:K11617	stu:STH8232_1646
ko:K15582	stu:STH8232_1666
ko:K14230	stu:STH8232_t0035
ko:K15051	stu:STH8232_0905
ko:K02236	stu:STH8232_0917
ko:K09825	stu:STH8232_0919
ko:K00845	stu:STH8232_0921
ko:K11209	stu:STH8232_0941
ko:K01488	stu:STH8232_0942
ko:K06286	stu:STH8232_1740
ko:K00567	stu:STH8232_1747
ko:K00058	stu:STH8232_1749
ko:K01759	stu:STH8232_1754
ko:K11069	stu:STH8232_1759
ko:K11071	stu:STH8232_1761
ko:K11072	stu:STH8232_1762
ko:K01176	stu:STH8232_1766
ko:K16509	stu:STH8232_1199
ko:K16214	stu:STH8232_0686
ko:K14233	stu:STH8232_t0034
ko:K14233	stu:STH8232_t0088
ko:K03699	stu:STH8232_1890
ko:K14231	stu:STH8232_t0036
ko:K14231	stu:STH8232_t0090
ko:K14224	stu:STH8232_t0087
ko:K14224	stu:STH8232_t0480
ko:K14224	stu:STH8232_t1643
ko:K14224	stu:STH8232_t2332
ko:K14236	stu:STH8232_t0091
ko:K14236	stu:STH8232_t0777
ko:K16511	stu:STH8232_0252
ko:K00841	stu:STH8232_0044
ko:K06147	stu:STH8232_0953
ko:K03342	stu:STH8232_0966
ko:K01835	stu:STH8232_0970
ko:K14983	stu:STH8232_0976
ko:K14982	stu:STH8232_0980
ko:K11069	stu:STH8232_0985
ko:K01361	stu:STH8232_0989
ko:K00867	stu:STH8232_0996
ko:K00564	stu:STH8232_0997
ko:K01619	stu:STH8232_1002
ko:K01489	stu:STH8232_1003
ko:K02056	stu:STH8232_1005
ko:K02238	stu:STH8232_1789
ko:K01977	stu:STH8232_r0471
ko:K01977	stu:STH8232_r0208
ko:K01977	stu:STH8232_r0195
ko:K01977	stu:STH8232_r0019
ko:K01977	stu:STH8232_r0080
ko:K01977	stu:STH8232_r2081
ko:K16264	stu:STH8232_1132
ko:K12296	stu:STH8232_0219
ko:K03048	stu:STH8232_0223
ko:K01119	stu:STH8232_0229
ko:K03647	stu:STH8232_0230
ko:K04518	stu:STH8232_0841
ko:K11041	stu:STH8232_0843
ko:K09952	stu:STH8232_0853
ko:K03095	stu:STH8232_0861
ko:K06023	stu:STH8232_0863
ko:K07025	stu:STH8232_0883
ko:K03976	stu:STH8232_0886
ko:K07273	stu:STH8232_0887
ko:K00625	stu:STH8232_1681
ko:K07816	stu:STH8232_1684
ko:K07272	stu:STH8232_1694
ko:K12997	stu:STH8232_1698
ko:K12996	stu:STH8232_1699
ko:K09153	stu:STH8232_1703
ko:K12999	stu:STH8232_1709
ko:K03574	stu:STH8232_1719
ko:K07052	stu:STH8232_1723
ko:K07052	stu:STH8232_1725
ko:K06183	stu:STH8232_1731
ko:K14237	stu:STH8232_t0023
ko:K14237	stu:STH8232_t0199
ko:K14237	stu:STH8232_t0084
ko:K14237	stu:STH8232_t0475
ko:K15583	stu:STH8232_1665
ko:K14221	stu:STH8232_t0024
ko:K14221	stu:STH8232_t0200
ko:K14221	stu:STH8232_t0476
ko:K14234	stu:STH8232_t0027
ko:K14234	stu:STH8232_t0203
ko:K14234	stu:STH8232_t0479
ko:K14230	stu:STH8232_t0033
ko:K14225	stu:STH8232_t0037
ko:K14225	stu:STH8232_t0085
ko:K14220	stu:STH8232_t0212
ko:K14220	stu:STH8232_t2331
ko:K14220	stu:STH8232_t2077
ko:K14222	stu:STH8232_t0110
ko:K01154	stu:STH8232_1045
ko:K16169	stu:STH8232_1555
ko:K14235	stu:STH8232_t0092
ko:K10823	stu:STH8232_0272
ko:K10823	stu:STH8232_1664
ko:K14228	stu:STH8232_t0478
ko:K05340	stu:STH8232_1048
ko:K16786	stu:STH8232_2319
ko:K16787	stu:STH8232_2318
ko:K16785	stu:STH8232_2317
ko:K16788	stu:STH8232_1093
ko:K16789	stu:STH8232_1808
ko:K15583	stu:STH8232_0271
ko:K15583	stu:STH8232_0270
ko:K15583	stu:STH8232_0269
ko:K15583	stu:STH8232_0268
ko:K15582	stu:STH8232_0267
ko:K15582	stu:STH8232_0266
ko:K15582	stu:STH8232_0265
ko:K15582	stu:STH8232_0264
ko:K01985	stu:STH8232_r0083
ko:K01985	stu:STH8232_r0198
ko:K01985	stu:STH8232_r0474
ko:K01985	stu:STH8232_r0022
ko:K11050	stu:STH8232_0147
ko:K18830	stu:STH8232_0685
ko:K16926	stu:STH8232_2114
ko:K14228	stu:STH8232_t0095
ko:K14233	stu:STH8232_t0039
ko:K14219	stu:STH8232_t2333
ko:K14234	stu:STH8232_t1745
ko:K14233	stu:STH8232_t1849
ko:K14228	stu:STH8232_t2068
ko:K14228	stu:STH8232_t2201
ko:K14229	stu:STH8232_2261
ko:K00131	stu:STH8232_1487
ko:K10009	stu:STH8232_1175
ko:K14230	stu:STH8232_t0089
ko:K14223	stu:STH8232_t0094
ko:K14223	stu:STH8232_t1644
ko:K14223	stu:STH8232_t0779
ko:K02030	stu:STH8232_0394
ko:K02030	stu:STH8232_1064
ko:K02030	stu:STH8232_1905
ko:K14229	stu:STH8232_t0025
ko:K14229	stu:STH8232_t0201
ko:K14229	stu:STH8232_t0477
ko:K14225	stu:STH8232_t0028
ko:K14225	stu:STH8232_t0204
ko:K00355	stu:STH8232_0152
ko:K14218	stu:STH8232_t0020
ko:K14218	stu:STH8232_t0472
ko:K14218	stu:STH8232_t0081
ko:K14218	stu:STH8232_t0209
ko:K14218	stu:STH8232_t2080
ko:K14218	stu:STH8232_t0196
ko:K16785	stu:STH8232_0405
ko:K16786	stu:STH8232_0404
ko:K16787	stu:STH8232_0404
ko:K02007	stu:STH8232_0384
ko:K11991	stu:STH8232_2126
ko:K14219	stu:STH8232_t0781
ko:K14219	stu:STH8232_t1378
ko:K01190	stu:STH8232_1620
ko:K08986	stu:STH8232_0857
ko:K16868	stu:STH8232_1773
ko:K16924	stu:STH8232_0403
ko:K02008	stu:STH8232_0385
ko:K02006	stu:STH8232_0386
ko:K03191	stu:STH8232_0376
ko:K14230	stu:STH8232_t0032
ko:K14219	stu:STH8232_t0030
ko:K14219	stu:STH8232_t0206
ko:K16898	stu:STH8232_1976
ko:K16899	stu:STH8232_1977
ko:K14227	stu:STH8232_t0038
ko:K14227	stu:STH8232_t0086
ko:K01980	stu:STH8232_r0021
ko:K01980	stu:STH8232_r0197
ko:K01980	stu:STH8232_r0473
ko:K01980	stu:STH8232_r0082
ko:K01980	stu:STH8232_r0210
ko:K01980	stu:STH8232_r2079
ko:K14228	stu:STH8232_t0026
ko:K14228	stu:STH8232_t0202
ko:K14228	stu:STH8232_t0029
ko:K14228	stu:STH8232_t0205
ko:K01985	stu:STH8232_r0211
ko:K01985	stu:STH8232_r2078
ko:K03574	stu:STH8232_0790
ko:K11070	stu:STH8232_1760
ko:K02030	stu:STH8232_0388
ko:K01738	stu:STH8232_1039
ko:K01760	stu:STH8232_1040
ko:K02029	stu:STH8232_1726
ko:K02030	stu:STH8232_1726
ko:K01990	stu:STH8232_1696
ko:K01992	stu:STH8232_1973
ko:K01992	stu:STH8232_1852
ko:K01992	stu:STH8232_1697
ko:K01990	stu:STH8232_1662
ko:K01990	stu:STH8232_1853
ko:K01990	stu:STH8232_1974
ko:K02028	stu:STH8232_1903
ko:K02028	stu:STH8232_1063
ko:K03574	stu:STH8232_0226
ko:K03574	stu:STH8232_0876
ko:K03574	stu:STH8232_1326
ko:K02028	stu:STH8232_1727
ko:K01598	stu:STH8232_0972
ko:K00951	stu:STH8232_0231
ko:K01537	stu:STH8232_1334
ko:K02030	stu:STH8232_1715
ko:K02030	stu:STH8232_1717
ko:K02030	stu:STH8232_1718
ko:K01989	stu:STH8232_0294
ko:K05832	stu:STH8232_0294
ko:K17076	stu:STH8232_0248
ko:K02029	stu:STH8232_0794
ko:K17073	stu:STH8232_0249
ko:K17074	stu:STH8232_0249
ko:K10947	stu:STH8232_2299
ko:K01990	stu:STH8232_0724
ko:K01990	stu:STH8232_1534
ko:K01990	stu:STH8232_1797
ko:K01992	stu:STH8232_0725
ko:K01992	stu:STH8232_1533
ko:K17686	stu:STH8232_1826
ko:K07318	stu:STH8232_0850
ko:K00226	stu:STH8232_1412
ko:K17828	stu:STH8232_1158
ko:K03767	stu:STH8232_0629
ko:K06518	stu:STH8232_1744
ko:K01467	stu:STH8232_0010
ko:K07284	stu:STH8232_1502
ko:K01658	stu:STH8232_1833
ko:K12574	stu:STH8232_2043
ko:K01156	stu:STH8232_1075
ko:K12574	stu:STH8232_1389
ko:K01071	stu:STH8232_1459
ko:K02614	stu:STH8232_1734
ko:K03366	stu:STH8232_1110
ko:K06148	stu:STH8232_0952
ko:K07491	stu:STH8232_2051
ko:K09155	stu:STH8232_1195
ko:K02030	stu:STH8232_0387
ko:K01223	stu:STH8232_1259
ko:K00053	stu:STH8232_2155
ko:K07491	stu:STH8232_1313
ko:K07491	stu:STH8232_1314
ko:K01226	stu:STH8232_2175
ko:K15051	stu:STH8232_0588
ko:K02755	stu:STH8232_0626
ko:K02756	stu:STH8232_0626
ko:K02757	stu:STH8232_0626
ko:K02755	stu:STH8232_0627
ko:K02756	stu:STH8232_0627
ko:K02757	stu:STH8232_0627
ko:K00868	stu:STH8232_1509
ko:K01586	stu:STH8232_0696
ko:K02004	stu:STH8232_0707
ko:K02004	stu:STH8232_0710
ko:K01990	stu:STH8232_1545
ko:K16169	stu:STH8232_1556
ko:K01784	stu:STH8232_1576
ko:K10823	stu:STH8232_1673
ko:K10823	stu:STH8232_1674
ko:K03424	stu:STH8232_1675
ko:K03702	stu:STH8232_1721
ko:K07566	stu:STH8232_0948
ko:K11070	stu:STH8232_0984
ko:K00756	stu:STH8232_0998
ko:K01619	stu:STH8232_1001
ko:K07258	stu:STH8232_0118
ko:K07258	stu:STH8232_0120
ko:K08659	stu:STH8232_1027
ko:K03704	stu:STH8232_1028
ko:K01153	stu:STH8232_1036
ko:K01153	stu:STH8232_1037
ko:K03427	stu:STH8232_1047
ko:K13953	stu:STH8232_1070
ko:K03366	stu:STH8232_1112
ko:K07052	stu:STH8232_1918
ko:K03742	stu:STH8232_0076
ko:K18474	stu:STH8232_0489
ko:K16235	stu:STH8232_0767
ko:K18682	stu:STH8232_0504
ko:K18672	stu:STH8232_1478
ko:K18692	stu:STH8232_1957
ko:K18888	stu:STH8232_0717
ko:K07316	stu:STH8232_1077
ko:K03790	stu:STH8232_1787
ko:K06147	stu:STH8232_0537
ko:K18887	stu:STH8232_0716
ko:K03111	stu:STH8232_2018
ko:K03111	stu:STH8232_2127
ko:K03497	stu:STH8232_2337
ko:K03205	stu:STH8232_0666
ko:K03502	stu:STH8232_1585
ko:K07467	stu:STH8232_0099
ko:K03502	stu:STH8232_1065
ko:K03502	stu:STH8232_1066
ko:K07029	stu:STH8232_1781
ko:K07483	stu:STH8232_1271
ko:K01226	stu:STH8232_2173
ko:K07498	stu:STH8232_0700
ko:K19002	stu:STH8232_0751
ko:K18979	stu:STH8232_1331
ko:K13052	stu:STH8232_0008
ko:K02851	stu:STH8232_0253
ko:K19005	stu:STH8232_0830
ko:K07498	stu:STH8232_1267
ko:K07498	stu:STH8232_0180
ko:K09951	stu:STH8232_0855
ko:K02777	stu:STH8232_0284
ko:K19139	stu:STH8232_1165
ko:K19138	stu:STH8232_1163
ko:K19140	stu:STH8232_1166
ko:K15342	stu:STH8232_0854
ko:K01710	stu:STH8232_1465
ko:K09951	stu:STH8232_1160
ko:K03722	stu:STH8232_1009
ko:K07497	stu:STH8232_0705
ko:K19302	stu:STH8232_0362
ko:K12952	stu:STH8232_1837
ko:K04771	stu:STH8232_2336
ko:K08643	stu:STH8232_1630
ko:K05988	stu:STH8232_0235
ko:K06881	stu:STH8232_0940
ko:K02796	stu:STH8232_0427
ko:K00887	stu:STH8232_0810
ko:K07497	stu:STH8232_1613
ko:K21636	stu:STH8232_2268
ko:K20074	stu:STH8232_1652
ko:K12132	stu:STH8232_1651
ko:K20073	stu:STH8232_0329
ko:K20107	stu:STH8232_0283
ko:K20108	stu:STH8232_0283
ko:K15580	stu:STH8232_2093
ko:K15580	stu:STH8232_1668
ko:K20341	stu:STH8232_1929
ko:K20345	stu:STH8232_1941
ko:K20344	stu:STH8232_0369
ko:K00525	stu:STH8232_1495
ko:K20487	stu:STH8232_1103
ko:K20488	stu:STH8232_1102
ko:K20343	stu:STH8232_1940
ko:K20344	stu:STH8232_1942
ko:K20344	stu:STH8232_1943
ko:K20342	stu:STH8232_0364
ko:K20344	stu:STH8232_0365
ko:K18889	stu:STH8232_1947
ko:K18890	stu:STH8232_1946
ko:K11937	stu:STH8232_1129
ko:K07483	stu:STH8232_1601
ko:K21064	stu:STH8232_0431
ko:K21011	stu:STH8232_1362
ko:K21012	stu:STH8232_1361
ko:K08968	stu:STH8232_1373
ko:K00821	stu:STH8232_0578
ko:K01493	stu:STH8232_2006
ko:K01520	stu:STH8232_2104
ko:K04068	stu:STH8232_2272
ko:K06217	stu:STH8232_0552
ko:K02314	stu:STH8232_2308
ko:K00558	stu:STH8232_0659
ko:K06191	stu:STH8232_1494
ko:K00560	stu:STH8232_0762
ko:K00287	stu:STH8232_0763
ko:K03546	stu:STH8232_1618
ko:K02316	stu:STH8232_1712
ko:K00857	stu:STH8232_0943
ko:K03553	stu:STH8232_0077
ko:K01101	stu:STH8232_1458
ko:K02335	stu:STH8232_2030
ko:K00571	stu:STH8232_2141
ko:K00526	stu:STH8232_1496
ko:K07497	stu:STH8232_0300
ko:K07497	stu:STH8232_2054
ko:K07497	stu:STH8232_2055
ko:K07497	stu:STH8232_0338
ko:K07497	stu:STH8232_0422
ko:K07497	stu:STH8232_0423
ko:K07497	stu:STH8232_1270
ko:K07025	stu:STH8232_2121
ko:K07497	stu:STH8232_1449
ko:K07497	stu:STH8232_1450
ko:K07497	stu:STH8232_1627
ko:K07497	stu:STH8232_1628
ko:K07497	stu:STH8232_1677
ko:K07497	stu:STH8232_0017
ko:K07497	stu:STH8232_0018
ko:K07497	stu:STH8232_0055
ko:K07497	stu:STH8232_0056
ko:K07497	stu:STH8232_0961
ko:K07497	stu:STH8232_0962
ko:K07497	stu:STH8232_1058
ko:K21471	stu:STH8232_0042
ko:K21567	stu:STH8232_1640
ko:K21977	stu:STH8232_0973
ko:K22044	stu:STH8232_0221
ko:K03595	stu:STH8232_0811
ko:K17758	stu:STH8232_0803
ko:K13566	stu:STH8232_0573
ko:K22441	stu:STH8232_1518
ko:K22457	stu:STH8232_1011
