ko:K12978	fpm:LA56_1647
ko:K08309	fpm:LA56_1829
ko:K08309	fpm:LA56_1830
ko:K16052	fpm:LA56_1834
ko:K02337	fpm:LA56_1835
ko:K07461	fpm:LA56_1836
ko:K01462	fpm:LA56_1842
ko:K09808	fpm:LA56_1844
ko:K09810	fpm:LA56_1845
ko:K00605	fpm:LA56_1847
ko:K02437	fpm:LA56_1848
ko:K00282	fpm:LA56_1849
ko:K00283	fpm:LA56_1850
ko:K07052	fpm:LA56_1851
ko:K01740	fpm:LA56_1853
ko:K00651	fpm:LA56_1854
ko:K00014	fpm:LA56_1857
ko:K00700	fpm:LA56_1859
ko:K01835	fpm:LA56_1860
ko:K00975	fpm:LA56_1861
ko:K00703	fpm:LA56_1862
ko:K00688	fpm:LA56_1863
ko:K00705	fpm:LA56_1864
ko:K03270	fpm:LA56_461
ko:K01507	fpm:LA56_462
ko:K07258	fpm:LA56_463
ko:K09158	fpm:LA56_464
ko:K03801	fpm:LA56_465
ko:K03086	fpm:LA56_467
ko:K18552	fpm:LA56_1282
ko:K02471	fpm:LA56_1283
ko:K03979	fpm:LA56_1286
ko:K07667	fpm:LA56_1288
ko:K07646	fpm:LA56_1290
ko:K01548	fpm:LA56_1291
ko:K01547	fpm:LA56_1292
ko:K01546	fpm:LA56_1293
ko:K01118	fpm:LA56_1294
ko:K07784	fpm:LA56_1295
ko:K00812	fpm:LA56_1302
ko:K01586	fpm:LA56_1303
ko:K00674	fpm:LA56_1304
ko:K01714	fpm:LA56_1305
ko:K00215	fpm:LA56_1306
ko:K00928	fpm:LA56_1307
ko:K01259	fpm:LA56_1308
ko:K03424	fpm:LA56_1309
ko:K03811	fpm:LA56_1310
ko:K03281	fpm:LA56_1314
ko:K01299	fpm:LA56_1315
ko:K01696	fpm:LA56_1316
ko:K01695	fpm:LA56_1318
ko:K03811	fpm:LA56_1317
ko:K03695	fpm:LA56_1319
ko:K08289	fpm:LA56_1322
ko:K05524	fpm:LA56_1325
ko:K00655	fpm:LA56_1326
ko:K00655	fpm:LA56_1327
ko:K03313	fpm:LA56_1329
ko:K12262	fpm:LA56_1331
ko:K04651	fpm:LA56_1333
ko:K04652	fpm:LA56_1334
ko:K03564	fpm:LA56_1335
ko:K04656	fpm:LA56_1336
ko:K04653	fpm:LA56_1337
ko:K01878	fpm:LA56_1867
ko:K11900	fpm:LA56_803
ko:K11901	fpm:LA56_804
ko:K09001	fpm:LA56_806
ko:K01194	fpm:LA56_808
ko:K01624	fpm:LA56_809
ko:K00873	fpm:LA56_810
ko:K00927	fpm:LA56_811
ko:K00134	fpm:LA56_812
ko:K00615	fpm:LA56_813
ko:K07040	fpm:LA56_814
ko:K02911	fpm:LA56_815
ko:K03621	fpm:LA56_816
ko:K00648	fpm:LA56_817
ko:K00645	fpm:LA56_818
ko:K00059	fpm:LA56_819
ko:K02078	fpm:LA56_820
ko:K09458	fpm:LA56_821
ko:K06141	fpm:LA56_824
ko:K01092	fpm:LA56_826
ko:K03500	fpm:LA56_828
ko:K01972	fpm:LA56_830
ko:K00606	fpm:LA56_832
ko:K01918	fpm:LA56_833
ko:K01579	fpm:LA56_834
ko:K03525	fpm:LA56_835
ko:K03581	fpm:LA56_836
ko:K03582	fpm:LA56_837
ko:K01652	fpm:LA56_838
ko:K07127	fpm:LA56_839
ko:K01442	fpm:LA56_841
ko:K03583	fpm:LA56_843
ko:K07320	fpm:LA56_1662
ko:K07552	fpm:LA56_1663
ko:K01775	fpm:LA56_1665
ko:K00568	fpm:LA56_1672
ko:K04754	fpm:LA56_1673
ko:K07122	fpm:LA56_1675
ko:K07323	fpm:LA56_1676
ko:K02067	fpm:LA56_1677
ko:K02066	fpm:LA56_1678
ko:K02065	fpm:LA56_1679
ko:K03608	fpm:LA56_1680
ko:K03609	fpm:LA56_1681
ko:K03610	fpm:LA56_1682
ko:K02913	fpm:LA56_1683
ko:K02902	fpm:LA56_1684
ko:K03655	fpm:LA56_1686
ko:K01676	fpm:LA56_1688
ko:K01759	fpm:LA56_1690
ko:K03574	fpm:LA56_1691
ko:K00537	fpm:LA56_1693
ko:K06901	fpm:LA56_1695
ko:K09758	fpm:LA56_1696
ko:K04096	fpm:LA56_1698
ko:K03774	fpm:LA56_1700
ko:K03527	fpm:LA56_1701
ko:K06208	fpm:LA56_1702
ko:K17103	fpm:LA56_1703
ko:K03562	fpm:LA56_1705
ko:K03560	fpm:LA56_1706
ko:K03646	fpm:LA56_1707
ko:K03641	fpm:LA56_1708
ko:K03640	fpm:LA56_1710
ko:K14441	fpm:LA56_1711
ko:K01669	fpm:LA56_1714
ko:K06876	fpm:LA56_1715
ko:K16013	fpm:LA56_132
ko:K00847	fpm:LA56_137
ko:K01875	fpm:LA56_138
ko:K15633	fpm:LA56_139
ko:K01489	fpm:LA56_143
ko:K00757	fpm:LA56_144
ko:K06169	fpm:LA56_145
ko:K08316	fpm:LA56_147
ko:K07263	fpm:LA56_149
ko:K11720	fpm:LA56_150
ko:K07091	fpm:LA56_151
ko:K01255	fpm:LA56_152
ko:K00088	fpm:LA56_153
ko:K00949	fpm:LA56_154
ko:K01810	fpm:LA56_155
ko:K08084	fpm:LA56_156
ko:K03624	fpm:LA56_157
ko:K03701	fpm:LA56_158
ko:K03798	fpm:LA56_160
ko:K03784	fpm:LA56_161
ko:K03070	fpm:LA56_164
ko:K01246	fpm:LA56_166
ko:K02888	fpm:LA56_167
ko:K02899	fpm:LA56_168
ko:K11074	fpm:LA56_170
ko:K11075	fpm:LA56_171
ko:K11076	fpm:LA56_172
ko:K01079	fpm:LA56_175
ko:K09799	fpm:LA56_174
ko:K01775	fpm:LA56_179
ko:K04518	fpm:LA56_181
ko:K01752	fpm:LA56_184
ko:K11717	fpm:LA56_185
ko:K13628	fpm:LA56_186
ko:K02472	fpm:LA56_1020
ko:K01791	fpm:LA56_1021
ko:K09688	fpm:LA56_1023
ko:K09689	fpm:LA56_1024
ko:K10107	fpm:LA56_1025
ko:K02535	fpm:LA56_1026
ko:K07265	fpm:LA56_1030
ko:K00604	fpm:LA56_1032
ko:K00859	fpm:LA56_1037
ko:K01867	fpm:LA56_1041
ko:K03316	fpm:LA56_1044
ko:K07106	fpm:LA56_1046
ko:K01962	fpm:LA56_1050
ko:K03555	fpm:LA56_1051
ko:K03071	fpm:LA56_1052
ko:K03733	fpm:LA56_1054
ko:K15984	fpm:LA56_1055
ko:K00951	fpm:LA56_1059
ko:K03834	fpm:LA56_1061
ko:K05516	fpm:LA56_1062
ko:K00567	fpm:LA56_1069
ko:K09117	fpm:LA56_469
ko:K02970	fpm:LA56_470
ko:K07259	fpm:LA56_471
ko:K07107	fpm:LA56_473
ko:K14058	fpm:LA56_474
ko:K03773	fpm:LA56_475
ko:K02523	fpm:LA56_476
ko:K03789	fpm:LA56_479
ko:K06178	fpm:LA56_481
ko:K02656	fpm:LA56_482
ko:K06941	fpm:LA56_483
ko:K02939	fpm:LA56_485
ko:K02963	fpm:LA56_486
ko:K02990	fpm:LA56_487
ko:K03386	fpm:LA56_488
ko:K00243	fpm:LA56_489
ko:K03656	fpm:LA56_490
ko:K06980	fpm:LA56_491
ko:K00616	fpm:LA56_493
ko:K01255	fpm:LA56_494
ko:K01872	fpm:LA56_496
ko:K03657	fpm:LA56_498
ko:K09710	fpm:LA56_500
ko:K18979	fpm:LA56_501
ko:K12267	fpm:LA56_505
ko:K02168	fpm:LA56_506
ko:K03437	fpm:LA56_508
ko:K07107	fpm:LA56_510
ko:K00432	fpm:LA56_521
ko:K04654	fpm:LA56_1338
ko:K04655	fpm:LA56_1339
ko:K07241	fpm:LA56_1344
ko:K17218	fpm:LA56_1350
ko:K05340	fpm:LA56_1354
ko:K00852	fpm:LA56_1355
ko:K01256	fpm:LA56_1356
ko:K13498	fpm:LA56_1357
ko:K07304	fpm:LA56_1359
ko:K00766	fpm:LA56_1360
ko:K01658	fpm:LA56_1361
ko:K01657	fpm:LA56_1362
ko:K03720	fpm:LA56_1363
ko:K08301	fpm:LA56_1366
ko:K02313	fpm:LA56_1367
ko:K02338	fpm:LA56_1368
ko:K03837	fpm:LA56_1376
ko:K00609	fpm:LA56_1377
ko:K01955	fpm:LA56_1378
ko:K01956	fpm:LA56_1379
ko:K00569	fpm:LA56_1382
ko:K01465	fpm:LA56_1383
ko:K09941	fpm:LA56_1388
ko:K07023	fpm:LA56_1
ko:K01929	fpm:LA56_2
ko:K07452	fpm:LA56_1838
ko:K12988	fpm:LA56_919
ko:K19147	fpm:LA56_1839
ko:K19158	fpm:LA56_1870
ko:K19159	fpm:LA56_1869
ko:K01710	fpm:LA56_936
ko:K22468	fpm:LA56_988
ko:K01977	fpm:LA56_1805
ko:K01977	fpm:LA56_790
ko:K01977	fpm:LA56_1301
ko:K00336	fpm:LA56_1243
ko:K01183	fpm:LA56_103
ko:K01992	fpm:LA56_118
ko:K00928	fpm:LA56_1251
ko:K00526	fpm:LA56_548
ko:K03676	fpm:LA56_548
ko:K00525	fpm:LA56_546
ko:K08156	fpm:LA56_60
ko:K07266	fpm:LA56_1008
ko:K02650	fpm:LA56_317
ko:K02650	fpm:LA56_428
ko:K02650	fpm:LA56_551
ko:K02650	fpm:LA56_1755
ko:K14234	fpm:LA56_1365
ko:K14236	fpm:LA56_1147
ko:K01980	fpm:LA56_1297
ko:K01980	fpm:LA56_1809
ko:K01980	fpm:LA56_786
ko:K14218	fpm:LA56_1299
ko:K14218	fpm:LA56_1807
ko:K14218	fpm:LA56_788
ko:K14219	fpm:LA56_1038
ko:K14233	fpm:LA56_310
ko:K14233	fpm:LA56_1720
ko:K14237	fpm:LA56_1804
ko:K14237	fpm:LA56_90
ko:K14228	fpm:LA56_669
ko:K14228	fpm:LA56_857
ko:K14228	fpm:LA56_902
ko:K14228	fpm:LA56_1197
ko:K14226	fpm:LA56_670
ko:K14222	fpm:LA56_858
ko:K14225	fpm:LA56_1146
ko:K14230	fpm:LA56_989
ko:K14230	fpm:LA56_1232
ko:K14230	fpm:LA56_1638
ko:K14221	fpm:LA56_1364
ko:K14223	fpm:LA56_1494
ko:K14224	fpm:LA56_1570
ko:K01985	fpm:LA56_1810
ko:K01985	fpm:LA56_1296
ko:K01985	fpm:LA56_785
ko:K01985	fpm:LA56_1843
ko:K14229	fpm:LA56_141
ko:K14229	fpm:LA56_142
ko:K14237	fpm:LA56_353
ko:K14234	fpm:LA56_1145
ko:K14233	fpm:LA56_1803
ko:K14219	fpm:LA56_671
ko:K14231	fpm:LA56_673
ko:K14232	fpm:LA56_672
ko:K14225	fpm:LA56_1039
ko:K14225	fpm:LA56_859
ko:K07666	fpm:LA56_982
ko:K14220	fpm:LA56_867
ko:K08154	fpm:LA56_1352
ko:K04517	fpm:LA56_1394
ko:K00544	fpm:LA56_1471
ko:K19802	fpm:LA56_519
ko:K19810	fpm:LA56_558
ko:K05770	fpm:LA56_507
ko:K03789	fpm:LA56_1499
ko:K09796	fpm:LA56_1001
ko:K20265	fpm:LA56_1080
ko:K20265	fpm:LA56_1070
ko:K20265	fpm:LA56_410
ko:K20265	fpm:LA56_48
ko:K00507	fpm:LA56_1132
ko:K00507	fpm:LA56_977
ko:K03762	fpm:LA56_231
ko:K02650	fpm:LA56_1754
ko:K09691	fpm:LA56_914
ko:K13713	fpm:LA56_1759
ko:K20534	fpm:LA56_893
ko:K03271	fpm:LA56_1445
ko:K01932	fpm:LA56_667
ko:K01200	fpm:LA56_1858
ko:K00632	fpm:LA56_954
ko:K06217	fpm:LA56_273
ko:K00857	fpm:LA56_276
ko:K02316	fpm:LA56_468
ko:K02314	fpm:LA56_484
ko:K03553	fpm:LA56_1465
ko:K00560	fpm:LA56_726
ko:K00287	fpm:LA56_1573
ko:K01520	fpm:LA56_1581
ko:K03462	fpm:LA56_958
ko:K13522	fpm:LA56_1818
ko:K02335	fpm:LA56_1172
ko:K02483	fpm:LA56_969
ko:K03293	fpm:LA56_1747
ko:K01139	fpm:LA56_664
ko:K01582	fpm:LA56_1846
ko:K04103	fpm:LA56_1459
ko:K21829	fpm:LA56_1718
ko:K22116	fpm:LA56_666
ko:K03595	fpm:LA56_283
ko:K22132	fpm:LA56_541
ko:K03892	fpm:LA56_357
ko:K07488	fpm:LA56_661
ko:K07488	fpm:LA56_935
ko:K13566	fpm:LA56_875
