ko:K08744	mtx:M943_09475
ko:K01142	mtx:M943_02215
ko:K03043	mtx:M943_03465
ko:K03046	mtx:M943_03470
ko:K01151	mtx:M943_03485
ko:K09456	mtx:M943_03495
ko:K02616	mtx:M943_03505
ko:K02950	mtx:M943_03545
ko:K02992	mtx:M943_03550
ko:K02355	mtx:M943_03555
ko:K02358	mtx:M943_03560
ko:K02946	mtx:M943_03650
ko:K02906	mtx:M943_03655
ko:K02926	mtx:M943_03660
ko:K02892	mtx:M943_03665
ko:K02886	mtx:M943_03670
ko:K02965	mtx:M943_03675
ko:K02890	mtx:M943_03680
ko:K02982	mtx:M943_03685
ko:K02878	mtx:M943_03690
ko:K02904	mtx:M943_03695
ko:K02961	mtx:M943_03700
ko:K02874	mtx:M943_03720
ko:K02895	mtx:M943_03725
ko:K02931	mtx:M943_03730
ko:K07056	mtx:M943_05275
ko:K01665	mtx:M943_05280
ko:K01874	mtx:M943_05295
ko:K03424	mtx:M943_05300
ko:K02528	mtx:M943_05310
ko:K00919	mtx:M943_05315
ko:K01056	mtx:M943_05330
ko:K02897	mtx:M943_05335
ko:K00948	mtx:M943_05345
ko:K04042	mtx:M943_05350
ko:K03723	mtx:M943_05365
ko:K01689	mtx:M943_05380
ko:K01524	mtx:M943_05395
ko:K07667	mtx:M943_05405
ko:K01546	mtx:M943_05420
ko:K01547	mtx:M943_05425
ko:K01548	mtx:M943_05430
ko:K00942	mtx:M943_07290
ko:K03060	mtx:M943_07295
ko:K13038	mtx:M943_07300
ko:K00789	mtx:M943_07305
ko:K04066	mtx:M943_07355
ko:K00604	mtx:M943_07375
ko:K03500	mtx:M943_07380
ko:K01783	mtx:M943_07385
ko:K11752	mtx:M943_07390
ko:K00793	mtx:M943_07405
ko:K14652	mtx:M943_07410
ko:K00794	mtx:M943_07415
ko:K03703	mtx:M943_07435
ko:K06958	mtx:M943_07440
ko:K00134	mtx:M943_07510
ko:K00927	mtx:M943_07515
ko:K01803	mtx:M943_07520
ko:K03075	mtx:M943_07545
ko:K01057	mtx:M943_07575
ko:K03594	mtx:M943_09745
ko:K01915	mtx:M943_09755
ko:K07560	mtx:M943_09855
ko:K08972	mtx:M943_09890
ko:K03782	mtx:M943_09920
ko:K01637	mtx:M943_09955
ko:K07086	mtx:M943_12330
ko:K00390	mtx:M943_12360
ko:K02045	mtx:M943_12390
ko:K02047	mtx:M943_12395
ko:K02046	mtx:M943_12400
ko:K02048	mtx:M943_12405
ko:K03596	mtx:M943_12425
ko:K02968	mtx:M943_12460
ko:K02340	mtx:M943_12465
ko:K02237	mtx:M943_12475
ko:K09710	mtx:M943_12505
ko:K00969	mtx:M943_12510
ko:K00147	mtx:M943_12545
ko:K04756	mtx:M943_12560
ko:K02346	mtx:M943_15770
ko:K06200	mtx:M943_15805
ko:K15977	mtx:M943_15815
ko:K06199	mtx:M943_15845
ko:K06199	mtx:M943_15850
ko:K01644	mtx:M943_15875
ko:K09781	mtx:M943_15960
ko:K03664	mtx:M943_16005
ko:K09811	mtx:M943_16010
ko:K09812	mtx:M943_16015
ko:K01738	mtx:M943_18920
ko:K09117	mtx:M943_18945
ko:K03924	mtx:M943_18965
ko:K00864	mtx:M943_18985
ko:K07008	mtx:M943_19020
ko:K01919	mtx:M943_19030
ko:K00133	mtx:M943_19055
ko:K00928	mtx:M943_19060
ko:K01649	mtx:M943_19065
ko:K06187	mtx:M943_19090
ko:K09747	mtx:M943_19095
ko:K01448	mtx:M943_19100
ko:K00574	mtx:M943_19115
ko:K02343	mtx:M943_19120
ko:K07001	mtx:M943_19165
ko:K06937	mtx:M943_19170
ko:K09129	mtx:M943_19200
ko:K02484	mtx:M943_19335
ko:K02484	mtx:M943_03115
ko:K02484	mtx:M943_03120
ko:K02484	mtx:M943_03970
ko:K00265	mtx:M943_19830
ko:K00951	mtx:M943_13350
ko:K14219	mtx:M943_12835
ko:K14219	mtx:M943_19375
ko:K14233	mtx:M943_19380
ko:K10112	mtx:M943_10565
ko:K14232	mtx:M943_12720
ko:K14228	mtx:M943_11080
ko:K01977	mtx:M943_06890
ko:K14229	mtx:M943_04345
ko:K14237	mtx:M943_13700
ko:K14230	mtx:M943_16465
ko:K14225	mtx:M943_13690
ko:K14234	mtx:M943_18705
ko:K14225	mtx:M943_12725
ko:K10112	mtx:M943_06475
ko:K01990	mtx:M943_06370
ko:K01990	mtx:M943_07645
ko:K01990	mtx:M943_15140
ko:K17483	mtx:M943_11770
ko:K01985	mtx:M943_06900
ko:K14222	mtx:M943_13695
ko:K14234	mtx:M943_03955
ko:K14221	mtx:M943_04355
ko:K14220	mtx:M943_12095
ko:K14218	mtx:M943_05230
ko:K14233	mtx:M943_19270
ko:K01692	mtx:M943_03280
ko:K00121	mtx:M943_03985
ko:K05917	mtx:M943_04000
ko:K01607	mtx:M943_04035
ko:K06986	mtx:M943_04105
ko:K07077	mtx:M943_04110
ko:K07052	mtx:M943_04200
ko:K02619	mtx:M943_04240
ko:K00076	mtx:M943_04860
ko:K10563	mtx:M943_04940
ko:K04093	mtx:M943_04970
ko:K03405	mtx:M943_05020
ko:K01692	mtx:M943_05095
ko:K01965	mtx:M943_05105
ko:K07669	mtx:M943_05150
ko:K00666	mtx:M943_05580
ko:K01692	mtx:M943_05640
ko:K01692	mtx:M943_05645
ko:K00626	mtx:M943_05660
ko:K12503	mtx:M943_05720
ko:K02025	mtx:M943_06465
ko:K01616	mtx:M943_06525
ko:K01426	mtx:M943_06600
ko:K06147	mtx:M943_06640
ko:K06147	mtx:M943_06645
ko:K02035	mtx:M943_06680
ko:K02033	mtx:M943_06695
ko:K06994	mtx:M943_07970
ko:K01424	mtx:M943_08045
ko:K00244	mtx:M943_08110
ko:K00245	mtx:M943_08115
ko:K00247	mtx:M943_08125
ko:K06994	mtx:M943_08135
ko:K02017	mtx:M943_09660
ko:K13953	mtx:M943_09675
ko:K07052	mtx:M943_09680
ko:K00626	mtx:M943_09700
ko:K00101	mtx:M943_09725
ko:K04093	mtx:M943_09790
ko:K01104	mtx:M943_11565
ko:K03386	mtx:M943_11595
ko:K11609	mtx:M943_11630
ko:K11609	mtx:M943_11635
ko:K00803	mtx:M943_11660
ko:K00153	mtx:M943_11700
ko:K00389	mtx:M943_11760
ko:K03316	mtx:M943_11815
ko:K01011	mtx:M943_11830
ko:K16647	mtx:M943_13825
ko:K07305	mtx:M943_13830
ko:K01692	mtx:M943_13855
ko:K16905	mtx:M943_13890
ko:K16906	mtx:M943_13895
ko:K16907	mtx:M943_13900
ko:K03499	mtx:M943_13915
ko:K03499	mtx:M943_13920
ko:K01092	mtx:M943_13965
ko:K03087	mtx:M943_14005
ko:K03709	mtx:M943_14010
ko:K05794	mtx:M943_14065
ko:K00274	mtx:M943_16355
ko:K01426	mtx:M943_16380
ko:K09118	mtx:M943_16475
ko:K07177	mtx:M943_16480
ko:K07009	mtx:M943_19080
ko:K09966	mtx:M943_19235
ko:K04517	mtx:M943_19285
ko:K14953	mtx:M943_19330
ko:K00666	mtx:M943_00910
ko:K00384	mtx:M943_07710
ko:K14227	mtx:M943_00040
ko:K14228	mtx:M943_08475
ko:K02851	mtx:M943_06815
ko:K00567	mtx:M943_06905
ko:K07503	mtx:M943_06930
ko:K00626	mtx:M943_06940
ko:K00700	mtx:M943_06955
ko:K00652	mtx:M943_08190
ko:K01814	mtx:M943_08355
ko:K01817	mtx:M943_08355
ko:K01092	mtx:M943_08360
ko:K01496	mtx:M943_08370
ko:K08178	mtx:M943_09885
ko:K06910	mtx:M943_09930
ko:K06910	mtx:M943_09935
ko:K00666	mtx:M943_10000
ko:K01692	mtx:M943_10045
ko:K06889	mtx:M943_11905
ko:K02025	mtx:M943_11970
ko:K00027	mtx:M943_12055
ko:K06994	mtx:M943_12090
ko:K10533	mtx:M943_14150
ko:K00619	mtx:M943_14195
ko:K00508	mtx:M943_16690
ko:K03455	mtx:M943_16720
ko:K07654	mtx:M943_16765
ko:K07670	mtx:M943_16770
ko:K03294	mtx:M943_16805
ko:K01692	mtx:M943_19390
ko:K16649	mtx:M943_19435
ko:K16653	mtx:M943_19470
ko:K16652	mtx:M943_19475
ko:K13686	mtx:M943_19480
ko:K11387	mtx:M943_19485
ko:K11385	mtx:M943_19490
ko:K11386	mtx:M943_19495
ko:K12437	mtx:M943_19520
ko:K12428	mtx:M943_19525
ko:K13687	mtx:M943_19545
ko:K14136	mtx:M943_19550
ko:K16650	mtx:M943_19560
ko:K01854	mtx:M943_19565
ko:K14952	mtx:M943_19605
ko:K06994	mtx:M943_19630
ko:K14235	mtx:M943_03330
ko:K02067	mtx:M943_00925
ko:K02067	mtx:M943_00935
ko:K01664	mtx:M943_00095
ko:K00652	mtx:M943_00195
ko:K13669	mtx:M943_06085
ko:K14219	mtx:M943_04820
ko:K00374	mtx:M943_06115
ko:K15525	mtx:M943_06145
ko:K11779	mtx:M943_06155
ko:K02428	mtx:M943_07030
ko:K01909	mtx:M943_07050
ko:K14698	mtx:M943_07070
ko:K14699	mtx:M943_07075
ko:K00059	mtx:M943_07080
ko:K16012	mtx:M943_08445
ko:K16013	mtx:M943_08450
ko:K09146	mtx:M943_08510
ko:K14340	mtx:M943_08525
ko:K16167	mtx:M943_08685
ko:K02067	mtx:M943_10195
ko:K02067	mtx:M943_10200
ko:K02067	mtx:M943_10205
ko:K02067	mtx:M943_10210
ko:K02067	mtx:M943_10215
ko:K02067	mtx:M943_10220
ko:K12953	mtx:M943_10375
ko:K03294	mtx:M943_10385
ko:K00038	mtx:M943_10400
ko:K07028	mtx:M943_10410
ko:K03711	mtx:M943_12185
ko:K01426	mtx:M943_12205
ko:K04793	mtx:M943_12280
ko:K04792	mtx:M943_12285
ko:K04789	mtx:M943_12290
ko:K04791	mtx:M943_12295
ko:K04790	mtx:M943_12300
ko:K04788	mtx:M943_12305
ko:K03709	mtx:M943_14400
ko:K03177	mtx:M943_14425
ko:K09002	mtx:M943_14565
ko:K01692	mtx:M943_14620
ko:K05816	mtx:M943_14625
ko:K05815	mtx:M943_14635
ko:K11212	mtx:M943_16845
ko:K12234	mtx:M943_16850
ko:K16870	mtx:M943_16875
ko:K12950	mtx:M943_16900
ko:K01966	mtx:M943_16950
ko:K01011	mtx:M943_16965
ko:K11263	mtx:M943_16975
ko:K03090	mtx:M943_16980
ko:K03918	mtx:M943_17000
ko:K05522	mtx:M943_17035
ko:K03932	mtx:M943_17040
ko:K06177	mtx:M943_17050
ko:K03783	mtx:M943_17085
ko:K04518	mtx:M943_19705
ko:K10215	mtx:M943_19800
ko:K04477	mtx:M943_19810
ko:K00803	mtx:M943_16040
ko:K01724	mtx:M943_16060
ko:K05602	mtx:M943_16195
ko:K14733	mtx:M943_18580
ko:K01507	mtx:M943_18630
ko:K09153	mtx:M943_18650
ko:K01784	mtx:M943_18665
ko:K06877	mtx:M943_18735
ko:K09118	mtx:M943_00355
ko:K02004	mtx:M943_00420
ko:K01243	mtx:M943_00525
ko:K12949	mtx:M943_00530
ko:K02351	mtx:M943_00570
ko:K07245	mtx:M943_00570
ko:K12949	mtx:M943_00575
ko:K12955	mtx:M943_00590
ko:K01577	mtx:M943_00655
ko:K16146	mtx:M943_00700
ko:K07304	mtx:M943_00755
ko:K01104	mtx:M943_00840
ko:K01724	mtx:M943_06090
ko:K03574	mtx:M943_06095
ko:K02067	mtx:M943_00930
ko:K01011	mtx:M943_04260
ko:K15520	mtx:M943_04280
ko:K01259	mtx:M943_04405
ko:K02480	mtx:M943_04430
ko:K01796	mtx:M943_04480
ko:K00626	mtx:M943_04500
ko:K01782	mtx:M943_04505
ko:K10843	mtx:M943_04510
ko:K03635	mtx:M943_04535
ko:K07653	mtx:M943_05155
ko:K08372	mtx:M943_05160
ko:K02004	mtx:M943_05180
ko:K00805	mtx:M943_05190
ko:K01478	mtx:M943_05265
ko:K00666	mtx:M943_05325
ko:K02067	mtx:M943_00950
ko:K00219	mtx:M943_06165
ko:K06994	mtx:M943_06195
ko:K12423	mtx:M943_06205
ko:K00294	mtx:M943_06215
ko:K00674	mtx:M943_06285
ko:K01439	mtx:M943_06290
ko:K00666	mtx:M943_06310
ko:K13693	mtx:M943_06320
ko:K16148	mtx:M943_06340
ko:K08981	mtx:M943_06410
ko:K09167	mtx:M943_06415
ko:K03593	mtx:M943_06430
ko:K14954	mtx:M943_07400
ko:K09762	mtx:M943_07450
ko:K01990	mtx:M943_08785
ko:K01515	mtx:M943_08850
ko:K04763	mtx:M943_08855
ko:K00545	mtx:M943_08875
ko:K16370	mtx:M943_10520
ko:K02025	mtx:M943_10575
ko:K03929	mtx:M943_10600
ko:K02077	mtx:M943_10675
ko:K13540	mtx:M943_10710
ko:K00595	mtx:M943_10735
ko:K00784	mtx:M943_12440
ko:K02238	mtx:M943_12470
ko:K07161	mtx:M943_12535
ko:K03386	mtx:M943_12555
ko:K00852	mtx:M943_12595
ko:K05814	mtx:M943_14640
ko:K03404	mtx:M943_14710
ko:K02348	mtx:M943_14715
ko:K06976	mtx:M943_14795
ko:K01426	mtx:M943_14900
ko:K01488	mtx:M943_17125
ko:K00758	mtx:M943_17130
ko:K01489	mtx:M943_17135
ko:K00241	mtx:M943_17145
ko:K07258	mtx:M943_17205
ko:K06945	mtx:M943_17355
ko:K07131	mtx:M943_17365
ko:K14162	mtx:M943_17390
ko:K14743	mtx:M943_19945
ko:K14743	mtx:M943_19960
ko:K00970	mtx:M943_20045
ko:K06346	mtx:M943_20105
ko:K02067	mtx:M943_00945
ko:K01719	mtx:M943_01375
ko:K01469	mtx:M943_01405
ko:K00666	mtx:M943_01425
ko:K14743	mtx:M943_01530
ko:K00598	mtx:M943_01545
ko:K00616	mtx:M943_07590
ko:K14339	mtx:M943_07650
ko:K04488	mtx:M943_07680
ko:K12951	mtx:M943_07700
ko:K01692	mtx:M943_07715
ko:K07114	mtx:M943_07765
ko:K11610	mtx:M943_07775
ko:K11611	mtx:M943_07780
ko:K01847	mtx:M943_07825
ko:K01847	mtx:M943_07830
ko:K07588	mtx:M943_07845
ko:K01823	mtx:M943_09105
ko:K00666	mtx:M943_09135
ko:K03727	mtx:M943_10840
ko:K13573	mtx:M943_10855
ko:K13571	mtx:M943_10865
ko:K13570	mtx:M943_10925
ko:K13527	mtx:M943_10940
ko:K09764	mtx:M943_10950
ko:K07442	mtx:M943_10955
ko:K01523	mtx:M943_10975
ko:K00548	mtx:M943_10980
ko:K15526	mtx:M943_11010
ko:K01082	mtx:M943_11015
ko:K00547	mtx:M943_12695
ko:K05522	mtx:M943_12735
ko:K15781	mtx:M943_12815
ko:K01692	mtx:M943_12840
ko:K11263	mtx:M943_12915
ko:K00666	mtx:M943_12935
ko:K07258	mtx:M943_15025
ko:K10563	mtx:M943_15095
ko:K12426	mtx:M943_15120
ko:K12440	mtx:M943_15125
ko:K12441	mtx:M943_15130
ko:K12444	mtx:M943_15135
ko:K12427	mtx:M943_15165
ko:K06994	mtx:M943_15170
ko:K01692	mtx:M943_17410
ko:K01692	mtx:M943_17415
ko:K01426	mtx:M943_17420
ko:K07025	mtx:M943_17425
ko:K13787	mtx:M943_17450
ko:K13787	mtx:M943_17520
ko:K03333	mtx:M943_17575
ko:K00088	mtx:M943_17580
ko:K00088	mtx:M943_17585
ko:K01409	mtx:M943_17625
ko:K02428	mtx:M943_05370
ko:K09009	mtx:M943_05390
ko:K07656	mtx:M943_05435
ko:K07672	mtx:M943_05440
ko:K00867	mtx:M943_05760
ko:K03922	mtx:M943_05770
ko:K01679	mtx:M943_05790
ko:K02446	mtx:M943_05795
ko:K16045	mtx:M943_05820
ko:K00033	mtx:M943_05885
ko:K00626	mtx:M943_05955
ko:K16168	mtx:M943_05965
ko:K07052	mtx:M943_05970
ko:K01692	mtx:M943_05975
ko:K01692	mtx:M943_05980
ko:K01796	mtx:M943_05985
ko:K06994	mtx:M943_06000
ko:K07386	mtx:M943_01065
ko:K06860	mtx:M943_01110
ko:K01596	mtx:M943_01130
ko:K01692	mtx:M943_01180
ko:K07048	mtx:M943_01225
ko:K00135	mtx:M943_01245
ko:K16648	mtx:M943_01255
ko:K00059	mtx:M943_01290
ko:K00626	mtx:M943_01295
ko:K13640	mtx:M943_01840
ko:K07161	mtx:M943_01920
ko:K03518	mtx:M943_01950
ko:K03519	mtx:M943_01955
ko:K06994	mtx:M943_02335
ko:K01692	mtx:M943_02365
ko:K16645	mtx:M943_02465
ko:K01619	mtx:M943_02480
ko:K15521	mtx:M943_02520
ko:K01834	mtx:M943_02540
ko:K07768	mtx:M943_02545
ko:K07776	mtx:M943_02550
ko:K15582	mtx:M943_18810
ko:K02342	mtx:M943_19070
ko:K14743	mtx:M943_09350
ko:K00088	mtx:M943_09580
ko:K00033	mtx:M943_09585
ko:K06910	mtx:M943_11070
ko:K13787	mtx:M943_11240
ko:K13671	mtx:M943_11280
ko:K06902	mtx:M943_12950
ko:K12445	mtx:M943_15210
ko:K01958	mtx:M943_15285
ko:K14941	mtx:M943_15365
ko:K01885	mtx:M943_15420
ko:K00058	mtx:M943_15440
ko:K01580	mtx:M943_17685
ko:K14743	mtx:M943_17770
ko:K06994	mtx:M943_02085
ko:K14949	mtx:M943_02125
ko:K02030	mtx:M943_02130
ko:K03574	mtx:M943_02140
ko:K03153	mtx:M943_02150
ko:K01784	mtx:M943_02610
ko:K06994	mtx:M943_02640
ko:K06196	mtx:M943_02735
ko:K11608	mtx:M943_02765
ko:K00772	mtx:M943_02775
ko:K09931	mtx:M943_02800
ko:K00845	mtx:M943_03395
ko:K07052	mtx:M943_03430
ko:K03932	mtx:M943_03490
ko:K01692	mtx:M943_03500
ko:K01692	mtx:M943_03510
ko:K06994	mtx:M943_03515
ko:K00101	mtx:M943_03610
ko:K13668	mtx:M943_11315
ko:K02342	mtx:M943_11335
ko:K03889	mtx:M943_11355
ko:K03890	mtx:M943_11360
ko:K03891	mtx:M943_11365
ko:K00856	mtx:M943_11395
ko:K02004	mtx:M943_13250
ko:K07054	mtx:M943_13310
ko:K03768	mtx:M943_13345
ko:K02035	mtx:M943_13360
ko:K07250	mtx:M943_13380
ko:K12421	mtx:M943_13385
ko:K08256	mtx:M943_13490
ko:K02433	mtx:M943_15530
ko:K16149	mtx:M943_15640
ko:K16150	mtx:M943_15645
ko:K01692	mtx:M943_15685
ko:K02274	mtx:M943_15705
ko:K02067	mtx:M943_17970
ko:K02067	mtx:M943_17975
ko:K02067	mtx:M943_17980
ko:K02067	mtx:M943_17985
ko:K02067	mtx:M943_17990
ko:K02067	mtx:M943_17995
ko:K00059	mtx:M943_18010
ko:K05337	mtx:M943_18015
ko:K00666	mtx:M943_18030
ko:K01692	mtx:M943_18080
ko:K16046	mtx:M943_18090
ko:K00626	mtx:M943_18115
ko:K15982	mtx:M943_18130
ko:K04073	mtx:M943_18175
ko:K00666	mtx:M943_02855
ko:K02549	mtx:M943_02865
ko:K12583	mtx:M943_02885
ko:K00805	mtx:M943_02910
ko:K02067	mtx:M943_03060
ko:K02067	mtx:M943_03065
ko:K02067	mtx:M943_03070
ko:K02067	mtx:M943_03075
ko:K02067	mtx:M943_03080
ko:K02067	mtx:M943_03085
ko:K00058	mtx:M943_03790
ko:K00854	mtx:M943_03795
ko:K00939	mtx:M943_03820
ko:K04750	mtx:M943_04630
ko:K07655	mtx:M943_04715
ko:K07671	mtx:M943_04720
ko:K01962	mtx:M943_04725
ko:K01963	mtx:M943_04725
ko:K01692	mtx:M943_04730
ko:K11159	mtx:M943_04780
ko:K00626	mtx:M943_04785
ko:K03647	mtx:M943_15750
ko:K01835	mtx:M943_15840
ko:K13419	mtx:M943_15900
ko:K00121	mtx:M943_15930
ko:K15981	mtx:M943_18225
ko:K00626	mtx:M943_18230
ko:K01692	mtx:M943_18250
ko:K00626	mtx:M943_18280
ko:K00059	mtx:M943_18295
ko:K00622	mtx:M943_18330
ko:K16049	mtx:M943_18350
ko:K16050	mtx:M943_18355
ko:K16047	mtx:M943_18360
ko:K15983	mtx:M943_18365
ko:K07067	mtx:M943_18440
ko:K14228	mtx:M943_00135
ko:K00966	mtx:M943_16870
ko:K01739	mtx:M943_05685
ko:K17811	mtx:M943_17430
ko:K15911	mtx:M943_17435
ko:K12439	mtx:M943_08675
ko:K11628	mtx:M943_15160
ko:K14955	mtx:M943_06630
ko:K00344	mtx:M943_07625
ko:K12954	mtx:M943_10350
ko:K17836	mtx:M943_10720
ko:K01130	mtx:M943_17045
ko:K01130	mtx:M943_03455
ko:K01130	mtx:M943_03705
ko:K14229	mtx:M943_13010
ko:K12574	mtx:M943_14220
ko:K12956	mtx:M943_05085
ko:K00254	mtx:M943_11065
ko:K01840	mtx:M943_16825
ko:K14237	mtx:M943_11590
ko:K14237	mtx:M943_13685
ko:K14230	mtx:M943_11925
ko:K01840	mtx:M943_17090
ko:K12432	mtx:M943_06185
ko:K12434	mtx:M943_08665
ko:K16048	mtx:M943_18345
ko:K01239	mtx:M943_17490
ko:K03767	mtx:M943_00075
ko:K07684	mtx:M943_04425
ko:K14956	mtx:M943_19905
ko:K02026	mtx:M943_06470
ko:K02026	mtx:M943_11975
ko:K02026	mtx:M943_10570
ko:K12431	mtx:M943_19640
ko:K04787	mtx:M943_12310
ko:K14218	mtx:M943_00050
ko:K14225	mtx:M943_01675
ko:K14234	mtx:M943_03300
ko:K14230	mtx:M943_03305
ko:K14224	mtx:M943_04350
ko:K14337	mtx:M943_11245
ko:K00020	mtx:M943_03925
ko:K01980	mtx:M943_06895
ko:K00128	mtx:M943_17015
ko:K00128	mtx:M943_01185
ko:K00128	mtx:M943_04020
ko:K00128	mtx:M943_00805
ko:K05898	mtx:M943_18185
ko:K12422	mtx:M943_00555
ko:K12424	mtx:M943_15185
ko:K12425	mtx:M943_19645
ko:K14224	mtx:M943_15410
ko:K14231	mtx:M943_04360
ko:K14223	mtx:M943_05355
ko:K14223	mtx:M943_15415
ko:K14228	mtx:M943_05565
ko:K14228	mtx:M943_07065
ko:K14219	mtx:M943_06750
ko:K14232	mtx:M943_08970
ko:K14232	mtx:M943_18925
ko:K03520	mtx:M943_01945
ko:K02027	mtx:M943_06460
ko:K02027	mtx:M943_11980
ko:K02027	mtx:M943_10580
ko:K01187	mtx:M943_12775
ko:K02031	mtx:M943_06685
ko:K02032	mtx:M943_06685
ko:K02031	mtx:M943_18805
ko:K02032	mtx:M943_18805
ko:K17947	mtx:M943_02780
ko:K09144	mtx:M943_14590
ko:K00344	mtx:M943_16215
ko:K07493	mtx:M943_17680
ko:K07493	mtx:M943_18680
ko:K07064	mtx:M943_14775
ko:K07064	mtx:M943_17165
ko:K07064	mtx:M943_18990
ko:K07045	mtx:M943_11890
ko:K17883	mtx:M943_14735
ko:K13572	mtx:M943_10860
ko:K00529	mtx:M943_09710
ko:K07068	mtx:M943_18105
ko:K08351	mtx:M943_07555
ko:K00249	mtx:M943_05115
ko:K00897	mtx:M943_19600
ko:K00104	mtx:M943_06570
ko:K00104	mtx:M943_11780
ko:K03719	mtx:M943_17005
ko:K11159	mtx:M943_03415
ko:K21688	mtx:M943_05305
ko:K00138	mtx:M943_02375
ko:K01154	mtx:M943_14235
ko:K07171	mtx:M943_13680
ko:K10533	mtx:M943_14165
ko:K01114	mtx:M943_09165
ko:K02871	mtx:M943_17740
ko:K01011	mtx:M943_16090
ko:K03704	mtx:M943_18730
ko:K14728	mtx:M943_15200
ko:K07100	mtx:M943_02960
ko:K07486	mtx:M943_11260
ko:K03742	mtx:M943_09880
ko:K02067	mtx:M943_00940
ko:K18481	mtx:M943_17965
ko:K18481	mtx:M943_10225
ko:K18481	mtx:M943_07155
ko:K18481	mtx:M943_17960
ko:K18481	mtx:M943_07150
ko:K18481	mtx:M943_10230
ko:K18481	mtx:M943_12345
ko:K18481	mtx:M943_00955
ko:K18481	mtx:M943_00960
ko:K18481	mtx:M943_00965
ko:K18481	mtx:M943_00970
ko:K18455	mtx:M943_05700
ko:K18472	mtx:M943_11640
ko:K00681	mtx:M943_12370
ko:K00681	mtx:M943_04045
ko:K03574	mtx:M943_15375
ko:K22311	mtx:M943_13495
ko:K18554	mtx:M943_13635
ko:K18688	mtx:M943_18075
ko:K18687	mtx:M943_18305
ko:K18688	mtx:M943_18065
ko:K01990	mtx:M943_19430
ko:K01992	mtx:M943_19440
ko:K07171	mtx:M943_15995
ko:K21672	mtx:M943_04855
ko:K18851	mtx:M943_00710
ko:K18917	mtx:M943_16510
ko:K18955	mtx:M943_17610
ko:K18913	mtx:M943_19010
ko:K07171	mtx:M943_07840
ko:K07171	mtx:M943_10340
ko:K18955	mtx:M943_16630
ko:K07481	mtx:M943_05450
ko:K07171	mtx:M943_14465
ko:K18851	mtx:M943_19540
ko:K18851	mtx:M943_09795
ko:K10747	mtx:M943_15800
ko:K18894	mtx:M943_01045
ko:K01971	mtx:M943_04915
ko:K18955	mtx:M943_18905
ko:K18911	mtx:M943_19015
ko:K18912	mtx:M943_19025
ko:K03111	mtx:M943_00305
ko:K03496	mtx:M943_16600
ko:K03496	mtx:M943_08905
ko:K03497	mtx:M943_20090
ko:K03496	mtx:M943_20095
ko:K03111	mtx:M943_12805
ko:K04565	mtx:M943_02240
ko:K18851	mtx:M943_04960
ko:K07496	mtx:M943_04835
ko:K07496	mtx:M943_14415
ko:K07496	mtx:M943_14885
ko:K07496	mtx:M943_15335
ko:K07497	mtx:M943_14520
ko:K03325	mtx:M943_13670
ko:K03741	mtx:M943_13670
ko:K07481	mtx:M943_15250
ko:K03822	mtx:M943_08765
ko:K07064	mtx:M943_13450
ko:K00335	mtx:M943_16255
ko:K03761	mtx:M943_17880
ko:K07064	mtx:M943_16410
ko:K02483	mtx:M943_19340
ko:K00249	mtx:M943_00720
ko:K00249	mtx:M943_00845
ko:K07064	mtx:M943_01280
ko:K06893	mtx:M943_00205
ko:K07064	mtx:M943_03205
ko:K00249	mtx:M943_01230
ko:K00249	mtx:M943_16210
ko:K00001	mtx:M943_00890
ko:K00001	mtx:M943_08005
ko:K02113	mtx:M943_06845
ko:K02109	mtx:M943_06845
ko:K07485	mtx:M943_03870
ko:K01822	mtx:M943_03980
ko:K01046	mtx:M943_15985
ko:K12435	mtx:M943_08670
ko:K07497	mtx:M943_14530
ko:K07483	mtx:M943_14535
ko:K01768	mtx:M943_06605
ko:K01768	mtx:M943_06915
ko:K01768	mtx:M943_06920
ko:K01768	mtx:M943_06925
ko:K01768	mtx:M943_08470
ko:K01768	mtx:M943_18715
ko:K14215	mtx:M943_12195
ko:K07064	mtx:M943_06495
ko:K00336	mtx:M943_16260
ko:K07064	mtx:M943_10165
ko:K16233	mtx:M943_07195
ko:K01436	mtx:M943_17075
ko:K07064	mtx:M943_12875
ko:K07064	mtx:M943_13075
ko:K07064	mtx:M943_17455
ko:K03892	mtx:M943_13665
ko:K16191	mtx:M943_04700
ko:K02483	mtx:M943_03965
ko:K00344	mtx:M943_00815
ko:K13670	mtx:M943_07870
ko:K16193	mtx:M943_04710
ko:K08095	mtx:M943_10290
ko:K08095	mtx:M943_17780
ko:K08095	mtx:M943_11880
ko:K12132	mtx:M943_10820
ko:K07450	mtx:M943_04830
ko:K07482	mtx:M943_16455
ko:K07481	mtx:M943_05455
ko:K07481	mtx:M943_05445
ko:K07493	mtx:M943_05515
ko:K07493	mtx:M943_15600
ko:K07493	mtx:M943_16085
ko:K07493	mtx:M943_06275
ko:K07493	mtx:M943_12975
ko:K03526	mtx:M943_14800
ko:K07746	mtx:M943_10160
ko:K19092	mtx:M943_10155
ko:K19139	mtx:M943_14560
ko:K00273	mtx:M943_09900
ko:K19221	mtx:M943_14705
ko:K19159	mtx:M943_17330
ko:K19138	mtx:M943_14570
ko:K16192	mtx:M943_04705
ko:K06893	mtx:M943_00775
ko:K07064	mtx:M943_03445
ko:K07064	mtx:M943_14820
ko:K19093	mtx:M943_11085
