ko:K10563	ypi:YpsIP31758_0064
ko:K06918	ypi:YpsIP31758_1790
ko:K08990	ypi:YpsIP31758_1791
ko:K03745	ypi:YpsIP31758_3927
ko:K03775	ypi:YpsIP31758_3928
ko:K07070	ypi:YpsIP31758_3929
ko:K07019	ypi:YpsIP31758_3940
ko:K00855	ypi:YpsIP31758_3942
ko:K09767	ypi:YpsIP31758_3104
ko:K00077	ypi:YpsIP31758_3106
ko:K03152	ypi:YpsIP31758_3107
ko:K00795	ypi:YpsIP31758_3111
ko:K01662	ypi:YpsIP31758_3112
ko:K00946	ypi:YpsIP31758_3114
ko:K07738	ypi:YpsIP31758_3118
ko:K03210	ypi:YpsIP31758_3122
ko:K00773	ypi:YpsIP31758_3123
ko:K00681	ypi:YpsIP31758_3128
ko:K09458	ypi:YpsIP31758_2547
ko:K09857	ypi:YpsIP31758_2548
ko:K07140	ypi:YpsIP31758_2553
ko:K01256	ypi:YpsIP31758_2556
ko:K00763	ypi:YpsIP31758_2557
ko:K01893	ypi:YpsIP31758_2558
ko:K06219	ypi:YpsIP31758_2568
ko:K00979	ypi:YpsIP31758_2571
ko:K09791	ypi:YpsIP31758_2572
ko:K03704	ypi:YpsIP31758_2574
ko:K00912	ypi:YpsIP31758_2576
ko:K03807	ypi:YpsIP31758_3367
ko:K00767	ypi:YpsIP31758_3369
ko:K00364	ypi:YpsIP31758_3373
ko:K00859	ypi:YpsIP31758_3374
ko:K09862	ypi:YpsIP31758_3376
ko:K05776	ypi:YpsIP31758_2853
ko:K00849	ypi:YpsIP31758_2857
ko:K01626	ypi:YpsIP31758_2862
ko:K07107	ypi:YpsIP31758_2872
ko:K00164	ypi:YpsIP31758_2881
ko:K01647	ypi:YpsIP31758_2886
ko:K00858	ypi:YpsIP31758_2888
ko:K06186	ypi:YpsIP31758_2890
ko:K09801	ypi:YpsIP31758_2891
ko:K02016	ypi:YpsIP31758_0617
ko:K02400	ypi:YpsIP31758_0622
ko:K02401	ypi:YpsIP31758_0623
ko:K02421	ypi:YpsIP31758_0624
ko:K02419	ypi:YpsIP31758_0626
ko:K02416	ypi:YpsIP31758_0628
ko:K02408	ypi:YpsIP31758_0630
ko:K02410	ypi:YpsIP31758_0632
ko:K02399	ypi:YpsIP31758_0636
ko:K02398	ypi:YpsIP31758_0637
ko:K02389	ypi:YpsIP31758_0641
ko:K02390	ypi:YpsIP31758_0642
ko:K02394	ypi:YpsIP31758_0646
ko:K02395	ypi:YpsIP31758_0647
ko:K02396	ypi:YpsIP31758_0648
ko:K02397	ypi:YpsIP31758_0649
ko:K02406	ypi:YpsIP31758_0653
ko:K02406	ypi:YpsIP31758_0654
ko:K02407	ypi:YpsIP31758_0655
ko:K02422	ypi:YpsIP31758_0656
ko:K02415	ypi:YpsIP31758_0659
ko:K06193	ypi:YpsIP31758_1380
ko:K03744	ypi:YpsIP31758_1382
ko:K02314	ypi:YpsIP31758_2244
ko:K15581	ypi:YpsIP31758_1959
ko:K06167	ypi:YpsIP31758_3568
ko:K05774	ypi:YpsIP31758_3567
ko:K06162	ypi:YpsIP31758_3566
ko:K06163	ypi:YpsIP31758_3563
ko:K06164	ypi:YpsIP31758_3562
ko:K06165	ypi:YpsIP31758_3561
ko:K06166	ypi:YpsIP31758_3560
ko:K02043	ypi:YpsIP31758_3559
ko:K03789	ypi:YpsIP31758_3505
ko:K01703	ypi:YpsIP31758_3407
ko:K01652	ypi:YpsIP31758_3401
ko:K01653	ypi:YpsIP31758_3400
ko:K03586	ypi:YpsIP31758_3394
ko:K03588	ypi:YpsIP31758_3388
ko:K02563	ypi:YpsIP31758_3387
ko:K03590	ypi:YpsIP31758_3383
ko:K03531	ypi:YpsIP31758_3382
ko:K03070	ypi:YpsIP31758_3378
ko:K02505	ypi:YpsIP31758_3372
ko:K02504	ypi:YpsIP31758_3371
ko:K03787	ypi:YpsIP31758_3296
ko:K06194	ypi:YpsIP31758_3294
ko:K02760	ypi:YpsIP31758_1091
ko:K02761	ypi:YpsIP31758_1092
ko:K03565	ypi:YpsIP31758_3239
ko:K02412	ypi:YpsIP31758_0634
ko:K03224	ypi:YpsIP31758_3818
ko:K09903	ypi:YpsIP31758_1015
ko:K01775	ypi:YpsIP31758_1652
ko:K02856	ypi:YpsIP31758_3752
ko:K02854	ypi:YpsIP31758_3753
ko:K02855	ypi:YpsIP31758_3754
ko:K00848	ypi:YpsIP31758_3755
ko:K01629	ypi:YpsIP31758_3757
ko:K03534	ypi:YpsIP31758_3759
ko:K01775	ypi:YpsIP31758_3764
ko:K05539	ypi:YpsIP31758_3768
ko:K01356	ypi:YpsIP31758_3770
ko:K00901	ypi:YpsIP31758_3771
ko:K05795	ypi:YpsIP31758_3784
ko:K05795	ypi:YpsIP31758_3785
ko:K05792	ypi:YpsIP31758_3788
ko:K09802	ypi:YpsIP31758_2417
ko:K01141	ypi:YpsIP31758_2420
ko:K00765	ypi:YpsIP31758_2428
ko:K00013	ypi:YpsIP31758_2429
ko:K00817	ypi:YpsIP31758_2430
ko:K01814	ypi:YpsIP31758_2433
ko:K00033	ypi:YpsIP31758_2436
ko:K00963	ypi:YpsIP31758_2437
ko:K00963	ypi:YpsIP31758_2438
ko:K02016	ypi:YpsIP31758_2441
ko:K02015	ypi:YpsIP31758_2442
ko:K02015	ypi:YpsIP31758_2443
ko:K02013	ypi:YpsIP31758_2444
ko:K01494	ypi:YpsIP31758_2452
ko:K00876	ypi:YpsIP31758_2453
ko:K03593	ypi:YpsIP31758_2454
ko:K09958	ypi:YpsIP31758_2759
ko:K09475	ypi:YpsIP31758_2761
ko:K11107	ypi:YpsIP31758_2771
ko:K06942	ypi:YpsIP31758_2075
ko:K08191	ypi:YpsIP31758_0490
ko:K01812	ypi:YpsIP31758_0491
ko:K00041	ypi:YpsIP31758_0492
ko:K01685	ypi:YpsIP31758_0493
ko:K07043	ypi:YpsIP31758_0498
ko:K02025	ypi:YpsIP31758_0529
ko:K01995	ypi:YpsIP31758_0247
ko:K02793	ypi:YpsIP31758_2368
ko:K02794	ypi:YpsIP31758_2368
ko:K01821	ypi:YpsIP31758_4060
ko:K00874	ypi:YpsIP31758_4062
ko:K01745	ypi:YpsIP31758_4085
ko:K01712	ypi:YpsIP31758_4086
ko:K01738	ypi:YpsIP31758_4087
ko:K00759	ypi:YpsIP31758_4088
ko:K02016	ypi:YpsIP31758_4091
ko:K02015	ypi:YpsIP31758_4092
ko:K02015	ypi:YpsIP31758_4093
ko:K02013	ypi:YpsIP31758_4095
ko:K01805	ypi:YpsIP31758_4102
ko:K02849	ypi:YpsIP31758_3516
ko:K02025	ypi:YpsIP31758_1528
ko:K02026	ypi:YpsIP31758_1529
ko:K01914	ypi:YpsIP31758_0003
ko:K03924	ypi:YpsIP31758_0005
ko:K03549	ypi:YpsIP31758_0006
ko:K00852	ypi:YpsIP31758_0008
ko:K09896	ypi:YpsIP31758_0018
ko:K03978	ypi:YpsIP31758_0022
ko:K09894	ypi:YpsIP31758_0023
ko:K07712	ypi:YpsIP31758_0025
ko:K01915	ypi:YpsIP31758_0027
ko:K07058	ypi:YpsIP31758_0030
ko:K07560	ypi:YpsIP31758_0031
ko:K03273	ypi:YpsIP31758_1044
ko:K02619	ypi:YpsIP31758_1581
ko:K06903	ypi:YpsIP31758_2184
ko:K01224	ypi:YpsIP31758_0917
ko:K08191	ypi:YpsIP31758_0926
ko:K08302	ypi:YpsIP31758_0929
ko:K06871	ypi:YpsIP31758_0932
ko:K01664	ypi:YpsIP31758_3948
ko:K06181	ypi:YpsIP31758_1614
ko:K02299	ypi:YpsIP31758_3100
ko:K02298	ypi:YpsIP31758_3099
ko:K02297	ypi:YpsIP31758_3098
ko:K08218	ypi:YpsIP31758_3096
ko:K03544	ypi:YpsIP31758_3091
ko:K02909	ypi:YpsIP31758_3069
ko:K06187	ypi:YpsIP31758_3057
ko:K03269	ypi:YpsIP31758_3016
ko:K06199	ypi:YpsIP31758_2957
ko:K03642	ypi:YpsIP31758_2951
ko:K03750	ypi:YpsIP31758_2480
ko:K03748	ypi:YpsIP31758_2464
ko:K03837	ypi:YpsIP31758_2656
ko:K08276	ypi:YpsIP31758_2772
ko:K06891	ypi:YpsIP31758_2607
ko:K03694	ypi:YpsIP31758_2606
ko:K08484	ypi:YpsIP31758_0982
ko:K07320	ypi:YpsIP31758_1404
ko:K01736	ypi:YpsIP31758_1405
ko:K09906	ypi:YpsIP31758_1408
ko:K03473	ypi:YpsIP31758_1418
ko:K03749	ypi:YpsIP31758_1424
ko:K00764	ypi:YpsIP31758_1426
ko:K10014	ypi:YpsIP31758_1428
ko:K10016	ypi:YpsIP31758_1429
ko:K10015	ypi:YpsIP31758_1430
ko:K00942	ypi:YpsIP31758_0041
ko:K00989	ypi:YpsIP31758_0056
ko:K01581	ypi:YpsIP31758_0811
ko:K02014	ypi:YpsIP31758_0815
ko:K02016	ypi:YpsIP31758_0816
ko:K05594	ypi:YpsIP31758_1479
ko:K01661	ypi:YpsIP31758_1484
ko:K09960	ypi:YpsIP31758_2222
ko:K00242	ypi:YpsIP31758_2884
ko:K00605	ypi:YpsIP31758_0863
ko:K06980	ypi:YpsIP31758_0872
ko:K09159	ypi:YpsIP31758_0873
ko:K07663	ypi:YpsIP31758_0875
ko:K03840	ypi:YpsIP31758_0878
ko:K02836	ypi:YpsIP31758_0882
ko:K09808	ypi:YpsIP31758_1600
ko:K09808	ypi:YpsIP31758_1602
ko:K01258	ypi:YpsIP31758_1605
ko:K01756	ypi:YpsIP31758_1610
ko:K07153	ypi:YpsIP31758_1611
ko:K00566	ypi:YpsIP31758_1612
ko:K01304	ypi:YpsIP31758_1120
ko:K00278	ypi:YpsIP31758_1128
ko:K03088	ypi:YpsIP31758_1129
ko:K03100	ypi:YpsIP31758_1135
ko:K03474	ypi:YpsIP31758_1139
ko:K00997	ypi:YpsIP31758_1140
ko:K07106	ypi:YpsIP31758_1143
ko:K01952	ypi:YpsIP31758_1147
ko:K07711	ypi:YpsIP31758_1150
ko:K07715	ypi:YpsIP31758_1152
ko:K05916	ypi:YpsIP31758_1157
ko:K00600	ypi:YpsIP31758_1158
ko:K02014	ypi:YpsIP31758_2373
ko:K00563	ypi:YpsIP31758_2376
ko:K07178	ypi:YpsIP31758_2390
ko:K09933	ypi:YpsIP31758_2392
ko:K09912	ypi:YpsIP31758_2403
ko:K01940	ypi:YpsIP31758_2408
ko:K00101	ypi:YpsIP31758_2409
ko:K05810	ypi:YpsIP31758_3213
ko:K02013	ypi:YpsIP31758_2633
ko:K09996	ypi:YpsIP31758_2639
ko:K03212	ypi:YpsIP31758_2640
ko:K03674	ypi:YpsIP31758_2648
ko:K07085	ypi:YpsIP31758_2649
ko:K01619	ypi:YpsIP31758_2652
ko:K07258	ypi:YpsIP31758_2659
ko:K02072	ypi:YpsIP31758_2660
ko:K02073	ypi:YpsIP31758_2662
ko:K02013	ypi:YpsIP31758_2667
ko:K02016	ypi:YpsIP31758_2669
ko:K01151	ypi:YpsIP31758_2675
ko:K01673	ypi:YpsIP31758_0950
ko:K02452	ypi:YpsIP31758_0952
ko:K02454	ypi:YpsIP31758_0954
ko:K02456	ypi:YpsIP31758_0956
ko:K02460	ypi:YpsIP31758_0959
ko:K07396	ypi:YpsIP31758_0966
ko:K01586	ypi:YpsIP31758_0973
ko:K08227	ypi:YpsIP31758_0976
ko:K08311	ypi:YpsIP31758_0981
ko:K00560	ypi:YpsIP31758_0984
ko:K01407	ypi:YpsIP31758_0990
ko:K01945	ypi:YpsIP31758_3844
ko:K00981	ypi:YpsIP31758_3005
ko:K02003	ypi:YpsIP31758_3020
ko:K05838	ypi:YpsIP31758_3023
ko:K07340	ypi:YpsIP31758_3025
ko:K08223	ypi:YpsIP31758_3033
ko:K03455	ypi:YpsIP31758_3034
ko:K00892	ypi:YpsIP31758_3035
ko:K02914	ypi:YpsIP31758_4154
ko:K03217	ypi:YpsIP31758_4157
ko:K03650	ypi:YpsIP31758_4158
ko:K06901	ypi:YpsIP31758_4161
ko:K07148	ypi:YpsIP31758_2469
ko:K01495	ypi:YpsIP31758_2470
ko:K02003	ypi:YpsIP31758_2478
ko:K06871	ypi:YpsIP31758_2479
ko:K07552	ypi:YpsIP31758_2717
ko:K02897	ypi:YpsIP31758_2720
ko:K06899	ypi:YpsIP31758_2721
ko:K09904	ypi:YpsIP31758_2722
ko:K07014	ypi:YpsIP31758_2723
ko:K03584	ypi:YpsIP31758_1138
ko:K00995	ypi:YpsIP31758_2251
ko:K03182	ypi:YpsIP31758_0280
ko:K03186	ypi:YpsIP31758_1427
ko:K02818	ypi:YpsIP31758_0431
ko:K02819	ypi:YpsIP31758_0431
ko:K03312	ypi:YpsIP31758_0036
ko:K07306	ypi:YpsIP31758_3261
ko:K06179	ypi:YpsIP31758_1570
ko:K07306	ypi:YpsIP31758_1344
ko:K03824	ypi:YpsIP31758_3579
ko:K08303	ypi:YpsIP31758_3582
ko:K00962	ypi:YpsIP31758_3592
ko:K05526	ypi:YpsIP31758_2117
ko:K01484	ypi:YpsIP31758_2118
ko:K06447	ypi:YpsIP31758_2119
ko:K00673	ypi:YpsIP31758_2120
ko:K00840	ypi:YpsIP31758_2121
ko:K02003	ypi:YpsIP31758_2136
ko:K07230	ypi:YpsIP31758_2140
ko:K07243	ypi:YpsIP31758_2141
ko:K03086	ypi:YpsIP31758_0553
ko:K02970	ypi:YpsIP31758_0555
ko:K01409	ypi:YpsIP31758_0556
ko:K01633	ypi:YpsIP31758_0558
ko:K06153	ypi:YpsIP31758_0559
ko:K07184	ypi:YpsIP31758_0561
ko:K00982	ypi:YpsIP31758_0563
ko:K00556	ypi:YpsIP31758_0038
ko:K07507	ypi:YpsIP31758_1805
ko:K09978	ypi:YpsIP31758_1811
ko:K03690	ypi:YpsIP31758_0272
ko:K01698	ypi:YpsIP31758_0278
ko:K05785	ypi:YpsIP31758_0279
ko:K00651	ypi:YpsIP31758_0292
ko:K01638	ypi:YpsIP31758_0294
ko:K01637	ypi:YpsIP31758_0295
ko:K00548	ypi:YpsIP31758_0298
ko:K02040	ypi:YpsIP31758_3134
ko:K00847	ypi:YpsIP31758_3140
ko:K09913	ypi:YpsIP31758_3142
ko:K00891	ypi:YpsIP31758_3143
ko:K00147	ypi:YpsIP31758_3149
ko:K00931	ypi:YpsIP31758_3150
ko:K00769	ypi:YpsIP31758_3153
ko:K03933	ypi:YpsIP31758_3154
ko:K06915	ypi:YpsIP31758_3949
ko:K02014	ypi:YpsIP31758_3953
ko:K06141	ypi:YpsIP31758_3954
ko:K01867	ypi:YpsIP31758_3960
ko:K01783	ypi:YpsIP31758_3962
ko:K03112	ypi:YpsIP31758_3964
ko:K01735	ypi:YpsIP31758_3965
ko:K00891	ypi:YpsIP31758_3966
ko:K01921	ypi:YpsIP31758_3385
ko:K01924	ypi:YpsIP31758_3386
ko:K01925	ypi:YpsIP31758_3389
ko:K01000	ypi:YpsIP31758_3390
ko:K01929	ypi:YpsIP31758_3391
ko:K01928	ypi:YpsIP31758_3392
ko:K03435	ypi:YpsIP31758_3399
ko:K05798	ypi:YpsIP31758_3403
ko:K01649	ypi:YpsIP31758_3405
ko:K00052	ypi:YpsIP31758_3406
ko:K03291	ypi:YpsIP31758_3409
ko:K02063	ypi:YpsIP31758_3415
ko:K05796	ypi:YpsIP31758_3683
ko:K06915	ypi:YpsIP31758_3715
ko:K02197	ypi:YpsIP31758_1391
ko:K02198	ypi:YpsIP31758_1392
ko:K02199	ypi:YpsIP31758_1393
ko:K02200	ypi:YpsIP31758_1394
ko:K02511	ypi:YpsIP31758_2358
ko:K03719	ypi:YpsIP31758_2597
ko:K06941	ypi:YpsIP31758_1183
ko:K01996	ypi:YpsIP31758_0248
ko:K02193	ypi:YpsIP31758_1387
ko:K03117	ypi:YpsIP31758_0275
ko:K03116	ypi:YpsIP31758_0274
ko:K02887	ypi:YpsIP31758_1715
ko:K03767	ypi:YpsIP31758_3950
ko:K08312	ypi:YpsIP31758_3973
ko:K03579	ypi:YpsIP31758_3335
ko:K02742	ypi:YpsIP31758_0840
ko:K02314	ypi:YpsIP31758_3747
ko:K03559	ypi:YpsIP31758_0592
ko:K03815	ypi:YpsIP31758_2824
ko:K02858	ypi:YpsIP31758_0567
ko:K06140	ypi:YpsIP31758_0429
ko:K06287	ypi:YpsIP31758_0401
ko:K03571	ypi:YpsIP31758_0400
ko:K09823	ypi:YpsIP31758_3769
ko:K03179	ypi:YpsIP31758_3773
ko:K03181	ypi:YpsIP31758_3774
ko:K03615	ypi:YpsIP31758_1896
ko:K07034	ypi:YpsIP31758_3467
ko:K07643	ypi:YpsIP31758_3608
ko:K07771	ypi:YpsIP31758_3607
ko:K01595	ypi:YpsIP31758_0125
ko:K01438	ypi:YpsIP31758_0126
ko:K00145	ypi:YpsIP31758_0127
ko:K00930	ypi:YpsIP31758_0128
ko:K01755	ypi:YpsIP31758_0129
ko:K04761	ypi:YpsIP31758_0138
ko:K00322	ypi:YpsIP31758_0137
ko:K01776	ypi:YpsIP31758_0143
ko:K09897	ypi:YpsIP31758_0152
ko:K07391	ypi:YpsIP31758_0153
ko:K00826	ypi:YpsIP31758_0156
ko:K01687	ypi:YpsIP31758_0157
ko:K01754	ypi:YpsIP31758_0158
ko:K09158	ypi:YpsIP31758_2953
ko:K03801	ypi:YpsIP31758_2954
ko:K03704	ypi:YpsIP31758_2958
ko:K03337	ypi:YpsIP31758_2967
ko:K03335	ypi:YpsIP31758_2968
ko:K03338	ypi:YpsIP31758_2969
ko:K03336	ypi:YpsIP31758_2976
ko:K00140	ypi:YpsIP31758_2977
ko:K06894	ypi:YpsIP31758_2979
ko:K07058	ypi:YpsIP31758_4056
ko:K01521	ypi:YpsIP31758_4057
ko:K07290	ypi:YpsIP31758_4058
ko:K03747	ypi:YpsIP31758_3880
ko:K06190	ypi:YpsIP31758_1944
ko:K03118	ypi:YpsIP31758_0276
ko:K01419	ypi:YpsIP31758_0113
ko:K03667	ypi:YpsIP31758_0112
ko:K03564	ypi:YpsIP31758_1245
ko:K03225	ypi:YpsIP31758_3815
ko:K06178	ypi:YpsIP31758_1928
ko:K03226	ypi:YpsIP31758_3814
ko:K03592	ypi:YpsIP31758_0426
ko:K02682	ypi:YpsIP31758_3370
ko:K06180	ypi:YpsIP31758_3214
ko:K06916	ypi:YpsIP31758_0458
ko:K00324	ypi:YpsIP31758_1830
ko:K08680	ypi:YpsIP31758_1483
ko:K11085	ypi:YpsIP31758_2577
ko:K00537	ypi:YpsIP31758_1238
ko:K02079	ypi:YpsIP31758_0936
ko:K02082	ypi:YpsIP31758_0941
ko:K01903	ypi:YpsIP31758_2879
ko:K05873	ypi:YpsIP31758_2804
ko:K04043	ypi:YpsIP31758_3466
ko:K02968	ypi:YpsIP31758_3462
ko:K03589	ypi:YpsIP31758_3384
ko:K00362	ypi:YpsIP31758_3956
ko:K00363	ypi:YpsIP31758_3957
ko:K00163	ypi:YpsIP31758_3363
ko:K00956	ypi:YpsIP31758_3303
ko:K07345	ypi:YpsIP31758_1675
ko:K07675	ypi:YpsIP31758_4079
ko:K07640	ypi:YpsIP31758_0083
ko:K10914	ypi:YpsIP31758_3945
ko:K07677	ypi:YpsIP31758_2765
ko:K07638	ypi:YpsIP31758_3979
ko:K02386	ypi:YpsIP31758_0638
ko:K01902	ypi:YpsIP31758_2878
ko:K02170	ypi:YpsIP31758_3988
ko:K02081	ypi:YpsIP31758_0943
ko:K04772	ypi:YpsIP31758_0456
ko:K00631	ypi:YpsIP31758_3772
ko:K02821	ypi:YpsIP31758_1440
ko:K03786	ypi:YpsIP31758_0393
ko:K02392	ypi:YpsIP31758_0644
ko:K02340	ypi:YpsIP31758_2928
ko:K01892	ypi:YpsIP31758_1187
ko:K02341	ypi:YpsIP31758_1584
ko:K04564	ypi:YpsIP31758_4121
ko:K02391	ypi:YpsIP31758_0643
ko:K02115	ypi:YpsIP31758_4177
ko:K03778	ypi:YpsIP31758_1808
ko:K03668	ypi:YpsIP31758_1807
ko:K03721	ypi:YpsIP31758_1794
ko:K03970	ypi:YpsIP31758_1787
ko:K06200	ypi:YpsIP31758_1905
ko:K07275	ypi:YpsIP31758_1940
ko:K06131	ypi:YpsIP31758_1953
ko:K04773	ypi:YpsIP31758_1982
ko:K07180	ypi:YpsIP31758_1991
ko:K03603	ypi:YpsIP31758_1999
ko:K03314	ypi:YpsIP31758_2000
ko:K03611	ypi:YpsIP31758_2001
ko:K03610	ypi:YpsIP31758_2010
ko:K03684	ypi:YpsIP31758_2013
ko:K06201	ypi:YpsIP31758_2040
ko:K05591	ypi:YpsIP31758_2350
ko:K02795	ypi:YpsIP31758_2369
ko:K02796	ypi:YpsIP31758_2370
ko:K02420	ypi:YpsIP31758_0625
ko:K00793	ypi:YpsIP31758_1751
ko:K01961	ypi:YpsIP31758_0391
ko:K02387	ypi:YpsIP31758_0639
ko:K02411	ypi:YpsIP31758_0633
ko:K01589	ypi:YpsIP31758_3018
ko:K01807	ypi:YpsIP31758_0855
ko:K03412	ypi:YpsIP31758_1645
ko:K02343	ypi:YpsIP31758_3059
ko:K03092	ypi:YpsIP31758_0441
ko:K00609	ypi:YpsIP31758_0436
ko:K03806	ypi:YpsIP31758_3368
ko:K01447	ypi:YpsIP31758_1649
ko:K04565	ypi:YpsIP31758_3315
ko:K00281	ypi:YpsIP31758_0865
ko:K03106	ypi:YpsIP31758_3230
ko:K02346	ypi:YpsIP31758_3157
ko:K02337	ypi:YpsIP31758_1028
ko:K02338	ypi:YpsIP31758_4152
ko:K02339	ypi:YpsIP31758_3544
ko:K10542	ypi:YpsIP31758_2466
ko:K10440	ypi:YpsIP31758_1509
ko:K10441	ypi:YpsIP31758_1508
ko:K10439	ypi:YpsIP31758_1507
ko:K02057	ypi:YpsIP31758_2424
ko:K10543	ypi:YpsIP31758_4101
ko:K10541	ypi:YpsIP31758_2465
ko:K00647	ypi:YpsIP31758_1411
ko:K03723	ypi:YpsIP31758_1598
ko:K10441	ypi:YpsIP31758_4030
ko:K10440	ypi:YpsIP31758_4029
ko:K10439	ypi:YpsIP31758_4028
ko:K04477	ypi:YpsIP31758_2053
ko:K10544	ypi:YpsIP31758_4099
ko:K03553	ypi:YpsIP31758_3240
ko:K02686	ypi:YpsIP31758_3638
ko:K04067	ypi:YpsIP31758_3062
ko:K03893	ypi:YpsIP31758_3282
ko:K06177	ypi:YpsIP31758_3439
ko:K05589	ypi:YpsIP31758_3300
ko:K00230	ypi:YpsIP31758_0287
ko:K01588	ypi:YpsIP31758_3017
ko:K08300	ypi:YpsIP31758_1569
ko:K02520	ypi:YpsIP31758_1713
ko:K02342	ypi:YpsIP31758_1055
ko:K02313	ypi:YpsIP31758_4153
ko:K03646	ypi:YpsIP31758_2869
ko:K03640	ypi:YpsIP31758_2867
ko:K03616	ypi:YpsIP31758_1895
ko:K00239	ypi:YpsIP31758_2883
ko:K00346	ypi:YpsIP31758_3166
ko:K02439	ypi:YpsIP31758_3995
ko:K00347	ypi:YpsIP31758_3165
ko:K00348	ypi:YpsIP31758_3164
ko:K00349	ypi:YpsIP31758_3163
ko:K07274	ypi:YpsIP31758_1990
ko:K03776	ypi:YpsIP31758_1618
ko:K01531	ypi:YpsIP31758_1633
ko:K03764	ypi:YpsIP31758_0120
ko:K01804	ypi:YpsIP31758_1887
ko:K04062	ypi:YpsIP31758_1911
ko:K03113	ypi:YpsIP31758_1912
ko:K01591	ypi:YpsIP31758_1913
ko:K09710	ypi:YpsIP31758_2947
ko:K00783	ypi:YpsIP31758_2948
ko:K05807	ypi:YpsIP31758_3215
ko:K05809	ypi:YpsIP31758_3216
ko:K01626	ypi:YpsIP31758_3220
ko:K07283	ypi:YpsIP31758_3223
ko:K00554	ypi:YpsIP31758_3226
ko:K07173	ypi:YpsIP31758_3233
ko:K01919	ypi:YpsIP31758_3234
ko:K01872	ypi:YpsIP31758_3238
ko:K03743	ypi:YpsIP31758_3241
ko:K00864	ypi:YpsIP31758_3247
ko:K00615	ypi:YpsIP31758_3248
ko:K00615	ypi:YpsIP31758_3249
ko:K00882	ypi:YpsIP31758_2682
ko:K03831	ypi:YpsIP31758_3470
ko:K00616	ypi:YpsIP31758_3472
ko:K09861	ypi:YpsIP31758_3473
ko:K01733	ypi:YpsIP31758_3474
ko:K07773	ypi:YpsIP31758_3478
ko:K03720	ypi:YpsIP31758_3482
ko:K08309	ypi:YpsIP31758_3484
ko:K01839	ypi:YpsIP31758_3496
ko:K01619	ypi:YpsIP31758_3498
ko:K03424	ypi:YpsIP31758_3500
ko:K06970	ypi:YpsIP31758_1491
ko:K03451	ypi:YpsIP31758_1515
ko:K07053	ypi:YpsIP31758_1930
ko:K00766	ypi:YpsIP31758_1934
ko:K03832	ypi:YpsIP31758_1946
ko:K09780	ypi:YpsIP31758_1947
ko:K09981	ypi:YpsIP31758_1948
ko:K09901	ypi:YpsIP31758_1954
ko:K00857	ypi:YpsIP31758_1964
ko:K00012	ypi:YpsIP31758_1968
ko:K09858	ypi:YpsIP31758_1970
ko:K01433	ypi:YpsIP31758_1971
ko:K00820	ypi:YpsIP31758_4173
ko:K07262	ypi:YpsIP31758_2806
ko:K05541	ypi:YpsIP31758_2808
ko:K01993	ypi:YpsIP31758_2812
ko:K02168	ypi:YpsIP31758_2828
ko:K02167	ypi:YpsIP31758_2829
ko:K06890	ypi:YpsIP31758_2832
ko:K01935	ypi:YpsIP31758_2841
ko:K07109	ypi:YpsIP31758_3629
ko:K07322	ypi:YpsIP31758_3632
ko:K07269	ypi:YpsIP31758_3634
ko:K02011	ypi:YpsIP31758_1349
ko:K02012	ypi:YpsIP31758_1350
ko:K07347	ypi:YpsIP31758_1663
ko:K03797	ypi:YpsIP31758_1672
ko:K07347	ypi:YpsIP31758_1677
ko:K07345	ypi:YpsIP31758_1678
ko:K08169	ypi:YpsIP31758_1680
ko:K01815	ypi:YpsIP31758_1694
ko:K08308	ypi:YpsIP31758_1706
ko:K00053	ypi:YpsIP31758_0163
ko:K03664	ypi:YpsIP31758_2893
ko:K01886	ypi:YpsIP31758_2907
ko:K01443	ypi:YpsIP31758_2910
ko:K01953	ypi:YpsIP31758_2913
ko:K10001	ypi:YpsIP31758_2920
ko:K10003	ypi:YpsIP31758_2921
ko:K10002	ypi:YpsIP31758_2922
ko:K10004	ypi:YpsIP31758_2923
ko:K01869	ypi:YpsIP31758_2926
ko:K00969	ypi:YpsIP31758_2929
ko:K01489	ypi:YpsIP31758_2462
ko:K07308	ypi:YpsIP31758_3259
ko:K02430	ypi:YpsIP31758_3264
ko:K00880	ypi:YpsIP31758_3270
ko:K01265	ypi:YpsIP31758_3273
ko:K00428	ypi:YpsIP31758_3278
ko:K05879	ypi:YpsIP31758_3285
ko:K05878	ypi:YpsIP31758_3286
ko:K00573	ypi:YpsIP31758_3295
ko:K01770	ypi:YpsIP31758_3298
ko:K00991	ypi:YpsIP31758_3299
ko:K05846	ypi:YpsIP31758_2783
ko:K05846	ypi:YpsIP31758_2785
ko:K08321	ypi:YpsIP31758_3525
ko:K01153	ypi:YpsIP31758_3538
ko:K07091	ypi:YpsIP31758_3542
ko:K01255	ypi:YpsIP31758_3543
ko:K01873	ypi:YpsIP31758_3545
ko:K03828	ypi:YpsIP31758_3546
ko:K09893	ypi:YpsIP31758_3548
ko:K00611	ypi:YpsIP31758_3549
ko:K02035	ypi:YpsIP31758_3551
ko:K02033	ypi:YpsIP31758_3552
ko:K02034	ypi:YpsIP31758_3553
ko:K02031	ypi:YpsIP31758_3554
ko:K02032	ypi:YpsIP31758_3555
ko:K02026	ypi:YpsIP31758_0530
ko:K07396	ypi:YpsIP31758_0545
ko:K04095	ypi:YpsIP31758_0548
ko:K07685	ypi:YpsIP31758_1270
ko:K07223	ypi:YpsIP31758_1292
