ko:K01175	hix:NTHI723_01512
ko:K03100	hix:NTHI723_01702
ko:K03685	hix:NTHI723_01703
ko:K00564	hix:NTHI723_01705
ko:K02344	hix:NTHI723_01706
ko:K03789	hix:NTHI723_01707
ko:K02380	hix:NTHI723_01708
ko:K00127	hix:NTHI723_01709
ko:K00124	hix:NTHI723_01710
ko:K00123	hix:NTHI723_01711
ko:K00123	hix:NTHI723_01712
ko:K02379	hix:NTHI723_01713
ko:K07042	hix:NTHI723_01714
ko:K01897	hix:NTHI723_01716
ko:K00134	hix:NTHI723_01717
ko:K00942	hix:NTHI723_01718
ko:K03060	hix:NTHI723_01719
ko:K03655	hix:NTHI723_01721
ko:K01776	hix:NTHI723_01722
ko:K00101	hix:NTHI723_01723
ko:K03576	hix:NTHI723_01729
ko:K02837	hix:NTHI723_01733
ko:K00208	hix:NTHI723_01734
ko:K01153	hix:NTHI723_00252
ko:K02519	hix:NTHI723_00253
ko:K02600	hix:NTHI723_00254
ko:K09748	hix:NTHI723_00255
ko:K03593	hix:NTHI723_00293
ko:K01874	hix:NTHI723_00294
ko:K16868	hix:NTHI723_00295
ko:K01069	hix:NTHI723_00296
ko:K09136	hix:NTHI723_00299
ko:K02469	hix:NTHI723_00300
ko:K00641	hix:NTHI723_00301
ko:K03748	hix:NTHI723_00302
ko:K03923	hix:NTHI723_01055
ko:K14441	hix:NTHI723_01056
ko:K07507	hix:NTHI723_01057
ko:K00133	hix:NTHI723_01058
ko:K01048	hix:NTHI723_01059
ko:K04042	hix:NTHI723_01064
ko:K02935	hix:NTHI723_01065
ko:K02864	hix:NTHI723_01066
ko:K01756	hix:NTHI723_01067
ko:K07153	hix:NTHI723_01068
ko:K01867	hix:NTHI723_01069
ko:K05539	hix:NTHI723_01071
ko:K02358	hix:NTHI723_01074
ko:K02355	hix:NTHI723_01075
ko:K02992	hix:NTHI723_01076
ko:K02950	hix:NTHI723_01077
ko:K03495	hix:NTHI723_01078
ko:K01119	hix:NTHI723_01080
ko:K03326	hix:NTHI723_01083
ko:K05995	hix:NTHI723_01084
ko:K16087	hix:NTHI723_01086
ko:K00926	hix:NTHI723_01088
ko:K00611	hix:NTHI723_01089
ko:K06199	hix:NTHI723_01091
ko:K03565	hix:NTHI723_01092
ko:K07343	hix:NTHI723_01094
ko:K01462	hix:NTHI723_01101
ko:K00604	hix:NTHI723_01102
ko:K03500	hix:NTHI723_01103
ko:K03499	hix:NTHI723_01104
ko:K03282	hix:NTHI723_01105
ko:K09159	hix:NTHI723_01106
ko:K03088	hix:NTHI723_01107
ko:K03597	hix:NTHI723_01108
ko:K01147	hix:NTHI723_01735
ko:K07160	hix:NTHI723_01738
ko:K01940	hix:NTHI723_01740
ko:K01923	hix:NTHI723_01741
ko:K05365	hix:NTHI723_01742
ko:K09910	hix:NTHI723_01743
ko:K15724	hix:NTHI723_01744
ko:K01265	hix:NTHI723_01745
ko:K00990	hix:NTHI723_01746
ko:K02851	hix:NTHI723_01747
ko:K13288	hix:NTHI723_01750
ko:K06949	hix:NTHI723_01751
ko:K02784	hix:NTHI723_01752
ko:K08483	hix:NTHI723_01753
ko:K02777	hix:NTHI723_01754
ko:K07666	hix:NTHI723_01758
ko:K07645	hix:NTHI723_01759
ko:K02168	hix:NTHI723_01760
ko:K01255	hix:NTHI723_01761
ko:K07091	hix:NTHI723_01762
ko:K11720	hix:NTHI723_01763
ko:K00549	hix:NTHI723_01764
ko:K00785	hix:NTHI723_01767
ko:K07270	hix:NTHI723_01769
ko:K02019	hix:NTHI723_01772
ko:K02020	hix:NTHI723_01773
ko:K02018	hix:NTHI723_01774
ko:K02017	hix:NTHI723_01775
ko:K03308	hix:NTHI723_01776
ko:K10773	hix:NTHI723_01777
ko:K03613	hix:NTHI723_01778
ko:K03612	hix:NTHI723_01779
ko:K03614	hix:NTHI723_01780
ko:K03615	hix:NTHI723_01781
ko:K03616	hix:NTHI723_01782
ko:K03617	hix:NTHI723_01783
ko:K03531	hix:NTHI723_00501
ko:K03590	hix:NTHI723_00502
ko:K03589	hix:NTHI723_00503
ko:K01921	hix:NTHI723_00504
ko:K01924	hix:NTHI723_00505
ko:K02563	hix:NTHI723_00506
ko:K03588	hix:NTHI723_00507
ko:K01925	hix:NTHI723_00508
ko:K01000	hix:NTHI723_00509
ko:K01929	hix:NTHI723_00510
ko:K01928	hix:NTHI723_00511
ko:K03587	hix:NTHI723_00512
ko:K03586	hix:NTHI723_00513
ko:K03438	hix:NTHI723_00514
ko:K03925	hix:NTHI723_00515
ko:K00616	hix:NTHI723_00517
ko:K15580	hix:NTHI723_00518
ko:K15581	hix:NTHI723_00519
ko:K15582	hix:NTHI723_00520
ko:K15583	hix:NTHI723_00521
ko:K10823	hix:NTHI723_00522
ko:K09824	hix:NTHI723_00523
ko:K03978	hix:NTHI723_00524
ko:K07391	hix:NTHI723_00525
ko:K01619	hix:NTHI723_00526
ko:K03274	hix:NTHI723_00528
ko:K00854	hix:NTHI723_00529
ko:K01805	hix:NTHI723_00530
ko:K14155	hix:NTHI723_00531
ko:K03315	hix:NTHI723_00532
ko:K02529	hix:NTHI723_00533
ko:K02843	hix:NTHI723_00534
ko:K01738	hix:NTHI723_00536
ko:K06203	hix:NTHI723_00537
ko:K03528	hix:NTHI723_00538
ko:K01972	hix:NTHI723_00539
ko:K02200	hix:NTHI723_00543
ko:K02199	hix:NTHI723_00544
ko:K02198	hix:NTHI723_00545
ko:K02197	hix:NTHI723_00546
ko:K02196	hix:NTHI723_00547
ko:K13643	hix:NTHI723_01310
ko:K04487	hix:NTHI723_01311
ko:K04488	hix:NTHI723_01312
ko:K13628	hix:NTHI723_01313
ko:K04082	hix:NTHI723_01314
ko:K04044	hix:NTHI723_01316
ko:K04755	hix:NTHI723_01317
ko:K01892	hix:NTHI723_01320
ko:K03526	hix:NTHI723_01321
ko:K15539	hix:NTHI723_01322
ko:K02656	hix:NTHI723_01323
ko:K06941	hix:NTHI723_01324
ko:K07262	hix:NTHI723_01325
ko:K11604	hix:NTHI723_01326
ko:K11607	hix:NTHI723_01327
ko:K11605	hix:NTHI723_01328
ko:K11606	hix:NTHI723_01329
ko:K03707	hix:NTHI723_01330
ko:K15598	hix:NTHI723_01331
ko:K15599	hix:NTHI723_01332
ko:K15600	hix:NTHI723_01333
ko:K01784	hix:NTHI723_01335
ko:K08218	hix:NTHI723_01336
ko:K00939	hix:NTHI723_01337
ko:K02569	hix:NTHI723_01338
ko:K02568	hix:NTHI723_01339
ko:K02574	hix:NTHI723_01340
ko:K02573	hix:NTHI723_01341
ko:K02567	hix:NTHI723_01342
ko:K02570	hix:NTHI723_01343
ko:K02572	hix:NTHI723_01344
ko:K09923	hix:NTHI723_01345
ko:K03439	hix:NTHI723_01346
ko:K04066	hix:NTHI723_01347
ko:K04751	hix:NTHI723_01349
ko:K03831	hix:NTHI723_01350
ko:K00901	hix:NTHI723_01351
ko:K00951	hix:NTHI723_01352
ko:K03215	hix:NTHI723_01353
ko:K03584	hix:NTHI723_01354
ko:K02356	hix:NTHI723_01358
ko:K11754	hix:NTHI723_00303
ko:K01963	hix:NTHI723_00304
ko:K03723	hix:NTHI723_00306
ko:K06957	hix:NTHI723_00308
ko:K19157	hix:NTHI723_00311
ko:K07473	hix:NTHI723_00312
ko:K03702	hix:NTHI723_00316
ko:K00029	hix:NTHI723_00318
ko:K06183	hix:NTHI723_00320
ko:K07552	hix:NTHI723_00321
ko:K00147	hix:NTHI723_00324
ko:K03686	hix:NTHI723_00325
ko:K04043	hix:NTHI723_00326
ko:K01734	hix:NTHI723_00328
ko:K00163	hix:NTHI723_00329
ko:K00627	hix:NTHI723_00330
ko:K00382	hix:NTHI723_00331
ko:K00759	hix:NTHI723_00332
ko:K02343	hix:NTHI723_00333
ko:K00761	hix:NTHI723_00334
ko:K02824	hix:NTHI723_00335
ko:K10763	hix:NTHI723_00336
ko:K03113	hix:NTHI723_00337
ko:K01591	hix:NTHI723_00338
ko:K08992	hix:NTHI723_00340
ko:K05788	hix:NTHI723_00341
ko:K02945	hix:NTHI723_00342
ko:K00945	hix:NTHI723_00343
ko:K06215	hix:NTHI723_00344
ko:K08681	hix:NTHI723_00345
ko:K03777	hix:NTHI723_00346
ko:K13694	hix:NTHI723_00347
ko:K03568	hix:NTHI723_00348
ko:K07056	hix:NTHI723_00349
ko:K07121	hix:NTHI723_00350
ko:K07460	hix:NTHI723_00351
ko:K03598	hix:NTHI723_01109
ko:K00867	hix:NTHI723_01110
ko:K02358	hix:NTHI723_01115
ko:K07237	hix:NTHI723_01116
ko:K07236	hix:NTHI723_01117
ko:K07235	hix:NTHI723_01118
ko:K03772	hix:NTHI723_01120
ko:K03745	hix:NTHI723_01121
ko:K04761	hix:NTHI723_01123
ko:K04760	hix:NTHI723_01125
ko:K06959	hix:NTHI723_01126
ko:K02470	hix:NTHI723_01127
ko:K01783	hix:NTHI723_01128
ko:K01091	hix:NTHI723_01129
ko:K01914	hix:NTHI723_01132
ko:K03718	hix:NTHI723_01133
ko:K04762	hix:NTHI723_01134
ko:K01082	hix:NTHI723_01137
ko:K00036	hix:NTHI723_01138
ko:K01057	hix:NTHI723_01139
ko:K00033	hix:NTHI723_01141
ko:K01525	hix:NTHI723_01143
ko:K07270	hix:NTHI723_01144
ko:K02528	hix:NTHI723_01145
ko:K02518	hix:NTHI723_01146
ko:K02990	hix:NTHI723_01147
ko:K02686	hix:NTHI723_01148
ko:K02963	hix:NTHI723_01149
ko:K02939	hix:NTHI723_01150
ko:K04077	hix:NTHI723_01151
ko:K04078	hix:NTHI723_01152
ko:K01430	hix:NTHI723_01153
ko:K01429	hix:NTHI723_01154
ko:K01428	hix:NTHI723_01155
ko:K03187	hix:NTHI723_01156
ko:K03188	hix:NTHI723_01157
ko:K03189	hix:NTHI723_01158
ko:K03190	hix:NTHI723_01159
ko:K01744	hix:NTHI723_01160
ko:K04774	hix:NTHI723_01784
ko:K09909	hix:NTHI723_01785
ko:K04485	hix:NTHI723_01791
ko:K03719	hix:NTHI723_01792
ko:K03466	hix:NTHI723_01793
ko:K03634	hix:NTHI723_01794
ko:K07478	hix:NTHI723_01795
ko:K00800	hix:NTHI723_01798
ko:K01433	hix:NTHI723_01799
ko:K03746	hix:NTHI723_01800
ko:K01652	hix:NTHI723_01802
ko:K01653	hix:NTHI723_01803
ko:K01887	hix:NTHI723_01804
ko:K09907	hix:NTHI723_01805
ko:K06077	hix:NTHI723_01806
ko:K01810	hix:NTHI723_01809
ko:K01775	hix:NTHI723_01810
ko:K00873	hix:NTHI723_01812
ko:K03554	hix:NTHI723_01822
ko:K03111	hix:NTHI723_01825
ko:K09901	hix:NTHI723_00106
ko:K03750	hix:NTHI723_00108
ko:K01495	hix:NTHI723_00109
ko:K09902	hix:NTHI723_00110
ko:K01935	hix:NTHI723_00111
ko:K00297	hix:NTHI723_00112
ko:K02871	hix:NTHI723_00113
ko:K02996	hix:NTHI723_00114
ko:K03599	hix:NTHI723_00115
ko:K03600	hix:NTHI723_00116
ko:K01662	hix:NTHI723_00117
ko:K00795	hix:NTHI723_00118
ko:K03602	hix:NTHI723_00119
ko:K03151	hix:NTHI723_00120
ko:K06175	hix:NTHI723_00122
ko:K09917	hix:NTHI723_00123
ko:K03704	hix:NTHI723_00124
ko:K03271	hix:NTHI723_00352
ko:K00658	hix:NTHI723_00356
ko:K00164	hix:NTHI723_00357
ko:K03424	hix:NTHI723_00359
ko:K03797	hix:NTHI723_00362
ko:K03607	hix:NTHI723_00363
ko:K03808	hix:NTHI723_00365
ko:K03635	hix:NTHI723_00367
ko:K03636	hix:NTHI723_00368
ko:K03637	hix:NTHI723_00369
ko:K03639	hix:NTHI723_00370
ko:K07322	hix:NTHI723_00371
ko:K06041	hix:NTHI723_00372
ko:K03270	hix:NTHI723_00373
ko:K09929	hix:NTHI723_00378
ko:K09930	hix:NTHI723_00379
ko:K15977	hix:NTHI723_00381
ko:K07220	hix:NTHI723_00382
ko:K03306	hix:NTHI723_00383
ko:K07184	hix:NTHI723_00384
ko:K00974	hix:NTHI723_00385
ko:K02494	hix:NTHI723_00386
ko:K00919	hix:NTHI723_00387
ko:K00948	hix:NTHI723_00388
ko:K01866	hix:NTHI723_00389
ko:K06206	hix:NTHI723_00390
ko:K03327	hix:NTHI723_00391
ko:K00793	hix:NTHI723_00392
ko:K01256	hix:NTHI723_00393
ko:K01588	hix:NTHI723_00396
ko:K01589	hix:NTHI723_00397
ko:K00813	hix:NTHI723_00398
ko:K02006	hix:NTHI723_00399
ko:K02008	hix:NTHI723_00400
ko:K03086	hix:NTHI723_01161
ko:K02970	hix:NTHI723_01163
ko:K01409	hix:NTHI723_01164
ko:K03834	hix:NTHI723_01166
ko:K01166	hix:NTHI723_01168
ko:K00927	hix:NTHI723_01169
ko:K01624	hix:NTHI723_01170
ko:K03317	hix:NTHI723_01175
ko:K03784	hix:NTHI723_01176
ko:K02867	hix:NTHI723_01177
ko:K02863	hix:NTHI723_01178
ko:K03043	hix:NTHI723_01179
ko:K03046	hix:NTHI723_01180
ko:K03304	hix:NTHI723_01181
ko:K02548	hix:NTHI723_01183
ko:K02553	hix:NTHI723_01184
ko:K02529	hix:NTHI723_01186
ko:K00852	hix:NTHI723_01187
ko:K10439	hix:NTHI723_01188
ko:K10440	hix:NTHI723_01189
ko:K10441	hix:NTHI723_01190
ko:K06726	hix:NTHI723_01191
ko:K09760	hix:NTHI723_01192
ko:K09471	hix:NTHI723_01193
ko:K11069	hix:NTHI723_01194
ko:K03667	hix:NTHI723_01195
ko:K01419	hix:NTHI723_01196
ko:K03788	hix:NTHI723_01197
ko:K07173	hix:NTHI723_01198
ko:K03501	hix:NTHI723_01202
ko:K02116	hix:NTHI723_01203
ko:K02108	hix:NTHI723_01204
ko:K02110	hix:NTHI723_01205
ko:K02109	hix:NTHI723_01206
ko:K02113	hix:NTHI723_01207
ko:K02111	hix:NTHI723_01208
ko:K02115	hix:NTHI723_01209
ko:K02112	hix:NTHI723_01210
ko:K02114	hix:NTHI723_01211
ko:K03976	hix:NTHI723_00125
ko:K01695	hix:NTHI723_00127
ko:K01696	hix:NTHI723_00128
ko:K01933	hix:NTHI723_00130
ko:K11175	hix:NTHI723_00131
ko:K14055	hix:NTHI723_00133
ko:K07724	hix:NTHI723_00908
ko:K07270	hix:NTHI723_00910
ko:K01952	hix:NTHI723_00912
ko:K11065	hix:NTHI723_00913
ko:K01778	hix:NTHI723_00914
ko:K01356	hix:NTHI723_00915
ko:K00631	hix:NTHI723_00916
ko:K03885	hix:NTHI723_00917
ko:K07792	hix:NTHI723_00918
ko:K03071	hix:NTHI723_00920
ko:K01840	hix:NTHI723_00921
ko:K02337	hix:NTHI723_00922
ko:K01754	hix:NTHI723_00923
ko:K01687	hix:NTHI723_00924
ko:K01652	hix:NTHI723_00925
ko:K03308	hix:NTHI723_00926
ko:K03269	hix:NTHI723_00928
ko:K00655	hix:NTHI723_00929
ko:K04744	hix:NTHI723_00931
ko:K01881	hix:NTHI723_00932
ko:K03654	hix:NTHI723_00933
ko:K06202	hix:NTHI723_00934
ko:K01586	hix:NTHI723_00936
ko:K07685	hix:NTHI723_00937
ko:K09894	hix:NTHI723_00939
ko:K03273	hix:NTHI723_00945
ko:K02071	hix:NTHI723_00946
ko:K02072	hix:NTHI723_00947
ko:K02073	hix:NTHI723_00948
ko:K02444	hix:NTHI723_00949
ko:K02441	hix:NTHI723_00950
ko:K06177	hix:NTHI723_00951
ko:K03580	hix:NTHI723_00952
ko:K02430	hix:NTHI723_00953
ko:K02558	hix:NTHI723_01582
ko:K09815	hix:NTHI723_01584
ko:K08304	hix:NTHI723_01586
ko:K12297	hix:NTHI723_01588
ko:K16087	hix:NTHI723_01596
ko:K00799	hix:NTHI723_01597
ko:K01875	hix:NTHI723_01598
ko:K03106	hix:NTHI723_01603
ko:K01153	hix:NTHI723_01604
ko:K01154	hix:NTHI723_01605
ko:K03655	hix:NTHI723_01606
ko:K03427	hix:NTHI723_01607
ko:K04079	hix:NTHI723_01609
ko:K01439	hix:NTHI723_01611
ko:K02010	hix:NTHI723_01613
ko:K02011	hix:NTHI723_01614
ko:K02012	hix:NTHI723_01615
ko:K02647	hix:NTHI723_01619
ko:K03299	hix:NTHI723_01620
ko:K00865	hix:NTHI723_01621
ko:K06997	hix:NTHI723_01622
ko:K12524	hix:NTHI723_01623
ko:K00872	hix:NTHI723_01624
ko:K01733	hix:NTHI723_01625
ko:K01739	hix:NTHI723_01630
ko:K03778	hix:NTHI723_01631
ko:K03671	hix:NTHI723_01632
ko:K00549	hix:NTHI723_01633
ko:K00254	hix:NTHI723_00173
ko:K07053	hix:NTHI723_00174
ko:K01679	hix:NTHI723_00176
ko:K02339	hix:NTHI723_00179
ko:K09900	hix:NTHI723_00182
ko:K01873	hix:NTHI723_00184
ko:K04653	hix:NTHI723_00185
ko:K13498	hix:NTHI723_00186
ko:K00766	hix:NTHI723_00187
ko:K01658	hix:NTHI723_00189
ko:K01657	hix:NTHI723_00190
ko:K02217	hix:NTHI723_00192
ko:K02217	hix:NTHI723_00193
ko:K02040	hix:NTHI723_00194
ko:K02037	hix:NTHI723_00195
ko:K02038	hix:NTHI723_00196
ko:K02036	hix:NTHI723_00197
ko:K07657	hix:NTHI723_00198
ko:K07636	hix:NTHI723_00199
ko:K01141	hix:NTHI723_00200
ko:K02007	hix:NTHI723_00401
ko:K16915	hix:NTHI723_00402
ko:K07126	hix:NTHI723_00405
ko:K09908	hix:NTHI723_00408
ko:K02897	hix:NTHI723_00410
ko:K01939	hix:NTHI723_00416
ko:K00674	hix:NTHI723_00417
ko:K03604	hix:NTHI723_00418
ko:K01595	hix:NTHI723_00419
ko:K06918	hix:NTHI723_00420
ko:K19226	hix:NTHI723_00421
ko:K19227	hix:NTHI723_00422
ko:K19228	hix:NTHI723_00423
ko:K19229	hix:NTHI723_00424
ko:K19230	hix:NTHI723_00425
ko:K06173	hix:NTHI723_00427
ko:K03841	hix:NTHI723_00428
ko:K03303	hix:NTHI723_00429
ko:K16087	hix:NTHI723_00430
ko:K01243	hix:NTHI723_00431
ko:K03673	hix:NTHI723_00432
ko:K07462	hix:NTHI723_00433
ko:K03981	hix:NTHI723_00434
ko:K02836	hix:NTHI723_00435
ko:K04567	hix:NTHI723_00436
ko:K00024	hix:NTHI723_00437
ko:K03402	hix:NTHI723_00438
ko:K07071	hix:NTHI723_00439
ko:K00764	hix:NTHI723_00440
ko:K03558	hix:NTHI723_00441
ko:K09899	hix:NTHI723_00442
ko:K00925	hix:NTHI723_00443
ko:K13788	hix:NTHI723_00444
ko:K07320	hix:NTHI723_00446
ko:K13634	hix:NTHI723_00447
ko:K06178	hix:NTHI723_00448
ko:K01902	hix:NTHI723_00450
ko:K03834	hix:NTHI723_01212
ko:K11755	hix:NTHI723_01213
ko:K02500	hix:NTHI723_01214
ko:K01814	hix:NTHI723_01215
ko:K02501	hix:NTHI723_01216
ko:K01089	hix:NTHI723_01217
ko:K00817	hix:NTHI723_01218
ko:K00013	hix:NTHI723_01219
ko:K00765	hix:NTHI723_01220
ko:K06980	hix:NTHI723_01222
ko:K00058	hix:NTHI723_01223
ko:K01807	hix:NTHI723_01224
ko:K01338	hix:NTHI723_01226
ko:K09824	hix:NTHI723_01227
ko:K04765	hix:NTHI723_01228
ko:K02825	hix:NTHI723_01229
ko:K03771	hix:NTHI723_01230
ko:K07082	hix:NTHI723_01231
ko:K00943	hix:NTHI723_01232
ko:K02341	hix:NTHI723_01233
ko:K03424	hix:NTHI723_01234
ko:K02768	hix:NTHI723_01240
ko:K11183	hix:NTHI723_01240
ko:K00882	hix:NTHI723_01241
ko:K02769	hix:NTHI723_01242
ko:K02770	hix:NTHI723_01242
ko:K03075	hix:NTHI723_01244
ko:K03169	hix:NTHI723_01245
ko:K06187	hix:NTHI723_01246
ko:K09747	hix:NTHI723_01247
ko:K07115	hix:NTHI723_01248
ko:K05366	hix:NTHI723_01249
ko:K02507	hix:NTHI723_01254
ko:K07400	hix:NTHI723_01256
ko:K03426	hix:NTHI723_01257
ko:K09891	hix:NTHI723_01258
ko:K05787	hix:NTHI723_01259
ko:K00820	hix:NTHI723_01260
ko:K03611	hix:NTHI723_01261
ko:K10094	hix:NTHI723_00403
ko:K07268	hix:NTHI723_01356
ko:K14226	hix:NTHI723_01590
ko:K07497	hix:NTHI723_00907
ko:K03722	hix:NTHI723_01300
ko:K19416	hix:NTHI723_01673
ko:K01096	hix:NTHI723_01494
ko:K14227	hix:NTHI723_00943
ko:K14227	hix:NTHI723_00976
ko:K14227	hix:NTHI723_01725
ko:K14218	hix:NTHI723_00942
ko:K14218	hix:NTHI723_01726
ko:K14218	hix:NTHI723_00975
ko:K14237	hix:NTHI723_01418
ko:K14237	hix:NTHI723_01420
ko:K14237	hix:NTHI723_01419
ko:K14237	hix:NTHI723_01421
ko:K14237	hix:NTHI723_01813
ko:K01980	hix:NTHI723_00941
ko:K14232	hix:NTHI723_00960
ko:K14232	hix:NTHI723_01591
ko:K14224	hix:NTHI723_01096
ko:K14224	hix:NTHI723_01479
ko:K14224	hix:NTHI723_01593
ko:K14225	hix:NTHI723_01113
ko:K14234	hix:NTHI723_01114
ko:K01985	hix:NTHI723_00940
ko:K01985	hix:NTHI723_01098
ko:K01985	hix:NTHI723_01728
ko:K01985	hix:NTHI723_01481
ko:K01985	hix:NTHI723_00973
ko:K01985	hix:NTHI723_01595
ko:K01977	hix:NTHI723_00944
ko:K14235	hix:NTHI723_00970
ko:K14231	hix:NTHI723_00850
ko:K14225	hix:NTHI723_01578
ko:K14225	hix:NTHI723_01629
ko:K14225	hix:NTHI723_01748
ko:K14225	hix:NTHI723_01749
ko:K14230	hix:NTHI723_00256
ko:K14230	hix:NTHI723_01587
ko:K14219	hix:NTHI723_01589
ko:K14219	hix:NTHI723_01061
ko:K14219	hix:NTHI723_01062
ko:K14219	hix:NTHI723_00959
ko:K14220	hix:NTHI723_00849
ko:K14220	hix:NTHI723_00315
ko:K14222	hix:NTHI723_01628
ko:K14236	hix:NTHI723_01112
ko:K15035	hix:NTHI723_00257
ko:K19804	hix:NTHI723_00339
ko:K07662	hix:NTHI723_00771
ko:K19810	hix:NTHI723_01357
ko:K21636	hix:NTHI723_01640
ko:K11751	hix:NTHI723_01498
ko:K16066	hix:NTHI723_00129
ko:K20074	hix:NTHI723_00072
ko:K14234	hix:NTHI723_01111
ko:K01985	hix:NTHI723_00972
ko:K01139	hix:NTHI723_01720
ko:K14233	hix:NTHI723_01359
ko:K14233	hix:NTHI723_01672
ko:K14233	hix:NTHI723_01441
ko:K14233	hix:NTHI723_01060
ko:K14228	hix:NTHI723_01577
ko:K14228	hix:NTHI723_01627
ko:K14228	hix:NTHI723_00136
ko:K14228	hix:NTHI723_00413
ko:K14228	hix:NTHI723_01243
ko:K14229	hix:NTHI723_01307
ko:K14229	hix:NTHI723_01576
ko:K14229	hix:NTHI723_01626
ko:K14218	hix:NTHI723_01423
ko:K14230	hix:NTHI723_00414
ko:K14230	hix:NTHI723_00692
ko:K14223	hix:NTHI723_00411
ko:K14223	hix:NTHI723_00412
ko:K14221	hix:NTHI723_00971
ko:K14221	hix:NTHI723_01567
ko:K14221	hix:NTHI723_01568
ko:K00983	hix:NTHI723_00291
ko:K07126	hix:NTHI723_00007
ko:K02438	hix:NTHI723_00222
ko:K01977	hix:NTHI723_01478
ko:K14235	hix:NTHI723_01850
ko:K01980	hix:NTHI723_01480
ko:K14238	hix:NTHI723_00995
ko:K01977	hix:NTHI723_01592
ko:K01980	hix:NTHI723_01727
ko:K01977	hix:NTHI723_01095
ko:K01977	hix:NTHI723_00977
ko:K01980	hix:NTHI723_00974
ko:K01980	hix:NTHI723_01594
ko:K14229	hix:NTHI723_01308
ko:K01977	hix:NTHI723_01724
ko:K21029	hix:NTHI723_00107
ko:K01520	hix:NTHI723_00658
ko:K00560	hix:NTHI723_00711
ko:K00287	hix:NTHI723_00716
ko:K06223	hix:NTHI723_01495
ko:K03791	hix:NTHI723_00164
ko:K06909	hix:NTHI723_00168
ko:K09961	hix:NTHI723_00169
ko:K00558	hix:NTHI723_00206
ko:K06866	hix:NTHI723_01700
ko:K06903	hix:NTHI723_00269
ko:K01185	hix:NTHI723_00282
ko:K03553	hix:NTHI723_01093
ko:K00558	hix:NTHI723_01797
ko:K02314	hix:NTHI723_01811
ko:K00558	hix:NTHI723_01819
ko:K02316	hix:NTHI723_01162
ko:K00857	hix:NTHI723_01165
ko:K01185	hix:NTHI723_01852
ko:K10747	hix:NTHI723_00464
ko:K04068	hix:NTHI723_00489
ko:K02335	hix:NTHI723_00753
ko:K00525	hix:NTHI723_00354
ko:K00526	hix:NTHI723_00355
ko:K07741	hix:NTHI723_00140
ko:K21394	hix:NTHI723_01664
ko:K21395	hix:NTHI723_01663
ko:K21393	hix:NTHI723_01665
ko:K13695	hix:NTHI723_00065
ko:K21470	hix:NTHI723_00361
ko:K01420	hix:NTHI723_00134
ko:K10026	hix:NTHI723_00458
ko:K19591	hix:NTHI723_01399
ko:K22132	hix:NTHI723_01585
ko:K22105	hix:NTHI723_01124
ko:K03595	hix:NTHI723_01704
ko:K18446	hix:NTHI723_01790
