ko:K18918	cfp:CR44_02500
ko:K01881	cfp:CR44_03460
ko:K01649	cfp:CR44_03465
ko:K01749	cfp:CR44_03470
ko:K07058	cfp:CR44_03475
ko:K00104	cfp:CR44_03480
ko:K06213	cfp:CR44_03495
ko:K08077	cfp:CR44_03500
ko:K04078	cfp:CR44_03510
ko:K04077	cfp:CR44_03515
ko:K01772	cfp:CR44_03520
ko:K03587	cfp:CR44_03525
ko:K11754	cfp:CR44_03685
ko:K03723	cfp:CR44_03700
ko:K06923	cfp:CR44_03710
ko:K07457	cfp:CR44_03715
ko:K06929	cfp:CR44_03725
ko:K01754	cfp:CR44_03730
ko:K06173	cfp:CR44_03745
ko:K07091	cfp:CR44_03750
ko:K02654	cfp:CR44_03755
ko:K00806	cfp:CR44_03760
ko:K13038	cfp:CR44_03770
ko:K04042	cfp:CR44_03775
ko:K02419	cfp:CR44_03780
ko:K07088	cfp:CR44_03790
ko:K03517	cfp:CR44_03795
ko:K13888	cfp:CR44_03805
ko:K05685	cfp:CR44_03810
ko:K02238	cfp:CR44_03820
ko:K02484	cfp:CR44_03825
ko:K05516	cfp:CR44_03840
ko:K13640	cfp:CR44_03845
ko:K03455	cfp:CR44_03850
ko:K11105	cfp:CR44_03855
ko:K07090	cfp:CR44_03865
ko:K02108	cfp:CR44_03870
ko:K00788	cfp:CR44_03880
ko:K02434	cfp:CR44_03885
ko:K00057	cfp:CR44_03890
ko:K01207	cfp:CR44_03895
ko:K05786	cfp:CR44_03905
ko:K10010	cfp:CR44_03910
ko:K10009	cfp:CR44_03915
ko:K02424	cfp:CR44_03920
ko:K00995	cfp:CR44_03925
ko:K00076	cfp:CR44_03930
ko:K01714	cfp:CR44_03935
ko:K00254	cfp:CR44_03945
ko:K11085	cfp:CR44_03950
ko:K01883	cfp:CR44_03955
ko:K03980	cfp:CR44_03960
ko:K01156	cfp:CR44_03970
ko:K07316	cfp:CR44_03975
ko:K10040	cfp:CR44_05795
ko:K10040	cfp:CR44_05800
ko:K10039	cfp:CR44_05805
ko:K10041	cfp:CR44_05810
ko:K06942	cfp:CR44_05815
ko:K01255	cfp:CR44_05820
ko:K00759	cfp:CR44_05830
ko:K01808	cfp:CR44_05840
ko:K03100	cfp:CR44_05850
ko:K01491	cfp:CR44_05855
ko:K01845	cfp:CR44_05865
ko:K04061	cfp:CR44_05895
ko:K05515	cfp:CR44_05900
ko:K00619	cfp:CR44_05910
ko:K03978	cfp:CR44_05915
ko:K09774	cfp:CR44_05920
ko:K03270	cfp:CR44_05930
ko:K01693	cfp:CR44_05935
ko:K03642	cfp:CR44_05940
ko:K08307	cfp:CR44_05945
ko:K03424	cfp:CR44_05950
ko:K03631	cfp:CR44_05960
ko:K00858	cfp:CR44_05965
ko:K01876	cfp:CR44_05970
ko:K00939	cfp:CR44_05975
ko:K01507	cfp:CR44_05980
ko:K03827	cfp:CR44_05985
ko:K01448	cfp:CR44_06000
ko:K00459	cfp:CR44_06005
ko:K01866	cfp:CR44_06010
ko:K03060	cfp:CR44_06020
ko:K09903	cfp:CR44_06025
ko:K09811	cfp:CR44_06035
ko:K09812	cfp:CR44_06040
ko:K03439	cfp:CR44_06045
ko:K06180	cfp:CR44_06055
ko:K05837	cfp:CR44_06060
ko:K07152	cfp:CR44_06065
ko:K03406	cfp:CR44_06080
ko:K03753	cfp:CR44_03995
ko:K03841	cfp:CR44_04000
ko:K01874	cfp:CR44_04010
ko:K01772	cfp:CR44_04015
ko:K02569	cfp:CR44_04025
ko:K03532	cfp:CR44_04035
ko:K07812	cfp:CR44_04040
ko:K11784	cfp:CR44_04045
ko:K06079	cfp:CR44_04050
ko:K00575	cfp:CR44_04060
ko:K03412	cfp:CR44_04065
ko:K03550	cfp:CR44_04075
ko:K01921	cfp:CR44_04080
ko:K01929	cfp:CR44_04095
ko:K00925	cfp:CR44_04100
ko:K13788	cfp:CR44_04105
ko:K02393	cfp:CR44_04110
ko:K01652	cfp:CR44_04120
ko:K01653	cfp:CR44_04125
ko:K02536	cfp:CR44_04130
ko:K00767	cfp:CR44_04145
ko:K01433	cfp:CR44_04150
ko:K03216	cfp:CR44_04155
ko:K01879	cfp:CR44_04170
ko:K07318	cfp:CR44_04175
ko:K03319	cfp:CR44_04185
ko:K03310	cfp:CR44_04205
ko:K02484	cfp:CR44_04260
ko:K01940	cfp:CR44_04265
ko:K04763	cfp:CR44_04270
ko:K03588	cfp:CR44_04275
ko:K02563	cfp:CR44_04280
ko:K03530	cfp:CR44_04285
ko:K03561	cfp:CR44_04290
ko:K03559	cfp:CR44_04295
ko:K03832	cfp:CR44_04300
ko:K02029	cfp:CR44_06095
ko:K02028	cfp:CR44_06100
ko:K02030	cfp:CR44_06105
ko:K00788	cfp:CR44_06110
ko:K06153	cfp:CR44_06115
ko:K06921	cfp:CR44_06125
ko:K02337	cfp:CR44_06135
ko:K13821	cfp:CR44_06145
ko:K11928	cfp:CR44_06150
ko:K15876	cfp:CR44_06155
ko:K03385	cfp:CR44_06160
ko:K03152	cfp:CR44_06165
ko:K02356	cfp:CR44_06180
ko:K00058	cfp:CR44_06185
ko:K02945	cfp:CR44_06195
ko:K03527	cfp:CR44_06200
ko:K00800	cfp:CR44_06205
ko:K01890	cfp:CR44_06210
ko:K01889	cfp:CR44_06215
ko:K02503	cfp:CR44_06220
ko:K00962	cfp:CR44_06230
ko:K04744	cfp:CR44_06240
ko:K01945	cfp:CR44_06250
ko:K01719	cfp:CR44_06255
ko:K01951	cfp:CR44_06265
ko:K03703	cfp:CR44_06275
ko:K09979	cfp:CR44_06295
ko:K03324	cfp:CR44_06315
ko:K14393	cfp:CR44_06330
ko:K10806	cfp:CR44_06335
ko:K12267	cfp:CR44_06340
ko:K02110	cfp:CR44_06350
ko:K09771	cfp:CR44_06360
ko:K09981	cfp:CR44_06365
ko:K00615	cfp:CR44_07845
ko:K00615	cfp:CR44_07850
ko:K02843	cfp:CR44_07910
ko:K01953	cfp:CR44_07925
ko:K01953	cfp:CR44_07960
ko:K09726	cfp:CR44_07965
ko:K00860	cfp:CR44_08025
ko:K07010	cfp:CR44_08045
ko:K15894	cfp:CR44_08055
ko:K15896	cfp:CR44_08060
ko:K02406	cfp:CR44_08065
ko:K02406	cfp:CR44_08070
ko:K03498	cfp:CR44_08095
ko:K03499	cfp:CR44_08100
ko:K01744	cfp:CR44_08105
ko:K07791	cfp:CR44_08110
ko:K03406	cfp:CR44_08115
ko:K03611	cfp:CR44_08120
ko:K16089	cfp:CR44_08130
ko:K03561	cfp:CR44_08135
ko:K03559	cfp:CR44_08140
ko:K03832	cfp:CR44_08145
ko:K02035	cfp:CR44_08150
ko:K02033	cfp:CR44_08155
ko:K02034	cfp:CR44_08160
ko:K06925	cfp:CR44_04310
ko:K06861	cfp:CR44_04315
ko:K03092	cfp:CR44_04320
ko:K01735	cfp:CR44_04325
ko:K03831	cfp:CR44_04345
ko:K06997	cfp:CR44_04370
ko:K11749	cfp:CR44_04375
ko:K01783	cfp:CR44_04380
ko:K02342	cfp:CR44_04385
ko:K04066	cfp:CR44_04390
ko:K02456	cfp:CR44_04395
ko:K03702	cfp:CR44_04425
ko:K00937	cfp:CR44_04435
ko:K00549	cfp:CR44_04445
ko:K08296	cfp:CR44_04460
ko:K18928	cfp:CR44_04475
ko:K18929	cfp:CR44_04480
ko:K00782	cfp:CR44_04485
ko:K00790	cfp:CR44_04495
ko:K03750	cfp:CR44_04500
ko:K00954	cfp:CR44_04515
ko:K00943	cfp:CR44_04520
ko:K01892	cfp:CR44_04525
ko:K01585	cfp:CR44_04530
ko:K00640	cfp:CR44_04535
ko:K00812	cfp:CR44_04540
ko:K03839	cfp:CR44_04550
ko:K07795	cfp:CR44_04555
ko:K00177	cfp:CR44_04570
ko:K00175	cfp:CR44_04575
ko:K00174	cfp:CR44_04580
ko:K00176	cfp:CR44_04585
ko:K01902	cfp:CR44_04590
ko:K01903	cfp:CR44_04595
ko:K00024	cfp:CR44_04600
ko:K00031	cfp:CR44_04605
ko:K03304	cfp:CR44_04610
ko:K01091	cfp:CR44_04615
ko:K00135	cfp:CR44_04625
ko:K03308	cfp:CR44_06400
ko:K01960	cfp:CR44_06405
ko:K01610	cfp:CR44_06410
ko:K01755	cfp:CR44_06415
ko:K04758	cfp:CR44_06420
ko:K04759	cfp:CR44_06425
ko:K03406	cfp:CR44_06445
ko:K03406	cfp:CR44_06450
ko:K02355	cfp:CR44_06460
ko:K02992	cfp:CR44_06465
ko:K02950	cfp:CR44_06470
ko:K03043	cfp:CR44_06485
ko:K02935	cfp:CR44_06490
ko:K02864	cfp:CR44_06495
ko:K02863	cfp:CR44_06500
ko:K02867	cfp:CR44_06505
ko:K02601	cfp:CR44_06510
ko:K03073	cfp:CR44_06515
ko:K02913	cfp:CR44_06525
ko:K02358	cfp:CR44_06530
ko:K04565	cfp:CR44_06555
ko:K01591	cfp:CR44_06565
ko:K03625	cfp:CR44_06570
ko:K00794	cfp:CR44_06575
ko:K18925	cfp:CR44_06580
ko:K18924	cfp:CR44_06585
ko:K01627	cfp:CR44_06590
ko:K03977	cfp:CR44_06600
ko:K00891	cfp:CR44_06605
ko:K01867	cfp:CR44_06610
ko:K01875	cfp:CR44_06615
ko:K01649	cfp:CR44_06625
ko:K17103	cfp:CR44_06630
ko:K01613	cfp:CR44_06635
ko:K03798	cfp:CR44_06640
ko:K02687	cfp:CR44_06645
ko:K03413	cfp:CR44_06650
ko:K01814	cfp:CR44_06655
ko:K02501	cfp:CR44_06660
ko:K03893	cfp:CR44_08175
ko:K03186	cfp:CR44_08200
ko:K00018	cfp:CR44_08205
ko:K09767	cfp:CR44_08210
ko:K03673	cfp:CR44_08215
ko:K01897	cfp:CR44_08230
ko:K06076	cfp:CR44_08235
ko:K01151	cfp:CR44_08240
ko:K11175	cfp:CR44_08325
ko:K07391	cfp:CR44_08335
ko:K01462	cfp:CR44_08340
ko:K01358	cfp:CR44_08350
ko:K03545	cfp:CR44_08355
ko:K01495	cfp:CR44_08360
ko:K02412	cfp:CR44_08365
ko:K04487	cfp:CR44_08370
ko:K13819	cfp:CR44_08375
ko:K03406	cfp:CR44_08380
ko:K02520	cfp:CR44_08390
ko:K01868	cfp:CR44_08395
ko:K08973	cfp:CR44_08425
ko:K03101	cfp:CR44_08435
ko:K03431	cfp:CR44_08440
ko:K02968	cfp:CR44_08445
ko:K02835	cfp:CR44_08450
ko:K01142	cfp:CR44_08465
ko:K03760	cfp:CR44_08470
ko:K00901	cfp:CR44_08475
ko:K18992	cfp:CR44_00645
ko:K11015	cfp:CR44_00120
ko:K11015	cfp:CR44_04795
ko:K07097	cfp:CR44_05465
ko:K17251	cfp:CR44_06810
ko:K07326	cfp:CR44_03740
ko:K00354	cfp:CR44_03160
ko:K15461	cfp:CR44_05995
ko:K00557	cfp:CR44_04910
ko:K19115	cfp:CR44_03345
ko:K19114	cfp:CR44_03340
ko:K19157	cfp:CR44_02460
ko:K15914	cfp:CR44_06805
ko:K15915	cfp:CR44_06800
ko:K15912	cfp:CR44_06670
ko:K15910	cfp:CR44_06675
ko:K15913	cfp:CR44_06795
ko:K17248	cfp:CR44_07930
ko:K09951	cfp:CR44_03370
ko:K17249	cfp:CR44_06820
ko:K17249	cfp:CR44_06825
ko:K19091	cfp:CR44_07155
ko:K22468	cfp:CR44_05430
ko:K19116	cfp:CR44_03350
ko:K11014	cfp:CR44_00125
ko:K11013	cfp:CR44_00130
ko:K11014	cfp:CR44_04800
ko:K11013	cfp:CR44_04805
ko:K01978	cfp:CR44_08950
ko:K04771	cfp:CR44_03835
ko:K19091	cfp:CR44_03335
ko:K00336	cfp:CR44_00870
ko:K06867	cfp:CR44_05275
ko:K01992	cfp:CR44_01355
ko:K01990	cfp:CR44_02295
ko:K01992	cfp:CR44_02300
ko:K06867	cfp:CR44_04920
ko:K09690	cfp:CR44_02540
ko:K07216	cfp:CR44_08385
ko:K15830	cfp:CR44_00680
ko:K12137	cfp:CR44_00700
ko:K21636	cfp:CR44_00100
ko:K08325	cfp:CR44_06375
ko:K09796	cfp:CR44_07820
ko:K20810	cfp:CR44_07420
ko:K09691	cfp:CR44_02535
ko:K14227	cfp:CR44_02600
ko:K01980	cfp:CR44_00810
ko:K01980	cfp:CR44_02605
ko:K01980	cfp:CR44_03040
ko:K14225	cfp:CR44_06540
ko:K14225	cfp:CR44_04505
ko:K14225	cfp:CR44_08790
ko:K14231	cfp:CR44_06685
ko:K14232	cfp:CR44_08315
ko:K14233	cfp:CR44_06560
ko:K14220	cfp:CR44_01085
ko:K14220	cfp:CR44_07180
ko:K14229	cfp:CR44_03055
ko:K14229	cfp:CR44_03070
ko:K14237	cfp:CR44_03060
ko:K14237	cfp:CR44_03075
ko:K14224	cfp:CR44_03090
ko:K14224	cfp:CR44_08250
ko:K14228	cfp:CR44_06355
ko:K14228	cfp:CR44_08785
ko:K14219	cfp:CR44_05235
ko:K14219	cfp:CR44_06455
ko:K14219	cfp:CR44_08300
ko:K14219	cfp:CR44_08305
ko:K14230	cfp:CR44_06085
ko:K14230	cfp:CR44_07165
ko:K14230	cfp:CR44_08680
ko:K14235	cfp:CR44_06520
ko:K14234	cfp:CR44_06535
ko:K14234	cfp:CR44_06550
ko:K14236	cfp:CR44_06545
ko:K14223	cfp:CR44_07160
ko:K20534	cfp:CR44_06840
ko:K07100	cfp:CR44_06235
ko:K01977	cfp:CR44_02595
ko:K01977	cfp:CR44_03030
ko:K01023	cfp:CR44_02240
ko:K00525	cfp:CR44_08935
ko:K00821	cfp:CR44_04665
ko:K03553	cfp:CR44_01065
ko:K03462	cfp:CR44_00105
ko:K02335	cfp:CR44_01190
ko:K10747	cfp:CR44_06870
ko:K02316	cfp:CR44_08580
ko:K02314	cfp:CR44_04940
ko:K03465	cfp:CR44_08835
ko:K02483	cfp:CR44_05655
ko:K02483	cfp:CR44_03830
ko:K00526	cfp:CR44_00140
ko:K21285	cfp:CR44_07935
ko:K21285	cfp:CR44_07945
ko:K02481	cfp:CR44_07210
ko:K02032	cfp:CR44_08170
ko:K02031	cfp:CR44_08165
ko:K01139	cfp:CR44_06015
ko:K07005	cfp:CR44_08865
ko:K02483	cfp:CR44_01255
ko:K02483	cfp:CR44_02320
ko:K21420	cfp:CR44_03405
ko:K01420	cfp:CR44_02200
ko:K01420	cfp:CR44_05175
ko:K10026	cfp:CR44_01155
ko:K21929	cfp:CR44_02810
ko:K03595	cfp:CR44_04995
ko:K14441	cfp:CR44_06750
ko:K22397	cfp:CR44_05305
ko:K17758	cfp:CR44_08330
ko:K17759	cfp:CR44_08330
ko:K22391	cfp:CR44_05205
ko:K22424	cfp:CR44_08040
