ko:K00054	saj:SaurJH9_2568
ko:K03328	saj:SaurJH9_0526
ko:K07571	saj:SaurJH9_0530
ko:K03798	saj:SaurJH9_0533
ko:K04083	saj:SaurJH9_0534
ko:K01738	saj:SaurJH9_0535
ko:K00375	saj:SaurJH9_0540
ko:K06215	saj:SaurJH9_0541
ko:K03466	saj:SaurJH9_1796
ko:K00161	saj:SaurJH9_1153
ko:K11072	saj:SaurJH9_1159
ko:K09692	saj:SaurJH9_1924
ko:K09693	saj:SaurJH9_1925
ko:K03565	saj:SaurJH9_1927
ko:K05520	saj:SaurJH9_1929
ko:K07694	saj:SaurJH9_1938
ko:K07681	saj:SaurJH9_1939
ko:K07009	saj:SaurJH9_1945
ko:K02342	saj:SaurJH9_1948
ko:K02434	saj:SaurJH9_1954
ko:K02433	saj:SaurJH9_1955
ko:K08258	saj:SaurJH9_1964
ko:K04518	saj:SaurJH9_1971
ko:K00128	saj:SaurJH9_1977
ko:K01992	saj:SaurJH9_1987
ko:K02015	saj:SaurJH9_0100
ko:K02015	saj:SaurJH9_0101
ko:K02016	saj:SaurJH9_0102
ko:K02236	saj:SaurJH9_1719
ko:K07120	saj:SaurJH9_1723
ko:K01719	saj:SaurJH9_1727
ko:K02497	saj:SaurJH9_1729
ko:K03978	saj:SaurJH9_1731
ko:K01868	saj:SaurJH9_1740
ko:K03602	saj:SaurJH9_1581
ko:K08996	saj:SaurJH9_0166
ko:K00930	saj:SaurJH9_0167
ko:K09963	saj:SaurJH9_0175
ko:K07106	saj:SaurJH9_0176
ko:K02005	saj:SaurJH9_0182
ko:K02003	saj:SaurJH9_0183
ko:K02004	saj:SaurJH9_0184
ko:K01990	saj:SaurJH9_0188
ko:K04094	saj:SaurJH9_1311
ko:K03733	saj:SaurJH9_1312
ko:K03706	saj:SaurJH9_1315
ko:K02357	saj:SaurJH9_1317
ko:K09903	saj:SaurJH9_1318
ko:K02443	saj:SaurJH9_1357
ko:K03713	saj:SaurJH9_1367
ko:K01620	saj:SaurJH9_1377
ko:K06131	saj:SaurJH9_1379
ko:K03704	saj:SaurJH9_1463
ko:K01512	saj:SaurJH9_1465
ko:K02777	saj:SaurJH9_1482
ko:K09125	saj:SaurJH9_1492
ko:K03469	saj:SaurJH9_1494
ko:K00382	saj:SaurJH9_1577
ko:K03402	saj:SaurJH9_1579
ko:K03625	saj:SaurJH9_1583
ko:K08170	saj:SaurJH9_1496
ko:K00259	saj:SaurJH9_1499
ko:K07444	saj:SaurJH9_1504
ko:K06973	saj:SaurJH9_1519
ko:K00805	saj:SaurJH9_1527
ko:K03183	saj:SaurJH9_1528
ko:K02945	saj:SaurJH9_1533
ko:K03654	saj:SaurJH9_1538
ko:K05337	saj:SaurJH9_1540
ko:K07651	saj:SaurJH9_1548
ko:K07775	saj:SaurJH9_1549
ko:K09763	saj:SaurJH9_1553
ko:K03711	saj:SaurJH9_1555
ko:K01515	saj:SaurJH9_1556
ko:K07124	saj:SaurJH9_1559
ko:K01187	saj:SaurJH9_1564
ko:K07007	saj:SaurJH9_1810
ko:K07139	saj:SaurJH9_1815
ko:K02773	saj:SaurJH9_0230
ko:K06173	saj:SaurJH9_2246
ko:K01874	saj:SaurJH9_0511
ko:K01890	saj:SaurJH9_1198
ko:K11070	saj:SaurJH9_1161
ko:K11069	saj:SaurJH9_1162
ko:K03111	saj:SaurJH9_0322
ko:K03111	saj:SaurJH9_0414
ko:K03111	saj:SaurJH9_0864
ko:K03111	saj:SaurJH9_2039
ko:K03111	saj:SaurJH9_2133
ko:K10026	saj:SaurJH9_0734
ko:K01737	saj:SaurJH9_0735
ko:K06920	saj:SaurJH9_0736
ko:K02619	saj:SaurJH9_0739
ko:K03654	saj:SaurJH9_0744
ko:K05847	saj:SaurJH9_0745
ko:K05846	saj:SaurJH9_0746
ko:K05845	saj:SaurJH9_0746
ko:K02015	saj:SaurJH9_0757
ko:K02016	saj:SaurJH9_0760
ko:K02240	saj:SaurJH9_0774
ko:K02242	saj:SaurJH9_0775
ko:K07023	saj:SaurJH9_0780
ko:K03701	saj:SaurJH9_0783
ko:K06023	saj:SaurJH9_0784
ko:K00384	saj:SaurJH9_0788
ko:K07071	saj:SaurJH9_0794
ko:K05311	saj:SaurJH9_0796
ko:K03928	saj:SaurJH9_0804
ko:K03664	saj:SaurJH9_0806
ko:K06895	saj:SaurJH9_0825
ko:K02437	saj:SaurJH9_0832
ko:K07476	saj:SaurJH9_0836
ko:K02071	saj:SaurJH9_0838
ko:K02072	saj:SaurJH9_0839
ko:K02073	saj:SaurJH9_0840
ko:K08974	saj:SaurJH9_0842
ko:K04488	saj:SaurJH9_0846
ko:K09014	saj:SaurJH9_0847
ko:K09698	saj:SaurJH9_0550
ko:K07590	saj:SaurJH9_0567
ko:K02950	saj:SaurJH9_0568
ko:K02992	saj:SaurJH9_0569
ko:K02355	saj:SaurJH9_0570
ko:K02358	saj:SaurJH9_0571
ko:K05523	saj:SaurJH9_0574
ko:K01091	saj:SaurJH9_0578
ko:K11442	saj:SaurJH9_2202
ko:K11535	saj:SaurJH9_0543
ko:K05577	saj:SaurJH9_0474
ko:K09822	saj:SaurJH9_0475
ko:K03427	saj:SaurJH9_0454
ko:K03928	saj:SaurJH9_0479
ko:K03308	saj:SaurJH9_0480
ko:K02071	saj:SaurJH9_0483
ko:K02073	saj:SaurJH9_0485
ko:K05565	saj:SaurJH9_0952
ko:K05568	saj:SaurJH9_0648
ko:K05565	saj:SaurJH9_0645
ko:K01226	saj:SaurJH9_0496
ko:K03486	saj:SaurJH9_0497
ko:K07056	saj:SaurJH9_0510
ko:K05985	saj:SaurJH9_0513
ko:K09685	saj:SaurJH9_0517
ko:K08093	saj:SaurJH9_0593
ko:K08094	saj:SaurJH9_0594
ko:K03762	saj:SaurJH9_0596
ko:K00869	saj:SaurJH9_0613
ko:K06885	saj:SaurJH9_0626
ko:K03709	saj:SaurJH9_0657
ko:K05878	saj:SaurJH9_0673
ko:K05879	saj:SaurJH9_0674
ko:K03293	saj:SaurJH9_1394
ko:K02954	saj:SaurJH9_1397
ko:K00615	saj:SaurJH9_1403
ko:K09976	saj:SaurJH9_1404
ko:K03547	saj:SaurJH9_1407
ko:K03282	saj:SaurJH9_1409
ko:K03800	saj:SaurJH9_1591
ko:K03312	saj:SaurJH9_2369
ko:K03284	saj:SaurJH9_2371
ko:K07107	saj:SaurJH9_2372
ko:K07552	saj:SaurJH9_2379
ko:K09814	saj:SaurJH9_2383
ko:K09813	saj:SaurJH9_2384
ko:K03303	saj:SaurJH9_2390
ko:K02372	saj:SaurJH9_2135
ko:K03177	saj:SaurJH9_1331
ko:K11753	saj:SaurJH9_1332
ko:K00824	saj:SaurJH9_1805
ko:K03453	saj:SaurJH9_2345
ko:K03481	saj:SaurJH9_2349
ko:K11210	saj:SaurJH9_2358
ko:K01479	saj:SaurJH9_2359
ko:K09771	saj:SaurJH9_2364
ko:K00833	saj:SaurJH9_2452
ko:K06147	saj:SaurJH9_2454
ko:K06147	saj:SaurJH9_2455
ko:K08170	saj:SaurJH9_2471
ko:K05846	saj:SaurJH9_2472
ko:K05845	saj:SaurJH9_2473
ko:K05846	saj:SaurJH9_2474
ko:K05847	saj:SaurJH9_2475
ko:K02069	saj:SaurJH9_2480
ko:K02003	saj:SaurJH9_1093
ko:K02016	saj:SaurJH9_1097
ko:K01647	saj:SaurJH9_1752
ko:K05571	saj:SaurJH9_0651
ko:K03316	saj:SaurJH9_0652
ko:K07220	saj:SaurJH9_0687
ko:K03306	saj:SaurJH9_0688
ko:K06890	saj:SaurJH9_0690
ko:K09145	saj:SaurJH9_0695
ko:K09793	saj:SaurJH9_0698
ko:K06966	saj:SaurJH9_0704
ko:K09768	saj:SaurJH9_0705
ko:K06934	saj:SaurJH9_0718
ko:K03976	saj:SaurJH9_0721
ko:K03436	saj:SaurJH9_0722
ko:K08681	saj:SaurJH9_0542
ko:K03708	saj:SaurJH9_0544
ko:K11145	saj:SaurJH9_0553
ko:K06962	saj:SaurJH9_0555
ko:K03091	saj:SaurJH9_0556
ko:K02913	saj:SaurJH9_0557
ko:K03073	saj:SaurJH9_0558
ko:K02935	saj:SaurJH9_0563
ko:K07457	saj:SaurJH9_0631
ko:K07025	saj:SaurJH9_0634
ko:K05566	saj:SaurJH9_0646
ko:K05567	saj:SaurJH9_0647
ko:K05570	saj:SaurJH9_0650
ko:K06948	saj:SaurJH9_1654
ko:K09748	saj:SaurJH9_1325
ko:K02956	saj:SaurJH9_1333
ko:K00059	saj:SaurJH9_1340
ko:K00995	saj:SaurJH9_1343
ko:K08591	saj:SaurJH9_1415
ko:K07107	saj:SaurJH9_1413
ko:K03310	saj:SaurJH9_1418
ko:K03480	saj:SaurJH9_1419
ko:K02036	saj:SaurJH9_1447
ko:K02038	saj:SaurJH9_1448
ko:K02037	saj:SaurJH9_1449
ko:K02040	saj:SaurJH9_1450
ko:K00243	saj:SaurJH9_1452
ko:K08600	saj:SaurJH9_1194
ko:K03437	saj:SaurJH9_1196
ko:K09888	saj:SaurJH9_1200
ko:K00241	saj:SaurJH9_1206
ko:K00239	saj:SaurJH9_1207
ko:K07095	saj:SaurJH9_1211
ko:K03451	saj:SaurJH9_2637
ko:K04068	saj:SaurJH9_2639
ko:K03300	saj:SaurJH9_2641
ko:K00380	saj:SaurJH9_2643
ko:K03758	saj:SaurJH9_2657
ko:K01401	saj:SaurJH9_2661
ko:K02538	saj:SaurJH9_2664
ko:K01421	saj:SaurJH9_2667
ko:K00645	saj:SaurJH9_1289
ko:K00059	saj:SaurJH9_1290
ko:K09787	saj:SaurJH9_1295
ko:K02959	saj:SaurJH9_1297
ko:K02952	saj:SaurJH9_2253
ko:K00939	saj:SaurJH9_2256
ko:K02933	saj:SaurJH9_2262
ko:K02994	saj:SaurJH9_2263
ko:K02874	saj:SaurJH9_2267
ko:K02961	saj:SaurJH9_2268
ko:K02878	saj:SaurJH9_2270
ko:K02982	saj:SaurJH9_2271
ko:K02890	saj:SaurJH9_2272
ko:K00123	saj:SaurJH9_2333
ko:K07052	saj:SaurJH9_2337
ko:K07052	saj:SaurJH9_1832
ko:K06199	saj:SaurJH9_1835
ko:K06199	saj:SaurJH9_1836
ko:K01665	saj:SaurJH9_0738
ko:K11040	saj:SaurJH9_1878
ko:K11040	saj:SaurJH9_1879
ko:K11040	saj:SaurJH9_1881
ko:K11040	saj:SaurJH9_1882
ko:K11040	saj:SaurJH9_1883
ko:K02501	saj:SaurJH9_2699
ko:K11102	saj:SaurJH9_2408
ko:K00240	saj:SaurJH9_1208
ko:K00174	saj:SaurJH9_1349
ko:K11032	saj:SaurJH9_1222
ko:K01679	saj:SaurJH9_1905
ko:K04066	saj:SaurJH9_1271
ko:K02768	saj:SaurJH9_0724
ko:K02769	saj:SaurJH9_0724
ko:K02770	saj:SaurJH9_0724
ko:K00175	saj:SaurJH9_1350
ko:K02818	saj:SaurJH9_0495
ko:K02819	saj:SaurJH9_0495
ko:K02798	saj:SaurJH9_2190
ko:K03475	saj:SaurJH9_0378
ko:K00166	saj:SaurJH9_1576
ko:K11041	saj:SaurJH9_1231
ko:K02530	saj:SaurJH9_2227
ko:K01727	saj:SaurJH9_2232
ko:K02996	saj:SaurJH9_2244
ko:K02871	saj:SaurJH9_2245
ko:K02879	saj:SaurJH9_2250
ko:K07566	saj:SaurJH9_2152
ko:K02356	saj:SaurJH9_1587
ko:K02965	saj:SaurJH9_2273
ko:K02892	saj:SaurJH9_2275
ko:K02926	saj:SaurJH9_2276
ko:K02906	saj:SaurJH9_2277
ko:K02946	saj:SaurJH9_2278
ko:K06901	saj:SaurJH9_2280
ko:K05340	saj:SaurJH9_2283
ko:K07088	saj:SaurJH9_2284
ko:K03296	saj:SaurJH9_2287
ko:K03639	saj:SaurJH9_2293
ko:K03752	saj:SaurJH9_2294
ko:K03636	saj:SaurJH9_2295
ko:K03635	saj:SaurJH9_2296
ko:K03753	saj:SaurJH9_2297
ko:K03750	saj:SaurJH9_2298
ko:K03637	saj:SaurJH9_2299
ko:K03638	saj:SaurJH9_2300
ko:K02379	saj:SaurJH9_2305
ko:K03523	saj:SaurJH9_2307
ko:K08717	saj:SaurJH9_2311
ko:K09940	saj:SaurJH9_2326
ko:K02493	saj:SaurJH9_2153
ko:K02909	saj:SaurJH9_2156
ko:K03628	saj:SaurJH9_2157
ko:K03483	saj:SaurJH9_2189
ko:K00009	saj:SaurJH9_2191
ko:K03431	saj:SaurJH9_2193
ko:K01476	saj:SaurJH9_2196
ko:K03593	saj:SaurJH9_2197
ko:K07038	saj:SaurJH9_2203
ko:K00088	saj:SaurJH9_0437
ko:K02500	saj:SaurJH9_2697
ko:K05020	saj:SaurJH9_1410
ko:K03070	saj:SaurJH9_0777
ko:K03070	saj:SaurJH9_2673
ko:K09167	saj:SaurJH9_2109
ko:K00641	saj:SaurJH9_0012
ko:K02939	saj:SaurJH9_0015
ko:K02314	saj:SaurJH9_0016
ko:K07668	saj:SaurJH9_0018
ko:K06183	saj:SaurJH9_1808
ko:K11068	saj:SaurJH9_2201
ko:K02919	saj:SaurJH9_2254
ko:K02907	saj:SaurJH9_2259
ko:K00817	saj:SaurJH9_0747
ko:K03555	saj:SaurJH9_1355
ko:K00128	saj:SaurJH9_2158
ko:K02015	saj:SaurJH9_2206
ko:K02015	saj:SaurJH9_2207
ko:K02016	saj:SaurJH9_2208
ko:K05020	saj:SaurJH9_2216
ko:K07119	saj:SaurJH9_2218
ko:K02017	saj:SaurJH9_2302
ko:K02018	saj:SaurJH9_2303
ko:K02020	saj:SaurJH9_2304
ko:K02016	saj:SaurJH9_2309
ko:K06518	saj:SaurJH9_2564
ko:K10209	saj:SaurJH9_2583
ko:K03466	saj:SaurJH9_0271
ko:K00363	saj:SaurJH9_2423
ko:K00362	saj:SaurJH9_2424
ko:K03574	saj:SaurJH9_2516
ko:K00851	saj:SaurJH9_2529
ko:K03535	saj:SaurJH9_2535
ko:K01990	saj:SaurJH9_2537
ko:K04041	saj:SaurJH9_2539
ko:K06999	saj:SaurJH9_2541
ko:K06975	saj:SaurJH9_2544
ko:K07104	saj:SaurJH9_2545
ko:K03778	saj:SaurJH9_2547
ko:K07284	saj:SaurJH9_2551
ko:K03823	saj:SaurJH9_2552
ko:K01752	saj:SaurJH9_2555
ko:K07107	saj:SaurJH9_2560
ko:K04086	saj:SaurJH9_2571
ko:K03778	saj:SaurJH9_2581
ko:K04759	saj:SaurJH9_2572
ko:K04758	saj:SaurJH9_2573
ko:K06994	saj:SaurJH9_2574
ko:K07213	saj:SaurJH9_2580
ko:K10212	saj:SaurJH9_2587
ko:K07035	saj:SaurJH9_2592
ko:K07032	saj:SaurJH9_2597
ko:K07045	saj:SaurJH9_2602
ko:K09765	saj:SaurJH9_2613
ko:K04750	saj:SaurJH9_2614
ko:K06978	saj:SaurJH9_2616
ko:K03076	saj:SaurJH9_2677
ko:K01814	saj:SaurJH9_2698
ko:K00817	saj:SaurJH9_2701
ko:K02435	saj:SaurJH9_1956
ko:K02774	saj:SaurJH9_0231
ko:K02111	saj:SaurJH9_2141
ko:K02352	saj:SaurJH9_2712
ko:K07241	saj:SaurJH9_2721
ko:K03704	saj:SaurJH9_2727
ko:K03495	saj:SaurJH9_2733
ko:K07132	saj:SaurJH9_2744
ko:K07497	saj:SaurJH9_2745
ko:K02545	saj:SaurJH9_0029
ko:K02547	saj:SaurJH9_0030
ko:K02546	saj:SaurJH9_0031
ko:K07090	saj:SaurJH9_0037
ko:K03328	saj:SaurJH9_0118
ko:K10112	saj:SaurJH9_0198
ko:K02012	saj:SaurJH9_0209
ko:K02035	saj:SaurJH9_0221
ko:K00265	saj:SaurJH9_0493
ko:K10208	saj:SaurJH9_2584
ko:K10211	saj:SaurJH9_2585
ko:K10210	saj:SaurJH9_2586
ko:K00432	saj:SaurJH9_2644
ko:K08093	saj:SaurJH9_2736
ko:K08094	saj:SaurJH9_2737
ko:K01424	saj:SaurJH9_1535
ko:K05896	saj:SaurJH9_1552
ko:K02809	saj:SaurJH9_0177
ko:K02810	saj:SaurJH9_0177
ko:K06878	saj:SaurJH9_1797
ko:K07533	saj:SaurJH9_1894
ko:K03698	saj:SaurJH9_1895
ko:K03216	saj:SaurJH9_1909
ko:K07035	saj:SaurJH9_1913
ko:K09825	saj:SaurJH9_1915
ko:K03564	saj:SaurJH9_1917
ko:K07078	saj:SaurJH9_2070
ko:K07813	saj:SaurJH9_2073
ko:K07800	saj:SaurJH9_2074
ko:K07707	saj:SaurJH9_2076
ko:K00847	saj:SaurJH9_2077
ko:K01193	saj:SaurJH9_2078
ko:K03484	saj:SaurJH9_2079
ko:K03320	saj:SaurJH9_2080
ko:K07112	saj:SaurJH9_2082
ko:K01926	saj:SaurJH9_2083
ko:K06158	saj:SaurJH9_2084
ko:K06925	saj:SaurJH9_2089
ko:K03095	saj:SaurJH9_2099
ko:K06959	saj:SaurJH9_2100
ko:K03090	saj:SaurJH9_2101
ko:K04757	saj:SaurJH9_2102
ko:K07315	saj:SaurJH9_2104
ko:K08981	saj:SaurJH9_2110
ko:K01548	saj:SaurJH9_2112
ko:K01547	saj:SaurJH9_2113
ko:K07646	saj:SaurJH9_2115
ko:K07667	saj:SaurJH9_2116
ko:K01929	saj:SaurJH9_2119
ko:K05837	saj:SaurJH9_2121
ko:K06950	saj:SaurJH9_2126
ko:K03217	saj:SaurJH9_2127
ko:K02116	saj:SaurJH9_2146
ko:K01104	saj:SaurJH9_2151
ko:K02110	saj:SaurJH9_2144
ko:K02108	saj:SaurJH9_2145
ko:K01755	saj:SaurJH9_0960
ko:K07738	saj:SaurJH9_1743
ko:K07658	saj:SaurJH9_1750
ko:K00873	saj:SaurJH9_1754
ko:K11065	saj:SaurJH9_1769
ko:K07090	saj:SaurJH9_1770
ko:K03151	saj:SaurJH9_1771
ko:K04487	saj:SaurJH9_1772
ko:K06286	saj:SaurJH9_1773
ko:K01126	saj:SaurJH9_1776
ko:K00655	saj:SaurJH9_1782
ko:K04766	saj:SaurJH9_1789
ko:K04768	saj:SaurJH9_1790
ko:K01990	saj:SaurJH9_1990
ko:K07979	saj:SaurJH9_1991
ko:K07455	saj:SaurJH9_2041
ko:K04078	saj:SaurJH9_2067
ko:K07052	saj:SaurJH9_2068
ko:K02827	saj:SaurJH9_1119
ko:K01652	saj:SaurJH9_2237
ko:K00425	saj:SaurJH9_1146
ko:K01681	saj:SaurJH9_1412
ko:K02016	saj:SaurJH9_1192
ko:K02015	saj:SaurJH9_1193
ko:K01462	saj:SaurJH9_1274
ko:K00432	saj:SaurJH9_1364
ko:K02032	saj:SaurJH9_1440
ko:K02031	saj:SaurJH9_1441
ko:K02034	saj:SaurJH9_1442
ko:K02033	saj:SaurJH9_1443
ko:K05366	saj:SaurJH9_1509
ko:K04564	saj:SaurJH9_1611
ko:K09816	saj:SaurJH9_1613
ko:K09817	saj:SaurJH9_1614
ko:K01056	saj:SaurJH9_0524
ko:K01664	saj:SaurJH9_0737
ko:K03695	saj:SaurJH9_0974
ko:K06910	saj:SaurJH9_0979
ko:K09458	saj:SaurJH9_0983
ko:K02035	saj:SaurJH9_0990
ko:K02031	saj:SaurJH9_0991
ko:K02034	saj:SaurJH9_0994
ko:K08602	saj:SaurJH9_0999
ko:K02548	saj:SaurJH9_1100
ko:K02552	saj:SaurJH9_1101
ko:K08680	saj:SaurJH9_1103
ko:K00841	saj:SaurJH9_1108
ko:K02829	saj:SaurJH9_1117
ko:K02826	saj:SaurJH9_1120
ko:K01895	saj:SaurJH9_2631
ko:K00130	saj:SaurJH9_2635
ko:K00764	saj:SaurJH9_1130
ko:K11175	saj:SaurJH9_1132
ko:K06969	saj:SaurJH9_1141
ko:K08483	saj:SaurJH9_1144
ko:K00426	saj:SaurJH9_1147
ko:K03499	saj:SaurJH9_1148
ko:K07025	saj:SaurJH9_1234
ko:K03590	saj:SaurJH9_1244
ko:K03531	saj:SaurJH9_1245
ko:K05810	saj:SaurJH9_1246
ko:K06997	saj:SaurJH9_1247
ko:K09772	saj:SaurJH9_1248
ko:K03581	saj:SaurJH9_1676
ko:K04487	saj:SaurJH9_1680
ko:K00162	saj:SaurJH9_1154
ko:K00627	saj:SaurJH9_1155
ko:K03322	saj:SaurJH9_1165
ko:K06207	saj:SaurJH9_1169
ko:K03588	saj:SaurJH9_1173
ko:K02259	saj:SaurJH9_1175
ko:K08976	saj:SaurJH9_1177
ko:K01126	saj:SaurJH9_1180
ko:K07040	saj:SaurJH9_1186
ko:K07305	saj:SaurJH9_1483
ko:K03076	saj:SaurJH9_2257
ko:K02221	saj:SaurJH9_1249
ko:K04074	saj:SaurJH9_1251
ko:K07104	saj:SaurJH9_1253
ko:K02825	saj:SaurJH9_1257
ko:K02824	saj:SaurJH9_1258
ko:K11042	saj:SaurJH9_0445
ko:K11038	saj:SaurJH9_1870
ko:K11038	saj:SaurJH9_1871
ko:K11038	saj:SaurJH9_2062
ko:K11038	saj:SaurJH9_2063
ko:K11038	saj:SaurJH9_2445
ko:K11038	saj:SaurJH9_2446
ko:K11038	saj:SaurJH9_2447
ko:K09705	saj:SaurJH9_0694
ko:K00374	saj:SaurJH9_2418
ko:K11693	saj:SaurJH9_2288
ko:K11694	saj:SaurJH9_1435
ko:K11695	saj:SaurJH9_1436
ko:K03524	saj:SaurJH9_1515
ko:K11476	saj:SaurJH9_2530
ko:K00602	saj:SaurJH9_1133
ko:K12574	saj:SaurJH9_1149
ko:K01992	saj:SaurJH9_2365
ko:K11755	saj:SaurJH9_2696
ko:K02472	saj:SaurJH9_0149
ko:K13012	saj:SaurJH9_0147
ko:K12268	saj:SaurJH9_2676
ko:K12269	saj:SaurJH9_2675
ko:K12410	saj:SaurJH9_2228
ko:K13292	saj:SaurJH9_0785
ko:K01491	saj:SaurJH9_1123
ko:K13052	saj:SaurJH9_0529
ko:K19005	saj:SaurJH9_0742
ko:K01243	saj:SaurJH9_1656
ko:K03768	saj:SaurJH9_0954
ko:K11752	saj:SaurJH9_1823
ko:K06168	saj:SaurJH9_1352
ko:K09015	saj:SaurJH9_0844
ko:K05362	saj:SaurJH9_1016
ko:K01990	saj:SaurJH9_2366
ko:K00016	saj:SaurJH9_2624
ko:K02304	saj:SaurJH9_2642
ko:K02303	saj:SaurJH9_2422
ko:K11928	saj:SaurJH9_1957
ko:K11717	saj:SaurJH9_0845
ko:K01439	saj:SaurJH9_1806
ko:K12257	saj:SaurJH9_1694
ko:K12270	saj:SaurJH9_2674
ko:K11754	saj:SaurJH9_1720
ko:K01961	saj:SaurJH9_1585
ko:K01961	saj:SaurJH9_1663
ko:K00626	saj:SaurJH9_0599
ko:K13715	saj:SaurJH9_1106
ko:K02347	saj:SaurJH9_1202
ko:K13038	saj:SaurJH9_1270
ko:K12551	saj:SaurJH9_1785
ko:K12574	saj:SaurJH9_1335
ko:K12552	saj:SaurJH9_1240
ko:K12573	saj:SaurJH9_0805
ko:K12553	saj:SaurJH9_1610
ko:K13733	saj:SaurJH9_2525
ko:K02217	saj:SaurJH9_1947
ko:K09457	saj:SaurJH9_0751
ko:K04072	saj:SaurJH9_0134
ko:K13953	saj:SaurJH9_0628
ko:K00318	saj:SaurJH9_1819
ko:K03429	saj:SaurJH9_1015
ko:K00620	saj:SaurJH9_0168
ko:K12942	saj:SaurJH9_2500
ko:K13853	saj:SaurJH9_1792
ko:K13732	saj:SaurJH9_2526
ko:K01958	saj:SaurJH9_1174
ko:K07516	saj:SaurJH9_0216
ko:K13714	saj:SaurJH9_1112
ko:K00941	saj:SaurJH9_2130
ko:K14233	saj:SaurJH9_R0003
ko:K14233	saj:SaurJH9_R0051
ko:K14233	saj:SaurJH9_R0049
ko:K14232	saj:SaurJH9_R0015
ko:K14232	saj:SaurJH9_R0055
ko:K19279	saj:SaurJH9_1714
ko:K05569	saj:SaurJH9_0649
ko:K14229	saj:SaurJH9_R0060
ko:K14229	saj:SaurJH9_R0073
ko:K14229	saj:SaurJH9_R0011
ko:K14224	saj:SaurJH9_R0001
ko:K14224	saj:SaurJH9_R0030
ko:K14224	saj:SaurJH9_R0077
ko:K14237	saj:SaurJH9_R0009
ko:K14237	saj:SaurJH9_R0076
ko:K14237	saj:SaurJH9_R0062
ko:K14228	saj:SaurJH9_R0037
ko:K14228	saj:SaurJH9_R0057
ko:K14228	saj:SaurJH9_R0013
ko:K14220	saj:SaurJH9_R0026
ko:K14220	saj:SaurJH9_R0078
ko:K14220	saj:SaurJH9_R0031
ko:K14234	saj:SaurJH9_R0010
ko:K14234	saj:SaurJH9_R0061
ko:K14234	saj:SaurJH9_R0045
ko:K14199	saj:SaurJH9_0213
ko:K14199	saj:SaurJH9_1216
ko:K14200	saj:SaurJH9_1215
ko:K14202	saj:SaurJH9_2000
ko:K14203	saj:SaurJH9_1213
ko:K14198	saj:SaurJH9_2002
ko:K14199	saj:SaurJH9_1999
ko:K14204	saj:SaurJH9_1996
ko:K01983	saj:SaurJH9_R0004
ko:K14228	saj:SaurJH9_R0059
ko:K14225	saj:SaurJH9_R0012
ko:K14225	saj:SaurJH9_R0058
ko:K14192	saj:SaurJH9_2654
ko:K14193	saj:SaurJH9_1189
ko:K14194	saj:SaurJH9_0585
ko:K14195	saj:SaurJH9_2521
ko:K14196	saj:SaurJH9_0098
ko:K14230	saj:SaurJH9_R0053
ko:K14219	saj:SaurJH9_R0027
ko:K07483	saj:SaurJH9_0441
ko:K13789	saj:SaurJH9_1580
ko:K14194	saj:SaurJH9_0584
ko:K14194	saj:SaurJH9_0586
ko:K14197	saj:SaurJH9_2444
ko:K14201	saj:SaurJH9_0812
ko:K14219	saj:SaurJH9_R0023
ko:K14221	saj:SaurJH9_R0035
ko:K14221	saj:SaurJH9_R0050
ko:K14221	saj:SaurJH9_R0047
ko:K14221	saj:SaurJH9_R0002
ko:K03892	saj:SaurJH9_1825
ko:K02013	saj:SaurJH9_2186
ko:K00819	saj:SaurJH9_0170
ko:K14225	saj:SaurJH9_R0038
ko:K14225	saj:SaurJH9_R0039
ko:K14223	saj:SaurJH9_R0074
ko:K14223	saj:SaurJH9_R0041
ko:K06131	saj:SaurJH9_2125
ko:K14233	saj:SaurJH9_R0025
ko:K19285	saj:SaurJH9_0430
ko:K04763	saj:SaurJH9_0043
ko:K14225	saj:SaurJH9_R0032
ko:K14225	saj:SaurJH9_R0071
ko:K14236	saj:SaurJH9_R0075
ko:K14236	saj:SaurJH9_R0044
ko:K00887	saj:SaurJH9_1627
ko:K05592	saj:SaurJH9_2118
ko:K14230	saj:SaurJH9_R0036
ko:K14230	saj:SaurJH9_R0048
ko:K14228	saj:SaurJH9_R0072
ko:K00868	saj:SaurJH9_0603
ko:K14231	saj:SaurJH9_R0034
ko:K14231	saj:SaurJH9_R0046
ko:K14222	saj:SaurJH9_R0040
ko:K14230	saj:SaurJH9_R0052
ko:K14445	saj:SaurJH9_1972
ko:K01980	saj:SaurJH9_R0064
ko:K01980	saj:SaurJH9_R0080
ko:K01980	saj:SaurJH9_R0018
ko:K01980	saj:SaurJH9_R0069
ko:K01980	saj:SaurJH9_R0021
ko:K01980	saj:SaurJH9_R0006
ko:K14205	saj:SaurJH9_1421
ko:K03324	saj:SaurJH9_0092
ko:K01985	saj:SaurJH9_R0008
ko:K01985	saj:SaurJH9_R0007
ko:K01985	saj:SaurJH9_R0019
ko:K01985	saj:SaurJH9_R0022
ko:K01985	saj:SaurJH9_R0063
ko:K01985	saj:SaurJH9_R0079
ko:K01985	saj:SaurJH9_R0068
ko:K13628	saj:SaurJH9_0940
ko:K00459	saj:SaurJH9_0919
ko:K14188	saj:SaurJH9_0934
ko:K14219	saj:SaurJH9_R0014
ko:K14219	saj:SaurJH9_R0056
ko:K14218	saj:SaurJH9_R0016
ko:K14218	saj:SaurJH9_R0054
