ko:K22278	cdip:ERS451417_00150
ko:K01854	cdip:ERS451417_02238
ko:K01607	cdip:ERS451417_02247
ko:K01154	cdip:ERS451417_02254
ko:K03427	cdip:ERS451417_02255
ko:K01153	cdip:ERS451417_02256
ko:K00864	cdip:ERS451417_02257
ko:K02440	cdip:ERS451417_02258
ko:K00111	cdip:ERS451417_02259
ko:K15521	cdip:ERS451417_00310
ko:K01834	cdip:ERS451417_00311
ko:K07768	cdip:ERS451417_00312
ko:K07776	cdip:ERS451417_00313
ko:K00286	cdip:ERS451417_00317
ko:K02492	cdip:ERS451417_00323
ko:K01749	cdip:ERS451417_00324
ko:K13542	cdip:ERS451417_00325
ko:K01698	cdip:ERS451417_00326
ko:K01599	cdip:ERS451417_00330
ko:K00231	cdip:ERS451417_00331
ko:K01845	cdip:ERS451417_00332
ko:K06196	cdip:ERS451417_00335
ko:K07399	cdip:ERS451417_00336
ko:K02548	cdip:ERS451417_00340
ko:K01911	cdip:ERS451417_00342
ko:K01661	cdip:ERS451417_00343
ko:K02549	cdip:ERS451417_00344
ko:K02551	cdip:ERS451417_00345
ko:K12583	cdip:ERS451417_00347
ko:K03183	cdip:ERS451417_00348
ko:K00016	cdip:ERS451417_00349
ko:K21401	cdip:ERS451417_00350
ko:K00805	cdip:ERS451417_00351
ko:K03073	cdip:ERS451417_00356
ko:K02601	cdip:ERS451417_00357
ko:K02867	cdip:ERS451417_00358
ko:K02863	cdip:ERS451417_00359
ko:K02864	cdip:ERS451417_00360
ko:K01520	cdip:ERS451417_01123
ko:K03111	cdip:ERS451417_01130
ko:K14623	cdip:ERS451417_01136
ko:K02335	cdip:ERS451417_01139
ko:K02945	cdip:ERS451417_01141
ko:K03326	cdip:ERS451417_01142
ko:K03488	cdip:ERS451417_01143
ko:K02755	cdip:ERS451417_01144
ko:K02756	cdip:ERS451417_01144
ko:K02757	cdip:ERS451417_01144
ko:K00859	cdip:ERS451417_01145
ko:K03702	cdip:ERS451417_01147
ko:K03701	cdip:ERS451417_01152
ko:K02520	cdip:ERS451417_01153
ko:K02916	cdip:ERS451417_01154
ko:K02887	cdip:ERS451417_01155
ko:K03437	cdip:ERS451417_01157
ko:K01889	cdip:ERS451417_01158
ko:K01890	cdip:ERS451417_01159
ko:K00145	cdip:ERS451417_01160
ko:K00620	cdip:ERS451417_01161
ko:K00930	cdip:ERS451417_01162
ko:K00821	cdip:ERS451417_01163
ko:K00611	cdip:ERS451417_01164
ko:K03402	cdip:ERS451417_01165
ko:K01940	cdip:ERS451417_01166
ko:K01755	cdip:ERS451417_01167
ko:K09791	cdip:ERS451417_01168
ko:K01866	cdip:ERS451417_01169
ko:K01875	cdip:ERS451417_02262
ko:K03710	cdip:ERS451417_02263
ko:K07133	cdip:ERS451417_02266
ko:K04518	cdip:ERS451417_02268
ko:K04561	cdip:ERS451417_02271
ko:K03310	cdip:ERS451417_02273
ko:K01126	cdip:ERS451417_02276
ko:K00016	cdip:ERS451417_02277
ko:K03517	cdip:ERS451417_02279
ko:K00278	cdip:ERS451417_02280
ko:K00767	cdip:ERS451417_02281
ko:K04564	cdip:ERS451417_02283
ko:K19784	cdip:ERS451417_02284
ko:K13671	cdip:ERS451417_02285
ko:K07146	cdip:ERS451417_02291
ko:K07784	cdip:ERS451417_02292
ko:K03217	cdip:ERS451417_02295
ko:K06177	cdip:ERS451417_02299
ko:K01990	cdip:ERS451417_02304
ko:K03671	cdip:ERS451417_02308
ko:K17686	cdip:ERS451417_02310
ko:K02935	cdip:ERS451417_00361
ko:K03043	cdip:ERS451417_00370
ko:K03046	cdip:ERS451417_00371
ko:K02003	cdip:ERS451417_00372
ko:K02004	cdip:ERS451417_00373
ko:K16922	cdip:ERS451417_00374
ko:K01990	cdip:ERS451417_00383
ko:K01992	cdip:ERS451417_00384
ko:K07089	cdip:ERS451417_00386
ko:K04069	cdip:ERS451417_00387
ko:K21636	cdip:ERS451417_00388
ko:K02950	cdip:ERS451417_00390
ko:K02992	cdip:ERS451417_00391
ko:K02355	cdip:ERS451417_00392
ko:K02358	cdip:ERS451417_00393
ko:K02946	cdip:ERS451417_00395
ko:K02906	cdip:ERS451417_00396
ko:K02926	cdip:ERS451417_00397
ko:K02892	cdip:ERS451417_00398
ko:K02886	cdip:ERS451417_00399
ko:K02965	cdip:ERS451417_00400
ko:K02890	cdip:ERS451417_00401
ko:K02982	cdip:ERS451417_00402
ko:K02878	cdip:ERS451417_00403
ko:K02904	cdip:ERS451417_00404
ko:K02961	cdip:ERS451417_00405
ko:K02005	cdip:ERS451417_00406
ko:K02003	cdip:ERS451417_00407
ko:K02004	cdip:ERS451417_00408
ko:K02874	cdip:ERS451417_00409
ko:K02895	cdip:ERS451417_00410
ko:K02931	cdip:ERS451417_00411
ko:K06442	cdip:ERS451417_01177
ko:K00858	cdip:ERS451417_01178
ko:K03631	cdip:ERS451417_01179
ko:K01515	cdip:ERS451417_01182
ko:K04763	cdip:ERS451417_01183
ko:K03496	cdip:ERS451417_01184
ko:K05896	cdip:ERS451417_01185
ko:K01935	cdip:ERS451417_01186
ko:K03305	cdip:ERS451417_01187
ko:K03305	cdip:ERS451417_01188
ko:K00833	cdip:ERS451417_01189
ko:K01935	cdip:ERS451417_01190
ko:K03316	cdip:ERS451417_01191
ko:K06024	cdip:ERS451417_01192
ko:K06178	cdip:ERS451417_01193
ko:K00945	cdip:ERS451417_01194
ko:K03977	cdip:ERS451417_01195
ko:K07792	cdip:ERS451417_01196
ko:K09858	cdip:ERS451417_01200
ko:K06889	cdip:ERS451417_01201
ko:K07397	cdip:ERS451417_01201
ko:K03070	cdip:ERS451417_01202
ko:K08999	cdip:ERS451417_01205
ko:K00033	cdip:ERS451417_01212
ko:K03284	cdip:ERS451417_01214
ko:K03885	cdip:ERS451417_01216
ko:K00574	cdip:ERS451417_01217
ko:K18930	cdip:ERS451417_01220
ko:K18930	cdip:ERS451417_01221
ko:K08369	cdip:ERS451417_02311
ko:K02314	cdip:ERS451417_02312
ko:K02939	cdip:ERS451417_02313
ko:K03111	cdip:ERS451417_02314
ko:K02990	cdip:ERS451417_02315
ko:K07146	cdip:ERS451417_02325
ko:K03975	cdip:ERS451417_02326
ko:K04047	cdip:ERS451417_02327
ko:K10563	cdip:ERS451417_02328
ko:K02016	cdip:ERS451417_02333
ko:K02015	cdip:ERS451417_02334
ko:K02013	cdip:ERS451417_02335
ko:K03655	cdip:ERS451417_02337
ko:K03655	cdip:ERS451417_02338
ko:K01153	cdip:ERS451417_02339
ko:K01154	cdip:ERS451417_02340
ko:K03427	cdip:ERS451417_02341
ko:K04565	cdip:ERS451417_02345
ko:K01869	cdip:ERS451417_02347
ko:K02003	cdip:ERS451417_02350
ko:K02004	cdip:ERS451417_02351
ko:K00135	cdip:ERS451417_02357
ko:K02821	cdip:ERS451417_02358
ko:K03837	cdip:ERS451417_00412
ko:K01752	cdip:ERS451417_00413
ko:K01424	cdip:ERS451417_00414
ko:K21147	cdip:ERS451417_00415
ko:K03636	cdip:ERS451417_00417
ko:K02017	cdip:ERS451417_00418
ko:K02018	cdip:ERS451417_00418
ko:K00374	cdip:ERS451417_00419
ko:K00373	cdip:ERS451417_00420
ko:K00371	cdip:ERS451417_00421
ko:K00370	cdip:ERS451417_00422
ko:K02575	cdip:ERS451417_00423
ko:K02575	cdip:ERS451417_00425
ko:K03637	cdip:ERS451417_00428
ko:K03750	cdip:ERS451417_00429
ko:K03639	cdip:ERS451417_00430
ko:K02020	cdip:ERS451417_00431
ko:K14415	cdip:ERS451417_00438
ko:K01714	cdip:ERS451417_00446
ko:K02031	cdip:ERS451417_00448
ko:K02034	cdip:ERS451417_00448
ko:K02033	cdip:ERS451417_00449
ko:K02035	cdip:ERS451417_00450
ko:K00845	cdip:ERS451417_00452
ko:K01788	cdip:ERS451417_00453
ko:K01443	cdip:ERS451417_00454
ko:K02564	cdip:ERS451417_00455
ko:K02994	cdip:ERS451417_00457
ko:K02933	cdip:ERS451417_00458
ko:K02881	cdip:ERS451417_00459
ko:K03453	cdip:ERS451417_01222
ko:K00721	cdip:ERS451417_01227
ko:K03820	cdip:ERS451417_01228
ko:K07113	cdip:ERS451417_01229
ko:K02230	cdip:ERS451417_01230
ko:K02229	cdip:ERS451417_01231
ko:K06042	cdip:ERS451417_01232
ko:K13540	cdip:ERS451417_01233
ko:K05895	cdip:ERS451417_01234
ko:K05936	cdip:ERS451417_01235
ko:K00595	cdip:ERS451417_01236
ko:K03727	cdip:ERS451417_01239
ko:K03216	cdip:ERS451417_01240
ko:K03118	cdip:ERS451417_01241
ko:K03116	cdip:ERS451417_01242
ko:K13573	cdip:ERS451417_01243
ko:K13571	cdip:ERS451417_01245
ko:K13570	cdip:ERS451417_01246
ko:K20814	cdip:ERS451417_01247
ko:K13527	cdip:ERS451417_01248
ko:K07442	cdip:ERS451417_01249
ko:K01267	cdip:ERS451417_01250
ko:K07465	cdip:ERS451417_01251
ko:K21498	cdip:ERS451417_01252
ko:K01938	cdip:ERS451417_01253
ko:K01744	cdip:ERS451417_01254
ko:K07791	cdip:ERS451417_01255
ko:K00765	cdip:ERS451417_01256
ko:K01523	cdip:ERS451417_01257
ko:K00548	cdip:ERS451417_01259
ko:K15526	cdip:ERS451417_01261
ko:K06153	cdip:ERS451417_01262
ko:K00254	cdip:ERS451417_01264
ko:K06910	cdip:ERS451417_01266
ko:K02346	cdip:ERS451417_01610
ko:K01870	cdip:ERS451417_01611
ko:K02221	cdip:ERS451417_01614
ko:K09772	cdip:ERS451417_01615
ko:K05810	cdip:ERS451417_01616
ko:K03531	cdip:ERS451417_01617
ko:K03589	cdip:ERS451417_01618
ko:K01924	cdip:ERS451417_01619
ko:K02563	cdip:ERS451417_01620
ko:K03588	cdip:ERS451417_01621
ko:K01925	cdip:ERS451417_01622
ko:K03475	cdip:ERS451417_02359
ko:K05878	cdip:ERS451417_02360
ko:K05879	cdip:ERS451417_02361
ko:K05881	cdip:ERS451417_02362
ko:K01239	cdip:ERS451417_02365
ko:K16923	cdip:ERS451417_02366
ko:K16785	cdip:ERS451417_02367
ko:K16786	cdip:ERS451417_02368
ko:K16787	cdip:ERS451417_02368
ko:K01792	cdip:ERS451417_02369
ko:K01696	cdip:ERS451417_02375
ko:K01657	cdip:ERS451417_02377
ko:K01658	cdip:ERS451417_02378
ko:K00766	cdip:ERS451417_02379
ko:K13498	cdip:ERS451417_02380
ko:K09790	cdip:ERS451417_02381
ko:K01918	cdip:ERS451417_02382
ko:K00606	cdip:ERS451417_02383
ko:K01696	cdip:ERS451417_02384
ko:K01695	cdip:ERS451417_02385
ko:K14347	cdip:ERS451417_02386
ko:K07735	cdip:ERS451417_02390
ko:K00970	cdip:ERS451417_02391
ko:K03980	cdip:ERS451417_02394
ko:K03088	cdip:ERS451417_02395
ko:K00384	cdip:ERS451417_02396
ko:K03671	cdip:ERS451417_02397
ko:K01448	cdip:ERS451417_02398
ko:K03497	cdip:ERS451417_02399
ko:K03496	cdip:ERS451417_02400
ko:K03501	cdip:ERS451417_02401
ko:K03217	cdip:ERS451417_02402
ko:K08998	cdip:ERS451417_02403
ko:K03536	cdip:ERS451417_02404
ko:K02914	cdip:ERS451417_02405
ko:K02988	cdip:ERS451417_00460
ko:K02907	cdip:ERS451417_00461
ko:K02876	cdip:ERS451417_00462
ko:K02379	cdip:ERS451417_00464
ko:K01187	cdip:ERS451417_00465
ko:K05343	cdip:ERS451417_00466
ko:K15770	cdip:ERS451417_00467
ko:K15771	cdip:ERS451417_00468
ko:K15772	cdip:ERS451417_00469
ko:K10112	cdip:ERS451417_00472
ko:K03076	cdip:ERS451417_00474
ko:K00939	cdip:ERS451417_00475
ko:K01265	cdip:ERS451417_00476
ko:K01186	cdip:ERS451417_00477
ko:K02518	cdip:ERS451417_00479
ko:K02952	cdip:ERS451417_00480
ko:K02948	cdip:ERS451417_00481
ko:K02986	cdip:ERS451417_00482
ko:K03040	cdip:ERS451417_00483
ko:K02879	cdip:ERS451417_00484
ko:K06173	cdip:ERS451417_00485
ko:K14743	cdip:ERS451417_00488
ko:K03466	cdip:ERS451417_00491
ko:K02871	cdip:ERS451417_00495
ko:K02996	cdip:ERS451417_00496
ko:K03431	cdip:ERS451417_00497
ko:K01775	cdip:ERS451417_00502
ko:K06925	cdip:ERS451417_00503
ko:K07085	cdip:ERS451417_00504
ko:K03789	cdip:ERS451417_00507
ko:K01409	cdip:ERS451417_00508
ko:K04078	cdip:ERS451417_00509
ko:K04077	cdip:ERS451417_00510
ko:K03088	cdip:ERS451417_00511
ko:K01011	cdip:ERS451417_01271
ko:K07588	cdip:ERS451417_01272
ko:K01847	cdip:ERS451417_01273
ko:K01847	cdip:ERS451417_01274
ko:K01772	cdip:ERS451417_01281
ko:K21473	cdip:ERS451417_01282
ko:K01681	cdip:ERS451417_01283
ko:K01951	cdip:ERS451417_01285
ko:K07166	cdip:ERS451417_01286
ko:K09157	cdip:ERS451417_01287
ko:K04488	cdip:ERS451417_01291
ko:K11717	cdip:ERS451417_01292
ko:K09013	cdip:ERS451417_01293
ko:K09015	cdip:ERS451417_01294
ko:K09014	cdip:ERS451417_01295
ko:K14339	cdip:ERS451417_01297
ko:K01990	cdip:ERS451417_01298
ko:K01992	cdip:ERS451417_01299
ko:K02259	cdip:ERS451417_01300
ko:K00615	cdip:ERS451417_01302
ko:K00616	cdip:ERS451417_01303
ko:K00036	cdip:ERS451417_01304
ko:K01057	cdip:ERS451417_01306
ko:K03075	cdip:ERS451417_01307
ko:K01803	cdip:ERS451417_01308
ko:K00927	cdip:ERS451417_01309
ko:K00134	cdip:ERS451417_01310
ko:K09762	cdip:ERS451417_01311
ko:K06958	cdip:ERS451417_01313
ko:K03703	cdip:ERS451417_01314
ko:K00794	cdip:ERS451417_01316
ko:K14652	cdip:ERS451417_01317
ko:K01000	cdip:ERS451417_01623
ko:K01929	cdip:ERS451417_01624
ko:K01928	cdip:ERS451417_01625
ko:K03587	cdip:ERS451417_01626
ko:K03438	cdip:ERS451417_01628
ko:K03925	cdip:ERS451417_01630
ko:K00297	cdip:ERS451417_01635
ko:K13787	cdip:ERS451417_01636
ko:K14337	cdip:ERS451417_01637
ko:K12132	cdip:ERS451417_01639
ko:K01626	cdip:ERS451417_01640
ko:K00655	cdip:ERS451417_01642
ko:K00845	cdip:ERS451417_01643
ko:K13668	cdip:ERS451417_01644
ko:K21471	cdip:ERS451417_01645
ko:K03891	cdip:ERS451417_01648
ko:K03890	cdip:ERS451417_01649
ko:K03889	cdip:ERS451417_01650
ko:K02276	cdip:ERS451417_01651
ko:K02275	cdip:ERS451417_01653
ko:K01953	cdip:ERS451417_01654
ko:K02231	cdip:ERS451417_01657
ko:K00768	cdip:ERS451417_01658
ko:K02233	cdip:ERS451417_01659
ko:K00826	cdip:ERS451417_01660
ko:K01255	cdip:ERS451417_01661
ko:K00658	cdip:ERS451417_01663
ko:K03801	cdip:ERS451417_01664
ko:K03644	cdip:ERS451417_01665
ko:K01915	cdip:ERS451417_01668
ko:K07084	cdip:ERS451417_01671
ko:K00088	cdip:ERS451417_00514
ko:K00088	cdip:ERS451417_00515
ko:K02016	cdip:ERS451417_00516
ko:K02015	cdip:ERS451417_00518
ko:K02013	cdip:ERS451417_00519
ko:K11939	cdip:ERS451417_00524
ko:K01951	cdip:ERS451417_00526
ko:K14161	cdip:ERS451417_00535
ko:K02072	cdip:ERS451417_00539
ko:K02071	cdip:ERS451417_00540
ko:K02073	cdip:ERS451417_00541
ko:K02073	cdip:ERS451417_00542
ko:K14162	cdip:ERS451417_00543
ko:K09167	cdip:ERS451417_00544
ko:K08981	cdip:ERS451417_00545
ko:K02077	cdip:ERS451417_00546
ko:K02074	cdip:ERS451417_00547
ko:K02075	cdip:ERS451417_00548
ko:K02075	cdip:ERS451417_00549
ko:K03709	cdip:ERS451417_00550
ko:K01491	cdip:ERS451417_00551
ko:K00641	cdip:ERS451417_00554
ko:K02016	cdip:ERS451417_00558
ko:K02015	cdip:ERS451417_00559
ko:K02013	cdip:ERS451417_00560
ko:K00793	cdip:ERS451417_01318
ko:K11752	cdip:ERS451417_01319
ko:K01783	cdip:ERS451417_01320
ko:K03500	cdip:ERS451417_01321
ko:K00604	cdip:ERS451417_01322
ko:K01462	cdip:ERS451417_01323
ko:K04066	cdip:ERS451417_01324
ko:K00789	cdip:ERS451417_01325
ko:K13038	cdip:ERS451417_01326
ko:K03060	cdip:ERS451417_01327
ko:K00942	cdip:ERS451417_01328
ko:K01591	cdip:ERS451417_01330
ko:K01955	cdip:ERS451417_01331
ko:K01956	cdip:ERS451417_01332
ko:K01465	cdip:ERS451417_01333
ko:K00609	cdip:ERS451417_01334
ko:K02825	cdip:ERS451417_01335
ko:K07071	cdip:ERS451417_01336
ko:K03625	cdip:ERS451417_01339
ko:K02356	cdip:ERS451417_01340
ko:K03786	cdip:ERS451417_01342
ko:K01735	cdip:ERS451417_01343
ko:K00891	cdip:ERS451417_01344
ko:K01736	cdip:ERS451417_01345
ko:K02654	cdip:ERS451417_01346
ko:K00014	cdip:ERS451417_01347
ko:K07082	cdip:ERS451417_01348
ko:K07447	cdip:ERS451417_01349
ko:K01872	cdip:ERS451417_01350
ko:K07478	cdip:ERS451417_01351
ko:K01876	cdip:ERS451417_01353
ko:K07054	cdip:ERS451417_01354
ko:K01421	cdip:ERS451417_01357
ko:K01752	cdip:ERS451417_01360
ko:K01892	cdip:ERS451417_01361
ko:K11065	cdip:ERS451417_01363
ko:K03768	cdip:ERS451417_01364
ko:K01733	cdip:ERS451417_01676
ko:K21480	cdip:ERS451417_01679
ko:K00982	cdip:ERS451417_01680
ko:K01915	cdip:ERS451417_01681
ko:K00849	cdip:ERS451417_01684
ko:K07164	cdip:ERS451417_01691
ko:K00817	cdip:ERS451417_01693
ko:K01104	cdip:ERS451417_01695
ko:K02227	cdip:ERS451417_01697
ko:K00163	cdip:ERS451417_01700
ko:K16647	cdip:ERS451417_01703
ko:K02078	cdip:ERS451417_01705
ko:K02566	cdip:ERS451417_01706
ko:K02316	cdip:ERS451417_01714
ko:K00820	cdip:ERS451417_01715
ko:K01129	cdip:ERS451417_01718
ko:K01740	cdip:ERS451417_00562
ko:K00031	cdip:ERS451417_00563
ko:K19577	cdip:ERS451417_00564
ko:K01142	cdip:ERS451417_00565
ko:K01867	cdip:ERS451417_00567
ko:K07058	cdip:ERS451417_00568
ko:K07258	cdip:ERS451417_00569
ko:K01488	cdip:ERS451417_00570
ko:K00761	cdip:ERS451417_00575
ko:K00382	cdip:ERS451417_00578
ko:K01958	cdip:ERS451417_00579
ko:K11263	cdip:ERS451417_00582
ko:K01011	cdip:ERS451417_00583
ko:K06287	cdip:ERS451417_00587
ko:K00852	cdip:ERS451417_00588
ko:K02529	cdip:ERS451417_00590
ko:K01966	cdip:ERS451417_00593
ko:K01966	cdip:ERS451417_00596
ko:K03524	cdip:ERS451417_00597
ko:K01589	cdip:ERS451417_00599
ko:K01588	cdip:ERS451417_00600
ko:K04654	cdip:ERS451417_00602
ko:K04653	cdip:ERS451417_00603
ko:K04655	cdip:ERS451417_00604
ko:K04656	cdip:ERS451417_00605
ko:K04651	cdip:ERS451417_00606
ko:K04652	cdip:ERS451417_00607
ko:K06282	cdip:ERS451417_00608
ko:K06281	cdip:ERS451417_00609
ko:K03605	cdip:ERS451417_00611
ko:K00951	cdip:ERS451417_01367
ko:K00759	cdip:ERS451417_01368
ko:K02035	cdip:ERS451417_01369
ko:K03074	cdip:ERS451417_01370
ko:K03072	cdip:ERS451417_01371
ko:K03210	cdip:ERS451417_01372
ko:K03551	cdip:ERS451417_01373
ko:K03550	cdip:ERS451417_01374
ko:K01159	cdip:ERS451417_01375
ko:K10805	cdip:ERS451417_01378
ko:K01607	cdip:ERS451417_01385
ko:K00459	cdip:ERS451417_01388
ko:K06196	cdip:ERS451417_01392
ko:K01906	cdip:ERS451417_01397
ko:K00652	cdip:ERS451417_01398
ko:K08256	cdip:ERS451417_01400
ko:K00995	cdip:ERS451417_01402
ko:K19710	cdip:ERS451417_01403
ko:K01868	cdip:ERS451417_01404
ko:K15733	cdip:ERS451417_01405
ko:K09796	cdip:ERS451417_01406
ko:K07156	cdip:ERS451417_01407
ko:K07305	cdip:ERS451417_01416
ko:K01880	cdip:ERS451417_01723
ko:K03711	cdip:ERS451417_01726
ko:K00806	cdip:ERS451417_01728
ko:K03584	cdip:ERS451417_01729
ko:K03595	cdip:ERS451417_01730
ko:K00868	cdip:ERS451417_01731
ko:K07042	cdip:ERS451417_01733
ko:K06217	cdip:ERS451417_01734
ko:K09761	cdip:ERS451417_01735
ko:K03686	cdip:ERS451417_01736
ko:K03705	cdip:ERS451417_01737
ko:K06867	cdip:ERS451417_01739
ko:K01897	cdip:ERS451417_01741
ko:K00705	cdip:ERS451417_01742
ko:K01284	cdip:ERS451417_01745
ko:K01823	cdip:ERS451417_01747
ko:K06147	cdip:ERS451417_01752
ko:K14155	cdip:ERS451417_01753
ko:K03311	cdip:ERS451417_01754
ko:K02035	cdip:ERS451417_01758
ko:K02033	cdip:ERS451417_01759
ko:K02034	cdip:ERS451417_01760
ko:K02031	cdip:ERS451417_01761
ko:K02032	cdip:ERS451417_01761
ko:K06997	cdip:ERS451417_01764
ko:K00854	cdip:ERS451417_01765
ko:K04651	cdip:ERS451417_00612
ko:K04653	cdip:ERS451417_00614
ko:K16870	cdip:ERS451417_00617
ko:K00966	cdip:ERS451417_00618
ko:K18955	cdip:ERS451417_00619
ko:K01840	cdip:ERS451417_00622
ko:K01809	cdip:ERS451417_00624
ko:K01251	cdip:ERS451417_00627
ko:K00943	cdip:ERS451417_00628
ko:K07670	cdip:ERS451417_00629
ko:K07654	cdip:ERS451417_00630
ko:K03070	cdip:ERS451417_00634
ko:K00508	cdip:ERS451417_00639
ko:K06949	cdip:ERS451417_00640
ko:K00800	cdip:ERS451417_00641
ko:K03976	cdip:ERS451417_00643
ko:K03088	cdip:ERS451417_00644
ko:K18955	cdip:ERS451417_00646
ko:K03657	cdip:ERS451417_00654
ko:K21885	cdip:ERS451417_01913
ko:K14228	cdip:ERS451417_01138
ko:K21885	cdip:ERS451417_00934
ko:K14219	cdip:ERS451417_00727
ko:K02334	cdip:ERS451417_02186
ko:K21962	cdip:ERS451417_01284
ko:K14228	cdip:ERS451417_00822
ko:K14219	cdip:ERS451417_00939
ko:K14219	cdip:ERS451417_00147
ko:K14221	cdip:ERS451417_01898
ko:K22044	cdip:ERS451417_00538
ko:K14232	cdip:ERS451417_00223
ko:K22044	cdip:ERS451417_01818
ko:K14225	cdip:ERS451417_01409
ko:K14219	cdip:ERS451417_01828
ko:K14224	cdip:ERS451417_01901
ko:K14236	cdip:ERS451417_00352
ko:K14234	cdip:ERS451417_00264
ko:K14223	cdip:ERS451417_01027
ko:K14229	cdip:ERS451417_01835
ko:K14225	cdip:ERS451417_02180
ko:K14233	cdip:ERS451417_00144
ko:K14233	cdip:ERS451417_00146
ko:K14233	cdip:ERS451417_00177
ko:K14226	cdip:ERS451417_01832
ko:K14218	cdip:ERS451417_01880
ko:K14237	cdip:ERS451417_01408
ko:K14234	cdip:ERS451417_01966
ko:K03892	cdip:ERS451417_00338
ko:K13580	cdip:ERS451417_01515
ko:K06958	cdip:ERS451417_01115
ko:K01524	cdip:ERS451417_00315
ko:K18930	cdip:ERS451417_01219
ko:K14222	cdip:ERS451417_01412
ko:K14223	cdip:ERS451417_00810
ko:K01046	cdip:ERS451417_00088
ko:K14231	cdip:ERS451417_01897
ko:K17758	cdip:ERS451417_02329
ko:K17759	cdip:ERS451417_02329
ko:K22316	cdip:ERS451417_01690
ko:K22306	cdip:ERS451417_01789
ko:K02257	cdip:ERS451417_01301
ko:K14229	cdip:ERS451417_01922
ko:K22311	cdip:ERS451417_01401
ko:K14227	cdip:ERS451417_00011
ko:K22476	cdip:ERS451417_02049
ko:K00728	cdip:ERS451417_00773
ko:K22468	cdip:ERS451417_02030
ko:K08300	cdip:ERS451417_01798
ko:K08301	cdip:ERS451417_01798
ko:K07566	cdip:ERS451417_00953
