ko:K07481	blc:Balac_0968
ko:K14218	blc:Balac_0016
ko:K14230	blc:Balac_1439
ko:K01048	blc:Balac_0093
ko:K07284	blc:Balac_1349
ko:K07284	blc:Balac_1486
ko:K14218	blc:Balac_0748
ko:K14218	blc:Balac_0749
ko:K14234	blc:Balac_0291
ko:K14219	blc:Balac_1422
ko:K14219	blc:Balac_1319
ko:K14219	blc:Balac_0587
ko:K01802	blc:Balac_1426
ko:K14236	blc:Balac_0360
ko:K14222	blc:Balac_0835
ko:K14230	blc:Balac_0508
ko:K00721	blc:Balac_1354
ko:K11068	blc:Balac_0009
ko:K01990	blc:Balac_0494
ko:K01200	blc:Balac_1562
ko:K00067	blc:Balac_1377
ko:K01790	blc:Balac_1377
ko:K01190	blc:Balac_0268
ko:K00970	blc:Balac_1619
ko:K06147	blc:Balac_0169
ko:K06147	blc:Balac_1296
ko:K02031	blc:Balac_1193
ko:K02032	blc:Balac_1193
ko:K01992	blc:Balac_0495
ko:K07979	blc:Balac_0957
ko:K07005	blc:Balac_0601
ko:K01190	blc:Balac_0476
ko:K01182	blc:Balac_1593
ko:K01990	blc:Balac_0956
ko:K01897	blc:Balac_0771
ko:K02342	blc:Balac_1276
ko:K01198	blc:Balac_0517
ko:K01607	blc:Balac_0114
ko:K14229	blc:Balac_0186
ko:K02075	blc:Balac_0992
ko:K01176	blc:Balac_0952
ko:K14233	blc:Balac_0411
ko:K02032	blc:Balac_0562
ko:K06177	blc:Balac_0555
ko:K07124	blc:Balac_1046
ko:K01897	blc:Balac_0903
ko:K06147	blc:Balac_1539
ko:K06147	blc:Balac_1540
ko:K02031	blc:Balac_1142
ko:K02032	blc:Balac_1142
ko:K00001	blc:Balac_0125
ko:K03293	blc:Balac_0160
ko:K03293	blc:Balac_0163
ko:K15342	blc:Balac_1308
ko:K03929	blc:Balac_0519
ko:K15553	blc:Balac_1019
ko:K12510	blc:Balac_0206
ko:K14170	blc:Balac_1151
ko:K16147	blc:Balac_1458
ko:K16148	blc:Balac_0888
ko:K18955	blc:Balac_1006
ko:K02030	blc:Balac_1266
ko:K02029	blc:Balac_1268
ko:K10716	blc:Balac_1611
ko:K01218	blc:Balac_1450
ko:K12990	blc:Balac_1384
ko:K16209	blc:Balac_0475
ko:K16264	blc:Balac_1213
ko:K03699	blc:Balac_0057
ko:K15555	blc:Balac_1020
ko:K15554	blc:Balac_1018
ko:K15772	blc:Balac_1563
ko:K15770	blc:Balac_1565
ko:K15771	blc:Balac_1564
ko:K10117	blc:Balac_0514
ko:K10118	blc:Balac_0515
ko:K10119	blc:Balac_0516
ko:K16785	blc:Balac_0688
ko:K16786	blc:Balac_0688
ko:K16787	blc:Balac_0688
ko:K16650	blc:Balac_1515
ko:K02851	blc:Balac_0527
ko:K10118	blc:Balac_1570
ko:K10117	blc:Balac_1572
ko:K10119	blc:Balac_1569
ko:K16925	blc:Balac_0697
ko:K16786	blc:Balac_0181
ko:K16787	blc:Balac_0181
ko:K16784	blc:Balac_0692
ko:K16785	blc:Balac_1060
ko:K16785	blc:Balac_0180
ko:K16925	blc:Balac_0710
ko:K16785	blc:Balac_0711
ko:K16786	blc:Balac_0711
ko:K16787	blc:Balac_0711
ko:K16926	blc:Balac_0179
ko:K16786	blc:Balac_1061
ko:K16787	blc:Balac_1061
ko:K15581	blc:Balac_1144
ko:K15580	blc:Balac_1145
ko:K15582	blc:Balac_1143
ko:K10112	blc:Balac_1610
ko:K03671	blc:Balac_1369
ko:K07012	blc:Balac_1304
ko:K17686	blc:Balac_1045
ko:K17828	blc:Balac_0875
ko:K18205	blc:Balac_1589
ko:K08168	blc:Balac_1502
ko:K18220	blc:Balac_0967
ko:K03366	blc:Balac_0727
ko:K01488	blc:Balac_0959
ko:K00991	blc:Balac_0333
ko:K03574	blc:Balac_0202
ko:K01214	blc:Balac_0977
ko:K06147	blc:Balac_1405
ko:K07171	blc:Balac_0045
ko:K19055	blc:Balac_0954
ko:K03976	blc:Balac_1163
ko:K03526	blc:Balac_1249
ko:K07816	blc:Balac_1122
ko:K07172	blc:Balac_0044
ko:K19131	blc:Balac_1306
ko:K19132	blc:Balac_1305
ko:K19133	blc:Balac_1303
ko:K01621	blc:Balac_0971
ko:K19265	blc:Balac_0283
ko:K01990	blc:Balac_1126
ko:K01992	blc:Balac_0781
ko:K12952	blc:Balac_1135
ko:K19302	blc:Balac_0172
ko:K11991	blc:Balac_1602
ko:K01785	blc:Balac_1165
ko:K08156	blc:Balac_0109
ko:K08744	blc:Balac_0794
ko:K21672	blc:Balac_1124
ko:K12132	blc:Balac_0084
ko:K12132	blc:Balac_0085
ko:K20265	blc:Balac_0442
ko:K20074	blc:Balac_0088
ko:K01214	blc:Balac_0376
ko:K20814	blc:Balac_0638
ko:K00821	blc:Balac_0722
ko:K21636	blc:Balac_1315
ko:K21471	blc:Balac_0545
ko:K21471	blc:Balac_0454
ko:K10914	blc:Balac_1358
ko:K00936	blc:Balac_1007
ko:K22010	blc:Balac_0981
ko:K03077	blc:Balac_0067
ko:K22306	blc:Balac_0746
ko:K22311	blc:Balac_0825
ko:K22441	blc:Balac_0830
ko:K00728	blc:Balac_1546
ko:K08300	blc:Balac_0301
ko:K08301	blc:Balac_0301
