ko:K19744	prp:M062_20420
ko:K01915	prp:M062_26940
ko:K07708	prp:M062_26965
ko:K07712	prp:M062_26970
ko:K03216	prp:M062_26980
ko:K03071	prp:M062_26985
ko:K15633	prp:M062_27000
ko:K03797	prp:M062_27020
ko:K09798	prp:M062_27025
ko:K02500	prp:M062_27050
ko:K01814	prp:M062_27055
ko:K02501	prp:M062_27065
ko:K01693	prp:M062_27070
ko:K07289	prp:M062_27090
ko:K03575	prp:M062_27095
ko:K02029	prp:M062_27180
ko:K02029	prp:M062_27185
ko:K03543	prp:M062_27205
ko:K03446	prp:M062_27210
ko:K00951	prp:M062_04580
ko:K03113	prp:M062_25545
ko:K04084	prp:M062_25570
ko:K03786	prp:M062_25575
ko:K02160	prp:M062_25580
ko:K01961	prp:M062_25585
ko:K02687	prp:M062_25595
ko:K03557	prp:M062_25610
ko:K00602	prp:M062_25615
ko:K01945	prp:M062_25620
ko:K11959	prp:M062_25640
ko:K11960	prp:M062_25645
ko:K11961	prp:M062_25650
ko:K11962	prp:M062_25655
ko:K11963	prp:M062_25660
ko:K03190	prp:M062_25670
ko:K01430	prp:M062_25675
ko:K03823	prp:M062_25680
ko:K01429	prp:M062_25685
ko:K01428	prp:M062_25690
ko:K04046	prp:M062_25715
ko:K04064	prp:M062_25730
ko:K07290	prp:M062_25745
ko:K03594	prp:M062_25750
ko:K07644	prp:M062_25780
ko:K03187	prp:M062_25805
ko:K03188	prp:M062_25810
ko:K03189	prp:M062_25815
ko:K03192	prp:M062_25820
ko:K05603	prp:M062_26875
ko:K02848	prp:M062_26405
ko:K02844	prp:M062_26410
ko:K02841	prp:M062_26415
ko:K00826	prp:M062_26425
ko:K00982	prp:M062_26430
ko:K00163	prp:M062_26435
ko:K00627	prp:M062_26440
ko:K07115	prp:M062_26455
ko:K05802	prp:M062_26470
ko:K07090	prp:M062_26480
ko:K01740	prp:M062_26485
ko:K08224	prp:M062_26510
ko:K01599	prp:M062_26530
ko:K00266	prp:M062_26535
ko:K03112	prp:M062_26545
ko:K01735	prp:M062_26550
ko:K00891	prp:M062_26555
ko:K02666	prp:M062_26560
ko:K02662	prp:M062_26580
ko:K05366	prp:M062_26585
ko:K00029	prp:M062_26590
ko:K02909	prp:M062_26605
ko:K04066	prp:M062_26610
ko:K01887	prp:M062_26615
ko:K01419	prp:M062_26625
ko:K03667	prp:M062_26630
ko:K03821	prp:M062_26640
ko:K03821	prp:M062_26650
ko:K03088	prp:M062_25830
ko:K16087	prp:M062_25835
ko:K05548	prp:M062_25850
ko:K01576	prp:M062_25855
ko:K11475	prp:M062_25880
ko:K01996	prp:M062_25895
ko:K01995	prp:M062_25900
ko:K01998	prp:M062_25905
ko:K01997	prp:M062_25910
ko:K01999	prp:M062_25915
ko:K00763	prp:M062_25940
ko:K06966	prp:M062_25960
ko:K01775	prp:M062_25995
ko:K02939	prp:M062_26005
ko:K02963	prp:M062_26015
ko:K02990	prp:M062_26020
ko:K03218	prp:M062_26025
ko:K12573	prp:M062_26030
ko:K01939	prp:M062_26045
ko:K02502	prp:M062_26050
ko:K09937	prp:M062_26055
ko:K04087	prp:M062_26060
ko:K04088	prp:M062_26065
ko:K03665	prp:M062_26070
ko:K03666	prp:M062_26075
ko:K00791	prp:M062_26080
ko:K03572	prp:M062_26085
ko:K01448	prp:M062_26090
ko:K06925	prp:M062_26095
ko:K00962	prp:M062_24985
ko:K02956	prp:M062_24990
ko:K02834	prp:M062_25000
ko:K02519	prp:M062_25005
ko:K02600	prp:M062_25010
ko:K09748	prp:M062_25015
ko:K03075	prp:M062_25030
ko:K01803	prp:M062_25035
ko:K03431	prp:M062_25040
ko:K00796	prp:M062_25045
ko:K03798	prp:M062_25050
ko:K07574	prp:M062_25060
ko:K03624	prp:M062_25070
ko:K01955	prp:M062_25075
ko:K11250	prp:M062_25080
ko:K01956	prp:M062_25085
ko:K00215	prp:M062_25090
ko:K03686	prp:M062_25095
ko:K04043	prp:M062_25100
ko:K03687	prp:M062_25105
ko:K03631	prp:M062_25110
ko:K06186	prp:M062_25120
ko:K09801	prp:M062_25125
ko:K03664	prp:M062_25135
ko:K03303	prp:M062_25145
ko:K01611	prp:M062_25160
ko:K00797	prp:M062_25165
ko:K09962	prp:M062_25190
ko:K15268	prp:M062_25195
ko:K07178	prp:M062_25200
ko:K06219	prp:M062_25250
ko:K02229	prp:M062_15560
ko:K16088	prp:M062_22240
ko:K12243	prp:M062_22270
ko:K04782	prp:M062_22280
ko:K03701	prp:M062_22300
ko:K03594	prp:M062_22305
ko:K03781	prp:M062_22310
ko:K02879	prp:M062_22315
ko:K03040	prp:M062_22320
ko:K02986	prp:M062_22325
ko:K02948	prp:M062_22330
ko:K02952	prp:M062_22335
ko:K02919	prp:M062_22340
ko:K03076	prp:M062_22345
ko:K02876	prp:M062_22350
ko:K02907	prp:M062_22355
ko:K02988	prp:M062_22360
ko:K02881	prp:M062_22365
ko:K02933	prp:M062_22370
ko:K02994	prp:M062_22375
ko:K02954	prp:M062_22380
ko:K02931	prp:M062_22385
ko:K02895	prp:M062_22390
ko:K02874	prp:M062_22395
ko:K02961	prp:M062_22400
ko:K02904	prp:M062_22405
ko:K02878	prp:M062_22410
ko:K03183	prp:M062_26675
ko:K03690	prp:M062_26680
ko:K03688	prp:M062_26685
ko:K03116	prp:M062_26700
ko:K03117	prp:M062_26705
ko:K03118	prp:M062_26710
ko:K02029	prp:M062_26735
ko:K03669	prp:M062_26745
ko:K03670	prp:M062_26750
ko:K07560	prp:M062_26755
ko:K10001	prp:M062_26770
ko:K00285	prp:M062_26780
ko:K01468	prp:M062_26805
ko:K01745	prp:M062_26810
ko:K02000	prp:M062_26815
ko:K02001	prp:M062_26820
ko:K02002	prp:M062_26825
ko:K01745	prp:M062_26835
ko:K03457	prp:M062_26840
ko:K01712	prp:M062_26845
ko:K02002	prp:M062_26860
ko:K09975	prp:M062_26865
ko:K05836	prp:M062_26870
ko:K03098	prp:M062_26880
ko:K03841	prp:M062_26895
ko:K12686	prp:M062_26905
ko:K06207	prp:M062_26930
ko:K18456	prp:M062_00720
ko:K17713	prp:M062_20085
ko:K13288	prp:M062_26110
ko:K06949	prp:M062_26115
ko:K02557	prp:M062_26120
ko:K02556	prp:M062_26125
ko:K01613	prp:M062_26140
ko:K01079	prp:M062_26155
ko:K07038	prp:M062_26165
ko:K15555	prp:M062_18365
ko:K09857	prp:M062_26170
ko:K02621	prp:M062_26175
ko:K06985	prp:M062_26180
ko:K02622	prp:M062_26190
ko:K07000	prp:M062_26195
ko:K03651	prp:M062_26200
ko:K09920	prp:M062_26205
ko:K03147	prp:M062_26220
ko:K12340	prp:M062_26225
ko:K00355	prp:M062_26230
ko:K12252	prp:M062_26235
ko:K15866	prp:M062_26255
ko:K02205	prp:M062_26260
ko:K02527	prp:M062_26300
ko:K03272	prp:M062_26340
ko:K00612	prp:M062_26385
ko:K00954	prp:M062_01815
ko:K00154	prp:M062_01830
ko:K03110	prp:M062_01870
ko:K09812	prp:M062_01875
ko:K09811	prp:M062_01880
ko:K11900	prp:M062_08825
ko:K11905	prp:M062_08830
ko:K11896	prp:M062_08835
ko:K11895	prp:M062_08840
ko:K11907	prp:M062_08845
ko:K11906	prp:M062_08865
ko:K11893	prp:M062_08870
ko:K11892	prp:M062_08875
ko:K11891	prp:M062_08880
ko:K11915	prp:M062_08885
ko:K06996	prp:M062_08895
ko:K01495	prp:M062_08905
ko:K07320	prp:M062_08925
ko:K01736	prp:M062_08940
ko:K05820	prp:M062_08945
ko:K08967	prp:M062_08955
ko:K01247	prp:M062_08970
ko:K00797	prp:M062_08975
ko:K03229	prp:M062_08990
ko:K03228	prp:M062_08995
ko:K03226	prp:M062_09005
ko:K07395	prp:M062_09040
ko:K07088	prp:M062_09050
ko:K00496	prp:M062_13675
ko:K07078	prp:M062_13680
ko:K00453	prp:M062_13700
ko:K03923	prp:M062_13705
ko:K03592	prp:M062_23545
ko:K09889	prp:M062_23550
ko:K03568	prp:M062_23555
ko:K08301	prp:M062_23570
ko:K06287	prp:M062_23575
ko:K03571	prp:M062_23580
ko:K03570	prp:M062_23585
ko:K03569	prp:M062_23590
ko:K02435	prp:M062_23595
ko:K02434	prp:M062_23605
ko:K03642	prp:M062_23610
ko:K06894	prp:M062_23630
ko:K09934	prp:M062_23635
ko:K15012	prp:M062_23650
ko:K15011	prp:M062_23655
ko:K12368	prp:M062_23665
ko:K12368	prp:M062_23685
ko:K12368	prp:M062_23695
ko:K12369	prp:M062_23700
ko:K12370	prp:M062_23705
ko:K12371	prp:M062_23710
ko:K03089	prp:M062_01885
ko:K03814	prp:M062_01895
ko:K03154	prp:M062_01905
ko:K03149	prp:M062_01910
ko:K03439	prp:M062_01915
ko:K00641	prp:M062_01955
ko:K09131	prp:M062_01965
ko:K02221	prp:M062_01970
ko:K00286	prp:M062_01975
ko:K06997	prp:M062_01980
ko:K02669	prp:M062_01985
ko:K02670	prp:M062_01990
ko:K16264	prp:M062_01995
ko:K01697	prp:M062_02005
ko:K01465	prp:M062_02015
ko:K00609	prp:M062_02020
ko:K02825	prp:M062_02025
ko:K07447	prp:M062_02030
ko:K07735	prp:M062_02035
ko:K03832	prp:M062_02040
ko:K01920	prp:M062_02045
ko:K06597	prp:M062_02080
ko:K06598	prp:M062_02085
ko:K03758	prp:M062_06485
ko:K06714	prp:M062_06495
ko:K12410	prp:M062_06500
ko:K07397	prp:M062_06530
ko:K06911	prp:M062_06540
ko:K06911	prp:M062_06565
ko:K01649	prp:M062_06600
ko:K08304	prp:M062_06620
ko:K00355	prp:M062_06630
ko:K00355	prp:M062_06635
ko:K03543	prp:M062_06695
ko:K15342	prp:M062_06765
ko:K00688	prp:M062_11120
ko:K03781	prp:M062_11135
ko:K07507	prp:M062_11140
ko:K10979	prp:M062_11150
ko:K16147	prp:M062_11155
ko:K05343	prp:M062_11160
ko:K06044	prp:M062_11210
ko:K00705	prp:M062_11215
ko:K01236	prp:M062_11220
ko:K00703	prp:M062_11225
ko:K06048	prp:M062_11315
ko:K07217	prp:M062_11335
ko:K16137	prp:M062_11390
ko:K01992	prp:M062_19415
ko:K12372	prp:M062_23715
ko:K07160	prp:M062_23740
ko:K16090	prp:M062_23755
ko:K01581	prp:M062_23780
ko:K03807	prp:M062_23790
ko:K03806	prp:M062_23795
ko:K00767	prp:M062_23805
ko:K07107	prp:M062_28070
ko:K00762	prp:M062_28080
ko:K01142	prp:M062_28085
ko:K09940	prp:M062_28090
ko:K00989	prp:M062_28095
ko:K00942	prp:M062_28105
ko:K03060	prp:M062_28110
ko:K04761	prp:M062_28145
ko:K03655	prp:M062_28150
ko:K05787	prp:M062_28165
ko:K05297	prp:M062_28170
ko:K11477	prp:M062_28185
ko:K11473	prp:M062_28190
ko:K11472	prp:M062_28195
ko:K11474	prp:M062_28205
ko:K03181	prp:M062_28210
ko:K03179	prp:M062_28215
ko:K07636	prp:M062_28230
ko:K02039	prp:M062_28250
ko:K02036	prp:M062_28255
ko:K02038	prp:M062_28260
ko:K02037	prp:M062_28265
ko:K02040	prp:M062_28270
ko:K10806	prp:M062_28305
ko:K02167	prp:M062_28320
ko:K02168	prp:M062_28325
ko:K02000	prp:M062_28330
ko:K02001	prp:M062_28335
ko:K02002	prp:M062_28340
ko:K01752	prp:M062_28345
ko:K09761	prp:M062_02105
ko:K00833	prp:M062_02110
ko:K11927	prp:M062_02150
ko:K00297	prp:M062_02160
ko:K01251	prp:M062_02170
ko:K10974	prp:M062_02200
ko:K01464	prp:M062_02215
ko:K03457	prp:M062_02220
ko:K06016	prp:M062_02225
ko:K00252	prp:M062_02235
ko:K03306	prp:M062_02250
ko:K07403	prp:M062_02255
ko:K05591	prp:M062_02275
ko:K03704	prp:M062_02280
ko:K03696	prp:M062_02295
ko:K07663	prp:M062_02315
ko:K07641	prp:M062_02320
ko:K06143	prp:M062_02325
ko:K03088	prp:M062_02365
ko:K03457	prp:M062_02385
ko:K12536	prp:M062_06785
ko:K12537	prp:M062_06790
ko:K02029	prp:M062_06840
ko:K02029	prp:M062_06845
ko:K12658	prp:M062_06905
ko:K16092	prp:M062_06920
ko:K02224	prp:M062_06930
ko:K04719	prp:M062_06935
ko:K02227	prp:M062_06940
ko:K02225	prp:M062_06945
ko:K02232	prp:M062_06950
ko:K02231	prp:M062_06955
ko:K00768	prp:M062_06960
ko:K02233	prp:M062_06970
ko:K00432	prp:M062_07005
ko:K06076	prp:M062_07010
ko:K03684	prp:M062_07040
ko:K09902	prp:M062_07045
ko:K02029	prp:M062_11420
ko:K02029	prp:M062_11425
ko:K00097	prp:M062_11470
ko:K03808	prp:M062_11500
ko:K02688	prp:M062_11515
ko:K14393	prp:M062_11550
ko:K00836	prp:M062_11565
ko:K00137	prp:M062_11570
ko:K13954	prp:M062_11580
ko:K02012	prp:M062_24685
ko:K02011	prp:M062_24690
ko:K03808	prp:M062_24700
ko:K03808	prp:M062_24705
ko:K17247	prp:M062_24735
ko:K17103	prp:M062_24745
ko:K00053	prp:M062_24750
ko:K01653	prp:M062_24755
ko:K01652	prp:M062_24760
ko:K05365	prp:M062_24780
ko:K02013	prp:M062_24810
ko:K02015	prp:M062_24815
ko:K02016	prp:M062_24820
ko:K16087	prp:M062_24825
ko:K14261	prp:M062_24850
ko:K06901	prp:M062_24875
ko:K06206	prp:M062_24885
ko:K06204	prp:M062_24895
ko:K01894	prp:M062_24900
ko:K00950	prp:M062_24925
ko:K00606	prp:M062_24930
ko:K01918	prp:M062_24935
ko:K01579	prp:M062_24940
ko:K01810	prp:M062_24945
ko:K01895	prp:M062_24950
ko:K04042	prp:M062_29225
ko:K02114	prp:M062_29230
ko:K02112	prp:M062_29235
ko:K02115	prp:M062_29240
ko:K02111	prp:M062_29245
ko:K02113	prp:M062_29250
ko:K02109	prp:M062_29255
ko:K02110	prp:M062_29260
ko:K02108	prp:M062_29265
ko:K03501	prp:M062_29285
ko:K03495	prp:M062_29290
ko:K03650	prp:M062_29300
ko:K03217	prp:M062_29305
ko:K03536	prp:M062_29310
ko:K14475	prp:M062_03780
ko:K02651	prp:M062_22700
ko:K06915	prp:M062_22710
ko:K01433	prp:M062_22745
ko:K01141	prp:M062_22755
ko:K03924	prp:M062_22785
ko:K14055	prp:M062_22815
ko:K00873	prp:M062_22820
ko:K01676	prp:M062_22840
ko:K03322	prp:M062_22845
ko:K05520	prp:M062_22855
ko:K07490	prp:M062_22960
ko:K04759	prp:M062_22965
ko:K04758	prp:M062_22970
ko:K00067	prp:M062_27225
ko:K00973	prp:M062_27230
ko:K01790	prp:M062_27235
ko:K10125	prp:M062_27240
ko:K10126	prp:M062_27245
ko:K03758	prp:M062_27265
ko:K00611	prp:M062_27275
ko:K00926	prp:M062_27280
ko:K08312	prp:M062_27295
ko:K02379	prp:M062_27315
ko:K07107	prp:M062_27345
ko:K01610	prp:M062_27380
ko:K04083	prp:M062_27385
ko:K04762	prp:M062_27395
ko:K07638	prp:M062_27415
ko:K07659	prp:M062_27420
ko:K06959	prp:M062_27425
ko:K01919	prp:M062_27435
ko:K14682	prp:M062_27440
ko:K01438	prp:M062_27450
ko:K03306	prp:M062_27455
ko:K07220	prp:M062_27460
ko:K07340	prp:M062_27475
ko:K00281	prp:M062_27485
ko:K02437	prp:M062_27490
ko:K00605	prp:M062_27495
ko:K01055	prp:M062_02405
ko:K01638	prp:M062_02415
ko:K05786	prp:M062_02430
ko:K02019	prp:M062_02440
ko:K05811	prp:M062_02445
ko:K07160	prp:M062_02465
ko:K01961	prp:M062_02475
ko:K01012	prp:M062_02500
ko:K02170	prp:M062_02510
ko:K02169	prp:M062_02515
ko:K01935	prp:M062_02520
ko:K15864	prp:M062_02595
ko:K02164	prp:M062_02605
ko:K02305	prp:M062_02615
ko:K04561	prp:M062_02620
ko:K02448	prp:M062_02625
ko:K06872	prp:M062_02690
ko:K09160	prp:M062_07065
ko:K03088	prp:M062_07070
ko:K16087	prp:M062_07080
ko:K03100	prp:M062_07085
ko:K01354	prp:M062_07090
ko:K03430	prp:M062_07120
ko:K05306	prp:M062_07125
ko:K02297	prp:M062_07155
ko:K02298	prp:M062_07160
ko:K02299	prp:M062_07165
ko:K02300	prp:M062_07170
ko:K16090	prp:M062_07180
ko:K01754	prp:M062_07200
ko:K10680	prp:M062_07240
ko:K17061	prp:M062_07245
ko:K17060	prp:M062_07250
ko:K05597	prp:M062_07255
ko:K10004	prp:M062_07265
ko:K10002	prp:M062_07270
ko:K10003	prp:M062_07275
ko:K10001	prp:M062_07280
ko:K03088	prp:M062_07325
ko:K03168	prp:M062_11740
ko:K00166	prp:M062_11755
ko:K00167	prp:M062_11760
ko:K09699	prp:M062_11765
ko:K00382	prp:M062_11770
ko:K03310	prp:M062_11780
ko:K02525	prp:M062_11815
ko:K00032	prp:M062_11835
ko:K06152	prp:M062_11840
ko:K06151	prp:M062_11845
ko:K03587	prp:M062_11875
ko:K13639	prp:M062_11880
ko:K13979	prp:M062_11890
ko:K03893	prp:M062_11905
ko:K00117	prp:M062_11965
ko:K07267	prp:M062_11970
ko:K02011	prp:M062_27500
ko:K02012	prp:M062_27505
ko:K02652	prp:M062_23820
ko:K02654	prp:M062_23830
ko:K00859	prp:M062_23835
ko:K09862	prp:M062_23840
ko:K03885	prp:M062_23880
ko:K06916	prp:M062_23885
ko:K03695	prp:M062_23915
ko:K05810	prp:M062_23920
ko:K06180	prp:M062_23925
ko:K05807	prp:M062_23930
ko:K06950	prp:M062_23935
ko:K02667	prp:M062_23945
ko:K08084	prp:M062_23955
ko:K02671	prp:M062_23965
ko:K02672	prp:M062_23970
ko:K02673	prp:M062_23975
ko:K02655	prp:M062_23990
ko:K03527	prp:M062_23995
ko:K03774	prp:M062_24000
ko:K03101	prp:M062_24005
ko:K01870	prp:M062_24010
ko:K11753	prp:M062_24015
ko:K03980	prp:M062_24020
ko:K02968	prp:M062_24025
ko:K05805	prp:M062_24030
ko:K00931	prp:M062_24035
ko:K03979	prp:M062_24040
ko:K02899	prp:M062_24045
ko:K02888	prp:M062_24050
ko:K02523	prp:M062_24055
ko:K03773	prp:M062_24070
ko:K07107	prp:M062_28375
ko:K02002	prp:M062_28390
ko:K01438	prp:M062_28400
ko:K06131	prp:M062_28420
ko:K09958	prp:M062_28425
ko:K01273	prp:M062_28430
ko:K03522	prp:M062_28450
ko:K03521	prp:M062_28455
ko:K07727	prp:M062_28465
ko:K00479	prp:M062_28505
ko:K01620	prp:M062_28520
ko:K00600	prp:M062_28530
ko:K00303	prp:M062_28535
ko:K00305	prp:M062_28550
ko:K01433	prp:M062_28555
ko:K01792	prp:M062_28565
ko:K09950	prp:M062_28570
ko:K01589	prp:M062_28580
ko:K01588	prp:M062_28585
ko:K01744	prp:M062_28600
ko:K07112	prp:M062_28605
ko:K00375	prp:M062_28610
ko:K03835	prp:M062_28625
ko:K01960	prp:M062_28630
ko:K03744	prp:M062_02695
ko:K03611	prp:M062_02700
ko:K00789	prp:M062_02740
ko:K00615	prp:M062_02750
ko:K03472	prp:M062_02765
ko:K00927	prp:M062_02770
ko:K01624	prp:M062_02785
ko:K07007	prp:M062_02805
ko:K07043	prp:M062_02810
ko:K03086	prp:M062_02895
ko:K09117	prp:M062_02905
ko:K02970	prp:M062_02910
ko:K08591	prp:M062_02920
ko:K01633	prp:M062_02925
ko:K00950	prp:M062_02930
ko:K09786	prp:M062_02950
ko:K07180	prp:M062_02955
ko:K02439	prp:M062_02960
ko:K06195	prp:M062_02970
ko:K02528	prp:M062_02975
ko:K00097	prp:M062_02980
ko:K11939	prp:M062_07370
ko:K03327	prp:M062_07375
ko:K03088	prp:M062_07385
ko:K04095	prp:M062_07400
ko:K09458	prp:M062_07440
ko:K03473	prp:M062_07450
ko:K00906	prp:M062_07460
ko:K06969	prp:M062_07560
ko:K11073	prp:M062_07575
ko:K01652	prp:M062_07610
ko:K03710	prp:M062_12010
ko:K03119	prp:M062_12055
ko:K06995	prp:M062_12095
ko:K06145	prp:M062_12100
ko:K10227	prp:M062_12195
ko:K10228	prp:M062_12200
ko:K10229	prp:M062_12205
ko:K00847	prp:M062_12225
ko:K17218	prp:M062_12230
ko:K02073	prp:M062_12250
ko:K02071	prp:M062_12255
ko:K02072	prp:M062_12260
ko:K01126	prp:M062_12265
ko:K10439	prp:M062_10140
ko:K02313	prp:M062_00005
ko:K02338	prp:M062_00010
ko:K02470	prp:M062_00015
ko:K00655	prp:M062_00020
ko:K03273	prp:M062_00025
ko:K01879	prp:M062_00035
ko:K01878	prp:M062_00040
ko:K01246	prp:M062_00045
ko:K02517	prp:M062_00050
ko:K06213	prp:M062_04470
ko:K14441	prp:M062_04485
ko:K03549	prp:M062_04490
ko:K12262	prp:M062_04495
ko:K14205	prp:M062_04505
ko:K02346	prp:M062_04525
ko:K07014	prp:M062_04530
ko:K03778	prp:M062_04545
ko:K07678	prp:M062_04550
ko:K12339	prp:M062_04570
ko:K03215	prp:M062_04575
ko:K09912	prp:M062_04595
ko:K11175	prp:M062_04635
ko:K01933	prp:M062_04640
ko:K09938	prp:M062_04645
ko:K10763	prp:M062_04650
ko:K03809	prp:M062_04660
ko:K07058	prp:M062_04670
ko:K01512	prp:M062_04690
ko:K01881	prp:M062_04700
ko:K03745	prp:M062_04720
ko:K03704	prp:M062_04725
ko:K04047	prp:M062_04730
ko:K01876	prp:M062_04735
ko:K01159	prp:M062_04745
ko:K06975	prp:M062_09125
ko:K01626	prp:M062_09130
ko:K00077	prp:M062_09140
ko:K13634	prp:M062_09150
ko:K00390	prp:M062_09160
ko:K02203	prp:M062_09165
ko:K01665	prp:M062_09170
ko:K03556	prp:M062_09175
ko:K03556	prp:M062_09180
ko:K09773	prp:M062_09225
ko:K02553	prp:M062_09240
ko:K16074	prp:M062_09245
ko:K03088	prp:M062_09260
ko:K00372	prp:M062_09275
ko:K00363	prp:M062_09280
ko:K00362	prp:M062_09285
ko:K02575	prp:M062_09295
ko:K01682	prp:M062_09315
ko:K06938	prp:M062_09320
ko:K06169	prp:M062_09335
ko:K03269	prp:M062_09345
ko:K01886	prp:M062_09355
ko:K01883	prp:M062_09360
ko:K01491	prp:M062_09365
ko:K03607	prp:M062_13720
ko:K03703	prp:M062_13740
ko:K11073	prp:M062_13775
ko:K15553	prp:M062_13785
ko:K15553	prp:M062_13790
ko:K15553	prp:M062_13795
ko:K07235	prp:M062_13845
ko:K07236	prp:M062_13850
ko:K02003	prp:M062_00380
ko:K11890	prp:M062_00395
ko:K11891	prp:M062_00400
ko:K11892	prp:M062_00405
ko:K11893	prp:M062_00410
ko:K11906	prp:M062_00415
ko:K11902	prp:M062_00425
ko:K11901	prp:M062_00430
ko:K11900	prp:M062_00435
ko:K11903	prp:M062_00440
ko:K11898	prp:M062_00445
ko:K11897	prp:M062_00450
ko:K11896	prp:M062_00455
ko:K11895	prp:M062_00460
ko:K11907	prp:M062_00465
ko:K01673	prp:M062_00525
ko:K02275	prp:M062_00540
ko:K02276	prp:M062_00555
ko:K02259	prp:M062_00575
ko:K07152	prp:M062_00585
ko:K11103	prp:M062_00610
ko:K06193	prp:M062_00655
ko:K16137	prp:M062_05065
ko:K02669	prp:M062_05160
ko:K03168	prp:M062_05220
ko:K07400	prp:M062_09660
ko:K09984	prp:M062_09670
ko:K07168	prp:M062_09695
ko:K00404	prp:M062_09705
ko:K09781	prp:M062_09710
ko:K02018	prp:M062_09735
ko:K02020	prp:M062_09740
ko:K02452	prp:M062_09765
ko:K02453	prp:M062_09770
ko:K16074	prp:M062_09795
ko:K12543	prp:M062_09800
ko:K12541	prp:M062_09805
ko:K12542	prp:M062_09810
ko:K07023	prp:M062_09815
ko:K07303	prp:M062_09825
ko:K07302	prp:M062_09830
ko:K00330	prp:M062_09840
ko:K02336	prp:M062_09855
ko:K01434	prp:M062_09895
ko:K01626	prp:M062_09935
ko:K03885	prp:M062_14280
ko:K03671	prp:M062_14295
ko:K09989	prp:M062_14350
ko:K01738	prp:M062_14370
ko:K11073	prp:M062_14380
ko:K04764	prp:M062_14515
ko:K01890	prp:M062_14520
ko:K01889	prp:M062_14525
ko:K02887	prp:M062_14530
ko:K02916	prp:M062_14535
ko:K02520	prp:M062_14540
ko:K01868	prp:M062_14545
ko:K01265	prp:M062_14580
ko:K01150	prp:M062_14590
ko:K07058	prp:M062_14610
ko:K08276	prp:M062_14645
ko:K06995	prp:M062_14680
ko:K07223	prp:M062_14705
ko:K07727	prp:M062_14835
ko:K01295	prp:M062_14845
ko:K05539	prp:M062_14950
ko:K04754	prp:M062_14975
ko:K07107	prp:M062_14980
ko:K06879	prp:M062_15000
ko:K07644	prp:M062_15020
ko:K03088	prp:M062_15065
ko:K06923	prp:M062_15140
ko:K03771	prp:M062_02985
ko:K04744	prp:M062_02990
ko:K07102	prp:M062_02995
ko:K05801	prp:M062_03005
ko:K02054	prp:M062_03040
ko:K02053	prp:M062_03045
ko:K01783	prp:M062_03050
ko:K01091	prp:M062_03055
ko:K01657	prp:M062_03060
ko:K00766	prp:M062_03165
ko:K01609	prp:M062_03170
ko:K07397	prp:M062_03180
ko:K01611	prp:M062_03185
ko:K06134	prp:M062_03190
ko:K02503	prp:M062_03195
ko:K07124	prp:M062_03205
ko:K00459	prp:M062_03215
ko:K08973	prp:M062_03220
ko:K00145	prp:M062_03225
ko:K15724	prp:M062_03240
ko:K09001	prp:M062_03245
ko:K01866	prp:M062_03255
ko:K03827	prp:M062_07665
ko:K07644	prp:M062_07710
ko:K09790	prp:M062_07715
ko:K07039	prp:M062_07720
ko:K02415	prp:M062_07730
ko:K02416	prp:M062_07735
ko:K02417	prp:M062_07740
ko:K02418	prp:M062_07745
ko:K02419	prp:M062_07750
ko:K02420	prp:M062_07755
ko:K02421	prp:M062_07760
ko:K02401	prp:M062_07765
ko:K06872	prp:M062_07770
ko:K06872	prp:M062_07775
ko:K02400	prp:M062_07780
ko:K02404	prp:M062_07785
ko:K04562	prp:M062_07790
ko:K02405	prp:M062_07795
ko:K03413	prp:M062_07800
ko:K03414	prp:M062_07805
ko:K03407	prp:M062_07810
ko:K03412	prp:M062_07815
ko:K02556	prp:M062_07820
ko:K02557	prp:M062_07825
ko:K03408	prp:M062_07835
ko:K03408	prp:M062_07840
ko:K05810	prp:M062_07865
ko:K04061	prp:M062_07885
ko:K02194	prp:M062_07900
ko:K02195	prp:M062_07905
ko:K02196	prp:M062_07910
ko:K02197	prp:M062_07915
ko:K02198	prp:M062_07920
ko:K06916	prp:M062_12270
ko:K00299	prp:M062_12290
ko:K11902	prp:M062_12305
ko:K11891	prp:M062_12310
ko:K11892	prp:M062_12315
ko:K11893	prp:M062_12320
ko:K11901	prp:M062_12330
ko:K11900	prp:M062_12335
ko:K11903	prp:M062_12340
ko:K11896	prp:M062_12350
ko:K11895	prp:M062_12355
ko:K11907	prp:M062_12360
ko:K07303	prp:M062_12405
ko:K07302	prp:M062_12410
ko:K03088	prp:M062_12450
ko:K13888	prp:M062_12460
ko:K05685	prp:M062_12465
ko:K06160	prp:M062_12500
ko:K16088	prp:M062_12505
ko:K07237	prp:M062_13855
ko:K02302	prp:M062_13875
ko:K01875	prp:M062_13880
ko:K07478	prp:M062_13885
ko:K03634	prp:M062_13890
ko:K03466	prp:M062_13895
ko:K00384	prp:M062_13900
ko:K00684	prp:M062_13905
ko:K02518	prp:M062_13915
ko:K03694	prp:M062_13920
ko:K06891	prp:M062_13925
ko:K03704	prp:M062_13930
ko:K00031	prp:M062_13935
ko:K00031	prp:M062_13940
ko:K00566	prp:M062_13950
ko:K07153	prp:M062_13955
ko:K01756	prp:M062_13965
ko:K01637	prp:M062_13990
ko:K05596	prp:M062_22995
ko:K09964	prp:M062_23000
ko:K06895	prp:M062_23005
ko:K04564	prp:M062_23010
ko:K03744	prp:M062_23025
ko:K07231	prp:M062_23030
